Fp1   -0,5091 -0,5203 -0,4950 -0,4117 -0,2634 -0,0578 0,1839 0,4273 0,6340 0,7756 0,8455 0,8615 0,8577 0,8642 0,8895 0,9177 0,9213 0,8758 0,7691 0,6069 0,4109 0,2050 0,0005 -0,2012 -0,3963 -0,5796 -0,7489 -0,8993 -1,0200 -1,0985 -1,1229 -1,0839 -0,9831 -0,8355 -0,6621 -0,4807 -0,3055 -0,1464 -0,0065 0,1155 0,2162 0,2849 0,3127 0,3004 0,2560 0,1900 0,1161 0,0478 -0,0079 -0,0501 -0,0758 -0,0803 -0,0675 -0,0489 -0,0326 -0,0200 -0,0088 0,0090 0,0488 0,1229 0,2255 0,3313 0,4128 0,4582 0,4731 0,4658 0,4348 0,3741 0,2894 0,2041 0,1475 0,1378 0,1755 0,2459 0,3266 0,3947 0,4341 0,4444 0,4483 0,4821 0,5719 0,7168 0,8901 1,0471 1,1371 1,1227 0,9943 0,7704 0,4824 0,1518 -0,2263 -0,6758 -1,2144 -1,8375 -2,5153 -3,1975 -3,8247 -4,3438 -4,7228 -4,9567 -5,0600 -5,0505 -4,9361 -4,7116 -4,3693 -3,9177 -3,3857 -2,8090 -2,2177 -1,6332 -1,0659 -0,5082 0,0591 0,6469 1,2409 1,8059 2,3107 2,7510 3,1502 3,5405 3,9422 4,3493 4,7326 5,0609 5,3189 5,5050 5,6172 5,6477 5,5934 5,4607 5,2554 4,9797 4,6391 4,2445 3,8104 3,3535 2,8894 2,4289 1,9773 1,5415 1,1353 0,7786 0,4874 0,2675 0,1165 0,0266 -0,0149 -0,0231 -0,0128 0,0038 0,0111 -0,0141 -0,0954 -0,2502 -0,4834 -0,7807 -1,1145 -1,4606 -1,8029 -2,1240 -2,4039 -2,6307 -2,8094 -2,9540 -3,0710 -3,1595 -3,2236 -3,2757 -3,3288 -3,3930 -3,4782 -3,5916 -3,7262 -3,8565 -3,9445 -3,9532 -3,8702 -3,7225 -3,5630 -3,4332 -3,3399 -3,2653 -3,1926 -3,1179 -3,0455 -2,9824 -2,9382 -2,9248 -2,9520 -3,0261 -3,1514 -3,3350 -3,5831 -3,8798 -4,1805 -4,4351 -4,6165 -4,7256 -4,7794 -4,7990 -4,8023 -4,7984 -4,7871 -4,7649 -4,7309 -4,6885 -4,6433 -4,6019 -4,5714 -4,5596 -4,5697 -4,5938 -4,6133 -4,6088 -4,5683 -4,4804 -4,3254 -4,0901 -3,7909 -3,4695 -3,1639 -2,8924 -2,6601 -2,4675 -2,3150 -2,2068 -2,1456 -2,1210 -2,1140 -2,1103 -2,1050 -2,0987 -2,0937 -2,0931 -2,0988 -2,1096 -2,1249 -2,1509 -2,1992 -2,2806 -2,4035 -2,5728 -2,7820 -3,0123 -3,2451 -3,4727 -3,6943 -3,9062 -4,1017 -4,2741 -4,4127 -4,4973 -4,5058 -4,4346 -4,3088 -4,1662 -4,0314 -3,9082 -3,7869 -3,6525 -3,4949 -3,3168 -3,1352 -2,9725 -2,8465 -2,7710 -2,7590 -2,8203 -2,9526 -3,1400 -3,3576 -3,5772 -3,7711 -3,9163 -3,9966 -4,0030 -3,9347 -3,8010 -3,6184 -3,4033 -3,1656 -2,9129 -2,6592 -2,4236 -2,2241 -2,0748 -1,9805 -1,9364 -1,9367 -1,9795 -2,0569 -2,1465 -2,2188 -2,2540 -2,2526 -2,2286 -2,1970 -2,1674 -2,1443 -2,1246 -2,0967 -2,0438 -1,9531 -1,8283 -1,6899 -1,5622 -1,4646 -1,4145 -1,4244 -1,4914 -1,5965 -1,7174 -1,8374 -1,9461 -2,0358 -2,1015 -2,1398 -2,1443 -2,1034 -2,0079 -1,8613 -1,6863 -1,5229 -1,4119 -1,3734 -1,3961 -1,4492 -1,5091 -1,5740 -1,6514 -1,7325 -1,7855 -1,7743 -1,6800 -1,5057 -1,2688 -0,9954 -0,7153 -0,4516 -0,2156 -0,0107 0,1648 0,3202 0,4693 0,6226 0,7832 0,9464 1,0995 1,2236 1,3036 1,3375 1,3367 1,3165 1,2902 1,2749 1,2946 1,3664 1,4851 1,6298 1,7796 1,9193 2,0353 2,1126 2,1319 2,0746 1,9376 1,7445 1,5390 1,3659 1,2507 1,1910 1,1659 1,1546 1,1418 1,1116 1,0514 0,9627 0,8643 0,7828 0,7372 0,7301 0,7523 0,7957 0,8574 0,9352 1,0225 1,1130 1,2060 1,3042 1,4093 1,5198 1,6245 1,7026 1,7376 1,7280 1,6845 1,6211 1,5509 1,4863 1,4370 1,4093 1,4069 1,4301 1,4737 1,5271 1,5797 1,6238 1,6534 1,6648 1,6574 1,6363 1,6118 1,5934 1,5807 1,5652 1,5377 1,4979 1,4593 1,4434 1,4663 1,5291 1,6227 1,7407 1,8783 2,0262 2,1713 2,3034 2,4212 2,5321 2,6466 2,7726 2,9118 3,0594 3,2063 3,3365 3,4281 3,4639 3,4385 3,3581 3,2399 3,1132 3,0146 2,9738 2,9977 3,0666 3,1508 3,2337 3,3162 3,4011 3,4854 3,5676 3,6501 3,7297 3,7918 3,8173 3,7927 3,7152 3,5886 3,4232 3,2385 3,0586 2,9027 2,7819 2,7003 2,6556 2,6463 2,6780 2,7558 2,8693 2,9854 3,0600 3,0589 2,9721 2,8154 2,6228 2,4340 2,2847 2,2004 2,1919 2,2538 2,3662 2,5013 2,6317 2,7343 2,7880 2,7739 2,6869 2,5451 2,3787 2,2135 2,0695 1,9686 1,9323 1,9732 2,0903 2,2703 2,4916 2,7296 2,9621 3,1740 3,3608 3,5300 3,6968 3,8718 4,0546 4,2394 4,4182 4,5752 4,6856 4,7288 4,6999 4,6132 4,4950 4,3692 4,2469 4,1297 4,0167 3,9033 3,7765 3,6186 3,4222 3,1998 2,9741 2,7555 2,5323 2,2846 2,0091 1,7295 1,4804 1,2824 1,1292 0,9924 0,8385 0,6476 0,4205 0,1758 -0,0627 -0,2821 -0,4850 -0,6762 -0,8569 -1,0275 -1,1868 -1,3246 -1,4242 -1,4758 -1,4825 -1,4521 -1,3877 -1,2884 -1,1555 -0,9937 -0,8094 -0,6106 -0,4108 -0,2269 -0,0742 0,0318 0,0709 0,0233 -0,1155 -0,3269 -0,5756 -0,8258 -1,0546 -1,2537 -1,4247 -1,5733 -1,7042 -1,8188 -1,9191 -2,0125 -2,1112 -2,2272 -2,3689 -2,5374 -2,7242 -2,9135 -3,0930 -3,2638 -3,4356 -3,6144 -3,7988 -3,9824 -4,1508 -4,2817 -4,3561 -4,3666 -4,3166 -4,2185 -4,0908 -3,9493 -3,8033 -3,6643 -3,5504 -3,4721 -3,4175 -3,3579 -3,2693 -3,1498
Fz    0,0557 0,0013 -0,0259 -0,0224 0,0114 0,0734 0,1575 0,2501 0,3322 0,3885 0,4150 0,4220 0,4285 0,4482 0,4771 0,4952 0,4786 0,4119 0,2928 0,1323 -0,0485 -0,2294 -0,3995 -0,5539 -0,6879 -0,7984 -0,8864 -0,9510 -0,9881 -0,9956 -0,9726 -0,9151 -0,8210 -0,6956 -0,5485 -0,3883 -0,2259 -0,0727 0,0655 0,1909 0,3063 0,4100 0,4977 0,5664 0,6140 0,6403 0,6502 0,6548 0,6664 0,6928 0,7376 0,7998 0,8714 0,9394 0,9912 1,0186 1,0206 1,0046 0,9868 0,9833 1,0006 1,0342 1,0750 1,1164 1,1571 1,1958 1,2261 1,2396 1,2358 1,2266 1,2281 1,2510 1,2950 1,3490 1,3967 1,4244 1,4281 1,4162 1,4102 1,4370 1,5127 1,6336 1,7771 1,9050 1,9743 1,9525 1,8275 1,6056 1,3033 0,9364 0,5111 0,0257 -0,5181 -1,1060 -1,7090 -2,2840 -2,7816 -3,1577 -3,3878 -3,4728 -3,4328 -3,2915 -3,0650 -2,7620 -2,3937 -1,9822 -1,5566 -1,1395 -0,7420 -0,3699 -0,0257 0,2978 0,6172 0,9448 1,2774 1,6009 1,9075 2,2070 2,5202 2,8636 3,2400 3,6378 4,0370 4,4212 4,7837 5,1215 5,4237 5,6722 5,8527 5,9604 5,9939 5,9508 5,8316 5,6403 5,3849 5,0776 4,7340 4,3693 3,9964 3,6284 3,2829 2,9798 2,7320 2,5421 2,4067 2,3215 2,2816 2,2815 2,3143 2,3700 2,4328 2,4811 2,4949 2,4623 2,3826 2,2689 2,1406 2,0102 1,8834 1,7667 1,6670 1,5847 1,5117 1,4390 1,3650 1,2957 1,2369 1,1903 1,1551 1,1273 1,0978 1,0554 0,9951 0,9237 0,8586 0,8225 0,8287 0,8678 0,9138 0,9467 0,9665 0,9872 1,0182 1,0565 1,0926 1,1179 1,1251 1,1075 1,0584 0,9701 0,8349 0,6445 0,3964 0,1074 -0,1855 -0,4454 -0,6551 -0,8173 -0,9445 -1,0498 -1,1407 -1,2157 -1,2670 -1,2877 -1,2774 -1,2450 -1,2037 -1,1653 -1,1388 -1,1318 -1,1476 -1,1791 -1,2097 -1,2227 -1,2076 -1,1550 -1,0480 -0,8693 -0,6169 -0,3084 0,0312 0,3802 0,7181 1,0258 1,2887 1,4958 1,6433 1,7382 1,7939 1,8228 1,8350 1,8402 1,8465 1,8566 1,8668 1,8717 1,8639 1,8320 1,7648 1,6567 1,5074 1,3190 1,0994 0,8663 0,6402 0,4358 0,2587 0,1088 -0,0161 -0,1181 -0,1949 -0,2384 -0,2388 -0,1939 -0,1167 -0,0295 0,0514 0,1211 0,1836 0,2463 0,3160 0,3923 0,4649 0,5193 0,5457 0,5414 0,5085 0,4518 0,3786 0,2975 0,2184 0,1532 0,1154 0,1170 0,1642 0,2569 0,3893 0,5513 0,7294 0,9121 1,0930 1,2668 1,4246 1,5551 1,6479 1,6960 1,6997 1,6689 1,6148 1,5457 1,4728 1,4139 1,3864 1,3960 1,4336 1,4830 1,5292 1,5629 1,5826 1,5973 1,6230 1,6744 1,7564 1,8591 1,9632 2,0506 2,1077 2,1217 2,0851 2,0041 1,8983 1,7890 1,6884 1,5984 1,5173 1,4453 1,3867 1,3514 1,3521 1,3980 1,4876 1,6059 1,7265 1,8215 1,8773 1,9021 1,9180 1,9425 1,9773 2,0137 2,0493 2,0958 2,1710 2,2871 2,4467 2,6444 2,8667 3,0927 3,3031 3,4865 3,6402 3,7682 3,8817 3,9963 4,1262 4,2798 4,4562 4,6412 4,8112 4,9455 5,0378 5,0966 5,1344 5,1615 5,1913 5,2424 5,3265 5,4368 5,5548 5,6655 5,7628 5,8445 5,9082 5,9470 5,9516 5,9200 5,8675 5,8221 5,8105 5,8440 5,9128 5,9953 6,0728 6,1344 6,1712 6,1742 6,1404 6,0771 6,0009 5,9310 5,8799 5,8514 5,8450 5,8588 5,8882 5,9248 5,9598 5,9876 6,0062 6,0160 6,0195 6,0154 5,9945 5,9486 5,8794 5,7972 5,7137 5,6380 5,5763 5,5309 5,4971 5,4644 5,4227 5,3667 5,2966 5,2175 5,1375 5,0654 5,0079 4,9666 4,9390 4,9228 4,9172 4,9209 4,9328 4,9546 4,9928 5,0545 5,1430 5,2552 5,3814 5,5096 5,6316 5,7442 5,8456 5,9328 6,0026 6,0554 6,0964 6,1313 6,1625 6,1867 6,1962 6,1820 6,1361 6,0554 5,9463 5,8228 5,6986 5,5840 5,4913 5,4359 5,4282 5,4629 5,5186 5,5722 5,6156 5,6562 5,7034 5,7608 5,8302 5,9124 6,0011 6,0797 6,1279 6,1315 6,0844 5,9852 5,8364 5,6480 5,4362 5,2164 4,9999 4,7925 4,5969 4,4191 4,2722 4,1720 4,1241 4,1139 4,1101 4,0805 4,0064 3,8881 3,7412 3,5891 3,4544 3,3532 3,2931 3,2737 3,2878 3,3221 3,3587 3,3786 3,3621 3,2929 3,1695 3,0123 2,8529 2,7182 2,6275 2,5962 2,6346 2,7419 2,9066 3,1096 3,3276 3,5374 3,7225 3,8761 3,9994 4,0997 4,1874 4,2711 4,3553 4,4430 4,5349 4,6221 4,6864 4,7116 4,6944 4,6466 4,5887 4,5390 4,5048 4,4849 4,4753 4,4712 4,4636 4,4414 4,3992 4,3403 4,2699 4,1849 4,0721 3,9185 3,7278 3,5254 3,3432 3,1997 3,0901 2,9922 2,8801 2,7367 2,5591 2,3582 2,1523 1,9563 1,7787 1,6265 1,5053 1,4146 1,3491 1,3067 1,2899 1,2988 1,3273 1,3684 1,4199 1,4833 1,5584 1,6409 1,7267 1,8135 1,8971 1,9702 2,0269 2,0625 2,0691 2,0355 1,9565 1,8381 1,6957 1,5463 1,4013 1,2633 1,1271 0,9855 0,8354 0,6800 0,5248 0,3725 0,2235 0,0778 -0,0659 -0,2128 -0,3697 -0,5390 -0,7197 -0,9133 -1,1220 -1,3439 -1,5729 -1,8023 -2,0242 -2,2281 -2,4064 -2,5569 -2,6772 -2,7626 -2,8082 -2,8095 -2,7642 -2,6774 -2,5639 -2,4388 -2,3062 -2,1590 -1,9903 -1,8043
F3    0,3844 0,3607 0,3474 0,3642 0,4178 0,5006 0,5932 0,6704 0,7089 0,6964 0,6344 0,5401 0,4431 0,3708 0,3332 0,3167 0,2949 0,2427 0,1466 0,0104 -0,1459 -0,3002 -0,4431 -0,5752 -0,6979 -0,8144 -0,9305 -1,0443 -1,1415 -1,2020 -1,2043 -1,1279 -0,9665 -0,7388 -0,4794 -0,2221 0,0084 0,1981 0,3434 0,4459 0,5049 0,5160 0,4792 0,4043 0,3076 0,2077 0,1221 0,0627 0,0311 0,0259 0,0503 0,1070 0,1867 0,2696 0,3395 0,3911 0,4267 0,4542 0,4855 0,5315 0,5933 0,6607 0,7194 0,7611 0,7852 0,7919 0,7771 0,7399 0,6935 0,6660 0,6843 0,7602 0,8873 1,0445 1,2013 1,3256 1,3946 1,4069 1,3882 1,3815 1,4244 1,5287 1,6751 1,8196 1,9097 1,9050 1,7928 1,5870 1,3152 1,0009 0,6480 0,2422 -0,2327 -0,7776 -1,3694 -1,9613 -2,4968 -2,9290 -3,2337 -3,4113 -3,4786 -3,4557 -3,3524 -3,1629 -2,8762 -2,4955 -2,0457 -1,5612 -1,0725 -0,6028 -0,1638 0,2516 0,6648 1,0936 1,5375 1,9780 2,3946 2,7813 3,1494 3,5150 3,8854 4,2503 4,5870 4,8760 5,1137 5,3076 5,4597 5,5588 5,5940 5,5652 5,4787 5,3390 5,1513 4,9227 4,6592 4,3657 4,0479 3,7131 3,3717 3,0399 2,7405 2,4964 2,3198 2,2092 2,1564 2,1516 2,1851 2,2464 2,3245 2,4059 2,4734 2,5085 2,4978 2,4319 2,3053 2,1239 1,9049 1,6659 1,4215 1,1879 0,9818 0,8121 0,6755 0,5602 0,4562 0,3582 0,2612 0,1602 0,0533 -0,0600 -0,1835 -0,3193 -0,4578 -0,5778 -0,6549 -0,6721 -0,6311 -0,5573 -0,4877 -0,4437 -0,4174 -0,3857 -0,3343 -0,2639 -0,1814 -0,0942 -0,0152 0,0366 0,0399 -0,0223 -0,1570 -0,3632 -0,6335 -0,9461 -1,2620 -1,5404 -1,7582 -1,9160 -2,0298 -2,1180 -2,1902 -2,2444 -2,2722 -2,2671 -2,2296 -2,1685 -2,0980 -2,0308 -1,9745 -1,9348 -1,9151 -1,9133 -1,9198 -1,9223 -1,9114 -1,8740 -1,7869 -1,6313 -1,4133 -1,1607 -0,9032 -0,6613 -0,4469 -0,2645 -0,1144 -0,0024 0,0668 0,1052 0,1391 0,1898 0,2635 0,3538 0,4494 0,5371 0,6031 0,6374 0,6347 0,5908 0,5020 0,3682 0,1917 -0,0230 -0,2607 -0,4936 -0,6973 -0,8646 -1,0029 -1,1225 -1,2309 -1,3297 -1,4086 -1,4446 -1,4161 -1,3241 -1,1998 -1,0874 -1,0181 -0,9974 -1,0078 -1,0187 -1,0036 -0,9544 -0,8820 -0,8034 -0,7313 -0,6769 -0,6532 -0,6714 -0,7344 -0,8371 -0,9667 -1,0993 -1,2012 -1,2422 -1,2087 -1,1042 -0,9430 -0,7455 -0,5344 -0,3261 -0,1227 0,0835 0,2967 0,5102 0,7092 0,8771 1,0025 1,0838 1,1228 1,1182 1,0697 0,9835 0,8730 0,7534 0,6349 0,5227 0,4234 0,3486 0,3109 0,3205 0,3853 0,5086 0,6865 0,9031 1,1349 1,3595 1,5596 1,7199 1,8281 1,8810 1,8845 1,8496 1,7853 1,6967 1,5891 1,4723 1,3609 1,2750 1,2369 1,2604 1,3415 1,4557 1,5623 1,6211 1,6149 1,5597 1,4915 1,4402 1,4136 1,4075 1,4253 1,4871 1,6175 1,8270 2,1088 2,4455 2,8122 3,1760 3,5026 3,7664 3,9566 4,0814 4,1636 4,2259 4,2786 4,3202 4,3460 4,3525 4,3365 4,2958 4,2341 4,1633 4,0995 4,0576 4,0550 4,1131 4,2473 4,4529 4,7094 4,9917 5,2739 5,5288 5,7320 5,8643 5,9153 5,8919 5,8237 5,7517 5,7092 5,7060 5,7263 5,7430 5,7367 5,6984 5,6212 5,5013 5,3482 5,1887 5,0555 4,9711 4,9367 4,9397 4,9709 5,0294 5,1145 5,2170 5,3204 5,4070 5,4648 5,4927 5,4980 5,4831 5,4403 5,3623 5,2513 5,1200 4,9865 4,8700 4,7873 4,7479 4,7550 4,8106 4,9128 5,0476 5,1899 5,3155 5,4071 5,4544 5,4546 5,4117 5,3375 5,2510 5,1712 5,1102 5,0711 5,0509 5,0435 5,0443 5,0521 5,0691 5,0962 5,1353 5,1917 5,2709 5,3730 5,4915 5,6157 5,7370 5,8539 5,9715 6,0980 6,2398 6,3967 6,5597 6,7091 6,8191 6,8677 6,8436 6,7459 6,5836 6,3759 6,1547 5,9602 5,8224 5,7456 5,7154 5,7207 5,7616 5,8395 5,9511 6,0909 6,2515 6,4184 6,5675 6,6693 6,6985 6,6408 6,4968 6,2836 6,0339 5,7853 5,5646 5,3828 5,2380 5,1209 5,0230 4,9454 4,8967 4,8826 4,8946 4,9115 4,9109 4,8789 4,8136 4,7247 4,6288 4,5431 4,4853 4,4709 4,5037 4,5708 4,6498 4,7221 4,7746 4,7922 4,7579 4,6665 4,5349 4,3912 4,2557 4,1382 4,0489 4,0023 4,0117 4,0850 4,2200 4,4029 4,6119 4,8257 5,0270 5,2045 5,3541 5,4781 5,5783 5,6515 5,6956 5,7155 5,7180 5,7042 5,6718 5,6225 5,5660 5,5167 5,4830 5,4638 5,4559 5,4582 5,4650 5,4609 5,4268 5,3527 5,2451 5,1195 4,9833 4,8298 4,6487 4,4418 4,2260 4,0207 3,8341 3,6584 3,4734 3,2577 3,0021 2,7159 2,4248 2,1599 1,9397 1,7636 1,6215 1,5022 1,3980 1,3109 1,2558 1,2502 1,2989 1,3881 1,4954 1,6055 1,7150 1,8259 1,9401 2,0566 2,1686 2,2651 2,3361 2,3754 2,3783 2,3392 2,2533 2,1220 1,9555 1,7697 1,5788 1,3927 1,2170 1,0552 0,9119 0,7954 0,7145 0,6720 0,6585 0,6528 0,6274 0,5594 0,4399 0,2742 0,0759 -0,1427 -0,3773 -0,6278 -0,8916 -1,1611 -1,4237 -1,6593 -1,8443 -1,9642 -2,0204 -2,0243 -1,9890 -1,9253 -1,8400 -1,7393 -1,6362 -1,5505 -1,4967 -1,4720 -1,4592 -1,4390 -1,4032
F7    0,1198 0,0680 0,0366 0,0518 0,1281 0,2620 0,4291 0,5903 0,7084 0,7629 0,7565 0,7114 0,6566 0,6130 0,5853 0,5644 0,5364 0,4902 0,4184 0,3188 0,1956 0,0561 -0,0951 -0,2521 -0,4021 -0,5340 -0,6483 -0,7501 -0,8370 -0,8962 -0,9082 -0,8558 -0,7388 -0,5755 -0,3895 -0,2004 -0,0258 0,1182 0,2240 0,2928 0,3249 0,3113 0,2418 0,1163 -0,0521 -0,2398 -0,4171 -0,5568 -0,6431 -0,6715 -0,6459 -0,5787 -0,4924 -0,4108 -0,3493 -0,3144 -0,3064 -0,3170 -0,3280 -0,3237 -0,3057 -0,2898 -0,2892 -0,3012 -0,3124 -0,3150 -0,3178 -0,3361 -0,3742 -0,4185 -0,4492 -0,4520 -0,4216 -0,3599 -0,2741 -0,1777 -0,0882 -0,0167 0,0471 0,1333 0,2680 0,4525 0,6634 0,8612 0,9983 1,0364 0,9667 0,8109 0,6000 0,3527 0,0640 -0,2835 -0,6962 -1,1600 -1,6434 -2,1057 -2,5081 -2,8266 -3,0600 -3,2236 -3,3348 -3,4010 -3,4134 -3,3483 -3,1808 -2,9054 -2,5425 -2,1288 -1,7050 -1,3049 -0,9412 -0,5978 -0,2426 0,1463 0,5632 0,9786 1,3625 1,7110 2,0487 2,4087 2,8096 3,2462 3,6942 4,1256 4,5204 4,8625 5,1291 5,2918 5,3346 5,2652 5,1057 4,8795 4,6080 4,3075 3,9893 3,6625 3,3331 3,0012 2,6639 2,3253 2,0048 1,7330 1,5382 1,4364 1,4300 1,5089 1,6512 1,8240 1,9910 2,1250 2,2080 2,2243 2,1609 2,0129 1,7879 1,5105 1,2115 0,9075 0,6010 0,2964 0,0027 -0,2778 -0,5520 -0,8231 -1,0778 -1,2938 -1,4581 -1,5720 -1,6448 -1,6930 -1,7452 -1,8324 -1,9657 -2,1222 -2,2518 -2,2990 -2,2357 -2,0844 -1,9061 -1,7590 -1,6682 -1,6271 -1,6145 -1,6091 -1,5999 -1,5906 -1,5952 -1,6259 -1,6881 -1,7847 -1,9230 -2,1174 -2,3788 -2,6909 -3,0055 -3,2690 -3,4527 -3,5597 -3,6109 -3,6264 -3,6171 -3,5860 -3,5327 -3,4594 -3,3746 -3,2897 -3,2118 -3,1457 -3,0992 -3,0823 -3,0976 -3,1349 -3,1745 -3,1960 -3,1836 -3,1229 -2,9989 -2,8065 -2,5666 -2,3188 -2,0953 -1,9060 -1,7482 -1,6203 -1,5261 -1,4741 -1,4662 -1,4891 -1,5204 -1,5421 -1,5451 -1,5298 -1,5034 -1,4754 -1,4546 -1,4504 -1,4721 -1,5265 -1,6148 -1,7349 -1,8894 -2,0835 -2,3065 -2,5284 -2,7239 -2,8921 -3,0486 -3,2074 -3,3726 -3,5384 -3,6866 -3,7873 -3,8139 -3,7665 -3,6756 -3,5773 -3,4861 -3,3951 -3,2921 -3,1703 -3,0302 -2,8797 -2,7339 -2,6116 -2,5293 -2,4992 -2,5299 -2,6238 -2,7734 -2,9624 -3,1693 -3,3686 -3,5351 -3,6496 -3,7039 -3,7012 -3,6500 -3,5587 -3,4335 -3,2772 -3,0887 -2,8721 -2,6450 -2,4347 -2,2674 -2,1586 -2,1070 -2,0959 -2,1115 -2,1552 -2,2316 -2,3277 -2,4111 -2,4483 -2,4261 -2,3546 -2,2556 -2,1536 -2,0701 -2,0154 -1,9812 -1,9438 -1,8798 -1,7836 -1,6703 -1,5618 -1,4766 -1,4299 -1,4324 -1,4831 -1,5677 -1,6674 -1,7701 -1,8735 -1,9776 -2,0772 -2,1613 -2,2129 -2,2115 -2,1456 -2,0255 -1,8859 -1,7758 -1,7353 -1,7703 -1,8487 -1,9231 -1,9659 -1,9840 -2,0017 -2,0318 -2,0606 -2,0566 -1,9911 -1,8520 -1,6460 -1,3980 -1,1468 -0,9299 -0,7660 -0,6526 -0,5741 -0,5082 -0,4317 -0,3285 -0,1939 -0,0355 0,1249 0,2554 0,3295 0,3408 0,3054 0,2505 0,2052 0,2002 0,2660 0,4181 0,6410 0,8979 1,1522 1,3771 1,5552 1,6777 1,7382 1,7278 1,6427 1,4989 1,3323 1,1821 1,0706 0,9950 0,9392 0,8913 0,8473 0,8018 0,7467 0,6792 0,6088 0,5557 0,5367 0,5501 0,5794 0,6111 0,6444 0,6853 0,7387 0,8072 0,8887 0,9770 1,0675 1,1593 1,2483 1,3249 1,3818 1,4185 1,4364 1,4336 1,4083 1,3658 1,3187 1,2825 1,2711 1,2926 1,3446 1,4159 1,4938 1,5683 1,6301 1,6707 1,6869 1,6867 1,6892 1,7110 1,7526 1,7991 1,8326 1,8416 1,8268 1,7996 1,7727 1,7510 1,7333 1,7217 1,7205 1,7315 1,7532 1,7830 1,8220 1,8768 1,9578 2,0786 2,2516 2,4808 2,7538 3,0356 3,2745 3,4234 3,4612 3,3995 3,2763 3,1413 3,0432 3,0147 3,0546 3,1278 3,1930 3,2318 3,2489 3,2529 3,2485 3,2466 3,2633 3,3065 3,3684 3,4337 3,4913 3,5337 3,5513 3,5361 3,4913 3,4292 3,3629 3,3048 3,2681 3,2642 3,3030 3,3915 3,5265 3,6834 3,8201 3,8952 3,8880 3,8043 3,6662 3,5013 3,3368 3,1976 3,1040 3,0654 3,0783 3,1307 3,2080 3,2939 3,3701 3,4142 3,4018 3,3205 3,1793 3,0016 2,8122 2,6371 2,5050 2,4410 2,4567 2,5480 2,6990 2,8881 3,0938 3,3003 3,4985 3,6833 3,8521 4,0029 4,1317 4,2322 4,3032 4,3523 4,3851 4,3966 4,3769 4,3221 4,2368 4,1310 4,0132 3,8867 3,7537 3,6173 3,4762 3,3223 3,1452 2,9410 2,7186 2,4970 2,2884 2,0846 1,8641 1,6164 1,3591 1,1298 0,9645 0,8749 0,8392 0,8165 0,7719 0,6893 0,5703 0,4280 0,2746 0,1192 -0,0248 -0,1430 -0,2304 -0,2914 -0,3306 -0,3498 -0,3534 -0,3502 -0,3429 -0,3210 -0,2680 -0,1764 -0,0507 0,1003 0,2636 0,4204 0,5493 0,6336 0,6592 0,6131 0,4889 0,2946 0,0557 -0,1936 -0,4259 -0,6309 -0,8135 -0,9820 -1,1403 -1,2840 -1,4015 -1,4821 -1,5284 -1,5585 -1,5985 -1,6729 -1,7934 -1,9517 -2,1266 -2,3054 -2,4971 -2,7213 -2,9854 -3,2754 -3,5625 -3,8110 -3,9867 -4,0707 -4,0668 -3,9946 -3,8815 -3,7524 -3,6200 -3,4841 -3,3466 -3,2204 -3,1210 -3,0496 -2,9893 -2,9199 -2,8350
