Fp1   1,0729 1,0267 0,9267 0,7758 0,5919 0,4034 0,2457 0,1563 0,1632 0,2686 0,4386 0,6179 0,7590 0,8374 0,8454 0,7808 0,6420 0,4330 0,1761 -0,0857 -0,3017 -0,4340 -0,4710 -0,4321 -0,3567 -0,2843 -0,2424 -0,2462 -0,2967 -0,3755 -0,4514 -0,4978 -0,5056 -0,4802 -0,4353 -0,3874 -0,3489 -0,3230 -0,2995 -0,2568 -0,1776 -0,0727 0,0156 0,0357 -0,0427 -0,2148 -0,4472 -0,6980 -0,9309 -1,1163 -1,2319 -1,2683 -1,2338 -1,1521 -1,0499 -0,9462 -0,8522 -0,7748 -0,7188 -0,6910 -0,7028 -0,7658 -0,8826 -1,0428 -1,2238 -1,3940 -1,5230 -1,5901 -1,5806 -1,4818 -1,2961 -1,0545 -0,8099 -0,6155 -0,5033 -0,4692 -0,4743 -0,4752 -0,4583 -0,4490 -0,4874 -0,5995 -0,7884 -1,0373 -1,3150 -1,5865 -1,8258 -2,0163 -2,1428 -2,1954 -2,1818 -2,1255 -2,0444 -1,9385 -1,7990 -1,6272 -1,4443 -1,2851 -1,1816 -1,1453 -1,1593 -1,1899 -1,2071 -1,1957 -1,1570 -1,1043 -1,0564 -1,0342 -1,0615 -1,1641 -1,3577 -1,6313 -1,9439 -2,2406 -2,4763 -2,6288 -2,6965 -2,6871 -2,6080 -2,4663 -2,2734 -2,0500 -1,8275 -1,6389 -1,5002 -1,4000 -1,3122 -1,2196 -1,1282 -1,0596 -1,0341 -1,0574 -1,1199 -1,2029 -1,2861 -1,3555 -1,4056 -1,4356 -1,4471 -1,4456 -1,4371 -1,4179 -1,3718 -1,2763 -1,1159 -0,8945 -0,6399 -0,3932 -0,1921 -0,0578 0,0041 0,0023 -0,0400 -0,0899 -0,1181 -0,1065 -0,0450 0,0689 0,2282 0,4163 0,6148 0,8125 1,0027 1,1776 1,3322 1,4751 1,6291 1,8200 2,0617 2,3434 2,6297 2,8724 3,0268 3,0674 3,0044 2,8873 2,7825 2,7365 2,7499 2,7822 2,7840 2,7323 2,6398 2,5406 2,4637 2,4111 2,3569 2,2700 2,1359 1,9639 1,7780 1,6017 1,4506 1,3354 1,2643 1,2468 1,2912 1,3946 1,5382 1,6970 1,8463 1,9601 2,0149 2,0057 1,9533 1,8919 1,8489 1,8337 1,8335 1,8174 1,7526 1,6288 1,4716 1,3320 1,2569 1,2624 1,3341 1,4460 1,5757 1,7110 1,8509 2,0001 2,1566 2,3077 2,4410 2,5500 2,6275 2,6610 2,6414 2,5699 2,4570 2,3196 2,1799 2,0628 1,9894 1,9667 1,9829 2,0170 2,0521 2,0754 2,0735 2,0346 1,9537 1,8318 1,6753 1,4999 1,3335 1,2145 1,1850 1,2726 1,4673 1,7134 1,9346 2,0748 2,1262 2,1226 2,1103 2,1225 2,1727 2,2596 2,3724 2,4931 2,5957 2,6515 2,6447 2,5768 2,4552 2,2849 2,0773 1,8613 1,6791 1,5679 1,5448 1,6060 1,7354 1,9118 2,1065 2,2849 2,4187 2,5030 2,5576 2,6151 2,7029 2,8235 2,9473 3,0297 3,0363 2,9526 2,7756 2,5060 2,1518 1,7366 1,3025 0,9038 0,5908 0,3930 0,3136 0,3402 0,4622 0,6720 0,9469 1,2387 1,4899 1,6610 1,7420 1,7455 1,6945 1,6085 1,4973 1,3680 1,2348 1,1171 1,0283 0,9712 0,9397 0,9222 0,9045 0,8764 0,8430 0,8265 0,8492 0,9176 1,0241 1,1584 1,3090 1,4516 1,5402 1,5164 1,3377 1,0052 0,5680 0,1023 -0,3167 -0,6304 -0,8016 -0,8185 -0,6979 -0,4814 -0,2243 0,0202 0,2136 0,3399 0,4058 0,4312 0,4309 0,4057 0,3519 0,2740 0,1800 0,0720 -0,0497 -0,1717 -0,2642 -0,2992 -0,2736 -0,2153 -0,1625 -0,1402 -0,1508 -0,1804 -0,2118 -0,2349 -0,2437 -0,2275 -0,1768 -0,0947 -0,0020 0,0679 0,0815 0,0253 -0,0827 -0,2021 -0,2893 -0,3094 -0,2387 -0,0668 0,1969 0,5124 0,8094 1,0079 1,0550 0,9484 0,7359 0,4937 0,2919 0,1633 0,0972 0,0580 0,0099 -0,0672 -0,1675 -0,2592 -0,2998 -0,2612 -0,1458 0,0154 0,1789 0,3073 0,3862 0,4289 0,4630 0,5095 0,5761 0,6618 0,7572 0,8431 0,8968 0,9012 0,8503 0,7498 0,6105 0,4391 0,2395 0,0204 -0,2021 -0,4046 -0,5576 -0,6345 -0,6265 -0,5471 -0,4223 -0,2766 -0,1289 0,0076 0,1254 0,2192 0,2802 0,2964 0,2591 0,1689 0,0409 -0,0941 -0,1975 -0,2339 -0,1837 -0,0528 0,1255 0,3033 0,4464 0,5525 0,6433 0,7423 0,8611 0,9955 1,1279 1,2333 1,2858 1,2653 1,1647 0,9940 0,7755 0,5342 0,2927 0,0709 -0,1153 -0,2572 -0,3538 -0,4108 -0,4402 -0,4541 -0,4615 -0,4698 -0,4861 -0,5129 -0,5457 -0,5762 -0,5981 -0,6107 -0,6189 -0,6326 -0,6634 -0,7143 -0,7703 -0,8027 -0,7898 -0,7376 -0,6806 -0,6606 -0,7028 -0,8015 -0,9200 -1,0086 -1,0310 -0,9732 -0,8357 -0,6309 -0,3928 -0,1744 -0,0256 0,0301 0,0035 -0,0672 -0,1354 -0,1683 -0,1563 -0,1072 -0,0392 0,0235 0,0627 0,0805 0,0979 0,1331 0,1797 0,2061 0,1822 0,1057 0,0041 -0,0859 -0,1412 -0,1601 -0,1585 -0,1620 -0,1945 -0,2622 -0,3477 -0,4186 -0,4438 -0,4113 -0,3326 -0,2279 -0,1115 0,0064 0,1153 0,2052 0,2640 0,2763 0,2341 0,1512 0,0674 0,0369 0,1031 0,2729 0,5104 0,7550 0,9518 1,0693 1,0990 1,0471 0,9321 0,7893 0,6648 0,6016 0,6268 0,7430 0,9236 1,1253 1,3139 1,4729 1,5908 1,6519 1,6439 1,5710 1,4578 1,3410 1,2539 1,2135 1,2177 1,2541 1,3092 1,3667 1,4009 1,3833 1,3018 1,1696 1,0093 0,8374 0,6740 0,5561 0,5305 0,6330 0,8683 1,1959 1,5413 1,8312 2,0274 2,1350 2,1822 2,1916 2,1682 2,1086 2,0136 1,8891 1,7445 1,5969 1,4757 1,4163 1,4466 1,5691 1,7554 1,9621 2,1538 2,3112 2,4249 2,4891 2,5034 2,4794 2,4412 2,4170 2,4228 2,4526
Fz    0,2646 0,2475 0,1978 0,1238 0,0395 -0,0371 -0,0894 -0,1098 -0,1061 -0,0992 -0,1110 -0,1511 -0,2127 -0,2843 -0,3611 -0,4460 -0,5411 -0,6428 -0,7402 -0,8146 -0,8437 -0,8098 -0,7090 -0,5553 -0,3769 -0,2079 -0,0795 -0,0097 0,0032 -0,0224 -0,0620 -0,0953 -0,1076 -0,0855 -0,0161 0,1075 0,2795 0,4811 0,6846 0,8602 0,9820 1,0285 0,9870 0,8611 0,6753 0,4694 0,2821 0,1366 0,0378 -0,0215 -0,0554 -0,0821 -0,1177 -0,1695 -0,2327 -0,2935 -0,3392 -0,3661 -0,3798 -0,3914 -0,4120 -0,4476 -0,4973 -0,5537 -0,6089 -0,6601 -0,7122 -0,7746 -0,8567 -0,9601 -1,0749 -1,1856 -1,2806 -1,3587 -1,4259 -1,4857 -1,5326 -1,5564 -1,5537 -1,5333 -1,5091 -1,4920 -1,4877 -1,4965 -1,5159 -1,5448 -1,5823 -1,6219 -1,6524 -1,6662 -1,6660 -1,6603 -1,6536 -1,6450 -1,6335 -1,6254 -1,6334 -1,6700 -1,7402 -1,8368 -1,9435 -2,0429 -2,1241 -2,1847 -2,2304 -2,2719 -2,3205 -2,3856 -2,4740 -2,5897 -2,7327 -2,8974 -3,0710 -3,2380 -3,3866 -3,5087 -3,5967 -3,6438 -3,6530 -3,6392 -3,6211 -3,6073 -3,5929 -3,5666 -3,5221 -3,4600 -3,3838 -3,2972 -3,2069 -3,1244 -3,0626 -3,0317 -3,0376 -3,0779 -3,1434 -3,2217 -3,3006 -3,3729 -3,4384 -3,4996 -3,5567 -3,6048 -3,6347 -3,6372 -3,6056 -3,5364 -3,4275 -3,2788 -3,0949 -2,8885 -2,6792 -2,4883 -2,3314 -2,2123 -2,1228 -2,0481 -1,9760 -1,9031 -1,8342 -1,7755 -1,7290 -1,6907 -1,6498 -1,5890 -1,4861 -1,3210 -1,0873 -0,8000 -0,4919 -0,2014 0,0419 0,2239 0,3459 0,4181 0,4529 0,4613 0,4555 0,4472 0,4410 0,4355 0,4322 0,4350 0,4404 0,4335 0,3932 0,3026 0,1595 -0,0218 -0,2196 -0,4164 -0,6032 -0,7765 -0,9309 -1,0592 -1,1591 -1,2340 -1,2861 -1,3153 -1,3278 -1,3424 -1,3840 -1,4689 -1,5961 -1,7499 -1,9061 -2,0369 -2,1179 -2,1395 -2,1140 -2,0737 -2,0590 -2,1021 -2,2152 -2,3903 -2,6070 -2,8368 -3,0473 -3,2079 -3,2973 -3,3092 -3,2566 -3,1684 -3,0775 -3,0070 -2,9669 -2,9612 -2,9909 -3,0488 -3,1191 -3,1856 -3,2409 -3,2849 -3,3185 -3,3414 -3,3537 -3,3564 -3,3488 -3,3255 -3,2824 -3,2251 -3,1688 -3,1258 -3,0941 -3,0620 -3,0195 -2,9605 -2,8784 -2,7686 -2,6366 -2,4989 -2,3773 -2,2908 -2,2496 -2,2493 -2,2733 -2,3035 -2,3287 -2,3471 -2,3622 -2,3790 -2,4009 -2,4272 -2,4537 -2,4745 -2,4819 -2,4639 -2,4071 -2,3018 -2,1466 -1,9511 -1,7345 -1,5167 -1,3095 -1,1146 -0,9245 -0,7306 -0,5348 -0,3521 -0,2023 -0,1016 -0,0611 -0,0850 -0,1673 -0,2909 -0,4331 -0,5694 -0,6765 -0,7381 -0,7510 -0,7247 -0,6777 -0,6287 -0,5897 -0,5650 -0,5546 -0,5572 -0,5718 -0,6000 -0,6462 -0,7130 -0,7970 -0,8871 -0,9696 -1,0347 -1,0805 -1,1132 -1,1454 -1,1887 -1,2482 -1,3217 -1,4041 -1,4909 -1,5773 -1,6578 -1,7298 -1,7968 -1,8693 -1,9615 -2,0828 -2,2294 -2,3836 -2,5185 -2,6077 -2,6342 -2,5948 -2,5007 -2,3771 -2,2586 -2,1774 -2,1514 -2,1807 -2,2551 -2,3616 -2,4807 -2,5819 -2,6325 -2,6150 -2,5353 -2,4145 -2,2762 -2,1386 -2,0123 -1,8987 -1,7882 -1,6696 -1,5416 -1,4134 -1,2984 -1,2080 -1,1481 -1,1174 -1,1095 -1,1196 -1,1466 -1,1901 -1,2470 -1,3116 -1,3779 -1,4414 -1,4966 -1,5344 -1,5443 -1,5209 -1,4668 -1,3887 -1,2932 -1,1883 -1,0853 -1,0000 -0,9479 -0,9387 -0,9684 -1,0174 -1,0594 -1,0793 -1,0832 -1,0909 -1,1187 -1,1707 -1,2433 -1,3329 -1,4369 -1,5512 -1,6685 -1,7776 -1,8650 -1,9181 -1,9311 -1,9110 -1,8790 -1,8660 -1,9026 -2,0044 -2,1634 -2,3540 -2,5456 -2,7144 -2,8522 -2,9669 -3,0704 -3,1667 -3,2495 -3,3108 -3,3471 -3,3628 -3,3688 -3,3774 -3,3960 -3,4217 -3,4432 -3,4507 -3,4434 -3,4247 -3,3956 -3,3574 -3,3182 -3,2948 -3,3059 -3,3611 -3,4561 -3,5790 -3,7166 -3,8547 -3,9772 -4,0693 -4,1245 -4,1465 -4,1449 -4,1291 -4,1066 -4,0825 -4,0650 -4,0701 -4,1169 -4,2148 -4,3551 -4,5107 -4,6454 -4,7320 -4,7643 -4,7510 -4,7028 -4,6227 -4,5088 -4,3646 -4,2050 -4,0528 -3,9331 -3,8669 -3,8625 -3,9128 -4,0011 -4,1083 -4,2175 -4,3170 -4,4017 -4,4726 -4,5395 -4,6186 -4,7221 -4,8452 -4,9651 -5,0540 -5,0956 -5,0917 -5,0590 -5,0189 -4,9850 -4,9567 -4,9236 -4,8737 -4,7937 -4,6721 -4,5067 -4,3113 -4,1137 -3,9441 -3,8206 -3,7453 -3,7105 -3,7047 -3,7152 -3,7326 -3,7522 -3,7651 -3,7544 -3,7066 -3,6250 -3,5310 -3,4541 -3,4206 -3,4437 -3,5214 -3,6391 -3,7759 -3,9101 -4,0249 -4,1163 -4,1967 -4,2878 -4,4062 -4,5556 -4,7268 -4,9043 -5,0733 -5,2214 -5,3375 -5,4136 -5,4518 -5,4662 -5,4786 -5,5092 -5,5678 -5,6480 -5,7296 -5,7872 -5,8029 -5,7750 -5,7161 -5,6431 -5,5698 -5,5063 -5,4632 -5,4532 -5,4879 -5,5697 -5,6877 -5,8189 -5,9339 -6,0068 -6,0250 -5,9920 -5,9204 -5,8264 -5,7269 -5,6358 -5,5609 -5,5072 -5,4791 -5,4772 -5,4921 -5,5040 -5,4894 -5,4307 -5,3246 -5,1858 -5,0427 -4,9282 -4,8687 -4,8742 -4,9374 -5,0433 -5,1794 -5,3386 -5,5146 -5,6953 -5,8643 -6,0078 -6,1203 -6,2067 -6,2782 -6,3433 -6,4008 -6,4393 -6,4430 -6,4009 -6,3126 -6,1899 -6,0531 -5,9221 -5,8078 -5,7135 -5,6427 -5,6012 -5,5901 -5,6008 -5,6203 -5,6439 -5,6814 -5,7487 -5,8533 -5,9867 -6,1268 -6,2451 -6,3136 -6,3105 -6,2294 -6,0877 -5,9235 -5,7785 -5,6786 -5,6300 -5,6254 -5,6527 -5,7015 -5,7703 -5,8665 -5,9964 -6,1524 -6,3113
F3    -0,1541 -0,1220 -0,0522 0,0485 0,1590 0,2534 0,3093 0,3129 0,2600 0,1572 0,0240 -0,1116 -0,2244 -0,2997 -0,3346 -0,3321 -0,2956 -0,2295 -0,1454 -0,0661 -0,0199 -0,0257 -0,0819 -0,1693 -0,2631 -0,3426 -0,3958 -0,4170 -0,4046 -0,3623 -0,2999 -0,2287 -0,1554 -0,0794 0,0038 0,0949 0,1845 0,2525 0,2779 0,2532 0,1906 0,1179 0,0701 0,0777 0,1533 0,2820 0,4243 0,5355 0,5885 0,5816 0,5270 0,4388 0,3304 0,2157 0,1077 0,0169 -0,0505 -0,0963 -0,1315 -0,1714 -0,2307 -0,3192 -0,4370 -0,5694 -0,6914 -0,7802 -0,8249 -0,8265 -0,7952 -0,7463 -0,6933 -0,6422 -0,5911 -0,5336 -0,4662 -0,3963 -0,3430 -0,3281 -0,3643 -0,4475 -0,5589 -0,6733 -0,7686 -0,8305 -0,8517 -0,8278 -0,7578 -0,6507 -0,5317 -0,4344 -0,3865 -0,3994 -0,4679 -0,5747 -0,6950 -0,8013 -0,8701 -0,8915 -0,8747 -0,8453 -0,8363 -0,8720 -0,9563 -1,0737 -1,2051 -1,3413 -1,4836 -1,6336 -1,7850 -1,9233 -2,0326 -2,1015 -2,1279 -2,1240 -2,1127 -2,1137 -2,1325 -2,1646 -2,2071 -2,2623 -2,3329 -2,4164 -2,5032 -2,5814 -2,6434 -2,6856 -2,7032 -2,6880 -2,6319 -2,5313 -2,3938 -2,2383 -2,0863 -1,9536 -1,8484 -1,7719 -1,7197 -1,6860 -1,6648 -1,6496 -1,6347 -1,6181 -1,6050 -1,6089 -1,6456 -1,7236 -1,8353 -1,9552 -2,0483 -2,0881 -2,0677 -1,9940 -1,8755 -1,7152 -1,5153 -1,2878 -1,0575 -0,8490 -0,6721 -0,5210 -0,3836 -0,2511 -0,1224 -0,0023 0,1016 0,1809 0,2294 0,2449 0,2329 0,2090 0,1959 0,2151 0,2796 0,3896 0,5300 0,6696 0,7718 0,8133 0,7971 0,7453 0,6825 0,6213 0,5603 0,4904 0,4015 0,2902 0,1648 0,0418 -0,0669 -0,1624 -0,2509 -0,3321 -0,3970 -0,4356 -0,4447 -0,4330 -0,4203 -0,4317 -0,4850 -0,5829 -0,7143 -0,8622 -1,0118 -1,1534 -1,2837 -1,4045 -1,5181 -1,6202 -1,6993 -1,7404 -1,7339 -1,6830 -1,6083 -1,5414 -1,5108 -1,5263 -1,5779 -1,6468 -1,7128 -1,7586 -1,7774 -1,7734 -1,7536 -1,7214 -1,6796 -1,6341 -1,5903 -1,5480 -1,5020 -1,4477 -1,3856 -1,3209 -1,2608 -1,2114 -1,1775 -1,1612 -1,1577 -1,1562 -1,1472 -1,1280 -1,1023 -1,0744 -1,0434 -1,0036 -0,9477 -0,8716 -0,7803 -0,6898 -0,6216 -0,5934 -0,6095 -0,6562 -0,7094 -0,7512 -0,7792 -0,8013 -0,8209 -0,8319 -0,8246 -0,7971 -0,7577 -0,7184 -0,6874 -0,6660 -0,6493 -0,6244 -0,5721 -0,4776 -0,3422 -0,1841 -0,0310 0,0908 0,1622 0,1722 0,1179 0,0079 -0,1369 -0,2877 -0,4190 -0,5184 -0,5911 -0,6576 -0,7394 -0,8399 -0,9361 -0,9911 -0,9760 -0,8828 -0,7220 -0,5155 -0,2945 -0,0956 0,0476 0,1138 0,0987 0,0139 -0,1230 -0,3019 -0,5215 -0,7777 -1,0519 -1,3091 -1,5116 -1,6371 -1,6858 -1,6732 -1,6196 -1,5425 -1,4534 -1,3583 -1,2597 -1,1571 -1,0477 -0,9323 -0,8212 -0,7336 -0,6879 -0,6887 -0,7236 -0,7712 -0,8100 -0,8218 -0,7972 -0,7430 -0,6800 -0,6270 -0,5865 -0,5413 -0,4638 -0,3325 -0,1459 0,0764 0,2980 0,4781 0,5878 0,6198 0,5842 0,4967 0,3726 0,2308 0,0974 -0,0015 -0,0488 -0,0369 0,0370 0,1684 0,3406 0,5283 0,7097 0,8730 1,0089 1,1021 1,1377 1,1146 1,0503 0,9759 0,9223 0,9027 0,9079 0,9194 0,9252 0,9258 0,9281 0,9343 0,9389 0,9356 0,9275 0,9294 0,9589 1,0247 1,1221 1,2367 1,3475 1,4274 1,4487 1,3948 1,2675 1,0911 0,9075 0,7602 0,6758 0,6543 0,6736 0,7029 0,7177 0,7128 0,7070 0,7280 0,7899 0,8824 0,9786 1,0486 1,0711 1,0417 0,9756 0,9009 0,8448 0,8213 0,8245 0,8314 0,8109 0,7343 0,5822 0,3491 0,0483 -0,2872 -0,6114 -0,8778 -1,0503 -1,1120 -1,0679 -0,9415 -0,7645 -0,5686 -0,3807 -0,2224 -0,1091 -0,0456 -0,0264 -0,0435 -0,0945 -0,1795 -0,2951 -0,4330 -0,5848 -0,7435 -0,8984 -1,0310 -1,1202 -1,1518 -1,1248 -1,0516 -0,9547 -0,8578 -0,7742 -0,7042 -0,6460 -0,6049 -0,5929 -0,6192 -0,6829 -0,7744 -0,8838 -1,0006 -1,1093 -1,1909 -1,2319 -1,2290 -1,1898 -1,1278 -1,0550 -0,9799 -0,9105 -0,8551 -0,8184 -0,7998 -0,7977 -0,8124 -0,8432 -0,8832 -0,9170 -0,9268 -0,9039 -0,8568 -0,8102 -0,7936 -0,8278 -0,9163 -1,0441 -1,1820 -1,2976 -1,3708 -1,4048 -1,4218 -1,4425 -1,4715 -1,4958 -1,4928 -1,4476 -1,3659 -1,2727 -1,1984 -1,1645 -1,1766 -1,2268 -1,3019 -1,3886 -1,4745 -1,5488 -1,6037 -1,6396 -1,6680 -1,7062 -1,7662 -1,8488 -1,9446 -2,0379 -2,1138 -2,1677 -2,2119 -2,2686 -2,3549 -2,4662 -2,5726 -2,6349 -2,6310 -2,5709 -2,4883 -2,4202 -2,3922 -2,4150 -2,4829 -2,5746 -2,6617 -2,7216 -2,7426 -2,7227 -2,6684 -2,5913 -2,5032 -2,4139 -2,3313 -2,2635 -2,2185 -2,1989 -2,1972 -2,2006 -2,2051 -2,2218 -2,2685 -2,3548 -2,4748 -2,6106 -2,7401 -2,8437 -2,9105 -2,9365 -2,9202 -2,8617 -2,7671 -2,6475 -2,5206 -2,4116 -2,3451 -2,3321 -2,3666 -2,4347 -2,5226 -2,6193 -2,7189 -2,8221 -2,9356 -3,0653 -3,2072 -3,3453 -3,4602 -3,5435 -3,6006 -3,6435 -3,6798 -3,7063 -3,7062 -3,6591 -3,5555 -3,4006 -3,2089 -3,0042 -2,8257 -2,7183 -2,7120 -2,8082 -2,9820 -3,1914 -3,3916 -3,5509 -3,6543 -3,6975 -3,6827 -3,6206 -3,5296 -3,4302 -3,3369 -3,2528 -3,1722 -3,0937 -3,0268 -2,9865 -2,9841 -3,0235 -3,1007 -3,2036 -3,3118 -3,4003 -3,4466 -3,4392 -3,3859 -3,3147 -3,2618 -3,2503 -3,2752
F7    0,7651 0,7330 0,6958 0,6626 0,6459 0,6568 0,7015 0,7781 0,8748 0,9714 1,0459 1,0822 1,0757 1,0289 0,9427 0,8154 0,6499 0,4577 0,2563 0,0659 -0,0898 -0,1852 -0,2085 -0,1766 -0,1309 -0,1145 -0,1529 -0,2484 -0,3858 -0,5399 -0,6836 -0,7944 -0,8579 -0,8689 -0,8336 -0,7662 -0,6790 -0,5770 -0,4641 -0,3497 -0,2512 -0,1929 -0,1987 -0,2786 -0,4201 -0,5932 -0,7660 -0,9186 -1,0433 -1,1361 -1,1931 -1,2120 -1,1946 -1,1453 -1,0692 -0,9717 -0,8603 -0,7441 -0,6315 -0,5281 -0,4361 -0,3551 -0,2880 -0,2450 -0,2391 -0,2745 -0,3436 -0,4315 -0,5183 -0,5798 -0,5952 -0,5569 -0,4755 -0,3825 -0,3184 -0,3068 -0,3424 -0,4053 -0,4808 -0,5636 -0,6491 -0,7266 -0,7835 -0,8141 -0,8251 -0,8328 -0,8536 -0,8933 -0,9437 -0,9931 -1,0365 -1,0719 -1,0915 -1,0815 -1,0295 -0,9365 -0,8224 -0,7221 -0,6673 -0,6652 -0,6882 -0,6922 -0,6473 -0,5566 -0,4521 -0,3746 -0,3506 -0,3809 -0,4467 -0,5251 -0,5993 -0,6626 -0,7196 -0,7846 -0,8714 -0,9837 -1,1136 -1,2450 -1,3619 -1,4549 -1,5207 -1,5567 -1,5609 -1,5351 -1,4862 -1,4199 -1,3340 -1,2204 -1,0755 -0,9084 -0,7385 -0,5897 -0,4812 -0,4207 -0,4031 -0,4144 -0,4381 -0,4601 -0,4744 -0,4844 -0,4991 -0,5275 -0,5701 -0,6182 -0,6591 -0,6785 -0,6622 -0,5978 -0,4781 -0,3051 -0,0957 0,1217 0,3187 0,4802 0,6084 0,7149 0,8075 0,8835 0,9356 0,9608 0,9661 0,9671 0,9807 1,0226 1,1088 1,2516 1,4518 1,6955 1,9554 2,1955 2,3796 2,4799 2,4850 2,4018 2,2556 2,0856 1,9356 1,8358 1,7843 1,7504 1,6993 1,6132 1,4910 1,3388 1,1620 0,9628 0,7427 0,5133 0,3004 0,1357 0,0400 0,0143 0,0414 0,0966 0,1556 0,2019 0,2301 0,2413 0,2359 0,2116 0,1648 0,0947 0,0088 -0,0734 -0,1238 -0,1186 -0,0507 0,0685 0,2121 0,3432 0,4265 0,4451 0,4062 0,3339 0,2576 0,2011 0,1756 0,1775 0,1956 0,2231 0,2621 0,3202 0,4032 0,5110 0,6346 0,7551 0,8443 0,8743 0,8326 0,7316 0,6036 0,4869 0,4086 0,3752 0,3747 0,3864 0,3930 0,3880 0,3731 0,3461 0,2999 0,2355 0,1670 0,1094 0,0671 0,0396 0,0301 0,0441 0,0837 0,1444 0,2143 0,2751 0,3100 0,3163 0,3124 0,3266 0,3761 0,4571 0,5535 0,6454 0,7133 0,7413 0,7204 0,6515 0,5451 0,4178 0,2868 0,1676 0,0734 0,0129 -0,0110 -0,0011 0,0368 0,0982 0,1845 0,3038 0,4659 0,6736 0,9161 1,1688 1,3958 1,5590 1,6323 1,6087 1,4933 1,2987 1,0498 0,7850 0,5457 0,3607 0,2386 0,1678 0,1260 0,0927 0,0618 0,0407 0,0395 0,0612 0,1023 0,1589 0,2285 0,3090 0,3979 0,4933 0,5937 0,6948 0,7881 0,8634 0,9124 0,9277 0,9021 0,8306 0,7180 0,5811 0,4423 0,3173 0,2068 0,0976 -0,0234 -0,1522 -0,2644 -0,3265 -0,3152 -0,2310 -0,0993 0,0407 0,1467 0,1833 0,1320 -0,0040 -0,2065 -0,4560 -0,7316 -0,9991 -1,2076 -1,3104 -1,2930 -1,1800 -1,0170 -0,8465 -0,6955 -0,5738 -0,4763 -0,3946 -0,3324 -0,3028 -0,3118 -0,3490 -0,3975 -0,4438 -0,4803 -0,5037 -0,5134 -0,5130 -0,5127 -0,5269 -0,5686 -0,6442 -0,7521 -0,8838 -1,0276 -1,1714 -1,3006 -1,3959 -1,4384 -1,4192 -1,3477 -1,2504 -1,1582 -1,0894 -1,0402 -0,9883 -0,9043 -0,7674 -0,5807 -0,3733 -0,1835 -0,0396 0,0437 0,0595 0,0108 -0,0838 -0,1956 -0,2964 -0,3676 -0,4007 -0,3937 -0,3469 -0,2636 -0,1534 -0,0375 0,0535 0,0918 0,0680 -0,0057 -0,1040 -0,1995 -0,2721 -0,3127 -0,3184 -0,2863 -0,2142 -0,1024 0,0420 0,1981 0,3294 0,4009 0,4020 0,3566 0,3102 0,3017 0,3445 0,4281 0,5329 0,6376 0,7196 0,7581 0,7413 0,6711 0,5638 0,4473 0,3510 0,2908 0,2620 0,2457 0,2235 0,1891 0,1495 0,1176 0,1055 0,1237 0,1787 0,2649 0,3614 0,4392 0,4734 0,4532 0,3855 0,2922 0,2053 0,1569 0,1726 0,2702 0,4548 0,7064 0,9762 1,2010 1,3283 1,3357 1,2333 1,0551 0,8406 0,6193 0,4073 0,2156 0,0553 -0,0637 -0,1394 -0,1798 -0,1985 -0,2054 -0,2008 -0,1784 -0,1324 -0,0618 0,0268 0,1152 0,1761 0,1846 0,1302 0,0212 -0,1171 -0,2523 -0,3602 -0,4330 -0,4784 -0,5140 -0,5582 -0,6208 -0,6956 -0,7586 -0,7783 -0,7372 -0,6423 -0,5149 -0,3728 -0,2252 -0,0810 0,0443 0,1307 0,1626 0,1356 0,0542 -0,0722 -0,2307 -0,4008 -0,5554 -0,6701 -0,7318 -0,7377 -0,6925 -0,6148 -0,5434 -0,5254 -0,5920 -0,7418 -0,9366 -1,1125 -1,2055 -1,1802 -1,0395 -0,8187 -0,5697 -0,3413 -0,1615 -0,0331 0,0557 0,1142 0,1402 0,1269 0,0765 0,0048 -0,0657 -0,1205 -0,1606 -0,1940 -0,2184 -0,2159 -0,1656 -0,0565 0,1055 0,2987 0,4916 0,6526 0,7574 0,7947 0,7675 0,6902 0,5862 0,4873 0,4277 0,4348 0,5243 0,6921 0,9065 1,1150 1,2644 1,3203 1,2765 1,1568 1,0077 0,8805 0,8141 0,8248 0,9033 1,0195 1,1384 1,2351 1,3012 1,3384 1,3502 1,3413 1,3240 1,3157 1,3234 1,3365 1,3395 1,3311 1,3296 1,3632 1,4486 1,5696 1,6748 1,7007 1,6090 1,4126 1,1678 0,9401 0,7700 0,6596 0,5850 0,5204 0,4524 0,3824 0,3230 0,2929 0,3106 0,3854 0,5102 0,6666 0,8333 0,9904 1,1208 1,2121 1,2577 1,2555 1,2097 1,1346 1,0524 0,9857
