Fp1   -1,1830 -0,8589 -0,4996 -0,1380 0,1996 0,4947 0,7439 0,9576 1,1510 1,3258 1,4595 1,5212 1,4927 1,3674 1,1420 0,8300 0,4746 0,1320 -0,1573 -0,3718 -0,5021 -0,5512 -0,5330 -0,4748 -0,4189 -0,4068 -0,4521 -0,5246 -0,5621 -0,5153 -0,3931 -0,2579 -0,1735 -0,1685 -0,2407 -0,3722 -0,5376 -0,7083 -0,8491 -0,9216 -0,9034 -0,7966 -0,6191 -0,3998 -0,1748 0,0342 0,2351 0,4491 0,6897 0,9657 1,2809 1,6197 1,9500 2,2437 2,4889 2,6825 2,8192 2,8872 2,8786 2,8036 2,6866 2,5484 2,3970 2,2290 2,0260 1,7628 1,4358 1,0872 0,7867 0,5865 0,5040 0,5246 0,6023 0,6801 0,7301 0,7639 0,8025 0,8513 0,9032 0,9597 1,0406 1,1648 1,3176 1,4477 1,4990 1,4397 1,2621 0,9689 0,5705 0,0958 -0,4037 -0,8790 -1,3166 -1,7412 -2,1884 -2,6753 -3,1901 -3,7061 -4,1985 -4,6469 -5,0393 -5,3718 -5,6310 -5,7864 -5,8066 -5,6749 -5,3927 -4,9808 -4,4711 -3,8853 -3,2261 -2,4937 -1,7131 -0,9409 -0,2335 0,3795 0,8820 1,2591 1,5141 1,6809 1,8073 1,9351 2,0892 2,2654 2,4315 2,5546 2,6282 2,6658 2,6778 2,6635 2,6233 2,5686 2,5135 2,4535 2,3582 2,1870 1,9089 1,5100 0,9990 0,4130 -0,1998 -0,8079 -1,3956 -1,9388 -2,4073 -2,7897 -3,1007 -3,3637 -3,5897 -3,7706 -3,8933 -3,9637 -4,0134 -4,0847 -4,2109 -4,4052 -4,6567 -4,9372 -5,2155 -5,4694 -5,6899 -5,8755 -6,0205 -6,1180 -6,1858 -6,2776 -6,4441 -6,6861 -6,9540 -7,1862 -7,3414 -7,4025 -7,3671 -7,2451 -7,0617 -6,8548 -6,6594 -6,4902 -6,3287 -6,1358 -5,8938 -5,6331 -5,4100 -5,2726 -5,2467 -5,3342 -5,5174 -5,7661 -6,0448 -6,3198 -6,5694 -6,7912 -6,9976 -7,2073 -7,4411 -7,7127 -8,0169 -8,3293 -8,6170 -8,8425 -8,9610 -8,9362 -8,7741 -8,5327 -8,2902 -8,1017 -7,9822 -7,9140 -7,8669 -7,8224 -7,7801 -7,7395 -7,6912 -7,6304 -7,5706 -7,5385 -7,5555 -7,6246 -7,7274 -7,8265 -7,8808 -7,8687 -7,7913 -7,6587 -7,4844 -7,2924 -7,1193 -7,0045 -6,9664 -6,9796 -6,9931 -6,9779 -6,9457 -6,9319 -6,9673 -7,0587 -7,1921 -7,3557 -7,5571 -7,8138 -8,1243 -8,4542 -8,7550 -8,9963 -9,1762 -9,3109 -9,4253 -9,5433 -9,6696 -9,7841 -9,8641 -9,9035 -9,9047 -9,8710 -9,8106 -9,7401 -9,6744 -9,6140 -9,5438 -9,4390 -9,2714 -9,0189 -8,6767 -8,2632 -7,8194 -7,3908 -7,0114 -6,7058 -6,4895 -6,3577 -6,2811 -6,2158 -6,1159 -5,9516 -5,7240 -5,4569 -5,1770 -4,9013 -4,6395 -4,4011 -4,2011 -4,0568 -3,9755 -3,9444 -3,9396 -3,9492 -3,9776 -4,0315 -4,1151 -4,2267 -4,3536 -4,4824 -4,6165 -4,7804 -5,0060 -5,3151 -5,7075 -6,1540 -6,6037 -6,9989 -7,2865 -7,4271 -7,4101 -7,2644 -7,0452 -6,8088 -6,5909 -6,3997 -6,2287 -6,0753 -5,9485 -5,8647 -5,8397 -5,8771 -5,9595 -6,0461 -6,0870 -6,0394 -5,8745 -5,5809 -5,1702 -4,6804 -4,1684 -3,6914 -3,2936 -3,0033 -2,8277 -2,7454 -2,7117 -2,6782 -2,6171 -2,5317 -2,4436 -2,3656 -2,2848 -2,1709 -1,9997 -1,7657 -1,4742 -1,1306 -0,7444 -0,3389 0,0508 0,3901 0,6541 0,8276 0,8990 0,8616 0,7270 0,5291 0,3075 0,0942 -0,0889 -0,2329 -0,3432 -0,4333 -0,5150 -0,5937 -0,6640 -0,7110 -0,7202 -0,6910 -0,6419 -0,6041 -0,6076 -0,6682 -0,7854 -0,9481 -1,1395 -1,3421 -1,5425 -1,7316 -1,9013 -2,0449 -2,1620 -2,2623 -2,3590 -2,4554 -2,5415 -2,6004 -2,6131 -2,5602 -2,4297 -2,2270 -1,9761 -1,7129 -1,4774 -1,3062 -1,2187 -1,2037 -1,2230 -1,2343 -1,2153 -1,1682 -1,1087 -1,0501 -0,9941 -0,9342 -0,8640 -0,7830 -0,6977 -0,6225 -0,5751 -0,5700 -0,6151 -0,7119 -0,8533 -1,0222 -1,1885 -1,3115 -1,3539 -1,2998 -1,1628 -0,9776 -0,7811 -0,5934 -0,4175 -0,2521 -0,0940 0,0718 0,2623 0,4713 0,6612 0,7885 0,8318 0,7973 0,7055 0,5801 0,4445 0,3197 0,2231 0,1685 0,1645 0,2105 0,2984 0,4192 0,5671 0,7384 0,9290 1,1311 1,3325 1,5188 1,6766 1,7956 1,8692 1,8901 1,8523 1,7630 1,6501 1,5519 1,4968 1,4909 1,5177 1,5466 1,5475 1,5038 1,4168 1,2970 1,1574 1,0078 0,8451 0,6527 0,4176 0,1464 -0,1398 -0,4213 -0,6894 -0,9438 -1,1880 -1,4261 -1,6669 -1,9264 -2,2244 -2,5742 -2,9677 -3,3706 -3,7342 -4,0128 -4,1765 -4,2153 -4,1395 -3,9765 -3,7680 -3,5597 -3,3840 -3,2465 -3,1293 -3,0015 -2,8309 -2,5956 -2,2937 -1,9442 -1,5790 -1,2313 -0,9285 -0,6864 -0,4972 -0,3278 -0,1354 0,1107 0,4158 0,7629 1,1195 1,4442 1,6963 1,8497 1,9007 1,8693 1,7944 1,7159 1,6559 1,6130 1,5711 1,5059 1,3910 1,2112 0,9716 0,6940 0,4051 0,1213 -0,1616 -0,4591 -0,7809 -1,1318 -1,5243 -1,9780 -2,5027 -3,0870 -3,6988 -4,2930 -4,8282 -5,2821 -5,6567 -5,9763 -6,2707 -6,5528 -6,8127 -7,0304 -7,1858 -7,2598 -7,2399 -7,1338 -6,9686 -6,7758 -6,5836 -6,4206 -6,3070 -6,2433 -6,2153 -6,2054 -6,1987 -6,1883 -6,1838 -6,2156 -6,3226 -6,5289 -6,8297 -7,1960 -7,5866 -7,9608 -8,2873 -8,5524 -8,7641 -8,9493 -9,1373 -9,3415 -9,5610 -9,7954 -10,0475 -10,3086 -10,5482 -10,7252 -10,8136 -10,8208 -10,7809 -10,7319 -10,6948 -10,6687 -10,6344 -10,5633 -10,4290 -10,2160 -9,9227 -9,5632 -9,1669 -8,7734 -8,4234 -8,1473 -7,9576 -7,8506 -7,8162 -7,8456 -7,9327 -8,0663 -8,2236 -8,3774 -8,5084 -8,6039 -8,6504 -8,6337
Fz    -0,6058 -0,4407 -0,2104 0,0730 0,3782 0,6637 0,9014 1,0857 1,2233 1,3176 1,3599 1,3382 1,2478 1,0871 0,8538 0,5595 0,2399 -0,0613 -0,3147 -0,5108 -0,6507 -0,7390 -0,7802 -0,7837 -0,7665 -0,7439 -0,7208 -0,6910 -0,6394 -0,5537 -0,4415 -0,3301 -0,2455 -0,1971 -0,1863 -0,2182 -0,2979 -0,4170 -0,5454 -0,6399 -0,6691 -0,6260 -0,5211 -0,3717 -0,1949 0,0039 0,2364 0,5152 0,8381 1,1913 1,5584 1,9195 2,2540 2,5468 2,7867 2,9645 3,0767 3,1288 3,1390 3,1377 3,1515 3,1816 3,1986 3,1626 3,0457 2,8417 2,5691 2,2713 2,0002 1,7941 1,6745 1,6450 1,6785 1,7261 1,7565 1,7747 1,7973 1,8268 1,8524 1,8693 1,8903 1,9392 2,0273 2,1353 2,2173 2,2221 2,1096 1,8646 1,5132 1,1212 0,7645 0,4840 0,2571 0,0056 -0,3594 -0,8788 -1,5183 -2,2008 -2,8560 -3,4370 -3,9158 -4,2801 -4,5260 -4,6532 -4,6690 -4,5858 -4,4162 -4,1744 -3,8750 -3,5240 -3,1144 -2,6377 -2,1017 -1,5395 -0,9962 -0,5074 -0,0960 0,2247 0,4610 0,6447 0,8165 1,0047 1,2181 1,4458 1,6622 1,8402 1,9650 2,0401 2,0820 2,1141 2,1606 2,2411 2,3612 2,5067 2,6430 2,7270 2,7242 2,6183 2,4144 2,1399 1,8323 1,5161 1,1973 0,8787 0,5670 0,2646 -0,0342 -0,3328 -0,6194 -0,8656 -1,0429 -1,1412 -1,1772 -1,1895 -1,2243 -1,3172 -1,4801 -1,6977 -1,9382 -2,1685 -2,3661 -2,5187 -2,6193 -2,6701 -2,6981 -2,7521 -2,8669 -3,0342 -3,2129 -3,3606 -3,4545 -3,4911 -3,4799 -3,4419 -3,4067 -3,4006 -3,4326 -3,4885 -3,5321 -3,5217 -3,4411 -3,3150 -3,1921 -3,1226 -3,1414 -3,2599 -3,4672 -3,7408 -4,0562 -4,3904 -4,7284 -5,0670 -5,4118 -5,7710 -6,1510 -6,5468 -6,9360 -7,2833 -7,5526 -7,7154 -7,7485 -7,6380 -7,3940 -7,0544 -6,6724 -6,3005 -5,9851 -5,7568 -5,6205 -5,5571 -5,5370 -5,5320 -5,5261 -5,5213 -5,5323 -5,5729 -5,6499 -5,7654 -5,9155 -6,0819 -6,2369 -6,3599 -6,4414 -6,4734 -6,4486 -6,3689 -6,2467 -6,1045 -5,9647 -5,8327 -5,7009 -5,5716 -5,4666 -5,4176 -5,4483 -5,5611 -5,7383 -5,9584 -6,2114 -6,4954 -6,8037 -7,1164 -7,4062 -7,6520 -7,8455 -7,9868 -8,0847 -8,1604 -8,2351 -8,3107 -8,3720 -8,3999 -8,3778 -8,2980 -8,1695 -8,0186 -7,8744 -7,7514 -7,6415 -7,5185 -7,3482 -7,1047 -6,7828 -6,4050 -6,0176 -5,6703 -5,3925 -5,1904 -5,0556 -4,9674 -4,8929 -4,7938 -4,6369 -4,4089 -4,1247 -3,8194 -3,5300 -3,2800 -3,0760 -2,9139 -2,7882 -2,6941 -2,6217 -2,5512 -2,4663 -2,3710 -2,2869 -2,2360 -2,2293 -2,2616 -2,3157 -2,3783 -2,4541 -2,5655 -2,7365 -2,9751 -3,2672 -3,5791 -3,8686 -4,0966 -4,2328 -4,2598 -4,1810 -4,0226 -3,8223 -3,6119 -3,4073 -3,2091 -3,0140 -2,8284 -2,6687 -2,5547 -2,5010 -2,5065 -2,5482 -2,5882 -2,5897 -2,5244 -2,3689 -2,1068 -1,7408 -1,2986 -0,8250 -0,3641 0,0504 0,3928 0,6471 0,8150 0,9201 0,9986 1,0808 1,1788 1,2895 1,4091 1,5452 1,7132 1,9244 2,1802 2,4801 2,8302 3,2347 3,6813 4,1390 4,5664 4,9238 5,1793 5,3101 5,3062 5,1820 4,9805 4,7573 4,5608 4,4198 4,3358 4,2875 4,2453 4,1847 4,0945 3,9807 3,8673 3,7831 3,7408 3,7282 3,7162 3,6761 3,5917 3,4586 3,2793 3,0628 2,8258 2,5901 2,3781 2,2097 2,0981 2,0446 2,0360 2,0518 2,0772 2,1067 2,1382 2,1734 2,2237 2,3066 2,4297 2,5779 2,7191 2,8189 2,8562 2,8313 2,7670 2,7008 2,6706 2,6994 2,7872 2,9122 3,0442 3,1608 3,2527 3,3180 3,3582 3,3751 3,3653 3,3177 3,2202 3,0675 2,8634 2,6189 2,3514 2,0905 1,8802 1,7636 1,7599 1,8581 2,0297 2,2471 2,4942 2,7620 3,0361 3,2980 3,5416 3,7739 3,9895 4,1547 4,2236 4,1673 3,9876 3,7115 3,3802 3,0413 2,7409 2,5158 2,3895 2,3728 2,4619 2,6377 2,8702 3,1287 3,3881 3,6316 3,8489 4,0313 4,1722 4,2689 4,3215 4,3302 4,2904 4,1953 4,0467 3,8648 3,6818 3,5282 3,4230 3,3698 3,3552 3,3536 3,3403 3,3021 3,2376 3,1541 3,0605 2,9565 2,8320 2,6810 2,5111 2,3353 2,1630 1,9975 1,8409 1,6949 1,5579 1,4192 1,2579 1,0457 0,7569 0,3837 -0,0523 -0,5082 -0,9375 -1,3035 -1,5813 -1,7586 -1,8372 -1,8368 -1,7936 -1,7460 -1,7170 -1,7068 -1,6929 -1,6416 -1,5254 -1,3360 -1,0839 -0,7903 -0,4782 -0,1713 0,1073 0,3450 0,5494 0,7470 0,9681 1,2320 1,5393 1,8723 2,1952 2,4616 2,6311 2,6874 2,6476 2,5560 2,4660 2,4178 2,4278 2,4923 2,5963 2,7161 2,8229 2,8913 2,9104 2,8854 2,8254 2,7298 2,5908 2,4047 2,1687 1,8716 1,4968 1,0367 0,5027 -0,0716 -0,6356 -1,1389 -1,5520 -1,8768 -2,1426 -2,3870 -2,6321 -2,8737 -3,0903 -3,2564 -3,3522 -3,3712 -3,3262 -3,2427 -3,1451 -3,0558 -3,0018 -3,0036 -3,0573 -3,1372 -3,2108 -3,2543 -3,2633 -3,2596 -3,2883 -3,3997 -3,6249 -3,9626 -4,3803 -4,8256 -5,2431 -5,5903 -5,8471 -6,0187 -6,1346 -6,2396 -6,3758 -6,5709 -6,8398 -7,1844 -7,5865 -8,0052 -8,3927 -8,7175 -8,9769 -9,1912 -9,3850 -9,5696 -9,7383 -9,8691 -9,9315 -9,8977 -9,7527 -9,5027 -9,1745 -8,8094 -8,4517 -8,1426 -7,9137 -7,7821 -7,7487 -7,8004 -7,9152 -8,0697 -8,2409 -8,4023 -8,5303 -8,6105 -8,6337 -8,5890 -8,4659
F3    -0,9864 -0,7419 -0,4543 -0,1686 0,0809 0,2742 0,4143 0,5251 0,6366 0,7639 0,8949 1,0009 1,0517 1,0170 0,8714 0,6179 0,2999 -0,0244 -0,3104 -0,5299 -0,6651 -0,7088 -0,6677 -0,5697 -0,4635 -0,3974 -0,3898 -0,4131 -0,4095 -0,3386 -0,2147 -0,0937 -0,0286 -0,0406 -0,1169 -0,2292 -0,3527 -0,4727 -0,5729 -0,6300 -0,6237 -0,5454 -0,3951 -0,1834 0,0632 0,3158 0,5666 0,8260 1,1052 1,4135 1,7583 2,1326 2,5119 2,8675 3,1758 3,4182 3,5825 3,6632 3,6659 3,6156 3,5537 3,5109 3,4833 3,4352 3,3189 3,0985 2,7755 2,4035 2,0661 1,8284 1,7117 1,6960 1,7329 1,7725 1,7966 1,8233 1,8786 1,9677 2,0711 2,1643 2,2429 2,3187 2,3912 2,4335 2,4134 2,3167 2,1457 1,9007 1,5736 1,1702 0,7325 0,3207 -0,0302 -0,3275 -0,6071 -0,9118 -1,2714 -1,6928 -2,1568 -2,6291 -3,0828 -3,5052 -3,8791 -4,1736 -4,3588 -4,4172 -4,3446 -4,1556 -3,8784 -3,5330 -3,1184 -2,6286 -2,0822 -1,5248 -0,9993 -0,5289 -0,1333 0,1678 0,3776 0,5295 0,6637 0,8081 0,9735 1,1498 1,3134 1,4503 1,5698 1,6910 1,8199 1,9455 2,0609 2,1807 2,3263 2,4929 2,6412 2,7188 2,6844 2,5165 2,2215 1,8399 1,4261 1,0149 0,6166 0,2404 -0,0959 -0,3800 -0,6149 -0,8093 -0,9612 -1,0526 -1,0669 -1,0130 -0,9307 -0,8743 -0,8909 -1,0019 -1,1956 -1,4376 -1,6895 -1,9207 -2,1146 -2,2685 -2,3821 -2,4549 -2,5098 -2,6042 -2,7899 -3,0655 -3,3802 -3,6775 -3,9222 -4,0954 -4,1821 -4,1768 -4,0973 -3,9823 -3,8717 -3,7831 -3,6974 -3,5720 -3,3833 -3,1532 -2,9326 -2,7733 -2,7131 -2,7718 -2,9497 -3,2287 -3,5735 -3,9380 -4,2842 -4,5991 -4,8929 -5,1860 -5,4997 -5,8461 -6,2155 -6,5765 -6,8857 -7,0954 -7,1590 -7,0519 -6,7965 -6,4640 -6,1421 -5,8931 -5,7338 -5,6419 -5,5766 -5,5077 -5,4305 -5,3517 -5,2730 -5,1965 -5,1419 -5,1431 -5,2252 -5,3856 -5,5928 -5,7980 -5,9542 -6,0350 -6,0353 -5,9588 -5,8156 -5,6320 -5,4532 -5,3279 -5,2770 -5,2720 -5,2602 -5,2134 -5,1426 -5,0848 -5,0803 -5,1494 -5,2859 -5,4780 -5,7276 -6,0438 -6,4191 -6,8164 -7,1843 -7,4858 -7,7121 -7,8770 -8,0084 -8,1379 -8,2797 -8,4185 -8,5258 -8,5818 -8,5767 -8,5100 -8,3969 -8,2636 -8,1290 -7,9919 -7,8345 -7,6329 -7,3652 -7,0214 -6,6113 -6,1655 -5,7293 -5,3437 -5,0292 -4,7904 -4,6238 -4,5158 -4,4431 -4,3733 -4,2665 -4,0899 -3,8395 -3,5434 -3,2419 -2,9658 -2,7288 -2,5356 -2,3897 -2,2921 -2,2329 -2,1879 -2,1318 -2,0591 -1,9885 -1,9462 -1,9476 -1,9877 -2,0451 -2,0999 -2,1530 -2,2301 -2,3658 -2,5842 -2,8884 -3,2551 -3,6374 -3,9787 -4,2277 -4,3532 -4,3533 -4,2536 -4,0917 -3,8990 -3,6937 -3,4826 -3,2700 -3,0684 -2,8992 -2,7865 -2,7447 -2,7701 -2,8392 -2,9139 -2,9532 -2,9231 -2,7952 -2,5483 -2,1812 -1,7251 -1,2392 -0,7870 -0,4190 -0,1671 -0,0398 -0,0161 -0,0481 -0,0773 -0,0602 0,0144 0,1297 0,2662 0,4241 0,6184 0,8607 1,1508 1,4835 1,8538 2,2502 2,6465 3,0094 3,3128 3,5444 3,7000 3,7753 3,7695 3,6995 3,6005 3,5073 3,4425 3,4165 3,4252 3,4472 3,4526 3,4151 3,3221 3,1826 3,0258 2,8848 2,7760 2,6905 2,6016 2,4854 2,3346 2,1564 1,9611 1,7576 1,5558 1,3683 1,2078 1,0853 1,0079 0,9739 0,9676 0,9675 0,9629 0,9606 0,9758 1,0227 1,1142 1,2615 1,4666 1,7137 1,9678 2,1833 2,3170 2,3485 2,2956 2,2075 2,1376 2,1164 2,1470 2,2156 2,3047 2,3999 2,4896 2,5631 2,6120 2,6307 2,6158 2,5649 2,4764 2,3496 2,1869 1,9946 1,7837 1,5765 1,4094 1,3190 1,3236 1,4152 1,5671 1,7510 1,9525 2,1717 2,4088 2,6604 2,9270 3,2057 3,4692 3,6626 3,7335 3,6635 3,4721 3,1984 2,8840 2,5667 2,2784 2,0441 1,8837 1,8097 1,8226 1,9097 2,0513 2,2291 2,4306 2,6470 2,8666 3,0722 3,2455 3,3769 3,4691 3,5296 3,5559 3,5326 3,4467 3,3049 3,1346 2,9746 2,8593 2,8024 2,7908 2,7934 2,7821 2,7446 2,6822 2,6032 2,5176 2,4253 2,3139 2,1753 2,0170 1,8536 1,6918 1,5283 1,3578 1,1782 0,9883 0,7842 0,5581 0,2967 -0,0154 -0,3816 -0,7798 -1,1674 -1,4997 -1,7466 -1,9004 -1,9715 -1,9790 -1,9489 -1,9130 -1,8967 -1,9028 -1,9092 -1,8812 -1,7879 -1,6139 -1,3636 -1,0583 -0,7262 -0,3938 -0,0854 0,1777 0,3881 0,5616 0,7281 0,9159 1,1410 1,4061 1,6982 1,9878 2,2349 2,4063 2,4902 2,5022 2,4809 2,4708 2,5001 2,5693 2,6556 2,7262 2,7525 2,7233 2,6486 2,5491 2,4435 2,3347 2,2032 2,0203 1,7694 1,4478 1,0539 0,5851 0,0464 -0,5419 -1,1444 -1,7171 -2,2204 -2,6322 -2,9530 -3,2049 -3,4176 -3,6083 -3,7732 -3,8956 -3,9581 -3,9467 -3,8569 -3,7017 -3,5131 -3,3291 -3,1860 -3,1174 -3,1416 -3,2488 -3,4077 -3,5833 -3,7493 -3,8921 -4,0160 -4,1471 -4,3234 -4,5706 -4,8855 -5,2397 -5,5953 -5,9179 -6,1861 -6,3957 -6,5588 -6,6990 -6,8426 -7,0076 -7,2023 -7,4325 -7,7015 -8,0000 -8,3011 -8,5709 -8,7904 -8,9670 -9,1270 -9,2950 -9,4788 -9,6662 -9,8278 -9,9265 -9,9307 -9,8241 -9,6089 -9,3034 -8,9386 -8,5551 -8,1993 -7,9121 -7,7161 -7,6130 -7,5906 -7,6308 -7,7172 -7,8364 -7,9730 -8,1098 -8,2327 -8,3294 -8,3855 -8,3836
F7    -0,9014 -0,8287 -0,7287 -0,5756 -0,3472 -0,0545 0,2600 0,5563 0,8152 1,0186 1,1367 1,1543 1,0868 0,9588 0,7831 0,5715 0,3514 0,1569 0,0072 -0,0978 -0,1641 -0,1897 -0,1648 -0,0910 0,0082 0,1034 0,1793 0,2370 0,2956 0,3806 0,4859 0,5562 0,5293 0,3864 0,1523 -0,1254 -0,4002 -0,6446 -0,8427 -0,9802 -1,0515 -1,0579 -1,0028 -0,8995 -0,7701 -0,6165 -0,4088 -0,1203 0,2426 0,6505 1,0664 1,4520 1,7807 2,0490 2,2708 2,4647 2,6354 2,7607 2,8122 2,7873 2,7018 2,5626 2,3692 2,1305 1,8634 1,5769 1,2757 0,9825 0,7358 0,5683 0,5019 0,5422 0,6631 0,8154 0,9575 1,0659 1,1236 1,1149 1,0379 0,9165 0,7978 0,7301 0,7296 0,7662 0,7895 0,7599 0,6513 0,4429 0,1285 -0,2685 -0,7019 -1,1332 -1,5493 -1,9453 -2,2936 -2,5379 -2,6376 -2,6302 -2,6260 -2,7254 -2,9547 -3,2727 -3,6027 -3,8648 -4,0075 -4,0183 -3,9115 -3,7170 -3,4713 -3,1976 -2,8892 -2,5163 -2,0642 -1,5683 -1,0913 -0,6767 -0,3468 -0,1209 0,0002 0,0559 0,1088 0,2089 0,3812 0,6239 0,9103 1,2061 1,4879 1,7383 1,9341 2,0582 2,1205 2,1530 2,1828 2,2136 2,2269 2,2014 2,1277 2,0011 1,8141 1,5685 1,2780 0,9507 0,5859 0,1951 -0,1903 -0,5365 -0,8251 -1,0544 -1,2292 -1,3527 -1,4281 -1,4660 -1,4855 -1,5064 -1,5425 -1,6039 -1,7014 -1,8368 -1,9928 -2,1451 -2,2827 -2,4093 -2,5292 -2,6452 -2,7746 -2,9543 -3,2093 -3,5223 -3,8417 -4,1097 -4,2796 -4,3242 -4,2455 -4,0785 -3,8773 -3,6936 -3,5619 -3,4891 -3,4451 -3,3719 -3,2281 -3,0214 -2,7999 -2,6242 -2,5432 -2,5780 -2,7195 -2,9404 -3,2027 -3,4641 -3,6939 -3,8873 -4,0652 -4,2602 -4,5011 -4,7962 -5,1269 -5,4598 -5,7671 -6,0294 -6,2197 -6,3002 -6,2477 -6,0738 -5,8154 -5,5177 -5,2308 -4,9959 -4,8275 -4,7229 -4,6738 -4,6584 -4,6452 -4,6208 -4,6029 -4,6254 -4,7173 -4,8896 -5,1246 -5,3672 -5,5444 -5,6074 -5,5509 -5,3997 -5,1876 -4,9446 -4,6925 -4,4517 -4,2437 -4,0797 -3,9600 -3,8897 -3,8832 -3,9535 -4,1008 -4,3082 -4,5511 -4,8131 -5,0941 -5,4030 -5,7427 -6,0992 -6,4449 -6,7529 -7,0045 -7,1872 -7,2997 -7,3592 -7,3880 -7,3966 -7,3887 -7,3684 -7,3363 -7,2916 -7,2384 -7,1879 -7,1508 -7,1252 -7,0946 -7,0379 -6,9378 -6,7838 -6,5738 -6,3219 -6,0630 -5,8297 -5,6330 -5,4784 -5,3777 -5,3287 -5,2991 -5,2415 -5,1211 -4,9306 -4,6837 -4,3985 -4,0955 -3,8000 -3,5278 -3,2737 -3,0253 -2,7854 -2,5775 -2,4258 -2,3377 -2,3081 -2,3265 -2,3806 -2,4687 -2,5973 -2,7636 -2,9543 -3,1623 -3,3961 -3,6705 -3,9946 -4,3635 -4,7498 -5,1059 -5,3831 -5,5483 -5,5895 -5,5194 -5,3772 -5,2160 -5,0832 -5,0048 -4,9790 -4,9841 -4,9971 -5,0062 -5,0157 -5,0395 -5,0846 -5,1415 -5,1880 -5,1991 -5,1477 -5,0065 -4,7631 -4,4351 -4,0671 -3,7099 -3,3969 -3,1422 -2,9509 -2,8236 -2,7523 -2,7205 -2,7089 -2,7068 -2,7155 -2,7415 -2,7827 -2,8177 -2,8116 -2,7340 -2,5741 -2,3399 -2,0477 -1,7196 -1,3873 -1,0860 -0,8399 -0,6560 -0,5319 -0,4686 -0,4717 -0,5378 -0,6495 -0,7871 -0,9356 -1,0824 -1,2171 -1,3316 -1,4176 -1,4703 -1,4925 -1,4870 -1,4504 -1,3821 -1,2972 -1,2245 -1,1948 -1,2262 -1,3153 -1,4407 -1,5776 -1,7095 -1,8331 -1,9562 -2,0910 -2,2415 -2,3942 -2,5255 -2,6151 -2,6480 -2,6115 -2,5036 -2,3425 -2,1516 -1,9405 -1,7063 -1,4488 -1,1813 -0,9331 -0,7424 -0,6424 -0,6413 -0,7123 -0,8074 -0,8835 -0,9203 -0,9220 -0,9045 -0,8781 -0,8409 -0,7862 -0,7085 -0,6052 -0,4817 -0,3556 -0,2506 -0,1852 -0,1671 -0,1954 -0,2661 -0,3728 -0,4993 -0,6169 -0,6972 -0,7278 -0,7168 -0,6839 -0,6456 -0,6042 -0,5508 -0,4754 -0,3667 -0,2067 0,0175 0,2870 0,5428 0,7201 0,7897 0,7669 0,6903 0,5988 0,5201 0,4649 0,4289 0,4027 0,3789 0,3565 0,3462 0,3682 0,4408 0,5684 0,7395 0,9324 1,1208 1,2783 1,3846 1,4323 1,4290 1,3875 1,3163 1,2258 1,1376 1,0799 1,0740 1,1274 1,2307 1,3560 1,4661 1,5330 1,5473 1,5105 1,4265 1,2976 1,1206 0,8906 0,6167 0,3266 0,0535 -0,1798 -0,3655 -0,5084 -0,6219 -0,7239 -0,8339 -0,9710 -1,1519 -1,3850 -1,6638 -1,9670 -2,2666 -2,5324 -2,7356 -2,8531 -2,8723 -2,7915 -2,6257 -2,4105 -2,1898 -1,9977 -1,8463 -1,7247 -1,6090 -1,4824 -1,3449 -1,2058 -1,0692 -0,9290 -0,7806 -0,6321 -0,4917 -0,3482 -0,1749 0,0467 0,3138 0,6107 0,9207 1,2263 1,5075 1,7445 1,9207 2,0308 2,0882 2,1194 2,1466 2,1782 2,2113 2,2298 2,2067 2,1195 1,9646 1,7555 1,5128 1,2483 0,9563 0,6245 0,2537 -0,1411 -0,5476 -0,9663 -1,4028 -1,8593 -2,3285 -2,7875 -3,2043 -3,5541 -3,8335 -4,0616 -4,2649 -4,4554 -4,6230 -4,7473 -4,8111 -4,8028 -4,7186 -4,5710 -4,3925 -4,2209 -4,0844 -3,9977 -3,9631 -3,9730 -4,0191 -4,0966 -4,1991 -4,3153 -4,4370 -4,5735 -4,7484 -4,9792 -5,2604 -5,5676 -5,8735 -6,1581 -6,4100 -6,6274 -6,8195 -7,0039 -7,1931 -7,3830 -7,5611 -7,7222 -7,8725 -8,0171 -8,1458 -8,2345 -8,2657 -8,2492 -8,2191 -8,2138 -8,2557 -8,3414 -8,4453 -8,5313 -8,5659 -8,5242 -8,3920 -8,1692 -7,8725 -7,5333 -7,1883 -6,8670 -6,5877 -6,3633 -6,2056 -6,1227 -6,1174 -6,1839 -6,3029 -6,4450 -6,5828 -6,6962 -6,7675 -6,7801
