Fp1   2,7167 2,2906 1,8585 1,6039 1,5851 1,7643 2,0685 2,4149 2,7172 2,8874 2,8472 2,5746 2,1460 1,7138 1,4292 1,3615 1,4636 1,6169 1,7204 1,7361 1,6552 1,4410 1,0253 0,3747 -0,4341 -1,2241 -1,8310 -2,2095 -2,4073 -2,4597 -2,3633 -2,1330 -1,8323 -1,5447 -1,3380 -1,2597 -1,3527 -1,6392 -2,0699 -2,4966 -2,7215 -2,6120 -2,1999 -1,6662 -1,2177 -0,9784 -0,9693 -1,1370 -1,3741 -1,5414 -1,5269 -1,3216 -1,0371 -0,8353 -0,8411 -1,1053 -1,5885 -2,1612 -2,6607 -2,9682 -3,0281 -2,8228 -2,3649 -1,7157 -0,9905 -0,3266 0,1621 0,4077 0,3810 0,0784 -0,4585 -1,1172 -1,7580 -2,2988 -2,7292 -3,0417 -3,1865 -3,1214 -2,8721 -2,4986 -2,0435 -1,5707 -1,2259 -1,2152 -1,6989 -2,6666 -3,8902 -5,0145 -5,7100 -5,7905 -5,2840 -4,4448 -3,6586 -3,2567 -3,3449 -3,7666 -4,2203 -4,4255 -4,2340 -3,6758 -2,9390 -2,2737 -1,8726 -1,8105 -2,0580 -2,5166 -3,0325 -3,4112 -3,4668 -3,0970 -2,3246 -1,2580 -0,0073 1,3395 2,6761 3,8491 4,6752 5,0062 4,8021 4,1522 3,2330 2,2367 1,3183 0,5886 0,1271 -0,0214 0,1413 0,5710 1,2026 1,9700 2,8129 3,6655 4,4211 4,9312 5,0718 4,8135 4,2302 3,4663 2,7115 2,1497 1,8549 1,7404 1,6570 1,5298 1,3858 1,2916 1,2856 1,3366 1,3653 1,3221 1,2271 1,1284 1,0495 0,9803 0,9018 0,8105 0,7232 0,6702 0,6913 0,8237 1,0746 1,4002 1,7219 1,9800 2,1696 2,3235 2,4940 2,7572 3,1741 3,7115 4,2157 4,4791 4,3511 3,8289 3,0647 2,2783 1,6547 1,3075 1,2864 1,5668 2,0408 2,5500 2,9500 3,1581 3,1513 2,9350 2,5299 1,9797 1,3435 0,6768 0,0382 -0,4788 -0,7470 -0,6723 -0,2739 0,3005 0,8503 1,2191 1,3310 1,1866 0,8436 0,3679 -0,2080 -0,8641 -1,5408 -2,1240 -2,4935 -2,6031 -2,5239 -2,3928 -2,3141 -2,3224 -2,3975 -2,4776 -2,4937 -2,4268 -2,3184 -2,2175 -2,1330 -2,0403 -1,9131 -1,7274 -1,4512 -1,0587 -0,5437 0,0781 0,7362 1,2714 1,4816 1,2358 0,5569 -0,4000 -1,4494 -2,4521 -3,3183 -3,9884 -4,4362 -4,6712 -4,7245 -4,6223 -4,3494 -3,8525 -3,1084 -2,2016 -1,3269 -0,6992 -0,4404 -0,5361 -0,8910 -1,4140 -2,0183 -2,5553 -2,8257 -2,6899 -2,1488 -1,3404 -0,4950 0,1515 0,4627 0,4186 0,0418 -0,6508 -1,6208 -2,7772 -3,9950 -5,1330 -6,0211 -6,4827 -6,4298 -5,9355 -5,1890 -4,3940 -3,7059 -3,2145 -2,9400 -2,8301 -2,7841 -2,7038 -2,5161 -2,1783 -1,7134 -1,2326 -0,8927 -0,8170 -1,0378 -1,4811 -1,9955 -2,4301 -2,7110 -2,8468 -2,8863 -2,9012 -2,9708 -3,1243 -3,2942 -3,3622 -3,2621 -3,0248 -2,7278 -2,4235 -2,1220 -1,8206 -1,5391 -1,3310 -1,2423 -1,2361 -1,1820 -0,9607 -0,5659 -0,0890 0,3568 0,6830 0,8435 0,8501 0,7604 0,6297 0,4845 0,3428 0,2267 0,1468 0,1126 0,1636 0,3611 0,7439 1,3095 2,0308 2,8679 3,7464 4,5345 5,0842 5,3163 5,2535 4,9722 4,5289 3,9261 3,1375 2,1833 1,1762 0,2814 -0,3482 -0,6032 -0,4446 0,0672 0,7936 1,5836 2,3171 2,9006 3,2491 3,2937 3,0176 2,4822 1,8235 1,2218 0,8245 0,6490 0,5745 0,4551 0,2402 -0,0032 -0,1636 -0,1760 -0,0645 0,0868 0,2073 0,2759 0,2821 0,1985 0,0183 -0,2149 -0,4369 -0,5994 -0,6676 -0,6109 -0,4254 -0,1611 0,0924 0,2370 0,1773 -0,1551 -0,7414 -1,4491 -2,0928 -2,5151 -2,6108 -2,3266 -1,6877 -0,8285 0,0425 0,7487 1,2183 1,4709 1,5755 1,6174 1,6542 1,6701 1,5743 1,2664 0,7206 0,0060 -0,7644 -1,4896 -2,0997 -2,5611 -2,8849 -3,1048 -3,2145 -3,1424 -2,8036 -2,1784 -1,3742 -0,6161 -0,1211 0,0490 0,0050 -0,0757 -0,0532 0,1321 0,4592 0,8604 1,2655 1,6105 1,8296 1,8845 1,8130 1,7276 1,7570 1,9750 2,3770 2,9086 3,4922 4,0312 4,4203 4,5656 4,4064 3,9453 3,2784 2,5737 1,9852 1,5683 1,2661 0,9713 0,6159 0,2233 -0,1054 -0,2300 -0,0203 0,5551 1,3711 2,2132 2,9142 3,4185 3,7404 3,8920 3,8659 3,6679 3,3160 2,8121 2,1778 1,5079 0,9458 0,6130 0,5619 0,7651 1,1526 1,6726 2,3118 3,0694 3,9146 4,7563 5,4538 5,8711 5,9256 5,5947 4,9126 3,9812 2,9299 1,8329 0,6958 -0,4591 -1,5250 -2,3570 -2,8654 -3,0329 -2,8596 -2,3301 -1,4455 -0,2635 1,0916 2,4351 3,5589 4,3135 4,6685 4,6920 4,4738 4,0530 3,4191 2,5995 1,7140 0,9198 0,3381 0,0406 0,0546 0,3519 0,8401 1,3678 1,7571 1,8768 1,7065 1,3270 0,8781 0,5293 0,4372 0,6858 1,2429 1,9677 2,6870 3,2764 3,6814 3,8949 3,9392 3,8853 3,8648 3,9952 4,2689 4,5366 4,6122 4,4094 3,9924 3,4842 2,9341 2,3093 1,5872 0,8040 0,0301 -0,6543 -1,1781 -1,5046 -1,6365 -1,5959 -1,4152 -1,1459 -0,8725 -0,7086 -0,7532 -1,0252 -1,4437 -1,8718 -2,1781 -2,2846 -2,1979 -2,0035 -1,8229 -1,7535 -1,8220 -1,9961 -2,2244 -2,4493 -2,6184 -2,7149 -2,7464 -2,6944 -2,5064 -2,1419 -1,6100 -0,9783 -0,3633 0,1080 0,3551 0,3793 0,2415 0,0081 -0,2712 -0,5488 -0,7713 -0,8904 -0,8734 -0,7059 -0,4148 -0,0943 0,1372 0,2289 0,2169 0,1464 0,0067 -0,2550 -0,6719 -1,2096 -1,7708 -2,2566 -2,6348 -2,9407 -3,2079 -3,4248 -3,5541 -3,5424 -3,3064 -2,7764 -1,9802 -1,0526 -0,1610
Fz    2,5433 2,1817 1,6590 1,0905 0,5879 0,2241 0,0354 0,0229 0,1417 0,3113 0,4597 0,5587 0,6144 0,6434 0,6741 0,7437 0,8698 1,0311 1,1831 1,2878 1,3337 1,3214 1,2241 0,9858 0,5881 0,1048 -0,3430 -0,6833 -0,9217 -1,0919 -1,2122 -1,2848 -1,3080 -1,2845 -1,2333 -1,1953 -1,2159 -1,3077 -1,4307 -1,5119 -1,4844 -1,3215 -1,0555 -0,7604 -0,5051 -0,3247 -0,2267 -0,2052 -0,2374 -0,2767 -0,2713 -0,2052 -0,1191 -0,0884 -0,1848 -0,4389 -0,8084 -1,1850 -1,4588 -1,5840 -1,5876 -1,5225 -1,4137 -1,2527 -1,0341 -0,7784 -0,5188 -0,2841 -0,1098 -0,0480 -0,1308 -0,3312 -0,5879 -0,8592 -1,1284 -1,3704 -1,5325 -1,5611 -1,4477 -1,2358 -0,9894 -0,7845 -0,7204 -0,9007 -1,3745 -2,0846 -2,8717 -3,5441 -3,9597 -4,0686 -3,9154 -3,6190 -3,3341 -3,1949 -3,2551 -3,4672 -3,7226 -3,9138 -3,9767 -3,9085 -3,7602 -3,6025 -3,4800 -3,3890 -3,2962 -3,1729 -3,0057 -2,7788 -2,4613 -2,0297 -1,4988 -0,9115 -0,3045 0,3002 0,8736 1,3624 1,6993 1,8379 1,7825 1,5816 1,2961 0,9726 0,6465 0,3665 0,1947 0,1725 0,2997 0,5477 0,8806 1,2586 1,6372 1,9716 2,2141 2,3188 2,2651 2,0685 1,7683 1,4205 1,0963 0,8668 0,7646 0,7455 0,7108 0,5879 0,3772 0,1226 -0,1363 -0,3840 -0,6223 -0,8487 -1,0436 -1,1744 -1,2073 -1,1235 -0,9368 -0,6955 -0,4600 -0,2669 -0,1075 0,0573 0,2512 0,4432 0,5596 0,5407 0,3804 0,1141 -0,2031 -0,4919 -0,6585 -0,6489 -0,5003 -0,3253 -0,2376 -0,2828 -0,4213 -0,5705 -0,6591 -0,6522 -0,5502 -0,3810 -0,1857 -0,0020 0,1516 0,2800 0,3876 0,4480 0,4120 0,2475 -0,0429 -0,4318 -0,8636 -1,2455 -1,4719 -1,4865 -1,3164 -1,0418 -0,7434 -0,4829 -0,3097 -0,2573 -0,3343 -0,5305 -0,8305 -1,2118 -1,6297 -2,0141 -2,2912 -2,4167 -2,3956 -2,2722 -2,1060 -1,9624 -1,8980 -1,9235 -1,9972 -2,0735 -2,1409 -2,2071 -2,2667 -2,2859 -2,2115 -1,9996 -1,6456 -1,1951 -0,7230 -0,2973 0,0302 0,2063 0,1745 -0,0916 -0,5499 -1,1059 -1,6778 -2,2371 -2,7795 -3,2797 -3,6802 -3,9140 -3,9406 -3,7625 -3,4048 -2,8876 -2,2293 -1,4790 -0,7330 -0,1112 0,2913 0,4369 0,3360 0,0161 -0,4736 -1,0258 -1,4920 -1,7622 -1,8207 -1,7377 -1,6288 -1,6072 -1,7356 -2,0039 -2,3535 -2,7233 -3,0806 -3,4188 -3,7367 -4,0131 -4,1938 -4,2122 -4,0394 -3,7180 -3,3360 -2,9754 -2,6853 -2,4850 -2,3746 -2,3386 -2,3539 -2,4021 -2,4666 -2,5241 -2,5548 -2,5622 -2,5800 -2,6551 -2,8100 -3,0203 -3,2341 -3,4133 -3,5481 -3,6342 -3,6647 -3,6470 -3,6022 -3,5369 -3,4284 -3,2475 -2,9961 -2,7170 -2,4669 -2,2841 -2,1819 -2,1520 -2,1687 -2,2005 -2,2173 -2,1836 -2,0584 -1,8288 -1,5398 -1,2682 -1,0600 -0,9118 -0,8093 -0,7591 -0,7770 -0,8677 -1,0196 -1,2089 -1,4092 -1,5980 -1,7499 -1,8264 -1,7848 -1,5978 -1,2669 -0,8207 -0,3065 0,2009 0,5986 0,7984 0,7811 0,6035 0,3542 0,1031 -0,1236 -0,3334 -0,5339 -0,7080 -0,8227 -0,8474 -0,7575 -0,5416 -0,2237 0,1362 0,4779 0,7600 0,9381 0,9487 0,7441 0,3429 -0,1711 -0,6885 -1,1050 -1,3442 -1,3872 -1,2802 -1,1094 -0,9585 -0,8686 -0,8255 -0,7848 -0,7099 -0,5943 -0,4549 -0,3172 -0,2104 -0,1618 -0,1789 -0,2440 -0,3301 -0,4137 -0,4722 -0,4851 -0,4456 -0,3688 -0,2913 -0,2655 -0,3497 -0,5831 -0,9562 -1,4065 -1,8460 -2,1926 -2,3909 -2,4197 -2,2906 -2,0427 -1,7331 -1,4113 -1,1031 -0,8229 -0,5853 -0,3992 -0,2672 -0,1993 -0,2156 -0,3266 -0,5123 -0,7259 -0,9201 -1,0702 -1,1695 -1,2175 -1,2269 -1,2273 -1,2408 -1,2635 -1,2703 -1,2288 -1,1242 -0,9854 -0,8746 -0,8458 -0,9121 -1,0419 -1,1785 -1,2693 -1,2825 -1,2056 -1,0408 -0,8049 -0,5329 -0,2696 -0,0462 0,1372 0,3016 0,4663 0,6445 0,8479 1,0684 1,2596 1,3557 1,3133 1,1361 0,8706 0,5827 0,3282 0,1254 -0,0549 -0,2726 -0,5778 -0,9660 -1,3566 -1,6281 -1,6826 -1,4928 -1,1160 -0,6724 -0,2896 -0,0465 0,0468 0,0306 -0,0430 -0,1407 -0,2520 -0,3808 -0,5336 -0,6939 -0,8184 -0,8750 -0,8643 -0,8008 -0,6938 -0,5449 -0,3514 -0,1139 0,1539 0,4211 0,6445 0,7831 0,8093 0,7104 0,4797 0,1166 -0,3566 -0,8908 -1,4340 -1,9496 -2,4087 -2,7829 -3,0604 -3,2541 -3,3701 -3,3764 -3,2199 -2,8695 -2,3358 -1,6638 -0,9228 -0,2033 0,3984 0,8065 0,9858 0,9422 0,7072 0,3256 -0,1389 -0,5996 -0,9709 -1,1934 -1,2315 -1,0726 -0,7440 -0,3170 0,1164 0,4753 0,7144 0,8335 0,8620 0,8359 0,7952 0,7953 0,8976 1,1302 1,4522 1,7707 2,0010 2,1180 2,1548 2,1562 2,1481 2,1419 2,1316 2,0778 1,9235 1,6407 1,2656 0,8862 0,5816 0,3650 0,1979 0,0502 -0,0793 -0,1909 -0,2979 -0,4079 -0,5111 -0,5866 -0,6189 -0,6145 -0,5997 -0,6005 -0,6334 -0,7072 -0,8189 -0,9536 -1,0940 -1,2219 -1,3145 -1,3552 -1,3515 -1,3385 -1,3655 -1,4697 -1,6529 -1,8783 -2,0818 -2,1977 -2,1985 -2,1032 -1,9413 -1,7229 -1,4444 -1,1105 -0,7550 -0,4427 -0,2463 -0,2125 -0,3331 -0,5498 -0,7986 -1,0484 -1,2948 -1,5352 -1,7568 -1,9412 -2,0734 -2,1528 -2,2005 -2,2404 -2,2688 -2,2535 -2,1698 -2,0333 -1,8976 -1,8276 -1,8653 -2,0104 -2,2313 -2,4864 -2,7329 -2,9276 -3,0402 -3,0664 -3,0192 -2,9065 -2,7356 -2,5369 -2,3473 -2,1699
F3    2,2800 1,9484 1,5000 1,0207 0,6273 0,4235 0,4601 0,7129 1,0838 1,4326 1,6424 1,6804 1,5893 1,4317 1,2673 1,1528 1,1157 1,1254 1,1085 1,0058 0,8179 0,5842 0,3205 0,0053 -0,3618 -0,7131 -0,9555 -1,0522 -1,0307 -0,9305 -0,7928 -0,6773 -0,6377 -0,6972 -0,8765 -1,2050 -1,6686 -2,1617 -2,5105 -2,5671 -2,3023 -1,8144 -1,2554 -0,7594 -0,4085 -0,2168 -0,1445 -0,1449 -0,1918 -0,2604 -0,3163 -0,3352 -0,3207 -0,3073 -0,3541 -0,5174 -0,8026 -1,1415 -1,4236 -1,5672 -1,5899 -1,6071 -1,7274 -1,9481 -2,1692 -2,2890 -2,2595 -2,0649 -1,7021 -1,2113 -0,6983 -0,3012 -0,1283 -0,2057 -0,4609 -0,7624 -0,9940 -1,1021 -1,0871 -0,9807 -0,8420 -0,7583 -0,8247 -1,1161 -1,6625 -2,4166 -3,2469 -3,9969 -4,5644 -4,9231 -5,0864 -5,0636 -4,8512 -4,4681 -3,9926 -3,5480 -3,2395 -3,1008 -3,0953 -3,1470 -3,1654 -3,0685 -2,8187 -2,4447 -2,0260 -1,6426 -1,3284 -1,0615 -0,7979 -0,5255 -0,2788 -0,0822 0,1030 0,3435 0,6526 0,9660 1,1996 1,3180 1,3453 1,3178 1,2423 1,0998 0,8856 0,6444 0,4632 0,4304 0,6045 0,9997 1,5821 2,2707 2,9524 3,5044 3,8084 3,7624 3,3137 2,5002 1,4637 0,4151 -0,4391 -0,9744 -1,1835 -1,1527 -1,0050 -0,8508 -0,7672 -0,7922 -0,9167 -1,0993 -1,2980 -1,4760 -1,5911 -1,5967 -1,4521 -1,1460 -0,7271 -0,2969 0,0451 0,2588 0,3774 0,4757 0,6147 0,7986 0,9797 1,1066 1,1470 1,0720 0,8693 0,5874 0,3338 0,2054 0,2122 0,2686 0,2639 0,1554 -0,0019 -0,1079 -0,0887 0,0737 0,3372 0,6105 0,8011 0,8720 0,8655 0,8791 0,9969 1,2185 1,4646 1,6531 1,7438 1,7134 1,5418 1,2534 0,9360 0,6845 0,5397 0,4960 0,5361 0,6340 0,7344 0,7603 0,6576 0,4311 0,1338 -0,1812 -0,4879 -0,7662 -0,9782 -1,0894 -1,1045 -1,0580 -0,9743 -0,8644 -0,7488 -0,6536 -0,5921 -0,5717 -0,6118 -0,7385 -0,9559 -1,2146 -1,4117 -1,4350 -1,2228 -0,8015 -0,2732 0,2387 0,6322 0,8336 0,7965 0,5144 0,0337 -0,5573 -1,1609 -1,7004 -2,1355 -2,4609 -2,6887 -2,8220 -2,8506 -2,7688 -2,5805 -2,2788 -1,8341 -1,2151 -0,4299 0,4507 1,3016 1,9700 2,3010 2,1749 1,5835 0,6875 -0,2469 -0,9968 -1,4769 -1,7140 -1,7753 -1,7411 -1,7067 -1,7488 -1,8777 -2,0449 -2,1938 -2,2927 -2,3370 -2,3288 -2,2590 -2,1187 -1,9350 -1,7780 -1,7148 -1,7594 -1,8675 -1,9672 -2,0014 -1,9605 -1,8838 -1,8248 -1,8109 -1,8293 -1,8325 -1,7525 -1,5450 -1,2418 -0,9566 -0,8245 -0,9211 -1,2280 -1,6565 -2,0915 -2,4332 -2,6307 -2,6826 -2,6093 -2,4398 -2,2293 -2,0643 -2,0172 -2,0957 -2,2491 -2,4173 -2,5406 -2,5402 -2,3378 -1,9129 -1,3252 -0,6876 -0,1293 0,2271 0,3056 0,1360 -0,1401 -0,3608 -0,4470 -0,4124 -0,3078 -0,1849 -0,0931 -0,0763 -0,1555 -0,3106 -0,4852 -0,6226 -0,6919 -0,6814 -0,5749 -0,3434 0,0236 0,4706 0,8787 1,1328 1,1829 1,0485 0,7849 0,4454 0,0688 -0,2983 -0,5931 -0,7698 -0,8191 -0,7377 -0,5041 -0,1060 0,4285 1,0350 1,6188 2,0446 2,1692 1,9242 1,3576 0,5897 -0,2384 -0,9728 -1,4658 -1,6350 -1,5089 -1,2204 -0,9512 -0,8444 -0,9306 -1,1222 -1,2771 -1,2885 -1,1322 -0,8476 -0,4980 -0,1477 0,1579 0,4116 0,6392 0,8708 1,1104 1,3384 1,5403 1,7138 1,8288 1,7961 1,5058 0,9140 0,0857 -0,8425 -1,7293 -2,4594 -2,9436 -3,1265 -2,9966 -2,5968 -2,0291 -1,4174 -0,8531 -0,3842 -0,0302 0,2182 0,3999 0,5592 0,7160 0,8565 0,9446 0,9390 0,8082 0,5475 0,1907 -0,2044 -0,5874 -0,9246 -1,1871 -1,3617 -1,4656 -1,5129 -1,4795 -1,3315 -1,0789 -0,7787 -0,4933 -0,2570 -0,0746 0,0680 0,1990 0,3573 0,5799 0,8762 1,2029 1,4841 1,6661 1,7328 1,6742 1,4904 1,2351 1,0093 0,8823 0,8389 0,8176 0,7764 0,7238 0,7012 0,7384 0,8315 0,9490 1,0346 1,0126 0,8217 0,4649 0,0326 -0,3377 -0,5377 -0,5328 -0,3558 -0,0691 0,2804 0,6774 1,1090 1,5320 1,8705 2,0332 1,9488 1,6040 1,0552 0,4065 -0,2333 -0,7990 -1,2688 -1,6169 -1,7973 -1,7767 -1,5606 -1,1847 -0,6956 -0,1432 0,4228 0,9591 1,4293 1,7923 1,9913 1,9744 1,7258 1,2616 0,6131 -0,1735 -1,0299 -1,8629 -2,5649 -3,0420 -3,2334 -3,1193 -2,7296 -2,1388 -1,4373 -0,7048 -0,0105 0,5654 0,9279 1,0110 0,8260 0,4645 0,0525 -0,3134 -0,5962 -0,7848 -0,8477 -0,7394 -0,4382 0,0361 0,6300 1,2566 1,8031 2,1785 2,3628 2,4039 2,3729 2,3263 2,2926 2,2833 2,3096 2,3746 2,4436 2,4439 2,3197 2,0977 1,8853 1,7906 1,8455 1,9943 2,1204 2,0983 1,8705 1,4870 1,0596 0,6733 0,3470 0,0761 -0,1068 -0,1298 0,0573 0,4280 0,8855 1,3244 1,6846 1,9584 2,1555 2,2588 2,2204 2,0084 1,6424 1,1823 0,7005 0,2647 -0,0762 -0,2974 -0,3959 -0,4022 -0,3929 -0,4726 -0,7214 -1,1363 -1,6116 -1,9926 -2,1608 -2,0784 -1,7830 -1,3594 -0,8966 -0,4522 -0,0469 0,3175 0,6363 0,8888 1,0337 1,0015 0,7246 0,2045 -0,4556 -1,0839 -1,5221 -1,7028 -1,6699 -1,5340 -1,4042 -1,3376 -1,3364 -1,3734 -1,4184 -1,4517 -1,4620 -1,4397 -1,3907 -1,3485 -1,3467 -1,3881 -1,4586 -1,5518 -1,6659 -1,7891 -1,8942 -1,9435 -1,9097 -1,7945 -1,6230 -1,4290 -1,2438 -1,0950
F7    1,9600 1,7009 1,4123 1,1074 0,8174 0,5769 0,4087 0,3222 0,3214 0,4108 0,5884 0,8372 1,1363 1,4704 1,7937 2,0046 1,9961 1,7383 1,3047 0,8283 0,4397 0,2228 0,1926 0,3056 0,4901 0,6597 0,7251 0,6259 0,3498 -0,0607 -0,5072 -0,8741 -1,0952 -1,1714 -1,1332 -1,0301 -0,9449 -0,9718 -1,1660 -1,5044 -1,8870 -2,1930 -2,3440 -2,3130 -2,1086 -1,7811 -1,4086 -1,0471 -0,7252 -0,4807 -0,3571 -0,3710 -0,5147 -0,7746 -1,1237 -1,5115 -1,8740 -2,1540 -2,3329 -2,4478 -2,5418 -2,5949 -2,5481 -2,3864 -2,1571 -1,9108 -1,6633 -1,4225 -1,2279 -1,1334 -1,1504 -1,2285 -1,3040 -1,3522 -1,3751 -1,3658 -1,3146 -1,2402 -1,1930 -1,2339 -1,4094 -1,7300 -2,1754 -2,7118 -3,2912 -3,8453 -4,2973 -4,5795 -4,6510 -4,5122 -4,2065 -3,8180 -3,4595 -3,2278 -3,1482 -3,1666 -3,2009 -3,1997 -3,1671 -3,1440 -3,1612 -3,2148 -3,2779 -3,3078 -3,2379 -2,9947 -2,5384 -1,8996 -1,1724 -0,4602 0,1760 0,7105 1,1151 1,3659 1,4767 1,4965 1,4820 1,4729 1,4785 1,4834 1,4694 1,4383 1,4148 1,4227 1,4580 1,4915 1,4942 1,4498 1,3605 1,2571 1,1817 1,1386 1,0785 0,9480 0,7504 0,5495 0,4197 0,3988 0,4733 0,5976 0,7314 0,8554 0,9501 0,9761 0,8996 0,7310 0,5205 0,3209 0,1645 0,0591 -0,0046 -0,0388 -0,0554 -0,0697 -0,0947 -0,1389 -0,2081 -0,2916 -0,3502 -0,3345 -0,2220 -0,0273 0,2145 0,4705 0,7249 0,9776 1,2254 1,4454 1,6092 1,7113 1,7670 1,7799 1,7280 1,5867 1,3689 1,1486 1,0375 1,1353 1,4924 2,0826 2,7933 3,4706 3,9915 4,2935 4,3628 4,2154 3,8785 3,3789 2,7555 2,0873 1,4901 1,0663 0,8536 0,8214 0,8897 0,9442 0,8753 0,6401 0,2893 -0,0660 -0,3110 -0,3907 -0,3575 -0,3404 -0,4453 -0,6848 -0,9795 -1,1964 -1,2134 -1,0063 -0,6845 -0,4216 -0,3442 -0,4757 -0,7522 -1,0705 -1,3371 -1,5054 -1,5877 -1,6256 -1,6324 -1,5744 -1,4082 -1,1297 -0,7944 -0,5035 -0,3587 -0,4233 -0,7002 -1,1315 -1,6288 -2,1148 -2,5498 -2,9481 -3,3595 -3,8013 -4,2093 -4,4753 -4,5242 -4,3469 -3,9813 -3,4799 -2,8932 -2,2815 -1,7303 -1,3359 -1,1616 -1,2030 -1,3823 -1,5792 -1,6980 -1,7229 -1,7025 -1,6983 -1,7627 -1,9325 -2,2142 -2,5779 -2,9613 -3,2838 -3,4814 -3,5506 -3,5641 -3,6267 -3,7999 -4,0721 -4,3915 -4,6996 -4,9388 -5,0649 -5,0676 -4,9678 -4,7955 -4,5884 -4,4017 -4,2913 -4,2816 -4,3635 -4,5095 -4,6783 -4,8257 -4,9367 -5,0322 -5,1333 -5,2271 -5,2770 -5,2666 -5,2283 -5,2213 -5,2871 -5,4246 -5,5887 -5,7114 -5,7454 -5,6939 -5,5880 -5,4477 -5,2768 -5,0872 -4,9091 -4,7683 -4,6654 -4,5834 -4,5077 -4,4371 -4,3697 -4,2811 -4,1348 -3,9205 -3,6803 -3,4976 -3,4488 -3,5510 -3,7554 -3,9890 -4,1878 -4,2954 -4,2631 -4,0689 -3,7481 -3,4099 -3,1877 -3,1429 -3,2301 -3,3411 -3,3626 -3,2338 -2,9916 -2,7464 -2,6102 -2,6443 -2,8401 -3,1376 -3,4728 -3,8006 -4,0798 -4,2675 -4,3351 -4,2785 -4,1215 -3,9053 -3,6627 -3,4054 -3,1409 -2,9001 -2,7402 -2,7071 -2,7962 -2,9697 -3,2033 -3,4933 -3,8211 -4,1351 -4,3765 -4,5162 -4,5675 -4,5703 -4,5635 -4,5644 -4,5642 -4,5431 -4,5052 -4,4958 -4,5665 -4,7236 -4,9185 -5,0782 -5,1480 -5,1248 -5,0551 -4,9861 -4,9199 -4,8242 -4,6840 -4,5225 -4,3729 -4,2466 -4,1338 -4,0291 -3,9528 -3,9411 -4,0154 -4,1628 -4,3416 -4,4984 -4,5963 -4,6384 -4,6569 -4,6772 -4,6917 -4,6643 -4,5598 -4,3708 -4,1214 -3,8610 -3,6544 -3,5545 -3,5802 -3,7194 -3,9530 -4,2641 -4,6185 -4,9479 -5,1681 -5,2216 -5,1085 -4,8735 -4,5630 -4,2133 -3,8768 -3,6336 -3,5586 -3,6751 -3,9333 -4,2307 -4,4676 -4,5940 -4,6025 -4,4982 -4,3001 -4,0435 -3,7496 -3,4131 -3,0341 -2,6494 -2,3267 -2,1240 -2,0457 -2,0358 -2,0179 -1,9383 -1,7810 -1,5714 -1,3717 -1,2519 -1,2481 -1,3412 -1,4812 -1,6439 -1,8607 -2,1844 -2,6296 -3,1423 -3,6139 -3,9258 -3,9973 -3,8182 -3,4536 -3,0186 -2,6291 -2,3420 -2,1348 -1,9501 -1,7513 -1,5439 -1,3697 -1,2789 -1,2922 -1,3908 -1,5326 -1,6605 -1,7169 -1,6768 -1,5653 -1,4366 -1,3393 -1,3011 -1,3384 -1,4670 -1,6919 -1,9853 -2,2857 -2,5336 -2,7194 -2,8813 -3,0398 -3,1568 -3,1711 -3,0552 -2,8463 -2,6360 -2,5101 -2,4888 -2,5218 -2,5352 -2,4849 -2,3781 -2,2473 -2,1051 -1,9282 -1,6841 -1,3746 -1,0565 -0,8099 -0,6834 -0,6791 -0,7793 -0,9673 -1,2172 -1,4814 -1,6933 -1,7887 -1,7379 -1,5585 -1,2956 -1,0027 -0,7417 -0,5763 -0,5434 -0,6234 -0,7365 -0,7821 -0,7019 -0,5065 -0,2525 -0,0026 0,2059 0,3704 0,5007 0,5937 0,6380 0,6410 0,6339 0,6352 0,6195 0,5468 0,4227 0,3128 0,2809 0,3142 0,3233 0,2168 -0,0313 -0,3777 -0,7483 -1,0711 -1,2889 -1,3738 -1,3437 -1,2395 -1,0872 -0,8993 -0,6994 -0,5172 -0,3720 -0,2744 -0,2311 -0,2454 -0,3229 -0,4742 -0,7016 -0,9814 -1,2617 -1,4876 -1,6298 -1,6911 -1,6965 -1,6809 -1,6725 -1,6701 -1,6453 -1,5732 -1,4467 -1,2651 -1,0328 -0,7768 -0,5477 -0,3894 -0,3054 -0,2714 -0,2887 -0,4033 -0,6599 -1,0485 -1,5002 -1,9273 -2,2763 -2,5539 -2,8101 -3,0983 -3,4359 -3,7928 -4,1161 -4,3629 -4,5209 -4,6121 -4,6744 -4,7321 -4,7852 -4,8182 -4,8164 -4,7815 -4,7360 -4,7066 -4,6978 -4,6811 -4,6243 -4,5298 -4,4295 -4,3491
