Fp1   3,2076 2,9167 2,4387 1,9383 1,6267 1,6567 2,0251 2,5484 2,9551 3,0434 2,7765 2,2490 1,5940 0,9283 0,3437 -0,1045 -0,4145 -0,6290 -0,8010 -0,9556 -1,0635 -1,0591 -0,9012 -0,6280 -0,3541 -0,2019 -0,2412 -0,4869 -0,9235 -1,4907 -2,0501 -2,4158 -2,4521 -2,1522 -1,6383 -1,0736 -0,5451 -0,0289 0,5296 1,1191 1,6364 1,9175 1,7884 1,1386 0,0019 -1,4216 -2,8384 -3,9781 -4,6702 -4,8608 -4,5989 -4,0124 -3,2843 -2,6014 -2,0760 -1,7233 -1,5340 -1,5371 -1,7694 -2,2087 -2,7532 -3,2508 -3,5479 -3,5544 -3,2811 -2,7893 -2,1149 -1,2884 -0,4162 0,3230 0,7802 0,9165 0,7823 0,4538 0,0049 -0,4906 -0,9674 -1,3845 -1,7298 -2,0131 -2,2564 -2,4860 -2,7210 -2,9530 -3,1398 -3,2227 -3,1450 -2,8704 -2,4214 -1,9073 -1,5009 -1,3626 -1,5642 -2,0744 -2,7819 -3,5143 -4,0662 -4,2604 -4,0151 -3,3817 -2,5284 -1,6709 -1,0004 -0,6530 -0,6950 -1,1042 -1,7703 -2,5286 -3,2158 -3,7361 -4,1026 -4,4082 -4,7450 -5,1359 -5,5186 -5,7707 -5,7568 -5,3815 -4,6356 -3,5997 -2,4016 -1,1816 -0,0765 0,8311 1,5769 2,2956 3,1237 4,1290 5,3059 6,5899 7,8701 9,0167 9,9112 10,4742 10,7037 10,6807 10,5036 10,2234 9,8633 9,4801 9,1871 9,1249 9,4064 10,0549 10,9615 11,8888 12,5468 12,7212 12,3769 11,6633 10,8111 10,0193 9,4181 9,0780 9,0143 9,2041 9,6126 10,1986 10,9045 11,6410 12,2841 12,7279 12,9551 13,0341 13,0485 13,0422 13,0196 12,9873 12,9833 13,0508 13,1809 13,2857 13,2278 12,8813 12,1862 11,1754 9,9827 8,8280 7,9621 7,5747 7,7078 8,2374 8,9379 9,5860 10,0445 10,2870 10,3513 10,2664 10,0277 9,6400 9,1734 8,7707 8,6009 8,7877 9,3421 10,1405 10,9812 11,6957 12,2234 12,5815 12,7907 12,8514 12,7685 12,5723 12,3226 12,1003 11,9861 12,0362 12,2473 12,5302 12,7465 12,8045 12,7174 12,5622 12,3991 12,2273 11,9986 11,6672 11,2385 10,7756 10,3673 10,1080 10,0965 10,4082 11,0405 11,8804 12,7261 13,3397 13,5139 13,1485 12,2966 11,1450 9,9420 8,9139 8,2051 7,8665 7,8667 8,0927 8,3648 8,5017 8,4130 8,1379 7,7898 7,4569 7,1523 6,8384 6,4755 6,0515 5,5886 5,1454 4,8076 4,6465 4,6687 4,8091 4,9699 5,0629 5,0316 4,8479 4,5081 4,0509 3,5717 3,1920 2,9877 2,9367 2,9489 2,9523 2,9383 2,9422 3,0199 3,2338 3,6104 4,0885 4,5196 4,7333 4,6208 4,1799 3,4992 2,7207 2,0049 1,4886 1,2521 1,3138 1,6400 2,1537 2,7453 3,2925 3,6795 3,8085 3,6196 3,1105 2,3249 1,3168 0,1525 -1,0408 -2,0542 -2,6579 -2,7026 -2,1857 -1,2544 -0,1582 0,8479 1,6143 2,1333 2,4721 2,6818 2,7576 2,6658 2,3920 1,9551 1,3967 0,7880 0,2326 -0,1716 -0,3818 -0,4070 -0,2668 0,0374 0,5214 1,1876 1,9778 2,7630 3,3975 3,7858 3,9003 3,7582 3,3930 2,8379 2,1293 1,3257 0,5125 -0,2217 -0,8037 -1,1606 -1,1983 -0,8202 0,0173 1,2362 2,5965 3,7475 4,3700 4,3148 3,6540 2,6370 1,5862 0,7741 0,3309 0,2245 0,3194 0,4631 0,5547 0,5786 0,5897 0,6590 0,8186 1,0348 1,2147 1,2473 1,0699 0,7097 0,2612 -0,1697 -0,5027 -0,6905 -0,7186 -0,6103 -0,4276 -0,2619 -0,2040 -0,2994 -0,5241 -0,8041 -1,0552 -1,2205 -1,2928 -1,2948 -1,2360 -1,1123 -0,9573 -0,8763 -1,0091 -1,4368 -2,1125 -2,8809 -3,5531 -3,9655 -4,0106 -3,6678 -3,0262 -2,2778 -1,6621 -1,3750 -1,4870 -1,9122 -2,4492 -2,8931 -3,1485 -3,2460 -3,2707 -3,3019 -3,4027 -3,6030 -3,8633 -4,0638 -4,0540 -3,7469 -3,1837 -2,4919 -1,7956 -1,1833 -0,7231 -0,4615 -0,4155 -0,5851 -0,9716 -1,5671 -2,3197 -3,1273 -3,8801 -4,4868 -4,8507 -4,8607 -4,4417 -3,6176 -2,5232 -1,3578 -0,3193 0,4366 0,8155 0,8065 0,4843 -0,0511 -0,7364 -1,5237 -2,3189 -2,9740 -3,3402 -3,3309 -2,9502 -2,2799 -1,4635 -0,6969 -0,1952 -0,1217 -0,5030 -1,1894 -1,9257 -2,5012 -2,8372 -2,9595 -2,9310 -2,8169 -2,6780 -2,5574 -2,4553 -2,3201 -2,0698 -1,6436 -1,0583 -0,4080 0,1935 0,6654 0,9777 1,1490 1,2216 1,2162 1,1118 0,8878 0,5718 0,2188 -0,1410 -0,5020 -0,8391 -1,0994 -1,2543 -1,3479 -1,4816 -1,7451 -2,1485 -2,5971 -2,9421 -3,0935 -3,1059 -3,1477 -3,3717 -3,8036 -4,3593 -4,9585 -5,5849 -6,2356 -6,8526 -7,3106 -7,4500 -7,1223 -6,2428 -4,8446 -3,1053 -1,3032 0,2896 1,5022 2,2758 2,6169 2,5748 2,2599 1,8292 1,4183 1,0976 0,8836 0,7617 0,7104 0,7415 0,9197 1,3316 2,0266 2,9614 3,9928 4,9280 5,5931 5,8981 5,8813 5,6740 5,3882 5,0356 4,5661 3,9765 3,3654 2,8864 2,6477 2,6460 2,7735 2,8768 2,8337 2,6347 2,4028 2,3106 2,4607 2,8184 3,2248 3,4894 3,4997 3,2596 2,8626 2,4485 2,1380 1,9733 1,9248 1,9322 1,9197 1,8024 1,5118 1,0314 0,4073 -0,2718 -0,9045 -1,3982 -1,6857 -1,7463 -1,6249 -1,4187 -1,2390 -1,1862 -1,3319 -1,6867 -2,1921 -2,7648 -3,3433 -3,8799 -4,3139 -4,5778 -4,6451 -4,5803 -4,5302 -4,6344 -4,9260 -5,3065 -5,6128 -5,7208 -5,5974 -5,2810 -4,8568 -4,4449 -4,1671 -4,0772 -4,1009 -4,0588 -3,7698 -3,1480 -2,2317 -1,1647 -0,1620 0,5389 0,7516 0,4219 -0,3263 -1,2231 -1,9588 -2,3031 -2,1699 -1,6101 -0,7538 0,2494
Fz    3,8039 3,5455 3,2487 2,9286 2,6317 2,4170 2,3204 2,3148 2,3129 2,2297 2,0411 1,7778 1,4830 1,1881 0,9107 0,6538 0,4099 0,1666 -0,0949 -0,3958 -0,7323 -1,0614 -1,3300 -1,5161 -1,6351 -1,7125 -1,7610 -1,7834 -1,7878 -1,7879 -1,7813 -1,7379 -1,6209 -1,4213 -1,1759 -0,9487 -0,7834 -0,6771 -0,5956 -0,5049 -0,3951 -0,2927 -0,2538 -0,3357 -0,5608 -0,8953 -1,2661 -1,6044 -1,8721 -2,0627 -2,1911 -2,2877 -2,3964 -2,5647 -2,8122 -3,1152 -3,4321 -3,7258 -3,9564 -4,0792 -4,0684 -3,9378 -3,7261 -3,4724 -3,2158 -2,9922 -2,8090 -2,6429 -2,4799 -2,3407 -2,2565 -2,2305 -2,2386 -2,2543 -2,2558 -2,2174 -2,1137 -1,9366 -1,7066 -1,4709 -1,2980 -1,2581 -1,3893 -1,6750 -2,0586 -2,4782 -2,8815 -3,2243 -3,4708 -3,5964 -3,6000 -3,5124 -3,3840 -3,2582 -3,1501 -3,0413 -2,9055 -2,7460 -2,6018 -2,5214 -2,5342 -2,6431 -2,8356 -3,0981 -3,4206 -3,7871 -4,1600 -4,4764 -4,6728 -4,7178 -4,6232 -4,4296 -4,1849 -3,9333 -3,7095 -3,5293 -3,3740 -3,1867 -2,8948 -2,4407 -1,7967 -0,9682 0,0136 1,1102 2,2901 3,5271 4,7991 6,0960 7,4163 8,7414 10,0157 11,1592 12,0976 12,7888 13,2434 13,5241 13,7083 13,8514 13,9867 14,1399 14,3248 14,5395 14,7800 15,0460 15,3247 15,5769 15,7443 15,7728 15,6406 15,3740 15,0386 14,7153 14,4844 14,4126 14,5373 14,8647 15,3794 16,0547 16,8505 17,6961 18,4840 19,1094 19,5212 19,7276 19,7709 19,7020 19,5665 19,4025 19,2385 19,0829 18,9216 18,7334 18,5045 18,2295 17,9043 17,5193 17,0606 16,5233 15,9335 15,3526 14,8552 14,5032 14,3318 14,3451 14,5181 14,8041 15,1423 15,4715 15,7536 15,9933 16,2298 16,5047 16,8353 17,2092 17,5935 17,9453 18,2298 18,4468 18,6384 18,8523 19,0919 19,3136 19,4656 19,5234 19,4981 19,4232 19,3361 19,2723 19,2570 19,2868 19,3314 19,3610 19,3581 19,3071 19,1903 18,9996 18,7467 18,4594 18,1699 17,9047 17,6763 17,4846 17,3269 17,2029 17,1130 17,0601 17,0477 17,0593 17,0411 16,9242 16,6757 16,3233 15,9313 15,5603 15,2469 15,0057 14,8332 14,7026 14,5687 14,3928 14,1751 13,9620 13,8089 13,7340 13,7105 13,6930 13,6449 13,5570 13,4505 13,3629 13,3319 13,3793 13,4993 13,6587 13,8070 13,8943 13,8932 13,8047 13,6522 13,4762 13,3271 13,2485 13,2577 13,3340 13,4364 13,5348 13,6175 13,6775 13,7176 13,7613 13,8333 13,9328 14,0327 14,0947 14,0866 14,0017 13,8745 13,7704 13,7484 13,8243 13,9642 14,1081 14,1975 14,1909 14,0707 13,8444 13,5357 13,1672 12,7501 12,2859 11,7748 11,2253 10,6686 10,1694 9,8118 9,6612 9,7299 9,9741 10,3147 10,6595 10,9317 11,1018 11,1828 11,1883 11,1078 10,9267 10,6530 10,3223 9,9771 9,6422 9,3236 9,0249 8,7513 8,4935 8,2267 7,9343 7,6328 7,3746 7,2231 7,2112 7,3204 7,4989 7,6917 7,8523 7,9437 7,9453 7,8532 7,6715 7,4072 7,0747 6,7027 6,3393 6,0532 5,9171 5,9715 6,1996 6,5341 6,8818 7,1525 7,2853 7,2648 7,1175 6,8974 6,6691 6,4917 6,4029 6,4145 6,5178 6,6871 6,8858 7,0817 7,2491 7,3564 7,3634 7,2427 6,9972 6,6594 6,2814 5,9184 5,6067 5,3511 5,1342 4,9410 4,7728 4,6370 4,5270 4,4181 4,2879 4,1370 3,9856 3,8536 3,7508 3,6872 3,6769 3,7295 3,8424 3,9979 4,1595 4,2735 4,2900 4,1981 4,0381 3,8695 3,7327 3,6402 3,5874 3,5594 3,5383 3,5099 3,4672 3,4044 3,3050 3,1479 2,9398 2,7312 2,5885 2,5595 2,6633 2,8950 3,2234 3,5936 3,9455 4,2332 4,4297 4,5188 4,4894 4,3463 4,1227 3,8673 3,6263 3,4396 3,3357 3,3224 3,3844 3,4924 3,6195 3,7462 3,8485 3,9072 3,9368 3,9816 4,0706 4,1869 4,2844 4,3200 4,2685 4,1176 3,8674 3,5440 3,2081 2,9279 2,7476 2,6896 2,7657 2,9635 3,2302 3,4814 3,6299 3,6227 3,4663 3,2232 2,9785 2,7999 2,7186 2,7315 2,8087 2,9004 2,9551 2,9422 2,8644 2,7521 2,6409 2,5556 2,5136 2,5329 2,6299 2,8118 3,0687 3,3750 3,7001 4,0154 4,2964 4,5280 4,7036 4,8101 4,8170 4,6963 4,4546 4,1366 3,7978 3,4858 3,2384 3,0740 2,9746 2,8917 2,7782 2,6129 2,4023 2,1703 1,9486 1,7593 1,6025 1,4600 1,3096 1,1339 0,9134 0,6206 0,2411 -0,1892 -0,5841 -0,8507 -0,9296 -0,8030 -0,4866 -0,0239 0,5186 1,0656 1,5589 1,9837 2,3679 2,7507 3,1593 3,6112 4,1122 4,6445 5,1706 5,6555 6,0737 6,4013 6,6215 6,7421 6,8101 6,9012 7,0786 7,3545 7,6902 8,0247 8,3140 8,5585 8,7949 9,0536 9,3232 9,5594 9,7204 9,7832 9,7402 9,5967 9,3761 9,1246 8,8924 8,7067 8,5690 8,4688 8,3848 8,2864 8,1487 7,9614 7,7275 7,4602 7,1777 6,8974 6,6363 6,4080 6,2153 6,0533 5,9111 5,7619 5,5637 5,2763 4,8793 4,3889 3,8598 3,3570 2,9201 2,5547 2,2404 1,9420 1,6294 1,2943 0,9411 0,5712 0,1860 -0,1994 -0,5600 -0,8786 -1,1510 -1,3789 -1,5587 -1,6826 -1,7580 -1,8161 -1,8901 -1,9997 -2,1533 -2,3458 -2,5534 -2,7425 -2,8836 -2,9598 -2,9721 -2,9427 -2,9022 -2,8629 -2,8098 -2,7262 -2,6150 -2,4835 -2,3194 -2,0948 -1,7947 -1,4375 -1,0667 -0,7219 -0,4128 -0,1231 0,1612 0,4363 0,6847 0,8822 1,0042
F3    2,7074 2,4180 2,1531 1,9307 1,8073 1,8438 2,0548 2,3731 2,6730 2,8488 2,8633 2,7272 2,4600 2,0838 1,6288 1,1280 0,6136 0,1193 -0,3290 -0,7177 -1,0273 -1,2261 -1,2958 -1,2548 -1,1517 -1,0419 -0,9661 -0,9414 -0,9692 -1,0447 -1,1475 -1,2365 -1,2735 -1,2555 -1,2262 -1,2447 -1,3334 -1,4552 -1,5399 -1,5287 -1,4071 -1,2129 -1,0206 -0,9053 -0,8993 -0,9730 -1,0691 -1,1552 -1,2391 -1,3456 -1,4903 -1,6724 -1,8872 -2,1325 -2,3912 -2,6239 -2,7937 -2,8833 -2,8907 -2,8200 -2,6745 -2,4497 -2,1444 -1,7910 -1,4669 -1,2486 -1,1500 -1,1237 -1,1179 -1,1174 -1,1390 -1,2049 -1,3259 -1,4962 -1,6847 -1,8305 -1,8636 -1,7411 -1,4712 -1,1178 -0,7935 -0,6329 -0,7390 -1,1233 -1,6905 -2,2863 -2,7684 -3,0548 -3,1353 -3,0563 -2,8987 -2,7438 -2,6340 -2,5552 -2,4506 -2,2566 -1,9506 -1,5818 -1,2552 -1,0826 -1,1352 -1,4226 -1,9067 -2,5288 -3,2208 -3,8984 -4,4630 -4,8236 -4,9344 -4,8160 -4,5375 -4,1816 -3,8219 -3,5065 -3,2493 -3,0412 -2,8593 -2,6588 -2,3821 -1,9844 -1,4420 -0,7484 0,0828 1,0152 1,9951 2,9644 3,8935 4,8164 5,8144 6,9402 8,1559 9,3438 10,3699 11,1466 11,6771 12,0479 12,3528 12,6265 12,8624 13,0644 13,2477 13,4086 13,5254 13,5813 13,5770 13,5315 13,4736 13,4205 13,3633 13,2841 13,1822 13,0815 13,0221 13,0469 13,1847 13,4511 13,8663 14,4613 15,2465 16,1616 17,0617 17,7752 18,1829 18,2582 18,0648 17,7187 17,3319 16,9795 16,6970 16,4895 16,3428 16,2288 16,1048 15,9217 15,6386 15,2281 14,6794 14,0126 13,2942 12,6251 12,1017 11,7783 11,6507 11,6717 11,7923 11,9887 12,2529 12,5705 12,9176 13,2684 13,5968 13,8753 14,0837 14,2220 14,3086 14,3628 14,4004 14,4564 14,5958 14,8689 15,2490 15,6340 15,9158 16,0471 16,0597 16,0342 16,0520 16,1628 16,3753 16,6555 16,9440 17,1865 17,3363 17,3387 17,1374 16,7102 16,1000 15,4078 14,7547 14,2412 13,9199 13,7906 13,8111 13,9094 14,0057 14,0527 14,0579 14,0546 14,0535 14,0327 13,9568 13,7917 13,5165 13,1407 12,7123 12,3037 11,9783 11,7563 11,6050 11,4637 11,2893 11,0807 10,8594 10,6319 10,3825 10,0989 9,7982 9,5297 9,3498 9,2934 9,3593 9,5117 9,6905 9,8317 9,8867 9,8446 9,7431 9,6412 9,5784 9,5635 9,5884 9,6388 9,6909 9,7102 9,6680 9,5603 9,3993 9,1980 8,9867 8,8333 8,8084 8,9257 9,1317 9,3472 9,5092 9,5925 9,6214 9,6582 9,7609 9,9381 10,1401 10,2925 10,3347 10,2286 9,9491 9,4917 8,8829 8,1695 7,4055 6,6552 5,9882 5,4592 5,1036 4,9557 5,0454 5,3642 5,8435 6,3721 6,8366 7,1543 7,2972 7,3003 7,2311 7,1298 6,9808 6,7477 6,4289 6,0723 5,7398 5,4677 5,2647 5,1325 5,0687 5,0526 5,0458 5,0143 4,9508 4,8857 4,8744 4,9540 5,1090 5,2905 5,4529 5,5622 5,5917 5,5332 5,4006 5,2091 4,9622 4,6678 4,3548 4,0719 3,8773 3,8148 3,8844 4,0358 4,2005 4,3211 4,3562 4,2821 4,1036 3,8542 3,5890 3,3795 3,2967 3,3799 3,6279 4,0158 4,5027 5,0301 5,5314 5,9415 6,1954 6,2379 6,0464 5,6395 5,0719 4,4348 3,8482 3,4202 3,2002 3,1663 3,2525 3,3843 3,5043 3,5826 3,6080 3,5782 3,5041 3,4035 3,2782 3,1118 2,9001 2,6634 2,4299 2,2233 2,0616 1,9535 1,8979 1,8972 1,9749 2,1589 2,4400 2,7622 3,0614 3,3043 3,4870 3,6092 3,6529 3,5869 3,3854 3,0329 2,5279 1,9038 1,2394 0,6423 0,2246 0,0835 0,2782 0,8018 1,5697 2,4377 3,2444 3,8516 4,1701 4,1731 3,9009 3,4404 2,8828 2,3045 1,7837 1,4087 1,2532 1,3390 1,6213 2,0160 2,4354 2,7987 3,0459 3,1661 3,1964 3,1849 3,1575 3,1084 3,0062 2,8013 2,4448 1,9327 1,3481 0,8529 0,6176 0,7460 1,2516 2,0669 3,0488 3,9956 4,6855 4,9339 4,6624 3,9410 2,9628 1,9689 1,1622 0,6510 0,4430 0,4738 0,6488 0,8836 1,1292 1,3763 1,6363 1,9129 2,1925 2,4633 2,7289 3,0003 3,2776 3,5430 3,7712 3,9436 4,0471 4,0776 4,0543 4,0111 3,9603 3,8729 3,6987 3,4110 3,0366 2,6524 2,3619 2,2653 2,4134 2,7654 3,1920 3,5325 3,6605 3,5193 3,1353 2,6062 2,0501 1,5483 1,1328 0,8024 0,5289 0,2572 -0,0686 -0,4511 -0,8117 -1,0354 -1,0452 -0,8359 -0,4589 0,0097 0,4913 0,9153 1,2275 1,4136 1,5141 1,5988 1,7245 1,9294 2,2586 2,7541 3,4112 4,1666 4,9365 5,6478 6,2408 6,6736 6,9449 7,1125 7,2660 7,4601 7,6775 7,8606 7,9664 7,9954 7,9891 8,0034 8,0730 8,1949 8,3392 8,4647 8,5209 8,4589 8,2593 7,9492 7,5936 7,2639 7,0059 6,8324 6,7294 6,6566 6,5605 6,4044 6,1895 5,9516 5,7408 5,5917 5,5069 5,4665 5,4405 5,4021 5,3432 5,2653 5,1551 4,9829 4,7130 4,3161 3,7975 3,2191 2,6724 2,2255 1,8914 1,6226 1,3301 0,9414 0,4586 -0,0573 -0,5483 -0,9879 -1,3649 -1,6664 -1,8814 -2,0082 -2,0534 -2,0180 -1,8930 -1,6857 -1,4410 -1,2305 -1,1350 -1,2276 -1,5344 -2,0037 -2,5227 -2,9639 -3,2294 -3,2838 -3,1605 -2,9269 -2,6362 -2,3188 -2,0124 -1,7712 -1,6281 -1,5562 -1,4829 -1,3367 -1,0781 -0,7017 -0,2227 0,3367 0,9408 1,5248 1,9977 2,2684 2,2804 2,0419
F7    2,1374 1,9639 1,8031 1,6660 1,5862 1,6044 1,7310 1,9126 2,0471 2,0527 1,9228 1,7112 1,4825 1,2781 1,0986 0,9032 0,6373 0,2770 -0,1523 -0,5878 -0,9498 -1,1699 -1,2195 -1,1195 -0,9230 -0,6858 -0,4509 -0,2513 -0,1242 -0,1052 -0,1955 -0,3425 -0,4672 -0,5185 -0,5139 -0,5185 -0,5730 -0,6545 -0,7102 -0,7096 -0,6687 -0,6497 -0,7354 -0,9777 -1,3509 -1,7522 -2,0637 -2,2251 -2,2519 -2,1971 -2,1066 -2,0040 -1,9057 -1,8294 -1,7773 -1,7330 -1,6887 -1,6536 -1,6285 -1,5896 -1,5041 -1,3555 -1,1440 -0,8733 -0,5571 -0,2235 0,1085 0,4336 0,7272 0,9332 1,0021 0,9294 0,7502 0,5130 0,2717 0,0832 -0,0124 -0,0118 0,0547 0,1416 0,1970 0,1662 0,0073 -0,2779 -0,6283 -0,9501 -1,1608 -1,2191 -1,1328 -0,9488 -0,7452 -0,6143 -0,6230 -0,7777 -1,0186 -1,2436 -1,3517 -1,2880 -1,0636 -0,7489 -0,4444 -0,2389 -0,1828 -0,2924 -0,5568 -0,9319 -1,3384 -1,6896 -1,9326 -2,0638 -2,1112 -2,1075 -2,0760 -2,0301 -1,9778 -1,9251 -1,8689 -1,7884 -1,6516 -1,4307 -1,1099 -0,6896 -0,1870 0,3780 1,0026 1,6984 2,4786 3,3596 4,3603 5,4750 6,6436 7,7602 8,7103 9,4094 9,8338 10,0192 10,0137 9,8470 9,5590 9,2338 8,9780 8,8745 8,9580 9,2119 9,5721 9,9425 10,2250 10,3543 10,3192 10,1672 9,9773 9,8208 9,7454 9,7779 9,9238 10,1732 10,5180 10,9607 11,5005 12,1032 12,6929 13,1933 13,5732 13,8396 14,0017 14,0507 13,9685 13,7541 13,4393 13,0785 12,7186 12,3745 12,0289 11,6555 11,2404 10,7820 10,2815 9,7513 9,2400 8,8328 8,6082 8,5885 8,7270 8,9362 9,1328 9,2741 9,3589 9,4032 9,4241 9,4447 9,5032 9,6478 9,9170 10,3162 10,7983 11,2678 11,6213 11,8114 11,8800 11,9138 11,9640 12,0178 12,0312 11,9670 11,8183 11,6198 11,4392 11,3501 11,3931 11,5498 11,7620 11,9820 12,1896 12,3726 12,5071 12,5589 12,4935 12,2868 11,9360 11,4653 10,9246 10,3881 9,9522 9,7076 9,6982 9,9010 10,2350 10,5783 10,7984 10,8102 10,6281 10,3507 10,0932 9,9305 9,8822 9,9254 10,0026 10,0249 9,8913 9,5386 8,9888 8,3480 7,7423 7,2453 6,8601 6,5521 6,2886 6,0575 5,8644 5,7259 5,6667 5,7080 5,8491 6,0565 6,2686 6,4170 6,4524 6,3455 6,0814 5,6771 5,1974 4,7386 4,3816 4,1569 4,0541 4,0562 4,1472 4,2996 4,4885 4,7095 4,9535 5,1708 5,2818 5,2211 4,9689 4,5541 4,0425 3,5241 3,0943 2,8230 2,7310 2,7903 2,9474 3,1503 3,3627 3,5598 3,7122 3,7785 3,7205 3,5227 3,1863 2,7132 2,1190 1,4667 0,8700 0,4453 0,2564 0,3021 0,5357 0,8855 1,2808 1,6813 2,0740 2,4385 2,7361 2,9337 3,0205 3,0028 2,8868 2,6717 2,3682 2,0199 1,6883 1,4186 1,2280 1,1244 1,1269 1,2744 1,6045 2,1050 2,6898 3,2358 3,6435 3,8636 3,8925 3,7593 3,5067 3,1696 2,7725 2,3380 1,8890 1,4566 1,1051 0,9351 1,0324 1,4074 1,9775 2,5947 3,0973 3,3690 3,3772 3,1694 2,8378 2,4834 2,1913 2,0136 1,9610 2,0096 2,1151 2,2326 2,3359 2,4173 2,4648 2,4485 2,3375 2,1224 1,8247 1,5030 1,2408 1,1002 1,0791 1,1152 1,1306 1,0743 0,9352 0,7261 0,4626 0,1673 -0,1094 -0,2953 -0,3394 -0,2444 -0,0530 0,1843 0,4276 0,6546 0,8529 1,0005 1,0442 0,9171 0,5995 0,1564 -0,3037 -0,6929 -0,9610 -1,0800 -1,0415 -0,8699 -0,6265 -0,3965 -0,2664 -0,3043 -0,5324 -0,9008 -1,3014 -1,6260 -1,8108 -1,8387 -1,7303 -1,5454 -1,3678 -1,2674 -1,2701 -1,3590 -1,4967 -1,6491 -1,7851 -1,8657 -1,8504 -1,7158 -1,4670 -1,1396 -0,7879 -0,4652 -0,2105 -0,0435 0,0245 -0,0286 -0,2173 -0,4990 -0,7743 -0,9555 -1,0197 -1,0017 -0,9551 -0,9270 -0,9487 -1,0299 -1,1453 -1,2322 -1,2293 -1,1180 -0,9098 -0,6128 -0,2307 0,2147 0,6688 1,0522 1,2887 1,3289 1,1561 0,7831 0,2503 -0,3676 -0,9635 -1,4346 -1,7281 -1,8518 -1,8483 -1,7645 -1,6332 -1,4723 -1,2934 -1,1037 -0,8972 -0,6490 -0,3351 0,0364 0,4219 0,7717 1,0559 1,2658 1,4073 1,4936 1,5345 1,5259 1,4563 1,3255 1,1441 0,9156 0,6419 0,3473 0,0762 -0,1420 -0,3146 -0,4694 -0,6263 -0,7868 -0,9313 -1,0319 -1,0861 -1,1350 -1,2417 -1,4474 -1,7453 -2,1010 -2,4935 -2,9158 -3,3350 -3,6801 -3,8806 -3,9035 -3,7503 -3,4280 -2,9389 -2,3032 -1,5837 -0,8707 -0,2345 0,2963 0,7218 1,0594 1,3465 1,6241 1,9059 2,1792 2,4332 2,6653 2,8655 3,0205 3,1369 3,2613 3,4653 3,7888 4,2009 4,6273 5,0028 5,3023 5,5447 5,7649 5,9591 6,0616 5,9934 5,7332 5,3337 4,8842 4,4652 4,1251 3,8872 3,7533 3,7010 3,7048 3,7597 3,8701 4,0247 4,1877 4,3139 4,3745 4,3764 4,3481 4,3140 4,2873 4,2718 4,2642 4,2660 4,2741 4,2524 4,1381 3,8789 3,4663 2,9526 2,4328 1,9933 1,6737 1,4743 1,3750 1,3408 1,3294 1,3065 1,2423 1,1047 0,8713 0,5439 0,1449 -0,2957 -0,7474 -1,1790 -1,5575 -1,8531 -2,0527 -2,1644 -2,2023 -2,1783 -2,1045 -1,9944 -1,8609 -1,7138 -1,5621 -1,4249 -1,3379 -1,3410 -1,4491 -1,6201 -1,7631 -1,7964 -1,6911 -1,4577 -1,1144 -0,6870 -0,2266 0,1943 0,5097 0,6941 0,7801 0,8350 0,9137 1,0352 1,1913 1,3599 1,5138
