Fp1   -2,7842 -3,1787 -3,3986 -3,3319 -2,9586 -2,3714 -1,6989 -1,0742 -0,6574 -0,5795 -0,8364 -1,2741 -1,6814 -1,9082 -1,9269 -1,8058 -1,6321 -1,4553 -1,2702 -1,0244 -0,6444 -0,0757 0,6739 1,5245 2,3756 3,1777 3,9381 4,6247 5,0861 5,1429 4,7459 4,0127 3,1790 2,5040 2,1184 1,9626 1,8999 1,8204 1,6153 1,1632 0,4025 -0,6056 -1,6766 -2,5561 -3,0173 -2,9456 -2,3737 -1,4644 -0,4148 0,6549 1,6970 2,6617 3,4839 4,1069 4,4775 4,5912 4,5760 4,6471 4,9489 5,4654 6,0529 6,5409 6,8267 6,8971 6,7846 6,5370 6,2347 6,0033 5,9746 6,2203 6,7178 7,3730 8,0529 8,6183 8,9949 9,1942 9,2372 9,1216 8,8810 8,6223 8,4744 8,5055 8,7019 8,9974 9,3137 9,6195 9,9528 10,3602 10,8402 11,3624 11,9102 12,5013 13,1573 13,8258 14,3753 14,7144 14,8718 14,9366 14,9841 15,0736 15,2318 15,4124 15,5301 15,5380 15,4671 15,4255 15,5471 15,8968 16,4087 16,9175 17,2626 17,3711 17,2357 16,8533 16,2467 15,5046 14,7240 13,9291 13,0905 12,2133 11,3830 10,7209 10,3081 10,1529 10,2112 10,4173 10,7029 11,0226 11,3542 11,6544 11,8527 11,8906 11,7275 11,3446 10,7698 10,0491 9,1932 8,2180 7,2545 6,5389 6,2358 6,3059 6,5719 6,8815 7,1904 7,5369 7,9786 8,5327 9,1551 9,7763 10,3433 10,8308 11,2329 11,5520 11,7954 11,9667 12,0672 12,1175 12,1463 12,1336 12,0067 11,7133 11,2868 10,8491 10,5712 10,6364 11,1673 12,1181 13,2599 14,3018 15,0315 15,3880 15,4569 15,3998 15,3552 15,3655 15,3795 15,3200 15,1310 14,7901 14,3391 13,8759 13,4714 13,1192 12,7763 12,4048 11,9478 11,3178 10,4723 9,4766 8,4500 7,4772 6,5823 5,7487 4,9730 4,3091 3,8227 3,5050 3,2695 3,0350 2,7964 2,6000 2,4436 2,2343 1,8819 1,3924 0,8192 0,1872 -0,4903 -1,1690 -1,7576 -2,1117 -2,0832 -1,6289 -0,8747 -0,0518 0,6457 1,1390 1,4207 1,4951 1,3863 1,1604 0,9010 0,6701 0,5004 0,4002 0,3380 0,2305 -0,0074 -0,3855 -0,8415 -1,3142 -1,7844 -2,2645 -2,7706 -3,2902 -3,7627 -4,0858 -4,1471 -3,8691 -3,2691 -2,4965 -1,7770 -1,2776 -1,0364 -1,0030 -1,0711 -1,1022 -1,0006 -0,7590 -0,4226 -0,0460 0,3202 0,6438 0,9134 1,1205 1,2620 1,3567 1,4263 1,4558 1,3990 1,2284 0,9634 0,6475 0,3120 -0,0526 -0,5081 -1,1283 -1,9260 -2,8148 -3,6446 -4,2885 -4,7169 -4,9815 -5,1237 -5,1165 -4,9063 -4,4852 -3,9183 -3,3422 -2,9286 -2,8075 -3,0087 -3,4468 -3,9580 -4,3969 -4,7023 -4,8804 -4,9832 -5,1046 -5,3408 -5,7311 -6,2439 -6,7980 -7,2804 -7,5801 -7,6522 -7,5370 -7,3074 -7,0306 -6,7657 -6,5519 -6,3959 -6,2699 -6,1079 -5,8157 -5,3212 -4,6546 -3,9669 -3,4228 -3,0851 -2,9186 -2,8688 -2,9060 -3,0025 -3,1104 -3,1826 -3,1977 -3,1528 -3,0490 -2,8998 -2,7574 -2,7105 -2,8333 -3,1148 -3,4481 -3,6900 -3,7105 -3,4018 -2,7132 -1,7102 -0,5789 0,4374 1,1219 1,3520 1,1223 0,5296 -0,2603 -1,0785 -1,8199 -2,4352 -2,8742 -3,0599 -2,9177 -2,4503 -1,7650 -0,9793 -0,1338 0,7733 1,7273 2,6792 3,5240 4,1079 4,3184 4,1575 3,7270 3,1738 2,6369 2,2086 1,9258 1,7874 1,7814 1,8915 2,0809 2,2859 2,4354 2,4902 2,4796 2,4706 2,4688 2,3761 2,0741 1,5377 0,8662 0,2479 -0,1127 -0,0998 0,2549 0,8045 1,3688 1,8142 2,0846 2,1945 2,2302 2,3238 2,5611 2,9121 3,2713 3,5524 3,7366 3,8545 3,9317 3,9514 3,8775 3,7068 3,4917 3,3146 3,2493 3,3475 3,6461 4,1633 4,8572 5,5991 6,2303 6,6483 6,8356 6,8295 6,6740 6,4121 6,1301 5,9668 6,0337 6,3334 6,7587 7,1609 7,4301 7,5403 7,5466 7,5535 7,6571 7,8967 8,2528 8,6508 8,9711 9,1016 8,9954 8,6677 8,1521 7,4836 6,7131 5,9022 5,0901 4,2695 3,4050 2,4863 1,5563 0,6852 -0,0730 -0,7065 -1,2424 -1,7213 -2,1607 -2,5153 -2,6722 -2,5118 -2,0077 -1,2920 -0,6064 -0,1519 0,0141 -0,0246 -0,0904 -0,0020 0,3125 0,7925 1,3237 1,8211 2,2644 2,6885 3,1436 3,6641 4,2585 4,9050 5,5650 6,2106 6,8134 7,3043 7,5854 7,5997 7,3865 7,0735 6,8068 6,6604 6,6017 6,5516 6,4552 6,2800 5,9917 5,5712 5,0376 4,4363 3,8249 3,2778 2,8875 2,7442 2,8945 3,3133 3,9108 4,5660 5,1705 5,6630 6,0363 6,3220 6,5474 6,7010 6,7558 6,7063 6,5656 6,3527 6,1087 5,9069 5,8409 5,9923 6,3766 6,8939 7,3517 7,5627 7,4318 6,9673 6,2446 5,3817 4,5207 3,7834 3,2392 2,9238 2,8469 2,9570 3,1476 3,3360 3,5190 3,7332 3,9702 4,1765 4,3428 4,5456 4,8932 5,4513 6,1965 7,0140 7,7672 8,4005 8,9637 9,5199 10,0602 10,5173 10,8196 10,9159 10,8061 10,5794 10,3860 10,3402 10,4468 10,6095 10,7053 10,6578 10,4581 10,1349 9,7050 9,1537 8,4630 7,6340 6,6948 5,7233 4,8256 4,0444 3,3109 2,5210 1,6336 0,6740 -0,3032 -1,2167 -1,9662 -2,4661 -2,6854 -2,6703 -2,5174 -2,3202 -2,1423 -2,0250 -1,9985 -2,0715 -2,2094 -2,3420 -2,4046 -2,3901 -2,3369 -2,2466 -2,0797 -1,8501 -1,6525 -1,5902 -1,6982 -1,8914 -1,9850 -1,8258 -1,4135 -0,8645 -0,2849 0,2719 0,7747 1,2248 1,6784 2,2256 2,9447 3,8404 4,8387 5,8712 6,9115 7,9246 8,8483
Fz    0,7294 0,5185 0,3204 0,1314 -0,0709 -0,3145 -0,6017 -0,9070 -1,2049 -1,4798 -1,7172 -1,8978 -2,0022 -2,0233 -1,9736 -1,8772 -1,7558 -1,6182 -1,4576 -1,2569 -1,0028 -0,6992 -0,3741 -0,0713 0,1757 0,3691 0,5454 0,7320 0,9111 1,0414 1,1051 1,1138 1,0926 1,0666 1,0421 1,0027 0,9385 0,8649 0,7983 0,7379 0,6754 0,6060 0,5353 0,4903 0,5159 0,6502 0,8962 1,2174 1,5666 1,9158 2,2487 2,5415 2,7702 2,9182 2,9730 2,9495 2,9230 3,0043 3,2682 3,7122 4,2683 4,8415 5,3487 5,7315 5,9473 5,9717 5,8220 5,5648 5,2940 5,0888 4,9789 4,9369 4,9027 4,8209 4,6793 4,5115 4,3582 4,2416 4,1730 4,1599 4,1954 4,2491 4,2802 4,2623 4,1959 4,1119 4,0700 4,1323 4,3300 4,6543 5,0692 5,5299 5,9926 6,4120 6,7481 6,9880 7,1482 7,2474 7,2932 7,2948 7,2646 7,2045 7,1121 6,9990 6,8965 6,8510 6,9095 7,0935 7,3838 7,7317 8,0821 8,3879 8,6078 8,7069 8,6748 8,5379 8,3377 8,1026 7,8413 7,5573 7,2606 6,9629 6,6594 6,3263 5,9453 5,5242 5,0936 4,6944 4,3593 4,0926 3,8757 3,6901 3,5156 3,3192 3,0654 2,7263 2,2871 1,7671 1,2416 0,8214 0,5898 0,5605 0,6883 0,9063 1,1519 1,3796 1,5707 1,7327 1,8869 2,0600 2,2788 2,5628 2,9154 3,3244 3,7727 4,2475 4,7421 5,2596 5,8069 6,3750 6,9339 7,4526 7,9211 8,3560 8,7944 9,2805 9,8411 10,4583 11,0729 11,6183 12,0521 12,3700 12,6024 12,7967 12,9938 13,2130 13,4517 13,6920 13,9046 14,0568 14,1298 14,1205 14,0246 13,8338 13,5522 13,1954 12,7651 12,2408 11,6075 10,8817 10,0975 9,2833 8,4599 7,6507 6,8883 6,2115 5,6447 5,1821 4,7990 4,4723 4,1851 3,9173 3,6321 3,2815 2,8401 2,3268 1,7845 1,2541 0,7723 0,3713 0,0725 -0,1157 -0,2022 -0,2187 -0,2139 -0,2325 -0,2897 -0,3623 -0,4126 -0,4194 -0,3824 -0,3080 -0,2022 -0,0703 0,0889 0,2844 0,5146 0,7491 0,9456 1,0879 1,1940 1,2933 1,4063 1,5373 1,6763 1,8070 1,9195 2,0198 2,1361 2,3081 2,5508 2,8248 3,0524 3,1698 3,1584 3,0318 2,8231 2,5766 2,3278 2,0936 1,8850 1,7169 1,6074 1,5755 1,6351 1,7850 2,0089 2,2839 2,5766 2,8350 3,0023 3,0453 2,9630 2,7680 2,4710 2,0778 1,5927 1,0249 0,3995 -0,2407 -0,8460 -1,3819 -1,8501 -2,2835 -2,7085 -3,1124 -3,4468 -3,6565 -3,7090 -3,6131 -3,4184 -3,1872 -2,9681 -2,7828 -2,6281 -2,4930 -2,3704 -2,2552 -2,1484 -2,0661 -2,0337 -2,0679 -2,1656 -2,2999 -2,4239 -2,4832 -2,4410 -2,2941 -2,0648 -1,7935 -1,5377 -1,3585 -1,2988 -1,3683 -1,5311 -1,7065 -1,8037 -1,7743 -1,6332 -1,4273 -1,1929 -0,9404 -0,6650 -0,3629 -0,0388 0,2924 0,6054 0,8759 1,0989 1,2936 1,4870 1,6891 1,8773 2,0050 2,0337 1,9581 1,8064 1,6309 1,4973 1,4602 1,5346 1,6896 1,8614 1,9743 1,9669 1,8131 1,5351 1,2021 0,9019 0,6975 0,6107 0,6384 0,7743 1,0170 1,3560 1,7627 2,2139 2,7143 3,2773 3,8962 4,5393 5,1580 5,6927 6,0894 6,3223 6,4061 6,3879 6,3222 6,2476 6,1799 6,1202 6,0668 6,0183 5,9629 5,8736 5,7180 5,4776 5,1621 4,7989 4,4017 3,9612 3,4751 2,9820 2,5617 2,3111 2,3056 2,5576 3,0033 3,5316 4,0296 4,4155 4,6421 4,6919 4,5856 4,3786 4,1259 3,8530 3,5615 3,2501 2,9275 2,6147 2,3323 2,0853 1,8645 1,6648 1,5031 1,4220 1,4734 1,6918 2,0766 2,5930 3,1854 3,7930 4,3687 4,8891 5,3523 5,7684 6,1453 6,4861 6,8053 7,1375 7,5210 7,9713 8,4728 8,9873 9,4721 9,8950 10,2463 10,5371 10,7811 10,9813 11,1362 11,2391 11,2689 11,1977 11,0110 10,7182 10,3437 9,9122 9,4405 8,9389 8,4125 7,8590 7,2686 6,6370 5,9795 5,3281 4,7147 4,1547 3,6446 3,1752 2,7437 2,3564 2,0263 1,7668 1,5801 1,4460 1,3316 1,2250 1,1534 1,1665 1,3116 1,6086 2,0344 2,5369 3,0710 3,6207 4,1995 4,8351 5,5435 6,3066 7,0718 7,7762 8,3844 8,9083 9,3772 9,7928 10,1283 10,3653 10,5195 10,6383 10,7800 10,9779 11,2177 11,4575 11,6606 11,8008 11,8601 11,8383 11,7548 11,6315 11,4767 11,2845 11,0511 10,7909 10,5342 10,3108 10,1397 10,0214 9,9383 9,8649 9,7778 9,6570 9,4841 9,2482 8,9586 8,6438 8,3334 8,0429 7,7744 7,5236 7,2933 7,1002 6,9622 6,8749 6,8097 6,7386 6,6536 6,5618 6,4681 6,3706 6,2634 6,1373 5,9842 5,8093 5,6279 5,4473 5,2656 5,0915 4,9603 4,9215 5,0056 5,2086 5,5119 5,9026 6,3760 6,9329 7,5733 8,2818 9,0266 9,7823 10,5440 11,3090 12,0525 12,7296 13,2953 13,7214 14,0131 14,2179 14,4036 14,6133 14,8357 15,0158 15,0914 15,0252 14,8101 14,4543 13,9670 13,3553 12,6307 11,8107 10,9161 9,9740 9,0121 8,0386 7,0336 5,9720 4,8533 3,7002 2,5422 1,4139 0,3594 -0,5759 -1,3635 -2,0005 -2,4970 -2,8655 -3,1235 -3,2958 -3,4136 -3,5075 -3,5930 -3,6616 -3,6902 -3,6608 -3,5658 -3,3959 -3,1452 -2,8322 -2,5004 -2,2018 -1,9808 -1,8493 -1,7676 -1,6636 -1,4785 -1,1919 -0,8170 -0,3887 0,0479 0,4614 0,8492 1,2291 1,6198 2,0185 2,4037 2,7722 3,1530 3,5789 4,0602
F3    0,0449 -0,0632 -0,2018 -0,3830 -0,6142 -0,8898 -1,1709 -1,3982 -1,5355 -1,5888 -1,5869 -1,5555 -1,5072 -1,4515 -1,3960 -1,3348 -1,2537 -1,1481 -1,0207 -0,8690 -0,6937 -0,5122 -0,3541 -0,2440 -0,1861 -0,1544 -0,0998 0,0152 0,1839 0,3699 0,5474 0,7158 0,8892 1,0743 1,2434 1,3377 1,3142 1,1891 1,0308 0,9153 0,8818 0,9152 0,9695 1,0148 1,0614 1,1444 1,2877 1,4826 1,6958 1,8888 2,0294 2,1011 2,1151 2,0964 2,0526 1,9851 1,9331 1,9683 2,1414 2,4489 2,8413 3,2505 3,6209 3,9174 4,1173 4,2117 4,2145 4,1669 4,1294 4,1476 4,2126 4,2668 4,2475 4,1256 3,9233 3,7015 3,5171 3,3969 3,3407 3,3308 3,3417 3,3478 3,3309 3,2837 3,2148 3,1599 3,1868 3,3683 3,7381 4,2646 4,8648 5,4447 5,9371 6,3138 6,5798 6,7688 6,9262 7,0780 7,2132 7,2933 7,2755 7,1362 6,8897 6,5923 6,3283 6,1875 6,2369 6,4943 6,9123 7,3941 7,8360 8,1678 8,3658 8,4401 8,4201 8,3438 8,2438 8,1361 8,0191 7,8803 7,7089 7,5027 7,2584 6,9644 6,6157 6,2297 5,8362 5,4624 5,1242 4,8184 4,5331 4,2697 4,0371 3,8314 3,6375 3,4363 3,2068 2,9447 2,6882 2,5074 2,4527 2,5194 2,6629 2,8335 2,9941 3,1166 3,1864 3,2103 3,2095 3,2117 3,2538 3,3743 3,5966 3,9225 4,3421 4,8426 5,4138 6,0533 6,7561 7,4919 8,2031 8,8300 9,3424 9,7522 10,1021 10,4432 10,8058 11,1784 11,5173 11,7760 11,9282 11,9789 11,9685 11,9592 12,0032 12,1182 12,2850 12,4628 12,6073 12,6846 12,6759 12,5706 12,3605 12,0540 11,6875 11,3001 10,8948 10,4389 9,9040 9,2907 8,6163 7,8997 7,1628 6,4286 5,7173 5,0540 4,4670 3,9737 3,5724 3,2447 2,9610 2,6864 2,3813 2,0126 1,5787 1,1149 0,6634 0,2491 -0,1165 -0,4346 -0,7230 -1,0052 -1,2886 -1,5590 -1,7943 -1,9790 -2,1021 -2,1483 -2,1047 -1,9810 -1,8108 -1,6322 -1,4728 -1,3466 -1,2490 -1,1562 -1,0483 -0,9349 -0,8459 -0,7996 -0,7926 -0,8103 -0,8286 -0,8176 -0,7619 -0,6762 -0,5898 -0,5185 -0,4505 -0,3615 -0,2443 -0,1233 -0,0363 -0,0080 -0,0422 -0,1353 -0,2782 -0,4513 -0,6277 -0,7814 -0,8936 -0,9578 -0,9770 -0,9502 -0,8633 -0,6929 -0,4184 -0,0331 0,4414 0,9444 1,3901 1,7039 1,8495 1,8288 1,6687 1,4110 1,1017 0,7760 0,4485 0,1151 -0,2339 -0,6057 -1,0067 -1,4426 -1,9054 -2,3540 -2,7150 -2,9138 -2,9149 -2,7455 -2,4821 -2,2033 -1,9514 -1,7303 -1,5243 -1,3185 -1,1146 -0,9300 -0,7897 -0,7218 -0,7449 -0,8533 -1,0142 -1,1750 -1,2789 -1,2862 -1,1940 -1,0317 -0,8360 -0,6396 -0,4793 -0,3938 -0,4095 -0,5235 -0,6882 -0,8174 -0,8274 -0,6868 -0,4320 -0,1384 0,1246 0,3244 0,4746 0,6180 0,7934 1,0096 1,2440 1,4650 1,6566 1,8235 1,9789 2,1268 2,2486 2,3069 2,2681 2,1197 1,8750 1,5709 1,2589 0,9868 0,7852 0,6594 0,5865 0,5225 0,4222 0,2563 0,0297 -0,2090 -0,3868 -0,4528 -0,4014 -0,2513 -0,0139 0,3124 0,7225 1,1921 1,6996 2,2476 2,8478 3,4915 4,1431 4,7522 5,2679 5,6538 5,9015 6,0338 6,0924 6,1148 6,1142 6,0809 6,0027 5,8812 5,7293 5,5542 5,3488 5,1021 4,8152 4,5050 4,1861 3,8497 3,4711 3,0425 2,5971 2,2102 1,9801 1,9867 2,2443 2,6927 3,2220 3,7096 4,0573 4,2069 4,1420 3,8974 3,5493 3,1744 2,8158 2,4842 2,1772 1,8941 1,6394 1,4179 1,2283 1,0648 0,9303 0,8501 0,8636 0,9974 1,2460 1,5744 1,9394 2,3071 2,6514 2,9540 3,2137 3,4521 3,7031 3,9904 4,3107 4,6456 4,9907 5,3670 5,7979 6,2832 6,7961 7,2996 7,7667 8,1918 8,5805 8,9275 9,2129 9,4207 9,5469 9,5884 9,5401 9,4084 9,2169 8,9927 8,7501 8,4862 8,1811 7,8057 7,3364 6,7685 6,1267 5,4655 4,8464 4,3046 3,8363 3,4168 3,0263 2,6633 2,3435 2,0892 1,9138 1,8085 1,7392 1,6649 1,5755 1,5084 1,5221 1,6629 1,9403 2,3198 2,7502 3,2013 3,6732 4,1888 4,7858 5,4933 6,2971 7,1318 7,9107 8,5691 9,0893 9,4849 9,7652 9,9229 9,9520 9,8672 9,7150 9,5639 9,4675 9,4289 9,4156 9,4012 9,3780 9,3424 9,2864 9,1968 9,0536 8,8354 8,5328 8,1638 7,7781 7,4409 7,2098 7,1214 7,1781 7,3422 7,5519 7,7488 7,8916 7,9543 7,9275 7,8237 7,6723 7,5034 7,3353 7,1697 6,9917 6,7828 6,5419 6,2910 6,0551 5,8451 5,6640 5,5153 5,3990 5,3041 5,2127 5,1133 5,0058 4,8945 4,7872 4,6977 4,6406 4,6242 4,6540 4,7415 4,9039 5,1446 5,4455 5,7865 6,1605 6,5672 7,0114 7,5087 8,0742 8,7072 9,3961 10,1282 10,8774 11,5949 12,2268 12,7398 13,1311 13,4273 13,6799 13,9454 14,2462 14,5474 14,7784 14,8802 14,8278 14,6186 14,2592 13,7627 13,1479 12,4311 11,6173 10,7046 9,7084 8,6694 7,6290 6,6045 5,5914 4,5783 3,5515 2,4945 1,4012 0,2916 -0,7894 -1,7894 -2,6631 -3,3766 -3,9154 -4,2940 -4,5551 -4,7598 -4,9647 -5,1899 -5,4081 -5,5733 -5,6591 -5,6597 -5,5645 -5,3639 -5,0774 -4,7524 -4,4414 -4,1879 -4,0122 -3,8927 -3,7708 -3,5845 -3,3023 -2,9352 -2,5300 -2,1456 -1,8175 -1,5391 -1,2744 -0,9859 -0,6593 -0,3018 0,0850 0,5140 0,9948 1,5177
F7    -0,9293 -0,8391 -0,6890 -0,4821 -0,2179 0,0817 0,3635 0,5602 0,6037 0,4479 0,1100 -0,3187 -0,7059 -0,9351 -0,9700 -0,8727 -0,7355 -0,6003 -0,4606 -0,3046 -0,1165 0,1269 0,4192 0,7138 0,9657 1,1633 1,3063 1,3600 1,2597 0,9760 0,5565 0,0956 -0,3129 -0,6000 -0,7253 -0,6615 -0,3932 0,0175 0,3909 0,5370 0,4047 0,0940 -0,2424 -0,4884 -0,5875 -0,5201 -0,2884 0,0683 0,4806 0,8940 1,2748 1,5671 1,7006 1,6566 1,4894 1,2985 1,2056 1,3122 1,6398 2,1079 2,5767 2,9251 3,1052 3,1451 3,1101 3,0659 3,0787 3,2113 3,4880 3,8858 4,3603 4,8512 5,2823 5,6003 5,8077 5,9340 6,0003 6,0322 6,0749 6,1793 6,3727 6,6272 6,8668 7,0245 7,0930 7,1235 7,1894 7,3312 7,5334 7,7629 8,0186 8,3285 8,6936 9,0441 9,2834 9,3806 9,3923 9,4024 9,4793 9,6769 10,0004 10,3541 10,5856 10,6010 10,4156 10,1164 9,8014 9,5426 9,3764 9,3144 9,3690 9,5349 9,7233 9,7950 9,7067 9,5511 9,4293 9,3397 9,2094 8,9980 8,7377 8,4799 8,2359 7,9842 7,7148 7,4481 7,2135 7,0233 6,8666 6,7195 6,5596 6,3698 6,1333 5,8332 5,4556 4,9892 4,4266 3,7851 3,1382 2,6060 2,2926 2,2327 2,3903 2,7002 3,1139 3,6221 4,2305 4,8984 5,5326 6,0635 6,4989 6,8941 7,2933 7,7028 8,1015 8,4655 8,7846 9,0632 9,3052 9,4961 9,6109 9,6477 9,6424 9,6410 9,6731 9,7626 9,9406 10,2236 10,5860 10,9677 11,3127 11,5964 11,8148 11,9692 12,0765 12,1752 12,3054 12,4826 12,6657 12,7624 12,7060 12,5071 12,2086 11,8306 11,3801 10,8801 10,3479 9,7561 9,0669 8,3054 7,5497 6,8513 6,2062 5,5925 5,0054 4,4562 3,9535 3,4887 3,0368 2,5771 2,1181 1,6907 1,3092 0,9462 0,5550 0,1075 -0,3982 -0,9454 -1,4948 -1,9841 -2,3423 -2,5109 -2,4753 -2,2906 -2,0588 -1,8733 -1,7825 -1,7839 -1,8370 -1,8868 -1,8859 -1,8247 -1,7450 -1,7150 -1,8008 -2,0462 -2,4492 -2,9513 -3,4587 -3,8760 -4,1355 -4,2125 -4,1370 -3,9954 -3,8936 -3,8935 -3,9865 -4,1194 -4,2342 -4,2908 -4,2798 -4,2335 -4,2084 -4,2334 -4,2783 -4,2719 -4,1433 -3,8831 -3,5785 -3,3529 -3,2649 -3,2765 -3,2943 -3,2266 -3,0254 -2,6991 -2,3005 -1,9045 -1,5685 -1,3005 -1,0676 -0,8381 -0,6192 -0,4548 -0,3884 -0,4437 -0,6412 -1,0015 -1,5176 -2,1319 -2,7407 -3,2357 -3,5597 -3,7179 -3,7304 -3,6119 -3,4110 -3,2186 -3,1086 -3,0977 -3,1633 -3,2787 -3,4214 -3,5483 -3,5916 -3,5006 -3,2781 -2,9684 -2,6300 -2,3381 -2,1809 -2,2135 -2,4273 -2,7606 -3,1137 -3,3639 -3,4072 -3,2123 -2,8449 -2,4349 -2,1106 -1,9469 -1,9455 -2,0428 -2,1500 -2,1962 -2,1483 -2,0280 -1,9077 -1,8521 -1,8649 -1,9072 -1,9544 -2,0116 -2,0761 -2,1132 -2,0774 -1,9472 -1,7415 -1,5029 -1,2659 -1,0529 -0,9062 -0,8995 -1,0946 -1,4782 -1,9455 -2,3451 -2,5457 -2,4881 -2,2135 -1,8489 -1,5518 -1,4416 -1,5499 -1,8205 -2,1572 -2,4715 -2,7169 -2,8964 -3,0325 -3,1316 -3,1608 -3,0548 -2,7750 -2,3575 -1,8742 -1,3706 -0,8584 -0,3358 0,1967 0,7170 1,1738 1,5152 1,7299 1,8536 1,9332 1,9819 1,9735 1,8824 1,7194 1,5330 1,3786 1,2869 1,2521 1,2351 1,1812 1,0589 0,8728 0,6298 0,3201 -0,0505 -0,4290 -0,7226 -0,8193 -0,6372 -0,2039 0,3319 0,7983 1,1045 1,2535 1,2831 1,2208 1,0946 0,9519 0,8380 0,7579 0,6769 0,5540 0,3739 0,1582 -0,0550 -0,2439 -0,4106 -0,5616 -0,6980 -0,8221 -0,9228 -0,9472 -0,8107 -0,4572 0,0869 0,7252 1,3538 1,9032 2,3339 2,6243 2,7758 2,8262 2,8474 2,9185 3,0853 3,3417 3,6464 3,9524 4,2303 4,4718 4,6759 4,8446 4,9935 5,1511 5,3395 5,5489 5,7279 5,8031 5,7142 5,4409 5,0091 4,4854 3,9622 3,5280 3,2368 3,0838 2,9948 2,8529 2,5667 2,1259 1,5905 1,0384 0,5277 0,0998 -0,2111 -0,3952 -0,4809 -0,5083 -0,4983 -0,4607 -0,4195 -0,4093 -0,4408 -0,4791 -0,4554 -0,3060 -0,0161 0,3712 0,8022 1,2645 1,7832 2,3744 3,0072 3,6150 4,1383 4,5506 4,8574 5,0908 5,2882 5,4571 5,5660 5,5802 5,5090 5,4112 5,3589 5,3988 5,5345 5,7251 5,8947 5,9532 5,8346 5,5295 5,0887 4,6024 4,1650 3,8355 3,6218 3,5064 3,4769 3,5236 3,6228 3,7374 3,8303 3,8772 3,8704 3,8129 3,7127 3,5875 3,4811 3,4611 3,5755 3,7999 4,0383 4,1819 4,1740 4,0271 3,7947 3,5238 3,2139 2,8308 2,3655 1,8639 1,3987 1,0342 0,8101 0,7334 0,7803 0,9104 1,0731 1,2037 1,2511 1,2210 1,1692 1,1463 1,1757 1,2902 1,5590 2,0629 2,8434 3,8445 4,9010 5,8233 6,4994 6,9232 7,1613 7,3070 7,4463 7,6429 7,9256 8,2774 8,6531 9,0168 9,3615 9,6970 10,0223 10,3053 10,4855 10,5087 10,3552 10,0343 9,5680 8,9894 8,3408 7,6640 6,9872 6,3176 5,6527 4,9915 4,3225 3,6221 2,8693 2,0464 1,1433 0,1770 -0,8065 -1,7517 -2,6041 -3,3195 -3,8836 -4,3178 -4,6609 -4,9520 -5,2227 -5,4883 -5,7594 -6,0538 -6,3691 -6,6535 -6,8255 -6,8193 -6,6287 -6,3183 -5,9831 -5,7078 -5,5498 -5,5154 -5,5466 -5,5560 -5,4826 -5,3146 -5,0721 -4,7840 -4,4686 -4,1153 -3,6924 -3,1723 -2,5561 -1,8963 -1,2783 -0,7563 -0,3259 0,0500 0,4173
