Fp1   0,6312 0,7467 0,8366 0,9643 1,1699 1,4590 1,8085 2,1556 2,3951 2,4129 2,1500 1,6539 1,0585 0,5069 0,0949 -0,1418 -0,2319 -0,2480 -0,2464 -0,2296 -0,1783 -0,0979 -0,0255 -0,0063 -0,0665 -0,2051 -0,3982 -0,5963 -0,7223 -0,7076 -0,5568 -0,3649 -0,2495 -0,2656 -0,3903 -0,5610 -0,7050 -0,7686 -0,7475 -0,6721 -0,5711 -0,4702 -0,4126 -0,4583 -0,6497 -0,9725 -1,3521 -1,6948 -1,9484 -2,1313 -2,2985 -2,4732 -2,6204 -2,6871 -2,6436 -2,4891 -2,2514 -1,9773 -1,7092 -1,4709 -1,2720 -1,1085 -0,9682 -0,8496 -0,7734 -0,7680 -0,8430 -0,9739 -1,1146 -1,2263 -1,2949 -1,3255 -1,3257 -1,2937 -1,2171 -1,0817 -0,8836 -0,6274 -0,3149 0,0435 0,4079 0,7145 0,9082 0,9768 0,9592 0,9137 0,8837 0,8811 0,8817 0,8355 0,6966 0,4467 0,0928 -0,3419 -0,8127 -1,2534 -1,5983 -1,8094 -1,8895 -1,8657 -1,7626 -1,5906 -1,3581 -1,0898 -0,8251 -0,5919 -0,3801 -0,1493 0,1307 0,4533 0,7809 1,0667 1,2821 1,4285 1,5293 1,6229 1,7563 1,9685 2,2694 2,6233 2,9581 3,2007 3,3125 3,3138 3,2740 3,2612 3,3019 3,3841 3,4782 3,5477 3,5564 3,4828 3,3352 3,1462 2,9429 2,7318 2,5171 2,3203 2,1745 2,1053 2,1055 2,1160 2,0418 1,8103 1,4250 0,9590 0,4920 0,0599 -0,3327 -0,6712 -0,9173 -1,0335 -1,0159 -0,9107 -0,7935 -0,7130 -0,6521 -0,5527 -0,3696 -0,1021 0,2062 0,4827 0,6497 0,6576 0,5105 0,2560 -0,0463 -0,3331 -0,5321 -0,5758 -0,4378 -0,1516 0,2034 0,5336 0,7652 0,8689 0,8683 0,8264 0,8079 0,8508 0,9670 1,1454 1,3499 1,5316 1,6529 1,7076 1,7266 1,7594 1,8355 1,9441 2,0529 2,1362 2,1919 2,2495 2,3627 2,5840 2,9374 3,4030 3,9165 4,3964 4,7866 5,0722 5,2515 5,3041 5,1923 4,8908 4,4206 3,8631 3,3333 2,9252 2,6774 2,5785 2,5869 2,6454 2,6984 2,7111 2,6773 2,6171 2,5684 2,5721 2,6576 2,8310 3,0548 3,2465 3,3311 3,2979 3,2027 3,1253 3,1283 3,2284 3,3885 3,5382 3,6111 3,5716 3,4247 3,2023 2,9387 2,6602 2,3937 2,1750 2,0352 1,9780 1,9769 1,9964 2,0164 2,0472 2,1249 2,2775 2,4865 2,6826 2,7848 2,7470 2,5757 2,3180 2,0413 1,8137 1,6880 1,6960 1,8463 2,1194 2,4656 2,8168 3,1043 3,2761 3,3124 3,2274 3,0530 2,8228 2,5678 2,3172 2,0892 1,8761 1,6480 1,3801 1,0802 0,7878 0,5476 0,3861 0,3110 0,3162 0,3846 0,4939 0,6213 0,7415 0,8272 0,8633 0,8583 0,8378 0,8366 0,8973 1,0575 1,3245 1,6620 2,0056 2,2933 2,4907 2,6002 2,6533 2,6876 2,7287 2,7904 2,8677 2,9162 2,8608 2,6510 2,3033 1,8880 1,4881 1,1654 0,9490 0,8523 0,8852 1,0341 1,2507 1,4749 1,6676 1,8230 1,9496 2,0396 2,0634 1,9963 1,8435 1,6432 1,4610 1,3744 1,4284 1,5987 1,8194 2,0455 2,2674 2,4673 2,5961 2,6130 2,5277 2,3877 2,2361 2,0905 1,9667 1,9061 1,9553 2,1238 2,3769 2,6621 2,9241 3,1096 3,1823 3,1408 3,0202 2,8747 2,7484 2,6587 2,6042 2,5695 2,5225 2,4291 2,2832 2,1165 1,9821 1,9281 1,9684 2,0696 2,1724 2,2239 2,1875 2,0513 1,8466 1,6431 1,5110 1,4861 1,5617 1,7042 1,8678 1,9971 2,0437 1,9976 1,9009 1,8234 1,8188 1,9003 2,0488 2,2334 2,4311 2,6382 2,8594 3,0826 3,2754 3,4149 3,5093 3,5834 3,6461 3,6731 3,6283 3,4986 3,3003 3,0614 2,8125 2,5872 2,4191 2,3345 2,3502 2,4651 2,6377 2,7868 2,8393 2,7756 2,6256 2,4447 2,3004 2,2561 2,3412 2,5353 2,7839 3,0217 3,1865 3,2340 3,1554 2,9828 2,7767 2,5969 2,4702 2,3782 2,2763 2,1318 1,9488 1,7592 1,6008 1,5026 1,4696 1,4752 1,4801 1,4579 1,4033 1,3345 1,2981 1,3419 1,4760 1,6667 1,8671 2,0526 2,2264 2,3922 2,5321 2,6185 2,6450 2,6412 2,6495 2,6952 2,7858 2,9194 3,0787 3,2374 3,3785 3,4898 3,5429 3,4957 3,3299 3,0794 2,8117 2,5881 2,4511 2,4372 2,5718 2,8365 3,1448 3,3634 3,3749 3,1432 2,7334 2,2709 1,8862 1,6786 1,6891 1,8871 2,1901 2,5104 2,8013 3,0783 3,3922 3,7761 4,2166 4,6709 5,0903 5,4238 5,6258 5,6798 5,6160 5,5034 5,4213 5,4221 5,5073 5,6353 5,7597 5,8517 5,8965 5,8892 5,8371 5,7615 5,6905 5,6463 5,6360 5,6417 5,6145 5,5023 5,2791 4,9432 4,5168 4,0632 3,6774 3,4416 3,3822 3,4542 3,5721 3,6585 3,6634 3,5605 3,3585 3,1191 2,9391 2,8930 2,9888 3,1713 3,3575 3,4764 3,5010 3,4509 3,3679 3,3011 3,2982 3,3750 3,5044 3,6508 3,8010 3,9551 4,1095 4,2557 4,3751 4,4298 4,3770 4,1974 3,9119 3,5818 3,2922 3,1221 3,1243 3,3136 3,6522 4,0560 4,4376 4,7497 4,9887 5,1697 5,3078 5,4080 5,4597 5,4374 5,3218 5,1348 4,9405 4,7927 4,6915 4,6082 4,5419 4,5262 4,5864 4,7169 4,8907 5,0590 5,1482 5,0851 4,8307 4,3976 3,8425 3,2376 2,6524 2,1601 1,8348 1,7226 1,8211 2,0899 2,4704 2,8960 3,2950 3,6019 3,7801 3,8398 3,8348 3,8417 3,9333 4,1413 4,4392 4,7726 5,0944 5,3627 5,5260 5,5375 5,3921 5,1395 4,8578 4,6187 4,4622
Fz    0,6271 0,8354 1,0261 1,2385 1,4579 1,6374 1,7338 1,7180 1,5772 1,3215 0,9958 0,6797 0,4494 0,3302 0,2914 0,2749 0,2198 0,0949 -0,0662 -0,1885 -0,2287 -0,2057 -0,1699 -0,1735 -0,2576 -0,4428 -0,7173 -1,0182 -1,2403 -1,2955 -1,1703 -0,9240 -0,6420 -0,3901 -0,1974 -0,0638 0,0291 0,1080 0,1908 0,2734 0,3309 0,3279 0,2284 0,0061 -0,3358 -0,7603 -1,2203 -1,6819 -2,1188 -2,4944 -2,7627 -2,8950 -2,9063 -2,8446 -2,7507 -2,6432 -2,5332 -2,4257 -2,3102 -2,1693 -2,0033 -1,8327 -1,6771 -1,5469 -1,4484 -1,3846 -1,3515 -1,3353 -1,3195 -1,3026 -1,3069 -1,3616 -1,4786 -1,6399 -1,8095 -1,9558 -2,0572 -2,0933 -2,0480 -1,9236 -1,7395 -1,5206 -1,2963 -1,0942 -0,9238 -0,7802 -0,6632 -0,5852 -0,5587 -0,5866 -0,6634 -0,7879 -0,9652 -1,1890 -1,4269 -1,6357 -1,7913 -1,8979 -1,9707 -2,0114 -2,0034 -1,9279 -1,7841 -1,6021 -1,4342 -1,3234 -1,2734 -1,2541 -1,2308 -1,1869 -1,1272 -1,0657 -1,0075 -0,9452 -0,8721 -0,7878 -0,6850 -0,5448 -0,3565 -0,1395 0,0628 0,2048 0,2537 0,2038 0,0859 -0,0489 -0,1565 -0,2098 -0,1957 -0,1171 0,0069 0,1502 0,2836 0,3719 0,3755 0,2683 0,0587 -0,2108 -0,4823 -0,7018 -0,8359 -0,8862 -0,8869 -0,8856 -0,9183 -0,9927 -1,0946 -1,2117 -1,3415 -1,4761 -1,5912 -1,6559 -1,6520 -1,5864 -1,4857 -1,3705 -1,2335 -1,0478 -0,7968 -0,4886 -0,1501 0,1767 0,4379 0,5814 0,5781 0,4338 0,1856 -0,1163 -0,4204 -0,6725 -0,8192 -0,8304 -0,7206 -0,5457 -0,3754 -0,2594 -0,2019 -0,1622 -0,0910 0,0282 0,1688 0,2826 0,3324 0,3107 0,2347 0,1297 0,0255 -0,0418 -0,0436 0,0170 0,1028 0,1705 0,1974 0,1879 0,1638 0,1548 0,1922 0,2965 0,4616 0,6602 0,8660 1,0647 1,2447 1,3835 1,4384 1,3616 1,1396 0,8231 0,5099 0,2968 0,2336 0,3077 0,4595 0,6155 0,7199 0,7478 0,6987 0,5905 0,4660 0,3869 0,4020 0,5211 0,7131 0,9226 1,0969 1,2109 1,2754 1,3246 1,3905 1,4817 1,5805 1,6544 1,6717 1,6160 1,4944 1,3302 1,1503 0,9826 0,8568 0,7932 0,7875 0,8145 0,8469 0,8689 0,8783 0,8904 0,9343 1,0315 1,1736 1,3232 1,4340 1,4763 1,4486 1,3676 1,2496 1,1086 0,9651 0,8458 0,7727 0,7566 0,7966 0,8809 0,9881 1,0913 1,1685 1,2075 1,1956 1,1110 0,9368 0,6781 0,3613 0,0190 -0,3267 -0,6727 -1,0209 -1,3526 -1,6259 -1,8017 -1,8667 -1,8347 -1,7353 -1,6061 -1,4809 -1,3773 -1,2896 -1,1947 -1,0701 -0,9109 -0,7333 -0,5586 -0,3920 -0,2194 -0,0327 0,1458 0,2711 0,3103 0,2704 0,1872 0,0948 0,0104 -0,0601 -0,1197 -0,1892 -0,3051 -0,4936 -0,7397 -0,9865 -1,1665 -1,2382 -1,1942 -1,0438 -0,8072 -0,5272 -0,2667 -0,0804 0,0183 0,0646 0,1064 0,1555 0,1817 0,1535 0,0742 -0,0189 -0,0763 -0,0564 0,0538 0,2303 0,4332 0,6302 0,7981 0,9117 0,9474 0,9042 0,8115 0,7102 0,6294 0,5783 0,5572 0,5709 0,6243 0,7073 0,7913 0,8415 0,8328 0,7637 0,6643 0,5927 0,6055 0,7168 0,8861 1,0490 1,1615 1,2179 1,2333 1,2159 1,1583 1,0490 0,8912 0,7167 0,5756 0,5005 0,4904 0,5257 0,5822 0,6326 0,6544 0,6381 0,5887 0,5229 0,4655 0,4419 0,4630 0,5116 0,5484 0,5318 0,4391 0,2775 0,0804 -0,1014 -0,2112 -0,2066 -0,0760 0,1638 0,4786 0,8181 1,1215 1,3413 1,4627 1,4980 1,4649 1,3654 1,1894 0,9416 0,6554 0,3790 0,1530 0,0008 -0,0709 -0,0676 0,0012 0,1236 0,2677 0,3743 0,3916 0,3130 0,1712 0,0090 -0,1356 -0,2280 -0,2406 -0,1665 -0,0202 0,1737 0,3815 0,5557 0,6445 0,6128 0,4651 0,2490 0,0240 -0,1740 -0,3382 -0,4763 -0,6006 -0,7221 -0,8456 -0,9664 -1,0794 -1,1925 -1,3233 -1,4798 -1,6466 -1,7873 -1,8595 -1,8371 -1,7227 -1,5418 -1,3275 -1,1073 -0,8941 -0,6886 -0,4972 -0,3421 -0,2425 -0,1906 -0,1601 -0,1282 -0,0819 -0,0152 0,0648 0,1347 0,1636 0,1292 0,0352 -0,0829 -0,1772 -0,2182 -0,2085 -0,1685 -0,1122 -0,0375 0,0574 0,1547 0,2133 0,1875 0,0586 -0,1462 -0,3680 -0,5504 -0,6578 -0,6713 -0,5843 -0,4095 -0,1814 0,0576 0,2779 0,4768 0,6737 0,8893 1,1247 1,3572 1,5568 1,7067 1,8078 1,8652 1,8802 1,8500 1,7709 1,6464 1,4939 1,3458 1,2425 1,2132 1,2575 1,3477 1,4489 1,5378 1,6091 1,6690 1,7231 1,7660 1,7789 1,7464 1,6751 1,5851 1,4923 1,4135 1,3785 1,4184 1,5312 1,6634 1,7414 1,7191 1,5894 1,3670 1,0850 0,8024 0,5898 0,4964 0,5315 0,6667 0,8464 1,0039 1,0919 1,1075 1,0832 1,0590 1,0622 1,1047 1,1847 1,2886 1,4006 1,5121 1,6147 1,6930 1,7324 1,7213 1,6486 1,5149 1,3459 1,1868 1,0806 1,0521 1,1065 1,2335 1,4091 1,6018 1,7874 1,9557 2,1055 2,2362 2,3424 2,4148 2,4457 2,4319 2,3762 2,2894 2,1800 2,0377 1,8402 1,5860 1,3083 1,0545 0,8565 0,7204 0,6293 0,5483 0,4336 0,2466 -0,0353 -0,4090 -0,8439 -1,2970 -1,7271 -2,0961 -2,3706 -2,5301 -2,5710 -2,5060 -2,3604 -2,1680 -1,9667 -1,7859 -1,6301 -1,4807 -1,3163 -1,1251 -0,9096 -0,6942 -0,5179 -0,4056 -0,3511 -0,3320 -0,3323 -0,3455 -0,3559 -0,3309 -0,2443 -0,1007 0,0711
F3    0,0894 0,3089 0,5590 0,8982 1,3007 1,6870 1,9670 2,0720 1,9805 1,7232 1,3748 1,0416 0,8110 0,6921 0,6338 0,5970 0,5786 0,5831 0,6105 0,6562 0,6916 0,6674 0,5408 0,2860 -0,1002 -0,5886 -1,1278 -1,6514 -2,0706 -2,3010 -2,3141 -2,1456 -1,8573 -1,5057 -1,1321 -0,7645 -0,4189 -0,1010 0,1839 0,4277 0,6208 0,7389 0,7297 0,5419 0,1710 -0,3394 -0,9342 -1,5635 -2,1690 -2,6793 -3,0256 -3,1698 -3,1340 -2,9895 -2,8016 -2,6011 -2,4013 -2,2078 -2,0072 -1,7784 -1,5217 -1,2637 -1,0360 -0,8634 -0,7633 -0,7435 -0,7980 -0,9055 -1,0363 -1,1703 -1,3008 -1,4274 -1,5477 -1,6497 -1,7168 -1,7436 -1,7324 -1,6730 -1,5465 -1,3454 -1,0813 -0,7863 -0,5114 -0,2993 -0,1548 -0,0567 0,0118 0,0547 0,0692 0,0539 0,0086 -0,0751 -0,2122 -0,4052 -0,6327 -0,8597 -1,0542 -1,1959 -1,2759 -1,2928 -1,2494 -1,1473 -0,9937 -0,8212 -0,6867 -0,6367 -0,6748 -0,7601 -0,8353 -0,8612 -0,8325 -0,7667 -0,6805 -0,5799 -0,4643 -0,3270 -0,1519 0,0794 0,3682 0,6861 0,9828 1,2024 1,2949 1,2364 1,0521 0,8084 0,5782 0,4194 0,3744 0,4642 0,6788 0,9775 1,2978 1,5642 1,7007 1,6563 1,4326 1,0859 0,7050 0,3817 0,1779 0,0965 0,0847 0,0704 0,0002 -0,1362 -0,3096 -0,4796 -0,6245 -0,7491 -0,8666 -0,9716 -1,0376 -1,0409 -0,9828 -0,8830 -0,7524 -0,5811 -0,3548 -0,0740 0,2385 0,5411 0,7846 0,9255 0,9373 0,8230 0,6237 0,4032 0,2140 0,0867 0,0441 0,0971 0,2225 0,3664 0,4748 0,5210 0,5191 0,5212 0,5837 0,7192 0,8812 0,9966 1,0139 0,9259 0,7587 0,5502 0,3426 0,1839 0,1246 0,1876 0,3408 0,5182 0,6667 0,7632 0,8067 0,8184 0,8412 0,9158 1,0485 1,2134 1,3818 1,5365 1,6681 1,7634 1,7927 1,7174 1,5255 1,2592 1,0041 0,8517 0,8567 1,0116 1,2549 1,5077 1,7106 1,8363 1,8760 1,8315 1,7332 1,6411 1,6098 1,6569 1,7628 1,8880 1,9937 2,0601 2,0962 2,1278 2,1758 2,2468 2,3341 2,4216 2,4898 2,5265 2,5289 2,4956 2,4213 2,3105 2,1944 2,1163 2,0964 2,1175 2,1485 2,1697 2,1773 2,1835 2,2162 2,2985 2,4244 2,5593 2,6599 2,7021 2,6964 2,6708 2,6393 2,5967 2,5381 2,4705 2,4066 2,3553 2,3172 2,2828 2,2385 2,1772 2,1092 2,0576 2,0322 2,0139 1,9735 1,8906 1,7498 1,5342 1,2299 0,8346 0,3697 -0,1017 -0,4830 -0,6963 -0,7282 -0,6173 -0,4175 -0,1826 0,0368 0,2072 0,3261 0,4209 0,5297 0,6736 0,8461 1,0280 1,2103 1,3954 1,5732 1,7007 1,7187 1,5989 1,3754 1,1258 0,9222 0,7972 0,7443 0,7343 0,7226 0,6572 0,5048 0,2799 0,0437 -0,1261 -0,1781 -0,1031 0,0877 0,3753 0,7149 1,0327 1,2607 1,3744 1,3984 1,3738 1,3209 1,2333 1,1058 0,9594 0,8385 0,7897 0,8352 0,9593 1,1237 1,2925 1,4391 1,5435 1,5931 1,5850 1,5347 1,4749 1,4404 1,4542 1,5243 1,6453 1,8051 1,9903 2,1800 2,3384 2,4281 2,4340 2,3729 2,2886 2,2426 2,2902 2,4406 2,6401 2,7994 2,8446 2,7560 2,5682 2,3360 2,0976 1,8639 1,6402 1,4539 1,3490 1,3508 1,4483 1,6068 1,7792 1,9157 1,9834 1,9791 1,9211 1,8391 1,7728 1,7605 1,8158 1,9152 2,0099 2,0473 1,9864 1,8099 1,5353 1,2224 0,9642 0,8463 0,9014 1,1052 1,4042 1,7341 2,0296 2,2452 2,3682 2,4127 2,4008 2,3381 2,2103 2,0123 1,7722 1,5382 1,3507 1,2324 1,1958 1,2463 1,3809 1,5843 1,8129 1,9911 2,0517 1,9802 1,8067 1,5728 1,3201 1,0979 0,9573 0,9260 0,9964 1,1434 1,3371 1,5373 1,6866 1,7216 1,6079 1,3669 1,0622 0,7623 0,5165 0,3440 0,2379 0,1823 0,1645 0,1729 0,1837 0,1584 0,0620 -0,1114 -0,3327 -0,5497 -0,7055 -0,7606 -0,7071 -0,5646 -0,3654 -0,1445 0,0743 0,2846 0,4823 0,6513 0,7797 0,8778 0,9676 1,0637 1,1726 1,2989 1,4390 1,5701 1,6523 1,6455 1,5423 1,3864 1,2422 1,1465 1,0983 1,0797 1,0781 1,0896 1,1049 1,1003 1,0441 0,9129 0,7120 0,4807 0,2695 0,1127 0,0226 0,0063 0,0720 0,2199 0,4322 0,6788 0,9368 1,2045 1,5011 1,8497 2,2496 2,6623 3,0319 3,3223 3,5316 3,6734 3,7546 3,7628 3,6678 3,4504 3,1376 2,8030 2,5325 2,3797 2,3409 2,3647 2,3881 2,3757 2,3357 2,3046 2,3186 2,3961 2,5326 2,7086 2,9007 3,0824 3,2250 3,3181 3,3853 3,4579 3,5294 3,5474 3,4564 3,2381 2,9154 2,5322 2,1403 1,7963 1,5526 1,4415 1,4678 1,6084 1,8108 2,0013 2,1179 2,1436 2,1057 2,0485 2,0145 2,0388 2,1387 2,3037 2,5069 2,7201 2,9081 3,0273 3,0491 2,9788 2,8442 2,6783 2,5124 2,3733 2,2815 2,2528 2,2944 2,3989 2,5411 2,6870 2,8134 2,9135 2,9874 3,0335 3,0483 3,0313 2,9910 2,9420 2,8975 2,8671 2,8469 2,8065 2,6973 2,4865 2,1813 1,8277 1,4814 1,1764 0,9152 0,6799 0,4492 0,2126 -0,0247 -0,2475 -0,4429 -0,6123 -0,7707 -0,9370 -1,1243 -1,3271 -1,5159 -1,6552 -1,7266 -1,7289 -1,6682 -1,5557 -1,4018 -1,2092 -0,9773 -0,7094 -0,4192 -0,1388 0,0905 0,2479 0,3467 0,4160 0,4722 0,5134 0,5420 0,5787 0,6455 0,7439 0,8587
F7    0,8432 1,0542 1,0458 0,8670 0,6334 0,4458 0,3653 0,4065 0,5155 0,6048 0,6283 0,5757 0,4332 0,2124 -0,0289 -0,2410 -0,4244 -0,6059 -0,7936 -0,9520 -1,0214 -0,9804 -0,8655 -0,7259 -0,5880 -0,4475 -0,2576 0,0455 0,4719 0,9529 1,3882 1,6806 1,7525 1,5760 1,1839 0,6659 0,1592 -0,2088 -0,3921 -0,4450 -0,4740 -0,5545 -0,6870 -0,8329 -0,9638 -1,0704 -1,1569 -1,2289 -1,2775 -1,2836 -1,2470 -1,1832 -1,0801 -0,9001 -0,6316 -0,3133 -0,0181 0,1768 0,2241 0,1189 -0,1168 -0,4485 -0,8262 -1,1946 -1,5158 -1,7640 -1,9056 -1,8975 -1,7087 -1,3611 -0,9471 -0,5755 -0,3148 -0,1941 -0,2117 -0,3186 -0,4292 -0,4581 -0,3474 -0,0877 0,2716 0,6406 0,9338 1,1085 1,1672 1,1283 0,9991 0,7807 0,4935 0,1811 -0,1105 -0,3535 -0,5500 -0,7238 -0,8907 -1,0405 -1,1463 -1,1714 -1,0716 -0,8193 -0,4376 -0,0052 0,3838 0,6719 0,8521 0,9506 1,0101 1,0709 1,1455 1,2125 1,2405 1,2127 1,1348 1,0267 0,9111 0,8140 0,7618 0,7659 0,8111 0,8596 0,8740 0,8443 0,7954 0,7749 0,8263 0,9578 1,1350 1,3003 1,4007 1,4062 1,3156 1,1511 0,9441 0,7227 0,5073 0,3181 0,1824 0,1222 0,1282 0,1485 0,1059 -0,0677 -0,3963 -0,8367 -1,2915 -1,6581 -1,8827 -1,9791 -1,9947 -1,9554 -1,8510 -1,6758 -1,4597 -1,2497 -1,0817 -0,9605 -0,8579 -0,7376 -0,5841 -0,4058 -0,2151 -0,0182 0,1740 0,3344 0,4308 0,4391 0,3343 0,0965 -0,2527 -0,6398 -0,9753 -1,1924 -1,2640 -1,2099 -1,0897 -0,9699 -0,8814 -0,8086 -0,7213 -0,6036 -0,4502 -0,2538 -0,0038 0,3025 0,6408 0,9570 1,2008 1,3520 1,4031 1,3495 1,2133 1,0415 0,8783 0,7568 0,7013 0,7111 0,7538 0,7889 0,8002 0,7996 0,8024 0,7984 0,7486 0,6139 0,3852 0,0892 -0,2199 -0,4731 -0,6137 -0,6325 -0,5761 -0,5121 -0,4873 -0,5126 -0,5688 -0,6177 -0,6258 -0,5867 -0,5170 -0,4287 -0,3095 -0,1370 0,0883 0,3292 0,5377 0,6854 0,7684 0,7934 0,7625 0,6705 0,5133 0,2967 0,0340 -0,2593 -0,5648 -0,8570 -1,1049 -1,2802 -1,3651 -1,3593 -1,2842 -1,1780 -1,0870 -1,0454 -1,0534 -1,0829 -1,1024 -1,0879 -1,0268 -0,9314 -0,8489 -0,8414 -0,9448 -1,1454 -1,3879 -1,6029 -1,7390 -1,7836 -1,7632 -1,7286 -1,7321 -1,8029 -1,9453 -2,1582 -2,4460 -2,8049 -3,1997 -3,5639 -3,8282 -3,9498 -3,9244 -3,7874 -3,6094 -3,4704 -3,4188 -3,4567 -3,5601 -3,6945 -3,8207 -3,9140 -3,9806 -4,0531 -4,1658 -4,3306 -4,5297 -4,7244 -4,8749 -4,9586 -4,9738 -4,9296 -4,8325 -4,6826 -4,4785 -4,2214 -3,9207 -3,6056 -3,3204 -3,1059 -2,9880 -2,9800 -3,0820 -3,2809 -3,5570 -3,8894 -4,2493 -4,5898 -4,8580 -5,0250 -5,0923 -5,0747 -4,9891 -4,8591 -4,7151 -4,5846 -4,4789 -4,3917 -4,3059 -4,2133 -4,1291 -4,0764 -4,0591 -4,0601 -4,0592 -4,0339 -3,9479 -3,7720 -3,5279 -3,2833 -3,1036 -3,0250 -3,0658 -3,2333 -3,5130 -3,8680 -4,2546 -4,6307 -4,9470 -5,1393 -5,1523 -4,9902 -4,7306 -4,4735 -4,2833 -4,1817 -4,1748 -4,2657 -4,4448 -4,6815 -4,9323 -5,1543 -5,3075 -5,3546 -5,2664 -5,0367 -4,6961 -4,3139 -3,9713 -3,7221 -3,5742 -3,5059 -3,4920 -3,5244 -3,6073 -3,7340 -3,8754 -3,9996 -4,0905 -4,1469 -4,1806 -4,2156 -4,2793 -4,3926 -4,5619 -4,7673 -4,9586 -5,0747 -5,0760 -4,9510 -4,7001 -4,3314 -3,8715 -3,3685 -2,8867 -2,4990 -2,2738 -2,2529 -2,4256 -2,7206 -3,0355 -3,2913 -3,4666 -3,5813 -3,6631 -3,7352 -3,8196 -3,9334 -4,0762 -4,2259 -4,3494 -4,4152 -4,4073 -4,3413 -4,2633 -4,2246 -4,2515 -4,3329 -4,4295 -4,4978 -4,5186 -4,5118 -4,5173 -4,5609 -4,6472 -4,7745 -4,9375 -5,1163 -5,2773 -5,3905 -5,4465 -5,4625 -5,4770 -5,5339 -5,6560 -5,8234 -5,9735 -6,0249 -5,9203 -5,6664 -5,3347 -5,0167 -4,7805 -4,6676 -4,7014 -4,8721 -5,1295 -5,4045 -5,6375 -5,7949 -5,8693 -5,8674 -5,7985 -5,6749 -5,5207 -5,3709 -5,2578 -5,1942 -5,1691 -5,1582 -5,1421 -5,1228 -5,1187 -5,1378 -5,1671 -5,2001 -5,2500 -5,3179 -5,3699 -5,3676 -5,3014 -5,1867 -5,0435 -4,8910 -4,7546 -4,6685 -4,6672 -4,7689 -4,9597 -5,1915 -5,4075 -5,5699 -5,6658 -5,6953 -5,6631 -5,5774 -5,4542 -5,3207 -5,2067 -5,1245 -5,0564 -4,9654 -4,8197 -4,6113 -4,3604 -4,1092 -3,9099 -3,8009 -3,7801 -3,8091 -3,8646 -3,9694 -4,1569 -4,4250 -4,7295 -4,9975 -5,1456 -5,1121 -4,8923 -4,5463 -4,1634 -3,8146 -3,5427 -3,3888 -3,3958 -3,5803 -3,9150 -4,3384 -4,7770 -5,1660 -5,4516 -5,5841 -5,5337 -5,3196 -5,0164 -4,7297 -4,5491 -4,5022 -4,5383 -4,5617 -4,4968 -4,3374 -4,1386 -3,9671 -3,8584 -3,8031 -3,7617 -3,7022 -3,6251 -3,5564 -3,5320 -3,5855 -3,7262 -3,9224 -4,1090 -4,2121 -4,1788 -4,0043 -3,7337 -3,4406 -3,2013 -3,0661 -3,0287 -3,0317 -3,0108 -2,9276 -2,7714 -2,5560 -2,3175 -2,0972 -1,9228 -1,8022 -1,7287 -1,6906 -1,6835 -1,7099 -1,7643 -1,8320 -1,9032 -1,9853 -2,1004 -2,2604 -2,4422 -2,6055 -2,7386 -2,8662 -3,0027 -3,1279 -3,2225 -3,3060 -3,4316 -3,6501 -3,9725 -4,3578 -4,7362 -5,0448 -5,2452 -5,3259 -5,2982 -5,1794 -4,9680 -4,6446 -4,2146 -3,7457 -3,3435 -3,0899 -3,0026 -3,0413 -3,1374 -3,2192 -3,2279 -3,1369 -2,9579 -2,7236 -2,4710 -2,2372 -2,0589 -1,9690 -1,9918 -2,1373 -2,3947 -2,7281
