Fp1   1,3145 1,3507 1,3648 1,3628 1,3256 1,2448 1,1276 0,9656 0,7252 0,3748 -0,0872 -0,6201 -1,1405 -1,5443 -1,7499 -1,7345 -1,5408 -1,2562 -0,9786 -0,7851 -0,7166 -0,7804 -0,9540 -1,1899 -1,4324 -1,6248 -1,7069 -1,6265 -1,3598 -0,9204 -0,3624 0,2159 0,6927 0,9722 1,0214 0,8709 0,5967 0,3014 0,0870 0,0163 0,0900 0,2568 0,4446 0,5968 0,7041 0,8070 0,9569 1,1721 1,4324 1,7197 2,0530 2,4588 2,8949 3,2274 3,3089 3,0784 2,5874 1,9547 1,3155 0,8001 0,5202 0,5369 0,8359 1,3329 1,8919 2,3647 2,6501 2,7265 2,6327 2,4429 2,2484 2,1172 2,0620 2,0703 2,1480 2,3087 2,5328 2,7622 2,9464 3,0874 3,2345 3,4336 3,6791 3,9120 4,0723 4,1492 4,1772 4,1941 4,2101 4,2134 4,1892 4,1186 3,9760 3,7531 3,4769 3,1761 2,8357 2,4110 1,8766 1,2403 0,5224 -0,2473 -1,0225 -1,7624 -2,4726 -3,2088 -4,0207 -4,9030 -5,8123 -6,7090 -7,5618 -8,3327 -8,9883 -9,5226 -9,9567 -10,3159 -10,5980 -10,7621 -10,7690 -10,6363 -10,4332 -10,2190 -10,0028 -9,7476 -9,3885 -8,8608 -8,1324 -7,2115 -6,1358 -4,9785 -3,8474 -2,8405 -1,9920 -1,2681 -0,6053 0,0471 0,7036 1,3508 1,9838 2,6275 3,3096 4,0276 4,7486 5,4148 5,9432 6,2429 6,2515 5,9655 5,4601 4,8742 4,3487 3,9614 3,7088 3,5281 3,3384 3,0805 2,7412 2,3488 1,9421 1,5401 1,1462 0,7775 0,4697 0,2536 0,1411 0,1416 0,2774 0,5545 0,9134 1,2290 1,3594 1,1957 0,6960 -0,1010 -1,0885 -2,1209 -3,0537 -3,7926 -4,3265 -4,7204 -5,0694 -5,4372 -5,8228 -6,1690 -6,4040 -6,4876 -6,4200 -6,2168 -5,8962 -5,4891 -5,0530 -4,6668 -4,4015 -4,2933 -4,3370 -4,5013 -4,7472 -5,0242 -5,2524 -5,3311 -5,1850 -4,8116 -4,2883 -3,7384 -3,2873 -3,0319 -3,0134 -3,2020 -3,5125 -3,8418 -4,1035 -4,2680 -4,3789 -4,4984 -4,6284 -4,7038 -4,6632 -4,5108 -4,3208 -4,1903 -4,1776 -4,2683 -4,3967 -4,5075 -4,5990 -4,7151 -4,9104 -5,2215 -5,6527 -6,1795 -6,7632 -7,3661 -7,9657 -8,5653 -9,1810 -9,8105 -10,4081 -10,8805 -11,1162 -11,0508 -10,7205 -10,2486 -9,7708 -9,3710 -9,0717 -8,8609 -8,7154 -8,6072 -8,5070 -8,3939 -8,2696 -8,1546 -8,0597 -7,9559 -7,7763 -7,4486 -6,9394 -6,2884 -5,6057 -5,0174 -4,6025 -4,3725 -4,2872 -4,2722 -4,2439 -4,1473 -3,9695 -3,7061 -3,3359 -2,8483 -2,2880 -1,7586 -1,3705 -1,1621 -1,0634 -0,9523 -0,7652 -0,5515 -0,4272 -0,4925 -0,7905 -1,3037 -1,9648 -2,6759 -3,3307 -3,8287 -4,0910 -4,0787 -3,8085 -3,3541 -2,8207 -2,3019 -1,8575 -1,5287 -1,3540 -1,3589 -1,5265 -1,7842 -2,0360 -2,2171 -2,3104 -2,3240 -2,2834 -2,2388 -2,2358 -2,2662 -2,2646 -2,1589 -1,9154 -1,5381 -1,0509 -0,4955 0,0747 0,6135 1,0862 1,4588 1,6938 1,7698 1,7065 1,5531 1,3501 1,1251 0,9232 0,8168 0,8768 1,1342 1,5620 2,0777 2,5622 2,9037 3,0499 3,0296 2,9365 2,8821 2,9340 3,0766 3,2268 3,2970 3,2562 3,1435 3,0340 3,0038 3,1185 3,4231 3,9071 4,4784 4,9847 5,2909 5,3596 5,2594 5,1024 4,9873 4,9783 5,0999 5,3459 5,6842 6,0441 6,3266 6,4468 6,3588 6,0537 5,5659 4,9800 4,4108 3,9586 3,6751 3,5628 3,6036 3,7919 4,1382 4,6385 5,2407 5,8460 6,3500 6,6953 6,8938 7,0019 7,0754 7,1354 7,1650 7,1343 7,0291 6,8525 6,6033 6,2740 5,8829 5,4927 5,1739 4,9480 4,7822 4,6435 4,5431 4,5149 4,5580 4,6239 4,6725 4,7265 4,8624 5,1485 5,5914 6,1361 6,7052 7,2258 7,6379 7,9166 8,0851 8,1845 8,2230 8,1556 7,9149 7,4641 6,8205 6,0383 5,1857 4,3366 3,5648 2,9331 2,4995 2,3216 2,4254 2,7715 3,2733 3,8382 4,3859 4,8460 5,1539 5,2562 5,1407 4,8651 4,5357 4,2448 4,0265 3,8613 3,7179 3,5797 3,4319 3,2568 3,0544 2,8333 2,5742 2,2352 1,7999 1,3034 0,8091 0,3825 0,0940 0,0249 0,2295 0,6680 1,1959 1,6515 1,9639 2,1670 2,3349 2,5240 2,7504 2,9929 3,2244 3,4385 3,6351 3,8001 3,9210 4,0204 4,1562 4,3787 4,6855 5,0176 5,2950 5,4600 5,5039 5,4720 5,4356 5,4543 5,5706 5,8325 6,2969 6,9793 7,8026 8,6258 9,3284 9,8563 10,2093 10,4061 10,4612 10,3787 10,1471 9,7438 9,1573 8,4087 7,5526 6,6554 5,7663 4,9082 4,1052 3,4151 2,9144 2,6509 2,6202 2,7751 3,0400 3,3252 3,5377 3,5961 3,4596 3,1430 2,6945 2,1685 1,6226 1,1151 0,6922 0,3892 0,2576 0,3722 0,7773 1,4308 2,2262 3,0551 3,8308 4,4888 5,0002 5,3611 5,5451 5,4926 5,1724 4,6490 4,0796 3,6414 3,4503 3,5270 3,8182 4,2550 4,8021 5,4547 6,1951 6,9595 7,6387 8,1037 8,2652 8,1419 7,8606 7,5808 7,4128 7,3853 7,4574 7,5458 7,5474 7,3606 6,9171 6,2013 5,2424 4,1050 2,8909 1,7248 0,7215 -0,0350 -0,4913 -0,6168 -0,4113 0,0720 0,7318 1,4779 2,2852 3,1583 4,0363 4,7655 5,1856 5,2268 4,9349 4,4274 3,8302 3,2526 2,7936 2,5308 2,4968 2,6635 2,9441 3,2292 3,4508 3,6164 3,7696 3,9180 4,0203 4,0530 4,0564 4,0977 4,2116 4,3892 4,5964 4,7837 4,8940 4,8981 4,8386 4,8175 4,9137 5,1036 5,2656 5,2566 4,9789 4,3992 3,5450
Fz    1,2065 0,9932 0,7603 0,5219 0,2855 0,0634 -0,1244 -0,2693 -0,3962 -0,5610 -0,8177 -1,1787 -1,5972 -1,9818 -2,2371 -2,3069 -2,1913 -1,9349 -1,6019 -1,2541 -0,9382 -0,6880 -0,5250 -0,4519 -0,4564 -0,5183 -0,6020 -0,6561 -0,6337 -0,5173 -0,3235 -0,0938 0,1212 0,2817 0,3761 0,4264 0,4784 0,5805 0,7604 1,0124 1,2984 1,5594 1,7372 1,8040 1,7831 1,7358 1,7180 1,7449 1,7901 1,8181 1,8142 1,7813 1,7085 1,5563 1,2835 0,8889 0,4227 -0,0376 -0,4206 -0,6764 -0,7776 -0,7287 -0,5749 -0,3886 -0,2371 -0,1595 -0,1566 -0,1906 -0,2055 -0,1565 -0,0277 0,1692 0,4060 0,6574 0,9142 1,1780 1,4452 1,7060 1,9593 2,2295 2,5572 2,9649 3,4229 3,8521 4,1690 4,3307 4,3421 4,2380 4,0631 3,8582 3,6539 3,4670 3,2973 3,1343 2,9711 2,8028 2,6178 2,3992 2,1307 1,7989 1,4010 0,9552 0,4952 0,0470 -0,3918 -0,8528 -1,3761 -1,9839 -2,6736 -3,4277 -4,2165 -4,9973 -5,7317 -6,4109 -7,0549 -7,6789 -8,2597 -8,7431 -9,0863 -9,2846 -9,3554 -9,3102 -9,1445 -8,8403 -8,3788 -7,7629 -7,0275 -6,2142 -5,3463 -4,4463 -3,5658 -2,7671 -2,0820 -1,4971 -0,9687 -0,4470 0,1020 0,6932 1,3383 2,0582 2,8656 3,7390 4,6183 5,4315 6,1271 6,6847 7,0954 7,3462 7,4403 7,4193 7,3429 7,2487 7,1385 6,9937 6,8013 6,5698 6,3252 6,0933 5,8882 5,7097 5,5492 5,3990 5,2577 5,1286 5,0147 4,9242 4,8806 4,9082 5,0013 5,1156 5,1873 5,1559 4,9816 4,6594 4,2216 3,7248 3,2247 2,7573 2,3366 1,9589 1,6059 1,2548 0,8954 0,5395 0,2106 -0,0789 -0,3351 -0,5697 -0,7835 -0,9694 -1,1316 -1,2954 -1,4912 -1,7313 -2,0096 -2,3172 -2,6441 -2,9616 -3,2110 -3,3232 -3,2560 -3,0187 -2,6672 -2,2821 -1,9409 -1,6943 -1,5480 -1,4634 -1,3790 -1,2388 -1,0143 -0,7180 -0,3987 -0,1073 0,1447 0,3890 0,6640 0,9789 1,3033 1,5853 1,7882 1,9184 2,0210 2,1442 2,3035 2,4765 2,6173 2,6719 2,5983 2,3867 2,0686 1,7063 1,3613 1,0611 0,7959 0,5448 0,3058 0,1102 0,0096 0,0380 0,1775 0,3670 0,5500 0,7149 0,8906 1,1115 1,3863 1,6935 1,9948 2,2470 2,4160 2,4922 2,5027 2,5089 2,5794 2,7558 3,0357 3,3776 3,7173 3,9938 4,1724 4,2520 4,2596 4,2454 4,2659 4,3552 4,5156 4,7390 5,0273 5,3835 5,7934 6,2169 6,5984 6,8934 7,0916 7,2061 7,2381 7,1655 6,9691 6,6601 6,2793 5,8772 5,4946 5,1583 4,8893 4,7119 4,6548 4,7367 4,9460 5,2351 5,5375 5,7954 5,9780 6,0782 6,1001 6,0554 5,9718 5,8902 5,8446 5,8475 5,8934 5,9699 6,0605 6,1463 6,2156 6,2757 6,3513 6,4668 6,6237 6,7985 6,9654 7,1129 7,2428 7,3557 7,4420 7,4944 7,5225 7,5492 7,5954 7,6718 7,7840 7,9476 8,1955 8,5636 9,0665 9,6827 10,3566 11,0132 11,5749 11,9794 12,1986 12,2466 12,1704 12,0294 11,8697 11,7078 11,5338 11,3349 11,1184 10,9115 10,7382 10,6071 10,5218 10,4928 10,5281 10,6152 10,7181 10,7947 10,8278 10,8368 10,8575 10,9150 11,0134 11,1421 11,2923 11,4593 11,6265 11,7618 11,8336 11,8179 11,6957 11,4569 11,1131 10,7024 10,2791 9,8914 9,5671 9,3226 9,1742 9,1323 9,1862 9,3007 9,4297 9,5347 9,5978 9,6223 9,6255 9,6293 9,6486 9,6794 9,7000 9,6869 9,6218 9,4871 9,2709 8,9826 8,6575 8,3428 8,0809 7,9015 7,8254 7,8728 8,0566 8,3633 8,7546 9,1999 9,7029 10,2856 10,9483 11,6507 12,3263 12,9141 13,3797 13,7222 13,9726 14,1830 14,3995 14,6336 14,8527 14,9967 15,0109 14,8717 14,5904 14,1982 13,7311 13,2240 12,7090 12,2165 11,7813 11,4380 11,2066 11,0835 11,0454 11,0559 11,0801 11,0975 11,1075 11,1296 11,1906 11,3037 11,4569 11,6128 11,7183 11,7303 11,6398 11,4705 11,2636 11,0643 10,9035 10,7795 10,6652 10,5314 10,3609 10,1534 9,9268 9,7188 9,5847 9,5719 9,6761 9,8298 9,9466 9,9753 9,9132 9,7863 9,6269 9,4570 9,2834 9,1094 8,9461 8,8036 8,6769 8,5541 8,4407 8,3683 8,3725 8,4617 8,6049 8,7524 8,8692 8,9562 9,0451 9,1746 9,3709 9,6443 9,9976 10,4259 10,9032 11,3776 11,7962 12,1316 12,3838 12,5668 12,6929 12,7586 12,7411 12,6137 12,3726 12,0451 11,6681 11,2685 10,8671 10,4822 10,1195 9,7752 9,4556 9,1810 8,9683 8,8186 8,7196 8,6487 8,5765 8,4742 8,3297 8,1629 8,0172 7,9278 7,8996 7,9178 7,9732 8,0762 8,2516 8,5297 8,9412 9,5010 10,1891 10,9495 11,7087 12,3940 12,9525 13,3685 13,6511 13,8029 13,8147 13,6984 13,5057 13,3046 13,1402 13,0205 12,9269 12,8365 12,7421 12,6561 12,5944 12,5608 12,5438 12,5168 12,4382 12,2749 12,0370 11,7787 11,5570 11,3904 11,2562 11,1109 10,8976 10,5463 9,9931 9,2228 8,2903 7,2955 6,3445 5,5240 4,8920 4,4761 4,2741 4,2537 4,3668 4,5689 4,8213 5,0887 5,3585 5,6568 6,0194 6,4414 6,8626 7,2019 7,4050 7,4733 7,4533 7,3949 7,3299 7,2819 7,2761 7,3374 7,4828 7,7169 8,0348 8,4278 8,8782 9,3462 9,7691 10,0883 10,2893 10,4163 10,5371 10,6918 10,8714 11,0320 11,1254 11,1256 11,0462 10,9415 10,8774 10,8800 10,9102 10,8941 10,7755 10,5356 10,1773 9,7160
F3    0,9565 0,6849 0,3896 0,0923 -0,1924 -0,4484 -0,6529 -0,7915 -0,8807 -0,9719 -1,1253 -1,3717 -1,6859 -1,9935 -2,2047 -2,2578 -2,1409 -1,8859 -1,5492 -1,1878 -0,8444 -0,5527 -0,3419 -0,2266 -0,2011 -0,2430 -0,3095 -0,3432 -0,2968 -0,1544 0,0649 0,3152 0,5374 0,6826 0,7349 0,7177 0,6833 0,6897 0,7777 0,9550 1,1919 1,4304 1,6095 1,6983 1,7150 1,7109 1,7310 1,7826 1,8378 1,8651 1,8562 1,8189 1,7429 1,5896 1,3232 0,9493 0,5191 0,1009 -0,2483 -0,4899 -0,6011 -0,5847 -0,4771 -0,3368 -0,2193 -0,1589 -0,1574 -0,1820 -0,1817 -0,1152 0,0309 0,2394 0,4754 0,7101 0,9384 1,1713 1,4109 1,6417 1,8517 2,0574 2,3011 2,6139 2,9779 3,3225 3,5645 3,6557 3,5964 3,4190 3,1672 2,8855 2,6149 2,3833 2,1957 2,0403 1,9036 1,7684 1,6053 1,3815 1,0724 0,6646 0,1609 -0,4096 -0,9953 -1,5488 -2,0545 -2,5347 -3,0293 -3,5679 -4,1614 -4,8073 -5,4896 -6,1776 -6,8407 -7,4685 -8,0697 -8,6484 -9,1811 -9,6197 -9,9214 -10,0740 -10,0884 -9,9743 -9,7271 -9,3299 -8,7689 -8,0556 -7,2345 -6,3593 -5,4657 -4,5809 -3,7462 -3,0034 -2,3632 -1,7989 -1,2681 -0,7353 -0,1827 0,3956 1,0113 1,6891 2,4497 3,2825 4,1396 4,9551 5,6741 6,2666 6,7155 7,0041 7,1331 7,1405 7,0837 6,9994 6,8905 6,7443 6,5553 6,3321 6,0870 5,8276 5,5593 5,2880 5,0239 4,7813 4,5717 4,3986 4,2602 4,1619 4,1247 4,1693 4,2873 4,4344 4,5477 4,5668 4,4519 4,1973 3,8325 3,4071 2,9666 2,5356 2,1190 1,7108 1,2974 0,8668 0,4258 0,0064 -0,3519 -0,6309 -0,8431 -1,0148 -1,1619 -1,2871 -1,3975 -1,5168 -1,6703 -1,8631 -2,0813 -2,3101 -2,5412 -2,7591 -2,9268 -2,9955 -2,9340 -2,7506 -2,4907 -2,2174 -1,9906 -1,8478 -1,7897 -1,7793 -1,7626 -1,6911 -1,5390 -1,3161 -1,0652 -0,8304 -0,6202 -0,4075 -0,1667 0,0929 0,3274 0,4875 0,5509 0,5349 0,4850 0,4455 0,4347 0,4447 0,4532 0,4297 0,3477 0,1997 0,0040 -0,2038 -0,3921 -0,5551 -0,7134 -0,8901 -1,0817 -1,2487 -1,3359 -1,3099 -1,1870 -1,0224 -0,8698 -0,7482 -0,6431 -0,5351 -0,4212 -0,3131 -0,2274 -0,1790 -0,1769 -0,2153 -0,2640 -0,2701 -0,1782 0,0431 0,3865 0,8049 1,2239 1,5709 1,8044 1,9219 1,9542 1,9544 1,9778 2,0580 2,2043 2,4198 2,7133 3,0872 3,5202 3,9628 4,3540 4,6538 4,8646 5,0149 5,1192 5,1612 5,1149 4,9713 4,7417 4,4493 4,1210 3,7877 3,4871 3,2622 3,1524 3,1794 3,3353 3,5816 3,8628 4,1270 4,3388 4,4796 4,5394 4,5184 4,4382 4,3428 4,2773 4,2639 4,2990 4,3655 4,4404 4,4980 4,5200 4,5108 4,4970 4,5062 4,5418 4,5860 4,6275 4,6749 4,7447 4,8407 4,9438 5,0274 5,0813 5,1170 5,1547 5,2100 5,2924 5,4190 5,6220 5,9354 6,3720 6,9088 7,4914 8,0488 8,5097 8,8194 8,9578 8,9472 8,8422 8,7073 8,5880 8,4961 8,4164 8,3300 8,2362 8,1503 8,0827 8,0320 7,9998 7,9991 8,0389 8,1071 8,1702 8,1907 8,1545 8,0829 8,0160 7,9852 8,0024 8,0659 8,1712 8,3086 8,4505 8,5537 8,5802 8,5096 8,3367 8,0735 7,7548 7,4344 7,1662 6,9813 6,8819 6,8592 6,9100 7,0320 7,2087 7,4041 7,5724 7,6742 7,6906 7,6273 7,5090 7,3716 7,2459 7,1408 7,0427 6,9346 6,8036 6,6350 6,4159 6,1530 5,8778 5,6286 5,4314 5,2987 5,2401 5,2697 5,3988 5,6169 5,8910 6,1937 6,5285 6,9185 7,3753 7,8771 8,3748 8,8173 9,1737 9,4409 9,6438 9,8243 10,0183 10,2330 10,4374 10,5752 10,5931 10,4674 10,2113 9,8619 9,4593 9,0370 8,6204 8,2302 7,8908 7,6274 7,4507 7,3511 7,3052 7,2850 7,2685 7,2469 7,2258 7,2264 7,2747 7,3845 7,5462 7,7276 7,8815 7,9667 7,9661 7,8874 7,7508 7,5808 7,3967 7,2048 7,0043 6,7983 6,5956 6,4055 6,2361 6,1020 6,0352 6,0699 6,2028 6,3755 6,5100 6,5603 6,5256 6,4296 6,2972 6,1413 5,9599 5,7514 5,5316 5,3262 5,1502 5,0057 4,8997 4,8524 4,8800 4,9726 5,0898 5,1821 5,2192 5,2055 5,1759 5,1741 5,2319 5,3664 5,5905 5,9153 6,3344 6,8106 7,2909 7,7298 8,0972 8,3747 8,5502 8,6112 8,5438 8,3457 8,0402 7,6721 7,2832 6,8959 6,5189 6,1550 5,8000 5,4497 5,1156 4,8241 4,5999 4,4528 4,3769 4,3511 4,3399 4,3039 4,2190 4,0941 3,9646 3,8637 3,8011 3,7667 3,7492 3,7510 3,7908 3,9012 4,1236 4,4874 4,9853 5,5714 6,1806 6,7444 7,2097 7,5566 7,7930 7,9225 7,9347 7,8324 7,6560 7,4691 7,3231 7,2401 7,2165 7,2360 7,2843 7,3568 7,4514 7,5566 7,6476 7,6855 7,6208 7,4175 7,0889 6,7017 6,3372 6,0448 5,8283 5,6597 5,4885 5,2413 4,8392 4,2386 3,4610 2,5837 1,7091 0,9333 0,3258 -0,0773 -0,2723 -0,2838 -0,1483 0,1019 0,4353 0,8136 1,2109 1,6380 2,1222 2,6556 3,1745 3,5904 3,8397 3,9152 3,8588 3,7262 3,5631 3,4070 3,2947 3,2602 3,3242 3,4884 3,7412 4,0681 4,4471 4,8336 5,1598 5,3668 5,4495 5,4639 5,4845 5,5538 5,6668 5,7870 5,8726 5,8956 5,8549 5,7837 5,7317 5,7225 5,7215 5,6570 5,4699 5,1396 4,6750 4,1052
F7    0,1287 0,0252 -0,1784 -0,4347 -0,6927 -0,9047 -1,0317 -1,0546 -0,9857 -0,8725 -0,7863 -0,7896 -0,9011 -1,0858 -1,2744 -1,3937 -1,3912 -1,2547 -1,0203 -0,7510 -0,4984 -0,2870 -0,1274 -0,0301 -0,0033 -0,0415 -0,1152 -0,1793 -0,1985 -0,1613 -0,0754 0,0386 0,1521 0,2386 0,2881 0,3137 0,3442 0,4073 0,5187 0,6786 0,8679 1,0521 1,2013 1,3120 1,4131 1,5455 1,7275 1,9357 2,1159 2,2158 2,2125 2,1141 1,9376 1,6935 1,3940 1,0645 0,7428 0,4672 0,2707 0,1832 0,2234 0,3806 0,6073 0,8355 1,0036 1,0811 1,0801 1,0439 1,0145 1,0082 1,0101 0,9826 0,8891 0,7295 0,5555 0,4493 0,4813 0,6716 0,9900 1,3893 1,8300 2,2785 2,6975 3,0449 3,2836 3,3963 3,3870 3,2701 3,0652 2,8054 2,5378 2,2996 2,0993 1,9247 1,7632 1,6099 1,4644 1,3256 1,1863 1,0263 0,8148 0,5264 0,1594 -0,2630 -0,7121 -1,1765 -1,6656 -2,1935 -2,7684 -3,3953 -4,0762 -4,7988 -5,5291 -6,2194 -6,8258 -7,3233 -7,7034 -7,9644 -8,1113 -8,1634 -8,1473 -8,0754 -7,9354 -7,7033 -7,3680 -6,9456 -6,4674 -5,9462 -5,3652 -4,7116 -4,0072 -3,2899 -2,5764 -1,8568 -1,1213 -0,3783 0,3481 1,0319 1,6631 2,2617 2,8612 3,4732 4,0719 4,6103 5,0516 5,3892 5,6359 5,8001 5,8861 5,9115 5,9020 5,8722 5,8164 5,7168 5,5555 5,3222 5,0152 4,6431 4,2299 3,8146 3,4387 3,1351 2,9220 2,7982 2,7452 2,7403 2,7684 2,8213 2,8882 2,9474 2,9674 2,9151 2,7698 2,5314 2,2170 1,8557 1,4813 1,1174 0,7721 0,4452 0,1411 -0,1230 -0,3254 -0,4558 -0,5211 -0,5480 -0,5824 -0,6694 -0,8192 -0,9976 -1,1564 -1,2716 -1,3492 -1,4064 -1,4602 -1,5291 -1,6334 -1,7870 -1,9822 -2,1823 -2,3327 -2,3859 -2,3242 -2,1668 -1,9618 -1,7580 -1,5769 -1,4096 -1,2396 -1,0635 -0,8969 -0,7741 -0,7353 -0,7955 -0,9204 -1,0415 -1,0969 -1,0654 -0,9720 -0,8649 -0,7843 -0,7444 -0,7314 -0,7181 -0,6835 -0,6219 -0,5492 -0,5066 -0,5423 -0,6779 -0,8900 -1,1218 -1,3165 -1,4491 -1,5319 -1,5918 -1,6395 -1,6619 -1,6402 -1,5723 -1,4809 -1,4003 -1,3509 -1,3255 -1,3006 -1,2597 -1,2078 -1,1649 -1,1483 -1,1645 -1,2094 -1,2637 -1,2884 -1,2346 -1,0648 -0,7704 -0,3735 0,0818 0,5406 0,9514 1,2812 1,5237 1,6959 1,8233 1,9213 1,9911 2,0337 2,0667 2,1223 2,2304 2,4076 2,6511 2,9404 3,2497 3,5562 3,8370 4,0626 4,2014 4,2335 4,1570 3,9858 3,7437 3,4607 3,1710 2,9164 2,7395 2,6687 2,7059 2,8301 3,0082 3,2065 3,3973 3,5605 3,6736 3,7027 3,6144 3,4067 3,1257 2,8467 2,6412 2,5558 2,6062 2,7776 3,0286 3,3039 3,5508 3,7340 3,8366 3,8502 3,7755 3,6394 3,4973 3,4048 3,3812 3,3971 3,4013 3,3624 3,2898 3,2254 3,2166 3,2950 3,4754 3,7684 4,1815 4,7045 5,3002 5,9144 6,4907 6,9750 7,3195 7,4982 7,5230 7,4374 7,2886 7,1039 6,8936 6,6680 6,4469 6,2601 6,1385 6,0974 6,1291 6,2134 6,3305 6,4590 6,5722 6,6444 6,6623 6,6349 6,5961 6,5881 6,6391 6,7549 6,9223 7,1170 7,3090 7,4624 7,5393 7,5075 7,3455 7,0472 6,6340 6,1637 5,7204 5,3847 5,2008 5,1676 5,2557 5,4297 5,6606 5,9269 6,2099 6,4863 6,7247 6,8879 6,9434 6,8813 6,7272 6,5325 6,3474 6,1992 6,0907 6,0059 5,9182 5,8043 5,6606 5,5024 5,3494 5,2170 5,1204 5,0741 5,0891 5,1707 5,3121 5,4917 5,6900 5,9082 6,1598 6,4453 6,7381 6,9956 7,1822 7,2830 7,3049 7,2749 7,2366 7,2342 7,2866 7,3732 7,4482 7,4671 7,4060 7,2726 7,1027 6,9404 6,8134 6,7157 6,6102 6,4579 6,2423 5,9728 5,6778 5,3930 5,1481 4,9615 4,8406 4,7839 4,7839 4,8283 4,8992 4,9762 5,0429 5,0848 5,0841 5,0218 4,8918 4,7165 4,5459 4,4310 4,3930 4,4208 4,4916 4,5842 4,6748 4,7346 4,7428 4,7035 4,6401 4,5671 4,4733 4,3349 4,1460 3,9315 3,7329 3,5807 3,4747 3,3843 3,2762 3,1477 3,0244 2,9249 2,8482 2,7996 2,8053 2,8867 3,0338 3,2124 3,3863 3,5290 3,6265 3,6777 3,6880 3,6613 3,6060 3,5470 3,5255 3,5768 3,7066 3,8972 4,1283 4,3811 4,6264 4,8239 4,9332 4,9312 4,8259 4,6563 4,4743 4,3136 4,1721 4,0225 3,8377 3,6049 3,3246 3,0064 2,6633 2,3077 1,9587 1,6500 1,4156 1,2635 1,1698 1,1012 1,0394 0,9861 0,9508 0,9380 0,9424 0,9530 0,9629 0,9816 1,0447 1,2036 1,4900 1,8910 2,3610 2,8505 3,3194 3,7401 4,1007 4,4005 4,6327 4,7741 4,8031 4,7319 4,6147 4,5203 4,4969 4,5553 4,6736 4,8128 4,9313 4,9903 4,9592 4,8262 4,6033 4,3195 4,0173 3,7544 3,5878 3,5414 3,5917 3,6832 3,7499 3,7292 3,5704 3,2416 2,7375 2,0882 1,3557 0,6161 -0,0567 -0,5961 -0,9528 -1,1120 -1,0991 -0,9615 -0,7419 -0,4749 -0,1998 0,0472 0,2575 0,4486 0,6333 0,8028 0,9382 1,0313 1,0934 1,1444 1,1953 1,2459 1,3009 1,3817 1,5156 1,7131 1,9551 2,2031 2,4204 2,5844 2,6826 2,7100 2,6765 2,6145 2,5683 2,5732 2,6426 2,7680 2,9246 3,0804 3,2036 3,2685 3,2640 3,2003 3,0993 2,9708 2,8042 2,5857 2,3131 1,9900 1,6211
