Fp1   1,0430 0,8710 0,6622 0,4140 0,1398 -0,1371 -0,3832 -0,5652 -0,6781 -0,7566 -0,8453 -0,9587 -1,0732 -1,1499 -1,1595 -1,0932 -0,9621 -0,7993 -0,6540 -0,5608 -0,5147 -0,4895 -0,4691 -0,4511 -0,4349 -0,4129 -0,3658 -0,2660 -0,0958 0,1310 0,3726 0,5810 0,7215 0,7806 0,7661 0,7077 0,6578 0,6667 0,7477 0,8664 0,9625 0,9829 0,9072 0,7559 0,5769 0,4183 0,3010 0,2083 0,0995 -0,0655 -0,3022 -0,5874 -0,8666 -1,0788 -1,1799 -1,1495 -0,9853 -0,7016 -0,3392 0,0335 0,3435 0,5482 0,6537 0,6918 0,6875 0,6581 0,6340 0,6606 0,7766 0,9917 1,2763 1,5661 1,7883 1,8958 1,8822 1,7755 1,6312 1,5209 1,5000 1,5798 1,7318 1,9087 2,0627 2,1589 2,1897 2,1734 2,1323 2,0757 2,0098 1,9538 1,9312 1,9441 1,9692 1,9811 1,9622 1,8921 1,7587 1,5822 1,4069 1,2740 1,2094 1,2219 1,3001 1,4082 1,4999 1,5459 1,5366 1,4600 1,2983 1,0499 0,7400 0,4067 0,0886 -0,1819 -0,3924 -0,5653 -0,7498 -0,9919 -1,3005 -1,6449 -1,9838 -2,2942 -2,5823 -2,8754 -3,1972 -3,5484 -3,9105 -4,2571 -4,5625 -4,8064 -4,9729 -5,0564 -5,0661 -5,0142 -4,9023 -4,7217 -4,4566 -4,0920 -3,6321 -3,1130 -2,5877 -2,0924 -1,6309 -1,1851 -0,7261 -0,2280 0,3098 0,8545 1,3613 1,8047 2,2022 2,6116 3,0952 3,6703 4,2836 4,8354 5,2393 5,4646 5,5310 5,4837 5,3733 5,2451 5,1315 5,0464 4,9790 4,8976 4,7661 4,5633 4,2999 4,0237 3,7994 3,6755 3,6573 3,7085 3,7939 3,9162 4,0991 4,3448 4,6245 4,9019 5,1585 5,3968 5,6230 5,8297 6,0039 6,1440 6,2548 6,3325 6,3611 6,3149 6,1744 5,9550 5,7098 5,5028 5,3900 5,4115 5,5770 5,8548 6,1790 6,4615 6,6153 6,5914 6,4020 6,1051 5,7584 5,3877 4,9951 4,5729 4,1116 3,6146 3,1061 2,6147 2,1611 1,7665 1,4613 1,2699 1,1829 1,1493 1,1033 0,9995 0,8285 0,6133 0,3959 0,2194 0,1118 0,0789 0,1002 0,1329 0,1264 0,0435 -0,1277 -0,3735 -0,6502 -0,8887 -1,0281 -1,0526 -0,9930 -0,9011 -0,8206 -0,7706 -0,7533 -0,7664 -0,7970 -0,8197 -0,8143 -0,7855 -0,7616 -0,7676 -0,8073 -0,8761 -0,9748 -1,0940 -1,2077 -1,2923 -1,3444 -1,3774 -1,4088 -1,4466 -1,4832 -1,4992 -1,4713 -1,3843 -1,2352 -1,0295 -0,7822 -0,5257 -0,3093 -0,1770 -0,1385 -0,1632 -0,1997 -0,2038 -0,1573 -0,0686 0,0370 0,1209 0,1410 0,0773 -0,0526 -0,2109 -0,3594 -0,4552 -0,4541 -0,3403 -0,1481 0,0504 0,1804 0,1960 0,0952 -0,0848 -0,2927 -0,4899 -0,6577 -0,7910 -0,8937 -0,9682 -1,0055 -0,9966 -0,9481 -0,8792 -0,8055 -0,7311 -0,6604 -0,6047 -0,5698 -0,5420 -0,4996 -0,4331 -0,3425 -0,2168 -0,0344 0,2149 0,5171 0,8411 1,1536 1,4279 1,6427 1,7771 1,8187 1,7794 1,6949 1,6010 1,5134 1,4299 1,3542 1,3080 1,3085 1,3413 1,3588 1,3076 1,1640 0,9512 0,7261 0,5429 0,4178 0,3325 0,2637 0,1974 0,1188 0,0087 -0,1366 -0,2945 -0,4316 -0,5219 -0,5489 -0,5073 -0,4030 -0,2312 0,0346 0,4087 0,8562 1,3053 1,6896 1,9769 2,1789 2,3440 2,5263 2,7413 2,9574 3,1333 3,2532 3,3249 3,3589 3,3571 3,3133 3,2271 3,1274 3,0686 3,0880 3,1757 3,2918 3,3917 3,4300 3,3648 3,1852 2,9325 2,6782 2,4714 2,3218 2,2314 2,2211 2,3248 2,5589 2,9011 3,3037 3,7191 4,1063 4,4262 4,6419 4,7272 4,6829 4,5498 4,3979 4,2919 4,2583 4,2822 4,3229 4,3409 4,3181 4,2533 4,1469 4,0019 3,8360 3,6754 3,5325 3,3958 3,2444 3,0644 2,8513 2,6042 2,3236 2,0239 1,7408 1,5211 1,4012 1,3963 1,5030 1,7042 1,9687 2,2489 2,4831 2,6139 2,6145 2,4980 2,3096 2,1108 1,9498 1,8424 1,7825 1,7659 1,7960 1,8724 1,9841 2,1208 2,2755 2,4278 2,5407 2,5793 2,5256 2,3822 2,1723 1,9274 1,6706 1,4101 1,1446 0,8756 0,6206 0,4090 0,2585 0,1576 0,0751 -0,0173 -0,1320 -0,2601 -0,3630 -0,3813 -0,2705 -0,0298 0,3069 0,6998 1,1161 1,5278 1,9154 2,2728 2,5994 2,8858 3,1102 3,2525 3,3094 3,2932 3,2258 3,1400 3,0680 3,0232 2,9972 2,9686 2,9071 2,7816 2,5778 2,3138 2,0267 1,7352 1,4214 1,0546 0,6269 0,1607 -0,3117 -0,7687 -1,2014 -1,5990 -1,9407 -2,2027 -2,3724 -2,4602 -2,4970 -2,5179 -2,5453 -2,5798 -2,6106 -2,6434 -2,7085 -2,8366 -3,0319 -3,2695 -3,5075 -3,7057 -3,8367 -3,8860 -3,8507 -3,7339 -3,5299 -3,2207 -2,7929 -2,2614 -1,6829 -1,1393 -0,6957 -0,3714 -0,1494 -0,0063 0,0725 0,1078 0,1479 0,2620 0,5035 0,8789 1,3578 1,9016 2,4800 3,0686 3,6417 4,1640 4,5876 4,8684 4,9930 4,9839 4,8801 4,7154 4,5141 4,3033 4,1200 3,9988 3,9562 3,9920 4,1022 4,2856 4,5374 4,8394 5,1557 5,4366 5,6340 5,7200 5,6980 5,5984 5,4515 5,2514 4,9587 4,5482 4,0426 3,5003 2,9881 2,5653 2,2722 2,1184 2,0761 2,0915 2,1100 2,0984 2,0499 1,9711 1,8589 1,6881 1,4336 1,0916 0,6667 0,1704 -0,3476 -0,7934 -1,0762 -1,1692 -1,1390 -1,1125 -1,1976 -1,4312 -1,7808 -2,1700 -2,5110 -2,7510 -2,8916 -2,9594 -2,9780 -2,9697 -2,9676 -3,0201 -3,1741 -3,4348 -3,7378 -3,9711 -4,0383 -3,9158
Fz    2,3565 2,1650 1,9240 1,6355 1,3117 0,9754 0,6625 0,4094 0,2259 0,0823 -0,0701 -0,2635 -0,4977 -0,7465 -0,9675 -1,1145 -1,1544 -1,0847 -0,9370 -0,7550 -0,5711 -0,4046 -0,2699 -0,1764 -0,1271 -0,1233 -0,1632 -0,2319 -0,3057 -0,3673 -0,4101 -0,4329 -0,4382 -0,4335 -0,4247 -0,4057 -0,3581 -0,2660 -0,1360 -0,0009 0,0983 0,1391 0,1289 0,0987 0,0873 0,1211 0,1977 0,2885 0,3564 0,3732 0,3319 0,2509 0,1666 0,1153 0,1174 0,1725 0,2674 0,3845 0,4998 0,5866 0,6263 0,6177 0,5760 0,5244 0,4826 0,4631 0,4748 0,5268 0,6298 0,7917 1,0082 1,2587 1,5108 1,7312 1,8916 1,9774 2,0039 2,0156 2,0546 2,1333 2,2367 2,3433 2,4410 2,5310 2,6216 2,7150 2,7950 2,8359 2,8262 2,7796 2,7195 2,6600 2,6044 2,5551 2,5081 2,4444 2,3431 2,2030 2,0460 1,9090 1,8311 1,8358 1,9152 2,0320 2,1370 2,1893 2,1603 2,0291 1,7891 1,4599 1,0834 0,7016 0,3385 0,0009 -0,3143 -0,6165 -0,9209 -1,2396 -1,5703 -1,8985 -2,2137 -2,5208 -2,8392 -3,1897 -3,5766 -3,9794 -4,3606 -4,6822 -4,9221 -5,0792 -5,1670 -5,2071 -5,2210 -5,2141 -5,1703 -5,0632 -4,8676 -4,5668 -4,1643 -3,6901 -3,1922 -2,7114 -2,2581 -1,8070 -1,3129 -0,7398 -0,0865 0,6116 1,3047 1,9563 2,5577 3,1239 3,6734 4,2066 4,6974 5,1076 5,4138 5,6216 5,7553 5,8413 5,9020 5,9586 6,0282 6,1169 6,2136 6,2916 6,3188 6,2736 6,1669 6,0487 5,9838 6,0143 6,1379 6,3174 6,5176 6,7340 6,9808 7,2644 7,5729 7,8824 8,1656 8,3980 8,5628 8,6508 8,6663 8,6310 8,5748 8,5243 8,4955 8,4878 8,4890 8,4888 8,4808 8,4583 8,4248 8,3981 8,3928 8,4056 8,4186 8,4066 8,3462 8,2261 8,0529 7,8417 7,5984 7,3143 6,9804 6,5978 6,1758 5,7280 5,2655 4,7877 4,2908 3,7893 3,3217 2,9310 2,6365 2,4205 2,2418 2,0621 1,8641 1,6543 1,4499 1,2613 1,0850 0,9100 0,7253 0,5251 0,3125 0,0993 -0,0986 -0,2681 -0,3978 -0,4716 -0,4759 -0,4166 -0,3236 -0,2367 -0,1841 -0,1720 -0,1941 -0,2440 -0,3120 -0,3793 -0,4227 -0,4273 -0,3948 -0,3413 -0,2886 -0,2614 -0,2810 -0,3521 -0,4606 -0,5883 -0,7224 -0,8547 -0,9763 -1,0775 -1,1514 -1,1937 -1,1984 -1,1577 -1,0654 -0,9228 -0,7401 -0,5345 -0,3294 -0,1503 -0,0122 0,0928 0,1928 0,3190 0,4860 0,6870 0,8984 1,0849 1,2100 1,2521 1,2113 1,1024 0,9527 0,8071 0,7192 0,7245 0,8210 0,9725 1,1258 1,2287 1,2468 1,1766 1,0425 0,8787 0,7091 0,5379 0,3567 0,1622 -0,0346 -0,2159 -0,3704 -0,4977 -0,6039 -0,6949 -0,7726 -0,8319 -0,8594 -0,8417 -0,7790 -0,6896 -0,5989 -0,5197 -0,4475 -0,3738 -0,2954 -0,2142 -0,1302 -0,0374 0,0712 0,1941 0,3179 0,4236 0,4956 0,5240 0,5033 0,4359 0,3404 0,2485 0,1819 0,1354 0,0848 0,0109 -0,0840 -0,1793 -0,2533 -0,2980 -0,3272 -0,3631 -0,4144 -0,4723 -0,5238 -0,5588 -0,5683 -0,5471 -0,4978 -0,4294 -0,3517 -0,2728 -0,1948 -0,1037 0,0283 0,2184 0,4548 0,7052 0,9385 1,1390 1,3057 1,4498 1,5905 1,7443 1,9163 2,1032 2,2986 2,4920 2,6676 2,8054 2,8831 2,8864 2,8311 2,7636 2,7299 2,7481 2,8131 2,9085 3,0059 3,0674 3,0692 3,0269 2,9846 2,9767 3,0151 3,1034 3,2466 3,4444 3,6824 3,9319 4,1631 4,3606 4,5256 4,6670 4,7888 4,8870 4,9602 5,0171 5,0739 5,1494 5,2582 5,3971 5,5392 5,6500 5,7117 5,7254 5,6947 5,6164 5,4862 5,3080 5,0928 4,8544 4,6104 4,3793 4,1666 3,9568 3,7275 3,4775 3,2323 3,0237 2,8660 2,7551 2,6863 2,6678 2,7106 2,8092 2,9351 3,0450 3,0939 3,0525 2,9246 2,7494 2,5780 2,4453 2,3611 2,3192 2,3114 2,3323 2,3772 2,4449 2,5331 2,6236 2,6817 2,6779 2,6034 2,4691 2,2965 2,1074 1,9154 1,7239 1,5291 1,3274 1,1238 0,9321 0,7647 0,6236 0,4993 0,3780 0,2525 0,1317 0,0440 0,0230 0,0836 0,2126 0,3873 0,5951 0,8314 1,0848 1,3355 1,5690 1,7825 1,9778 2,1551 2,3118 2,4424 2,5376 2,5907 2,6029 2,5807 2,5318 2,4673 2,4031 2,3517 2,3095 2,2568 2,1725 2,0460 1,8750 1,6598 1,4059 1,1305 0,8578 0,6034 0,3650 0,1271 -0,1220 -0,3825 -0,6464 -0,9055 -1,1588 -1,4147 -1,6855 -1,9759 -2,2756 -2,5688 -2,8530 -3,1382 -3,4298 -3,7216 -4,0036 -4,2688 -4,5133 -4,7271 -4,8854 -4,9549 -4,9103 -4,7399 -4,4426 -4,0294 -3,5329 -3,0113 -2,5308 -2,1338 -1,8198 -1,5563 -1,3095 -1,0629 -0,8112 -0,5429 -0,2373 0,1206 0,5270 0,9686 1,4408 1,9475 2,4875 3,0462 3,5916 4,0788 4,4679 4,7434 4,9147 4,9981 5,0033 4,9341 4,7995 4,6233 4,4435 4,2994 4,2239 4,2418 4,3664 4,5944 4,9024 5,2418 5,5445 5,7504 5,8378 5,8290 5,7753 5,7250 5,6851 5,6153 5,4644 5,2073 4,8538 4,4444 4,0392 3,6978 3,4567 3,3183 3,2543 3,2190 3,1685 3,0774 2,9414 2,7629 2,5399 2,2766 1,9884 1,6831 1,3566 1,0183 0,7018 0,4404 0,2318 0,0291 -0,2274 -0,5635 -0,9594 -1,3743 -1,7670 -2,1065 -2,3844 -2,6100 -2,7897 -2,9268 -3,0360 -3,1431 -3,2740 -3,4448 -3,6503 -3,8578 -4,0188 -4,0921 -4,0678
F3    2,1569 1,9829 1,7704 1,5074 1,1974 0,8677 0,5666 0,3432 0,2125 0,1375 0,0505 -0,1006 -0,3259 -0,5965 -0,8584 -1,0498 -1,1228 -1,0658 -0,9070 -0,6921 -0,4578 -0,2279 -0,0224 0,1408 0,2490 0,2932 0,2721 0,1997 0,1009 -0,0070 -0,1193 -0,2331 -0,3409 -0,4336 -0,5048 -0,5492 -0,5572 -0,5168 -0,4283 -0,3164 -0,2200 -0,1658 -0,1527 -0,1557 -0,1421 -0,0919 -0,0113 0,0712 0,1234 0,1298 0,1002 0,0613 0,0416 0,0601 0,1199 0,2084 0,3090 0,4126 0,5121 0,5964 0,6558 0,6882 0,7016 0,7106 0,7265 0,7518 0,7864 0,8345 0,9066 1,0115 1,1483 1,3026 1,4509 1,5720 1,6548 1,7022 1,7374 1,7974 1,9079 2,0667 2,2482 2,4220 2,5682 2,6833 2,7764 2,8548 2,9105 2,9224 2,8769 2,7854 2,6784 2,5837 2,5176 2,4852 2,4748 2,4558 2,3998 2,3044 2,1956 2,1164 2,1107 2,2029 2,3805 2,5934 2,7742 2,8642 2,8235 2,6304 2,2895 1,8448 1,3659 0,9132 0,5174 0,1854 -0,0890 -0,3225 -0,5416 -0,7733 -1,0280 -1,2969 -1,5698 -1,8509 -2,1573 -2,5036 -2,8860 -3,2779 -3,6417 -3,9451 -4,1717 -4,3205 -4,3990 -4,4217 -4,4068 -4,3631 -4,2829 -4,1496 -3,9451 -3,6583 -3,2974 -2,8935 -2,4866 -2,1018 -1,7360 -1,3626 -0,9476 -0,4638 0,0927 0,6965 1,3077 1,8958 2,4542 2,9973 3,5431 4,0899 4,6035 5,0331 5,3428 5,5299 5,6155 5,6281 5,5988 5,5603 5,5414 5,5566 5,6018 5,6555 5,6857 5,6666 5,6030 5,5362 5,5190 5,5819 5,7149 5,8782 6,0417 6,2117 6,4151 6,6672 6,9585 7,2609 7,5381 7,7577 7,9003 7,9624 7,9589 7,9218 7,8857 7,8741 7,8935 7,9335 7,9765 8,0158 8,0546 8,0936 8,1340 8,1829 8,2416 8,2951 8,3176 8,2823 8,1706 7,9830 7,7409 7,4697 7,1777 6,8543 6,4880 6,0808 5,6480 5,2133 4,7979 4,4051 4,0230 3,6467 3,2893 2,9698 2,6932 2,4415 2,1859 1,9074 1,6094 1,3124 1,0399 0,8038 0,5986 0,4064 0,2104 0,0070 -0,1936 -0,3753 -0,5268 -0,6477 -0,7395 -0,7930 -0,7917 -0,7313 -0,6316 -0,5289 -0,4547 -0,4217 -0,4311 -0,4846 -0,5768 -0,6855 -0,7782 -0,8300 -0,8355 -0,8042 -0,7492 -0,6865 -0,6361 -0,6165 -0,6422 -0,7221 -0,8514 -1,0099 -1,1702 -1,3078 -1,4093 -1,4710 -1,4935 -1,4757 -1,4154 -1,3135 -1,1762 -1,0127 -0,8375 -0,6741 -0,5437 -0,4480 -0,3668 -0,2740 -0,1543 -0,0073 0,1521 0,2920 0,3750 0,3817 0,3198 0,2112 0,0814 -0,0359 -0,1006 -0,0844 0,0119 0,1591 0,3100 0,4141 0,4326 0,3546 0,2005 0,0076 -0,1888 -0,3677 -0,5236 -0,6552 -0,7549 -0,8135 -0,8310 -0,8207 -0,8022 -0,7911 -0,7918 -0,7945 -0,7771 -0,7187 -0,6168 -0,4924 -0,3742 -0,2743 -0,1839 -0,0917 0,0047 0,1029 0,2038 0,3167 0,4536 0,6163 0,7885 0,9421 1,0493 1,0880 1,0450 0,9242 0,7560 0,5901 0,4664 0,3916 0,3422 0,2896 0,2227 0,1507 0,0856 0,0261 -0,0471 -0,1538 -0,2918 -0,4384 -0,5674 -0,6574 -0,6910 -0,6582 -0,5638 -0,4275 -0,2772 -0,1400 -0,0284 0,0717 0,1946 0,3633 0,5680 0,7761 0,9598 1,1112 1,2369 1,3511 1,4735 1,6216 1,8024 2,0155 2,2560 2,5118 2,7601 2,9721 3,1169 3,1739 3,1511 3,0843 3,0110 2,9529 2,9238 2,9328 2,9702 3,0042 3,0054 2,9754 2,9432 2,9353 2,9629 3,0345 3,1629 3,3561 3,6048 3,8790 4,1382 4,3470 4,4871 4,5622 4,5908 4,5973 4,6073 4,6443 4,7185 4,8258 4,9540 5,0853 5,1928 5,2533 5,2639 5,2363 5,1733 5,0610 4,8827 4,6365 4,3381 4,0155 3,7032 3,4330 3,2193 3,0509 2,9022 2,7568 2,6195 2,5033 2,4111 2,3351 2,2745 2,2449 2,2649 2,3363 2,4394 2,5413 2,6072 2,6105 2,5451 2,4331 2,3128 2,2118 2,1327 2,0625 1,9924 1,9247 1,8720 1,8571 1,8981 1,9828 2,0683 2,1099 2,0846 1,9957 1,8626 1,7048 1,5334 1,3537 1,1665 0,9671 0,7515 0,5227 0,2912 0,0711 -0,1242 -0,2845 -0,4002 -0,4584 -0,4415 -0,3385 -0,1638 0,0451 0,2537 0,4530 0,6561 0,8753 1,1094 1,3512 1,5991 1,8529 2,1045 2,3387 2,5387 2,6883 2,7740 2,7868 2,7248 2,5966 2,4245 2,2394 2,0674 1,9151 1,7699 1,6158 1,4459 1,2598 1,0561 0,8359 0,6088 0,3886 0,1796 -0,0274 -0,2471 -0,4870 -0,7447 -1,0109 -1,2751 -1,5347 -1,7984 -2,0772 -2,3705 -2,6614 -2,9323 -3,1843 -3,4325 -3,6846 -3,9328 -4,1650 -4,3749 -4,5627 -4,7267 -4,8556 -4,9301 -4,9286 -4,8295 -4,6143 -4,2769 -3,8372 -3,3471 -2,8736 -2,4656 -2,1313 -1,8466 -1,5843 -1,3320 -1,0877 -0,8450 -0,5875 -0,2995 0,0194 0,3619 0,7303 1,1333 1,5726 2,0381 2,5067 2,9428 3,3109 3,5934 3,7912 3,9086 3,9458 3,9042 3,7982 3,6609 3,5346 3,4515 3,4272 3,4697 3,5856 3,7760 4,0254 4,2909 4,5130 4,6468 4,6832 4,6457 4,5773 4,5195 4,4815 4,4298 4,3162 4,1081 3,8015 3,4248 3,0339 2,6907 2,4387 2,2909 2,2265 2,1999 2,1638 2,0890 1,9641 1,7814 1,5306 1,2147 0,8568 0,4803 0,0989 -0,2663 -0,5834 -0,8324 -1,0299 -1,2320 -1,5038 -1,8746 -2,3237 -2,8021 -3,2562 -3,6454 -3,9586 -4,2066 -4,3965 -4,5292 -4,6152 -4,6781 -4,7468 -4,8443 -4,9738 -5,1129 -5,2227 -5,2674 -5,2319
F7    0,7490 0,5165 0,3263 0,1540 -0,0260 -0,2219 -0,4190 -0,5899 -0,7182 -0,8142 -0,9037 -1,0030 -1,1101 -1,2079 -1,2688 -1,2661 -1,1908 -1,0563 -0,8851 -0,6898 -0,4705 -0,2253 0,0459 0,3400 0,6427 0,9162 1,1052 1,1645 1,0831 0,8835 0,6087 0,3086 0,0282 -0,2015 -0,3678 -0,4702 -0,5093 -0,4814 -0,3854 -0,2366 -0,0655 0,1065 0,2883 0,5113 0,7910 1,0919 1,3313 1,4220 1,3207 1,0486 0,6756 0,2831 -0,0663 -0,3374 -0,5174 -0,6092 -0,6220 -0,5693 -0,4742 -0,3648 -0,2546 -0,1353 0,0084 0,1818 0,3715 0,5507 0,6931 0,7855 0,8351 0,8664 0,9107 0,9923 1,1159 1,2555 1,3590 1,3782 1,3039 1,1658 1,0057 0,8599 0,7550 0,6999 0,6843 0,6949 0,7286 0,7867 0,8640 0,9525 1,0564 1,1914 1,3673 1,5751 1,7879 1,9632 2,0440 1,9814 1,7779 1,5010 1,2463 1,0915 1,0741 1,1849 1,3732 1,5692 1,7179 1,8018 1,8276 1,7945 1,6919 1,5275 1,3328 1,1360 0,9459 0,7583 0,5621 0,3425 0,0896 -0,1948 -0,4963 -0,7962 -1,0844 -1,3673 -1,6657 -1,9995 -2,3717 -2,7651 -3,1516 -3,5011 -3,7888 -3,9989 -4,1203 -4,1493 -4,0979 -3,9879 -3,8372 -3,6548 -3,4461 -3,2228 -3,0051 -2,8163 -2,6663 -2,5340 -2,3698 -2,1251 -1,7770 -1,3290 -0,8022 -0,2287 0,3473 0,8728 1,3047 1,6305 1,8673 2,0424 2,1795 2,3048 2,4553 2,6671 2,9528 3,2916 3,6379 3,9389 4,1516 4,2540 4,2464 4,1439 3,9667 3,7346 3,4778 3,2398 3,0582 2,9482 2,9025 2,9038 2,9458 3,0437 3,2176 3,4720 3,7902 4,1397 4,4818 4,7909 5,0611 5,2906 5,4693 5,5870 5,6412 5,6380 5,5938 5,5332 5,4918 5,5151 5,6327 5,8334 6,0728 6,3009 6,4745 6,5586 6,5251 6,3572 6,0674 5,7105 5,3661 5,0882 4,8691 4,6545 4,3900 4,0478 3,6309 3,1682 2,6934 2,2251 1,7781 1,3868 1,0993 0,9409 0,8873 0,8762 0,8472 0,7753 0,6717 0,5579 0,4395 0,3036 0,1360 -0,0650 -0,2878 -0,5137 -0,7298 -0,9358 -1,1367 -1,3285 -1,4908 -1,5919 -1,6015 -1,5062 -1,3245 -1,1097 -0,9258 -0,8231 -0,8394 -1,0010 -1,3049 -1,7056 -2,1238 -2,4716 -2,6826 -2,7262 -2,6081 -2,3685 -2,0689 -1,7708 -1,5264 -1,3693 -1,3044 -1,3080 -1,3414 -1,3712 -1,3872 -1,4022 -1,4369 -1,5025 -1,5917 -1,6787 -1,7286 -1,7114 -1,6256 -1,5106 -1,4178 -1,3638 -1,3217 -1,2521 -1,1328 -0,9678 -0,7867 -0,6396 -0,5736 -0,5962 -0,6680 -0,7366 -0,7746 -0,7820 -0,7653 -0,7266 -0,6664 -0,5960 -0,5455 -0,5537 -0,6432 -0,8021 -0,9886 -1,1506 -1,2406 -1,2371 -1,1620 -1,0664 -0,9948 -0,9664 -0,9806 -1,0360 -1,1378 -1,2852 -1,4562 -1,6052 -1,6797 -1,6411 -1,4780 -1,2100 -0,8837 -0,5564 -0,2788 -0,0803 0,0392 0,1046 0,1536 0,2289 0,3660 0,5750 0,8327 1,0928 1,2996 1,4037 1,3833 1,2560 1,0706 0,8833 0,7330 0,6305 0,5581 0,4812 0,3699 0,2132 0,0109 -0,2415 -0,5539 -0,9175 -1,2873 -1,5975 -1,7949 -1,8558 -1,7837 -1,6015 -1,3419 -1,0371 -0,7151 -0,4069 -0,1451 0,0581 0,2221 0,3790 0,5530 0,7579 0,9962 1,2520 1,4895 1,6731 1,7944 1,8777 1,9617 2,0800 2,2441 2,4319 2,5971 2,6978 2,7209 2,6899 2,6471 2,6203 2,6041 2,5796 2,5471 2,5278 2,5348 2,5565 2,5756 2,5938 2,6244 2,6637 2,6943 2,7171 2,7646 2,8748 3,0577 3,2854 3,5131 3,7056 3,8519 3,9619 4,0489 4,1174 4,1701 4,2146 4,2509 4,2603 4,2156 4,1018 3,9244 3,7091 3,5031 3,3568 3,2878 3,2643 3,2321 3,1542 3,0231 2,8517 2,6610 2,4632 2,2536 2,0206 1,7681 1,5290 1,3528 1,2748 1,2960 1,3894 1,5225 1,6728 1,8291 1,9804 2,1023 2,1575 2,1165 1,9756 1,7612 1,5246 1,3241 1,1986 1,1503 1,1508 1,1642 1,1607 1,1230 1,0567 0,9851 0,9295 0,9011 0,8993 0,9101 0,9148 0,9012 0,8584 0,7687 0,6183 0,4126 0,1793 -0,0399 -0,2074 -0,3110 -0,3691 -0,4146 -0,4696 -0,5333 -0,5835 -0,5869 -0,5229 -0,3996 -0,2410 -0,0572 0,1616 0,4253 0,7237 1,0298 1,3223 1,6022 1,8813 2,1599 2,4244 2,6640 2,8793 3,0667 3,1961 3,2165 3,0872 2,8094 2,4384 2,0677 1,7817 1,6088 1,5126 1,4306 1,3217 1,1816 1,0319 0,8937 0,7657 0,6214 0,4273 0,1643 -0,1648 -0,5423 -0,9361 -1,3024 -1,6058 -1,8368 -2,0077 -2,1385 -2,2479 -2,3552 -2,4821 -2,6414 -2,8233 -3,0030 -3,1633 -3,3069 -3,4511 -3,6116 -3,7883 -3,9597 -4,0737 -4,0529 -3,8343 -3,4173 -2,8732 -2,3128 -1,8315 -1,4647 -1,1894 -0,9655 -0,7670 -0,5788 -0,3839 -0,1622 0,1013 0,4100 0,7569 1,1351 1,5401 1,9590 2,3665 2,7311 3,0186 3,2063 3,3087 3,3793 3,4744 3,6129 3,7661 3,8765 3,8955 3,8144 3,6592 3,4607 3,2466 3,0599 2,9619 3,0048 3,1982 3,4952 3,8164 4,0934 4,2929 4,4131 4,4707 4,4903 4,4872 4,4510 4,3480 4,1408 3,8164 3,4106 2,9991 2,6541 2,4127 2,2749 2,2134 2,1902 2,1725 2,1344 2,0515 1,9023 1,6763 1,3830 1,0471 0,6922 0,3436 0,0406 -0,1830 -0,3301 -0,4402 -0,5679 -0,7560 -1,0128 -1,3158 -1,6354 -1,9430 -2,2136 -2,4443 -2,6531 -2,8455 -3,0038 -3,1153 -3,1899 -3,2518 -3,3217 -3,3992 -3,4598 -3,4733 -3,4294 -3,3454
