Fp1   2,8271 2,7213 2,6432 2,5424 2,3845 2,1767 1,9501 1,7319 1,5298 1,3336 1,1304 0,9144 0,6826 0,4340 0,1809 -0,0476 -0,2260 -0,3579 -0,4727 -0,5906 -0,6982 -0,7664 -0,7814 -0,7522 -0,7007 -0,6545 -0,6382 -0,6627 -0,7174 -0,7688 -0,7780 -0,7288 -0,6396 -0,5523 -0,5091 -0,5231 -0,5667 -0,5964 -0,5896 -0,5554 -0,5216 -0,5177 -0,5620 -0,6585 -0,8064 -1,0061 -1,2453 -1,4854 -1,6829 -1,8226 -1,9164 -1,9724 -1,9754 -1,8923 -1,7014 -1,4164 -1,0743 -0,7063 -0,3266 0,0537 0,4059 0,6791 0,8216 0,8068 0,6445 0,3803 0,0827 -0,1851 -0,3921 -0,5449 -0,6685 -0,7855 -0,9125 -1,0607 -1,2328 -1,4235 -1,6226 -1,8138 -1,9784 -2,1006 -2,1714 -2,1901 -2,1676 -2,1262 -2,0875 -2,0564 -2,0177 -1,9528 -1,8555 -1,7279 -1,5734 -1,4095 -1,2837 -1,2642 -1,4024 -1,6984 -2,1054 -2,5687 -3,0545 -3,5520 -4,0660 -4,6100 -5,2001 -5,8509 -6,5683 -7,3253 -8,0482 -8,6424 -9,0370 -9,2078 -9,1690 -8,9521 -8,5829 -8,0642 -7,3764 -6,5021 -5,4538 -4,2853 -3,0735 -1,8840 -0,7543 0,2919 1,2304 2,0417 2,7246 3,3039 3,8243 4,3322 4,8596 5,4237 6,0320 6,6778 7,3368 7,9722 8,5393 8,9967 9,3230 9,5222 9,6133 9,6246 9,5806 9,4836 9,3161 9,0709 8,7716 8,4664 8,2048 8,0132 7,8840 7,7874 7,6910 7,5821 7,4792 7,4130 7,3935 7,4058 7,4331 7,4688 7,5118 7,5621 7,6232 7,6977 7,7704 7,8044 7,7555 7,5840 7,2616 6,7847 6,1944 5,5776 5,0342 4,6340 4,3989 4,3210 4,3842 4,5691 4,8454 5,1656 5,4709 5,7071 5,8395 5,8580 5,7741 5,6101 5,3821 5,0911 4,7393 4,3474 3,9472 3,5655 3,2195 2,9184 2,6622 2,4432 2,2501 2,0683 1,8805 1,6723 1,4370 1,1753 0,8936 0,6041 0,3274 0,0943 -0,0652 -0,1410 -0,1462 -0,1025 -0,0237 0,0940 0,2709 0,5344 0,9096 1,4090 2,0145 2,6642 3,2630 3,7169 3,9736 4,0445 3,9920 3,8955 3,8156 3,7713 3,7382 3,6707 3,5380 3,3465 3,1329 2,9461 2,8310 2,8153 2,9038 3,0801 3,3095 3,5419 3,7237 3,8141 3,7887 3,6364 3,3610 2,9863 2,5636 2,1678 1,8669 1,6853 1,6002 1,5639 1,5215 1,4312 1,2946 1,1624 1,1067 1,1844 1,4100 1,7511 2,1483 2,5439 2,9034 3,2226 3,5182 3,8063 4,0849 4,3310 4,5065 4,5799 4,5565 4,4780 4,3864 4,2966 4,2048 4,1068 4,0038 3,9005 3,8018 3,7115 3,6347 3,5747 3,5254 3,4723 3,4053 3,3271 3,2514 3,1995 3,1932 3,2421 3,3380 3,4633 3,5994 3,7258 3,8176 3,8498 3,8063 3,6867 3,5135 3,3380 3,2242 3,2107 3,2915 3,4321 3,5998 3,7775 3,9578 4,1364 4,3081 4,4577 4,5572 4,5833 4,5383 4,4487 4,3402 4,2210 4,0970 3,9982 3,9753 4,0682 4,2872 4,6174 5,0257 5,4605 5,8560 6,1446 6,2789 6,2508 6,0895 5,8430 5,5657 5,3067 5,0993 4,9577 4,8743 4,8200 4,7638 4,6969 4,6331 4,5951 4,5960 4,6254 4,6540 4,6565 4,6269 4,5713 4,4933 4,3910 4,2694 4,1425 4,0156 3,8801 3,7334 3,5944 3,4951 3,4649 3,5205 3,6600 3,8629 4,0948 4,3126 4,4746 4,5513 4,5295 4,4169 4,2475 4,0731 3,9409 3,8799 3,9037 4,0130 4,1879 4,3872 4,5710 4,7274 4,8762 5,0491 5,2676 5,5302 5,8097 6,0629 6,2501 6,3504 6,3650 6,3161 6,2291 6,1111 5,9529 5,7422 5,4699 5,1355 4,7570 4,3703 4,0194 3,7453 3,5710 3,4901 3,4693 3,4669 3,4533 3,4161 3,3503 3,2556 3,1401 3,0212 2,9175 2,8371 2,7723 2,7122 2,6600 2,6366 2,6626 2,7354 2,8277 2,9130 2,9908 3,0835 3,2079 3,3498 3,4680 3,5212 3,4847 3,3515 3,1296 2,8404 2,5199 2,2154 1,9732 1,8205 1,7489 1,7203 1,6975 1,6723 1,6591 1,6666 1,6865 1,7078 1,7319 1,7642 1,7955 1,8018 1,7609 1,6661 1,5270 1,3612 1,1842 0,9976 0,7884 0,5479 0,2955 0,0766 -0,0654 -0,1153 -0,0947 -0,0473 -0,0118 -0,0023 -0,0075 -0,0038 0,0310 0,1091 0,2175 0,3114 0,3313 0,2325 -0,0003 -0,3544 -0,8011 -1,3082 -1,8409 -2,3578 -2,8110 -3,1492 -3,3367 -3,3821 -3,3403 -3,2805 -3,2575 -3,3032 -3,4294 -3,6273 -3,8693 -4,1218 -4,3691 -4,6217 -4,9047 -5,2460 -5,6603 -6,1326 -6,6198 -7,0739 -7,4635 -7,7790 -8,0292 -8,2339 -8,4163 -8,6018 -8,8184 -9,0851 -9,3902 -9,6810 -9,8802 -9,9211 -9,7769 -9,4640 -9,0222 -8,4926 -7,9112 -7,3053 -6,6850 -6,0449 -5,3792 -4,6914 -3,9963 -3,3203 -2,6995 -2,1687 -1,7491 -1,4481 -1,2678 -1,2032 -1,2324 -1,3143 -1,3969 -1,4291 -1,3800 -1,2548 -1,0952 -0,9642 -0,9161 -0,9699 -1,1114 -1,3153 -1,5526 -1,7874 -1,9829 -2,1201 -2,2122 -2,2998 -2,4351 -2,6668 -3,0230 -3,4931 -4,0273 -4,5605 -5,0465 -5,4759 -5,8618 -6,2104 -6,5007 -6,6909 -6,7467 -6,6685 -6,4960 -6,2868 -6,0910 -5,9409 -5,8537 -5,8379 -5,8988 -6,0427 -6,2762 -6,5929 -6,9609 -7,3360 -7,6910 -8,0177 -8,3057 -8,5299 -8,6542 -8,6393 -8,4590 -8,1266 -7,7064 -7,2872 -6,9410 -6,7063 -6,6024 -6,6418 -6,8178 -7,0903 -7,3992 -7,6911 -7,9342 -8,1220 -8,2706 -8,4008 -8,5152 -8,5903 -8,5852 -8,4601 -8,1977 -7,8141 -7,3453 -6,8346 -6,3343 -5,9041 -5,5971 -5,4442 -5,4411 -5,5429 -5,6809 -5,7919 -5,8361
Fz    1,8894 1,6281 1,3547 1,0822 0,8228 0,5917 0,4044 0,2671 0,1691 0,0851 -0,0128 -0,1430 -0,3054 -0,4791 -0,6298 -0,7294 -0,7718 -0,7734 -0,7544 -0,7204 -0,6617 -0,5682 -0,4407 -0,2912 -0,1384 -0,0032 0,0973 0,1565 0,1822 0,1917 0,1996 0,2085 0,2126 0,2082 0,1969 0,1859 0,1886 0,2193 0,2818 0,3623 0,4321 0,4550 0,3994 0,2491 0,0042 -0,3222 -0,7029 -1,0943 -1,4489 -1,7344 -1,9369 -2,0517 -2,0785 -2,0237 -1,9048 -1,7488 -1,5814 -1,4164 -1,2582 -1,1095 -0,9773 -0,8763 -0,8248 -0,8355 -0,9122 -1,0492 -1,2345 -1,4540 -1,6948 -1,9434 -2,1827 -2,3938 -2,5602 -2,6720 -2,7303 -2,7519 -2,7656 -2,7995 -2,8694 -2,9747 -3,1007 -3,2254 -3,3265 -3,3854 -3,3869 -3,3188 -3,1750 -2,9644 -2,7121 -2,4458 -2,1837 -1,9396 -1,7359 -1,6059 -1,5831 -1,6877 -1,9241 -2,2897 -2,7820 -3,3945 -4,1081 -4,8864 -5,6797 -6,4367 -7,1169 -7,6894 -8,1259 -8,3997 -8,4937 -8,4077 -8,1615 -7,7863 -7,3113 -6,7532 -6,1152 -5,3904 -4,5731 -3,6758 -2,7341 -1,7954 -0,9086 -0,1237 0,5148 0,9876 1,3134 1,5429 1,7403 1,9673 2,2736 2,6901 3,2253 3,8667 4,5871 5,3519 6,1225 6,8596 7,5281 8,0979 8,5444 8,8538 9,0243 9,0639 8,9889 8,8229 8,5919 8,3205 8,0319 7,7476 7,4818 7,2383 7,0160 6,8172 6,6476 6,5077 6,3892 6,2820 6,1801 6,0746 5,9473 5,7772 5,5552 5,2875 4,9896 4,6837 4,3955 4,1451 3,9383 3,7710 3,6430 3,5645 3,5492 3,6048 3,7334 3,9394 4,2292 4,6004 5,0343 5,4951 5,9352 6,3050 6,5650 6,6948 6,6913 6,5593 6,3052 5,9357 5,4642 4,9165 4,3301 3,7477 3,2060 2,7279 2,3209 1,9832 1,7117 1,5036 1,3529 1,2501 1,1849 1,1486 1,1325 1,1320 1,1528 1,2129 1,3311 1,5112 1,7374 1,9876 2,2472 2,5111 2,7799 3,0554 3,3361 3,6152 3,8786 4,1048 4,2694 4,3496 4,3337 4,2325 4,0799 3,9176 3,7762 3,6661 3,5810 3,5070 3,4347 3,3676 3,3206 3,3107 3,3477 3,4289 3,5453 3,6899 3,8599 4,0475 4,2312 4,3787 4,4573 4,4498 4,3609 4,2086 4,0116 3,7878 3,5552 3,3315 3,1327 2,9703 2,8463 2,7553 2,6895 2,6376 2,5868 2,5311 2,4737 2,4234 2,3926 2,3933 2,4327 2,5148 2,6417 2,8080 2,9916 3,1585 3,2765 3,3277 3,3157 3,2636 3,2042 3,1675 3,1690 3,2045 3,2542 3,2916 3,2897 3,2297 3,1109 2,9517 2,7807 2,6265 2,5099 2,4390 2,4149 2,4435 2,5370 2,7013 2,9277 3,1951 3,4776 3,7486 3,9799 4,1412 4,2059 4,1615 4,0179 3,8103 3,5898 3,4048 3,2837 3,2292 3,2242 3,2424 3,2617 3,2777 3,3028 3,3532 3,4380 3,5667 3,7593 4,0391 4,4110 4,8500 5,3137 5,7655 6,1853 6,5664 6,9085 7,2127 7,4750 7,6855 7,8347 7,9186 7,9369 7,8926 7,7940 7,6545 7,4960 7,3466 7,2319 7,1655 7,1469 7,1630 7,1946 7,2226 7,2317 7,2136 7,1701 7,1068 7,0252 6,9246 6,8084 6,6817 6,5479 6,4109 6,2778 6,1594 6,0697 6,0240 6,0373 6,1211 6,2769 6,4941 6,7546 7,0414 7,3389 7,6280 7,8834 8,0773 8,1867 8,1992 8,1170 7,9541 7,7295 7,4628 7,1763 6,9018 6,6801 6,5481 6,5241 6,6030 6,7616 6,9702 7,2025 7,4411 7,6750 7,8933 8,0802 8,2182 8,2975 8,3251 8,3235 8,3168 8,3166 8,3202 8,3164 8,2907 8,2330 8,1432 8,0310 7,9121 7,8041 7,7224 7,6759 7,6680 7,7033 7,7903 7,9357 8,1394 8,3932 8,6799 8,9754 9,2498 9,4685 9,5987 9,6247 9,5571 9,4259 9,2611 9,0795 8,8880 8,6958 8,5241 8,4023 8,3527 8,3782 8,4653 8,5946 8,7426 8,8784 8,9655 8,9710 8,8770 8,6877 8,4297 8,1422 7,8606 7,6042 7,3781 7,1814 7,0086 6,8500 6,6982 6,5562 6,4375 6,3553 6,3117 6,2960 6,2858 6,2497 6,1557 5,9841 5,7356 5,4289 5,0937 4,7658 4,4808 4,2658 4,1330 4,0805 4,0969 4,1650 4,2671 4,3901 4,5302 4,6902 4,8715 5,0672 5,2575 5,4095 5,4849 5,4534 5,3054 5,0546 4,7301 4,3622 3,9733 3,5780 3,1890 2,8247 2,5041 2,2340 2,0053 1,8066 1,6411 1,5312 1,5117 1,6153 1,8560 2,2184 2,6524 3,0807 3,4202 3,6081 3,6146 3,4393 3,0974 2,6097 2,0045 1,3197 0,5991 -0,1092 -0,7534 -1,2865 -1,6770 -1,9140 -2,0032 -1,9584 -1,7939 -1,5209 -1,1492 -0,6933 -0,1760 0,3733 0,9241 1,4500 1,9352 2,3781 2,7867 3,1700 3,5320 3,8707 4,1806 4,4603 4,7170 4,9636 5,2071 5,4455 5,6734 5,8871 6,0864 6,2718 6,4361 6,5596 6,6172 6,5909 6,4752 6,2752 6,0015 5,6685 5,3004 4,9354 4,6204 4,3945 4,2731 4,2459 4,2879 4,3702 4,4654 4,5490 4,6020 4,6100 4,5580 4,4307 4,2215 3,9403 3,6148 3,2854 2,9941 2,7712 2,6267 2,5510 2,5198 2,5037 2,4775 2,4239 2,3325 2,1981 2,0228 1,8182 1,6056 1,4069 1,2329 1,0829 0,9551 0,8520 0,7817 0,7570 0,7865 0,8590 0,9408 0,9921 0,9859 0,9163 0,7934 0,6326 0,4502 0,2638 0,0845 -0,0886 -0,2625 -0,4382 -0,6068 -0,7506 -0,8470 -0,8742 -0,8162 -0,6683 -0,4429 -0,1660 0,1365 0,4462 0,7428 0,9963 1,1752 1,2627 1,2631 1,2000 1,1094 1,0318 1,0008
F3    2,3135 2,1196 1,8996 1,6393 1,3476 1,0600 0,8222 0,6631 0,5754 0,5206 0,4533 0,3443 0,1892 0,0055 -0,1779 -0,3396 -0,4810 -0,6254 -0,7965 -0,9963 -1,2020 -1,3798 -1,4992 -1,5359 -1,4738 -1,3140 -1,0812 -0,8164 -0,5592 -0,3355 -0,1592 -0,0379 0,0297 0,0583 0,0714 0,0923 0,1382 0,2148 0,3120 0,4111 0,4931 0,5408 0,5364 0,4630 0,3070 0,0651 -0,2447 -0,5814 -0,8960 -1,1532 -1,3368 -1,4430 -1,4773 -1,4547 -1,3988 -1,3352 -1,2771 -1,2179 -1,1414 -1,0384 -0,9128 -0,7774 -0,6511 -0,5591 -0,5278 -0,5735 -0,6928 -0,8640 -1,0531 -1,2239 -1,3527 -1,4403 -1,5093 -1,5867 -1,6906 -1,8318 -2,0155 -2,2369 -2,4803 -2,7221 -2,9359 -3,0992 -3,2008 -3,2410 -3,2259 -3,1599 -3,0423 -2,8712 -2,6492 -2,3801 -2,0660 -1,7168 -1,3633 -1,0606 -0,8770 -0,8700 -1,0626 -1,4411 -1,9749 -2,6310 -3,3750 -4,1647 -4,9546 -5,7109 -6,4176 -7,0547 -7,5759 -7,9164 -8,0263 -7,8959 -7,5559 -7,0573 -6,4522 -5,7828 -5,0786 -4,3568 -3,6269 -2,8990 -2,1842 -1,4912 -0,8320 -0,2334 0,2691 0,6542 0,9325 1,1434 1,3346 1,5429 1,7891 2,0882 2,4600 2,9258 3,4945 4,1489 4,8417 5,5059 6,0799 6,5246 6,8228 6,9707 6,9722 6,8383 6,5967 6,3000 6,0148 5,7954 5,6659 5,6174 5,6168 5,6254 5,6204 5,6057 5,6041 5,6275 5,6556 5,6426 5,5421 5,3225 4,9750 4,5231 4,0250 3,5543 3,1675 2,8864 2,7033 2,5972 2,5467 2,5382 2,5715 2,6593 2,8160 3,0414 3,3150 3,6077 3,8970 4,1705 4,4209 4,6388 4,8092 4,9179 4,9647 4,9693 4,9593 4,9455 4,9073 4,8000 4,5815 4,2390 3,7970 3,3090 2,8374 2,4305 2,1088 1,8687 1,6969 1,5735 1,4672 1,3444 1,1885 1,0082 0,8275 0,6723 0,5636 0,5130 0,5167 0,5568 0,6172 0,6987 0,8144 0,9767 1,1964 1,4826 1,8366 2,2447 2,6698 3,0509 3,3147 3,3999 3,2873 3,0174 2,6761 2,3558 2,1203 1,9948 1,9727 2,0261 2,1158 2,2040 2,2655 2,2927 2,2897 2,2630 2,2234 2,1919 2,1947 2,2481 2,3465 2,4607 2,5475 2,5682 2,5023 2,3488 2,1238 1,8599 1,5988 1,3721 1,1879 1,0324 0,8805 0,7118 0,5236 0,3313 0,1602 0,0394 -0,0080 0,0242 0,1215 0,2538 0,3904 0,5130 0,6200 0,7205 0,8229 0,9275 1,0271 1,1149 1,1921 1,2653 1,3380 1,4059 1,4577 1,4802 1,4687 1,4342 1,3960 1,3684 1,3553 1,3522 1,3456 1,3167 1,2534 1,1588 1,0524 0,9680 0,9424 0,9948 1,1154 1,2746 1,4389 1,5792 1,6754 1,7172 1,7007 1,6264 1,5014 1,3424 1,1784 1,0407 0,9469 0,8960 0,8760 0,8722 0,8733 0,8735 0,8670 0,8411 0,7865 0,7229 0,7107 0,8237 1,0956 1,4909 1,9293 2,3353 2,6702 2,9349 3,1587 3,3786 3,6120 3,8434 4,0387 4,1685 4,2174 4,1822 4,0695 3,8959 3,6910 3,4954 3,3471 3,2668 3,2476 3,2557 3,2463 3,1876 3,0740 2,9265 2,7830 2,6835 2,6605 2,7361 2,9150 3,1726 3,4532 3,6881 3,8231 3,8379 3,7449 3,5767 3,3746 3,1793 3,0225 2,9272 2,9147 3,0072 3,2205 3,5526 3,9770 4,4463 4,9034 5,2910 5,5593 5,6768 5,6353 5,4452 5,1331 4,7457 4,3492 4,0124 3,7858 3,6922 3,7317 3,8912 4,1492 4,4760 4,8345 5,1871 5,5031 5,7598 5,9385 6,0253 6,0193 5,9328 5,7856 5,6024 5,4102 5,2298 5,0687 4,9261 4,8037 4,7069 4,6386 4,5932 4,5570 4,5182 4,4809 4,4689 4,5117 4,6255 4,8057 5,0295 5,2638 5,4685 5,5996 5,6206 5,5227 5,3365 5,1203 4,9333 4,8087 4,7477 4,7373 4,7754 4,8762 5,0488 5,2749 5,5151 5,7321 5,9000 6,0000 6,0168 5,9389 5,7611 5,4906 5,1492 4,7713 4,3946 4,0492 3,7525 3,5083 3,3044 3,1183 2,9387 2,7830 2,6897 2,6876 2,7688 2,8868 2,9831 3,0187 2,9897 2,9152 2,8112 2,6727 2,4795 2,2182 1,9016 1,5689 1,2698 1,0447 0,9128 0,8703 0,8942 0,9516 1,0163 1,0789 1,1460 1,2318 1,3424 1,4633 1,5582 1,5835 1,5060 1,3155 1,0232 0,6484 0,2124 -0,2590 -0,7295 -1,1499 -1,4676 -1,6494 -1,7016 -1,6686 -1,6074 -1,5558 -1,5146 -1,4516 -1,3222 -1,0960 -0,7791 -0,4200 -0,0956 0,1099 0,1294 -0,0668 -0,4692 -1,0389 -1,7158 -2,4300 -3,1203 -3,7466 -4,2854 -4,7265 -5,0777 -5,3608 -5,5866 -5,7336 -5,7559 -5,6145 -5,3022 -4,8490 -4,3098 -3,7414 -3,1869 -2,6733 -2,2126 -1,8064 -1,4564 -1,1676 -0,9332 -0,7229 -0,4976 -0,2324 0,0745 0,4062 0,7335 1,0237 1,2536 1,4179 1,5326 1,6276 1,7248 1,8162 1,8619 1,8122 1,6345 1,3271 0,9176 0,4561 0,0108 -0,3433 -0,5457 -0,5708 -0,4392 -0,2127 0,0274 0,2112 0,3001 0,2881 0,1899 0,0230 -0,2043 -0,4909 -0,8295 -1,2019 -1,5777 -1,9107 -2,1466 -2,2476 -2,2152 -2,0869 -1,9162 -1,7554 -1,6481 -1,6230 -1,6875 -1,8270 -2,0126 -2,2090 -2,3825 -2,5162 -2,6248 -2,7451 -2,9050 -3,1020 -3,3032 -3,4583 -3,5192 -3,4632 -3,3055 -3,0913 -2,8719 -2,6879 -2,5705 -2,5427 -2,6061 -2,7289 -2,8628 -2,9727 -3,0530 -3,1231 -3,2106 -3,3307 -3,4744 -3,6135 -3,7135 -3,7466 -3,6993 -3,5701 -3,3608 -3,0779 -2,7472 -2,4175 -2,1407 -1,9484 -1,8426 -1,8004 -1,7882 -1,7723 -1,7280
F7    2,2982 2,3343 2,3964 2,4349 2,4135 2,3305 2,2048 2,0486 1,8516 1,5851 1,2208 0,7505 0,1943 -0,4013 -0,9657 -1,4159 -1,6880 -1,7721 -1,7155 -1,5843 -1,4272 -1,2757 -1,1603 -1,1069 -1,1208 -1,1810 -1,2495 -1,2877 -1,2665 -1,1697 -1,0005 -0,7854 -0,5646 -0,3741 -0,2329 -0,1381 -0,0677 0,0051 0,0935 0,1911 0,2781 0,3320 0,3375 0,2946 0,2150 0,1087 -0,0195 -0,1622 -0,3120 -0,4738 -0,6610 -0,8747 -1,0932 -1,2768 -1,3854 -1,3969 -1,3114 -1,1402 -0,8976 -0,6012 -0,2773 0,0383 0,3064 0,4984 0,6053 0,6325 0,5864 0,4636 0,2544 -0,0434 -0,4123 -0,8200 -1,2337 -1,6246 -1,9671 -2,2476 -2,4719 -2,6506 -2,7793 -2,8395 -2,8206 -2,7366 -2,6189 -2,4918 -2,3570 -2,2018 -2,0122 -1,7838 -1,5261 -1,2586 -1,0063 -0,8032 -0,6929 -0,7162 -0,8871 -1,1800 -1,5455 -1,9393 -2,3366 -2,7260 -3,1026 -3,4690 -3,8366 -4,2239 -4,6456 -5,0947 -5,5316 -5,8990 -6,1473 -6,2518 -6,2173 -6,0746 -5,8630 -5,6029 -5,2813 -4,8643 -4,3272 -3,6807 -2,9695 -2,2435 -1,5329 -0,8555 -0,2379 0,2784 0,6578 0,8964 1,0286 1,1123 1,2084 1,3693 1,6319 2,0087 2,4852 3,0251 3,5707 4,0492 4,4008 4,6076 4,6974 4,7221 4,7267 4,7288 4,7306 4,7446 4,7954 4,8983 5,0463 5,2148 5,3680 5,4664 5,4787 5,3970 5,2448 5,0675 4,9085 4,7925 4,7249 4,6978 4,6954 4,7011 4,7074 4,7147 4,7216 4,7208 4,6998 4,6395 4,5142 4,3086 4,0355 3,7367 3,4656 3,2673 3,1673 3,1738 3,2799 3,4657 3,7056 3,9751 4,2523 4,5176 4,7564 4,9594 5,1204 5,2295 5,2698 5,2210 5,0742 4,8456 4,5721 4,2873 4,0041 3,7190 3,4262 3,1272 2,8351 2,5680 2,3312 2,1079 1,8708 1,6074 1,3341 1,0857 0,8952 0,7813 0,7494 0,7918 0,8847 0,9958 1,0998 1,1896 1,2764 1,3827 1,5340 1,7468 2,0090 2,2712 2,4646 2,5340 2,4695 2,3183 2,1649 2,0909 2,1381 2,2937 2,5011 2,6916 2,8176 2,8681 2,8593 2,8192 2,7769 2,7595 2,7919 2,8912 3,0541 3,2490 3,4254 3,5330 3,5346 3,4099 3,1608 2,8203 2,4519 2,1285 1,8988 1,7634 1,6839 1,6118 1,5103 1,3662 1,1985 1,0528 0,9822 1,0237 1,1792 1,4127 1,6704 1,9119 2,1300 2,3428 2,5659 2,7899 2,9825 3,1135 3,1734 3,1738 3,1398 3,1015 3,0817 3,0869 3,1081 3,1289 3,1348 3,1153 3,0656 2,9938 2,9197 2,8569 2,7967 2,7153 2,5980 2,4536 2,3131 2,2153 2,1910 2,2558 2,4085 2,6261 2,8653 3,0744 3,2084 3,2378 3,1488 2,9459 2,6588 2,3436 2,0664 1,8742 1,7735 1,7379 1,7392 1,7697 1,8397 1,9628 2,1378 2,3377 2,5156 2,6315 2,6771 2,6742 2,6514 2,6232 2,5935 2,5683 2,5614 2,5914 2,6747 2,8132 2,9834 3,1364 3,2176 3,1947 3,0744 2,8989 2,7220 2,5802 2,4823 2,4218 2,3890 2,3724 2,3589 2,3427 2,3356 2,3614 2,4381 2,5657 2,7235 2,8689 2,9475 2,9226 2,7955 2,5969 2,3631 2,1231 1,9034 1,7357 1,6521 1,6693 1,7810 1,9648 2,1953 2,4524 2,7230 2,9943 3,2438 3,4409 3,5591 3,5856 3,5222 3,3832 3,1957 2,9965 2,8242 2,7127 2,6937 2,7961 3,0346 3,3906 3,8084 4,2163 4,5602 4,8243 5,0266 5,1908 5,3199 5,3893 5,3577 5,1917 4,8914 4,5042 4,1141 3,8030 3,6107 3,5288 3,5234 3,5552 3,5912 3,6122 3,6151 3,6093 3,6099 3,6299 3,6763 3,7476 3,8291 3,8895 3,8904 3,8057 3,6384 3,4215 3,2054 3,0364 2,9333 2,8801 2,8433 2,7979 2,7417 2,6919 2,6698 2,6828 2,7206 2,7687 2,8250 2,8977 2,9875 3,0814 3,1611 3,2097 3,2145 3,1671 3,0613 2,8976 2,6874 2,4474 2,1966 1,9560 1,7444 1,5717 1,4429 1,3609 1,3177 1,2904 1,2563 1,2105 1,1647 1,1324 1,1212 1,1338 1,1700 1,2263 1,2910 1,3399 1,3381 1,2559 1,0881 0,8581 0,6010 0,3450 0,1044 -0,1180 -0,3211 -0,4953 -0,6177 -0,6602 -0,6045 -0,4508 -0,2185 0,0511 0,2944 0,4403 0,4372 0,2679 -0,0547 -0,4956 -1,0016 -1,5084 -1,9590 -2,3185 -2,5722 -2,7192 -2,7749 -2,7741 -2,7568 -2,7462 -2,7404 -2,7232 -2,6768 -2,5880 -2,4542 -2,2916 -2,1380 -2,0447 -2,0624 -2,2231 -2,5229 -2,9236 -3,3738 -3,8272 -4,2511 -4,6313 -4,9718 -5,2887 -5,6054 -5,9445 -6,3099 -6,6713 -6,9727 -7,1638 -7,2255 -7,1692 -7,0181 -6,7959 -6,5260 -6,2347 -5,9467 -5,6719 -5,3988 -5,1038 -4,7673 -4,3852 -3,9733 -3,5632 -3,1899 -2,8797 -2,6447 -2,4797 -2,3639 -2,2684 -2,1670 -2,0433 -1,8931 -1,7261 -1,5662 -1,4425 -1,3747 -1,3645 -1,4006 -1,4711 -1,5717 -1,7005 -1,8506 -2,0090 -2,1616 -2,2965 -2,4062 -2,4867 -2,5393 -2,5750 -2,6151 -2,6865 -2,8117 -3,0006 -3,2449 -3,5179 -3,7823 -4,0007 -4,1427 -4,1930 -4,1567 -4,0546 -3,9144 -3,7645 -3,6326 -3,5450 -3,5184 -3,5529 -3,6350 -3,7506 -3,8884 -4,0335 -4,1718 -4,3046 -4,4449 -4,5949 -4,7344 -4,8301 -4,8506 -4,7784 -4,6201 -4,4083 -4,1890 -4,0053 -3,8898 -3,8656 -3,9409 -4,0986 -4,3000 -4,5046 -4,6865 -4,8344 -4,9446 -5,0166 -5,0500 -5,0443 -5,0009 -4,9246 -4,8207 -4,6940 -4,5495 -4,3890 -4,2094 -4,0126 -3,8150 -3,6451 -3,5301 -3,4797 -3,4788 -3,4956 -3,4944 -3,4499
