Fp1   -0,3244 -0,0927 0,0082 -0,0370 -0,2020 -0,4292 -0,6517 -0,8117 -0,8768 -0,8491 -0,7564 -0,6403 -0,5444 -0,4938 -0,4749 -0,4496 -0,3931 -0,3154 -0,2458 -0,2045 -0,1843 -0,1507 -0,0641 0,0838 0,2548 0,3875 0,4380 0,4047 0,3253 0,2519 0,2194 0,2302 0,2646 0,2974 0,3112 0,3025 0,2806 0,2604 0,2579 0,2881 0,3584 0,4587 0,5624 0,6371 0,6579 0,6156 0,5131 0,3598 0,1744 -0,0118 -0,1644 -0,2613 -0,2945 -0,2626 -0,1739 -0,0543 0,0626 0,1552 0,2226 0,2789 0,3433 0,4275 0,5235 0,6072 0,6559 0,6569 0,6046 0,5023 0,3718 0,2540 0,1916 0,2046 0,2792 0,3748 0,4411 0,4398 0,3647 0,2469 0,1358 0,0675 0,0459 0,0463 0,0338 -0,0140 -0,0950 -0,1889 -0,2670 -0,2933 -0,2329 -0,0772 0,1364 0,3380 0,4638 0,4898 0,4355 0,3442 0,2612 0,2188 0,2185 0,2222 0,1714 0,0228 -0,2270 -0,5369 -0,8336 -1,0418 -1,1216 -1,0841 -0,9790 -0,8682 -0,8033 -0,8125 -0,9001 -1,0567 -1,2703 -1,5284 -1,8131 -2,0963 -2,3431 -2,5295 -2,6540 -2,7249 -2,7413 -2,6918 -2,5719 -2,4004 -2,2098 -2,0201 -1,8224 -1,5901 -1,3074 -0,9917 -0,6875 -0,4296 -0,2087 0,0199 0,2903 0,5976 0,9140 1,2149 1,4839 1,7034 1,8560 1,9381 1,9664 1,9680 1,9658 1,9774 2,0221 2,1169 2,2642 2,4374 2,5719 2,5838 2,4217 2,1073 1,7250 1,3830 1,1781 1,1679 1,3510 1,6664 2,0183 2,3178 2,5155 2,6058 2,6079 2,5455 2,4392 2,3104 2,1885 2,1111 2,1153 2,2198 2,4142 2,6650 2,9301 3,1661 3,3356 3,4227 3,4431 3,4295 3,4056 3,3711 3,3006 3,1539 2,9018 2,5584 2,1824 1,8416 1,5769 1,3973 1,2982 1,2789 1,3433 1,4869 1,6845 1,8954 2,0769 2,1921 2,2189 2,1626 2,0576 1,9473 1,8555 1,7693 1,6516 1,4727 1,2253 0,9096 0,5260 0,0873 -0,3678 -0,7808 -1,0942 -1,2679 -1,2860 -1,1619 -0,9399 -0,6819 -0,4389 -0,2291 -0,0434 0,1329 0,3092 0,4874 0,6533 0,7772 0,8354 0,8300 0,7824 0,7129 0,6353 0,5654 0,5217 0,5183 0,5549 0,6120 0,6566 0,6618 0,6248 0,5674 0,5206 0,5133 0,5710 0,7107 0,9314 1,2124 1,5253 1,8470 2,1623 2,4650 2,7605 3,0554 3,3411 3,5909 3,7726 3,8598 3,8381 3,7072 3,4786 3,1740 2,8278 2,4886 2,2089 2,0276 1,9674 2,0463 2,2695 2,6023 2,9627 3,2474 3,3744 3,3180 3,1136 2,8322 2,5505 2,3255 2,1813 2,1164 2,1140 2,1415 2,1550 2,1138 1,9953 1,8052 1,5791 1,3741 1,2474 1,2274 1,2970 1,4089 1,5217 1,6208 1,7054 1,7623 1,7671 1,7035 1,5709 1,3776 1,1412 0,8905 0,6607 0,4804 0,3590 0,2850 0,2416 0,2292 0,2662 0,3653 0,5104 0,6492 0,7122 0,6521 0,4751 0,2370 0,0182 -0,0990 -0,0610 0,1254 0,4004 0,6994 0,9887 1,2610 1,5149 1,7448 1,9394 2,0830 2,1606 2,1682 2,1187 2,0329 1,9280 1,8194 1,7287 1,6811 1,6908 1,7501 1,8355 1,9256 2,0102 2,0883 2,1660 2,2552 2,3609 2,4692 2,5527 2,5952 2,6097 2,6276 2,6701 2,7393 2,8401 2,9917 3,2060 3,4637 3,7176 3,9178 4,0376 4,0784 4,0488 3,9423 3,7424 3,4469 3,0824 2,6980 2,3477 2,0767 1,9163 1,8788 1,9497 2,0890 2,2458 2,3718 2,4306 2,4064 2,3096 2,1718 2,0349 1,9399 1,9187 1,9886 2,1471 2,3632 2,5774 2,7201 2,7464 2,6586 2,4952 2,2976 2,0882 1,8768 1,6781 1,5156 1,4130 1,3809 1,4152 1,5073 1,6429 1,7910 1,9154 1,9981 2,0397 2,0472 2,0363 2,0375 2,0882 2,2174 2,4328 2,7179 3,0361 3,3385 3,5763 3,7179 3,7529 3,6783 3,4900 3,1929 2,8145 2,4034 2,0220 1,7386 1,6111 1,6592 1,8476 2,1053 2,3660 2,5907 2,7589 2,8510 2,8480 2,7404 2,5371 2,2674 1,9758 1,7075 1,5014 1,3938 1,4130 1,5583 1,7943 2,0700 2,3346 2,5413 2,6523 2,6457 2,5178 2,2800 1,9550 1,5776 1,1960 0,8641 0,6374 0,5727 0,7102 1,0437 1,5110 2,0121 2,4403 2,7157 2,8120 2,7613 2,6293 2,4847 2,3787 2,3281 2,3056 2,2645 2,1814 2,0770 1,9951 1,9632 1,9745 2,0002 2,0105 1,9863 1,9217 1,8207 1,6930 1,5504 1,4081 1,2898 1,2227 1,2193 1,2679 1,3414 1,4090 1,4414 1,4168 1,3253 1,1722 0,9812 0,7919 0,6429 0,5508 0,5062 0,4877 0,4784 0,4687 0,4529 0,4349 0,4347 0,4707 0,5317 0,5758 0,5599 0,4680 0,3129 0,1220 -0,0703 -0,2211 -0,2867 -0,2460 -0,1150 0,0666 0,2645 0,4655 0,6741 0,8987 1,1449 1,4223 1,7445 2,1085 2,4768 2,7904 3,0032 3,1022 3,0994 3,0107 2,8532 2,6549 2,4565 2,2942 2,1789 2,0907 2,0034 1,9157 1,8570 1,8593 1,9205 1,9970 2,0417 2,0427 2,0209 2,0030 2,0009 2,0063 2,0005 1,9726 1,9252 1,8663 1,8020 1,7401 1,6912 1,6605 1,6463 1,6456 1,6545 1,6666 1,6795 1,6977 1,7255 1,7644 1,8227 1,9180 2,0582 2,2203 2,3563 2,4166 2,3712 2,2189 1,9822 1,6883 1,3584 1,0155 0,6973 0,4573 0,3458 0,3823 0,5419 0,7615 0,9642 1,0949 1,1443 1,1348 1,0849 0,9932 0,8550 0,6812 0,5001 0,3455 0,2450 0,2218 0,2983 0,4920 0,8011 1,1866 1,5764 1,8986 2,1120
Fz    1,8437 1,7745 1,5459 1,1889 0,7649 0,3468 -0,0045 -0,2576 -0,4148 -0,5027 -0,5542 -0,5936 -0,6313 -0,6651 -0,6822 -0,6662 -0,6120 -0,5359 -0,4630 -0,4037 -0,3419 -0,2447 -0,0862 0,1298 0,3670 0,5784 0,7319 0,8186 0,8459 0,8253 0,7641 0,6645 0,5301 0,3728 0,2108 0,0606 -0,0721 -0,1965 -0,3285 -0,4736 -0,6185 -0,7389 -0,8131 -0,8272 -0,7755 -0,6630 -0,5102 -0,3503 -0,2150 -0,1225 -0,0757 -0,0670 -0,0808 -0,0987 -0,1065 -0,0999 -0,0859 -0,0770 -0,0811 -0,0935 -0,0976 -0,0742 -0,0120 0,0863 0,2083 0,3353 0,4455 0,5210 0,5607 0,5854 0,6247 0,6955 0,7917 0,8896 0,9575 0,9642 0,8873 0,7177 0,4572 0,1172 -0,2749 -0,6736 -1,0276 -1,2970 -1,4623 -1,5261 -1,5105 -1,4436 -1,3451 -1,2287 -1,1150 -1,0325 -1,0036 -1,0342 -1,1142 -1,2227 -1,3340 -1,4289 -1,5090 -1,5972 -1,7224 -1,9019 -2,1344 -2,4005 -2,6707 -2,9167 -3,1230 -3,2892 -3,4238 -3,5375 -3,6446 -3,7659 -3,9261 -4,1446 -4,4234 -4,7365 -5,0353 -5,2675 -5,3971 -5,4151 -5,3343 -5,1744 -4,9554 -4,7039 -4,4594 -4,2655 -4,1454 -4,0836 -4,0307 -3,9291 -3,7424 -3,4708 -3,1460 -2,8077 -2,4814 -2,1782 -1,9095 -1,6906 -1,5289 -1,4134 -1,3187 -1,2183 -1,0936 -0,9369 -0,7517 -0,5525 -0,3576 -0,1789 -0,0199 0,1164 0,2186 0,2676 0,2444 0,1393 -0,0347 -0,2350 -0,4034 -0,4915 -0,4799 -0,3843 -0,2469 -0,1167 -0,0255 0,0262 0,0638 0,1161 0,1950 0,2914 0,3875 0,4736 0,5612 0,6815 0,8731 1,1652 1,5638 2,0452 2,5632 3,0677 3,5203 3,8965 4,1779 4,3477 4,3934 4,3166 4,1405 3,9046 3,6493 3,4023 3,1704 2,9425 2,7104 2,4974 2,3612 2,3605 2,5108 2,7693 3,0558 3,2875 3,4074 3,4002 3,2919 3,1309 2,9576 2,7837 2,6004 2,3969 2,1675 1,9105 1,6296 1,3346 1,0381 0,7486 0,4715 0,2151 -0,0058 -0,1746 -0,2786 -0,3103 -0,2689 -0,1636 -0,0154 0,1418 0,2651 0,3148 0,2749 0,1648 0,0271 -0,0984 -0,1920 -0,2551 -0,3009 -0,3432 -0,3862 -0,4205 -0,4298 -0,4002 -0,3256 -0,2102 -0,0667 0,0870 0,2361 0,3751 0,5092 0,6509 0,8100 0,9811 1,1458 1,2895 1,4135 1,5329 1,6622 1,8089 1,9796 2,1849 2,4320 2,7172 3,0247 3,3321 3,6153 3,8532 4,0308 4,1436 4,2036 4,2386 4,2810 4,3534 4,4650 4,6161 4,7979 4,9888 5,1567 5,2720 5,3238 5,3270 5,3120 5,3092 5,3397 5,4126 5,5215 5,6478 5,7668 5,8521 5,8828 5,8525 5,7705 5,6544 5,5208 5,3791 5,2306 5,0690 4,8848 4,6756 4,4555 4,2486 4,0748 3,9370 3,8208 3,6990 3,5362 3,3005 2,9801 2,5934 2,1850 1,8096 1,5097 1,3007 1,1715 1,0973 1,0509 1,0087 0,9561 0,8897 0,8139 0,7377 0,6738 0,6325 0,6175 0,6293 0,6685 0,7318 0,8107 0,8986 0,9909 1,0819 1,1693 1,2614 1,3695 1,4918 1,6085 1,6928 1,7214 1,6789 1,5634 1,3920 1,2017 1,0434 0,9666 1,0018 1,1534 1,4043 1,7224 2,0701 2,4146 2,7343 3,0191 3,2670 3,4832 3,6773 3,8584 4,0256 4,1627 4,2488 4,2843 4,3008 4,3411 4,4314 4,5684 4,7223 4,8550 4,9414 4,9702 4,9335 4,8281 4,6693 4,4932 4,3401 4,2360 4,1885 4,1943 4,2485 4,3440 4,4676 4,6018 4,7267 4,8200 4,8584 4,8250 4,7143 4,5376 4,3221 4,1002 3,8986 3,7308 3,5952 3,4801 3,3722 3,2649 3,1616 3,0702 2,9939 2,9315 2,8893 2,8860 2,9439 3,0719 3,2547 3,4578 3,6488 3,8086 3,9226 3,9723 3,9431 3,8327 3,6550 3,4409 3,2381 3,1038 3,0921 3,2353 3,5293 3,9337 4,3855 4,8159 5,1655 5,4020 5,5308 5,5872 5,6178 5,6634 5,7479 5,8772 6,0473 6,2539 6,4928 6,7557 7,0300 7,2988 7,5409 7,7301 7,8377 7,8374 7,7121 7,4626 7,1151 6,7178 6,3254 5,9814 5,7089 5,5084 5,3573 5,2175 5,0561 4,8606 4,6404 4,4183 4,2209 4,0668 3,9580 3,8831 3,8286 3,7862 3,7481 3,7062 3,6636 3,6379 3,6518 3,7220 3,8487 4,0067 4,1494 4,2290 4,2224 4,1423 4,0245 3,9059 3,8047 3,7136 3,6143 3,5024 3,3981 3,3264 3,2908 3,2704 3,2389 3,1797 3,0856 2,9525 2,7762 2,5563 2,3030 2,0434 1,8191 1,6703 1,6134 1,6334 1,6961 1,7592 1,7736 1,6892 1,4701 1,1151 0,6671 0,2001 -0,2140 -0,5353 -0,7644 -0,9256 -1,0431 -1,1229 -1,1527 -1,1167 -1,0136 -0,8664 -0,7196 -0,6226 -0,6071 -0,6757 -0,8095 -0,9795 -1,1467 -1,2621 -1,2785 -1,1685 -0,9361 -0,6144 -0,2486 0,1208 0,4645 0,7668 1,0300 1,2762 1,5405 1,8517 2,2164 2,6196 3,0351 3,4321 3,7732 4,0201 4,1475 4,1538 4,0589 3,8944 3,6931 3,4835 3,2889 3,1289 3,0205 2,9787 3,0130 3,1202 3,2836 3,4828 3,7014 3,9294 4,1622 4,3955 4,6160 4,7967 4,9037 4,9070 4,7940 4,5800 4,3080 4,0331 3,8029 3,6428 3,5503 3,5031 3,4741 3,4428 3,4004 3,3529 3,3226 3,3398 3,4199 3,5470 3,6827 3,7918 3,8615 3,8997 3,9166 3,9096 3,8674 3,7867 3,6813 3,5797 3,5114 3,4900 3,5020 3,5096 3,4697 3,3583 3,1816 2,9684 2,7500 2,5476 2,3736 2,2359 2,1345 2,0572 1,9869 1,9152 1,8502 1,8156 1,8383 1,9313 2,0816 2,2538 2,4032
F3    0,7423 0,4106 0,1124 -0,1265 -0,2979 -0,4140 -0,5064 -0,6162 -0,7745 -0,9857 -1,2229 -1,4369 -1,5723 -1,5851 -1,4591 -1,2092 -0,8709 -0,4854 -0,0879 0,2931 0,6264 0,8740 1,0056 1,0201 0,9495 0,8394 0,7250 0,6198 0,5231 0,4355 0,3677 0,3330 0,3347 0,3632 0,4037 0,4446 0,4775 0,4950 0,4890 0,4516 0,3799 0,2785 0,1590 0,0373 -0,0681 -0,1386 -0,1597 -0,1284 -0,0600 0,0142 0,0624 0,0677 0,0308 -0,0375 -0,1233 -0,2109 -0,2801 -0,3092 -0,2862 -0,2169 -0,1193 -0,0109 0,0986 0,2073 0,3178 0,4328 0,5489 0,6558 0,7403 0,7921 0,8104 0,8077 0,7993 0,7870 0,7536 0,6728 0,5241 0,3008 0,0124 -0,3155 -0,6432 -0,9237 -1,1135 -1,1853 -1,1412 -1,0163 -0,8643 -0,7345 -0,6532 -0,6261 -0,6489 -0,7116 -0,7957 -0,8767 -0,9345 -0,9637 -0,9754 -0,9925 -1,0384 -1,1248 -1,2468 -1,3889 -1,5366 -1,6838 -1,8326 -1,9915 -2,1707 -2,3742 -2,5942 -2,8154 -3,0232 -3,2070 -3,3584 -3,4699 -3,5373 -3,5557 -3,5181 -3,4237 -3,2862 -3,1278 -2,9686 -2,8276 -2,7316 -2,7144 -2,7994 -2,9824 -3,2298 -3,4916 -3,7152 -3,8551 -3,8800 -3,7771 -3,5525 -3,2306 -2,8517 -2,4629 -2,1022 -1,7890 -1,5236 -1,2930 -1,0789 -0,8670 -0,6560 -0,4557 -0,2767 -0,1214 0,0110 0,1123 0,1649 0,1520 0,0701 -0,0638 -0,2120 -0,3290 -0,3787 -0,3460 -0,2417 -0,0982 0,0431 0,1498 0,2084 0,2248 0,2198 0,2192 0,2416 0,2884 0,3470 0,4039 0,4584 0,5274 0,6345 0,7950 1,0082 1,2611 1,5391 1,8274 2,1050 2,3433 2,5112 2,5826 2,5464 2,4155 2,2261 2,0255 1,8594 1,7645 1,7627 1,8557 2,0249 2,2382 2,4607 2,6594 2,8032 2,8656 2,8303 2,6958 2,4774 2,2086 1,9327 1,6871 1,4915 1,3437 1,2252 1,1099 0,9788 0,8334 0,6965 0,5968 0,5522 0,5628 0,6136 0,6821 0,7447 0,7788 0,7643 0,6904 0,5610 0,3906 0,1982 0,0018 -0,1913 -0,3896 -0,6068 -0,8409 -1,0675 -1,2519 -1,3648 -1,3888 -1,3248 -1,1976 -1,0468 -0,9049 -0,7840 -0,6810 -0,5895 -0,5046 -0,4158 -0,3039 -0,1513 0,0458 0,2749 0,5141 0,7351 0,9056 1,0007 1,0187 0,9862 0,9419 0,9125 0,9029 0,9025 0,8969 0,8790 0,8585 0,8610 0,9164 1,0445 1,2454 1,5011 1,7843 2,0678 2,3262 2,5363 2,6830 2,7659 2,7985 2,7996 2,7840 2,7562 2,7158 2,6692 2,6348 2,6383 2,7038 2,8444 3,0533 3,2996 3,5375 3,7234 3,8304 3,8534 3,8032 3,6991 3,5660 3,4310 3,3171 3,2345 3,1749 3,1180 3,0494 2,9724 2,9008 2,8410 2,7834 2,7115 2,6135 2,4847 2,3202 2,1130 1,8623 1,5835 1,3106 1,0874 0,9511 0,9188 0,9844 1,1234 1,2976 1,4606 1,5668 1,5863 1,5191 1,3952 1,2569 1,1334 1,0298 0,9349 0,8359 0,7305 0,6304 0,5567 0,5270 0,5444 0,5954 0,6599 0,7232 0,7816 0,8395 0,9016 0,9669 1,0302 1,0876 1,1387 1,1826 1,2129 1,2191 1,1972 1,1570 1,1188 1,1070 1,1480 1,2653 1,4683 1,7475 2,0806 2,4364 2,7787 3,0715 3,2823 3,3880 3,3866 3,3006 3,1606 2,9890 2,8029 2,6220 2,4670 2,3570 2,3066 2,3227 2,4020 2,5357 2,7178 2,9457 3,2137 3,5049 3,7904 4,0345 4,2027 4,2699 4,2280 4,0905 3,8898 3,6642 3,4442 3,2492 3,0928 2,9838 2,9194 2,8785 2,8282 2,7392 2,6012 2,4278 2,2473 2,0900 1,9830 1,9488 2,0021 2,1422 2,3529 2,6092 2,8821 3,1369 3,3348 3,4412 3,4373 3,3275 3,1415 2,9278 2,7362 2,6006 2,5314 2,5200 2,5466 2,5872 2,6200 2,6309 2,6191 2,5984 2,5908 2,6174 2,6960 2,8434 3,0726 3,3866 3,7724 4,1999 4,6247 4,9990 5,2882 5,4803 5,5880 5,6432 5,6820 5,7271 5,7805 5,8272 5,8448 5,8169 5,7409 5,6234 5,4710 5,2853 5,0647 4,8098 4,5232 4,2071 3,8673 3,5233 3,2042 2,9336 2,7237 2,5829 2,5190 2,5339 2,6197 2,7595 2,9329 3,1160 3,2778 3,3847 3,4122 3,3567 3,2387 3,0934 2,9528 2,8337 2,7399 2,6706 2,6253 2,6004 2,5834 2,5531 2,4880 2,3792 2,2389 2,0954 1,9753 1,8891 1,8324 1,7963 1,7768 1,7759 1,7937 1,8203 1,8350 1,8165 1,7555 1,6584 1,5403 1,4124 1,2752 1,1235 0,9542 0,7686 0,5683 0,3544 0,1300 -0,0972 -0,3180 -0,5236 -0,7063 -0,8607 -0,9857 -1,0838 -1,1560 -1,1974 -1,1980 -1,1499 -1,0573 -0,9435 -0,8457 -0,7981 -0,8165 -0,8944 -1,0135 -1,1541 -1,2980 -1,4247 -1,5092 -1,5233 -1,4397 -1,2434 -0,9455 -0,5858 -0,2170 0,1164 0,3905 0,6026 0,7679 0,9174 1,0896 1,3131 1,5937 1,9122 2,2330 2,5138 2,7152 2,8134 2,8110 2,7378 2,6371 2,5458 2,4802 2,4359 2,3986 2,3561 2,3081 2,2694 2,2640 2,3090 2,4028 2,5265 2,6545 2,7628 2,8311 2,8436 2,7943 2,6952 2,5735 2,4578 2,3629 2,2903 2,2365 2,1975 2,1685 2,1454 2,1263 2,1092 2,0905 2,0648 2,0248 1,9613 1,8681 1,7513 1,6325 1,5412 1,5039 1,5403 1,6642 1,8802 2,1740 2,5057 2,8167 3,0466 3,1515 3,1148 2,9481 2,6814 2,3523 1,9991 1,6578 1,3608 1,1371 1,0111 0,9956 1,0829 1,2409 1,4200 1,5705 1,6613 1,6809 1,6280 1,5090 1,3455 1,1761 1,0439 0,9790 0,9926
F7    0,9444 0,9208 0,7438 0,4309 0,0265 -0,3980 -0,7588 -0,9831 -1,0349 -0,9284 -0,7206 -0,4906 -0,3141 -0,2372 -0,2633 -0,3609 -0,4866 -0,6068 -0,7066 -0,7793 -0,8085 -0,7634 -0,6184 -0,3808 -0,0985 0,1621 0,3499 0,4496 0,4809 0,4810 0,4819 0,4976 0,5285 0,5710 0,6218 0,6741 0,7110 0,7057 0,6360 0,5021 0,3302 0,1575 0,0136 -0,0851 -0,1286 -0,1092 -0,0307 0,0885 0,2244 0,3583 0,4771 0,5683 0,6187 0,6182 0,5624 0,4538 0,3019 0,1225 -0,0626 -0,2260 -0,3350 -0,3593 -0,2870 -0,1328 0,0703 0,2819 0,4599 0,5708 0,6012 0,5624 0,4855 0,4097 0,3679 0,3723 0,4068 0,4362 0,4321 0,3934 0,3389 0,2870 0,2459 0,2152 0,1832 0,1303 0,0470 -0,0539 -0,1440 -0,1926 -0,1798 -0,1109 -0,0228 0,0313 0,0129 -0,0824 -0,2294 -0,3925 -0,5417 -0,6585 -0,7381 -0,7896 -0,8274 -0,8598 -0,8841 -0,8882 -0,8545 -0,7689 -0,6328 -0,4668 -0,3041 -0,1790 -0,1187 -0,1401 -0,2554 -0,4754 -0,8014 -1,2160 -1,6831 -2,1563 -2,5906 -2,9544 -3,2321 -3,4122 -3,4772 -3,4106 -3,2101 -2,8917 -2,4793 -1,9959 -1,4696 -0,9445 -0,4758 -0,1117 0,1225 0,2329 0,2570 0,2447 0,2360 0,2548 0,3161 0,4297 0,5929 0,7859 0,9788 1,1461 1,2736 1,3555 1,3940 1,3999 1,3951 1,4100 1,4757 1,6054 1,7766 1,9328 2,0115 1,9762 1,8305 1,6143 1,3893 1,2127 1,1144 1,0869 1,0946 1,0975 1,0741 1,0253 0,9605 0,8879 0,8140 0,7472 0,7019 0,6974 0,7506 0,8625 1,0145 1,1787 1,3335 1,4747 1,6099 1,7438 1,8707 1,9778 2,0512 2,0777 2,0432 1,9336 1,7443 1,4870 1,1834 0,8528 0,5170 0,2135 -0,0073 -0,1060 -0,0787 0,0351 0,1685 0,2571 0,2646 0,1888 0,0512 -0,1182 -0,2939 -0,4631 -0,6262 -0,7898 -0,9588 -1,1315 -1,3034 -1,4702 -1,6236 -1,7486 -1,8276 -1,8473 -1,8056 -1,7151 -1,5959 -1,4633 -1,3246 -1,1825 -1,0390 -0,8957 -0,7582 -0,6346 -0,5274 -0,4315 -0,3473 -0,2874 -0,2674 -0,2925 -0,3539 -0,4349 -0,5145 -0,5671 -0,5692 -0,5101 -0,4007 -0,2683 -0,1463 -0,0664 -0,0482 -0,0895 -0,1667 -0,2479 -0,3088 -0,3402 -0,3425 -0,3128 -0,2426 -0,1265 0,0297 0,2158 0,4305 0,6828 0,9798 1,3120 1,6466 1,9326 2,1176 2,1661 2,0701 1,8513 1,5599 1,2617 1,0141 0,8477 0,7695 0,7788 0,8692 1,0197 1,1932 1,3458 1,4391 1,4507 1,3817 1,2573 1,1211 1,0202 0,9883 1,0359 1,1456 1,2766 1,3809 1,4262 1,4069 1,3359 1,2321 1,1183 1,0200 0,9516 0,9037 0,8551 0,7974 0,7472 0,7339 0,7772 0,8727 0,9967 1,1170 1,2049 1,2470 1,2479 1,2195 1,1729 1,1172 1,0590 1,0055 0,9667 0,9500 0,9503 0,9534 0,9463 0,9212 0,8758 0,8188 0,7717 0,7628 0,8165 0,9423 1,1245 1,3271 1,5143 1,6652 1,7749 1,8521 1,9186 1,9931 2,0680 2,1100 2,0828 1,9681 1,7709 1,5152 1,2371 0,9798 0,7927 0,7227 0,7998 1,0266 1,3730 1,7753 2,1539 2,4447 2,6210 2,6939 2,7014 2,6944 2,7214 2,8143 2,9733 3,1584 3,3100 3,3920 3,4177 3,4318 3,4715 3,5454 3,6369 3,7201 3,7726 3,7767 3,7149 3,5765 3,3723 3,1332 2,8906 2,6593 2,4428 2,2497 2,1034 2,0345 2,0635 2,1881 2,3848 2,6196 2,8523 3,0335 3,1090 3,0406 2,8269 2,5104 2,1674 1,8861 1,7353 1,7394 1,8752 2,0873 2,3147 2,5102 2,6432 2,6961 2,6673 2,5807 2,4841 2,4327 2,4645 2,5849 2,7719 2,9846 3,1646 3,2491 3,1982 3,0102 2,7212 2,3970 2,1221 1,9785 2,0202 2,2566 2,6505 3,1302 3,6043 3,9789 4,1790 4,1690 3,9589 3,5949 3,1462 2,6929 2,3100 2,0526 1,9500 2,0055 2,1969 2,4802 2,8022 3,1134 3,3745 3,5604 3,6593 3,6679 3,5857 3,4176 3,1858 2,9349 2,7163 2,5657 2,4949 2,4944 2,5369 2,5872 2,6184 2,6187 2,5850 2,5226 2,4462 2,3755 2,3263 2,3065 2,3190 2,3620 2,4248 2,4926 2,5606 2,6397 2,7494 2,9045 3,1011 3,3113 3,4906 3,5937 3,5935 3,4948 3,3335 3,1575 2,9987 2,8584 2,7208 2,5808 2,4591 2,3899 2,3889 2,4388 2,5041 2,5540 2,5700 2,5404 2,4563 2,3150 2,1237 1,9057 1,7070 1,5879 1,5920 1,7164 1,9124 2,1102 2,2476 2,2877 2,2206 2,0568 1,8204 1,5413 1,2472 0,9583 0,6861 0,4369 0,2221 0,0630 -0,0170 -0,0068 0,0821 0,2167 0,3571 0,4752 0,5637 0,6301 0,6800 0,7069 0,7010 0,6664 0,6257 0,6070 0,6296 0,6994 0,8138 0,9662 1,1453 1,3349 1,5223 1,7090 1,9077 2,1231 2,3402 2,5344 2,6904 2,8061 2,8851 2,9343 2,9646 2,9858 2,9980 2,9912 2,9517 2,8750 2,7773 2,6933 2,6593 2,6903 2,7668 2,8412 2,8671 2,8266 2,7316 2,6107 2,4981 2,4282 2,4267 2,5023 2,6405 2,8052 2,9507 3,0370 3,0389 2,9492 2,7801 2,5598 2,3195 2,0825 1,8666 1,6909 1,5754 1,5307 1,5536 1,6313 1,7459 1,8724 1,9791 2,0328 2,0070 1,8924 1,7013 1,4604 1,2025 0,9591 0,7597 0,6380 0,6284 0,7462 0,9705 1,2458 1,5033 1,6899 1,7856 1,7921 1,7088 1,5285 1,2582 0,9335 0,6093 0,3424 0,1772 0,1368 0,2177 0,3951 0,6367 0,9105 1,1854 1,4312 1,6159
