Fp1   -2,0664 -1,9303 -1,9357 -2,1283 -2,4394 -2,6226 -2,4024 -1,7123 -0,7557 0,1463 0,7288 0,8713 0,6225 0,1541 -0,3546 -0,7963 -1,1268 -1,3644 -1,5937 -1,9010 -2,2916 -2,6639 -2,8333 -2,5920 -1,8108 -0,5519 0,8932 2,1357 2,9347 3,3040 3,3835 3,2632 2,9363 2,3885 1,7036 1,0464 0,5337 0,1760 -0,0502 -0,1476 -0,1208 0,0309 0,3232 0,7415 1,2298 1,7088 2,0489 2,0833 1,7290 1,0748 0,3125 -0,3810 -0,8640 -0,9965 -0,6668 0,1278 1,2421 2,4542 3,5970 4,5933 5,3775 5,8896 6,1594 6,2918 6,3495 6,2818 5,9604 5,3010 4,3811 3,4420 2,7466 2,4222 2,4118 2,5578 2,7630 3,0591 3,5068 4,0796 4,6396 4,9741 4,8751 4,2388 3,1225 1,7286 0,3507 -0,6958 -1,1707 -1,0072 -0,3714 0,3525 0,7242 0,5338 -0,0038 -0,3775 -0,1575 0,7181 1,9435 3,0485 3,6509 3,6079 2,9923 1,9841 0,8173 -0,2299 -0,8851 -0,9486 -0,3206 0,9841 2,7677 4,5885 5,8684 6,1676 5,3989 3,8191 1,8414 -0,1632 -1,9088 -3,1122 -3,4865 -2,9008 -1,5500 0,0902 1,5258 2,4561 2,7279 2,1977 0,7888 -1,3208 -3,6594 -5,6293 -6,7572 -6,9058 -6,3029 -5,3571 -4,4261 -3,6879 -3,1391 -2,6697 -2,1455 -1,4699 -0,6551 0,1141 0,5276 0,3407 -0,4632 -1,6888 -3,0317 -4,1660 -4,8717 -5,1511 -5,1809 -5,1394 -5,0463 -4,7296 -4,0258 -3,0710 -2,3063 -2,1260 -2,5576 -3,2689 -3,7926 -3,7474 -3,0120 -1,8191 -0,6314 0,1475 0,3325 -0,0632 -0,8485 -1,6818 -2,1956 -2,1490 -1,5000 -0,3893 0,9140 2,0777 2,7913 2,8926 2,4998 1,9792 1,6661 1,5992 1,5543 1,2696 0,6071 -0,3804 -1,4331 -2,1570 -2,2158 -1,5736 -0,5715 0,2937 0,7018 0,6544 0,3687 0,0899 -0,0353 0,0050 0,1511 0,3518 0,5683 0,7476 0,7958 0,5612 -0,1054 -1,2184 -2,5843 -3,8650 -4,7159 -4,9114 -4,4276 -3,4451 -2,2550 -1,1419 -0,3239 0,0654 0,0098 -0,3811 -0,9359 -1,5062 -1,9874 -2,2940 -2,3716 -2,2332 -1,9117 -1,3655 -0,5357 0,4750 1,3675 1,8277 1,7119 1,0758 0,0992 -0,9966 -2,0107 -2,8159 -3,3918 -3,8115 -4,1649 -4,4420 -4,4671 -4,0022 -2,9584 -1,4740 0,2074 1,8559 3,2520 4,1647 4,4016 3,8938 2,7265 1,0694 -0,9053 -3,0013 -4,9491 -6,4522 -7,2938 -7,3787 -6,7026 -5,3535 -3,5304 -1,4939 0,5185 2,3404 3,8576 4,9317 5,3782 5,0831 4,1372 2,8300 1,5191 0,4895 -0,1378 -0,4473 -0,6874 -1,1092 -1,7727 -2,4854 -2,9363 -2,9012 -2,3436 -1,3949 -0,2938 0,6982 1,3829 1,6802 1,6679 1,5548 1,5256 1,5802 1,5605 1,3274 0,8645 0,2418 -0,4299 -1,0143 -1,3899 -1,4699 -1,1518 -0,2970 1,1678 3,1157 5,1935 6,9463 8,0179 8,2745 7,7942 6,7902 5,4904 4,0220 2,4359 0,8556 -0,4512 -1,2092 -1,3319 -0,9375 -0,2138 0,6638 1,5287 2,2317 2,7035 2,9930 3,2055 3,4056 3,5928 3,7299 3,7582 3,6131 3,2719 2,7959 2,3185 1,9822 1,8883 2,1002 2,6442 3,4594 4,3751 5,2052 5,8579 6,2940 6,4230 6,1291 5,3987 4,3775 3,2905 2,3346 1,6402 1,2559 1,1421 1,2260 1,4655 1,8379 2,3217 2,9105 3,5654 4,1479 4,4789 4,4850 4,2654 4,0153 3,8768 3,8551 3,8808 3,9318 4,0701 4,3827 4,9052 5,5904 6,3158 6,9041 7,1525 6,8812 6,0291 4,7537 3,3867 2,2595 1,5824 1,4002 1,5747 1,8788 2,1564 2,3480 2,3792 2,1221 1,5185 0,6851 -0,1603 -0,8203 -1,1447 -1,0554 -0,6043 0,0512 0,7531 1,4020 1,9536 2,4267 2,9047 3,4661 4,0889 4,6197 4,8268 4,5047 3,5773 2,1581 0,5395 -0,8950 -1,8024 -1,9908 -1,4611 -0,3988 0,8888 2,1020 3,0488 3,6437 3,8741 3,8005 3,5793 3,4219 3,4455 3,5443 3,4269 2,7981 1,5596 -0,1058 -1,8114 -3,1138 -3,6598 -3,3372 -2,3267 -0,9777 0,3499 1,3854 2,0324 2,3908 2,6565 2,9833 3,4041 3,8230 4,0736 4,0561 3,8747 3,8271 4,2218 5,1533 6,4081 7,5540 8,1208 7,8190 6,7194 5,2191 3,8200 2,9504 2,8567 3,4980 4,5698 5,7210 6,7343 7,4999 7,9079 7,8234 7,1540 5,9703 4,5852 3,4432 2,8498 2,8022 3,0795 3,4321 3,6848 3,7731 3,7579 3,7807 3,9618 4,2906 4,5860 4,5860 4,1148 3,2181 2,1723 1,3202 0,8590 0,7927 1,0386 1,5086 2,0894 2,5966 2,8124 2,5926 1,9296 0,9260 -0,2712 -1,5065 -2,5866 -3,2456 -3,1996 -2,2983 -0,6554 1,3361 3,1073 4,0997 3,9634 2,6817 0,5804 -1,7935 -3,8650 -5,2193 -5,7462 -5,6352 -5,1723 -4,5344 -3,7913 -3,0361 -2,4363 -2,1474 -2,1764 -2,3345 -2,3799 -2,2220 -1,9522 -1,6895 -1,4460 -1,1564 -0,7938 -0,4261 -0,1697 -0,1045 -0,2476 -0,5925 -1,1325 -1,8501 -2,7092 -3,6351 -4,4841 -5,0571 -5,1640 -4,6958 -3,6739 -2,2641 -0,7460 0,5732 1,4793 1,9317 2,0739 2,1893 2,5789 3,3719 4,4145 5,3441 5,8054 5,6448 4,9095 3,6916 2,0505 0,0949 -1,9522 -3,8159 -5,2685 -6,1946 -6,6192 -6,6619 -6,4512 -6,0939 -5,6774 -5,2597 -4,8531 -4,3796 -3,6559 -2,5153 -0,9972 0,5846 1,7806 2,2455 1,8990 0,9268 -0,3309 -1,5296 -2,4313 -2,9232 -2,9761 -2,6373 -2,0418 -1,3490 -0,6533 -0,0088 0,4646 0,5932 0,2744 -0,4982 -1,6952 -3,2143 -4,8137 -6,1653 -6,9952 -7,1971 -6,8310 -6,0387 -4,9951 -3,8817 -2,8333 -1,9235
Fz    -0,3238 -0,2007 -0,2213 -0,3398 -0,4522 -0,4517 -0,2981 -0,0526 0,1577 0,2230 0,1145 -0,1158 -0,3686 -0,5404 -0,5734 -0,4821 -0,3332 -0,2023 -0,1347 -0,1333 -0,1809 -0,2598 -0,3500 -0,4267 -0,4649 -0,4386 -0,3274 -0,1348 0,1044 0,3357 0,5021 0,5594 0,4810 0,2663 -0,0361 -0,3236 -0,4866 -0,4693 -0,2916 -0,0354 0,1942 0,3307 0,3831 0,4149 0,4917 0,6407 0,8367 1,0253 1,1610 1,2273 1,2411 1,2499 1,3157 1,4816 1,7435 2,0571 2,3640 2,6115 2,7739 2,8621 2,8993 2,8928 2,8380 2,7341 2,5894 2,4226 2,2589 2,1223 2,0266 1,9718 1,9541 1,9803 2,0601 2,1849 2,3307 2,4777 2,6126 2,7172 2,7605 2,7102 2,5534 2,2947 1,9340 1,4762 0,9692 0,5032 0,1669 0,0080 0,0081 0,0715 0,0628 -0,1089 -0,4266 -0,7811 -1,0567 -1,2051 -1,2530 -1,2644 -1,3004 -1,3896 -1,5180 -1,6448 -1,7196 -1,6972 -1,5648 -1,3618 -1,1532 -0,9733 -0,8052 -0,6254 -0,4576 -0,3666 -0,4003 -0,5418 -0,7178 -0,8538 -0,9129 -0,8849 -0,7634 -0,5536 -0,3000 -0,0937 -0,0302 -0,1496 -0,4221 -0,7917 -1,2116 -1,6386 -2,0296 -2,3633 -2,6486 -2,9135 -3,1854 -3,4679 -3,7232 -3,8803 -3,8724 -3,6770 -3,3254 -2,8730 -2,3708 -1,8710 -1,4463 -1,1735 -1,0954 -1,2038 -1,4449 -1,7292 -1,9639 -2,0957 -2,1282 -2,1007 -2,0410 -1,9286 -1,7235 -1,4318 -1,1132 -0,8259 -0,5961 -0,4347 -0,3407 -0,2757 -0,1635 0,0648 0,4309 0,9136 1,4622 2,0056 2,4736 2,8313 3,0952 3,3153 3,5378 3,7847 4,0556 4,3267 4,5452 4,6473 4,6022 4,4378 4,2128 3,9718 3,7435 3,5575 3,4344 3,3771 3,3880 3,4828 3,6780 3,9639 4,2820 4,5367 4,6403 4,5481 4,2684 3,8666 3,4556 3,1421 2,9740 2,9340 2,9644 2,9952 2,9679 2,8487 2,6305 2,3244 1,9493 1,5212 1,0570 0,5863 0,1452 -0,2358 -0,5236 -0,6767 -0,6649 -0,4995 -0,2342 0,0634 0,3337 0,5330 0,6519 0,7350 0,8531 1,0375 1,2579 1,4689 1,6408 1,7450 1,7466 1,6251 1,3945 1,1004 0,7960 0,5249 0,3268 0,2337 0,2384 0,2784 0,2726 0,1870 0,0666 -0,0036 0,0184 0,0962 0,1695 0,2206 0,2757 0,3630 0,4862 0,6335 0,7995 0,9800 1,1502 1,2756 1,3473 1,3846 1,4028 1,3980 1,3627 1,2933 1,1863 1,0449 0,8851 0,7383 0,6505 0,6592 0,7589 0,8990 1,0189 1,0771 1,0575 0,9737 0,8714 0,8040 0,7994 0,8637 1,0031 1,2280 1,5320 1,8698 2,1706 2,3833 2,4968 2,5193 2,4594 2,3360 2,1921 2,0837 2,0462 2,0735 2,1310 2,1875 2,2347 2,2786 2,3217 2,3552 2,3667 2,3623 2,3883 2,5220 2,8256 3,2965 3,8549 4,3824 4,7916 5,0661 5,2389 5,3458 5,3918 5,3507 5,1947 4,9282 4,5990 4,2709 3,9820 3,7354 3,5191 3,3196 3,1300 2,9646 2,8684 2,8968 3,0660 3,3307 3,6182 3,8716 4,0673 4,2177 4,3604 4,5277 4,7278 4,9422 5,1363 5,2824 5,3768 5,4308 5,4483 5,4146 5,3070 5,1115 4,8215 4,4378 3,9786 3,4853 3,0177 2,6394 2,3947 2,2978 2,3468 2,5323 2,8196 3,1408 3,4366 3,7004 3,9584 4,2119 4,4139 4,4972 4,4239 4,2144 3,9250 3,6057 3,2906 3,0074 2,7788 2,6273 2,5852 2,6857 2,9376 3,3106 3,7381 4,1244 4,3725 4,4303 4,3102 4,0705 3,7898 3,5357 3,3225 3,1191 2,9132 2,7404 2,6405 2,6175 2,6576 2,7615 2,9362 3,1693 3,4254 3,6548 3,8073 3,8568 3,8213 3,7523 3,6986 3,6811 3,7004 3,7583 3,8637 4,0167 4,1910 4,3359 4,3979 4,3493 4,2075 4,0260 3,8668 3,7825 3,8087 3,9422 4,1335 4,3220 4,4775 4,6083 4,7418 4,9066 5,1323 5,4584 5,9231 6,5269 7,1966 7,7832 8,1207 8,1044 7,7326 7,1048 6,3866 5,7432 5,2823 5,0399 4,9931 5,0801 5,2338 5,4070 5,5695 5,7015 5,8015 5,8813 5,9427 5,9750 5,9814 5,9928 6,0387 6,1117 6,1789 6,2274 6,2741 6,3444 6,4716 6,6816 6,9530 7,2199 7,4303 7,5822 7,6999 7,7983 7,8742 7,9107 7,8811 7,7568 7,5144 7,1523 6,7188 6,3030 5,9724 5,7299 5,5411 5,3799 5,2361 5,1031 4,9837 4,9070 4,9197 5,0419 5,2352 5,4225 5,5299 5,5061 5,3244 4,9841 4,5103 3,9458 3,3356 2,7207 2,1502 1,6904 1,4062 1,3297 1,4462 1,7081 2,0621 2,4634 2,8790 3,2902 3,6807 4,0189 4,2632 4,3841 4,3722 4,2415 4,0306 3,7870 3,5484 3,3399 3,1865 3,1221 3,1729 3,3303 3,5496 3,7754 3,9652 4,0948 4,1541 4,1469 4,0974 4,0453 4,0212 4,0206 3,9985 3,8971 3,6876 3,3901 3,0602 2,7634 2,5549 2,4671 2,4969 2,5947 2,6809 2,6850 2,5726 2,3598 2,1145 1,9290 1,8817 2,0119 2,3071 2,7091 3,1407 3,5402 3,8912 4,2221 4,5671 4,9351 5,3125 5,6687 5,9546 6,1143 6,1097 5,9349 5,6014 5,1205 4,5119 3,8244 3,1350 2,5258 2,0532 1,7274 1,5147 1,3674 1,2525 1,1475 1,0248 0,8541 0,6195 0,3406 0,0817 -0,0797 -0,1107 -0,0415 0,0766 0,2175 0,3866 0,5921 0,8161 1,0154 1,1430 1,1655 1,0699 0,8775 0,6591 0,5206 0,5478 0,7563 1,0864 1,4348 1,6869 1,7396 1,5355 1,1050 0,5685 0,0782 -0,2575 -0,4099 -0,4098 -0,3112 -0,1728 -0,0450 0,0453 0,0922
F3    -0,0941 -0,0583 -0,2696 -0,6270 -0,9520 -1,0939 -1,0160 -0,7981 -0,5764 -0,4642 -0,5005 -0,6427 -0,7859 -0,8142 -0,6732 -0,3985 -0,0793 0,1933 0,3649 0,4299 0,4135 0,3445 0,2398 0,1109 -0,0149 -0,0842 -0,0424 0,1291 0,3997 0,7106 0,9996 1,1930 1,1908 0,9142 0,3969 -0,1918 -0,6433 -0,8252 -0,7331 -0,4776 -0,2173 -0,0565 0,0146 0,0831 0,2291 0,4733 0,7754 1,0589 1,2360 1,2293 1,0283 0,7414 0,5505 0,5878 0,8554 1,2543 1,6702 2,0345 2,3364 2,6041 2,8580 3,0624 3,1392 3,0444 2,8282 2,6146 2,5046 2,4867 2,4523 2,3096 2,0749 1,8527 1,7491 1,8121 2,0315 2,3577 2,7067 2,9745 3,0777 2,9923 2,7599 2,4573 2,1472 1,8558 1,6019 1,4200 1,3427 1,3716 1,4575 1,4996 1,3836 1,0599 0,5988 0,1475 -0,1729 -0,3278 -0,3563 -0,3336 -0,3405 -0,4318 -0,6112 -0,8363 -1,0378 -1,1506 -1,1564 -1,0994 -1,0413 -0,9932 -0,9056 -0,7372 -0,5254 -0,3690 -0,3454 -0,4494 -0,6069 -0,7364 -0,7940 -0,7699 -0,6688 -0,5096 -0,3316 -0,1839 -0,1078 -0,1199 -0,2029 -0,3288 -0,4941 -0,7139 -0,9927 -1,3232 -1,6989 -2,1144 -2,5514 -2,9645 -3,2823 -3,4299 -3,3658 -3,1174 -2,7718 -2,4110 -2,0581 -1,7038 -1,3659 -1,0904 -0,9148 -0,8613 -0,9390 -1,1201 -1,3270 -1,4642 -1,4682 -1,3382 -1,1208 -0,8624 -0,5907 -0,3285 -0,0908 0,1301 0,3488 0,5649 0,7627 0,9232 1,0450 1,1590 1,3163 1,5638 1,9229 2,3756 2,8661 3,3343 3,7511 4,0993 4,3363 4,4264 4,4043 4,3568 4,3350 4,3110 4,2218 4,0372 3,7809 3,5068 3,2744 3,1303 3,0834 3,1133 3,2121 3,3949 3,6663 4,0026 4,3550 4,6507 4,8084 4,7677 4,5077 4,0664 3,5500 3,0851 2,7441 2,5275 2,4001 2,3251 2,2754 2,2336 2,1798 2,0750 1,8680 1,5272 1,0750 0,5854 0,1400 -0,2076 -0,4263 -0,4938 -0,4102 -0,2167 0,0206 0,2514 0,4539 0,6193 0,7573 0,9066 1,0976 1,3028 1,4569 1,5246 1,5167 1,4566 1,3611 1,2406 1,0981 0,9274 0,7192 0,4822 0,2595 0,1039 0,0290 -0,0076 -0,0649 -0,1630 -0,2728 -0,3572 -0,4131 -0,4632 -0,5102 -0,5108 -0,4061 -0,1745 0,1484 0,5004 0,8371 1,1407 1,3996 1,6029 1,7456 1,8254 1,8451 1,8244 1,7996 1,7997 1,8209 1,8244 1,7654 1,6360 1,4783 1,3476 1,2650 1,2115 1,1598 1,0978 1,0290 0,9691 0,9436 0,9707 1,0490 1,1715 1,3430 1,5664 1,8071 1,9866 2,0416 1,9935 1,9389 1,9663 2,0924 2,2794 2,4856 2,6858 2,8654 3,0149 3,1201 3,1548 3,0991 2,9618 2,7767 2,5825 2,4064 2,2606 2,1579 2,1301 2,2241 2,4683 2,8434 3,2932 3,7693 4,2522 4,7277 5,1555 5,4740 5,6285 5,5953 5,3953 5,0930 4,7556 4,4036 4,0193 3,5955 3,1660 2,7996 2,5764 2,5574 2,7564 3,1205 3,5401 3,9027 4,1497 4,2866 4,3474 4,3574 4,3354 4,3256 4,3935 4,5763 4,8578 5,1934 5,5366 5,8326 6,0032 5,9678 5,6911 5,1964 4,5480 3,8346 3,1543 2,6048 2,2773 2,2248 2,4282 2,8125 3,2874 3,7623 4,1471 4,3706 4,4220 4,3715 4,3282 4,3631 4,4662 4,5662 4,5787 4,4490 4,1813 3,8348 3,4802 3,1523 2,8503 2,5816 2,3974 2,3782 2,5784 2,9778 3,4868 3,9945 4,4067 4,6551 4,7050 4,5701 4,2940 3,8981 3,3763 2,7605 2,1566 1,6938 1,4543 1,4595 1,6918 2,1078 2,6411 3,2104 3,7263 4,1130 4,3473 4,4622 4,5024 4,4905 4,4289 4,3110 4,1327 3,9034 3,6540 3,4365 3,3088 3,2949 3,3649 3,4697 3,5844 3,7065 3,8322 3,9559 4,0725 4,1703 4,2379 4,2797 4,3207 4,3986 4,5506 4,8058 5,1914 5,7309 6,4151 7,1624 7,8124 8,1809 8,1382 7,6640 6,8640 5,9329 5,0777 4,4512 4,1260 4,0932 4,2769 4,5739 4,8947 5,1738 5,3658 5,4575 5,4740 5,4563 5,4290 5,3893 5,3229 5,2222 5,0941 4,9677 4,8998 4,9469 5,1218 5,3964 5,7310 6,0805 6,3928 6,6343 6,8168 6,9835 7,1683 7,3771 7,5948 7,7857 7,8885 7,8334 7,5866 7,1858 6,7200 6,2724 5,8840 5,5585 5,2825 5,0414 4,8221 4,6190 4,4532 4,3750 4,4279 4,6110 4,8798 5,1671 5,3946 5,4753 5,3296 4,9198 4,2747 3,4787 2,6501 1,9224 1,4095 1,1629 1,1674 1,3690 1,6929 2,0556 2,3918 2,6838 2,9621 3,2618 3,5736 3,8505 4,0533 4,1705 4,2124 4,2051 4,1744 4,1182 4,0061 3,8187 3,5858 3,3735 3,2317 3,1523 3,0880 3,0084 2,9219 2,8589 2,8551 2,9375 3,1005 3,3008 3,4784 3,5709 3,5230 3,3111 2,9684 2,5768 2,2220 1,9520 1,7830 1,7263 1,7814 1,9167 2,0830 2,2394 2,3640 2,4535 2,5156 2,5620 2,6018 2,6319 2,6426 2,6415 2,6703 2,7962 3,0740 3,5023 4,0231 4,5611 5,0513 5,4415 5,7000 5,8254 5,8325 5,7169 5,4507 5,0165 4,4299 3,7350 2,9999 2,2989 1,6796 1,1548 0,7276 0,4116 0,2179 0,1321 0,1131 0,1058 0,0651 -0,0169 -0,1103 -0,1754 -0,1780 -0,0872 0,1196 0,4404 0,8355 1,2270 1,5226 1,6612 1,6299 1,4408 1,1253 0,7676 0,5038 0,4450 0,6037 0,9012 1,2244 1,4533 1,4730 1,2264 0,7745 0,2789 -0,0835 -0,2023 -0,0694 0,2341 0,5774 0,8292 0,9061 0,7947 0,5317
F7    -0,2988 -0,4753 -0,6431 -0,7566 -0,8033 -0,7732 -0,6434 -0,4126 -0,1276 0,1393 0,3281 0,4065 0,3708 0,2536 0,1095 -0,0334 -0,1928 -0,3986 -0,6421 -0,8645 -1,0044 -1,0394 -0,9636 -0,7659 -0,4538 -0,0733 0,3022 0,5966 0,7627 0,7953 0,7214 0,6054 0,5527 0,6542 0,9056 1,2013 1,4072 1,4247 1,2232 0,8530 0,4237 0,0500 -0,1987 -0,3138 -0,3279 -0,2947 -0,2805 -0,3385 -0,4520 -0,5153 -0,4178 -0,1501 0,2077 0,5813 0,9488 1,3128 1,6593 1,9551 2,1745 2,3041 2,3377 2,3107 2,3092 2,3814 2,4643 2,4449 2,2824 2,0645 1,9462 2,0246 2,2789 2,6119 2,9069 3,0643 3,0467 2,9079 2,7724 2,7696 2,9520 3,2581 3,5459 3,6581 3,4866 3,0177 2,3378 1,5922 0,9307 0,4645 0,2296 0,1735 0,1966 0,2229 0,2466 0,3269 0,5280 0,8531 1,2378 1,5917 1,8362 1,9187 1,8273 1,6026 1,3207 1,0638 0,8884 0,8016 0,7711 0,7674 0,7825 0,8080 0,8254 0,8255 0,8183 0,8174 0,8079 0,7361 0,5574 0,3004 0,0706 -0,0208 0,0502 0,1921 0,2677 0,1843 -0,0846 -0,5239 -1,0845 -1,6786 -2,2005 -2,5662 -2,7366 -2,7129 -2,5269 -2,2287 -1,8705 -1,4982 -1,1534 -0,8617 -0,6150 -0,3899 -0,1847 -0,0235 0,0599 0,0309 -0,1214 -0,3557 -0,5955 -0,7755 -0,8724 -0,9089 -0,9326 -0,9718 -1,0018 -0,9607 -0,8128 -0,5906 -0,3676 -0,1907 -0,0520 0,0656 0,1578 0,2443 0,3916 0,6414 0,9508 1,2314 1,4178 1,4951 1,4889 1,4434 1,4068 1,4434 1,6357 2,0272 2,5521 3,0455 3,3390 3,3603 3,1768 2,9556 2,8516 2,9029 3,0316 3,1324 3,1457 3,0683 2,9322 2,7884 2,6869 2,6318 2,5533 2,3679 2,0719 1,7572 1,5405 1,4900 1,5944 1,7769 1,9519 2,0689 2,1070 2,0529 1,8906 1,6064 1,2157 0,7825 0,3922 0,0954 -0,1081 -0,2273 -0,2437 -0,1240 0,1425 0,5157 0,9113 1,2327 1,4027 1,3736 1,1304 0,7076 0,1995 -0,2551 -0,5128 -0,4877 -0,1928 0,2817 0,8151 1,2772 1,5398 1,5160 1,2133 0,7456 0,2764 -0,0610 -0,1956 -0,1121 0,1465 0,4784 0,7547 0,8792 0,8489 0,7617 0,7339 0,8146 0,9869 1,2066 1,4141 1,5369 1,5120 1,3218 1,0193 0,6960 0,4079 0,1637 -0,0148 -0,0739 0,0094 0,1942 0,4132 0,6118 0,7691 0,9033 1,0448 1,2124 1,4172 1,6499 1,8535 1,9368 1,8288 1,5202 1,0678 0,5764 0,1616 -0,1035 -0,2217 -0,2515 -0,2495 -0,2150 -0,0768 0,2395 0,7160 1,2200 1,5746 1,6587 1,4600 1,0612 0,5996 0,2212 0,0193 -0,0014 0,1038 0,2779 0,4843 0,6905 0,8628 0,9862 1,0749 1,1692 1,3282 1,6078 2,0220 2,5204 2,9984 3,3375 3,4701 3,4139 3,2466 3,0516 2,8735 2,7047 2,5139 2,2864 2,0487 1,8655 1,8075 1,9066 2,1291 2,3816 2,5463 2,5386 2,3600 2,0965 1,8517 1,6889 1,6256 1,6455 1,7154 1,8256 2,0098 2,3021 2,6750 3,0350 3,2889 3,4120 3,4440 3,4405 3,4426 3,4677 3,5032 3,5054 3,4227 3,2304 2,9428 2,6000 2,2434 1,8947 1,5619 1,2573 1,0021 0,8216 0,7454 0,8144 1,0858 1,5905 2,2487 2,8611 3,2188 3,2278 2,9542 2,5775 2,2782 2,1298 2,0969 2,1235 2,2051 2,3931 2,7374 3,2085 3,6769 3,9867 4,0431 3,8261 3,3618 2,7227 2,0306 1,4192 0,9952 0,8230 0,9121 1,2116 1,6360 2,0982 2,5129 2,7893 2,8600 2,7196 2,4159 2,0193 1,6093 1,2644 1,0326 0,9136 0,8930 0,9869 1,2199 1,5673 1,9623 2,3566 2,7383 3,0909 3,3510 3,4254 3,2575 2,8779 2,3902 1,9187 1,5763 1,4537 1,5929 1,9551 2,4338 2,9088 3,2947 3,5536 3,6915 3,7525 3,7987 3,8748 3,9848 4,0916 4,1259 4,0185 3,7600 3,4309 3,1546 3,0212 3,0587 3,2379 3,4813 3,6970 3,8245 3,8504 3,7974 3,7042 3,5990 3,4837 3,3427 3,1703 2,9927 2,8720 2,8909 3,1166 3,5539 4,1263 4,7100 5,1815 5,4376 5,4219 5,1706 4,7979 4,4225 4,1326 3,9888 4,0042 4,1274 4,2728 4,3626 4,3434 4,1966 3,9474 3,6419 3,3248 3,0528 2,8918 2,8640 2,9289 3,0379 3,1743 3,3357 3,5198 3,7281 3,9465 4,1292 4,2153 4,1549 3,9220 3,5205 2,9890 2,4086 1,8977 1,5757 1,5171 1,7124 2,0537 2,3745 2,5425 2,5288 2,3868 2,1796 1,9484 1,7289 1,5593 1,4655 1,4620 1,5608 1,7583 2,0174 2,2660 2,4120 2,3790 2,1438 1,7470 1,2836 0,8706 0,5980 0,4944 0,5285 0,6496 0,8325 1,0643 1,3031 1,4883 1,5778 1,5544 1,4287 1,2551 1,0985 0,9682 0,8258 0,6630 0,5330 0,4937 0,5448 0,6391 0,7385 0,8300 0,8856 0,8373 0,6178 0,2168 -0,3044 -0,8294 -1,2188 -1,3558 -1,1811 -0,7032 -0,0006 0,7885 1,5015 2,0020 2,2265 2,2052 2,0426 1,8645 1,7758 1,8484 2,1041 2,4731 2,7920 2,8828 2,6425 2,0659 1,2290 0,2875 -0,5496 -1,1083 -1,3236 -1,2339 -0,9345 -0,5409 -0,1674 0,0926 0,1793 0,0735 -0,1939 -0,5371 -0,8376 -0,9939 -0,9842 -0,8824 -0,7941 -0,7781 -0,8280 -0,9010 -0,9401 -0,8936 -0,7511 -0,5546 -0,3515 -0,1502 0,0604 0,2737 0,4622 0,5974 0,6581 0,6359 0,5398 0,3770 0,1287 -0,2301 -0,6855 -1,1821 -1,6645 -2,1044 -2,4815 -2,7535 -2,8687 -2,7997 -2,5433 -2,1017
