Fp1   0,2584 0,1615 0,0847 0,0180 -0,0593 -0,1552 -0,2556 -0,3357 -0,3751 -0,3623 -0,2902 -0,1582 0,0167 0,1943 0,3250 0,3743 0,3407 0,2498 0,1326 0,0038 -0,1403 -0,3046 -0,4787 -0,6445 -0,7903 -0,9072 -0,9777 -0,9825 -0,9183 -0,8029 -0,6672 -0,5425 -0,4495 -0,3916 -0,3567 -0,3235 -0,2715 -0,1868 -0,0610 0,1113 0,3274 0,5683 0,7985 0,9861 1,1213 1,2126 1,2696 1,2865 1,2398 1,1076 0,8963 0,6443 0,3983 0,1888 0,0289 -0,0697 -0,0882 -0,0120 0,1488 0,3544 0,5497 0,6857 0,7355 0,6971 0,5900 0,4470 0,3004 0,1706 0,0624 -0,0305 -0,1141 -0,1823 -0,2274 -0,2660 -0,3422 -0,4930 -0,7145 -0,9622 -1,1820 -1,3369 -1,4101 -1,3988 -1,3120 -1,1655 -0,9780 -0,7761 -0,6026 -0,5035 -0,4959 -0,5560 -0,6466 -0,7467 -0,8503 -0,9506 -1,0422 -1,1384 -1,2691 -1,4526 -1,6681 -1,8582 -1,9644 -1,9634 -1,8714 -1,7278 -1,5817 -1,4786 -1,4449 -1,4854 -1,5921 -1,7488 -1,9334 -2,1206 -2,2909 -2,4430 -2,5944 -2,7646 -2,9598 -3,1688 -3,3668 -3,5197 -3,5899 -3,5467 -3,3849 -3,1304 -2,8220 -2,4954 -2,1794 -1,8947 -1,6515 -1,4540 -1,3049 -1,2048 -1,1498 -1,1295 -1,1308 -1,1442 -1,1671 -1,2009 -1,2345 -1,2330 -1,1540 -0,9798 -0,7268 -0,4279 -0,1141 0,1877 0,4555 0,6764 0,8416 0,9371 0,9492 0,8815 0,7620 0,6342 0,5466 0,5480 0,6786 0,9561 1,3622 1,8452 2,3376 2,7790 3,1311 3,3815 3,5467 3,6694 3,7989 3,9638 4,1620 4,3740 4,5845 4,7916 4,9938 5,1732 5,3057 5,3933 5,4745 5,5962 5,7787 6,0012 6,2195 6,3969 6,5176 6,5741 6,5568 6,4700 6,3446 6,2218 6,1252 6,0564 6,0079 5,9693 5,9261 5,8686 5,8035 5,7412 5,6749 5,5855 5,4642 5,3178 5,1528 4,9579 4,7119 4,4150 4,1032 3,8260 3,6146 3,4730 3,3833 3,3092 3,2072 3,0459 2,8222 2,5594 2,2910 2,0445 1,8376 1,6742 1,5414 1,4147 1,2747 1,1203 0,9635 0,8169 0,6870 0,5691 0,4525 0,3399 0,2543 0,2153 0,2129 0,2159 0,1984 0,1552 0,1022 0,0720 0,0972 0,1860 0,3118 0,4264 0,4849 0,4659 0,3780 0,2541 0,1390 0,0709 0,0687 0,1357 0,2642 0,4312 0,5968 0,7255 0,8153 0,8985 1,0061 1,1395 1,2800 1,4158 1,5497 1,6814 1,7938 1,8695 1,9170 1,9617 2,0113 2,0418 2,0207 1,9378 1,8144 1,6869 1,5875 1,5376 1,5452 1,6035 1,6968 1,8100 1,9343 2,0679 2,2100 2,3519 2,4779 2,5762 2,6433 2,6777 2,6753 2,6350 2,5662 2,4881 2,4227 2,3879 2,3904 2,4287 2,4987 2,5884 2,6747 2,7330 2,7469 2,7072 2,6079 2,4503 2,2504 2,0374 1,8455 1,7062 1,6412 1,6521 1,7097 1,7658 1,7853 1,7644 1,7173 1,6549 1,5787 1,4862 1,3809 1,2739 1,1755 1,0887 1,0170 0,9706 0,9511 0,9428 0,9279 0,9049 0,8893 0,9031 0,9629 1,0758 1,2416 1,4533 1,6897 1,9095 2,0616 2,1043 2,0185 1,8193 1,5610 1,3237 1,1796 1,1617 1,2545 1,4086 1,5689 1,6966 1,7759 1,8092 1,8078 1,7846 1,7518 1,7190 1,6870 1,6512 1,6224 1,6370 1,7333 1,9164 2,1529 2,3932 2,5934 2,7278 2,7923 2,7986 2,7679 2,7278 2,7051 2,7164 2,7650 2,8423 2,9343 3,0336 3,1453 3,2791 3,4333 3,5897 3,7207 3,7989 3,8083 3,7546 3,6695 3,5945 3,5579 3,5634 3,5926 3,6138 3,6034 3,5632 3,5157 3,4807 3,4604 3,4444 3,4225 3,3887 3,3409 3,2832 3,2231 3,1672 3,1208 3,0873 3,0654 3,0465 3,0156 2,9600 2,8770 2,7648 2,6152 2,4281 2,2266 2,0465 1,9085 1,7972 1,6705 1,4896 1,2426 0,9451 0,6299 0,3414 0,1246 0,0047 -0,0186 0,0415 0,1662 0,3232 0,4764 0,6104 0,7282 0,8229 0,8649 0,8273 0,7242 0,6162 0,5714 0,6197 0,7381 0,8726 0,9790 1,0461 1,0843 1,0976 1,0706 0,9851 0,8410 0,6639 0,4982 0,3921 0,3779 0,4625 0,6285 0,8387 1,0486 1,2297 1,3812 1,5163 1,6396 1,7361 1,7815 1,7682 1,7184 1,6690 1,6421 1,6362 1,6411 1,6494 1,6558 1,6509 1,6155 1,5237 1,3597 1,1310 0,8683 0,6108 0,3816 0,1873 0,0443 -0,0201 0,0016 0,0846 0,1892 0,2801 0,3349 0,3437 0,3018 0,2059 0,0628 -0,1082 -0,2902 -0,4802 -0,6821 -0,8864 -1,0621 -1,1775 -1,2277 -1,2387 -1,2464 -1,2792 -1,3513 -1,4598 -1,5888 -1,7213 -1,8376 -1,9109 -1,9219 -1,8816 -1,8328 -1,8202 -1,8525 -1,9045 -1,9496 -1,9746 -1,9739 -1,9478 -1,8998 -1,8312 -1,7374 -1,6104 -1,4453 -1,2424 -1,0032 -0,7260 -0,4075 -0,0568 0,2897 0,5712 0,7284 0,7303 0,5840 0,3231 -0,0073 -0,3562 -0,6676 -0,8918 -1,0013 -0,9956 -0,8966 -0,7428 -0,5783 -0,4433 -0,3709 -0,3814 -0,4822 -0,6737 -0,9489 -1,2871 -1,6544 -2,0110 -2,3140 -2,5237 -2,6200 -2,6128 -2,5307 -2,4051 -2,2641 -2,1321 -2,0301 -1,9712 -1,9529 -1,9542 -1,9495 -1,9281 -1,8971 -1,8651 -1,8288 -1,7761 -1,6913 -1,5614 -1,3958 -1,2390 -1,1452 -1,1348 -1,1861 -1,2632 -1,3427 -1,4234 -1,5197 -1,6397 -1,7765 -1,9208 -2,0683 -2,2130 -2,3428 -2,4453 -2,5137 -2,5527 -2,5749 -2,5804 -2,5479 -2,4597 -2,3338 -2,2233 -2,1836 -2,2384 -2,3697 -2,5374 -2,7044 -2,8491 -2,9651 -3,0549 -3,1241 -3,1817 -3,2452 -3,3344
Fz    0,6570 0,5223 0,4501 0,4251 0,4190 0,4114 0,3991 0,3884 0,3802 0,3644 0,3272 0,2637 0,1812 0,0879 -0,0173 -0,1413 -0,2904 -0,4659 -0,6600 -0,8562 -1,0366 -1,1891 -1,3066 -1,3847 -1,4215 -1,4132 -1,3519 -1,2341 -1,0717 -0,8918 -0,7297 -0,6169 -0,5670 -0,5619 -0,5568 -0,5062 -0,3873 -0,2042 0,0254 0,2823 0,5480 0,8021 1,0249 1,2081 1,3589 1,4904 1,6097 1,7100 1,7683 1,7572 1,6693 1,5263 1,3640 1,2126 1,0931 1,0279 1,0448 1,1603 1,3582 1,5890 1,7945 1,9314 1,9803 1,9456 1,8556 1,7546 1,6816 1,6551 1,6707 1,7080 1,7442 1,7660 1,7644 1,7181 1,5994 1,3997 1,1403 0,8605 0,5945 0,3582 0,1531 -0,0233 -0,1697 -0,2793 -0,3490 -0,3915 -0,4338 -0,4998 -0,5889 -0,6729 -0,7226 -0,7335 -0,7223 -0,7068 -0,6974 -0,7070 -0,7551 -0,8528 -0,9831 -1,1035 -1,1769 -1,1949 -1,1745 -1,1465 -1,1483 -1,2102 -1,3426 -1,5397 -1,7911 -2,0805 -2,3821 -2,6705 -2,9348 -3,1849 -3,4427 -3,7234 -4,0242 -4,3268 -4,6028 -4,8133 -4,9078 -4,8382 -4,5847 -4,1714 -3,6557 -3,1102 -2,6052 -2,1934 -1,8996 -1,7213 -1,6327 -1,5928 -1,5617 -1,5147 -1,4440 -1,3491 -1,2320 -1,0945 -0,9319 -0,7240 -0,4428 -0,0748 0,3668 0,8515 1,3493 1,8374 2,2940 2,6950 3,0202 3,2572 3,4015 3,4663 3,4863 3,5068 3,5737 3,7268 3,9914 4,3718 4,8501 5,3875 5,9320 6,4327 6,8478 7,1503 7,3437 7,4727 7,6017 7,7737 7,9912 8,2303 8,4653 8,6822 8,8724 9,0238 9,1294 9,2046 9,2834 9,3968 9,5566 9,7546 9,9729 10,1943 10,4051 10,5870 10,7153 10,7753 10,7786 10,7533 10,7210 10,6844 10,6333 10,5540 10,4386 10,2930 10,1387 9,9954 9,8632 9,7306 9,5961 9,4721 9,3639 9,2536 9,1102 8,9190 8,6928 8,4537 8,2188 8,0037 7,8228 7,6768 7,5467 7,4028 7,2260 7,0227 6,8168 6,6309 6,4751 6,3473 6,2354 6,1207 5,9861 5,8254 5,6458 5,4676 5,3233 5,2439 5,2415 5,3103 5,4384 5,6043 5,7690 5,8870 5,9291 5,8972 5,8270 5,7771 5,8046 5,9355 6,1528 6,4067 6,6357 6,7889 6,8427 6,8107 6,7365 6,6697 6,6414 6,6566 6,6964 6,7234 6,6982 6,6094 6,4912 6,4032 6,3879 6,4479 6,5542 6,6705 6,7731 6,8522 6,9023 6,9224 6,9245 6,9288 6,9458 6,9651 6,9659 6,9346 6,8759 6,8081 6,7538 6,7328 6,7582 6,8344 6,9555 7,1066 7,2697 7,4292 7,5687 7,6657 7,6962 7,6449 7,5152 7,3310 7,1251 6,9224 6,7357 6,5719 6,4364 6,3311 6,2607 6,2411 6,2892 6,4020 6,5537 6,7125 6,8546 6,9646 7,0313 7,0455 7,0043 6,9155 6,8031 6,7049 6,6566 6,6686 6,7191 6,7759 6,8268 6,8878 6,9823 7,1182 7,2801 7,4352 7,5472 7,5935 7,5761 7,5201 7,4632 7,4393 7,4593 7,5134 7,5953 7,7188 7,9058 8,1645 8,4820 8,8365 9,2138 9,6069 10,0004 10,3623 10,6567 10,8581 10,9575 10,9676 10,9271 10,8945 10,9229 11,0290 11,1818 11,3250 11,4095 11,4164 11,3616 11,2859 11,2301 11,2150 11,2347 11,2664 11,2823 11,2657 11,2294 11,2155 11,2631 11,3760 11,5233 11,6629 11,7615 11,8051 11,7980 11,7540 11,6917 11,6326 11,5940 11,5846 11,6065 11,6548 11,7180 11,7862 11,8577 11,9306 11,9899 12,0124 11,9858 11,9156 11,8159 11,7031 11,5975 11,5206 11,4913 11,5245 11,6244 11,7787 11,9668 12,1734 12,3857 12,5824 12,7351 12,8223 12,8392 12,7972 12,7214 12,6471 12,6063 12,6072 12,6302 12,6442 12,6260 12,5591 12,4227 12,2025 11,9124 11,5865 11,2523 10,9252 10,6217 10,3587 10,1345 9,9137 9,6417 9,2854 8,8628 8,4293 8,0416 7,7409 7,5548 7,4941 7,5481 7,6882 7,8693 8,0335 8,1310 8,1462 8,0942 7,9917 7,8447 7,6652 7,4881 7,3653 7,3398 7,4187 7,5634 7,7076 7,7916 7,7854 7,6904 7,5240 7,3037 7,0433 6,7531 6,4420 6,1293 5,8552 5,6686 5,6014 5,6507 5,7825 5,9488 6,1108 6,2560 6,3964 6,5478 6,7080 6,8563 6,9740 7,0584 7,1174 7,1559 7,1681 7,1377 7,0441 6,8725 6,6215 6,2978 5,9090 5,4683 5,0008 4,5408 4,1176 3,7438 3,4260 3,1867 3,0569 3,0482 3,1457 3,3162 3,5138 3,6931 3,8288 3,9186 3,9715 3,9989 4,0083 3,9948 3,9422 3,8382 3,6906 3,5306 3,3969 3,3133 3,2802 3,2801 3,2822 3,2514 3,1732 3,0667 2,9680 2,9046 2,8829 2,8897 2,8992 2,8832 2,8264 2,7385 2,6484 2,5846 2,5622 2,5818 2,6372 2,7225 2,8353 2,9729 3,1273 3,2890 3,4556 3,6340 3,8325 4,0501 4,2694 4,4552 4,5601 4,5380 4,3640 4,0466 3,6249 3,1583 2,7167 2,3637 2,1314 2,0112 1,9721 1,9823 2,0153 2,0499 2,0704 2,0658 2,0304 1,9605 1,8479 1,6803 1,4568 1,2012 0,9534 0,7509 0,6184 0,5610 0,5627 0,5999 0,6560 0,7186 0,7709 0,7932 0,7730 0,7156 0,6432 0,5810 0,5394 0,5135 0,4999 0,5106 0,5691 0,6991 0,9156 1,2137 1,5551 1,8770 2,1307 2,3112 2,4468 2,5624 2,6584 2,7194 2,7306 2,6805 2,5578 2,3616 2,1145 1,8561 1,6210 1,4255 1,2745 1,1764 1,1548 1,2306 1,3927 1,5928 1,7729 1,8951 1,9553 1,9746 1,9776 1,9780 1,9794 1,9752 1,9510 1,8929 1,7935 1,6466 1,4449
F3    0,2116 0,0730 -0,0308 -0,1004 -0,1469 -0,1746 -0,1764 -0,1472 -0,0989 -0,0559 -0,0377 -0,0467 -0,0710 -0,0952 -0,1088 -0,1120 -0,1186 -0,1506 -0,2254 -0,3479 -0,5120 -0,7043 -0,9057 -1,0933 -1,2437 -1,3309 -1,3299 -1,2333 -1,0628 -0,8593 -0,6682 -0,5319 -0,4792 -0,5064 -0,5670 -0,5906 -0,5198 -0,3338 -0,0463 0,3090 0,6908 1,0547 1,3609 1,5903 1,7520 1,8690 1,9569 2,0095 1,9973 1,8882 1,6825 1,4235 1,1680 0,9506 0,7811 0,6674 0,6283 0,6786 0,8032 0,9541 1,0729 1,1158 1,0671 0,9392 0,7640 0,5810 0,4257 0,3207 0,2714 0,2686 0,2978 0,3479 0,4011 0,4187 0,3538 0,1852 -0,0668 -0,3524 -0,6213 -0,8449 -1,0164 -1,1406 -1,2214 -1,2565 -1,2469 -1,2092 -1,1756 -1,1755 -1,2119 -1,2590 -1,2907 -1,3029 -1,3023 -1,2902 -1,2679 -1,2534 -1,2814 -1,3764 -1,5226 -1,6700 -1,7746 -1,8277 -1,8490 -1,8722 -1,9345 -2,0597 -2,2456 -2,4746 -2,7311 -3,0011 -3,2673 -3,5127 -3,7331 -3,9444 -4,1733 -4,4343 -4,7170 -4,9923 -5,2235 -5,3711 -5,3943 -5,2625 -4,9745 -4,5683 -4,1087 -3,6653 -3,2944 -3,0290 -2,8789 -2,8340 -2,8673 -2,9387 -3,0070 -3,0430 -3,0315 -2,9669 -2,8521 -2,6947 -2,4972 -2,2480 -1,9299 -1,5427 -1,1132 -0,6785 -0,2653 0,1132 0,4451 0,7167 0,9202 1,0554 1,1272 1,1528 1,1655 1,2065 1,3140 1,5167 1,8275 2,2439 2,7485 3,3023 3,8451 4,3126 4,6525 4,8367 4,8814 4,8578 4,8579 4,9397 5,1064 5,3282 5,5708 5,8095 6,0256 6,1977 6,3123 6,3865 6,4657 6,5977 6,8056 7,0779 7,3806 7,6790 7,9459 8,1526 8,2695 8,2869 8,2295 8,1378 8,0393 7,9386 7,8276 7,6947 7,5323 7,3464 7,1585 6,9850 6,8200 6,6496 6,4751 6,3101 6,1606 6,0119 5,8388 5,6304 5,3994 5,1651 4,9416 4,7426 4,5769 4,4347 4,2865 4,0998 3,8608 3,5864 3,3163 3,0898 2,9286 2,8313 2,7764 2,7325 2,6705 2,5757 2,4511 2,3148 2,1930 2,1041 2,0453 2,0041 1,9789 1,9746 1,9822 1,9780 1,9455 1,8885 1,8309 1,8097 1,8580 1,9834 2,1626 2,3509 2,4994 2,5709 2,5566 2,4802 2,3844 2,3081 2,2725 2,2791 2,3136 2,3494 2,3551 2,3158 2,2516 2,2050 2,2051 2,2503 2,3218 2,4053 2,4954 2,5872 2,6724 2,7462 2,8138 2,8821 2,9463 2,9896 2,9987 2,9765 2,9412 2,9172 2,9248 2,9748 3,0668 3,1914 3,3335 3,4762 3,6109 3,7412 3,8699 3,9843 4,0603 4,0773 4,0278 3,9231 3,7899 3,6549 3,5339 3,4367 3,3701 3,3367 3,3380 3,3788 3,4597 3,5652 3,6667 3,7366 3,7565 3,7204 3,6364 3,5242 3,4059 3,2994 3,2204 3,1877 3,2166 3,3032 3,4176 3,5222 3,5979 3,6517 3,6979 3,7394 3,7636 3,7497 3,6824 3,5643 3,4164 3,2656 3,1377 3,0542 3,0231 3,0381 3,0970 3,2152 3,4144 3,7017 4,0592 4,4563 4,8685 5,2817 5,6779 6,0248 6,2862 6,4392 6,4794 6,4226 6,3097 6,2013 6,1547 6,1936 6,2972 6,4190 6,5150 6,5645 6,5749 6,5735 6,5896 6,6377 6,7137 6,8004 6,8771 6,9310 6,9733 7,0421 7,1740 7,3707 7,5968 7,8022 7,9452 8,0041 7,9769 7,8763 7,7330 7,5932 7,5001 7,4769 7,5240 7,6244 7,7507 7,8773 7,9916 8,0903 8,1651 8,2006 8,1861 8,1211 8,0117 7,8694 7,7157 7,5810 7,4955 7,4821 7,5488 7,6830 7,8583 8,0500 8,2375 8,3947 8,4922 8,5111 8,4513 8,3297 8,1767 8,0329 7,9370 7,9045 7,9187 7,9460 7,9585 7,9334 7,8412 7,6572 7,3834 7,0420 6,6568 6,2567 5,8834 5,5759 5,3412 5,1385 4,8993 4,5767 4,1834 3,7768 3,4177 3,1532 3,0161 3,0162 3,1326 3,3233 3,5371 3,7215 3,8365 3,8716 3,8417 3,7639 3,6469 3,5041 3,3697 3,2931 3,3133 3,4323 3,6079 3,7728 3,8696 3,8750 3,8001 3,6707 3,5081 3,3254 3,1294 2,9239 2,7190 2,5434 2,4364 2,4242 2,5027 2,6401 2,7920 2,9229 3,0252 3,1163 3,2140 3,3136 3,3921 3,4337 3,4466 3,4534 3,4669 3,4765 3,4558 3,3791 3,2330 3,0174 2,7375 2,3976 2,0084 1,5946 1,1896 0,8173 0,4808 0,1785 -0,0651 -0,2090 -0,2344 -0,1593 -0,0217 0,1352 0,2770 0,3882 0,4674 0,5147 0,5268 0,4961 0,4119 0,2689 0,0756 -0,1426 -0,3489 -0,5138 -0,6326 -0,7212 -0,7988 -0,8837 -0,9950 -1,1389 -1,2959 -1,4319 -1,5210 -1,5559 -1,5482 -1,5238 -1,5118 -1,5282 -1,5639 -1,5928 -1,5906 -1,5470 -1,4658 -1,3605 -1,2450 -1,1272 -1,0084 -0,8869 -0,7599 -0,6201 -0,4544 -0,2494 -0,0027 0,2668 0,5166 0,6880 0,7256 0,6006 0,3230 -0,0644 -0,5013 -0,9220 -1,2668 -1,4988 -1,6113 -1,6167 -1,5400 -1,4175 -1,2912 -1,1979 -1,1607 -1,1850 -1,2670 -1,4089 -1,6186 -1,8903 -2,1918 -2,4780 -2,7114 -2,8700 -2,9514 -2,9737 -2,9629 -2,9381 -2,9109 -2,8942 -2,9006 -2,9333 -2,9828 -3,0300 -3,0575 -3,0603 -3,0486 -3,0341 -3,0126 -2,9618 -2,8539 -2,6679 -2,4097 -2,1287 -1,9001 -1,7745 -1,7476 -1,7799 -1,8373 -1,9110 -2,0084 -2,1359 -2,2971 -2,4943 -2,7183 -2,9393 -3,1208 -3,2409 -3,2997 -3,3086 -3,2736 -3,1880 -3,0449 -2,8583 -2,6679 -2,5233 -2,4607 -2,4871 -2,5814 -2,7087 -2,8366 -2,9446 -3,0296 -3,1029 -3,1787 -3,2673 -3,3829 -3,5440
F7    -0,0658 -0,1288 -0,1598 -0,1678 -0,1820 -0,2262 -0,2973 -0,3743 -0,4400 -0,4872 -0,5134 -0,5166 -0,4955 -0,4517 -0,3878 -0,3087 -0,2254 -0,1556 -0,1169 -0,1213 -0,1708 -0,2596 -0,3755 -0,4983 -0,5967 -0,6358 -0,5962 -0,4892 -0,3529 -0,2323 -0,1627 -0,1608 -0,2217 -0,3163 -0,3972 -0,4165 -0,3454 -0,1810 0,0593 0,3463 0,6447 0,9167 1,1284 1,2630 1,3282 1,3465 1,3396 1,3209 1,2924 1,2453 1,1708 1,0687 0,9445 0,8030 0,6531 0,5177 0,4300 0,4085 0,4393 0,4874 0,5175 0,5008 0,4144 0,2465 0,0089 -0,2566 -0,4892 -0,6342 -0,6694 -0,6148 -0,5154 -0,4115 -0,3288 -0,2911 -0,3179 -0,4028 -0,5104 -0,6024 -0,6656 -0,7115 -0,7545 -0,7978 -0,8340 -0,8477 -0,8260 -0,7725 -0,7115 -0,6754 -0,6790 -0,7077 -0,7406 -0,7739 -0,8149 -0,8630 -0,9079 -0,9482 -1,0037 -1,0981 -1,2265 -1,3502 -1,4310 -1,4556 -1,4297 -1,3701 -1,3085 -1,2825 -1,3159 -1,4129 -1,5660 -1,7558 -1,9532 -2,1347 -2,2970 -2,4593 -2,6482 -2,8775 -3,1398 -3,4152 -3,6783 -3,8948 -4,0194 -4,0114 -3,8617 -3,6035 -3,2948 -2,9919 -2,7347 -2,5384 -2,3940 -2,2808 -2,1795 -2,0745 -1,9527 -1,8061 -1,6362 -1,4548 -1,2787 -1,1222 -0,9860 -0,8533 -0,7028 -0,5322 -0,3626 -0,2176 -0,1026 -0,0027 0,1061 0,2444 0,4175 0,6079 0,7868 0,9388 1,0721 1,2069 1,3680 1,5832 1,8750 2,2492 2,6858 3,1391 3,5547 3,8972 4,1630 4,3646 4,5145 4,6324 4,7519 4,9083 5,1158 5,3600 5,6111 5,8415 6,0300 6,1548 6,2047 6,2044 6,2145 6,2955 6,4669 6,6986 6,9354 7,1319 7,2703 7,3512 7,3761 7,3474 7,2810 7,2052 7,1467 7,1202 7,1261 7,1488 7,1632 7,1488 7,1000 7,0207 6,9123 6,7741 6,6099 6,4291 6,2372 6,0274 5,7857 5,5127 5,2338 4,9776 4,7605 4,5915 4,4696 4,3745 4,2723 4,1317 3,9384 3,6996 3,4376 3,1808 2,9561 2,7761 2,6303 2,4926 2,3395 2,1608 1,9587 1,7496 1,5663 1,4414 1,3813 1,3647 1,3601 1,3374 1,2739 1,1613 1,0078 0,8325 0,6663 0,5531 0,5316 0,6091 0,7575 0,9309 1,0840 1,1823 1,2120 1,1889 1,1493 1,1248 1,1285 1,1607 1,2160 1,2789 1,3248 1,3401 1,3420 1,3670 1,4381 1,5470 1,6655 1,7723 1,8667 1,9526 2,0230 2,0704 2,1030 2,1361 2,1729 2,2050 2,2259 2,2384 2,2551 2,2934 2,3660 2,4767 2,6215 2,7907 2,9737 3,1616 3,3503 3,5371 3,7117 3,8532 3,9442 3,9823 3,9769 3,9428 3,8989 3,8616 3,8368 3,8255 3,8295 3,8511 3,8942 3,9679 4,0757 4,1980 4,2949 4,3301 4,2882 4,1715 3,9942 3,7815 3,5640 3,3662 3,2039 3,0890 3,0300 3,0212 3,0324 3,0230 2,9739 2,9006 2,8334 2,7905 2,7690 2,7514 2,7185 2,6586 2,5701 2,4599 2,3459 2,2516 2,1891 2,1541 2,1420 2,1591 2,2141 2,3063 2,4255 2,5630 2,7164 2,8819 3,0396 3,1542 3,1930 3,1420 3,0075 2,8137 2,6018 2,4255 2,3315 2,3343 2,4102 2,5137 2,5993 2,6411 2,6471 2,6565 2,7161 2,8524 3,0585 3,2987 3,5253 3,7011 3,8239 3,9253 4,0396 4,1764 4,3227 4,4558 4,5518 4,5964 4,5919 4,5532 4,5044 4,4800 4,5141 4,6221 4,7956 5,0086 5,2274 5,4236 5,5801 5,6850 5,7254 5,6966 5,6125 5,4975 5,3680 5,2275 5,0840 4,9608 4,8875 4,8856 4,9541 5,0627 5,1695 5,2469 5,2881 5,2962 5,2730 5,2142 5,1121 4,9693 4,8086 4,6659 4,5672 4,5122 4,4786 4,4432 4,3988 4,3470 4,2754 4,1610 3,9986 3,8039 3,5917 3,3714 3,1584 2,9717 2,8131 2,6530 2,4428 2,1506 1,7897 1,4088 1,0626 0,7963 0,6455 0,6273 0,7302 0,9166 1,1308 1,3135 1,4274 1,4696 1,4569 1,4033 1,3191 1,2228 1,1469 1,1289 1,1940 1,3376 1,5219 1,6926 1,8048 1,8418 1,8136 1,7425 1,6505 1,5563 1,4717 1,3990 1,3407 1,3147 1,3523 1,4770 1,6834 1,9317 2,1635 2,3333 2,4321 2,4857 2,5319 2,5959 2,6860 2,8050 2,9532 3,1204 3,2834 3,4104 3,4698 3,4417 3,3315 3,1680 2,9829 2,7909 2,5892 2,3725 2,1475 1,9298 1,7299 1,5548 1,4243 1,3648 1,3829 1,4585 1,5575 1,6434 1,6893 1,6876 1,6469 1,5822 1,5062 1,4174 1,2933 1,1036 0,8339 0,5039 0,1617 -0,1420 -0,3756 -0,5312 -0,6208 -0,6757 -0,7372 -0,8303 -0,9430 -1,0357 -1,0737 -1,0520 -0,9937 -0,9352 -0,9137 -0,9543 -1,0540 -1,1825 -1,2993 -1,3647 -1,3475 -1,2387 -1,0546 -0,8251 -0,5825 -0,3540 -0,1508 0,0391 0,2415 0,4755 0,7434 1,0274 1,2911 1,4895 1,5834 1,5543 1,4098 1,1757 0,8844 0,5740 0,2849 0,0442 -0,1417 -0,2779 -0,3718 -0,4326 -0,4703 -0,4934 -0,5055 -0,5066 -0,5028 -0,5125 -0,5581 -0,6541 -0,7989 -0,9732 -1,1453 -1,2838 -1,3729 -1,4174 -1,4288 -1,4117 -1,3666 -1,2993 -1,2223 -1,1531 -1,1077 -1,0916 -1,1005 -1,1327 -1,1946 -1,2854 -1,3788 -1,4294 -1,3959 -1,2596 -1,0376 -0,7845 -0,5690 -0,4322 -0,3676 -0,3480 -0,3668 -0,4426 -0,5877 -0,7867 -1,0105 -1,2383 -1,4558 -1,6439 -1,7840 -1,8714 -1,9149 -1,9261 -1,9060 -1,8390 -1,7119 -1,5430 -1,3832 -1,2871 -1,2834 -1,3670 -1,5145 -1,7030 -1,9132 -2,1241 -2,3167 -2,4792 -2,6029 -2,6817 -2,7194 -2,7363
