Fp1   -3,4623 -3,4536 -3,4611 -3,4661 -3,4466 -3,3886 -3,2866 -3,1356 -2,9260 -2,6567 -2,3510 -2,0493 -1,7874 -1,5861 -1,4511 -1,3720 -1,3238 -1,2713 -1,1723 -0,9893 -0,7109 -0,3543 0,0503 0,4716 0,8768 1,2311 1,5063 1,6925 1,8015 1,8583 1,8924 1,9255 1,9624 1,9943 2,0121 2,0160 2,0179 2,0369 2,0896 2,1784 2,2866 2,3771 2,4041 2,3364 2,1767 1,9590 1,7297 1,5292 1,3844 1,3053 1,2815 1,2798 1,2522 1,1548 0,9704 0,7155 0,4252 0,1354 -0,1150 -0,2848 -0,3526 -0,3373 -0,2872 -0,2536 -0,2750 -0,3622 -0,4880 -0,5953 -0,6253 -0,5486 -0,3801 -0,1679 0,0278 0,1508 0,1634 0,0626 -0,1134 -0,2996 -0,4305 -0,4655 -0,3954 -0,2316 0,0070 0,2976 0,6091 0,9094 1,1823 1,4323 1,6714 1,9039 2,1240 2,3227 2,4962 2,6475 2,7857 2,9239 3,0735 3,2376 3,4073 3,5613 3,6733 3,7220 3,6937 3,5822 3,3956 3,1627 2,9252 2,7204 2,5710 2,4805 2,4309 2,3869 2,3088 2,1681 1,9619 1,7184 1,4836 1,2961 1,1693 1,0887 1,0190 0,9147 0,7366 0,4735 0,1545 -0,1615 -0,4163 -0,5795 -0,6503 -0,6340 -0,5260 -0,3223 -0,0382 0,2896 0,6212 0,9356 1,2389 1,5519 1,8871 2,2353 2,5742 2,8877 3,1704 3,4231 3,6497 3,8579 4,0595 4,2664 4,4820 4,6973 4,8943 5,0515 5,1470 5,1624 5,0915 4,9477 4,7628 4,5748 4,4086 4,2666 4,1370 4,0088 3,8823 3,7687 3,6804 3,6227 3,5954 3,6022 3,6557 3,7761 3,9782 4,2501 4,5504 4,8356 5,0907 5,3292 5,5718 5,8340 6,1246 6,4390 6,7526 7,0303 7,2481 7,4058 7,5190 7,6019 7,6592 7,6894 7,6938 7,6810 7,6635 7,6456 7,6133 7,5467 7,4446 7,3351 7,2591 7,2456 7,2984 7,3938 7,4903 7,5423 7,5089 7,3606 7,0931 6,7356 6,3373 5,9430 5,5825 5,2746 5,0294 4,8422 4,6879 4,5301 4,3418 4,1178 3,8708 3,6207 3,3816 3,1485 2,8935 2,5776 2,1760 1,6957 1,1734 0,6616 0,2160 -0,1120 -0,2837 -0,2864 -0,1392 0,1143 0,4179 0,7184 0,9855 1,2192 1,4366 1,6547 1,8844 2,1274 2,3736 2,6079 2,8178 2,9913 3,1178 3,2048 3,2842 3,3888 3,5271 3,6860 3,8484 3,9975 4,1119 4,1743 4,1872 4,1730 4,1614 4,1830 4,2635 4,4123 4,6162 4,8417 5,0449 5,1841 5,2326 5,1921 5,0947 4,9846 4,8916 4,8215 4,7652 4,7090 4,6326 4,5088 4,3196 4,0754 3,8119 3,5703 3,3762 3,2327 3,1224 3,0101 2,8545 2,6316 2,3467 2,0229 1,6881 1,3767 1,1294 0,9790 0,9328 0,9695 1,0481 1,1217 1,1510 1,1092 0,9820 0,7767 0,5289 0,2921 0,1139 0,0168 -0,0056 0,0215 0,0686 0,1141 0,1507 0,1827 0,2164 0,2513 0,2837 0,3167 0,3628 0,4336 0,5303 0,6463 0,7723 0,8978 1,0126 1,1083 1,1798 1,2298 1,2651 1,2840 1,2739 1,2270 1,1529 1,0754 1,0252 1,0288 1,0954 1,2124 1,3584 1,5151 1,6713 1,8291 2,0117 2,2573 2,5946 3,0198 3,4906 3,9409 4,3085 4,5623 4,7152 4,8084 4,8815 4,9520 5,0144 5,0523 5,0492 4,9947 4,8893 4,7517 4,6232 4,5534 4,5706 4,6624 4,7816 4,8761 4,9176 4,9097 4,8738 4,8308 4,7930 4,7663 4,7496 4,7383 4,7306 4,7278 4,7254 4,7092 4,6610 4,5666 4,4253 4,2549 4,0877 3,9575 3,8877 3,8851 3,9411 4,0398 4,1653 4,2999 4,4214 4,5096 4,5527 4,5473 4,5039 4,4498 4,4138 4,4034 4,3987 4,3640 4,2663 4,0905 3,8495 3,5793 3,3177 3,0876 2,9008 2,7650 2,6777 2,6165 2,5478 2,4503 2,3312 2,2214 2,1560 2,1586 2,2346 2,3689 2,5328 2,6976 2,8464 2,9758 3,0899 3,1908 3,2688 3,3011 3,2613 3,1311 2,9089 2,6134 2,2794 1,9529 1,6813 1,4954 1,3987 1,3754 1,4051 1,4685 1,5483 1,6354 1,7323 1,8461 1,9801 2,1356 2,3088 2,4837 2,6392 2,7654 2,8675 2,9559 3,0352 3,1008 3,1493 3,1879 3,2334 3,3034 3,4079 3,5406 3,6711 3,7510 3,7368 3,6121 3,3913 3,1078 2,8049 2,5268 2,3057 2,1506 2,0484 1,9756 1,9133 1,8536 1,7989 1,7583 1,7337 1,7089 1,6566 1,5558 1,4012 1,2023 0,9788 0,7569 0,5662 0,4298 0,3555 0,3342 0,3452 0,3670 0,3856 0,3978 0,4072 0,4163 0,4172 0,3909 0,3163 0,1858 0,0134 -0,1775 -0,3716 -0,5673 -0,7672 -0,9658 -1,1431 -1,2709 -1,3320 -1,3343 -1,3016 -1,2518 -1,1920 -1,1273 -1,0634 -0,9969 -0,9106 -0,7838 -0,5997 -0,3456 -0,0169 0,3689 0,7670 1,1234 1,4055 1,6169 1,7847 1,9393 2,1047 2,2964 2,5221 2,7788 3,0524 3,3203 3,5545 3,7271 3,8224 3,8431 3,8044 3,7254 3,6228 3,5058 3,3762 3,2306 3,0649 2,8791 2,6801 2,4795 2,2885 2,1101 1,9364 1,7508 1,5350 1,2769 0,9786 0,6596 0,3544 0,0997 -0,0854 -0,2087 -0,2962 -0,3768 -0,4701 -0,5795 -0,6892 -0,7704 -0,7970 -0,7575 -0,6527 -0,4903 -0,2860 -0,0666 0,1425 0,3356 0,5265 0,7339 0,9734 1,2555 1,5819 1,9418 2,3138 2,6704 2,9857 3,2433 3,4430 3,5969 3,7159 3,7961 3,8239 3,7912 3,7002 3,5509 3,3320 3,0325 2,6595 2,2408 1,8126 1,4049 1,0334 0,6971 0,3840 0,0819 -0,2161 -0,5130 -0,8078 -1,0919 -1,3504 -1,5654 -1,7208 -1,8069
Fz    -5,0259 -4,9792 -4,9403 -4,8869 -4,8012 -4,6786 -4,5231 -4,3327 -4,0934 -3,7935 -3,4425 -3,0677 -2,6939 -2,3323 -1,9838 -1,6434 -1,3042 -0,9591 -0,5996 -0,2197 0,1737 0,5637 0,9355 1,2799 1,5863 1,8404 2,0318 2,1677 2,2717 2,3674 2,4648 2,5604 2,6459 2,7152 2,7684 2,8085 2,8384 2,8623 2,8841 2,9008 2,8970 2,8471 2,7296 2,5419 2,3057 2,0555 1,8221 1,6237 1,4667 1,3447 1,2357 1,1062 0,9247 0,6768 0,3755 0,0564 -0,2445 -0,5038 -0,7056 -0,8336 -0,8825 -0,8718 -0,8408 -0,8325 -0,8796 -0,9896 -1,1348 -1,2613 -1,3163 -1,2739 -1,1427 -0,9560 -0,7573 -0,5911 -0,4909 -0,4638 -0,4854 -0,5118 -0,4997 -0,4212 -0,2671 -0,0395 0,2563 0,6122 1,0138 1,4409 1,8761 2,3075 2,7228 3,1039 3,4302 3,6891 3,8859 4,0409 4,1814 4,3318 4,5053 4,6993 4,8968 5,0714 5,1959 5,2537 5,2428 5,1702 5,0495 4,9022 4,7513 4,6133 4,4968 4,4044 4,3281 4,2475 4,1389 3,9847 3,7818 3,5412 3,2796 3,0105 2,7422 2,4759 2,2015 1,8981 1,5468 1,1504 0,7393 0,3568 0,0394 -0,1948 -0,3444 -0,4125 -0,3982 -0,3034 -0,1436 0,0548 0,2696 0,4942 0,7375 1,0124 1,3214 1,6466 1,9564 2,2245 2,4445 2,6309 2,8059 2,9849 3,1717 3,3634 3,5568 3,7474 3,9266 4,0808 4,1906 4,2363 4,2103 4,1288 4,0284 3,9500 3,9201 3,9433 4,0102 4,1116 4,2484 4,4293 4,6595 4,9310 5,2248 5,5226 5,8177 6,1182 6,4393 6,7884 7,1578 7,5362 7,9239 8,3291 8,7575 9,2057 9,6598 10,0938 10,4739 10,7731 10,9860 11,1269 11,2133 11,2515 11,2341 11,1496 10,9949 10,7790 10,5202 10,2357 9,9328 9,6135 9,2918 9,0002 8,7750 8,6399 8,5980 8,6291 8,6914 8,7319 8,7001 8,5612 8,3068 7,9586 7,5585 7,1543 6,7900 6,4980 6,2893 6,1489 6,0438 5,9369 5,8039 5,6409 5,4550 5,2509 5,0200 4,7418 4,3944 3,9674 3,4726 2,9454 2,4393 2,0134 1,7218 1,6036 1,6744 1,9193 2,2952 2,7452 3,2130 3,6542 4,0454 4,3879 4,7007 5,0079 5,3246 5,6487 5,9621 6,2434 6,4787 6,6641 6,8030 6,9071 6,9939 7,0735 7,1412 7,1877 7,2118 7,2174 7,2051 7,1746 7,1360 7,1099 7,1216 7,1953 7,3450 7,5659 7,8353 8,1193 8,3787 8,5739 8,6730 8,6676 8,5805 8,4536 8,3224 8,2025 8,0937 7,9893 7,8769 7,7368 7,5487 7,3032 7,0047 6,6655 6,2997 5,9245 5,5594 5,2145 4,8854 4,5649 4,2556 3,9661 3,7056 3,4865 3,3248 3,2285 3,1885 3,1812 3,1787 3,1578 3,1041 3,0103 2,8737 2,7023 2,5210 2,3665 2,2727 2,2567 2,3129 2,4185 2,5468 2,6797 2,8106 2,9412 3,0733 3,2020 3,3161 3,4086 3,4828 3,5465 3,6033 3,6542 3,7032 3,7584 3,8253 3,9002 3,9705 4,0227 4,0490 4,0447 4,0062 3,9366 3,8481 3,7603 3,6991 3,6924 3,7573 3,8935 4,0874 4,3235 4,5920 4,8940 5,2422 5,6517 6,1241 6,6372 7,1459 7,5950 7,9369 8,1485 8,2402 8,2498 8,2223 8,1920 8,1728 8,1602 8,1382 8,0916 8,0155 7,9221 7,8420 7,8092 7,8384 7,9126 7,9924 8,0367 8,0205 7,9399 7,8061 7,6369 7,4524 7,2716 7,1069 6,9611 6,8331 6,7237 6,6328 6,5576 6,4970 6,4521 6,4264 6,4270 6,4633 6,5416 6,6602 6,8096 6,9759 7,1454 7,3066 7,4478 7,5536 7,6045 7,5825 7,4799 7,3073 7,0931 6,8697 6,6576 6,4601 6,2669 6,0612 5,8292 5,5691 5,2940 5,0253 4,7842 4,5898 4,4567 4,3847 4,3503 4,3160 4,2528 4,1580 4,0510 3,9568 3,8924 3,8630 3,8595 3,8603 3,8456 3,8122 3,7730 3,7443 3,7282 3,7035 3,6331 3,4863 3,2569 2,9656 2,6486 2,3467 2,0996 1,9391 1,8770 1,9014 1,9901 2,1240 2,2890 2,4729 2,6689 2,8795 3,1104 3,3644 3,6398 3,9256 4,1991 4,4373 4,6322 4,7901 4,9191 5,0184 5,0790 5,0944 5,0713 5,0297 4,9931 4,9779 4,9860 5,0006 4,9894 4,9164 4,7590 4,5157 4,2037 3,8531 3,4995 3,1715 2,8853 2,6479 2,4616 2,3252 2,2308 2,1652 2,1134 2,0586 1,9804 1,8589 1,6826 1,4535 1,1864 0,9021 0,6213 0,3628 0,1436 -0,0256 -0,1434 -0,2181 -0,2627 -0,2896 -0,3069 -0,3177 -0,3241 -0,3330 -0,3595 -0,4199 -0,5211 -0,6574 -0,8157 -0,9835 -1,1534 -1,3203 -1,4763 -1,6064 -1,6937 -1,7322 -1,7342 -1,7199 -1,6987 -1,6665 -1,6157 -1,5411 -1,4350 -1,2836 -1,0736 -0,7983 -0,4551 -0,0436 0,4237 0,9117 1,3722 1,7691 2,0976 2,3793 2,6452 2,9190 3,2102 3,5159 3,8262 4,1266 4,3984 4,6209 4,7745 4,8469 4,8382 4,7604 4,6301 4,4614 4,2635 4,0457 3,8180 3,5896 3,3698 3,1708 3,0041 2,8717 2,7569 2,6293 2,4597 2,2308 1,9394 1,5946 1,2168 0,8361 0,4867 0,1960 -0,0235 -0,1749 -0,2715 -0,3279 -0,3528 -0,3460 -0,2987 -0,1993 -0,0413 0,1707 0,4230 0,6966 0,9713 1,2321 1,4772 1,7180 1,9677 2,2330 2,5154 2,8116 3,1130 3,4062 3,6781 3,9200 4,1298 4,3099 4,4627 4,5833 4,6581 4,6727 4,6219 4,5092 4,3368 4,1000 3,7955 3,4335 3,0353 2,6229 2,2141 1,8214 1,4505 1,0986 0,7597 0,4283 0,0974 -0,2368 -0,5653 -0,8644 -1,1033 -1,2557 -1,3091
F3    -4,3480 -4,3180 -4,3057 -4,2873 -4,2363 -4,1375 -3,9874 -3,7839 -3,5196 -3,1929 -2,8239 -2,4499 -2,1015 -1,7884 -1,5049 -1,2403 -0,9861 -0,7338 -0,4665 -0,1619 0,1892 0,5753 0,9727 1,3547 1,6934 1,9618 2,1426 2,2400 2,2808 2,3017 2,3331 2,3885 2,4614 2,5352 2,5950 2,6334 2,6483 2,6397 2,6042 2,5317 2,4086 2,2249 1,9815 1,6944 1,3918 1,1049 0,8570 0,6613 0,5236 0,4428 0,4031 0,3677 0,2894 0,1337 -0,1000 -0,3806 -0,6687 -0,9333 -1,1468 -1,2823 -1,3311 -1,3187 -1,2953 -1,3124 -1,4028 -1,5665 -1,7645 -1,9332 -2,0154 -1,9880 -1,8684 -1,6984 -1,5251 -1,3922 -1,3321 -1,3507 -1,4202 -1,4910 -1,5130 -1,4518 -1,2939 -1,0431 -0,7127 -0,3212 0,1053 0,5342 0,9359 1,2936 1,6043 1,8682 2,0806 2,2370 2,3443 2,4214 2,4954 2,5955 2,7444 2,9503 3,2035 3,4775 3,7354 3,9413 4,0690 4,1052 4,0536 3,9353 3,7788 3,6080 3,4405 3,2871 3,1468 3,0043 2,8360 2,6201 2,3503 2,0423 1,7255 1,4284 1,1691 0,9516 0,7652 0,5846 0,3803 0,1402 -0,1196 -0,3679 -0,5791 -0,7404 -0,8455 -0,8838 -0,8409 -0,7124 -0,5162 -0,2878 -0,0614 0,1473 0,3453 0,5545 0,7949 1,0695 1,3667 1,6752 1,9931 2,3243 2,6690 3,0175 3,3546 3,6675 3,9493 4,1947 4,3967 4,5433 4,6173 4,6032 4,5001 4,3298 4,1299 3,9385 3,7777 3,6505 3,5497 3,4740 3,4367 3,4622 3,5692 3,7556 3,9979 4,2659 4,5368 4,8041 5,0763 5,3665 5,6808 6,0202 6,3872 6,7824 7,1979 7,6185 8,0267 8,4025 8,7230 8,9713 9,1479 9,2688 9,3515 9,4013 9,4095 9,3639 9,2603 9,1078 8,9229 8,7191 8,4990 8,2606 8,0136 7,7835 7,5990 7,4815 7,4397 7,4643 7,5248 7,5754 7,5655 7,4543 7,2262 6,8995 6,5176 6,1308 5,7824 5,5001 5,2882 5,1269 4,9799 4,8111 4,6026 4,3574 4,0888 3,8069 3,5104 3,1865 2,8192 2,4022 1,9501 1,4981 1,0893 0,7630 0,5526 0,4834 0,5625 0,7688 1,0567 1,3717 1,6663 1,9129 2,1094 2,2745 2,4314 2,5979 2,7834 2,9861 3,1926 3,3876 3,5641 3,7241 3,8744 4,0261 4,1900 4,3659 4,5372 4,6820 4,7896 4,8632 4,9105 4,9389 4,9580 4,9781 5,0095 5,0662 5,1650 5,3165 5,5185 5,7531 5,9896 6,1924 6,3330 6,4021 6,4126 6,3870 6,3399 6,2725 6,1784 6,0497 5,8792 5,6612 5,3971 5,0997 4,7905 4,4906 4,2124 3,9595 3,7312 3,5200 3,3121 3,0992 2,8866 2,6871 2,5121 2,3715 2,2753 2,2253 2,2106 2,2103 2,2003 2,1595 2,0755 1,9461 1,7762 1,5784 1,3751 1,1940 1,0581 0,9771 0,9458 0,9493 0,9699 0,9934 1,0154 1,0405 1,0769 1,1302 1,2049 1,3085 1,4483 1,6218 1,8137 2,0065 2,1922 2,3705 2,5402 2,6955 2,8293 2,9394 3,0252 3,0785 3,0835 3,0306 2,9259 2,7878 2,6419 2,5145 2,4240 2,3765 2,3696 2,3997 2,4689 2,5890 2,7829 3,0714 3,4548 3,9031 4,3606 4,7624 5,0555 5,2178 5,2650 5,2392 5,1863 5,1405 5,1206 5,1316 5,1639 5,1973 5,2123 5,2047 5,1920 5,2003 5,2411 5,3001 5,3452 5,3462 5,2907 5,1875 5,0585 4,9294 4,8227 4,7528 4,7195 4,7100 4,7102 4,7126 4,7115 4,6943 4,6462 4,5601 4,4422 4,3112 4,1910 4,0998 4,0456 4,0280 4,0424 4,0799 4,1290 4,1765 4,2070 4,2025 4,1458 4,0268 3,8518 3,6454 3,4393 3,2562 3,1008 2,9616 2,8171 2,6445 2,4339 2,1940 1,9463 1,7140 1,5154 1,3572 1,2320 1,1211 1,0051 0,8756 0,7443 0,6394 0,5881 0,6040 0,6838 0,8088 0,9507 1,0858 1,2080 1,3253 1,4445 1,5572 1,6349 1,6405 1,5478 1,3571 1,0959 0,8086 0,5409 0,3310 0,2044 0,1652 0,1975 0,2799 0,3997 0,5526 0,7337 0,9376 1,1618 1,4029 1,6535 1,9050 2,1485 2,3714 2,5607 2,7111 2,8240 2,9016 2,9440 2,9488 2,9156 2,8523 2,7780 2,7195 2,7003 2,7272 2,7818 2,8218 2,7956 2,6658 2,4262 2,1019 1,7384 1,3854 1,0815 0,8449 0,6751 0,5602 0,4849 0,4333 0,3887 0,3338 0,2499 0,1207 -0,0611 -0,2918 -0,5580 -0,8380 -1,1059 -1,3368 -1,5112 -1,6200 -1,6680 -1,6694 -1,6425 -1,6061 -1,5763 -1,5616 -1,5608 -1,5670 -1,5769 -1,5960 -1,6356 -1,7033 -1,7960 -1,9044 -2,0221 -2,1490 -2,2849 -2,4199 -2,5317 -2,5929 -2,5885 -2,5277 -2,4348 -2,3281 -2,2114 -2,0810 -1,9315 -1,7528 -1,5304 -1,2549 -0,9296 -0,5650 -0,1727 0,2297 0,6115 0,9330 1,1655 1,3099 1,3977 1,4748 1,5806 1,7344 1,9369 2,1784 2,4458 2,7230 2,9874 3,2104 3,3657 3,4376 3,4239 3,3341 3,1833 2,9861 2,7559 2,5057 2,2467 1,9897 1,7486 1,5375 1,3593 1,1974 1,0227 0,8105 0,5502 0,2475 -0,0779 -0,3974 -0,6791 -0,8953 -1,0325 -1,0966 -1,1063 -1,0836 -1,0450 -0,9991 -0,9459 -0,8783 -0,7856 -0,6591 -0,4952 -0,2960 -0,0718 0,1573 0,3711 0,5644 0,7488 0,9401 1,1481 1,3750 1,6185 1,8734 2,1315 2,3814 2,6142 2,8297 3,0340 3,2309 3,4122 3,5552 3,6338 3,6338 3,5562 3,4061 3,1841 2,8904 2,5342 2,1337 1,7115 1,2903 0,8899 0,5186 0,1670 -0,1821 -0,5403 -0,9079 -1,2754 -1,6267 -1,9442 -2,2138 -2,4261 -2,5755
F7    -2,7575 -2,7366 -2,7471 -2,7669 -2,7724 -2,7430 -2,6645 -2,5282 -2,3276 -2,0670 -1,7738 -1,4894 -1,2423 -1,0353 -0,8567 -0,6996 -0,5669 -0,4597 -0,3618 -0,2417 -0,0765 0,1355 0,3851 0,6623 0,9525 1,2314 1,4706 1,6493 1,7631 1,8235 1,8504 1,8595 1,8557 1,8389 1,8121 1,7802 1,7457 1,7065 1,6563 1,5851 1,4831 1,3439 1,1676 0,9642 0,7519 0,5519 0,3805 0,2466 0,1549 0,1062 0,0893 0,0759 0,0277 -0,0867 -0,2748 -0,5168 -0,7797 -1,0318 -1,2435 -1,3896 -1,4635 -1,4835 -1,4796 -1,4780 -1,4993 -1,5551 -1,6363 -1,7111 -1,7412 -1,7072 -1,6191 -1,5049 -1,3982 -1,3335 -1,3396 -1,4243 -1,5654 -1,7199 -1,8419 -1,8947 -1,8547 -1,7139 -1,4787 -1,1688 -0,8161 -0,4605 -0,1397 0,1238 0,3288 0,4899 0,6257 0,7493 0,8671 0,9822 1,1011 1,2337 1,3875 1,5626 1,7479 1,9201 2,0529 2,1319 2,1577 2,1385 2,0848 2,0095 1,9254 1,8403 1,7580 1,6784 1,5937 1,4895 1,3498 1,1641 0,9368 0,6927 0,4646 0,2768 0,1357 0,0345 -0,0413 -0,1148 -0,2141 -0,3523 -0,5130 -0,6613 -0,7672 -0,8189 -0,8176 -0,7621 -0,6432 -0,4564 -0,2156 0,0503 0,3154 0,5686 0,8134 1,0604 1,3171 1,5805 1,8402 2,0895 2,3310 2,5719 2,8160 3,0588 3,2897 3,4984 3,6804 3,8352 3,9620 4,0520 4,0877 4,0524 3,9410 3,7641 3,5445 3,3115 3,0910 2,8949 2,7204 2,5618 2,4235 2,3224 2,2753 2,2862 2,3435 2,4286 2,5228 2,6150 2,7064 2,8049 2,9165 3,0456 3,1997 3,3868 3,6116 3,8743 4,1688 4,4794 4,7827 5,0597 5,3058 5,5260 5,7203 5,8768 5,9772 6,0098 5,9785 5,9015 5,8027 5,7002 5,5979 5,4896 5,3734 5,2610 5,1729 5,1261 5,1260 5,1623 5,2105 5,2378 5,2110 5,1069 4,9222 4,6783 4,4102 4,1476 3,9040 3,6781 3,4586 3,2300 2,9768 2,6893 2,3706 2,0339 1,6925 1,3542 1,0173 0,6692 0,2909 -0,1276 -0,5738 -1,0159 -1,4227 -1,7749 -2,0592 -2,2625 -2,3799 -2,4222 -2,4126 -2,3734 -2,3186 -2,2521 -2,1701 -2,0656 -1,9348 -1,7801 -1,6049 -1,4116 -1,2048 -0,9916 -0,7798 -0,5777 -0,3934 -0,2270 -0,0673 0,0956 0,2595 0,4159 0,5607 0,6941 0,8134 0,9146 0,9998 1,0740 1,1422 1,2153 1,3107 1,4404 1,6047 1,7928 1,9875 2,1683 2,3157 2,4172 2,4720 2,4863 2,4650 2,4110 2,3289 2,2268 2,1156 2,0033 1,8918 1,7782 1,6607 1,5381 1,4078 1,2692 1,1255 0,9734 0,7976 0,5860 0,3451 0,0934 -0,1503 -0,3672 -0,5385 -0,6531 -0,7140 -0,7371 -0,7437 -0,7545 -0,7841 -0,8443 -0,9461 -1,0938 -1,2754 -1,4611 -1,6144 -1,7070 -1,7297 -1,6930 -1,6219 -1,5460 -1,4891 -1,4609 -1,4588 -1,4739 -1,4935 -1,5012 -1,4809 -1,4252 -1,3375 -1,2265 -1,0996 -0,9641 -0,8296 -0,7076 -0,6055 -0,5215 -0,4499 -0,3911 -0,3546 -0,3522 -0,3921 -0,4766 -0,5977 -0,7360 -0,8681 -0,9769 -1,0513 -1,0784 -1,0401 -0,9154 -0,6883 -0,3570 0,0593 0,5193 0,9657 1,3394 1,5987 1,7353 1,7783 1,7786 1,7801 1,8024 1,8431 1,8909 1,9339 1,9631 1,9759 1,9816 2,0033 2,0662 2,1795 2,3294 2,4851 2,6154 2,7034 2,7511 2,7717 2,7801 2,7891 2,8092 2,8445 2,8873 2,9216 2,9328 2,9129 2,8584 2,7697 2,6511 2,5089 2,3503 2,1822 2,0129 1,8563 1,7306 1,6505 1,6194 1,6267 1,6545 1,6827 1,6921 1,6676 1,6021 1,5044 1,3992 1,3145 1,2639 1,2401 1,2186 1,1668 1,0581 0,8855 0,6626 0,4128 0,1584 -0,0830 -0,3002 -0,4915 -0,6611 -0,8118 -0,9401 -1,0363 -1,0911 -1,1023 -1,0747 -1,0143 -0,9268 -0,8192 -0,6968 -0,5601 -0,4089 -0,2488 -0,0933 0,0347 0,1079 0,1052 0,0232 -0,1213 -0,2975 -0,4722 -0,6184 -0,7202 -0,7771 -0,8015 -0,8072 -0,7996 -0,7788 -0,7458 -0,7018 -0,6442 -0,5704 -0,4791 -0,3674 -0,2355 -0,0946 0,0375 0,1483 0,2351 0,3037 0,3621 0,4132 0,4533 0,4802 0,4998 0,5244 0,5660 0,6264 0,6910 0,7326 0,7239 0,6510 0,5192 0,3480 0,1638 -0,0066 -0,1426 -0,2345 -0,2818 -0,2879 -0,2594 -0,2077 -0,1479 -0,0973 -0,0764 -0,1036 -0,1875 -0,3237 -0,4991 -0,6943 -0,8866 -1,0573 -1,1969 -1,3050 -1,3867 -1,4484 -1,4970 -1,5390 -1,5788 -1,6180 -1,6557 -1,6935 -1,7398 -1,8102 -1,9193 -2,0707 -2,2530 -2,4477 -2,6384 -2,8148 -2,9709 -3,1017 -3,1993 -3,2535 -3,2617 -3,2362 -3,1957 -3,1464 -3,0769 -2,9729 -2,8300 -2,6510 -2,4396 -2,1995 -1,9331 -1,6378 -1,3099 -0,9563 -0,6013 -0,2797 -0,0188 0,1769 0,3243 0,4510 0,5843 0,7437 0,9351 1,1506 1,3728 1,5823 1,7636 1,9071 2,0075 2,0603 2,0612 2,0092 1,9088 1,7684 1,5952 1,3936 1,1660 0,9177 0,6621 0,4179 0,1965 -0,0098 -0,2213 -0,4563 -0,7234 -1,0217 -1,3406 -1,6595 -1,9493 -2,1810 -2,3424 -2,4443 -2,5105 -2,5608 -2,6036 -2,6372 -2,6558 -2,6526 -2,6229 -2,5658 -2,4831 -2,3764 -2,2511 -2,1226 -2,0097 -1,9178 -1,8334 -1,7351 -1,6056 -1,4368 -1,2292 -0,9907 -0,7355 -0,4823 -0,2472 -0,0377 0,1459 0,3037 0,4299 0,5131 0,5454 0,5318 0,4876 0,4261 0,3501 0,2557 0,1382 -0,0076 -0,1867 -0,4013 -0,6519 -0,9423 -1,2778 -1,6563 -2,0630 -2,4741 -2,8631 -3,2065 -3,4906 -3,7143 -3,8836 -4,0040
