Fp1   -0,5746 -0,5973 -0,6381 -0,7144 -0,8018 -0,8551 -0,8432 -0,7615 -0,6212 -0,4323 -0,1961 0,0859 0,3986 0,7129 1,0006 1,2471 1,4505 1,6082 1,7108 1,7509 1,7337 1,6726 1,5756 1,4374 1,2449 0,9899 0,6749 0,3133 -0,0749 -0,4695 -0,8539 -1,2119 -1,5251 -1,7750 -1,9441 -2,0103 -1,9496 -1,7569 -1,4586 -1,0986 -0,7183 -0,3487 -0,0120 0,2765 0,5083 0,6810 0,7922 0,8368 0,8123 0,7282 0,6080 0,4841 0,3932 0,3650 0,4095 0,5141 0,6562 0,8154 0,9833 1,1651 1,3733 1,6117 1,8626 2,0843 2,2318 2,2814 2,2335 2,0992 1,8975 1,6643 1,4539 1,3230 1,3094 1,4161 1,6126 1,8514 2,0853 2,2800 2,4175 2,4925 2,5036 2,4492 2,3289 2,1436 1,8942 1,5846 1,2249 0,8275 0,4047 -0,0272 -0,4480 -0,8388 -1,1841 -1,4720 -1,6967 -1,8554 -1,9490 -1,9840 -1,9740 -1,9346 -1,8804 -1,8244 -1,7753 -1,7271 -1,6519 -1,5053 -1,2448 -0,8521 -0,3403 0,2554 0,8893 1,5170 2,1057 2,6390 3,1155 3,5423 3,9263 4,2705 4,5758 4,8434 5,0706 5,2464 5,3582 5,4040 5,3922 5,3294 5,2155 5,0537 4,8544 4,6235 4,3558 4,0480 3,7107 3,3648 3,0333 2,7347 2,4739 2,2387 2,0025 1,7326 1,3970 0,9740 0,4603 -0,1246 -0,7348 -1,3046 -1,7719 -2,1007 -2,2908 -2,3710 -2,3818 -2,3580 -2,3218 -2,2855 -2,2587 -2,2611 -2,3231 -2,4654 -2,6826 -2,9493 -3,2348 -3,5089 -3,7429 -3,9121 -3,9981 -3,9914 -3,8975 -3,7377 -3,5391 -3,3253 -3,1157 -2,9259 -2,7667 -2,6517 -2,6012 -2,6251 -2,7056 -2,8016 -2,8714 -2,8887 -2,8439 -2,7357 -2,5654 -2,3399 -2,0792 -1,8154 -1,5813 -1,3989 -1,2772 -1,2207 -1,2375 -1,3347 -1,5101 -1,7523 -2,0484 -2,3903 -2,7678 -3,1579 -3,5293 -3,8542 -4,1138 -4,2980 -4,4063 -4,4472 -4,4293 -4,3596 -4,2576 -4,1614 -4,1072 -4,1042 -4,1384 -4,1950 -4,2675 -4,3502 -4,4334 -4,5002 -4,5267 -4,4905 -4,3830 -4,2147 -4,0101 -3,8016 -3,6170 -3,4655 -3,3358 -3,2096 -3,0754 -2,9369 -2,8118 -2,7186 -2,6678 -2,6654 -2,7151 -2,8167 -2,9679 -3,1688 -3,4173 -3,6997 -3,9895 -4,2576 -4,4788 -4,6284 -4,6871 -4,6585 -4,5790 -4,4992 -4,4549 -4,4502 -4,4661 -4,4790 -4,4694 -4,4198 -4,3166 -4,1540 -3,9316 -3,6595 -3,3726 -3,1301 -2,9914 -2,9895 -3,1213 -3,3550 -3,6473 -3,9576 -4,2482 -4,4824 -4,6293 -4,6715 -4,6105 -4,4708 -4,2949 -4,1269 -3,9977 -3,9167 -3,8723 -3,8410 -3,8082 -3,7785 -3,7684 -3,7911 -3,8477 -3,9269 -4,0093 -4,0764 -4,1224 -4,1559 -4,1902 -4,2341 -4,2881 -4,3444 -4,3942 -4,4359 -4,4708 -4,4940 -4,4914 -4,4437 -4,3363 -4,1699 -3,9603 -3,7256 -3,4820 -3,2490 -3,0482 -2,8901 -2,7674 -2,6662 -2,5811 -2,5175 -2,4854 -2,4919 -2,5385 -2,6177 -2,7098 -2,7832 -2,8070 -2,7685 -2,6809 -2,5755 -2,4823 -2,4127 -2,3575 -2,2985 -2,2167 -2,1001 -1,9502 -1,7785 -1,5972 -1,4168 -1,2485 -1,1012 -0,9754 -0,8627 -0,7520 -0,6384 -0,5302 -0,4517 -0,4327 -0,4909 -0,6209 -0,7955 -0,9770 -1,1312 -1,2333 -1,2715 -1,2578 -1,2301 -1,2309 -1,2829 -1,3786 -1,4920 -1,5991 -1,6894 -1,7592 -1,8015 -1,8070 -1,7731 -1,7078 -1,6259 -1,5398 -1,4549 -1,3684 -1,2761 -1,1802 -1,0868 -0,9972 -0,9115 -0,8391 -0,8015 -0,8251 -0,9210 -1,0677 -1,2183 -1,3304 -1,3882 -1,3941 -1,3468 -1,2361 -1,0584 -0,8297 -0,5837 -0,3619 -0,1947 -0,0871 -0,0242 0,0102 0,0243 0,0154 -0,0328 -0,1409 -0,3133 -0,5309 -0,7617 -0,9778 -1,1677 -1,3348 -1,4795 -1,5938 -1,6722 -1,7197 -1,7462 -1,7561 -1,7430 -1,6956 -1,6043 -1,4628 -1,2709 -1,0343 -0,7676 -0,4985 -0,2613 -0,0771 0,0562 0,1547 0,2320 0,2887 0,3185 0,3245 0,3202 0,3082 0,2694 0,1756 0,0130 -0,2031 -0,4307 -0,6215 -0,7427 -0,7858 -0,7655 -0,7145 -0,6724 -0,6692 -0,7149 -0,7991 -0,8990 -0,9867 -1,0357 -1,0306 -0,9792 -0,9105 -0,8554 -0,8286 -0,8271 -0,8419 -0,8664 -0,8914 -0,9022 -0,8852 -0,8354 -0,7553 -0,6480 -0,5139 -0,3551 -0,1785 0,0052 0,1863 0,3569 0,5073 0,6211 0,6726 0,6326 0,4875 0,2490 -0,0597 -0,4220 -0,8251 -1,2461 -1,6531 -2,0231 -2,3505 -2,6403 -2,9039 -3,1569 -3,4121 -3,6706 -3,9145 -4,1067 -4,2049 -4,1831 -4,0431 -3,8072 -3,5015 -3,1467 -2,7582 -2,3502 -1,9455 -1,5774 -1,2735 -1,0356 -0,8430 -0,6737 -0,5170 -0,3727 -0,2479 -0,1562 -0,1123 -0,1199 -0,1596 -0,1910 -0,1742 -0,0944 0,0324 0,1733 0,3025 0,4189 0,5482 0,7217 0,9531 1,2322 1,5348 1,8340 2,1011 2,3008 2,4010 2,3935 2,2995 2,1516 1,9713 1,7614 1,5123 1,2129 0,8611 0,4697 0,0690 -0,2982 -0,5942 -0,8045 -0,9415 -1,0344 -1,1172 -1,2190 -1,3537 -1,5137 -1,6764 -1,8202 -1,9361 -2,0277 -2,1058 -2,1820 -2,2681 -2,3779 -2,5182 -2,6714 -2,7947 -2,8443 -2,7976 -2,6600 -2,4653 -2,2662 -2,1090 -2,0086 -1,9471 -1,8975 -1,8475 -1,8021 -1,7715 -1,7617 -1,7703 -1,7908 -1,8216 -1,8706 -1,9558 -2,1015 -2,3258 -2,6279 -2,9866 -3,3667 -3,7273 -4,0334 -4,2643 -4,4168 -4,4994 -4,5275 -4,5221 -4,5054 -4,4954 -4,5094 -4,5720 -4,7058 -4,9101 -5,1535 -5,3902 -5,5840 -5,7201 -5,7981 -5,8187 -5,7814 -5,6928 -5,5701 -5,4261 -5,2566 -5,0556 -4,8428 -4,6635 -4,5599 -4,5479 -4,6173 -4,7501 -4,9309 -5,1425 -5,3571
Fz    0,2008 0,1697 0,1414 0,0975 0,0451 0,0067 0,0013 0,0365 0,1121 0,2252 0,3708 0,5395 0,7134 0,8708 0,9971 1,0924 1,1674 1,2274 1,2636 1,2609 1,2113 1,1169 0,9825 0,8093 0,5966 0,3466 0,0669 -0,2291 -0,5250 -0,8048 -1,0560 -1,2693 -1,4374 -1,5561 -1,6253 -1,6445 -1,6088 -1,5172 -1,3782 -1,2019 -0,9938 -0,7578 -0,5017 -0,2382 0,0176 0,2506 0,4456 0,5886 0,6724 0,7004 0,6854 0,6471 0,6111 0,6011 0,6253 0,6727 0,7224 0,7595 0,7843 0,8127 0,8662 0,9594 1,0878 1,2264 1,3409 1,4067 1,4148 1,3648 1,2633 1,1299 0,9980 0,9052 0,8784 0,9232 1,0242 1,1545 1,2892 1,4116 1,5105 1,5760 1,5967 1,5618 1,4663 1,3122 1,1057 0,8548 0,5683 0,2535 -0,0865 -0,4512 -0,8377 -1,2383 -1,6374 -2,0139 -2,3456 -2,6138 -2,8080 -2,9306 -2,9941 -3,0109 -2,9904 -2,9440 -2,8853 -2,8177 -2,7261 -2,5802 -2,3478 -2,0133 -1,5865 -1,0962 -0,5800 -0,0735 0,3979 0,8224 1,1984 1,5300 1,8228 2,0802 2,3030 2,4925 2,6517 2,7825 2,8862 2,9671 3,0316 3,0827 3,1180 3,1346 3,1323 3,1093 3,0599 2,9816 2,8810 2,7717 2,6674 2,5773 2,5014 2,4285 2,3379 2,2054 2,0087 1,7334 1,3809 0,9729 0,5540 0,1834 -0,0871 -0,2338 -0,2672 -0,2234 -0,1463 -0,0730 -0,0260 -0,0101 -0,0162 -0,0363 -0,0744 -0,1400 -0,2356 -0,3552 -0,4869 -0,6126 -0,7102 -0,7592 -0,7470 -0,6707 -0,5394 -0,3745 -0,2011 -0,0397 0,0956 0,1964 0,2600 0,2844 0,2645 0,1999 0,1047 0,0039 -0,0801 -0,1378 -0,1691 -0,1764 -0,1598 -0,1180 -0,0540 0,0227 0,0991 0,1648 0,2139 0,2403 0,2335 0,1802 0,0721 -0,0901 -0,3006 -0,5513 -0,8274 -1,1038 -1,3538 -1,5607 -1,7200 -1,8340 -1,9070 -1,9423 -1,9372 -1,8857 -1,7930 -1,6824 -1,5811 -1,5011 -1,4395 -1,3922 -1,3597 -1,3423 -1,3350 -1,3250 -1,2937 -1,2233 -1,1070 -0,9512 -0,7745 -0,6028 -0,4611 -0,3612 -0,2989 -0,2622 -0,2412 -0,2332 -0,2407 -0,2639 -0,2981 -0,3406 -0,3925 -0,4562 -0,5381 -0,6510 -0,8058 -0,9971 -1,2020 -1,3934 -1,5523 -1,6689 -1,7423 -1,7834 -1,8166 -1,8686 -1,9522 -2,0594 -2,1724 -2,2766 -2,3639 -2,4271 -2,4578 -2,4482 -2,3912 -2,2852 -2,1468 -2,0110 -1,9164 -1,8880 -1,9314 -2,0360 -2,1833 -2,3530 -2,5205 -2,6544 -2,7242 -2,7100 -2,6087 -2,4367 -2,2265 -2,0175 -1,8445 -1,7265 -1,6601 -1,6254 -1,6030 -1,5855 -1,5746 -1,5716 -1,5721 -1,5676 -1,5499 -1,5168 -1,4765 -1,4443 -1,4340 -1,4500 -1,4845 -1,5189 -1,5361 -1,5298 -1,5020 -1,4540 -1,3855 -1,2966 -1,1904 -1,0777 -0,9726 -0,8801 -0,7953 -0,7143 -0,6399 -0,5735 -0,5090 -0,4391 -0,3636 -0,2892 -0,2244 -0,1764 -0,1500 -0,1466 -0,1608 -0,1809 -0,1939 -0,1914 -0,1736 -0,1483 -0,1236 -0,0985 -0,0626 -0,0037 0,0876 0,2141 0,3660 0,5244 0,6715 0,7961 0,8907 0,9516 0,9839 1,0013 1,0189 1,0459 1,0813 1,1146 1,1313 1,1217 1,0869 1,0386 0,9930 0,9621 0,9516 0,9601 0,9751 0,9730 0,9336 0,8539 0,7512 0,6538 0,5855 0,5550 0,5612 0,6048 0,6901 0,8194 0,9866 1,1768 1,3718 1,5571 1,7242 1,8681 1,9845 2,0744 2,1494 2,2246 2,3052 2,3784 2,4161 2,3923 2,3048 2,1775 2,0397 1,9101 1,7991 1,7212 1,6937 1,7258 1,8109 1,9295 2,0559 2,1683 2,2585 2,3293 2,3832 2,4175 2,4253 2,3957 2,3174 2,1893 2,0232 1,8355 1,6393 1,4399 1,2420 1,0617 0,9248 0,8485 0,8299 0,8517 0,8960 0,9542 1,0259 1,1149 1,2260 1,3622 1,5222 1,6993 1,8779 2,0356 2,1570 2,2421 2,3029 2,3536 2,4007 2,4432 2,4831 2,5266 2,5706 2,5946 2,5712 2,4858 2,3516 2,2062 2,0905 2,0281 2,0202 2,0503 2,0889 2,1041 2,0747 1,9963 1,8768 1,7308 1,5779 1,4425 1,3440 1,2838 1,2422 1,1925 1,1190 1,0230 0,9146 0,8065 0,7159 0,6642 0,6673 0,7274 0,8344 0,9753 1,1421 1,3292 1,5295 1,7347 1,9382 2,1351 2,3194 2,4824 2,6109 2,6873 2,6974 2,6389 2,5186 2,3454 2,1294 1,8861 1,6346 1,3875 1,1509 0,9280 0,7165 0,5044 0,2751 0,0191 -0,2561 -0,5235 -0,7463 -0,8975 -0,9722 -0,9820 -0,9403 -0,8545 -0,7258 -0,5548 -0,3509 -0,1374 0,0608 0,2344 0,3913 0,5421 0,6898 0,8271 0,9381 1,0036 1,0109 0,9642 0,8880 0,8180 0,7852 0,8031 0,8661 0,9569 1,0601 1,1746 1,3165 1,5087 1,7657 2,0853 2,4500 2,8342 3,2061 3,5280 3,7654 3,9027 3,9498 3,9312 3,8686 3,7692 3,6262 3,4292 3,1779 2,8866 2,5812 2,2906 2,0379 1,8308 1,6607 1,5092 1,3556 1,1849 0,9945 0,7978 0,6183 0,4776 0,3852 0,3380 0,3255 0,3343 0,3497 0,3524 0,3238 0,2624 0,1921 0,1497 0,1631 0,2392 0,3611 0,4952 0,6072 0,6768 0,7020 0,6898 0,6479 0,5847 0,5110 0,4394 0,3845 0,3599 0,3680 0,3948 0,4133 0,3936 0,3146 0,1718 -0,0236 -0,2520 -0,4914 -0,7209 -0,9226 -1,0840 -1,1995 -1,2743 -1,3269 -1,3838 -1,4658 -1,5856 -1,7519 -1,9683 -2,2246 -2,4951 -2,7493 -2,9656 -3,1360 -3,2581 -3,3281 -3,3427 -3,3040 -3,2218 -3,1056 -2,9573 -2,7816 -2,6016 -2,4557 -2,3739 -2,3624 -2,4087 -2,5005 -2,6338 -2,8021 -2,9868
F3    0,1239 -0,0443 -0,2068 -0,3597 -0,4751 -0,5203 -0,4845 -0,3839 -0,2459 -0,0887 0,0850 0,2778 0,4855 0,6954 0,8933 1,0706 1,2247 1,3506 1,4368 1,4742 1,4647 1,4125 1,3112 1,1425 0,8907 0,5573 0,1651 -0,2490 -0,6459 -0,9945 -1,2772 -1,4914 -1,6451 -1,7481 -1,8037 -1,8022 -1,7257 -1,5665 -1,3367 -1,0578 -0,7493 -0,4273 -0,1080 0,1903 0,4533 0,6772 0,8616 1,0008 1,0847 1,1074 1,0713 0,9854 0,8659 0,7342 0,6079 0,4970 0,4117 0,3659 0,3725 0,4403 0,5690 0,7434 0,9301 1,0838 1,1670 1,1714 1,1147 1,0175 0,8909 0,7477 0,6122 0,5150 0,4793 0,5116 0,6015 0,7250 0,8507 0,9479 0,9961 0,9882 0,9259 0,8141 0,6585 0,4626 0,2255 -0,0531 -0,3682 -0,7106 -1,0704 -1,4323 -1,7756 -2,0822 -2,3431 -2,5573 -2,7283 -2,8602 -2,9591 -3,0363 -3,1039 -3,1683 -3,2302 -3,2911 -3,3516 -3,4019 -3,4152 -3,3533 -3,1789 -2,8736 -2,4445 -1,9186 -1,3339 -0,7318 -0,1514 0,3756 0,8313 1,2149 1,5344 1,7960 2,0031 2,1596 2,2710 2,3408 2,3713 2,3687 2,3435 2,3025 2,2477 2,1842 2,1237 2,0705 2,0122 1,9343 1,8380 1,7407 1,6629 1,6158 1,5947 1,5799 1,5429 1,4522 1,2792 1,0072 0,6393 0,1995 -0,2694 -0,7119 -1,0748 -1,3234 -1,4524 -1,4849 -1,4589 -1,4086 -1,3567 -1,3157 -1,2914 -1,2918 -1,3320 -1,4221 -1,5567 -1,7196 -1,8913 -2,0483 -2,1630 -2,2078 -2,1608 -2,0147 -1,7835 -1,5009 -1,2060 -0,9333 -0,7103 -0,5542 -0,4695 -0,4560 -0,5167 -0,6468 -0,8206 -0,9966 -1,1409 -1,2405 -1,2989 -1,3208 -1,3012 -1,2295 -1,1030 -0,9334 -0,7413 -0,5464 -0,3638 -0,2116 -0,1150 -0,0968 -0,1646 -0,3085 -0,5130 -0,7666 -1,0585 -1,3689 -1,6733 -1,9544 -2,2032 -2,4089 -2,5567 -2,6350 -2,6401 -2,5797 -2,4769 -2,3688 -2,2891 -2,2498 -2,2427 -2,2581 -2,2950 -2,3536 -2,4249 -2,4871 -2,5119 -2,4786 -2,3890 -2,2643 -2,1346 -2,0307 -1,9751 -1,9702 -1,9962 -2,0229 -2,0230 -1,9858 -1,9221 -1,8551 -1,8067 -1,7916 -1,8205 -1,9007 -2,0372 -2,2322 -2,4785 -2,7551 -3,0336 -3,2905 -3,5108 -3,6820 -3,7977 -3,8706 -3,9321 -4,0093 -4,1034 -4,1929 -4,2539 -4,2743 -4,2553 -4,2032 -4,1266 -4,0314 -3,9144 -3,7691 -3,6066 -3,4627 -3,3802 -3,3866 -3,4830 -3,6450 -3,8371 -4,0252 -4,1801 -4,2780 -4,3016 -4,2403 -4,0956 -3,8898 -3,6630 -3,4575 -3,3031 -3,2085 -3,1582 -3,1225 -3,0792 -3,0249 -2,9685 -2,9203 -2,8862 -2,8645 -2,8443 -2,8106 -2,7567 -2,6902 -2,6254 -2,5726 -2,5354 -2,5159 -2,5210 -2,5633 -2,6511 -2,7761 -2,9113 -3,0187 -3,0615 -3,0197 -2,8978 -2,7159 -2,5017 -2,2897 -2,1149 -1,9944 -1,9188 -1,8635 -1,8091 -1,7506 -1,6973 -1,6655 -1,6686 -1,7113 -1,7836 -1,8587 -1,9044 -1,9023 -1,8577 -1,7928 -1,7317 -1,6861 -1,6522 -1,6169 -1,5625 -1,4751 -1,3550 -1,2149 -1,0710 -0,9375 -0,8245 -0,7315 -0,6469 -0,5564 -0,4521 -0,3364 -0,2210 -0,1244 -0,0656 -0,0527 -0,0766 -0,1160 -0,1515 -0,1741 -0,1827 -0,1803 -0,1778 -0,1958 -0,2546 -0,3620 -0,5049 -0,6501 -0,7613 -0,8192 -0,8234 -0,7819 -0,7032 -0,5975 -0,4767 -0,3498 -0,2202 -0,0904 0,0352 0,1484 0,2370 0,2913 0,3169 0,3313 0,3447 0,3482 0,3174 0,2366 0,1198 0,0047 -0,0764 -0,1141 -0,1118 -0,0663 0,0370 0,2082 0,4355 0,6804 0,8927 1,0363 1,1071 1,1247 1,1120 1,0813 1,0286 0,9353 0,7830 0,5712 0,3193 0,0559 -0,1941 -0,4188 -0,6174 -0,7876 -0,9211 -1,0117 -1,0605 -1,0714 -1,0443 -0,9750 -0,8616 -0,7080 -0,5235 -0,3187 -0,1013 0,1238 0,3455 0,5448 0,7075 0,8310 0,9169 0,9647 0,9721 0,9428 0,8962 0,8603 0,8494 0,8531 0,8451 0,8018 0,7199 0,6202 0,5334 0,4840 0,4807 0,5135 0,5566 0,5798 0,5614 0,4960 0,3972 0,2908 0,2041 0,1574 0,1565 0,1851 0,2116 0,2075 0,1645 0,0968 0,0256 -0,0327 -0,0647 -0,0572 -0,0010 0,1045 0,2516 0,4279 0,6200 0,8154 1,0036 1,1803 1,3469 1,5022 1,6364 1,7325 1,7688 1,7248 1,5945 1,3924 1,1397 0,8486 0,5257 0,1829 -0,1636 -0,5032 -0,8308 -1,1389 -1,4194 -1,6729 -1,9084 -2,1322 -2,3356 -2,4935 -2,5763 -2,5680 -2,4744 -2,3165 -2,1173 -1,8932 -1,6534 -1,4039 -1,1529 -0,9116 -0,6878 -0,4796 -0,2805 -0,0892 0,0882 0,2426 0,3623 0,4312 0,4346 0,3730 0,2713 0,1723 0,1170 0,1281 0,2044 0,3271 0,4768 0,6503 0,8628 1,1325 1,4650 1,8489 2,2614 2,6767 3,0672 3,3970 3,6272 3,7380 3,7416 3,6656 3,5324 3,3526 3,1303 2,8678 2,5674 2,2364 1,8958 1,5806 1,3221 1,1271 0,9783 0,8502 0,7214 0,5797 0,4243 0,2663 0,1215 0,0014 -0,0891 -0,1474 -0,1729 -0,1703 -0,1566 -0,1604 -0,2082 -0,3036 -0,4199 -0,5134 -0,5444 -0,4942 -0,3767 -0,2341 -0,1130 -0,0362 0,0029 0,0197 0,0171 -0,0121 -0,0727 -0,1566 -0,2393 -0,2890 -0,2837 -0,2232 -0,1322 -0,0569 -0,0494 -0,1469 -0,3575 -0,6546 -0,9856 -1,2953 -1,5482 -1,7340 -1,8602 -1,9442 -2,0103 -2,0820 -2,1718 -2,2801 -2,4041 -2,5407 -2,6803 -2,8068 -2,9064 -2,9755 -3,0201 -3,0471 -3,0561 -3,0398 -2,9943 -2,9246 -2,8365 -2,7256 -2,5868 -2,4359 -2,3094 -2,2391 -2,2331 -2,2817 -2,3749 -2,5098 -2,6832 -2,8803
F7    -0,6475 -0,6667 -0,7001 -0,7706 -0,8637 -0,9413 -0,9702 -0,9372 -0,8455 -0,7029 -0,5159 -0,2909 -0,0411 0,2129 0,4535 0,6796 0,9005 1,1159 1,3051 1,4415 1,5137 1,5268 1,4857 1,3848 1,2145 0,9740 0,6732 0,3297 -0,0354 -0,3984 -0,7360 -1,0302 -1,2682 -1,4412 -1,5434 -1,5637 -1,4843 -1,3021 -1,0443 -0,7507 -0,4479 -0,1454 0,1534 0,4395 0,6998 0,9224 1,0943 1,1977 1,2166 1,1496 1,0142 0,8407 0,6665 0,5267 0,4434 0,4214 0,4535 0,5256 0,6242 0,7482 0,9097 1,1160 1,3490 1,5631 1,7097 1,7650 1,7347 1,6374 1,4931 1,3289 1,1827 1,0944 1,0899 1,1724 1,3252 1,5192 1,7201 1,8951 2,0212 2,0943 2,1247 2,1244 2,0959 2,0300 1,9143 1,7458 1,5384 1,3161 1,1000 0,9058 0,7461 0,6266 0,5438 0,4880 0,4484 0,4169 0,3859 0,3454 0,2843 0,1969 0,0857 -0,0443 -0,1897 -0,3414 -0,4735 -0,5438 -0,5096 -0,3471 -0,0610 0,3187 0,7449 1,1679 1,5550 1,9021 2,2246 2,5340 2,8263 3,0899 3,3208 3,5251 3,7096 3,8717 4,0008 4,0867 4,1275 4,1321 4,1175 4,1068 4,1181 4,1486 4,1738 4,1681 4,1210 4,0386 3,9376 3,8339 3,7318 3,6215 3,4852 3,3018 3,0502 2,7162 2,3016 1,8304 1,3525 0,9342 0,6323 0,4685 0,4253 0,4614 0,5333 0,6109 0,6815 0,7464 0,8078 0,8495 0,8352 0,7373 0,5605 0,3355 0,0990 -0,1186 -0,2979 -0,4263 -0,4884 -0,4693 -0,3691 -0,2124 -0,0348 0,1320 0,2637 0,3447 0,3712 0,3428 0,2540 0,1044 -0,0861 -0,2811 -0,4467 -0,5652 -0,6302 -0,6358 -0,5731 -0,4380 -0,2437 -0,0207 0,1956 0,3793 0,5210 0,6192 0,6643 0,6380 0,5262 0,3280 0,0513 -0,2947 -0,6935 -1,1097 -1,5001 -1,8389 -2,1236 -2,3596 -2,5463 -2,6722 -2,7197 -2,6818 -2,5812 -2,4689 -2,3909 -2,3566 -2,3473 -2,3500 -2,3693 -2,4131 -2,4777 -2,5461 -2,5942 -2,6014 -2,5617 -2,4872 -2,4054 -2,3509 -2,3479 -2,3901 -2,4446 -2,4767 -2,4670 -2,4154 -2,3382 -2,2605 -2,2065 -2,1944 -2,2334 -2,3236 -2,4604 -2,6383 -2,8473 -3,0673 -3,2706 -3,4326 -3,5376 -3,5754 -3,5443 -3,4647 -3,3789 -3,3281 -3,3278 -3,3667 -3,4235 -3,4795 -3,5183 -3,5213 -3,4719 -3,3609 -3,1865 -2,9586 -2,7084 -2,4832 -2,3266 -2,2641 -2,2998 -2,4226 -2,6143 -2,8528 -3,1057 -3,3322 -3,4956 -3,5720 -3,5548 -3,4590 -3,3181 -3,1746 -3,0693 -3,0270 -3,0426 -3,0881 -3,1379 -3,1842 -3,2313 -3,2874 -3,3626 -3,4635 -3,5831 -3,7003 -3,7963 -3,8665 -3,9169 -3,9551 -3,9858 -4,0082 -4,0175 -4,0115 -3,9915 -3,9576 -3,9072 -3,8358 -3,7394 -3,6183 -3,4797 -3,3326 -3,1875 -3,0637 -2,9864 -2,9664 -2,9845 -3,0021 -2,9871 -2,9297 -2,8438 -2,7567 -2,6952 -2,6728 -2,6822 -2,6987 -2,6952 -2,6600 -2,6019 -2,5442 -2,5161 -2,5412 -2,6243 -2,7441 -2,8573 -2,9181 -2,8984 -2,7913 -2,6050 -2,3594 -2,0857 -1,8161 -1,5696 -1,3485 -1,1477 -0,9664 -0,8142 -0,7107 -0,6783 -0,7270 -0,8429 -0,9918 -1,1368 -1,2530 -1,3301 -1,3699 -1,3907 -1,4248 -1,4994 -1,6159 -1,7518 -1,8798 -1,9854 -2,0690 -2,1362 -2,1886 -2,2228 -2,2339 -2,2211 -2,1865 -2,1301 -2,0499 -1,9467 -1,8269 -1,7043 -1,5958 -1,5122 -1,4563 -1,4314 -1,4501 -1,5318 -1,6814 -1,8730 -2,0632 -2,2196 -2,3337 -2,4068 -2,4274 -2,3663 -2,1976 -1,9231 -1,5823 -1,2394 -0,9538 -0,7558 -0,6478 -0,6166 -0,6381 -0,6851 -0,7462 -0,8316 -0,9558 -1,1189 -1,3021 -1,4817 -1,6478 -1,8064 -1,9623 -2,1103 -2,2436 -2,3606 -2,4597 -2,5319 -2,5610 -2,5327 -2,4399 -2,2795 -2,0540 -1,7781 -1,4792 -1,1918 -0,9456 -0,7553 -0,6210 -0,5350 -0,4867 -0,4646 -0,4557 -0,4410 -0,4028 -0,3445 -0,2964 -0,2994 -0,3827 -0,5465 -0,7599 -0,9787 -1,1670 -1,3041 -1,3854 -1,4242 -1,4473 -1,4805 -1,5382 -1,6209 -1,7157 -1,8006 -1,8487 -1,8366 -1,7590 -1,6339 -1,4864 -1,3338 -1,1833 -1,0424 -0,9235 -0,8368 -0,7813 -0,7494 -0,7348 -0,7341 -0,7404 -0,7405 -0,7203 -0,6706 -0,5893 -0,4783 -0,3431 -0,1968 -0,0635 0,0262 0,0438 -0,0271 -0,1844 -0,4145 -0,7049 -1,0438 -1,4101 -1,7742 -2,1123 -2,4138 -2,6789 -2,9173 -3,1465 -3,3822 -3,6241 -3,8479 -4,0105 -4,0683 -3,9989 -3,8102 -3,5309 -3,1977 -2,8465 -2,5071 -2,1992 -1,9358 -1,7272 -1,5757 -1,4652 -1,3661 -1,2533 -1,1186 -0,9706 -0,8292 -0,7193 -0,6626 -0,6632 -0,6961 -0,7133 -0,6710 -0,5564 -0,3916 -0,2130 -0,0469 0,1081 0,2804 0,5051 0,8010 1,1598 1,5544 1,9521 2,3190 2,6193 2,8254 2,9349 2,9698 2,9585 2,9193 2,8557 2,7551 2,5929 2,3470 2,0144 1,6186 1,2016 0,8082 0,4704 0,2014 -0,0025 -0,1596 -0,2964 -0,4340 -0,5752 -0,7053 -0,8063 -0,8704 -0,9024 -0,9137 -0,9203 -0,9453 -1,0150 -1,1393 -1,2933 -1,4258 -1,4897 -1,4652 -1,3604 -1,2072 -1,0527 -0,9408 -0,8884 -0,8798 -0,8875 -0,8958 -0,9067 -0,9294 -0,9683 -1,0164 -1,0587 -1,0817 -1,0828 -1,0783 -1,1062 -1,2112 -1,4202 -1,7292 -2,1017 -2,4790 -2,8035 -3,0431 -3,1973 -3,2832 -3,3240 -3,3463 -3,3723 -3,4097 -3,4592 -3,5331 -3,6524 -3,8260 -4,0382 -4,2561 -4,4479 -4,5953 -4,6933 -4,7412 -4,7388 -4,6896 -4,6049 -4,4946 -4,3564 -4,1877 -4,0107 -3,8706 -3,8067 -3,8324 -3,9380 -4,1066 -4,3226 -4,5666 -4,8091
