Fp1   1,3741 1,6617 1,9654 2,1951 2,2191 1,9762 1,5487 1,1144 0,8272 0,7270 0,7369 0,7368 0,6437 0,4464 0,2010 0,0018 -0,0854 -0,0788 -0,0502 -0,0441 -0,0536 -0,0617 -0,0770 -0,1213 -0,2055 -0,3330 -0,4981 -0,6574 -0,7260 -0,6411 -0,4323 -0,2059 -0,0680 -0,0794 -0,2708 -0,6661 -1,2616 -1,9786 -2,6619 -3,1337 -3,2498 -2,9451 -2,2779 -1,4164 -0,5493 0,2051 0,8219 1,3375 1,8090 2,2808 2,7654 3,2492 3,6940 4,0254 4,1452 3,9826 3,5542 2,9738 2,3851 1,8729 1,4363 1,0354 0,6490 0,2921 -0,0087 -0,2328 -0,3469 -0,2974 -0,0457 0,4070 1,0297 1,7842 2,6488 3,6174 4,6549 5,6632 6,5262 7,1972 7,7414 8,3062 9,0340 9,9668 11,0350 12,1346 13,1703 14,0363 14,6366 14,9445 15,0102 14,9094 14,7150 14,4967 14,3095 14,1759 14,0874 14,0197 13,9487 13,8482 13,6724 13,3581 12,8441 12,0863 11,0636 9,7887 8,3292 6,8065 5,3482 4,0292 2,8544 1,7865 0,7970 -0,1012 -0,8687 -1,4859 -1,9850 -2,4460 -2,9488 -3,5117 -4,0788 -4,5636 -4,8912 -5,0130 -4,9230 -4,6723 -4,3255 -3,8757 -3,2285 -2,2782 -0,9743 0,6811 2,6622 4,9241 7,3897 9,9483 12,4724 14,8570 17,0816 19,2260 21,4019 23,6787 26,0665 28,5245 30,9730 33,3084 35,4164 37,1911 38,5807 39,6298 40,4648 41,2279 42,0153 42,8607 43,7572 44,6799 45,5807 46,3863 47,0323 47,5095 47,8651 48,1515 48,3679 48,4478 48,2992 47,8607 47,1220 46,1154 44,9083 43,5791 42,1716 40,6880 39,1208 37,4591 35,6689 33,7054 31,5733 29,3704 27,2517 25,3322 23,6300 22,0954 20,6573 19,2347 17,7466 16,1445 14,4305 12,6509 10,8808 9,1975 7,6516 6,2716 5,0826 4,0935 3,2696 2,5318 1,7864 0,9659 0,0618 -0,8755 -1,7755 -2,5897 -3,2726 -3,7494 -3,9490 -3,8493 -3,4719 -2,8690 -2,1275 -1,3462 -0,5936 0,1047 0,7475 1,3326 1,8389 2,2322 2,4920 2,6455 2,7943 3,1040 3,7215 4,6857 5,9358 7,3800 8,9221 10,4321 11,7366 12,6833 13,2239 13,4215 13,3797 13,1635 12,7806 12,2167 11,4705 10,5505 9,4573 8,2015 6,8379 5,4572 4,1553 3,0163 2,0902 1,3604 0,7434 0,1359 -0,5386 -1,3079 -2,1446 -2,9872 -3,7988 -4,6026 -5,4495 -6,3732 -7,3838 -8,4670 -9,5620 -10,5559 -11,3259 -11,8128 -12,0593 -12,1678 -12,2188 -12,2374 -12,2312 -12,2368 -12,3108 -12,4929 -12,8089 -13,2978 -13,9935 -14,8646 -15,7823 -16,5679 -17,0860 -17,3082 -17,3163 -17,2494 -17,2154 -17,2329 -17,2595 -17,2556 -17,2009 -17,0754 -16,8657 -16,5835 -16,2493 -15,8499 -15,3260 -14,6213 -13,7598 -12,8654 -12,0845 -11,4807 -11,0093 -10,5791 -10,1285 -9,6585 -9,2052 -8,7821 -8,3740 -7,9810 -7,6324 -7,3487 -7,1153 -6,9101 -6,7358 -6,5995 -6,4803 -6,3437 -6,1772 -5,9988 -5,8305 -5,6615 -5,4448 -5,1404 -4,7538 -4,3234 -3,8715 -3,3843 -2,8416 -2,2486 -1,6428 -1,0827 -0,6165 -0,2502 0,0494 0,3234 0,5862 0,8072 0,9413 0,9807 0,9625 0,9496 1,0276 1,2909 1,8001 2,5487 3,4726 4,4862 5,5061 6,4464 7,2098 7,7109 7,9271 7,9094 7,7397 7,4892 7,2077 6,9215 6,6353 6,3380 6,0054 5,6124 5,1558 4,6569 4,1420 3,6422 3,2084 2,8996 2,7507 2,7733 2,9759 3,3537 3,8645 4,4391 5,0243 5,6149 6,2360 6,8896 7,5232 8,0575 8,4270 8,5897 8,5451 8,3752 8,2124 8,1333 8,1122 8,0727 7,9509 7,7172 7,3738 6,9518 6,5136 6,1501 5,9605 6,0075 6,2671 6,6389 7,0206 7,3599 7,6394 7,8585 8,0620 8,3653 8,8969 9,6902 10,6407 11,5783 12,3669 12,9293 13,2133 13,1741 12,8012 12,1579 11,3704 10,5678 9,8385 9,2329 8,7849 8,5203 8,4469 8,5353 8,7150 8,9090 9,0788 9,2311 9,3876 9,5617 9,7542 9,9593 10,1806 10,4390 10,7559 11,1178 11,4602 11,7025 11,8031 11,7874 11,7288 11,7015 11,7332 11,7912 11,8291 11,8548 11,9300 12,0998 12,3435 12,5954 12,8027 12,9607 13,1007 13,2523 13,4224 13,6117 13,8298 14,0646 14,2525 14,3052 14,1713 13,8789 13,5311 13,2503 13,1023 13,0625 13,0517 12,9980 12,8742 12,7125 12,6016 12,6495 12,9231 13,4012 13,9757 14,4975 14,8278 14,8651 14,5775 14,0327 13,3597 12,6698 12,0205 11,4164 10,8172 10,1642 9,4098 8,5339 7,5536 6,5230 5,5230 4,6509 3,9854 3,5361 3,2328 2,9667 2,6226 2,0818 1,2455 0,0807 -1,3728 -3,0337 -4,7912 -6,5133 -8,0826 -9,4292 -10,5234 -11,3438 -11,8655 -12,0642 -11,9133 -11,3868 -10,4875 -9,2768 -7,8596 -6,3256 -4,7171 -3,0501 -1,3421 0,3817 2,1013 3,8246 5,6041 7,5237 9,6532 11,9959 14,4658 16,9196 19,2216 21,2779 23,0258 24,4274 25,4844 26,2410 26,7440 26,9992 26,9786 26,6685 26,0949 25,3084 24,3595 23,2940 22,1575 20,9845 19,7828 18,5534 17,3213 16,1285 15,0183 14,0407 13,2383 12,6139 12,1210 11,6753 11,1753 10,5390 9,7398 8,8007 7,7537 6,6152 5,3923 4,0862 2,6829 1,1621 -0,4642 -2,1292 -3,7311 -5,1851 -6,4630 -7,5796 -8,5407 -9,3220 -9,9024 -10,3006 -10,5633 -10,7310 -10,8309 -10,8941 -10,9543 -11,0238 -11,0865 -11,1249 -11,1394 -11,1395 -11,1256 -11,0755 -10,9424 -10,6780 -10,2632 -9,7205 -9,1144 -8,5390 -8,0923 -7,8511 -7,8429 -8,0192 -8,2661 -8,4684 -8,5597 -8,5087 -8,2919 -7,9042 -7,3902 -6,8426 -6,3676 -6,0576 -5,9784 -6,1516 -6,5396 -7,0428 -7,5283 -7,9008
Fz    1,7612 1,6648 1,5548 1,4068 1,1929 0,9211 0,6529 0,4735 0,4396 0,5446 0,7247 0,8941 0,9809 0,9486 0,8070 0,6087 0,4191 0,2775 0,1883 0,1409 0,1239 0,1229 0,1190 0,0977 0,0569 -0,0011 -0,0731 -0,1441 -0,1859 -0,1818 -0,1493 -0,1284 -0,1520 -0,2315 -0,3652 -0,5522 -0,7880 -1,0464 -1,2770 -1,4293 -1,4741 -1,4134 -1,2838 -1,1431 -1,0363 -0,9717 -0,9247 -0,8587 -0,7438 -0,5679 -0,3403 -0,0859 0,1554 0,3278 0,3780 0,2878 0,0915 -0,1388 -0,3350 -0,4730 -0,5803 -0,7061 -0,8833 -1,1124 -1,3656 -1,5955 -1,7403 -1,7388 -1,5562 -1,1995 -0,7115 -0,1482 0,4461 1,0497 1,6476 2,2158 2,7319 3,1994 3,6571 4,1617 4,7556 5,4360 6,1583 6,8701 7,5288 8,0974 8,5522 8,9012 9,1778 9,4104 9,6061 9,7560 9,8456 9,8634 9,8083 9,6965 9,5606 9,4348 9,3320 9,2348 9,1049 8,9031 8,6080 8,2228 7,7748 7,3117 6,8849 6,5244 6,2263 5,9606 5,6947 5,4110 5,1028 4,7574 4,3505 3,8547 3,2587 2,5879 1,9043 1,2811 0,7766 0,4255 0,2321 0,1700 0,2060 0,3387 0,6067 1,0559 1,7063 2,5440 3,5309 4,6185 5,7536 6,8816 7,9529 8,9388 9,8483 10,7240 11,6115 12,5299 13,4639 14,3729 15,2121 15,9494 16,5695 17,0742 17,4921 17,8822 18,3148 18,8413 19,4749 20,1935 20,9584 21,7325 22,4861 23,1945 23,8434 24,4347 24,9806 25,4850 25,9304 26,2795 26,4913 26,5426 26,4433 26,2375 25,9891 25,7593 25,5796 25,4415 25,3083 25,1303 24,8541 24,4335 23,8516 23,1364 22,3474 21,5374 20,7259 19,9050 19,0552 18,1500 17,1608 16,0701 14,8830 13,6314 12,3683 11,1499 10,0197 9,0085 8,1351 7,3962 6,7591 6,1729 5,5925 4,9999 4,4090 3,8538 3,3652 2,9544 2,6199 2,3639 2,1861 2,0743 2,0133 1,9943 2,0147 2,0783 2,1949 2,3673 2,5805 2,8024 2,9926 3,1137 3,1456 3,1045 3,0577 3,1093 3,3452 3,7830 4,3810 5,0775 5,8063 6,4911 7,0521 7,4386 7,6536 7,7445 7,7672 7,7524 7,6939 7,5657 7,3459 7,0267 6,6121 6,1221 5,5968 5,0834 4,6201 4,2252 3,8881 3,5657 3,1983 2,7385 2,1720 1,5208 0,8384 0,1947 -0,3561 -0,8060 -1,1937 -1,5789 -2,0171 -2,5366 -3,1190 -3,6986 -4,1944 -4,5556 -4,7846 -4,9213 -5,0096 -5,0810 -5,1642 -5,2941 -5,4960 -5,7660 -6,0825 -6,4314 -6,8089 -7,2001 -7,5659 -7,8610 -8,0659 -8,2002 -8,3088 -8,4337 -8,5875 -8,7508 -8,8952 -9,0071 -9,0869 -9,1344 -9,1491 -9,1399 -9,1150 -9,0595 -8,9336 -8,6999 -8,3557 -7,9436 -7,5285 -7,1609 -6,8600 -6,6204 -6,4265 -6,2668 -6,1372 -6,0307 -5,9401 -5,8755 -5,8630 -5,9171 -6,0235 -6,1514 -6,2693 -6,3401 -6,3228 -6,1913 -5,9499 -5,6322 -5,2852 -4,9465 -4,6336 -4,3516 -4,1028 -3,8810 -3,6630 -3,4152 -3,1145 -2,7628 -2,3842 -2,0128 -1,6778 -1,3899 -1,1395 -0,9056 -0,6702 -0,4350 -0,2176 -0,0312 0,1226 0,2528 0,3806 0,5369 0,7525 1,0502 1,4413 1,9265 2,4942 3,1130 3,7274 4,2755 4,7166 5,0403 5,2532 5,3691 5,4099 5,3963 5,3326 5,2024 4,9833 4,6673 4,2733 3,8399 3,4058 3,0048 2,6706 2,4307 2,2945 2,2583 2,3161 2,4529 2,6341 2,8144 2,9630 3,0827 3,2009 3,3388 3,4887 3,6212 3,7055 3,7201 3,6614 3,5541 3,4395 3,3420 3,2547 3,1563 3,0312 2,8735 2,6835 2,4703 2,2591 2,0941 2,0269 2,0924 2,2842 2,5627 2,8840 3,2160 3,5318 3,8098 4,0540 4,3093 4,6394 5,0762 5,5935 6,1326 6,6420 7,0857 7,4257 7,6184 7,6340 7,4812 7,2091 6,8832 6,5591 6,2745 6,0581 5,9354 5,9174 5,9810 6,0676 6,1101 6,0680 5,9420 5,7655 5,5856 5,4450 5,3685 5,3622 5,4234 5,5435 5,7006 5,8612 6,0012 6,1249 6,2611 6,4426 6,6797 6,9467 7,1928 7,3729 7,4792 7,5424 7,6020 7,6764 7,7600 7,8402 7,9141 7,9920 8,0895 8,2195 8,3930 8,6226 8,9106 9,2331 9,5457 9,8079 10,0032 10,1402 10,2384 10,3055 10,3287 10,2879 10,1772 10,0133 9,8322 9,6803 9,5980 9,5992 9,6624 9,7385 9,7717 9,7193 9,5604 9,3016 8,9823 8,6551 8,3535 8,0813 7,8220 7,5485 7,2348 6,8681 6,4558 6,0235 5,6082 5,2494 4,9799 4,8099 4,7160 4,6481 4,5542 4,3957 4,1462 3,7921 3,3381 2,8026 2,2036 1,5558 0,8731 0,1650 -0,5622 -1,2907 -1,9783 -2,5643 -2,9897 -3,2132 -3,2218 -3,0349 -2,7019 -2,2845 -1,8285 -1,3512 -0,8518 -0,3242 0,2354 0,8297 1,4658 2,1619 2,9430 3,8286 4,8150 5,8693 6,9424 7,9927 8,9941 9,9238 10,7583 11,4808 12,0872 12,5769 12,9432 13,1789 13,2897 13,2985 13,2372 13,1372 13,0228 12,9053 12,7784 12,6211 12,4159 12,1646 11,8827 11,5916 11,3177 11,0846 10,8964 10,7300 10,5415 10,2775 9,8917 9,3664 8,7212 7,9991 7,2461 6,4984 5,7720 5,0550 4,3156 3,5233 2,6694 1,7752 0,8814 0,0256 -0,7650 -1,4614 -2,0296 -2,4476 -2,7227 -2,8857 -2,9735 -3,0155 -3,0308 -3,0304 -3,0151 -2,9807 -2,9325 -2,8931 -2,8907 -2,9438 -3,0487 -3,1751 -3,2765 -3,3110 -3,2585 -3,1257 -2,9432 -2,7585 -2,6265 -2,5906 -2,6608 -2,8073 -2,9807 -3,1342 -3,2269 -3,2262 -3,1258 -2,9597 -2,7903 -2,6797 -2,6690 -2,7692 -2,9612 -3,2033 -3,4434 -3,6313 -3,7425
F3    1,1416 1,1156 1,1001 1,0649 0,9680 0,7994 0,6072 0,4726 0,4573 0,5624 0,7267 0,8614 0,8945 0,7989 0,5986 0,3543 0,1267 -0,0577 -0,2035 -0,3167 -0,3925 -0,4272 -0,4284 -0,4069 -0,3679 -0,3196 -0,2758 -0,2367 -0,1805 -0,0883 0,0262 0,1233 0,1680 0,1471 0,0599 -0,0969 -0,3237 -0,5956 -0,8606 -1,0646 -1,1708 -1,1671 -1,0727 -0,9313 -0,7848 -0,6464 -0,5012 -0,3249 -0,1012 0,1689 0,4658 0,7596 1,0132 1,1802 1,2166 1,1068 0,8813 0,6069 0,3489 0,1330 -0,0608 -0,2695 -0,5116 -0,7762 -1,0334 -1,2454 -1,3660 -1,3454 -1,1500 -0,7788 -0,2633 0,3496 1,0224 1,7348 2,4624 3,1623 3,7922 4,3404 4,8351 5,3312 5,8803 6,4977 7,1592 7,8301 8,4773 9,0592 9,5366 9,8984 10,1600 10,3384 10,4429 10,4820 10,4641 10,3937 10,2724 10,1069 9,9187 9,7381 9,5811 9,4336 9,2595 9,0194 8,6877 8,2589 7,7537 7,2197 6,7123 6,2653 5,8769 5,5198 5,1646 4,7978 4,4165 4,0089 3,5480 3,0015 2,3533 1,6248 0,8771 0,1853 -0,3864 -0,7937 -1,0202 -1,0855 -1,0254 -0,8489 -0,5244 -0,0090 0,7191 1,6517 2,7586 3,9943 5,3025 6,6195 7,8819 9,0420 10,0927 11,0704 12,0256 12,9912 13,9718 14,9458 15,8763 16,7269 17,4690 18,0891 18,6025 19,0596 19,5307 20,0769 20,7284 21,4809 22,3092 23,1816 24,0616 24,9074 25,6821 26,3693 26,9726 27,4973 27,9294 28,2348 28,3756 28,3324 28,1186 27,7824 27,3948 27,0212 26,6911 26,3918 26,0878 25,7392 25,3045 24,7471 24,0588 23,2754 22,4588 21,6536 20,8633 20,0653 19,2298 18,3262 17,3291 16,2299 15,0447 13,8151 12,5983 11,4493 10,4041 9,4822 8,6905 8,0165 7,4241 6,8653 6,2971 5,6984 5,0787 4,4743 3,9279 3,4672 3,1092 2,8718 2,7615 2,7626 2,8511 3,0048 3,1965 3,3994 3,6014 3,8060 4,0190 4,2367 4,4432 4,6167 4,7438 4,8366 4,9472 5,1561 5,5259 6,0593 6,7121 7,4330 8,1749 8,8768 9,4615 9,8682 10,0880 10,1617 10,1424 10,0590 9,9062 9,6625 9,3157 8,8700 8,3374 7,7361 7,0988 6,4688 5,8882 5,3870 4,9727 4,6211 4,2816 3,8999 3,4416 2,9049 2,3243 1,7570 1,2486 0,8036 0,3891 -0,0393 -0,5190 -1,0648 -1,6524 -2,2186 -2,6904 -3,0285 -3,2493 -3,4047 -3,5388 -3,6663 -3,7915 -3,9336 -4,1192 -4,3574 -4,6385 -4,9550 -5,3096 -5,6941 -6,0694 -6,3789 -6,5855 -6,6943 -6,7469 -6,7962 -6,8760 -6,9855 -7,1012 -7,2032 -7,2813 -7,3270 -7,3345 -7,3089 -7,2546 -7,1524 -6,9599 -6,6427 -6,2090 -5,7162 -5,2404 -4,8318 -4,4964 -4,2108 -3,9507 -3,7106 -3,4987 -3,3182 -3,1690 -3,0635 -3,0247 -3,0602 -3,1488 -3,2577 -3,3622 -3,4393 -3,4578 -3,3924 -3,2416 -3,0309 -2,7979 -2,5698 -2,3528 -2,1422 -1,9348 -1,7248 -1,4942 -1,2170 -0,8800 -0,4988 -0,1100 0,2466 0,5447 0,7821 0,9776 1,1577 1,3398 1,5187 1,6756 1,7998 1,8948 1,9751 2,0689 2,2125 2,4360 2,7548 3,1728 3,6861 4,2785 4,9096 5,5110 6,0077 6,3511 6,5356 6,5857 6,5395 6,4374 6,3103 6,1686 6,0014 5,7880 5,5158 5,1930 4,8430 4,4898 4,1558 3,8715 3,6689 3,5646 3,5597 3,6508 3,8261 4,0539 4,2887 4,4968 4,6773 4,8544 5,0443 5,2336 5,3923 5,4939 5,5209 5,4712 5,3741 5,2794 5,2156 5,1697 5,1085 5,0086 4,8658 4,6886 4,4941 4,3109 4,1816 4,1559 4,2687 4,5166 4,8608 5,2540 5,6576 6,0389 6,3725 6,6626 6,9588 7,3287 7,8013 8,3426 8,8859 9,3739 9,7656 10,0197 10,0963 9,9803 9,7019 9,3292 8,9363 8,5756 8,2741 8,0494 7,9198 7,8938 7,9532 8,0510 8,1320 8,1582 8,1204 8,0366 7,9395 7,8613 7,8214 7,8285 7,8881 7,9990 8,1423 8,2809 8,3794 8,4267 8,4412 8,4590 8,5090 8,5911 8,6739 8,7231 8,7356 8,7415 8,7752 8,8474 8,9444 9,0468 9,1503 9,2706 9,4280 9,6295 9,8719 10,1525 10,4618 10,7669 11,0181 11,1753 11,2297 11,2067 11,1514 11,0993 11,0560 11,0028 10,9181 10,7947 10,6508 10,5296 10,4803 10,5299 10,6652 10,8384 10,9896 11,0675 11,0381 10,8979 10,6839 10,4521 10,2400 10,0536 9,8733 9,6627 9,3854 9,0238 8,5868 8,1060 7,6268 7,1968 6,8567 6,6255 6,4873 6,3977 6,3040 6,1618 5,9359 5,6034 5,1642 4,6375 4,0463 3,4128 2,7580 2,0970 1,4371 0,7892 0,1801 -0,3494 -0,7536 -0,9916 -1,0385 -0,9003 -0,6190 -0,2562 0,1404 0,5554 0,9978 1,4834 2,0236 2,6254 3,2990 4,0637 4,9447 5,9586 7,0952 8,3086 9,5341 10,7181 11,8284 12,8416 13,7346 14,4914 15,1100 15,5934 15,9373 16,1346 16,1924 16,1376 16,0060 15,8299 15,6332 15,4304 15,2221 14,9955 14,7416 14,4676 14,1867 13,9068 13,6347 13,3780 13,1368 12,8988 12,6388 12,3205 11,9064 11,3773 10,7416 10,0233 9,2477 8,4356 7,5996 6,7394 5,8465 4,9183 3,9711 3,0420 2,1711 1,3784 0,6641 0,0318 -0,4996 -0,9126 -1,2081 -1,4023 -1,5147 -1,5645 -1,5722 -1,5567 -1,5265 -1,4810 -1,4251 -1,3768 -1,3573 -1,3786 -1,4357 -1,5045 -1,5494 -1,5393 -1,4611 -1,3257 -1,1648 -1,0219 -0,9416 -0,9551 -1,0614 -1,2231 -1,3878 -1,5121 -1,5654 -1,5266 -1,3947 -1,1999 -0,9960 -0,8362 -0,7560 -0,7706 -0,8777 -1,0590 -1,2764 -1,4788 -1,6296
F7    0,6570 0,7069 0,7799 0,8580 0,8991 0,8770 0,8095 0,7467 0,7333 0,7769 0,8441 0,8848 0,8593 0,7542 0,5878 0,4016 0,2309 0,0784 -0,0729 -0,2243 -0,3518 -0,4275 -0,4388 -0,3883 -0,2900 -0,1717 -0,0673 0,0075 0,0650 0,1220 0,1712 0,1862 0,1451 0,0402 -0,1313 -0,3747 -0,6861 -1,0291 -1,3365 -1,5415 -1,6018 -1,5062 -1,2813 -0,9867 -0,6837 -0,4062 -0,1569 0,0773 0,3094 0,5453 0,7839 1,0210 1,2409 1,4072 1,4740 1,4142 1,2413 1,0050 0,7570 0,5166 0,2710 0,0061 -0,2669 -0,5110 -0,6825 -0,7445 -0,6694 -0,4423 -0,0726 0,4052 0,9460 1,5102 2,0784 2,6499 3,2199 3,7609 4,2354 4,6246 4,9452 5,2448 5,5746 5,9534 6,3630 6,7744 7,1598 7,4849 7,7194 7,8598 7,9273 7,9426 7,9172 7,8621 7,7905 7,7158 7,6526 7,6125 7,5976 7,5925 7,5615 7,4607 7,2584 6,9489 6,5510 6,0951 5,6161 5,1503 4,7264 4,3517 4,0090 3,6694 3,3141 2,9462 2,5827 2,2338 1,8922 1,5346 1,1381 0,7053 0,2710 -0,1170 -0,4168 -0,6007 -0,6644 -0,6334 -0,5415 -0,3911 -0,1439 0,2496 0,8187 1,5643 2,4653 3,4858 4,5776 5,6828 6,7402 7,7032 8,5689 9,3828 10,2039 11,0680 11,9808 12,9272 13,8823 14,8182 15,7021 16,4979 17,1848 17,7749 18,3084 18,8310 19,3746 19,9522 20,5626 21,1977 21,8394 22,4535 23,0010 23,4616 23,8447 24,1699 24,4382 24,6226 24,6846 24,5972 24,3601 24,0011 23,5696 23,1151 22,6619 22,2042 21,7243 21,2028 20,6132 19,9267 19,1393 18,2926 17,4555 16,6728 15,9365 15,2078 14,4503 13,6382 12,7590 11,8200 10,8504 9,8915 8,9859 8,1655 7,4428 6,8166 6,2828 5,8345 5,4519 5,0966 4,7177 4,2756 3,7652 3,2190 2,6852 2,2021 1,8002 1,5133 1,3653 1,3555 1,4635 1,6533 1,8728 2,0711 2,2252 2,3452 2,4569 2,5805 2,7201 2,8654 3,0022 3,1284 3,2684 3,4715 3,7820 4,2087 4,7303 5,3230 5,9633 6,6053 7,1762 7,6117 7,8929 8,0426 8,0918 8,0536 7,9220 7,6868 7,3485 6,9177 6,4039 5,8164 5,1759 4,5169 3,8800 3,3037 2,8136 2,4100 2,0676 1,7511 1,4337 1,1077 0,7856 0,4890 0,2231 -0,0403 -0,3476 -0,7354 -1,2151 -1,7663 -2,3342 -2,8402 -3,2148 -3,4361 -3,5430 -3,6056 -3,6742 -3,7552 -3,8348 -3,9141 -4,0123 -4,1470 -4,3281 -4,5706 -4,8918 -5,2818 -5,6822 -6,0106 -6,2110 -6,2824 -6,2694 -6,2345 -6,2281 -6,2672 -6,3401 -6,4250 -6,4987 -6,5340 -6,5072 -6,4118 -6,2535 -6,0274 -5,7101 -5,2848 -4,7745 -4,2478 -3,7835 -3,4232 -3,1543 -2,9321 -2,7162 -2,4926 -2,2689 -2,0549 -1,8593 -1,6998 -1,5972 -1,5543 -1,5488 -1,5555 -1,5675 -1,5880 -1,6124 -1,6270 -1,6212 -1,5941 -1,5492 -1,4792 -1,3633 -1,1856 -0,9519 -0,6867 -0,4112 -0,1276 0,1717 0,4846 0,7926 1,0689 1,2938 1,4697 1,6189 1,7659 1,9195 2,0634 2,1674 2,2079 2,1789 2,0961 2,0004 1,9478 1,9856 2,1369 2,4003 2,7551 3,1639 3,5736 3,9213 4,1574 4,2715 4,2952 4,2726 4,2321 4,1809 4,1110 4,0059 3,8440 3,6064 3,2933 2,9354 2,5802 2,2665 2,0162 1,8446 1,7618 1,7651 1,8448 2,0001 2,2314 2,5184 2,8182 3,0925 3,3338 3,5597 3,7804 3,9771 4,1171 4,1792 4,1601 4,0810 3,9962 3,9686 4,0158 4,0935 4,1348 4,0979 3,9823 3,8149 3,6310 3,4673 3,3658 3,3701 3,5043 3,7499 4,0542 4,3652 4,6525 4,9017 5,1086 5,2908 5,4992 5,7966 6,2084 6,6963 7,1824 7,5935 7,8764 7,9934 7,9244 7,6823 7,3198 6,9132 6,5303 6,2077 5,9533 5,7680 5,6619 5,6464 5,7143 5,8317 5,9525 6,0423 6,0895 6,1019 6,0972 6,0926 6,1012 6,1368 6,2155 6,3448 6,5090 6,6687 6,7814 6,8292 6,8267 6,8064 6,7959 6,8016 6,8096 6,8078 6,8091 6,8471 6,9434 7,0829 7,2194 7,3054 7,3238 7,2969 7,2640 7,2564 7,2937 7,3899 7,5436 7,7230 7,8739 7,9514 7,9451 7,8819 7,8067 7,7545 7,7316 7,7203 7,6954 7,6416 7,5661 7,4995 7,4832 7,5458 7,6830 7,8579 8,0205 8,1232 8,1256 8,0119 7,8110 7,5805 7,3676 7,1892 7,0341 6,8709 6,6640 6,3914 6,0520 5,6644 5,2605 4,8786 4,5574 4,3251 4,1813 4,0930 4,0128 3,8982 3,7142 3,4347 3,0509 2,5715 2,0156 1,4132 0,7983 0,1952 -0,3856 -0,9371 -1,4432 -1,8751 -2,1987 -2,3778 -2,3788 -2,1879 -1,8297 -1,3586 -0,8276 -0,2668 0,3160 0,9243 1,5633 2,2329 2,9343 3,6825 4,5089 5,4453 6,4966 7,6233 8,7553 9,8260 10,7902 11,6198 12,2984 12,8297 13,2384 13,5506 13,7710 13,8884 13,8999 13,8208 13,6753 13,4858 13,2711 13,0465 12,8197 12,5869 12,3426 12,0898 11,8324 11,5675 11,2929 11,0160 10,7485 10,4930 10,2354 9,9463 9,5942 9,1627 8,6570 8,0917 7,4797 6,8321 6,1586 5,4610 4,7340 3,9764 3,2023 2,4426 1,7303 1,0792 0,4841 -0,0538 -0,5156 -0,8815 -1,1508 -1,3392 -1,4658 -1,5468 -1,5973 -1,6316 -1,6576 -1,6768 -1,6917 -1,7077 -1,7284 -1,7522 -1,7694 -1,7606 -1,7031 -1,5823 -1,4020 -1,1896 -0,9906 -0,8530 -0,8128 -0,8845 -1,0495 -1,2558 -1,4456 -1,5820 -1,6480 -1,6304 -1,5223 -1,3388 -1,1230 -0,9285 -0,7998 -0,7647 -0,8318 -0,9863 -1,1878 -1,3829 -1,5350
