Fp1   -3,3647 -2,8862 -2,1176 -1,0983 0,0703 1,2906 2,4701 3,4766 4,1461 4,3707 4,1575 3,5945 2,8029 1,9301 1,1320 0,5274 0,1755 0,0808 0,1865 0,3826 0,5532 0,6173 0,5362 0,3324 0,1017 -0,0414 -0,0499 0,0444 0,1884 0,3393 0,4494 0,4479 0,2517 -0,1829 -0,8096 -1,5057 -2,1330 -2,5857 -2,8118 -2,8174 -2,6541 -2,3845 -2,0453 -1,6506 -1,2243 -0,8106 -0,4650 -0,2571 -0,2600 -0,5005 -0,9124 -1,3250 -1,5082 -1,2829 -0,6219 0,3426 1,3947 2,3254 2,9848 3,2768 3,1339 2,5309 1,5465 0,3884 -0,6770 -1,4217 -1,7085 -1,5108 -0,9239 -0,1546 0,5466 0,9902 1,1305 1,0840 1,0600 1,2412 1,6980 2,3910 3,2441 4,1799 5,0714 5,7267 5,9795 5,7788 5,1841 4,3179 3,3283 2,3549 1,5097 0,8699 0,4788 0,3669 0,5744 1,1279 1,9734 2,9369 3,7882 4,3747 4,6929 4,8238 4,8174 4,6481 4,2661 3,6832 2,9986 2,3152 1,6442 0,9303 0,1544 -0,6337 -1,3611 -1,9661 -2,4181 -2,7446 -3,0302 -3,3672 -3,7906 -4,2244 -4,5018 -4,4732 -4,0924 -3,4112 -2,5422 -1,6517 -0,9493 -0,6103 -0,6715 -1,0209 -1,4798 -1,8707 -2,0486 -1,9323 -1,5262 -0,9115 -0,2258 0,3661 0,7380 0,8720 0,8506 0,7752 0,6989 0,6276 0,5528 0,4629 0,3469 0,2100 0,0864 0,0434 0,1704 0,5420 1,1701 1,9793 2,8432 3,6492 4,3275 4,8519 5,2357 5,4937 5,5807 5,3984 4,9002 4,1805 3,4328 2,8183 2,3893 2,1315 2,0353 2,0981 2,2916 2,5494 2,7740 2,8633 2,7662 2,5179 2,2132 1,9448 1,7542 1,6365 1,5812 1,5730 1,5507 1,4118 1,0720 0,5180 -0,1655 -0,8073 -1,2296 -1,3504 -1,2065 -0,8742 -0,3933 0,2169 0,8923 1,5049 1,9140 2,0388 1,8897 1,5407 1,0826 0,5898 0,1018 -0,3745 -0,8421 -1,2762 -1,5851 -1,6283 -1,3081 -0,6601 0,1273 0,7811 1,0476 0,7795 -0,0106 -1,1492 -2,3519 -3,3211 -3,8714 -4,0075 -3,8823 -3,6706 -3,4631 -3,2704 -3,1141 -3,0745 -3,2325 -3,5948 -4,0884 -4,6060 -5,0361 -5,2743 -5,2705 -5,0856 -4,8590 -4,7012 -4,6115 -4,4810 -4,1882 -3,6993 -3,0701 -2,3900 -1,7442 -1,1861 -0,7284 -0,3776 -0,1859 -0,2605 -0,7059 -1,5483 -2,7053 -3,9885 -5,1249 -5,8443 -5,9990 -5,6184 -4,8686 -3,9705 -3,1349 -2,5289 -2,2464 -2,2878 -2,5806 -3,0188 -3,4832 -3,8569 -4,0713 -4,1395 -4,1316 -4,1230 -4,1599 -4,2510 -4,3678 -4,4422 -4,3784 -4,0926 -3,5375 -2,7093 -1,6802 -0,6116 0,3247 1,0397 1,5202 1,7675 1,7737 1,5229 1,0081 0,2852 -0,5112 -1,2349 -1,8086 -2,2607 -2,6825 -3,1240 -3,5407 -3,8415 -3,9501 -3,8278 -3,4818 -2,9705 -2,3866 -1,8113 -1,2659 -0,7052 -0,0810 0,5659 1,0922 1,3349 1,1927 0,6437 -0,2505 -1,3276 -2,3607 -3,1544 -3,6082 -3,7143 -3,5474 -3,2586 -3,0308 -2,9873 -3,1217 -3,3186 -3,4565 -3,4958 -3,4738 -3,4381 -3,4087 -3,3832 -3,3436 -3,2519 -3,0658 -2,7544 -2,2961 -1,6801 -0,9254 -0,0962 0,6946 1,3006 1,5874 1,4908 1,0428 0,3357 -0,5419 -1,5328 -2,5969 -3,6858 -4,7015 -5,4696 -5,8072 -5,6570 -5,1484 -4,5324 -4,0527 -3,8171 -3,7450 -3,6428 -3,3379 -2,7595 -1,9579 -1,0954 -0,3829 0,0202 0,0597 -0,2287 -0,7542 -1,4041 -2,0684 -2,6404 -3,0103 -3,0908 -2,8623 -2,3898 -1,7989 -1,2382 -0,8567 -0,7845 -1,0888 -1,7119 -2,4660 -3,1212 -3,5123 -3,5908 -3,4232 -3,1425 -2,8634 -2,6346 -2,4617 -2,3299 -2,2005 -2,0269 -1,7912 -1,5132 -1,2187 -0,9024 -0,5266 -0,0570 0,5011 1,0932 1,6287 1,9926 2,0677 1,7906 1,1841 0,3289 -0,6605 -1,6393 -2,4546 -2,9709 -3,0894 -2,8040 -2,2412 -1,5946 -1,0121 -0,5712 -0,3180 -0,2639 -0,3623 -0,5397 -0,7559 -1,0221 -1,3645 -1,7754 -2,1969 -2,5588 -2,8379 -3,0557 -3,2075 -3,2179 -2,9918 -2,5192 -1,9231 -1,4104 -1,1835 -1,3495 -1,8431 -2,4321 -2,8301 -2,8390 -2,4375 -1,7747 -1,0648 -0,4556 0,0021 0,2816 0,3252 0,0599 -0,5586 -1,4900 -2,5607 -3,4904 -4,0092 -3,9771 -3,4263 -2,5324 -1,5605 -0,8026 -0,4810 -0,6534 -1,2026 -1,9156 -2,5935 -3,1300 -3,5107 -3,7537 -3,8531 -3,7677 -3,4522 -2,9001 -2,1952 -1,5460 -1,2073 -1,3059 -1,7389 -2,2321 -2,4829 -2,2955 -1,6636 -0,7728 0,0937 0,6986 0,9522 0,9039 0,6381 0,1838 -0,4731 -1,3236 -2,2993 -3,2730 -4,0985 -4,6906 -5,0706 -5,3132 -5,4801 -5,6395 -5,9018 -6,3466 -6,9038 -7,3615 -7,5141 -7,2755 -6,6539 -5,7261 -4,6969 -3,8840 -3,5488 -3,7059 -4,0899 -4,3485 -4,3044 -4,0315 -3,7130 -3,4832 -3,3808 -3,3567 -3,2785 -2,9866 -2,4113 -1,6276 -0,7889 -0,0549 0,4270 0,5693 0,4256 0,1800 0,0435 0,1543 0,5352 1,1147 1,7761 2,3976 2,8809 3,1502 3,1339 2,7825 2,1202 1,2638 0,3674 -0,4524 -1,0916 -1,3952 -1,2338 -0,6515 0,1265 0,8314 1,2808 1,4249 1,3146 1,0335 0,6581 0,2541 -0,1440 -0,5494 -1,0030 -1,5385 -2,1503 -2,7945 -3,4311 -4,0393 -4,5953 -5,0700 -5,4427 -5,6987 -5,8139 -5,7570 -5,5269 -5,1912 -4,8772 -4,7100 -4,7587 -5,0468 -5,5533 -6,1452 -6,5716 -6,5993 -6,1630 -5,4179 -4,6638 -4,1746 -4,0651 -4,2883 -4,7204 -5,2500 -5,8136 -6,3629 -6,8069 -6,9931 -6,7652 -6,0688 -5,0219 -3,8817 -2,9102 -2,2487 -1,9113 -1,8524 -2,0025 -2,2787 -2,6045 -2,9149 -3,1553 -3,2928 -3,3161 -3,2435
Fz    -0,0201 0,2885 0,6446 0,9958 1,2876 1,4885 1,5970 1,6291 1,6070 1,5567 1,5052 1,4733 1,4706 1,4949 1,5342 1,5750 1,6143 1,6578 1,6941 1,6755 1,5408 1,2567 0,8356 0,3291 -0,1903 -0,6556 -1,0271 -1,2940 -1,4650 -1,5612 -1,6029 -1,5994 -1,5573 -1,4919 -1,4248 -1,3750 -1,3539 -1,3636 -1,3947 -1,4279 -1,4424 -1,4251 -1,3699 -1,2743 -1,1469 -1,0052 -0,8571 -0,6906 -0,4884 -0,2472 0,0185 0,2866 0,5411 0,7774 0,9982 1,2056 1,3927 1,5422 1,6386 1,6817 1,6863 1,6671 1,6318 1,5894 1,5612 1,5842 1,6973 1,9091 2,1784 2,4356 2,6260 2,7373 2,7928 2,8220 2,8366 2,8292 2,7966 2,7604 2,7611 2,8280 2,9504 3,0791 3,1558 3,1454 3,0515 2,9143 2,7940 2,7511 2,8285 3,0357 3,3426 3,6990 4,0605 4,3922 4,6554 4,8014 4,7911 4,6190 4,3145 3,9212 3,4739 2,9881 2,4741 1,9616 1,5029 1,1512 0,9361 0,8578 0,8992 1,0355 1,2372 1,4694 1,6985 1,9010 2,0649 2,1850 2,2675 2,3359 2,4165 2,5181 2,6349 2,7602 2,8867 2,9958 3,0514 3,0168 2,8903 2,7143 2,5386 2,3850 2,2544 2,1577 2,1231 2,1748 2,3170 2,5328 2,7885 3,0477 3,2933 3,5342 3,7890 4,0653 4,3513 4,6226 4,8540 5,0281 5,1387 5,1916 5,2013 5,1821 5,1418 5,0852 5,0232 4,9747 4,9601 4,9928 5,0775 5,2161 5,4165 5,6881 6,0277 6,4128 6,8085 7,1737 7,4685 7,6698 7,7789 7,8114 7,7823 7,6989 7,5633 7,3832 7,1786 6,9732 6,7828 6,6108 6,4525 6,3077 6,1832 6,0807 5,9839 5,8619 5,6855 5,4475 5,1748 4,9185 4,7263 4,6143 4,5543 4,4942 4,3980 4,2607 4,0963 3,9251 3,7635 3,6095 3,4446 3,2560 3,0557 2,8759 2,7429 2,6524 2,5690 2,4549 2,3025 2,1372 1,9960 1,9102 1,9019 1,9833 2,1522 2,3889 2,6577 2,9084 3,0825 3,1324 3,0378 2,8034 2,4465 1,9934 1,4901 1,0012 0,5810 0,2486 -0,0015 -0,1743 -0,2733 -0,3111 -0,3037 -0,2515 -0,1405 0,0371 0,2684 0,5241 0,7648 0,9471 1,0358 1,0183 0,9086 0,7325 0,5166 0,2951 0,1101 -0,0174 -0,1139 -0,2346 -0,4111 -0,6205 -0,8118 -0,9478 -1,0215 -1,0480 -1,0466 -1,0268 -0,9856 -0,9142 -0,8023 -0,6491 -0,4772 -0,3292 -0,2440 -0,2368 -0,2993 -0,4167 -0,5780 -0,7678 -0,9507 -1,0755 -1,1066 -1,0535 -0,9607 -0,8605 -0,7421 -0,5689 -0,3178 0,0037 0,3652 0,7332 1,0916 1,4449 1,7947 2,1175 2,3768 2,5437 2,5986 2,5368 2,3828 2,1926 2,0301 1,9288 1,8711 1,8112 1,7213 1,6067 1,4810 1,3441 1,1924 1,0347 0,8902 0,7741 0,6924 0,6440 0,6227 0,6158 0,6125 0,6132 0,6187 0,6132 0,5723 0,4869 0,3700 0,2434 0,1212 0,0046 -0,1088 -0,2184 -0,3240 -0,4241 -0,5102 -0,5688 -0,5861 -0,5466 -0,4340 -0,2400 0,0273 0,3463 0,6978 1,0728 1,4613 1,8389 2,1702 2,4213 2,5666 2,5949 2,5174 2,3640 2,1678 1,9548 1,7464 1,5588 1,3937 1,2445 1,1102 0,9946 0,8970 0,8180 0,7683 0,7596 0,7924 0,8542 0,9181 0,9517 0,9368 0,8831 0,8252 0,8106 0,8768 1,0224 1,2049 1,3709 1,4904 1,5670 1,6224 1,6727 1,7167 1,7362 1,7022 1,5859 1,3785 1,1063 0,8186 0,5551 0,3264 0,1265 -0,0431 -0,1665 -0,2243 -0,2028 -0,0968 0,0835 0,3059 0,5221 0,6929 0,8101 0,8897 0,9434 0,9652 0,9452 0,8886 0,8162 0,7570 0,7461 0,8196 0,9949 1,2508 1,5320 1,7794 1,9581 2,0579 2,0826 2,0428 1,9473 1,7995 1,6038 1,3719 1,1182 0,8501 0,5575 0,2166 -0,1793 -0,5890 -0,9370 -1,1550 -1,2061 -1,0896 -0,8474 -0,5619 -0,3254 -0,2007 -0,2046 -0,3153 -0,4864 -0,6683 -0,8359 -0,9899 -1,1249 -1,2057 -1,1850 -1,0367 -0,7691 -0,4179 -0,0298 0,3571 0,7270 1,0824 1,4287 1,7587 2,0454 2,2535 2,3557 2,3286 2,1477 1,8107 1,3620 0,8778 0,4258 0,0391 -0,2814 -0,5461 -0,7543 -0,8926 -0,9540 -0,9546 -0,9330 -0,9241 -0,9254 -0,8953 -0,7911 -0,6093 -0,3915 -0,1982 -0,0824 -0,0840 -0,2209 -0,4719 -0,7746 -1,0547 -1,2581 -1,3563 -1,3337 -1,1819 -0,9059 -0,5354 -0,1308 0,2302 0,4847 0,6160 0,6528 0,6271 0,5352 0,3414 0,0217 -0,3937 -0,8229 -1,1754 -1,3958 -1,4770 -1,4452 -1,3406 -1,2106 -1,1078 -1,0799 -1,1571 -1,3366 -1,5722 -1,7887 -1,9230 -1,9591 -1,9217 -1,8483 -1,7743 -1,7287 -1,7238 -1,7466 -1,7609 -1,7221 -1,5953 -1,3635 -1,0325 -0,6310 -0,1992 0,2238 0,6093 0,9497 1,2625 1,5752 1,9039 2,2423 2,5687 2,8610 3,1092 3,3074 3,4433 3,5078 3,5163 3,5117 3,5399 3,6203 3,7368 3,8467 3,8983 3,8551 3,7119 3,4939 3,2402 2,9843 2,7565 2,5921 2,5077 2,4763 2,4439 2,3676 2,2327 2,0429 1,8043 1,5189 1,1933 0,8468 0,5033 0,1875 -0,0676 -0,2295 -0,2875 -0,2622 -0,2023 -0,1599 -0,1636 -0,2176 -0,3188 -0,4624 -0,6432 -0,8634 -1,1321 -1,4464 -1,7792 -2,0838 -2,3148 -2,4601 -2,5493 -2,6218 -2,6958 -2,7597 -2,7730 -2,6892 -2,5037 -2,2710 -2,0703 -1,9541 -1,9221 -1,9302 -1,9246 -1,8755 -1,7866 -1,6738 -1,5423 -1,3870 -1,2106 -1,0327 -0,8753 -0,7385 -0,5976 -0,4287 -0,2371 -0,0628 0,0371 0,0203 -0,1149 -0,3314 -0,5795 -0,8189
F3    0,2005 0,6462 0,9701 1,1004 1,0434 0,8659 0,6411 0,4144 0,2301 0,1614 0,2772 0,5755 0,9709 1,3425 1,5935 1,7043 1,7476 1,8270 1,9849 2,1747 2,3081 2,3101 2,1325 1,7493 1,1771 0,4985 -0,1634 -0,7157 -1,1464 -1,5032 -1,8227 -2,0873 -2,2495 -2,2837 -2,2015 -2,0273 -1,7852 -1,5013 -1,2000 -0,9037 -0,6511 -0,4973 -0,4772 -0,5845 -0,7883 -1,0417 -1,2781 -1,4097 -1,3371 -0,9918 -0,3920 0,3521 1,0935 1,7028 2,0927 2,2330 2,1625 1,9793 1,7967 1,6902 1,6780 1,7546 1,9199 2,1556 2,3967 2,5650 2,6283 2,6079 2,5343 2,4187 2,2752 2,1568 2,1572 2,3666 2,8014 3,3659 3,8890 4,2053 4,2347 4,0219 3,6977 3,3804 3,0981 2,8023 2,4682 2,1784 2,0946 2,3376 2,8951 3,6351 4,3914 5,0302 5,4699 5,6810 5,6759 5,4880 5,1639 4,7628 4,3454 3,9563 3,6137 3,3103 3,0263 2,7460 2,4798 2,2745 2,1819 2,2107 2,3259 2,4860 2,6636 2,8448 3,0303 3,2354 3,4689 3,7017 3,8699 3,9239 3,8643 3,7249 3,5378 3,3229 3,0896 2,8405 2,5879 2,3678 2,2217 2,1634 2,1708 2,2094 2,2505 2,2763 2,2971 2,3565 2,4987 2,7332 3,0270 3,3235 3,5819 3,8095 4,0446 4,3057 4,5775 4,8518 5,1496 5,4866 5,8297 6,0912 6,1670 5,9979 5,6059 5,0877 4,5859 4,2443 4,1531 4,3131 4,6479 5,0614 5,5081 6,0053 6,5647 7,1425 7,6831 8,1755 8,6410 9,0785 9,4205 9,5406 9,3266 8,7649 7,9684 7,1291 6,4228 5,9337 5,6501 5,5196 5,5012 5,5630 5,6415 5,6453 5,5194 5,2838 5,0145 4,8110 4,7635 4,9067 5,2003 5,5520 5,8590 6,0401 6,0441 5,8490 5,4759 5,0016 4,5274 4,1261 3,8210 3,5910 3,3793 3,1273 2,8139 2,4524 2,0663 1,6964 1,4185 1,3160 1,4256 1,7229 2,1546 2,6651 3,1885 3,6475 3,9814 4,1607 4,1734 4,0235 3,7496 3,4196 3,0943 2,7952 2,5137 2,2504 2,0332 1,8934 1,8379 1,8414 1,8559 1,8407 1,7889 1,7161 1,6315 1,5272 1,3887 1,2260 1,0996 1,0895 1,2302 1,4926 1,8064 2,0695 2,1598 1,9868 1,5555 0,9776 0,4082 -0,0323 -0,2935 -0,3876 -0,3626 -0,2752 -0,1743 -0,0972 -0,0811 -0,1599 -0,3321 -0,5449 -0,7220 -0,7991 -0,7386 -0,5287 -0,1909 0,1934 0,4839 0,5520 0,3689 0,0361 -0,2584 -0,3395 -0,1387 0,2811 0,7770 1,2049 1,4899 1,6482 1,7453 1,8317 1,9233 2,0298 2,1679 2,3366 2,5003 2,6179 2,6957 2,7988 2,9888 3,2623 3,5642 3,8440 4,0865 4,2893 4,4290 4,4730 4,4114 4,2559 4,0250 3,7456 3,4700 3,2710 3,1895 3,1924 3,1895 3,0877 2,8351 2,4366 1,9534 1,4923 1,1742 1,0828 1,2233 1,5121 1,8121 2,0059 2,0361 1,8874 1,5722 1,1496 0,7356 0,4635 0,4149 0,5814 0,8953 1,2928 1,7417 2,2103 2,6233 2,8765 2,9194 2,8131 2,6838 2,6213 2,6345 2,6847 2,7248 2,7144 2,6409 2,5328 2,4295 2,3349 2,2179 2,0692 1,9417 1,9208 2,0616 2,3450 2,6731 2,9138 2,9626 2,7851 2,4369 2,0515 1,7774 1,6723 1,6478 1,5492 1,2923 0,9136 0,5325 0,2887 0,2832 0,5514 1,0670 1,7479 2,4784 3,1543 3,7104 4,1081 4,3128 4,3004 4,0878 3,7479 3,3808 3,0621 2,8189 2,6463 2,5103 2,3264 1,9809 1,4211 0,7332 0,1100 -0,2748 -0,3614 -0,1940 0,1627 0,6898 1,3922 2,2193 3,0437 3,7262 4,1744 4,3392 4,2029 3,8130 3,3193 2,9239 2,7471 2,7525 2,8294 2,9176 3,0389 3,2336 3,4804 3,6847 3,7461 3,6207 3,3225 2,9000 2,4193 1,9434 1,5122 1,1392 0,8324 0,6115 0,4942 0,4796 0,5573 0,7071 0,8848 1,0362 1,1256 1,1408 1,0847 0,9818 0,8778 0,8146 0,7991 0,7983 0,7758 0,7347 0,7183 0,7719 0,9049 1,0876 1,2870 1,5009 1,7477 2,0346 2,3545 2,6994 3,0426 3,3098 3,4059 3,2917 3,0280 2,7303 2,4826 2,2980 2,1250 1,8670 1,4400 0,8530 0,2226 -0,3013 -0,6221 -0,7209 -0,6264 -0,3804 -0,0297 0,3755 0,7896 1,1610 1,4160 1,4802 1,3281 1,0077 0,6220 0,2749 0,0319 -0,0628 0,0367 0,3451 0,7995 1,2555 1,5357 1,5139 1,1852 0,6663 0,1201 -0,3389 -0,6731 -0,8720 -0,9174 -0,8066 -0,5683 -0,2484 0,0971 0,4121 0,6643 0,8588 1,0192 1,1450 1,1862 1,0668 0,7367 0,2133 -0,4133 -1,0252 -1,5454 -1,9594 -2,2586 -2,3979 -2,3353 -2,0870 -1,7183 -1,2908 -0,8341 -0,3615 0,1005 0,5191 0,8895 1,2351 1,5715 1,8897 2,1788 2,4461 2,7122 2,9893 3,2651 3,5075 3,6927 3,8271 3,9278 3,9878 3,9824 3,9134 3,8377 3,8449 3,9990 4,2948 4,6613 5,0092 5,2811 5,4659 5,5797 5,6379 5,6388 5,5605 5,3705 5,0509 4,6257 4,1618 3,7156 3,2783 2,7980 2,2570 1,7107 1,2537 0,9577 0,8323 0,8282 0,8797 0,9590 1,0834 1,2638 1,4649 1,6332 1,7521 1,8360 1,8809 1,8517 1,7086 1,4246 0,9987 0,4614 -0,1466 -0,7901 -1,4250 -1,9842 -2,3936 -2,6047 -2,6287 -2,5410 -2,4201 -2,2621 -1,9744 -1,4737 -0,7981 -0,1122 0,4083 0,6966 0,7932 0,7595 0,6344 0,4541 0,2565 0,0608 -0,1196 -0,2519 -0,3045 -0,2701 -0,1479 0,0746 0,3984 0,7826 1,1586 1,4682 1,6823 1,7962 1,8227 1,7911
F7    -0,2347 0,0861 0,3814 0,5754 0,6045 0,4671 0,2299 -0,0182 -0,2106 -0,3059 -0,2756 -0,1110 0,1660 0,5156 0,8917 1,2343 1,4801 1,6054 1,6374 1,6114 1,5343 1,3836 1,1268 0,7582 0,3264 -0,0815 -0,3879 -0,5579 -0,6001 -0,5590 -0,5029 -0,4954 -0,5761 -0,7532 -0,9934 -1,2280 -1,3844 -1,4178 -1,3162 -1,0862 -0,7458 -0,3363 0,0677 0,3728 0,4925 0,3681 -0,0122 -0,5966 -1,2680 -1,8617 -2,2134 -2,2167 -1,8615 -1,2291 -0,4457 0,3707 1,1343 1,7866 2,2828 2,5841 2,6580 2,4926 2,1189 1,6155 1,0813 0,6038 0,2432 0,0240 -0,0692 -0,0808 -0,0538 -0,0085 0,0548 0,1494 0,2983 0,5207 0,8165 1,1675 1,5589 1,9916 2,4640 2,9397 3,3406 3,5730 3,5624 3,2802 2,7544 2,0658 1,3370 0,7164 0,3477 0,3263 0,6599 1,2576 1,9655 2,6226 3,1045 3,3501 3,3761 3,2573 3,0693 2,8446 2,5934 2,3567 2,2146 2,2316 2,3942 2,6064 2,7492 2,7502 2,6136 2,3958 2,1579 1,9317 1,7095 1,4575 1,1492 0,7978 0,4570 0,1904 0,0365 -0,0084 0,0121 0,0295 -0,0203 -0,1551 -0,3225 -0,4274 -0,3840 -0,1438 0,2985 0,8993 1,5721 2,2245 2,7957 3,2508 3,5532 3,6752 3,6311 3,4723 3,2541 3,0186 2,7843 2,5336 2,2338 1,8872 1,5485 1,2911 1,1628 1,1636 1,2571 1,4163 1,6605 2,0442 2,6070 3,3348 4,1594 4,9873 5,7280 6,3063 6,6685 6,7944 6,7034 6,4448 6,0890 5,7226 5,4161 5,1789 4,9645 4,7249 4,4534 4,1934 4,0234 4,0167 4,1939 4,5067 4,8663 5,1969 5,4617 5,6252 5,6015 5,2763 4,6039 3,6721 2,6746 1,8323 1,3165 1,1922 1,4040 1,8215 2,3084 2,7631 3,1212 3,3484 3,4458 3,4491 3,4059 3,3474 3,2711 3,1432 2,9213 2,5804 2,1313 1,6337 1,1890 0,9034 0,8432 1,0102 1,3381 1,7173 2,0418 2,2495 2,3260 2,2830 2,1445 1,9578 1,7886 1,6824 1,6295 1,5805 1,4902 1,3305 1,0720 0,6971 0,2393 -0,2196 -0,5950 -0,8322 -0,9115 -0,8450 -0,6728 -0,4491 -0,2214 -0,0186 0,1538 0,3142 0,4855 0,6691 0,8430 0,9772 1,0506 1,0675 1,0486 0,9902 0,8459 0,5622 0,1329 -0,3790 -0,8693 -1,2442 -1,4549 -1,4941 -1,3758 -1,1347 -0,8304 -0,5181 -0,2111 0,1122 0,4718 0,8732 1,3106 1,7519 2,1291 2,3664 2,4187 2,2776 1,9580 1,4909 0,9223 0,3087 -0,2928 -0,8256 -1,2298 -1,4507 -1,4537 -1,2299 -0,8036 -0,2331 0,4155 1,0974 1,7763 2,3946 2,8818 3,1870 3,2990 3,2479 3,0811 2,8369 2,5509 2,2648 2,0008 1,7510 1,5077 1,2833 1,0963 0,9579 0,8797 0,8806 0,9742 1,1527 1,3877 1,6373 1,8476 1,9571 1,9125 1,6887 1,2969 0,7862 0,2482 -0,1902 -0,4138 -0,3741 -0,1002 0,3319 0,8280 1,2807 1,5820 1,6655 1,5402 1,2761 0,9554 0,6414 0,3856 0,2394 0,2342 0,3485 0,5168 0,6846 0,8463 1,0220 1,2228 1,4557 1,7318 2,0453 2,3620 2,6412 2,8491 2,9468 2,8951 2,6849 2,3546 1,9668 1,5574 1,1241 0,6765 0,2687 -0,0449 -0,2667 -0,4472 -0,6363 -0,8521 -1,0720 -1,2389 -1,2903 -1,1806 -0,8749 -0,3584 0,3218 1,0520 1,7165 2,2631 2,6914 2,9958 3,1423 3,0906 2,8207 2,3479 1,7365 1,1044 0,5960 0,3171 0,2759 0,3816 0,5100 0,5821 0,5901 0,5616 0,5187 0,4721 0,4338 0,4128 0,4104 0,4386 0,5301 0,7068 0,9330 1,1181 1,1878 1,1565 1,1124 1,1331 1,2390 1,4218 1,6824 2,0237 2,4212 2,8089 3,0822 3,1284 2,8937 2,4298 1,8689 1,3596 1,0091 0,8527 0,8667 1,0112 1,2490 1,5231 1,7481 1,8417 1,7574 1,4954 1,1107 0,7052 0,3840 0,2145 0,2173 0,3645 0,5843 0,7838 0,8855 0,8595 0,7290 0,5494 0,3797 0,2550 0,1700 0,0947 0,0087 -0,0879 -0,1863 -0,2695 -0,3073 -0,2627 -0,1060 0,1684 0,5275 0,9031 1,2151 1,3958 1,4065 1,2459 0,9465 0,5652 0,1718 -0,1603 -0,3622 -0,3784 -0,1786 0,2270 0,7706 1,3187 1,6969 1,7612 1,4772 0,9364 0,3025 -0,2623 -0,6442 -0,7970 -0,7440 -0,5648 -0,3672 -0,2442 -0,2379 -0,3467 -0,5566 -0,8442 -1,1500 -1,3699 -1,3890 -1,1300 -0,5842 0,1797 1,0369 1,8517 2,5180 2,9713 3,1844 3,1591 2,9266 2,5454 2,0808 1,5715 1,0200 0,4158 -0,2252 -0,8363 -1,3191 -1,6005 -1,6785 -1,6254 -1,5419 -1,4889 -1,4581 -1,4120 -1,3254 -1,1795 -0,9614 -0,6962 -0,4507 -0,2881 -0,2198 -0,2056 -0,1923 -0,1437 -0,0398 0,1281 0,3554 0,6260 0,9185 1,2131 1,4910 1,7291 1,9054 2,0176 2,0892 2,1483 2,2134 2,2975 2,4022 2,5181 2,6586 2,8687 3,1886 3,6240 4,1400 4,6555 5,0491 5,2030 5,0578 4,6340 4,0202 3,3472 2,7505 2,3464 2,2214 2,4039 2,8355 3,3852 3,9056 4,2836 4,4547 4,3960 4,1227 3,6892 3,1725 2,6400 2,1390 1,7058 1,3652 1,1235 0,9647 0,8497 0,7369 0,6046 0,4412 0,2330 -0,0175 -0,2802 -0,5257 -0,7513 -0,9587 -1,1221 -1,1994 -1,1769 -1,0962 -1,0334 -1,0485 -1,1558 -1,3259 -1,5006 -1,6241 -1,6877 -1,7353 -1,8284 -2,0128 -2,3059 -2,6881 -3,0933 -3,4171 -3,5394 -3,3578 -2,8357 -2,0379 -1,1186 -0,2667 0,3698 0,7422 0,8905 0,8677 0,6907 0,3636 -0,0696 -0,5120 -0,8566 -1,0405 -1,0608 -0,9599
