Fp1   -1,3061 -1,1075 -0,8285 -0,5100 -0,2162 -0,0202 0,0257 -0,0980 -0,3844 -0,7960 -1,2573 -1,6798 -2,0071 -2,2310 -2,3661 -2,4215 -2,3918 -2,2569 -1,9860 -1,5636 -1,0290 -0,4856 -0,0569 0,1823 0,2427 0,2002 0,1450 0,1402 0,2086 0,3413 0,5062 0,6558 0,7506 0,7897 0,8142 0,8785 1,0216 1,2563 1,5659 1,8991 2,1820 2,3507 2,3736 2,2526 2,0100 1,6681 1,2454 0,7862 0,3794 0,1277 0,0869 0,2252 0,4384 0,6030 0,6239 0,4614 0,1404 -0,2595 -0,6340 -0,8897 -0,9836 -0,9468 -0,8605 -0,7918 -0,7472 -0,6764 -0,5030 -0,1586 0,3797 1,0564 1,7369 2,2576 2,5074 2,4792 2,2560 1,9657 1,7497 1,7382 2,0097 2,5501 3,2545 3,9729 4,5800 5,0291 5,3429 5,5541 5,6636 5,6378 5,4322 5,0276 4,4563 3,7959 3,1415 2,5793 2,1773 1,9817 2,0015 2,1945 2,4838 2,7949 3,0779 3,3103 3,4981 3,6682 3,8454 4,0292 4,1920 4,2921 4,2887 4,1609 3,9191 3,5929 3,2133 2,8061 2,3808 1,9254 1,4220 0,8633 0,2576 -0,3640 -0,9451 -1,4178 -1,7370 -1,9083 -1,9798 -2,0018 -1,9962 -1,9602 -1,8835 -1,7615 -1,6019 -1,4193 -1,2270 -1,0335 -0,8381 -0,6308 -0,4020 -0,1526 0,0968 0,3085 0,4572 0,5647 0,6946 0,9112 1,2469 1,6992 2,2460 2,8621 3,5129 4,1313 4,6171 4,8730 4,8559 4,6065 4,2326 3,8551 3,5583 3,3864 3,3874 3,6406 4,2164 5,1099 6,2121 7,3433 8,3237 9,0324 9,4310 9,5547 9,4832 9,3003 9,0684 8,8311 8,6209 8,4499 8,3130 8,2168 8,1901 8,2599 8,4215 8,6264 8,7897 8,8130 8,6116 8,1341 7,3782 6,3976 5,3013 4,2491 3,4262 2,9798 2,9481 3,2395 3,6775 4,0712 4,2670 4,1742 3,7739 3,1239 2,3572 1,6531 1,1694 0,9736 1,0180 1,1732 1,2939 1,2765 1,0867 0,7589 0,3774 0,0513 -0,1195 -0,0865 0,1246 0,4320 0,7476 1,0160 1,2031 1,2585 1,1169 0,7516 0,2114 -0,3995 -0,9778 -1,4692 -1,8766 -2,2258 -2,5307 -2,7956 -3,0338 -3,2602 -3,4711 -3,6480 -3,7870 -3,9122 -4,0506 -4,2018 -4,3371 -4,4230 -4,4407 -4,3848 -4,2524 -4,0468 -3,7891 -3,5104 -3,2291 -2,9501 -2,6880 -2,4757 -2,3414 -2,2783 -2,2422 -2,1831 -2,0782 -1,9265 -1,7194 -1,4338 -1,0683 -0,6681 -0,3071 -0,0589 0,0142 -0,1201 -0,4401 -0,8739 -1,3300 -1,7277 -2,0163 -2,1840 -2,2540 -2,2693 -2,2726 -2,2951 -2,3530 -2,4455 -2,5510 -2,6335 -2,6640 -2,6401 -2,5806 -2,5010 -2,4054 -2,3026 -2,2186 -2,1857 -2,2202 -2,3101 -2,4221 -2,5140 -2,5389 -2,4485 -2,2151 -1,8571 -1,4391 -1,0383 -0,7005 -0,4267 -0,2085 -0,0663 -0,0451 -0,1780 -0,4573 -0,8343 -1,2317 -1,5508 -1,6840 -1,5529 -1,1484 -0,5444 0,1286 0,7413 1,2140 1,5244 1,6861 1,7220 1,6510 1,4916 1,2731 1,0383 0,8336 0,6880 0,5989 0,5390 0,4829 0,4326 0,4154 0,4556 0,5437 0,6289 0,6452 0,5577 0,3922 0,2237 0,1319 0,1599 0,2934 0,4689 0,6070 0,6472 0,5587 0,3374 0,0166 -0,3259 -0,5942 -0,7232 -0,7049 -0,5681 -0,3375 -0,0199 0,3708 0,7881 1,1689 1,4770 1,7211 1,9310 2,1269 2,2970 2,3841 2,3023 1,9953 1,4875 0,8743 0,2670 -0,2477 -0,6173 -0,8228 -0,8793 -0,8312 -0,7360 -0,6447 -0,5879 -0,5745 -0,5999 -0,6510 -0,7158 -0,7960 -0,9016 -1,0326 -1,1732 -1,3009 -1,3916 -1,4179 -1,3526 -1,1806 -0,9152 -0,6048 -0,3127 -0,0857 0,0520 0,0840 -0,0079 -0,2333 -0,5658 -0,9308 -1,2322 -1,4019 -1,4251 -1,3330 -1,1809 -1,0248 -0,9030 -0,8318 -0,8163 -0,8663 -1,0003 -1,2279 -1,5323 -1,8654 -2,1513 -2,3121 -2,3010 -2,1128 -1,7750 -1,3466 -0,9194 -0,5979 -0,4591 -0,5175 -0,7197 -0,9783 -1,2189 -1,4053 -1,5425 -1,6633 -1,8034 -1,9688 -2,1279 -2,2370 -2,2694 -2,2192 -2,0943 -1,9163 -1,7128 -1,5001 -1,2735 -1,0180 -0,7284 -0,4213 -0,1375 0,0597 0,1013 -0,0601 -0,4331 -0,9921 -1,6837 -2,4221 -3,0812 -3,5174 -3,6270 -3,3987 -2,9220 -2,3429 -1,7934 -1,3498 -1,0458 -0,9026 -0,9363 -1,1479 -1,5123 -1,9683 -2,4224 -2,7833 -3,0057 -3,1027 -3,1151 -3,0796 -3,0250 -2,9740 -2,9295 -2,8712 -2,7767 -2,6397 -2,4717 -2,2933 -2,1209 -1,9623 -1,8304 -1,7596 -1,7992 -1,9801 -2,2879 -2,6701 -3,0572 -3,3702 -3,5247 -3,4478 -3,1050 -2,5331 -1,8565 -1,2491 -0,8639 -0,7900 -1,0617 -1,6785 -2,5929 -3,6864 -4,7780 -5,6761 -6,2383 -6,4097 -6,2322 -5,8250 -5,3435 -4,9384 -4,7109 -4,6685 -4,7176 -4,7095 -4,5151 -4,0813 -3,4400 -2,6785 -1,9056 -1,2285 -0,7346 -0,4669 -0,3979 -0,4250 -0,4107 -0,2444 0,1144 0,6250 1,1824 1,6675 2,0043 2,1882 2,2822 2,3815 2,5547 2,8057 3,0912 3,3729 3,6535 3,9667 4,3347 4,7449 5,1584 5,5290 5,8171 5,9959 6,0492 5,9669 5,7424 5,3700 4,8542 4,2382 3,6099 3,0590 2,6306 2,3193 2,0919 1,9172 1,7895 1,7377 1,8096 2,0406 2,4266 2,9178 3,4422 3,9430 4,3966 4,7966 5,1295 5,3648 5,4612 5,3860 5,1392 4,7712 4,3777 4,0641 3,8905 3,8391 3,8243 3,7396 3,5136 3,1478 2,7271 2,3943 2,2800 2,4256 2,7546 3,1023 3,2787 3,1321 2,5870 1,6587 0,4552 -0,8535 -2,0999 -3,1685 -4,0005 -4,5750 -4,8983 -4,9991 -4,9198 -4,7034 -4,3917 -4,0358 -3,6961 -3,4186 -3,2126
Fz    0,4748 0,5115 0,5519 0,5275 0,3875 0,1214 -0,2373 -0,6270 -0,9838 -1,2584 -1,4229 -1,4795 -1,4696 -1,4575 -1,4977 -1,6148 -1,8046 -2,0433 -2,2934 -2,5145 -2,6816 -2,7901 -2,8417 -2,8271 -2,7228 -2,4975 -2,1213 -1,5776 -0,8743 -0,0502 0,8242 1,6630 2,3961 2,9892 3,4319 3,7142 3,8292 3,7881 3,6162 3,3325 2,9454 2,4635 1,9089 1,3292 0,7922 0,3575 0,0536 -0,1138 -0,1475 -0,0597 0,1185 0,3397 0,5547 0,7247 0,8274 0,8625 0,8518 0,8228 0,7899 0,7575 0,7321 0,7224 0,7424 0,8217 1,0025 1,3128 1,7431 2,2477 2,7674 3,2559 3,6897 4,0662 4,4019 4,7251 5,0593 5,4115 5,7703 6,1166 6,4373 6,7209 6,9453 7,0788 7,1042 7,0443 6,9548 6,8803 6,8184 6,7228 6,5430 6,2650 5,9204 5,5641 5,2533 5,0380 4,9495 4,9878 5,1229 5,3100 5,5109 5,7041 5,8818 6,0443 6,1913 6,3096 6,3643 6,3074 6,0993 5,7243 5,2047 4,6133 4,0571 3,6272 3,3505 3,1846 3,0511 2,8782 2,6329 2,3265 1,9939 1,6636 1,3409 1,0160 0,6876 0,3751 0,1105 -0,0850 -0,2222 -0,3402 -0,4774 -0,6435 -0,8094 -0,9136 -0,8825 -0,6580 -0,2122 0,4513 1,3014 2,2858 3,3319 4,3472 5,2379 5,9335 6,3964 6,6231 6,6596 6,6062 6,5866 6,7019 7,0054 7,4975 8,1258 8,7951 9,4016 9,8818 10,2398 10,5247 10,7733 10,9780 11,1131 11,1788 11,2023 11,2099 11,2109 11,2056 11,1969 11,1911 11,1979 11,2372 11,3408 11,5389 11,8456 12,2525 12,7293 13,2274 13,6874 14,0457 14,2410 14,2255 13,9746 13,4874 12,7821 11,8968 10,8912 9,8377 8,8060 7,8512 7,0148 6,3321 5,8282 5,5019 5,3142 5,1970 5,0826 4,9386 4,7706 4,5925 4,4024 4,1912 3,9614 3,7253 3,4828 3,2178 2,9236 2,6213 2,3517 2,1571 2,0726 2,1209 2,3081 2,6231 3,0369 3,4974 3,9346 4,2838 4,5105 4,6137 4,6076 4,5047 4,3160 4,0614 3,7707 3,4734 3,1907 2,9303 2,6849 2,4445 2,2071 1,9743 1,7407 1,5011 1,2693 1,0710 0,9049 0,7164 0,4158 -0,0729 -0,7644 -1,5911 -2,4190 -3,0937 -3,4979 -3,5990 -3,4534 -3,1618 -2,8132 -2,4548 -2,0935 -1,7179 -1,3210 -0,9090 -0,5009 -0,1252 0,1856 0,4073 0,5314 0,5607 0,4959 0,3374 0,1006 -0,1734 -0,4168 -0,5407 -0,4626 -0,1550 0,3276 0,8774 1,3908 1,8020 2,0741 2,1769 2,0839 1,7849 1,2931 0,6509 -0,0657 -0,7546 -1,3192 -1,7033 -1,9001 -1,9403 -1,8771 -1,7761 -1,7053 -1,7219 -1,8544 -2,0853 -2,3540 -2,5905 -2,7490 -2,8168 -2,8097 -2,7624 -2,7115 -2,6720 -2,6208 -2,5069 -2,2934 -1,9954 -1,6825 -1,4395 -1,3113 -1,2829 -1,3060 -1,3313 -1,3165 -1,2237 -1,0258 -0,7223 -0,3479 0,0439 0,4030 0,6923 0,8903 0,9958 1,0238 0,9919 0,9165 0,8253 0,7568 0,7297 0,7222 0,6965 0,6371 0,5625 0,5109 0,5191 0,6037 0,7477 0,9056 1,0241 1,0622 1,0021 0,8468 0,6154 0,3439 0,0831 -0,1120 -0,1927 -0,1312 0,0633 0,3480 0,6749 1,0080 1,3146 1,5544 1,6875 1,6882 1,5520 1,2903 0,9186 0,4572 -0,0510 -0,5361 -0,9223 -1,1522 -1,2010 -1,0804 -0,8291 -0,4895 -0,0917 0,3337 0,7346 1,0444 1,2090 1,1994 1,0072 0,6470 0,1654 -0,3653 -0,8695 -1,2883 -1,5828 -1,7299 -1,7308 -1,6225 -1,4709 -1,3445 -1,2949 -1,3516 -1,5138 -1,7393 -1,9568 -2,0996 -2,1323 -2,0597 -1,9118 -1,7138 -1,4732 -1,1985 -0,9210 -0,6879 -0,5323 -0,4592 -0,4599 -0,5301 -0,6747 -0,9033 -1,2215 -1,6233 -2,0916 -2,5936 -3,0694 -3,4380 -3,6286 -3,6057 -3,3768 -2,9908 -2,5230 -2,0548 -1,6581 -1,3821 -1,2370 -1,1914 -1,1937 -1,2067 -1,2304 -1,2976 -1,4510 -1,7181 -2,0964 -2,5563 -3,0588 -3,5711 -4,0653 -4,5042 -4,8301 -4,9734 -4,8802 -4,5363 -3,9713 -3,2530 -2,4796 -1,7692 -1,2370 -0,9609 -0,9593 -1,1990 -1,6218 -2,1628 -2,7578 -3,3482 -3,8906 -4,3622 -4,7572 -5,0730 -5,2991 -5,4194 -5,4283 -5,3426 -5,1982 -5,0323 -4,8666 -4,7086 -4,5663 -4,4536 -4,3865 -4,3798 -4,4397 -4,5537 -4,6950 -4,8383 -4,9703 -5,0870 -5,1820 -5,2381 -5,2357 -5,1684 -5,0544 -4,9359 -4,8693 -4,9052 -5,0624 -5,3128 -5,5858 -5,7932 -5,8689 -5,7989 -5,6234 -5,4040 -5,1829 -4,9665 -4,7371 -4,4718 -4,1612 -3,8198 -3,4821 -3,1914 -2,9890 -2,9073 -2,9682 -3,1817 -3,5369 -3,9918 -4,4772 -4,9135 -5,2293 -5,3699 -5,2982 -5,0040 -4,5287 -3,9762 -3,4873 -3,1945 -3,1793 -3,4453 -3,9125 -4,4379 -4,8644 -5,0829 -5,0660 -4,8536 -4,5090 -4,0760 -3,5621 -2,9537 -2,2436 -1,4381 -0,5549 0,3738 1,2969 2,1541 2,8954 3,5008 3,9881 4,4037 4,7977 5,1957 5,5778 5,8819 6,0378 6,0146 5,8453 5,6070 5,3756 5,1933 5,0614 4,9475 4,8049 4,6031 4,3537 4,1122 3,9544 3,9397 4,0793 4,3324 4,6279 4,8889 5,0472 5,0536 4,8883 4,5685 4,1503 3,7165 3,3462 3,0844 2,9358 2,8784 2,8814 2,9273 3,0224 3,1790 3,3897 3,6224 3,8432 4,0418 4,2330 4,4406 4,6833 4,9668 5,2736 5,5611 5,7772 5,8803 5,8480 5,6740 5,3679 4,9616 4,5084 4,0622 3,6514 3,2642 2,8562 2,3755 1,7857 1,0845 0,3161 -0,4406 -1,1114 -1,6656 -2,1261 -2,5481 -2,9752 -3,4092 -3,8154 -4,1549 -4,4104 -4,5913 -4,7255 -4,8390 -4,9323
F3    -1,1608 -1,1576 -1,0275 -0,8660 -0,7670 -0,7953 -0,9610 -1,2164 -1,4848 -1,7024 -1,8388 -1,8902 -1,8699 -1,8081 -1,7487 -1,7325 -1,7792 -1,8902 -2,0606 -2,2826 -2,5402 -2,8037 -3,0305 -3,1739 -3,1913 -3,0475 -2,7132 -2,1712 -1,4245 -0,5005 0,5437 1,6266 2,6749 3,6509 4,5322 5,2659 5,7643 5,9507 5,8012 5,3408 4,6174 3,6922 2,6532 1,6246 0,7435 0,1165 -0,2064 -0,2266 0,0169 0,4535 0,9839 1,4943 1,8833 2,0870 2,0896 1,9216 1,6468 1,3329 1,0232 0,7342 0,4718 0,2415 0,0597 -0,0369 -0,0079 0,1545 0,4121 0,7071 1,0038 1,3042 1,6310 2,0008 2,4161 2,8709 3,3586 3,8760 4,4140 4,9417 5,4106 5,7707 5,9781 6,0006 5,8419 5,5665 5,2829 5,0844 4,9965 4,9695 4,9243 4,8095 4,6230 4,3952 4,1752 4,0249 3,9915 4,0732 4,2206 4,3676 4,4656 4,5072 4,5262 4,5748 4,6964 4,9017 5,1565 5,3910 5,5220 5,4788 5,2340 4,8316 4,3824 4,0126 3,7965 3,7241 3,7206 3,6981 3,5964 3,3934 3,0947 2,7150 2,2588 1,7219 1,1196 0,5054 -0,0464 -0,4857 -0,8231 -1,1226 -1,4531 -1,8381 -2,2452 -2,6070 -2,8434 -2,8786 -2,6564 -2,1525 -1,3809 -0,3985 0,6989 1,8000 2,8048 3,6326 4,2186 4,5231 4,5634 4,4310 4,2619 4,1820 4,2705 4,5512 4,9960 5,5331 6,0663 6,5160 6,8612 7,1389 7,3880 7,6043 7,7576 7,8334 7,8470 7,8285 7,8078 7,8119 7,8671 7,9958 8,2117 8,5238 8,9347 9,4315 9,9827 10,5427 11,0564 11,4667 11,7285 11,8150 11,7171 11,4443 11,0141 10,4314 9,6903 8,8056 7,8399 6,8984 6,0932 5,5023 5,1475 5,0013 5,0027 5,0647 5,0840 4,9651 4,6556 4,1763 3,6126 3,0637 2,5938 2,2257 1,9600 1,7822 1,6530 1,5141 1,3192 1,0663 0,8046 0,6171 0,5926 0,7952 1,2383 1,8814 2,6391 3,3923 4,0098 4,3940 4,5203 4,4282 4,1738 3,7963 3,3293 2,8173 2,3055 1,8196 1,3632 0,9334 0,5414 0,2192 0,0068 -0,0718 -0,0329 0,0662 0,1571 0,1831 0,0919 -0,1768 -0,6807 -1,4399 -2,4005 -3,4297 -4,3520 -5,0111 -5,3265 -5,3240 -5,1200 -4,8600 -4,6433 -4,4890 -4,3530 -4,1705 -3,8947 -3,5176 -3,0686 -2,5980 -2,1540 -1,7680 -1,4520 -1,2057 -1,0317 -0,9482 -0,9793 -1,1251 -1,3383 -1,5248 -1,5754 -1,4196 -1,0692 -0,6072 -0,1366 0,2558 0,5038 0,5606 0,4048 0,0486 -0,4630 -1,0670 -1,6982 -2,2946 -2,7996 -3,1619 -3,3404 -3,3265 -3,1612 -2,9237 -2,7012 -2,5631 -2,5418 -2,6211 -2,7469 -2,8636 -2,9473 -3,0161 -3,1149 -3,2842 -3,5250 -3,7809 -3,9507 -3,9295 -3,6618 -3,1701 -2,5454 -1,9092 -1,3691 -0,9932 -0,8151 -0,8435 -1,0526 -1,3731 -1,7090 -1,9758 -2,1239 -2,1388 -2,0420 -1,8952 -1,7771 -1,7352 -1,7551 -1,7757 -1,7328 -1,5886 -1,3447 -1,0480 -0,7790 -0,6123 -0,5795 -0,6608 -0,8010 -0,9365 -1,0193 -1,0293 -0,9720 -0,8703 -0,7561 -0,6614 -0,6089 -0,6008 -0,6164 -0,6270 -0,6185 -0,5944 -0,5570 -0,4969 -0,3964 -0,2335 0,0039 0,2967 0,5995 0,8657 1,0657 1,1905 1,2498 1,2562 1,2142 1,1273 1,0100 0,8868 0,7796 0,6972 0,6397 0,6164 0,6603 0,8215 1,1322 1,5617 2,0044 2,3243 2,4120 2,2079 1,7048 0,9613 0,1115 -0,6662 -1,2140 -1,4479 -1,3612 -1,0032 -0,4629 0,1436 0,6969 1,0994 1,2903 1,2535 1,0144 0,6240 0,1393 -0,3856 -0,9021 -1,3671 -1,7309 -1,9395 -1,9672 -1,8398 -1,6117 -1,3260 -1,0055 -0,6646 -0,3238 -0,0253 0,1666 0,1899 0,0116 -0,3650 -0,9028 -1,5341 -2,1707 -2,7193 -3,0907 -3,2132 -3,0578 -2,6548 -2,0881 -1,4733 -0,9202 -0,4943 -0,2053 -0,0283 0,0704 0,1205 0,1384 0,1134 0,0070 -0,2187 -0,5710 -1,0280 -1,5568 -2,1261 -2,6991 -3,2126 -3,5737 -3,6943 -3,5346 -3,1166 -2,5107 -1,8258 -1,2037 -0,7860 -0,6558 -0,8053 -1,1566 -1,6065 -2,0654 -2,4754 -2,8141 -3,0867 -3,3114 -3,5035 -3,6611 -3,7635 -3,7906 -3,7506 -3,6866 -3,6563 -3,6962 -3,7898 -3,8781 -3,9063 -3,8578 -3,7505 -3,6134 -3,4705 -3,3357 -3,2118 -3,0961 -2,9942 -2,9203 -2,8767 -2,8451 -2,8054 -2,7542 -2,7002 -2,6534 -2,6343 -2,6816 -2,8322 -3,0926 -3,4261 -3,7619 -4,0215 -4,1473 -4,1162 -3,9367 -3,6350 -3,2394 -2,7678 -2,2330 -1,6671 -1,1368 -0,7285 -0,5092 -0,5054 -0,7159 -1,1313 -1,7261 -2,4461 -3,2156 -3,9539 -4,5805 -5,0175 -5,1963 -5,0635 -4,5987 -3,8501 -2,9525 -2,0971 -1,4721 -1,2092 -1,3575 -1,8830 -2,6728 -3,5539 -4,3473 -4,9314 -5,2656 -5,3565 -5,2044 -4,7862 -4,0866 -3,1340 -1,9994 -0,7700 0,4671 1,6297 2,6481 3,4794 4,1172 4,5915 4,9556 5,2582 5,5105 5,6742 5,6844 5,4934 5,1087 4,6136 4,1465 3,8345 3,7316 3,8000 3,9408 4,0513 4,0816 4,0567 4,0548 4,1621 4,4314 4,8561 5,3639 5,8424 6,1835 6,3133 6,1957 5,8260 5,2366 4,5062 3,7466 3,0604 2,4979 2,0540 1,7056 1,4462 1,2992 1,3073 1,4979 1,8473 2,2865 2,7453 3,1864 3,6009 3,9881 4,3456 4,6628 4,9139 5,0656 5,0972 5,0099 4,8130 4,5122 4,1157 3,6442 3,1307 2,6133 2,1220 1,6656 1,2329 0,8081 0,3811 -0,0538 -0,4990 -0,9485 -1,3887 -1,8124 -2,2349 -2,6937 -3,2280 -3,8487 -4,5246 -5,1883 -5,7529 -6,1426 -6,3239 -6,3061 -6,1148
F7    -1,1575 -1,0809 -0,9495 -0,7836 -0,6196 -0,5067 -0,4836 -0,5562 -0,6992 -0,8741 -1,0439 -1,1805 -1,2703 -1,3112 -1,3054 -1,2565 -1,1699 -1,0487 -0,8869 -0,6803 -0,4488 -0,2394 -0,1028 -0,0641 -0,1077 -0,1822 -0,2222 -0,1770 -0,0296 0,2013 0,4699 0,7215 0,9198 1,0690 1,2064 1,3684 1,5633 1,7700 1,9502 2,0582 2,0506 1,9043 1,6298 1,2681 0,8713 0,4795 0,1153 -0,1997 -0,4319 -0,5470 -0,5361 -0,4322 -0,2988 -0,2014 -0,1854 -0,2700 -0,4490 -0,6895 -0,9365 -1,1280 -1,2271 -1,2453 -1,2316 -1,2334 -1,2691 -1,3244 -1,3621 -1,3362 -1,2090 -0,9668 -0,6306 -0,2534 0,1059 0,4118 0,6569 0,8516 1,0235 1,2179 1,4791 1,8212 2,2142 2,5958 2,9058 3,1221 3,2619 3,3462 3,3723 3,3162 3,1539 2,8861 2,5452 2,1814 1,8435 1,5658 1,3664 1,2543 1,2300 1,2778 1,3653 1,4592 1,5421 1,6213 1,7247 1,8793 2,0866 2,3151 2,5150 2,6380 2,6518 2,5503 2,3564 2,1127 1,8641 1,6369 1,4269 1,2108 0,9684 0,6901 0,3694 -0,0001 -0,4183 -0,8714 -1,3315 -1,7654 -2,1465 -2,4590 -2,6980 -2,8676 -2,9746 -3,0207 -3,0016 -2,9106 -2,7436 -2,5039 -2,2060 -1,8766 -1,5502 -1,2608 -1,0350 -0,8870 -0,8109 -0,7752 -0,7337 -0,6510 -0,5162 -0,3349 -0,1121 0,1559 0,4716 0,8149 1,1355 1,3723 1,4842 1,4697 1,3640 1,2157 1,0635 0,9369 0,8811 0,9637 1,2453 1,7415 2,4043 3,1334 3,8175 4,3792 4,7947 5,0869 5,3013 5,4727 5,6054 5,6804 5,6703 5,5488 5,3041 4,9575 4,5680 4,2136 3,9576 3,8161 3,7463 3,6664 3,4951 3,1867 2,7457 2,2183 1,6750 1,1993 0,8732 0,7464 0,8067 0,9779 1,1550 1,2511 1,2228 1,0619 0,7804 0,4142 0,0310 -0,2852 -0,4748 -0,5309 -0,4964 -0,4396 -0,4253 -0,4910 -0,6368 -0,8279 -1,0044 -1,0998 -1,0692 -0,9141 -0,6828 -0,4388 -0,2248 -0,0533 0,0683 0,1099 0,0241 -0,2205 -0,6121 -1,0989 -1,6168 -2,1179 -2,5816 -3,0046 -3,3880 -3,7355 -4,0516 -4,3314 -4,5532 -4,6916 -4,7451 -4,7483 -4,7539 -4,8010 -4,8978 -5,0240 -5,1446 -5,2221 -5,2262 -5,1474 -5,0082 -4,8512 -4,7108 -4,6044 -4,5407 -4,5205 -4,5286 -4,5326 -4,4947 -4,3881 -4,2095 -3,9734 -3,6976 -3,3972 -3,0930 -2,8181 -2,6099 -2,4974 -2,4939 -2,5896 -2,7469 -2,9127 -3,0402 -3,1019 -3,0920 -3,0259 -2,9383 -2,8744 -2,8752 -2,9663 -3,1531 -3,4190 -3,7258 -4,0189 -4,2422 -4,3583 -4,3545 -4,2364 -4,0260 -3,7687 -3,5267 -3,3559 -3,2837 -3,3021 -3,3743 -3,4529 -3,4947 -3,4685 -3,3647 -3,2039 -3,0281 -2,8719 -2,7359 -2,5902 -2,4099 -2,2071 -2,0309 -1,9404 -1,9739 -2,1328 -2,3825 -2,6582 -2,8807 -2,9843 -2,9403 -2,7638 -2,5020 -2,2138 -1,9499 -1,7413 -1,5959 -1,4991 -1,4203 -1,3279 -1,2066 -1,0652 -0,9331 -0,8523 -0,8628 -0,9829 -1,1943 -1,4433 -1,6588 -1,7829 -1,7973 -1,7298 -1,6333 -1,5510 -1,4954 -1,4528 -1,4003 -1,3216 -1,2156 -1,1011 -1,0106 -0,9730 -0,9985 -1,0752 -1,1685 -1,2249 -1,1932 -1,0537 -0,8290 -0,5657 -0,3066 -0,0759 0,1144 0,2503 0,3174 0,3224 0,2975 0,2781 0,2796 0,2898 0,2732 0,1860 0,0042 -0,2531 -0,5295 -0,7659 -0,9316 -1,0274 -1,0726 -1,0964 -1,1352 -1,2203 -1,3630 -1,5491 -1,7488 -1,9330 -2,0818 -2,1860 -2,2493 -2,2855 -2,3089 -2,3257 -2,3326 -2,3182 -2,2657 -2,1585 -1,9905 -1,7767 -1,5521 -1,3559 -1,2180 -1,1579 -1,1861 -1,3039 -1,4999 -1,7468 -2,0010 -2,2132 -2,3436 -2,3773 -2,3349 -2,2659 -2,2238 -2,2449 -2,3436 -2,5160 -2,7441 -3,0028 -3,2651 -3,5007 -3,6715 -3,7358 -3,6696 -3,4852 -3,2239 -2,9353 -2,6646 -2,4492 -2,3134 -2,2623 -2,2793 -2,3357 -2,4069 -2,4847 -2,5744 -2,6847 -2,8199 -2,9762 -3,1355 -3,2652 -3,3282 -3,3000 -3,1737 -2,9531 -2,6542 -2,3130 -1,9793 -1,6970 -1,4894 -1,3589 -1,2960 -1,2890 -1,3319 -1,4283 -1,5886 -1,8244 -2,1426 -2,5352 -2,9644 -3,3558 -3,6207 -3,7004 -3,5967 -3,3649 -3,0796 -2,7981 -2,5499 -2,3532 -2,2313 -2,2122 -2,3161 -2,5423 -2,8577 -3,1980 -3,4903 -3,6893 -3,7944 -3,8304 -3,8196 -3,7730 -3,6944 -3,5828 -3,4346 -3,2561 -3,0723 -2,9180 -2,8185 -2,7783 -2,7854 -2,8233 -2,8844 -2,9770 -3,1169 -3,3093 -3,5402 -3,7748 -3,9613 -4,0449 -3,9862 -3,7719 -3,4265 -3,0254 -2,6817 -2,5033 -2,5513 -2,8346 -3,3291 -3,9881 -4,7342 -5,4566 -6,0347 -6,3764 -6,4442 -6,2619 -5,9063 -5,4877 -5,1249 -4,9106 -4,8765 -4,9816 -5,1330 -5,2261 -5,1872 -4,9947 -4,6706 -4,2579 -3,8041 -3,3511 -2,9267 -2,5377 -2,1733 -1,8179 -1,4645 -1,1179 -0,7917 -0,5032 -0,2671 -0,0892 0,0407 0,1518 0,2814 0,4478 0,6340 0,8005 0,9174 0,9916 1,0667 1,1905 1,3782 1,6042 1,8199 1,9775 2,0452 2,0095 1,8750 1,6631 1,4068 1,1417 0,8965 0,6882 0,5194 0,3785 0,2412 0,0762 -0,1384 -0,3924 -0,6378 -0,8129 -0,8785 -0,8346 -0,7094 -0,5337 -0,3197 -0,0632 0,2337 0,5423 0,8107 0,9841 1,0295 0,9494 0,7815 0,5851 0,4205 0,3239 0,2950 0,3041 0,3105 0,2753 0,1731 0,0107 -0,1643 -0,2909 -0,3434 -0,3522 -0,3857 -0,5168 -0,7958 -1,2380 -1,8222 -2,4933 -3,1748 -3,7944 -4,3090 -4,7109 -5,0161 -5,2471 -5,4195 -5,5337 -5,5759 -5,5353 -5,4248 -5,2822 -5,1450 -5,0277
