Fp1   1,7044 0,7869 -0,1035 -0,8760 -1,4033 -1,5658 -1,3553 -0,9191 -0,5021 -0,3415 -0,5633 -1,1302 -1,8737 -2,5721 -3,0282 -3,1216 -2,8244 -2,1944 -1,3503 -0,4206 0,5052 1,3767 2,1415 2,7238 3,0386 3,0183 2,6551 2,0318 1,2813 0,5162 -0,1875 -0,7546 -1,0855 -1,0798 -0,7000 -0,0208 0,7913 1,5502 2,1011 2,3234 2,1412 1,5789 0,7902 -0,0057 -0,6123 -0,9038 -0,8555 -0,5606 -0,1979 0,0532 0,0957 -0,0524 -0,2691 -0,3877 -0,3137 -0,1166 0,0156 -0,0679 -0,3571 -0,6818 -0,8304 -0,6834 -0,2515 0,3729 1,0654 1,6893 2,1153 2,2546 2,1013 1,7556 1,3841 1,1437 1,1404 1,4294 2,0141 2,8281 3,7316 4,5424 5,0806 5,2208 4,9494 4,3764 3,6999 3,1434 2,8493 2,7893 2,8193 2,8414 2,8752 2,9622 3,0546 3,0393 2,8390 2,4510 1,9043 1,2413 0,5534 -0,0267 -0,4072 -0,5965 -0,6957 -0,8521 -1,1955 -1,7873 -2,6291 -3,7031 -4,9723 -6,3523 -7,7170 -8,9383 -9,9191 -10,6091 -11,0362 -11,3340 -11,7071 -12,3498 -13,3850 -14,8351 -16,5909 -18,4094 -19,9897 -21,0987 -21,6520 -21,6779 -21,2106 -20,2389 -18,7591 -16,8463 -14,6449 -12,2947 -9,8872 -7,4794 -5,1029 -2,7417 -0,3404 2,1427 4,7082 7,3387 10,0282 12,7664 15,5059 18,1584 20,6121 22,7659 24,5858 26,1301 27,5149 28,8696 30,2943 31,8143 33,3734 34,8974 36,3568 37,7469 39,0270 40,1099 40,9070 41,3631 41,4536 41,1674 40,5080 39,5046 38,2293 36,8211 35,4691 34,3290 33,4351 32,7052 32,0233 31,3088 30,5355 29,7152 28,8625 27,9663 26,9919 25,9180 24,7750 23,6383 22,5743 21,5855 20,6103 19,5801 18,4665 17,2682 15,9765 14,5905 13,1633 11,7891 10,5206 9,3164 8,0778 6,7279 5,2703 3,8044 2,4897 1,4680 0,7849 0,3788 0,1576 0,0658 0,0615 0,0697 -0,0065 -0,2397 -0,6491 -1,1957 -1,7856 -2,2774 -2,5182 -2,4138 -1,9737 -1,2910 -0,4806 0,3791 1,2574 2,1268 2,9186 3,5309 3,8801 3,9550 3,8249 3,5832 3,2966 3,0026 2,7125 2,4029 2,0445 1,6591 1,3290 1,1372 1,1049 1,1670 1,1745 0,9495 0,3811 -0,5285 -1,6878 -2,9554 -4,1777 -5,2112 -5,9388 -6,3163 -6,4109 -6,3626 -6,2999 -6,2982 -6,3926 -6,5816 -6,8180 -7,0393 -7,2262 -7,4281 -7,7322 -8,1881 -8,7472 -9,2783 -9,6465 -9,8019 -9,8313 -9,9327 -10,3041 -11,0170 -11,9606 -12,8876 -13,5432 -13,8032 -13,7159 -13,4337 -13,1341 -12,9783 -13,0680 -13,3989 -13,8594 -14,2888 -14,5610 -14,6391 -14,5652 -14,4263 -14,3358 -14,4000 -14,6638 -15,0896 -15,5849 -16,0474 -16,3925 -16,5473 -16,4553 -16,1179 -15,6204 -15,0913 -14,6514 -14,4010 -14,4052 -14,6457 -15,0029 -15,3202 -15,4918 -15,4860 -15,3135 -15,0070 -14,6164 -14,1951 -13,7808 -13,3795 -12,9863 -12,6415 -12,4176 -12,3388 -12,3486 -12,3398 -12,2111 -11,9368 -11,5940 -11,2934 -11,0942 -10,9951 -10,9776 -11,0305 -11,1364 -11,2612 -11,3728 -11,4559 -11,4946 -11,4597 -11,3124 -11,0102 -10,5316 -9,9267 -9,3367 -8,9376 -8,8426 -9,0458 -9,4453 -9,9098 -10,3280 -10,6165 -10,7073 -10,5482 -10,1088 -9,3831 -8,4143 -7,3218 -6,2676 -5,3788 -4,7130 -4,2792 -4,0665 -4,0577 -4,2260 -4,5219 -4,8661 -5,1448 -5,2199 -4,9865 -4,4471 -3,7158 -2,9489 -2,2749 -1,7589 -1,4037 -1,1749 -1,0188 -0,8868 -0,7737 -0,7295 -0,8193 -1,0613 -1,3855 -1,6494 -1,7220 -1,5820 -1,3356 -1,1264 -1,0198 -0,9699 -0,8923 -0,7542 -0,5928 -0,4834 -0,5004 -0,6747 -0,9957 -1,4778 -2,1841 -3,1295 -4,1840 -5,1024 -5,6273 -5,5772 -4,9097 -3,7324 -2,2291 -0,5732 1,0896 2,6270 3,9357 4,9546 5,6429 5,9573 5,8713 5,4147 4,6820 3,7941 2,8606 1,9809 1,2504 0,7410 0,4907 0,5131 0,7995 1,3040 1,9336 2,5680 3,1039 3,4886 3,7211 3,8238 3,8014 3,6174 3,2160 2,5874 1,8101 1,0215 0,3482 -0,1524 -0,5054 -0,7765 -1,0013 -1,1481 -1,1527 -0,9812 -0,6453 -0,1665 0,4435 1,1548 1,8878 2,5450 3,0632 3,4171 3,6121 3,7001 3,7636 3,8577 3,9710 4,0383 3,9839 3,7567 3,3371 2,7369 2,0139 1,2798 0,6709 0,3064 0,2601 0,5457 1,1117 1,8631 2,7040 3,5681 4,4031 5,1548 5,8024 6,3734 6,8727 7,2162 7,2635 6,9126 6,1726 5,1633 4,0539 2,9860 2,0208 1,1357 0,2844 -0,5211 -1,1903 -1,6277 -1,8209 -1,8597 -1,8733 -1,9495 -2,1079 -2,3285 -2,5961 -2,9496 -3,4914 -4,3082 -5,3886 -6,6390 -7,9627 -9,2963 -10,5789 -11,7233 -12,6493 -13,3492 -13,8948 -14,3717 -14,8099 -15,1696 -15,3753 -15,3618 -15,0996 -14,6139 -14,0010 -13,3906 -12,8612 -12,3982 -11,9178 -11,3007 -10,4247 -9,2039 -7,6242 -5,7649 -3,7712 -1,7690 0,1858 2,0729 3,8581 5,4909 6,9406 8,2309 9,4404 10,6648 11,9633 13,3254 14,6999 16,0475 17,3288 18,4643 19,3548 19,9419 20,2530 20,3832 20,3985 20,2605 19,8679 19,1573 18,1583 16,9756 15,7266 14,4769 13,2106 11,8679 10,4349 8,9925 7,6671 6,5488 5,6413 4,8588 4,0842 3,2602 2,4276 1,6613 0,9739 0,2949 -0,4587 -1,3056 -2,1795 -2,9727 -3,6047 -4,0428 -4,2771 -4,3076 -4,1539 -3,8679 -3,5406 -3,2856 -3,1984 -3,3207 -3,6371 -4,0953 -4,6188 -5,1218 -5,5432 -5,8651 -6,1037 -6,3024 -6,5184 -6,7940 -7,1333 -7,4798 -7,7048 -7,6737 -7,3640 -6,9125 -6,5461 -6,4549 -6,6829 -7,0985 -7,4788 -7,6680 -7,6812 -7,6611 -7,7601 -8,0693 -8,6093 -9,3459 -10,2054 -11,0672 -11,7614
Fz    1,8092 1,3286 0,8806 0,4990 0,2240 0,0922 0,1013 0,1940 0,2742 0,2414 0,0360 -0,3261 -0,7629 -1,1716 -1,4735 -1,6305 -1,6390 -1,5219 -1,3195 -1,0722 -0,8052 -0,5360 -0,2913 -0,1095 -0,0297 -0,0768 -0,2444 -0,4872 -0,7401 -0,9464 -1,0689 -1,0789 -0,9458 -0,6473 -0,1942 0,3563 0,9167 1,4013 1,7436 1,8947 1,8311 1,5782 1,2128 0,8304 0,5094 0,2972 0,2055 0,2048 0,2330 0,2236 0,1378 -0,0190 -0,1967 -0,3241 -0,3595 -0,3269 -0,2992 -0,3404 -0,4564 -0,5855 -0,6372 -0,5473 -0,3056 0,0543 0,4744 0,8899 1,2439 1,4983 1,6427 1,7054 1,7451 1,8260 1,9967 2,2803 2,6713 3,1337 3,6069 4,0195 4,3040 4,4139 4,3406 4,1168 3,8090 3,4965 3,2291 2,9922 2,7344 2,4351 2,1248 1,8354 1,5525 1,2290 0,8304 0,3593 -0,1526 -0,6532 -1,0733 -1,3465 -1,4415 -1,3760 -1,2096 -1,0269 -0,9075 -0,9001 -1,0269 -1,2993 -1,7114 -2,2215 -2,7561 -3,2393 -3,6213 -3,8914 -4,0808 -4,2571 -4,5060 -4,9061 -5,5090 -6,3223 -7,2945 -8,3184 -9,2664 -10,0404 -10,5970 -10,9301 -11,0322 -10,8796 -10,4562 -9,7831 -8,9169 -7,9201 -6,8403 -5,7115 -4,5568 -3,3816 -2,1784 -0,9405 0,3304 1,6274 2,9420 4,2602 5,5554 6,7903 7,9235 8,9213 9,7760 10,5176 11,2052 11,9054 12,6664 13,4979 14,3699 15,2419 16,0932 16,9132 17,6727 18,3256 18,8338 19,1830 19,3771 19,4281 19,3505 19,1620 18,8914 18,5906 18,3317 18,1754 18,1350 18,1768 18,2491 18,3048 18,3092 18,2437 18,0997 17,8667 17,5275 17,0746 16,5311 15,9475 15,3704 14,8120 14,2473 13,6394 12,9637 12,2051 11,3488 10,3934 9,3735 8,3529 7,3837 6,4768 5,6113 4,7655 3,9428 3,1780 2,5224 2,0188 1,6771 1,4701 1,3582 1,3114 1,3017 1,2913 1,2382 1,1090 0,8879 0,5823 0,2265 -0,1198 -0,3869 -0,5247 -0,5215 -0,3985 -0,1904 0,0717 0,3674 0,6765 0,9639 1,1795 1,2780 1,2477 1,1214 0,9548 0,7984 0,6829 0,6119 0,5648 0,5180 0,4693 0,4401 0,4568 0,5269 0,6222 0,6753 0,6070 0,3720 -0,0221 -0,5298 -1,0884 -1,6289 -2,0839 -2,4002 -2,5613 -2,6009 -2,5817 -2,5567 -2,5534 -2,5835 -2,6469 -2,7323 -2,8255 -2,9216 -3,0300 -3,1707 -3,3566 -3,5718 -3,7716 -3,9122 -3,9890 -4,0544 -4,1929 -4,4662 -4,8688 -5,3260 -5,7256 -5,9668 -6,0054 -5,8694 -5,6329 -5,3818 -5,1903 -5,0998 -5,1012 -5,1372 -5,1375 -5,0622 -4,9209 -4,7552 -4,6163 -4,5530 -4,6006 -4,7668 -5,0333 -5,3677 -5,7344 -6,0955 -6,4066 -6,6246 -6,7310 -6,7407 -6,6858 -6,6003 -6,5196 -6,4743 -6,4692 -6,4748 -6,4466 -6,3535 -6,1879 -5,9555 -5,6681 -5,3424 -5,0022 -4,6791 -4,4040 -4,2041 -4,1083 -4,1370 -4,2782 -4,4845 -4,6911 -4,8397 -4,9086 -4,9222 -4,9216 -4,9254 -4,9288 -4,9278 -4,9328 -4,9566 -5,0009 -5,0584 -5,1188 -5,1634 -5,1676 -5,1118 -4,9879 -4,8034 -4,5926 -4,4164 -4,3381 -4,3861 -4,5366 -4,7307 -4,9064 -5,0188 -5,0404 -4,9528 -4,7422 -4,4035 -3,9457 -3,3990 -2,8192 -2,2715 -1,8048 -1,4402 -1,1800 -1,0192 -0,9537 -0,9797 -1,0855 -1,2413 -1,3905 -1,4563 -1,3760 -1,1405 -0,7975 -0,4189 -0,0643 0,2364 0,4779 0,6654 0,8099 0,9270 1,0258 1,0995 1,1335 1,1233 1,0912 1,0837 1,1404 1,2556 1,3776 1,4510 1,4621 1,4418 1,4292 1,4372 1,4505 1,4406 1,3820 1,2683 1,1133 0,9242 0,6886 0,4037 0,1099 -0,1178 -0,2023 -0,0895 0,2342 0,7396 1,3783 2,1061 2,8764 3,6326 4,3202 4,9005 5,3439 5,6212 5,7078 5,5995 5,3209 4,9177 4,4416 3,9421 3,4615 3,0298 2,6691 2,4036 2,2553 2,2261 2,2897 2,4040 2,5319 2,6528 2,7609 2,8502 2,8976 2,8618 2,7037 2,4168 2,0368 1,6220 1,2238 0,8685 0,5591 0,2882 0,0564 -0,1145 -0,1872 -0,1339 0,0459 0,3344 0,7082 1,1336 1,5555 1,9087 2,1433 2,2342 2,1828 2,0233 1,8158 1,6206 1,4685 1,3531 1,2496 1,1373 1,0021 0,8331 0,6302 0,4142 0,2250 0,1088 0,1027 0,2232 0,4624 0,7943 1,1913 1,6356 2,1127 2,6034 3,0956 3,5878 4,0614 4,4617 4,7180 4,7811 4,6500 4,3696 4,0052 3,6116 3,2138 2,8083 2,3878 1,9737 1,6217 1,3871 1,2859 1,2838 1,3222 1,3566 1,3718 1,3675 1,3347 1,2407 1,0355 0,6869 0,2077 -0,3593 -0,9755 -1,6175 -2,2599 -2,8648 -3,4002 -3,8649 -4,2854 -4,6883 -5,0777 -5,4298 -5,7010 -5,8479 -5,8479 -5,7137 -5,4969 -5,2668 -5,0686 -4,8985 -4,7112 -4,4445 -4,0449 -3,4839 -2,7639 -1,9217 -1,0208 -0,1240 0,7327 1,5372 2,2859 2,9774 3,6178 4,2262 4,8353 5,4816 6,1828 6,9261 7,6853 8,4432 9,1808 9,8571 10,4201 10,8357 11,1086 11,2737 11,3577 11,3484 11,2101 10,9220 10,4958 9,9657 9,3704 8,7387 8,0820 7,3996 6,7022 6,0295 5,4374 4,9704 4,6390 4,4149 4,2526 4,1240 4,0331 3,9944 4,0003 4,0174 4,0144 3,9862 3,9497 3,9195 3,8900 3,8432 3,7729 3,6911 3,6123 3,5350 3,4399 3,3015 3,1014 2,8338 2,5045 2,1269 1,7257 1,3371 0,9923 0,7056 0,4749 0,2828 0,1024 -0,0891 -0,3005 -0,5163 -0,6870 -0,7546 -0,7041 -0,5853 -0,4860 -0,4863 -0,6177 -0,8436 -1,0834 -1,2763 -1,4280 -1,5939 -1,8275 -2,1480 -2,5386 -2,9618 -3,3755 -3,7349 -3,9879
F3    1,2897 0,8988 0,5228 0,1923 -0,0414 -0,1275 -0,0680 0,0622 0,1443 0,0675 -0,2180 -0,6742 -1,1979 -1,6713 -2,0038 -2,1493 -2,1050 -1,9040 -1,6020 -1,2519 -0,8856 -0,5234 -0,1955 0,0561 0,1908 0,1846 0,0456 -0,1792 -0,4268 -0,6508 -0,8251 -0,9200 -0,8849 -0,6670 -0,2533 0,3043 0,9098 1,4655 1,8936 2,1339 2,1517 1,9631 1,6407 1,2787 0,9565 0,7269 0,6105 0,5855 0,5918 0,5583 0,4396 0,2431 0,0335 -0,0976 -0,0978 -0,0028 0,0873 0,0849 -0,0207 -0,1559 -0,2144 -0,1247 0,1235 0,4935 0,9213 1,3338 1,6662 1,8745 1,9486 1,9210 1,8562 1,8266 1,8942 2,0992 2,4462 2,8984 3,3883 3,8351 4,1617 4,3146 4,2835 4,1030 3,8411 3,5797 3,3729 3,2092 3,0362 2,8290 2,6158 2,4287 2,2556 2,0528 1,7876 1,4577 1,0820 0,6916 0,3343 0,0645 -0,0847 -0,1202 -0,0861 -0,0516 -0,0847 -0,2256 -0,4902 -0,8872 -1,4113 -2,0210 -2,6392 -3,1806 -3,5831 -3,8268 -3,9453 -4,0264 -4,1888 -4,5429 -5,1540 -6,0193 -7,0616 -8,1470 -9,1286 -9,8972 -10,4082 -10,6611 -10,6562 -10,3760 -9,8100 -8,9888 -7,9816 -6,8594 -5,6706 -4,4459 -3,2047 -1,9486 -0,6647 0,6572 2,0150 3,3994 4,8023 6,2148 7,6179 8,9788 10,2544 11,4027 12,4073 13,2927 14,1150 14,9386 15,8141 16,7547 17,7295 18,6921 19,6174 20,4943 21,2934 21,9637 22,4555 22,7392 22,8138 22,7046 22,4509 22,0932 21,6757 21,2616 20,9291 20,7346 20,6780 20,7091 20,7638 20,7900 20,7553 20,6437 20,4456 20,1463 19,7253 19,1731 18,5125 17,7959 17,0776 16,3815 15,6942 14,9845 14,2285 13,4131 12,5307 11,5855 10,6066 9,6409 8,7192 7,8344 6,9582 6,0763 5,2072 4,3975 3,7043 3,1723 2,8118 2,5929 2,4700 2,4072 2,3761 2,3446 2,2786 2,1498 1,9433 1,6642 1,3429 1,0408 0,8361 0,7848 0,8919 1,1170 1,4016 1,7024 2,0031 2,2971 2,5628 2,7620 2,8618 2,8602 2,7908 2,6984 2,6160 2,5600 2,5251 2,4854 2,4170 2,3250 2,2415 2,2012 2,2164 2,2629 2,2751 2,1716 1,9036 1,4807 0,9553 0,3964 -0,1270 -0,5521 -0,8313 -0,9540 -0,9595 -0,9144 -0,8748 -0,8740 -0,9341 -1,0691 -1,2731 -1,5220 -1,7916 -2,0740 -2,3765 -2,6992 -3,0108 -3,2548 -3,3862 -3,4116 -3,4030 -3,4703 -3,7002 -4,1021 -4,5995 -5,0639 -5,3711 -5,4577 -5,3438 -5,1075 -4,8450 -4,6422 -4,5492 -4,5607 -4,6203 -4,6540 -4,6132 -4,4986 -4,3470 -4,2075 -4,1310 -4,1589 -4,3055 -4,5564 -4,8807 -5,2432 -5,6070 -5,9283 -6,1615 -6,2809 -6,2926 -6,2221 -6,1027 -5,9781 -5,8914 -5,8562 -5,8426 -5,8036 -5,7111 -5,5608 -5,3533 -5,0863 -4,7661 -4,4167 -4,0747 -3,7729 -3,5348 -3,3882 -3,3581 -3,4385 -3,5880 -3,7461 -3,8562 -3,8935 -3,8766 -3,8421 -3,8106 -3,7817 -3,7505 -3,7172 -3,6818 -3,6388 -3,5845 -3,5204 -3,4437 -3,3405 -3,1926 -2,9844 -2,7155 -2,4208 -2,1728 -2,0510 -2,0969 -2,2923 -2,5746 -2,8715 -3,1251 -3,2967 -3,3591 -3,2952 -3,0995 -2,7788 -2,3570 -1,8837 -1,4239 -1,0315 -0,7335 -0,5367 -0,4377 -0,4291 -0,5012 -0,6356 -0,7936 -0,9085 -0,8975 -0,7027 -0,3340 0,1330 0,6033 1,0064 1,3152 1,5370 1,6982 1,8343 1,9770 2,1337 2,2821 2,3857 2,4206 2,3982 2,3667 2,3758 2,4311 2,4887 2,5028 2,4730 2,4441 2,4647 2,5469 2,6617 2,7618 2,8059 2,7778 2,6834 2,5216 2,2713 1,9266 1,5357 1,1908 0,9876 0,9961 1,2383 1,6842 2,2795 2,9754 3,7266 4,4815 5,1896 5,8101 6,3060 6,6356 6,7638 6,6857 6,4377 6,0845 5,6926 5,3142 4,9836 4,7179 4,5259 4,4195 4,4103 4,4932 4,6356 4,7880 4,9096 4,9837 5,0124 4,9997 4,9350 4,7898 4,5332 4,1630 3,7203 3,2738 2,8866 2,5903 2,3816 2,2393 2,1495 2,1207 2,1740 2,3214 2,5581 2,8735 3,2582 3,6882 4,1120 4,4661 4,7021 4,7927 4,7342 4,5571 4,3223 4,0908 3,8900 3,7076 3,5167 3,3034 3,0678 2,8114 2,5397 2,2784 2,0743 1,9775 2,0219 2,2170 2,5473 2,9782 3,4715 4,0000 4,5433 5,0801 5,5999 6,1050 6,5769 6,9548 7,1594 7,1393 6,8973 6,4871 5,9873 5,4677 4,9641 4,4794 4,0130 3,5948 3,2863 3,1419 3,1663 3,3056 3,4787 3,6243 3,7196 3,7648 3,7543 3,6568 3,4195 3,0047 2,4254 1,7343 0,9866 0,2219 -0,5228 -1,2008 -1,7755 -2,2492 -2,6608 -3,0504 -3,4295 -3,7747 -4,0417 -4,1875 -4,1873 -4,0477 -3,8123 -3,5427 -3,2797 -3,0233 -2,7413 -2,3862 -1,9121 -1,2896 -0,5172 0,3693 1,3054 2,2319 3,1217 3,9716 4,7802 5,5396 6,2434 6,8977 7,5268 8,1674 8,8469 9,5623 10,2901 11,0115 11,7048 12,3243 12,8127 13,1379 13,3170 13,4054 13,4469 13,4331 13,3159 13,0531 12,6368 12,0897 11,4489 10,7486 10,0058 9,2206 8,4053 7,6081 6,9000 6,3397 5,9457 5,6896 5,5198 5,4006 5,3301 5,3197 5,3589 5,4064 5,4160 5,3651 5,2597 5,1166 4,9448 4,7478 4,5399 4,3471 4,1894 4,0607 3,9284 3,7550 3,5203 3,2255 2,8840 2,5146 2,1439 1,8051 1,5227 1,3030 1,1376 1,0036 0,8677 0,6993 0,4846 0,2457 0,0524 -0,0121 0,0825 0,2851 0,4919 0,6046 0,5820 0,4609 0,3252 0,2348 0,1763 0,0850 -0,0973 -0,3919 -0,7852 -1,2445 -1,7305 -2,1932 -2,5655
F7    0,7817 0,4890 0,1831 -0,1049 -0,3147 -0,3845 -0,3073 -0,1482 -0,0090 0,0158 -0,1274 -0,4266 -0,8065 -1,1618 -1,3987 -1,4619 -1,3411 -1,0694 -0,7110 -0,3287 0,0453 0,4009 0,7215 0,9786 1,1400 1,1704 1,0477 0,7912 0,4567 0,1010 -0,2345 -0,5045 -0,6469 -0,6022 -0,3568 0,0352 0,4771 0,8712 1,1414 1,2350 1,1293 0,8516 0,4773 0,0950 -0,2254 -0,4363 -0,5149 -0,4721 -0,3480 -0,1925 -0,0460 0,0681 0,1536 0,2429 0,3627 0,4896 0,5559 0,5080 0,3566 0,1792 0,0708 0,0868 0,2279 0,4628 0,7471 1,0288 1,2529 1,3714 1,3674 1,2799 1,1914 1,1852 1,3122 1,5849 1,9824 2,4572 2,9442 3,3704 3,6673 3,7881 3,7263 3,5236 3,2638 3,0456 2,9234 2,8633 2,7865 2,6591 2,5194 2,4113 2,3246 2,2125 2,0424 1,8140 1,5414 1,2430 0,9557 0,7381 0,6384 0,6604 0,7594 0,8625 0,8985 0,8247 0,6234 0,2834 -0,1937 -0,7710 -1,3774 -1,9366 -2,3897 -2,7082 -2,9058 -3,0401 -3,1948 -3,4507 -3,8639 -4,4486 -5,1608 -5,8983 -6,5372 -6,9888 -7,2332 -7,2988 -7,2074 -6,9448 -6,4875 -5,8434 -5,0546 -4,1686 -3,2197 -2,2329 -1,2233 -0,1907 0,8703 1,9570 3,0642 4,1950 5,3603 6,5675 7,8096 9,0594 10,2702 11,3887 12,3817 13,2533 14,0413 14,8027 15,5895 16,4163 17,2496 18,0416 18,7734 19,4509 20,0701 20,6109 21,0597 21,4140 21,6641 21,7821 21,7333 21,5008 21,1079 20,6293 20,1692 19,8036 19,5394 19,3328 19,1386 18,9349 18,7193 18,4905 18,2341 17,9204 17,5149 16,9978 16,3855 15,7295 15,0852 14,4785 13,9027 13,3424 12,7924 12,2451 11,6714 11,0363 10,3370 9,6093 8,8892 8,1798 7,4561 6,6974 5,9136 5,1477 4,4607 3,9047 3,4949 3,2090 3,0190 2,9096 2,8575 2,8186 2,7481 2,6234 2,4441 2,2206 1,9742 1,7486 1,6038 1,5862 1,7058 1,9389 2,2426 2,5728 2,8990 3,2043 3,4727 3,6779 3,7899 3,7967 3,7145 3,5731 3,4002 3,2191 3,0420 2,8626 2,6735 2,4918 2,3572 2,3061 2,3465 2,4457 2,5294 2,5119 2,3437 2,0293 1,6097 1,1405 0,6815 0,2904 0,0129 -0,1342 -0,1739 -0,1542 -0,1205 -0,1045 -0,1306 -0,2124 -0,3460 -0,5211 -0,7349 -0,9928 -1,3013 -1,6477 -1,9773 -2,2080 -2,2846 -2,2270 -2,1341 -2,1380 -2,3343 -2,7341 -3,2592 -3,7731 -4,1400 -4,2910 -4,2515 -4,1088 -3,9628 -3,8959 -3,9520 -4,1247 -4,3616 -4,5863 -4,7339 -4,7782 -4,7318 -4,6344 -4,5430 -4,5106 -4,5618 -4,6899 -4,8740 -5,0917 -5,3194 -5,5223 -5,6562 -5,6977 -5,6666 -5,6042 -5,5422 -5,5012 -5,4980 -5,5347 -5,5869 -5,6167 -5,5946 -5,5093 -5,3639 -5,1678 -4,9298 -4,6627 -4,3888 -4,1340 -3,9231 -3,7872 -3,7538 -3,8200 -3,9489 -4,0831 -4,1634 -4,1621 -4,0983 -4,0121 -3,9292 -3,8571 -3,7996 -3,7615 -3,7402 -3,7216 -3,6899 -3,6344 -3,5453 -3,4145 -3,2396 -3,0229 -2,7767 -2,5418 -2,3855 -2,3683 -2,5088 -2,7765 -3,1119 -3,4533 -3,7478 -3,9494 -4,0196 -3,9348 -3,6941 -3,3238 -2,8764 -2,4188 -2,0113 -1,6880 -1,4586 -1,3199 -1,2630 -1,2772 -1,3553 -1,4883 -1,6480 -1,7753 -1,7921 -1,6434 -1,3350 -0,9296 -0,5068 -0,1278 0,1783 0,4072 0,5688 0,6843 0,7792 0,8659 0,9333 0,9540 0,9055 0,7985 0,6851 0,6255 0,6393 0,6969 0,7571 0,8068 0,8664 0,9603 1,0861 1,2116 1,2911 1,2850 1,1805 0,9929 0,7340 0,3932 -0,0284 -0,4760 -0,8511 -1,0558 -1,0300 -0,7705 -0,3279 0,2274 0,8364 1,4510 2,0266 2,5321 2,9542 3,2817 3,4905 3,5565 3,4830 3,3070 3,0808 2,8502 2,6502 2,5072 2,4347 2,4353 2,5106 2,6595 2,8649 3,0877 3,2757 3,3880 3,4132 3,3680 3,2782 3,1582 3,0004 2,7867 2,5129 2,2015 1,8951 1,6347 1,4400 1,3064 1,2188 1,1723 1,1788 1,2538 1,3956 1,5877 1,8229 2,1161 2,4797 2,8900 3,2910 3,6256 3,8547 3,9617 3,9581 3,8810 3,7727 3,6575 3,5356 3,3973 3,2404 3,0700 2,8873 2,6916 2,4977 2,3427 2,2713 2,3151 2,4811 2,7521 3,0930 3,4672 3,8501 4,2225 4,5636 4,8701 5,1619 5,4448 5,6753 5,7750 5,6779 5,3716 4,9052 4,3629 3,8232 3,3307 2,8921 2,5010 2,1691 1,9309 1,8163 1,8220 1,9054 2,0061 2,0780 2,1043 2,0857 2,0207 1,8875 1,6425 1,2530 0,7285 0,1111 -0,5583 -1,2530 -1,9424 -2,5736 -3,0933 -3,4885 -3,7926 -4,0527 -4,2967 -4,5174 -4,6779 -4,7368 -4,6727 -4,4948 -4,2415 -3,9601 -3,6787 -3,3944 -3,0810 -2,7006 -2,2137 -1,5919 -0,8323 0,0334 0,9451 1,8465 2,7098 3,5288 4,2990 5,0107 5,6546 6,2319 6,7618 7,2814 7,8216 8,3803 8,9307 9,4518 9,9272 10,3254 10,6073 10,7571 10,8016 10,7978 10,7863 10,7538 10,6454 10,4131 10,0494 9,5829 9,0520 8,4823 7,8740 7,2105 6,4928 5,7641 5,0957 4,5501 4,1487 3,8633 3,6403 3,4396 3,2551 3,1014 2,9792 2,8576 2,6957 2,4737 2,2041 1,9215 1,6628 1,4538 1,3092 1,2337 1,2166 1,2272 1,2204 1,1565 1,0206 0,8237 0,5896 0,3442 0,1162 -0,0653 -0,1851 -0,2473 -0,2698 -0,2809 -0,3170 -0,4108 -0,5768 -0,7945 -1,0000 -1,1196 -1,1266 -1,0601 -0,9939 -0,9879 -1,0500 -1,1269 -1,1402 -1,0549 -0,9183 -0,8253 -0,8484 -1,0054 -1,2751 -1,6266 -2,0303 -2,4452 -2,8041
