Fp1   -0,0663 -0,0926 -0,2080 -0,5113 -1,0171 -1,6368 -2,2293 -2,6824 -2,9766 -3,1771 -3,3694 -3,6047 -3,8848 -4,1692 -4,3949 -4,5080 -4,4864 -4,3372 -4,0813 -3,7373 -3,3136 -2,8171 -2,2544 -1,6206 -0,9077 -0,1358 0,6340 1,3260 1,8857 2,2886 2,5264 2,5987 2,5332 2,3991 2,2685 2,1715 2,1111 2,1040 2,1839 2,3707 2,6515 2,9946 3,3634 3,7119 3,9926 4,1726 4,2277 4,1439 3,9331 3,6271 3,2713 2,9288 2,6627 2,4960 2,3946 2,2944 2,1387 1,9028 1,6036 1,2641 0,8571 0,3230 -0,3438 -1,0614 -1,7089 -2,1868 -2,4555 -2,5657 -2,6674 -2,9594 -3,5754 -4,4964 -5,5520 -6,4853 -7,0515 -7,1254 -6,7299 -5,9730 -4,9790 -3,8543 -2,6650 -1,4340 -0,1756 1,0675 2,2225 3,2176 4,0118 4,6025 5,0208 5,3338 5,6327 5,9926 6,4400 6,9484 7,4548 7,8850 8,1848 8,3366 8,3444 8,2115 7,9429 7,5624 7,1206 6,6810 6,2998 6,0161 5,8506 5,8011 5,8283 5,8546 5,7823 5,5253 5,0455 4,3768 3,6282 2,9532 2,4769 2,2174 2,0717 1,8909 1,5710 1,0835 0,4680 -0,1747 -0,7027 -0,9828 -0,9387 -0,5598 0,1187 1,0060 1,9410 2,7461 3,3126 3,6430 3,8337 4,0036 4,1989 4,3752 4,4846 4,5534 4,6645 4,8981 5,2970 5,8614 6,5622 7,3528 8,1769 8,9854 9,7489 10,4622 11,1408 11,7926 12,3793 12,8116 12,9989 12,9103 12,5807 12,0744 11,4844 10,9482 10,6176 10,5942 10,8851 11,4135 12,0679 12,7487 13,3974 14,0002 14,5545 15,0312 15,3725 15,5273 15,4921 15,3105 15,0367 14,7003 14,2852 13,7340 12,9970 12,0842 11,0645 10,0298 9,0696 8,2332 7,4840 6,7146 5,8374 4,8726 3,9695 3,3358 3,1029 3,2309 3,5375 3,8107 3,9006 3,7539 3,4158 3,0013 2,6333 2,3771 2,2172 2,0977 1,9810 1,8610 1,7375 1,6063 1,4803 1,4016 1,4209 1,5724 1,8716 2,3148 2,8611 3,4135 3,8529 4,1117 4,2076 4,2260 4,2917 4,5145 4,9273 5,4739 6,0487 6,5595 6,9820 7,3677 7,7746 8,1765 8,4712 8,5807 8,5075 8,3038 8,0338 7,7579 7,5071 7,2628 6,9705 6,5767 6,0672 5,4915 4,9512 4,5638 4,4249 4,5824 5,0325 5,7337 6,6225 7,6125 8,5843 9,3989 9,9366 10,1201 9,9241 9,3887 8,6225 7,7799 7,0202 6,4563 6,1061 5,8817 5,6471 5,3130 4,8916 4,4694 4,1184 3,8280 3,5333 3,1864 2,7730 2,2782 1,6762 0,9649 0,2009 -0,5040 -1,0240 -1,2763 -1,2524 -0,9984 -0,5777 -0,0557 0,5027 1,0390 1,5017 1,8471 2,0466 2,0777 1,9073 1,5185 0,9631 0,3527 -0,2133 -0,6931 -1,0778 -1,3414 -1,4230 -1,2505 -0,7899 -0,0715 0,8335 1,8425 2,8562 3,7517 4,4030 4,7204 4,6942 4,3954 3,9276 3,3823 2,8228 2,2823 1,7671 1,2601 0,7336 0,1799 -0,3551 -0,7828 -1,0216 -1,0312 -0,8187 -0,4420 -0,0026 0,3891 0,6643 0,8254 0,9269 1,0254 1,1438 1,2816 1,4498 1,6797 1,9904 2,3636 2,7565 3,1327 3,4907 3,8769 4,3535 4,9393 5,5915 6,2347 6,7897 7,1828 7,3673 7,3590 7,2378 7,0998 7,0153 7,0221 7,1391 7,3785 7,7343 8,1585 8,5711 8,8990 9,1005 9,1667 9,1153 8,9950 8,8851 8,8627 8,9530 9,1255 9,3369 9,5540 9,7269 9,7774 9,6372 9,2919 8,8015 8,2934 7,9165 7,7696 7,8640 8,1539 8,5631 8,9630 9,1906 9,1504 8,8965 8,5956 8,4129 8,4309 8,6437 8,9878 9,3727 9,7139 9,9742 10,1859 10,4120 10,6736 10,9291 11,1240 11,2425 11,3033 11,3213 11,3027 11,2780 11,2966 11,3804 11,5088 11,6316 11,6880 11,6425 11,5269 11,4460 11,5228 11,8348 12,4024 13,1987 14,1426 15,0986 15,9165 16,5054 16,8726 17,0648 17,0723 16,8318 16,3124 15,5571 14,6409 13,6090 12,4712 11,2680 10,1113 9,1240 8,3668 7,8656 7,6682 7,8167 8,2803 8,9514 9,6932 10,3739 10,8852 11,1677 11,2283 11,1342 10,9780 10,8292 10,7051 10,5769 10,4023 10,1558 9,8281 9,4179 8,9536 8,5013 8,1275 7,8570 7,6729 7,5427 7,4446 7,3941 7,4533 7,6923 8,1389 8,7613 9,4759 10,1685 10,7272 11,0754 11,1829 11,0728 10,8333 10,5949 10,4701 10,5174 10,7444 11,1196 11,5929 12,1187 12,6568 13,1756 13,6699 14,1416 14,5582 14,8604 15,0140 15,0328 14,9418 14,7434 14,4271 13,9910 13,4572 12,8822 12,3386 11,8821 11,5388 11,3003 11,1266 10,9818 10,8581 10,7443 10,5886 10,3114 9,8539 9,2217 8,4948 7,7979 7,2466 6,8946 6,7156 6,6176 6,4728 6,1708 5,6662 4,9868 4,2230 3,5090 2,9836 2,7438 2,8110 3,1266 3,5937 4,1379 4,7320 5,3722 6,0505 6,7470 7,4295 8,0707 8,6830 9,3193 10,0186 10,7625 11,4965 12,1799 12,8055 13,3876 13,9474 14,5034 15,0613 15,6035 16,0990 16,5155 16,7945 16,8423 16,6002 16,1140 15,5038 14,8784 14,2838 13,7065 13,1253 12,5772 12,1695 12,0050 12,0896 12,3232 12,5668 12,6866 12,5652 12,1526 11,5283 10,8781 10,3965 10,2033 10,3040 10,6105 11,0130 11,4332 11,8104 12,0707 12,1344 11,9471 11,5088 10,8929 10,2218 9,6017 9,0834 8,6766 8,3643 8,0940 7,8000 7,4594 7,0995 6,7504 6,4217 6,1244 5,8962 5,7877 5,8104 5,9075 5,9925 6,0105 5,9628 5,8844 5,8060 5,7497 5,7574 5,8979 6,2258 6,7391 7,3784 8,0577 8,6852 9,1728 9,4716 9,6306 9,8047
Fz    0,9644 0,7998 0,5924 0,3156 -0,0322 -0,4168 -0,7853 -1,0978 -1,3529 -1,5844 -1,8337 -2,1259 -2,4622 -2,8230 -3,1738 -3,4785 -3,7140 -3,8760 -3,9709 -4,0000 -3,9480 -3,7903 -3,5097 -3,1062 -2,5965 -2,0086 -1,3706 -0,6998 -0,0086 0,6781 1,3164 1,8574 2,2707 2,5573 2,7399 2,8430 2,8843 2,8785 2,8414 2,7912 2,7483 2,7339 2,7648 2,8401 2,9388 3,0306 3,0918 3,1153 3,1063 3,0652 2,9830 2,8472 2,6431 2,3544 1,9705 1,4963 0,9513 0,3649 -0,2248 -0,7800 -1,2826 -1,7358 -2,1448 -2,5043 -2,8033 -3,0291 -3,1719 -3,2397 -3,2730 -3,3338 -3,4676 -3,6730 -3,9019 -4,0815 -4,1432 -4,0509 -3,8083 -3,4430 -2,9904 -2,4805 -1,9250 -1,3157 -0,6418 0,0923 0,8663 1,6518 2,4196 3,1432 3,8028 4,3914 4,9144 5,3814 5,7995 6,1741 6,5124 6,8228 7,1142 7,3978 7,6878 7,9932 8,3092 8,6195 8,9016 9,1293 9,2777 9,3316 9,2903 9,1640 8,9624 8,6825 8,3040 7,8010 7,1639 6,4155 5,6085 4,8041 4,0476 3,3580 2,7337 2,1687 1,6600 1,2037 0,7976 0,4522 0,1922 0,0428 0,0189 0,1242 0,3535 0,6864 1,0790 1,4736 1,8234 2,1155 2,3756 2,6457 2,9505 3,2863 3,6428 4,0224 4,4329 4,8758 5,3512 5,8649 6,4264 7,0380 7,6909 8,3697 9,0517 9,7018 10,2797 10,7507 11,0900 11,2846 11,3385 11,2793 11,1522 11,0056 10,8869 10,8447 10,9226 11,1430 11,4967 11,9514 12,4712 13,0284 13,6055 14,1917 14,7709 15,3075 15,7508 16,0558 16,2036 16,1998 16,0590 15,7949 15,4152 14,9208 14,3123 13,5971 12,7839 11,8757 10,8782 9,8031 8,6600 7,4538 6,1940 4,9073 3,6456 2,4775 1,4615 0,6202 -0,0578 -0,5941 -1,0030 -1,2889 -1,4467 -1,4648 -1,3388 -1,0902 -0,7691 -0,4342 -0,1284 0,1270 0,3260 0,4783 0,6093 0,7483 0,9100 1,0886 1,2673 1,4287 1,5541 1,6190 1,6058 1,5251 1,4213 1,3559 1,3884 1,5567 1,8663 2,2947 2,8060 3,3642 3,9465 4,5491 5,1750 5,8091 6,4115 6,9351 7,3447 7,6275 7,8013 7,9119 8,0114 8,1363 8,3036 8,5155 8,7640 9,0364 9,3212 9,6123 9,9104 10,2179 10,5329 10,8491 11,1566 11,4376 11,6573 11,7664 11,7166 11,4750 11,0294 10,3895 9,5907 8,6976 7,7940 6,9552 6,2219 5,5947 5,0488 4,5597 4,1180 3,7260 3,3850 3,0874 2,8250 2,5970 2,4038 2,2360 2,0800 1,9347 1,8189 1,7636 1,8002 1,9489 2,2080 2,5554 2,9572 3,3757 3,7731 4,1155 4,3731 4,5197 4,5360 4,4150 4,1637 3,8033 3,3677 2,8964 2,4228 1,9742 1,5788 1,2671 1,0654 0,9851 1,0132 1,1150 1,2517 1,3936 1,5153 1,5929 1,6095 1,5635 1,4713 1,3585 1,2465 1,1508 1,0867 1,0645 1,0785 1,1059 1,1192 1,1041 1,0622 1,0013 0,9238 0,8264 0,7079 0,5698 0,4127 0,2398 0,0691 -0,0624 -0,1138 -0,0644 0,0731 0,2636 0,4753 0,6979 0,9374 1,2003 1,4840 1,7767 2,0679 2,3612 2,6684 2,9886 3,3007 3,5790 3,8080 3,9847 4,1183 4,2303 4,3503 4,5073 4,7240 5,0135 5,3746 5,7870 6,2109 6,5929 6,8834 7,0535 7,0991 7,0340 6,8833 6,6830 6,4769 6,3006 6,1662 6,0659 5,9879 5,9230 5,8560 5,7652 5,6337 5,4567 5,2417 5,0088 4,7835 4,5750 4,3671 4,1364 3,8707 3,5691 3,2371 2,8922 2,5665 2,2942 2,0949 1,9717 1,9196 1,9328 2,0059 2,1361 2,3246 2,5716 2,8686 3,1898 3,4931 3,7330 3,8815 3,9393 3,9291 3,8842 3,8482 3,8674 3,9721 4,1634 4,4146 4,6855 4,9424 5,1740 5,3981 5,6472 5,9494 6,3276 6,8040 7,3868 8,0523 8,7506 9,4369 10,0956 10,7260 11,3131 11,8236 12,2245 12,4945 12,6306 12,6471 12,5671 12,4205 12,2451 12,0698 11,9017 11,7426 11,6092 11,5222 11,4822 11,4661 11,4418 11,3758 11,2329 10,9813 10,6049 10,1133 9,5408 8,9287 8,3043 7,6733 7,0290 6,3699 5,7069 5,0630 4,4731 3,9767 3,6023 3,3558 3,2202 3,1626 3,1450 3,1410 3,1479 3,1799 3,2513 3,3651 3,5092 3,6568 3,7728 3,8268 3,8076 3,7319 3,6416 3,5882 3,6111 3,7247 3,9176 4,1580 4,4079 4,6399 4,8462 5,0405 5,2531 5,5106 5,8167 6,1513 6,4861 6,7950 7,0545 7,2447 7,3555 7,3891 7,3585 7,2840 7,1878 7,0872 6,9948 6,9138 6,8347 6,7438 6,6337 6,4991 6,3274 6,1017 5,8122 5,4654 5,0859 4,7104 4,3771 4,1151 3,9366 3,8330 3,7752 3,7278 3,6648 3,5751 3,4610 3,3334 3,2073 3,0996 3,0258 2,9936 3,0007 3,0387 3,0962 3,1567 3,1986 3,2023 3,1564 3,0590 2,9205 2,7683 2,6415 2,5732 2,5785 2,6581 2,8094 3,0333 3,3314 3,6995 4,1255 4,5916 5,0782 5,5676 6,0415 6,4790 6,8659 7,2010 7,4888 7,7300 7,9210 8,0571 8,1363 8,1687 8,1813 8,2035 8,2438 8,2823 8,2824 8,2015 8,0047 7,6871 7,2844 6,8547 6,4509 6,1039 5,8124 5,5489 5,2856 5,0142 4,7387 4,4592 4,1644 3,8383 3,4734 3,0809 2,6806 2,2870 1,9097 1,5650 1,2749 1,0549 0,9072 0,8228 0,7795 0,7397 0,6615 0,5212 0,3279 0,1124 -0,1049 -0,3342 -0,6016 -0,9232 -1,2936 -1,6932 -2,0992 -2,4917 -2,8503 -3,1492 -3,3599 -3,4613 -3,4487 -3,3334 -3,1387 -2,8937 -2,6205 -2,3190 -1,9614
F3    1,5117 1,2517 1,0278 0,8227 0,6231 0,4313 0,2590 0,1105 -0,0287 -0,1871 -0,3940 -0,6685 -1,0125 -1,4058 -1,8084 -2,1774 -2,4864 -2,7308 -2,9205 -3,0648 -3,1602 -3,1922 -3,1413 -2,9896 -2,7279 -2,3622 -1,9090 -1,3824 -0,7935 -0,1670 0,4490 0,9990 1,4442 1,7730 1,9933 2,1207 2,1750 2,1761 2,1365 2,0637 1,9711 1,8805 1,8150 1,7873 1,7903 1,7981 1,7758 1,6934 1,5344 1,2962 0,9861 0,6190 0,2106 -0,2340 -0,7176 -1,2348 -1,7665 -2,2914 -2,7916 -3,2512 -3,6630 -4,0304 -4,3552 -4,6332 -4,8581 -5,0192 -5,0993 -5,0920 -5,0231 -4,9455 -4,9080 -4,9261 -4,9768 -5,0099 -4,9714 -4,8256 -4,5626 -4,1929 -3,7413 -3,2322 -2,6727 -2,0518 -1,3567 -0,5853 0,2500 1,1230 1,9993 2,8445 3,6295 4,3356 4,9549 5,4845 5,9247 6,2862 6,5939 6,8791 7,1679 7,4735 7,7941 8,1171 8,4280 8,7152 8,9674 9,1694 9,3028 9,3512 9,3042 9,1569 8,9088 8,5604 8,1109 7,5618 6,9244 6,2262 5,5089 4,8166 4,1797 3,6074 3,0905 2,6146 2,1717 1,7622 1,3905 1,0639 0,7909 0,5795 0,4368 0,3707 0,3895 0,4942 0,6727 0,9015 1,1554 1,4215 1,7093 2,0401 2,4228 2,8442 3,2838 3,7290 4,1706 4,5998 5,0191 5,4487 5,9139 6,4268 6,9794 7,5530 8,1268 8,6721 9,1513 9,5350 9,8184 10,0185 10,1633 10,2846 10,4118 10,5657 10,7553 10,9790 11,2247 11,4749 11,7191 11,9606 12,2123 12,4846 12,7794 13,0920 13,4112 13,7136 13,9635 14,1252 14,1784 14,1224 13,9688 13,7361 13,4439 13,1033 12,7128 12,2601 11,7220 11,0743 10,3096 9,4444 8,5087 7,5341 6,5461 5,5614 4,5964 3,6782 2,8376 2,0930 1,4450 0,8827 0,3947 -0,0190 -0,3405 -0,5449 -0,6255 -0,6074 -0,5367 -0,4570 -0,3957 -0,3643 -0,3630 -0,3779 -0,3850 -0,3684 -0,3353 -0,3079 -0,3024 -0,3164 -0,3348 -0,3458 -0,3490 -0,3472 -0,3327 -0,2842 -0,1728 0,0228 0,3059 0,6647 1,0800 1,5324 2,0106 2,5120 3,0317 3,5491 4,0281 4,4293 4,7275 4,9259 5,0582 5,1736 5,3152 5,5050 5,7443 6,0208 6,3144 6,6055 6,8839 7,1506 7,4125 7,6762 7,9422 8,2043 8,4521 8,6704 8,8343 8,9084 8,8539 8,6409 8,2590 7,7208 7,0591 6,3261 5,5896 4,9176 4,3520 3,8957 3,5236 3,2054 2,9207 2,6615 2,4207 2,1836 1,9384 1,6891 1,4472 1,2157 0,9925 0,7828 0,6027 0,4753 0,4273 0,4819 0,6454 0,9000 1,2074 1,5206 1,7989 2,0163 2,1584 2,2151 2,1821 2,0679 1,8917 1,6744 1,4323 1,1784 0,9239 0,6813 0,4670 0,3019 0,2076 0,1950 0,2551 0,3644 0,5005 0,6486 0,7963 0,9325 1,0491 1,1401 1,2033 1,2422 1,2613 1,2630 1,2514 1,2346 1,2170 1,1911 1,1391 1,0475 0,9185 0,7688 0,6192 0,4857 0,3721 0,2705 0,1702 0,0695 -0,0173 -0,0640 -0,0450 0,0536 0,2270 0,4523 0,7023 0,9568 1,2022 1,4262 1,6174 1,7682 1,8816 1,9773 2,0814 2,2039 2,3321 2,4442 2,5195 2,5413 2,5033 2,4186 2,3181 2,2377 2,2075 2,2421 2,3373 2,4732 2,6204 2,7406 2,7932 2,7549 2,6334 2,4594 2,2671 2,0841 1,9351 1,8426 1,8242 1,8919 2,0481 2,2739 2,5247 2,7473 2,9068 2,9942 3,0176 2,9953 2,9488 2,8887 2,8105 2,7048 2,5661 2,3898 2,1725 1,9204 1,6486 1,3696 1,0883 0,8113 0,5537 0,3356 0,1769 0,0936 0,0923 0,1666 0,3025 0,4816 0,6769 0,8538 0,9842 1,0585 1,0855 1,0891 1,1055 1,1762 1,3326 1,5816 1,9013 2,2550 2,6113 2,9560 3,2926 3,6341 3,9933 4,3843 4,8227 5,3125 5,8335 6,3398 6,7798 7,1221 7,3644 7,5175 7,5881 7,5739 7,4677 7,2710 7,0020 6,6903 6,3724 6,0895 5,8742 5,7365 5,6722 5,6793 5,7569 5,8934 6,0697 6,2676 6,4695 6,6514 6,7820 6,8310 6,7843 6,6483 6,4355 6,1473 5,7700 5,2851 4,6925 4,0214 3,3218 2,6504 2,0568 1,5702 1,1934 0,9081 0,6871 0,5071 0,3573 0,2392 0,1585 0,1173 0,1109 0,1325 0,1778 0,2402 0,3046 0,3571 0,4012 0,4628 0,5785 0,7766 1,0618 1,4062 1,7525 2,0424 2,2464 2,3704 2,4429 2,5030 2,5878 2,7201 2,9064 3,1403 3,4061 3,6799 3,9367 4,1594 4,3412 4,4837 4,5959 4,6924 4,7907 4,8993 5,0039 5,0701 5,0674 4,9864 4,8331 4,6134 4,3275 3,9753 3,5665 3,1238 2,6769 2,2540 1,8742 1,5447 1,2618 1,0158 0,7969 0,5979 0,4112 0,2266 0,0353 -0,1646 -0,3593 -0,5218 -0,6251 -0,6546 -0,6103 -0,5054 -0,3644 -0,2174 -0,0949 -0,0240 -0,0178 -0,0648 -0,1308 -0,1719 -0,1518 -0,0523 0,1296 0,3882 0,7137 1,0968 1,5306 2,0039 2,4960 2,9841 3,4549 3,9025 4,3196 4,6960 5,0262 5,3116 5,5574 5,7692 5,9505 6,1020 6,2274 6,3352 6,4310 6,5083 6,5498 6,5367 6,4539 6,2941 6,0631 5,7789 5,4620 5,1253 4,7715 4,3944 3,9839 3,5387 3,0729 2,6072 2,1592 1,7425 1,3670 1,0383 0,7558 0,5119 0,2899 0,0679 -0,1668 -0,4030 -0,6054 -0,7348 -0,7744 -0,7430 -0,6867 -0,6567 -0,6840 -0,7691 -0,8956 -1,0548 -1,2567 -1,5157 -1,8335 -2,2002 -2,6031 -3,0262 -3,4459 -3,8306 -4,1437 -4,3531 -4,4406 -4,4046 -4,2530 -4,0009 -3,6738 -3,3012 -2,8961 -2,4450
F7    1,8921 1,5248 1,1369 0,7260 0,3172 -0,0369 -0,2893 -0,4329 -0,5044 -0,5521 -0,6032 -0,6628 -0,7327 -0,8215 -0,9341 -1,0629 -1,1958 -1,3229 -1,4314 -1,4993 -1,5036 -1,4344 -1,2977 -1,1090 -0,8921 -0,6765 -0,4836 -0,3132 -0,1482 0,0257 0,2003 0,3475 0,4466 0,5027 0,5323 0,5400 0,5229 0,4884 0,4567 0,4492 0,4814 0,5624 0,6935 0,8607 1,0353 1,1845 1,2810 1,3087 1,2651 1,1585 1,0021 0,8030 0,5542 0,2435 -0,1306 -0,5526 -0,9980 -1,4363 -1,8331 -2,1671 -2,4531 -2,7289 -3,0175 -3,3096 -3,5787 -3,8039 -3,9843 -4,1453 -4,3308 -4,5757 -4,8763 -5,1870 -5,4432 -5,5842 -5,5700 -5,3962 -5,0901 -4,6880 -4,2156 -3,6838 -3,0926 -2,4408 -1,7352 -0,9906 -0,2210 0,5698 1,3869 2,2285 3,0766 3,9062 4,6968 5,4279 6,0737 6,6090 7,0141 7,2796 7,4167 7,4640 7,4741 7,4883 7,5226 7,5722 7,6213 7,6493 7,6352 7,5612 7,4172 7,2055 6,9357 6,6186 6,2633 5,8771 5,4633 5,0254 4,5795 4,1576 3,7879 3,4714 3,1813 2,8862 2,5652 2,2089 1,8206 1,4186 1,0334 0,7007 0,4518 0,3082 0,2777 0,3501 0,4917 0,6550 0,8073 0,9564 1,1463 1,4166 1,7645 2,1487 2,5288 2,8978 3,2752 3,6763 4,1015 4,5493 5,0286 5,5464 6,0941 6,6538 7,2057 7,7271 8,1949 8,5933 8,9208 9,1888 9,4147 9,6144 9,7970 9,9682 10,1437 10,3584 10,6556 11,0554 11,5326 12,0297 12,4918 12,8856 13,2023 13,4516 13,6497 13,8042 13,9080 13,9478 13,9121 13,7890 13,5674 13,2527 12,8630 12,4102 11,8976 11,3366 10,7441 10,1284 9,4896 8,8280 8,1396 7,4138 6,6456 5,8505 5,0680 4,3485 3,7238 3,1883 2,7086 2,2447 1,7623 1,2454 0,7082 0,1916 -0,2631 -0,6445 -0,9767 -1,2958 -1,6211 -1,9455 -2,2457 -2,4982 -2,6849 -2,7922 -2,8160 -2,7668 -2,6650 -2,5395 -2,4258 -2,3555 -2,3417 -2,3730 -2,4174 -2,4326 -2,3787 -2,2308 -1,9876 -1,6700 -1,3132 -0,9519 -0,6060 -0,2799 0,0225 0,2865 0,4943 0,6430 0,7481 0,8326 0,9197 1,0264 1,1483 1,2570 1,3255 1,3507 1,3482 1,3351 1,3251 1,3371 1,3980 1,5315 1,7437 2,0210 2,3377 2,6673 2,9887 3,2808 3,5124 3,6427 3,6342 3,4661 3,1440 2,7031 2,2020 1,7037 1,2499 0,8448 0,4692 0,1126 -0,2118 -0,4867 -0,7210 -0,9489 -1,1915 -1,4316 -1,6378 -1,8085 -1,9789 -2,1872 -2,4423 -2,7197 -2,9726 -3,1516 -3,2308 -3,2190 -3,1517 -3,0680 -2,9946 -2,9485 -2,9519 -3,0317 -3,2047 -3,4700 -3,8133 -4,2098 -4,6226 -5,0094 -5,3372 -5,5879 -5,7475 -5,7955 -5,7032 -5,4429 -5,0113 -4,4478 -3,8289 -3,2429 -2,7644 -2,4313 -2,2414 -2,1659 -2,1659 -2,2113 -2,2910 -2,4041 -2,5485 -2,7206 -2,9183 -3,1426 -3,4007 -3,7009 -4,0395 -4,3908 -4,7154 -4,9762 -5,1479 -5,2207 -5,2023 -5,1163 -4,9838 -4,8047 -4,5657 -4,2687 -3,9413 -3,6207 -3,3319 -3,0833 -2,8757 -2,7098 -2,5888 -2,5212 -2,5158 -2,5685 -2,6594 -2,7660 -2,8724 -2,9724 -3,0749 -3,1981 -3,3514 -3,5187 -3,6619 -3,7473 -3,7696 -3,7497 -3,7071 -3,6404 -3,5376 -3,4023 -3,2662 -3,1766 -3,1670 -3,2374 -3,3563 -3,4757 -3,5470 -3,5377 -3,4421 -3,2788 -3,0753 -2,8539 -2,6322 -2,4317 -2,2769 -2,1837 -2,1449 -2,1249 -2,0748 -1,9681 -1,8229 -1,6924 -1,6412 -1,7256 -1,9710 -2,3513 -2,7998 -3,2497 -3,6669 -4,0461 -4,3855 -4,6764 -4,9099 -5,0815 -5,1837 -5,2024 -5,1285 -4,9749 -4,7805 -4,5925 -4,4388 -4,3181 -4,2126 -4,1008 -3,9620 -3,7803 -3,5468 -3,2556 -2,9042 -2,5016 -2,0673 -1,6212 -1,1790 -0,7598 -0,3866 -0,0689 0,2059 0,4572 0,6897 0,8872 1,0322 1,1229 1,1578 1,1147 0,9649 0,7023 0,3466 -0,0758 -0,5525 -1,0866 -1,6689 -2,2578 -2,7929 -3,2216 -3,5022 -3,5963 -3,4759 -3,1483 -2,6684 -2,1216 -1,5945 -1,1592 -0,8662 -0,7350 -0,7535 -0,8849 -1,0791 -1,2901 -1,4986 -1,7173 -1,9724 -2,2832 -2,6562 -3,0827 -3,5393 -3,9930 -4,4058 -4,7454 -5,0004 -5,1805 -5,2964 -5,3416 -5,2937 -5,1254 -4,8237 -4,4121 -3,9523 -3,5153 -3,1495 -2,8691 -2,6579 -2,4809 -2,3019 -2,0991 -1,8678 -1,6169 -1,3707 -1,1659 -1,0341 -0,9807 -0,9781 -0,9809 -0,9555 -0,8960 -0,8124 -0,7111 -0,5934 -0,4693 -0,3605 -0,2820 -0,2298 -0,1851 -0,1293 -0,0581 0,0139 0,0674 0,0941 0,1004 0,1032 0,1213 0,1606 0,2032 0,2073 0,1217 -0,0905 -0,4323 -0,8685 -1,3398 -1,7903 -2,1874 -2,5227 -2,8035 -3,0429 -3,2556 -3,4518 -3,6223 -3,7371 -3,7687 -3,7178 -3,6150 -3,5010 -3,4001 -3,3112 -3,2181 -3,1048 -2,9639 -2,7986 -2,6236 -2,4574 -2,3081 -2,1645 -2,0021 -1,7981 -1,5445 -1,2448 -0,9025 -0,5197 -0,1028 0,3390 0,8005 1,2760 1,7542 2,2175 2,6414 2,9989 3,2728 3,4615 3,5774 3,6422 3,6785 3,7010 3,7159 3,7284 3,7519 3,8049 3,8919 3,9963 4,0919 4,1470 4,1256 4,0045 3,7929 3,5267 3,2494 2,9944 2,7693 2,5534 2,3229 2,0735 1,8194 1,5784 1,3545 1,1271 0,8616 0,5364 0,1574 -0,2475 -0,6360 -0,9591 -1,1823 -1,3089 -1,3778 -1,4366 -1,5214 -1,6568 -1,8583 -2,1203 -2,4020 -2,6388 -2,7836 -2,8396 -2,8520 -2,8762 -2,9502 -3,0833 -3,2622 -3,4601 -3,6380 -3,7471 -3,7430 -3,6012 -3,3239 -2,9417 -2,5080 -2,0815 -1,7014 -1,3697 -1,0527
