Fp1   0,3216 0,3234 0,3545 0,4239 0,5422 0,7101 0,9071 1,0921 1,2163 1,2378 1,1365 0,9261 0,6518 0,3681 0,1131 -0,1056 -0,3059 -0,5096 -0,7182 -0,9096 -1,0546 -1,1288 -1,1153 -1,0137 -0,8452 -0,6366 -0,4020 -0,1471 0,1136 0,3506 0,5272 0,6140 0,6023 0,5025 0,3326 0,1156 -0,1204 -0,3425 -0,5153 -0,6134 -0,6388 -0,6189 -0,5831 -0,5440 -0,4939 -0,4086 -0,2615 -0,0495 0,1921 0,4067 0,5525 0,6209 0,6223 0,5593 0,4226 0,2100 -0,0599 -0,3547 -0,6372 -0,8725 -1,0312 -1,0924 -1,0492 -0,9195 -0,7447 -0,5744 -0,4508 -0,4002 -0,4241 -0,5029 -0,6113 -0,7277 -0,8340 -0,9140 -0,9534 -0,9398 -0,8725 -0,7718 -0,6713 -0,5975 -0,5560 -0,5347 -0,5127 -0,4662 -0,3724 -0,2179 -0,0112 0,2166 0,4289 0,5988 0,7082 0,7434 0,7009 0,5938 0,4481 0,2931 0,1538 0,0458 -0,0211 -0,0356 0,0095 0,1026 0,2060 0,2707 0,2611 0,1722 0,0302 -0,1174 -0,2215 -0,2548 -0,2228 -0,1590 -0,1054 -0,0898 -0,1192 -0,1923 -0,3126 -0,4825 -0,6844 -0,8770 -1,0123 -1,0532 -0,9760 -0,7740 -0,4691 -0,1150 0,2198 0,4805 0,6426 0,7111 0,7080 0,6615 0,5992 0,5378 0,4763 0,4051 0,3268 0,2671 0,2665 0,3595 0,5551 0,8320 1,1459 1,4475 1,7061 1,9245 2,1233 2,3099 2,4690 2,5798 2,6289 2,6083 2,5154 2,3618 2,1798 2,0231 1,9566 2,0290 2,2462 2,5709 2,9409 3,2904 3,5720 3,7692 3,8954 3,9758 4,0221 4,0236 3,9644 3,8474 3,6983 3,5456 3,4042 3,2753 3,1510 3,0172 2,8640 2,6983 2,5385 2,3990 2,2828 2,1849 2,0958 2,0049 1,9041 1,7973 1,7082 1,6742 1,7219 1,8450 2,0057 2,1561 2,2574 2,2884 2,2483 2,1554 2,0403 1,9370 1,8689 1,8313 1,7906 1,7100 1,5780 1,4153 1,2646 1,1740 1,1773 1,2812 1,4685 1,7113 1,9800 2,2506 2,5099 2,7520 2,9676 3,1291 3,1915 3,1164 2,9041 2,6074 2,3128 2,1052 2,0366 2,1132 2,3017 2,5486 2,7967 2,9988 3,1297 3,1909 3,2010 3,1757 3,1222 3,0487 2,9768 2,9388 2,9593 3,0324 3,1196 3,1705 3,1520 3,0666 2,9497 2,8499 2,8062 2,8416 2,9698 3,1928 3,4861 3,7968 4,0645 4,2442 4,3142 4,2762 4,1486 3,9592 3,7411 3,5324 3,3699 3,2747 3,2412 3,2431 3,2537 3,2587 3,2543 3,2365 3,1921 3,1011 2,9548 2,7736 2,6033 2,4908 2,4554 2,4797 2,5317 2,5939 2,6698 2,7644 2,8591 2,9045 2,8418 2,6426 2,3362 1,9991 1,7186 1,5610 1,5597 1,7147 1,9937 2,3381 2,6742 2,9313 3,0645 3,0690 2,9714 2,8091 2,6142 2,4111 2,2205 2,0595 1,9361 1,8517 1,8082 1,8113 1,8641 1,9580 2,0755 2,2012 2,3251 2,4399 2,5414 2,6285 2,6979 2,7426 2,7527 2,7167 2,6273 2,4929 2,3445 2,2273 2,1811 2,2156 2,2977 2,3703 2,3915 2,3536 2,2675 2,1410 1,9742 1,7708 1,5435 1,3076 1,0781 0,8775 0,7401 0,7000 0,7703 0,9327 1,1490 1,3775 1,5797 1,7230 1,7888 1,7813 1,7255 1,6525 1,5840 1,5282 1,4844 1,4459 1,4021 1,3444 1,2717 1,1914 1,1158 1,0512 0,9892 0,9160 0,8303 0,7488 0,6948 0,6805 0,6946 0,7067 0,6936 0,6624 0,6422 0,6560 0,7071 0,7887 0,8915 0,9995 1,0916 1,1517 1,1747 1,1627 1,1185 1,0408 0,9303 0,8035 0,6939 0,6325 0,6283 0,6691 0,7348 0,8100 0,8825 0,9328 0,9370 0,8879 0,8045 0,7188 0,6579 0,6357 0,6535 0,7057 0,7861 0,8866 0,9913 1,0690 1,0794 0,9966 0,8290 0,6165 0,4090 0,2431 0,1310 0,0654 0,0326 0,0197 0,0161 0,0166 0,0268 0,0611 0,1306 0,2309 0,3415 0,4375 0,5058 0,5456 0,5560 0,5316 0,4690 0,3704 0,2422 0,0933 -0,0650 -0,2166 -0,3376 -0,4043 -0,4021 -0,3287 -0,1908 -0,0048 0,2031 0,4041 0,5787 0,7219 0,8348 0,9149 0,9529 0,9397 0,8755 0,7708 0,6404 0,4919 0,3154 0,0915 -0,1845 -0,4885 -0,7817 -1,0325 -1,2234 -1,3429 -1,3806 -1,3389 -1,2424 -1,1258 -1,0126 -0,9094 -0,8150 -0,7282 -0,6494 -0,5845 -0,5426 -0,5217 -0,5014 -0,4580 -0,3824 -0,2814 -0,1668 -0,0504 0,0593 0,1595 0,2488 0,3209 0,3672 0,3828 0,3670 0,3205 0,2453 0,1481 0,0440 -0,0396 -0,0715 -0,0325 0,0735 0,2208 0,3688 0,4727 0,4992 0,4423 0,3284 0,2052 0,1176 0,0882 0,1112 0,1576 0,1837 0,1537 0,0701 -0,0235 -0,0752 -0,0595 0,0080 0,0823 0,1217 0,1137 0,0736 0,0302 0,0167 0,0669 0,2049 0,4334 0,7232 1,0173 1,2509 1,3725 1,3541 1,1929 0,9135 0,5670 0,2226 -0,0534 -0,2168 -0,2535 -0,1781 -0,0320 0,1275 0,2507 0,3163 0,3340 0,3291 0,3195 0,3056 0,2799 0,2415 0,2043 0,1971 0,2544 0,3960 0,6130 0,8706 1,1261 1,3462 1,5140 1,6263 1,6906 1,7161 1,7040 1,6456 1,5341 1,3783 1,2032 1,0382 0,9006 0,7914 0,7030 0,6311 0,5826 0,5742 0,6240 0,7428 0,9298 1,1712 1,4389 1,6906 1,8766 1,9562 1,9146 1,7676 1,5490 1,2944 1,0302 0,7734 0,5378 0,3386 0,1962 0,1315 0,1547 0,2621 0,4359 0,6424 0,8379 0,9871 1,0753 1,1090 1,1074 1,0900 1,0648 1,0266 0,9669 0,8846 0,7889 0,6987 0,6410 0,6372 0,6821 0,7392 0,7604
Fz    1,5465 1,3812 1,2229 1,0890 0,9944 0,9468 0,9411 0,9588 0,9769 0,9779 0,9537 0,9000 0,8121 0,6862 0,5249 0,3377 0,1348 -0,0750 -0,2796 -0,4627 -0,6118 -0,7249 -0,8089 -0,8758 -0,9396 -1,0114 -1,0944 -1,1830 -1,2607 -1,3034 -1,2900 -1,2106 -1,0651 -0,8618 -0,6218 -0,3781 -0,1660 -0,0110 0,0788 0,1108 0,0986 0,0571 0,0039 -0,0405 -0,0562 -0,0312 0,0331 0,1209 0,2068 0,2688 0,2977 0,2974 0,2771 0,2452 0,2050 0,1543 0,0923 0,0238 -0,0468 -0,1236 -0,2161 -0,3258 -0,4364 -0,5183 -0,5437 -0,5026 -0,4100 -0,2966 -0,1908 -0,1085 -0,0538 -0,0209 0,0053 0,0424 0,1025 0,1894 0,2987 0,4178 0,5287 0,6163 0,6754 0,7117 0,7379 0,7668 0,8058 0,8548 0,9083 0,9598 1,0032 1,0328 1,0405 1,0151 0,9471 0,8347 0,6829 0,5044 0,3188 0,1454 -0,0068 -0,1383 -0,2486 -0,3312 -0,3790 -0,3901 -0,3678 -0,3166 -0,2392 -0,1392 -0,0285 0,0704 0,1291 0,1230 0,0399 -0,1153 -0,3237 -0,5605 -0,8022 -1,0281 -1,2176 -1,3511 -1,4151 -1,4054 -1,3289 -1,2008 -1,0387 -0,8604 -0,6831 -0,5236 -0,3973 -0,3176 -0,2926 -0,3215 -0,3960 -0,5040 -0,6328 -0,7716 -0,9133 -1,0499 -1,1630 -1,2252 -1,2148 -1,1278 -0,9811 -0,8053 -0,6315 -0,4774 -0,3432 -0,2177 -0,0861 0,0639 0,2344 0,4139 0,5856 0,7395 0,8752 0,9976 1,1133 1,2284 1,3456 1,4653 1,5902 1,7249 1,8698 2,0124 2,1299 2,2021 2,2241 2,2098 2,1848 2,1767 2,2063 2,2823 2,3977 2,5296 2,6464 2,7186 2,7303 2,6829 2,5930 2,4860 2,3881 2,3179 2,2784 2,2571 2,2317 2,1787 2,0816 1,9355 1,7495 1,5460 1,3564 1,2140 1,1450 1,1591 1,2432 1,3634 1,4794 1,5682 1,6374 1,7141 1,8199 1,9539 2,0971 2,2238 2,3131 2,3576 2,3645 2,3493 2,3291 2,3155 2,3100 2,3090 2,3111 2,3165 2,3202 2,3111 2,2765 2,2096 2,1164 2,0141 1,9212 1,8446 1,7762 1,7008 1,6071 1,4936 1,3666 1,2363 1,1158 1,0185 0,9519 0,9143 0,8954 0,8795 0,8468 0,7793 0,6672 0,5085 0,3064 0,0689 -0,1905 -0,4501 -0,6830 -0,8665 -0,9904 -1,0546 -1,0581 -0,9956 -0,8689 -0,6968 -0,5091 -0,3314 -0,1773 -0,0499 0,0503 0,1207 0,1589 0,1681 0,1630 0,1645 0,1852 0,2223 0,2659 0,3096 0,3501 0,3826 0,4049 0,4206 0,4384 0,4692 0,5222 0,6021 0,7058 0,8213 0,9334 1,0340 1,1248 1,2077 1,2765 1,3189 1,3278 1,3054 1,2579 1,1908 1,1081 1,0164 0,9282 0,8614 0,8323 0,8480 0,9034 0,9829 1,0652 1,1328 1,1782 1,2038 1,2151 1,2181 1,2210 1,2357 1,2732 1,3359 1,4147 1,4927 1,5521 1,5787 1,5679 1,5255 1,4607 1,3799 1,2872 1,1868 1,0843 0,9879 0,9067 0,8466 0,8097 0,7973 0,8133 0,8652 0,9627 1,1090 1,2870 1,4593 1,5868 1,6486 1,6464 1,5931 1,5002 1,3771 1,2348 1,0854 0,9354 0,7849 0,6335 0,4906 0,3769 0,3091 0,2838 0,2795 0,2714 0,2447 0,1996 0,1504 0,1167 0,1092 0,1235 0,1464 0,1676 0,1841 0,1977 0,2114 0,2236 0,2275 0,2157 0,1858 0,1400 0,0857 0,0339 -0,0052 -0,0258 -0,0280 -0,0186 -0,0109 -0,0207 -0,0592 -0,1325 -0,2493 -0,4204 -0,6472 -0,9140 -1,1910 -1,4451 -1,6492 -1,7890 -1,8614 -1,8679 -1,8153 -1,7196 -1,6008 -1,4717 -1,3360 -1,1947 -1,0530 -0,9198 -0,8020 -0,7033 -0,6281 -0,5805 -0,5603 -0,5633 -0,5848 -0,6201 -0,6633 -0,7085 -0,7502 -0,7850 -0,8135 -0,8342 -0,8409 -0,8289 -0,8018 -0,7712 -0,7513 -0,7531 -0,7840 -0,8477 -0,9427 -1,0574 -1,1688 -1,2468 -1,2636 -1,2061 -1,0823 -0,9182 -0,7442 -0,5844 -0,4530 -0,3548 -0,2877 -0,2469 -0,2264 -0,2220 -0,2349 -0,2736 -0,3483 -0,4617 -0,6038 -0,7512 -0,8742 -0,9480 -0,9589 -0,9053 -0,7952 -0,6408 -0,4554 -0,2533 -0,0518 0,1274 0,2609 0,3322 0,3353 0,2715 0,1490 -0,0121 -0,1838 -0,3424 -0,4759 -0,5802 -0,6513 -0,6858 -0,6878 -0,6691 -0,6406 -0,6085 -0,5804 -0,5664 -0,5726 -0,5950 -0,6215 -0,6382 -0,6377 -0,6236 -0,6115 -0,6207 -0,6623 -0,7326 -0,8195 -0,9138 -1,0082 -1,0913 -1,1483 -1,1692 -1,1525 -1,1037 -1,0326 -0,9532 -0,8815 -0,8296 -0,7994 -0,7828 -0,7653 -0,7301 -0,6637 -0,5638 -0,4436 -0,3272 -0,2406 -0,2043 -0,2291 -0,3127 -0,4410 -0,5958 -0,7615 -0,9239 -1,0662 -1,1727 -1,2330 -1,2461 -1,2191 -1,1651 -1,1009 -1,0413 -0,9941 -0,9595 -0,9366 -0,9245 -0,9239 -0,9403 -0,9866 -1,0772 -1,2176 -1,3993 -1,6064 -1,8223 -2,0335 -2,2279 -2,3944 -2,5235 -2,6076 -2,6428 -2,6339 -2,5938 -2,5357 -2,4682 -2,3981 -2,3362 -2,2992 -2,3008 -2,3384 -2,3920 -2,4376 -2,4608 -2,4623 -2,4535 -2,4457 -2,4423 -2,4395 -2,4307 -2,4086 -2,3686 -2,3109 -2,2374 -2,1506 -2,0571 -1,9726 -1,9170 -1,9052 -1,9396 -2,0098 -2,0990 -2,1884 -2,2611 -2,3112 -2,3430 -2,3593 -2,3546 -2,3232 -2,2688 -2,2037 -2,1386 -2,0773 -2,0199 -1,9693 -1,9321 -1,9133 -1,9120 -1,9188 -1,9164 -1,8840 -1,8058 -1,6803 -1,5225 -1,3582 -1,2146 -1,1098 -1,0465 -1,0145 -1,0031 -1,0068 -1,0202 -1,0331 -1,0349 -1,0188 -0,9835 -0,9336 -0,8766 -0,8176 -0,7598 -0,7113 -0,6857 -0,6944 -0,7411 -0,8214 -0,9243 -1,0328 -1,1295 -1,2060 -1,2700 -1,3406
F3    1,4637 1,3364 1,2004 1,0532 0,8873 0,6984 0,4936 0,2908 0,1097 -0,0361 -0,1392 -0,1967 -0,2142 -0,2066 -0,1923 -0,1849 -0,1904 -0,2089 -0,2408 -0,2912 -0,3657 -0,4625 -0,5712 -0,6762 -0,7624 -0,8230 -0,8614 -0,8830 -0,8826 -0,8424 -0,7419 -0,5712 -0,3403 -0,0768 0,1851 0,4121 0,5730 0,6447 0,6219 0,5238 0,3885 0,2565 0,1560 0,0960 0,0677 0,0479 0,0091 -0,0670 -0,1790 -0,3081 -0,4322 -0,5381 -0,6194 -0,6687 -0,6774 -0,6428 -0,5693 -0,4655 -0,3450 -0,2261 -0,1268 -0,0634 -0,0463 -0,0732 -0,1305 -0,2009 -0,2686 -0,3178 -0,3332 -0,3025 -0,2204 -0,0938 0,0576 0,2085 0,3367 0,4276 0,4761 0,4869 0,4716 0,4427 0,4098 0,3803 0,3574 0,3360 0,2997 0,2250 0,0966 -0,0761 -0,2618 -0,4234 -0,5298 -0,5614 -0,5146 -0,4039 -0,2561 -0,1004 0,0409 0,1560 0,2384 0,2808 0,2754 0,2218 0,1320 0,0250 -0,0822 -0,1791 -0,2632 -0,3426 -0,4339 -0,5511 -0,6944 -0,8512 -1,0028 -1,1310 -1,2238 -1,2760 -1,2879 -1,2668 -1,2312 -1,2076 -1,2186 -1,2737 -1,3704 -1,4976 -1,6368 -1,7655 -1,8640 -1,9210 -1,9367 -1,9201 -1,8801 -1,8190 -1,7312 -1,6070 -1,4394 -1,2332 -1,0102 -0,8016 -0,6353 -0,5271 -0,4763 -0,4655 -0,4674 -0,4550 -0,4119 -0,3352 -0,2317 -0,1121 0,0120 0,1307 0,2406 0,3503 0,4764 0,6333 0,8225 1,0271 1,2143 1,3480 1,4041 1,3802 1,3014 1,2113 1,1488 1,1298 1,1476 1,1866 1,2371 1,2976 1,3666 1,4326 1,4759 1,4839 1,4612 1,4247 1,3927 1,3789 1,3890 1,4167 1,4468 1,4651 1,4622 1,4280 1,3523 1,2356 1,0927 0,9434 0,7981 0,6533 0,5017 0,3521 0,2337 0,1795 0,2092 0,3234 0,5053 0,7218 0,9293 1,0873 1,1721 1,1821 1,1305 1,0388 0,9335 0,8406 0,7750 0,7328 0,6981 0,6547 0,5947 0,5194 0,4384 0,3644 0,3077 0,2768 0,2839 0,3485 0,4871 0,6949 0,9404 1,1789 1,3689 1,4745 1,4680 1,3393 1,1050 0,8057 0,4951 0,2246 0,0270 -0,0912 -0,1423 -0,1430 -0,1060 -0,0436 0,0270 0,0809 0,0939 0,0565 -0,0166 -0,0979 -0,1668 -0,2221 -0,2765 -0,3430 -0,4291 -0,5396 -0,6767 -0,8324 -0,9846 -1,1026 -1,1632 -1,1607 -1,1029 -1,0001 -0,8626 -0,7057 -0,5500 -0,4164 -0,3179 -0,2528 -0,2049 -0,1507 -0,0710 0,0378 0,1609 0,2743 0,3592 0,4098 0,4319 0,4375 0,4384 0,4432 0,4607 0,5022 0,5785 0,6927 0,8347 0,9835 1,1172 1,2280 1,3271 1,4305 1,5384 1,6315 1,6842 1,6777 1,5996 1,4374 1,1831 0,8484 0,4714 0,1042 -0,2071 -0,4337 -0,5632 -0,5957 -0,5375 -0,3957 -0,1806 0,0868 0,3722 0,6333 0,8314 0,9438 0,9712 0,9315 0,8461 0,7348 0,6183 0,5194 0,4546 0,4256 0,4199 0,4195 0,4098 0,3875 0,3582 0,3221 0,2663 0,1741 0,0409 -0,1197 -0,2800 -0,4121 -0,5019 -0,5485 -0,5501 -0,4978 -0,3875 -0,2311 -0,0539 0,1157 0,2549 0,3513 0,4028 0,4146 0,3930 0,3412 0,2600 0,1547 0,0399 -0,0635 -0,1384 -0,1799 -0,1978 -0,2085 -0,2242 -0,2509 -0,2904 -0,3383 -0,3813 -0,4065 -0,4106 -0,3988 -0,3756 -0,3389 -0,2844 -0,2163 -0,1509 -0,1082 -0,1018 -0,1329 -0,1895 -0,2535 -0,3118 -0,3627 -0,4126 -0,4697 -0,5373 -0,6109 -0,6765 -0,7178 -0,7269 -0,7088 -0,6763 -0,6392 -0,5988 -0,5484 -0,4772 -0,3770 -0,2477 -0,1001 0,0440 0,1580 0,2231 0,2395 0,2250 0,2030 0,1868 0,1741 0,1541 0,1192 0,0679 0,0032 -0,0696 -0,1436 -0,2111 -0,2646 -0,3012 -0,3227 -0,3286 -0,3104 -0,2579 -0,1693 -0,0565 0,0602 0,1579 0,2179 0,2330 0,2132 0,1822 0,1648 0,1703 0,1866 0,1900 0,1618 0,0989 0,0150 -0,0660 -0,1238 -0,1519 -0,1576 -0,1555 -0,1604 -0,1811 -0,2154 -0,2509 -0,2761 -0,2870 -0,2865 -0,2815 -0,2823 -0,2971 -0,3268 -0,3612 -0,3828 -0,3785 -0,3501 -0,3126 -0,2856 -0,2829 -0,3065 -0,3513 -0,4121 -0,4820 -0,5464 -0,5846 -0,5776 -0,5194 -0,4229 -0,3185 -0,2403 -0,2091 -0,2255 -0,2761 -0,3430 -0,4123 -0,4805 -0,5534 -0,6360 -0,7225 -0,7972 -0,8440 -0,8533 -0,8232 -0,7623 -0,6924 -0,6437 -0,6394 -0,6835 -0,7586 -0,8372 -0,9004 -0,9469 -0,9856 -1,0249 -1,0659 -1,1015 -1,1189 -1,1047 -1,0465 -0,9381 -0,7883 -0,6228 -0,4726 -0,3596 -0,2892 -0,2514 -0,2287 -0,2066 -0,1804 -0,1588 -0,1611 -0,2083 -0,3110 -0,4635 -0,6464 -0,8329 -0,9970 -1,1203 -1,1996 -1,2474 -1,2834 -1,3234 -1,3694 -1,4092 -1,4258 -1,4113 -1,3732 -1,3292 -1,3016 -1,3144 -1,3920 -1,5518 -1,7896 -2,0686 -2,3247 -2,4892 -2,5123 -2,3807 -2,1215 -1,7922 -1,4612 -1,1917 -1,0325 -1,0129 -1,1364 -1,3739 -1,6678 -1,9503 -2,1708 -2,3119 -2,3841 -2,4051 -2,3849 -2,3251 -2,2288 -2,1083 -1,9856 -1,8872 -1,8357 -1,8371 -1,8749 -1,9203 -1,9517 -1,9675 -1,9844 -2,0236 -2,0949 -2,1883 -2,2785 -2,3381 -2,3523 -2,3236 -2,2649 -2,1857 -2,0859 -1,9607 -1,8129 -1,6609 -1,5394 -1,4872 -1,5299 -1,6682 -1,8812 -2,1338 -2,3820 -2,5805 -2,6897 -2,6810 -2,5451 -2,2974 -1,9778 -1,6423 -1,3468 -1,1287 -1,0008 -0,9611 -1,0081 -1,1416 -1,3505 -1,6018 -1,8454 -2,0368 -2,1597 -2,2275 -2,2648 -2,2875 -2,2970 -2,2878 -2,2567 -2,2070 -2,1480 -2,0922 -2,0535 -2,0432 -2,0631 -2,1006 -2,1299 -2,1218
F7    0,1393 0,1760 0,2178 0,2627 0,3163 0,3865 0,4694 0,5445 0,5845 0,5673 0,4852 0,3507 0,1937 0,0456 -0,0760 -0,1723 -0,2576 -0,3484 -0,4494 -0,5484 -0,6224 -0,6466 -0,6016 -0,4858 -0,3187 -0,1297 0,0549 0,2143 0,3310 0,3899 0,3821 0,3114 0,1984 0,0710 -0,0523 -0,1670 -0,2750 -0,3734 -0,4478 -0,4799 -0,4619 -0,4020 -0,3147 -0,2107 -0,0958 0,0274 0,1556 0,2780 0,3726 0,4111 0,3719 0,2519 0,0677 -0,1578 -0,4046 -0,6558 -0,8913 -1,0865 -1,2152 -1,2561 -1,1979 -1,0415 -0,8007 -0,5001 -0,1746 0,1309 0,3645 0,4800 0,4523 0,2854 0,0091 -0,3309 -0,6859 -1,0123 -1,2760 -1,4529 -1,5364 -1,5453 -1,5183 -1,4935 -1,4902 -1,5026 -1,5055 -1,4700 -1,3755 -1,2113 -0,9771 -0,6873 -0,3702 -0,0654 0,1825 0,3391 0,3952 0,3665 0,2813 0,1679 0,0488 -0,0629 -0,1634 -0,2534 -0,3349 -0,4108 -0,4853 -0,5631 -0,6450 -0,7235 -0,7805 -0,7935 -0,7526 -0,6729 -0,5894 -0,5410 -0,5549 -0,6417 -0,7956 -0,9989 -1,2276 -1,4532 -1,6406 -1,7569 -1,7854 -1,7303 -1,6052 -1,4241 -1,2028 -0,9605 -0,7146 -0,4748 -0,2488 -0,0515 0,0984 0,1904 0,2305 0,2348 0,2163 0,1780 0,1176 0,0405 -0,0300 -0,0587 -0,0180 0,0953 0,2596 0,4401 0,6044 0,7343 0,8237 0,8696 0,8745 0,8564 0,8432 0,8525 0,8826 0,9210 0,9596 1,0059 1,0818 1,2064 1,3774 1,5677 1,7357 1,8427 1,8704 1,8282 1,7462 1,6574 1,5796 1,5056 1,4122 1,2808 1,1147 0,9367 0,7731 0,6411 0,5411 0,4555 0,3632 0,2604 0,1655 0,1019 0,0803 0,0928 0,1139 0,1088 0,0490 -0,0716 -0,2288 -0,3793 -0,4860 -0,5399 -0,5605 -0,5777 -0,6101 -0,6581 -0,7120 -0,7675 -0,8294 -0,8993 -0,9655 -1,0099 -1,0270 -1,0297 -1,0370 -1,0569 -1,0742 -1,0525 -0,9603 -0,7992 -0,6060 -0,4271 -0,2930 -0,2057 -0,1429 -0,0786 -0,0052 0,0585 0,0800 0,0371 -0,0634 -0,1868 -0,2866 -0,3222 -0,2712 -0,1351 0,0607 0,2734 0,4553 0,5686 0,5984 0,5558 0,4689 0,3690 0,2794 0,2128 0,1790 0,1923 0,2640 0,3853 0,5220 0,6257 0,6575 0,6095 0,5066 0,3865 0,2798 0,2086 0,1942 0,2557 0,3941 0,5842 0,7857 0,9630 1,0966 1,1838 1,2303 1,2408 1,2159 1,1589 1,0857 1,0200 0,9769 0,9546 0,9411 0,9268 0,9117 0,9041 0,9133 0,9415 0,9821 1,0251 1,0641 1,0966 1,1190 1,1234 1,1055 1,0748 1,0533 1,0608 1,0962 1,1301 1,1192 1,0312 0,8634 0,6420 0,4110 0,2195 0,1125 0,1189 0,2391 0,4438 0,6873 0,9232 1,1100 1,2139 1,2163 1,1227 0,9593 0,7573 0,5428 0,3364 0,1596 0,0368 -0,0111 0,0241 0,1339 0,2955 0,4813 0,6685 0,8405 0,9849 1,0933 1,1629 1,1937 1,1851 1,1347 1,0402 0,9039 0,7398 0,5762 0,4496 0,3883 0,3942 0,4350 0,4595 0,4278 0,3308 0,1849 0,0156 -0,1507 -0,2904 -0,3903 -0,4541 -0,5018 -0,5582 -0,6352 -0,7219 -0,7891 -0,8072 -0,7628 -0,6660 -0,5468 -0,4400 -0,3671 -0,3276 -0,3047 -0,2785 -0,2394 -0,1923 -0,1488 -0,1146 -0,0873 -0,0610 -0,0358 -0,0207 -0,0267 -0,0572 -0,1046 -0,1518 -0,1782 -0,1724 -0,1402 -0,1007 -0,0720 -0,0624 -0,0680 -0,0750 -0,0698 -0,0514 -0,0314 -0,0213 -0,0249 -0,0425 -0,0769 -0,1306 -0,1997 -0,2717 -0,3312 -0,3720 -0,3998 -0,4226 -0,4381 -0,4348 -0,4005 -0,3276 -0,2126 -0,0579 0,1247 0,3115 0,4701 0,5703 0,5928 0,5321 0,3987 0,2185 0,0261 -0,1413 -0,2507 -0,2834 -0,2414 -0,1468 -0,0340 0,0636 0,1222 0,1312 0,0948 0,0306 -0,0414 -0,1129 -0,1909 -0,2882 -0,4089 -0,5417 -0,6638 -0,7556 -0,8104 -0,8326 -0,8278 -0,7958 -0,7337 -0,6463 -0,5544 -0,4899 -0,4797 -0,5349 -0,6481 -0,7990 -0,9637 -1,1217 -1,2561 -1,3542 -1,4081 -1,4140 -1,3738 -1,2961 -1,1938 -1,0797 -0,9656 -0,8630 -0,7859 -0,7487 -0,7557 -0,7920 -0,8296 -0,8450 -0,8328 -0,8078 -0,8030 -0,8563 -0,9862 -1,1766 -1,3865 -1,5752 -1,7195 -1,8100 -1,8399 -1,8052 -1,7132 -1,5807 -1,4224 -1,2461 -1,0579 -0,8701 -0,7086 -0,6099 -0,6014 -0,6732 -0,7739 -0,8405 -0,8350 -0,7557 -0,6232 -0,4650 -0,3042 -0,1567 -0,0334 0,0541 0,0929 0,0703 -0,0237 -0,1918 -0,4218 -0,6819 -0,9239 -1,1009 -1,1907 -1,2048 -1,1744 -1,1321 -1,1014 -1,0920 -1,0953 -1,0849 -1,0276 -0,9015 -0,7099 -0,4784 -0,2430 -0,0391 0,1026 0,1632 0,1449 0,0718 -0,0208 -0,0996 -0,1461 -0,1638 -0,1742 -0,2052 -0,2798 -0,4058 -0,5664 -0,7207 -0,8184 -0,8231 -0,7299 -0,5684 -0,3914 -0,2565 -0,2089 -0,2677 -0,4199 -0,6249 -0,8268 -0,9735 -1,0300 -0,9826 -0,8414 -0,6413 -0,4313 -0,2516 -0,1180 -0,0240 0,0421 0,0808 0,0822 0,0416 -0,0288 -0,1019 -0,1446 -0,1270 -0,0338 0,1292 0,3396 0,5703 0,7988 1,0082 1,1841 1,3153 1,3981 1,4380 1,4429 1,4158 1,3548 1,2599 1,1360 0,9898 0,8298 0,6668 0,5106 0,3677 0,2444 0,1525 0,1093 0,1273 0,2045 0,3238 0,4562 0,5643 0,6080 0,5546 0,3900 0,1247 -0,2064 -0,5542 -0,8700 -1,1158 -1,2683 -1,3195 -1,2797 -1,1790 -1,0556 -0,9400 -0,8507 -0,7988 -0,7909 -0,8294 -0,9115 -1,0274 -1,1631 -1,3053 -1,4416 -1,5566 -1,6306 -1,6435 -1,5808 -1,4336 -1,2043 -0,9178 -0,6258 -0,3924
