Fp1   0,7937 0,9494 1,0110 1,0273 1,0602 1,1524 1,3172 1,5496 1,8324 2,1333 2,4076 2,6105 2,7120 2,7018 2,5842 2,3732 2,0910 1,7627 1,4091 1,0473 0,6947 0,3671 0,0702 -0,2095 -0,4995 -0,8185 -1,1576 -1,4882 -1,7853 -2,0372 -2,2337 -2,3547 -2,3783 -2,2978 -2,1313 -1,9193 -1,7108 -1,5440 -1,4372 -1,3897 -1,3831 -1,3847 -1,3544 -1,2585 -1,0866 -0,8556 -0,5963 -0,3382 -0,1031 0,0950 0,2463 0,3440 0,3906 0,4066 0,4249 0,4687 0,5414 0,6382 0,7569 0,8948 1,0466 1,2067 1,3680 1,5211 1,6611 1,7891 1,8993 1,9660 1,9479 1,8106 1,5565 1,2323 0,9060 0,6344 0,4546 0,3908 0,4543 0,6351 0,8972 1,1811 1,4146 1,5376 1,5227 1,3763 1,1275 0,8194 0,5000 0,2089 -0,0288 -0,2020 -0,3154 -0,3909 -0,4561 -0,5250 -0,5930 -0,6504 -0,6966 -0,7439 -0,8136 -0,9262 -1,0918 -1,3050 -1,5490 -1,8091 -2,0889 -2,4119 -2,7977 -3,2400 -3,7163 -4,2094 -4,7111 -5,2101 -5,6820 -6,0883 -6,3869 -6,5533 -6,5946 -6,5369 -6,4074 -6,2325 -6,0377 -5,8318 -5,5962 -5,2915 -4,8790 -4,3487 -3,7340 -3,0941 -2,4784 -1,9056 -1,3691 -0,8563 -0,3646 0,1033 0,5527 1,0014 1,4670 1,9520 2,4396 2,8996 3,3002 3,6215 3,8603 4,0242 4,1286 4,1974 4,2571 4,3259 4,4047 4,4730 4,4936 4,4330 4,2930 4,1209 3,9791 3,9046 3,8982 3,9359 3,9829 4,0113 4,0146 4,0063 4,0016 4,0011 3,9980 3,9999 4,0307 4,1075 4,2218 4,3446 4,4429 4,4921 4,4844 4,4342 4,3749 4,3438 4,3635 4,4313 4,5200 4,5882 4,5934 4,4998 4,2885 3,9754 3,6164 3,2844 3,0317 2,8669 2,7583 2,6568 2,5212 2,3305 2,0829 1,7925 1,4933 1,2398 1,0831 1,0318 1,0360 1,0144 0,9045 0,6944 0,4190 0,1316 -0,1243 -0,3247 -0,4594 -0,5294 -0,5545 -0,5758 -0,6391 -0,7714 -0,9726 -1,2282 -1,5239 -1,8434 -2,1516 -2,3958 -2,5307 -2,5441 -2,4676 -2,3638 -2,2911 -2,2707 -2,2843 -2,3009 -2,3028 -2,2884 -2,2578 -2,2059 -2,1276 -2,0284 -1,9207 -1,8040 -1,6555 -1,4455 -1,1614 -0,8220 -0,4753 -0,1776 0,0378 0,1820 0,3044 0,4625 0,6971 1,0287 1,4579 1,9587 2,4818 2,9731 3,3908 3,7134 3,9394 4,0743 4,1173 4,0668 3,9368 3,7621 3,5892 3,4634 3,4101 3,4152 3,4290 3,3974 3,2952 3,1339 2,9484 2,7709 2,6116 2,4613 2,3102 2,1582 2,0095 1,8613 1,7004 1,5138 1,2980 1,0595 0,8067 0,5452 0,2764 -0,0025 -0,2971 -0,6083 -0,9223 -1,2099 -1,4400 -1,5950 -1,6756 -1,6928 -1,6546 -1,5582 -1,3936 -1,1528 -0,8378 -0,4615 -0,0418 0,4047 0,8633 1,3210 1,7664 2,1913 2,5919 2,9656 3,3063 3,6100 3,8810 4,1257 4,3351 4,4829 4,5469 4,5332 4,4699 4,3815 4,2790 4,1791 4,1171 4,1280 4,2137 4,3348 4,4391 4,4935 4,4897 4,4301 4,3174 4,1588 3,9757 3,8043 3,6808 3,6253 3,6379 3,7070 3,8145 3,9430 4,0881 4,2607 4,4690 4,7041 4,9386 5,1332 5,2505 5,2727 5,2132 5,1119 5,0133 4,9411 4,8942 4,8605 4,8291 4,7910 4,7391 4,6684 4,5698 4,4240 4,2056 3,9042 3,5423 3,1689 2,8353 2,5751 2,3946 2,2739 2,1839 2,1078 2,0498 2,0264 2,0517 2,1295 2,2575 2,4303 2,6322 2,8321 2,9973 3,1124 3,1783 3,2047 3,2102 3,2217 3,2635 3,3488 3,4768 3,6331 3,7954 3,9390 4,0419 4,0889 4,0702 3,9772 3,8047 3,5596 3,2628 2,9466 2,6538 2,4347 2,3313 2,3567 2,4912 2,6996 2,9497 3,2120 3,4522 3,6388 3,7688 3,8738 3,9950 4,1525 4,3385 4,5295 4,6997 4,8275 4,9016 4,9225 4,8989 4,8473 4,7954 4,7788 4,8338 4,9861 5,2365 5,5505 5,8636 6,1072 6,2426 6,2756 6,2398 6,1642 6,0548 5,9011 5,6972 5,4516 5,1811 4,9054 4,6425 4,4017 4,1831 3,9843 3,8057 3,6508 3,5245 3,4370 3,4086 3,4644 3,6179 3,8559 4,1389 4,4193 4,6585 4,8292 4,9122 4,8909 4,7477 4,4774 4,1107 3,7159 3,3702 3,1297 3,0147 3,0126 3,0894 3,2071 3,3421 3,4908 3,6596 3,8577 4,0957 4,3833 4,7244 5,1162 5,5431 5,9683 6,3361 6,5892 6,6876 6,6207 6,4068 6,0760 5,6526 5,1516 4,5795 3,9292 3,1857 2,3517 1,4693 0,6114 -0,1543 -0,7961 -1,3198 -1,7462 -2,0888 -2,3486 -2,5213 -2,6078 -2,6211 -2,5796 -2,4912 -2,3462 -2,1263 -1,8139 -1,4007 -0,8942 -0,3156 0,3065 0,9354 1,5353 2,0935 2,6204 3,1268 3,6121 4,0706 4,4945 4,8746 5,2040 5,4826 5,7171 5,9175 6,0939 6,2512 6,3853 6,4886 6,5616 6,6139 6,6554 6,6948 6,7466 6,8301 6,9543 7,1119 7,2880 7,4649 7,6229 7,7465 7,8307 7,8766 7,8826 7,8377 7,7215 7,5151 7,2131 6,8220 6,3516 5,8151 5,2403 4,6702 4,1478 3,6996 3,3322 3,0356 2,7877 2,5619 2,3343 2,0848 1,7979 1,4750 1,1447 0,8518 0,6380 0,5247 0,5015 0,5250 0,5356 0,4836 0,3502 0,1543 -0,0557 -0,2231 -0,3010 -0,2611 -0,1023 0,1404 0,4031 0,6211 0,7503 0,7725 0,6933 0,5375 0,3444 0,1588 0,0112 -0,1043 -0,2321 -0,4290 -0,7326 -1,1427 -1,6183 -2,0876 -2,4739 -2,7260 -2,8391 -2,8537 -2,8328 -2,8257 -2,8428 -2,8569 -2,8303 -2,7432 -2,6046 -2,4437 -2,2959 -2,1920 -2,1512
Fz    2,8669 3,0734 3,2165 3,3222 3,4250 3,5557 3,7322 3,9486 4,1668 4,3288 4,3880 4,3279 4,1541 3,8806 3,5276 3,1232 2,6958 2,2592 1,8051 1,3171 0,7916 0,2413 -0,3210 -0,8941 -1,4778 -2,0575 -2,6045 -3,0892 -3,4919 -3,8045 -4,0203 -4,1255 -4,1076 -3,9740 -3,7605 -3,5227 -3,3134 -3,1573 -3,0458 -2,9514 -2,8409 -2,6837 -2,4570 -2,1531 -1,7808 -1,3602 -0,9132 -0,4647 -0,0518 0,2769 0,4821 0,5570 0,5359 0,4862 0,4826 0,5758 0,7707 1,0291 1,2912 1,5024 1,6318 1,6782 1,6658 1,6307 1,6067 1,6139 1,6491 1,6850 1,6837 1,6158 1,4774 1,2929 1,0996 0,9303 0,8154 0,7895 0,8819 1,0942 1,3854 1,6732 1,8577 1,8676 1,6983 1,4090 1,0821 0,7874 0,5636 0,4110 0,2980 0,1844 0,0443 -0,1301 -0,3314 -0,5350 -0,7069 -0,8289 -0,9124 -0,9844 -1,0665 -1,1723 -1,3144 -1,4980 -1,7071 -1,9109 -2,0916 -2,2617 -2,4486 -2,6681 -2,9235 -3,2189 -3,5634 -3,9636 -4,4100 -4,8644 -5,2636 -5,5489 -5,6957 -5,7117 -5,6212 -5,4635 -5,2870 -5,1263 -4,9821 -4,8160 -4,5631 -4,1767 -3,6698 -3,1031 -2,5408 -2,0206 -1,5500 -1,1102 -0,6602 -0,1485 0,4647 1,1844 1,9728 2,7658 3,5022 4,1406 4,6532 5,0235 5,2564 5,3822 5,4459 5,4932 5,5606 5,6660 5,7994 5,9205 5,9704 5,8989 5,7000 5,4225 5,1397 4,9137 4,7850 4,7674 4,8398 4,9521 5,0499 5,1023 5,1086 5,0791 5,0254 4,9728 4,9597 5,0116 5,1229 5,2667 5,4145 5,5469 5,6559 5,7495 5,8489 5,9728 6,1193 6,2620 6,3630 6,3898 6,3233 6,1512 5,8660 5,4828 5,0547 4,6570 4,3516 4,1615 4,0651 4,0024 3,8940 3,6717 3,3094 2,8381 2,3360 1,8982 1,5949 1,4364 1,3696 1,3137 1,2102 1,0463 0,8406 0,6137 0,3719 0,1167 -0,1407 -0,3862 -0,6222 -0,8684 -1,1411 -1,4405 -1,7547 -2,0651 -2,3479 -2,5720 -2,6979 -2,6912 -2,5470 -2,3019 -2,0283 -1,8126 -1,7201 -1,7622 -1,8957 -2,0571 -2,1957 -2,2820 -2,2987 -2,2384 -2,1099 -1,9460 -1,7880 -1,6528 -1,5158 -1,3306 -1,0639 -0,7249 -0,3702 -0,0690 0,1442 0,2970 0,4684 0,7461 1,1850 1,7898 2,5220 3,3151 4,0937 4,7847 5,3239 5,6730 5,8358 5,8486 5,7547 5,5958 5,4178 5,2629 5,1480 5,0612 4,9794 4,8754 4,7124 4,4584 4,1153 3,7297 3,3693 3,0841 2,8851 2,7533 2,6608 2,5824 2,4961 2,3798 2,2125 1,9862 1,7133 1,4168 1,1105 0,7929 0,4552 0,0871 -0,3229 -0,7760 -1,2434 -1,6666 -1,9901 -2,1905 -2,2763 -2,2680 -2,1798 -2,0142 -1,7644 -1,4231 -0,9947 -0,4994 0,0371 0,5972 1,1750 1,7614 2,3310 2,8502 3,3001 3,6865 4,0346 4,3832 4,7718 5,2136 5,6724 6,0711 6,3324 6,4221 6,3561 6,1839 5,9746 5,8028 5,7250 5,7578 5,8688 5,9901 6,0548 6,0279 5,9064 5,7049 5,4494 5,1798 4,9475 4,8021 4,7736 4,8618 5,0380 5,2563 5,4706 5,6569 5,8279 6,0172 6,2437 6,4941 6,7305 6,9094 7,0003 6,9988 6,9284 6,8335 6,7604 6,7317 6,7412 6,7723 6,8127 6,8482 6,8579 6,8192 6,7143 6,5308 6,2622 5,9134 5,5058 5,0763 4,6659 4,3066 4,0087 3,7588 3,5427 3,3733 3,2876 3,3116 3,4342 3,6151 3,8091 3,9844 4,1238 4,2179 4,2656 4,2837 4,3076 4,3804 4,5334 4,7697 5,0662 5,3870 5,6935 5,9512 6,1364 6,2391 6,2655 6,2338 6,1544 6,0153 5,7972 5,5034 5,1623 4,8046 4,4531 4,1397 3,9096 3,7951 3,7923 3,8730 4,0139 4,2051 4,4354 4,6847 4,9405 5,2076 5,4946 5,7920 6,0752 6,3223 6,5249 6,6848 6,8034 6,8790 6,9146 6,9350 6,9863 7,1124 7,3343 7,6484 8,0265 8,4169 8,7547 8,9839 9,0789 9,0523 8,9398 8,7748 8,5723 8,3270 8,0252 7,6609 7,2385 6,7715 6,2840 5,8095 5,3780 5,0031 4,6817 4,4083 4,1911 4,0545 4,0256 4,1198 4,3331 4,6372 4,9788 5,2974 5,5481 5,7057 5,7557 5,6860 5,4851 5,1530 4,7200 4,2485 3,8110 3,4665 3,2532 3,1826 3,2338 3,3673 3,5515 3,7742 4,0373 4,3513 4,7278 5,1670 5,6562 6,1793 6,7138 7,2259 7,6785 8,0438 8,3027 8,4435 8,4647 8,3740 8,1817 7,8965 7,5117 6,9906 6,2848 5,3819 4,3327 3,2361 2,1967 1,2815 0,5028 -0,1589 -0,7187 -1,1753 -1,5250 -1,7710 -1,9112 -1,9251 -1,7828 -1,4673 -0,9875 -0,3708 0,3478 1,1278 1,9217 2,6774 3,3438 3,8922 4,3400 4,7406 5,1438 5,5712 6,0137 6,4395 6,8084 7,0897 7,2738 7,3695 7,3954 7,3722 7,3140 7,2246 7,1095 6,9845 6,8646 6,7517 6,6444 6,5590 6,5279 6,5764 6,7143 6,9421 7,2454 7,5893 7,9276 8,2174 8,4265 8,5334 8,5268 8,4090 8,1936 7,8949 7,5168 7,0528 6,5048 5,9077 5,3274 4,8293 4,4503 4,1910 4,0216 3,8992 3,7870 3,6590 3,4954 3,2805 3,0119 2,7108 2,4183 2,1769 2,0138 1,9285 1,8893 1,8451 1,7512 1,5919 1,3870 1,1859 1,0491 1,0272 1,1438 1,3806 1,6724 1,9281 2,0660 2,0403 1,8511 1,5413 1,1751 0,8136 0,5024 0,2634 0,0809 -0,1006 -0,3540 -0,7357 -1,2602 -1,8908 -2,5511 -3,1547 -3,6418 -4,0011 -4,2637 -4,4767 -4,6787 -4,8807 -5,0609 -5,1798 -5,2064 -5,1332 -4,9775 -4,7759 -4,5744 -4,4126
F3    1,8734 2,0037 2,1874 2,4045 2,6284 2,8438 3,0534 3,2677 3,4854 3,6828 3,8269 3,8908 3,8540 3,7067 3,4611 3,1500 2,8107 2,4602 2,0800 1,6340 1,1046 0,5028 -0,1489 -0,8275 -1,5057 -2,1455 -2,7079 -3,1704 -3,5302 -3,7892 -3,9416 -3,9756 -3,8817 -3,6601 -3,3307 -2,9425 -2,5644 -2,2558 -2,0479 -1,9364 -1,8857 -1,8502 -1,7908 -1,6719 -1,4673 -1,1796 -0,8428 -0,5100 -0,2437 -0,1084 -0,1471 -0,3518 -0,6534 -0,9404 -1,1094 -1,1202 -1,0068 -0,8316 -0,6379 -0,4395 -0,2331 -0,0072 0,2461 0,5189 0,7878 1,0201 1,1746 1,2082 1,0967 0,8532 0,5325 0,2141 -0,0266 -0,1429 -0,1191 0,0416 0,3224 0,6875 1,0777 1,4095 1,5864 1,5403 1,2733 0,8513 0,3648 -0,0970 -0,4603 -0,6868 -0,7859 -0,8018 -0,7964 -0,8362 -0,9636 -1,1707 -1,4158 -1,6609 -1,8852 -2,0746 -2,2221 -2,3395 -2,4577 -2,6082 -2,7995 -3,0165 -3,2466 -3,5014 -3,8027 -4,1582 -4,5641 -5,0228 -5,5397 -6,0974 -6,6384 -7,0759 -7,3290 -7,3689 -7,2408 -7,0350 -6,8372 -6,7039 -6,6557 -6,6645 -6,6500 -6,5089 -6,1646 -5,6152 -4,9416 -4,2603 -3,6620 -3,1819 -2,8029 -2,4716 -2,1157 -1,6645 -1,0719 -0,3329 0,5143 1,4081 2,2891 3,1058 3,8097 4,3620 4,7453 4,9646 5,0402 5,0034 4,8956 4,7631 4,6393 4,5177 4,3426 4,0495 3,6371 3,1960 2,8510 2,6882 2,7330 2,9522 3,2576 3,5386 3,7146 3,7655 3,7213 3,6233 3,4989 3,3701 3,2694 3,2290 3,2585 3,3381 3,4345 3,5270 3,6246 3,7596 3,9550 4,1937 4,4174 4,5569 4,5652 4,4323 4,1777 3,8253 3,3842 2,8642 2,3093 1,8051 1,4440 1,2717 1,2610 1,3262 1,3605 1,2767 1,0404 0,6849 0,2997 -0,0089 -0,1705 -0,1921 -0,1580 -0,1777 -0,3195 -0,5838 -0,9222 -1,2768 -1,6073 -1,8883 -2,0953 -2,2127 -2,2622 -2,3068 -2,4157 -2,6276 -2,9450 -3,3467 -3,7941 -4,2264 -4,5575 -4,7038 -4,6352 -4,3994 -4,0947 -3,8185 -3,6287 -3,5301 -3,4875 -3,4589 -3,4253 -3,3922 -3,3743 -3,3826 -3,4206 -3,4853 -3,5609 -3,6070 -3,5650 -3,3833 -3,0429 -2,5826 -2,1050 -1,7341 -1,5438 -1,5086 -1,5136 -1,4201 -1,1370 -0,6525 -0,0256 0,6457 1,2677 1,7786 2,1499 2,3788 2,4865 2,5092 2,4761 2,4055 2,3170 2,2329 2,1629 2,1002 2,0353 1,9686 1,9042 1,8405 1,7694 1,6812 1,5645 1,4009 1,1762 0,9047 0,6358 0,4241 0,2879 0,1928 0,0792 -0,0891 -0,2975 -0,5005 -0,6658 -0,7977 -0,9286 -1,1022 -1,3595 -1,7187 -2,1510 -2,5804 -2,9192 -3,1109 -3,1546 -3,0978 -3,0033 -2,9124 -2,8308 -2,7354 -2,5927 -2,3761 -2,0724 -1,6774 -1,1935 -0,6403 -0,0659 0,4666 0,9121 1,2582 1,5184 1,7286 1,9386 2,1805 2,4370 2,6478 2,7539 2,7366 2,6175 2,4308 2,2056 1,9741 1,7785 1,6614 1,6520 1,7627 1,9901 2,3077 2,6621 2,9791 3,1801 3,2121 3,0845 2,8725 2,6717 2,5432 2,5003 2,5259 2,5876 2,6522 2,7075 2,7675 2,8505 2,9620 3,0972 3,2473 3,4013 3,5512 3,6985 3,8540 4,0261 4,2024 4,3467 4,4226 4,4192 4,3514 4,2388 4,0842 3,8674 3,5593 3,1401 2,6140 2,0208 1,4310 0,9182 0,5307 0,2729 0,1143 0,0258 0,0083 0,0822 0,2559 0,5090 0,8059 1,1215 1,4550 1,8160 2,2002 2,5887 2,9597 3,2916 3,5610 3,7445 3,8239 3,7961 3,6775 3,4983 3,2922 3,0867 2,8969 2,7272 2,5814 2,4630 2,3594 2,2399 2,0859 1,9109 1,7389 1,5804 1,4460 1,3596 1,3384 1,3729 1,4416 1,5339 1,6453 1,7613 1,8649 1,9621 2,0850 2,2596 2,4830 2,7293 2,9639 3,1500 3,2569 3,2764 3,2308 3,1643 3,1331 3,1929 3,3801 3,7032 4,1421 4,6390 5,1015 5,4309 5,5606 5,4784 5,2281 4,8873 4,5301 4,1935 3,8666 3,5083 3,0812 2,5847 2,0678 1,6054 1,2548 1,0317 0,9127 0,8477 0,7818 0,6929 0,6125 0,6064 0,7345 1,0234 1,4609 2,0037 2,5893 3,1461 3,6018 3,8961 3,9892 3,8605 3,5168 3,0110 2,4394 1,9069 1,4963 1,2541 1,1752 1,1986 1,2399 1,2491 1,2348 1,2377 1,2988 1,4479 1,7026 2,0746 2,5741 3,1940 3,8855 4,5548 5,0864 5,3798 5,3880 5,1274 4,6553 4,0439 3,3579 2,6238 1,8107 0,8611 -0,2476 -1,4605 -2,6534 -3,6861 -4,4703 -5,0087 -5,3762 -5,6578 -5,9066 -6,1478 -6,3938 -6,6414 -6,8582 -6,9813 -6,9377 -6,6704 -6,1528 -5,3961 -4,4546 -3,4146 -2,3692 -1,3953 -0,5358 0,2143 0,8936 1,5373 2,1544 2,7285 3,2256 3,6099 3,8660 4,0137 4,1049 4,2004 4,3345 4,4917 4,6170 4,6572 4,5988 4,4682 4,3053 4,1527 4,0631 4,0848 4,2341 4,5007 4,8649 5,2802 5,6581 5,9022 5,9613 5,8536 5,6472 5,4162 5,2055 5,0239 4,8550 4,6627 4,3954 4,0077 3,4949 2,9048 2,3114 1,7779 1,3351 0,9824 0,7020 0,4673 0,2397 -0,0291 -0,3795 -0,8210 -1,3182 -1,8003 -2,1875 -2,4259 -2,5194 -2,5348 -2,5582 -2,6393 -2,7722 -2,9105 -2,9966 -2,9882 -2,8597 -2,5990 -2,2284 -1,8254 -1,5034 -1,3665 -1,4674 -1,7826 -2,2186 -2,6575 -3,0063 -3,2242 -3,3324 -3,4111 -3,5714 -3,9014 -4,4275 -5,1121 -5,8703 -6,5981 -7,2120 -7,6775 -8,0074 -8,2366 -8,3986 -8,5147 -8,5790 -8,5489 -8,3773 -8,0657 -7,6838 -7,3393 -7,1283 -7,0970 -7,2246
F7    0,2670 0,3899 0,5193 0,6583 0,8128 0,9898 1,1906 1,4074 1,6215 1,8089 1,9530 2,0491 2,0957 2,0871 2,0182 1,8944 1,7326 1,5474 1,3395 1,1011 0,8304 0,5353 0,2241 -0,0995 -0,4315 -0,7600 -1,0659 -1,3293 -1,5364 -1,6803 -1,7573 -1,7627 -1,6944 -1,5598 -1,3823 -1,2006 -1,0560 -0,9744 -0,9603 -0,9995 -1,0650 -1,1242 -1,1492 -1,1241 -1,0498 -0,9389 -0,8046 -0,6575 -0,5137 -0,3963 -0,3216 -0,2856 -0,2677 -0,2411 -0,1848 -0,0935 0,0205 0,1393 0,2504 0,3457 0,4192 0,4687 0,4967 0,5064 0,5018 0,4896 0,4733 0,4477 0,4014 0,3264 0,2276 0,1235 0,0374 -0,0132 -0,0164 0,0357 0,1441 0,2984 0,4733 0,6254 0,6976 0,6447 0,4604 0,1809 -0,1355 -0,4318 -0,6685 -0,8328 -0,9361 -0,9996 -1,0414 -1,0763 -1,1161 -1,1647 -1,2189 -1,2770 -1,3429 -1,4207 -1,5123 -1,6235 -1,7666 -1,9530 -2,1816 -2,4371 -2,7074 -2,9989 -3,3275 -3,6974 -4,0981 -4,5157 -4,9382 -5,3497 -5,7241 -6,0256 -6,2200 -6,2918 -6,2538 -6,1370 -5,9722 -5,7876 -5,6082 -5,4445 -5,2845 -5,0958 -4,8372 -4,4843 -4,0498 -3,5746 -3,0982 -2,6398 -2,1989 -1,7620 -1,3102 -0,8266 -0,3027 0,2572 0,8358 1,4076 1,9494 2,4424 2,8672 3,2050 3,4478 3,6056 3,7031 3,7702 3,8326 3,9055 3,9879 4,0599 4,0867 4,0359 3,9030 3,7210 3,5372 3,3864 3,2852 3,2345 3,2185 3,2118 3,1919 3,1495 3,0869 3,0061 2,9055 2,7898 2,6763 2,5862 2,5326 2,5164 2,5291 2,5591 2,5994 2,6511 2,7178 2,7957 2,8683 2,9114 2,9061 2,8469 2,7373 2,5793 2,3711 2,1210 1,8575 1,6219 1,4468 1,3384 1,2746 1,2152 1,1169 0,9491 0,7072 0,4178 0,1300 -0,1037 -0,2515 -0,3199 -0,3519 -0,4004 -0,4967 -0,6392 -0,8040 -0,9650 -1,1094 -1,2376 -1,3523 -1,4545 -1,5514 -1,6588 -1,7919 -1,9556 -2,1440 -2,3455 -2,5445 -2,7198 -2,8433 -2,8895 -2,8521 -2,7535 -2,6391 -2,5602 -2,5525 -2,6217 -2,7466 -2,8950 -3,0394 -3,1592 -3,2355 -3,2531 -3,2078 -3,1135 -2,9933 -2,8577 -2,6968 -2,4937 -2,2422 -1,9585 -1,6811 -1,4525 -1,2899 -1,1700 -1,0395 -0,8462 -0,5640 -0,1956 0,2348 0,6886 1,1235 1,5054 1,8139 2,0418 2,1971 2,2972 2,3570 2,3857 2,3923 2,3858 2,3694 2,3410 2,2981 2,2353 2,1390 1,9945 1,8012 1,5794 1,3614 1,1752 1,0310 0,9200 0,8251 0,7306 0,6259 0,5029 0,3546 0,1807 -0,0094 -0,2026 -0,3918 -0,5793 -0,7723 -0,9788 -1,2067 -1,4604 -1,7309 -1,9912 -2,2068 -2,3533 -2,4255 -2,4328 -2,3896 -2,3050 -2,1775 -1,9967 -1,7537 -1,4498 -1,0937 -0,6939 -0,2582 0,1990 0,6510 1,0660 1,4202 1,7037 1,9203 2,0904 2,2471 2,4169 2,6030 2,7840 2,9288 3,0164 3,0446 3,0249 2,9751 2,9152 2,8634 2,8314 2,8205 2,8239 2,8349 2,8493 2,8595 2,8512 2,8084 2,7242 2,6102 2,4953 2,4122 2,3799 2,3953 2,4385 2,4872 2,5315 2,5813 2,6557 2,7606 2,8817 2,9964 3,0883 3,1528 3,1953 3,2263 3,2563 3,2887 3,3165 3,3271 3,3150 3,2857 3,2466 3,1962 3,1233 3,0133 2,8539 2,6391 2,3761 2,0900 1,8194 1,6017 1,4578 1,3817 1,3443 1,3154 1,2865 1,2704 1,2819 1,3225 1,3828 1,4532 1,5308 1,6149 1,7010 1,7819 1,8556 1,9255 1,9980 2,0786 2,1702 2,2727 2,3825 2,4898 2,5802 2,6424 2,6718 2,6702 2,6414 2,5831 2,4839 2,3342 2,1423 1,9341 1,7352 1,5622 1,4308 1,3593 1,3564 1,4134 1,5140 1,6470 1,8073 1,9876 2,1794 2,3829 2,6075 2,8561 3,1141 3,3544 3,5536 3,6997 3,7914 3,8328 3,8311 3,7964 3,7473 3,7127 3,7207 3,7888 3,9186 4,0933 4,2784 4,4321 4,5227 4,5402 4,4963 4,4119 4,3030 4,1746 4,0219 3,8372 3,6174 3,3680 3,1033 2,8430 2,6070 2,4079 2,2469 2,1136 1,9942 1,8876 1,8137 1,8043 1,8811 2,0396 2,2464 2,4503 2,6056 2,6910 2,7098 2,6767 2,6006 2,4747 2,2876 2,0459 1,7833 1,5467 1,3786 1,3062 1,3351 1,4475 1,6112 1,7969 1,9902 2,1920 2,4113 2,6581 2,9346 3,2341 3,5479 3,8640 4,1601 4,4048 4,5682 4,6285 4,5741 4,4044 4,1273 3,7557 3,3045 2,7840 2,1876 1,4979 0,7122 -0,1385 -0,9944 -1,7913 -2,4875 -3,0777 -3,5813 -4,0182 -4,3950 -4,7090 -4,9557 -5,1289 -5,2142 -5,1893 -5,0336 -4,7383 -4,3095 -3,7672 -3,1432 -2,4726 -1,7866 -1,1131 -0,4732 0,1293 0,7054 1,2638 1,8034 2,3154 2,7841 3,1875 3,5073 3,7432 3,9131 4,0405 4,1429 4,2284 4,2984 4,3569 4,4144 4,4818 4,5627 4,6574 4,7714 4,9151 5,0927 5,3003 5,5265 5,7505 5,9409 6,0670 6,1122 6,0786 5,9789 5,8222 5,6090 5,3367 5,0033 4,6063 4,1443 3,6230 3,0630 2,4991 1,9698 1,5026 1,1062 0,7739 0,4906 0,2387 -0,0003 -0,2431 -0,5000 -0,7676 -1,0247 -1,2381 -1,3758 -1,4238 -1,3987 -1,3458 -1,3186 -1,3540 -1,4573 -1,6000 -1,7303 -1,7967 -1,7686 -1,6447 -1,4529 -1,2433 -1,0685 -0,9644 -0,9457 -1,0099 -1,1381 -1,3037 -1,4833 -1,6608 -1,8267 -1,9836 -2,1506 -2,3536 -2,6103 -2,9210 -3,2650 -3,6052 -3,9013 -4,1270 -4,2804 -4,3788 -4,4441 -4,4920 -4,5254 -4,5308 -4,4900 -4,3972 -4,2682 -4,1374 -4,0460 -4,0266 -4,0879
