Fp1   -1,6797 -1,3369 -0,9395 -0,5097 -0,0469 0,4593 0,9977 1,5294 2,0075 2,3903 2,6475 2,7736 2,7930 2,7458 2,6654 2,5704 2,4767 2,4025 2,3575 2,3288 2,2795 2,1564 1,9036 1,4886 0,9283 0,2866 -0,3609 -0,9582 -1,4686 -1,8680 -2,1485 -2,3181 -2,3948 -2,4089 -2,4049 -2,4211 -2,4578 -2,4781 -2,4456 -2,3506 -2,1994 -1,9905 -1,7127 -1,3696 -0,9973 -0,6484 -0,3591 -0,1340 0,0405 0,1789 0,2945 0,4066 0,5420 0,7229 0,9522 1,2117 1,4836 1,7668 2,0715 2,4076 2,7747 3,1492 3,4870 3,7497 3,9216 3,9968 3,9619 3,8054 3,5334 3,1772 2,7921 2,4372 2,1435 1,8992 1,6608 1,3671 0,9517 0,3702 -0,3652 -1,1863 -2,0168 -2,8135 -3,5575 -4,2210 -4,7672 -5,1890 -5,5292 -5,8404 -6,1304 -6,3618 -6,5070 -6,5896 -6,6606 -6,7465 -6,8359 -6,9070 -6,9515 -6,9744 -6,9771 -6,9510 -6,8894 -6,7987 -6,6928 -6,5887 -6,5169 -6,5297 -6,6802 -6,9782 -7,3654 -7,7370 -7,9891 -8,0616 -7,9554 -7,7164 -7,4033 -7,0616 -6,7175 -6,3823 -6,0544 -5,7232 -5,3831 -5,0464 -4,7312 -4,4326 -4,1117 -3,7185 -3,2222 -2,6200 -1,9220 -1,1396 -0,2912 0,5903 1,4624 2,2804 3,0100 3,6413 4,1917 4,6906 5,1574 5,5900 5,9715 6,2884 6,5512 6,7972 7,0572 7,3223 7,5559 7,7305 7,8503 7,9448 8,0406 8,1331 8,1892 8,1842 8,1326 8,0816 8,0797 8,1530 8,2949 8,4613 8,5856 8,6151 8,5396 8,3842 8,1865 7,9808 7,7897 7,6189 7,4593 7,2997 7,1454 7,0224 6,9549 6,9417 6,9583 6,9780 6,9851 6,9703 6,9205 6,8154 6,6291 6,3344 5,9152 5,3784 4,7534 4,0863 3,4342 2,8430 2,3180 1,8244 1,3200 0,7869 0,2372 -0,3033 -0,8068 -1,2445 -1,5973 -1,8670 -2,0641 -2,1769 -2,1661 -1,9972 -1,6700 -1,2199 -0,7044 -0,1785 0,3325 0,8235 1,2752 1,6596 1,9723 2,2321 2,4564 2,6511 2,8276 3,0114 3,2212 3,4414 3,6349 3,7794 3,8827 3,9702 4,0655 4,1789 4,3025 4,4086 4,4646 4,4627 4,4314 4,4049 4,3900 4,3713 4,3416 4,3153 4,3118 4,3303 4,3526 4,3607 4,3389 4,2765 4,1831 4,0830 3,9893 3,8923 3,7728 3,6172 3,4246 3,2060 2,9868 2,8095 2,7193 2,7372 2,8474 3,0011 3,1327 3,1870 3,1389 2,9964 2,7939 2,5787 2,3981 2,2910 2,2840 2,3878 2,5912 2,8570 3,1335 3,3785 3,5790 3,7489 3,9011 4,0237 4,0910 4,0835 3,9922 3,8246 3,6207 3,4484 3,3659 3,3895 3,5010 3,6760 3,8955 4,1426 4,4005 4,6505 4,8731 5,0636 5,2420 5,4372 5,6635 5,9114 6,1525 6,3527 6,4884 6,5575 6,5698 6,5275 6,4234 6,2609 6,0713 5,9027 5,7830 5,6955 5,5916 5,4319 5,2225 5,0033 4,8011 4,6109 4,4212 4,2397 4,0907 3,9904 3,9363 3,9270 3,9803 4,1147 4,3251 4,5818 4,8274 4,9735 4,9269 4,6383 4,1295 3,4773 2,7795 2,1338 1,6140 1,2381 0,9668 0,7407 0,5134 0,2577 -0,0409 -0,3820 -0,7408 -1,0729 -1,3321 -1,4840 -1,5254 -1,5036 -1,5024 -1,5902 -1,7813 -2,0385 -2,2928 -2,4679 -2,5106 -2,4159 -2,2242 -1,9870 -1,7268 -1,4244 -1,0366 -0,5285 0,0995 0,8079 1,5389 2,2419 2,8814 3,4243 3,8350 4,1014 4,2529 4,3413 4,4092 4,4718 4,5166 4,5162 4,4437 4,2855 4,0419 3,7171 3,3138 2,8353 2,2894 1,6920 1,0680 0,4466 -0,1435 -0,6748 -1,1283 -1,4991 -1,7808 -1,9531 -1,9979 -1,9283 -1,7986 -1,6815 -1,6298 -1,6597 -1,7555 -1,8709 -1,9338 -1,8883 -1,7406 -1,5469 -1,3640 -1,2203 -1,1253 -1,0866 -1,1060 -1,1707 -1,2733 -1,4268 -1,6355 -1,8553 -1,9996 -1,9949 -1,8399 -1,6054 -1,3688 -1,1579 -0,9599 -0,7729 -0,6318 -0,5854 -0,6642 -0,8702 -1,1791 -1,5458 -1,9188 -2,2553 -2,5349 -2,7646 -2,9664 -3,1519 -3,3101 -3,4201 -3,4777 -3,5085 -3,5441 -3,5881 -3,6111 -3,5638 -3,3914 -3,0559 -2,5570 -1,9261 -1,2018 -0,4141 0,4119 1,2499 2,0792 2,8925 3,6856 4,4441 5,1406 5,7363 6,1815 6,4277 6,4495 6,2553 5,8749 5,3433 4,7029 4,0013 3,2705 2,5236 1,7669 0,9969 0,2086 -0,5740 -1,2952 -1,9096 -2,4098 -2,8094 -3,1067 -3,2677 -3,2428 -3,0040 -2,5769 -2,0345 -1,4447 -0,8353 -0,2228 0,3471 0,8045 1,0917 1,1941 1,1524 1,0459 0,9525 0,9189 0,9635 1,0884 1,2816 1,5249 1,8097 2,1351 2,4838 2,8086 3,0552 3,2011 3,2657 3,2854 3,2855 3,2721 3,2388 3,1726 3,0550 2,8677 2,6137 2,3298 2,0738 1,9073 1,8863 2,0406 2,3507 2,7576 3,2025 3,6565 4,1176 4,5920 5,0834 5,5933 6,1161 6,6237 7,0694 7,4167 7,6548 7,7912 7,8488 7,8702 7,9082 7,9998 8,1544 8,3643 8,6152 8,8869 9,1471 9,3455 9,4242 9,3450 9,1107 8,7585 8,3267 7,8265 7,2454 6,5725 5,8191 5,0312 4,2807 3,6262 3,0757 2,6015 2,1874 1,8430 1,5842 1,4114 1,2971 1,1933 1,0584 0,8809 0,6778 0,4764 0,2997 0,1560 0,0338 -0,0921 -0,2437 -0,4192 -0,5874 -0,7081 -0,7631 -0,7628 -0,7264 -0,6683 -0,5986 -0,5206 -0,4283 -0,3124 -0,1706 -0,0172 0,1270 0,2571 0,3884 0,5335 0,6898 0,8473 0,9902 1,0905 1,1246 1,1043 1,0727 1,0581 1,0486 1,0211 0,9729 0,9123 0,8363 0,7299 0,5824 0,4001 0,2051 0,0273 -0,1099 -0,1978 -0,2409
Fz    1,2575 1,8708 2,5097 3,1454 3,7540 4,3153 4,8073 5,2081 5,4956 5,6434 5,6273 5,4415 5,1049 4,6515 4,1161 3,5302 2,9273 2,3450 1,8157 1,3529 0,9462 0,5633 0,1612 -0,2932 -0,7999 -1,3287 -1,8483 -2,3451 -2,8109 -3,2295 -3,5801 -3,8518 -4,0534 -4,2124 -4,3647 -4,5293 -4,6832 -4,7651 -4,7148 -4,5055 -4,1493 -3,6815 -3,1424 -2,5727 -2,0187 -1,5311 -1,1516 -0,9012 -0,7762 -0,7496 -0,7737 -0,7870 -0,7279 -0,5590 -0,2861 0,0511 0,4130 0,7812 1,1510 1,5207 1,8904 2,2561 2,5976 2,8790 3,0614 3,1103 2,9985 2,7154 2,2763 1,7214 1,1043 0,4726 -0,1489 -0,7576 -1,3620 -1,9770 -2,6248 -3,3233 -4,0648 -4,8122 -5,5275 -6,1924 -6,7948 -7,3051 -7,6845 -7,9214 -8,0495 -8,1230 -8,1786 -8,2271 -8,2770 -8,3561 -8,5001 -8,7214 -8,9978 -9,2929 -9,5818 -9,8598 -10,1321 -10,3969 -10,6402 -10,8449 -11,0050 -11,1314 -11,2531 -11,4122 -11,6456 -11,9575 -12,3054 -12,6130 -12,8019 -12,8242 -12,6806 -12,4141 -12,0812 -11,7246 -11,3658 -11,0132 -10,6661 -10,3147 -9,9456 -9,5482 -9,1141 -8,6313 -8,0828 -7,4516 -6,7296 -5,9189 -5,0251 -4,0542 -3,0192 -1,9440 -0,8592 0,2020 1,2064 2,1293 2,9620 3,7077 4,3699 4,9492 5,4470 5,8673 6,2215 6,5319 6,8191 7,0878 7,3369 7,5768 7,8278 8,1058 8,4080 8,7075 8,9663 9,1634 9,3108 9,4382 9,5651 9,6870 9,7764 9,7899 9,6872 9,4600 9,1421 8,7867 8,4375 8,1211 7,8525 7,6363 7,4620 7,3051 7,1417 6,9633 6,7739 6,5766 6,3695 6,1523 5,9298 5,7080 5,4890 5,2667 5,0218 4,7251 4,3542 3,9104 3,4167 2,9067 2,4175 1,9757 1,5766 1,1819 0,7416 0,2182 -0,3989 -1,0921 -1,8228 -2,5438 -3,2174 -3,8230 -4,3418 -4,7356 -4,9516 -4,9491 -4,7192 -4,2874 -3,7075 -3,0464 -2,3608 -1,6951 -1,0957 -0,6019 -0,2217 0,0691 0,3026 0,5020 0,6869 0,8804 1,0952 1,3151 1,5103 1,6729 1,8273 2,0093 2,2436 2,5372 2,8793 3,2404 3,5798 3,8684 4,1023 4,2905 4,4315 4,5116 4,5215 4,4675 4,3617 4,2078 4,0083 3,7757 3,5261 3,2717 3,0235 2,7887 2,5602 2,3221 2,0690 1,8105 1,5601 1,3271 1,1210 0,9581 0,8546 0,8145 0,8262 0,8600 0,8686 0,8028 0,6344 0,3685 0,0383 -0,3134 -0,6503 -0,9450 -1,1715 -1,3050 -1,3289 -1,2466 -1,0858 -0,8842 -0,6672 -0,4395 -0,1999 0,0398 0,2544 0,4178 0,5147 0,5543 0,5818 0,6649 0,8632 1,2063 1,6960 2,3196 3,0554 3,8729 4,7351 5,6027 6,4430 7,2443 8,0184 8,7760 9,4995 10,1400 10,6359 10,9367 11,0248 10,9260 10,6911 10,3656 9,9780 9,5509 9,1147 8,7053 8,3471 8,0369 7,7436 7,4264 7,0651 6,6651 6,2365 5,7844 5,3283 4,9154 4,6032 4,4274 4,3859 4,4541 4,6040 4,8042 5,0174 5,2085 5,3432 5,3798 5,2741 5,0005 4,5696 4,0276 3,4440 2,8995 2,4638 2,1653 1,9790 1,8429 1,6826 1,4330 1,0622 0,5893 0,0812 -0,3785 -0,7255 -0,9290 -0,9977 -0,9820 -0,9551 -0,9741 -1,0552 -1,1788 -1,3088 -1,4109 -1,4670 -1,4818 -1,4763 -1,4701 -1,4612 -1,4199 -1,2974 -1,0497 -0,6661 -0,1819 0,3358 0,8202 1,2254 1,5262 1,7117 1,7909 1,7987 1,7876 1,8109 1,9018 2,0596 2,2545 2,4421 2,5770 2,6165 2,5244 2,2774 1,8731 1,3336 0,7005 0,0215 -0,6636 -1,3259 -1,9452 -2,5130 -3,0295 -3,4847 -3,8459 -4,0741 -4,1545 -4,1140 -4,0110 -3,9056 -3,8357 -3,8111 -3,8129 -3,7949 -3,7077 -3,5349 -3,3019 -3,0528 -2,8230 -2,6322 -2,4969 -2,4375 -2,4691 -2,5938 -2,8004 -3,0574 -3,3114 -3,5023 -3,5886 -3,5730 -3,4994 -3,4162 -3,3442 -3,2793 -3,2196 -3,1838 -3,2039 -3,3114 -3,5270 -3,8505 -4,2547 -4,6964 -5,1352 -5,5465 -5,9274 -6,2886 -6,6299 -6,9220 -7,1157 -7,1769 -7,1159 -6,9761 -6,7969 -6,5873 -6,3222 -5,9550 -5,4479 -4,7959 -4,0206 -3,1514 -2,2192 -1,2588 -0,3058 0,6155 1,4966 2,3300 3,0931 3,7531 4,2786 4,6424 4,8234 4,8141 4,6245 4,2747 3,7842 3,1718 2,4565 1,6564 0,8002 -0,0710 -0,9284 -1,7645 -2,5691 -3,3170 -3,9853 -4,5704 -5,0795 -5,5059 -5,8104 -5,9298 -5,8119 -5,4518 -4,8964 -4,2160 -3,4751 -2,7297 -2,0364 -1,4521 -1,0204 -0,7522 -0,6163 -0,5520 -0,4991 -0,4171 -0,2824 -0,0794 0,1953 0,5286 0,9018 1,2976 1,6915 2,0440 2,3124 2,4720 2,5202 2,4659 2,3217 2,1009 1,8146 1,4715 1,0817 0,6640 0,2543 -0,0963 -0,3402 -0,4493 -0,4112 -0,2238 0,1025 0,5440 1,0675 1,6353 2,2127 2,7748 3,3131 3,8395 4,3745 4,9221 5,4600 5,9557 6,3859 6,7487 7,0732 7,4138 7,8174 8,2880 8,7857 9,2572 9,6598 9,9662 10,1566 10,2055 10,0833 9,7763 9,3092 8,7417 8,1362 7,5251 6,9083 6,2744 5,6217 4,9660 4,3342 3,7390 3,1601 2,5661 1,9527 1,3525 0,8165 0,3869 0,0768 -0,1371 -0,3016 -0,4610 -0,6369 -0,8265 -1,0140 -1,1873 -1,3533 -1,5365 -1,7605 -2,0260 -2,3047 -2,5539 -2,7396 -2,8444 -2,8615 -2,7914 -2,6451 -2,4424 -2,2047 -1,9507 -1,6982 -1,4659 -1,2697 -1,1121 -0,9814 -0,8644 -0,7515 -0,6303 -0,4936 -0,3572 -0,2515 -0,1901 -0,1567 -0,1278 -0,0982 -0,0754 -0,0626 -0,0628 -0,0876 -0,1521 -0,2613 -0,4040 -0,5578 -0,6994 -0,8141 -0,9027 -0,9798
F3    1,6053 2,1274 2,6420 3,1299 3,5987 4,0673 4,5363 4,9774 5,3442 5,5825 5,6480 5,5280 5,2439 4,8334 4,3304 3,7656 3,1812 2,6302 2,1606 1,7958 1,5215 1,2805 0,9865 0,5633 -0,0113 -0,6964 -1,4204 -2,1147 -2,7238 -3,2063 -3,5423 -3,7368 -3,8160 -3,8250 -3,8266 -3,8768 -3,9872 -4,1180 -4,2136 -4,2369 -4,1753 -4,0264 -3,7916 -3,4899 -3,1685 -2,8859 -2,6803 -2,5546 -2,4898 -2,4654 -2,4618 -2,4483 -2,3804 -2,2179 -1,9514 -1,6071 -1,2208 -0,8158 -0,4024 0,0145 0,4294 0,8266 1,1757 1,4430 1,6041 1,6361 1,5085 1,2006 0,7257 0,1337 -0,5076 -1,1405 -1,7362 -2,2932 -2,8245 -3,3549 -3,9253 -4,5731 -5,2938 -6,0310 -6,7159 -7,3078 -7,7907 -8,1455 -8,3496 -8,4154 -8,4122 -8,4226 -8,4789 -8,5533 -8,6116 -8,6637 -8,7477 -8,8800 -9,0420 -9,2098 -9,3783 -9,5567 -9,7478 -9,9405 -10,1188 -10,2707 -10,3862 -10,4619 -10,5141 -10,5841 -10,7182 -10,9328 -11,1971 -11,4415 -11,5809 -11,5492 -11,3310 -10,9677 -10,5284 -10,0735 -9,6414 -9,2529 -8,9130 -8,6116 -8,3348 -8,0785 -7,8418 -7,6059 -7,3260 -6,9504 -6,4495 -5,8250 -5,0934 -4,2694 -3,3680 -2,4139 -1,4448 -0,5064 0,3618 1,1451 1,8613 2,5441 3,2140 3,8656 4,4798 5,0407 5,5497 6,0255 6,4804 6,9005 7,2613 7,5589 7,8177 8,0722 8,3335 8,5680 8,7138 8,7301 8,6303 8,4655 8,2883 8,1362 8,0273 7,9502 7,8678 7,7464 7,5802 7,3814 7,1613 6,9294 6,6934 6,4537 6,2003 5,9207 5,6169 5,3136 5,0407 4,8080 4,6082 4,4359 4,2911 4,1687 4,0530 3,9225 3,7555 3,5339 3,2506 2,9128 2,5342 2,1298 1,7151 1,2948 0,8514 0,3545 -0,2147 -0,8497 -1,5234 -2,2016 -2,8517 -3,4442 -3,9590 -4,3908 -4,7357 -4,9683 -5,0422 -4,9192 -4,5910 -4,0798 -3,4375 -2,7351 -2,0360 -1,3882 -0,8364 -0,4119 -0,1130 0,0838 0,1952 0,2272 0,1978 0,1482 0,1157 0,1035 0,0909 0,0693 0,0565 0,0854 0,1890 0,3875 0,6720 0,9953 1,2894 1,5031 1,6247 1,6668 1,6410 1,5563 1,4352 1,3162 1,2304 1,1756 1,1221 1,0410 0,9197 0,7630 0,5920 0,4322 0,2921 0,1589 0,0136 -0,1522 -0,3299 -0,4998 -0,6400 -0,7303 -0,7586 -0,7286 -0,6569 -0,5718 -0,5133 -0,5221 -0,6220 -0,8110 -1,0620 -1,3333 -1,5819 -1,7705 -1,8666 -1,8454 -1,7034 -1,4696 -1,1961 -0,9323 -0,7023 -0,5027 -0,3270 -0,1858 -0,0954 -0,0583 -0,0615 -0,0765 -0,0545 0,0617 0,3076 0,6799 1,1494 1,6850 2,2610 2,8524 3,4343 3,9854 4,4921 4,9585 5,4093 5,8714 6,3491 6,8147 7,2206 7,5197 7,6882 7,7347 7,6880 7,5743 7,4117 7,2204 7,0294 6,8674 6,7403 6,6171 6,4432 6,1788 5,8286 5,4272 4,9989 4,5438 4,0639 3,5884 3,1666 2,8384 2,6176 2,5057 2,5074 2,6190 2,8136 3,0436 3,2389 3,3062 3,1582 2,7629 2,1670 1,4739 0,8048 0,2701 -0,0605 -0,1858 -0,1679 -0,0960 -0,0526 -0,0971 -0,2578 -0,5195 -0,8241 -1,1004 -1,2989 -1,3996 -1,4109 -1,3777 -1,3679 -1,4316 -1,5722 -1,7528 -1,9170 -2,0097 -1,9975 -1,8861 -1,7148 -1,5278 -1,3381 -1,1156 -0,8077 -0,3774 0,1654 0,7613 1,3308 1,8088 2,1586 2,3612 2,4060 2,3065 2,1137 1,8980 1,7204 1,6131 1,5722 1,5626 1,5381 1,4627 1,3120 1,0621 0,6919 0,1995 -0,3898 -1,0286 -1,6626 -2,2454 -2,7468 -3,1561 -3,4869 -3,7681 -4,0124 -4,1975 -4,2879 -4,2702 -4,1707 -4,0450 -3,9475 -3,9072 -3,9194 -3,9452 -3,9196 -3,7901 -3,5599 -3,2848 -3,0286 -2,8282 -2,6955 -2,6327 -2,6321 -2,6691 -2,7238 -2,8050 -2,9327 -3,0977 -3,2494 -3,3220 -3,2827 -3,1535 -2,9787 -2,7832 -2,5721 -2,3639 -2,2060 -2,1488 -2,2193 -2,4202 -2,7356 -3,1320 -3,5645 -3,9887 -4,3739 -4,7155 -5,0285 -5,3201 -5,5706 -5,7499 -5,8560 -5,9293 -6,0203 -6,1442 -6,2690 -6,3321 -6,2643 -6,0210 -5,6029 -5,0439 -4,3812 -3,6411 -2,8449 -2,0144 -1,1624 -0,2885 0,6015 1,4768 2,2871 2,9750 3,4831 3,7625 3,7886 3,5695 3,1362 2,5252 1,7783 0,9455 0,0771 -0,7811 -1,5951 -2,3580 -3,0862 -3,7855 -4,4371 -5,0229 -5,5471 -6,0213 -6,4329 -6,7286 -6,8310 -6,6790 -6,2688 -5,6570 -4,9162 -4,0988 -3,2549 -2,4560 -1,7836 -1,2972 -1,0102 -0,8857 -0,8588 -0,8705 -0,8810 -0,8570 -0,7648 -0,5781 -0,2828 0,1305 0,6622 1,2822 1,9202 2,4912 2,9338 3,2230 3,3564 3,3394 3,1789 2,8802 2,4496 1,9028 1,2737 0,6165 -0,0027 -0,5231 -0,8961 -1,0821 -1,0595 -0,8422 -0,4777 -0,0222 0,4791 0,9965 1,5125 2,0258 2,5552 3,1211 3,7089 4,2637 4,7272 5,0714 5,3076 5,4856 5,6833 5,9717 6,3743 6,8578 7,3609 7,8270 8,2165 8,4981 8,6324 8,5762 8,3124 7,8722 7,3225 6,7261 6,1101 5,4706 4,7948 4,0823 3,3557 2,6526 1,9972 1,3804 0,7805 0,2029 -0,3121 -0,7151 -0,9779 -1,1128 -1,1722 -1,2234 -1,3126 -1,4484 -1,6121 -1,7758 -1,9225 -2,0573 -2,1988 -2,3595 -2,5331 -2,6927 -2,8071 -2,8604 -2,8525 -2,7876 -2,6733 -2,5256 -2,3646 -2,2060 -2,0566 -1,9158 -1,7858 -1,6743 -1,5847 -1,5100 -1,4395 -1,3630 -1,2699 -1,1570 -1,0392 -0,9405 -0,8700 -0,8174 -0,7761 -0,7622 -0,7954 -0,8748 -0,9872 -1,1284 -1,3032 -1,5074 -1,7202 -1,9137 -2,0676 -2,1758 -2,2424 -2,2755
F7    -1,1850 -0,9142 -0,6194 -0,3209 -0,0120 0,3318 0,7188 1,1271 1,5165 1,8397 2,0596 2,1731 2,2154 2,2326 2,2528 2,2829 2,3263 2,3950 2,5029 2,6483 2,8001 2,8931 2,8417 2,5794 2,1080 1,5028 0,8615 0,2526 -0,2890 -0,7418 -1,0914 -1,3293 -1,4526 -1,4797 -1,4668 -1,4821 -1,5519 -1,6552 -1,7720 -1,9143 -2,1022 -2,3179 -2,5016 -2,6014 -2,6213 -2,6105 -2,6109 -2,6239 -2,6209 -2,5741 -2,4699 -2,2992 -2,0510 -1,7187 -1,3097 -0,8441 -0,3411 0,1922 0,7552 1,3452 1,9472 2,5203 3,0015 3,3415 3,5345 3,5991 3,5415 3,3547 3,0400 2,6227 2,1541 1,6937 1,2808 0,9232 0,6031 0,2747 -0,1366 -0,6990 -1,4163 -2,2138 -2,9971 -3,7120 -4,3406 -4,8570 -5,2236 -5,4420 -5,5816 -5,7185 -5,8538 -5,9196 -5,8706 -5,7477 -5,6332 -5,5626 -5,5067 -5,4249 -5,3112 -5,1880 -5,0651 -4,9260 -4,7572 -4,5699 -4,3867 -4,2308 -4,1384 -4,1677 -4,3775 -4,7804 -5,3140 -5,8583 -6,2815 -6,4921 -6,4764 -6,2911 -6,0184 -5,7267 -5,4571 -5,2217 -5,0077 -4,7957 -4,5857 -4,4018 -4,2664 -4,1653 -4,0372 -3,8024 -3,4087 -2,8491 -2,1454 -1,3314 -0,4570 0,4091 1,1937 1,8406 2,3300 2,6920 2,9968 3,3202 3,7017 4,1287 4,5559 4,9398 5,2718 5,5870 5,9227 6,2710 6,5834 6,8175 6,9714 7,0822 7,1891 7,2960 7,3711 7,3838 7,3355 7,2549 7,1771 7,1348 7,1479 7,2034 7,2528 7,2484 7,1774 7,0546 6,8976 6,7169 6,5117 6,2691 5,9718 5,6179 5,2435 4,9211 4,7180 4,6555 4,7085 4,8338 4,9854 5,1144 5,1762 5,1425 5,0027 4,7575 4,4190 4,0103 3,5594 3,1013 2,6783 2,3171 2,0033 1,6874 1,3216 0,8906 0,4165 -0,0619 -0,5108 -0,9028 -1,2171 -1,4517 -1,6187 -1,7091 -1,6785 -1,4821 -1,1128 -0,6071 -0,0336 0,5341 1,0576 1,5327 1,9516 2,3050 2,6091 2,8897 3,1392 3,3147 3,3897 3,3876 3,3450 3,2600 3,1010 2,8541 2,5428 2,2121 1,9017 1,6279 1,3789 1,1214 0,8255 0,5029 0,2100 -0,0015 -0,1249 -0,1802 -0,1758 -0,0993 0,0513 0,2369 0,3920 0,4731 0,4857 0,4770 0,5165 0,6586 0,9037 1,1966 1,4566 1,6129 1,6317 1,5245 1,3443 1,1694 1,0745 1,1019 1,2490 1,4683 1,6866 1,8378 1,8826 1,8128 1,6547 1,4641 1,3086 1,2493 1,3273 1,5546 1,9056 2,3147 2,6921 2,9597 3,0899 3,1125 3,0826 3,0423 3,0086 2,9750 2,9097 2,7740 2,5651 2,3320 2,1331 1,9867 1,8743 1,7780 1,6954 1,6342 1,6077 1,6244 1,6756 1,7471 1,8401 1,9691 2,1446 2,3664 2,6232 2,8923 3,1440 3,3512 3,4908 3,5409 3,4948 3,3812 3,2694 3,2435 3,3489 3,5523 3,7618 3,8990 3,9545 3,9668 3,9601 3,9235 3,8381 3,7033 3,5356 3,3466 3,1346 2,9172 2,7539 2,7055 2,7864 2,9647 3,1673 3,2765 3,1679 2,7832 2,1657 1,4274 0,6922 0,0689 -0,3753 -0,6480 -0,8217 -0,9763 -1,1585 -1,3829 -1,6489 -1,9418 -2,2206 -2,4251 -2,5011 -2,4212 -2,2023 -1,9211 -1,6906 -1,5979 -1,6603 -1,8308 -2,0231 -2,1406 -2,1125 -1,9223 -1,6045 -1,2061 -0,7450 -0,2023 0,4541 1,2365 2,1165 3,0320 3,9148 4,7134 5,3951 5,9282 6,2760 6,4316 6,4398 6,3662 6,2544 6,1137 5,9257 5,6554 5,2700 4,7645 4,1642 3,5039 2,8110 2,0994 1,3703 0,6247 -0,1243 -0,8519 -1,5205 -2,0758 -2,4703 -2,6937 -2,7623 -2,6876 -2,4793 -2,1757 -1,8544 -1,6059 -1,4884 -1,5061 -1,6172 -1,7440 -1,7906 -1,6994 -1,5012 -1,2878 -1,1312 -1,0408 -0,9877 -0,9462 -0,9003 -0,8328 -0,7467 -0,6872 -0,7020 -0,7780 -0,8289 -0,7535 -0,5148 -0,1616 0,2297 0,6222 1,0185 1,4075 1,7358 1,9415 1,9931 1,8913 1,6576 1,3283 0,9445 0,5421 0,1463 -0,2342 -0,6051 -0,9726 -1,3330 -1,6799 -2,0268 -2,4149 -2,8797 -3,4020 -3,9014 -4,2710 -4,4170 -4,2974 -3,9373 -3,4008 -2,7446 -1,9974 -1,1781 -0,3180 0,5516 1,4176 2,2767 3,1173 3,9168 4,6360 5,2117 5,5722 5,6776 5,5411 5,2066 4,7198 4,1318 3,5020 2,8741 2,2657 1,6744 1,0773 0,4524 -0,1751 -0,7396 -1,1945 -1,5449 -1,8245 -2,0556 -2,2254 -2,2906 -2,2091 -1,9840 -1,6674 -1,3014 -0,8804 -0,3993 0,0883 0,4815 0,6909 0,6914 0,5404 0,3487 0,2221 0,2238 0,3768 0,6753 1,0911 1,5891 2,1452 2,7376 3,3195 3,8126 4,1429 4,2877 4,2880 4,2156 4,1322 4,0697 4,0337 4,0135 3,9827 3,8994 3,7349 3,5050 3,2652 3,0811 3,0035 3,0435 3,1619 3,3004 3,4342 3,5849 3,7868 4,0562 4,3963 4,8145 5,3109 5,8462 6,3434 6,7328 6,9773 7,0611 6,9917 6,8217 6,6426 6,5389 6,5505 6,6757 6,8900 7,1629 7,4604 7,7331 7,9181 7,9676 7,8756 7,6747 7,3984 7,0507 6,6145 6,0825 5,4800 4,8694 4,3304 3,9109 3,5895 3,3039 3,0181 2,7436 2,5087 2,3216 2,1560 1,9663 1,7261 1,4530 1,1942 0,9969 0,8923 0,8881 0,9594 1,0516 1,1049 1,0906 1,0298 0,9714 0,9431 0,9356 0,9299 0,9175 0,8961 0,8678 0,8435 0,8401 0,8654 0,9019 0,9184 0,9004 0,8596 0,8170 0,7871 0,7732 0,7596 0,7132 0,6162 0,4992 0,4204 0,4035 0,4120 0,3962 0,3412 0,2575 0,1477 -0,0004 -0,1963 -0,4334 -0,6889 -0,9243 -1,0945 -1,1658 -1,1262
