Fp1   2,2399 1,9150 1,5691 1,2154 0,8711 0,5524 0,2672 0,0152 -0,2084 -0,4123 -0,6086 -0,8049 -0,9979 -1,1755 -1,3227 -1,4250 -1,4737 -1,4732 -1,4362 -1,3654 -1,2460 -1,0570 -0,7870 -0,4418 -0,0483 0,3500 0,7118 1,0173 1,2661 1,4614 1,6004 1,6746 1,6731 1,5869 1,4164 1,1781 0,9021 0,6203 0,3601 0,1411 -0,0292 -0,1615 -0,2813 -0,4177 -0,5921 -0,8112 -1,0679 -1,3493 -1,6471 -1,9642 -2,3072 -2,6708 -3,0273 -3,3320 -3,5398 -3,6243 -3,5875 -3,4512 -3,2419 -2,9800 -2,6757 -2,3345 -1,9628 -1,5699 -1,1694 -0,7818 -0,4262 -0,1080 0,1835 0,4658 0,7494 1,0308 1,2976 1,5366 1,7332 1,8713 1,9405 1,9442 1,8982 1,8196 1,7147 1,5825 1,4225 1,2348 1,0186 0,7796 0,5325 0,2962 0,0835 -0,1067 -0,2899 -0,4880 -0,7179 -0,9853 -1,2869 -1,6128 -1,9436 -2,2549 -2,5333 -2,7906 -3,0589 -3,3722 -3,7528 -4,2027 -4,6991 -5,1962 -5,6407 -5,9937 -6,2431 -6,3974 -6,4755 -6,5004 -6,4948 -6,4754 -6,4479 -6,4017 -6,3109 -6,1502 -5,9108 -5,5991 -5,2237 -4,7893 -4,2995 -3,7588 -3,1716 -2,5413 -1,8687 -1,1478 -0,3686 0,4724 1,3662 2,2947 3,2361 4,1629 5,0433 5,8512 6,5746 7,2102 7,7531 8,1919 8,5132 8,7111 8,7904 8,7613 8,6328 8,4153 8,1241 7,7731 7,3695 6,9236 6,4569 5,9946 5,5500 5,1199 4,6963 4,2820 3,9002 3,5880 3,3811 3,2980 3,3345 3,4705 3,6813 3,9453 4,2478 4,5808 4,9365 5,3013 5,6607 6,0049 6,3242 6,5994 6,8028 6,9081 6,8982 6,7711 6,5405 6,2344 5,8860 5,5237 5,1627 4,8049 4,4448 4,0725 3,6764 3,2437 2,7619 2,2204 1,6123 0,9414 0,2259 -0,5048 -1,2197 -1,8919 -2,5050 -3,0562 -3,5553 -4,0184 -4,4598 -4,8850 -5,2860 -5,6455 -5,9495 -6,1991 -6,4093 -6,5941 -6,7549 -6,8793 -6,9483 -6,9459 -6,8685 -6,7328 -6,5731 -6,4213 -6,2871 -6,1577 -6,0123 -5,8364 -5,6246 -5,3764 -5,0941 -4,7849 -4,4592 -4,1260 -3,7911 -3,4591 -3,1376 -2,8410 -2,5893 -2,3986 -2,2718 -2,1970 -2,1534 -2,1159 -2,0619 -1,9800 -1,8702 -1,7392 -1,5943 -1,4392 -1,2750 -1,1139 -0,9876 -0,9360 -0,9825 -1,1192 -1,3157 -1,5340 -1,7349 -1,8837 -1,9614 -1,9745 -1,9547 -1,9422 -1,9625 -2,0157 -2,0861 -2,1610 -2,2393 -2,3296 -2,4414 -2,5745 -2,7156 -2,8458 -2,9453 -2,9912 -2,9602 -2,8390 -2,6332 -2,3663 -2,0700 -1,7736 -1,5025 -1,2786 -1,1114 -0,9913 -0,8935 -0,7872 -0,6473 -0,4660 -0,2591 -0,0596 0,0997 0,2031 0,2578 0,2897 0,3287 0,3944 0,4906 0,6123 0,7558 0,9229 1,1178 1,3379 1,5699 1,7974 2,0053 2,1771 2,2981 2,3616 2,3663 2,3090 2,1829 1,9870 1,7377 1,4723 1,2373 1,0671 0,9688 0,9288 0,9261 0,9369 0,9323 0,8823 0,7679 0,5927 0,3828 0,1729 -0,0108 -0,1541 -0,2501 -0,2977 -0,3031 -0,2766 -0,2273 -0,1592 -0,0666 0,0693 0,2735 0,5632 0,9365 1,3719 1,8329 2,2730 2,6424 2,8991 3,0206 3,0110 2,8935 2,6969 2,4457 2,1496 1,7979 1,3665 0,8357 0,2056 -0,4996 -1,2410 -1,9757 -2,6592 -3,2485 -3,7105 -4,0290 -4,2049 -4,2569 -4,2205 -4,1376 -4,0412 -3,9448 -3,8424 -3,7223 -3,5876 -3,4678 -3,4092 -3,4485 -3,5879 -3,7938 -4,0159 -4,2073 -4,3356 -4,3854 -4,3579 -4,2701 -4,1465 -4,0019 -3,8315 -3,6188 -3,3512 -3,0313 -2,6714 -2,2831 -1,8794 -1,4824 -1,1250 -0,8431 -0,6557 -0,5492 -0,4818 -0,4063 -0,2927 -0,1427 0,0130 0,1306 0,1757 0,1414 0,0509 -0,0595 -0,1619 -0,2470 -0,3195 -0,3869 -0,4460 -0,4785 -0,4608 -0,3776 -0,2276 -0,0229 0,2166 0,4719 0,7281 0,9724 1,1903 1,3654 1,4854 1,5480 1,5648 1,5586 1,5572 1,5837 1,6494 1,7534 1,8903 2,0539 2,2370 2,4305 2,6220 2,7914 2,9101 2,9514 2,9043 2,7793 2,6099 2,4446 2,3298 2,2946 2,3449 2,4685 2,6455 2,8597 3,1010 3,3549 3,5938 3,7845 3,9093 3,9755 4,0045 4,0136 4,0094 3,9928 3,9651 3,9247 3,8637 3,7758 3,6652 3,5463 3,4392 3,3645 3,3369 3,3632 3,4435 3,5691 3,7190 3,8641 3,9799 4,0563 4,0941 4,0987 4,0784 4,0458 4,0188 4,0153 4,0414 4,0828 4,1118 4,1072 4,0705 4,0253 4,0052 4,0398 4,1444 4,3119 4,5155 4,7217 4,9023 5,0392 5,1217 5,1415 5,0931 4,9762 4,7930 4,5423 4,2204 3,8272 3,3688 2,8593 2,3224 1,7949 1,3269 0,9734 0,7741 0,7357 0,8371 1,0517 1,3625 1,7634 2,2532 2,8337 3,5116 4,2920 5,1644 6,0956 7,0344 7,9263 8,7272 9,4149 9,9928 10,4823 10,9051 11,2683 11,5647 11,7806 11,9002 11,9058 11,7793 11,5082 11,0924 10,5504 9,9200 9,2500 8,5850 7,9518 7,3523 6,7655 6,1582 5,5009 4,7810 4,0077 3,2076 2,4143 1,6556 0,9445 0,2780 -0,3536 -0,9568 -1,5305 -2,0640 -2,5364 -2,9180 -3,1758 -3,2838 -3,2346 -3,0468 -2,7613 -2,4288 -2,0976 -1,8047 -1,5697 -1,3931 -1,2654 -1,1724 -1,0946 -1,0114 -0,9118 -0,8012 -0,6935 -0,5984 -0,5159 -0,4410 -0,3669 -0,2859 -0,1961 -0,1072 -0,0407 -0,0246 -0,0845 -0,2330 -0,4649 -0,7635 -1,1104 -1,4931 -1,9036 -2,3297 -2,7508 -3,1440 -3,4959 -3,8107 -4,1039 -4,3906 -4,6782 -4,9663 -5,2518 -5,5314 -5,7997 -6,0480 -6,2673 -6,4523 -6,6000 -6,7100 -6,7869 -6,8350
Fz    4,6747 4,1427 3,5530 2,9508 2,3693 1,8276 1,3316 0,8804 0,4712 0,0979 -0,2481 -0,5658 -0,8410 -1,0583 -1,2115 -1,3019 -1,3291 -1,2852 -1,1617 -0,9609 -0,6994 -0,3993 -0,0795 0,2426 0,5431 0,7918 0,9647 1,0580 1,0906 1,0908 1,0770 1,0460 0,9786 0,8525 0,6534 0,3811 0,0529 -0,2986 -0,6342 -0,9225 -1,1556 -1,3498 -1,5300 -1,7136 -1,9057 -2,1036 -2,3027 -2,4980 -2,6878 -2,8787 -3,0849 -3,3178 -3,5729 -3,8251 -4,0380 -4,1812 -4,2411 -4,2188 -4,1222 -3,9585 -3,7283 -3,4224 -3,0289 -2,5458 -1,9934 -1,4144 -0,8568 -0,3492 0,1088 0,5340 0,9392 1,3255 1,6882 2,0210 2,3117 2,5412 2,6946 2,7691 2,7686 2,6967 2,5531 2,3380 2,0582 1,7269 1,3587 0,9691 0,5739 0,1848 -0,1945 -0,5674 -0,9398 -1,3180 -1,7063 -2,1039 -2,5042 -2,8950 -3,2566 -3,5638 -3,8005 -3,9745 -4,1151 -4,2604 -4,4457 -4,6934 -5,0053 -5,3607 -5,7226 -6,0472 -6,2971 -6,4574 -6,5410 -6,5776 -6,5911 -6,5876 -6,5564 -6,4745 -6,3138 -6,0568 -5,7084 -5,2922 -4,8383 -4,3736 -3,9113 -3,4438 -2,9470 -2,3896 -1,7387 -0,9629 -0,0408 1,0278 2,2167 3,4805 4,7686 6,0347 7,2390 8,3436 9,3135 10,1237 10,7639 11,2378 11,5576 11,7395 11,7992 11,7513 11,6107 11,3936 11,1181 10,8000 10,4465 10,0573 9,6334 9,1798 8,7049 8,2202 7,7399 7,2813 6,8676 6,5278 6,2872 6,1556 6,1284 6,1963 6,3536 6,5949 6,9140 7,3051 7,7601 8,2632 8,7949 9,3349 9,8607 10,3472 10,7717 11,1107 11,3383 11,4355 11,4005 11,2509 11,0181 10,7339 10,4143 10,0550 9,6449 9,1801 8,6673 8,1152 7,5253 6,8887 6,1888 5,4118 4,5605 3,6583 2,7408 1,8429 0,9884 0,1887 -0,5527 -1,2343 -1,8526 -2,4005 -2,8695 -3,2545 -3,5618 -3,8161 -4,0577 -4,3281 -4,6537 -5,0305 -5,4172 -5,7511 -5,9805 -6,0884 -6,0917 -6,0184 -5,8839 -5,6859 -5,4150 -5,0693 -4,6602 -4,2090 -3,7419 -3,2853 -2,8541 -2,4463 -2,0568 -1,6949 -1,3821 -1,1378 -0,9685 -0,8661 -0,8107 -0,7796 -0,7570 -0,7342 -0,7057 -0,6681 -0,6221 -0,5721 -0,5261 -0,4945 -0,4871 -0,5104 -0,5690 -0,6671 -0,8050 -0,9767 -1,1732 -1,3880 -1,6146 -1,8405 -2,0456 -2,2123 -2,3380 -2,4353 -2,5186 -2,5922 -2,6497 -2,6821 -2,6863 -2,6685 -2,6423 -2,6181 -2,5956 -2,5645 -2,5068 -2,3966 -2,2134 -1,9601 -1,6649 -1,3661 -1,0956 -0,8712 -0,6971 -0,5648 -0,4558 -0,3494 -0,2292 -0,0837 0,0954 0,3078 0,5372 0,7550 0,9371 1,0794 1,1994 1,3248 1,4779 1,6652 1,8777 2,1048 2,3445 2,5981 2,8589 3,1130 3,3480 3,5597 3,7490 3,9156 4,0563 4,1642 4,2296 4,2410 4,1890 4,0711 3,8980 3,6933 3,4854 3,2984 3,1432 3,0135 2,8876 2,7352 2,5247 2,2355 1,8683 1,4453 1,0015 0,5700 0,1698 -0,1925 -0,5104 -0,7712 -0,9603 -1,0675 -1,0922 -1,0417 -0,9222 -0,7318 -0,4630 -0,1150 0,2991 0,7548 1,2204 1,6586 2,0304 2,2995 2,4428 2,4633 2,3912 2,2658 2,1154 1,9429 1,7239 1,4192 0,9966 0,4504 -0,1959 -0,8996 -1,6111 -2,2784 -2,8534 -3,3040 -3,6191 -3,8034 -3,8767 -3,8786 -3,8589 -3,8564 -3,8827 -3,9264 -3,9693 -4,0028 -4,0406 -4,1205 -4,2873 -4,5618 -4,9236 -5,3148 -5,6620 -5,9043 -6,0163 -6,0093 -5,9185 -5,7851 -5,6374 -5,4768 -5,2838 -5,0376 -4,7333 -4,3810 -3,9943 -3,5855 -3,1644 -2,7427 -2,3403 -1,9812 -1,6819 -1,4440 -1,2590 -1,1195 -1,0265 -0,9884 -1,0131 -1,1007 -1,2391 -1,4043 -1,5669 -1,6965 -1,7663 -1,7641 -1,6969 -1,5816 -1,4339 -1,2654 -1,0824 -0,8874 -0,6840 -0,4816 -0,2935 -0,1334 -0,0120 0,0581 0,0604 -0,0172 -0,1729 -0,3891 -0,6334 -0,8620 -1,0290 -1,1020 -1,0743 -0,9606 -0,7827 -0,5601 -0,3107 -0,0570 0,1767 0,3727 0,5213 0,6145 0,6467 0,6258 0,5785 0,5412 0,5483 0,6267 0,7906 1,0355 1,3384 1,6682 1,9970 2,3052 2,5826 2,8287 3,0521 3,2632 3,4645 3,6449 3,7841 3,8643 3,8752 3,8106 3,6704 3,4642 3,2105 2,9317 2,6496 2,3816 2,1398 1,9299 1,7494 1,5875 1,4299 1,2650 1,0889 0,9099 0,7487 0,6305 0,5754 0,5907 0,6681 0,7871 0,9221 1,0477 1,1439 1,2031 1,2326 1,2474 1,2667 1,3144 1,4109 1,5593 1,7445 1,9460 2,1482 2,3357 2,4846 2,5673 2,5664 2,4754 2,2899 2,0047 1,6168 1,1287 0,5506 -0,0935 -0,7609 -1,3956 -1,9442 -2,3718 -2,6653 -2,8231 -2,8430 -2,7162 -2,4301 -1,9770 -1,3568 -0,5753 0,3525 1,3960 2,5086 3,6356 4,7201 5,7095 6,5667 7,2802 7,8621 8,3342 8,7151 9,0114 9,2118 9,2927 9,2332 9,0293 8,6973 8,2668 7,7702 7,2391 6,7013 6,1744 5,6575 5,1279 4,5472 3,8764 3,0905 2,1872 1,1914 0,1489 -0,8898 -1,8840 -2,8059 -3,6368 -4,3656 -4,9905 -5,5187 -5,9613 -6,3275 -6,6181 -6,8220 -6,9203 -6,8948 -6,7363 -6,4523 -6,0705 -5,6391 -5,2208 -4,8750 -4,6395 -4,5240 -4,5097 -4,5538 -4,6048 -4,6252 -4,6086 -4,5787 -4,5705 -4,6094 -4,6987 -4,8168 -4,9297 -5,0127 -5,0658 -5,1104 -5,1744 -5,2774 -5,4266 -5,6228 -5,8622 -6,1382 -6,4445 -6,7815 -7,1581 -7,5830 -8,0549 -8,5614 -9,0858 -9,6136 -10,1372 -10,6553 -11,1652 -11,6592 -12,1264 -12,5513 -12,9094 -13,1740 -13,3271 -13,3650 -13,3018 -13,1692 -13,0037
F3    3,6730 3,0713 2,4279 1,7767 1,1492 0,5705 0,0571 -0,3812 -0,7381 -1,0156 -1,2241 -1,3704 -1,4505 -1,4579 -1,3933 -1,2653 -1,0852 -0,8643 -0,6128 -0,3389 -0,0487 0,2535 0,5639 0,8753 1,1710 1,4258 1,6146 1,7235 1,7539 1,7163 1,6197 1,4671 1,2579 0,9925 0,6771 0,3272 -0,0325 -0,3732 -0,6666 -0,8922 -1,0463 -1,1446 -1,2135 -1,2797 -1,3619 -1,4678 -1,5978 -1,7522 -1,9350 -2,1553 -2,4236 -2,7389 -3,0777 -3,3943 -3,6344 -3,7562 -3,7480 -3,6263 -3,4200 -3,1532 -2,8358 -2,4647 -2,0358 -1,5559 -1,0486 -0,5487 -0,0865 0,3281 0,7069 1,0695 1,4249 1,7673 2,0843 2,3629 2,5894 2,7522 2,8472 2,8769 2,8430 2,7402 2,5571 2,2882 1,9453 1,5538 1,1429 0,7411 0,3716 0,0455 -0,2419 -0,5090 -0,7822 -1,0854 -1,4291 -1,8065 -2,1983 -2,5812 -2,9324 -3,2351 -3,4876 -3,7076 -3,9250 -4,1695 -4,4620 -4,8079 -5,1934 -5,5877 -5,9548 -6,2658 -6,5050 -6,6695 -6,7681 -6,8167 -6,8282 -6,8034 -6,7334 -6,6051 -6,4081 -6,1426 -5,8212 -5,4594 -5,0685 -4,6560 -4,2278 -3,7837 -3,3109 -2,7829 -2,1634 -1,4166 -0,5228 0,5087 1,6394 2,8145 3,9813 5,0997 6,1428 7,0936 7,9423 8,6816 9,3039 9,8014 10,1691 10,4077 10,5224 10,5212 10,4144 10,2156 9,9410 9,6065 9,2219 8,7879 8,3031 7,7720 7,2097 6,6396 6,0876 5,5781 5,1335 4,7748 4,5176 4,3674 4,3181 4,3597 4,4844 4,6872 4,9645 5,3149 5,7351 6,2113 6,7192 7,2284 7,7065 8,1219 8,4483 8,6643 8,7520 8,7042 8,5315 8,2621 7,9339 7,5805 7,2190 6,8490 6,4607 6,0462 5,6038 5,1350 4,6383 4,1074 3,5309 2,8972 2,2045 1,4652 0,7012 -0,0665 -0,8254 -1,5690 -2,2915 -2,9859 -3,6455 -4,2656 -4,8401 -5,3608 -5,8220 -6,2300 -6,6043 -6,9660 -7,3247 -7,6709 -7,9782 -8,2142 -8,3566 -8,4043 -8,3723 -8,2760 -8,1177 -7,8879 -7,5793 -7,1996 -6,7712 -6,3244 -5,8928 -5,5076 -5,1840 -4,9129 -4,6715 -4,4384 -4,1999 -3,9519 -3,7012 -3,4619 -3,2468 -3,0640 -2,9178 -2,8058 -2,7153 -2,6264 -2,5208 -2,3913 -2,2442 -2,0896 -1,9334 -1,7780 -1,6275 -1,4897 -1,3742 -1,2870 -1,2314 -1,2087 -1,2164 -1,2440 -1,2765 -1,3050 -1,3356 -1,3837 -1,4581 -1,5511 -1,6434 -1,7185 -1,7741 -1,8214 -1,8763 -1,9441 -2,0132 -2,0617 -2,0621 -1,9815 -1,7933 -1,4947 -1,1085 -0,6710 -0,2204 0,2091 0,5907 0,9068 1,1527 1,3355 1,4702 1,5781 1,6823 1,7963 1,9132 2,0090 2,0609 2,0654 2,0434 2,0308 2,0612 2,1505 2,2937 2,4749 2,6799 2,8995 3,1251 3,3467 3,5562 3,7512 3,9309 4,0862 4,2008 4,2582 4,2452 4,1541 3,9861 3,7531 3,4782 3,1942 2,9350 2,7243 2,5672 2,4501 2,3462 2,2252 2,0612 1,8390 1,5557 1,2226 0,8640 0,5082 0,1754 -0,1238 -0,3803 -0,5823 -0,7152 -0,7661 -0,7273 -0,5972 -0,3784 -0,0769 0,2983 0,7321 1,2011 1,6775 2,1335 2,5403 2,8655 3,0756 3,1466 3,0769 2,8869 2,6075 2,2658 1,8723 1,4166 0,8758 0,2356 -0,4946 -1,2825 -2,0860 -2,8652 -3,5827 -4,2021 -4,6940 -5,0417 -5,2415 -5,3036 -5,2554 -5,1386 -4,9957 -4,8563 -4,7362 -4,6449 -4,5938 -4,6030 -4,7021 -4,9151 -5,2404 -5,6464 -6,0843 -6,5017 -6,8518 -7,1010 -7,2337 -7,2535 -7,1806 -7,0393 -6,8450 -6,6025 -6,3178 -6,0095 -5,7043 -5,4237 -5,1774 -4,9652 -4,7811 -4,6170 -4,4610 -4,2953 -4,1002 -3,8630 -3,5888 -3,3058 -3,0556 -2,8745 -2,7782 -2,7562 -2,7761 -2,7982 -2,7899 -2,7324 -2,6235 -2,4782 -2,3165 -2,1520 -1,9902 -1,8338 -1,6841 -1,5427 -1,4126 -1,2997 -1,2141 -1,1706 -1,1873 -1,2823 -1,4635 -1,7214 -2,0281 -2,3410 -2,6080 -2,7805 -2,8298 -2,7574 -2,5900 -2,3635 -2,1104 -1,8547 -1,6131 -1,3969 -1,2154 -1,0790 -0,9973 -0,9728 -0,9920 -1,0227 -1,0227 -0,9565 -0,8061 -0,5754 -0,2859 0,0334 0,3526 0,6453 0,8942 1,0963 1,2610 1,4022 1,5328 1,6602 1,7822 1,8855 1,9525 1,9666 1,9143 1,7911 1,6051 1,3769 1,1352 0,9097 0,7239 0,5896 0,5042 0,4520 0,4114 0,3623 0,2916 0,1984 0,0971 0,0129 -0,0297 -0,0149 0,0618 0,1923 0,3571 0,5293 0,6819 0,7954 0,8677 0,9126 0,9497 0,9980 1,0738 1,1849 1,3253 1,4789 1,6303 1,7696 1,8865 1,9660 1,9931 1,9582 1,8511 1,6554 1,3553 0,9456 0,4338 -0,1606 -0,8024 -1,4414 -2,0227 -2,5012 -2,8492 -3,0573 -3,1280 -3,0662 -2,8720 -2,5398 -2,0627 -1,4375 -0,6661 0,2421 1,2618 2,3494 3,4483 4,4996 5,4538 6,2830 6,9843 7,5694 8,0493 8,4276 8,7015 8,8607 8,8874 8,7653 8,4913 8,0815 7,5670 6,9836 6,3656 5,7434 5,1409 4,5675 4,0125 3,4455 2,8280 2,1305 1,3450 0,4879 -0,4075 -1,3039 -2,1712 -2,9909 -3,7564 -4,4681 -5,1298 -5,7446 -6,3113 -6,8214 -7,2566 -7,5883 -7,7849 -7,8248 -7,7084 -7,4597 -7,1194 -6,7369 -6,3646 -6,0471 -5,8114 -5,6642 -5,5938 -5,5754 -5,5817 -5,5942 -5,6084 -5,6305 -5,6659 -5,7128 -5,7621 -5,7994 -5,8103 -5,7904 -5,7483 -5,7022 -5,6733 -5,6793 -5,7292 -5,8270 -5,9752 -6,1774 -6,4409 -6,7757 -7,1864 -7,6618 -8,1738 -8,6898 -9,1852 -9,6464 -10,0687 -10,4531 -10,8023 -11,1217 -11,4199 -11,7009 -11,9569 -12,1698 -12,3193 -12,3890 -12,3761 -12,2952 -12,1710
F7    1,4868 1,1203 0,7549 0,4153 0,1209 -0,1198 -0,3058 -0,4350 -0,5034 -0,5126 -0,4735 -0,3997 -0,2990 -0,1725 -0,0204 0,1537 0,3389 0,5192 0,6847 0,8403 1,0027 1,1919 1,4209 1,6854 1,9597 2,2028 2,3731 2,4425 2,4022 2,2577 2,0219 1,7131 1,3535 0,9679 0,5804 0,2086 -0,1429 -0,4845 -0,8323 -1,1938 -1,5591 -1,9063 -2,2142 -2,4735 -2,6865 -2,8597 -2,9991 -3,1120 -3,2088 -3,3047 -3,4178 -3,5609 -3,7320 -3,9103 -4,0590 -4,1412 -4,1379 -4,0516 -3,8950 -3,6757 -3,3911 -3,0338 -2,6032 -2,1141 -1,5995 -1,1027 -0,6617 -0,2971 -0,0095 0,2138 0,3874 0,5227 0,6270 0,7004 0,7359 0,7269 0,6756 0,5906 0,4789 0,3384 0,1585 -0,0665 -0,3244 -0,5880 -0,8300 -1,0345 -1,1989 -1,3302 -1,4402 -1,5453 -1,6644 -1,8111 -1,9862 -2,1793 -2,3766 -2,5686 -2,7522 -2,9305 -3,1139 -3,3191 -3,5624 -3,8502 -4,1769 -4,5283 -4,8825 -5,2121 -5,4936 -5,7175 -5,8877 -6,0135 -6,1052 -6,1725 -6,2215 -6,2525 -6,2595 -6,2297 -6,1479 -6,0049 -5,8032 -5,5522 -5,2594 -4,9261 -4,5505 -4,1268 -3,6405 -3,0701 -2,3958 -1,6081 -0,7156 0,2521 1,2560 2,2595 3,2313 4,1442 4,9752 5,7074 6,3345 6,8613 7,2974 7,6514 7,9300 8,1366 8,2675 8,3113 8,2548 8,0935 7,8369 7,5065 7,1276 6,7237 6,3153 5,9179 5,5435 5,2040 4,9098 4,6638 4,4630 4,3042 4,1889 4,1234 4,1133 4,1601 4,2621 4,4148 4,6106 4,8378 5,0802 5,3164 5,5228 5,6798 5,7731 5,7926 5,7358 5,6116 5,4331 5,2069 4,9345 4,6183 4,2627 3,8701 3,4415 2,9789 2,4881 1,9800 1,4690 0,9659 0,4710 -0,0243 -0,5325 -1,0633 -1,6185 -2,1916 -2,7710 -3,3448 -3,9074 -4,4605 -5,0069 -5,5457 -6,0714 -6,5757 -7,0497 -7,4847 -7,8727 -8,2074 -8,4861 -8,7097 -8,8820 -9,0076 -9,0886 -9,1248 -9,1147 -9,0565 -8,9475 -8,7850 -8,5680 -8,2987 -7,9852 -7,6452 -7,3010 -6,9726 -6,6734 -6,4081 -6,1670 -5,9259 -5,6561 -5,3359 -4,9569 -4,5258 -4,0614 -3,5883 -3,1289 -2,6976 -2,2986 -1,9271 -1,5730 -1,2254 -0,8797 -0,5459 -0,2462 0,0037 0,2108 0,3996 0,5968 0,8195 1,0712 1,3417 1,6107 1,8563 2,0640 2,2316 2,3666 2,4776 2,5668 2,6322 2,6753 2,7059 2,7343 2,7599 2,7702 2,7514 2,6968 2,6121 2,5158 2,4306 2,3757 2,3640 2,4002 2,4792 2,5919 2,7314 2,8943 3,0756 3,2667 3,4583 3,6442 3,8213 3,9894 4,1511 4,3077 4,4550 4,5841 4,6869 4,7603 4,8062 4,8307 4,8434 4,8518 4,8584 4,8621 4,8627 4,8665 4,8901 4,9540 5,0681 5,2226 5,3937 5,5534 5,6738 5,7306 5,7082 5,6019 5,4143 5,1508 4,8229 4,4546 4,0824 3,7431 3,4599 3,2375 3,0617 2,9050 2,7398 2,5476 2,3184 2,0484 1,7460 1,4351 1,1460 0,9029 0,7193 0,6012 0,5496 0,5604 0,6271 0,7444 0,9108 1,1244 1,3769 1,6563 1,9529 2,2613 2,5773 2,8923 3,1865 3,4311 3,5939 3,6458 3,5674 3,3527 3,0110 2,5643 2,0364 1,4437 0,7961 0,1055 -0,6109 -1,3344 -2,0458 -2,7261 -3,3575 -3,9218 -4,3958 -4,7533 -4,9738 -5,0496 -4,9917 -4,8283 -4,5943 -4,3217 -4,0409 -3,7827 -3,5760 -3,4405 -3,3837 -3,3994 -3,4639 -3,5402 -3,5959 -3,6183 -3,6120 -3,5843 -3,5333 -3,4493 -3,3235 -3,1524 -2,9366 -2,6815 -2,4001 -2,1142 -1,8491 -1,6256 -1,4548 -1,3368 -1,2585 -1,1982 -1,1385 -1,0749 -1,0095 -0,9390 -0,8566 -0,7674 -0,6909 -0,6468 -0,6417 -0,6659 -0,6990 -0,7211 -0,7243 -0,7114 -0,6893 -0,6637 -0,6319 -0,5791 -0,4870 -0,3478 -0,1702 0,0270 0,2254 0,4124 0,5764 0,7046 0,7873 0,8216 0,8118 0,7638 0,6835 0,5823 0,4811 0,4051 0,3761 0,4079 0,5028 0,6510 0,8357 1,0396 1,2501 1,4608 1,6651 1,8474 1,9839 2,0521 2,0451 1,9847 1,9176 1,8934 1,9424 2,0703 2,2656 2,5076 2,7672 3,0128 3,2224 3,3922 3,5301 3,6415 3,7255 3,7824 3,8192 3,8460 3,8692 3,8886 3,9002 3,9034 3,9031 3,9078 3,9245 3,9535 3,9925 4,0461 4,1228 4,2202 4,3174 4,3858 4,4058 4,3735 4,2981 4,1967 4,0897 3,9959 3,9300 3,8986 3,9006 3,9290 3,9772 4,0473 4,1509 4,2975 4,4791 4,6718 4,8466 4,9810 5,0659 5,1082 5,1274 5,1453 5,1765 5,2222 5,2667 5,2772 5,2128 5,0430 4,7627 4,3957 3,9828 3,5654 3,1732 2,8207 2,5125 2,2544 2,0608 1,9504 1,9378 2,0273 2,2188 2,5145 2,9172 3,4237 4,0246 4,7061 5,4499 6,2316 7,0197 7,7778 8,4733 9,0855 9,6073 10,0389 10,3799 10,6263 10,7747 10,8262 10,7826 10,6435 10,4108 10,0943 9,7106 9,2792 8,8199 8,3509 7,8877 7,4412 7,0151 6,6030 6,1874 5,7464 5,2623 4,7267 4,1418 3,5198 2,8820 2,2555 1,6669 1,1364 0,6721 0,2696 -0,0847 -0,4058 -0,7000 -0,9553 -1,1437 -1,2379 -1,2290 -1,1299 -0,9657 -0,7669 -0,5617 -0,3692 -0,1965 -0,0451 0,0846 0,1936 0,2869 0,3732 0,4604 0,5516 0,6430 0,7231 0,7774 0,7954 0,7742 0,7161 0,6288 0,5234 0,4090 0,2876 0,1561 0,0071 -0,1697 -0,3851 -0,6480 -0,9636 -1,3273 -1,7206 -2,1162 -2,4900 -2,8330 -3,1502 -3,4519 -3,7441 -4,0279 -4,3022 -4,5664 -4,8209 -5,0661 -5,2999 -5,5158 -5,7059 -5,8654 -5,9950 -6,0939
