Fp1   2,2486 2,4286 2,4691 2,3300 2,0194 1,5747 1,0341 0,4351 -0,1731 -0,7351 -1,2111 -1,5903 -1,8832 -2,0964 -2,2170 -2,2214 -2,0881 -1,8061 -1,3869 -0,8725 -0,3237 0,1991 0,6431 0,9655 1,1453 1,1910 1,1285 0,9876 0,7996 0,5936 0,3832 0,1661 -0,0593 -0,2765 -0,4455 -0,5108 -0,4262 -0,1898 0,1376 0,4593 0,6875 0,7560 0,6158 0,2606 -0,2370 -0,7355 -1,0866 -1,2007 -1,0788 -0,8075 -0,5170 -0,3137 -0,2375 -0,2773 -0,4034 -0,5735 -0,7285 -0,7997 -0,7166 -0,4235 0,0947 0,8040 1,6356 2,4911 3,2411 3,7529 3,9464 3,8295 3,4867 3,0341 2,5821 2,2227 2,0311 2,0511 2,2681 2,6135 3,0160 3,4458 3,8986 4,3419 4,7002 4,9082 4,9566 4,8716 4,6711 4,3551 3,9249 3,4097 2,8787 2,4176 2,0936 1,9356 1,9342 2,0543 2,2553 2,5058 2,7750 3,0107 3,1449 3,1271 2,9471 2,6328 2,2461 1,8774 1,6175 1,5235 1,6024 1,8078 2,0456 2,1998 2,1779 1,9633 1,6265 1,2710 0,9573 0,6732 0,3652 -0,0096 -0,4623 -0,9758 -1,5053 -1,9794 -2,3287 -2,5245 -2,5860 -2,5523 -2,4588 -2,3358 -2,2091 -2,0946 -2,0029 -1,9433 -1,9117 -1,8795 -1,8056 -1,6515 -1,3835 -0,9852 -0,4919 -0,0012 0,3703 0,5540 0,5705 0,5222 0,5443 0,7451 1,1636 1,7613 2,4544 3,1651 3,8540 4,5145 5,1454 5,7280 6,2226 6,5811 6,7682 6,7943 6,7513 6,8025 7,1020 7,7002 8,5145 9,3839 10,1638 10,7922 11,2884 11,7039 12,0807 12,4512 12,8488 13,2879 13,7251 14,0530 14,1462 13,9216 13,3718 12,5568 11,5731 10,5227 9,4894 8,5260 7,6529 6,8682 6,1729 5,5911 5,1555 4,8714 4,7094 4,6363 4,6424 4,7366 4,9220 5,1829 5,4836 5,7726 5,9953 6,1232 6,1763 6,2096 6,2654 6,3385 6,3894 6,3871 6,3289 6,2333 6,1307 6,0499 5,9975 5,9469 5,8461 5,6553 5,3928 5,1396 4,9821 4,9518 5,0188 5,1244 5,2115 5,2458 5,2218 5,1497 5,0365 4,8788 4,6666 4,3936 4,0693 3,7222 3,3843 3,0680 2,7614 2,4458 2,1194 1,8077 1,5521 1,3766 1,2661 1,1810 1,0874 0,9720 0,8372 0,6911 0,5424 0,4008 0,2751 0,1713 0,0945 0,0509 0,0454 0,0803 0,1607 0,2998 0,5071 0,7636 1,0207 1,2338 1,4028 1,5809 1,8393 2,2116 2,6556 3,0617 3,3103 3,3453 3,1986 2,9427 2,6247 2,2506 1,8207 1,3638 0,9434 0,6397 0,5159 0,5868 0,8111 1,1164 1,4335 1,7139 1,9286 2,0627 2,1145 2,0978 2,0456 2,0021 1,9931 2,0036 1,9962 1,9500 1,8714 1,7819 1,7161 1,7192 1,8232 2,0193 2,2614 2,4935 2,6737 2,7922 2,8759 2,9552 3,0153 2,9896 2,8073 2,4424 1,9216 1,3072 0,6836 0,1477 -0,2101 -0,3333 -0,2143 0,1189 0,6326 1,2953 2,0667 2,9010 3,7610 4,6072 5,3767 5,9953 6,4155 6,6335 6,6759 6,5855 6,4175 6,2394 6,1183 6,0897 6,1315 6,1838 6,2028 6,1954 6,2150 6,3290 6,5789 6,9593 7,4250 7,9059 8,3228 8,6240 8,8166 8,9447 9,0339 9,0713 9,0313 8,8959 8,6525 8,2989 7,8647 7,4229 7,0632 6,8458 6,7695 6,7613 6,6904 6,4268 5,9167 5,2119 4,4375 3,7281 3,1691 2,7782 2,5344 2,4173 2,4195 2,5406 2,7793 3,1258 3,5574 4,0380 4,5160 4,9285 5,2185 5,3513 5,3224 5,1611 4,9281 4,6970 4,5323 4,4721 4,5236 4,6708 4,8775 5,0900 5,2516 5,3195 5,2782 5,1520 5,0037 4,9036 4,8888 4,9486 5,0417 5,1214 5,1490 5,1038 4,9982 4,8842 4,8340 4,9070 5,1193 5,4369 5,8035 6,1760 6,5254 6,8137 6,9933 7,0385 6,9733 6,8547 6,7312 6,6325 6,5952 6,6646 6,8649 7,1824 7,5667 7,9450 8,2406 8,3864 8,3345 8,0676 7,6054 7,0029 6,3376 5,6951 5,1575 4,7989 4,6742 4,7978 5,1336 5,6112 6,1494 6,6680 7,0970 7,3876 7,5186 7,4931 7,3274 7,0367 6,6296 6,1204 5,5423 4,9455 4,3812 3,8884 3,4892 3,1859 2,9691 2,8451 2,8573 3,0630 3,4741 4,0229 4,5999 5,1287 5,6084 6,0939 6,6357 7,2334 7,8351 8,3606 8,7156 8,8134 8,6154 8,1620 7,5645 6,9672 6,5069 6,2913 6,3878 6,8090 7,5003 8,3388 9,1529 9,7679 10,0542 9,9498 9,4586 8,6442 7,6188 6,5212 5,4842 4,6021 3,9117 3,4029 3,0406 2,7840 2,6078 2,5062 2,4744 2,4901 2,5139 2,4996 2,4078 2,2114 1,8889 1,4302 0,8642 0,2713 -0,2428 -0,5878 -0,7145 -0,6137 -0,3092 0,1434 0,6613 1,1559 1,5555 1,8286 2,0021 2,1528 2,3715 2,7289 3,2582 3,9536 4,7764 5,6669 6,5610 7,4061 8,1607 8,7909 9,2776 9,6229 9,8427 9,9555 9,9726 9,8857 9,6608 9,2582 8,6692 7,9398 7,1625 6,4445 5,8829 5,5509 5,4781 5,6378 5,9596 6,3518 6,7111 6,9400 6,9859 6,8642 6,6338 6,3532 6,0566 5,7572 5,4538 5,1306 4,7584 4,3176 3,8208 3,3075 2,8279 2,4395 2,1969 2,1287 2,2233 2,4353 2,7070 2,9815 3,1885 3,2325 3,0238 2,5382 1,8571 1,1512 0,6066 0,3352 0,3283 0,4853 0,6905 0,8701 1,0005 1,0845 1,1253 1,1051 0,9702 0,6412 0,0632 -0,7409 -1,6699 -2,6005 -3,4387 -4,1224 -4,5962 -4,8045 -4,7176 -4,3638 -3,8401 -3,2850 -2,8218 -2,5125 -2,3530 -2,3047 -2,3297 -2,4047 -2,5181 -2,6617
Fz    2,6802 2,2036 1,7642 1,3680 1,0160 0,7182 0,4924 0,3492 0,2790 0,2511 0,2238 0,1598 0,0410 -0,1201 -0,2859 -0,4166 -0,4919 -0,5183 -0,5204 -0,5192 -0,5116 -0,4753 -0,3924 -0,2602 -0,0852 0,1110 0,2807 0,3703 0,3537 0,2389 0,0485 -0,1937 -0,4593 -0,7056 -0,8771 -0,9263 -0,8389 -0,6449 -0,4086 -0,2034 -0,0824 -0,0649 -0,1379 -0,2613 -0,3815 -0,4557 -0,4701 -0,4400 -0,4009 -0,4000 -0,4784 -0,6375 -0,8184 -0,9298 -0,9032 -0,7229 -0,4211 -0,0549 0,3227 0,6822 1,0163 1,3345 1,6591 2,0106 2,3890 2,7670 3,1027 3,3589 3,5172 3,5847 3,5910 3,5756 3,5743 3,6045 3,6526 3,6831 3,6710 3,6252 3,5758 3,5376 3,4926 3,4075 3,2614 3,0509 2,7751 2,4298 2,0198 1,5779 1,1634 0,8306 0,5981 0,4529 0,3707 0,3270 0,2969 0,2552 0,1755 0,0306 -0,1930 -0,4768 -0,7759 -1,0433 -1,2435 -1,3531 -1,3574 -1,2466 -1,0158 -0,6795 -0,2867 0,0895 0,3854 0,5755 0,6705 0,6861 0,6210 0,4620 0,2014 -0,1567 -0,5958 -1,0785 -1,5316 -1,8579 -1,9799 -1,8816 -1,6098 -1,2404 -0,8452 -0,4830 -0,1985 -0,0163 0,0586 0,0327 -0,0752 -0,2238 -0,3519 -0,3948 -0,3013 -0,0473 0,3479 0,8217 1,2946 1,7071 2,0490 2,3657 2,7318 3,2056 3,7961 4,4614 5,1298 5,7215 6,1721 6,4610 6,6258 6,7464 6,9098 7,1750 7,5481 7,9888 8,4522 8,9313 9,4577 10,0632 10,7487 11,4884 12,2457 12,9762 13,6233 14,1283 14,4572 14,6238 14,6774 14,6603 14,5765 14,4023 14,1203 13,7452 13,3232 12,9067 12,5292 12,1961 11,8880 11,5698 11,2054 10,7718 10,2689 9,7220 9,1702 8,6448 8,1620 7,7378 7,4014 7,1866 7,1162 7,1903 7,3757 7,6045 7,7942 7,8849 7,8655 7,7634 7,6152 7,4570 7,3347 7,2975 7,3692 7,5309 7,7327 7,9169 8,0399 8,0852 8,0580 7,9720 7,8474 7,7153 7,6081 7,5395 7,4958 7,4379 7,3165 7,0982 6,7813 6,3852 5,9373 5,4667 4,9968 4,5434 4,1281 3,7959 3,6102 3,6148 3,7943 4,0691 4,3283 4,4794 4,4874 4,3733 4,1773 3,9259 3,6274 3,2862 2,9167 2,5463 2,2052 1,9202 1,7175 1,6207 1,6428 1,7813 2,0175 2,3174 2,6378 2,9351 3,1753 3,3429 3,4464 3,5123 3,5691 3,6300 3,6833 3,6993 3,6477 3,5160 3,3214 3,1161 2,9776 2,9683 3,0887 3,2757 3,4459 3,5342 3,5049 3,3518 3,1062 2,8391 2,6383 2,5718 2,6634 2,8902 3,1993 3,5281 3,8175 4,0239 4,1326 4,1629 4,1531 4,1331 4,1093 4,0744 4,0218 3,9511 3,8648 3,7674 3,6642 3,5626 3,4851 3,4747 3,5725 3,7891 4,1037 4,4750 4,8410 5,1227 5,2479 5,1773 4,9123 4,4897 3,9796 3,4763 3,0734 2,8359 2,7890 2,9283 3,2344 3,6758 4,2055 4,7693 5,3215 5,8261 6,2523 6,5823 6,8196 6,9859 7,1087 7,2076 7,2898 7,3661 7,4672 7,6331 7,8852 8,2224 8,6329 9,1042 9,6273 10,1921 10,7748 11,3366 11,8367 12,2354 12,4913 12,5743 12,4900 12,2765 11,9736 11,6077 11,2065 10,8119 10,4665 10,1934 9,9993 9,8867 9,8487 9,8622 9,8973 9,9224 9,8993 9,7928 9,5876 9,2893 8,9152 8,4875 8,0233 7,5290 7,0109 6,4958 6,0359 5,6878 5,4832 5,4148 5,4436 5,5179 5,5961 5,6650 5,7400 5,8512 6,0310 6,3050 6,6729 7,0929 7,4956 7,8215 8,0472 8,1812 8,2359 8,2059 8,0748 7,8449 7,5528 7,2579 7,0192 6,8774 6,8413 6,8872 6,9790 7,0938 7,2286 7,3895 7,5789 7,7855 7,9849 8,1535 8,2878 8,4114 8,5603 8,7604 9,0088 9,2678 9,4760 9,5803 9,5734 9,5035 9,4461 9,4674 9,5987 9,8202 10,0646 10,2469 10,3005 10,1989 9,9608 9,6407 9,3145 9,0618 8,9398 8,9581 9,0668 9,1748 9,1942 9,0845 8,8648 8,5896 8,3083 8,0412 7,7832 7,5203 7,2401 6,9354 6,6037 6,2493 5,8890 5,5447 5,2310 4,9575 4,7430 4,6165 4,6024 4,7084 4,9208 5,2017 5,5012 5,7853 6,0564 6,3469 6,6891 7,0798 7,4693 7,7887 7,9929 8,0864 8,1131 8,1249 8,1550 8,2085 8,2628 8,2865 8,2765 8,2777 8,3644 8,5969 8,9854 9,4874 10,0288 10,5283 10,9135 11,1273 11,1329 10,9201 10,5074 9,9400 9,2869 8,6314 8,0553 7,6188 7,3434 7,2077 7,1639 7,1603 7,1511 7,0970 6,9686 6,7469 6,4176 5,9668 5,3856 4,6784 3,8731 3,0174 2,1565 1,3162 0,5158 -0,2091 -0,8020 -1,2027 -1,3719 -1,3047 -1,0247 -0,5714 0,0074 0,6583 1,3362 2,0247 2,7379 3,4996 4,3167 5,1603 5,9657 6,6624 7,2127 7,6276 7,9527 8,2375 8,5073 8,7621 8,9931 9,1880 9,3338 9,4356 9,5308 9,6724 9,8979 10,2075 10,5622 10,9019 11,1658 11,3017 11,2757 11,0804 10,7339 10,2762 9,7678 9,2708 8,8207 8,4206 8,0617 7,7390 7,4435 7,1478 6,8076 6,3840 5,8625 5,2546 4,5957 3,9426 3,3596 2,8931 2,5612 2,3642 2,2948 2,3358 2,4564 2,6175 2,7876 2,9475 3,0785 3,1527 3,1445 3,0486 2,8922 2,7293 2,6153 2,5707 2,5624 2,5203 2,3780 2,1043 1,7136 1,2569 0,8067 0,4367 0,1953 0,0889 0,0936 0,1831 0,3416 0,5551 0,7954 1,0139 1,1529 1,1663 1,0349 0,7681 0,3895 -0,0835 -0,6377 -1,2393 -1,8173 -2,2815 -2,5648 -2,6540 -2,5786 -2,3757
F3    1,1654 0,6104 0,2246 0,0108 -0,0569 -0,0137 0,1020 0,2411 0,3508 0,3899 0,3350 0,1844 -0,0318 -0,2510 -0,4036 -0,4576 -0,4429 -0,4310 -0,4869 -0,6232 -0,7885 -0,9024 -0,9037 -0,7698 -0,5101 -0,1623 0,2115 0,5472 0,8057 0,9748 1,0489 1,0142 0,8563 0,5848 0,2492 -0,0777 -0,3361 -0,4998 -0,5691 -0,5557 -0,4822 -0,3818 -0,2850 -0,2025 -0,1258 -0,0424 0,0547 0,1658 0,2826 0,3834 0,4340 0,4082 0,3195 0,2224 0,1748 0,2029 0,2945 0,4137 0,5206 0,5956 0,6559 0,7494 0,9259 1,2031 1,5477 1,8884 2,1571 2,3230 2,3954 2,4103 2,4135 2,4512 2,5586 2,7448 2,9818 3,2174 3,4043 3,5222 3,5751 3,5681 3,4975 3,3700 3,2233 3,1079 3,0393 2,9728 2,8393 2,6020 2,2743 1,8880 1,4692 1,0500 0,6792 0,4095 0,2808 0,3135 0,4973 0,7802 1,0814 1,3207 1,4419 1,4226 1,2769 1,0509 0,8080 0,6110 0,5063 0,5050 0,5736 0,6544 0,7025 0,7069 0,6770 0,6115 0,4884 0,2832 -0,0135 -0,3980 -0,8626 -1,3895 -1,9325 -2,4112 -2,7361 -2,8466 -2,7299 -2,4123 -1,9443 -1,3988 -0,8659 -0,4301 -0,1525 -0,0674 -0,1770 -0,4447 -0,7959 -1,1257 -1,3223 -1,3078 -1,0735 -0,6783 -0,2158 0,2326 0,6394 1,0447 1,5242 2,1323 2,8622 3,6476 4,4014 5,0509 5,5547 5,9101 6,1544 6,3572 6,6013 6,9504 7,4130 7,9372 8,4595 8,9636 9,4818 10,0402 10,6280 11,2201 11,8026 12,3592 12,8530 13,2368 13,4831 13,6053 13,6469 13,6433 13,5997 13,5099 13,3817 13,2387 13,1052 12,9888 12,8705 12,7023 12,4165 11,9506 11,2802 10,4373 9,5022 8,5708 7,7185 6,9879 6,3988 5,9673 5,7194 5,6845 5,8731 6,2564 6,7605 7,2773 7,6941 7,9342 7,9796 7,8561 7,6107 7,3051 7,0089 6,7742 6,6170 6,5288 6,5031 6,5423 6,6458 6,7940 6,9439 7,0413 7,0474 6,9596 6,8135 6,6604 6,5356 6,4373 6,3318 6,1797 5,9536 5,6396 5,2411 4,7803 4,2815 3,7609 3,2450 2,7919 2,4789 2,3563 2,4152 2,5963 2,8253 3,0447 3,2232 3,3342 3,3255 3,1247 2,6917 2,0621 1,3392 0,6476 0,0845 -0,3073 -0,5363 -0,6429 -0,6743 -0,6592 -0,5985 -0,4750 -0,2668 0,0411 0,4457 0,9272 1,4582 2,0013 2,5014 2,8906 3,1052 3,1005 2,8668 2,4470 1,9366 1,4634 1,1560 1,0922 1,2517 1,5295 1,8061 1,9984 2,0607 1,9685 1,7228 1,3693 0,9980 0,7134 0,5966 0,6764 0,9246 1,2749 1,6470 1,9667 2,1825 2,2788 2,2757 2,2108 2,1247 2,0554 2,0273 2,0401 2,0779 2,1250 2,1682 2,1933 2,2032 2,2349 2,3351 2,5228 2,7876 3,1016 3,4119 3,6367 3,6974 3,5634 3,2602 2,8420 2,3736 1,9280 1,5725 1,3505 1,2820 1,3770 1,6360 2,0379 2,5360 3,0774 3,6291 4,1761 4,7014 5,1788 5,5795 5,8798 6,0684 6,1446 6,1090 5,9729 5,7871 5,6450 5,6408 5,8262 6,1978 6,7092 7,2901 7,8676 8,3848 8,8111 9,1367 9,3631 9,5026 9,5853 9,6490 9,7091 9,7404 9,6954 9,5396 9,2674 8,8960 8,4575 8,0029 7,5971 7,2889 7,0864 6,9683 6,9082 6,8839 6,8775 6,8729 6,8488 6,7757 6,6252 6,3794 6,0376 5,6282 5,2174 4,8956 4,7387 4,7654 4,9241 5,1181 5,2491 5,2542 5,1250 4,9109 4,7040 4,6037 4,6743 4,9139 5,2556 5,6008 5,8723 6,0541 6,1832 6,2967 6,3915 6,4365 6,4120 6,3246 6,1953 6,0532 5,9348 5,8720 5,8761 5,9409 6,0585 6,2237 6,4305 6,6764 6,9566 7,2432 7,4847 7,6318 7,6633 7,5942 7,4613 7,2952 7,1026 6,8749 6,6150 6,3616 6,1879 6,1694 6,3502 6,7262 7,2456 7,8154 8,3162 8,6364 8,7171 8,5723 8,2757 7,9374 7,6745 7,5704 7,6393 7,8251 8,0373 8,1951 8,2570 8,2284 8,1478 8,0562 7,9698 7,8710 7,7133 7,4392 7,0147 6,4646 5,8671 5,3123 4,8621 4,5365 4,3276 4,2279 4,2452 4,3868 4,6342 4,9441 5,2616 5,5306 5,7106 5,8008 5,8480 5,9207 6,0615 6,2600 6,4758 6,6851 6,9003 7,1556 7,4818 7,8898 8,3563 8,8081 9,1351 9,2466 9,1354 8,8996 8,7041 8,7011 8,9555 9,4192 9,9591 10,4178 10,6712 10,6614 10,3991 9,9386 9,3495 8,7048 8,0798 7,5453 7,1468 6,8829 6,7156 6,6014 6,5026 6,3808 6,2029 5,9580 5,6580 5,3181 4,9375 4,4955 3,9689 3,3598 2,7090 2,0739 1,4886 0,9563 0,4756 0,0657 -0,2306 -0,3665 -0,3147 -0,0738 0,3434 0,9174 1,6136 2,3805 3,1646 3,9252 4,6361 5,2863 5,8744 6,3897 6,8012 7,0769 7,2233 7,3003 7,3844 7,5224 7,7209 7,9644 8,2308 8,5077 8,8105 9,1782 9,6400 10,1881 10,7726 11,3096 11,7017 11,8651 11,7542 11,3720 10,7581 9,9747 9,1082 8,2646 7,5379 6,9756 6,5718 6,2895 6,0905 5,9543 5,8719 5,8319 5,8124 5,7794 5,6979 5,5479 5,3312 5,0665 4,7765 4,4814 4,2054 3,9821 3,8355 3,7569 3,7122 3,6717 3,6221 3,5561 3,4638 3,3315 3,1512 2,9317 2,7028 2,5098 2,3991 2,3937 2,4789 2,6028 2,6853 2,6455 2,4498 2,1464 1,8388 1,6108 1,4817 1,4317 1,4445 1,5155 1,6371 1,7875 1,9271 2,0041 1,9752 1,8186 1,5313 1,1192 0,5939 -0,0233 -0,6933 -1,3496 -1,8998 -2,2514 -2,3549 -2,2250 -1,9167
F7    1,0274 1,0266 1,0147 0,9787 0,9169 0,8276 0,7024 0,5355 0,3308 0,0952 -0,1730 -0,4824 -0,8312 -1,1882 -1,4942 -1,6852 -1,7168 -1,5744 -1,2749 -0,8624 -0,3978 0,0576 0,4544 0,7586 0,9514 1,0286 0,9973 0,8755 0,6935 0,4859 0,2775 0,0789 -0,1054 -0,2649 -0,3812 -0,4343 -0,4108 -0,3124 -0,1611 0,0079 0,1587 0,2557 0,2643 0,1705 0,0037 -0,1703 -0,2859 -0,3123 -0,2642 -0,1928 -0,1638 -0,2274 -0,3932 -0,6339 -0,9044 -1,1545 -1,3355 -1,4068 -1,3379 -1,1095 -0,7227 -0,2033 0,4039 1,0347 1,5985 1,9965 2,1643 2,1062 1,8931 1,6276 1,4012 1,2717 1,2680 1,3979 1,6400 1,9424 2,2479 2,5246 2,7627 2,9480 3,0525 3,0604 2,9909 2,8854 2,7746 2,6590 2,5166 2,3304 2,1098 1,8831 1,6779 1,5151 1,4116 1,3820 1,4346 1,5626 1,7341 1,8929 1,9793 1,9590 1,8340 1,6345 1,4067 1,2027 1,0661 1,0212 1,0717 1,1964 1,3458 1,4538 1,4671 1,3723 1,1963 0,9774 0,7350 0,4615 0,1394 -0,2395 -0,6699 -1,1382 -1,6165 -2,0543 -2,3913 -2,5843 -2,6226 -2,5213 -2,3109 -2,0341 -1,7440 -1,4987 -1,3544 -1,3501 -1,4872 -1,7214 -1,9788 -2,1791 -2,2537 -2,1656 -1,9280 -1,6042 -1,2800 -1,0209 -0,8391 -0,6909 -0,5027 -0,2083 0,2220 0,7685 1,3700 1,9517 2,4557 2,8593 3,1720 3,4190 3,6230 3,7920 3,9180 3,9951 4,0526 4,1681 4,4317 4,8852 5,4949 6,1793 6,8588 7,4831 8,0288 8,4851 8,8492 9,1306 9,3490 9,5146 9,6120 9,6076 9,4735 9,2055 8,8226 8,3545 7,8308 7,2752 6,7011 6,1073 5,4846 4,8325 4,1751 3,5634 3,0582 2,7013 2,5018 2,4471 2,5200 2,7025 2,9707 3,2903 3,6179 3,9039 4,1022 4,1910 4,1889 4,1412 4,0838 4,0216 3,9435 3,8496 3,7593 3,6987 3,6889 3,7432 3,8650 4,0408 4,2314 4,3833 4,4630 4,4768 4,4539 4,4124 4,3457 4,2334 4,0586 3,8221 3,5406 3,2346 2,9184 2,6000 2,2793 1,9489 1,6083 1,2821 1,0167 0,8484 0,7759 0,7669 0,7866 0,8200 0,8698 0,9341 0,9855 0,9754 0,8625 0,6365 0,3224 -0,0351 -0,3877 -0,6916 -0,9140 -1,0410 -1,0793 -1,0457 -0,9556 -0,8188 -0,6414 -0,4278 -0,1863 0,0649 0,2992 0,4983 0,6700 0,8473 1,0648 1,3255 1,5872 1,7822 1,8582 1,8118 1,6921 1,5628 1,4521 1,3395 1,1898 0,9910 0,7642 0,5468 0,3705 0,2466 0,1672 0,1202 0,1046 0,1266 0,1864 0,2709 0,3586 0,4312 0,4835 0,5226 0,5563 0,5831 0,5961 0,5964 0,5903 0,5778 0,5568 0,5364 0,5337 0,5563 0,5976 0,6494 0,7087 0,7772 0,8632 0,9706 1,0755 1,1217 1,0501 0,8352 0,4997 0,1019 -0,2840 -0,5855 -0,7503 -0,7605 -0,6317 -0,3932 -0,0684 0,3255 0,7687 1,2427 1,7396 2,2521 2,7500 3,1821 3,5069 3,7157 3,8264 3,8658 3,8633 3,8558 3,8860 3,9840 4,1460 4,3362 4,5139 4,6584 4,7756 4,8885 5,0206 5,1805 5,3552 5,5164 5,6367 5,7065 5,7419 5,7687 5,7966 5,8097 5,7811 5,6878 5,5146 5,2597 4,9449 4,6200 4,3475 4,1752 4,1140 4,1304 4,1531 4,1033 3,9377 3,6697 3,3564 3,0581 2,7982 2,5565 2,3021 2,0325 1,7832 1,6093 1,5577 1,6510 1,8831 2,2189 2,5956 2,9363 3,1766 3,2893 3,2883 3,2100 3,0959 2,9839 2,9053 2,8809 2,9197 3,0190 3,1577 3,2942 3,3797 3,3840 3,3135 3,2113 3,1412 3,1579 3,2790 3,4796 3,7099 3,9149 4,0436 4,0612 3,9678 3,8026 3,6230 3,4816 3,4126 3,4315 3,5448 3,7544 4,0458 4,3754 4,6851 4,9349 5,1208 5,2588 5,3586 5,4188 5,4411 5,4340 5,4025 5,3434 5,2526 5,1349 5,0036 4,8678 4,7287 4,5916 4,4703 4,3727 4,2880 4,1943 4,0790 3,9577 3,8745 3,8791 3,9971 4,2199 4,5113 4,8174 5,0807 5,2572 5,3249 5,2817 5,1388 4,9130 4,6207 4,2749 3,8883 3,4827 3,0934 2,7623 2,5191 2,3682 2,2930 2,2787 2,3344 2,4914 2,7697 3,1434 3,5442 3,9079 4,2189 4,5130 4,8392 5,2201 5,6415 6,0577 6,3928 6,5549 6,4782 6,1670 5,7092 5,2445 4,9101 4,7935 4,9168 5,2478 5,7183 6,2345 6,6862 6,9715 7,0282 6,8500 6,4744 5,9577 5,3617 4,7484 4,1687 3,6530 3,2111 2,8401 2,5289 2,2640 2,0419 1,8722 1,7672 1,7293 1,7425 1,7734 1,7787 1,7155 1,5496 1,2666 0,8842 0,4523 0,0402 -0,2837 -0,4719 -0,5084 -0,4055 -0,1941 0,0852 0,3913 0,6860 0,9398 1,1451 1,3259 1,5332 1,8269 2,2507 2,8104 3,4709 4,1768 4,8781 5,5353 6,1083 6,5551 6,8495 6,9967 7,0286 6,9881 6,9139 6,8267 6,7192 6,5603 6,3178 5,9862 5,5967 5,2057 4,8782 4,6685 4,6000 4,6583 4,8072 5,0016 5,1860 5,3002 5,3030 5,1931 5,0020 4,7673 4,5139 4,2485 3,9631 3,6418 3,2749 2,8723 2,4617 2,0726 1,7283 1,4551 1,2878 1,2568 1,3686 1,5973 1,8948 2,2031 2,4570 2,5871 2,5364 2,2864 1,8751 1,3894 0,9369 0,6090 0,4489 0,4447 0,5495 0,7055 0,8617 0,9825 1,0502 1,0572 0,9915 0,8316 0,5585 0,1781 -0,2697 -0,7247 -1,1310 -1,4542 -1,6786 -1,7947 -1,7983 -1,7020 -1,5447 -1,3829 -1,2646 -1,2079 -1,2010 -1,2167 -1,2286 -1,2233 -1,2059 -1,1910
