Fp1   2,8736 2,0497 1,4240 0,9919 0,7222 0,5970 0,6181 0,8014 1,1474 1,6086 2,1039 2,5395 2,8115 2,8512 2,6913 2,4498 2,2327 2,0700 1,9308 1,7658 1,5280 1,1551 0,5489 -0,3675 -1,5360 -2,7462 -3,7682 -4,4709 -4,7987 -4,7093 -4,2031 -3,3821 -2,4125 -1,4322 -0,5350 0,1860 0,6343 0,7543 0,5703 0,1908 -0,2300 -0,5660 -0,7720 -0,8608 -0,8404 -0,7187 -0,5787 -0,5889 -0,8831 -1,4479 -2,1360 -2,7543 -3,1513 -3,2698 -3,1444 -2,8706 -2,5700 -2,3230 -2,1061 -1,8269 -1,4290 -0,9629 -0,5796 -0,4572 -0,6951 -1,2508 -1,9790 -2,7227 -3,3594 -3,7935 -3,9719 -3,9062 -3,6436 -3,2291 -2,7063 -2,1337 -1,6101 -1,2898 -1,3242 -1,7444 -2,4083 -3,0930 -3,6462 -4,0569 -4,4147 -4,8076 -5,2161 -5,4839 -5,4068 -4,8801 -3,9701 -2,8685 -1,7976 -0,9392 -0,4072 -0,2380 -0,3788 -0,7125 -1,1135 -1,4748 -1,7126 -1,7888 -1,7216 -1,5732 -1,4362 -1,3872 -1,4266 -1,5025 -1,5959 -1,7430 -1,9725 -2,2621 -2,5635 -2,8355 -3,0402 -3,1305 -3,0712 -2,8915 -2,7018 -2,6123 -2,6271 -2,6369 -2,5219 -2,2515 -1,8837 -1,5002 -1,1724 -0,9678 -0,9488 -1,1532 -1,5853 -2,2233 -3,0319 -3,9644 -4,9495 -5,8876 -6,6782 -7,2513 -7,5756 -7,6514 -7,5054 -7,1986 -6,8316 -6,5133 -6,3036 -6,2025 -6,1765 -6,1724 -6,1467 -6,1056 -6,0725 -6,0045 -5,7970 -5,3960 -4,8688 -4,3461 -3,9203 -3,5936 -3,3088 -3,0355 -2,8195 -2,7283 -2,7667 -2,8638 -2,9184 -2,8396 -2,5832 -2,1908 -1,7785 -1,4427 -1,1758 -0,8879 -0,4869 0,0722 0,7736 1,5302 2,1856 2,5571 2,5290 2,1382 1,5694 1,0519 0,7116 0,4873 0,2159 -0,1972 -0,7167 -1,2376 -1,6221 -1,7225 -1,4601 -0,8872 -0,1610 0,5369 1,0719 1,3799 1,4460 1,2978 1,0274 0,7906 0,7480 0,9716 1,3988 1,8836 2,2761 2,4688 2,4272 2,2056 1,9171 1,6679 1,5009 1,3905 1,2921 1,2002 1,1588 1,2188 1,3944 1,6465 1,8862 2,0073 1,9366 1,6586 1,2085 0,6654 0,1420 -0,2537 -0,4650 -0,4879 -0,3363 -0,0346 0,3461 0,6849 0,8994 1,0257 1,1767 1,4325 1,7702 2,0717 2,2009 2,0823 1,7216 1,1892 0,6056 0,1140 -0,1677 -0,1535 0,2325 0,9975 1,9795 2,8748 3,4041 3,4558 3,1093 2,5624 2,0298 1,6640 1,5236 1,5838 1,7819 2,0712 2,4264 2,8098 3,1593 3,3943 3,4420 3,2753 2,8943 2,2854 1,4724 0,5901 -0,1557 -0,6035 -0,7006 -0,4791 -0,0094 0,6232 1,3221 1,9887 2,5398 2,9118 3,0618 2,9866 2,7193 2,3073 1,8170 1,3444 0,9918 0,8337 0,8961 1,1310 1,4132 1,5993 1,6075 1,4494 1,2040 0,9643 0,7998 0,7458 0,7858 0,8528 0,8985 0,9646 1,1278 1,3726 1,5826 1,6620 1,6234 1,5514 1,5137 1,5315 1,6100 1,7542 1,9508 2,1609 2,3451 2,4930 2,6081 2,6538 2,5490 2,2534 1,8408 1,4675 1,2852 1,3756 1,7102 2,1496 2,5161 2,7064 2,7454 2,7406 2,7853 2,8965 3,0210 3,0800 3,0159 2,8328 2,6102 2,4550 2,4281 2,5245 2,7044 2,9185 3,1128 3,2400 3,2846 3,2749 3,2624 3,2839 3,3380 3,4057 3,4788 3,5433 3,5590 3,4885 3,3250 3,0751 2,7362 2,3128 1,8473 1,4031 1,0229 0,7368 0,5910 0,6238 0,8384 1,2335 1,8145 2,5504 3,3556 4,1200 4,7362 5,1162 5,2161 5,0526 4,6925 4,2272 3,7387 3,2707 2,8178 2,3371 1,8018 1,2561 0,7816 0,4189 0,1506 -0,0651 -0,2601 -0,4307 -0,5377 -0,5326 -0,3790 -0,0651 0,3746 0,8437 1,1969 1,2944 1,0797 0,6155 0,0471 -0,4736 -0,8453 -1,0110 -0,9303 -0,5941 -0,0451 0,6533 1,4388 2,2138 2,8346 3,1887 3,2691 3,1556 2,9508 2,7274 2,4989 2,2310 1,8915 1,4800 1,0236 0,5766 0,2176 0,0030 -0,0924 -0,1741 -0,3562 -0,6913 -1,1582 -1,6755 -2,1130 -2,3444 -2,3158 -2,0342 -1,5216 -0,8279 -0,0491 0,7142 1,3900 1,9147 2,2279 2,3129 2,2198 2,0348 1,8344 1,6759 1,6061 1,6503 1,8045 2,0306 2,2228 2,2120 1,8606 1,1683 0,2975 -0,5038 -1,0356 -1,2531 -1,2669 -1,2274 -1,1990 -1,1459 -1,0100 -0,7758 -0,4903 -0,2500 -0,1647 -0,3042 -0,6472 -1,0747 -1,4395 -1,6429 -1,6502 -1,4700 -1,1416 -0,7308 -0,3305 -0,0493 0,0176 -0,1801 -0,6277 -1,2439 -1,9063 -2,4899 -2,9002 -3,1005 -3,1236 -3,0484 -2,9641 -2,9670 -3,1620 -3,6171 -4,3141 -5,1536 -5,9978 -6,7044 -7,1520 -7,2655 -7,0426 -6,5644 -5,9693 -5,3928 -4,9278 -4,6186 -4,4740 -4,4782 -4,5855 -4,7259 -4,8442 -4,9343 -5,0380 -5,2048 -5,4412 -5,7002 -5,9303 -6,1287 -6,3371 -6,5859 -6,8623 -7,1380 -7,3934 -7,6140 -7,7905 -7,9050 -7,8986 -7,6777 -7,1732 -6,4008 -5,4776 -4,5890 -3,9088 -3,5290 -3,4475 -3,5923 -3,8687 -4,2260 -4,6536 -5,1006 -5,4630 -5,6633 -5,6932 -5,5728 -5,3105 -4,9144 -4,4165 -3,8764 -3,3596 -2,9050 -2,5379 -2,3311 -2,4044 -2,8237 -3,5157 -4,2862 -4,9274 -5,3394 -5,5750 -5,7651 -6,0069 -6,3202 -6,6542 -6,9040 -6,9731 -6,8596 -6,6604 -6,5018 -6,4789 -6,6181 -6,8591 -7,0786 -7,1488 -6,9991 -6,6506 -6,2057 -5,8007 -5,5500 -5,4941 -5,5903 -5,7756 -6,0461 -6,4600 -7,0560 -7,7847 -8,5117 -9,0622 -9,3013 -9,2371 -9,0426 -8,9450 -9,0770 -9,4134 -9,8200 -10,1414 -10,2554 -10,0980 -9,6878 -9,1451 -8,6717 -8,4651 -8,5948 -8,9637 -9,4000
Fz    3,3572 3,0883 2,9040 2,7591 2,6116 2,4334 2,2194 1,9956 1,8060 1,6873 1,6618 1,7238 1,8161 1,8507 1,7769 1,6172 1,4335 1,2734 1,1482 1,0377 0,8997 0,6674 0,2495 -0,4172 -1,2892 -2,2122 -3,0064 -3,5433 -3,7562 -3,6296 -3,2114 -2,6140 -1,9660 -1,3592 -0,8477 -0,4789 -0,3000 -0,3331 -0,5429 -0,8404 -1,1243 -1,3229 -1,4132 -1,4090 -1,3285 -1,1821 -1,0074 -0,8888 -0,9092 -1,0845 -1,3541 -1,6224 -1,8138 -1,9093 -1,9405 -1,9564 -1,9910 -2,0294 -1,9940 -1,7943 -1,4092 -0,9188 -0,4659 -0,1882 -0,1631 -0,3875 -0,7967 -1,2986 -1,7897 -2,1657 -2,3533 -2,3417 -2,1715 -1,8970 -1,5684 -1,2384 -0,9673 -0,8127 -0,8049 -0,9243 -1,1104 -1,3076 -1,5033 -1,7231 -2,0030 -2,3548 -2,7250 -2,9803 -2,9652 -2,5969 -1,9187 -1,0811 -0,2730 0,3551 0,7243 0,8183 0,6709 0,3583 -0,0242 -0,3929 -0,6975 -0,9234 -1,0746 -1,1622 -1,2107 -1,2495 -1,2870 -1,3137 -1,3365 -1,3878 -1,4979 -1,6764 -1,9130 -2,1790 -2,4308 -2,6245 -2,7340 -2,7670 -2,7642 -2,7641 -2,7648 -2,7265 -2,6055 -2,3817 -2,0647 -1,6951 -1,3425 -1,0900 -1,0091 -1,1470 -1,5161 -2,0838 -2,7830 -3,5417 -4,3001 -5,0061 -5,6115 -6,0738 -6,3643 -6,4775 -6,4379 -6,2940 -6,1022 -5,9080 -5,7374 -5,6016 -5,4979 -5,4044 -5,3007 -5,1977 -5,1167 -5,0343 -4,8783 -4,5995 -4,2305 -3,8566 -3,5409 -3,2819 -3,0314 -2,7529 -2,4573 -2,1839 -1,9599 -1,7805 -1,6121 -1,4088 -1,1446 -0,8408 -0,5530 -0,3190 -0,1242 0,0836 0,3520 0,6994 1,1055 1,5075 1,8092 1,9106 1,7642 1,4230 1,0258 0,7199 0,5780 0,5607 0,5658 0,5195 0,4086 0,2517 0,0861 -0,0318 -0,0519 0,0389 0,2088 0,3981 0,5538 0,6493 0,6702 0,6122 0,5012 0,3970 0,3564 0,3869 0,4416 0,4692 0,4518 0,3940 0,3111 0,2342 0,2054 0,2479 0,3399 0,4286 0,4765 0,4953 0,5384 0,6608 0,8777 1,1457 1,3761 1,4726 1,3800 1,1126 0,7395 0,3494 0,0224 -0,1893 -0,2719 -0,2410 -0,1197 0,0673 0,2788 0,4618 0,6015 0,7458 0,9583 1,2539 1,5758 1,8209 1,9004 1,7848 1,5052 1,1263 0,7286 0,3997 0,2159 0,2291 0,4660 0,9036 1,4345 1,8888 2,1156 2,0552 1,7524 1,3207 0,8882 0,5465 0,3289 0,2242 0,2039 0,2447 0,3278 0,4201 0,4659 0,4041 0,1961 -0,1572 -0,6379 -1,2386 -1,9368 -2,6543 -3,2767 -3,7126 -3,9254 -3,9208 -3,7219 -3,3642 -2,9093 -2,4469 -2,0683 -1,8399 -1,7960 -1,9380 -2,2346 -2,6295 -3,0509 -3,4228 -3,6800 -3,7885 -3,7616 -3,6666 -3,6087 -3,6773 -3,8875 -4,1732 -4,4361 -4,5986 -4,6167 -4,4731 -4,1883 -3,8182 -3,4065 -2,9524 -2,4592 -2,0019 -1,7025 -1,6293 -1,7360 -1,9021 -2,0240 -2,0636 -2,0252 -1,9191 -1,7629 -1,5953 -1,4612 -1,3808 -1,3456 -1,3476 -1,3936 -1,4768 -1,5575 -1,5835 -1,5134 -1,3217 -1,0160 -0,6620 -0,3621 -0,1831 -0,1080 -0,0552 0,0571 0,2566 0,5039 0,7143 0,7995 0,7189 0,5105 0,2668 0,0819 0,0194 0,1032 0,3141 0,5925 0,8585 1,0475 1,1318 1,1166 1,0315 0,9264 0,8571 0,8544 0,8947 0,9070 0,8201 0,6019 0,2623 -0,1598 -0,6041 -1,0043 -1,3241 -1,5691 -1,7528 -1,8685 -1,9034 -1,8499 -1,6940 -1,4223 -1,0527 -0,6366 -0,2444 0,0457 0,1721 0,1225 -0,0640 -0,3213 -0,5765 -0,7680 -0,8774 -0,9494 -1,0644 -1,2743 -1,5628 -1,8786 -2,1949 -2,5234 -2,8892 -3,2985 -3,7160 -4,0693 -4,2860 -4,3368 -4,2492 -4,0884 -3,9297 -3,8435 -3,8860 -4,0808 -4,3970 -4,7540 -5,0572 -5,2394 -5,2733 -5,1630 -4,9366 -4,6338 -4,2842 -3,9071 -3,5460 -3,2794 -3,1669 -3,1979 -3,3070 -3,4224 -3,5013 -3,5435 -3,5830 -3,6664 -3,8334 -4,0922 -4,3997 -4,6804 -4,8799 -5,0004 -5,0823 -5,1624 -5,2538 -5,3552 -5,4528 -5,5114 -5,4899 -5,3679 -5,1384 -4,7917 -4,3333 -3,7983 -3,2323 -2,6868 -2,2360 -1,9632 -1,9188 -2,1015 -2,4633 -2,9184 -3,3564 -3,6750 -3,8182 -3,7899 -3,6429 -3,4724 -3,3949 -3,4941 -3,7711 -4,1413 -4,4822 -4,7058 -4,8106 -4,8712 -4,9603 -5,0780 -5,1627 -5,1604 -5,0658 -4,9200 -4,7931 -4,7607 -4,8679 -5,0956 -5,3641 -5,5780 -5,6768 -5,6548 -5,5515 -5,4229 -5,3153 -5,2657 -5,3141 -5,5008 -5,8469 -6,3337 -6,9043 -7,4861 -8,0128 -8,4335 -8,7168 -8,8478 -8,8241 -8,6629 -8,4265 -8,2227 -8,1493 -8,2335 -8,4222 -8,6199 -8,7369 -8,7155 -8,5327 -8,1977 -7,7522 -7,2609 -6,7925 -6,4079 -6,1517 -6,0443 -6,0789 -6,2233 -6,4298 -6,6571 -6,8875 -7,1321 -7,4213 -7,7751 -8,1775 -8,5818 -8,9450 -9,2482 -9,4861 -9,6563 -9,7685 -9,8446 -9,9057 -9,9646 -10,0128 -10,0084 -9,8930 -9,6299 -9,2223 -8,7125 -8,1748 -7,6944 -7,3357 -7,1302 -7,0778 -7,1601 -7,3625 -7,6577 -7,9636 -8,1659 -8,1932 -8,0487 -7,7763 -7,4176 -6,9953 -6,5245 -6,0307 -5,5540 -5,1324 -4,7988 -4,6017 -4,6003 -4,8194 -5,2065 -5,6342 -5,9583 -6,1043 -6,1117 -6,0931 -6,1472 -6,3080 -6,5442 -6,7804 -6,9372 -6,9823 -6,9435 -6,8769 -6,8301 -6,8161 -6,8102 -6,7749 -6,6835 -6,5250 -6,3088 -6,0742 -5,8890 -5,8247 -5,9194 -6,1634 -6,5295 -7,0062 -7,5908 -8,2472 -8,8913 -9,4281 -9,7944 -9,9808 -10,0500 -10,1213 -10,2985 -10,5966 -10,9381 -11,2108 -11,3284 -11,2568 -11,0147 -10,6619 -10,2902 -10,0146 -9,9385 -10,0944 -10,4226 -10,8139
F3    2,9087 2,4622 2,1534 1,9410 1,7754 1,6238 1,4811 1,3737 1,3373 1,3889 1,5270 1,7266 1,9187 2,0164 1,9877 1,8845 1,7842 1,7203 1,6726 1,5968 1,4444 1,1515 0,6301 -0,1785 -1,2150 -2,2974 -3,2189 -3,8389 -4,0897 -3,9544 -3,4765 -2,7705 -1,9769 -1,2037 -0,5221 0,0011 0,2975 0,3280 0,1197 -0,2339 -0,6107 -0,9121 -1,0989 -1,1864 -1,1999 -1,1551 -1,0953 -1,1123 -1,2876 -1,6181 -2,0133 -2,3489 -2,5347 -2,5566 -2,4684 -2,3525 -2,2776 -2,2540 -2,2143 -2,0627 -1,7608 -1,3665 -1,0072 -0,8162 -0,8679 -1,1472 -1,5722 -2,0470 -2,4870 -2,8164 -2,9815 -2,9772 -2,8382 -2,6049 -2,3099 -1,9900 -1,7024 -1,5232 -1,5155 -1,6840 -1,9632 -2,2678 -2,5576 -2,8526 -3,2028 -3,6381 -4,1118 -4,4801 -4,5639 -4,2546 -3,5779 -2,6793 -1,7549 -0,9723 -0,4293 -0,1548 -0,1206 -0,2570 -0,4814 -0,7236 -0,9381 -1,1075 -1,2329 -1,3301 -1,4306 -1,5605 -1,7056 -1,8274 -1,9162 -2,0038 -2,1276 -2,2993 -2,5035 -2,7060 -2,8639 -2,9432 -2,9359 -2,8733 -2,8169 -2,8126 -2,8455 -2,8480 -2,7497 -2,5204 -2,1765 -1,7724 -1,3906 -1,1237 -1,0473 -1,2063 -1,6096 -2,2273 -2,9979 -3,8509 -4,7207 -5,5459 -6,2660 -6,8256 -7,1830 -7,3192 -7,2468 -7,0118 -6,6847 -6,3393 -6,0338 -5,8064 -5,6700 -5,6012 -5,5591 -5,5241 -5,4922 -5,4267 -5,2533 -4,9291 -4,4968 -4,0478 -3,6438 -3,2787 -2,9064 -2,5029 -2,0970 -1,7405 -1,4573 -1,2259 -0,9939 -0,7057 -0,3385 0,0720 0,4524 0,7533 0,9927 1,2374 1,5484 1,9450 2,3956 2,8239 3,1253 3,2003 3,0078 2,6108 2,1613 1,8236 1,6783 1,6743 1,6869 1,6284 1,4877 1,2958 1,1073 0,9936 1,0063 1,1423 1,3470 1,5428 1,6701 1,7068 1,6525 1,5203 1,3570 1,2457 1,2590 1,3991 1,5914 1,7439 1,7990 1,7381 1,5745 1,3569 1,1574 1,0310 0,9789 0,9555 0,9186 0,8708 0,8587 0,9353 1,1197 1,3768 1,6206 1,7462 1,6831 1,4315 1,0548 0,6482 0,3079 0,1015 0,0487 0,1306 0,3190 0,5851 0,8793 1,1318 1,3094 1,4545 1,6429 1,9113 2,2172 2,4567 2,5314 2,4075 2,1206 1,7433 1,3627 1,0679 0,9298 0,9977 1,3058 1,8386 2,4794 3,0330 3,3223 3,2734 2,9342 2,4344 1,9200 1,4984 1,2187 1,0837 1,0716 1,1564 1,3084 1,4813 1,6113 1,6325 1,4998 1,2093 0,7779 0,2091 -0,4792 -1,2037 -1,8338 -2,2601 -2,4388 -2,3778 -2,1041 -1,6541 -1,0900 -0,5033 0,0119 0,3816 0,5538 0,5084 0,2672 -0,1112 -0,5465 -0,9538 -1,2596 -1,4161 -1,4193 -1,3247 -1,2371 -1,2531 -1,3974 -1,6136 -1,8103 -1,9148 -1,8899 -1,7290 -1,4649 -1,1621 -0,8605 -0,5364 -0,1577 0,2287 0,5069 0,5944 0,5132 0,3600 0,2244 0,1464 0,1398 0,2149 0,3634 0,5430 0,6983 0,7994 0,8463 0,8308 0,7253 0,5286 0,2985 0,1212 0,0678 0,1751 0,4296 0,7572 1,0554 1,2587 1,3779 1,4794 1,6259 1,8254 2,0222 2,1266 2,0637 1,8223 1,4718 1,1233 0,8677 0,7506 0,7835 0,9555 1,2319 1,5561 1,8657 2,1124 2,2679 2,3245 2,2967 2,2237 2,1526 2,0973 2,0214 1,8720 1,6207 1,2701 0,8433 0,3799 -0,0728 -0,4856 -0,8590 -1,1924 -1,4591 -1,6237 -1,6591 -1,5358 -1,2319 -0,7671 -0,2090 0,3440 0,7834 1,0287 1,0687 0,9607 0,7888 0,6283 0,5261 0,4844 0,4525 0,3524 0,1381 -0,1619 -0,4790 -0,7737 -1,0578 -1,3686 -1,7291 -2,1184 -2,4716 -2,7167 -2,8187 -2,7959 -2,7042 -2,6118 -2,5860 -2,6826 -2,9245 -3,2802 -3,6679 -3,9919 -4,1818 -4,2008 -4,0371 -3,7081 -3,2562 -2,7229 -2,1422 -1,5735 -1,1102 -0,8273 -0,7319 -0,7750 -0,8931 -1,0417 -1,2094 -1,4120 -1,6725 -2,0038 -2,3943 -2,7963 -3,1412 -3,3831 -3,5289 -3,6270 -3,7285 -3,8601 -4,0224 -4,1912 -4,3146 -4,3341 -4,2202 -3,9684 -3,5793 -3,0724 -2,4967 -1,9047 -1,3442 -0,8806 -0,5910 -0,5248 -0,6800 -1,0069 -1,4167 -1,7987 -2,0559 -2,1410 -2,0628 -1,8773 -1,6886 -1,6277 -1,7901 -2,1787 -2,6980 -3,2025 -3,5747 -3,7881 -3,9035 -3,9943 -4,0706 -4,0849 -3,9949 -3,8026 -3,5509 -3,3117 -3,1649 -3,1614 -3,2883 -3,4698 -3,6125 -3,6538 -3,5788 -3,4135 -3,2065 -3,0087 -2,8709 -2,8474 -2,9874 -3,3162 -3,8173 -4,4317 -5,0781 -5,6783 -6,1699 -6,5098 -6,6740 -6,6521 -6,4550 -6,1479 -5,8591 -5,7191 -5,7835 -6,0114 -6,3034 -6,5527 -6,6769 -6,6291 -6,4026 -6,0319 -5,5819 -5,1278 -4,7389 -4,4701 -4,3565 -4,4084 -4,6018 -4,8793 -5,1796 -5,4694 -5,7523 -6,0516 -6,3777 -6,7073 -6,9966 -7,2117 -7,3429 -7,3922 -7,3677 -7,2977 -7,2302 -7,2138 -7,2796 -7,4215 -7,5809 -7,6660 -7,6012 -7,3601 -6,9695 -6,4996 -6,0344 -5,6377 -5,3424 -5,1583 -5,0865 -5,1384 -5,3139 -5,5562 -5,7679 -5,8776 -5,8696 -5,7536 -5,5338 -5,2097 -4,7907 -4,3080 -3,8095 -3,3401 -2,9414 -2,6773 -2,6273 -2,8273 -3,2201 -3,6692 -4,0290 -4,2308 -4,3196 -4,4036 -4,5655 -4,8206 -5,1279 -5,4078 -5,5750 -5,5913 -5,4852 -5,3247 -5,1779 -5,0802 -5,0210 -4,9604 -4,8584 -4,6939 -4,4776 -4,2538 -4,0882 -4,0413 -4,1395 -4,3653 -4,6878 -5,1020 -5,6208 -6,2245 -6,8367 -7,3596 -7,7151 -7,8726 -7,8834 -7,8768 -7,9822 -8,2393 -8,5786 -8,8733 -9,0067 -8,9148 -8,6034 -8,1455 -7,6659 -7,3145 -7,2142 -7,3997 -7,8029 -8,3006
F7    1,3632 1,0290 0,7790 0,6048 0,4889 0,4115 0,3619 0,3481 0,3852 0,4816 0,6461 0,8830 1,1618 1,4166 1,5964 1,7032 1,7712 1,8253 1,8609 1,8449 1,7304 1,4639 0,9862 0,2706 -0,6168 -1,5234 -2,2904 -2,8133 -3,0397 -2,9515 -2,5762 -1,9990 -1,3348 -0,6850 -0,1285 0,2679 0,4516 0,4052 0,1680 -0,1668 -0,4876 -0,7123 -0,8179 -0,8302 -0,7808 -0,6819 -0,5558 -0,4713 -0,5154 -0,7278 -1,0676 -1,4338 -1,7200 -1,8643 -1,8656 -1,7731 -1,6547 -1,5488 -1,4341 -1,2597 -1,0046 -0,7055 -0,4369 -0,2714 -0,2461 -0,3562 -0,5780 -0,8858 -1,2366 -1,5555 -1,7655 -1,8362 -1,7887 -1,6590 -1,4726 -1,2561 -1,0628 -0,9679 -1,0240 -1,2221 -1,4982 -1,7847 -2,0543 -2,3231 -2,6336 -3,0212 -3,4595 -3,8328 -3,9856 -3,8155 -3,3322 -2,6493 -1,9307 -1,3230 -0,9091 -0,7041 -0,6734 -0,7561 -0,8849 -1,0007 -1,0674 -1,0829 -1,0702 -1,0666 -1,1165 -1,2462 -1,4346 -1,6328 -1,8145 -1,9908 -2,1803 -2,3865 -2,5978 -2,7956 -2,9584 -3,0674 -3,1152 -3,1200 -3,1229 -3,1530 -3,1950 -3,1966 -3,1036 -2,8871 -2,5535 -2,1412 -1,7144 -1,3482 -1,1110 -1,0565 -1,2156 -1,5844 -2,1299 -2,8078 -3,5618 -4,3151 -4,9821 -5,4938 -5,8115 -5,9291 -5,8653 -5,6545 -5,3466 -5,0034 -4,6802 -4,4120 -4,2080 -4,0489 -3,9038 -3,7615 -3,6247 -3,4689 -3,2394 -2,9096 -2,5233 -2,1581 -1,8565 -1,5965 -1,3239 -1,0096 -0,6773 -0,3735 -0,1214 0,0917 0,2962 0,5220 0,7805 1,0490 1,2785 1,4396 1,5571 1,6933 1,9019 2,2004 2,5663 2,9391 3,2279 3,3391 3,2272 2,9333 2,5702 2,2629 2,0817 2,0075 1,9644 1,8934 1,7864 1,6642 1,5594 1,5106 1,5453 1,6648 1,8426 2,0317 2,1865 2,2846 2,3274 2,3354 2,3551 2,4477 2,6475 2,9223 3,1831 3,3419 3,3541 3,2158 2,9550 2,6283 2,3054 2,0374 1,8319 1,6612 1,5020 1,3711 1,3208 1,3948 1,5861 1,8298 2,0289 2,0951 1,9894 1,7352 1,3997 1,0638 0,8008 0,6541 0,6225 0,6738 0,7753 0,9032 1,0263 1,1046 1,1295 1,1466 1,2139 1,3434 1,4822 1,5394 1,4375 1,1523 0,7177 0,2088 -0,2716 -0,6127 -0,7283 -0,5767 -0,1583 0,4727 1,1828 1,7801 2,0950 2,0598 1,7290 1,2414 0,7578 0,4044 0,2423 0,2651 0,4206 0,6499 0,9116 1,1742 1,3975 1,5262 1,5064 1,3147 0,9603 0,4640 -0,1331 -0,7467 -1,2675 -1,6114 -1,7497 -1,6992 -1,4891 -1,1433 -0,6881 -0,1628 0,3786 0,8690 1,2379 1,4360 1,4536 1,3211 1,0979 0,8537 0,6462 0,5081 0,4430 0,4200 0,3761 0,2504 0,0348 -0,2136 -0,4118 -0,5034 -0,4786 -0,3626 -0,2020 -0,0418 0,1128 0,3062 0,5736 0,8741 1,1029 1,1780 1,1073 0,9729 0,8613 0,8159 0,8483 0,9619 1,1427 1,3451 1,5091 1,5951 1,5962 1,5157 1,3576 1,1497 0,9506 0,8231 0,8135 0,9465 1,2106 1,5390 1,8305 2,0111 2,0760 2,0734 2,0559 2,0469 2,0310 1,9649 1,8020 1,5304 1,1958 0,8803 0,6591 0,5772 0,6516 0,8725 1,1969 1,5542 1,8703 2,0914 2,1902 2,1686 2,0614 1,9319 1,8456 1,8276 1,8474 1,8518 1,8047 1,6912 1,5099 1,2767 1,0228 0,7719 0,5306 0,3108 0,1445 0,0652 0,0970 0,2646 0,5791 1,0073 1,4767 1,9069 2,2289 2,3968 2,4003 2,2634 2,0313 1,7613 1,5078 1,2921 1,0849 0,8310 0,5042 0,1384 -0,2012 -0,4681 -0,6536 -0,7810 -0,8848 -0,9744 -1,0193 -0,9788 -0,8449 -0,6526 -0,4548 -0,2977 -0,2190 -0,2528 -0,4165 -0,6879 -1,0040 -1,2850 -1,4643 -1,5039 -1,3978 -1,1737 -0,8786 -0,5452 -0,1822 0,1893 0,5123 0,7301 0,8287 0,8382 0,8024 0,7466 0,6614 0,5213 0,3173 0,0664 -0,1987 -0,4391 -0,6220 -0,7434 -0,8394 -0,9636 -1,1494 -1,3999 -1,7003 -2,0168 -2,2872 -2,4441 -2,4491 -2,2908 -1,9685 -1,5006 -0,9277 -0,2960 0,3409 0,8991 1,2798 1,4201 1,3220 1,0411 0,6673 0,3079 0,0582 -0,0356 0,0117 0,1409 0,2628 0,2787 0,1269 -0,1792 -0,5590 -0,9101 -1,1616 -1,3093 -1,4086 -1,5160 -1,6297 -1,6937 -1,6573 -1,5170 -1,3136 -1,1081 -0,9595 -0,9111 -0,9750 -1,1185 -1,2716 -1,3615 -1,3493 -1,2417 -1,0704 -0,8653 -0,6561 -0,4894 -0,4271 -0,5206 -0,7824 -1,1823 -1,6627 -2,1539 -2,5846 -2,8922 -3,0348 -2,9955 -2,7900 -2,4855 -2,1992 -2,0471 -2,0832 -2,2843 -2,5788 -2,8858 -3,1371 -3,2794 -3,2813 -3,1506 -2,9333 -2,6914 -2,4867 -2,3720 -2,3763 -2,4949 -2,6939 -2,9290 -3,1613 -3,3607 -3,5154 -3,6392 -3,7545 -3,8628 -3,9463 -3,9961 -4,0234 -4,0406 -4,0506 -4,0614 -4,0910 -4,1516 -4,2403 -4,3355 -4,3908 -4,3464 -4,1583 -3,8190 -3,3642 -2,8675 -2,4159 -2,0750 -1,8772 -1,8292 -1,9201 -2,1313 -2,4266 -2,7322 -2,9574 -3,0412 -2,9722 -2,7737 -2,4776 -2,1097 -1,6917 -1,2540 -0,8368 -0,4777 -0,2157 -0,1090 -0,2152 -0,5395 -1,0125 -1,5148 -1,9257 -2,1791 -2,2955 -2,3549 -2,4332 -2,5619 -2,7264 -2,8733 -2,9380 -2,8901 -2,7529 -2,5839 -2,4443 -2,3681 -2,3467 -2,3439 -2,3230 -2,2633 -2,1645 -2,0422 -1,9209 -1,8286 -1,7870 -1,8063 -1,9024 -2,1143 -2,4794 -2,9741 -3,4948 -3,9113 -4,1337 -4,1468 -4,0206 -3,8854 -3,8610 -3,9885 -4,2198 -4,4564 -4,5941 -4,5590 -4,3326 -3,9625 -3,5558 -3,2525 -3,1700 -3,3412 -3,7034 -4,1470
