Fp1   1,6088 2,1487 2,4523 2,4959 2,3359 2,0999 1,9244 1,8654 1,8698 1,8496 1,7630 1,6230 1,4739 1,3679 1,3297 1,3391 1,3672 1,4185 1,5220 1,6862 1,8565 1,9164 1,7708 1,4311 0,9762 0,4703 -0,0417 -0,5282 -0,9814 -1,3693 -1,5862 -1,5096 -1,1141 -0,5119 0,0983 0,5010 0,5305 0,1359 -0,6132 -1,5799 -2,6064 -3,5273 -4,1882 -4,4890 -4,4229 -4,0784 -3,5970 -3,1191 -2,7625 -2,6021 -2,6166 -2,6756 -2,6210 -2,3578 -1,8767 -1,2508 -0,6407 -0,2434 -0,1556 -0,2960 -0,5030 -0,6935 -0,9074 -1,2274 -1,6856 -2,2495 -2,8798 -3,5528 -4,2157 -4,7627 -5,0843 -5,1348 -4,9384 -4,5464 -4,0322 -3,5209 -3,1689 -3,0873 -3,2845 -3,6706 -4,0958 -4,3892 -4,4044 -4,0711 -3,4213 -2,5781 -1,7253 -1,0629 -0,7522 -0,8602 -1,3158 -1,9287 -2,4805 -2,8153 -2,8690 -2,6766 -2,3867 -2,2002 -2,2398 -2,4951 -2,8694 -3,2348 -3,4760 -3,5319 -3,4095 -3,1704 -2,9077 -2,7056 -2,5944 -2,5527 -2,5524 -2,5684 -2,5437 -2,3994 -2,1107 -1,7468 -1,4181 -1,2020 -1,1228 -1,1721 -1,3342 -1,5973 -1,9388 -2,3125 -2,6682 -2,9520 -3,0781 -2,9737 -2,6763 -2,3346 -2,1102 -2,1017 -2,3203 -2,6985 -3,1527 -3,6667 -4,2972 -5,0944 -6,0392 -7,0534 -8,0373 -8,8966 -9,5542 -9,9432 -10,0038 -9,7095 -9,0938 -8,2478 -7,2896 -6,3314 -5,4678 -4,7868 -4,3683 -4,2568 -4,4368 -4,8371 -5,3731 -5,9834 -6,6190 -7,2084 -7,6594 -7,8846 -7,8091 -7,3739 -6,5783 -5,5231 -4,3828 -3,3311 -2,4712 -1,7981 -1,2348 -0,7360 -0,3604 -0,2420 -0,4801 -1,0299 -1,6989 -2,2619 -2,5811 -2,6441 -2,5138 -2,2343 -1,7879 -1,1396 -0,2966 0,6583 1,5540 2,1763 2,3760 2,1434 1,5811 0,8282 0,0235 -0,6954 -1,2146 -1,4899 -1,5486 -1,4247 -1,0949 -0,5024 0,3407 1,2845 2,0998 2,6101 2,7658 2,6231 2,3003 1,9425 1,6800 1,6008 1,7513 2,1273 2,6451 3,1316 3,3867 3,2974 2,9057 2,3628 1,8162 1,3131 0,7891 0,1767 -0,4548 -0,8974 -0,9654 -0,6372 -0,0375 0,6821 1,4146 2,0659 2,5039 2,5806 2,2231 1,5061 0,6273 -0,1829 -0,7410 -0,9606 -0,8770 -0,6383 -0,4346 -0,3858 -0,5034 -0,7606 -1,1421 -1,6074 -2,0530 -2,3445 -2,3898 -2,1797 -1,7806 -1,3215 -0,9661 -0,8311 -0,9177 -1,1488 -1,4678 -1,8801 -2,4027 -3,0022 -3,5874 -4,0423 -4,2747 -4,2726 -4,1198 -3,9310 -3,7737 -3,6617 -3,5899 -3,5523 -3,5399 -3,5235 -3,4383 -3,2172 -2,8573 -2,4424 -2,0891 -1,8836 -1,8583 -1,9909 -2,2047 -2,3872 -2,4502 -2,3889 -2,2775 -2,2137 -2,2480 -2,3322 -2,3389 -2,1467 -1,7195 -1,1355 -0,5612 -0,1612 0,0111 0,0340 0,0280 0,0610 0,1093 0,0802 -0,0912 -0,3262 -0,4176 -0,1961 0,3385 1,0348 1,6893 2,1416 2,3360 2,3091 2,1168 1,7867 1,3393 0,8390 0,3910 0,0679 -0,1309 -0,2184 -0,1593 0,0851 0,4779 0,9138 1,2859 1,5171 1,5705 1,4884 1,3873 1,3538 1,3765 1,4097 1,4648 1,6184 1,9442 2,4463 3,0342 3,5395 3,7894 3,7225 3,4421 3,1307 2,9123 2,8014 2,7474 2,6906 2,5859 2,4151 2,2105 2,0724 2,1478 2,5578 3,3089 4,2536 5,1289 5,6556 5,6689 5,1961 4,4093 3,5126 2,6767 2,0276 1,6230 1,4201 1,3091 1,2177 1,1681 1,2177 1,3787 1,6174 1,9075 2,2735 2,7844 3,4799 4,2945 5,0681 5,6353 5,9035 5,8758 5,6331 5,2801 4,8859 4,4849 4,1078 3,7839 3,5164 3,2631 2,9568 2,5649 2,1327 1,7641 1,5495 1,5140 1,6378 1,8821 2,1846 2,4895 2,7883 3,0790 3,2975 3,3582 3,2728 3,1716 3,1797 3,2970 3,4012 3,3327 2,9996 2,4517 1,8433 1,3145 0,9268 0,6871 0,5916 0,6480 0,8735 1,2711 1,8052 2,4057 2,9807 3,4262 3,6442 3,5560 3,1095 2,3199 1,3269 0,3836 -0,2400 -0,3625 0,0550 0,9111 2,0039 3,0867 3,9267 4,3708 4,3981 4,0908 3,5438 2,8256 2,0258 1,2970 0,8159 0,6789 0,8289 1,1030 1,3681 1,6078 1,8696 2,1311 2,2581 2,1219 1,7204 1,1804 0,6982 0,4608 0,5409 0,8339 1,1035 1,1071 0,7348 0,0837 -0,6099 -1,1319 -1,3831 -1,3451 -1,0245 -0,4505 0,3019 1,1098 1,8292 2,3294 2,5252 2,4077 2,0624 1,6223 1,1786 0,7506 0,3269 -0,1039 -0,5435 -0,9716 -1,3537 -1,6799 -1,9871 -2,3097 -2,6136 -2,8207 -2,9049 -2,9215 -2,9531 -3,0644 -3,2920 -3,6380 -4,0562 -4,4674 -4,8101 -5,0527 -5,1557 -5,0751 -4,8253 -4,4920 -4,1531 -3,8173 -3,4653 -3,1226 -2,8654 -2,7627 -2,8320 -3,0506 -3,3899 -3,8214 -4,3053 -4,7878 -5,2056 -5,4989 -5,6260 -5,5734 -5,3577 -5,0143 -4,5927 -4,1697 -3,8295 -3,6076 -3,4632 -3,3069 -3,0568 -2,6762 -2,1799 -1,6307 -1,1297 -0,7817 -0,6356 -0,6514 -0,7450 -0,8684 -1,0341 -1,2807 -1,6336 -2,0816 -2,5781 -3,0786 -3,5776 -4,0985 -4,6573 -5,2423 -5,8091 -6,2914 -6,6367 -6,8386 -6,9322 -6,9538 -6,9073 -6,7744 -6,5411 -6,2076 -5,7951 -5,3540 -4,9656 -4,7250 -4,6854 -4,7981 -4,9254 -4,9272 -4,7353 -4,3596 -3,8559 -3,3067 -2,8071 -2,4443 -2,2864 -2,3688 -2,6621 -3,0743 -3,5166 -3,9455 -4,3196 -4,5587 -4,5992 -4,4796 -4,3324 -4,2838 -4,3575 -4,4583 -4,4417 -4,2181 -3,8144 -3,3566 -2,9965 -2,8221 -2,8007 -2,8121 -2,7626 -2,6634 -2,5966 -2,6306 -2,7605 -2,8969 -2,9157 -2,7423 -2,3949 -1,9607 -1,5477
Fz    2,5522 2,7905 2,9070 2,8720 2,7072 2,4841 2,2787 2,1141 1,9480 1,7217 1,4140 1,0543 0,7049 0,4312 0,2699 0,2193 0,2675 0,4166 0,6710 1,0045 1,3418 1,5670 1,5756 1,3340 0,8846 0,3058 -0,3192 -0,9241 -1,4679 -1,9023 -2,1434 -2,1093 -1,7911 -1,2746 -0,7018 -0,2268 0,0178 -0,0400 -0,3912 -0,9610 -1,6347 -2,2815 -2,7837 -3,0655 -3,1001 -2,9088 -2,5557 -2,1296 -1,7246 -1,4184 -1,2385 -1,1515 -1,1004 -1,0425 -0,9518 -0,8262 -0,7138 -0,7004 -0,8338 -1,0683 -1,3025 -1,4628 -1,5444 -1,5911 -1,6468 -1,7354 -1,8856 -2,1364 -2,4895 -2,8763 -3,1978 -3,3918 -3,4467 -3,3736 -3,2093 -3,0410 -2,9873 -3,1325 -3,4779 -3,9472 -4,4192 -4,7593 -4,8515 -4,6358 -4,1274 -3,4131 -2,6279 -1,9200 -1,4145 -1,1803 -1,2019 -1,3820 -1,5932 -1,7441 -1,8052 -1,8019 -1,8082 -1,9079 -2,1229 -2,3982 -2,6600 -2,8583 -2,9671 -2,9837 -2,9335 -2,8685 -2,8492 -2,9098 -3,0333 -3,1669 -3,2629 -3,2900 -3,2162 -3,0176 -2,7147 -2,3840 -2,1141 -1,9522 -1,8966 -1,9252 -2,0176 -2,1559 -2,3182 -2,4822 -2,6366 -2,7705 -2,8491 -2,8337 -2,7335 -2,6124 -2,5436 -2,5677 -2,6792 -2,8407 -3,0257 -3,2585 -3,5954 -4,0663 -4,6478 -5,2816 -5,9004 -6,4440 -6,8687 -7,1452 -7,2551 -7,1944 -6,9800 -6,6437 -6,2170 -5,7269 -5,2145 -4,7542 -4,4410 -4,3487 -4,4935 -4,8251 -5,2525 -5,6855 -6,0561 -6,3092 -6,3917 -6,2619 -5,9026 -5,3227 -4,5590 -3,6846 -2,8033 -2,0242 -1,4251 -1,0218 -0,7763 -0,6481 -0,6366 -0,7702 -1,0576 -1,4442 -1,8127 -2,0332 -2,0237 -1,7828 -1,3736 -0,8670 -0,3047 0,2837 0,8584 1,3623 1,7145 1,8241 1,6421 1,1982 0,5785 -0,1179 -0,7922 -1,3419 -1,6763 -1,7457 -1,5557 -1,1514 -0,5826 0,1090 0,8626 1,5760 2,1381 2,4906 2,6481 2,6702 2,6309 2,5961 2,6031 2,6652 2,7930 2,9896 3,2190 3,3921 3,3986 3,1688 2,7227 2,1678 1,6369 1,2005 0,8375 0,5110 0,2689 0,2370 0,5077 1,0520 1,7447 2,4517 3,0806 3,5592 3,8008 3,7159 3,2691 2,5277 1,6492 0,8226 0,2118 -0,0920 -0,1043 0,0576 0,2321 0,2955 0,1981 -0,0652 -0,4807 -0,9988 -1,5241 -1,9533 -2,2242 -2,3236 -2,2690 -2,1038 -1,8978 -1,7257 -1,6393 -1,6662 -1,8291 -2,1490 -2,6211 -3,1899 -3,7550 -4,2051 -4,4642 -4,5348 -4,4977 -4,4486 -4,4300 -4,4292 -4,4185 -4,3822 -4,3181 -4,2270 -4,1011 -3,9298 -3,7262 -3,5348 -3,4028 -3,3513 -3,3694 -3,4232 -3,4640 -3,4436 -3,3494 -3,2291 -3,1678 -3,2327 -3,4250 -3,6672 -3,8383 -3,8370 -3,6350 -3,2952 -2,9484 -2,7267 -2,6862 -2,7894 -2,9668 -3,1776 -3,4181 -3,6990 -4,0121 -4,2950 -4,4492 -4,4131 -4,2032 -3,8868 -3,5398 -3,2204 -2,9523 -2,7336 -2,5690 -2,4927 -2,5525 -2,7590 -3,0599 -3,3777 -3,6539 -3,8466 -3,9191 -3,8616 -3,7133 -3,5416 -3,4062 -3,3449 -3,3690 -3,4458 -3,5098 -3,5212 -3,4931 -3,4467 -3,3667 -3,2092 -2,9383 -2,5505 -2,0823 -1,6096 -1,2212 -0,9637 -0,8122 -0,7084 -0,6208 -0,5607 -0,5593 -0,6427 -0,8192 -1,0738 -1,3645 -1,6211 -1,7558 -1,6987 -1,4440 -1,0680 -0,7037 -0,4886 -0,5039 -0,7345 -1,0934 -1,4844 -1,8365 -2,1022 -2,2612 -2,3298 -2,3445 -2,3222 -2,2466 -2,1055 -1,9295 -1,7774 -1,6868 -1,6362 -1,5456 -1,3306 -0,9723 -0,5408 -0,1482 0,1166 0,2201 0,1751 0,0060 -0,2758 -0,6579 -1,1057 -1,5679 -1,9977 -2,3795 -2,7321 -3,0748 -3,3881 -3,6191 -3,7270 -3,7121 -3,6005 -3,4313 -3,2622 -3,1472 -3,0990 -3,1024 -3,1629 -3,3059 -3,5256 -3,7759 -4,0251 -4,2934 -4,6275 -5,0624 -5,5936 -6,1593 -6,6688 -7,0601 -7,3188 -7,4507 -7,4542 -7,3195 -7,0368 -6,6102 -6,0768 -5,5075 -4,9800 -4,5516 -4,2598 -4,1448 -4,2581 -4,6235 -5,1815 -5,7858 -6,2664 -6,4971 -6,4237 -6,0710 -5,5444 -5,0098 -4,6397 -4,5403 -4,7049 -5,0407 -5,4484 -5,8674 -6,2539 -6,5469 -6,6792 -6,6221 -6,4159 -6,1527 -5,9145 -5,7197 -5,5423 -5,3914 -5,3433 -5,4780 -5,8040 -6,2432 -6,6570 -6,9071 -6,9337 -6,7968 -6,6409 -6,6122 -6,7756 -7,0771 -7,3834 -7,5736 -7,5936 -7,4321 -7,0884 -6,5812 -5,9705 -5,3516 -4,8356 -4,5304 -4,5116 -4,7756 -5,2215 -5,7090 -6,1524 -6,5475 -6,9201 -7,2862 -7,6561 -8,0340 -8,4006 -8,7220 -8,9812 -9,1742 -9,2780 -9,2622 -9,1417 -8,9852 -8,8663 -8,8294 -8,8916 -9,0517 -9,2856 -9,5508 -9,8116 -10,0456 -10,2173 -10,2787 -10,2104 -10,0410 -9,8093 -9,5289 -9,2153 -8,9320 -8,7780 -8,8220 -9,0614 -9,4427 -9,9015 -10,3832 -10,8457 -11,2569 -11,5842 -11,7871 -11,8296 -11,7051 -11,4459 -11,1023 -10,7273 -10,3851 -10,1378 -9,9977 -9,9082 -9,7836 -9,5662 -9,2485 -8,8598 -8,4484 -8,0748 -7,8016 -7,6651 -7,6467 -7,6862 -7,7281 -7,7482 -7,7513 -7,7587 -7,7922 -7,8661 -7,9915 -8,1808 -8,4439 -8,7838 -9,1932 -9,6405 -10,0634 -10,3953 -10,6061 -10,7099 -10,7343 -10,6886 -10,5701 -10,3946 -10,2028 -10,0367 -9,9158 -9,8383 -9,7964 -9,7727 -9,7235 -9,5916 -9,3367 -8,9512 -8,4609 -7,9216 -7,4148 -7,0286 -6,8222 -6,8081 -6,9662 -7,2600 -7,6432 -8,0693 -8,4971 -8,8744 -9,1338 -9,2310 -9,1917 -9,1056 -9,0650 -9,1015 -9,1660 -9,1634 -9,0159 -8,7113 -8,3117 -7,9196 -7,6165 -7,4159 -7,2760 -7,1622 -7,0872 -7,0859 -7,1697 -7,3082 -7,4416 -7,5124 -7,5002 -7,4265 -7,3234 -7,2120
F3    1,8802 2,0972 2,1933 2,1326 1,9360 1,6854 1,4742 1,3395 1,2412 1,1139 0,9269 0,6953 0,4617 0,2754 0,1699 0,1521 0,2208 0,3867 0,6567 1,0011 1,3364 1,5389 1,5067 1,2278 0,7715 0,2304 -0,3099 -0,7881 -1,1776 -1,4500 -1,5359 -1,3616 -0,9274 -0,3333 0,2650 0,7059 0,8623 0,6797 0,1894 -0,5159 -1,3108 -2,0570 -2,6339 -2,9690 -3,0435 -2,8864 -2,5660 -2,1720 -1,7978 -1,5180 -1,3523 -1,2589 -1,1781 -1,0726 -0,9273 -0,7513 -0,6020 -0,5722 -0,7099 -0,9594 -1,2097 -1,3897 -1,5042 -1,5983 -1,7021 -1,8197 -1,9677 -2,1846 -2,4793 -2,7963 -3,0555 -3,2159 -3,2787 -3,2523 -3,1595 -3,0727 -3,1013 -3,3263 -3,7484 -4,2889 -4,8214 -5,2042 -5,3170 -5,1002 -4,5737 -3,8322 -3,0220 -2,3030 -1,8069 -1,6010 -1,6613 -1,8800 -2,1222 -2,2933 -2,3612 -2,3507 -2,3415 -2,4285 -2,6427 -2,9315 -3,2185 -3,4482 -3,5896 -3,6345 -3,6023 -3,5415 -3,5145 -3,5619 -3,6699 -3,7812 -3,8396 -3,8098 -3,6618 -3,3767 -2,9836 -2,5697 -2,2325 -2,0231 -1,9374 -1,9492 -2,0371 -2,1855 -2,3692 -2,5559 -2,7280 -2,8775 -2,9742 -2,9808 -2,9119 -2,8438 -2,8568 -2,9832 -3,1955 -3,4292 -3,6394 -3,8515 -4,1435 -4,5743 -5,1420 -5,7928 -6,4470 -7,0277 -7,4796 -7,7678 -7,8710 -7,7873 -7,5409 -7,1705 -6,7079 -6,1728 -5,5977 -5,0556 -4,6501 -4,4687 -4,5405 -4,8242 -5,2326 -5,6718 -6,0569 -6,3074 -6,3565 -6,1721 -5,7581 -5,1350 -4,3353 -3,4229 -2,4990 -1,6764 -1,0317 -0,5656 -0,2199 0,0513 0,2273 0,2398 0,0487 -0,2910 -0,6338 -0,8207 -0,7624 -0,4733 -0,0402 0,4504 0,9561 1,4613 1,9478 2,3786 2,6823 2,7678 2,5828 2,1528 1,5553 0,8777 0,2116 -0,3397 -0,6817 -0,7695 -0,6270 -0,3153 0,1215 0,6691 1,3007 1,9408 2,4922 2,8928 3,1373 3,2558 3,2983 3,3275 3,4001 3,5502 3,7889 4,0974 4,4085 4,6066 4,5695 4,2346 3,6416 2,9151 2,1922 1,5389 0,9305 0,3356 -0,1773 -0,4480 -0,3525 0,0936 0,7628 1,5137 2,2441 2,8666 3,2740 3,3565 3,0634 2,4549 1,6880 0,9529 0,4105 0,1457 0,1408 0,2855 0,4327 0,4766 0,3834 0,1541 -0,2027 -0,6419 -1,0647 -1,3614 -1,4700 -1,3903 -1,1633 -0,8563 -0,5584 -0,3512 -0,2756 -0,3366 -0,5391 -0,8977 -1,4043 -1,9971 -2,5702 -3,0103 -3,2427 -3,2719 -3,1852 -3,0903 -3,0432 -3,0387 -3,0469 -3,0432 -3,0163 -2,9609 -2,8648 -2,7170 -2,5329 -2,3589 -2,2410 -2,1930 -2,1951 -2,2105 -2,1964 -2,1128 -1,9538 -1,7729 -1,6571 -1,6706 -1,8098 -1,9953 -2,1110 -2,0650 -1,8353 -1,4842 -1,1379 -0,9239 -0,8902 -0,9889 -1,1404 -1,3019 -1,4842 -1,7290 -2,0544 -2,3995 -2,6422 -2,6902 -2,5414 -2,2644 -1,9521 -1,6821 -1,4856 -1,3508 -1,2676 -1,2627 -1,3812 -1,6274 -1,9413 -2,2449 -2,4901 -2,6476 -2,6842 -2,5828 -2,3722 -2,1152 -1,8743 -1,6961 -1,6039 -1,5741 -1,5468 -1,4887 -1,4234 -1,3805 -1,3437 -1,2597 -1,0830 -0,8088 -0,4813 -0,1850 -0,0092 0,0120 -0,0732 -0,1808 -0,2653 -0,3408 -0,4468 -0,6072 -0,8145 -1,0369 -1,2293 -1,3363 -1,2942 -1,0536 -0,6195 -0,0734 0,4426 0,7736 0,8197 0,5813 0,1385 -0,4073 -0,9631 -1,4508 -1,8270 -2,1038 -2,3250 -2,5067 -2,6159 -2,6178 -2,5285 -2,4063 -2,3008 -2,2034 -2,0435 -1,7442 -1,2937 -0,7643 -0,2675 0,1059 0,3156 0,3689 0,2900 0,0908 -0,2184 -0,6072 -1,0262 -1,4297 -1,8008 -2,1550 -2,5092 -2,8429 -3,0986 -3,2309 -3,2389 -3,1449 -2,9755 -2,7743 -2,5869 -2,4257 -2,2859 -2,1932 -2,1936 -2,2902 -2,4320 -2,5818 -2,7641 -3,0396 -3,4584 -4,0241 -4,6707 -5,2876 -5,7839 -6,1192 -6,2888 -6,3006 -6,1647 -5,8905 -5,4910 -4,9942 -4,4454 -3,8970 -3,3980 -2,9997 -2,7664 -2,7715 -3,0475 -3,5263 -4,0463 -4,4305 -4,5561 -4,3781 -3,9342 -3,3449 -2,7878 -2,4398 -2,4041 -2,6640 -3,1135 -3,6453 -4,1964 -4,7171 -5,1346 -5,3691 -5,3849 -5,2256 -4,9946 -4,7835 -4,6120 -4,4525 -4,3180 -4,2940 -4,4655 -4,8362 -5,3153 -5,7494 -5,9890 -5,9739 -5,7771 -5,5649 -5,5052 -5,6745 -6,0136 -6,3712 -6,6102 -6,6700 -6,5416 -6,2294 -5,7551 -5,1771 -4,5896 -4,1036 -3,8240 -3,8212 -4,0907 -4,5362 -5,0232 -5,4669 -5,8550 -6,1991 -6,5034 -6,7718 -7,0106 -7,2139 -7,3712 -7,4923 -7,5947 -7,6636 -7,6614 -7,5878 -7,4965 -7,4488 -7,4810 -7,6097 -7,8367 -8,1369 -8,4615 -8,7666 -9,0216 -9,1846 -9,2038 -9,0601 -8,7845 -8,4194 -7,9835 -7,4993 -7,0373 -6,7017 -6,5672 -6,6369 -6,8586 -7,1643 -7,4971 -7,8222 -8,1273 -8,4078 -8,6492 -8,8270 -8,9253 -8,9489 -8,9127 -8,8343 -8,7476 -8,6940 -8,6777 -8,6458 -8,5247 -8,2701 -7,8849 -7,4066 -6,8941 -6,4222 -6,0675 -5,8745 -5,8269 -5,8668 -5,9404 -6,0175 -6,0850 -6,1452 -6,2125 -6,3008 -6,4197 -6,5831 -6,8119 -7,1265 -7,5367 -8,0242 -8,5346 -9,0018 -9,3841 -9,6723 -9,8648 -9,9455 -9,8976 -9,7368 -9,5159 -9,2960 -9,1184 -9,0019 -8,9571 -8,9767 -9,0130 -8,9904 -8,8465 -8,5617 -8,1605 -7,6986 -7,2536 -6,9126 -6,7427 -6,7722 -6,9931 -7,3670 -7,8318 -8,3257 -8,8003 -9,1981 -9,4389 -9,4663 -9,3098 -9,0812 -8,9019 -8,8249 -8,8066 -8,7440 -8,5470 -8,1968 -7,7591 -7,3458 -7,0465 -6,8744 -6,7778 -6,7111 -6,6825 -6,7311 -6,8757 -7,0868 -7,2935 -7,4180 -7,4223 -7,3227 -7,1590 -6,9656
F7    1,0734 1,3161 1,4546 1,4487 1,3156 1,1351 1,0015 0,9556 0,9662 0,9724 0,9341 0,8468 0,7336 0,6278 0,5498 0,5006 0,4850 0,5297 0,6654 0,8895 1,1433 1,3201 1,3215 1,1226 0,7765 0,3697 -0,0184 -0,3429 -0,5955 -0,7629 -0,7982 -0,6615 -0,3781 -0,0385 0,2522 0,4072 0,3669 0,1137 -0,3219 -0,8775 -1,4738 -2,0226 -2,4425 -2,6754 -2,6954 -2,5177 -2,2041 -1,8472 -1,5456 -1,3756 -1,3573 -1,4441 -1,5590 -1,6341 -1,6255 -1,5249 -1,3789 -1,2757 -1,2788 -1,3736 -1,4933 -1,5836 -1,6336 -1,6582 -1,6665 -1,6633 -1,6816 -1,7811 -1,9877 -2,2530 -2,4900 -2,6402 -2,6921 -2,6593 -2,5799 -2,5317 -2,6101 -2,8727 -3,3045 -3,8247 -4,3161 -4,6561 -4,7466 -4,5382 -4,0422 -3,3327 -2,5367 -1,8025 -1,2583 -0,9739 -0,9375 -1,0637 -1,2397 -1,3798 -1,4504 -1,4719 -1,5153 -1,6629 -1,9395 -2,2935 -2,6450 -2,9280 -3,1020 -3,1567 -3,1165 -3,0342 -2,9725 -2,9675 -3,0041 -3,0348 -3,0225 -2,9489 -2,7917 -2,5281 -2,1740 -1,7999 -1,4951 -1,3135 -1,2557 -1,2924 -1,3936 -1,5338 -1,6838 -1,8163 -1,9223 -2,0024 -2,0401 -2,0131 -1,9379 -1,8744 -1,8803 -1,9723 -2,1212 -2,2720 -2,3902 -2,5047 -2,6923 -3,0162 -3,4847 -4,0508 -4,6371 -5,1645 -5,5702 -5,8083 -5,8509 -5,6986 -5,3771 -4,9208 -4,3586 -3,7197 -3,0549 -2,4497 -2,0027 -1,7844 -1,8100 -2,0379 -2,3914 -2,7894 -3,1645 -3,4585 -3,6221 -3,6237 -3,4504 -3,0999 -2,5865 -1,9580 -1,2915 -0,6647 -0,1222 0,3409 0,7536 1,1150 1,3708 1,4448 1,3013 0,9917 0,6419 0,3855 0,2997 0,3833 0,5796 0,8295 1,1044 1,3955 1,6955 1,9863 2,2239 2,3501 2,3373 2,2057 1,9877 1,7007 1,3646 1,0269 0,7533 0,5989 0,5897 0,7290 1,0151 1,4375 1,9492 2,4543 2,8468 3,0708 3,1427 3,1246 3,0888 3,0926 3,1623 3,2989 3,4970 3,7424 3,9879 4,1484 4,1347 3,8985 3,4595 2,9005 2,3187 1,7564 1,1842 0,5810 0,0235 -0,3304 -0,3577 -0,0597 0,4557 1,0547 1,6264 2,0750 2,3055 2,2411 1,8623 1,2330 0,4865 -0,2213 -0,7565 -1,0454 -1,1012 -1,0209 -0,9363 -0,9418 -1,0622 -1,2808 -1,5688 -1,8751 -2,1206 -2,2346 -2,1920 -2,0077 -1,7145 -1,3651 -1,0402 -0,8191 -0,7430 -0,8188 -1,0469 -1,4247 -1,9202 -2,4528 -2,9087 -3,1811 -3,2151 -3,0398 -2,7591 -2,4840 -2,2687 -2,1102 -1,9846 -1,8720 -1,7649 -1,6610 -1,5512 -1,4231 -1,2817 -1,1564 -1,0791 -1,0604 -1,0878 -1,1358 -1,1694 -1,1506 -1,0685 -0,9649 -0,9131 -0,9653 -1,1074 -1,2514 -1,2761 -1,0936 -0,6965 -0,1668 0,3496 0,7090 0,8522 0,8238 0,7093 0,5671 0,4103 0,2220 -0,0055 -0,2269 -0,3528 -0,3193 -0,1337 0,1468 0,4512 0,7173 0,9085 1,0134 1,0220 0,9089 0,6536 0,2835 -0,1199 -0,4728 -0,7322 -0,8810 -0,9042 -0,8033 -0,6158 -0,3993 -0,2022 -0,0560 0,0263 0,0645 0,1055 0,1749 0,2557 0,3272 0,4025 0,5182 0,7022 0,9554 1,2456 1,5087 1,6732 1,7092 1,6554 1,5831 1,5299 1,4783 1,3875 1,2317 1,0158 0,7670 0,5210 0,3227 0,2337 0,3119 0,5710 0,9565 1,3531 1,6176 1,6434 1,4202 1,0282 0,5767 0,1556 -0,1776 -0,4034 -0,5416 -0,6253 -0,6630 -0,6324 -0,5213 -0,3624 -0,2167 -0,1238 -0,0664 0,0238 0,2155 0,5188 0,8711 1,1805 1,3834 1,4711 1,4791 1,4475 1,3883 1,2916 1,1510 0,9728 0,7683 0,5391 0,2769 -0,0114 -0,2833 -0,4743 -0,5411 -0,4886 -0,3518 -0,1732 -0,0033 0,1172 0,1860 0,2241 0,2339 0,2075 0,1703 0,1753 0,2400 0,3143 0,3162 0,1796 -0,1164 -0,5314 -0,9845 -1,4038 -1,7477 -1,9883 -2,0943 -2,0393 -1,8171 -1,4518 -0,9952 -0,5157 -0,0821 0,2516 0,4516 0,4912 0,3394 -0,0189 -0,5377 -1,0971 -1,5486 -1,7722 -1,7081 -1,3716 -0,8602 -0,3303 0,0589 0,2118 0,1360 -0,0859 -0,3690 -0,6582 -0,9052 -1,0493 -1,0388 -0,8742 -0,6248 -0,3937 -0,2521 -0,2018 -0,2029 -0,2422 -0,3609 -0,6047 -0,9680 -1,3864 -1,7566 -1,9789 -2,0177 -1,9320 -1,8440 -1,8747 -2,0775 -2,4055 -2,7424 -2,9759 -3,0438 -2,9216 -2,6027 -2,1065 -1,4940 -0,8630 -0,3278 0,0039 0,0636 -0,1412 -0,5217 -0,9605 -1,3794 -1,7553 -2,0878 -2,3791 -2,6328 -2,8461 -3,0047 -3,0992 -3,1458 -3,1715 -3,1842 -3,1799 -3,1728 -3,1923 -3,2567 -3,3726 -3,5476 -3,7856 -4,0699 -4,3682 -4,6604 -4,9394 -5,1757 -5,3103 -5,2973 -5,1338 -4,8381 -4,4236 -3,9211 -3,4131 -3,0107 -2,7861 -2,7393 -2,8247 -2,9906 -3,1995 -3,4334 -3,6857 -3,9402 -4,1584 -4,2945 -4,3273 -4,2761 -4,1795 -4,0740 -4,0024 -4,0086 -4,1006 -4,2281 -4,3079 -4,2709 -4,0915 -3,7878 -3,4096 -3,0287 -2,7245 -2,5499 -2,4972 -2,5106 -2,5316 -2,5249 -2,4832 -2,4245 -2,3761 -2,3579 -2,3818 -2,4590 -2,6038 -2,8328 -3,1549 -3,5501 -3,9630 -4,3354 -4,6391 -4,8746 -5,0413 -5,1202 -5,0939 -4,9789 -4,8251 -4,6876 -4,5963 -4,5519 -4,5452 -4,5580 -4,5450 -4,4481 -4,2382 -3,9357 -3,5925 -3,2641 -3,0046 -2,8706 -2,8987 -3,0814 -3,3700 -3,7013 -4,0275 -4,3313 -4,6096 -4,8401 -4,9726 -4,9673 -4,8396 -4,6591 -4,5038 -4,4081 -4,3426 -4,2376 -4,0364 -3,7418 -3,4227 -3,1771 -3,0738 -3,1073 -3,2077 -3,2989 -3,3485 -3,3694 -3,3951 -3,4515 -3,5337 -3,6066 -3,6338 -3,6018 -3,5155 -3,3863
