Fp1   -2,4114 -2,2973 -2,1258 -1,9258 -1,7365 -1,5903 -1,5037 -1,4775 -1,5027 -1,5726 -1,6911 -1,8644 -2,0800 -2,2989 -2,4719 -2,5634 -2,5651 -2,4903 -2,3560 -2,1734 -1,9586 -1,7447 -1,5679 -1,4394 -1,3375 -1,2293 -1,0958 -0,9359 -0,7496 -0,5261 -0,2577 0,0429 0,3518 0,6576 0,9682 1,2956 1,6449 2,0206 2,4346 2,8940 3,3820 3,8542 4,2532 4,5271 4,6430 4,5970 4,4185 4,1575 3,8577 3,5401 3,2110 2,8789 2,5601 2,2740 2,0356 1,8460 1,6894 1,5456 1,4073 1,2815 1,1786 1,1021 1,0432 0,9802 0,8854 0,7369 0,5282 0,2761 0,0224 -0,1802 -0,2889 -0,2856 -0,1869 -0,0377 0,1179 0,2638 0,4065 0,5508 0,6914 0,8233 0,9468 1,0622 1,1651 1,2474 1,3036 1,3423 1,3893 1,4728 1,6083 1,7973 2,0310 2,2882 2,5374 2,7504 2,9142 3,0283 3,0927 3,1005 3,0414 2,9078 2,6939 2,3923 1,9975 1,5140 0,9565 0,3442 -0,3032 -0,9745 -1,6709 -2,4012 -3,1684 -3,9579 -4,7360 -5,4628 -6,1073 -6,6495 -7,0756 -7,3754 -7,5461 -7,5967 -7,5424 -7,3930 -7,1508 -6,8256 -6,4400 -6,0145 -5,5561 -5,0712 -4,5802 -4,1074 -3,6579 -3,2145 -2,7566 -2,2650 -1,7160 -1,0936 -0,4121 0,2836 0,9483 1,5675 2,1596 2,7525 3,3577 3,9631 4,5461 5,0856 5,5588 5,9392 6,2066 6,3528 6,3774 6,2873 6,0998 5,8306 5,4814 5,0529 4,5643 4,0551 3,5711 3,1520 2,8256 2,6060 2,4872 2,4368 2,4081 2,3618 2,2775 2,1521 1,9863 1,7743 1,5082 1,1942 0,8601 0,5428 0,2676 0,0424 -0,1335 -0,2572 -0,3154 -0,2914 -0,1816 -0,0032 0,2132 0,4338 0,6311 0,7986 0,9538 1,1195 1,3018 1,4884 1,6643 1,8168 1,9330 2,0036 2,0337 2,0417 2,0475 2,0601 2,0747 2,0798 2,0621 2,0091 1,9145 1,7822 1,6223 1,4468 1,2668 1,0804 0,8644 0,5876 0,2335 -0,1906 -0,6563 -1,1192 -1,5334 -1,8744 -2,1456 -2,3614 -2,5304 -2,6506 -2,7153 -2,7242 -2,6960 -2,6665 -2,6696 -2,7171 -2,7995 -2,8998 -3,0022 -3,0889 -3,1382 -3,1334 -3,0725 -2,9630 -2,8132 -2,6305 -2,4220 -2,1907 -1,9347 -1,6533 -1,3530 -1,0499 -0,7595 -0,4819 -0,1988 0,1108 0,4531 0,8140 1,1644 1,4712 1,7059 1,8486 1,8960 1,8698 1,8091 1,7465 1,6927 1,6444 1,5997 1,5641 1,5444 1,5369 1,5211 1,4716 1,3778 1,2517 1,1190 1,0047 0,9274 0,8998 0,9202 0,9635 0,9940 0,9895 0,9506 0,8938 0,8433 0,8203 0,8268 0,8435 0,8479 0,8313 0,7993 0,7695 0,7680 0,8187 0,9290 1,0887 1,2794 1,4826 1,6823 1,8604 1,9906 2,0435 2,0023 1,8740 1,6890 1,4923 1,3267 1,2152 1,1543 1,1259 1,1157 1,1203 1,1380 1,1621 1,1863 1,2133 1,2553 1,3288 1,4500 1,6284 1,8588 2,1184 2,3718 2,5787 2,7072 2,7542 2,7610 2,7962 2,9126 3,1112 3,3403 3,5279 3,6230 3,6135 3,5197 3,3755 3,2090 3,0317 2,8422 2,6368 2,4188 2,1990 1,9927 1,8219 1,7159 1,6989 1,7757 1,9275 2,1208 2,3210 2,5023 2,6483 2,7435 2,7757 2,7494 2,6888 2,6189 2,5494 2,4757 2,3879 2,2781 2,1490 2,0175 1,9070 1,8414 1,8482 1,9500 2,1502 2,4316 2,7645 3,1082 3,4121 3,6270 3,7231 3,6997 3,5826 3,4151 3,2479 3,1211 3,0456 3,0054 2,9784 2,9541 2,9382 2,9530 3,0318 3,1998 3,4533 3,7596 4,0741 4,3555 4,5737 4,7175 4,7943 4,8226 4,8273 4,8379 4,8805 4,9656 5,0803 5,1895 5,2519 5,2444 5,1753 5,0768 4,9832 4,9112 4,8556 4,7993 4,7253 4,6197 4,4707 4,2720 4,0301 3,7711 3,5394 3,3811 3,3255 3,3789 3,5281 3,7467 4,0019 4,2578 4,4805 4,6493 4,7596 4,8156 4,8247 4,7961 4,7370 4,6545 4,5586 4,4626 4,3783 4,3161 4,2887 4,3120 4,4048 4,5835 4,8521 5,1970 5,5921 6,0009 6,3837 6,7150 6,9946 7,2360 7,4463 7,6184 7,7344 7,7732 7,7212 7,5781 7,3582 7,0904 6,8155 6,5715 6,3773 6,2291 6,1053 5,9729 5,8050 5,6027 5,3952 5,2165 5,0888 5,0273 5,0547 5,1986 5,4707 5,8492 6,2785 6,6869 7,0107 7,2056 7,2489 7,1417 6,9062 6,5727 6,1712 5,7313 5,2781 4,8238 4,3644 3,8865 3,3827 2,8573 2,3186 1,7722 1,2279 0,7041 0,2216 -0,2026 -0,5507 -0,8025 -0,9448 -0,9781 -0,9125 -0,7682 -0,5810 -0,3973 -0,2531 -0,1596 -0,1118 -0,1027 -0,1232 -0,1546 -0,1718 -0,1552 -0,0980 -0,0034 0,1247 0,2850 0,4728 0,6798 0,8990 1,1209 1,3324 1,5266 1,7100 1,8993 2,1112 2,3553 2,6390 2,9726 3,3642 3,8130 4,3104 4,8383 5,3684 5,8741 6,3356 6,7303 7,0307 7,2175 7,2843 7,2293 7,0545 6,7748 6,4189 6,0186 5,6013 5,1883 4,7912 4,4045 4,0083 3,5818 3,1193 2,6367 2,1590 1,6993 1,2540 0,8156 0,3882 -0,0039 -0,3209 -0,5318 -0,6340 -0,6512 -0,6168 -0,5578 -0,4830 -0,3848 -0,2579 -0,1165 0,0100 0,0947 0,1253 0,1022 0,0339 -0,0635 -0,1689 -0,2661 -0,3471 -0,4025 -0,4169 -0,3776 -0,2843 -0,1516 -0,0077 0,1112 0,1730 0,1613 0,0764 -0,0757 -0,2905 -0,5639 -0,8886 -1,2520 -1,6335 -2,0002 -2,3122 -2,5373 -2,6599 -2,6824 -2,6287 -2,5438 -2,4793 -2,4727 -2,5407 -2,6857 -2,9012 -3,1676 -3,4513 -3,7163 -3,9348 -4,0884 -4,1658
Fz    -2,6509 -2,3541 -2,0286 -1,7531 -1,5820 -1,5288 -1,5757 -1,6944 -1,8604 -2,0598 -2,2878 -2,5387 -2,7909 -3,0039 -3,1334 -3,1524 -3,0604 -2,8741 -2,6090 -2,2774 -1,9061 -1,5468 -1,2541 -1,0519 -0,9315 -0,8722 -0,8530 -0,8529 -0,8440 -0,7913 -0,6687 -0,4742 -0,2177 0,0997 0,4799 0,9069 1,3510 1,7968 2,2606 2,7723 3,3445 3,9547 4,5472 5,0536 5,4157 5,6044 5,6268 5,5170 5,3126 5,0365 4,7042 4,3382 3,9609 3,5863 3,2286 2,9064 2,6323 2,4070 2,2229 2,0714 1,9485 1,8534 1,7778 1,6960 1,5714 1,3735 1,0940 0,7589 0,4263 0,1639 0,0190 -0,0011 0,0739 0,2037 0,3607 0,5282 0,6886 0,8262 0,9397 1,0424 1,1488 1,2628 1,3774 1,4800 1,5630 1,6307 1,6957 1,7694 1,8641 2,0062 2,2332 2,5600 2,9529 3,3417 3,6529 3,8302 3,8406 3,6821 3,3891 3,0258 2,6610 2,3346 2,0418 1,7479 1,4133 1,0139 0,5486 0,0226 -0,5686 -1,2281 -1,9365 -2,6562 -3,3559 -4,0265 -4,6683 -5,2688 -5,8036 -6,2536 -6,6115 -6,8696 -7,0122 -7,0226 -6,9036 -6,6914 -6,4413 -6,1893 -5,9239 -5,5996 -5,1782 -4,6489 -4,0138 -3,2782 -2,4675 -1,6317 -0,8206 -0,0642 0,6251 1,2490 1,8302 2,4127 3,0424 3,7372 4,4667 5,1645 5,7687 6,2512 6,6138 6,8690 7,0273 7,0925 7,0645 6,9472 6,7458 6,4534 6,0543 5,5487 4,9660 4,3524 3,7637 3,2616 2,8970 2,6881 2,6143 2,6310 2,6914 2,7602 2,8167 2,8526 2,8644 2,8455 2,7878 2,6870 2,5436 2,3578 2,1312 1,8746 1,6165 1,4035 1,2914 1,3189 1,4804 1,7193 1,9521 2,1104 2,1821 2,2198 2,3024 2,4792 2,7441 3,0577 3,3830 3,6890 3,9394 4,1002 4,1610 4,1421 4,0813 4,0115 3,9473 3,8865 3,8169 3,7201 3,5773 3,3806 3,1350 2,8525 2,5452 2,2176 1,8590 1,4504 0,9823 0,4617 -0,0934 -0,6587 -1,2078 -1,7213 -2,1916 -2,6133 -2,9705 -3,2334 -3,3693 -3,3642 -3,2425 -3,0671 -2,9075 -2,8013 -2,7461 -2,7222 -2,7083 -2,6791 -2,6084 -2,4818 -2,2980 -2,0537 -1,7419 -1,3675 -0,9469 -0,4940 -0,0195 0,4595 0,9220 1,3519 1,7477 2,1242 2,5015 2,8892 3,2827 3,6706 4,0364 4,3552 4,5981 4,7446 4,7917 4,7583 4,6767 4,5689 4,4340 4,2637 4,0635 3,8564 3,6737 3,5329 3,4201 3,2974 3,1297 2,9033 2,6336 2,3616 2,1402 2,0136 1,9980 2,0716 2,1859 2,2916 2,3556 2,3678 2,3424 2,3123 2,3072 2,3344 2,3748 2,3958 2,3718 2,3073 2,2378 2,2022 2,2236 2,3159 2,4937 2,7673 3,1319 3,5592 3,9920 4,3583 4,5991 4,6915 4,6630 4,5839 4,5305 4,5482 4,6388 4,7670 4,8787 4,9238 4,8700 4,7123 4,4799 4,2261 4,0005 3,8270 3,7029 3,6116 3,5371 3,4732 3,4256 3,4017 3,4011 3,4275 3,5037 3,6629 3,9215 4,2618 4,6333 4,9696 5,2128 5,3334 5,3326 5,2324 5,0629 4,8590 4,6521 4,4558 4,2621 4,0554 3,8306 3,6040 3,4139 3,3059 3,3066 3,4034 3,5545 3,7104 3,8261 3,8622 3,7865 3,5892 3,3015 2,9880 2,7117 2,5056 2,3710 2,2849 2,2107 2,1223 2,0237 1,9415 1,9070 1,9477 2,0842 2,3258 2,6677 3,0847 3,5258 3,9248 4,2254 4,3988 4,4475 4,4007 4,3087 4,2370 4,2438 4,3480 4,5251 4,7399 4,9744 5,2286 5,5146 5,8549 6,2716 6,7697 7,3271 7,8944 8,4023 8,7794 8,9796 8,9975 8,8675 8,6555 8,4412 8,2904 8,2376 8,2903 8,4308 8,6122 8,7699 8,8504 8,8345 8,7324 8,5607 8,3336 8,0724 7,8014 7,5246 7,2206 6,8697 6,4848 6,1182 5,8414 5,7081 5,7288 5,8757 6,1016 6,3644 6,6383 6,9068 7,1563 7,3828 7,5942 7,8012 8,0073 8,2013 8,3594 8,4610 8,5019 8,4892 8,4321 8,3467 8,2652 8,2309 8,2841 8,4472 8,7154 9,0625 9,4577 9,8718 10,2796 10,6702 11,0532 11,4432 11,8409 12,2268 12,5638 12,8062 12,9145 12,8699 12,6793 12,3748 12,0076 11,6295 11,2723 10,9409 10,6156 10,2635 9,8663 9,4464 9,0561 8,7448 8,5433 8,4736 8,5551 8,7893 9,1387 9,5347 9,9062 10,1997 10,3831 10,4411 10,3728 10,1944 9,9345 9,6168 9,2505 8,8360 8,3689 7,8378 7,2278 6,5354 5,7851 5,0249 4,2982 3,6226 3,0001 2,4377 1,9512 1,5596 1,2892 1,1769 1,2556 1,5319 1,9730 2,5049 3,0219 3,4196 3,6406 3,6905 3,6073 3,4217 3,1456 2,7908 2,3930 2,0185 1,7376 1,5832 1,5364 1,5534 1,5959 1,6466 1,7065 1,7782 1,8547 1,9312 2,0203 2,1500 2,3491 2,6406 3,0447 3,5764 4,2323 4,9880 5,8112 6,6659 7,5100 8,3025 9,0044 9,5689 9,9462 10,1111 10,0756 9,8754 9,5542 9,1545 8,7081 8,2296 7,7236 7,1950 6,6494 6,0889 5,5167 4,9496 4,4205 3,9627 3,5865 3,2649 2,9412 2,5551 2,0784 1,5426 1,0326 0,6371 0,4005 0,3140 0,3359 0,4180 0,5286 0,6565 0,8000 0,9594 1,1435 1,3674 1,6370 1,9391 2,2473 2,5299 2,7543 2,8903 2,9152 2,8240 2,6372 2,3925 2,1296 1,8872 1,6989 1,5755 1,4961 1,4201 1,3059 1,1232 0,8625 0,5383 0,1751 -0,2134 -0,6253 -1,0518 -1,4653 -1,8327 -2,1363 -2,3749 -2,5546 -2,6839 -2,7750 -2,8405 -2,8974 -2,9722 -3,0928 -3,2721 -3,5024 -3,7617 -4,0230 -4,2577 -4,4376
F3    -2,3952 -2,2200 -2,0246 -1,8198 -1,6031 -1,3814 -1,1824 -1,0400 -0,9786 -1,0178 -1,1817 -1,4852 -1,9070 -2,3793 -2,8104 -3,1262 -3,2945 -3,3155 -3,1974 -2,9455 -2,5699 -2,0986 -1,5760 -1,0482 -0,5610 -0,1609 0,1189 0,2727 0,3173 0,2816 0,1956 0,0848 -0,0172 -0,0555 0,0241 0,2382 0,5613 0,9612 1,4303 1,9802 2,6083 3,2709 3,8900 4,3887 4,7234 4,8934 4,9281 4,8685 4,7521 4,6034 4,4327 4,2407 4,0148 3,7360 3,4050 3,0500 2,7007 2,3684 2,0562 1,7720 1,5222 1,3021 1,1015 0,9075 0,6992 0,4494 0,1402 -0,2131 -0,5507 -0,7876 -0,8592 -0,7661 -0,5800 -0,3953 -0,2660 -0,1886 -0,1328 -0,0760 -0,0077 0,0808 0,1916 0,3095 0,4032 0,4426 0,4210 0,3668 0,3282 0,3354 0,3878 0,4845 0,6441 0,8815 1,1861 1,5308 1,8863 2,2192 2,4930 2,6843 2,7916 2,8186 2,7530 2,5630 2,2129 1,6869 1,0065 0,2325 -0,5564 -1,3058 -2,0068 -2,6769 -3,3302 -3,9713 -4,6035 -5,2327 -5,8552 -6,4424 -6,9446 -7,3147 -7,5332 -7,6169 -7,6047 -7,5321 -7,4212 -7,2889 -7,1460 -6,9778 -6,7412 -6,3945 -5,9297 -5,3687 -4,7326 -4,0356 -3,2995 -2,5472 -1,7838 -1,0139 -0,2735 0,3876 0,9625 1,5096 2,1124 2,8157 3,5900 4,3540 5,0415 5,6456 6,2025 6,7486 7,2934 7,8100 8,2418 8,5223 8,5947 8,4147 7,9574 7,2344 6,3020 5,2541 4,2137 3,3179 2,6894 2,3964 2,4176 2,6445 2,9330 3,1643 3,2746 3,2489 3,1007 2,8590 2,5628 2,2551 1,9741 1,7421 1,5582 1,4046 1,2615 1,1255 1,0259 1,0060 1,0753 1,1919 1,2880 1,3117 1,2678 1,2268 1,2816 1,4785 1,7807 2,0964 2,3420 2,4793 2,5072 2,4515 2,3664 2,3236 2,3809 2,5479 2,7781 2,9984 3,1495 3,2016 3,1503 3,0108 2,8022 2,5351 2,2177 1,8619 1,4778 1,0751 0,6727 0,2927 -0,0534 -0,3636 -0,6466 -0,9338 -1,2717 -1,6832 -2,1375 -2,5631 -2,8950 -3,1091 -3,2218 -3,2730 -3,3040 -3,3335 -3,3487 -3,3274 -3,2688 -3,1953 -3,1293 -3,0822 -3,0549 -3,0257 -2,9450 -2,7624 -2,4587 -2,0526 -1,5860 -1,1079 -0,6623 -0,2776 0,0477 0,3500 0,6817 1,0841 1,5746 2,1464 2,7630 3,3469 3,7940 4,0225 4,0182 3,8414 3,5900 3,3457 3,1526 3,0294 2,9817 3,0018 3,0670 3,1329 3,1394 3,0478 2,8754 2,6817 2,5241 2,4261 2,3745 2,3355 2,2739 2,1617 1,9885 1,7760 1,5767 1,4534 1,4559 1,6032 1,8663 2,1662 2,4071 2,5252 2,5175 2,4327 2,3383 2,2849 2,2910 2,3547 2,4753 2,6679 2,9591 3,3565 3,8120 4,2306 4,5220 4,6442 4,6154 4,5045 4,3980 4,3552 4,3794 4,4301 4,4609 4,4412 4,3522 4,1881 3,9742 3,7674 3,6245 3,5663 3,5706 3,5900 3,5717 3,4825 3,3307 3,1602 3,0200 2,9475 2,9723 3,1182 3,3955 3,7855 4,2280 4,6379 4,9495 5,1370 5,1977 5,1357 4,9669 4,7254 4,4503 4,1652 3,8769 3,5877 3,3021 3,0366 2,8344 2,7594 2,8584 3,1257 3,5083 3,9366 4,3502 4,7063 4,9761 5,1427 5,2052 5,1736 5,0578 4,8670 4,6186 4,3357 4,0418 3,7701 3,5673 3,4719 3,5006 3,6556 3,9289 4,2936 4,6981 5,0685 5,3258 5,4175 5,3405 5,1353 4,8657 4,6010 4,4070 4,3349 4,4005 4,5640 4,7489 4,8920 4,9757 5,0268 5,1056 5,2839 5,6057 6,0578 6,5817 7,1143 7,6097 8,0317 8,3424 8,5012 8,4778 8,2796 7,9635 7,6088 7,2812 7,0224 6,8556 6,7876 6,8186 6,9504 7,1739 7,4424 7,6686 7,7669 7,7051 7,5106 7,2260 6,8769 6,4825 6,0738 5,6962 5,4032 5,2381 5,2173 5,3246 5,5161 5,7400 5,9633 6,1819 6,4075 6,6493 6,8985 7,1266 7,3001 7,3936 7,3952 7,3096 7,1594 6,9820 6,8205 6,7117 6,6806 6,7431 6,9125 7,1992 7,6017 8,0987 8,6523 9,2121 9,7285 10,1729 10,5450 10,8538 11,1012 11,2816 11,3821 11,3853 11,2831 11,0872 10,8232 10,5238 10,2245 9,9552 9,7258 9,5173 9,2834 8,9729 8,5722 8,1308 7,7333 7,4421 7,2727 7,2159 7,2663 7,4202 7,6572 7,9424 8,2477 8,5596 8,8717 9,1736 9,4412 9,6372 9,7200 9,6550 9,4303 9,0673 8,6081 8,0879 7,5102 6,8496 6,0836 5,2194 4,2894 3,3374 2,4164 1,5789 0,8604 0,2805 -0,1383 -0,3643 -0,3804 -0,2053 0,1139 0,5133 0,9149 1,2444 1,4611 1,5703 1,6097 1,6281 1,6690 1,7619 1,9235 2,1523 2,4127 2,6319 2,7314 2,6693 2,4576 2,1521 1,8295 1,5519 1,3438 1,2071 1,1512 1,1990 1,3720 1,6747 2,0951 2,6163 3,2248 3,9108 4,6671 5,4864 6,3626 7,2890 8,2298 9,0895 9,7447 10,1239 10,2401 10,1530 9,9239 9,5980 9,2016 8,7445 8,2387 7,7148 7,2120 6,7541 6,3426 5,9613 5,5877 5,2045 4,7959 4,3363 3,8009 3,1883 2,5286 1,8805 1,3274 0,9535 0,8065 0,8800 1,1191 1,4429 1,7804 2,0936 2,3704 2,6069 2,8005 2,9434 3,0145 2,9839 2,8315 2,5612 2,2012 1,7955 1,3963 1,0631 0,8532 0,7999 0,9023 1,1385 1,4715 1,8382 2,1552 2,3446 2,3555 2,1761 1,8339 1,3787 0,8511 0,2625 -0,3963 -1,1203 -1,8663 -2,5604 -3,1183 -3,4696 -3,5874 -3,5063 -3,3008 -3,0482 -2,8131 -2,6553 -2,6233 -2,7235 -2,9062 -3,0978 -3,2415 -3,3090 -3,2920
F7    -2,3876 -2,2743 -2,1163 -1,9438 -1,7866 -1,6675 -1,6010 -1,5930 -1,6404 -1,7349 -1,8679 -2,0294 -2,2000 -2,3497 -2,4479 -2,4774 -2,4411 -2,3543 -2,2290 -2,0664 -1,8665 -1,6418 -1,4149 -1,2013 -1,0022 -0,8107 -0,6216 -0,4352 -0,2520 -0,0657 0,1327 0,3447 0,5675 0,8042 1,0642 1,3508 1,6558 1,9714 2,3023 2,6596 3,0425 3,4258 3,7637 4,0098 4,1368 4,1446 4,0550 3,8988 3,7038 3,4869 3,2551 3,0100 2,7493 2,4735 2,1949 1,9356 1,7129 1,5300 1,3779 1,2425 1,1107 0,9748 0,8312 0,6734 0,4897 0,2678 0,0056 -0,2770 -0,5370 -0,7248 -0,8105 -0,7992 -0,7254 -0,6306 -0,5399 -0,4556 -0,3698 -0,2778 -0,1790 -0,0730 0,0387 0,1515 0,2589 0,3540 0,4307 0,4908 0,5481 0,6208 0,7252 0,8791 1,0983 1,3811 1,7010 2,0197 2,3018 2,5160 2,6353 2,6442 2,5460 2,3583 2,1020 1,7924 1,4353 1,0290 0,5677 0,0508 -0,5131 -1,1141 -1,7493 -2,4172 -3,1068 -3,7973 -4,4710 -5,1222 -5,7451 -6,3178 -6,8055 -7,1797 -7,4279 -7,5511 -7,5562 -7,4526 -7,2546 -6,9886 -6,6873 -6,3720 -6,0417 -5,6806 -5,2738 -4,8125 -4,2900 -3,7038 -3,0658 -2,4003 -1,7250 -1,0464 -0,3724 0,2816 0,9066 1,5117 2,1190 2,7448 3,3829 4,0032 4,5686 5,0557 5,4565 5,7692 5,9934 6,1277 6,1672 6,1092 5,9568 5,7114 5,3686 4,9312 4,4225 3,8823 3,3547 2,8817 2,4974 2,2178 2,0307 1,8997 1,7854 1,6635 1,5281 1,3848 1,2394 1,0897 0,9283 0,7501 0,5577 0,3577 0,1562 -0,0412 -0,2258 -0,3822 -0,4865 -0,5176 -0,4756 -0,3877 -0,2958 -0,2340 -0,2067 -0,1843 -0,1249 -0,0030 0,1781 0,3954 0,6255 0,8515 1,0592 1,2376 1,3846 1,5063 1,6106 1,6987 1,7615 1,7846 1,7561 1,6703 1,5319 1,3560 1,1607 0,9594 0,7603 0,5651 0,3679 0,1597 -0,0653 -0,3085 -0,5695 -0,8438 -1,1232 -1,4019 -1,6799 -1,9571 -2,2247 -2,4618 -2,6429 -2,7511 -2,7910 -2,7906 -2,7855 -2,7970 -2,8247 -2,8598 -2,8984 -2,9427 -2,9942 -3,0496 -3,0981 -3,1179 -3,0825 -2,9770 -2,8068 -2,5887 -2,3412 -2,0809 -1,8200 -1,5640 -1,3108 -1,0543 -0,7918 -0,5289 -0,2738 -0,0281 0,2109 0,4380 0,6348 0,7802 0,8648 0,8993 0,9099 0,9182 0,9294 0,9387 0,9438 0,9503 0,9695 1,0087 1,0598 1,1035 1,1264 1,1274 1,1128 1,0914 1,0741 1,0703 1,0813 1,0974 1,1029 1,0842 1,0345 0,9573 0,8707 0,8033 0,7792 0,8027 0,8592 0,9252 0,9799 1,0127 1,0253 1,0224 1,0049 0,9767 0,9517 0,9502 0,9901 1,0763 1,1909 1,2976 1,3606 1,3624 1,3127 1,2413 1,1785 1,1360 1,1021 1,0550 0,9819 0,8870 0,7852 0,6963 0,6435 0,6454 0,7054 0,8091 0,9345 1,0626 1,1807 1,2834 1,3752 1,4674 1,5678 1,6798 1,8102 1,9687 2,1582 2,3688 2,5768 2,7502 2,8621 2,9016 2,8728 2,7858 2,6522 2,4866 2,3054 2,1184 1,9277 1,7349 1,5470 1,3784 1,2513 1,1899 1,2088 1,3043 1,4583 1,6471 1,8456 2,0285 2,1715 2,2569 2,2830 2,2642 2,2209 2,1689 2,1179 2,0713 2,0265 1,9814 1,9431 1,9282 1,9548 2,0359 2,1734 2,3563 2,5636 2,7664 2,9324 3,0356 3,0640 3,0193 2,9126 2,7587 2,5773 2,3973 2,2496 2,1482 2,0839 2,0381 1,9994 1,9702 1,9654 2,0075 2,1152 2,2927 2,5267 2,7928 3,0607 3,2993 3,4821 3,5919 3,6256 3,6020 3,5601 3,5396 3,5604 3,6216 3,7109 3,8096 3,8993 3,9721 4,0345 4,0958 4,1523 4,1888 4,1944 4,1694 4,1146 4,0253 3,8993 3,7463 3,5891 3,4574 3,3755 3,3505 3,3720 3,4209 3,4810 3,5469 3,6204 3,7049 3,8018 3,9069 4,0114 4,1056 4,1787 4,2178 4,2139 4,1696 4,0991 4,0210 3,9530 3,9103 3,9051 3,9471 4,0423 4,1910 4,3866 4,6177 4,8670 5,1145 5,3478 5,5687 5,7830 5,9876 6,1685 6,3053 6,3762 6,3657 6,2686 6,0916 5,8538 5,5844 5,3142 5,0667 4,8515 4,6611 4,4756 4,2805 4,0845 3,9148 3,7973 3,7466 3,7738 3,8954 4,1209 4,4338 4,7926 5,1501 5,4689 5,7268 5,9153 6,0335 6,0814 6,0554 5,9477 5,7508 5,4664 5,1054 4,6789 4,1890 3,6325 3,0153 2,3599 1,6952 1,0437 0,4237 -0,1465 -0,6519 -1,0835 -1,4321 -1,6826 -1,8195 -1,8380 -1,7501 -1,5841 -1,3833 -1,1970 -1,0590 -0,9761 -0,9365 -0,9276 -0,9440 -0,9822 -1,0314 -1,0710 -1,0804 -1,0527 -0,9947 -0,9175 -0,8302 -0,7373 -0,6347 -0,5135 -0,3674 -0,1905 0,0259 0,2906 0,6052 0,9652 1,3690 1,8216 2,3260 2,8761 3,4572 4,0483 4,6249 5,1645 5,6456 6,0371 6,3038 6,4274 6,4145 6,2853 6,0633 5,7745 5,4457 5,0980 4,7448 4,3935 4,0420 3,6760 3,2783 2,8445 2,3890 1,9353 1,5001 1,0839 0,6738 0,2564 -0,1676 -0,5740 -0,9193 -1,1637 -1,2937 -1,3266 -1,3003 -1,2561 -1,2202 -1,1974 -1,1792 -1,1558 -1,1197 -1,0649 -0,9913 -0,9084 -0,8309 -0,7718 -0,7410 -0,7460 -0,7877 -0,8522 -0,9137 -0,9489 -0,9473 -0,9093 -0,8418 -0,7586 -0,6804 -0,6294 -0,6222 -0,6663 -0,7606 -0,8975 -1,0680 -1,2670 -1,4944 -1,7457 -2,0048 -2,2491 -2,4597 -2,6251 -2,7428 -2,8211 -2,8751 -2,9189 -2,9647 -3,0262 -3,1190 -3,2548 -3,4349 -3,6476 -3,8714 -4,0786 -4,2387
