Fp1   6,5432 6,3241 6,0687 5,6899 5,1757 4,6015 4,0914 3,7469 3,5722 3,4740 3,3469 3,1468 2,8958 2,6431 2,4161 2,1939 1,9357 1,6311 1,3091 1,0004 0,6943 0,3325 -0,1688 -0,8815 -1,8130 -2,8853 -3,9732 -4,9473 -5,6992 -6,1718 -6,3769 -6,3725 -6,2268 -5,9878 -5,6564 -5,1827 -4,5077 -3,6169 -2,5718 -1,5123 -0,6146 -0,0128 0,2521 0,2304 0,0500 -0,1131 -0,1041 0,1483 0,6272 1,2551 1,9290 2,5596 3,0938 3,5131 3,8242 4,0437 4,1988 4,3387 4,5103 4,7141 4,8904 4,9449 4,7996 4,4361 3,8951 3,2561 2,6244 2,1028 1,7428 1,5257 1,3933 1,2840 1,1496 0,9687 0,7666 0,6180 0,6128 0,8042 1,1713 1,6292 2,0827 2,4720 2,7694 2,9549 3,0104 2,9291 2,7303 2,4716 2,2295 2,0498 1,9132 1,7471 1,4702 1,0401 0,4764 -0,1443 -0,7074 -1,0921 -1,2045 -1,0027 -0,5057 0,2246 1,1200 2,1363 3,2671 4,5394 5,9906 7,6316 9,4144 11,2360 12,9821 14,5715 15,9610 17,1229 18,0388 18,7128 19,1683 19,4242 19,4917 19,3938 19,1587 18,7876 18,2582 17,5503 16,6431 15,5096 14,1390 12,5549 10,8078 8,9468 6,9875 4,8994 2,6469 0,2469 -2,2265 -4,6816 -7,0262 -9,1749 -11,0893 -12,8203 -14,4820 -16,1688 -17,9003 -19,6336 -21,3012 -22,8413 -24,2170 -25,4212 -26,4705 -27,3979 -28,2364 -29,0073 -29,7242 -30,3939 -30,9946 -31,4692 -31,7505 -31,7791 -31,5067 -30,9184 -30,0589 -29,0136 -27,8633 -26,6690 -25,4829 -24,3382 -23,2094 -21,9894 -20,5433 -18,8118 -16,8431 -14,7298 -12,5439 -10,3235 -8,1026 -5,9404 -3,9109 -2,0743 -0,4658 0,8933 1,9811 2,7872 3,3501 3,7671 4,1469 4,5426 4,9249 5,2161 5,3532 5,3119 5,0689 4,5817 3,8439 2,9426 2,0286 1,2325 0,6228 0,2348 0,1036 0,2452 0,6093 1,0620 1,4208 1,5243 1,2950 0,7762 0,1260 -0,4482 -0,7897 -0,8590 -0,7281 -0,5245 -0,3661 -0,3128 -0,3507 -0,4020 -0,3507 -0,0843 0,4463 1,1868 1,9992 2,7188 3,2252 3,5090 3,6713 3,8360 4,0686 4,3749 4,7239 5,0531 5,2909 5,3935 5,3498 5,1680 4,8826 4,5700 4,3282 4,2282 4,2835 4,4682 4,7488 5,0938 5,4844 5,9425 6,5297 7,3058 8,3005 9,5022 10,8421 12,1945 13,4168 14,3965 15,0715 15,4317 15,5245 15,4459 15,2930 15,1278 14,9960 14,9538 15,0510 15,2974 15,6596 16,0800 16,4919 16,8392 17,0871 17,2024 17,1484 16,9181 16,5509 16,1210 15,7248 15,4520 15,3465 15,4091 15,6268 15,9679 16,3467 16,6325 16,7211 16,5822 16,2344 15,7037 15,0237 14,2646 13,5511 13,0276 12,7819 12,7988 12,9862 13,2361 13,4634 13,6199 13,7116 13,8024 13,9673 14,2354 14,5932 15,0146 15,4472 15,7894 15,9294 15,8087 15,4450 14,9201 14,3596 13,8942 13,6109 13,5246 13,5756 13,6533 13,6559 13,5596 13,4216 13,3173 13,2898 13,3348 13,3839 13,3093 12,9890 12,3825 11,5493 10,6166 9,7365 9,0454 8,6287 8,5129 8,6887 9,1198 9,7105 10,2869 10,6540 10,6986 10,4430 10,0149 9,5722 9,2308 9,0269 8,9304 8,8862 8,8352 8,7128 8,4664 8,0833 7,5984 7,0844 6,6339 6,3245 6,1809 6,1569 6,1582 6,1122 6,0371 6,0339 6,2077 6,6029 7,1903 7,8851 8,5741 9,1442 9,5035 9,5879 9,3670 8,8562 8,1347 7,3499 6,6764 6,2382 6,0607 6,0914 6,2513 6,4640 6,6487 6,7243 6,6494 6,4507 6,1938 5,9167 5,5895 5,1535 4,6068 4,0342 3,5640 3,3175 3,3746 3,7382 4,3258 5,0200 5,7328 6,4089 6,9783 7,3534 7,4815 7,3716 7,0769 6,6825 6,2947 6,0086 5,8742 5,8804 5,9478 5,9431 5,7393 5,2945 4,6831 4,0538 3,5583 3,2958 3,2774 3,4240 3,6247 3,8134 3,9796 4,1220 4,2330 4,3370 4,5003 4,7767 5,1555 5,5601 5,8733 5,9673 5,7480 5,2095 4,4536 3,6477 2,9473 2,4445 2,1714 2,1268 2,2833 2,5948 3,0334 3,6138 4,3599 5,2536 6,2250 7,1771 8,0038 8,6042 8,9117 8,9269 8,7270 8,4288 8,1146 7,7811 7,3608 6,7828 6,0134 5,0665 3,9979 2,8843 1,7906 0,7470 -0,2332 -1,1069 -1,7940 -2,2373 -2,4546 -2,5214 -2,5146 -2,4648 -2,3476 -2,1237 -1,7865 -1,3702 -0,9259 -0,5024 -0,1425 0,1132 0,2282 0,1990 0,0986 0,0780 0,3053 0,8842 1,8087 2,9810 4,2682 5,5467 6,7283 7,7799 8,7353 9,6963 10,8017 12,1567 13,7665 15,5287 17,2886 18,8953 20,2282 21,2181 21,8652 22,2243 22,3611 22,3218 22,1226 21,7399 21,1222 20,2291 19,0381 17,5257 15,6970 13,6394 11,5037 9,4178 7,4304 5,5145 3,5907 1,5521 -0,6963 -3,1892 -5,8619 -8,5487 -11,0315 -13,1140 -14,6812 -15,7166 -16,2863 -16,5057 -16,5021 -16,3815 -16,2128 -16,0400 -15,8883 -15,7393 -15,5131 -15,1119 -14,4985 -13,7287 -12,9087 -12,1343 -11,4565 -10,8643 -10,2778 -9,5761 -8,6558 -7,4750 -6,0633 -4,5151 -2,9601 -1,5102 -0,2185 0,9210 1,9373 2,8566 3,7231 4,6077 5,5613 6,5688 7,5734 8,5383 9,4853 10,4779 11,5603 12,7055 13,8185 14,7820 15,5075 15,9755 16,2447 16,4137 16,5590 16,7021 16,8259 16,9181 16,9942 17,0851 17,2060 17,3356 17,4266 17,4405 17,3807 17,2919 17,2262 17,2136 17,2588 17,3464 17,4273 17,4144 17,2266 16,8390 16,2855 15,6220 14,8974 14,1594 13,4784 12,9432 12,6223 12,5232 12,5818 12,6809 12,6864 12,4948 12,0825 11,5259 10,9633 10,5132 10,2029
Fz    3,8655 3,8952 3,8744 3,7431 3,4725 3,0835 2,6423 2,2276 1,8834 1,5993 1,3389 1,0797 0,8265 0,6008 0,4202 0,2861 0,1910 0,1286 0,0928 0,0681 0,0258 -0,0673 -0,2368 -0,4916 -0,8143 -1,1601 -1,4723 -1,7006 -1,8130 -1,8081 -1,7187 -1,5978 -1,4972 -1,4541 -1,4780 -1,5408 -1,5888 -1,5692 -1,4583 -1,2800 -1,0990 -0,9839 -0,9742 -1,0682 -1,2206 -1,3515 -1,3744 -1,2278 -0,8941 -0,4048 0,1693 0,7445 1,2503 1,6478 1,9357 2,1402 2,2997 2,4554 2,6349 2,8319 3,0019 3,0788 3,0075 2,7744 2,4158 2,0075 1,6452 1,4141 1,3543 1,4473 1,6325 1,8354 1,9894 2,0564 2,0407 1,9894 1,9757 2,0670 2,2900 2,6173 2,9834 3,3133 3,5422 3,6288 3,5685 3,3959 3,1738 2,9756 2,8610 2,8519 2,9225 3,0090 3,0368 2,9562 2,7656 2,5089 2,2531 2,0654 1,9971 2,0695 2,2663 2,5445 2,8575 3,1759 3,4966 3,8369 4,2222 4,6705 5,1766 5,7068 6,2133 6,6513 6,9874 7,2022 7,2963 7,2960 7,2430 7,1727 7,1016 7,0312 6,9458 6,8064 6,5641 6,1880 5,6775 5,0595 4,3831 3,7109 3,0988 2,5726 2,1133 1,6606 1,1449 0,5301 -0,1694 -0,9036 -1,6081 -2,2222 -2,7144 -3,0997 -3,4271 -3,7447 -4,0758 -4,4162 -4,7394 -5,0042 -5,1704 -5,2174 -5,1530 -5,0075 -4,8185 -4,6241 -4,4645 -4,3709 -4,3419 -4,3391 -4,3102 -4,2086 -4,0021 -3,6840 -3,2842 -2,8566 -2,4493 -2,0833 -1,7494 -1,4130 -1,0216 -0,5149 0,1533 0,9826 1,9195 2,8884 3,8278 4,7050 5,5097 6,2391 6,8940 7,4812 8,0069 8,4663 8,8382 9,0942 9,2198 9,2291 9,1585 9,0480 8,9255 8,8038 8,6853 8,5586 8,3845 8,1040 7,6760 7,1111 6,4682 5,8249 5,2546 4,8182 4,5570 4,4798 4,5531 4,7068 4,8534 4,9147 4,8480 4,6642 4,4263 4,2234 4,1316 4,1829 4,3531 4,5690 4,7379 4,7915 4,7188 4,5692 4,4287 4,3853 4,4921 4,7447 5,0858 5,4298 5,6975 5,8548 5,9295 5,9843 6,0745 6,2257 6,4293 6,6465 6,8268 6,9274 6,9148 6,7660 6,4863 6,1231 5,7520 5,4422 5,2288 5,1111 5,0644 5,0483 5,0173 4,9451 4,8408 4,7408 4,6920 4,7337 4,8774 5,0959 5,3351 5,5375 5,6574 5,6689 5,5758 5,4125 5,2269 5,0606 4,9425 4,8904 4,9082 4,9798 5,0714 5,1456 5,1785 5,1699 5,1367 5,0925 5,0384 4,9740 4,9046 4,8346 4,7649 4,6968 4,6324 4,5794 4,5556 4,5785 4,6455 4,7274 4,7871 4,7972 4,7407 4,6090 4,4102 4,1776 3,9701 3,8539 3,8714 4,0169 4,2400 4,4709 4,6478 4,7312 4,7132 4,6191 4,4919 4,3669 4,2637 4,1870 4,1193 4,0176 3,8345 3,5509 3,1906 2,8123 2,4912 2,2949 2,2619 2,3852 2,6099 2,8514 3,0358 3,1384 3,1863 3,2298 3,3177 3,4829 3,7240 3,9952 4,2238 4,3450 4,3275 4,1808 3,9499 3,7033 3,5111 3,4244 3,4690 3,6443 3,9146 4,2037 4,4202 4,5024 4,4464 4,3010 4,1415 4,0361 4,0172 4,0734 4,1629 4,2300 4,2180 4,0893 3,8434 3,5202 3,1894 2,9319 2,8102 2,8439 3,0024 3,2207 3,4308 3,5989 3,7388 3,8931 4,1033 4,3908 4,7469 5,1325 5,4896 5,7562 5,8781 5,8272 5,6163 5,2997 4,9604 4,6839 4,5244 4,4873 4,5413 4,6415 4,7464 4,8253 4,8633 4,8703 4,8816 4,9367 5,0481 5,1840 5,2825 5,2892 5,1863 4,9955 4,7680 4,5707 4,4647 4,4841 4,6319 4,8895 5,2187 5,5572 5,8309 5,9845 6,0035 5,9129 5,7684 5,6401 5,5870 5,6362 5,7759 5,9589 6,1139 6,1728 6,1089 5,9573 5,7979 5,7154 5,7615 5,9310 6,1642 6,3780 6,5028 6,4973 6,3477 6,0747 5,7418 5,4384 5,2386 5,1677 5,1985 5,2664 5,2950 5,2278 5,0560 4,8232 4,6033 4,4666 4,4563 4,5808 4,8162 5,1120 5,4072 5,6620 5,8820 6,1086 6,3840 6,7241 7,1112 7,4961 7,8079 7,9741 7,9503 7,7451 7,4169 7,0398 6,6683 6,3244 6,0054 5,6976 5,3850 5,0527 4,6902 4,2938 3,8751 3,4693 3,1382 2,9515 2,9505 3,1219 3,4059 3,7257 4,0167 4,2458 4,4144 4,5485 4,6850 4,8557 5,0713 5,3127 5,5341 5,6783 5,7033 5,6118 5,4591 5,3290 5,2982 5,4079 5,6542 5,9992 6,3874 6,7626 7,0796 7,3173 7,4963 7,6762 7,9223 8,2639 8,6821 9,1268 9,5361 9,8475 10,0108 10,0055 9,8481 9,5847 9,2741 8,9666 8,6817 8,4049 8,1023 7,7333 7,2562 6,6483 5,9279 5,1491 4,3703 3,6263 2,9173 2,2123 1,4652 0,6364 -0,2877 -1,2805 -2,2735 -3,1721 -3,8842 -4,3460 -4,5360 -4,4769 -4,2307 -3,8839 -3,5233 -3,2095 -2,9635 -2,7698 -2,5844 -2,3474 -2,0084 -1,5573 -1,0354 -0,5153 -0,0669 0,2697 0,5008 0,6810 0,8937 1,2161 1,6908 2,3140 3,0353 3,7778 4,4712 5,0792 5,6028 6,0627 6,4862 6,9085 7,3686 7,8828 8,4262 8,9440 9,3828 9,7205 9,9773 10,1965 10,4105 10,6238 10,8171 10,9575 11,0132 10,9680 10,8256 10,5993 10,3026 9,9539 9,5862 9,2434 8,9634 8,7591 8,6116 8,4797 8,3222 8,1200 7,8846 7,6478 7,4479 7,3170 7,2691 7,2835 7,3061 7,2751 7,1502 6,9219 6,6054 6,2293 5,8311 5,4612 5,1754 5,0131 4,9745 5,0185 5,0782 5,0870 5,0059 4,8430 4,6489 4,4895 4,4113 4,4135
F3    3,2728 3,3113 3,3300 3,2720 3,1036 2,8321 2,5035 2,1777 1,8879 1,6245 1,3603 1,0837 0,8089 0,5648 0,3738 0,2378 0,1442 0,0804 0,0391 0,0090 -0,0329 -0,1164 -0,2674 -0,4998 -0,8042 -1,1432 -1,4650 -1,7204 -1,8781 -1,9354 -1,9172 -1,8619 -1,8097 -1,7952 -1,8279 -1,8765 -1,8809 -1,7872 -1,5804 -1,2992 -1,0173 -0,8000 -0,6750 -0,6318 -0,6287 -0,6027 -0,4928 -0,2653 0,0805 0,5149 0,9842 1,4303 1,8147 2,1274 2,3793 2,5892 2,7754 2,9559 3,1388 3,3071 3,4170 3,4163 3,2742 3,0002 2,6391 2,2585 1,9350 1,7318 1,6735 1,7390 1,8787 2,0365 2,1638 2,2312 2,2409 2,2280 2,2428 2,3235 2,4756 2,6739 2,8825 3,0660 3,1890 3,2220 3,1556 2,9990 2,7754 2,5274 2,3122 2,1708 2,1001 2,0553 1,9797 1,8414 1,6502 1,4473 1,2847 1,2086 1,2491 1,4119 1,6810 2,0325 2,4458 2,9070 3,4092 3,9542 4,5517 5,2083 5,9095 6,6154 7,2774 7,8568 8,3278 8,6734 8,8902 8,9957 9,0214 8,9947 8,9296 8,8295 8,6843 8,4668 8,1461 7,7071 7,1540 6,5083 5,8069 5,0957 4,4151 3,7850 3,1944 2,6015 1,9582 1,2442 0,4754 -0,3114 -1,0713 -1,7614 -2,3611 -2,8842 -3,3654 -3,8337 -4,2989 -4,7545 -5,1824 -5,5582 -5,8603 -6,0789 -6,2209 -6,3066 -6,3582 -6,3947 -6,4342 -6,4901 -6,5538 -6,5905 -6,5567 -6,4167 -6,1475 -5,7492 -5,2552 -4,7214 -4,1994 -3,7184 -3,2812 -2,8655 -2,4259 -1,8989 -1,2261 -0,3934 0,5583 1,5630 2,5633 3,5231 4,4238 5,2589 6,0321 6,7510 7,4175 8,0212 8,5371 8,9351 9,2054 9,3724 9,4800 9,5627 9,6279 9,6621 9,6501 9,5788 9,4215 9,1363 8,6989 8,1360 7,5190 6,9277 6,4244 6,0533 5,8428 5,7963 5,8810 6,0280 6,1486 6,1636 6,0310 5,7596 5,4098 5,0755 4,8468 4,7692 4,8241 4,9387 5,0208 5,0042 4,8803 4,6981 4,5398 4,4885 4,5945 4,8537 5,2121 5,5894 5,9133 6,1560 6,3454 6,5304 6,7415 6,9817 7,2301 7,4454 7,5834 7,6157 7,5324 7,3386 7,0600 6,7454 6,4547 6,2337 6,0984 6,0401 6,0400 6,0740 6,1163 6,1541 6,1979 6,2750 6,4172 6,6467 6,9556 7,2986 7,6142 7,8527 7,9882 8,0183 7,9648 7,8708 7,7810 7,7243 7,7148 7,7622 7,8694 8,0243 8,2008 8,3716 8,5188 8,6374 8,7283 8,7843 8,7897 8,7366 8,6299 8,4789 8,2972 8,1029 7,9110 7,7349 7,5947 7,5090 7,4715 7,4465 7,3955 7,2995 7,1555 6,9652 6,7381 6,5029 6,3122 6,2248 6,2732 6,4411 6,6725 6,8982 7,0600 7,1242 7,0942 7,0132 6,9397 6,9143 6,9505 7,0391 7,1449 7,2091 7,1755 7,0200 6,7602 6,4484 6,1561 5,9508 5,8711 5,9136 6,0332 6,1627 6,2522 6,3003 6,3453 6,4276 6,5681 6,7643 6,9840 7,1654 7,2424 7,1784 6,9807 6,6943 6,3849 6,1203 5,9516 5,9037 5,9796 6,1639 6,4144 6,6567 6,8088 6,8237 6,7099 6,5182 6,3141 6,1524 6,0599 6,0316 6,0431 6,0584 6,0344 5,9354 5,7524 5,5061 5,2411 5,0160 4,8812 4,8545 4,9127 5,0051 5,0853 5,1438 5,2098 5,3252 5,5180 5,7923 6,1235 6,4606 6,7424 6,9171 6,9505 6,8313 6,5781 6,2418 5,9005 5,6366 5,5022 5,4991 5,5884 5,7184 5,8445 5,9335 5,9635 5,9322 5,8628 5,7865 5,7151 5,6276 5,4861 5,2707 5,0009 4,7272 4,5124 4,4127 4,4575 4,6383 4,9216 5,2689 5,6404 5,9832 6,2368 6,3605 6,3508 6,2356 6,0652 5,8999 5,7917 5,7688 5,8297 5,9413 6,0443 6,0770 6,0127 5,8799 5,7459 5,6784 5,7162 5,8511 6,0282 6,1750 6,2397 6,2043 6,0738 5,8699 5,6372 5,4362 5,3142 5,2808 5,3062 5,3337 5,2992 5,1585 4,9155 4,6260 4,3687 4,2065 4,1687 4,2551 4,4448 4,6992 4,9726 5,2379 5,5035 5,7974 6,1334 6,4991 6,8627 7,1810 7,4040 7,4874 7,4118 7,2011 6,9164 6,6191 6,3357 6,0540 5,7470 5,3965 5,0014 4,5751 4,1376 3,7087 3,3048 2,9475 2,6773 2,5489 2,5960 2,7992 3,0931 3,4013 3,6703 3,8860 4,0646 4,2308 4,4032 4,5862 4,7663 4,9153 4,9997 4,9900 4,8749 4,6814 4,4811 4,3676 4,4142 4,6419 5,0188 5,4850 5,9792 6,4568 6,8981 7,3122 7,7399 8,2402 8,8541 9,5723 10,3367 11,0709 11,7031 12,1733 12,4417 12,5010 12,3769 12,1157 11,7678 11,3721 10,9412 10,4661 9,9346 9,3353 8,6502 7,8715 7,0255 6,1668 5,3432 4,5693 3,8236 3,0605 2,2289 1,2918 0,2428 -0,8803 -1,9954 -2,9989 -3,8008 -4,3508 -4,6460 -4,7241 -4,6486 -4,4897 -4,3052 -4,1282 -3,9686 -3,8205 -3,6585 -3,4348 -3,1016 -2,6482 -2,1161 -1,5726 -1,0744 -0,6467 -0,2777 0,0767 0,4747 0,9617 1,5535 2,2316 2,9464 3,6368 4,2616 4,8146 5,3115 5,7677 6,1936 6,6073 7,0398 7,5124 8,0126 8,5016 8,9444 9,3358 9,7024 10,0778 10,4699 10,8519 11,1771 11,4035 11,5158 11,5310 11,4822 11,3956 11,2804 11,1356 10,9662 10,7912 10,6349 10,5102 10,4091 10,3071 10,1797 10,0194 9,8430 9,6832 9,5698 9,5168 9,5160 9,5323 9,5105 9,4001 9,1797 8,8621 8,4769 8,0499 7,6034 7,1732 6,8101 6,5551 6,4136 6,3543 6,3254 6,2730 6,1605 5,9854 5,7843 5,6157 5,5249 5,5105
F7    2,4036 2,1794 1,9537 1,7264 1,5217 1,3749 1,3070 1,3033 1,3102 1,2624 1,1248 0,9145 0,6915 0,5266 0,4563 0,4608 0,4915 0,5112 0,5016 0,4508 0,3451 0,1741 -0,0616 -0,3517 -0,6785 -1,0181 -1,3474 -1,6484 -1,9079 -2,1139 -2,2544 -2,3179 -2,2894 -2,1475 -1,8779 -1,4976 -1,0580 -0,6196 -0,2338 0,0520 0,1959 0,1844 0,0487 -0,1464 -0,3227 -0,4032 -0,3251 -0,0611 0,3584 0,8513 1,3211 1,6956 1,9452 2,0807 2,1338 2,1324 2,0969 2,0524 2,0312 2,0623 2,1460 2,2347 2,2609 2,1968 2,0713 1,9350 1,8276 1,7637 1,7315 1,7042 1,6609 1,5958 1,5131 1,4220 1,3382 1,2844 1,2867 1,3682 1,5345 1,7562 1,9723 2,1272 2,2001 2,2034 2,1733 2,1637 2,2222 2,3498 2,4968 2,6066 2,6468 2,6060 2,4872 2,3062 2,0822 1,8312 1,5761 1,3556 1,2178 1,1970 1,2963 1,4956 1,7818 2,1683 2,6834 3,3451 4,1467 5,0497 5,9826 6,8601 7,6181 8,2330 8,7093 9,0595 9,2960 9,4357 9,4984 9,4954 9,4255 9,2881 9,0886 8,8274 8,4981 8,0990 7,6377 7,1285 6,5871 6,0227 5,4318 4,8032 4,1238 3,3818 2,5772 1,7307 0,8772 0,0560 -0,6860 -1,3025 -1,7826 -2,1704 -2,5347 -2,9154 -3,3046 -3,6675 -3,9722 -4,2045 -4,3711 -4,4956 -4,6097 -4,7407 -4,9014 -5,0885 -5,2893 -5,4857 -5,6481 -5,7370 -5,7177 -5,5747 -5,3141 -4,9636 -4,5652 -4,1572 -3,7580 -3,3719 -3,0031 -2,6532 -2,3085 -1,9350 -1,4972 -0,9863 -0,4201 0,1867 0,8430 1,5692 2,3611 3,1720 3,9389 4,6156 5,1790 5,6209 5,9418 6,1530 6,2864 6,3941 6,5268 6,7029 6,8936 7,0362 7,0732 6,9786 6,7529 6,4101 5,9784 5,4985 5,0123 4,5541 4,1498 3,8198 3,5785 3,4285 3,3557 3,3271 3,2987 3,2304 3,1029 2,9238 2,7205 2,5235 2,3551 2,2316 2,1670 2,1677 2,2212 2,2928 2,3463 2,3741 2,4046 2,4770 2,6129 2,8075 3,0347 3,2553 3,4343 3,5679 3,6866 3,8244 3,9903 4,1672 4,3236 4,4255 4,4541 4,4125 4,3132 4,1708 4,0150 3,8929 3,8407 3,8539 3,8950 3,9319 3,9627 4,0053 4,0790 4,2022 4,3977 4,6843 5,0644 5,5175 5,9979 6,4413 6,7880 7,0091 7,1136 7,1393 7,1422 7,1748 7,2568 7,3689 7,4777 7,5630 7,6254 7,6776 7,7345 7,8070 7,9021 8,0223 8,1578 8,2786 8,3470 8,3492 8,3031 8,2357 8,1631 8,0878 8,0075 7,9241 7,8452 7,7772 7,7150 7,6422 7,5476 7,4337 7,3074 7,1710 7,0238 6,8714 6,7336 6,6383 6,6016 6,6144 6,6484 6,6780 6,6972 6,7138 6,7387 6,7863 6,8720 7,0007 7,1633 7,3400 7,4997 7,6036 7,6248 7,5685 7,4689 7,3689 7,3016 7,2827 7,3107 7,3691 7,4277 7,4491 7,4065 7,3082 7,1987 7,1317 7,1423 7,2320 7,3592 7,4487 7,4308 7,2810 7,0306 6,7467 6,5028 6,3521 6,3109 6,3622 6,4754 6,6232 6,7774 6,8990 6,9456 6,8956 6,7601 6,5711 6,3634 6,1597 5,9630 5,7642 5,5631 5,3760 5,2185 5,0884 4,9688 4,8436 4,7098 4,5774 4,4560 4,3416 4,2177 4,0664 3,8877 3,7202 3,6347 3,6930 3,9034 4,2164 4,5557 4,8534 5,0697 5,1927 5,2240 5,1688 5,0384 4,8580 4,6673 4,5065 4,3935 4,3181 4,2586 4,2019 4,1451 4,0816 3,9952 3,8749 3,7306 3,5836 3,4393 3,2756 3,0680 2,8245 2,5918 2,4285 2,3781 2,4587 2,6567 2,9264 3,2107 3,4697 3,6836 3,8373 3,9142 3,9081 3,8309 3,7098 3,5808 3,4740 3,3997 3,3541 3,3280 3,3034 3,2504 3,1408 2,9706 2,7679 2,5763 2,4317 2,3516 2,3318 2,3564 2,4167 2,5191 2,6654 2,8360 2,9983 3,1351 3,2535 3,3664 3,4713 3,5489 3,5708 3,5089 3,3532 3,1263 2,8808 2,6777 2,5626 2,5523 2,6329 2,7704 2,9288 3,0867 3,2538 3,4725 3,7893 4,2088 4,6778 5,1119 5,4363 5,6096 5,6251 5,5073 5,3108 5,1049 4,9415 4,8318 4,7519 4,6658 4,5378 4,3355 4,0442 3,6804 3,2835 2,8943 2,5463 2,2714 2,0984 2,0323 2,0418 2,0756 2,0938 2,0877 2,0748 2,0791 2,1145 2,1819 2,2685 2,3467 2,3860 2,3756 2,3319 2,2913 2,2936 2,3706 2,5425 2,8129 3,1590 3,5359 3,8980 4,2154 4,4797 4,7067 4,9375 5,2337 5,6603 6,2514 6,9815 7,7673 8,5036 9,1037 9,5182 9,7373 9,7851 9,7072 9,5523 9,3608 9,1555 8,9291 8,6459 8,2663 7,7662 7,1396 6,4023 5,5974 4,7793 3,9868 3,2281 2,4829 1,7172 0,9053 0,0467 -0,8364 -1,7070 -2,5173 -3,2182 -3,7715 -4,1572 -4,3761 -4,4539 -4,4393 -4,3850 -4,3268 -4,2791 -4,2410 -4,2018 -4,1381 -4,0089 -3,7707 -3,4090 -2,9561 -2,4737 -2,0162 -1,6085 -1,2421 -0,8864 -0,5066 -0,0795 0,4026 0,9337 1,4950 2,0560 2,5863 3,0708 3,5104 3,9071 4,2576 4,5604 4,8220 5,0511 5,2530 5,4335 5,6081 5,8036 6,0542 6,3826 6,7817 7,2152 7,6356 7,9986 8,2794 8,4818 8,6283 8,7399 8,8254 8,8840 8,9152 8,9230 8,9091 8,8663 8,7811 8,6446 8,4640 8,2681 8,1011 8,0055 8,0046 8,0930 8,2337 8,3648 8,4217 8,3681 8,2118 7,9957 7,7698 7,5607 7,3635 7,1607 6,9459 6,7310 6,5378 6,3881 6,2907 6,2301 6,1727 6,0933 5,9976 5,9130 5,8564 5,8115
