Fp1   0,1856 -0,0114 -0,2284 -0,3779 -0,4070 -0,3179 -0,1574 0,0104 0,1227 0,1209 -0,0377 -0,3419 -0,6941 -0,9448 -0,9856 -0,8098 -0,4746 -0,0337 0,4679 0,9664 1,3931 1,7226 1,9906 2,2610 2,5732 2,9147 3,2394 3,4865 3,5744 3,4066 2,9068 2,0664 0,9729 -0,2075 -1,2793 -2,0692 -2,4762 -2,5064 -2,2683 -1,9220 -1,6082 -1,3948 -1,2812 -1,2523 -1,3037 -1,4215 -1,5815 -1,7724 -1,9932 -2,2224 -2,3988 -2,4536 -2,3632 -2,1702 -1,9720 -1,8914 -2,0189 -2,3760 -2,9486 -3,7068 -4,5698 -5,4020 -6,0665 -6,4789 -6,6364 -6,5959 -6,4140 -6,1217 -5,7384 -5,2694 -4,7029 -4,0387 -3,3091 -2,5725 -1,9131 -1,4353 -1,2341 -1,3629 -1,8113 -2,4800 -3,1775 -3,6753 -3,8111 -3,5693 -3,0837 -2,5556 -2,1292 -1,8244 -1,5797 -1,3301 -1,0411 -0,7079 -0,3581 -0,0520 0,1425 0,1866 0,0779 -0,1711 -0,5420 -0,9935 -1,4532 -1,8488 -2,1645 -2,4537 -2,7855 -3,1955 -3,6781 -4,1803 -4,5889 -4,7713 -4,6531 -4,2403 -3,5698 -2,6743 -1,5961 -0,4109 0,7691 1,8273 2,6827 3,3030 3,7085 3,9584 4,0999 4,1359 4,0365 3,7572 3,2752 2,6465 1,9971 1,4279 0,9352 0,4364 -0,1245 -0,6834 -1,0686 -1,1399 -0,9190 -0,5655 -0,2372 0,0150 0,2423 0,5317 0,9503 1,5259 2,2576 3,1220 4,0477 4,8918 5,4761 5,6721 5,4818 5,0487 4,5716 4,1945 3,9709 3,8913 3,9184 4,0068 4,1045 4,1694 4,2037 4,2604 4,4077 4,6846 5,0914 5,6172 6,2518 6,9496 7,5941 8,0424 8,2426 8,3022 8,4128 8,7020 9,1574 9,6658 10,1052 10,4169 10,6120 10,7241 10,7666 10,7402 10,6818 10,6855 10,8459 11,1795 11,6127 12,0176 12,2424 12,1689 11,7952 11,2582 10,7674 10,5010 10,5200 10,7576 11,0872 11,3961 11,6011 11,6367 11,4588 11,0580 10,4805 9,8409 9,3028 9,0345 9,1472 9,6375 10,3809 11,1801 11,8304 12,1806 12,1669 11,7979 11,1305 10,2587 9,2939 8,3401 7,4977 6,8628 6,4853 6,3257 6,2887 6,3176 6,4355 6,6748 6,9864 7,2455 7,3461 7,2761 7,1104 6,9627 6,9393 7,0937 7,4047 7,8115 8,2635 8,7223 9,1069 9,2605 9,0214 8,3454 7,3480 6,2446 5,2573 4,5493 4,2105 4,2517 4,5762 4,9928 5,3159 5,4664 5,4582 5,3099 5,0146 4,5765 4,0275 3,4173 2,8043 2,2499 1,8080 1,5172 1,4030 1,4667 1,6621 1,9087 2,1403 2,3305 2,4861 2,6374 2,8214 3,0651 3,3911 3,8253 4,3883 5,0744 5,8194 6,4982 6,9766 7,1478 6,9330 6,3092 5,3381 4,1468 2,9127 1,8502 1,1442 0,8786 1,0305 1,5087 2,1851 2,9218 3,6098 4,1938 4,6426 4,9094 4,9569 4,8132 4,5664 4,2932 3,9982 3,6256 3,1275 2,5203 1,8847 1,3211 0,9129 0,7065 0,6887 0,7927 0,9479 1,1276 1,3485 1,6282 1,9488 2,2601 2,5100 2,6724 2,7569 2,7978 2,8301 2,8890 3,0273 3,2934 3,6813 4,1179 4,4906 4,6817 4,6020 4,2136 3,5340 2,6517 1,7409 1,0027 0,5677 0,4697 0,6939 1,1931 1,8570 2,5238 3,0655 3,4617 3,7737 4,0561 4,2972 4,4135 4,2897 3,8582 3,1738 2,4159 1,8054 1,4888 1,4769 1,6754 1,9644 2,2657 2,5516 2,7962 2,9467 2,9728 2,9273 2,9157 2,9990 3,1374 3,2333 3,2141 3,0678 2,8356 2,5978 2,4342 2,3639 2,3250 2,2320 2,0616 1,8914 1,8718 2,1594 2,8260 3,7912 4,8628 5,8560 6,6655 7,2504 7,5910 7,6705 7,4782 7,0220 6,3547 5,5931 4,8959 4,4048 4,1853 4,2007 4,3363 4,4490 4,4108 4,1510 3,6853 3,0903 2,4528 1,8593 1,4029 1,1510 1,1054 1,2139 1,4129 1,6513 1,8812 2,0385 2,0444 1,8334 1,3929 0,7944 0,1867 -0,2758 -0,5164 -0,5431 -0,3941 -0,1226 0,1839 0,4288 0,5675 0,6194 0,6300 0,6387 0,6827 0,8145 1,0830 1,4865 1,9683 2,4526 2,8580 3,1091 3,1915 3,2019 3,3147 3,6753 4,3004 5,0628 5,7549 6,1566 6,0721 5,3728 4,0674 2,3421 0,5141 -1,0744 -2,1586 -2,6045 -2,3996 -1,6224 -0,4323 0,9469 2,2781 3,3712 4,1200 4,4959 4,5026 4,1368 3,3926 2,2957 0,9320 -0,5373 -1,8853 -2,8828 -3,3889 -3,3866 -2,9518 -2,2070 -1,2827 -0,2890 0,6981 1,6401 2,5173 3,2830 3,8348 4,0522 3,8813 3,3804 2,6878 1,9490 1,2816 0,8098 0,6751 0,9575 1,5945 2,4058 3,2070 3,9015 4,4745 4,9247 5,2198 5,3240 5,2648 5,1516 5,1127 5,2223 5,4771 5,8064 6,0959 6,2170 6,0587 5,5664 4,7592 3,6930 2,4202 1,0092 -0,4190 -1,7084 -2,7282 -3,4354 -3,8887 -4,1871 -4,3789 -4,4379 -4,3152 -3,9801 -3,4289 -2,7097 -1,9437 -1,2767 -0,7799 -0,4094 -0,0661 0,3204 0,7574 1,2377 1,8174 2,6046 3,6491 4,8657 6,0745 7,0917 7,7831 8,0843 8,0389 7,8312 7,7191 7,8951 8,4021 9,1469 9,9723 10,7419 11,3784 11,8513 12,1571 12,3060 12,3017 12,1333 11,7950 11,3082 10,7050 10,0025 9,2175 8,3874 7,5442 6,6923 5,8374 5,0392 4,4298 4,1558 4,2872 4,7622 5,3933 5,9385 6,2027 6,0982 5,6419 4,9231 4,0706 3,2055 2,3919 1,6421 0,9773 0,4787 0,2675 0,4210 0,9085 1,6103 2,3782 3,0778 3,6093 3,9091 3,9386 3,7071 3,3298 3,0224 2,9935 3,3339 3,9875 4,7959 5,5899 6,2751 6,8299 7,2438 7,4935 7,5598 7,4291 7,0939 6,5892
Fz    1,2264 1,1035 0,9687 0,8610 0,7990 0,7806 0,7974 0,8347 0,8582 0,8156 0,6644 0,4066 0,1027 -0,1505 -0,2698 -0,2317 -0,0701 0,1590 0,4018 0,6154 0,7773 0,8880 0,9658 1,0351 1,1089 1,1780 1,2226 1,2299 1,1903 1,0832 0,8768 0,5479 0,1052 -0,4010 -0,8858 -1,2551 -1,4462 -1,4630 -1,3741 -1,2707 -1,2189 -1,2365 -1,3032 -1,3894 -1,4739 -1,5418 -1,5861 -1,6178 -1,6652 -1,7532 -1,8812 -2,0291 -2,1820 -2,3397 -2,5109 -2,7055 -2,9191 -3,1251 -3,2883 -3,3778 -3,3703 -3,2606 -3,0655 -2,8142 -2,5441 -2,2970 -2,0982 -1,9405 -1,7954 -1,6276 -1,4021 -1,1011 -0,7413 -0,3711 -0,0512 0,1695 0,2661 0,2313 0,0771 -0,1430 -0,3256 -0,3514 -0,1513 0,2441 0,7207 1,1508 1,4588 1,6366 1,7179 1,7478 1,7652 1,7944 1,8426 1,8926 1,9016 1,8216 1,6318 1,3511 1,0264 0,7126 0,4544 0,2681 0,1287 -0,0213 -0,2406 -0,5623 -0,9894 -1,4950 -2,0181 -2,4764 -2,8023 -2,9641 -2,9564 -2,7860 -2,4712 -2,0504 -1,5841 -1,1356 -0,7463 -0,4325 -0,1943 -0,0255 0,0670 0,0573 -0,0778 -0,3336 -0,6653 -0,9927 -1,2348 -1,3561 -1,3840 -1,3738 -1,3530 -1,2880 -1,0960 -0,7026 -0,1046 0,6217 1,3741 2,0861 2,7454 3,3688 3,9708 4,5524 5,1116 5,6531 6,1748 6,6435 6,9942 7,1620 7,1275 6,9381 6,6809 6,4372 6,2625 6,1880 6,2233 6,3545 6,5450 6,7488 6,9281 7,0615 7,1460 7,1989 7,2523 7,3449 7,5064 7,7324 7,9669 8,1318 8,1936 8,2020 8,2547 8,4201 8,6940 9,0190 9,3319 9,5977 9,8113 9,9766 10,0886 10,1403 10,1423 10,1245 10,1103 10,0983 10,0652 9,9675 9,7481 9,3791 8,9091 8,4512 8,1229 7,9932 8,0601 8,2545 8,4700 8,6043 8,5899 8,4052 8,0754 7,6627 7,2455 6,8984 6,6837 6,6419 6,7738 7,0249 7,2991 7,4953 7,5440 7,4284 7,1861 6,8841 6,5830 6,3129 6,0737 5,8517 5,6398 5,4455 5,2853 5,1701 5,0981 5,0633 5,0646 5,0971 5,1356 5,1419 5,1039 5,0617 5,0802 5,2068 5,4566 5,8118 6,2255 6,6344 6,9746 7,1919 7,2396 7,0703 6,6545 6,0271 5,2983 4,5989 4,0148 3,5709 3,2617 3,0764 2,9884 2,9455 2,8903 2,7925 2,6510 2,4649 2,2262 1,9428 1,6461 1,3717 1,1393 0,9496 0,7900 0,6492 0,5362 0,4799 0,4967 0,5652 0,6424 0,6951 0,7102 0,6952 0,6721 0,6669 0,6972 0,7708 0,8879 1,0401 1,2023 1,3341 1,3953 1,3504 1,1707 0,8564 0,4527 0,0326 -0,3231 -0,5359 -0,5489 -0,3522 0,0128 0,4720 0,9433 1,3554 1,6610 1,8441 1,9170 1,9027 1,8226 1,6992 1,5583 1,4201 1,2896 1,1567 1,0068 0,8376 0,6719 0,5481 0,4932 0,5043 0,5513 0,5958 0,6172 0,6295 0,6736 0,7883 0,9803 1,2152 1,4385 1,6088 1,7210 1,8032 1,8894 1,9987 2,1341 2,2826 2,4126 2,4864 2,4756 2,3659 2,1574 1,8626 1,5040 1,1200 0,7661 0,4883 0,2931 0,1647 0,1116 0,1688 0,3470 0,6013 0,8670 1,1132 1,3456 1,5675 1,7540 1,8612 1,8498 1,7071 1,4603 1,1829 0,9727 0,8985 0,9598 1,1014 1,2590 1,3919 1,4923 1,5683 1,6211 1,6487 1,6651 1,7027 1,7907 1,9277 2,0787 2,1979 2,2565 2,2537 2,2123 2,1633 2,1223 2,0749 1,9923 1,8697 1,7434 1,6727 1,7148 1,9012 2,2237 2,6413 3,1020 3,5584 3,9746 4,3213 4,5630 4,6613 4,6059 4,4370 4,2237 4,0244 3,8692 3,7578 3,6602 3,5378 3,3719 3,1673 2,9359 2,6902 2,4395 2,1839 1,9244 1,6830 1,5013 1,4154 1,4371 1,5526 1,7285 1,9153 2,0536 2,0860 1,9713 1,6974 1,2934 0,8337 0,4164 0,1237 -0,0015 0,0436 0,2233 0,4681 0,7039 0,8827 0,9910 1,0411 1,0570 1,0607 1,0675 1,0825 1,0958 1,0918 1,0624 1,0068 0,9270 0,8425 0,8084 0,9052 1,1959 1,6771 2,2668 2,8416 3,2830 3,4943 3,4095 3,0171 2,3833 1,6455 0,9690 0,4862 0,2574 0,2760 0,4973 0,8567 1,2784 1,6894 2,0376 2,3049 2,4971 2,6137 2,6371 2,5511 2,3569 2,0677 1,7082 1,3248 0,9809 0,7334 0,6154 0,6326 0,7623 0,9568 1,1646 1,3588 1,5441 1,7336 1,9160 2,0444 2,0507 1,8845 1,5509 1,1158 0,6739 0,3091 0,0751 -0,0117 0,0244 0,1274 0,2381 0,3295 0,4161 0,5264 0,6682 0,8140 0,9155 0,9421 0,9115 0,8802 0,8999 0,9797 1,0861 1,1730 1,2063 1,1659 1,0465 0,8619 0,6356 0,3895 0,1527 -0,0297 -0,1117 -0,0783 0,0347 0,1533 0,2134 0,2147 0,2255 0,3298 0,5780 0,9762 1,4839 2,0197 2,4995 2,8879 3,2106 3,5170 3,8350 4,1582 4,4756 4,8104 5,2124 5,7090 6,2713 6,8232 7,2742 7,5525 7,6333 7,5575 7,4267 7,3629 7,4525 7,7169 8,1175 8,5769 9,0093 9,3464 9,5489 9,6053 9,5260 9,3332 9,0538 8,7215 8,3719 8,0204 7,6491 7,2305 6,7573 6,2427 5,7032 5,1548 4,6233 4,1539 3,7980 3,5844 3,4981 3,4743 3,4180 3,2395 2,8848 2,3477 1,6711 0,9331 0,2134 -0,4346 -0,9810 -1,3971 -1,6423 -1,6798 -1,5132 -1,2027 -0,8410 -0,5108 -0,2627 -0,1165 -0,0654 -0,0740 -0,0774 0,0098 0,2612 0,7010 1,2960 1,9784 2,6689 3,2941 3,8040 4,1765 4,4112 4,5236 4,5436 4,5026 4,4188 4,3056
F3    1,4408 1,4502 1,4559 1,4568 1,4456 1,4004 1,3003 1,1374 0,9055 0,5894 0,1812 -0,2884 -0,7430 -1,0906 -1,2688 -1,2678 -1,1139 -0,8418 -0,4886 -0,0909 0,3326 0,7906 1,2966 1,8301 2,3193 2,6656 2,7910 2,6656 2,3057 1,7579 1,0777 0,3173 -0,4636 -1,1832 -1,7416 -2,0549 -2,1017 -1,9435 -1,6986 -1,4834 -1,3532 -1,2819 -1,2070 -1,1034 -1,0108 -0,9984 -1,1127 -1,3493 -1,6591 -1,9735 -2,2278 -2,3822 -2,4313 -2,3923 -2,2943 -2,1836 -2,1149 -2,1303 -2,2442 -2,4266 -2,5974 -2,6644 -2,5759 -2,3401 -2,0132 -1,6702 -1,3698 -1,1363 -0,9635 -0,8223 -0,6729 -0,4832 -0,2334 0,0807 0,4297 0,7499 0,9803 1,0922 1,0864 0,9812 0,8179 0,6672 0,6062 0,6754 0,8571 1,0996 1,3656 1,6506 1,9545 2,2552 2,5137 2,6912 2,7670 2,7432 2,6321 2,4432 2,1881 1,8920 1,5928 1,3216 1,0835 0,8645 0,6449 0,3935 0,0651 -0,3813 -0,9514 -1,5909 -2,1879 -2,6166 -2,7958 -2,7118 -2,3995 -1,9250 -1,3798 -0,8609 -0,4359 -0,1219 0,1012 0,2565 0,3507 0,3773 0,3285 0,2014 -0,0058 -0,2962 -0,6516 -1,0133 -1,3081 -1,5000 -1,6074 -1,6716 -1,7065 -1,6764 -1,5231 -1,2109 -0,7542 -0,2130 0,3346 0,8314 1,2673 1,6695 2,0765 2,5264 3,0589 3,7037 4,4472 5,2120 5,8871 6,3845 6,6802 6,8099 6,8306 6,7842 6,6950 6,5810 6,4595 6,3364 6,1954 6,0132 5,7889 5,5528 5,3511 5,2297 5,2268 5,3649 5,6355 5,9923 6,3591 6,6521 6,8246 6,9052 6,9794 7,1266 7,3787 7,7224 8,1139 8,5000 8,8395 9,1054 9,2716 9,3111 9,2209 9,0323 8,7849 8,5034 8,2113 7,9324 7,6574 7,3414 6,9610 6,5584 6,2203 6,0259 6,0145 6,1834 6,4951 6,8801 7,2474 7,5171 7,6453 7,6153 7,4245 7,0946 6,6840 6,2740 5,9366 5,7080 5,5890 5,5510 5,5344 5,4734 5,3408 5,1522 4,9302 4,6822 4,4104 4,1266 3,8660 3,6872 3,6424 3,7421 3,9501 4,2118 4,4805 4,7151 4,8612 4,8612 4,7057 4,4651 4,2492 4,1474 4,2153 4,4773 4,9125 5,4513 5,9979 6,4543 6,7228 6,7086 6,3638 5,7424 4,9891 4,2658 3,6817 3,2756 3,0432 2,9585 2,9669 2,9863 2,9474 2,8313 2,6570 2,4333 2,1434 1,7759 1,3482 0,9021 0,4868 0,1368 -0,1448 -0,3748 -0,5563 -0,6669 -0,6889 -0,6359 -0,5415 -0,4269 -0,2876 -0,1075 0,1145 0,3547 0,5793 0,7656 0,9098 1,0200 1,0990 1,1384 1,1271 1,0502 0,8813 0,6000 0,2214 -0,1980 -0,5676 -0,7828 -0,7699 -0,5250 -0,1075 0,3968 0,9027 1,3398 1,6670 1,8751 1,9665 1,9317 1,7503 1,4142 0,9537 0,4479 0,0015 -0,3103 -0,4757 -0,5200 -0,4692 -0,3536 -0,2222 -0,1229 -0,0749 -0,0710 -0,0935 -0,1123 -0,0859 0,0114 0,1637 0,3264 0,4643 0,5733 0,6728 0,7784 0,8829 0,9684 1,0353 1,1018 1,1714 1,2152 1,1925 1,0769 0,8631 0,5624 0,1979 -0,1967 -0,5843 -0,9432 -1,2746 -1,5736 -1,7972 -1,8871 -1,8233 -1,6324 -1,3454 -0,9650 -0,4875 0,0466 0,5383 0,8611 0,9045 0,6255 0,0851 -0,5653 -1,1473 -1,5257 -1,6492 -1,5374 -1,2422 -0,8256 -0,3643 0,0453 0,3041 0,3587 0,2470 0,0906 0,0261 0,1289 0,3841 0,7190 1,0603 1,3647 1,6113 1,7813 1,8473 1,7799 1,5830 1,3253 1,1161 1,0511 1,1838 1,5196 2,0104 2,5708 3,1171 3,5879 3,9330 4,1033 4,0563 3,7685 3,2523 2,5701 1,8267 1,1396 0,6068 0,2857 0,1777 0,2295 0,3614 0,4994 0,5925 0,6189 0,5767 0,4683 0,3051 0,1196 -0,0541 -0,2099 -0,3602 -0,4977 -0,5935 -0,6382 -0,6753 -0,7828 -1,0230 -1,4008 -1,8555 -2,2813 -2,5738 -2,6749 -2,5885 -2,3628 -2,0721 -1,8014 -1,6168 -1,5321 -1,5075 -1,4791 -1,3920 -1,2152 -0,9511 -0,6503 -0,4013 -0,2772 -0,2895 -0,4020 -0,5689 -0,7420 -0,8598 -0,8465 -0,6372 -0,2241 0,3203 0,8726 1,3026 1,4958 1,3682 0,8936 0,1290 -0,7881 -1,6745 -2,3578 -2,7295 -2,7572 -2,4614 -1,8953 -1,1321 -0,2631 0,6005 1,3474 1,8954 2,1943 2,2178 1,9693 1,4919 0,8569 0,1461 -0,5472 -1,1190 -1,4850 -1,6212 -1,5705 -1,4135 -1,2259 -1,0507 -0,8902 -0,7214 -0,5296 -0,3383 -0,2152 -0,2496 -0,5055 -0,9771 -1,5777 -2,1720 -2,6304 -2,8680 -2,8596 -2,6431 -2,3068 -1,9485 -1,6232 -1,3302 -1,0456 -0,7635 -0,5200 -0,3887 -0,4386 -0,6823 -1,0629 -1,4900 -1,8852 -2,2009 -2,4099 -2,4994 -2,4826 -2,4003 -2,2938 -2,1851 -2,0883 -2,0176 -1,9761 -1,9452 -1,8947 -1,8083 -1,7027 -1,6143 -1,5640 -1,5443 -1,5378 -1,5254 -1,4822 -1,3912 -1,2608 -1,1062 -0,9129 -0,6343 -0,2277 0,3105 0,9406 1,6107 2,2953 2,9986 3,7141 4,3895 4,9380 5,2779 5,3592 5,1804 4,8117 4,4016 4,1280 4,1228 4,4303 5,0031 5,7254 6,4600 7,0924 7,5459 7,7819 7,7948 7,6032 7,2413 6,7672 6,2660 5,8154 5,4375 5,0931 4,7207 4,2671 3,6924 2,9824 2,1797 1,4025 0,8108 0,5275 0,5604 0,7860 1,0143 1,0820 0,9074 0,4895 -0,1210 -0,8501 -1,6223 -2,3763 -3,0564 -3,5885 -3,8787 -3,8528 -3,5044 -2,9053 -2,1764 -1,4505 -0,8429 -0,4277 -0,2210 -0,1873 -0,2638 -0,3761 -0,4444 -0,4007 -0,2124 0,1029 0,4809 0,8422 1,1419 1,3925 1,6412 1,9272 2,2474 2,5549 2,7914 2,9249
F7    0,0320 -0,0021 -0,0509 -0,0970 -0,1265 -0,1321 -0,1045 -0,0313 0,0884 0,2238 0,3207 0,3400 0,2885 0,2121 0,1644 0,1802 0,2655 0,3989 0,5408 0,6515 0,7087 0,7109 0,6709 0,6065 0,5346 0,4645 0,4032 0,3645 0,3596 0,3771 0,3833 0,3408 0,2270 0,0443 -0,1781 -0,3946 -0,5656 -0,6764 -0,7391 -0,7760 -0,8007 -0,8124 -0,8049 -0,7761 -0,7242 -0,6426 -0,5302 -0,4063 -0,3014 -0,2296 -0,1790 -0,1320 -0,0899 -0,0737 -0,1098 -0,2145 -0,3792 -0,5687 -0,7391 -0,8557 -0,9059 -0,9061 -0,8917 -0,8935 -0,9206 -0,9570 -0,9709 -0,9317 -0,8217 -0,6367 -0,3841 -0,0829 0,2424 0,5738 0,8988 1,1969 1,4312 1,5548 1,5373 1,3998 1,2245 1,1201 1,1610 1,3400 1,5760 1,7715 1,8683 1,8646 1,8001 1,7332 1,7156 1,7712 1,8902 2,0396 2,1796 2,2768 2,3059 2,2496 2,1070 1,8979 1,6505 1,3822 1,0952 0,7884 0,4735 0,1785 -0,0662 -0,2478 -0,3754 -0,4692 -0,5460 -0,6116 -0,6602 -0,6800 -0,6648 -0,6230 -0,5784 -0,5561 -0,5701 -0,6227 -0,7077 -0,8117 -0,9203 -1,0242 -1,1154 -1,1770 -1,1826 -1,1068 -0,9402 -0,6998 -0,4252 -0,1560 0,0930 0,3426 0,6365 1,0070 1,4429 1,8934 2,3050 2,6548 2,9532 3,2201 3,4647 3,6847 3,8792 4,0571 4,2294 4,3932 4,5316 4,6326 4,7035 4,7621 4,8205 4,8834 4,9555 5,0410 5,1336 5,2132 5,2615 5,2817 5,2989 5,3373 5,4053 5,4996 5,6153 5,7518 5,9077 6,0647 6,1783 6,2016 6,1245 5,9878 5,8507 5,7450 5,6636 5,5866 5,5068 5,4356 5,3945 5,4025 5,4660 5,5764 5,7127 5,8408 5,9174 5,9052 5,7902 5,5843 5,3160 5,0220 4,7430 4,5195 4,3789 4,3249 4,3385 4,3849 4,4171 4,3910 4,2852 4,1076 3,8896 3,6767 3,5189 3,4601 3,5302 3,7311 4,0209 4,3184 4,5388 4,6375 4,6227 4,5318 4,4003 4,2463 4,0750 3,8897 3,6956 3,4961 3,2887 3,0706 2,8460 2,6232 2,4068 2,2020 2,0253 1,8983 1,8275 1,7996 1,8024 1,8407 1,9227 2,0389 2,1693 2,3016 2,4340 2,5632 2,6775 2,7657 2,8264 2,8655 2,8841 2,8759 2,8312 2,7403 2,5923 2,3815 2,1170 1,8226 1,5236 1,2399 0,9864 0,7702 0,5894 0,4325 0,2852 0,1438 0,0211 -0,0623 -0,0932 -0,0757 -0,0319 0,0104 0,0343 0,0389 0,0258 -0,0051 -0,0455 -0,0793 -0,0995 -0,1147 -0,1338 -0,1523 -0,1582 -0,1432 -0,1046 -0,0417 0,0374 0,1134 0,1659 0,1851 0,1715 0,1338 0,0891 0,0601 0,0686 0,1300 0,2449 0,3945 0,5493 0,6878 0,8093 0,9312 1,0726 1,2393 1,4184 1,5843 1,7122 1,7898 1,8142 1,7821 1,6899 1,5453 1,3697 1,1869 1,0111 0,8476 0,7015 0,5812 0,4904 0,4228 0,3717 0,3412 0,3433 0,3882 0,4774 0,6051 0,7633 0,9398 1,1160 1,2700 1,3780 1,4185 1,3824 1,2767 1,1166 0,9187 0,7000 0,4797 0,2796 0,1180 0,0003 -0,0814 -0,1367 -0,1735 -0,2028 -0,2332 -0,2569 -0,2539 -0,2137 -0,1495 -0,0827 -0,0240 0,0272 0,0717 0,1057 0,1240 0,1246 0,1091 0,0826 0,0600 0,0634 0,1020 0,1595 0,2079 0,2260 0,2079 0,1672 0,1366 0,1531 0,2385 0,3904 0,5871 0,7991 0,9953 1,1486 1,2461 1,2943 1,3117 1,3202 1,3382 1,3727 1,4113 1,4303 1,4163 1,3780 1,3355 1,3045 1,2884 1,2783 1,2613 1,2287 1,1776 1,1134 1,0525 1,0119 0,9929 0,9829 0,9709 0,9536 0,9261 0,8781 0,7979 0,6783 0,5231 0,3519 0,1946 0,0801 0,0264 0,0307 0,0677 0,1020 0,1088 0,0861 0,0470 0,0061 -0,0298 -0,0644 -0,1081 -0,1701 -0,2569 -0,3783 -0,5513 -0,7874 -1,0747 -1,3745 -1,6365 -1,8170 -1,8873 -1,8403 -1,6986 -1,5143 -1,3514 -1,2562 -1,2353 -1,2585 -1,2827 -1,2740 -1,2183 -1,1202 -0,9961 -0,8675 -0,7554 -0,6712 -0,6081 -0,5414 -0,4398 -0,2843 -0,0865 0,1100 0,2489 0,2822 0,1832 -0,0447 -0,3647 -0,7144 -1,0229 -1,2312 -1,3103 -1,2693 -1,1454 -0,9809 -0,8036 -0,6212 -0,4332 -0,2483 -0,0921 0,0032 0,0174 -0,0407 -0,1352 -0,2236 -0,2773 -0,2902 -0,2759 -0,2536 -0,2351 -0,2196 -0,2006 -0,1801 -0,1683 -0,1663 -0,1563 -0,1156 -0,0380 0,0601 0,1510 0,2083 0,2123 0,1486 0,0103 -0,1943 -0,4395 -0,6916 -0,9240 -1,1263 -1,2985 -1,4407 -1,5478 -1,6111 -1,6251 -1,5926 -1,5299 -1,4626 -1,4063 -1,3505 -1,2747 -1,1796 -1,0961 -1,0585 -1,0727 -1,1147 -1,1567 -1,1829 -1,1903 -1,1879 -1,1925 -1,2148 -1,2455 -1,2592 -1,2334 -1,1673 -1,0841 -1,0144 -0,9722 -0,9482 -0,9211 -0,8676 -0,7659 -0,6050 -0,3933 -0,1534 0,0937 0,3379 0,5825 0,8397 1,1183 1,4151 1,7128 1,9826 2,1942 2,3342 2,4148 2,4602 2,4907 2,5237 2,5844 2,7065 2,9155 3,2080 3,5510 3,8990 4,2108 4,4597 4,6375 4,7471 4,7863 4,7428 4,6070 4,3846 4,0954 3,7673 3,4281 3,0971 2,7852 2,5050 2,2733 2,0990 1,9684 1,8508 1,7212 1,5720 1,4076 1,2370 1,0735 0,9312 0,8201 0,7431 0,6925 0,6500 0,5937 0,5042 0,3670 0,1807 -0,0305 -0,2260 -0,3769 -0,4832 -0,5637 -0,6355 -0,7057 -0,7760 -0,8473 -0,9171 -0,9747 -1,0006 -0,9695 -0,8609 -0,6762 -0,4410 -0,1881 0,0567 0,2745 0,4517 0,5775 0,6417 0,6413 0,5930 0,5344 0,5093 0,5474
