Fp1   1,6772 1,8357 2,0026 2,1516 2,2499 2,2756 2,2258 2,1144 1,9697 1,8348 1,7601 1,7776 1,8812 2,0349 2,1889 2,2916 2,3073 2,2309 2,0807 1,8801 1,6457 1,3858 1,1069 0,8226 0,5542 0,3117 0,0788 -0,1681 -0,4208 -0,6319 -0,7539 -0,7854 -0,7747 -0,7828 -0,8544 -1,0148 -1,2574 -1,5358 -1,7940 -2,0105 -2,2017 -2,3947 -2,6089 -2,8570 -3,1475 -3,4796 -3,8351 -4,1819 -4,4829 -4,7026 -4,8120 -4,7964 -4,6694 -4,4839 -4,3180 -4,2320 -4,2340 -4,2905 -4,3648 -4,4332 -4,4758 -4,4743 -4,4182 -4,3096 -4,1690 -4,0328 -3,9343 -3,8902 -3,8948 -3,9200 -3,9279 -3,8898 -3,7929 -3,6407 -3,4540 -3,2661 -3,1092 -3,0004 -2,9374 -2,9043 -2,8831 -2,8622 -2,8382 -2,8165 -2,8050 -2,8034 -2,8055 -2,8103 -2,8187 -2,8216 -2,8090 -2,7899 -2,7871 -2,8217 -2,9068 -3,0448 -3,2174 -3,3845 -3,4993 -3,5332 -3,4876 -3,3808 -3,2311 -3,0597 -2,9050 -2,8250 -2,8800 -3,1073 -3,5041 -4,0309 -4,6335 -5,2651 -5,8896 -6,4740 -6,9877 -7,4133 -7,7589 -8,0567 -8,3471 -8,6578 -8,9916 -9,3253 -9,6196 -9,8399 -9,9725 -10,0263 -10,0230 -9,9824 -9,9089 -9,7891 -9,6048 -9,3426 -8,9929 -8,5542 -8,0444 -7,5036 -6,9754 -6,4857 -6,0383 -5,6278 -5,2470 -4,8825 -4,5082 -4,0866 -3,5798 -2,9659 -2,2493 -1,4583 -0,6332 0,1854 0,9683 1,6996 2,3687 2,9663 3,4904 3,9462 4,3339 4,6432 4,8632 5,0051 5,1111 5,2291 5,3741 5,5186 5,6243 5,6776 5,6919 5,6914 5,6987 5,7251 5,7631 5,7915 5,7830 5,7065 5,5359 5,2729 4,9590 4,6615 4,4408 4,3194 4,2779 4,2836 4,3308 4,4462 4,6492 4,9117 5,1642 5,3402 5,4196 5,4391 5,4585 5,5124 5,5947 5,6860 5,7826 5,8987 6,0542 6,2582 6,4960 6,7370 6,9538 7,1286 7,2451 7,2812 7,2052 6,9852 6,6110 6,1108 5,5435 4,9727 4,4518 4,0213 3,7071 3,5130 3,4156 3,3617 3,2780 3,1015 2,8131 2,4434 2,0567 1,7261 1,5015 1,3821 1,3238 1,2751 1,2045 1,1021 0,9686 0,8082 0,6319 0,4617 0,3177 0,2045 0,1237 0,0925 0,1331 0,2481 0,4197 0,6277 0,8627 1,1259 1,4163 1,7148 1,9839 2,1882 2,3138 2,3664 2,3610 2,3146 2,2423 2,1524 2,0427 1,9057 1,7394 1,5539 1,3713 1,2222 1,1366 1,1319 1,2032 1,3213 1,4478 1,5545 1,6287 1,6662 1,6650 1,6173 1,5036 1,3006 1,0040 0,6413 0,2633 -0,0774 -0,3480 -0,5453 -0,6863 -0,7890 -0,8541 -0,8605 -0,7843 -0,6212 -0,3979 -0,1719 -0,0139 0,0298 -0,0375 -0,1724 -0,3214 -0,4426 -0,5099 -0,5107 -0,4525 -0,3689 -0,3132 -0,3381 -0,4796 -0,7486 -1,1227 -1,5464 -1,9516 -2,2847 -2,5159 -2,6265 -2,6005 -2,4424 -2,1960 -1,9387 -1,7546 -1,7025 -1,7947 -1,9953 -2,2309 -2,4168 -2,4934 -2,4507 -2,3251 -2,1758 -2,0550 -1,9856 -1,9662 -1,9887 -2,0436 -2,1137 -2,1790 -2,2261 -2,2448 -2,2189 -2,1318 -1,9845 -1,7968 -1,5909 -1,3824 -1,1886 -1,0298 -0,9125 -0,8224 -0,7419 -0,6602 -0,5716 -0,4762 -0,3802 -0,2844 -0,1790 -0,0571 0,0710 0,1854 0,2695 0,3093 0,2923 0,2171 0,0950 -0,0579 -0,2253 -0,3966 -0,5742 -0,7667 -0,9726 -1,1702 -1,3203 -1,3785 -1,3188 -1,1526 -0,9255 -0,7026 -0,5549 -0,5433 -0,6925 -0,9695 -1,2970 -1,5946 -1,8103 -1,9225 -1,9334 -1,8705 -1,7875 -1,7412 -1,7574 -1,8157 -1,8615 -1,8313 -1,6905 -1,4609 -1,2055 -0,9816 -0,8117 -0,6940 -0,6202 -0,5801 -0,5648 -0,5802 -0,6473 -0,7807 -0,9667 -1,1653 -1,3313 -1,4430 -1,5136 -1,5650 -1,5953 -1,5792 -1,4920 -1,3229 -1,0743 -0,7584 -0,3915 0,0076 0,4096 0,7707 1,0471 1,2126 1,2590 1,1876 1,0081 0,7445 0,4348 0,1210 -0,1626 -0,3916 -0,5447 -0,6054 -0,5771 -0,4900 -0,3832 -0,2765 -0,1544 0,0231 0,2906 0,6477 1,0529 1,4409 1,7566 1,9829 2,1397 2,2634 2,3905 2,5490 2,7457 2,9592 3,1481 3,2707 3,3055 3,2556 3,1345 2,9441 2,6738 2,3294 1,9615 1,6528 1,4724 1,4318 1,4738 1,5072 1,4578 1,2954 1,0318 0,7129 0,4074 0,1834 0,0825 0,1083 0,2322 0,4076 0,5852 0,7275 0,8165 0,8542 0,8484 0,7910 0,6578 0,4392 0,1595 -0,1402 -0,4280 -0,6819 -0,8789 -1,0002 -1,0485 -1,0531 -1,0556 -1,0943 -1,1913 -1,3399 -1,5070 -1,6603 -1,7896 -1,8971 -1,9763 -2,0145 -2,0157 -2,0127 -2,0494 -2,1571 -2,3479 -2,6151 -2,9304 -3,2514 -3,5441 -3,7951 -3,9993 -4,1448 -4,2191 -4,2224 -4,1678 -4,0767 -3,9760 -3,8914 -3,8393 -3,8227 -3,8334 -3,8521 -3,8460 -3,7729 -3,5963 -3,3003 -2,8932 -2,4064 -1,8900 -1,3940 -0,9435 -0,5387 -0,1766 0,1345 0,3796 0,5456 0,6272 0,6328 0,5843 0,5089 0,4300 0,3632 0,3175 0,2925 0,2737 0,2350 0,1543 0,0323 -0,1076 -0,2405 -0,3549 -0,4493 -0,5204 -0,5589 -0,5563 -0,5141 -0,4365 -0,3183 -0,1539 0,0423 0,2334 0,3840 0,4852 0,5537 0,6119 0,6684 0,7108 0,7158 0,6695 0,5823 0,4884 0,4255 0,3976 0,3609 0,2529 0,0451 -0,2298 -0,4915 -0,6514 -0,6562 -0,5153 -0,2913 -0,0643 0,1060 0,1994 0,2336 0,2493 0,2875 0,3613 0,4454 0,4984 0,4941 0,4266 0,2968 0,1029 -0,1473 -0,4153 -0,6327 -0,7327 -0,6879 -0,5236 -0,2973 -0,0696 0,1118 0,2139 0,2227 0,1497 0,0251 -0,1193 -0,2548 -0,3520
Fz    0,7893 0,7536 0,7572 0,8241 0,9574 1,1401 1,3516 1,5823 1,8392 2,1382 2,4913 2,8894 3,2958 3,6551 3,9113 4,0219 3,9684 3,7589 3,4208 2,9904 2,5058 2,0029 1,5153 1,0709 0,6848 0,3530 0,0543 -0,2343 -0,5181 -0,7796 -0,9930 -1,1439 -1,2373 -1,2912 -1,3313 -1,3907 -1,5002 -1,6728 -1,9006 -2,1659 -2,4514 -2,7462 -3,0462 -3,3530 -3,6713 -4,0050 -4,3492 -4,6887 -5,0002 -5,2534 -5,4181 -5,4739 -5,4180 -5,2717 -5,0793 -4,8923 -4,7487 -4,6653 -4,6461 -4,6860 -4,7655 -4,8563 -4,9363 -4,9979 -5,0467 -5,0921 -5,1367 -5,1726 -5,1852 -5,1557 -5,0648 -4,8999 -4,6579 -4,3485 -3,9994 -3,6555 -3,3644 -3,1606 -3,0591 -3,0601 -3,1551 -3,3288 -3,5587 -3,8197 -4,0867 -4,3391 -4,5683 -4,7787 -4,9733 -5,1376 -5,2483 -5,2934 -5,2804 -5,2316 -5,1736 -5,1249 -5,0846 -5,0318 -4,9384 -4,7849 -4,5669 -4,2901 -3,9703 -3,6405 -3,3552 -3,1787 -3,1619 -3,3249 -3,6534 -4,1071 -4,6347 -5,1867 -5,7237 -6,2237 -6,6828 -7,1119 -7,5305 -7,9615 -8,4198 -8,9048 -9,4001 -9,8761 -10,2963 -10,6306 -10,8690 -11,0242 -11,1184 -11,1665 -11,1616 -11,0727 -10,8606 -10,5002 -9,9934 -9,3718 -8,6891 -8,0064 -7,3736 -6,8190 -6,3497 -5,9570 -5,6208 -5,3103 -4,9885 -4,6217 -4,1910 -3,6944 -3,1398 -2,5369 -1,8946 -1,2200 -0,5201 0,1958 0,9105 1,5987 2,2341 2,8001 3,2912 3,7107 4,0708 4,3919 4,6982 5,0104 5,3340 5,6539 5,9417 6,1690 6,3159 6,3779 6,3729 6,3357 6,2976 6,2669 6,2260 6,1412 5,9790 5,7252 5,3980 5,0449 4,7260 4,4935 4,3747 4,3686 4,4571 4,6166 4,8169 5,0165 5,1725 5,2593 5,2837 5,2844 5,3095 5,3850 5,5016 5,6329 5,7589 5,8773 6,0038 6,1634 6,3724 6,6255 6,8953 7,1390 7,3068 7,3505 7,2318 6,9327 6,4685 5,8920 5,2805 4,7130 4,2480 3,9059 3,6642 3,4741 3,2889 3,0766 2,8152 2,4925 2,1172 1,7220 1,3510 1,0445 0,8259 0,6907 0,6064 0,5290 0,4216 0,2632 0,0492 -0,2074 -0,4753 -0,7120 -0,8846 -0,9853 -1,0226 -1,0044 -0,9376 -0,8381 -0,7262 -0,6098 -0,4808 -0,3315 -0,1727 -0,0376 0,0289 -0,0088 -0,1610 -0,4090 -0,7118 -1,0173 -1,2775 -1,4615 -1,5587 -1,5770 -1,5397 -1,4801 -1,4279 -1,3931 -1,3598 -1,2979 -1,1855 -1,0235 -0,8365 -0,6627 -0,5381 -0,4832 -0,4996 -0,5768 -0,7018 -0,8591 -1,0275 -1,1805 -1,2931 -1,3483 -1,3444 -1,2978 -1,2372 -1,1902 -1,1692 -1,1627 -1,1440 -1,0915 -1,0036 -0,8994 -0,8108 -0,7699 -0,7974 -0,8986 -1,0624 -1,2621 -1,4602 -1,6190 -1,7136 -1,7423 -1,7249 -1,6957 -1,6990 -1,7827 -1,9796 -2,2873 -2,6696 -3,0772 -3,4688 -3,8180 -4,1095 -4,3359 -4,4968 -4,5966 -4,6421 -4,6373 -4,5828 -4,4813 -4,3448 -4,1952 -4,0605 -3,9648 -3,9187 -3,9202 -3,9589 -4,0172 -4,0785 -4,1382 -4,2001 -4,2646 -4,3289 -4,3954 -4,4700 -4,5494 -4,6185 -4,6592 -4,6572 -4,6046 -4,5038 -4,3695 -4,2208 -4,0706 -3,9248 -3,7885 -3,6607 -3,5266 -3,3638 -3,1536 -2,8858 -2,5656 -2,2198 -1,8899 -1,6111 -1,3963 -1,2398 -1,1275 -1,0416 -0,9657 -0,8953 -0,8391 -0,8128 -0,8311 -0,8989 -1,0037 -1,1134 -1,1835 -1,1738 -1,0679 -0,8808 -0,6522 -0,4361 -0,2880 -0,2499 -0,3353 -0,5196 -0,7466 -0,9519 -1,0884 -1,1371 -1,1068 -1,0315 -0,9607 -0,9395 -0,9891 -1,0985 -1,2289 -1,3285 -1,3548 -1,2905 -1,1442 -0,9454 -0,7400 -0,5793 -0,5005 -0,5114 -0,5912 -0,7098 -0,8464 -0,9930 -1,1496 -1,3215 -1,5209 -1,7640 -2,0582 -2,3816 -2,6788 -2,8833 -2,9499 -2,8700 -2,6676 -2,3853 -2,0690 -1,7588 -1,4861 -1,2719 -1,1219 -1,0256 -0,9670 -0,9367 -0,9305 -0,9432 -0,9743 -1,0368 -1,1541 -1,3423 -1,5876 -1,8402 -2,0348 -2,1216 -2,0835 -1,9303 -1,6820 -1,3602 -0,9889 -0,5955 -0,2066 0,1525 0,4618 0,7129 0,9099 1,0616 1,1762 1,2580 1,3051 1,3146 1,2916 1,2503 1,2052 1,1634 1,1231 1,0708 0,9791 0,8199 0,5831 0,2843 -0,0436 -0,3717 -0,6933 -1,0200 -1,3604 -1,7050 -2,0292 -2,3046 -2,5057 -2,6126 -2,6120 -2,5049 -2,3147 -2,0840 -1,8601 -1,6838 -1,5845 -1,5737 -1,6417 -1,7696 -1,9463 -2,1648 -2,4094 -2,6570 -2,8895 -3,0968 -3,2742 -3,4203 -3,5352 -3,6182 -3,6696 -3,6918 -3,6867 -3,6551 -3,6030 -3,5486 -3,5194 -3,5358 -3,5980 -3,6885 -3,7852 -3,8710 -3,9395 -3,9959 -4,0534 -4,1232 -4,2061 -4,2923 -4,3690 -4,4274 -4,4622 -4,4672 -4,4356 -4,3698 -4,2869 -4,2134 -4,1688 -4,1530 -4,1448 -4,1121 -4,0232 -3,8506 -3,5722 -3,1781 -2,6797 -2,1135 -1,5321 -0,9854 -0,5053 -0,0974 0,2567 0,5881 0,9238 1,2752 1,6396 2,0053 2,3532 2,6590 2,9041 3,0807 3,1901 3,2391 3,2415 3,2168 3,1780 3,1212 3,0316 2,8977 2,7221 2,5216 2,3200 2,1391 1,9958 1,9010 1,8527 1,8315 1,8106 1,7737 1,7177 1,6470 1,5727 1,5184 1,5129 1,5708 1,6821 1,8160 1,9317 1,9916 1,9770 1,8961 1,7780 1,6543 1,5390 1,4196 1,2684 1,0632 0,8030 0,5130 0,2409 0,0412 -0,0475 -0,0178 0,1104 0,3001 0,5082 0,6956 0,8313 0,8926 0,8591 0,7172 0,4746 0,1659 -0,1645 -0,4855 -0,7897 -1,0845 -1,3707 -1,6304 -1,8316 -1,9403 -1,9306 -1,7942 -1,5479 -1,2345 -0,9168 -0,6614 -0,5161 -0,4964 -0,5865 -0,7446 -0,9147
F3    0,9946 1,0628 1,1471 1,2424 1,3432 1,4485 1,5664 1,7121 1,9069 2,1768 2,5369 2,9691 3,4144 3,7906 4,0176 4,0407 3,8461 3,4604 2,9335 2,3251 1,6975 1,1089 0,6086 0,2295 -0,0224 -0,1729 -0,2694 -0,3579 -0,4609 -0,5739 -0,6799 -0,7720 -0,8594 -0,9564 -1,0755 -1,2328 -1,4444 -1,7107 -2,0123 -2,3224 -2,6170 -2,8805 -3,1081 -3,3084 -3,5026 -3,7154 -3,9621 -4,2403 -4,5293 -4,7927 -4,9894 -5,0860 -5,0649 -4,9318 -4,7255 -4,5069 -4,3313 -4,2293 -4,2103 -4,2678 -4,3778 -4,5045 -4,6166 -4,7001 -4,7625 -4,8258 -4,9142 -5,0410 -5,1991 -5,3568 -5,4669 -5,4850 -5,3834 -5,1586 -4,8358 -4,4694 -4,1295 -3,8798 -3,7567 -3,7636 -3,8814 -4,0815 -4,3353 -4,6169 -4,9032 -5,1769 -5,4328 -5,6763 -5,9067 -6,1050 -6,2430 -6,3051 -6,2949 -6,2301 -6,1361 -6,0348 -5,9304 -5,8064 -5,6409 -5,4218 -5,1498 -4,8359 -4,5028 -4,1897 -3,9517 -3,8430 -3,8982 -4,1236 -4,5005 -4,9928 -5,5583 -6,1574 -6,7552 -7,3186 -7,8198 -8,2454 -8,6051 -8,9308 -9,2616 -9,6227 -10,0116 -10,3964 -10,7311 -10,9801 -11,1369 -11,2226 -11,2653 -11,2783 -11,2534 -11,1648 -10,9803 -10,6738 -10,2346 -9,6778 -9,0506 -8,4223 -7,8585 -7,3956 -7,0314 -6,7357 -6,4671 -6,1845 -5,8488 -5,4282 -4,9079 -4,2933 -3,6005 -2,8451 -2,0376 -1,1876 -0,3089 0,5785 1,4460 2,2586 2,9855 3,6079 4,1165 4,5100 4,7990 5,0068 5,1632 5,2963 5,4215 5,5371 5,6328 5,7028 5,7482 5,7748 5,7964 5,8305 5,8818 5,9356 5,9646 5,9383 5,8315 5,6380 5,3800 5,1001 4,8412 4,6314 4,4817 4,3957 4,3800 4,4432 4,5834 4,7773 4,9857 5,1672 5,2923 5,3530 5,3611 5,3371 5,3016 5,2753 5,2785 5,3282 5,4355 5,6043 5,8286 6,0940 6,3818 6,6667 6,9118 7,0690 7,0874 6,9313 6,5978 6,1250 5,5805 5,0377 4,5540 4,1576 3,8448 3,5901 3,3615 3,1295 2,8687 2,5622 2,2123 1,8441 1,4957 1,2051 0,9946 0,8573 0,7579 0,6485 0,4883 0,2565 -0,0402 -0,3702 -0,6850 -0,9368 -1,0991 -1,1724 -1,1705 -1,1029 -0,9763 -0,8051 -0,6078 -0,3943 -0,1662 0,0688 0,2859 0,4456 0,5112 0,4671 0,3230 0,1021 -0,1675 -0,4539 -0,7274 -0,9688 -1,1680 -1,3157 -1,4027 -1,4289 -1,4065 -1,3487 -1,2575 -1,1286 -0,9656 -0,7863 -0,6183 -0,4901 -0,4246 -0,4327 -0,5128 -0,6577 -0,8574 -1,0962 -1,3474 -1,5731 -1,7343 -1,8080 -1,7989 -1,7389 -1,6732 -1,6413 -1,6582 -1,7057 -1,7446 -1,7388 -1,6762 -1,5768 -1,4851 -1,4496 -1,5011 -1,6440 -1,8581 -2,1064 -2,3430 -2,5241 -2,6249 -2,6507 -2,6305 -2,6012 -2,6001 -2,6622 -2,8100 -3,0442 -3,3469 -3,6897 -4,0367 -4,3478 -4,5899 -4,7503 -4,8359 -4,8610 -4,8351 -4,7600 -4,6321 -4,4527 -4,2369 -4,0146 -3,8216 -3,6885 -3,6305 -3,6443 -3,7078 -3,7847 -3,8441 -3,8791 -3,9033 -3,9312 -3,9691 -4,0194 -4,0839 -4,1613 -4,2459 -4,3266 -4,3837 -4,3908 -4,3245 -4,1753 -3,9493 -3,6615 -3,3360 -3,0100 -2,7221 -2,4913 -2,3131 -2,1668 -2,0241 -1,8626 -1,6786 -1,4869 -1,3080 -1,1604 -1,0633 -1,0340 -1,0750 -1,1709 -1,2999 -1,4428 -1,5858 -1,7250 -1,8624 -1,9935 -2,1012 -2,1608 -2,1515 -2,0665 -1,9164 -1,7270 -1,5353 -1,3840 -1,3134 -1,3452 -1,4661 -1,6296 -1,7815 -1,8824 -1,9157 -1,8856 -1,8136 -1,7300 -1,6624 -1,6236 -1,6106 -1,6078 -1,5889 -1,5258 -1,4018 -1,2158 -0,9835 -0,7385 -0,5296 -0,4035 -0,3816 -0,4525 -0,5861 -0,7499 -0,9143 -1,0571 -1,1716 -1,2702 -1,3780 -1,5152 -1,6753 -1,8221 -1,9140 -1,9309 -1,8785 -1,7741 -1,6313 -1,4569 -1,2585 -1,0574 -0,8903 -0,7923 -0,7777 -0,8395 -0,9620 -1,1250 -1,3027 -1,4731 -1,6314 -1,7934 -1,9808 -2,1936 -2,3962 -2,5336 -2,5602 -2,4547 -2,2203 -1,8762 -1,4511 -0,9847 -0,5297 -0,1401 0,1471 0,3249 0,4197 0,4757 0,5325 0,6128 0,7261 0,8702 1,0316 1,1897 1,3246 1,4240 1,4874 1,5219 1,5289 1,4929 1,3875 1,1938 0,9147 0,5754 0,2052 -0,1827 -0,5887 -1,0056 -1,4074 -1,7576 -2,0223 -2,1779 -2,2136 -2,1275 -1,9250 -1,6247 -1,2640 -0,8953 -0,5760 -0,3590 -0,2784 -0,3376 -0,5167 -0,7909 -1,1348 -1,5147 -1,8935 -2,2452 -2,5606 -2,8391 -3,0789 -3,2718 -3,4037 -3,4637 -3,4528 -3,3836 -3,2688 -3,1161 -2,9387 -2,7654 -2,6301 -2,5560 -2,5522 -2,6173 -2,7402 -2,9005 -3,0756 -3,2497 -3,4113 -3,5456 -3,6384 -3,6895 -3,7178 -3,7501 -3,8017 -3,8685 -3,9335 -3,9813 -4,0058 -4,0062 -3,9785 -3,9131 -3,7988 -3,6241 -3,3749 -3,0370 -2,6091 -2,1167 -1,6092 -1,1403 -0,7490 -0,4530 -0,2453 -0,0924 0,0527 0,2249 0,4322 0,6653 0,9123 1,1584 1,3821 1,5609 1,6805 1,7351 1,7258 1,6644 1,5699 1,4570 1,3284 1,1792 1,0093 0,8282 0,6528 0,5029 0,3948 0,3363 0,3282 0,3673 0,4450 0,5497 0,6716 0,7999 0,9220 1,0294 1,1277 1,2359 1,3705 1,5300 1,6907 1,8127 1,8547 1,7910 1,6233 1,3821 1,1119 0,8474 0,6012 0,3693 0,1463 -0,0652 -0,2526 -0,3935 -0,4625 -0,4469 -0,3537 -0,2052 -0,0317 0,1388 0,2897 0,4123 0,4930 0,5060 0,4227 0,2353 -0,0298 -0,3280 -0,6225 -0,8975 -1,1520 -1,3839 -1,5780 -1,7068 -1,7428 -1,6699 -1,4873 -1,2140 -0,8926 -0,5849 -0,3533 -0,2351 -0,2331 -0,3244 -0,4699 -0,6257
F7    0,5429 0,7272 0,9195 1,1077 1,2841 1,4420 1,5749 1,6768 1,7495 1,8107 1,8914 2,0150 2,1779 2,3475 2,4769 2,5210 2,4506 2,2609 1,9669 1,5970 1,1897 0,7937 0,4621 0,2397 0,1428 0,1462 0,1941 0,2309 0,2288 0,1881 0,1177 0,0171 -0,1240 -0,3113 -0,5391 -0,7961 -1,0670 -1,3296 -1,5669 -1,7820 -1,9942 -2,2217 -2,4725 -2,7456 -3,0330 -3,3173 -3,5706 -3,7666 -3,8942 -3,9597 -3,9786 -3,9704 -3,9522 -3,9358 -3,9280 -3,9308 -3,9396 -3,9466 -3,9499 -3,9548 -3,9590 -3,9447 -3,8896 -3,7871 -3,6541 -3,5200 -3,4096 -3,3386 -3,3150 -3,3327 -3,3664 -3,3832 -3,3598 -3,2917 -3,1935 -3,0935 -3,0229 -3,0011 -3,0271 -3,0860 -3,1606 -3,2351 -3,2958 -3,3354 -3,3521 -3,3435 -3,3111 -3,2684 -3,2340 -3,2109 -3,1829 -3,1330 -3,0579 -2,9661 -2,8692 -2,7740 -2,6743 -2,5557 -2,4119 -2,2540 -2,1020 -1,9690 -1,8610 -1,7887 -1,7726 -1,8327 -1,9765 -2,1954 -2,4719 -2,7907 -3,1476 -3,5491 -4,0026 -4,5072 -5,0458 -5,5856 -6,0919 -6,5469 -6,9554 -7,3344 -7,6959 -8,0337 -8,3236 -8,5394 -8,6731 -8,7362 -8,7432 -8,6950 -8,5786 -8,3803 -8,0969 -7,7378 -7,3206 -6,8671 -6,4052 -5,9660 -5,5733 -5,2320 -4,9273 -4,6363 -4,3414 -4,0352 -3,7132 -3,3653 -2,9751 -2,5258 -2,0040 -1,4049 -0,7370 -0,0191 0,7272 1,4807 2,2172 2,9103 3,5409 4,1014 4,5880 4,9949 5,3194 5,5679 5,7550 5,8953 5,9961 6,0600 6,0972 6,1294 6,1748 6,2348 6,2980 6,3501 6,3786 6,3753 6,3328 6,2366 6,0650 5,8093 5,4941 5,1732 4,9048 4,7274 4,6525 4,6727 4,7803 4,9754 5,2541 5,5935 5,9474 6,2553 6,4633 6,5496 6,5268 6,4226 6,2669 6,0931 5,9386 5,8368 5,8094 5,8635 5,9888 6,1619 6,3545 6,5377 6,6838 6,7673 6,7653 6,6622 6,4595 6,1807 5,8625 5,5402 5,2365 4,9562 4,6908 4,4311 4,1748 3,9207 3,6579 3,3689 3,0444 2,6916 2,3318 1,9956 1,7160 1,5147 1,3922 1,3326 1,3098 1,2953 1,2683 1,2258 1,1833 1,1643 1,1828 1,2361 1,3155 1,4166 1,5353 1,6591 1,7732 1,8747 1,9752 2,0870 2,2050 2,3048 2,3594 2,3573 2,3042 2,2136 2,1004 1,9806 1,8689 1,7743 1,7017 1,6573 1,6486 1,6767 1,7324 1,8049 1,8930 2,0009 2,1248 2,2463 2,3386 2,3752 2,3366 2,2146 2,0157 1,7610 1,4798 1,1996 0,9381 0,7053 0,5089 0,3523 0,2300 0,1302 0,0404 -0,0504 -0,1465 -0,2379 -0,3062 -0,3421 -0,3582 -0,3869 -0,4638 -0,6070 -0,8081 -1,0402 -1,2742 -1,4884 -1,6696 -1,8100 -1,9070 -1,9668 -2,0052 -2,0423 -2,1005 -2,2044 -2,3704 -2,5939 -2,8484 -3,1005 -3,3246 -3,5018 -3,6131 -3,6441 -3,5946 -3,4816 -3,3319 -3,1723 -3,0226 -2,8941 -2,7893 -2,7037 -2,6328 -2,5758 -2,5308 -2,4918 -2,4513 -2,4038 -2,3525 -2,3121 -2,2984 -2,3147 -2,3511 -2,3934 -2,4314 -2,4573 -2,4613 -2,4294 -2,3427 -2,1853 -1,9538 -1,6624 -1,3374 -1,0077 -0,7031 -0,4564 -0,2951 -0,2276 -0,2407 -0,3051 -0,3847 -0,4499 -0,4918 -0,5203 -0,5488 -0,5788 -0,6070 -0,6391 -0,6857 -0,7503 -0,8272 -0,9092 -0,9963 -1,0969 -1,2172 -1,3503 -1,4788 -1,5843 -1,6566 -1,6982 -1,7215 -1,7405 -1,7701 -1,8299 -1,9389 -2,1005 -2,2943 -2,4837 -2,6312 -2,7134 -2,7245 -2,6726 -2,5735 -2,4497 -2,3273 -2,2276 -2,1562 -2,0978 -2,0210 -1,8975 -1,7210 -1,5071 -1,2824 -1,0804 -0,9359 -0,8733 -0,8971 -0,9940 -1,1417 -1,3111 -1,4674 -1,5802 -1,6365 -1,6428 -1,6184 -1,5868 -1,5608 -1,5335 -1,4901 -1,4215 -1,3233 -1,1890 -1,0109 -0,7868 -0,5286 -0,2670 -0,0455 0,0970 0,1441 0,1011 -0,0184 -0,1980 -0,4134 -0,6320 -0,8210 -0,9628 -1,0610 -1,1292 -1,1715 -1,1797 -1,1437 -1,0600 -0,9337 -0,7690 -0,5624 -0,3119 -0,0313 0,2504 0,5026 0,7063 0,8589 0,9680 1,0452 1,1055 1,1663 1,2370 1,3107 1,3692 1,3967 1,3889 1,3554 1,3154 1,2828 1,2524 1,2026 1,1110 0,9710 0,7971 0,6128 0,4310 0,2490 0,0624 -0,1223 -0,2877 -0,4139 -0,4861 -0,4957 -0,4365 -0,3026 -0,0929 0,1821 0,4959 0,8052 1,0563 1,2028 1,2257 1,1323 0,9404 0,6736 0,3668 0,0603 -0,2128 -0,4342 -0,6029 -0,7331 -0,8449 -0,9524 -1,0569 -1,1487 -1,2122 -1,2309 -1,1936 -1,1047 -0,9878 -0,8723 -0,7784 -0,7157 -0,6888 -0,6976 -0,7368 -0,7999 -0,8862 -0,9996 -1,1379 -1,2881 -1,4359 -1,5754 -1,7050 -1,8197 -1,9151 -1,9970 -2,0813 -2,1847 -2,3146 -2,4633 -2,6119 -2,7389 -2,8287 -2,8697 -2,8481 -2,7477 -2,5605 -2,2978 -1,9880 -1,6618 -1,3425 -1,0459 -0,7825 -0,5562 -0,3648 -0,2004 -0,0498 0,0994 0,2473 0,3800 0,4776 0,5238 0,5112 0,4457 0,3484 0,2471 0,1594 0,0846 0,0132 -0,0581 -0,1228 -0,1703 -0,1917 -0,1834 -0,1452 -0,0764 0,0263 0,1684 0,3592 0,6068 0,9007 1,2033 1,4683 1,6693 1,8098 1,9083 1,9848 2,0532 2,1148 2,1558 2,1604 2,1252 2,0609 1,9855 1,9102 1,8269 1,7106 1,5412 1,3233 1,0893 0,8870 0,7616 0,7353 0,7996 0,9260 1,0828 1,2488 1,4178 1,5911 1,7649 1,9162 2,0033 1,9927 1,8852 1,7116 1,5050 1,2825 1,0517 0,8285 0,6390 0,5047 0,4284 0,4001 0,4125 0,4646 0,5462 0,6277 0,6732 0,6667 0,6206 0,5634 0,5257 0,5281
