Fp1   1,2334 1,2500 1,1979 1,0590 0,8306 0,5255 0,1731 -0,1872 -0,5134 -0,7615 -0,8865 -0,8593 -0,6867 -0,4087 -0,0768 0,2650 0,5890 0,8800 1,1222 1,2887 1,3516 1,3070 1,1859 1,0345 0,8819 0,7306 0,5759 0,4323 0,3365 0,3226 0,3918 0,5101 0,6301 0,7074 0,7018 0,5859 0,3673 0,0951 -0,1680 -0,3909 -0,5892 -0,7970 -1,0348 -1,3051 -1,6049 -1,9260 -2,2443 -2,5238 -2,7349 -2,8637 -2,9058 -2,8640 -2,7540 -2,6103 -2,4827 -2,4248 -2,4738 -2,6239 -2,8183 -2,9788 -3,0447 -2,9873 -2,8108 -2,5609 -2,3191 -2,1579 -2,0963 -2,1094 -2,1696 -2,2738 -2,4354 -2,6497 -2,8697 -3,0248 -3,0686 -3,0063 -2,8783 -2,7293 -2,5915 -2,4824 -2,4110 -2,3824 -2,3973 -2,4532 -2,5481 -2,6801 -2,8367 -2,9887 -3,0972 -3,1275 -3,0631 -2,9171 -2,7260 -2,5316 -2,3693 -2,2645 -2,2265 -2,2460 -2,3003 -2,3564 -2,3782 -2,3406 -2,2356 -2,0721 -1,8775 -1,6992 -1,5979 -1,6358 -1,8576 -2,2661 -2,8192 -3,4497 -4,0852 -4,6653 -5,1647 -5,5946 -5,9760 -6,3158 -6,6079 -6,8499 -7,0606 -7,2768 -7,5345 -7,8576 -8,2581 -8,7246 -9,2096 -9,6408 -9,9546 -10,1195 -10,1350 -10,0135 -9,7700 -9,4260 -9,0084 -8,5415 -8,0489 -7,5595 -7,0970 -6,6567 -6,2003 -5,6746 -5,0394 -4,2872 -3,4456 -2,5712 -1,7407 -1,0315 -0,4893 -0,1047 0,1767 0,4242 0,6950 1,0206 1,4075 1,8448 2,3033 2,7310 3,0694 3,2835 3,3798 3,3975 3,3880 3,3962 3,4457 3,5407 3,6795 3,8624 4,0898 4,3549 4,6321 4,8725 5,0235 5,0613 5,0045 4,8940 4,7625 4,6219 4,4746 4,3307 4,2059 4,1095 4,0438 4,0148 4,0332 4,1025 4,2054 4,3083 4,3843 4,4279 4,4507 4,4735 4,5182 4,5939 4,6850 4,7592 4,7916 4,7850 4,7662 4,7621 4,7825 4,8265 4,8937 4,9773 5,0528 5,0818 5,0286 4,8763 4,6343 4,3314 4,0010 3,6700 3,3568 3,0700 2,8081 2,5654 2,3388 2,1284 1,9321 1,7399 1,5374 1,3128 1,0576 0,7684 0,4567 0,1531 -0,1004 -0,2646 -0,3158 -0,2591 -0,1367 -0,0089 0,0777 0,1059 0,0814 0,0238 -0,0386 -0,0800 -0,0929 -0,0886 -0,0815 -0,0769 -0,0728 -0,0655 -0,0550 -0,0505 -0,0672 -0,1104 -0,1662 -0,2071 -0,2079 -0,1591 -0,0705 0,0338 0,1225 0,1688 0,1604 0,0975 -0,0108 -0,1469 -0,2863 -0,3995 -0,4579 -0,4504 -0,4037 -0,3768 -0,4251 -0,5667 -0,7770 -1,0065 -1,2067 -1,3495 -1,4343 -1,4808 -1,5111 -1,5313 -1,5299 -1,4989 -1,4537 -1,4338 -1,4845 -1,6252 -1,8262 -2,0222 -2,1540 -2,1946 -2,1503 -2,0516 -1,9357 -1,8287 -1,7477 -1,7127 -1,7436 -1,8416 -1,9741 -2,0826 -2,1171 -2,0673 -1,9601 -1,8323 -1,7093 -1,6018 -1,5144 -1,4535 -1,4338 -1,4802 -1,6137 -1,8304 -2,0937 -2,3493 -2,5475 -2,6598 -2,6865 -2,6497 -2,5798 -2,5064 -2,4548 -2,4411 -2,4640 -2,5001 -2,5107 -2,4631 -2,3447 -2,1622 -1,9340 -1,6735 -1,3787 -1,0467 -0,6984 -0,3754 -0,1180 0,0505 0,1293 0,1349 0,0822 -0,0278 -0,1950 -0,3998 -0,5947 -0,7158 -0,7096 -0,5615 -0,3027 0,0110 0,3273 0,6158 0,8714 1,1071 1,3330 1,5343 1,6746 1,7302 1,7225 1,7040 1,7200 1,7922 1,9270 2,1213 2,3602 2,6215 2,8874 3,1503 3,4097 3,6663 3,9179 4,1587 4,3819 4,5815 4,7508 4,8838 4,9721 5,0007 4,9561 4,8436 4,6946 4,5525 4,4429 4,3640 4,3051 4,2582 4,2083 4,1374 4,0461 3,9543 3,8723 3,7910 3,6986 3,5934 3,4752 3,3330 3,1464 2,9010 2,6054 2,2951 2,0189 1,8085 1,6578 1,5406 1,4486 1,4019 1,4223 1,5060 1,6231 1,7342 1,8146 1,8656 1,9048 1,9488 2,0047 2,0723 2,1482 2,2288 2,3100 2,3783 2,4032 2,3441 2,1681 1,8709 1,4938 1,1180 0,8222 0,6340 0,5267 0,4582 0,4076 0,3840 0,4049 0,4632 0,5230 0,5506 0,5368 0,4897 0,4262 0,3689 0,3393 0,3496 0,3968 0,4632 0,5270 0,5714 0,5852 0,5633 0,5026 0,3934 0,2265 0,0118 -0,2182 -0,4291 -0,6042 -0,7499 -0,8896 -1,0557 -1,2766 -1,5561 -1,8640 -2,1546 -2,3934 -2,5594 -2,6309 -2,5844 -2,4052 -2,1012 -1,7108 -1,2893 -0,8862 -0,5368 -0,2626 -0,0660 0,0697 0,1667 0,2333 0,2581 0,2259 0,1358 0,0073 -0,1227 -0,2115 -0,2374 -0,2165 -0,1897 -0,1948 -0,2572 -0,4017 -0,6603 -1,0614 -1,6009 -2,2292 -2,8764 -3,4957 -4,0749 -4,6156 -5,1136 -5,5634 -5,9756 -6,3742 -6,7771 -7,1812 -7,5645 -7,9000 -8,1690 -8,3635 -8,4782 -8,5070 -8,4461 -8,2956 -8,0563 -7,7297 -7,3227 -6,8524 -6,3450 -5,8250 -5,2977 -4,7387 -4,1115 -3,4042 -2,6448 -1,8806 -1,1518 -0,4826 0,1132 0,6302 1,0714 1,4496 1,7830 2,0892 2,3813 2,6656 2,9283 3,1335 3,2440 3,2477 3,1637 3,0300 2,8853 2,7596 2,6714 2,6157 2,5603 2,4711 2,3441 2,2057 2,0936 2,0364 2,0369 2,0708 2,1090 2,1387 2,1623 2,1830 2,1931 2,1726 2,1046 1,9936 1,8710 1,7742 1,7133 1,6579 1,5620 1,4023 1,1932 0,9767 0,7982 0,6796 0,6081 0,5506 0,4749 0,3624 0,2119 0,0409 -0,1227 -0,2585 -0,3667 -0,4590 -0,5447 -0,6242 -0,6922 -0,7421 -0,7719 -0,7882 -0,8050 -0,8363 -0,8877 -0,9607 -1,0608 -1,1935 -1,3536 -1,5246 -1,6853 -1,8159 -1,9043 -1,9512 -1,9671 -1,9590 -1,9279 -1,8773 -1,8210 -1,7790 -1,7702 -1,8040 -1,8747
Fz    2,1288 2,0037 1,8485 1,6466 1,3900 1,0858 0,7608 0,4556 0,2123 0,0629 0,0213 0,0773 0,1987 0,3430 0,4755 0,5841 0,6776 0,7700 0,8653 0,9536 1,0170 1,0402 1,0174 0,9470 0,8246 0,6475 0,4258 0,1887 -0,0216 -0,1674 -0,2336 -0,2336 -0,2004 -0,1712 -0,1771 -0,2386 -0,3587 -0,5177 -0,6844 -0,8396 -0,9888 -1,1513 -1,3428 -1,5673 -1,8175 -2,0724 -2,2987 -2,4640 -2,5536 -2,5694 -2,5183 -2,4095 -2,2625 -2,1107 -1,9949 -1,9515 -1,9955 -2,1074 -2,2399 -2,3451 -2,3989 -2,4022 -2,3701 -2,3284 -2,3097 -2,3343 -2,3928 -2,4564 -2,5016 -2,5225 -2,5269 -2,5221 -2,5066 -2,4713 -2,4114 -2,3309 -2,2397 -2,1480 -2,0652 -2,0003 -1,9647 -1,9688 -2,0193 -2,1207 -2,2781 -2,4898 -2,7374 -2,9819 -3,1771 -3,2875 -3,2999 -3,2257 -3,0939 -2,9391 -2,7923 -2,6751 -2,5931 -2,5314 -2,4614 -2,3566 -2,2057 -2,0144 -1,7979 -1,5771 -1,3792 -1,2353 -1,1770 -1,2340 -1,4243 -1,7389 -2,1474 -2,6207 -3,1427 -3,7049 -4,2964 -4,8969 -5,4783 -6,0169 -6,5041 -6,9451 -7,3568 -7,7634 -8,1820 -8,6129 -9,0418 -9,4432 -9,7825 -10,0253 -10,1540 -10,1760 -10,1163 -9,9999 -9,8396 -9,6403 -9,4059 -9,1353 -8,8219 -8,4618 -8,0569 -7,6058 -7,0982 -6,5234 -5,8811 -5,1830 -4,4450 -3,6817 -2,9100 -2,1534 -1,4370 -0,7785 -0,1878 0,3284 0,7669 1,1329 1,4449 1,7325 2,0223 2,3229 2,6273 2,9277 3,2250 3,5247 3,8314 4,1457 4,4646 4,7854 5,1072 5,4255 5,7298 6,0071 6,2438 6,4252 6,5402 6,5873 6,5772 6,5284 6,4628 6,4032 6,3710 6,3819 6,4361 6,5110 6,5664 6,5624 6,4754 6,3056 6,0735 5,8109 5,5513 5,3195 5,1274 4,9783 4,8746 4,8184 4,8067 4,8312 4,8846 4,9631 5,0609 5,1628 5,2435 5,2770 5,2465 5,1473 4,9837 4,7700 4,5261 4,2666 3,9932 3,6991 3,3781 3,0295 2,6603 2,2834 1,9141 1,5675 1,2567 0,9912 0,7744 0,6002 0,4507 0,2993 0,1169 -0,1164 -0,3975 -0,6956 -0,9659 -1,1710 -1,2959 -1,3478 -1,3503 -1,3339 -1,3280 -1,3572 -1,4391 -1,5752 -1,7453 -1,9141 -2,0499 -2,1329 -2,1516 -2,0972 -1,9662 -1,7633 -1,5025 -1,2107 -0,9246 -0,6766 -0,4819 -0,3354 -0,2189 -0,1143 -0,0121 0,0878 0,1787 0,2520 0,3031 0,3322 0,3446 0,3505 0,3625 0,3902 0,4363 0,4975 0,5643 0,6235 0,6658 0,6946 0,7275 0,7859 0,8820 1,0088 1,1423 1,2555 1,3325 1,3720 1,3808 1,3617 1,3063 1,2020 1,0407 0,8260 0,5770 0,3269 0,1130 -0,0341 -0,0979 -0,0797 0,0043 0,1304 0,2683 0,3833 0,4454 0,4437 0,3921 0,3187 0,2419 0,1599 0,0630 -0,0504 -0,1692 -0,2780 -0,3678 -0,4398 -0,5034 -0,5719 -0,6517 -0,7334 -0,7937 -0,8113 -0,7844 -0,7353 -0,6995 -0,7091 -0,7838 -0,9311 -1,1470 -1,4172 -1,7165 -2,0062 -2,2396 -2,3781 -2,4028 -2,3122 -2,1168 -1,8353 -1,4913 -1,1152 -0,7463 -0,4240 -0,1781 -0,0283 0,0144 -0,0477 -0,1946 -0,3911 -0,5924 -0,7479 -0,8100 -0,7472 -0,5586 -0,2790 0,0354 0,3369 0,6064 0,8497 1,0807 1,3100 1,5393 1,7585 1,9489 2,1005 2,2261 2,3534 2,5079 2,7062 2,9586 3,2683 3,6281 4,0216 4,4263 4,8136 5,1550 5,4348 5,6562 5,8342 5,9877 6,1356 6,2915 6,4589 6,6285 6,7778 6,8793 6,9168 6,8966 6,8443 6,7918 6,7673 6,7920 6,8722 6,9910 7,1159 7,2189 7,2840 7,2959 7,2352 7,0849 6,8377 6,5019 6,0988 5,6510 5,1753 4,6894 4,2216 3,8138 3,5064 3,3167 3,2325 3,2289 3,2876 3,3998 3,5567 3,7410 3,9247 4,0776 4,1796 4,2241 4,2129 4,1475 4,0285 3,8599 3,6540 3,4301 3,2041 2,9811 2,7569 2,5283 2,3013 2,0956 1,9397 1,8517 1,8225 1,8219 1,8188 1,7942 1,7466 1,6876 1,6261 1,5593 1,4784 1,3749 1,2402 1,0657 0,8475 0,5937 0,3263 0,0721 -0,1511 -0,3360 -0,4790 -0,5758 -0,6239 -0,6295 -0,6147 -0,6091 -0,6367 -0,7125 -0,8442 -1,0330 -1,2753 -1,5675 -1,9079 -2,2925 -2,7041 -3,1067 -3,4601 -3,7397 -3,9392 -4,0555 -4,0793 -4,0032 -3,8358 -3,6078 -3,3596 -3,1256 -2,9245 -2,7553 -2,6010 -2,4427 -2,2763 -2,1204 -2,0095 -1,9741 -2,0238 -2,1448 -2,3047 -2,4639 -2,5923 -2,6826 -2,7477 -2,8106 -2,9001 -3,0521 -3,3072 -3,6956 -4,2168 -4,8302 -5,4754 -6,1061 -6,7073 -7,2862 -7,8504 -8,3978 -8,9234 -9,4235 -9,8876 -10,2937 -10,6140 -10,8274 -10,9308 -10,9430 -10,8985 -10,8299 -10,7534 -10,6649 -10,5446 -10,3682 -10,1183 -9,7886 -9,3803 -8,8971 -8,3417 -7,7171 -7,0320 -6,3028 -5,5494 -4,7856 -4,0178 -3,2528 -2,5023 -1,7798 -1,0940 -0,4470 0,1628 0,7348 1,2658 1,7555 2,2010 2,5899 2,9058 3,1378 3,2827 3,3417 3,3159 3,2087 3,0343 2,8153 2,5716 2,3148 2,0553 1,8098 1,6035 1,4625 1,3961 1,3896 1,4196 1,4699 1,5295 1,5832 1,6109 1,5962 1,5326 1,4277 1,3020 1,1786 1,0684 0,9653 0,8573 0,7398 0,6178 0,5042 0,4165 0,3678 0,3583 0,3807 0,4290 0,4978 0,5746 0,6419 0,6865 0,7023 0,6836 0,6188 0,4928 0,2964 0,0341 -0,2761 -0,6096 -0,9409 -1,2500 -1,5242 -1,7566 -1,9473 -2,1068 -2,2475 -2,3709 -2,4692 -2,5363 -2,5723 -2,5816 -2,5762 -2,5735 -2,5862 -2,6154 -2,6535 -2,6908 -2,7209 -2,7440 -2,7653 -2,7880
F3    2,4565 2,3262 2,1331 1,8662 1,5370 1,1761 0,8232 0,5195 0,2998 0,1856 0,1802 0,2684 0,4204 0,5973 0,7632 0,8964 0,9915 1,0537 1,0922 1,1126 1,1137 1,0910 1,0425 0,9660 0,8557 0,7038 0,5103 0,2936 0,0905 -0,0607 -0,1393 -0,1490 -0,1140 -0,0700 -0,0559 -0,1056 -0,2354 -0,4337 -0,6697 -0,9187 -1,1792 -1,4625 -1,7719 -2,0968 -2,4214 -2,7280 -2,9913 -3,1825 -3,2842 -3,2965 -3,2286 -3,0904 -2,8962 -2,6763 -2,4799 -2,3592 -2,3407 -2,4053 -2,4995 -2,5704 -2,5937 -2,5730 -2,5261 -2,4791 -2,4632 -2,4992 -2,5834 -2,6975 -2,8282 -2,9735 -3,1330 -3,2934 -3,4238 -3,4883 -3,4704 -3,3855 -3,2710 -3,1681 -3,1056 -3,0924 -3,1217 -3,1783 -3,2457 -3,3177 -3,4046 -3,5234 -3,6769 -3,8394 -3,9662 -4,0197 -3,9903 -3,8978 -3,7775 -3,6644 -3,5832 -3,5430 -3,5321 -3,5207 -3,4744 -3,3682 -3,1941 -2,9578 -2,6690 -2,3410 -2,0011 -1,6928 -1,4662 -1,3646 -1,4074 -1,5769 -1,8324 -2,1398 -2,4844 -2,8674 -3,2981 -3,7816 -4,3066 -4,8470 -5,3737 -5,8679 -6,3291 -6,7707 -7,2062 -7,6421 -8,0770 -8,4975 -8,8759 -9,1776 -9,3786 -9,4789 -9,4986 -9,4575 -9,3599 -9,1999 -8,9741 -8,6860 -8,3460 -7,9701 -7,5681 -7,1307 -6,6339 -6,0555 -5,3873 -4,6374 -3,8264 -2,9820 -2,1386 -1,3372 -0,6170 -0,0027 0,5004 0,8988 1,2054 1,4417 1,6385 1,8299 2,0377 2,2597 2,4784 2,6818 2,8724 3,0623 3,2675 3,5017 3,7698 4,0685 4,3896 4,7192 5,0388 5,3297 5,5782 5,7770 5,9271 6,0400 6,1341 6,2254 6,3202 6,4142 6,4982 6,5654 6,6109 6,6267 6,6027 6,5340 6,4233 6,2785 6,1095 5,9277 5,7458 5,5761 5,4268 5,3040 5,2135 5,1597 5,1406 5,1480 5,1726 5,2107 5,2602 5,3133 5,3556 5,3754 5,3707 5,3433 5,2910 5,2095 5,0962 4,9476 4,7552 4,5075 4,1977 3,8291 3,4159 2,9797 2,5443 2,1333 1,7690 1,4689 1,2401 1,0743 0,9470 0,8224 0,6608 0,4299 0,1221 -0,2338 -0,5837 -0,8756 -1,0826 -1,2068 -1,2690 -1,2955 -1,3102 -1,3333 -1,3823 -1,4680 -1,5877 -1,7243 -1,8528 -1,9466 -1,9828 -1,9482 -1,8411 -1,6705 -1,4546 -1,2234 -1,0146 -0,8578 -0,7611 -0,7102 -0,6809 -0,6509 -0,6047 -0,5319 -0,4300 -0,3050 -0,1713 -0,0503 0,0382 0,0890 0,1143 0,1343 0,1675 0,2238 0,2977 0,3696 0,4196 0,4448 0,4622 0,4971 0,5671 0,6736 0,8045 0,9430 1,0722 1,1795 1,2573 1,2982 1,2921 1,2285 1,0997 0,9060 0,6631 0,3977 0,1358 -0,1001 -0,2879 -0,4094 -0,4574 -0,4388 -0,3755 -0,2985 -0,2356 -0,1973 -0,1700 -0,1286 -0,0636 0,0073 0,0534 0,0549 0,0141 -0,0470 -0,1021 -0,1394 -0,1672 -0,2043 -0,2624 -0,3363 -0,4067 -0,4560 -0,4836 -0,5076 -0,5535 -0,6385 -0,7671 -0,9377 -1,1474 -1,3908 -1,6533 -1,9056 -2,1062 -2,2140 -2,1982 -2,0439 -1,7585 -1,3719 -0,9283 -0,4766 -0,0643 0,2704 0,5041 0,6270 0,6415 0,5632 0,4195 0,2437 0,0715 -0,0600 -0,1186 -0,0859 0,0389 0,2384 0,4830 0,7391 0,9792 1,1877 1,3648 1,5236 1,6789 1,8325 1,9738 2,0962 2,2119 2,3444 2,5115 2,7210 2,9751 3,2718 3,6012 3,9482 4,2958 4,6214 4,9000 5,1193 5,2880 5,4256 5,5519 5,6826 5,8258 5,9789 6,1280 6,2516 6,3303 6,3580 6,3427 6,3007 6,2480 6,1986 6,1623 6,1347 6,0921 6,0093 5,8823 5,7268 5,5585 5,3820 5,1928 4,9816 4,7424 4,4785 4,1994 3,9140 3,6309 3,3665 3,1474 2,9981 2,9217 2,9010 2,9186 2,9716 3,0651 3,1983 3,3545 3,4991 3,5917 3,6088 3,5548 3,4503 3,3127 3,1480 2,9567 2,7438 2,5256 2,3235 2,1498 1,9998 1,8578 1,7123 1,5712 1,4641 1,4202 1,4404 1,4967 1,5522 1,5805 1,5758 1,5481 1,5063 1,4469 1,3629 1,2515 1,1132 0,9488 0,7594 0,5477 0,3253 0,1144 -0,0606 -0,1844 -0,2537 -0,2740 -0,2560 -0,2149 -0,1706 -0,1414 -0,1388 -0,1704 -0,2431 -0,3647 -0,5449 -0,7938 -1,1141 -1,4953 -1,9131 -2,3339 -2,7255 -3,0676 -3,3476 -3,5486 -3,6463 -3,6228 -3,4889 -3,2881 -3,0753 -2,8902 -2,7467 -2,6363 -2,5378 -2,4310 -2,3096 -2,1881 -2,0959 -2,0577 -2,0812 -2,1574 -2,2626 -2,3629 -2,4305 -2,4604 -2,4679 -2,4759 -2,5101 -2,6018 -2,7905 -3,1096 -3,5627 -4,1119 -4,6987 -5,2774 -5,8309 -6,3572 -6,8517 -7,3052 -7,7166 -8,0958 -8,4516 -8,7781 -9,0570 -9,2689 -9,4046 -9,4718 -9,4942 -9,5000 -9,5026 -9,4883 -9,4234 -9,2776 -9,0404 -8,7184 -8,3196 -7,8446 -7,2879 -6,6444 -5,9197 -5,1348 -4,3208 -3,5095 -2,7284 -1,9993 -1,3361 -0,7466 -0,2310 0,2218 0,6337 1,0253 1,4072 1,7815 2,1395 2,4637 2,7385 2,9593 3,1308 3,2601 3,3495 3,3946 3,3924 3,3410 3,2317 3,0539 2,8120 2,5332 2,2603 2,0367 1,8873 1,8088 1,7809 1,7827 1,7980 1,8116 1,8051 1,7578 1,6556 1,5024 1,3239 1,1520 1,0019 0,8658 0,7288 0,5850 0,4418 0,3163 0,2294 0,1928 0,2033 0,2499 0,3202 0,3989 0,4651 0,4974 0,4834 0,4230 0,3234 0,1908 0,0296 -0,1536 -0,3495 -0,5501 -0,7487 -0,9403 -1,1231 -1,2985 -1,4676 -1,6311 -1,7891 -1,9341 -2,0472 -2,1062 -2,1023 -2,0443 -1,9504 -1,8415 -1,7388 -1,6574 -1,6030 -1,5761 -1,5776 -1,6090 -1,6726 -1,7704 -1,8983
F7    1,6305 1,5154 1,3718 1,1912 0,9678 0,7099 0,4450 0,2155 0,0610 0,0031 0,0405 0,1539 0,3123 0,4782 0,6163 0,7072 0,7515 0,7620 0,7532 0,7338 0,6998 0,6390 0,5446 0,4228 0,2889 0,1594 0,0473 -0,0366 -0,0820 -0,0833 -0,0446 0,0209 0,0970 0,1676 0,2104 0,1960 0,1054 -0,0527 -0,2481 -0,4548 -0,6659 -0,8858 -1,1133 -1,3418 -1,5673 -1,7871 -1,9891 -2,1496 -2,2466 -2,2707 -2,2246 -2,1202 -1,9796 -1,8356 -1,7259 -1,6814 -1,7128 -1,8018 -1,9072 -1,9845 -2,0020 -1,9479 -1,8336 -1,6942 -1,5766 -1,5148 -1,5172 -1,5789 -1,6969 -1,8703 -2,0901 -2,3326 -2,5609 -2,7390 -2,8524 -2,9146 -2,9479 -2,9620 -2,9533 -2,9200 -2,8755 -2,8441 -2,8477 -2,8996 -3,0039 -3,1525 -3,3218 -3,4734 -3,5670 -3,5773 -3,5034 -3,3652 -3,1963 -3,0330 -2,9052 -2,8319 -2,8182 -2,8520 -2,9079 -2,9574 -2,9784 -2,9549 -2,8755 -2,7399 -2,5688 -2,3976 -2,2599 -2,1838 -2,1929 -2,2989 -2,4945 -2,7602 -3,0718 -3,4066 -3,7505 -4,0951 -4,4319 -4,7550 -5,0672 -5,3777 -5,7007 -6,0506 -6,4293 -6,8224 -7,2095 -7,5708 -7,8836 -8,1220 -8,2670 -8,3176 -8,2880 -8,1879 -8,0097 -7,7389 -7,3692 -6,9087 -6,3831 -5,8336 -5,2981 -4,7898 -4,2916 -3,7718 -3,2060 -2,5904 -1,9393 -1,2775 -0,6374 -0,0556 0,4373 0,8284 1,1236 1,3392 1,4961 1,6202 1,7426 1,8931 2,0861 2,3108 2,5372 2,7354 2,8932 3,0216 3,1475 3,2963 3,4767 3,6840 3,9085 4,1366 4,3506 4,5329 4,6705 4,7569 4,7917 4,7818 4,7435 4,6969 4,6589 4,6362 4,6270 4,6288 4,6412 4,6603 4,6785 4,6897 4,6942 4,6983 4,7126 4,7472 4,8091 4,8995 5,0126 5,1383 5,2673 5,3912 5,4954 5,5602 5,5747 5,5477 5,4995 5,4470 5,3998 5,3675 5,3630 5,3909 5,4357 5,4651 5,4487 5,3743 5,2481 5,0836 4,8931 4,6827 4,4489 4,1787 3,8624 3,5075 3,1356 2,7724 2,4397 2,1490 1,8975 1,6702 1,4481 1,2203 0,9933 0,7919 0,6488 0,5889 0,6169 0,7129 0,8366 0,9445 1,0098 1,0239 0,9878 0,9061 0,7882 0,6465 0,4906 0,3279 0,1731 0,0507 -0,0173 -0,0249 0,0169 0,0851 0,1523 0,1980 0,2169 0,2181 0,2170 0,2247 0,2425 0,2648 0,2841 0,2976 0,3061 0,3045 0,2784 0,2172 0,1278 0,0356 -0,0304 -0,0553 -0,0470 -0,0275 -0,0180 -0,0286 -0,0586 -0,1006 -0,1472 -0,1991 -0,2649 -0,3537 -0,4667 -0,5932 -0,7135 -0,8111 -0,8785 -0,9159 -0,9354 -0,9622 -1,0208 -1,1165 -1,2364 -1,3641 -1,4913 -1,6188 -1,7502 -1,8879 -2,0327 -2,1821 -2,3251 -2,4390 -2,4939 -2,4667 -2,3556 -2,1807 -1,9707 -1,7539 -1,5564 -1,3983 -1,2875 -1,2213 -1,1986 -1,2266 -1,3136 -1,4533 -1,6188 -1,7730 -1,8890 -1,9639 -2,0120 -2,0470 -2,0709 -2,0772 -2,0622 -2,0329 -2,0050 -1,9891 -1,9814 -1,9670 -1,9268 -1,8397 -1,6888 -1,4705 -1,1986 -0,9034 -0,6236 -0,3918 -0,2265 -0,1336 -0,1105 -0,1433 -0,2103 -0,2928 -0,3805 -0,4626 -0,5146 -0,5035 -0,4112 -0,2492 -0,0434 0,1889 0,4385 0,6888 0,9129 1,0888 1,2110 1,2850 1,3145 1,3025 1,2629 1,2215 1,2058 1,2353 1,3194 1,4578 1,6414 1,8570 2,0887 2,3167 2,5219 2,7000 2,8629 3,0212 3,1739 3,3149 3,4379 3,5345 3,5923 3,5955 3,5329 3,4091 3,2491 3,0896 2,9602 2,8677 2,7989 2,7314 2,6462 2,5403 2,4292 2,3318 2,2515 2,1710 2,0660 1,9216 1,7419 1,5457 1,3532 1,1753 1,0132 0,8674 0,7471 0,6664 0,6324 0,6409 0,6865 0,7702 0,8957 1,0593 1,2450 1,4277 1,5803 1,6807 1,7189 1,6957 1,6164 1,4896 1,3295 1,1590 1,0099 0,9110 0,8717 0,8760 0,8905 0,8800 0,8247 0,7311 0,6232 0,5229 0,4417 0,3859 0,3645 0,3880 0,4578 0,5508 0,6217 0,6286 0,5581 0,4328 0,3014 0,2170 0,2116 0,2829 0,3983 0,5146 0,6026 0,6552 0,6775 0,6767 0,6573 0,6215 0,5736 0,5220 0,4765 0,4420 0,4085 0,3465 0,2216 0,0196 -0,2448 -0,5360 -0,8121 -1,0420 -1,2158 -1,3377 -1,4107 -1,4256 -1,3648 -1,2195 -1,0067 -0,7675 -0,5495 -0,3880 -0,2914 -0,2394 -0,1973 -0,1365 -0,0505 0,0422 0,1100 0,1239 0,0674 -0,0554 -0,2175 -0,3844 -0,5324 -0,6535 -0,7461 -0,8091 -0,8499 -0,8962 -0,9915 -1,1687 -1,4303 -1,7560 -2,1203 -2,4983 -2,8637 -3,1908 -3,4639 -3,6887 -3,8880 -4,0818 -4,2689 -4,4279 -4,5349 -4,5857 -4,6024 -4,6199 -4,6624 -4,7264 -4,7829 -4,7960 -4,7406 -4,6063 -4,3927 -4,1041 -3,7473 -3,3282 -2,8486 -2,3121 -1,7360 -1,1536 -0,6058 -0,1297 0,2497 0,5258 0,7149 0,8521 0,9819 1,1433 1,3556 1,6147 1,9020 2,1929 2,4593 2,6776 2,8354 2,9326 2,9752 2,9699 2,9256 2,8590 2,7878 2,7176 2,6401 2,5450 2,4329 2,3231 2,2458 2,2195 2,2379 2,2835 2,3485 2,4324 2,5243 2,5970 2,6191 2,5692 2,4439 2,2585 2,0392 1,8093 1,5812 1,3634 1,1674 1,0033 0,8755 0,7852 0,7342 0,7217 0,7412 0,7836 0,8390 0,8961 0,9459 0,9859 1,0188 1,0429 1,0418 0,9911 0,8814 0,7317 0,5735 0,4292 0,3039 0,1928 0,0902 -0,0083 -0,1133 -0,2418 -0,4019 -0,5831 -0,7636 -0,9215 -1,0415 -1,1198 -1,1612 -1,1703 -1,1475 -1,0966 -1,0295 -0,9617 -0,9088 -0,8845 -0,8986 -0,9528
