Fp1   0,7939 1,3150 1,8606 2,2712 2,4123 2,2232 1,7398 1,0857 0,4163 -0,1652 -0,6518 -1,0832 -1,4532 -1,6824 -1,6780 -1,4058 -0,9111 -0,2995 0,2970 0,7635 1,0369 1,1075 0,9889 0,6947 0,2521 -0,2692 -0,7573 -1,0808 -1,1187 -0,8089 -0,1939 0,5839 1,3351 1,8795 2,0786 1,8569 1,2314 0,3184 -0,7108 -1,6857 -2,4612 -2,9316 -3,0536 -2,8481 -2,3579 -1,6151 -0,6687 0,3547 1,2389 1,7553 1,7720 1,3078 0,5149 -0,3857 -1,1765 -1,7065 -1,9335 -1,9236 -1,7767 -1,5275 -1,1299 -0,5386 0,2142 1,0328 1,8324 2,5793 3,2551 3,8003 4,0984 4,0149 3,4833 2,5873 1,5556 0,6693 0,1546 0,1107 0,4865 1,1235 1,8455 2,5281 3,1060 3,5431 3,8020 3,8308 3,5903 3,1101 2,4976 1,8822 1,3674 1,0236 0,8834 0,9297 1,1067 1,3515 1,6117 1,8411 1,9940 2,0363 1,9615 1,7897 1,5595 1,3267 1,1629 1,1318 1,2367 1,3927 1,4640 1,3371 0,9928 0,5493 0,2186 0,1705 0,4228 0,8726 1,4097 1,9640 2,4698 2,8553 3,0958 3,2578 3,4644 3,8098 4,3084 4,9095 5,5451 6,1777 6,8259 7,5436 8,3685 9,2824 10,2099 11,0475 11,6999 12,1185 12,3338 12,4530 12,6084 12,8797 13,2406 13,5747 13,7513 13,6997 13,4423 13,0830 12,7741 12,6644 12,8316 13,2311 13,7080 14,0696 14,1725 13,9710 13,5141 12,9197 12,3457 11,9437 11,7899 11,8533 12,0573 12,3655 12,7817 13,2716 13,7156 13,9557 13,8988 13,5831 13,1416 12,6986 12,3110 11,9920 11,7475 11,5737 11,4487 11,3585 11,3328 11,4326 11,6996 12,1082 12,5413 12,8089 12,7211 12,1783 11,2153 9,9756 8,6533 7,4489 6,5402 6,0434 5,9618 6,1722 6,4926 6,7793 6,9703 7,0670 7,0953 7,0746 7,0074 6,8902 6,7238 6,5237 6,3283 6,1710 6,0336 5,8627 5,6520 5,4867 5,4930 5,7464 6,2236 6,8235 7,4239 7,9246 8,2654 8,4313 8,4516 8,3838 8,2812 8,1816 8,1142 8,0796 8,0275 7,8791 7,5728 7,0977 6,5047 5,8773 5,2769 4,7192 4,2072 3,7727 3,4706 3,3389 3,3708 3,5092 3,6587 3,7184 3,6276 3,4039 3,1497 3,0015 3,0515 3,3104 3,7303 4,2539 4,8498 5,5055 6,1896 6,8348 7,3454 7,6069 7,5171 7,0545 6,3162 5,4716 4,6736 4,0152 3,5529 3,3444 3,4372 3,8194 4,3921 5,0045 5,5294 5,9083 6,1299 6,1866 6,0608 5,7355 5,2083 4,5034 3,6854 2,8650 2,1708 1,6936 1,4502 1,3964 1,4661 1,6130 1,8282 2,1126 2,4338 2,7392 3,0114 3,2858 3,6008 3,9362 4,2011 4,2809 4,0965 3,6388 2,9760 2,2488 1,6440 1,3248 1,3488 1,6538 2,1204 2,6356 3,1195 3,5341 3,8807 4,1725 4,4039 4,5511 4,5831 4,4547 4,1104 3,5265 2,7569 1,9321 1,2210 0,7814 0,7101 1,0072 1,5811 2,2877 2,9678 3,4742 3,6988 3,5986 3,2166 2,6811 2,1678 1,8517 1,8722 2,2871 3,0261 3,9034 4,6967 5,2320 5,4387 5,3664 5,1365 4,8515 4,5460 4,2139 3,8451 3,4267 2,9423 2,3956 1,8224 1,2642 0,7508 0,3226 0,0461 -0,0123 0,1704 0,5542 1,0578 1,5956 2,0975 2,5204 2,8548 3,1142 3,3069 3,4099 3,3795 3,2089 2,9786 2,8287 2,8690 3,1082 3,4558 3,7681 3,8973 3,7536 3,3724 2,9156 2,5735 2,4494 2,5270 2,7171 2,9333 3,1569 3,4393 3,8161 4,2252 4,5383 4,6656 4,6005 4,3818 4,0636 3,7154 3,4038 3,1533 2,9356 2,7112 2,4903 2,3473 2,3651 2,5649 2,8968 3,2869 3,6802 4,0450 4,3416 4,5053 4,4859 4,2969 4,0027 3,6775 3,3999 3,2641 3,3388 3,5938 3,8835 4,0201 3,8796 3,4617 2,8775 2,2887 1,8317 1,5594 1,4491 1,4583 1,5603 1,7347 1,9475 2,1630 2,3808 2,6455 3,0094 3,4921 4,0787 4,7311 5,3835 5,9317 6,2516 6,2552 5,9520 5,4626 4,9654 4,6072 4,4360 4,3998 4,4173 4,4667 4,6064 4,9076 5,3705 5,9055 6,3837 6,6875 6,7250 6,4415 5,8519 5,0587 4,2300 3,5450 3,1395 3,0666 3,2857 3,6907 4,1664 4,6312 5,0294 5,3035 5,4048 5,3368 5,1675 4,9855 4,8483 4,7706 4,7441 4,7627 4,8255 4,9110 4,9694 4,9652 4,9230 4,9220 5,0424 5,2877 5,5473 5,6550 5,4981 5,0745 4,4829 3,8883 3,4688 3,3414 3,5020 3,8199 4,0935 4,1417 3,8771 3,3350 2,6610 2,0488 1,6461 1,5022 1,5937 1,8697 2,2620 2,6956 3,1310 3,5840 4,0848 4,6260 5,1571 5,6197 5,9729 6,1804 6,2010 6,0190 5,6792 5,2936 5,0259 5,0434 5,4389 6,1786 7,1173 8,0636 8,8536 9,4100 9,7600 10,0109 10,2937 10,6938 11,1901 11,6343 11,8013 11,5146 10,7675 9,7351 8,6665 7,7651 7,1457 6,8372 6,7829 6,8609 6,9418 6,9496 6,8999 6,8891 7,0158 7,2889 7,6101 7,8458 7,9064 7,7579 7,3830 6,7616 5,8958 4,8432 3,7183 2,6724 1,8606 1,3952 1,3113 1,5623 2,0418 2,6257 3,2134 3,7249 4,0724 4,1681 3,9759 3,5432 2,9823 2,4155 1,9064 1,4393 0,9732 0,5024 0,0581 -0,3136 -0,5545 -0,6130 -0,4800 -0,1935 0,1784 0,5467 0,8231 0,9729 1,0493 1,1572 1,3683 1,6649 1,9532 2,1282 2,1467 2,0573 1,9617 1,9358 1,9885 2,1141 2,3771 2,9070 3,7924 4,9797 6,2532 7,3004 7,8409 7,7502 7,0988 6,0992 5,0103 4,0638 3,4308
Fz    0,5074 0,4149 0,4155 0,5017 0,6398 0,7837 0,8915 0,9378 0,9149 0,8206 0,6514 0,4190 0,1653 -0,0520 -0,1945 -0,2613 -0,2774 -0,2767 -0,2915 -0,3397 -0,4114 -0,4691 -0,4653 -0,3700 -0,1868 0,0499 0,2850 0,4665 0,5772 0,6378 0,6769 0,7007 0,6887 0,6118 0,4474 0,1896 -0,1356 -0,4689 -0,7477 -0,9346 -1,0224 -1,0278 -0,9822 -0,9160 -0,8424 -0,7571 -0,6532 -0,5384 -0,4317 -0,3409 -0,2498 -0,1320 0,0345 0,2684 0,5878 0,9976 1,4634 1,8977 2,1963 2,3076 2,2616 2,1238 1,9409 1,7399 1,5633 1,4756 1,5288 1,7261 2,0152 2,3022 2,4864 2,5088 2,3803 2,1593 1,9071 1,6654 1,4587 1,3071 1,2338 1,2567 1,3753 1,5676 1,7953 2,0091 2,1600 2,2143 2,1546 1,9713 1,6675 1,2778 0,8669 0,4989 0,2060 -0,0137 -0,1697 -0,2537 -0,2440 -0,1329 0,0585 0,2885 0,5169 0,7192 0,8861 1,0149 1,0993 1,1260 1,0803 0,9557 0,7605 0,5203 0,2698 0,0316 -0,1926 -0,3939 -0,5212 -0,4974 -0,2739 0,1451 0,7274 1,4476 2,2894 3,2157 4,1563 5,0398 5,8335 6,5508 7,2323 7,9162 8,6111 9,2910 9,9200 10,4809 10,9759 11,4096 11,7842 12,1127 12,4240 12,7379 13,0364 13,2696 13,3960 13,4138 13,3588 13,2778 13,2032 13,1478 13,1123 13,0890 13,0639 13,0317 13,0106 13,0308 13,0999 13,1911 13,2747 13,3579 13,4787 13,6622 13,8994 14,1626 14,4210 14,6424 14,7914 14,8334 14,7530 14,5739 14,3457 14,1047 13,8605 13,6169 13,3856 13,1735 12,9681 12,7509 12,5259 12,3238 12,1786 12,1009 12,0588 11,9834 11,8010 11,4697 10,9926 10,4053 9,7602 9,1220 8,5650 8,1625 7,9661 7,9858 8,1908 8,5208 8,8949 9,2279 9,4585 9,5668 9,5666 9,4889 9,3714 9,2461 9,1299 9,0206 8,9000 8,7491 8,5708 8,3970 8,2695 8,2109 8,2169 8,2799 8,4031 8,5797 8,7669 8,9003 8,9410 8,8971 8,7938 8,6427 8,4502 8,2315 8,0044 7,7757 7,5285 7,2262 6,8365 6,3439 5,7446 5,0469 4,2855 3,5268 2,8507 2,3240 1,9832 1,8288 1,8262 1,9203 2,0559 2,1994 2,3466 2,5035 2,6602 2,7916 2,8809 2,9357 2,9822 3,0466 3,1350 3,2290 3,2958 3,2987 3,2061 3,0085 2,7309 2,4225 2,1282 1,8732 1,6787 1,5859 1,6521 1,9128 2,3469 2,8777 3,4057 3,8489 4,1663 4,3531 4,4175 4,3653 4,2019 3,9457 3,6383 3,3433 3,1322 3,0648 3,1755 3,4653 3,8938 4,3835 4,8431 5,1879 5,3550 5,3292 5,1607 4,9419 4,7590 4,6657 4,6854 4,8201 5,0522 5,3482 5,6644 5,9562 6,1939 6,3649 6,4577 6,4618 6,3837 6,2456 6,0685 5,8698 5,6722 5,5000 5,3681 5,2786 5,2261 5,1975 5,1742 5,1479 5,1286 5,1276 5,1366 5,1306 5,0914 5,0188 4,9183 4,7857 4,6053 4,3618 4,0575 3,7244 3,4218 3,2162 3,1529 3,2473 3,4994 3,8892 4,3552 4,8063 5,1652 5,3889 5,4625 5,3928 5,1970 4,8883 4,4785 3,9881 3,4437 2,8737 2,3172 1,8330 1,4830 1,2968 1,2567 1,3194 1,4512 1,6413 1,8822 2,1529 2,4332 2,7185 3,0093 3,2996 3,5869 3,8755 4,1594 4,4128 4,6054 4,7259 4,7920 4,8392 4,9017 4,9965 5,1165 5,2360 5,3231 5,3579 5,3483 5,3241 5,3026 5,2686 5,1932 5,0671 4,9144 4,7883 4,7463 4,8092 4,9407 5,0736 5,1509 5,1414 5,0333 4,8391 4,6021 4,3756 4,1864 4,0195 3,8465 3,6692 3,5293 3,4695 3,4898 3,5476 3,5964 3,6182 3,6208 3,6059 3,5518 3,4350 3,2574 3,0480 2,8498 2,7089 2,6620 2,7174 2,8440 2,9808 3,0629 3,0522 2,9527 2,8070 2,6800 2,6252 2,6525 2,7396 2,8726 3,0603 3,3102 3,6038 3,9001 4,1618 4,3714 4,5234 4,6097 4,6201 4,5543 4,4352 4,3062 4,2122 4,1787 4,2124 4,3212 4,5214 4,8132 5,1564 5,4808 5,7276 5,8835 5,9713 6,0072 5,9818 5,8902 5,7616 5,6362 5,5217 5,3946 5,2436 5,0955 4,9931 4,9574 4,9776 5,0250 5,0722 5,1045 5,1217 5,1243 5,0945 5,0006 4,8317 4,6258 4,4576 4,3947 4,4636 4,6441 4,8779 5,0911 5,2289 5,2738 5,2366 5,1441 5,0301 4,9301 4,8707 4,8515 4,8350 4,7691 4,6245 4,4128 4,1836 4,0154 3,9877 4,1406 4,4525 4,8409 5,1911 5,4060 5,4493 5,3521 5,1901 5,0397 4,9369 4,8721 4,8226 4,7723 4,7028 4,5968 4,4679 4,3708 4,3656 4,4783 4,7001 5,0101 5,3881 5,8128 6,2596 6,7034 7,1169 7,4782 7,7973 8,1350 8,5756 9,1684 9,8930 10,6729 11,4177 12,0567 12,5469 12,8693 13,0301 13,0594 12,9938 12,8516 12,6257 12,3092 11,9298 11,5549 11,2612 11,1031 11,1007 11,2402 11,4716 11,7231 11,9287 12,0414 12,0346 11,9023 11,6564 11,3199 10,9191 10,4818 10,0407 9,6238 9,2389 8,8750 8,5176 8,1604 7,8130 7,5056 7,2825 7,1767 7,1866 7,2751 7,3816 7,4415 7,4049 7,2436 6,9387 6,4774 5,8705 5,1660 4,4419 3,7820 3,2461 2,8600 2,6337 2,5727 2,6593 2,8437 3,0752 3,3328 3,6155 3,9175 4,2158 4,4721 4,6443 4,7011 4,6330 4,4511 4,1837 3,8757 3,5780 3,3345 3,1801 3,1470 3,2648 3,5471 3,9769 4,5115 5,1036 5,7043 6,2505 6,6747 6,9321 7,0075 6,9112 6,6779 6,3645 6,0403 5,7711 5,6055 5,5765
F3    0,5632 0,4330 0,4086 0,4744 0,5859 0,6817 0,7106 0,6535 0,5250 0,3507 0,1487 -0,0579 -0,2260 -0,3110 -0,2985 -0,2086 -0,0684 0,1041 0,2843 0,4301 0,5013 0,4884 0,4172 0,3239 0,2353 0,1658 0,1207 0,1031 0,1191 0,1671 0,2252 0,2574 0,2318 0,1293 -0,0591 -0,3262 -0,6252 -0,8640 -0,9459 -0,8253 -0,5357 -0,1799 0,1123 0,2387 0,1605 -0,1037 -0,5052 -0,9796 -1,4426 -1,7883 -1,9152 -1,7700 -1,3656 -0,7534 0,0144 0,8873 1,7830 2,5657 3,0936 3,3057 3,2449 2,9943 2,6127 2,1397 1,6418 1,2252 0,9952 1,0065 1,2440 1,6270 2,0384 2,3822 2,6263 2,7830 2,8535 2,8040 2,5998 2,2588 1,8719 1,5625 1,4203 1,4669 1,6603 1,9185 2,1575 2,3189 2,3640 2,2705 2,0531 1,7712 1,5030 1,3052 1,1877 1,1193 1,0661 1,0310 1,0504 1,1566 1,3486 1,5945 1,8547 2,0964 2,2817 2,3486 2,2251 1,8811 1,3721 0,8246 0,3737 0,1050 0,0217 0,0328 -0,0078 -0,1959 -0,4786 -0,6723 -0,5850 -0,1279 0,6626 1,6772 2,7907 3,8801 4,8360 5,6018 6,2053 6,7398 7,3071 7,9608 8,6750 9,3617 9,9369 10,3834 10,7494 11,0905 11,4266 11,7543 12,0813 12,4294 12,8057 13,1874 13,5395 13,8387 14,0789 14,2613 14,3776 14,3937 14,2535 13,9174 13,4139 12,8573 12,4068 12,1880 12,2317 12,4778 12,8431 13,2843 13,7874 14,3117 14,7781 15,1111 15,2715 15,2576 15,0936 14,8243 14,5126 14,2304 14,0300 13,9126 13,8235 13,6857 13,4386 13,0547 12,5398 11,9407 11,3476 10,8708 10,5937 10,5259 10,5830 10,6160 10,4775 10,0859 9,4494 8,6460 7,7880 6,9957 6,3786 6,0173 5,9375 6,0991 6,4188 6,8037 7,1692 7,4590 7,6634 7,8092 7,9230 8,0095 8,0537 8,0360 7,9498 7,8008 7,5923 7,3330 7,0624 6,8474 6,7444 6,7662 6,8915 7,1045 7,4066 7,7809 8,1636 8,4628 8,6058 8,5614 8,3170 7,8687 7,2551 6,5750 5,9516 5,4780 5,1819 5,0249 4,9370 4,8536 4,7271 4,5262 4,2412 3,8901 3,5148 3,1713 2,9150 2,7772 2,7482 2,7835 2,8325 2,8765 2,9383 3,0372 3,1453 3,2077 3,2025 3,1614 3,1453 3,2110 3,3831 3,6396 3,9180 4,1327 4,1990 4,0624 3,7258 3,2508 2,7223 2,2154 1,7977 1,5503 1,5582 1,8593 2,4026 3,0577 3,6659 4,0970 4,2962 4,2948 4,1666 3,9618 3,6834 3,3275 2,9329 2,5804 2,3495 2,2877 2,4150 2,7341 3,2151 3,7866 4,3558 4,8245 5,0958 5,1026 4,8435 4,3799 3,8050 3,2235 2,7450 2,4678 2,4508 2,6928 3,1261 3,6409 4,1430 4,5846 4,9358 5,1549 5,2031 5,0698 4,7793 4,3894 3,9784 3,6201 3,3614 3,2127 3,1539 3,1537 3,1923 3,2746 3,4207 3,6423 3,9240 4,2226 4,4788 4,6266 4,6042 4,3851 4,0014 3,5267 3,0419 2,6200 2,3251 2,2019 2,2486 2,4175 2,6629 2,9728 3,3498 3,7897 4,2804 4,7946 5,2785 5,6572 5,8502 5,7874 5,4353 4,8169 4,0078 3,1145 2,2602 1,5687 1,1268 0,9468 0,9757 1,1433 1,4052 1,7513 2,1710 2,6262 3,0745 3,4981 3,8871 4,2189 4,4740 4,6520 4,7564 4,7793 4,7186 4,6049 4,4951 4,4340 4,4310 4,4729 4,5497 4,6674 4,8389 5,0677 5,3459 5,6467 5,9025 6,0145 5,9076 5,5828 5,1230 4,6603 4,3221 4,1705 4,1761 4,2547 4,3314 4,3712 4,3664 4,3271 4,2904 4,3068 4,3868 4,4725 4,4816 4,3838 4,2252 4,0789 3,9793 3,9032 3,8108 3,6926 3,5680 3,4508 3,3375 3,2312 3,1573 3,1456 3,2111 3,3598 3,5943 3,8972 4,2105 4,4444 4,5136 4,3716 4,0182 3,4935 2,8794 2,2868 1,8188 1,5460 1,5117 1,7345 2,2013 2,8633 3,6466 4,4674 5,2366 5,8622 6,2609 6,3765 6,1988 5,7761 5,2041 4,5964 4,0617 3,6943 3,5654 3,7074 4,0883 4,6083 5,1437 5,6085 5,9845 6,2988 6,5675 6,7621 6,8398 6,7946 6,6610 6,4766 6,2641 6,0459 5,8561 5,7268 5,6691 5,6646 5,6649 5,6057 5,4427 5,1837 4,8792 4,5776 4,3017 4,0710 3,9259 3,9163 4,0637 4,3406 4,6857 5,0277 5,3065 5,4978 5,6149 5,6846 5,7217 5,7191 5,6576 5,5225 5,3056 4,9988 4,6051 4,1555 3,7104 3,3546 3,1863 3,2830 3,6617 4,2604 4,9419 5,5281 5,8678 5,8944 5,6394 5,2100 4,7375 4,3173 3,9899 3,7627 3,6191 3,5093 3,3783 3,2284 3,1434 3,2339 3,5557 4,0757 4,6979 5,3126 5,8354 6,2330 6,5253 6,7512 6,9325 7,0807 7,2366 7,4839 7,9066 8,5316 9,3107 10,1484 10,9327 11,5506 11,9128 11,9947 11,8513 11,5810 11,2647 10,9319 10,5763 10,1965 9,8191 9,4819 9,2129 9,0431 9,0162 9,1590 9,4505 9,8230 10,1833 10,4461 10,5593 10,4984 10,2531 9,8263 9,2423 8,5495 7,8109 7,0912 6,4509 5,9386 5,5801 5,3766 5,3150 5,3745 5,5182 5,6922 5,8482 5,9608 6,0216 6,0215 5,9367 5,7242 5,3342 4,7327 3,9251 2,9758 2,0101 1,1775 0,5982 0,3386 0,4129 0,7743 1,3093 1,8767 2,3668 2,7287 2,9548 3,0547 3,0400 2,9231 2,7247 2,4755 2,2086 1,9576 1,7676 1,6918 1,7658 1,9887 2,3337 2,7734 3,2908 3,8661 4,4716 5,0780 5,6400 6,0815 6,3260 6,3331 6,1008 5,6636 5,0974 4,5072 3,9993 3,6559 3,5260 3,6315
F7    -0,1518 0,0403 0,3983 0,8363 1,2385 1,4943 1,5337 1,3504 0,9967 0,5463 0,0601 -0,4113 -0,8087 -1,0725 -1,1713 -1,1118 -0,9237 -0,6489 -0,3466 -0,0883 0,0735 0,1379 0,1502 0,1612 0,1959 0,2519 0,3092 0,3503 0,3785 0,4119 0,4606 0,5143 0,5440 0,5114 0,3794 0,1300 -0,2100 -0,5687 -0,8659 -1,0484 -1,1010 -1,0435 -0,9149 -0,7480 -0,5519 -0,3244 -0,0800 0,1376 0,2781 0,3211 0,2811 0,1805 0,0384 -0,1137 -0,2213 -0,2256 -0,1087 0,0777 0,2539 0,3943 0,5471 0,7640 1,0380 1,3267 1,6186 1,9449 2,3233 2,7136 3,0285 3,1678 3,0544 2,6838 2,1534 1,6227 1,2333 1,0554 1,0843 1,2725 1,5721 1,9522 2,3853 2,8344 3,2474 3,5567 3,6983 3,6402 3,3890 2,9787 2,4659 1,9275 1,4454 1,0792 0,8506 0,7526 0,7733 0,9077 1,1429 1,4446 1,7673 2,0710 2,3198 2,4735 2,4939 2,3655 2,0994 1,7192 1,2524 0,7418 0,2562 -0,1180 -0,3062 -0,2875 -0,1098 0,1541 0,4706 0,8511 1,3010 1,7899 2,2737 2,7384 3,2075 3,6985 4,1868 4,6253 4,9926 5,3167 5,6616 6,0882 6,6175 7,2223 7,8507 8,4546 8,9980 9,4559 9,8231 10,1230 10,4029 10,7007 11,0015 11,2386 11,3454 11,2993 11,1266 10,8841 10,6417 10,4707 10,4268 10,5286 10,7478 11,0317 11,3338 11,6157 11,8288 11,9194 11,8729 11,7451 11,6227 11,5517 11,5314 11,5596 11,6464 11,7866 11,9401 12,0485 12,0765 12,0450 12,0057 11,9753 11,9128 11,7650 11,5124 11,1754 10,7984 10,4400 10,1615 10,0046 9,9756 10,0403 10,1229 10,1211 9,9475 9,5696 9,0148 8,3428 7,6252 6,9471 6,3995 6,0521 5,9238 5,9772 6,1460 6,3622 6,5640 6,7009 6,7431 6,6783 6,5043 6,2413 5,9452 5,6904 5,5320 5,4721 5,4568 5,4218 5,3553 5,3155 5,3835 5,5968 5,9303 6,3328 6,7571 7,1434 7,4010 7,4443 7,2627 6,9388 6,5843 6,2759 6,0526 5,9324 5,9104 5,9530 5,9982 5,9725 5,8218 5,5284 5,0998 4,5581 3,9492 3,3497 2,8463 2,5032 2,3484 2,3719 2,5284 2,7531 2,9887 3,2090 3,4238 3,6550 3,9078 4,1685 4,4214 4,6602 4,8963 5,1548 5,4469 5,7432 5,9734 6,0508 5,9108 5,5449 5,0088 4,3977 3,8057 3,3009 2,9330 2,7567 2,8265 3,1572 3,6907 4,3107 4,8928 5,3439 5,6101 5,6674 5,5088 5,1337 4,5517 3,8014 2,9621 2,1476 1,4829 1,0702 0,9611 1,1473 1,5656 2,1159 2,6907 3,1886 3,5201 3,6351 3,5532 3,3474 3,0972 2,8595 2,6653 2,5246 2,4252 2,3342 2,2145 2,0521 1,8800 1,7588 1,7238 1,7660 1,8619 1,9905 2,1202 2,2111 2,2394 2,2071 2,1315 2,0379 1,9546 1,8962 1,8547 1,8164 1,7782 1,7426 1,7051 1,6587 1,6103 1,5807 1,5859 1,6253 1,6829 1,7318 1,7432 1,7035 1,6344 1,5901 1,6237 1,7633 2,0248 2,4131 2,8945 3,3939 3,8273 4,1272 4,2525 4,2021 4,0152 3,7437 3,4317 3,1156 2,8199 2,5458 2,2835 2,0402 1,8378 1,6787 1,5332 1,3641 1,1649 0,9803 0,8811 0,9186 1,1074 1,4281 1,8316 2,2552 2,6519 3,0009 3,2833 3,4577 3,4743 3,3176 3,0377 2,7386 2,5317 2,4783 2,5585 2,6871 2,7623 2,7259 2,6030 2,4754 2,4073 2,4055 2,4504 2,5355 2,6716 2,8706 3,1310 3,4198 3,6679 3,8039 3,7978 3,6624 3,4230 3,1110 2,7786 2,4874 2,2704 2,1113 1,9743 1,8595 1,8206 1,9176 2,1531 2,4651 2,7789 3,0518 3,2723 3,4270 3,4834 3,4146 3,2288 2,9672 2,6871 2,4568 2,3468 2,3959 2,5732 2,7842 2,9216 2,9205 2,7766 2,5319 2,2547 2,0097 1,8209 1,6753 1,5775 1,5732 1,7054 1,9621 2,2822 2,6085 2,9216 3,2252 3,5128 3,7573 3,9340 4,0484 4,1334 4,2139 4,2789 4,2936 4,2423 4,1547 4,0801 4,0436 4,0419 4,0771 4,1744 4,3518 4,5753 4,7612 4,8372 4,7939 4,6666 4,4815 4,2459 3,9783 3,7188 3,5056 3,3573 3,2786 3,2692 3,3223 3,4246 3,5635 3,7219 3,8608 3,9221 3,8662 3,7098 3,5203 3,3703 3,2991 3,3076 3,3667 3,4306 3,4645 3,4671 3,4631 3,4808 3,5383 3,6483 3,8193 4,0287 4,2051 4,2621 4,1518 3,8831 3,5104 3,1172 2,7889 2,5829 2,5119 2,5399 2,5949 2,6040 2,5264 2,3625 2,1536 1,9633 1,8388 1,7905 1,8088 1,8777 1,9634 2,0183 2,0260 2,0306 2,1042 2,2938 2,6030 3,0027 3,4420 3,8537 4,1776 4,3951 4,5363 4,6573 4,8180 5,0763 5,4747 6,0146 6,6476 7,2972 7,8938 8,3975 8,7960 9,0903 9,2816 9,3711 9,3595 9,2342 8,9584 8,5000 7,8824 7,2009 6,5849 6,1434 5,9359 5,9678 6,1940 6,5329 6,8888 7,1716 7,3243 7,3492 7,2942 7,2077 7,1039 6,9692 6,7879 6,5510 6,2510 5,8850 5,4639 5,0157 4,5797 4,2021 3,9343 3,8130 3,8354 3,9597 4,1239 4,2689 4,3557 4,3625 4,2597 4,0029 3,5618 2,9564 2,2652 1,5940 1,0220 0,5750 0,2523 0,0570 -0,0125 0,0228 0,1350 0,3018 0,5049 0,7299 0,9652 1,1896 1,3680 1,4724 1,5050 1,4942 1,4696 1,4418 1,3992 1,3205 1,2004 1,0702 0,9914 1,0196 1,1760 1,4633 1,8962 2,4843 3,1904 3,9311 4,6056 5,1167 5,3948 5,4234 5,2344 4,8880 4,4596 4,0312 3,6838
