Fp1   -0,6460 -0,8221 -1,0683 -1,3228 -1,5266 -1,6483 -1,6911 -1,6785 -1,6367 -1,5890 -1,5635 -1,5941 -1,7024 -1,8722 -2,0503 -2,1814 -2,2366 -2,2079 -2,0931 -1,9003 -1,6530 -1,3805 -1,1059 -0,8413 -0,5904 -0,3565 -0,1453 0,0452 0,2266 0,4080 0,5920 0,7856 1,0011 1,2424 1,4947 1,7303 1,9198 2,0469 2,1238 2,1850 2,2572 2,3390 2,4075 2,4380 2,4209 2,3681 2,3046 2,2566 2,2427 2,2676 2,3164 2,3529 2,3277 2,1974 1,9441 1,5828 1,1601 0,7477 0,4216 0,2289 0,1690 0,2087 0,3080 0,4293 0,5404 0,6253 0,6897 0,7444 0,7846 0,7890 0,7380 0,6276 0,4704 0,2872 0,1013 -0,0658 -0,1924 -0,2540 -0,2244 -0,0888 0,1349 0,3874 0,5911 0,6931 0,6939 0,6381 0,5831 0,5708 0,6133 0,6933 0,7686 0,7828 0,6865 0,4597 0,1147 -0,3159 -0,7980 -1,3063 -1,8156 -2,2892 -2,6881 -2,9956 -3,2239 -3,3953 -3,5274 -3,6325 -3,7192 -3,7926 -3,8588 -3,9338 -4,0477 -4,2328 -4,5025 -4,8451 -5,2285 -5,5990 -5,8884 -6,0431 -6,0494 -5,9270 -5,7037 -5,3989 -5,0285 -4,6157 -4,1900 -3,7692 -3,3474 -2,9027 -2,4113 -1,8545 -1,2233 -0,5256 0,2079 0,9294 1,5914 2,1679 2,6652 3,1127 3,5380 3,9486 4,3383 4,7028 5,0461 5,3773 5,6991 5,9929 6,2163 6,3186 6,2646 6,0482 5,6931 5,2431 4,7493 4,2564 3,7948 3,3795 3,0153 2,7014 2,4347 2,2102 2,0197 1,8478 1,6750 1,4932 1,3152 1,1624 1,0478 0,9739 0,9375 0,9328 0,9488 0,9674 0,9664 0,9232 0,8194 0,6487 0,4247 0,1791 -0,0514 -0,2459 -0,4047 -0,5295 -0,6036 -0,6005 -0,5081 -0,3425 -0,1394 0,0671 0,2519 0,3887 0,4399 0,3677 0,1563 -0,1731 -0,5644 -0,9480 -1,2634 -1,4677 -1,5373 -1,4807 -1,3507 -1,2319 -1,2049 -1,3188 -1,5819 -1,9655 -2,4084 -2,8274 -3,1430 -3,3147 -3,3545 -3,3073 -3,2224 -3,1355 -3,0645 -3,0121 -2,9769 -2,9675 -3,0006 -3,0814 -3,1881 -3,2797 -3,3249 -3,3234 -3,2971 -3,2613 -3,2102 -3,1311 -3,0252 -2,9130 -2,8225 -2,7677 -2,7394 -2,7155 -2,6808 -2,6354 -2,5892 -2,5512 -2,5217 -2,4913 -2,4464 -2,3729 -2,2540 -2,0665 -1,7891 -1,4219 -0,9972 -0,5663 -0,1735 0,1578 0,4220 0,6242 0,7718 0,8682 0,9125 0,9074 0,8676 0,8149 0,7592 0,6869 0,5702 0,3861 0,1245 -0,2095 -0,5935 -1,0005 -1,4152 -1,8309 -2,2367 -2,6133 -2,9383 -3,1949 -3,3780 -3,4936 -3,5541 -3,5738 -3,5627 -3,5229 -3,4511 -3,3449 -3,2062 -3,0450 -2,8780 -2,7227 -2,5933 -2,4982 -2,4326 -2,3717 -2,2779 -2,1216 -1,9016 -1,6498 -1,4125 -1,2195 -1,0675 -0,9267 -0,7601 -0,5398 -0,2533 0,0955 0,4857 0,8839 1,2601 1,6051 1,9238 2,2101 2,4319 2,5464 2,5316 2,4030 2,2036 1,9788 1,7545 1,5350 1,3236 1,1384 0,9981 0,8982 0,8150 0,7381 0,6904 0,7064 0,7926 0,9153 1,0222 1,0726 1,0529 0,9735 0,8560 0,7240 0,5977 0,4890 0,4058 0,3623 0,3788 0,4673 0,6222 0,8295 1,0756 1,3454 1,6174 1,8679 2,0785 2,2373 2,3337 2,3568 2,3023 2,1805 2,0175 1,8490 1,7088 1,6228 1,6052 1,6555 1,7614 1,9119 2,1074 2,3525 2,6385 2,9329 3,1841 3,3420 3,3839 3,3268 3,2166 3,1077 3,0481 3,0668 3,1595 3,2866 3,3927 3,4361 3,4136 3,3616 3,3260 3,3281 3,3610 3,4026 3,4255 3,4072 3,3434 3,2533 3,1704 3,1190 3,1001 3,1029 3,1260 3,1836 3,2983 3,4825 3,7201 3,9653 4,1637 4,2744 4,2802 4,1893 4,0274 3,8270 3,6201 3,4300 3,2693 3,1462 3,0649 3,0150 2,9776 2,9451 2,9283 2,9409 2,9813 3,0274 3,0474 3,0165 2,9281 2,7947 2,6399 2,4938 2,3906 2,3565 2,3941 2,4812 2,5832 2,6699 2,7290 2,7638 2,7829 2,7962 2,8136 2,8411 2,8785 2,9193 2,9542 2,9825 3,0165 3,0709 3,1484 3,2379 3,3158 3,3505 3,3150 3,1979 3,0052 2,7558 2,4759 2,1945 1,9427 1,7464 1,6143 1,5412 1,5198 1,5497 1,6348 1,7764 1,9689 2,2038 2,4757 2,7850 3,1277 3,4859 3,8285 4,1205 4,3352 4,4643 4,5219 4,5300 4,4940 4,3972 4,2215 3,9690 3,6654 3,3513 3,0688 2,8480 2,6982 2,6089 2,5590 2,5279 2,5001 2,4610 2,3948 2,2876 2,1293 1,9136 1,6438 1,3349 1,0029 0,6567 0,3023 -0,0490 -0,3767 -0,6532 -0,8559 -0,9859 -1,0702 -1,1469 -1,2485 -1,3893 -1,5524 -1,6921 -1,7593 -1,7274 -1,5955 -1,3769 -1,0919 -0,7682 -0,4379 -0,1295 0,1375 0,3489 0,4971 0,5973 0,6974 0,8569 1,1085 1,4430 1,8326 2,2599 2,7223 3,2170 3,7280 4,2275 4,6924 5,1240 5,5446 5,9678 6,3673 6,6805 6,8451 6,8367 6,6773 6,4200 6,1258 5,8370 5,5625 5,2883 4,9945 4,6617 4,2759 3,8410 3,3872 2,9605 2,5868 2,2458 1,8891 1,4879 1,0577 0,6436 0,2874 -0,0003 -0,2489 -0,5006 -0,7756 -1,0714 -1,3824 -1,6955 -1,9750 -2,1743 -2,2641 -2,2443 -2,1332 -1,9536 -1,7269 -1,4691 -1,1891 -0,8897 -0,5720 -0,2395 0,1008 0,4375 0,7508 1,0100 1,1870 1,2732 1,2815 1,2272 1,1164 0,9543 0,7556 0,5421 0,3298 0,1127 -0,1359 -0,4352 -0,7674 -1,0813 -1,3222 -1,4668 -1,5427 -1,6133 -1,7350 -1,9289 -2,1938 -2,5247 -2,9074 -3,3050 -3,6685 -3,9629 -4,1785 -4,3222 -4,4068 -4,4478
Fz    0,8725 0,7673 0,4896 0,0855 -0,3552 -0,7393 -1,0138 -1,1780 -1,2687 -1,3379 -1,4384 -1,6161 -1,8986 -2,2796 -2,7161 -3,1485 -3,5197 -3,7776 -3,8801 -3,8155 -3,6103 -3,3117 -2,9641 -2,5946 -2,2159 -1,8448 -1,5110 -1,2374 -1,0199 -0,8319 -0,6356 -0,3873 -0,0495 0,3883 0,8996 1,4337 1,9358 2,3697 2,7312 3,0395 3,3152 3,5706 3,8064 4,0075 4,1568 4,2588 4,3412 4,4370 4,5667 4,7244 4,8709 4,9425 4,8754 4,6291 4,2001 3,6268 2,9870 2,3892 1,9409 1,6976 1,6373 1,6893 1,7822 1,8654 1,9102 1,9158 1,9058 1,8989 1,8821 1,8162 1,6629 1,4072 1,0655 0,6781 0,2890 -0,0739 -0,3969 -0,6608 -0,8320 -0,8827 -0,8221 -0,7050 -0,6016 -0,5520 -0,5480 -0,5549 -0,5381 -0,4730 -0,3518 -0,1953 -0,0596 -0,0205 -0,1341 -0,4055 -0,7898 -1,2181 -1,6338 -2,0181 -2,3847 -2,7506 -3,1144 -3,4614 -3,7769 -4,0466 -4,2527 -4,3800 -4,4208 -4,3685 -4,2166 -3,9808 -3,7197 -3,5144 -3,4184 -3,4318 -3,5182 -3,6290 -3,7169 -3,7500 -3,7201 -3,6276 -3,4566 -3,1728 -2,7466 -2,1781 -1,5058 -0,7914 -0,0929 0,5569 1,1589 1,7428 2,3548 3,0402 3,8231 4,6896 5,5882 6,4496 7,2133 7,8412 8,3124 8,6165 8,7563 8,7597 8,6872 8,6188 8,6144 8,6764 8,7472 8,7374 8,5688 8,2073 7,6682 6,9973 6,2471 5,4622 4,6803 3,9427 3,2934 2,7643 2,3650 2,0832 1,8881 1,7324 1,5672 1,3745 1,1825 1,0403 0,9806 1,0073 1,1017 1,2319 1,3580 1,4358 1,4278 1,3175 1,1109 0,8278 0,4993 0,1718 -0,1105 -0,3372 -0,5322 -0,7161 -0,8758 -0,9699 -0,9575 -0,8271 -0,6017 -0,3164 0,0022 0,3320 0,6373 0,8635 0,9584 0,9085 0,7581 0,5907 0,4814 0,4601 0,5071 0,5594 0,5278 0,3406 -0,0098 -0,4720 -0,9791 -1,4760 -1,9188 -2,2669 -2,4931 -2,6024 -2,6292 -2,6078 -2,5477 -2,4407 -2,2850 -2,0984 -1,9153 -1,7785 -1,7277 -1,7820 -1,9297 -2,1361 -2,3628 -2,5783 -2,7531 -2,8525 -2,8434 -2,7136 -2,4868 -2,2183 -1,9689 -1,7758 -1,6425 -1,5545 -1,5046 -1,5052 -1,5802 -1,7403 -1,9572 -2,1629 -2,2822 -2,2713 -2,1302 -1,8791 -1,5331 -1,1041 -0,6162 -0,1014 0,4153 0,9182 1,3939 1,8260 2,1941 2,4765 2,6592 2,7429 2,7423 2,6762 2,5544 2,3700 2,1065 1,7511 1,3021 0,7760 0,2080 -0,3699 -0,9525 -1,5492 -2,1556 -2,7458 -3,2879 -3,7562 -4,1331 -4,4083 -4,5791 -4,6454 -4,6064 -4,4660 -4,2372 -3,9389 -3,5903 -3,2144 -2,8387 -2,4851 -2,1630 -1,8726 -1,6039 -1,3317 -1,0249 -0,6702 -0,2864 0,0874 0,4161 0,6875 0,9190 1,1519 1,4359 1,8105 2,2908 2,8626 3,4878 4,1150 4,6991 5,2159 5,6533 5,9869 6,1681 6,1456 5,9067 5,4990 5,0086 4,5158 4,0627 3,6571 3,3050 3,0285 2,8420 2,7224 2,6176 2,4900 2,3492 2,2375 2,1863 2,1982 2,2551 2,3306 2,3978 2,4333 2,4178 2,3413 2,2066 2,0328 1,8570 1,7254 1,6694 1,6827 1,7317 1,7899 1,8573 1,9488 2,0788 2,2631 2,5186 2,8428 3,1949 3,5103 3,7333 3,8399 3,8398 3,7621 3,6365 3,4880 3,3460 3,2437 3,2001 3,2193 3,3161 3,5202 3,8419 4,2429 4,6462 4,9735 5,1802 5,2657 5,2579 5,1919 5,1035 5,0289 4,9884 4,9681 4,9317 4,8527 4,7428 4,6485 4,6159 4,6579 4,7557 4,8746 4,9723 5,0085 4,9663 4,8722 4,7876 4,7692 4,8334 4,9632 5,1388 5,3524 5,5977 5,8525 6,0825 6,2632 6,3901 6,4657 6,4919 6,4788 6,4442 6,4004 6,3528 6,3020 6,2389 6,1454 6,0026 5,7984 5,5386 5,2532 4,9841 4,7616 4,5864 4,4274 4,2402 3,9978 3,7035 3,3758 3,0333 2,7078 2,4584 2,3438 2,3812 2,5448 2,7880 3,0551 3,2859 3,4284 3,4620 3,4141 3,3500 3,3401 3,4260 3,6032 3,8305 4,0634 4,2811 4,4860 4,6839 4,8688 5,0208 5,1212 5,1646 5,1519 5,0782 4,9370 4,7265 4,4540 4,1473 3,8506 3,5977 3,3985 3,2547 3,1752 3,1783 3,2847 3,5054 3,8333 4,2441 4,6972 5,1354 5,5022 5,7728 5,9607 6,0938 6,1910 6,2597 6,2981 6,2900 6,2127 6,0657 5,8885 5,7394 5,6586 5,6463 5,6702 5,6906 5,6822 5,6386 5,5682 5,4862 5,4035 5,3167 5,2103 5,0633 4,8595 4,5974 4,2906 3,9581 3,6222 3,3081 3,0334 2,8043 2,6270 2,5110 2,4529 2,4309 2,4139 2,3680 2,2603 2,0770 1,8410 1,5980 1,3832 1,2059 1,0609 0,9457 0,8602 0,8028 0,7781 0,7997 0,8733 0,9901 1,1452 1,3508 1,6205 1,9469 2,3021 2,6611 3,0247 3,4171 3,8618 4,3591 4,8790 5,3800 5,8435 6,2854 6,7288 7,1646 7,5412 7,7962 7,8967 7,8496 7,6890 7,4623 7,2110 6,9569 6,7083 6,4670 6,2280 5,9857 5,7455 5,5271 5,3474 5,1901 4,9968 4,7059 4,3024 3,8284 3,3484 2,9118 2,5343 2,1945 1,8610 1,5331 1,2400 1,0032 0,8315 0,7467 0,7804 0,9380 1,1843 1,4660 1,7393 1,9884 2,2300 2,4961 2,8076 3,1612 3,5331 3,8916 4,2126 4,4874 4,7169 4,9030 5,0444 5,1358 5,1679 5,1350 5,0425 4,9055 4,7405 4,5495 4,3042 3,9579 3,4896 2,9387 2,3883 1,9165 1,5470 1,2272 0,8614 0,3858 -0,1894 -0,8082 -1,4205 -1,9938 -2,5000 -2,9199 -3,2575 -3,5363 -3,7720 -3,9550 -4,0647
F3    0,1289 0,2305 0,1485 -0,0710 -0,3683 -0,6911 -1,0056 -1,2976 -1,5664 -1,8161 -2,0585 -2,3220 -2,6457 -3,0462 -3,4928 -3,9200 -4,2562 -4,4378 -4,4239 -4,2156 -3,8532 -3,3847 -2,8415 -2,2384 -1,5945 -0,9499 -0,3556 0,1528 0,5636 0,8735 1,0810 1,2035 1,2880 1,3888 1,5316 1,7030 1,8671 1,9956 2,0965 2,2139 2,3926 2,6556 3,0019 3,4037 3,8136 4,1836 4,4802 4,6937 4,8361 4,9247 4,9579 4,9022 4,7003 4,3028 3,7011 2,9420 2,1321 1,4210 0,9396 0,7224 0,6949 0,7378 0,7535 0,6854 0,5209 0,3007 0,1078 0,0149 0,0353 0,1189 0,1822 0,1514 -0,0035 -0,2622 -0,5780 -0,9059 -1,2062 -1,4291 -1,5117 -1,4072 -1,1275 -0,7594 -0,4234 -0,2002 -0,0889 -0,0309 0,0397 0,1633 0,3386 0,5219 0,6385 0,6067 0,3760 -0,0446 -0,5842 -1,1398 -1,6267 -2,0188 -2,3405 -2,6217 -2,8710 -3,0826 -3,2524 -3,3790 -3,4615 -3,5021 -3,5021 -3,4483 -3,3190 -3,1185 -2,9055 -2,7732 -2,7892 -2,9557 -3,2214 -3,5126 -3,7563 -3,9040 -3,9494 -3,9096 -3,7872 -3,5640 -3,2234 -2,7778 -2,2756 -1,7759 -1,3145 -0,8887 -0,4599 0,0276 0,6197 1,3309 2,1368 2,9836 3,8131 4,5842 5,2782 5,8850 6,3849 6,7490 6,9618 7,0430 7,0448 7,0282 7,0344 7,0637 7,0680 6,9653 6,6795 6,1855 5,5247 4,7781 4,0288 3,3427 2,7599 2,2871 1,9072 1,6054 1,3819 1,2412 1,1728 1,1429 1,1104 1,0603 1,0143 1,0057 1,0497 1,1376 1,2486 1,3663 1,4828 1,5886 1,6662 1,6896 1,6254 1,4408 1,1299 0,7353 0,3282 -0,0478 -0,3971 -0,7267 -0,9991 -1,1436 -1,1036 -0,8832 -0,5581 -0,2282 0,0452 0,2449 0,3566 0,3523 0,2223 0,0123 -0,1815 -0,2630 -0,1899 0,0179 0,3024 0,5828 0,7624 0,7600 0,5512 0,1678 -0,3418 -0,9355 -1,5605 -2,1331 -2,5609 -2,7943 -2,8432 -2,7480 -2,5475 -2,2711 -1,9447 -1,6019 -1,2934 -1,0815 -1,0191 -1,1261 -1,3786 -1,7211 -2,0953 -2,4586 -2,7765 -3,0045 -3,0913 -3,0087 -2,7785 -2,4670 -2,1508 -1,8810 -1,6724 -1,5211 -1,4288 -1,4175 -1,5268 -1,7925 -2,2144 -2,7356 -3,2589 -3,6889 -3,9518 -3,9824 -3,7305 -3,1976 -2,4523 -1,5976 -0,7272 0,0951 0,8336 1,4602 1,9409 2,2474 2,3779 2,3592 2,2336 2,0431 1,8140 1,5488 1,2365 0,8700 0,4517 -0,0057 -0,4811 -0,9653 -1,4705 -2,0028 -2,5321 -3,0006 -3,3544 -3,5643 -3,6312 -3,5813 -3,4537 -3,2874 -3,1116 -2,9401 -2,7671 -2,5706 -2,3278 -2,0401 -1,7395 -1,4693 -1,2640 -1,1359 -1,0593 -0,9653 -0,7702 -0,4347 -0,0058 0,4103 0,7198 0,8916 0,9621 1,0126 1,1376 1,4046 1,8228 2,3457 2,8993 3,4128 3,8466 4,2072 4,5299 4,8350 5,0915 5,2251 5,1692 4,9159 4,5190 4,0549 3,5775 3,1099 2,6742 2,3138 2,0692 1,9365 1,8638 1,8005 1,7487 1,7558 1,8623 2,0647 2,3169 2,5583 2,7411 2,8402 2,8446 2,7531 2,5766 2,3467 2,1206 1,9628 1,9096 1,9481 2,0316 2,1215 2,2201 2,3701 2,6228 3,0091 3,5182 4,0828 4,5888 4,9198 5,0020 4,8230 4,4270 3,8947 3,3221 2,8059 2,4267 2,2251 2,1913 2,2845 2,4691 2,7256 3,0280 3,3229 3,5425 3,6420 3,6331 3,5871 3,5977 3,7338 4,0183 4,4272 4,8861 5,2815 5,5040 5,5001 5,3012 5,0064 4,7219 4,5088 4,3769 4,3055 4,2576 4,1976 4,1188 4,0623 4,1010 4,2820 4,5842 4,9406 5,2855 5,5780 5,8046 5,9642 6,0553 6,0869 6,0939 6,1196 6,1892 6,3034 6,4405 6,5611 6,6272 6,6208 6,5406 6,3890 6,1630 5,8633 5,5190 5,1992 4,9861 4,9301 5,0210 5,1889 5,3385 5,3978 5,3433 5,1840 4,9350 4,6238 4,3122 4,0745 3,9531 3,9488 4,0383 4,1819 4,3213 4,3910 4,3524 4,2202 4,0439 3,8639 3,6933 3,5292 3,3748 3,2580 3,2283 3,3268 3,5569 3,8770 4,2126 4,4803 4,6116 4,5631 4,3224 3,9207 3,4245 2,9066 2,4268 2,0257 1,7152 1,4829 1,3173 1,2342 1,2746 1,4737 1,8338 2,3308 2,9307 3,5822 4,2065 4,7183 5,0660 5,2485 5,2883 5,2017 5,0077 4,7497 4,4824 4,2434 4,0511 3,9209 3,8653 3,8811 3,9448 4,0239 4,0968 4,1561 4,1973 4,2198 4,2358 4,2597 4,2858 4,2828 4,2097 4,0428 3,7880 3,4663 3,0896 2,6577 2,1754 1,6660 1,1728 0,7520 0,4522 0,2913 0,2594 0,3360 0,4895 0,6685 0,8190 0,9170 0,9694 0,9866 0,9707 0,9277 0,8789 0,8519 0,8627 0,9126 0,9879 1,0554 1,0806 1,0718 1,0867 1,1797 1,3534 1,5709 1,8029 2,0553 2,3587 2,7370 3,1849 3,6724 4,1699 4,6757 5,2209 5,8368 6,5030 7,1307 7,6034 7,8380 7,8215 7,6083 7,2843 6,9238 6,5725 6,2577 5,9904 5,7565 5,5261 5,2843 5,0527 4,8722 4,7521 4,6404 4,4570 4,1566 3,7583 3,3214 2,9008 2,5115 2,1211 1,6885 1,2152 0,7457 0,3264 -0,0082 -0,2199 -0,2746 -0,1783 0,0126 0,2247 0,4125 0,5830 0,7859 1,0747 1,4740 1,9728 2,5304 3,0865 3,5857 3,9903 4,2684 4,3901 4,3452 4,1517 3,8462 3,4756 3,0966 2,7617 2,4901 2,2495 1,9651 1,5589 1,0050 0,3594 -0,2680 -0,7761 -1,1295 -1,3795 -1,6272 -1,9479 -2,3471 -2,7816 -3,2074 -3,5994 -3,9378 -4,2005 -4,3780 -4,4928 -4,5792 -4,6429 -4,6535
F7    -1,3553 -1,3727 -1,4609 -1,5929 -1,7303 -1,8428 -1,9210 -1,9717 -2,0043 -2,0241 -2,0353 -2,0494 -2,0829 -2,1413 -2,2104 -2,2663 -2,2881 -2,2570 -2,1565 -1,9827 -1,7483 -1,4724 -1,1704 -0,8505 -0,5189 -0,1891 0,1193 0,3933 0,6323 0,8405 1,0246 1,2004 1,3908 1,6104 1,8514 2,0855 2,2782 2,4056 2,4648 2,4721 2,4513 2,4256 2,4117 2,4127 2,4188 2,4177 2,4018 2,3709 2,3307 2,2849 2,2238 2,1223 1,9514 1,6948 1,3585 0,9727 0,5876 0,2626 0,0462 -0,0466 -0,0384 0,0318 0,1294 0,2276 0,3078 0,3646 0,4066 0,4417 0,4625 0,4468 0,3737 0,2390 0,0606 -0,1290 -0,2988 -0,4306 -0,5170 -0,5512 -0,5222 -0,4229 -0,2665 -0,0906 0,0596 0,1603 0,2233 0,2796 0,3564 0,4675 0,6116 0,7681 0,8971 0,9487 0,8832 0,6873 0,3789 -0,0030 -0,4177 -0,8408 -1,2640 -1,6813 -2,0829 -2,4608 -2,8128 -3,1392 -3,4406 -3,7186 -3,9731 -4,1972 -4,3816 -4,5277 -4,6577 -4,8034 -4,9808 -5,1785 -5,3705 -5,5296 -5,6324 -5,6660 -5,6337 -5,5463 -5,4043 -5,1930 -4,8975 -4,5207 -4,0881 -3,6315 -3,1744 -2,7289 -2,2972 -1,8699 -1,4273 -0,9479 -0,4206 0,1495 0,7447 1,3426 1,9222 2,4662 2,9581 3,3806 3,7214 3,9836 4,1882 4,3670 4,5437 4,7143 4,8432 4,8798 4,7848 4,5494 4,1975 3,7739 3,3262 2,8893 2,4798 2,1018 1,7550 1,4400 1,1597 0,9158 0,7050 0,5157 0,3325 0,1494 -0,0202 -0,1525 -0,2298 -0,2474 -0,2110 -0,1332 -0,0314 0,0695 0,1403 0,1562 0,1027 -0,0232 -0,2088 -0,4215 -0,6194 -0,7793 -0,9065 -1,0154 -1,1074 -1,1686 -1,1841 -1,1528 -1,0913 -1,0236 -0,9651 -0,9221 -0,9022 -0,9205 -0,9912 -1,1125 -1,2596 -1,3921 -1,4740 -1,4899 -1,4517 -1,4020 -1,4041 -1,5110 -1,7355 -2,0520 -2,4228 -2,8145 -3,1952 -3,5265 -3,7720 -3,9167 -3,9746 -3,9732 -3,9359 -3,8779 -3,8105 -3,7436 -3,6850 -3,6411 -3,6175 -3,6143 -3,6216 -3,6250 -3,6180 -3,6053 -3,5914 -3,5694 -3,5235 -3,4438 -3,3385 -3,2326 -3,1541 -3,1155 -3,1072 -3,1079 -3,1035 -3,0958 -3,0983 -3,1228 -3,1649 -3,1996 -3,1951 -3,1329 -3,0121 -2,8362 -2,6051 -2,3231 -2,0082 -1,6847 -1,3693 -1,0671 -0,7799 -0,5133 -0,2786 -0,0882 0,0503 0,1361 0,1716 0,1577 0,0904 -0,0352 -0,2182 -0,4512 -0,7262 -1,0315 -1,3457 -1,6495 -1,9407 -2,2270 -2,5073 -2,7690 -2,9966 -3,1781 -3,3071 -3,3859 -3,4237 -3,4311 -3,4143 -3,3744 -3,3074 -3,2050 -3,0624 -2,8889 -2,7089 -2,5488 -2,4240 -2,3356 -2,2680 -2,1916 -2,0770 -1,9148 -1,7254 -1,5462 -1,4065 -1,3093 -1,2329 -1,1435 -1,0085 -0,8099 -0,5510 -0,2518 0,0615 0,3627 0,6321 0,8640 1,0628 1,2269 1,3405 1,3829 1,3486 1,2587 1,1485 1,0424 0,9407 0,8295 0,7059 0,5900 0,5064 0,4609 0,4391 0,4269 0,4254 0,4433 0,4808 0,5272 0,5699 0,6000 0,6130 0,6056 0,5716 0,5037 0,4003 0,2736 0,1518 0,0693 0,0477 0,0818 0,1466 0,2208 0,3005 0,3948 0,5167 0,6799 0,8900 1,1303 1,3591 1,5293 1,6101 1,5961 1,5041 1,3651 1,2132 1,0776 0,9808 0,9337 0,9300 0,9530 0,9948 1,0626 1,1619 1,2798 1,3892 1,4668 1,5073 1,5241 1,5391 1,5722 1,6386 1,7481 1,8929 2,0412 2,1534 2,2103 2,2282 2,2475 2,2997 2,3857 2,4839 2,5677 2,6111 2,5917 2,5027 2,3676 2,2344 2,1470 2,1218 2,1504 2,2186 2,3187 2,4476 2,5981 2,7551 2,9047 3,0399 3,1547 3,2392 3,2848 3,2903 3,2612 3,2090 3,1464 3,0786 3,0042 2,9211 2,8285 2,7312 2,6450 2,5907 2,5787 2,6002 2,6302 2,6384 2,6010 2,5090 2,3662 2,1850 1,9899 1,8224 1,7251 1,7160 1,7835 1,8968 2,0175 2,1083 2,1396 2,0985 1,9970 1,8651 1,7329 1,6182 1,5261 1,4557 1,4116 1,4046 1,4437 1,5281 1,6454 1,7724 1,8812 1,9471 1,9502 1,8756 1,7221 1,5072 1,2610 1,0150 0,7923 0,6004 0,4363 0,3009 0,2060 0,1719 0,2183 0,3566 0,5837 0,8813 1,2184 1,5545 1,8489 2,0750 2,2298 2,3269 2,3830 2,4126 2,4244 2,4155 2,3740 2,2960 2,1960 2,0970 2,0146 1,9495 1,8886 1,8146 1,7150 1,5879 1,4425 1,2922 1,1441 0,9955 0,8370 0,6580 0,4514 0,2179 -0,0365 -0,3061 -0,5862 -0,8688 -1,1415 -1,3892 -1,5954 -1,7493 -1,8536 -1,9203 -1,9606 -1,9847 -2,0045 -2,0257 -2,0397 -2,0286 -1,9799 -1,8944 -1,7805 -1,6450 -1,4916 -1,3274 -1,1618 -1,0006 -0,8469 -0,7024 -0,5563 -0,3806 -0,1475 0,1464 0,4783 0,8194 1,1571 1,5003 1,8681 2,2705 2,6970 3,1249 3,5398 3,9439 4,3408 4,7130 5,0184 5,2111 5,2649 5,1840 4,9993 4,7542 4,4834 4,2013 3,9066 3,5919 3,2493 2,8767 2,4830 2,0910 1,7282 1,4052 1,1000 0,7725 0,3992 -0,0075 -0,4130 -0,7862 -1,1189 -1,4302 -1,7482 -2,0808 -2,4118 -2,7195 -2,9835 -3,1752 -3,2637 -3,2372 -3,1128 -2,9265 -2,7139 -2,4945 -2,2649 -2,0091 -1,7181 -1,4008 -1,0812 -0,7882 -0,5443 -0,3610 -0,2418 -0,1862 -0,1890 -0,2380 -0,3171 -0,4102 -0,5033 -0,5894 -0,6729 -0,7718 -0,9161 -1,1377 -1,4489 -1,8274 -2,2250 -2,5910 -2,8981 -3,1588 -3,4142 -3,6944 -3,9922 -4,2769 -4,5246 -4,7286 -4,8895 -5,0096 -5,0974 -5,1698 -5,2429 -5,3209 -5,3968
