Fp1   -3,4472 -3,3653 -3,0221 -2,4888 -1,8510 -1,2101 -0,6732 -0,3188 -0,1589 -0,1344 -0,1568 -0,1644 -0,1388 -0,0778 0,0314 0,2074 0,4432 0,6902 0,8867 0,9967 1,0215 0,9922 0,9551 0,9510 1,0084 1,1477 1,3744 1,6671 1,9773 2,2345 2,3673 2,3438 2,1962 2,0035 1,8465 1,7636 1,7333 1,6881 1,5487 1,2622 0,8234 0,2709 -0,3377 -0,9611 -1,5918 -2,2266 -2,8305 -3,3526 -3,7788 -4,1454 -4,4985 -4,8527 -5,1903 -5,4929 -5,7648 -6,0135 -6,2183 -6,3330 -6,3196 -6,1670 -5,8814 -5,4811 -5,0039 -4,4983 -4,0037 -3,5576 -3,2143 -3,0378 -3,0674 -3,2887 -3,6321 -3,9889 -4,2396 -4,2979 -4,1420 -3,8112 -3,3817 -2,9418 -2,5610 -2,2622 -2,0249 -1,8171 -1,6192 -1,4342 -1,2900 -1,2331 -1,3131 -1,5619 -1,9643 -2,4496 -2,9300 -3,3543 -3,7228 -4,0645 -4,4091 -4,7728 -5,1484 -5,5041 -5,8101 -6,0648 -6,2868 -6,4869 -6,6543 -6,7686 -6,8226 -6,8367 -6,8483 -6,8885 -6,9658 -7,0631 -7,1389 -7,1442 -7,0591 -6,9165 -6,7761 -6,6655 -6,5506 -6,3732 -6,1113 -5,7950 -5,4621 -5,1117 -4,7179 -4,2792 -3,8325 -3,4316 -3,1265 -2,9398 -2,8430 -2,7614 -2,6017 -2,2842 -1,7782 -1,1218 -0,3987 0,3103 0,9605 1,5514 2,1156 2,6948 3,3118 3,9540 4,5782 5,1413 5,6324 6,0694 6,4643 6,8040 7,0732 7,2884 7,5003 7,7570 8,0668 8,3947 8,6867 8,8883 8,9516 8,8404 8,5387 8,0601 7,4548 6,8102 6,2329 5,8047 5,5356 5,3728 5,2544 5,1407 5,0101 4,8574 4,6993 4,5666 4,4823 4,4397 4,4040 4,3315 4,1852 3,9444 3,6113 3,2103 2,7851 2,3823 2,0185 1,6702 1,2994 0,8863 0,4406 -0,0066 -0,4167 -0,7479 -0,9564 -1,0077 -0,8999 -0,6701 -0,3707 -0,0440 0,2726 0,5340 0,6995 0,7532 0,7066 0,5900 0,4459 0,3197 0,2539 0,2769 0,3747 0,4774 0,5011 0,4089 0,2258 0,0039 -0,2091 -0,3775 -0,4826 -0,5257 -0,5099 -0,4191 -0,2240 0,0899 0,4988 0,9497 1,4021 1,8576 2,3443 2,8718 3,3969 3,8280 4,0618 4,0337 3,7561 3,3148 2,8128 2,3084 1,8018 1,2739 0,7291 0,2092 -0,2274 -0,5402 -0,7223 -0,7882 -0,7609 -0,6668 -0,5301 -0,3806 -0,2719 -0,2713 -0,4151 -0,6759 -0,9736 -1,2181 -1,3461 -1,3257 -1,1502 -0,8534 -0,5151 -0,2293 -0,0601 -0,0173 -0,0590 -0,1143 -0,1200 -0,0565 0,0479 0,1527 0,2335 0,2716 0,2416 0,1314 -0,0255 -0,1532 -0,1868 -0,1309 -0,0566 -0,0383 -0,0913 -0,1670 -0,1969 -0,1449 -0,0238 0,1253 0,2536 0,3068 0,2313 0,0003 -0,3626 -0,7943 -1,2220 -1,5812 -1,8242 -1,9314 -1,9031 -1,7321 -1,3974 -0,8906 -0,2500 0,4345 1,0546 1,5283 1,8260 1,9659 1,9897 1,9362 1,8277 1,6685 1,4483 1,1468 0,7494 0,2703 -0,2463 -0,7562 -1,2417 -1,7040 -2,1302 -2,4706 -2,6541 -2,6346 -2,4217 -2,0626 -1,5943 -1,0178 -0,3234 0,4626 1,2669 1,9943 2,5529 2,8675 2,9044 2,7007 2,3597 1,9976 1,6877 1,4416 1,2292 1,0140 0,7757 0,5068 0,2078 -0,1119 -0,4421 -0,7806 -1,1290 -1,4819 -1,8162 -2,0947 -2,2875 -2,3875 -2,4025 -2,3381 -2,1952 -1,9815 -1,7305 -1,5096 -1,4002 -1,4611 -1,7055 -2,0952 -2,5490 -2,9785 -3,3272 -3,5750 -3,7206 -3,7767 -3,7743 -3,7572 -3,7688 -3,8409 -3,9760 -4,1375 -4,2696 -4,3341 -4,3286 -4,2763 -4,2079 -4,1589 -4,1612 -4,2168 -4,2905 -4,3341 -4,3086 -4,1819 -3,9239 -3,5161 -2,9663 -2,3139 -1,6348 -1,0325 -0,5993 -0,3782 -0,3603 -0,5100 -0,7816 -1,1200 -1,4709 -1,8065 -2,1259 -2,4214 -2,6604 -2,8106 -2,8760 -2,8909 -2,8827 -2,8587 -2,8299 -2,8255 -2,8723 -2,9595 -3,0337 -3,0322 -2,9319 -2,7744 -2,6467 -2,6277 -2,7554 -3,0337 -3,4457 -3,9510 -4,4898 -5,0031 -5,4603 -5,8753 -6,2919 -6,7342 -7,1734 -7,5571 -7,8665 -8,1330 -8,4021 -8,6963 -9,0104 -9,3232 -9,6024 -9,8069 -9,8932 -9,8263 -9,5954 -9,2153 -8,7023 -8,0695 -7,3570 -6,6444 -6,0236 -5,5674 -5,3120 -5,2537 -5,3538 -5,5532 -5,7866 -5,9950 -6,1375 -6,2001 -6,1941 -6,1556 -6,1385 -6,1774 -6,2482 -6,2799 -6,2053 -5,9898 -5,6318 -5,1684 -4,6788 -4,2565 -3,9631 -3,8008 -3,7196 -3,6436 -3,4956 -3,2181 -2,8042 -2,3169 -1,8603 -1,5207 -1,3295 -1,2665 -1,2850 -1,3484 -1,4513 -1,6038 -1,8044 -2,0330 -2,2635 -2,4788 -2,6845 -2,9089 -3,1845 -3,5242 -3,9180 -4,3525 -4,8235 -5,3269 -5,8406 -6,3196 -6,7069 -6,9559 -7,0504 -7,0017 -6,8411 -6,6149 -6,3588 -6,0675 -5,7025 -5,2182 -4,5810 -3,7989 -2,9421 -2,1102 -1,3728 -0,7414 -0,1854 0,3298 0,8011 1,1772 1,4012 1,4716 1,4559 1,4532 1,5528 1,8095 2,2198 2,7168 3,2071 3,6225 3,9350 4,1333 4,1827 4,0189 3,6035 2,9863 2,2988 1,6874 1,2481 1,0003 0,8995 0,8736 0,8623 0,8387 0,7995 0,7424 0,6598 0,5439 0,3911 0,2003 -0,0402 -0,3586 -0,7787 -1,2917 -1,8518 -2,4030 -2,9034 -3,3278 -3,6655 -3,9255 -4,1238 -4,2587 -4,3058 -4,2368 -4,0367 -3,7096 -3,2858 -2,8227 -2,3878 -2,0301 -1,7610 -1,5543 -1,3640 -1,1530 -0,9051 -0,6127 -0,2755 0,0745 0,3603 0,4928 0,4244 0,1663 -0,2411 -0,7539 -1,3264 -1,9067 -2,4357 -2,8506 -3,1070 -3,2076 -3,2053 -3,1736 -3,1739 -3,2414 -3,3769 -3,5461 -3,7050 -3,8325 -3,9315 -4,0051 -4,0486 -4,0592 -4,0410 -3,9896 -3,8759 -3,6505
Fz    0,0711 0,7857 1,6393 2,5680 3,4893 4,3058 4,9227 5,2715 5,3284 5,1197 4,7084 4,1688 3,5690 2,9693 2,4231 1,9638 1,5825 1,2242 0,8278 0,3709 -0,1209 -0,5945 -0,9974 -1,3005 -1,5035 -1,6213 -1,6746 -1,6859 -1,6795 -1,6848 -1,7302 -1,8219 -1,9325 -2,0110 -2,0111 -1,9231 -1,7814 -1,6420 -1,5547 -1,5455 -1,6150 -1,7467 -1,9211 -2,1273 -2,3680 -2,6510 -2,9729 -3,3200 -3,6873 -4,0838 -4,5128 -4,9540 -5,3694 -5,7253 -6,0074 -6,2098 -6,3189 -6,3153 -6,1896 -5,9491 -5,6146 -5,2201 -4,8143 -4,4514 -4,1795 -4,0427 -4,0853 -4,3406 -4,8101 -5,4541 -6,2001 -6,9562 -7,6243 -8,1192 -8,3847 -8,4023 -8,1956 -7,8257 -7,3666 -6,8710 -6,3545 -5,8115 -5,2390 -4,6589 -4,1281 -3,7288 -3,5446 -3,6332 -3,9973 -4,5705 -5,2474 -5,9414 -6,6166 -7,2771 -7,9367 -8,6007 -9,2587 -9,8874 -10,4641 -10,9792 -11,4291 -11,7982 -12,0580 -12,1883 -12,1997 -12,1400 -12,0723 -12,0376 -12,0339 -12,0248 -11,9615 -11,8037 -11,5397 -11,1917 -10,7954 -10,3674 -9,8976 -9,3734 -8,8060 -8,2294 -7,6736 -7,1404 -6,6154 -6,0992 -5,6140 -5,1887 -4,8503 -4,6144 -4,4678 -4,3605 -4,2139 -3,9429 -3,4931 -2,8748 -2,1559 -1,4175 -0,7114 -0,0490 0,5862 1,2204 1,8758 2,5623 3,2735 3,9941 4,7130 5,4270 6,1285 6,7997 7,4265 8,0142 8,5818 9,1423 9,6854 10,1774 10,5754 10,8336 10,9009 10,7303 10,3049 9,6574 8,8693 8,0533 7,3228 6,7574 6,3751 6,1403 5,9993 5,9067 5,8344 5,7754 5,7404 5,7452 5,7951 5,8674 5,9119 5,8701 5,6911 5,3397 4,8016 4,0884 3,2391 2,3103 1,3542 0,4063 -0,5059 -1,3500 -2,0883 -2,6905 -3,1399 -3,4258 -3,5373 -3,4715 -3,2459 -2,8962 -2,4608 -1,9738 -1,4748 -1,0172 -0,6561 -0,4262 -0,3341 -0,3610 -0,4693 -0,6140 -0,7524 -0,8590 -0,9480 -1,0750 -1,2944 -1,6107 -1,9749 -2,3182 -2,5802 -2,7195 -2,7201 -2,5931 -2,3591 -2,0250 -1,5796 -1,0106 -0,3250 0,4477 1,2780 2,1561 3,0829 4,0360 4,9456 5,7021 6,1908 6,3353 6,1332 5,6571 5,0101 4,2742 3,4969 2,7136 1,9683 1,3109 0,7831 0,4080 0,1881 0,1084 0,1362 0,2255 0,3309 0,4115 0,4242 0,3308 0,1239 -0,1634 -0,4738 -0,7511 -0,9565 -1,0733 -1,1074 -1,0948 -1,0986 -1,1824 -1,3786 -1,6714 -1,9990 -2,2792 -2,4522 -2,5132 -2,5051 -2,4779 -2,4617 -2,4735 -2,5249 -2,6101 -2,6888 -2,6968 -2,5890 -2,3817 -2,1467 -1,9555 -1,8293 -1,7397 -1,6447 -1,5213 -1,3752 -1,2316 -1,1270 -1,1031 -1,1944 -1,4079 -1,7121 -2,0451 -2,3340 -2,5135 -2,5426 -2,4117 -2,1340 -1,7257 -1,1981 -0,5663 0,1346 0,8452 1,4958 2,0295 2,4165 2,6538 2,7532 2,7286 2,5857 2,3202 1,9236 1,3934 0,7475 0,0359 -0,6689 -1,2989 -1,8092 -2,1777 -2,3978 -2,4652 -2,3706 -2,1128 -1,7137 -1,2087 -0,6232 0,0383 0,7761 1,5690 2,3665 3,1033 3,7149 4,1487 4,3768 4,4080 4,2859 4,0695 3,8111 3,5437 3,2759 2,9977 2,6895 2,3291 1,9003 1,4020 0,8489 0,2702 -0,2965 -0,8160 -1,2621 -1,6203 -1,8952 -2,1118 -2,3023 -2,4900 -2,6810 -2,8699 -3,0553 -3,2568 -3,5087 -3,8384 -4,2497 -4,7176 -5,1921 -5,6184 -5,9606 -6,2053 -6,3486 -6,3963 -6,3771 -6,3442 -6,3569 -6,4548 -6,6351 -6,8502 -7,0345 -7,1393 -7,1474 -7,0655 -6,9140 -6,7276 -6,5451 -6,3811 -6,2082 -5,9733 -5,6284 -5,1473 -4,5287 -3,7969 -2,9957 -2,1810 -1,4229 -0,8068 -0,4140 -0,2901 -0,4337 -0,8114 -1,3762 -2,0725 -2,8432 -3,6433 -4,4384 -5,1889 -5,8466 -6,3744 -6,7649 -7,0322 -7,1880 -7,2382 -7,1980 -7,1001 -6,9833 -6,8721 -6,7650 -6,6377 -6,4628 -6,2376 -5,9926 -5,7707 -5,6057 -5,5210 -5,5303 -5,6335 -5,8215 -6,0857 -6,4224 -6,8384 -7,3460 -7,9442 -8,6017 -9,2730 -9,9351 -10,5962 -11,2695 -11,9474 -12,6041 -13,2096 -13,7330 -14,1402 -14,3957 -14,4690 -14,3472 -14,0413 -13,5753 -12,9763 -12,2825 -11,5506 -10,8466 -10,2311 -9,7520 -9,4418 -9,3149 -9,3661 -9,5720 -9,8953 -10,2954 -10,7304 -11,1507 -11,5013 -11,7385 -11,8369 -11,7837 -11,5757 -11,2166 -10,7103 -10,0626 -9,2962 -8,4582 -7,6018 -6,7662 -5,9680 -5,2052 -4,4641 -3,7293 -2,9974 -2,2937 -1,6731 -1,1957 -0,8959 -0,7743 -0,8104 -0,9764 -1,2505 -1,6266 -2,0964 -2,6237 -3,1472 -3,6084 -3,9721 -4,2332 -4,4138 -4,5513 -4,6783 -4,8115 -4,9585 -5,1267 -5,3183 -5,5218 -5,7128 -5,8698 -5,9917 -6,0987 -6,2125 -6,3412 -6,4808 -6,6059 -6,6573 -6,5570 -6,2401 -5,6810 -4,9109 -4,0140 -3,0890 -2,2029 -1,3772 -0,6034 0,1272 0,7962 1,3531 1,7473 1,9714 2,0729 2,1260 2,2008 2,3438 2,5591 2,8021 3,0057 3,1214 3,1382 3,0678 2,9121 2,6513 2,2729 1,8132 1,3600 1,0165 0,8523 0,8732 1,0242 1,2178 1,3693 1,4213 1,3548 1,1816 0,9275 0,6178 0,2748 -0,0845 -0,4608 -0,8759 -1,3487 -1,8678 -2,3939 -2,8892 -3,3382 -3,7433 -4,1144 -4,4664 -4,8070 -5,1168 -5,3528 -5,4710 -5,4407 -5,2437 -4,8747 -4,3466 -3,6860 -2,9185 -2,0595 -1,1190 -0,1141 0,9161 1,9084 2,7905 3,5011 3,9951 4,2359 4,1967 3,8785 3,3199 2,5809 1,7233 0,8063 -0,1077 -0,9482 -1,6441 -2,1498 -2,4667 -2,6427 -2,7485 -2,8513 -2,9956 -3,1938 -3,4272 -3,6660 -3,8933 -4,1098 -4,3172 -4,5057 -4,6612 -4,7775 -4,8514 -4,8642 -4,7731
F3    -1,0724 -0,7464 -0,1951 0,5008 1,2504 1,9524 2,5071 2,8440 2,9461 2,8558 2,6521 2,4051 2,1473 1,8881 1,6398 1,4159 1,2059 0,9689 0,6673 0,3018 -0,0886 -0,4471 -0,7200 -0,8726 -0,8956 -0,8014 -0,6223 -0,4017 -0,1843 -0,0168 0,0548 0,0118 -0,1161 -0,2646 -0,3731 -0,4159 -0,4094 -0,3979 -0,4323 -0,5481 -0,7495 -1,0107 -1,2937 -1,5773 -1,8690 -2,1783 -2,4854 -2,7593 -3,0046 -3,2661 -3,5819 -3,9463 -4,3155 -4,6417 -4,8990 -5,0804 -5,1772 -5,1726 -5,0534 -4,8198 -4,4856 -4,0822 -3,6616 -3,2807 -2,9840 -2,8121 -2,8162 -3,0440 -3,5061 -4,1575 -4,9096 -5,6545 -6,2868 -6,7277 -6,9406 -6,9281 -6,7240 -6,3836 -5,9661 -5,5139 -5,0514 -4,5952 -4,1585 -3,7589 -3,4331 -3,2351 -3,2148 -3,3936 -3,7478 -4,2120 -4,7120 -5,2030 -5,6804 -6,1630 -6,6710 -7,2135 -7,7796 -8,3372 -8,8506 -9,3045 -9,7051 -10,0609 -10,3677 -10,6121 -10,7920 -10,9299 -11,0583 -11,1884 -11,2985 -11,3432 -11,2709 -11,0451 -10,6698 -10,1954 -9,6848 -9,1686 -8,6332 -8,0533 -7,4343 -6,8194 -6,2526 -5,7447 -5,2825 -4,8605 -4,4906 -4,1963 -4,0062 -3,9312 -3,9389 -3,9517 -3,8696 -3,6017 -3,1054 -2,4123 -1,6078 -0,7819 0,0038 0,7220 1,3781 2,0030 2,6343 3,2916 3,9636 4,6243 5,2630 5,8850 6,4897 7,0646 7,6008 8,1067 8,6042 9,1082 9,6083 10,0729 10,4617 10,7289 10,8228 10,6946 10,3165 9,7032 8,9232 8,0923 7,3420 6,7667 6,3834 6,1466 5,9985 5,8951 5,8054 5,7141 5,6242 5,5429 5,4639 5,3621 5,2062 4,9721 4,6433 4,2113 3,6846 3,0943 2,4893 1,9156 1,3875 0,8828 0,3691 -0,1711 -0,7334 -1,2929 -1,8052 -2,2125 -2,4537 -2,4831 -2,2960 -1,9339 -1,4537 -0,9022 -0,3284 0,1949 0,5829 0,7751 0,7613 0,5795 0,2958 -0,0146 -0,2786 -0,4388 -0,4844 -0,4654 -0,4588 -0,5118 -0,6208 -0,7539 -0,8820 -0,9910 -1,0873 -1,1911 -1,3067 -1,3983 -1,4005 -1,2540 -0,9382 -0,4755 0,1005 0,7734 1,5368 2,3630 3,1827 3,8902 4,3714 4,5486 4,4228 4,0733 3,6057 3,0915 2,5520 1,9889 1,4195 0,8883 0,4530 0,1616 0,0346 0,0549 0,1642 0,2806 0,3363 0,2918 0,1217 -0,1922 -0,6418 -1,1768 -1,7150 -2,1716 -2,4873 -2,6365 -2,6248 -2,4969 -2,3335 -2,2150 -2,1817 -2,2204 -2,2770 -2,2801 -2,1726 -1,9479 -1,6529 -1,3480 -1,0731 -0,8561 -0,7252 -0,6900 -0,7134 -0,7176 -0,6389 -0,4868 -0,3404 -0,2764 -0,3009 -0,3457 -0,3237 -0,1910 0,0323 0,2893 0,5199 0,6740 0,7126 0,6221 0,4345 0,2221 0,0658 0,0233 0,1141 0,3224 0,6183 0,9813 1,4058 1,8900 2,4145 2,9264 3,3490 3,6158 3,7047 3,6399 3,4637 3,2083 2,8863 2,4959 2,0301 1,4863 0,8786 0,2501 -0,3370 -0,8329 -1,2200 -1,5069 -1,7068 -1,8152 -1,8029 -1,6392 -1,3224 -0,8788 -0,3326 0,3132 1,0573 1,8672 2,6761 3,4061 3,9841 4,3483 4,4669 4,3623 4,1130 3,8183 3,5522 3,3407 3,1699 3,0135 2,8533 2,6786 2,4815 2,2565 1,9982 1,7009 1,3626 0,9910 0,6070 0,2382 -0,0971 -0,3957 -0,6580 -0,8780 -1,0421 -1,1341 -1,1545 -1,1406 -1,1581 -1,2675 -1,4973 -1,8331 -2,2220 -2,6011 -2,9315 -3,1974 -3,3880 -3,4996 -3,5533 -3,5984 -3,6977 -3,9008 -4,2113 -4,5736 -4,9033 -5,1371 -5,2571 -5,2786 -5,2290 -5,1426 -5,0496 -4,9504 -4,8074 -4,5704 -4,2077 -3,7186 -3,1271 -2,4709 -1,7897 -1,1230 -0,5244 -0,0714 0,1601 0,1350 -0,1304 -0,5883 -1,1790 -1,8335 -2,4851 -3,0918 -3,6393 -4,1180 -4,5079 -4,7923 -4,9815 -5,1082 -5,1957 -5,2435 -5,2459 -5,2123 -5,1642 -5,1123 -5,0395 -4,9087 -4,6936 -4,4090 -4,1142 -3,8801 -3,7586 -3,7781 -3,9448 -4,2392 -4,6251 -5,0682 -5,5480 -6,0622 -6,6189 -7,2122 -7,8071 -8,3615 -8,8638 -9,3349 -9,7942 -10,2363 -10,6402 -10,9864 -11,2579 -11,4321 -11,4797 -11,3754 -11,1169 -10,7267 -10,2263 -9,6250 -8,9492 -8,2617 -7,6445 -7,1726 -6,8985 -6,8413 -6,9840 -7,2791 -7,6562 -8,0343 -8,3445 -8,5477 -8,6320 -8,6073 -8,5056 -8,3607 -8,1801 -7,9447 -7,6307 -7,2152 -6,6773 -6,0243 -5,3146 -4,6363 -4,0584 -3,6022 -3,2462 -2,9438 -2,6352 -2,2611 -1,7987 -1,2920 -0,8317 -0,5006 -0,3379 -0,3400 -0,4788 -0,7288 -1,0806 -1,5227 -2,0192 -2,5124 -2,9433 -3,2723 -3,4975 -3,6577 -3,8062 -3,9712 -4,1434 -4,3018 -4,4445 -4,5898 -4,7544 -4,9400 -5,1377 -5,3379 -5,5324 -5,7094 -5,8550 -5,9621 -6,0193 -5,9915 -5,8262 -5,4752 -4,9130 -4,1620 -3,3021 -2,4325 -1,6184 -0,8758 -0,1932 0,4402 1,0077 1,4602 1,7501 1,8778 1,8992 1,8953 1,9428 2,0940 2,3537 2,6702 2,9703 3,2091 3,3872 3,5252 3,6199 3,6277 3,5087 3,2835 3,0393 2,8825 2,8842 3,0483 3,3141 3,5860 3,7749 3,8289 3,7368 3,5122 3,1773 2,7546 2,2650 1,7257 1,1401 0,4953 -0,2172 -0,9747 -1,7243 -2,4123 -3,0094 -3,5090 -3,9176 -4,2533 -4,5355 -4,7626 -4,9042 -4,9186 -4,7757 -4,4684 -4,0191 -3,4819 -2,9245 -2,3952 -1,9017 -1,4191 -0,9144 -0,3731 0,1962 0,7739 1,3364 1,8446 2,2355 2,4438 2,4385 2,2309 1,8479 1,3143 0,6599 -0,0687 -0,8044 -1,4690 -2,0000 -2,3816 -2,6491 -2,8604 -3,0649 -3,2903 -3,5406 -3,7948 -4,0217 -4,2009 -4,3232 -4,3779 -4,3534 -4,2481 -4,0728 -3,8354 -3,5233 -3,1041
F7    -4,9579 -4,9200 -4,5693 -4,0094 -3,3501 -2,7125 -2,2079 -1,8901 -1,7236 -1,6017 -1,4127 -1,1071 -0,7037 -0,2401 0,2695 0,8278 1,4191 1,9902 2,4759 2,8332 3,0467 3,1272 3,1132 3,0624 3,0384 3,0950 3,2544 3,4918 3,7340 3,8689 3,7866 3,4502 2,9321 2,3758 1,9191 1,6330 1,5014 1,4316 1,2922 0,9698 0,4169 -0,3343 -1,1960 -2,0814 -2,9416 -3,7282 -4,3498 -4,7156 -4,8250 -4,7786 -4,6996 -4,6644 -4,6930 -4,7831 -4,9343 -5,1308 -5,3159 -5,4101 -5,3577 -5,1464 -4,7899 -4,3198 -3,7902 -3,2569 -2,7508 -2,2936 -1,9299 -1,7224 -1,7084 -1,8636 -2,1089 -2,3382 -2,4473 -2,3766 -2,1405 -1,8058 -1,4522 -1,1528 -0,9603 -0,8837 -0,8900 -0,9398 -1,0115 -1,1056 -1,2440 -1,4588 -1,7687 -2,1608 -2,5868 -2,9805 -3,2947 -3,5267 -3,7078 -3,8727 -4,0422 -4,2253 -4,4163 -4,5903 -4,7251 -4,8277 -4,9247 -5,0299 -5,1259 -5,1810 -5,1860 -5,1737 -5,1953 -5,2845 -5,4436 -5,6429 -5,8212 -5,9082 -5,8715 -5,7435 -5,5887 -5,4376 -5,2569 -4,9919 -4,6341 -4,2375 -3,8636 -3,5258 -3,2082 -2,9156 -2,6745 -2,5079 -2,4319 -2,4496 -2,5289 -2,5996 -2,5765 -2,3894 -2,0180 -1,5090 -0,9457 -0,3963 0,1153 0,6073 1,1244 1,7078 2,3602 3,0272 3,6192 4,0734 4,4051 4,6878 4,9834 5,3034 5,6299 5,9562 6,3008 6,6831 7,0904 7,4795 7,8018 8,0132 8,0698 7,9292 7,5659 6,9924 6,2755 5,5383 4,9300 4,5518 4,3931 4,3613 4,3702 4,3774 4,3597 4,3023 4,2091 4,0990 3,9848 3,8598 3,7112 3,5328 3,3155 3,0428 2,7097 2,3435 2,0044 1,7492 1,5837 1,4616 1,3265 1,1401 0,8867 0,5746 0,2376 -0,0674 -0,2724 -0,3243 -0,2173 0,0059 0,3004 0,6532 1,0515 1,4379 1,7232 1,8375 1,7644 1,5393 1,2276 0,8992 0,6221 0,4556 0,4126 0,4276 0,3957 0,2508 -0,0061 -0,3384 -0,7012 -1,0498 -1,3559 -1,6192 -1,8411 -1,9977 -2,0506 -1,9773 -1,7963 -1,5595 -1,3062 -1,0243 -0,6661 -0,2097 0,2925 0,7241 0,9644 0,9547 0,7351 0,4202 0,1195 -0,1302 -0,3638 -0,6251 -0,9118 -1,1699 -1,3318 -1,3627 -1,2776 -1,1245 -0,9603 -0,8282 -0,7425 -0,7016 -0,7237 -0,8543 -1,1295 -1,5401 -2,0264 -2,4973 -2,8565 -3,0218 -2,9443 -2,6380 -2,1819 -1,6795 -1,2133 -0,8232 -0,5039 -0,2186 0,0714 0,3696 0,6480 0,8947 1,1332 1,3748 1,5779 1,6818 1,6825 1,6536 1,6768 1,7516 1,7894 1,7013 1,4912 1,2642 1,1515 1,2167 1,4216 1,6653 1,8425 1,8746 1,7207 1,3951 0,9752 0,5654 0,2420 0,0321 -0,0802 -0,1419 -0,1904 -0,2001 -0,0845 0,2405 0,7878 1,4763 2,1646 2,7166 3,0550 3,1743 3,1193 2,9530 2,7298 2,4806 2,2097 1,9003 1,5347 1,1177 0,6758 0,2289 -0,2271 -0,7021 -1,1740 -1,5675 -1,7806 -1,7455 -1,4701 -1,0240 -0,4818 0,1231 0,7840 1,4747 2,1368 2,6987 3,0855 3,2199 3,0536 2,6257 2,0765 1,5732 1,2173 1,0116 0,8953 0,8132 0,7541 0,7309 0,7515 0,8154 0,9075 0,9892 1,0103 0,9405 0,7890 0,5975 0,4153 0,2813 0,2269 0,2817 0,4673 0,7848 1,1941 1,6048 1,9053 2,0161 1,9196 1,6629 1,3378 1,0320 0,7863 0,6041 0,4812 0,4091 0,3634 0,3069 0,2003 0,0155 -0,2383 -0,4974 -0,6721 -0,7080 -0,6219 -0,4813 -0,3619 -0,3310 -0,4377 -0,6853 -1,0221 -1,3735 -1,6773 -1,8840 -1,9452 -1,8210 -1,5010 -1,0206 -0,4732 0,0046 0,2953 0,3535 0,2010 -0,1117 -0,5267 -0,9741 -1,3787 -1,6946 -1,9155 -2,0440 -2,0709 -1,9999 -1,8767 -1,7655 -1,6922 -1,6319 -1,5536 -1,4607 -1,3790 -1,3129 -1,2318 -1,0979 -0,9039 -0,6901 -0,5300 -0,4908 -0,6092 -0,8949 -1,3335 -1,8805 -2,4682 -3,0323 -3,5422 -4,0154 -4,4933 -4,9763 -5,3952 -5,6715 -5,8053 -5,8799 -5,9893 -6,1791 -6,4450 -6,7509 -7,0401 -7,2468 -7,3144 -7,2103 -6,9374 -6,5275 -6,0073 -5,3873 -4,7013 -4,0244 -3,4472 -3,0481 -2,8745 -2,9241 -3,1393 -3,4238 -3,6705 -3,7839 -3,7071 -3,4413 -3,0415 -2,6068 -2,2593 -2,0834 -2,0634 -2,0969 -2,0748 -1,9374 -1,6787 -1,3464 -1,0413 -0,8775 -0,9169 -1,1342 -1,4357 -1,7052 -1,8366 -1,7560 -1,4605 -1,0465 -0,6670 -0,4400 -0,3957 -0,4878 -0,6369 -0,7817 -0,9082 -1,0361 -1,1888 -1,3742 -1,5813 -1,7963 -2,0300 -2,3285 -2,7410 -3,2706 -3,8625 -4,4465 -4,9783 -5,4455 -5,8483 -6,1790 -6,4101 -6,5042 -6,4355 -6,1980 -5,8175 -5,3658 -4,9244 -4,5183 -4,1077 -3,6209 -2,9875 -2,1865 -1,2841 -0,4021 0,3583 0,9619 1,4311 1,8017 2,0731 2,1961 2,1212 1,8679 1,5433 1,2977 1,2659 1,5208 2,0342 2,6786 3,3005 3,8056 4,1836 4,4650 4,6469 4,6656 4,4649 4,0764 3,6158 3,2170 2,9735 2,9143 3,0081 3,1934 3,4184 3,6601 3,9057 4,1277 4,2875 4,3495 4,2939 4,1217 3,8410 3,4504 2,9452 2,3448 1,7002 1,0665 0,4743 -0,0657 -0,5456 -0,9541 -1,2737 -1,4773 -1,5348 -1,4240 -1,1374 -0,6911 -0,1469 0,3783 0,7519 0,8872 0,7748 0,4743 0,0798 -0,3239 -0,6771 -0,9306 -1,0473 -1,0369 -0,9749 -0,9609 -1,0493 -1,2320 -1,4806 -1,7758 -2,1006 -2,4305 -2,7276 -2,9373 -3,0117 -2,9513 -2,8123 -2,6693 -2,5806 -2,5790 -2,6676 -2,8088 -2,9428 -3,0313 -3,0653 -3,0345 -2,9158 -2,6898 -2,3506 -1,8941 -1,3119 -0,6038
