Fp1   -1,3082 -1,2278 -1,2161 -1,2246 -1,1955 -1,1050 -0,9782 -0,8742 -0,8494 -0,9188 -1,0454 -1,1619 -1,2008 -1,1201 -0,9143 -0,6101 -0,2551 0,0985 0,4126 0,6685 0,8615 0,9959 1,0742 1,0877 1,0231 0,8846 0,7052 0,5345 0,4142 0,3583 0,3581 0,4021 0,4747 0,5377 0,5408 0,4643 0,3385 0,2151 0,1320 0,1076 0,1501 0,2520 0,3808 0,4911 0,5547 0,5756 0,5742 0,5602 0,5251 0,4516 0,3180 0,0946 -0,2473 -0,7115 -1,2483 -1,7484 -2,0883 -2,1945 -2,0661 -1,7587 -1,3703 -1,0251 -0,8320 -0,8369 -1,0133 -1,2936 -1,6065 -1,8944 -2,1159 -2,2492 -2,3060 -2,3298 -2,3578 -2,3866 -2,3814 -2,3078 -2,1541 -1,9349 -1,6793 -1,4183 -1,1754 -0,9643 -0,7957 -0,6814 -0,6273 -0,6266 -0,6607 -0,7082 -0,7556 -0,7970 -0,8227 -0,8209 -0,7938 -0,7568 -0,7243 -0,6975 -0,6513 -0,5357 -0,3080 0,0365 0,4623 0,9090 1,3026 1,5682 1,6458 1,5008 1,1231 0,5313 -0,2139 -1,0136 -1,7630 -2,3795 -2,8065 -3,0140 -3,0120 -2,8527 -2,5983 -2,2805 -1,8986 -1,4556 -0,9907 -0,5715 -0,2550 -0,0533 0,0617 0,1329 0,2031 0,3067 0,4558 0,6491 0,9018 1,2503 1,7249 2,3288 3,0363 3,7942 4,5272 5,1656 5,6811 6,0969 6,4667 6,8421 7,2519 7,6979 8,1569 8,5929 8,9816 9,3203 9,6095 9,8319 9,9582 9,9768 9,9104 9,8021 9,6906 9,5997 9,5388 9,5100 9,5149 9,5493 9,5966 9,6351 9,6528 9,6534 9,6508 9,6560 9,6723 9,7060 9,7710 9,8682 9,9777 10,0796 10,1700 10,2548 10,3469 10,4639 10,6148 10,7845 10,9317 11,0094 10,9916 10,8824 10,7059 10,4879 10,2371 9,9382 9,5604 9,0783 8,4964 7,8573 7,2247 6,6487 6,1420 5,6829 5,2334 4,7581 4,2427 3,7103 3,2228 2,8493 2,6261 2,5509 2,5994 2,7326 2,9003 3,0524 3,1481 3,1545 3,0489 2,8343 2,5492 2,2539 1,9917 1,7578 1,5074 1,1901 0,7801 0,2835 -0,2703 -0,8393 -1,3765 -1,8384 -2,1976 -2,4517 -2,6263 -2,7676 -2,9251 -3,1304 -3,3916 -3,6998 -4,0249 -4,3057 -4,4636 -4,4414 -4,2314 -3,8751 -3,4364 -2,9747 -2,5384 -2,1650 -1,8669 -1,6214 -1,3871 -1,1322 -0,8431 -0,5096 -0,1220 0,3071 0,7355 1,1137 1,4077 1,5981 1,6674 1,6022 1,4181 1,1666 0,9007 0,6474 0,4171 0,2133 0,0245 -0,1672 -0,3695 -0,5844 -0,8153 -1,0614 -1,3152 -1,5643 -1,7963 -1,9985 -2,1453 -2,1915 -2,1001 -1,8774 -1,5723 -1,2466 -0,9485 -0,7070 -0,5390 -0,4554 -0,4597 -0,5433 -0,6824 -0,8426 -0,9884 -1,0941 -1,1529 -1,1764 -1,1859 -1,2041 -1,2463 -1,3155 -1,4020 -1,4888 -1,5615 -1,6159 -1,6642 -1,7347 -1,8545 -2,0261 -2,2256 -2,4077 -2,5110 -2,4857 -2,3365 -2,1348 -1,9750 -1,9055 -1,8958 -1,8661 -1,7485 -1,5303 -1,2504 -0,9610 -0,6999 -0,4884 -0,3352 -0,2380 -0,1847 -0,1595 -0,1498 -0,1537 -0,1837 -0,2521 -0,3525 -0,4624 -0,5716 -0,7031 -0,8985 -1,1747 -1,5012 -1,8214 -2,0841 -2,2582 -2,3415 -2,3612 -2,3570 -2,3662 -2,4179 -2,5141 -2,6188 -2,6831 -2,6757 -2,5850 -2,4040 -2,1278 -1,7712 -1,3796 -1,0140 -0,7253 -0,5350 -0,4261 -0,3532 -0,2691 -0,1436 0,0189 0,1661 0,2161 0,1073 -0,1642 -0,5521 -0,9974 -1,4605 -1,9235 -2,3708 -2,7749 -3,0995 -3,3204 -3,4438 -3,4994 -3,5146 -3,4945 -3,4201 -3,2685 -3,0424 -2,7788 -2,5280 -2,3189 -2,1442 -1,9786 -1,8002 -1,5894 -1,3216 -0,9838 -0,5964 -0,2151 0,0909 0,2653 0,2847 0,1661 -0,0381 -0,2565 -0,4242 -0,5077 -0,5135 -0,4759 -0,4308 -0,3930 -0,3471 -0,2625 -0,1176 0,0935 0,3692 0,6997 1,0632 1,4309 1,7788 2,0897 2,3475 2,5346 2,6350 2,6337 2,5260 2,3402 2,1509 2,0546 2,1176 2,3423 2,6766 3,0455 3,3745 3,6076 3,7253 3,7468 3,7197 3,6982 3,7145 3,7712 3,8653 4,0090 4,2354 4,5802 5,0473 5,5946 6,1529 6,6385 6,9591 7,0546 6,9397 6,6847 6,3647 6,0427 5,7802 5,6284 5,6060 5,6899 5,8299 5,9724 6,0724 6,0968 6,0289 5,8722 5,6493 5,3989 5,1698 5,0070 4,9336 4,9428 5,0109 5,1174 5,2501 5,3944 5,5333 5,6576 5,7598 5,8134 5,7765 5,6317 5,4127 5,1850 5,0091 4,9237 4,9519 5,1102 5,4008 5,7938 6,2177 6,5811 6,8206 6,9335 6,9603 6,9343 6,8527 6,6912 6,4385 6,1090 5,7290 5,3275 4,9401 4,6044 4,3493 4,1929 4,1393 4,1647 4,2118 4,2100 4,1056 3,8754 3,5256 3,0847 2,5858 2,0548 1,5351 1,1135 0,8882 0,9108 1,1634 1,5799 2,0871 2,6316 3,1837 3,7409 4,3239 4,9470 5,5925 6,2273 6,8320 7,4006 7,9230 8,3787 8,7448 9,0050 9,1488 9,1692 9,0654 8,8495 8,5545 8,2357 7,9466 7,7035 7,4877 7,2871 7,1214 7,0144 6,9543 6,8900 6,7603 6,5281 6,2022 5,8338 5,4880 5,2131 5,0218 4,8899 4,7781 4,6656 4,5638 4,5015 4,5005 4,5587 4,6404 4,6816 4,6217 4,4380 4,1423 3,7600 3,3256 2,8807 2,4570 2,0656 1,7021 1,3498 0,9787 0,5568 0,0708 -0,4658 -1,0244 -1,5679 -2,0528 -2,4443 -2,7291 -2,9117 -3,0039 -3,0158 -2,9496 -2,8093 -2,6155 -2,3920 -2,1468 -1,8844 -1,6206 -1,3680 -1,1322 -0,9290 -0,7838 -0,7133 -0,7126 -0,7446 -0,7434 -0,6467 -0,4372 -0,1598 0,0935 0,2243 0,1663 -0,1023 -0,5647 -1,1632 -1,7932 -2,3272
Fz    -1,9737 -1,9021 -1,8575 -1,7901 -1,6506 -1,4256 -1,1452 -0,8694 -0,6498 -0,4943 -0,3743 -0,2549 -0,1140 0,0578 0,2634 0,5001 0,7514 0,9878 1,1814 1,3149 1,3788 1,3715 1,2978 1,1603 0,9590 0,7059 0,4339 0,1880 0,0039 -0,1088 -0,1581 -0,1501 -0,0946 -0,0230 0,0245 0,0352 0,0324 0,0452 0,0843 0,1460 0,2241 0,3019 0,3448 0,3211 0,2351 0,1327 0,0692 0,0742 0,1449 0,2645 0,4087 0,5385 0,6072 0,5879 0,5051 0,4360 0,4698 0,6570 0,9941 1,4308 1,8724 2,1960 2,2995 2,1480 1,7756 1,2514 0,6490 0,0361 -0,5266 -0,9946 -1,3611 -1,6595 -1,9250 -2,1599 -2,3391 -2,4347 -2,4312 -2,3280 -2,1406 -1,9026 -1,6558 -1,4318 -1,2442 -1,0937 -0,9715 -0,8597 -0,7403 -0,6093 -0,4820 -0,3785 -0,3018 -0,2430 -0,2043 -0,1980 -0,2230 -0,2529 -0,2376 -0,1179 0,1459 0,5501 1,0510 1,5843 2,0785 2,4641 2,6836 2,6984 2,4897 2,0672 1,4793 0,8069 0,1403 -0,4375 -0,8587 -1,0873 -1,1363 -1,0598 -0,9131 -0,7142 -0,4457 -0,0936 0,3164 0,7221 1,0666 1,3330 1,5364 1,6951 1,8210 1,9200 1,9899 2,0358 2,0972 2,2463 2,5478 3,0280 3,6727 4,4307 5,2191 5,9503 6,5714 7,0802 7,5057 7,8781 8,2171 8,5344 8,8365 9,1348 9,4579 9,8437 10,3074 10,8225 11,3331 11,7875 12,1610 12,4485 12,6522 12,7795 12,8432 12,8600 12,8489 12,8235 12,7867 12,7421 12,7034 12,6874 12,6992 12,7256 12,7421 12,7362 12,7173 12,6890 12,6334 12,5373 12,4176 12,3125 12,2620 12,2881 12,3776 12,4805 12,5320 12,4895 12,3542 12,1562 11,9226 11,6570 11,3418 10,9570 10,4972 9,9780 9,4324 8,9017 8,4211 8,0006 7,6203 7,2467 6,8496 6,4057 5,9010 5,3476 4,7950 4,3088 3,9332 3,6818 3,5476 3,5047 3,5124 3,5354 3,5555 3,5610 3,5355 3,4671 3,3630 3,2483 3,1425 3,0363 2,8947 2,6800 2,3726 1,9777 1,5163 1,0159 0,5094 0,0361 -0,3678 -0,6804 -0,9057 -1,0794 -1,2566 -1,4785 -1,7508 -2,0480 -2,3259 -2,5290 -2,6033 -2,5171 -2,2723 -1,9055 -1,4718 -1,0237 -0,6020 -0,2351 0,0711 0,3413 0,6116 0,9006 1,2065 1,5303 1,8780 2,2366 2,5639 2,8097 2,9440 2,9658 2,8831 2,6947 2,4062 2,0478 1,6552 1,2509 0,8537 0,4831 0,1434 -0,1734 -0,4726 -0,7618 -1,0557 -1,3635 -1,6789 -1,9828 -2,2512 -2,4582 -2,5675 -2,5299 -2,3109 -1,9244 -1,4286 -0,8937 -0,3814 0,0559 0,3731 0,5378 0,5375 0,3871 0,1288 -0,1785 -0,4753 -0,7147 -0,8711 -0,9411 -0,9358 -0,8794 -0,8098 -0,7683 -0,7811 -0,8514 -0,9664 -1,1109 -1,2816 -1,4942 -1,7681 -2,1058 -2,4820 -2,8353 -3,0697 -3,0948 -2,8857 -2,5086 -2,0848 -1,7153 -1,4306 -1,1989 -0,9726 -0,7288 -0,4724 -0,2108 0,0589 0,3395 0,6244 0,9035 1,1710 1,4255 1,6602 1,8511 1,9608 1,9657 1,8807 1,7455 1,5794 1,3557 1,0277 0,5843 0,0774 -0,4049 -0,7824 -1,0094 -1,0865 -1,0536 -0,9602 -0,8447 -0,7348 -0,6386 -0,5374 -0,4030 -0,2204 0,0112 0,2903 0,6134 0,9601 1,2863 1,5409 1,6811 1,6845 1,5643 1,3688 1,1582 0,9792 0,8431 0,7140 0,5241 0,2155 -0,2215 -0,7439 -1,2870 -1,8018 -2,2689 -2,6900 -3,0713 -3,4103 -3,6928 -3,8988 -4,0089 -4,0052 -3,8692 -3,5834 -3,1489 -2,6034 -2,0176 -1,4642 -0,9811 -0,5586 -0,1612 0,2435 0,6807 1,1751 1,7337 2,3241 2,8790 3,3243 3,6035 3,6908 3,5976 3,3704 3,0760 2,7752 2,5036 2,2704 2,0697 1,8928 1,7406 1,6285 1,5781 1,6027 1,7059 1,8865 2,1327 2,4140 2,6876 2,9175 3,0832 3,1713 3,1683 3,0606 2,8395 2,5149 2,1380 1,8074 1,6345 1,6873 1,9599 2,3880 2,8837 3,3586 3,7459 4,0216 4,2070 4,3488 4,4901 4,6446 4,8005 4,9525 5,1195 5,3382 5,6414 6,0283 6,4569 6,8677 7,1993 7,3895 7,4045 7,2771 7,0923 6,9349 6,8640 6,9144 7,0943 7,3806 7,7226 8,0581 8,3318 8,5030 8,5445 8,4434 8,2067 7,8597 7,4448 7,0224 6,6602 6,4123 6,3048 6,3366 6,4892 6,7303 7,0127 7,2846 7,5104 7,6713 7,7418 7,6873 7,4994 7,2217 6,9286 6,6860 6,5348 6,4972 6,5810 6,7746 7,0438 7,3340 7,5831 7,7506 7,8386 7,8738 7,8630 7,7744 7,5651 7,2240 6,7853 6,3065 5,8426 5,4362 5,1120 4,8792 4,7404 4,6926 4,7113 4,7462 4,7371 4,6339 4,4035 4,0384 3,5635 3,0209 2,4549 1,9260 1,5253 1,3446 1,4334 1,7859 2,3545 3,0726 3,8762 4,7195 5,5863 6,4864 7,4266 8,3883 9,3390 10,2515 11,1014 11,8567 12,4774 12,9282 13,1947 13,2856 13,2177 13,0023 12,6492 12,1856 11,6702 11,1712 10,7232 10,3200 9,9542 9,6435 9,4074 9,2314 9,0689 8,8737 8,6324 8,3730 8,1481 8,0063 7,9695 8,0199 8,1009 8,1488 8,1357 8,0815 8,0334 8,0348 8,0973 8,1798 8,1966 8,0674 7,7673 7,3261 6,7953 6,2327 5,6988 5,2392 4,8688 4,5736 4,3166 4,0425 3,6939 3,2425 2,7007 2,1025 1,4855 0,8905 0,3588 -0,0814 -0,4229 -0,6766 -0,8575 -0,9677 -1,0023 -0,9705 -0,8927 -0,7833 -0,6582 -0,5437 -0,4581 -0,4042 -0,3921 -0,4459 -0,5811 -0,7818 -0,9905 -1,1240 -1,1168 -0,9613 -0,7166 -0,4839 -0,3643 -0,4223 -0,6774 -1,1133 -1,6773 -2,2724 -2,7778
F3    -2,1281 -1,7806 -1,5435 -1,3579 -1,1571 -0,9157 -0,6643 -0,4717 -0,3973 -0,4500 -0,5896 -0,7541 -0,8814 -0,9253 -0,8652 -0,7074 -0,4825 -0,2324 0,0114 0,2320 0,4157 0,5501 0,6273 0,6391 0,5808 0,4656 0,3280 0,2103 0,1439 0,1388 0,1901 0,2906 0,4207 0,5332 0,5789 0,5553 0,5158 0,5234 0,6055 0,7508 0,9271 1,0866 1,1681 1,1210 0,9443 0,6949 0,4513 0,2696 0,1723 0,1614 0,2197 0,3022 0,3468 0,3048 0,1757 0,0179 -0,0859 -0,0809 0,0432 0,2630 0,5215 0,7297 0,8017 0,6956 0,4190 0,0052 -0,5036 -1,0536 -1,5770 -2,0056 -2,3053 -2,4929 -2,6058 -2,6599 -2,6464 -2,5526 -2,3740 -2,1161 -1,7991 -1,4629 -1,1570 -0,9197 -0,7715 -0,7184 -0,7505 -0,8405 -0,9530 -1,0585 -1,1410 -1,1926 -1,2034 -1,1700 -1,1139 -1,0717 -1,0653 -1,0864 -1,0928 -1,0196 -0,8157 -0,4748 -0,0327 0,4510 0,9003 1,2338 1,3868 1,3284 1,0637 0,6313 0,1014 -0,4403 -0,9179 -1,2782 -1,4848 -1,5185 -1,3937 -1,1645 -0,8971 -0,6314 -0,3714 -0,1118 0,1288 0,3059 0,3839 0,3684 0,3023 0,2382 0,2211 0,2790 0,4156 0,6237 0,9170 1,3326 1,9004 2,6176 3,4462 4,3111 5,1092 5,7456 6,1806 6,4461 6,6187 6,7754 6,9634 7,1949 7,4571 7,7359 8,0436 8,4155 8,8709 9,3812 9,8795 10,3032 10,6296 10,8730 11,0625 11,2266 11,3841 11,5415 11,6946 11,8243 11,9026 11,9123 11,8623 11,7798 11,6907 11,6003 11,4961 11,3772 11,2660 11,1769 11,0934 10,9933 10,8778 10,7717 10,7145 10,7448 10,8735 11,0613 11,2321 11,3170 11,2897 11,1606 10,9502 10,6670 10,3027 9,8477 9,3121 8,7324 8,1615 7,6533 7,2450 6,9382 6,6940 6,4502 6,1478 5,7474 5,2379 4,6437 4,0246 3,4490 2,9625 2,5899 2,3473 2,2348 2,2278 2,2885 2,3770 2,4481 2,4548 2,3690 2,2008 1,9929 1,7900 1,6050 1,4118 1,1664 0,8346 0,4054 -0,1102 -0,6793 -1,2486 -1,7603 -2,1727 -2,4685 -2,6572 -2,7812 -2,9040 -3,0789 -3,3231 -3,6185 -3,9172 -4,1427 -4,2083 -4,0524 -3,6695 -3,1219 -2,5194 -1,9749 -1,5710 -1,3461 -1,2872 -1,3282 -1,3755 -1,3541 -1,2331 -1,0136 -0,7155 -0,3827 -0,0802 0,1333 0,2321 0,2246 0,1296 -0,0390 -0,2564 -0,4757 -0,6576 -0,7960 -0,9022 -0,9883 -1,0740 -1,1783 -1,3020 -1,4389 -1,5968 -1,7944 -2,0449 -2,3425 -2,6642 -2,9755 -3,2238 -3,3376 -3,2615 -2,9942 -2,5884 -2,1197 -1,6586 -1,2610 -0,9698 -0,8155 -0,8068 -0,9160 -1,0756 -1,1997 -1,2172 -1,0982 -0,8646 -0,5764 -0,3037 -0,1052 -0,0218 -0,0732 -0,2491 -0,5099 -0,7994 -1,0645 -1,2769 -1,4464 -1,6062 -1,7815 -1,9681 -2,1252 -2,1835 -2,0807 -1,8078 -1,4281 -1,0441 -0,7321 -0,4998 -0,3062 -0,1197 0,0453 0,1476 0,1647 0,1136 0,0384 -0,0123 -0,0048 0,0735 0,2164 0,4030 0,5962 0,7459 0,8138 0,8024 0,7419 0,6436 0,4734 0,1827 -0,2341 -0,7141 -1,1556 -1,4633 -1,5766 -1,4867 -1,2377 -0,9047 -0,5682 -0,2977 -0,1297 -0,0515 -0,0179 0,0144 0,0722 0,1750 0,3384 0,5600 0,8114 1,0506 1,2403 1,3627 1,4302 1,4775 1,5380 1,6245 1,7160 1,7499 1,6419 1,3344 0,8356 0,2151 -0,4373 -1,0545 -1,6033 -2,0666 -2,4270 -2,6687 -2,7848 -2,7784 -2,6577 -2,4321 -2,1083 -1,6914 -1,1943 -0,6514 -0,1174 0,3519 0,7228 0,9897 1,1586 1,2394 1,2624 1,2876 1,3727 1,5312 1,7236 1,8833 1,9487 1,8865 1,6994 1,4270 1,1355 0,8946 0,7493 0,7044 0,7250 0,7541 0,7436 0,6842 0,6073 0,5645 0,6056 0,7644 1,0417 1,3999 1,7787 2,1238 2,4070 2,6292 2,8051 2,9394 3,0116 2,9929 2,8853 2,7435 2,6533 2,6847 2,8592 3,1478 3,4873 3,7969 4,0039 4,0753 4,0307 3,9308 3,8474 3,8305 3,8993 4,0614 4,3233 4,6910 5,1618 5,7086 6,2757 6,7964 7,2039 7,4340 7,4564 7,3093 7,0803 6,8566 6,7025 6,6623 6,7537 6,9549 7,2061 7,4311 7,5666 7,5808 7,4720 7,2567 6,9605 6,6096 6,2270 5,8415 5,4952 5,2365 5,1014 5,1006 5,2202 5,4266 5,6688 5,8907 6,0543 6,1408 6,1275 5,9853 5,7175 5,3847 5,0795 4,8811 4,8338 4,9530 5,2297 5,6262 6,0820 6,5281 6,9021 7,1677 7,3287 7,4147 7,4407 7,3874 7,2224 6,9411 6,5797 6,1893 5,8081 5,4576 5,1522 4,9090 4,7535 4,7070 4,7578 4,8476 4,8945 4,8294 4,6123 4,2379 3,7377 3,1621 2,5633 2,0132 1,6195 1,4888 1,6695 2,1294 2,7792 3,5179 4,2710 5,0055 5,7300 6,4778 7,2703 8,0932 8,9079 9,6791 10,3817 10,9873 11,4524 11,7284 11,7878 11,6384 11,3165 10,8718 10,3538 9,8137 9,3160 8,9253 8,6643 8,5070 8,4219 8,4049 8,4559 8,5462 8,6198 8,6265 8,5536 8,4312 8,3072 8,2128 8,1450 8,0715 7,9460 7,7339 7,4393 7,1095 6,8160 6,6244 6,5635 6,5985 6,6322 6,5502 6,2844 5,8337 5,2417 4,5756 3,9140 3,3267 2,8599 2,5272 2,3008 2,1117 1,8758 1,5409 1,1143 0,6476 0,2060 -0,1544 -0,4026 -0,5406 -0,5945 -0,6028 -0,6016 -0,6072 -0,6206 -0,6489 -0,6994 -0,7607 -0,8196 -0,8799 -0,9448 -1,0046 -1,0590 -1,1230 -1,2052 -1,2905 -1,3343 -1,2716 -1,0521 -0,6766 -0,2067 0,2527 0,5897 0,7225 0,6149 0,2710 -0,2652 -0,9003 -1,5033
F7    -0,4551 -0,3448 -0,3648 -0,4597 -0,5606 -0,6258 -0,6623 -0,7194 -0,8480 -1,0571 -1,3109 -1,5490 -1,7042 -1,7259 -1,6018 -1,3577 -1,0418 -0,7060 -0,3868 -0,1036 0,1285 0,2957 0,3886 0,4021 0,3438 0,2502 0,1789 0,1824 0,2834 0,4676 0,6969 0,9345 1,1448 1,2757 1,2758 1,1457 0,9529 0,7792 0,6644 0,6069 0,5964 0,6209 0,6516 0,6504 0,6026 0,5287 0,4600 0,4080 0,3624 0,3065 0,2097 0,0174 -0,3257 -0,8281 -1,4192 -1,9638 -2,3231 -2,4195 -2,2575 -1,9072 -1,4865 -1,1319 -0,9460 -0,9587 -1,1368 -1,4187 -1,7368 -2,0233 -2,2187 -2,2892 -2,2484 -2,1547 -2,0691 -2,0144 -1,9752 -1,9225 -1,8332 -1,7025 -1,5474 -1,3968 -1,2746 -1,1888 -1,1377 -1,1221 -1,1465 -1,2117 -1,3107 -1,4362 -1,5866 -1,7566 -1,9239 -2,0619 -2,1622 -2,2313 -2,2744 -2,2912 -2,2702 -2,1818 -1,9941 -1,6969 -1,3078 -0,8666 -0,4286 -0,0524 0,2071 0,3008 0,1952 -0,1032 -0,5350 -1,0128 -1,4588 -1,8159 -2,0398 -2,1018 -2,0095 -1,8133 -1,5768 -1,3365 -1,0977 -0,8688 -0,6918 -0,6320 -0,7284 -0,9587 -1,2528 -1,5350 -1,7493 -1,8694 -1,9027 -1,8705 -1,7703 -1,5681 -1,2290 -0,7411 -0,1141 0,6214 1,4053 2,1604 2,8357 3,4361 4,0049 4,5790 5,1636 5,7333 6,2445 6,6596 6,9759 7,2244 7,4330 7,5982 7,6915 7,6926 7,6203 7,5248 7,4532 7,4266 7,4399 7,4779 7,5254 7,5611 7,5583 7,5078 7,4344 7,3825 7,3905 7,4704 7,5997 7,7434 7,8811 8,0030 8,0968 8,1546 8,1828 8,1987 8,2307 8,3188 8,4967 8,7631 9,0750 9,3753 9,6251 9,8076 9,9112 9,9139 9,7821 9,4875 9,0270 8,4307 7,7552 7,0694 6,4374 5,8980 5,4507 5,0590 4,6667 4,2232 3,7131 3,1722 2,6719 2,2729 1,9950 1,8338 1,7870 1,8498 1,9975 2,1860 2,3627 2,4720 2,4690 2,3442 2,1285 1,8688 1,5979 1,3197 1,0170 0,6707 0,2769 -0,1525 -0,5953 -1,0197 -1,3873 -1,6689 -1,8592 -1,9772 -2,0610 -2,1618 -2,3218 -2,5484 -2,8150 -3,0848 -3,3192 -3,4729 -3,5059 -3,4030 -3,1820 -2,8893 -2,5822 -2,3056 -2,0850 -1,9297 -1,8290 -1,7467 -1,6337 -1,4565 -1,2130 -0,9206 -0,6034 -0,2967 -0,0439 0,1228 0,1986 0,2034 0,1592 0,0766 -0,0284 -0,1200 -0,1678 -0,1727 -0,1555 -0,1432 -0,1749 -0,2902 -0,5031 -0,8015 -1,1642 -1,5630 -1,9619 -2,3209 -2,6074 -2,8087 -2,9265 -2,9624 -2,9184 -2,8064 -2,6467 -2,4571 -2,2460 -2,0170 -1,7812 -1,5639 -1,3954 -1,2929 -1,2481 -1,2290 -1,1929 -1,1097 -0,9796 -0,8276 -0,6824 -0,5630 -0,4778 -0,4282 -0,4096 -0,4103 -0,4143 -0,4089 -0,4005 -0,4244 -0,5251 -0,7254 -1,0105 -1,3213 -1,5588 -1,6250 -1,4846 -1,1943 -0,8648 -0,5858 -0,3797 -0,2154 -0,0534 0,1118 0,2477 0,3203 0,3272 0,2948 0,2522 0,2118 0,1675 0,1073 0,0221 -0,0984 -0,2664 -0,4770 -0,6906 -0,8589 -0,9731 -1,0797 -1,2412 -1,4787 -1,7558 -2,0133 -2,2057 -2,3111 -2,3346 -2,3115 -2,2898 -2,3085 -2,3868 -2,5130 -2,6431 -2,7251 -2,7240 -2,6208 -2,3996 -2,0533 -1,6040 -1,1063 -0,6200 -0,1851 0,1831 0,4920 0,7632 1,0193 1,2728 1,5099 1,6756 1,6898 1,4971 1,1063 0,5864 0,0251 -0,5157 -1,0137 -1,4668 -1,8668 -2,1923 -2,4228 -2,5532 -2,5917 -2,5516 -2,4493 -2,3043 -2,1388 -1,9796 -1,8588 -1,8059 -1,8344 -1,9350 -2,0844 -2,2542 -2,4083 -2,5010 -2,4955 -2,3887 -2,2173 -2,0423 -1,9205 -1,8773 -1,8962 -1,9281 -1,9171 -1,8254 -1,6464 -1,4005 -1,1222 -0,8498 -0,6161 -0,4313 -0,2798 -0,1346 0,0285 0,2243 0,4535 0,7060 0,9726 1,2526 1,5457 1,8413 2,1162 2,3369 2,4613 2,4596 2,3514 2,2172 2,1611 2,2554 2,5079 2,8637 3,2295 3,5042 3,6168 3,5596 3,3875 3,1899 3,0489 3,0000 3,0300 3,1144 3,2503 3,4600 3,7709 4,1830 4,6558 5,1266 5,5247 5,7730 5,8213 5,6873 5,4401 5,1441 4,8426 4,5782 4,3982 4,3358 4,3923 4,5362 4,7163 4,8748 4,9535 4,9073 4,7193 4,4054 4,0041 3,5684 3,1581 2,8277 2,6119 2,5226 2,5571 2,6936 2,8820 3,0611 3,1943 3,2719 3,2801 3,1955 3,0231 2,8163 2,6493 2,5754 2,6115 2,7556 3,0146 3,4030 3,9095 4,4729 5,0030 5,4361 5,7689 6,0355 6,2520 6,3900 6,4037 6,2773 6,0357 5,7143 5,3391 4,9333 4,5243 4,1458 3,8399 3,6458 3,5716 3,5779 3,5917 3,5407 3,3833 3,1219 2,7908 2,4179 2,0074 1,5796 1,2074 0,9898 0,9970 1,2385 1,6622 2,1847 2,7310 3,2579 3,7572 4,2395 4,7066 5,1420 5,5344 5,8976 6,2559 6,6147 6,9429 7,1858 7,2984 7,2690 7,1136 6,8612 6,5457 6,2060 5,8887 5,6360 5,4590 5,3370 5,2556 5,2300 5,2795 5,3888 5,5050 5,5649 5,5254 5,3827 5,1675 4,9215 4,6766 4,4446 4,2191 3,9903 3,7651 3,5719 3,4471 3,4157 3,4686 3,5489 3,5647 3,4373 3,1470 2,7300 2,2442 1,7495 1,3029 0,9474 0,7014 0,5539 0,4622 0,3598 0,1822 -0,0988 -0,4635 -0,8653 -1,2526 -1,5774 -1,8056 -1,9304 -1,9731 -1,9735 -1,9703 -1,9774 -1,9839 -1,9801 -1,9619 -1,9154 -1,8249 -1,6896 -1,5138 -1,3009 -1,0632 -0,8193 -0,5806 -0,3463 -0,0985 0,1957 0,5618 0,9916 1,4327 1,7935 1,9736 1,9052 1,5728 1,0105 0,2990 -0,4349 -1,0448
