Fp1   0,7845 0,7013 0,5550 0,4009 0,2714 0,1718 0,0923 0,0109 -0,1026 -0,2729 -0,5035 -0,7669 -1,0057 -1,1533 -1,1723 -1,0781 -0,9239 -0,7685 -0,6569 -0,6099 -0,6174 -0,6484 -0,6696 -0,6533 -0,5738 -0,4112 -0,1699 0,1160 0,3990 0,6411 0,8286 0,9706 1,0796 1,1572 1,1985 1,2020 1,1724 1,1153 1,0275 0,8905 0,6813 0,3983 0,0733 -0,2433 -0,4987 -0,6435 -0,6479 -0,5316 -0,3687 -0,2478 -0,2226 -0,2917 -0,4188 -0,5670 -0,7108 -0,8269 -0,8893 -0,8738 -0,7653 -0,5629 -0,2804 0,0523 0,3841 0,6492 0,7881 0,7736 0,6226 0,3896 0,1500 -0,0229 -0,0898 -0,0656 -0,0051 0,0330 0,0135 -0,0689 -0,1938 -0,3229 -0,4113 -0,4238 -0,3487 -0,1922 0,0324 0,3018 0,5774 0,8160 0,9874 1,0782 1,0852 1,0069 0,8502 0,6320 0,3632 0,0462 -0,2980 -0,6142 -0,8306 -0,8919 -0,7880 -0,5642 -0,2989 -0,0594 0,1266 0,2643 0,3648 0,4290 0,4530 0,4388 0,3930 0,3220 0,2326 0,1328 0,0291 -0,0746 -0,1768 -0,2776 -0,3742 -0,4567 -0,5088 -0,5105 -0,4429 -0,2998 -0,1039 0,0877 0,2086 0,2214 0,1353 -0,0080 -0,1589 -0,2849 -0,3859 -0,4854 -0,6033 -0,7395 -0,8715 -0,9566 -0,9445 -0,8043 -0,5424 -0,1968 0,1835 0,5561 0,8939 1,1836 1,4190 1,5973 1,7193 1,7897 1,8201 1,8317 1,8503 1,8975 1,9813 2,0909 2,1917 2,2325 2,1775 2,0355 1,8540 1,6926 1,5968 1,5788 1,6124 1,6540 1,6750 1,6760 1,6742 1,6858 1,7204 1,7770 1,8381 1,8770 1,8717 1,8139 1,7053 1,5562 1,3821 1,1913 0,9780 0,7352 0,4753 0,2355 0,0600 -0,0277 -0,0400 -0,0115 0,0262 0,0508 0,0410 -0,0186 -0,1236 -0,2488 -0,3581 -0,4173 -0,4061 -0,3189 -0,1599 0,0538 0,2838 0,4764 0,5830 0,5706 0,4232 0,1486 -0,2163 -0,6192 -1,0129 -1,3673 -1,6722 -1,9322 -2,1551 -2,3363 -2,4522 -2,4743 -2,3906 -2,2157 -1,9890 -1,7687 -1,6126 -1,5467 -1,5430 -1,5351 -1,4641 -1,3159 -1,1242 -0,9473 -0,8356 -0,8154 -0,8960 -1,0761 -1,3356 -1,6271 -1,8817 -2,0318 -2,0413 -1,9226 -1,7352 -1,5672 -1,4968 -1,5537 -1,7087 -1,8918 -2,0273 -2,0669 -2,0058 -1,8770 -1,7343 -1,6312 -1,6056 -1,6720 -1,8192 -2,0171 -2,2320 -2,4346 -2,5951 -2,6799 -2,6645 -2,5488 -2,3592 -2,1379 -1,9263 -1,7555 -1,6504 -1,6337 -1,7099 -1,8493 -1,9951 -2,0943 -2,1323 -2,1447 -2,1852 -2,2741 -2,3721 -2,4009 -2,2948 -2,0420 -1,6877 -1,3055 -0,9641 -0,7096 -0,5584 -0,4953 -0,4847 -0,4900 -0,4829 -0,4412 -0,3480 -0,1961 0,0090 0,2583 0,5484 0,8737 1,2098 1,5114 1,7308 1,8325 1,8004 1,6467 1,4168 1,1852 1,0337 1,0187 1,1487 1,3886 1,6882 2,0074 2,3172 2,5866 2,7808 2,8782 2,8848 2,8282 2,7404 2,6522 2,6020 2,6307 2,7556 2,9485 3,1502 3,3108 3,4151 3,4731 3,5018 3,5134 3,5011 3,4324 3,2806 3,0628 2,8373 2,6675 2,5896 2,6088 2,7171 2,9062 3,1588 3,4310 3,6598 3,7928 3,8102 3,7265 3,5758 3,3926 3,2006 3,0161 2,8562 2,7416 2,6895 2,6968 2,7300 2,7367 2,6715 2,5204 2,3081 2,0880 1,9128 1,8001 1,7204 1,6192 1,4503 1,2051 0,9219 0,6690 0,5178 0,5136 0,6500 0,8696 1,0944 1,2587 1,3292 1,3096 1,2269 1,1130 0,9960 0,8966 0,8241 0,7760 0,7390 0,6918 0,6197 0,5303 0,4499 0,4065 0,4149 0,4701 0,5511 0,6338 0,7025 0,7544 0,7964 0,8446 0,9256 1,0602 1,2389 1,4176 1,5438 1,5869 1,5463 1,4461 1,3302 1,2494 1,2355 1,2857 1,3796 1,5106 1,6910 1,9322 2,2253 2,5416 2,8444 3,1061 3,3222 3,5052 3,6518 3,7269 3,6893 3,5227 3,2421 2,8855 2,4988 2,1214 1,7818 1,5076 1,3383 1,3198 1,4753 1,7762 2,1478 2,5104 2,8143 3,0432 3,1978 3,2808 3,2931 3,2406 3,1337 2,9767 2,7668 2,5043 2,2007 1,8800 1,5775 1,3414 1,2279 1,2840 1,5224 1,9045 2,3445 2,7377 2,9972 3,0791 2,9903 2,7851 2,5501 2,3808 2,3520 2,4863 2,7429 3,0420 3,3010 3,4640 3,5188 3,4953 3,4436 3,4049 3,3934 3,3934 3,3749 3,3146 3,2068 3,0587 2,8769 2,6661 2,4463 2,2614 2,1597 2,1621 2,2531 2,3937 2,5325 2,6139 2,5917 2,4405 2,1601 1,7811 1,3618 0,9647 0,6342 0,3903 0,2342 0,1577 0,1527 0,2141 0,3425 0,5436 0,8173 1,1462 1,4976 1,8336 2,1203 2,3340 2,4700 2,5485 2,6039 2,6676 2,7561 2,8701 3,0028 3,1491 3,3006 3,4387 3,5444 3,6196 3,6897 3,7781 3,8793 3,9513 3,9358 3,7924 3,5236 3,1723 2,7968 2,4372 2,1075 1,8169 1,5887 1,4444 1,3758 1,3405 1,2935 1,2227 1,1590 1,1555 1,2569 1,4809 1,8096 2,1926 2,5661 2,8788 3,1007 3,2190 3,2361 3,1722 3,0625 2,9442 2,8401 2,7536 2,6764 2,5988 2,5204 2,4588 2,4441 2,4994 2,6240 2,7939 2,9785 3,1568 3,3160 3,4396 3,5108 3,5206 3,4671 3,3482 3,1588 2,9030 2,6126 2,3452 2,1591 2,0877 2,1246 2,2270 2,3313 2,3773 2,3331 2,2055 2,0230 1,8171 1,6160 1,4437 1,3081 1,1940 1,0753 0,9406 0,8101 0,7232 0,7075 0,7664 0,8904 1,0682 1,2863 1,5267 1,7714 2,0060 2,2205 2,4059 2,5550 2,6703 2,7707 2,8855 3,0309 3,1852
Fz    0,7995 0,6001 0,3771 0,1859 0,0632 0,0171 0,0289 0,0629 0,0769 0,0358 -0,0720 -0,2232 -0,3690 -0,4600 -0,4710 -0,4089 -0,3051 -0,1988 -0,1241 -0,0993 -0,1244 -0,1880 -0,2780 -0,3824 -0,4841 -0,5649 -0,6137 -0,6288 -0,6117 -0,5626 -0,4784 -0,3561 -0,1996 -0,0247 0,1465 0,2952 0,4094 0,4826 0,5113 0,4943 0,4382 0,3629 0,2971 0,2630 0,2660 0,3012 0,3595 0,4233 0,4657 0,4652 0,4217 0,3560 0,2967 0,2641 0,2627 0,2836 0,3136 0,3454 0,3844 0,4456 0,5445 0,6885 0,8751 1,0933 1,3245 1,5440 1,7238 1,8387 1,8745 1,8337 1,7358 1,6116 1,5018 1,4520 1,4980 1,6484 1,8820 2,1580 2,4317 2,6671 2,8446 2,9635 3,0384 3,0885 3,1255 3,1503 3,1541 3,1221 3,0379 2,8929 2,6976 2,4796 2,2699 2,0945 1,9786 1,9455 2,0063 2,1506 2,3449 2,5401 2,6943 2,7950 2,8620 2,9286 3,0177 3,1276 3,2344 3,3081 3,3293 3,2968 3,2249 3,1369 3,0556 2,9944 2,9520 2,9120 2,8506 2,7510 2,6132 2,4533 2,2968 2,1676 2,0788 2,0272 1,9965 1,9666 1,9206 1,8445 1,7260 1,5599 1,3557 1,1422 0,9599 0,8435 0,8084 0,8509 0,9507 1,0731 1,1818 1,2556 1,2973 1,3277 1,3725 1,4494 1,5606 1,6927 1,8219 1,9255 1,9941 2,0351 2,0672 2,1117 2,1860 2,2969 2,4346 2,5744 2,6945 2,7923 2,8831 2,9874 3,1223 3,2959 3,5066 3,7482 4,0171 4,3086 4,6084 4,8958 5,1530 5,3649 5,5161 5,5998 5,6270 5,6225 5,6111 5,6074 5,6137 5,6162 5,5893 5,5120 5,3889 5,2547 5,1582 5,1348 5,1844 5,2707 5,3440 5,3653 5,3153 5,1914 5,0042 4,7745 4,5312 4,3061 4,1227 3,9856 3,8794 3,7746 3,6375 3,4407 3,1721 2,8366 2,4547 2,0587 1,6844 1,3551 1,0692 0,8023 0,5214 0,2030 -0,1559 -0,5345 -0,8915 -1,1772 -1,3517 -1,4005 -1,3380 -1,2030 -1,0449 -0,9055 -0,8005 -0,7182 -0,6351 -0,5376 -0,4325 -0,3426 -0,2911 -0,2908 -0,3492 -0,4688 -0,6368 -0,8170 -0,9597 -1,0230 -0,9911 -0,8779 -0,7229 -0,5823 -0,5107 -0,5388 -0,6600 -0,8353 -1,0122 -1,1466 -1,2189 -1,2370 -1,2264 -1,2143 -1,2161 -1,2315 -1,2498 -1,2602 -1,2586 -1,2446 -1,2151 -1,1648 -1,0934 -1,0092 -0,9278 -0,8661 -0,8345 -0,8327 -0,8523 -0,8784 -0,8880 -0,8544 -0,7617 -0,6158 -0,4412 -0,2699 -0,1235 0,0003 0,1286 0,2990 0,5402 0,8548 1,2106 1,5519 1,8246 1,9980 2,0755 2,0929 2,1039 2,1571 2,2788 2,4681 2,7005 2,9362 3,1349 3,2704 3,3400 3,3623 3,3645 3,3702 3,3915 3,4251 3,4495 3,4329 3,3486 3,1901 2,9782 2,7552 2,5703 2,4622 2,4486 2,5237 2,6602 2,8139 2,9372 2,9979 2,9907 2,9337 2,8590 2,8049 2,8065 2,8826 3,0239 3,1970 3,3619 3,4936 3,5908 3,6678 3,7424 3,8282 3,9270 4,0229 4,0892 4,1058 4,0698 3,9946 3,9005 3,8087 3,7407 3,7187 3,7586 3,8584 3,9924 4,1228 4,2200 4,2749 4,2937 4,2854 4,2561 4,2132 4,1690 4,1346 4,1106 4,0829 4,0254 3,9114 3,7265 3,4777 3,1959 2,9277 2,7142 2,5699 2,4817 2,4245 2,3754 2,3216 2,2678 2,2347 2,2448 2,3059 2,4064 2,5234 2,6349 2,7228 2,7719 2,7742 2,7324 2,6593 2,5731 2,4897 2,4159 2,3522 2,2972 2,2454 2,1861 2,1117 2,0292 1,9646 1,9539 2,0248 2,1822 2,4057 2,6590 2,9007 3,0942 3,2172 3,2719 3,2813 3,2701 3,2480 3,2068 3,1271 2,9896 2,7871 2,5318 2,2534 1,9874 1,7615 1,5961 1,5154 1,5434 1,6812 1,8916 2,1097 2,2706 2,3348 2,3024 2,2078 2,0942 1,9909 1,9116 1,8612 1,8345 1,8181 1,8012 1,7851 1,7845 1,8215 1,9152 2,0713 2,2756 2,4960 2,6923 2,8348 2,9163 2,9495 2,9569 2,9599 2,9739 3,0071 3,0576 3,1103 3,1402 3,1244 3,0546 2,9420 2,8138 2,7054 2,6495 2,6655 2,7521 2,8866 3,0309 3,1453 3,2044 3,2032 3,1559 3,0900 3,0364 3,0200 3,0538 3,1356 3,2476 3,3592 3,4360 3,4553 3,4218 3,3740 3,3669 3,4407 3,6015 3,8245 4,0706 4,3002 4,4781 4,5758 4,5779 4,4911 4,3482 4,2006 4,0979 4,0673 4,1031 4,1735 4,2361 4,2526 4,1999 4,0714 3,8779 3,6498 3,4324 3,2639 3,1597 3,1117 3,0969 3,0898 3,0732 3,0434 3,0081 2,9803 2,9710 2,9824 3,0051 3,0202 3,0031 2,9317 2,7966 2,6088 2,3975 2,1971 2,0333 1,9153 1,8374 1,7870 1,7481 1,7023 1,6373 1,5597 1,4959 1,4752 1,5080 1,5733 1,6265 1,6196 1,5199 1,3197 1,0382 0,7124 0,3860 0,1030 -0,1001 -0,2092 -0,2437 -0,2464 -0,2597 -0,2993 -0,3443 -0,3493 -0,2695 -0,0778 0,2283 0,6230 1,0568 1,4713 1,8145 2,0528 2,1797 2,2171 2,2075 2,1987 2,2264 2,3026 2,4173 2,5474 2,6708 2,7790 2,8786 2,9800 3,0850 3,1852 3,2640 3,3011 3,2760 3,1735 2,9886 2,7279 2,4069 2,0503 1,6905 1,3617 1,0918 0,8958 0,7720 0,7027 0,6606 0,6196 0,5628 0,4848 0,3923 0,3008 0,2242 0,1637 0,1067 0,0353 -0,0657 -0,2036 -0,3718 -0,5493 -0,7082 -0,8275 -0,9035 -0,9498 -0,9840 -1,0127 -1,0299 -1,0215 -0,9716 -0,8648 -0,6893 -0,4409 -0,1284 0,2262 0,5917 0,9337 1,2178 1,4119
F3    1,1477 1,1453 1,1119 1,0749 1,0423 1,0038 0,9426 0,8436 0,6973 0,5071 0,2968 0,1075 -0,0200 -0,0629 -0,0270 0,0553 0,1414 0,1967 0,2044 0,1675 0,1055 0,0419 -0,0127 -0,0626 -0,1162 -0,1768 -0,2431 -0,3122 -0,3794 -0,4330 -0,4536 -0,4240 -0,3420 -0,2264 -0,1105 -0,0262 0,0091 -0,0043 -0,0571 -0,1392 -0,2425 -0,3564 -0,4694 -0,5763 -0,6812 -0,7887 -0,8952 -0,9920 -1,0739 -1,1378 -1,1772 -1,1840 -1,1566 -1,1061 -1,0554 -1,0301 -1,0467 -1,1024 -1,1715 -1,2161 -1,2038 -1,1235 -0,9854 -0,8086 -0,6111 -0,4147 -0,2492 -0,1448 -0,1169 -0,1577 -0,2396 -0,3271 -0,3852 -0,3867 -0,3184 -0,1849 -0,0047 0,1949 0,3835 0,5344 0,6322 0,6782 0,6904 0,6923 0,7005 0,7201 0,7499 0,7861 0,8200 0,8389 0,8370 0,8215 0,8020 0,7827 0,7692 0,7713 0,7954 0,8375 0,8858 0,9261 0,9535 0,9843 1,0537 1,1944 1,4135 1,6808 1,9382 2,1276 2,2188 2,2195 2,1671 2,1097 2,0823 2,0908 2,1112 2,1040 2,0356 1,8949 1,6975 1,4779 1,2773 1,1299 1,0521 1,0376 1,0632 1,0994 1,1185 1,0977 1,0198 0,8779 0,6821 0,4635 0,2653 0,1242 0,0549 0,0478 0,0752 0,1023 0,1052 0,0853 0,0681 0,0892 0,1768 0,3379 0,5516 0,7757 0,9638 1,0848 1,1367 1,1474 1,1623 1,2252 1,3599 1,5612 1,7978 2,0243 2,2033 2,3262 2,4155 2,5076 2,6339 2,8076 3,0178 3,2359 3,4315 3,5845 3,6887 3,7526 3,7939 3,8276 3,8569 3,8782 3,8911 3,8988 3,9039 3,9076 3,9076 3,8932 3,8475 3,7635 3,6567 3,5625 3,5205 3,5532 3,6488 3,7618 3,8352 3,8266 3,7183 3,5143 3,2353 2,9115 2,5770 2,2646 2,0004 1,7945 1,6358 1,4937 1,3303 1,1162 0,8413 0,5130 0,1497 -0,2222 -0,5724 -0,8786 -1,1388 -1,3689 -1,5916 -1,8259 -2,0781 -2,3343 -2,5607 -2,7168 -2,7720 -2,7173 -2,5710 -2,3761 -2,1857 -2,0426 -1,9621 -1,9297 -1,9162 -1,9007 -1,8844 -1,8910 -1,9492 -2,0738 -2,2588 -2,4813 -2,7041 -2,8811 -2,9726 -2,9611 -2,8554 -2,6828 -2,4800 -2,2869 -2,1376 -2,0496 -2,0172 -2,0118 -1,9920 -1,9248 -1,8029 -1,6469 -1,4931 -1,3760 -1,3132 -1,3002 -1,3182 -1,3493 -1,3867 -1,4334 -1,4908 -1,5535 -1,6135 -1,6646 -1,6986 -1,7062 -1,6817 -1,6281 -1,5593 -1,4921 -1,4327 -1,3710 -1,2897 -1,1777 -1,0369 -0,8802 -0,7181 -0,5470 -0,3492 -0,1056 0,1891 0,5165 0,8377 1,1108 1,3078 1,4214 1,4656 1,4744 1,4912 1,5534 1,6800 1,8682 2,0968 2,3319 2,5375 2,6934 2,8048 2,8937 2,9787 3,0644 3,1438 3,2031 3,2241 3,1895 3,0943 2,9570 2,8216 2,7414 2,7534 2,8660 3,0651 3,3216 3,5939 3,8321 3,9906 4,0453 4,0040 3,9013 3,7829 3,6945 3,6722 3,7312 3,8588 4,0211 4,1810 4,3169 4,4264 4,5160 4,5920 4,6577 4,7095 4,7309 4,7003 4,6105 4,4819 4,3519 4,2546 4,2095 4,2235 4,2966 4,4174 4,5550 4,6618 4,6933 4,6316 4,4963 4,3335 4,1884 4,0854 4,0313 4,0283 4,0792 4,1783 4,3008 4,4055 4,4547 4,4308 4,3375 4,1957 4,0352 3,8828 3,7527 3,6473 3,5610 3,4807 3,3935 3,3002 3,2174 3,1659 3,1556 3,1768 3,2050 3,2152 3,1928 3,1375 3,0638 2,9943 2,9478 2,9288 2,9241 2,9095 2,8675 2,7966 2,7056 2,6058 2,5121 2,4452 2,4284 2,4798 2,6047 2,7910 3,0078 3,2133 3,3694 3,4538 3,4673 3,4349 3,3955 3,3796 3,3895 3,3979 3,3628 3,2474 3,0382 2,7541 2,4404 2,1508 1,9280 1,7979 1,7764 1,8672 2,0489 2,2720 2,4729 2,5982 2,6250 2,5715 2,4852 2,4104 2,3583 2,3091 2,2371 2,1315 2,0009 1,8697 1,7695 1,7292 1,7667 1,8874 2,0814 2,3209 2,5588 2,7391 2,8253 2,8217 2,7683 2,7142 2,6943 2,7190 2,7793 2,8578 2,9342 2,9900 3,0128 2,9992 2,9558 2,9005 2,8617 2,8690 2,9358 3,0518 3,1888 3,3109 3,3830 3,3816 3,3075 3,1854 3,0516 2,9364 2,8555 2,8108 2,7955 2,7980 2,8036 2,7991 2,7822 2,7676 2,7836 2,8573 2,9972 3,1838 3,3793 3,5468 3,6648 3,7261 3,7293 3,6775 3,5836 3,4730 3,3762 3,3153 3,2940 3,2996 3,3141 3,3212 3,3057 3,2540 3,1564 3,0128 2,8398 2,6661 2,5162 2,3981 2,3056 2,2292 2,1668 2,1238 2,1052 2,1085 2,1241 2,1370 2,1296 2,0851 1,9933 1,8573 1,6934 1,5247 1,3741 1,2575 1,1802 1,1380 1,1182 1,1056 1,0915 1,0739 1,0512 1,0200 0,9835 0,9554 0,9509 0,9710 0,9972 0,9955 0,9316 0,7855 0,5618 0,2877 -0,0001 -0,2625 -0,4623 -0,5740 -0,6018 -0,5818 -0,5634 -0,5818 -0,6378 -0,6966 -0,7079 -0,6327 -0,4586 -0,2006 0,1060 0,4194 0,7032 0,9316 1,0879 1,1684 1,1870 1,1740 1,1658 1,1880 1,2425 1,3113 1,3753 1,4315 1,4961 1,5907 1,7236 1,8849 2,0506 2,1878 2,2620 2,2479 2,1348 1,9283 1,6491 1,3273 0,9980 0,6960 0,4474 0,2637 0,1414 0,0680 0,0280 0,0080 -0,0021 -0,0131 -0,0362 -0,0748 -0,1193 -0,1588 -0,1966 -0,2512 -0,3424 -0,4777 -0,6502 -0,8433 -1,0352 -1,1994 -1,3130 -1,3696 -1,3815 -1,3670 -1,3345 -1,2766 -1,1744 -1,0090 -0,7737 -0,4794 -0,1496 0,1881 0,5077 0,7893 1,0211 1,1974 1,3147
F7    1,0191 1,0729 1,1041 1,1229 1,1300 1,1200 1,0865 1,0224 0,9185 0,7682 0,5797 0,3832 0,2231 0,1378 0,1398 0,2074 0,2982 0,3711 0,4019 0,3867 0,3395 0,2782 0,2112 0,1393 0,0662 -0,0006 -0,0564 -0,1014 -0,1359 -0,1557 -0,1541 -0,1297 -0,0929 -0,0635 -0,0618 -0,0982 -0,1706 -0,2686 -0,3824 -0,5082 -0,6464 -0,7942 -0,9436 -1,0868 -1,2200 -1,3395 -1,4381 -1,5110 -1,5631 -1,6052 -1,6444 -1,6801 -1,7075 -1,7243 -1,7355 -1,7542 -1,7935 -1,8536 -1,9149 -1,9473 -1,9294 -1,8608 -1,7598 -1,6493 -1,5440 -1,4512 -1,3780 -1,3331 -1,3234 -1,3495 -1,4029 -1,4658 -1,5137 -1,5219 -1,4774 -1,3855 -1,2651 -1,1368 -1,0131 -0,8968 -0,7889 -0,6932 -0,6118 -0,5439 -0,4887 -0,4455 -0,4117 -0,3858 -0,3726 -0,3806 -0,4074 -0,4368 -0,4544 -0,4589 -0,4558 -0,4464 -0,4255 -0,3829 -0,3131 -0,2237 -0,1301 -0,0403 0,0526 0,1634 0,2992 0,4491 0,5865 0,6855 0,7362 0,7497 0,7497 0,7591 0,7895 0,8405 0,9019 0,9533 0,9717 0,9464 0,8872 0,8188 0,7668 0,7472 0,7629 0,8066 0,8636 0,9161 0,9482 0,9498 0,9139 0,8320 0,6988 0,5241 0,3377 0,1773 0,0722 0,0355 0,0626 0,1337 0,2228 0,3135 0,4066 0,5152 0,6499 0,8071 0,9682 1,1094 1,2135 1,2755 1,3052 1,3257 1,3657 1,4484 1,5811 1,7517 1,9360 2,1093 2,2575 2,3798 2,4846 2,5836 2,6873 2,8002 2,9164 3,0210 3,1024 3,1586 3,1941 3,2169 3,2383 3,2651 3,2926 3,3109 3,3131 3,2972 3,2638 3,2195 3,1750 3,1357 3,0935 3,0337 2,9497 2,8542 2,7737 2,7319 2,7328 2,7595 2,7864 2,7908 2,7530 2,6573 2,4999 2,2931 2,0633 1,8449 1,6689 1,5506 1,4830 1,4381 1,3788 1,2742 1,1110 0,8921 0,6271 0,3277 0,0086 -0,3140 -0,6301 -0,9395 -1,2482 -1,5605 -1,8712 -2,1619 -2,4046 -2,5711 -2,6453 -2,6287 -2,5409 -2,4144 -2,2863 -2,1875 -2,1310 -2,1072 -2,0973 -2,0923 -2,1025 -2,1515 -2,2591 -2,4251 -2,6296 -2,8417 -3,0299 -3,1692 -3,2458 -3,2591 -3,2185 -3,1391 -3,0391 -2,9371 -2,8472 -2,7740 -2,7121 -2,6503 -2,5768 -2,4844 -2,3743 -2,2555 -2,1421 -2,0475 -1,9788 -1,9360 -1,9155 -1,9158 -1,9396 -1,9887 -2,0564 -2,1268 -2,1832 -2,2144 -2,2163 -2,1901 -2,1402 -2,0743 -2,0049 -1,9462 -1,9007 -1,8545 -1,7847 -1,6728 -1,5138 -1,3179 -1,1018 -0,8764 -0,6413 -0,3890 -0,1134 0,1780 0,4608 0,7036 0,8848 1,0002 1,0627 1,0982 1,1374 1,2048 1,3114 1,4540 1,6195 1,7900 1,9488 2,0897 2,2204 2,3527 2,4900 2,6251 2,7447 2,8322 2,8696 2,8432 2,7516 2,6122 2,4639 2,3542 2,3195 2,3730 2,5069 2,6985 2,9158 3,1210 3,2785 3,3671 3,3852 3,3452 3,2669 3,1763 3,1027 3,0696 3,0863 3,1482 3,2434 3,3594 3,4850 3,6083 3,7146 3,7897 3,8221 3,8020 3,7281 3,6137 3,4835 3,3615 3,2620 3,1888 3,1408 3,1179 3,1203 3,1437 3,1744 3,1949 3,1964 3,1863 3,1802 3,1864 3,1991 3,2086 3,2152 3,2291 3,2588 3,2981 3,3243 3,3089 3,2322 3,0938 2,9144 2,7265 2,5583 2,4231 2,3224 2,2529 2,2089 2,1839 2,1768 2,1938 2,2404 2,3089 2,3760 2,4124 2,3995 2,3379 2,2447 2,1427 2,0506 1,9804 1,9397 1,9276 1,9300 1,9253 1,8947 1,8279 1,7253 1,6016 1,4847 1,4042 1,3811 1,4223 1,5181 1,6444 1,7714 1,8741 1,9374 1,9600 1,9587 1,9596 1,9785 2,0071 2,0177 1,9788 1,8720 1,6994 1,4791 1,2345 0,9853 0,7454 0,5303 0,3683 0,2946 0,3270 0,4501 0,6222 0,7954 0,9321 1,0170 1,0561 1,0613 1,0383 0,9907 0,9288 0,8667 0,8142 0,7755 0,7517 0,7443 0,7576 0,7988 0,8717 0,9702 1,0775 1,1751 1,2549 1,3246 1,4021 1,5014 1,6193 1,7328 1,8111 1,8333 1,7977 1,7200 1,6239 1,5324 1,4623 1,4215 1,4119 1,4334 1,4839 1,5575 1,6406 1,7126 1,7547 1,7599 1,7368 1,7045 1,6849 1,6921 1,7258 1,7729 1,8152 1,8383 1,8340 1,7952 1,7165 1,6035 1,4805 1,3837 1,3404 1,3533 1,4027 1,4616 1,5096 1,5365 1,5372 1,5105 1,4614 1,4036 1,3562 1,3351 1,3443 1,3737 1,4051 1,4192 1,3995 1,3357 1,2237 1,0652 0,8731 0,6736 0,4970 0,3665 0,2913 0,2658 0,2757 0,3063 0,3465 0,3861 0,4141 0,4180 0,3877 0,3178 0,2084 0,0640 -0,1064 -0,2887 -0,4626 -0,6056 -0,6993 -0,7366 -0,7244 -0,6792 -0,6182 -0,5533 -0,4935 -0,4443 -0,4037 -0,3615 -0,3052 -0,2292 -0,1412 -0,0629 -0,0202 -0,0293 -0,0895 -0,1886 -0,3105 -0,4366 -0,5440 -0,6114 -0,6344 -0,6302 -0,6250 -0,6374 -0,6685 -0,7006 -0,7061 -0,6621 -0,5586 -0,4005 -0,2055 0,0009 0,1942 0,3563 0,4773 0,5566 0,6043 0,6374 0,6708 0,7098 0,7477 0,7718 0,7722 0,7525 0,7304 0,7269 0,7525 0,8040 0,8705 0,9378 0,9898 1,0115 0,9932 0,9355 0,8501 0,7530 0,6578 0,5746 0,5104 0,4665 0,4390 0,4220 0,4092 0,3940 0,3697 0,3266 0,2522 0,1406 0,0016 -0,1450 -0,2834 -0,4082 -0,5195 -0,6193 -0,7124 -0,8058 -0,9029 -1,0002 -1,0894 -1,1638 -1,2207 -1,2555 -1,2569 -1,2111 -1,1078 -0,9458 -0,7358 -0,4983 -0,2559 -0,0263 0,1808 0,3639 0,5266 0,6704 0,7907
