Fp1   4,0720 2,9645 1,8052 0,7035 -0,2553 -1,0300 -1,6107 -2,0069 -2,2415 -2,3326 -2,2725 -2,0414 -1,6536 -1,1821 -0,7379 -0,4319 -0,3206 -0,3563 -0,4114 -0,3730 -0,2160 0,0018 0,2006 0,3358 0,4048 0,4079 0,3134 0,0866 -0,2442 -0,5841 -0,8505 -1,0316 -1,1624 -1,2662 -1,3327 -1,3344 -1,2435 -1,0345 -0,6901 -0,2153 0,3571 0,9723 1,5601 2,0526 2,4043 2,5911 2,6071 2,4730 2,2287 1,9210 1,6029 1,3333 1,1643 1,1330 1,2592 1,5351 1,9197 2,3635 2,8346 3,3110 3,7687 4,1934 4,5881 4,9611 5,3226 5,6875 6,0686 6,4796 6,9414 7,4580 7,9955 8,5115 8,9883 9,4184 9,7794 10,0360 10,1501 10,0950 9,8813 9,5657 9,2207 8,9108 8,6913 8,5885 8,5814 8,6300 8,7299 8,9359 9,3278 9,9387 10,7198 11,5712 12,3843 13,0463 13,4390 13,4678 13,0990 12,3719 11,3841 10,2684 9,1746 8,2367 7,5073 6,9186 6,3515 5,7513 5,1539 4,6189 4,1674 3,7707 3,3683 2,8927 2,2918 1,5391 0,6315 -0,4111 -1,5413 -2,6820 -3,7409 -4,6403 -5,3491 -5,8924 -6,3075 -6,5760 -6,6171 -6,3537 -5,7676 -4,8828 -3,6948 -2,1316 -0,1019 2,4153 5,3272 8,4711 11,6882 14,8478 17,8379 20,5904 23,1102 25,4671 27,7681 30,1244 32,6027 35,1798 37,7429 40,1493 42,2931 44,1433 45,7528 47,2219 48,6326 50,0058 51,2965 52,4147 53,2611 53,7726 53,9653 53,9508 53,9085 54,0258 54,4223 55,0889 55,8892 56,6153 57,0584 57,0893 56,7168 56,0520 55,2081 54,2473 53,1862 52,0008 50,6377 49,0529 47,2389 45,2271 43,0892 40,9346 38,8890 37,0597 35,5022 34,2078 33,1240 32,1766 31,2765 30,3444 29,3487 28,3118 27,2829 26,3098 25,4108 24,5612 23,7098 22,8016 21,7877 20,6412 19,3946 18,1560 17,0652 16,2260 15,6813 15,4315 15,4610 15,7510 16,2725 16,9741 17,7900 18,6507 19,4820 20,2276 20,8880 21,5083 22,1091 22,6482 23,0699 23,3645 23,5651 23,7137 23,8425 23,9641 24,0584 24,0803 23,9884 23,7651 23,4177 22,9732 22,4566 21,8672 21,1943 20,4408 19,6190 18,7453 17,8463 16,9550 16,1117 15,3701 14,7845 14,3852 14,1724 14,1138 14,1385 14,1495 14,0580 13,8168 13,4302 12,9425 12,4267 11,9598 11,5635 11,1607 10,6102 9,7910 8,6718 7,3281 5,8992 4,5196 3,2787 2,2153 1,3174 0,5281 -0,2244 -0,9801 -1,7149 -2,3536 -2,8171 -3,0770 -3,1819 -3,2441 -3,3924 -3,7002 -4,1461 -4,6493 -5,1450 -5,6174 -6,0654 -6,4545 -6,7050 -6,7189 -6,4320 -5,8654 -5,1295 -4,3667 -3,6909 -3,1635 -2,7826 -2,4833 -2,1752 -1,7900 -1,3013 -0,7180 -0,0721 0,5888 1,2078 1,7310 2,1153 2,3262 2,3497 2,2191 2,0087 1,7788 1,5324 1,2361 0,8773 0,4878 0,1019 -0,2824 -0,6773 -1,0571 -1,3559 -1,4912 -1,3901 -1,0345 -0,5026 0,0632 0,5638 1,0185 1,5253 2,1612 2,9332 3,7918 4,6640 5,5013 6,3137 7,1363 7,9647 8,7470 9,4390 10,0614 10,7100 11,5132 12,5512 13,7785 15,0295 16,1156 16,9185 17,4077 17,6171 17,6291 17,5508 17,4664 17,4032 17,3475 17,2835 17,2091 17,1239 17,0233 16,9111 16,8099 16,7578 16,7910 16,9294 17,1706 17,4790 17,7897 18,0431 18,2233 18,3616 18,5128 18,7250 19,0203 19,3975 19,8473 20,3600 20,9131 21,4491 21,8835 22,1520 22,2445 22,2050 22,1079 22,0227 21,9899 22,0240 22,1258 22,2943 22,5379 22,8785 23,3416 23,9366 24,6491 25,4496 26,2942 27,1145 27,8170 28,3011 28,4897 28,3673 28,0070 27,5505 27,1389 26,8466 26,6625 26,5145 26,3192 26,0187 25,5891 25,0459 24,4544 23,9183 23,5470 23,4152 23,5232 23,7853 24,0681 24,2562 24,2956 24,1921 23,9816 23,7061 23,4093 23,1320 22,8886 22,6536 22,4015 22,1655 22,0479 22,1572 22,5288 23,1070 23,7859 24,4561 25,0356 25,4713 25,7163 25,7372 25,5661 25,3223 25,1544 25,1637 25,3719 25,7350 26,1821 26,6486 27,0747 27,3838 27,4920 27,3598 27,0265 26,5783 26,0902 25,6066 25,1502 24,7184 24,2848 23,8414 23,4397 23,1730 23,1208 23,2998 23,6404 24,0100 24,2696 24,3180 24,1135 23,6915 23,1486 22,5832 22,0624 21,6292 21,2979 21,0523 20,8669 20,7085 20,5186 20,2246 19,7700 19,1256 18,3027 17,3696 16,4253 15,5291 14,6691 13,8054 12,9320 12,0976 11,3893 10,8975 10,6656 10,6547 10,7739 10,9463 11,1303 11,2928 11,3855 11,3388 11,0759 10,5508 9,7887 8,8859 7,9588 7,0783 6,2356 5,3488 4,3009 3,0064 1,4698 -0,2076 -1,8597 -3,3058 -4,4171 -5,1568 -5,5622 -5,6994 -5,6111 -5,2812 -4,6476 -3,6421 -2,2172 -0,3651 1,8674 4,3761 7,0206 9,6732 12,2604 14,7583 17,1558 19,4270 21,5277 23,4029 25,0024 26,3119 27,3773 28,2818 29,0990 29,8675 30,5961 31,2899 31,9674 32,6313 33,2350 33,7048 33,9986 34,1243 34,1085 33,9724 33,7292 33,3783 32,9145 32,3546 31,7339 31,0696 30,3423 29,5145 28,5515 27,4384 26,2060 24,9405 23,7471 22,7102 21,9029 21,3997 21,2305 21,3233 21,5206 21,6576 21,6231 21,3727 20,9173 20,3101 19,6301 18,9689 18,4146 18,0120 17,7258 17,4589 17,1037 16,5893 15,9265 15,2136 14,5823 14,1407 13,9497 14,0126 14,2709 14,6207 14,9515 15,1897 15,3127 15,3187 15,1938 14,9034 14,4025 13,6669 12,7322 11,6955 10,6765 9,7746 9,0447 8,5058 8,1673 8,0399 8,1156 8,3351 8,5803 8,7107 8,6310 8,3402 7,9243 7,5130 7,2392
Fz    2,2549 1,8503 1,3754 0,8503 0,3069 -0,2161 -0,6764 -1,0369 -1,2782 -1,3975 -1,3991 -1,2960 -1,1234 -0,9359 -0,7872 -0,7118 -0,7079 -0,7281 -0,7026 -0,5874 -0,3918 -0,1668 0,0280 0,1528 0,1971 0,1672 0,0689 -0,0878 -0,2699 -0,4282 -0,5340 -0,5977 -0,6474 -0,6972 -0,7360 -0,7357 -0,6608 -0,4811 -0,1877 0,1973 0,6257 1,0364 1,3695 1,5834 1,6650 1,6257 1,4942 1,3106 1,1142 0,9330 0,7829 0,6667 0,5716 0,4773 0,3715 0,2571 0,1477 0,0665 0,0406 0,0872 0,2044 0,3755 0,5792 0,7954 1,0107 1,2211 1,4339 1,6734 1,9785 2,3728 2,8352 3,3089 3,7327 4,0605 4,2697 4,3646 4,3686 4,3150 4,2467 4,2055 4,2096 4,2482 4,3006 4,3503 4,3885 4,4215 4,4794 4,6103 4,8588 5,2395 5,7256 6,2597 6,7733 7,1990 7,4821 7,5955 7,5476 7,3759 7,1348 6,8808 6,6621 6,5057 6,3979 6,2790 6,0830 5,7939 5,4548 5,1244 4,8352 4,5859 4,3526 4,1010 3,7938 3,3974 2,8914 2,2823 1,6096 0,9344 0,3192 -0,1921 -0,5896 -0,9012 -1,1676 -1,4044 -1,5874 -1,6719 -1,6187 -1,4020 -0,9995 -0,3830 0,4711 1,5545 2,8132 4,1677 5,5482 6,9085 8,2215 9,4777 10,6826 11,8472 12,9813 14,0920 15,1757 16,2097 17,1601 18,0079 18,7684 19,4884 20,2311 21,0495 21,9595 22,9305 23,8978 24,7868 25,5394 26,1367 26,6064 27,0156 27,4496 27,9825 28,6427 29,3903 30,1297 30,7508 31,1685 31,3510 31,3284 31,1654 30,9195 30,6218 30,2782 29,8706 29,3667 28,7426 27,9959 27,1456 26,2337 25,3224 24,4772 23,7416 23,1198 22,5784 22,0627 21,5159 20,8927 20,1756 19,3868 18,5794 17,8125 17,1254 16,5173 15,9454 15,3479 14,6749 13,9083 13,0681 12,2109 11,4155 10,7571 10,2778 9,9755 9,8170 9,7605 9,7754 9,8488 9,9840 10,1943 10,4846 10,8335 11,2007 11,5506 11,8575 12,0896 12,2072 12,1895 12,0580 11,8704 11,6962 11,5936 11,5892 11,6656 11,7673 11,8246 11,7835 11,6243 11,3625 11,0308 10,6564 10,2583 9,8513 9,4377 9,0050 8,5386 8,0362 7,5163 7,0179 6,5874 6,2638 6,0703 6,0039 6,0267 6,0728 6,0716 5,9773 5,7838 5,5213 5,2455 5,0187 4,8800 4,8191 4,7815 4,6993 4,5241 4,2445 3,8824 3,4756 3,0642 2,6801 2,3369 2,0272 1,7281 1,4137 1,0702 0,7046 0,3381 -0,0089 -0,3287 -0,6286 -0,9232 -1,2199 -1,5118 -1,7919 -2,0716 -2,3756 -2,7116 -3,0456 -3,3058 -3,4093 -3,3025 -2,9948 -2,5615 -2,1056 -1,7134 -1,4317 -1,2613 -1,1614 -1,0683 -0,9259 -0,7054 -0,4051 -0,0431 0,3458 0,7138 1,0134 1,2083 1,2761 1,2159 1,0604 0,8678 0,6851 0,5190 0,3425 0,1279 -0,1277 -0,4061 -0,6805 -0,9124 -1,0505 -1,0479 -0,8845 -0,5779 -0,1880 0,1921 0,4720 0,6160 0,6691 0,7302 0,8943 1,2111 1,6751 2,2363 2,8298 3,4056 3,9314 4,3800 4,7328 4,9975 5,2159 5,4530 5,7738 6,2119 6,7378 7,2640 7,7005 8,0047 8,1858 8,2852 8,3639 8,4851 8,6838 8,9474 9,2300 9,4814 9,6662 9,7671 9,7873 9,7530 9,7084 9,6995 9,7552 9,8781 10,0494 10,2379 10,4104 10,5463 10,6490 10,7449 10,8706 11,0583 11,3193 11,6357 11,9656 12,2613 12,4860 12,6175 12,6488 12,5972 12,5063 12,4328 12,4254 12,5051 12,6558 12,8348 12,9960 13,1136 13,1940 13,2698 13,3813 13,5579 13,8082 14,1191 14,4579 14,7737 15,0045 15,0955 15,0252 14,8201 14,5489 14,2974 14,1339 14,0828 14,1199 14,1915 14,2435 14,2411 14,1732 14,0535 13,9198 13,8194 13,7892 13,8372 13,9294 13,9974 13,9693 13,8037 13,5007 13,0937 12,6359 12,1842 11,7826 11,4470 11,1571 10,8677 10,5433 10,1946 9,8848 9,6981 9,6932 9,8786 10,2202 10,6604 11,1355 11,5859 11,9604 12,2268 12,3931 12,5113 12,6536 12,8753 13,1926 13,5774 13,9700 14,3011 14,5112 14,5576 14,4238 14,1367 13,7634 13,3791 13,0315 12,7300 12,4599 12,1973 11,9224 11,6377 11,3805 11,2123 11,1895 11,3348 11,6194 11,9717 12,3029 12,5337 12,6197 12,5711 12,4412 12,2879 12,1506 12,0512 11,9935 11,9607 11,9204 11,8327 11,6568 11,3647 10,9509 10,4340 9,8542 9,2671 8,7200 8,2228 7,7438 7,2412 6,6997 6,1440 5,6289 5,2207 4,9732 4,9047 4,9967 5,2103 5,4924 5,7777 6,0026 6,1211 6,1124 5,9875 5,7914 5,5845 5,4091 5,2608 5,0858 4,8039 4,3438 3,6755 2,8289 1,8895 0,9739 0,1921 -0,3900 -0,7712 -1,0029 -1,1549 -1,2724 -1,3495 -1,3377 -1,1726 -0,7951 -0,1718 0,6863 1,7190 2,8297 3,9175 4,9173 5,8196 6,6560 7,4704 8,2960 9,1412 9,9836 10,7816 11,4971 12,1033 12,5808 12,9213 13,1383 13,2747 13,3951 13,5562 13,7747 14,0287 14,2835 14,5104 14,6857 14,7889 14,8081 14,7453 14,6196 14,4659 14,3205 14,1980 14,0795 13,9193 13,6660 13,2917 12,8177 12,3141 11,8712 11,5685 11,4639 11,5825 11,8920 12,2937 12,6598 12,8901 12,9446 12,8397 12,6240 12,3532 12,0705 11,7995 11,5471 11,3018 11,0337 10,7110 10,3234 9,8936 9,4778 9,1492 8,9654 8,9435 9,0592 9,2597 9,4815 9,6692 9,7901 9,8420 9,8458 9,8215 9,7666 9,6533 9,4412 9,0977 8,6234 8,0581 7,4640 6,9019 6,4159 6,0278 5,7388 5,5351 5,3902 5,2644 5,1085 4,8801 4,5662 4,1967 3,8358 3,5569 3,4176
F3    2,3634 1,8618 1,3035 0,7246 0,1645 -0,3421 -0,7673 -1,0918 -1,3077 -1,4123 -1,4016 -1,2800 -1,0793 -0,8585 -0,6809 -0,5898 -0,5875 -0,6266 -0,6358 -0,5690 -0,4339 -0,2770 -0,1465 -0,0637 -0,0234 -0,0150 -0,0422 -0,1136 -0,2158 -0,3115 -0,3719 -0,3999 -0,4157 -0,4293 -0,4328 -0,4112 -0,3480 -0,2252 -0,0292 0,2378 0,5522 0,8729 1,1521 1,3500 1,4466 1,4408 1,3485 1,2008 1,0347 0,8817 0,7650 0,6991 0,6868 0,7190 0,7807 0,8556 0,9330 1,0168 1,1235 1,2654 1,4413 1,6419 1,8558 2,0675 2,2619 2,4340 2,5938 2,7671 2,9880 3,2744 3,6101 3,9584 4,2871 4,5703 4,7858 4,9193 4,9673 4,9391 4,8641 4,7839 4,7246 4,6867 4,6593 4,6322 4,5992 4,5666 4,5653 4,6501 4,8775 5,2718 5,8072 6,4204 7,0327 7,5636 7,9419 8,1223 8,0980 7,9000 7,5842 7,2156 6,8597 6,5696 6,3574 6,1745 5,9488 5,6471 5,2922 4,9283 4,5839 4,2636 3,9548 3,6343 3,2734 2,8453 2,3354 1,7512 1,1241 0,5007 -0,0694 -0,5499 -0,9340 -1,2485 -1,5259 -1,7676 -1,9367 -1,9877 -1,8936 -1,6446 -1,2227 -0,5861 0,3110 1,4793 2,8735 4,4120 6,0134 7,6136 9,1630 10,6281 11,9991 13,2892 14,5267 15,7422 16,9505 18,1372 19,2654 20,3042 21,2513 22,1355 23,0066 23,9118 24,8667 25,8458 26,7977 27,6669 28,4112 29,0150 29,4979 29,9141 30,3414 30,8562 31,4962 32,2338 32,9837 33,6392 34,1090 34,3464 34,3647 34,2150 33,9440 33,5751 33,1153 32,5592 31,8955 31,1197 30,2400 29,2767 28,2650 27,2566 26,3102 25,4723 24,7591 24,1534 23,6182 23,1092 22,5771 21,9826 21,3163 20,6046 19,8955 19,2331 18,6280 18,0484 17,4395 16,7552 15,9757 15,1156 14,2267 13,3902 12,6864 12,1622 11,8213 11,6377 11,5766 11,6107 11,7246 11,9108 12,1670 12,4860 12,8437 13,2050 13,5471 13,8645 14,1469 14,3662 14,4977 14,5461 14,5435 14,5309 14,5395 14,5762 14,6179 14,6223 14,5482 14,3736 14,1041 13,7694 13,4043 13,0272 12,6393 12,2364 11,8120 11,3587 10,8744 10,3674 9,8621 9,3995 9,0239 8,7652 8,6329 8,6114 8,6543 8,6930 8,6626 8,5263 8,2846 7,9704 7,6391 7,3490 7,1298 6,9621 6,7884 6,5462 6,1976 5,7441 5,2176 4,6601 4,1098 3,5948 3,1272 2,7003 2,2919 1,8786 1,4540 1,0379 0,6640 0,3552 0,1085 -0,1030 -0,3122 -0,5362 -0,7695 -1,0019 -1,2403 -1,5056 -1,8062 -2,1144 -2,3646 -2,4752 -2,3887 -2,1073 -1,6958 -1,2466 -0,8383 -0,5118 -0,2632 -0,0518 0,1752 0,4524 0,7850 1,1586 1,5529 1,9427 2,2953 2,5773 2,7632 2,8362 2,7947 2,6652 2,4958 2,3239 2,1537 1,9662 1,7479 1,5064 1,2593 1,0199 0,8034 0,6392 0,5650 0,6109 0,7849 1,0577 1,3601 1,6133 1,7801 1,8930 2,0280 2,2501 2,5798 2,9942 3,4457 3,8912 4,3130 4,7113 5,0807 5,4057 5,6795 5,9240 6,1923 6,5481 7,0266 7,5981 8,1756 8,6694 9,0353 9,2785 9,4358 9,5627 9,7165 9,9290 10,1921 10,4712 10,7302 10,9419 11,0859 11,1516 11,1507 11,1207 11,1099 11,1537 11,2611 11,4179 11,5940 11,7514 11,8611 11,9209 11,9583 12,0173 12,1378 12,3371 12,6040 12,9078 13,2131 13,4878 13,7007 13,8249 13,8527 13,8051 13,7243 13,6559 13,6286 13,6447 13,6876 13,7370 13,7855 13,8461 13,9476 14,1182 14,3710 14,7009 15,0905 15,5101 15,9103 16,2251 16,3920 16,3792 16,2027 15,9272 15,6444 15,4368 15,3466 15,3669 15,4515 15,5393 15,5793 15,5435 15,4335 15,2787 15,1250 15,0168 14,9781 14,9943 15,0091 14,9509 14,7711 14,4646 14,0644 13,6236 13,1945 12,8141 12,4977 12,2355 11,9969 11,7571 11,5270 11,3578 11,3103 11,4152 11,6601 12,0032 12,3916 12,7775 13,1224 13,3922 13,5609 13,6351 13,6669 13,7316 13,8879 14,1525 14,4983 14,8702 15,2078 15,4581 15,5769 15,5357 15,3427 15,0471 14,7121 14,3813 14,0710 13,7795 13,4966 13,2101 12,9210 12,6582 12,4715 12,4080 12,4853 12,6760 12,9157 13,1276 13,2445 13,2288 13,0882 12,8677 12,6164 12,3707 12,1574 11,9918 11,8715 11,7793 11,6858 11,5507 11,3374 11,0285 10,6276 10,1593 9,6694 9,2061 8,7871 8,3894 7,9763 7,5347 7,0913 6,7033 6,4378 6,3418 6,4183 6,6316 6,9319 7,2645 7,5690 7,7876 7,8750 7,8032 7,5735 7,2258 6,8266 6,4347 6,0673 5,6906 5,2391 4,6494 3,8947 3,0017 2,0439 1,1209 0,3326 -0,2555 -0,6345 -0,8434 -0,9398 -0,9645 -0,9169 -0,7601 -0,4432 0,0786 0,8253 1,7772 2,8743 4,0314 5,1679 6,2389 7,2430 8,2038 9,1461 10,0831 11,0095 11,9010 12,7273 13,4702 14,1254 14,6897 15,1565 15,5245 15,8100 16,0500 16,2819 16,5196 16,7533 16,9695 17,1564 17,2974 17,3722 17,3659 17,2749 17,1114 16,9052 16,6886 16,4726 16,2397 15,9566 15,5890 15,1194 14,5686 13,9985 13,4888 13,1108 12,9201 12,9463 13,1638 13,4826 13,7851 13,9793 14,0261 13,9342 13,7386 13,4806 13,1940 12,9027 12,6258 12,3697 12,1184 11,8435 11,5240 11,1607 10,7871 10,4626 10,2429 10,1543 10,1889 10,3113 10,4719 10,6199 10,7155 10,7410 10,7008 10,6057 10,4544 10,2293 9,9051 9,4650 8,9215 8,3191 7,7169 7,1656 6,6926 6,3012 5,9813 5,7197 5,5017 5,3048 5,0969 4,8478 4,5485 4,2248 3,9316 3,7318 3,6746
F7    2,4264 2,0246 1,5713 1,1093 0,6780 0,3046 0,0017 -0,2311 -0,4013 -0,5106 -0,5482 -0,5013 -0,3783 -0,2174 -0,0699 0,0221 0,0456 0,0251 0,0043 0,0108 0,0360 0,0472 0,0183 -0,0511 -0,1432 -0,2442 -0,3599 -0,5049 -0,6718 -0,8253 -0,9331 -0,9934 -1,0240 -1,0355 -1,0232 -0,9771 -0,8913 -0,7615 -0,5832 -0,3576 -0,0971 0,1773 0,4407 0,6687 0,8376 0,9246 0,9174 0,8276 0,6872 0,5290 0,3799 0,2641 0,2020 0,2035 0,2659 0,3793 0,5334 0,7224 0,9392 1,1644 1,3705 1,5446 1,6966 1,8444 1,9991 2,1603 2,3214 2,4816 2,6526 2,8452 3,0530 3,2620 3,4669 3,6648 3,8472 4,0043 4,1273 4,2065 4,2381 4,2284 4,1857 4,1184 4,0420 3,9725 3,9166 3,8781 3,8749 3,9453 4,1322 4,4502 4,8721 5,3447 5,8114 6,2197 6,5215 6,6798 6,6784 6,5263 6,2554 5,9141 5,5614 5,2548 5,0165 4,8145 4,5962 4,3426 4,0759 3,8244 3,5937 3,3677 3,1251 2,8482 2,5255 2,1521 1,7319 1,2803 0,8243 0,3956 0,0212 -0,2877 -0,5438 -0,7795 -1,0189 -1,2484 -1,4193 -1,4792 -1,3979 -1,1646 -0,7649 -0,1657 0,6710 1,7570 3,0591 4,5095 6,0323 7,5570 9,0175 10,3611 11,5648 12,6413 13,6314 14,5904 15,5643 16,5642 17,5621 18,5156 19,3966 20,2062 20,9744 21,7400 22,5224 23,3109 24,0744 24,7727 25,3686 25,8443 26,2143 26,5247 26,8417 27,2319 27,7326 28,3238 28,9325 29,4620 29,8239 29,9692 29,9077 29,6883 29,3556 28,9344 28,4396 27,8779 27,2462 26,5417 25,7694 24,9429 24,0889 23,2485 22,4664 21,7695 21,1535 20,5915 20,0562 19,5278 18,9874 18,4232 17,8448 17,2803 16,7604 16,3003 15,8873 15,4837 15,0450 14,5383 13,9478 13,2757 12,5493 11,8257 11,1751 10,6497 10,2682 10,0266 9,9144 9,9216 10,0339 10,2317 10,4957 10,8058 11,1323 11,4430 11,7231 11,9797 12,2203 12,4357 12,6109 12,7455 12,8570 12,9681 13,0896 13,2100 13,2982 13,3189 13,2492 13,0899 12,8651 12,6121 12,3571 12,0981 11,8127 11,4810 11,0974 10,6696 10,2145 9,7557 9,3247 8,9582 8,6830 8,5041 8,4098 8,3790 8,3788 8,3651 8,2953 8,1431 7,9038 7,5944 7,2524 6,9227 6,6261 6,3401 6,0145 5,6082 5,1149 4,5654 4,0079 3,4824 3,0112 2,6006 2,2414 1,9107 1,5825 1,2436 0,9055 0,6025 0,3727 0,2313 0,1554 0,0927 -0,0106 -0,1776 -0,3933 -0,6265 -0,8587 -1,0909 -1,3256 -1,5461 -1,7099 -1,7621 -1,6650 -1,4245 -1,0908 -0,7283 -0,3854 -0,0824 0,1897 0,4614 0,7620 1,0948 1,4376 1,7641 2,0628 2,3344 2,5791 2,7922 2,9627 3,0718 3,0999 3,0473 2,9398 2,8067 2,6588 2,4894 2,2951 2,0860 1,8743 1,6619 1,4504 1,2551 1,1025 1,0197 1,0244 1,1079 1,2288 1,3372 1,4156 1,4951 1,6272 1,8419 2,1310 2,4613 2,7982 3,1299 3,4746 3,8551 4,2676 4,6800 5,0603 5,4029 5,7338 6,0965 6,5187 6,9795 7,4159 7,7672 8,0092 8,1516 8,2196 8,2447 8,2571 8,2750 8,2983 8,3173 8,3245 8,3169 8,2911 8,2459 8,1896 8,1424 8,1273 8,1562 8,2252 8,3241 8,4383 8,5456 8,6232 8,6637 8,6824 8,7093 8,7753 8,8973 9,0710 9,2767 9,4936 9,7081 9,9059 10,0662 10,1708 10,2167 10,2184 10,2014 10,1913 10,2052 10,2496 10,3219 10,4197 10,5506 10,7287 10,9625 11,2457 11,5618 11,8960 12,2374 12,5634 12,8327 12,9983 13,0290 12,9229 12,7136 12,4620 12,2346 12,0797 12,0158 12,0310 12,0904 12,1478 12,1600 12,1037 11,9851 11,8360 11,7014 11,6193 11,5984 11,6100 11,6033 11,5343 11,3872 11,1770 10,9358 10,6930 10,4640 10,2515 10,0511 9,8555 9,6674 9,5136 9,4410 9,4878 9,6572 9,9178 10,2251 10,5411 10,8433 11,1187 11,3489 11,5108 11,6011 11,6522 11,7117 11,8090 11,9444 12,1002 12,2573 12,4028 12,5264 12,6095 12,6254 12,5623 12,4354 12,2687 12,0747 11,8584 11,6298 11,4048 11,1964 11,0148 10,8771 10,8101 10,8369 10,9569 11,1316 11,2977 11,3949 11,3831 11,2519 11,0274 10,7596 10,4928 10,2563 10,0708 9,9442 9,8655 9,8111 9,7499 9,6465 9,4746 9,2283 8,9137 8,5430 8,1403 7,7391 7,3596 6,9964 6,6342 6,2735 5,9420 5,6875 5,5591 5,5793 5,7247 5,9431 6,1901 6,4407 6,6744 6,8637 6,9741 6,9720 6,8406 6,5945 6,2768 5,9336 5,5834 5,2069 4,7608 4,2035 3,5183 2,7230 1,8635 1,0063 0,2283 -0,4067 -0,8722 -1,1783 -1,3541 -1,4193 -1,3622 -1,1459 -0,7336 -0,1076 0,7178 1,6947 2,7551 3,8313 4,8752 5,8692 6,8228 7,7524 8,6634 9,5454 10,3767 11,1321 11,7949 12,3693 12,8757 13,3339 13,7533 14,1365 14,4896 14,8264 15,1533 15,4547 15,7055 15,8959 16,0348 16,1328 16,1929 16,2111 16,1790 16,0912 15,9547 15,7809 15,5712 15,3161 15,0050 14,6316 14,1968 13,7170 13,2255 12,7598 12,3543 12,0519 11,8985 11,9048 12,0228 12,1692 12,2685 12,2802 12,2005 12,0475 11,8469 11,6219 11,3957 11,1945 11,0344 10,9028 10,7630 10,5747 10,3127 9,9827 9,6243 9,2927 9,0367 8,8858 8,8407 8,8748 8,9484 9,0259 9,0860 9,1203 9,1221 9,0745 8,9496 8,7180 8,3663 7,9125 7,4033 6,8962 6,4419 6,0735 5,8046 5,6330 5,5426 5,5037 5,4751 5,4130 5,2839 5,0787 4,8208 4,5600 4,3534 4,2464
