Fp1   0,4804 0,1802 -0,0487 -0,2130 -0,3243 -0,3934 -0,4362 -0,4732 -0,5139 -0,5411 -0,5178 -0,4235 -0,2843 -0,1631 -0,1106 -0,1227 -0,1452 -0,1142 0,0096 0,2275 0,5030 0,7729 0,9577 0,9841 0,8172 0,4832 0,0632 -0,3410 -0,6450 -0,7913 -0,7473 -0,5191 -0,1672 0,2116 0,5299 0,7431 0,8499 0,8769 0,8600 0,8230 0,7648 0,6663 0,5051 0,2682 -0,0389 -0,3888 -0,7362 -1,0228 -1,1850 -1,1700 -0,9566 -0,5736 -0,0982 0,3672 0,7310 0,9449 1,0174 0,9969 0,9426 0,9049 0,9169 0,9873 1,0974 1,2073 1,2679 1,2402 1,1067 0,8774 0,5941 0,3260 0,1471 0,1046 0,1983 0,3815 0,5840 0,7449 0,8367 0,8642 0,8507 0,8236 0,8096 0,8300 0,8872 0,9579 1,0066 1,0077 0,9548 0,8535 0,7151 0,5548 0,3934 0,2590 0,1809 0,1711 0,2091 0,2506 0,2562 0,2086 0,1059 -0,0425 -0,2058 -0,3321 -0,3762 -0,3232 -0,1855 0,0108 0,2390 0,4785 0,7098 0,9104 1,0621 1,1610 1,2154 1,2353 1,2229 1,1735 1,0873 0,9783 0,8771 0,8249 0,8593 1,0025 1,2571 1,5991 1,9822 2,3620 2,7172 3,0477 3,3558 3,6362 3,8767 4,0581 4,1530 4,1395 4,0289 3,8811 3,7844 3,8055 3,9571 4,2026 4,4714 4,6843 4,7865 4,7617 4,6234 4,4052 4,1547 3,9253 3,7673 3,7169 3,7892 3,9778 4,2555 4,5818 4,9183 5,2322 5,4848 5,6206 5,5723 5,2914 4,7891 4,1513 3,5088 2,9869 2,6697 2,5772 2,6638 2,8470 3,0480 3,2176 3,3451 3,4479 3,5522 3,6744 3,8094 3,9292 3,9891 3,9446 3,7802 3,5212 3,2090 2,8758 2,5493 2,2638 2,0558 1,9502 1,9422 1,9866 2,0171 1,9850 1,8845 1,7525 1,6495 1,6310 1,7244 1,9195 2,1707 2,4153 2,6026 2,7121 2,7456 2,7005 2,5573 2,3010 1,9484 1,5426 1,1296 0,7500 0,4436 0,2451 0,1712 0,2070 0,3088 0,4231 0,5022 0,5143 0,4593 0,3764 0,3250 0,3472 0,4494 0,6139 0,8104 0,9983 1,1313 1,1723 1,1110 0,9765 0,8327 0,7462 0,7417 0,7888 0,8346 0,8452 0,8134 0,7371 0,6049 0,4089 0,1676 -0,0734 -0,2615 -0,3548 -0,3276 -0,1762 0,0642 0,3144 0,4813 0,5077 0,4006 0,2229 0,0607 -0,0146 0,0315 0,1893 0,4093 0,6239 0,7806 0,8569 0,8529 0,7850 0,6860 0,5952 0,5382 0,5124 0,4918 0,4529 0,4011 0,3707 0,3950 0,4814 0,6190 0,7937 0,9855 1,1614 1,2769 1,2840 1,1473 0,8624 0,4680 0,0385 -0,3409 -0,6027 -0,7204 -0,7145 -0,6362 -0,5420 -0,4796 -0,4769 -0,5306 -0,6087 -0,6650 -0,6568 -0,5607 -0,3811 -0,1465 0,1027 0,3229 0,4750 0,5363 0,5139 0,4417 0,3562 0,2724 0,1851 0,0880 -0,0153 -0,1102 -0,1731 -0,1818 -0,1335 -0,0481 0,0508 0,1596 0,2926 0,4534 0,6116 0,7177 0,7407 0,6878 0,5922 0,4874 0,3909 0,2965 0,1706 -0,0365 -0,3519 -0,7516 -1,1738 -1,5505 -1,8218 -1,9467 -1,9159 -1,7543 -1,5097 -1,2368 -0,9824 -0,7807 -0,6567 -0,6195 -0,6539 -0,7255 -0,8020 -0,8760 -0,9648 -1,0870 -1,2480 -1,4429 -1,6587 -1,8673 -2,0292 -2,1148 -2,1255 -2,0916 -2,0493 -2,0195 -2,0028 -1,9899 -1,9740 -1,9516 -1,9186 -1,8785 -1,8534 -1,8695 -1,9282 -1,9925 -2,0097 -1,9515 -1,8351 -1,7054 -1,6020 -1,5392 -1,5098 -1,4956 -1,4748 -1,4309 -1,3615 -1,2748 -1,1734 -1,0438 -0,8657 -0,6339 -0,3656 -0,0886 0,1727 0,3927 0,5345 0,5554 0,4330 0,1940 -0,0866 -0,3298 -0,4999 -0,6104 -0,6940 -0,7734 -0,8498 -0,9086 -0,9376 -0,9481 -0,9710 -1,0247 -1,0838 -1,0834 -0,9627 -0,7125 -0,3853 -0,0623 0,1895 0,3407 0,4040 0,4249 0,4618 0,5609 0,7312 0,9323 1,0923 1,1549 1,1130 1,0006 0,8718 0,7863 0,7893 0,8837 1,0217 1,1229 1,1081 0,9375 0,6341 0,2753 -0,0432 -0,2495 -0,3188 -0,2760 -0,1801 -0,0963 -0,0665 -0,1001 -0,1894 -0,3274 -0,5051 -0,6925 -0,8400 -0,9069 -0,8903 -0,8338 -0,8080 -0,8748 -1,0546 -1,3122 -1,5676 -1,7259 -1,7188 -1,5332 -1,2111 -0,8303 -0,4835 -0,2491 -0,1578 -0,1820 -0,2618 -0,3420 -0,3840 -0,3675 -0,3025 -0,2361 -0,2322 -0,3334 -0,5294 -0,7562 -0,9293 -0,9880 -0,9196 -0,7552 -0,5563 -0,3934 -0,3130 -0,3182 -0,3761 -0,4396 -0,4696 -0,4552 -0,4154 -0,3810 -0,3795 -0,4381 -0,5842 -0,8303 -1,1558 -1,5053 -1,8132 -2,0376 -2,1773 -2,2631 -2,3353 -2,4218 -2,5292 -2,6422 -2,7280 -2,7599 -2,7466 -2,7308 -2,7549 -2,8319 -2,9382 -3,0298 -3,0728 -3,0530 -2,9565 -2,7622 -2,4645 -2,0857 -1,6662 -1,2558 -0,9141 -0,6968 -0,6240 -0,6617 -0,7353 -0,7559 -0,6466 -0,3603 0,1099 0,7248 1,4009 2,0353 2,5390 2,8535 2,9527 2,8407 2,5530 2,1574 1,7364 1,3483 1,0019 0,6692 0,3243 -0,0291 -0,3600 -0,6302 -0,8162 -0,9150 -0,9307 -0,8696 -0,7569 -0,6429 -0,5844 -0,6175 -0,7412 -0,9158 -1,0828 -1,1976 -1,2481 -1,2457 -1,2162 -1,2022 -1,2536 -1,4006 -1,6290 -1,8746 -2,0467 -2,0762 -1,9531 -1,7231 -1,4546 -1,2130 -1,0498 -0,9915 -1,0293 -1,1218 -1,2145 -1,2637 -1,2585 -1,2226 -1,1901 -1,1749 -1,1669 -1,1547 -1,1438 -1,1497 -1,1741 -1,1984 -1,2077 -1,2095 -1,2293 -1,2948 -1,4215 -1,6006 -1,7998 -1,9796 -2,1061 -2,1569 -2,1341 -2,0720 -2,0179 -2,0037 -2,0414 -2,1324 -2,2686 -2,4213 -2,5419
Fz    1,3260 1,0552 0,7207 0,3452 -0,0455 -0,4217 -0,7502 -1,0043 -1,1711 -1,2474 -1,2387 -1,1659 -1,0649 -0,9705 -0,8948 -0,8183 -0,7034 -0,5238 -0,2830 -0,0103 0,2531 0,4655 0,5914 0,6088 0,5164 0,3381 0,1212 -0,0809 -0,2301 -0,3078 -0,3036 -0,2162 -0,0642 0,1128 0,2724 0,3912 0,4686 0,5139 0,5353 0,5395 0,5329 0,5200 0,4990 0,4652 0,4189 0,3712 0,3411 0,3448 0,3866 0,4616 0,5647 0,6964 0,8597 1,0510 1,2504 1,4241 1,5420 1,5936 1,5888 1,5503 1,5050 1,4794 1,4965 1,5645 1,6634 1,7489 1,7717 1,7029 1,5549 1,3805 1,2455 1,1964 1,2459 1,3746 1,5436 1,7128 1,8558 1,9645 2,0461 2,1161 2,1890 2,2718 2,3632 2,4508 2,5092 2,5060 2,4114 2,2052 1,8850 1,4705 1,0006 0,5226 0,0819 -0,2869 -0,5646 -0,7451 -0,8293 -0,8255 -0,7583 -0,6636 -0,5667 -0,4697 -0,3610 -0,2333 -0,0920 0,0470 0,1664 0,2486 0,2730 0,2258 0,1164 -0,0210 -0,1437 -0,2189 -0,2321 -0,1850 -0,0865 0,0542 0,2276 0,4264 0,6462 0,8863 1,1486 1,4319 1,7308 2,0435 2,3784 2,7495 3,1659 3,6188 4,0757 4,4827 4,7809 4,9329 4,9477 4,8870 4,8371 4,8602 4,9655 5,1172 5,2533 5,3070 5,2305 5,0105 4,6652 4,2365 3,7827 3,3705 3,0614 2,8923 2,8636 2,9507 3,1217 3,3436 3,5840 3,8169 4,0283 4,2073 4,3290 4,3543 4,2593 4,0604 3,8008 3,5239 3,2667 3,0573 2,9029 2,7862 2,6791 2,5618 2,4329 2,3076 2,2088 2,1606 2,1831 2,2834 2,4398 2,6029 2,7182 2,7470 2,6684 2,4760 2,1855 1,8372 1,4850 1,1744 0,9198 0,6974 0,4671 0,2088 -0,0582 -0,2847 -0,4211 -0,4448 -0,3648 -0,2098 -0,0192 0,1609 0,2937 0,3700 0,4041 0,4089 0,3820 0,3188 0,2322 0,1461 0,0721 0,0044 -0,0630 -0,1211 -0,1505 -0,1376 -0,0825 0,0047 0,1072 0,2074 0,2993 0,3927 0,5031 0,6378 0,7958 0,9743 1,1640 1,3431 1,4852 1,5702 1,5913 1,5617 1,5196 1,5110 1,5608 1,6616 1,7908 1,9301 2,0637 2,1659 2,2029 2,1550 2,0371 1,8967 1,7870 1,7382 1,7499 1,8019 1,8626 1,8934 1,8599 1,7531 1,5980 1,4387 1,3116 1,2358 1,2221 1,2778 1,3978 1,5559 1,7165 1,8503 1,9386 1,9697 1,9429 1,8745 1,7932 1,7272 1,6946 1,7022 1,7499 1,8352 1,9505 2,0766 2,1873 2,2678 2,3178 2,3363 2,3111 2,2208 2,0442 1,7770 1,4480 1,1121 0,8242 0,6187 0,5037 0,4645 0,4764 0,5191 0,5776 0,6366 0,6810 0,7027 0,7089 0,7210 0,7615 0,8397 0,9509 1,0844 1,2331 1,3925 1,5563 1,7127 1,8418 1,9217 1,9390 1,8964 1,8105 1,7010 1,5795 1,4521 1,3274 1,2174 1,1341 1,0886 1,0898 1,1408 1,2295 1,3254 1,3966 1,4333 1,4482 1,4571 1,4660 1,4749 1,4845 1,4887 1,4652 1,3825 1,2152 0,9552 0,6200 0,2619 -0,0446 -0,2379 -0,2948 -0,2295 -0,0765 0,1288 0,3559 0,5789 0,7808 0,9597 1,1196 1,2559 1,3515 1,3857 1,3471 1,2429 1,1019 0,9712 0,9054 0,9460 1,0958 1,3067 1,4961 1,5869 1,5454 1,3910 1,1732 0,9415 0,7357 0,5854 0,4994 0,4579 0,4278 0,3904 0,3542 0,3455 0,3844 0,4696 0,5856 0,7192 0,8638 1,0130 1,1582 1,2937 1,4216 1,5552 1,7140 1,9123 2,1514 2,4240 2,7159 3,0011 3,2444 3,4206 3,5277 3,5735 3,5522 3,4414 3,2267 2,9268 2,5927 2,2840 2,0447 1,8904 1,8091 1,7787 1,7855 1,8256 1,8958 1,9890 2,0946 2,2051 2,3238 2,4605 2,6173 2,7853 2,9522 3,1046 3,2171 3,2530 3,1873 3,0312 2,8314 2,6502 2,5408 2,5261 2,5959 2,7173 2,8529 2,9764 3,0804 3,1716 3,2584 3,3359 3,3770 3,3439 3,2189 3,0240 2,8120 2,6426 2,5557 2,5580 2,6251 2,7128 2,7714 2,7650 2,6832 2,5372 2,3489 2,1454 1,9605 1,8284 1,7686 1,7778 1,8363 1,9176 1,9956 2,0489 2,0672 2,0558 2,0334 2,0156 2,0019 1,9846 1,9655 1,9558 1,9628 1,9847 2,0205 2,0786 2,1743 2,3252 2,5421 2,8097 3,0753 3,2669 3,3325 3,2705 3,1300 2,9841 2,8967 2,9004 2,9926 3,1421 3,3010 3,4236 3,4799 3,4586 3,3648 3,2198 3,0556 2,9015 2,7708 2,6598 2,5572 2,4528 2,3401 2,2136 2,0650 1,8787 1,6333 1,3148 0,9371 0,5488 0,2134 -0,0256 -0,1643 -0,2303 -0,2609 -0,2882 -0,3349 -0,4106 -0,5065 -0,5915 -0,6263 -0,5884 -0,4824 -0,3269 -0,1416 0,0533 0,2340 0,3786 0,4771 0,5387 0,5897 0,6659 0,7981 0,9985 1,2604 1,5671 1,9004 2,2461 2,5947 2,9343 3,2441 3,4935 3,6461 3,6725 3,5666 3,3551 3,0913 2,8359 2,6335 2,4984 2,4192 2,3755 2,3512 2,3332 2,3078 2,2629 2,1918 2,0958 1,9854 1,8761 1,7798 1,6975 1,6170 1,5196 1,4011 1,2838 1,2008 1,1668 1,1675 1,1725 1,1534 1,0926 0,9879 0,8519 0,7149 0,6221 0,6115 0,6885 0,8284 0,9983 1,1697 1,3163 1,4139 1,4455 1,4122 1,3431 1,2887 1,2917 1,3595 1,4660 1,5780 1,6713 1,7244 1,7163 1,6440 1,5365 1,4384 1,3780 1,3550 1,3505 1,3426 1,3199 1,2917 1,2832 1,3165 1,3935 1,4946 1,5872 1,6388 1,6324 1,5720 1,4759 1,3649 1,2547 1,1508 1,0453
F3    1,7288 1,4950 1,1590 0,7668 0,3674 0,0034 -0,2889 -0,4850 -0,5774 -0,5764 -0,5137 -0,4445 -0,4295 -0,5016 -0,6427 -0,7909 -0,8735 -0,8465 -0,7104 -0,4974 -0,2536 -0,0265 0,1436 0,2307 0,2278 0,1484 0,0265 -0,0994 -0,2054 -0,2810 -0,3113 -0,2750 -0,1608 0,0172 0,2229 0,4155 0,5632 0,6475 0,6623 0,6126 0,5124 0,3813 0,2378 0,0944 -0,0381 -0,1445 -0,2055 -0,2104 -0,1690 -0,1054 -0,0341 0,0586 0,2103 0,4542 0,7894 1,1704 1,5251 1,7871 1,9204 1,9275 1,8422 1,7195 1,6214 1,5938 1,6437 1,7353 1,8056 1,7954 1,6855 1,5102 1,3345 1,2181 1,1908 1,2481 1,3655 1,5165 1,6762 1,8161 1,9092 1,9457 1,9364 1,9053 1,8762 1,8615 1,8563 1,8424 1,7928 1,6757 1,4640 1,1475 0,7341 0,2438 -0,2902 -0,8200 -1,2915 -1,6592 -1,8933 -1,9831 -1,9409 -1,7957 -1,5775 -1,3099 -1,0127 -0,7019 -0,3882 -0,0787 0,2190 0,4891 0,7012 0,8186 0,8193 0,7087 0,5174 0,2914 0,0849 -0,0463 -0,0598 0,0564 0,2828 0,5853 0,9309 1,2969 1,6713 2,0462 2,4156 2,7838 3,1654 3,5705 3,9906 4,3949 4,7332 4,9469 4,9898 4,8518 4,5790 4,2746 4,0621 4,0284 4,1943 4,5203 4,9202 5,2788 5,4868 5,4753 5,2326 4,8039 4,2752 3,7482 3,3153 3,0394 2,9446 3,0226 3,2431 3,5590 3,9139 4,2578 4,5591 4,7976 4,9467 4,9699 4,8471 4,6028 4,2932 3,9730 3,6802 3,4378 3,2505 3,1021 2,9603 2,7933 2,5887 2,3638 2,1636 2,0463 2,0606 2,2186 2,4759 2,7436 2,9311 2,9788 2,8627 2,5892 2,1961 1,7454 1,3053 0,9322 0,6539 0,4563 0,2948 0,1310 -0,0353 -0,1666 -0,2193 -0,1786 -0,0569 0,1282 0,3569 0,5926 0,7854 0,9005 0,9364 0,9138 0,8529 0,7708 0,6880 0,6212 0,5665 0,5053 0,4290 0,3528 0,2994 0,2736 0,2601 0,2397 0,2037 0,1604 0,1322 0,1395 0,1844 0,2527 0,3321 0,4243 0,5323 0,6392 0,7108 0,7172 0,6518 0,5418 0,4437 0,4171 0,4890 0,6410 0,8273 1,0012 1,1239 1,1629 1,0957 0,9245 0,6905 0,4662 0,3238 0,2997 0,3830 0,5304 0,6903 0,8188 0,8868 0,8876 0,8433 0,7968 0,7876 0,8356 0,9480 1,1282 1,3670 1,6342 1,8898 2,1009 2,2429 2,2960 2,2536 2,1334 1,9734 1,8202 1,7164 1,6926 1,7639 1,9296 2,1665 2,4213 2,6276 2,7407 2,7554 2,6895 2,5618 2,3795 2,1358 1,8218 1,4452 1,0368 0,6430 0,3142 0,0882 -0,0260 -0,0434 0,0173 0,1407 0,3071 0,4891 0,6560 0,7830 0,8619 0,9013 0,9175 0,9267 0,9456 0,9879 1,0568 1,1444 1,2391 1,3295 1,4078 1,4740 1,5341 1,5909 1,6369 1,6606 1,6626 1,6591 1,6646 1,6812 1,7046 1,7339 1,7705 1,8039 1,8037 1,7409 1,6178 1,4697 1,3358 1,2361 1,1712 1,1338 1,1089 1,0676 0,9711 0,7811 0,4745 0,0590 -0,4159 -0,8750 -1,2542 -1,5235 -1,6823 -1,7430 -1,7198 -1,6260 -1,4782 -1,2928 -1,0803 -0,8479 -0,6130 -0,4110 -0,2817 -0,2446 -0,2856 -0,3641 -0,4310 -0,4398 -0,3595 -0,1960 -0,0057 0,1255 0,1281 -0,0116 -0,2451 -0,4926 -0,6864 -0,7922 -0,8085 -0,7631 -0,7063 -0,6886 -0,7315 -0,8167 -0,8986 -0,9332 -0,8982 -0,7903 -0,6151 -0,3901 -0,1486 0,0715 0,2388 0,3354 0,3637 0,3519 0,3457 0,3905 0,5158 0,7233 0,9808 1,2350 1,4464 1,6082 1,7263 1,7876 1,7569 1,6110 1,3724 1,1051 0,8804 0,7441 0,7020 0,7280 0,7878 0,8606 0,9387 1,0173 1,0904 1,1564 1,2254 1,3193 1,4565 1,6368 1,8448 2,0649 2,2823 2,4662 2,5695 2,5569 2,4329 2,2383 2,0283 1,8538 1,7534 1,7484 1,8363 1,9909 2,1758 2,3600 2,5242 2,6583 2,7528 2,7895 2,7472 2,6183 2,4167 2,1732 1,9264 1,7105 1,5443 1,4285 1,3465 1,2718 1,1848 1,0863 0,9911 0,9124 0,8555 0,8267 0,8360 0,8872 0,9710 1,0746 1,1885 1,3012 1,3945 1,4453 1,4321 1,3428 1,1793 0,9555 0,7006 0,4639 0,2985 0,2286 0,2343 0,2755 0,3302 0,4098 0,5480 0,7743 1,0865 1,4398 1,7624 1,9907 2,0998 2,1084 2,0639 2,0144 1,9869 1,9859 2,0039 2,0321 2,0628 2,0834 2,0692 1,9910 1,8361 1,6211 1,3801 1,1406 0,9119 0,6945 0,4969 0,3374 0,2265 0,1517 0,0750 -0,0570 -0,2904 -0,6340 -1,0412 -1,4230 -1,6925 -1,8090 -1,7877 -1,6792 -1,5460 -1,4449 -1,4093 -1,4321 -1,4670 -1,4584 -1,3775 -1,2335 -1,0555 -0,8719 -0,7065 -0,5799 -0,5076 -0,4930 -0,5165 -0,5329 -0,4862 -0,3380 -0,0850 0,2476 0,6226 1,0026 1,3626 1,7013 2,0340 2,3694 2,6909 2,9512 3,0886 3,0589 2,8642 2,5589 2,2250 1,9315 1,7126 1,5736 1,5103 1,5151 1,5672 1,6293 1,6621 1,6419 1,5708 1,4715 1,3708 1,2841 1,2086 1,1264 1,0126 0,8548 0,6683 0,4869 0,3363 0,2202 0,1269 0,0407 -0,0505 -0,1524 -0,2640 -0,3765 -0,4693 -0,5179 -0,5070 -0,4312 -0,2928 -0,1100 0,0776 0,2234 0,2917 0,2693 0,1771 0,0691 0,0053 0,0143 0,0838 0,1849 0,2907 0,3737 0,4066 0,3875 0,3570 0,3716 0,4555 0,5827 0,7006 0,7636 0,7580 0,7090 0,6628 0,6539 0,6880 0,7466 0,7978 0,8071 0,7554 0,6475 0,4982 0,3166 0,1061 -0,1270 -0,3740
F7    0,4107 0,1976 -0,0052 -0,1890 -0,3429 -0,4584 -0,5330 -0,5729 -0,5844 -0,5661 -0,5196 -0,4667 -0,4471 -0,4907 -0,5907 -0,7010 -0,7567 -0,7039 -0,5219 -0,2305 0,1131 0,4243 0,6178 0,6503 0,5388 0,3414 0,1266 -0,0499 -0,1588 -0,1893 -0,1319 0,0181 0,2381 0,4720 0,6607 0,7767 0,8259 0,8289 0,8056 0,7638 0,6951 0,5860 0,4328 0,2457 0,0418 -0,1587 -0,3257 -0,4191 -0,4083 -0,2895 -0,0848 0,1759 0,4739 0,7975 1,1172 1,3783 1,5275 1,5413 1,4323 1,2385 1,0085 0,7895 0,6176 0,5078 0,4526 0,4303 0,4096 0,3599 0,2757 0,1877 0,1420 0,1666 0,2601 0,4007 0,5615 0,7203 0,8597 0,9588 0,9956 0,9626 0,8779 0,7753 0,6813 0,6027 0,5350 0,4752 0,4252 0,3843 0,3436 0,2867 0,1971 0,0679 -0,0947 -0,2744 -0,4487 -0,5901 -0,6728 -0,6882 -0,6511 -0,5809 -0,4822 -0,3523 -0,1960 -0,0188 0,1930 0,4744 0,8602 1,3558 1,9200 2,4776 2,9539 3,2997 3,4876 3,5016 3,3519 3,0969 2,8287 2,6301 2,5494 2,6037 2,7880 3,0818 3,4507 3,8444 4,2040 4,4899 4,6960 4,8350 4,9249 4,9827 5,0086 4,9684 4,7985 4,4435 3,9043 3,2614 2,6474 2,1918 1,9800 2,0286 2,2725 2,5863 2,8427 2,9577 2,9032 2,7014 2,4135 2,1207 1,9022 1,8135 1,8730 2,0672 2,3629 2,7170 3,0904 3,4567 3,7957 4,0771 4,2548 4,2800 4,1284 3,8227 3,4270 3,0210 2,6802 2,4646 2,4034 2,4782 2,6256 2,7609 2,8139 2,7603 2,6352 2,5109 2,4514 2,4711 2,5236 2,5290 2,4285 2,2197 1,9410 1,6371 1,3546 1,1473 1,0626 1,1153 1,2724 1,4638 1,6187 1,6990 1,7108 1,6960 1,7078 1,7816 1,9237 2,1179 2,3319 2,5207 2,6404 2,6681 2,6086 2,4782 2,2889 2,0565 1,8133 1,5957 1,4213 1,2902 1,2065 1,1897 1,2625 1,4194 1,6123 1,7701 1,8308 1,7657 1,5879 1,3427 1,0853 0,8592 0,6884 0,5826 0,5362 0,5185 0,4759 0,3593 0,1648 -0,0496 -0,1934 -0,2014 -0,0771 0,1124 0,2834 0,3799 0,3836 0,2943 0,1106 -0,1642 -0,4949 -0,8068 -1,0179 -1,0783 -0,9841 -0,7683 -0,4924 -0,2361 -0,0716 -0,0340 -0,1059 -0,2244 -0,3111 -0,3106 -0,2105 -0,0327 0,1829 0,3920 0,5648 0,6990 0,8058 0,8887 0,9446 0,9758 0,9909 0,9958 0,9871 0,9586 0,9166 0,8881 0,9017 0,9643 1,0668 1,2031 1,3679 1,5406 1,6830 1,7451 1,6765 1,4482 1,0754 0,6197 0,1659 -0,2125 -0,4789 -0,6367 -0,7110 -0,7227 -0,6789 -0,5781 -0,4170 -0,1989 0,0543 0,2981 0,4815 0,5756 0,5901 0,5662 0,5512 0,5762 0,6453 0,7395 0,8293 0,8875 0,8931 0,8355 0,7228 0,5789 0,4367 0,3336 0,2977 0,3263 0,3915 0,4749 0,5894 0,7531 0,9432 1,0856 1,1017 0,9636 0,7085 0,4092 0,1286 -0,1026 -0,2808 -0,4221 -0,5621 -0,7396 -0,9714 -1,2550 -1,5816 -1,9287 -2,2521 -2,5073 -2,6795 -2,7879 -2,8579 -2,8904 -2,8619 -2,7555 -2,5851 -2,3925 -2,2265 -2,1266 -2,1196 -2,2141 -2,3893 -2,6002 -2,8011 -2,9599 -3,0522 -3,0571 -2,9707 -2,8193 -2,6558 -2,5391 -2,5056 -2,5498 -2,6308 -2,6994 -2,7166 -2,6598 -2,5352 -2,3855 -2,2614 -2,1817 -2,1235 -2,0428 -1,9061 -1,7127 -1,4945 -1,3026 -1,1911 -1,1935 -1,3070 -1,5069 -1,7729 -2,0924 -2,4389 -2,7610 -2,9947 -3,0894 -3,0301 -2,8439 -2,5845 -2,3059 -2,0500 -1,8499 -1,7373 -1,7390 -1,8576 -2,0527 -2,2571 -2,4163 -2,5067 -2,5251 -2,4786 -2,3798 -2,2454 -2,1022 -1,9892 -1,9400 -1,9528 -1,9755 -1,9243 -1,7329 -1,4003 -0,9890 -0,5771 -0,2198 0,0443 0,1780 0,1602 0,0088 -0,2291 -0,5082 -0,7978 -1,0704 -1,2879 -1,4093 -1,4111 -1,2970 -1,0927 -0,8365 -0,5704 -0,3355 -0,1737 -0,1241 -0,2094 -0,4178 -0,6934 -0,9515 -1,1192 -1,1728 -1,1446 -1,0983 -1,0922 -1,1464 -1,2393 -1,3326 -1,3966 -1,4139 -1,3697 -1,2564 -1,0922 -0,9251 -0,8092 -0,7764 -0,8317 -0,9613 -1,1348 -1,3084 -1,4403 -1,5110 -1,5291 -1,5171 -1,4993 -1,5013 -1,5434 -1,6302 -1,7413 -1,8335 -1,8554 -1,7661 -1,5508 -1,2337 -0,8829 -0,5922 -0,4450 -0,4748 -0,6509 -0,9005 -1,1467 -1,3367 -1,4521 -1,5080 -1,5417 -1,5871 -1,6522 -1,7212 -1,7739 -1,8055 -1,8282 -1,8610 -1,9195 -2,0122 -2,1370 -2,2766 -2,3994 -2,4786 -2,5097 -2,5165 -2,5439 -2,6376 -2,8185 -3,0637 -3,3117 -3,4878 -3,5328 -3,4190 -3,1654 -2,8450 -2,5619 -2,4042 -2,4059 -2,5374 -2,7275 -2,9015 -3,0062 -3,0145 -2,9228 -2,7467 -2,5113 -2,2470 -1,9925 -1,7951 -1,6931 -1,6953 -1,7753 -1,8792 -1,9334 -1,8593 -1,5998 -1,1420 -0,5192 0,1956 0,8999 1,4850 1,8651 1,9974 1,8855 1,5777 1,1605 0,7291 0,3433 0,0118 -0,2800 -0,5305 -0,7159 -0,8136 -0,8187 -0,7395 -0,5857 -0,3659 -0,1005 0,1622 0,3522 0,4040 0,2788 -0,0238 -0,4601 -0,9468 -1,3921 -1,7383 -1,9782 -2,1359 -2,2412 -2,3204 -2,3933 -2,4666 -2,5241 -2,5339 -2,4757 -2,3557 -2,1924 -1,9981 -1,7811 -1,5577 -1,3547 -1,2064 -1,1450 -1,1827 -1,3011 -1,4658 -1,6503 -1,8394 -2,0157 -2,1547 -2,2409 -2,2778 -2,2746 -2,2255 -2,1189 -1,9685 -1,8199 -1,7256 -1,7186 -1,7985 -1,9241 -2,0271 -2,0489 -1,9705 -1,8124 -1,6267 -1,4837 -1,4412 -1,5191 -1,7051 -1,9733 -2,2869 -2,5914 -2,8215
