Fp1   -0,0552 0,0918 0,2145 0,2893 0,2924 0,2005 -0,0070 -0,3338 -0,7559 -1,2237 -1,6691 -2,0239 -2,2502 -2,3490 -2,3350 -2,2124 -1,9754 -1,6219 -1,1599 -0,6138 -0,0380 0,4854 0,8788 1,1088 1,2013 1,2096 1,1680 1,0784 0,9327 0,7370 0,5128 0,2804 0,0499 -0,1700 -0,3613 -0,4930 -0,5341 -0,4782 -0,3544 -0,2118 -0,0914 -0,0015 0,0935 0,2591 0,5593 1,0240 1,6328 2,3256 3,0276 3,6662 4,1752 4,4920 4,5664 4,3851 3,9934 3,4867 2,9763 2,5588 2,2997 2,2250 2,3168 2,5122 2,7210 2,8604 2,8834 2,7855 2,5981 2,3745 2,1680 2,0151 1,9281 1,8931 1,8800 1,8639 1,8372 1,8030 1,7629 1,7126 1,6485 1,5720 1,4872 1,3966 1,2982 1,1863 1,0588 0,9200 0,7660 0,5728 0,3139 -0,0081 -0,3519 -0,6552 -0,8627 -0,9437 -0,8954 -0,7393 -0,5085 -0,2282 0,0959 0,4612 0,8355 1,1543 1,3528 1,3891 1,2394 0,8977 0,3878 -0,2356 -0,9002 -1,5299 -2,0637 -2,4740 -2,7690 -2,9741 -3,1122 -3,1965 -3,2295 -3,2057 -3,1235 -2,9979 -2,8599 -2,7473 -2,6934 -2,7195 -2,8376 -3,0511 -3,3471 -3,6814 -3,9708 -4,1193 -4,0663 -3,8062 -3,3715 -2,8068 -2,1529 -1,4422 -0,7059 0,0164 0,6798 1,2483 1,7008 2,0259 2,2211 2,3030 2,3085 2,2803 2,2521 2,2427 2,2525 2,2617 2,2414 2,1720 2,0590 1,9316 1,8245 1,7546 1,7073 1,6400 1,5088 1,3003 1,0308 0,7146 0,3404 -0,1130 -0,6438 -1,2089 -1,7334 -2,1420 -2,3872 -2,4526 -2,3459 -2,0964 -1,7506 -1,3645 -0,9938 -0,6814 -0,4476 -0,2875 -0,1799 -0,1074 -0,0711 -0,0802 -0,1334 -0,2157 -0,3089 -0,3938 -0,4420 -0,4089 -0,2505 0,0434 0,4295 0,8260 1,1567 1,3944 1,5679 1,7249 1,8887 2,0490 2,1817 2,2618 2,2573 2,1213 1,8160 1,3560 0,8177 0,2991 -0,1284 -0,4372 -0,6326 -0,7372 -0,7797 -0,7874 -0,7815 -0,7708 -0,7478 -0,6922 -0,5907 -0,4577 -0,3342 -0,2621 -0,2574 -0,3044 -0,3748 -0,4498 -0,5255 -0,6047 -0,6970 -0,8238 -1,0130 -1,2810 -1,6215 -2,0080 -2,4029 -2,7660 -3,0595 -3,2436 -3,2795 -3,1545 -2,9039 -2,6006 -2,3269 -2,1529 -2,1135 -2,1849 -2,2976 -2,3852 -2,4169 -2,3926 -2,3325 -2,2769 -2,2709 -2,3341 -2,4506 -2,5924 -2,7402 -2,8818 -3,0005 -3,0717 -3,0725 -2,9956 -2,8524 -2,6651 -2,4586 -2,2619 -2,1096 -2,0333 -2,0529 -2,1770 -2,4051 -2,7202 -3,0785 -3,4152 -3,6634 -3,7768 -3,7448 -3,5932 -3,3697 -3,1211 -2,8764 -2,6505 -2,4584 -2,3112 -2,2063 -2,1300 -2,0616 -1,9684 -1,8113 -1,5712 -1,2692 -0,9545 -0,6761 -0,4611 -0,3029 -0,1691 -0,0297 0,1160 0,2376 0,2959 0,2569 0,0974 -0,1780 -0,5218 -0,8494 -1,0665 -1,1105 -0,9812 -0,7348 -0,4466 -0,1763 0,0429 0,1986 0,2953 0,3461 0,3605 0,3471 0,3251 0,3219 0,3584 0,4436 0,5696 0,7015 0,7792 0,7472 0,5913 0,3484 0,0803 -0,1644 -0,3700 -0,5485 -0,7168 -0,8746 -1,0004 -1,0634 -1,0456 -0,9640 -0,8706 -0,8198 -0,8351 -0,9091 -1,0218 -1,1500 -1,2715 -1,3647 -1,3992 -1,3375 -1,1611 -0,8967 -0,6133 -0,3856 -0,2573 -0,2372 -0,3140 -0,4654 -0,6626 -0,8804 -1,1026 -1,3143 -1,4981 -1,6477 -1,7843 -1,9504 -2,1743 -2,4391 -2,6863 -2,8454 -2,8563 -2,6873 -2,3589 -1,9481 -1,5611 -1,2927 -1,1904 -1,2373 -1,3718 -1,5266 -1,6540 -1,7297 -1,7503 -1,7261 -1,6656 -1,5676 -1,4278 -1,2472 -1,0442 -0,8628 -0,7528 -0,7284 -0,7428 -0,7137 -0,5773 -0,3300 -0,0339 0,2186 0,3496 0,3154 0,1111 -0,2303 -0,6618 -1,1524 -1,6933 -2,2822 -2,9061 -3,5345 -4,1290 -4,6527 -5,0683 -5,3401 -5,4467 -5,3889 -5,1952 -4,9210 -4,6231 -4,3311 -4,0444 -3,7525 -3,4585 -3,1915 -2,9989 -2,9251 -2,9904 -3,1765 -3,4256 -3,6578 -3,7979 -3,7947 -3,6361 -3,3642 -3,0684 -2,8430 -2,7422 -2,7651 -2,8683 -2,9858 -3,0498 -3,0033 -2,8071 -2,4541 -1,9846 -1,4784 -1,0304 -0,7287 -0,6387 -0,7842 -1,1332 -1,6127 -2,1439 -2,6678 -3,1487 -3,5647 -3,8963 -4,1176 -4,2035 -4,1512 -3,9935 -3,7953 -3,6366 -3,5812 -3,6403 -3,7740 -3,9325 -4,0892 -4,2409 -4,3866 -4,5043 -4,5528 -4,4993 -4,3413 -4,1032 -3,8183 -3,5153 -3,2190 -2,9551 -2,7438 -2,5853 -2,4618 -2,3560 -2,2685 -2,2223 -2,2490 -2,3602 -2,5329 -2,7162 -2,8494 -2,8929 -2,8498 -2,7563 -2,6563 -2,5886 -2,5802 -2,6335 -2,7262 -2,8351 -2,9589 -3,1172 -3,3356 -3,6259 -3,9601 -4,2621 -4,4457 -4,4677 -4,3445 -4,1373 -3,9328 -3,8125 -3,8107 -3,8986 -4,0144 -4,1096 -4,1633 -4,1604 -4,0775 -3,9009 -3,6489 -3,3695 -3,1165 -2,9217 -2,7859 -2,6912 -2,6207 -2,5631 -2,5061 -2,4362 -2,3456 -2,2323 -2,0991 -1,9544 -1,8115 -1,6815 -1,5702 -1,4820 -1,4271 -1,4227 -1,4848 -1,6189 -1,8195 -2,0775 -2,3904 -2,7553 -3,1486 -3,5154 -3,7884 -3,9211 -3,9083 -3,7820 -3,5891 -3,3701 -3,1558 -2,9690 -2,8205 -2,7085 -2,6282 -2,5881 -2,6201 -2,7702 -3,0671 -3,4904 -3,9705 -4,4229 -4,7862 -5,0351 -5,1683 -5,1836 -5,0628 -4,7833 -4,3460 -3,7879 -3,1732 -2,5747 -2,0607 -1,6849 -1,4716 -1,4058 -1,4448 -1,5371 -1,6379 -1,7240 -1,8035 -1,8992 -2,0249 -2,1802 -2,3603 -2,5612 -2,7796 -3,0133 -3,2596 -3,5053 -3,7193 -3,8674 -3,9339 -3,9253 -3,8617 -3,7668 -3,6655 -3,5883 -3,5620 -3,5911 -3,6547 -3,7224 -3,7775 -3,8370
Fz    0,4669 0,2422 -0,0182 -0,2803 -0,5200 -0,7297 -0,9183 -1,0968 -1,2619 -1,3888 -1,4327 -1,3448 -1,1029 -0,7319 -0,2950 0,1324 0,4842 0,7147 0,8114 0,7973 0,7074 0,5560 0,3343 0,0412 -0,2895 -0,5962 -0,8217 -0,9380 -0,9516 -0,8980 -0,8292 -0,7972 -0,8293 -0,9103 -0,9883 -0,9988 -0,8939 -0,6657 -0,3512 -0,0126 0,2935 0,5415 0,7469 0,9590 1,2383 1,6283 2,1370 2,7341 3,3628 3,9632 4,4891 4,9033 5,1674 5,2486 5,1418 4,8838 4,5433 4,1952 3,8960 3,6713 3,5167 3,4096 3,3283 3,2694 3,2452 3,2688 3,3450 3,4684 3,6229 3,7857 3,9337 4,0454 4,1055 4,1121 4,0724 3,9899 3,8622 3,6886 3,4760 3,2375 2,9902 2,7550 2,5522 2,3910 2,2635 2,1427 1,9832 1,7278 1,3383 0,8322 0,2908 -0,1752 -0,4718 -0,5488 -0,4069 -0,0935 0,3117 0,7232 1,0786 1,3546 1,5627 1,7328 1,8951 2,0598 2,2012 2,2677 2,2110 2,0022 1,6273 1,0855 0,3986 -0,3840 -1,1883 -1,9206 -2,4805 -2,7889 -2,8161 -2,5927 -2,1992 -1,7426 -1,3229 -1,0037 -0,7971 -0,6733 -0,5873 -0,5031 -0,4028 -0,2793 -0,1189 0,1016 0,3973 0,7630 1,1791 1,6220 2,0733 2,5233 2,9636 3,3786 3,7494 4,0661 4,3273 4,5326 4,6847 4,7953 4,8829 4,9674 5,0635 5,1690 5,2575 5,2809 5,1810 4,9123 4,4675 3,8885 3,2559 2,6588 2,1609 1,7802 1,4998 1,3018 1,1904 1,1835 1,2944 1,5244 1,8594 2,2637 2,6762 3,0213 3,2375 3,3043 3,2449 3,1087 2,9483 2,8018 2,6828 2,5845 2,4893 2,3744 2,2187 2,0153 1,7817 1,5598 1,3993 1,3307 1,3500 1,4260 1,5219 1,6181 1,7205 1,8507 2,0282 2,2570 2,5237 2,8058 3,0817 3,3294 3,5186 3,6156 3,5991 3,4661 3,2206 2,8628 2,4041 1,8922 1,4076 1,0266 0,7875 0,6849 0,6850 0,7419 0,8124 0,8708 0,9130 0,9515 1,0066 1,0949 1,2167 1,3547 1,4863 1,5978 1,6911 1,7777 1,8668 1,9534 2,0214 2,0562 2,0465 1,9695 1,7852 1,4590 0,9875 0,4065 -0,2162 -0,7983 -1,2592 -1,5309 -1,5711 -1,3844 -1,0328 -0,6190 -0,2536 -0,0256 0,0214 -0,0954 -0,3111 -0,5549 -0,7847 -0,9925 -1,1938 -1,4141 -1,6715 -1,9626 -2,2651 -2,5493 -2,7872 -2,9553 -3,0334 -3,0060 -2,8696 -2,6414 -2,3605 -2,0764 -1,8284 -1,6360 -1,5036 -1,4246 -1,3901 -1,4028 -1,4839 -1,6586 -1,9350 -2,2934 -2,6857 -3,0437 -3,3053 -3,4424 -3,4631 -3,3871 -3,2229 -2,9733 -2,6571 -2,3150 -1,9925 -1,7170 -1,4864 -1,2737 -1,0469 -0,7940 -0,5361 -0,3158 -0,1778 -0,1501 -0,2242 -0,3488 -0,4557 -0,4978 -0,4635 -0,3670 -0,2377 -0,1062 0,0156 0,1414 0,2984 0,5064 0,7567 1,0067 1,1978 1,2859 1,2612 1,1518 1,0090 0,8870 0,8254 0,8423 0,9369 1,1006 1,3242 1,5981 1,9078 2,2233 2,4933 2,6600 2,6928 2,6085 2,4608 2,3073 2,1829 2,0943 2,0313 1,9842 1,9587 1,9799 2,0826 2,2920 2,6009 2,9602 3,2958 3,5381 3,6406 3,5881 3,4013 3,1261 2,8184 2,5396 2,3481 2,2713 2,2848 2,3272 2,3377 2,2826 2,1549 1,9664 1,7475 1,5472 1,4162 1,3834 1,4456 1,5750 1,7282 1,8508 1,8894 1,8166 1,6482 1,4329 1,2251 1,0684 0,9877 0,9810 1,0199 1,0632 1,0746 1,0412 0,9872 0,9689 1,0476 1,2635 1,6212 2,0909 2,6256 3,1834 3,7310 4,2329 4,6432 4,9084 4,9816 4,8503 4,5630 4,2257 3,9573 3,8315 3,8443 3,9261 3,9901 3,9782 3,8751 3,7029 3,5080 3,3355 3,2042 3,0983 2,9784 2,7993 2,5274 2,1468 1,6618 1,1047 0,5354 0,0278 -0,3515 -0,5683 -0,6353 -0,5905 -0,4616 -0,2514 0,0535 0,4635 0,9618 1,4919 1,9685 2,3018 2,4278 2,3328 2,0613 1,6992 1,3411 1,0539 0,8530 0,7094 0,5863 0,4754 0,4015 0,4051 0,5226 0,7750 1,1643 1,6740 2,2627 2,8588 3,3737 3,7263 3,8649 3,7773 3,4968 3,0970 2,6634 2,2558 1,8949 1,5772 1,2975 1,0669 0,9149 0,8754 0,9685 1,1907 1,5079 1,8562 2,1612 2,3680 2,4557 2,4305 2,3172 2,1539 1,9881 1,8743 1,8610 1,9710 2,1961 2,5057 2,8582 3,2068 3,4986 3,6726 3,6752 3,4945 3,1797 2,8220 2,5059 2,2656 2,0803 1,9108 1,7397 1,5836 1,4786 1,4482 1,4784 1,5282 1,5553 1,5267 1,4197 1,2275 0,9595 0,6302 0,2478 -0,1831 -0,6511 -1,1232 -1,5349 -1,8002 -1,8505 -1,6704 -1,2998 -0,8128 -0,2995 0,1575 0,5159 0,7946 1,0536 1,3429 1,6661 1,9867 2,2570 2,4397 2,5172 2,4997 2,4294 2,3728 2,3949 2,5263 2,7492 3,0194 3,3010 3,5814 3,8631 4,1488 4,4325 4,6937 4,9020 5,0257 5,0378 4,9189 4,6645 4,2893 3,8245 3,3132 2,8091 2,3675 2,0242 1,7830 1,6279 1,5452 1,5337 1,6008 1,7557 2,0034 2,3360 2,7234 3,1029 3,3826 3,4701 3,3059 2,8828 2,2463 1,4844 0,7042 0,0030 -0,5469 -0,9032 -1,0576 -1,0332 -0,8669 -0,5883 -0,2132 0,2526 0,8009 1,4051 2,0152 2,5678 2,9971 3,2441 3,2728 3,0889 2,7402 2,2964 1,8269 1,3912 1,0349 0,7869 0,6597 0,6538 0,7557 0,9337 1,1413 1,3289 1,4540 1,4870 1,4191 1,2632 1,0401 0,7650 0,4479 0,1033 -0,2398 -0,5340 -0,7278 -0,7833 -0,6867 -0,4530 -0,1306 0,2037 0,4580
F3    0,8421 0,5748 0,2448 -0,1217 -0,4922 -0,8399 -1,1467 -1,4012 -1,5947 -1,7141 -1,7353 -1,6336 -1,4049 -1,0764 -0,7009 -0,3415 -0,0558 0,1203 0,1890 0,1912 0,1803 0,1824 0,1843 0,1603 0,1055 0,0352 -0,0379 -0,1150 -0,2053 -0,3137 -0,4370 -0,5703 -0,7069 -0,8296 -0,9075 -0,9106 -0,8303 -0,6875 -0,5167 -0,3402 -0,1512 0,0851 0,4180 0,8835 1,4756 2,1382 2,7847 3,3323 3,7293 3,9617 4,0461 4,0147 3,8972 3,7104 3,4632 3,1679 2,8467 2,5305 2,2564 2,0572 1,9484 1,9235 1,9646 2,0584 2,2017 2,3926 2,6216 2,8657 3,0879 3,2459 3,3088 3,2679 3,1419 2,9722 2,8037 2,6624 2,5499 2,4523 2,3517 2,2350 2,1016 1,9624 1,8280 1,7015 1,5820 1,4652 1,3374 1,1731 0,9444 0,6400 0,2809 -0,0836 -0,4009 -0,6359 -0,7697 -0,7932 -0,7128 -0,5563 -0,3657 -0,1787 -0,0116 0,1489 0,3365 0,5733 0,8386 1,0725 1,2073 1,1953 1,0130 0,6528 0,1167 -0,5804 -1,3978 -2,2552 -3,0386 -3,6349 -3,9722 -4,0396 -3,8791 -3,5647 -3,1778 -2,7822 -2,4095 -2,0642 -1,7461 -1,4618 -1,2147 -0,9881 -0,7462 -0,4595 -0,1268 0,2280 0,5728 0,8772 1,1207 1,3033 1,4463 1,5771 1,7173 1,8854 2,0986 2,3646 2,6767 3,0194 3,3761 3,7294 4,0598 4,3429 4,5460 4,6269 4,5393 4,2515 3,7708 3,1537 2,4931 1,8852 1,3943 1,0390 0,8068 0,6829 0,6728 0,7996 1,0810 1,5063 2,0276 2,5647 3,0191 3,2961 3,3314 3,1109 2,6730 2,0998 1,5019 0,9933 0,6565 0,5217 0,5708 0,7542 1,0034 1,2462 1,4328 1,5585 1,6568 1,7559 1,8438 1,8758 1,8170 1,6782 1,5151 1,3952 1,3609 1,4121 1,5186 1,6497 1,7902 1,9329 2,0685 2,1894 2,2923 2,3708 2,4101 2,3938 2,3180 2,2094 2,1227 2,1086 2,1764 2,2864 2,3730 2,3800 2,2835 2,0957 1,8532 1,6018 1,3861 1,2377 1,1619 1,1349 1,1250 1,1161 1,1110 1,1196 1,1495 1,2005 1,2655 1,3338 1,3866 1,3860 1,2831 1,0479 0,6864 0,2277 -0,2892 -0,8124 -1,2757 -1,6119 -1,7731 -1,7470 -1,5650 -1,2948 -1,0197 -0,8127 -0,7120 -0,7074 -0,7504 -0,7876 -0,7891 -0,7618 -0,7468 -0,7984 -0,9469 -1,1732 -1,4193 -1,6263 -1,7639 -1,8333 -1,8571 -1,8626 -1,8685 -1,8795 -1,8918 -1,8980 -1,8914 -1,8712 -1,8434 -1,8145 -1,7882 -1,7724 -1,7864 -1,8508 -1,9700 -2,1229 -2,2655 -2,3507 -2,3566 -2,2972 -2,2088 -2,1248 -2,0556 -1,9924 -1,9277 -1,8652 -1,8085 -1,7461 -1,6494 -1,4874 -1,2499 -0,9608 -0,6703 -0,4336 -0,2994 -0,2992 -0,4264 -0,6231 -0,8042 -0,9013 -0,8877 -0,7701 -0,5758 -0,3444 -0,1155 0,0861 0,2558 0,3999 0,5239 0,6265 0,7001 0,7327 0,7177 0,6673 0,6171 0,6177 0,7181 0,9493 1,3086 1,7563 2,2301 2,6698 3,0318 3,2846 3,4019 3,3701 3,2028 2,9400 2,6328 2,3223 2,0252 1,7414 1,4758 1,2534 1,1149 1,1021 1,2478 1,5706 2,0654 2,6872 3,3480 3,9333 4,3338 4,4742 4,3287 3,9186 3,3114 2,6196 1,9707 1,4599 1,1274 0,9648 0,9380 1,0060 1,1303 1,2781 1,4248 1,5569 1,6742 1,7854 1,8972 2,0072 2,1057 2,1824 2,2287 2,2370 2,2017 2,1211 2,0024 1,8638 1,7229 1,5775 1,4040 1,1804 0,9106 0,6335 0,4101 0,2990 0,3415 0,5567 0,9327 1,4205 1,9523 2,4737 2,9570 3,3902 3,7650 4,0685 4,2797 4,3764 4,3574 4,2582 4,1390 4,0491 4,0024 3,9816 3,9531 3,8757 3,7071 3,4236 3,0389 2,5987 2,1561 1,7484 1,3884 1,0697 0,7765 0,4883 0,1888 -0,1173 -0,3967 -0,6032 -0,7041 -0,7001 -0,6226 -0,5071 -0,3658 -0,1853 0,0590 0,3893 0,8117 1,2990 1,7805 2,1568 2,3400 2,2897 2,0261 1,6152 1,1384 0,6624 0,2277 -0,1396 -0,4079 -0,5363 -0,4887 -0,2501 0,1691 0,7347 1,3896 2,0654 2,6975 3,2274 3,5950 3,7484 3,6747 3,4164 3,0516 2,6595 2,2920 1,9604 1,6435 1,3077 0,9301 0,5143 0,0988 -0,2546 -0,4858 -0,5556 -0,4581 -0,2294 0,0587 0,3308 0,5407 0,6781 0,7545 0,7904 0,8141 0,8623 0,9689 1,1450 1,3732 1,6217 1,8623 2,0751 2,2459 2,3598 2,4005 2,3624 2,2644 2,1464 2,0495 1,9920 1,9639 1,9454 1,9173 1,8596 1,7564 1,6013 1,3991 1,1689 0,9405 0,7404 0,5810 0,4612 0,3675 0,2739 0,1492 -0,0260 -0,2498 -0,5025 -0,7499 -0,9452 -1,0406 -1,0091 -0,8543 -0,6073 -0,3205 -0,0466 0,1939 0,4260 0,6989 1,0426 1,4360 1,8117 2,0883 2,2028 2,1320 1,9076 1,6162 1,3706 1,2598 1,3103 1,4887 1,7367 2,0084 2,2811 2,5420 2,7793 2,9837 3,1486 3,2664 3,3278 3,3228 3,2401 3,0682 2,8006 2,4408 2,0091 1,5503 1,1248 0,7840 0,5520 0,4345 0,4369 0,5644 0,8103 1,1538 1,5666 2,0174 2,4719 2,8887 3,2170 3,4026 3,4016 3,1936 2,7900 2,2369 1,6024 0,9517 0,3321 -0,2230 -0,6820 -1,0124 -1,1883 -1,1954 -1,0265 -0,6794 -0,1645 0,4808 1,1862 1,8551 2,3844 2,6918 2,7420 2,5592 2,2159 1,7997 1,3847 1,0236 0,7521 0,5901 0,5406 0,5889 0,7048 0,8458 0,9693 1,0504 1,0856 1,0802 1,0399 0,9728 0,8843 0,7698 0,6187 0,4260 0,2036 -0,0160 -0,1951 -0,3153 -0,3850 -0,4261 -0,4551 -0,4767 -0,4941
F7    -0,2529 -0,0455 0,1460 0,2821 0,3108 0,1918 -0,0772 -0,4620 -0,9225 -1,4260 -1,9331 -2,3973 -2,7830 -3,0613 -3,1857 -3,0962 -2,7611 -2,2097 -1,5238 -0,8067 -0,1513 0,3830 0,7783 1,0524 1,2402 1,3674 1,4307 1,4075 1,2878 1,0945 0,8765 0,6852 0,5578 0,5104 0,5309 0,5827 0,6245 0,6270 0,5839 0,5111 0,4307 0,3597 0,3160 0,3305 0,4485 0,7093 1,1158 1,6186 2,1318 2,5718 2,8861 3,0539 3,0732 2,9513 2,7113 2,3981 2,0686 1,7720 1,5388 1,3877 1,3276 1,3486 1,4217 1,5163 1,6136 1,7040 1,7799 1,8310 1,8440 1,8109 1,7401 1,6571 1,5947 1,5795 1,6181 1,6914 1,7630 1,7962 1,7712 1,6891 1,5647 1,4199 1,2743 1,1342 0,9923 0,8326 0,6295 0,3551 0,0026 -0,4013 -0,8074 -1,1634 -1,4266 -1,5616 -1,5359 -1,3361 -0,9892 -0,5510 -0,0714 0,4124 0,8552 1,2008 1,4036 1,4399 1,2975 0,9736 0,4852 -0,1276 -0,8060 -1,4747 -2,0524 -2,4731 -2,7051 -2,7525 -2,6495 -2,4536 -2,2328 -2,0484 -1,9481 -1,9642 -2,1077 -2,3638 -2,6904 -3,0302 -3,3407 -3,6194 -3,8954 -4,1891 -4,4731 -4,6782 -4,7392 -4,6252 -4,3330 -3,8723 -3,2640 -2,5453 -1,7729 -1,0159 -0,3377 0,2226 0,6533 0,9620 1,1696 1,3064 1,4043 1,4906 1,5896 1,7191 1,8766 2,0315 2,1398 2,1705 2,1213 2,0151 1,8803 1,7272 1,5389 1,2892 0,9691 0,5985 0,2100 -0,1775 -0,5706 -0,9874 -1,4334 -1,8830 -2,2822 -2,5713 -2,7090 -2,6829 -2,5043 -2,1955 -1,7835 -1,3087 -0,8267 -0,3933 -0,0496 0,1871 0,3249 0,3910 0,4194 0,4464 0,5068 0,6237 0,8014 1,0353 1,3274 1,6892 2,1231 2,5991 3,0469 3,3765 3,5194 3,4678 3,2794 3,0388 2,8075 2,6047 2,4146 2,2006 1,9190 1,5321 1,0357 0,4901 0,0101 -0,2971 -0,3896 -0,3002 -0,1030 0,1291 0,3482 0,5320 0,6803 0,8084 0,9345 1,0715 1,2224 1,3713 1,4829 1,5207 1,4664 1,3271 1,1220 0,8629 0,5502 0,1867 -0,2202 -0,6714 -1,1703 -1,6960 -2,1963 -2,6136 -2,9120 -3,0845 -3,1448 -3,1092 -2,9864 -2,7895 -2,5496 -2,3140 -2,1266 -2,0090 -1,9521 -1,9218 -1,8785 -1,7973 -1,6727 -1,5105 -1,3290 -1,1675 -1,0798 -1,1084 -1,2622 -1,5099 -1,7862 -2,0190 -2,1631 -2,2120 -2,1866 -2,1157 -2,0184 -1,8917 -1,7123 -1,4543 -1,1156 -0,7330 -0,3732 -0,1059 0,0178 -0,0252 -0,2325 -0,5843 -1,0472 -1,5709 -2,0847 -2,5088 -2,7805 -2,8701 -2,7813 -2,5541 -2,2597 -1,9651 -1,7009 -1,4619 -1,2276 -0,9782 -0,7084 -0,4363 -0,1980 -0,0259 0,0723 0,1150 0,1294 0,1339 0,1321 0,1139 0,0613 -0,0362 -0,1730 -0,3306 -0,4784 -0,5695 -0,5464 -0,3651 -0,0245 0,4253 0,9038 1,3332 1,6595 1,8569 1,9196 1,8570 1,6939 1,4714 1,2461 1,0802 1,0214 1,0856 1,2558 1,4878 1,7214 1,8968 1,9750 1,9444 1,8114 1,5904 1,3036 0,9805 0,6499 0,3285 0,0237 -0,2515 -0,4678 -0,5921 -0,6128 -0,5535 -0,4584 -0,3626 -0,2759 -0,1911 -0,0962 0,0159 0,1464 0,2997 0,4814 0,6843 0,8783 1,0183 1,0701 1,0368 0,9558 0,8705 0,8086 0,7738 0,7436 0,6787 0,5491 0,3503 0,0897 -0,2362 -0,6380 -1,1035 -1,5794 -1,9926 -2,2829 -2,4161 -2,3861 -2,2238 -1,9961 -1,7823 -1,6443 -1,6056 -1,6457 -1,7108 -1,7360 -1,6757 -1,5249 -1,3143 -1,0893 -0,8863 -0,7183 -0,5766 -0,4440 -0,3088 -0,1732 -0,0447 0,0837 0,2388 0,4422 0,6774 0,8852 0,9966 0,9769 0,8428 0,6391 0,4049 0,1553 -0,1229 -0,4578 -0,8693 -1,3531 -1,8785 -2,3954 -2,8538 -3,2233 -3,4949 -3,6710 -3,7543 -3,7429 -3,6435 -3,4866 -3,3130 -3,1399 -2,9453 -2,6913 -2,3659 -2,0075 -1,6903 -1,4893 -1,4512 -1,5787 -1,8238 -2,1005 -2,3196 -2,4193 -2,3748 -2,2005 -1,9469 -1,6860 -1,4815 -1,3613 -1,3140 -1,3068 -1,2984 -1,2377 -1,0634 -0,7330 -0,2708 0,2201 0,6064 0,7918 0,7468 0,4975 0,1023 -0,3709 -0,8677 -1,3545 -1,8065 -2,2002 -2,5165 -2,7380 -2,8456 -2,8329 -2,7193 -2,5443 -2,3604 -2,2264 -2,1874 -2,2588 -2,4285 -2,6677 -2,9327 -3,1627 -3,2867 -3,2519 -3,0535 -2,7305 -2,3344 -1,9070 -1,4828 -1,0976 -0,7866 -0,5691 -0,4363 -0,3632 -0,3403 -0,3917 -0,5578 -0,8539 -1,2424 -1,6476 -1,9875 -2,1913 -2,2096 -2,0324 -1,7040 -1,3149 -0,9676 -0,7312 -0,6141 -0,5708 -0,5397 -0,4810 -0,3939 -0,3081 -0,2623 -0,2812 -0,3616 -0,4798 -0,6098 -0,7336 -0,8450 -0,9533 -1,0693 -1,1816 -1,2602 -1,2890 -1,2894 -1,3023 -1,3459 -1,3973 -1,4208 -1,4023 -1,3515 -1,2831 -1,2062 -1,1237 -1,0294 -0,9137 -0,7759 -0,6244 -0,4701 -0,3258 -0,2034 -0,1080 -0,0389 0,0070 0,0324 0,0390 0,0256 -0,0113 -0,0745 -0,1623 -0,2703 -0,3976 -0,5471 -0,7261 -0,9473 -1,2161 -1,5096 -1,7701 -1,9189 -1,8918 -1,6794 -1,3430 -0,9907 -0,7311 -0,6320 -0,7026 -0,8957 -1,1259 -1,3066 -1,3909 -1,3789 -1,2979 -1,1762 -1,0280 -0,8587 -0,6851 -0,5416 -0,4615 -0,4542 -0,4930 -0,5281 -0,5171 -0,4500 -0,3502 -0,2551 -0,1924 -0,1662 -0,1575 -0,1379 -0,0889 -0,0064 0,1076 0,2452 0,3874 0,5070 0,5795 0,5857 0,5101 0,3412 0,0723 -0,2972 -0,7608 -1,2940 -1,8485 -2,3646 -2,7851 -3,0621 -3,1695 -3,1149 -2,9390 -2,7093 -2,4967 -2,3453 -2,2645 -2,2419 -2,2587 -2,3017
