Fp1   0,7303 1,1821 1,7852 2,3604 2,6839 2,6091 2,1565 1,4872 0,7829 0,1504 -0,3891 -0,8631 -1,3127 -1,7420 -2,0533 -2,0479 -1,5492 -0,5631 0,6791 1,8249 2,5434 2,6320 2,0945 1,1559 0,1605 -0,5844 -0,9285 -0,9313 -0,8295 -0,9131 -1,3650 -2,1531 -3,0224 -3,6040 -3,6010 -2,9169 -1,6635 -0,1102 1,3922 2,5053 2,9936 2,8058 2,0894 1,0993 0,0866 -0,7639 -1,3545 -1,6555 -1,6669 -1,4060 -0,9234 -0,3235 0,2492 0,6798 0,9597 1,1893 1,5055 2,0172 2,7839 3,8075 5,0145 6,2510 7,2980 7,9286 8,0164 7,6103 6,8857 6,0302 5,1781 4,4180 3,7983 3,3035 2,8627 2,4115 1,9516 1,5607 1,3657 1,4997 2,0398 2,9469 4,0543 5,1120 5,8658 6,1332 5,8426 5,0454 3,9076 2,6642 1,5214 0,5701 -0,2074 -0,8686 -1,4785 -2,0918 -2,6922 -3,1552 -3,3155 -3,0856 -2,5165 -1,7637 -0,9958 -0,3302 0,1484 0,3496 0,2032 -0,2863 -1,0287 -1,8819 -2,7023 -3,3956 -3,9461 -4,4050 -4,8472 -5,3190 -5,7937 -6,1785 -6,3896 -6,4288 -6,3842 -6,3585 -6,3900 -6,4331 -6,3978 -6,1912 -5,7382 -4,9823 -3,8845 -2,4687 -0,8904 0,5700 1,6064 2,0172 1,8199 1,2671 0,7127 0,4435 0,5958 1,1346 1,8734 2,5704 3,0657 3,3310 3,3922 3,2421 2,8527 2,2664 1,6452 1,2007 1,0899 1,3733 2,0083 2,8525 3,7315 4,5284 5,1960 5,7105 6,0472 6,1968 6,1895 6,0880 5,9414 5,7620 5,5595 5,3866 5,3392 5,5000 5,8707 6,3608 6,8187 7,0707 6,9854 6,5446 5,8503 5,0592 4,3136 3,7124 3,3059 3,0938 3,0489 3,1457 3,3545 3,6305 3,9200 4,1519 4,2305 4,0546 3,5567 2,7509 1,7705 0,8431 0,1913 -0,0720 -0,0201 0,0673 -0,1765 -0,9835 -2,3121 -3,9089 -5,4837 -6,8311 -7,8217 -8,3774 -8,5287 -8,4331 -8,2410 -7,9579 -7,4782 -6,7551 -5,9244 -5,2292 -4,8113 -4,6130 -4,4902 -4,3846 -4,3722 -4,5705 -5,0089 -5,5809 -6,1114 -6,4605 -6,5818 -6,5177 -6,3665 -6,2277 -6,1347 -6,0304 -5,8056 -5,3691 -4,7074 -3,9024 -3,1132 -2,5358 -2,3295 -2,5393 -3,0912 -3,8496 -4,6642 -5,3997 -5,9761 -6,3960 -6,7260 -7,0379 -7,3596 -7,6827 -7,9934 -8,2671 -8,4650 -8,5471 -8,4663 -8,1686 -7,6421 -6,9624 -6,2656 -5,6725 -5,2248 -4,8655 -4,4589 -3,8512 -2,9721 -1,8972 -0,7968 0,1648 0,8895 1,3359 1,4739 1,2926 0,8664 0,3586 -0,0580 -0,2710 -0,2643 -0,1074 0,1185 0,3852 0,7098 1,1172 1,6212 2,2091 2,8361 3,4288 3,8871 4,0965 3,9614 3,4351 2,5425 1,3836 0,1029 -1,1683 -2,3571 -3,4491 -4,4459 -5,3153 -5,9801 -6,3574 -6,4108 -6,1686 -5,7074 -5,1311 -4,5540 -4,0710 -3,7271 -3,5010 -3,2994 -2,9857 -2,4643 -1,7499 -0,9444 -0,1662 0,4820 0,8915 0,9488 0,6202 0,0169 -0,6664 -1,2571 -1,6348 -1,7070 -1,4126 -0,7630 0,1467 1,1681 2,1255 2,8483 3,2239 3,2302 2,9393 2,5216 2,2072 2,1768 2,4447 2,8257 3,0434 2,9198 2,4783 1,8990 1,3961 1,0968 1,0095 1,1016 1,3512 1,6845 1,9387 1,9690 1,7733 1,4987 1,3554 1,4895 1,8815 2,3718 2,8045 3,1481 3,4884 3,9218 4,4649 5,0512 5,5871 5,9971 6,2229 6,2122 5,9383 5,4197 4,7118 3,9152 3,2027 2,7881 2,8321 3,3632 4,2654 5,3153 6,2471 6,8453 7,0215 6,8153 6,3340 5,6958 5,0096 4,3761 3,8759 3,5510 3,4122 3,4595 3,6700 3,9708 4,2512 4,4195 4,4563 4,4149 4,3762 4,4119 4,5655 4,8217 5,0781 5,1707 4,9622 4,4209 3,6339 2,7706 2,0106 1,4613 1,1100 0,8496 0,5820 0,3251 0,2121 0,3806 0,8670 1,6020 2,4694 3,3598 4,2192 5,0646 5,9110 6,6845 7,2577 7,5499 7,5521 7,2972 6,8586 6,3574 5,9327 5,6898 5,6480 5,7259 5,7968 5,7673 5,6308 5,4782 5,4670 5,7540 6,4161 7,3787 8,4038 9,1756 9,4357 9,0917 8,2567 7,1827 6,1230 5,2336 4,5546 4,0369 3,5975 3,1896 2,8355 2,6099 2,6156 2,9529 3,6546 4,6132 5,5776 6,2678 6,5283 6,3737 5,9172 5,2942 4,6234 3,9924 3,4739 3,1320 3,0016 3,0887 3,3755 3,8111 4,3233 4,8570 5,3892 5,8978 6,3306 6,6301 6,7875 6,8441 6,8219 6,6678 6,2752 5,5716 4,6036 3,5344 2,5474 1,7454 1,1219 0,5839 -0,0120 -0,7868 -1,7433 -2,7428 -3,5978 -4,1947 -4,5232 -4,6145 -4,4962 -4,2079 -3,8276 -3,4843 -3,3259 -3,4185 -3,6787 -3,9474 -4,0952 -4,0268 -3,6624 -2,9919 -2,1459 -1,3949 -1,0375 -1,2128 -1,7897 -2,4746 -3,0222 -3,3169 -3,3231 -3,0473 -2,5479 -1,9511 -1,4194 -1,0642 -0,8729 -0,7252 -0,5036 -0,1882 0,1503 0,4173 0,5334 0,4486 0,1656 -0,2438 -0,6607 -0,9661 -1,0840 -1,0020 -0,7739 -0,5001 -0,2750 -0,1114 0,0937 0,4945 1,1699 2,0385 2,8743 3,4015 3,4087 2,8249 1,7335 0,3392 -1,0768 -2,2154 -2,8463 -2,8903 -2,4349 -1,6813 -0,8609 -0,1656 0,2975 0,5442 0,7061 0,9336 1,2916 1,7409 2,1766 2,4608 2,4508 2,0639 1,3417 0,4283 -0,5205 -1,4138 -2,2345 -2,9808 -3,5973 -3,9707 -3,9896 -3,6160 -2,9244 -2,0713 -1,2017 -0,3794 0,3828 1,0461 1,5304 1,7759 1,7907 1,6199 1,2863 0,8018 0,2447 -0,2179 -0,4187 -0,2967 0,0744 0,5415 0,9519 1,2119 1,3188 1,3638 1,4688 1,6661 1,8423 1,8163 1,4681 0,7996 -0,1002
Fz    1,9806 2,2330 2,6462 3,0418 3,2079 3,0052 2,4424 1,6579 0,8231 0,0606 -0,5703 -1,0471 -1,3684 -1,5418 -1,5528 -1,3400 -0,8350 -0,0471 0,8938 1,7811 2,4108 2,6435 2,4459 1,9047 1,1919 0,4959 -0,0496 -0,4114 -0,6558 -0,8941 -1,2047 -1,5864 -1,9641 -2,2314 -2,3084 -2,1725 -1,8476 -1,3889 -0,8788 -0,4161 -0,0922 0,0329 -0,0541 -0,3199 -0,6911 -1,0751 -1,3987 -1,6210 -1,7078 -1,6270 -1,3854 -1,0619 -0,7875 -0,6716 -0,7356 -0,9135 -1,1046 -1,2136 -1,1554 -0,8587 -0,2922 0,5090 1,4323 2,3055 2,9639 3,3239 3,3982 3,2582 2,9954 2,6968 2,4197 2,1620 1,8624 1,4494 0,9007 0,2616 -0,3667 -0,8487 -1,0584 -0,9399 -0,5469 -0,0327 0,4117 0,6351 0,5738 0,2498 -0,2591 -0,8451 -1,3900 -1,7937 -2,0057 -2,0434 -1,9919 -1,9640 -2,0224 -2,1372 -2,2276 -2,2377 -2,1673 -2,0413 -1,8666 -1,6304 -1,3470 -1,0874 -0,9490 -1,0028 -1,2672 -1,7048 -2,2307 -2,7370 -3,1348 -3,3868 -3,5163 -3,5876 -3,6621 -3,7691 -3,9177 -4,1228 -4,4039 -4,7561 -5,1199 -5,3825 -5,4243 -5,1743 -4,6325 -3,8462 -2,8798 -1,8230 -0,8172 -0,0320 0,4003 0,4361 0,1415 -0,3228 -0,7578 -0,9922 -0,9273 -0,5581 0,0377 0,7502 1,4931 2,2095 2,8346 3,2770 3,4582 3,3791 3,1451 2,9175 2,8448 3,0216 3,4583 4,0657 4,7002 5,2427 5,6347 5,8654 5,9587 5,9657 5,9427 5,9313 5,9541 6,0205 6,1340 6,2983 6,5216 6,8019 7,1025 7,3530 7,4745 7,4030 7,1062 6,5873 5,8736 5,0065 4,0435 3,0647 2,1688 1,4542 0,9972 0,8354 0,9600 1,3211 1,8426 2,4338 2,9985 3,4349 3,6466 3,5800 3,2664 2,8200 2,3827 2,0516 1,8232 1,5867 1,1863 0,5166 -0,4141 -1,4901 -2,5525 -3,4601 -4,1034 -4,4132 -4,3999 -4,1566 -3,7881 -3,3443 -2,8292 -2,2680 -1,7565 -1,4187 -1,3057 -1,3555 -1,4634 -1,5791 -1,7283 -1,9553 -2,2511 -2,5315 -2,6754 -2,5883 -2,2459 -1,7050 -1,0873 -0,5359 -0,1483 0,0741 0,2214 0,4166 0,7503 1,2434 1,8323 2,3806 2,7390 2,8253 2,6559 2,3197 1,9274 1,5664 1,2819 1,0807 0,9417 0,8321 0,7231 0,5823 0,3685 0,0638 -0,3015 -0,6586 -0,9185 -0,9943 -0,8474 -0,5207 -0,1198 0,2444 0,5045 0,6577 0,7616 0,9069 1,1683 1,5703 2,0953 2,7043 3,3457 3,9519 4,4350 4,7145 4,7701 4,6543 4,4557 4,2600 4,1236 4,0616 4,0591 4,0859 4,1046 4,0855 4,0280 3,9689 3,9700 4,0920 4,3615 4,7424 5,1275 5,3727 5,3667 5,0895 4,6145 4,0618 3,5344 3,0798 2,6937 2,3537 2,0528 1,8056 1,6293 1,5259 1,4895 1,5167 1,6029 1,7366 1,9035 2,0933 2,3039 2,5431 2,8151 3,1039 3,3770 3,5987 3,7292 3,7191 3,5255 3,1523 2,6735 2,2051 1,8555 1,7002 1,7780 2,0896 2,5957 3,2276 3,9008 4,5145 4,9545 5,1214 4,9635 4,4998 3,8361 3,1469 2,6077 2,3107 2,2273 2,2535 2,2937 2,3023 2,2757 2,2255 2,1540 2,0608 1,9797 1,9763 2,0818 2,2494 2,3956 2,4715 2,4935 2,5301 2,6495 2,8682 3,1541 3,4785 3,8469 4,2741 4,7336 5,1446 5,4205 5,5247 5,4777 5,3317 5,1467 4,9643 4,7821 4,5561 4,2516 3,9019 3,6108 3,4898 3,5932 3,8986 4,3279 4,7830 5,1822 5,4741 5,6200 5,5779 5,3242 4,8934 4,3888 3,9404 3,6410 3,5247 3,5930 3,8284 4,1754 4,5341 4,7941 4,8822 4,7847 4,5409 4,2201 3,8929 3,6052 3,3599 3,1248 2,8672 2,5872 2,3209 2,1233 2,0415 2,0830 2,1986 2,2966 2,2901 2,1559 1,9553 1,7856 1,7131 1,7563 1,9085 2,1449 2,4287 2,7377 3,0691 3,4132 3,7481 4,0562 4,3176 4,4961 4,5585 4,5070 4,3823 4,2330 4,0827 3,9205 3,7159 3,4410 3,0998 2,7600 2,5512 2,6097 3,0038 3,6830 4,4768 5,1495 5,4935 5,4173 4,9806 4,3454 3,6893 3,1468 2,7901 2,6238 2,5981 2,6466 2,7169 2,7806 2,8373 2,9140 3,0394 3,1998 3,3220 3,3160 3,1342 2,7800 2,2794 1,6711 1,0111 0,3735 -0,1518 -0,4788 -0,5571 -0,3825 0,0084 0,5454 1,1488 1,7631 2,3707 2,9687 3,5382 4,0421 4,4483 4,7402 4,8999 4,8870 4,6412 4,1174 3,3344 2,3959 1,4556 0,6504 0,0494 -0,3615 -0,6619 -0,9449 -1,2548 -1,5678 -1,8351 -2,0333 -2,1666 -2,2330 -2,2193 -2,1292 -2,0031 -1,9105 -1,9204 -2,0534 -2,2520 -2,4107 -2,4301 -2,2431 -1,8292 -1,2377 -0,5903 -0,0507 0,2259 0,1572 -0,2197 -0,7727 -1,3482 -1,8151 -2,0773 -2,0913 -1,8853 -1,5556 -1,2262 -0,9854 -0,8369 -0,7093 -0,5282 -0,2861 -0,0492 0,0955 0,1016 -0,0133 -0,1829 -0,3223 -0,3537 -0,2280 0,0583 0,4544 0,8579 1,1447 1,2333 1,1456 1,0050 0,9568 1,0719 1,3095 1,5505 1,6637 1,5697 1,2663 0,8055 0,2614 -0,2722 -0,6798 -0,8613 -0,7820 -0,4823 -0,0444 0,4468 0,9251 1,3495 1,7079 2,0098 2,2574 2,4267 2,4870 2,4279 2,2604 2,0076 1,7058 1,4076 1,1603 0,9705 0,7889 0,5385 0,1721 -0,2845 -0,7304 -1,0276 -1,0702 -0,8446 -0,4263 0,0793 0,5848 1,0196 1,3210 1,4517 1,4241 1,2950 1,1234 0,9261 0,6808 0,3760 0,0463 -0,2414 -0,4261 -0,4825 -0,4265 -0,2958 -0,1222 0,0893 0,3576 0,6913 1,0464 1,3235 1,4133 1,2506 0,8383 0,2299
F3    1,6215 1,9803 2,4963 2,9991 3,2845 3,2104 2,7664 2,0594 1,2321 0,3949 -0,3796 -1,0283 -1,4870 -1,7094 -1,6701 -1,3416 -0,7065 0,1745 1,1261 1,9157 2,3535 2,3580 1,9663 1,3065 0,5478 -0,1503 -0,6769 -0,9955 -1,1518 -1,2444 -1,3511 -1,4705 -1,5384 -1,4986 -1,3542 -1,1609 -0,9818 -0,8549 -0,7867 -0,7644 -0,7745 -0,8170 -0,9018 -1,0271 -1,1546 -1,2184 -1,1746 -1,0321 -0,8231 -0,5675 -0,2800 -0,0036 0,1864 0,2310 0,1368 -0,0372 -0,2321 -0,4057 -0,5062 -0,4541 -0,1701 0,3731 1,1156 1,9217 2,6411 3,1712 3,4675 3,5223 3,3554 3,0170 2,5709 2,0577 1,4809 0,8311 0,1160 -0,6269 -1,3251 -1,8744 -2,1703 -2,1556 -1,8557 -1,3823 -0,8949 -0,5301 -0,3495 -0,3477 -0,4975 -0,7701 -1,1151 -1,4518 -1,6978 -1,8114 -1,8234 -1,8183 -1,8604 -1,9413 -2,0143 -2,0617 -2,1088 -2,1800 -2,2493 -2,2461 -2,1261 -1,9281 -1,7513 -1,6950 -1,8213 -2,1426 -2,6114 -3,1272 -3,5659 -3,8246 -3,8651 -3,7320 -3,5240 -3,3486 -3,2973 -3,4355 -3,7856 -4,3049 -4,8723 -5,3065 -5,4306 -5,1503 -4,4830 -3,5207 -2,3778 -1,1884 -0,1230 0,6391 0,9754 0,8649 0,4003 -0,2292 -0,7878 -1,0687 -0,9681 -0,5198 0,1437 0,8813 1,6067 2,2779 2,8512 3,2623 3,4536 3,4207 3,2319 2,9983 2,8331 2,8289 3,0243 3,3750 3,7778 4,1356 4,3949 4,5444 4,6039 4,6129 4,6194 4,6699 4,7996 5,0249 5,3475 5,7665 6,2838 6,8774 7,4664 7,9211 8,1174 7,9849 7,5188 6,7644 5,7928 4,6896 3,5532 2,4937 1,6233 1,0366 0,7850 0,8586 1,1908 1,6877 2,2644 2,8643 3,4449 3,9376 4,2303 4,2228 3,9078 3,3813 2,7752 2,1859 1,6404 1,0956 0,4729 -0,2858 -1,1722 -2,1080 -2,9831 -3,6985 -4,1705 -4,3436 -4,2403 -3,9646 -3,6236 -3,2599 -2,8690 -2,4701 -2,1535 -2,0342 -2,1511 -2,4319 -2,7648 -3,0871 -3,3968 -3,7013 -3,9645 -4,0968 -3,9932 -3,5919 -2,9092 -2,0379 -1,1278 -0,3409 0,2112 0,5065 0,6020 0,5932 0,5729 0,6026 0,6896 0,7802 0,8002 0,7166 0,5571 0,3820 0,2431 0,1622 0,1380 0,1608 0,2114 0,2638 0,2930 0,2636 0,1234 -0,1613 -0,5730 -1,0494 -1,4934 -1,7893 -1,8529 -1,6814 -1,3468 -0,9419 -0,5280 -0,1151 0,3239 0,8215 1,3817 1,9761 2,5702 3,1406 3,6686 4,1255 4,4614 4,6172 4,5687 4,3560 4,0721 3,8261 3,6965 3,7018 3,8130 3,9826 4,1609 4,3075 4,4057 4,4709 4,5419 4,6577 4,8338 5,0479 5,2334 5,2947 5,1568 4,8167 4,3463 3,8415 3,3644 2,9292 2,5312 2,1766 1,8944 1,7290 1,7101 1,8220 2,0104 2,2205 2,4231 2,6134 2,7935 2,9576 3,0944 3,2036 3,3017 3,4102 3,5423 3,6908 3,8121 3,8261 3,6527 3,2728 2,7579 2,2336 1,8274 1,6415 1,7363 2,1127 2,7142 3,4550 4,2456 4,9883 5,5664 5,8567 5,7587 5,2380 4,3761 3,3748 2,4779 1,8572 1,5454 1,4661 1,5157 1,6196 1,7380 1,8433 1,8969 1,8674 1,7804 1,7184 1,7498 1,8718 2,0325 2,1874 2,3303 2,4850 2,6662 2,8500 3,0001 3,1236 3,2829 3,5404 3,8946 4,2788 4,6219 4,8946 5,0988 5,2372 5,3061 5,2928 5,1689 4,9024 4,5006 4,0436 3,6629 3,4746 3,5177 3,7442 4,0566 4,3625 4,6101 4,7804 4,8488 4,7648 4,4848 4,0271 3,4909 3,0101 2,6842 2,5569 2,6441 2,9449 3,4161 3,9569 4,4364 4,7408 4,8062 4,6299 4,2665 3,8089 3,3535 2,9633 2,6583 2,4377 2,3024 2,2599 2,3226 2,4953 2,7442 2,9803 3,0883 2,9827 2,6567 2,1917 1,7146 1,3392 1,1446 1,1729 1,4074 1,7695 2,1653 2,5302 2,8370 3,1015 3,3765 3,7004 4,0448 4,3335 4,5091 4,5678 4,5370 4,4331 4,2478 3,9667 3,5936 3,1746 2,8164 2,6594 2,8078 3,2765 3,9785 4,7397 5,3455 5,6205 5,5093 5,0996 4,5552 4,0203 3,5810 3,2734 3,0923 3,0018 2,9621 2,9512 2,9692 3,0290 3,1397 3,2837 3,4008 3,4007 3,2150 2,8454 2,3532 1,8089 1,2683 0,7729 0,3515 0,0290 -0,1699 -0,2277 -0,1378 0,0951 0,4498 0,8961 1,4113 1,9791 2,5677 3,1141 3,5442 3,8176 3,9495 3,9806 3,9248 3,7423 3,3701 2,7886 2,0593 1,2986 0,6214 0,0952 -0,2766 -0,5393 -0,7393 -0,8803 -0,9343 -0,8991 -0,8322 -0,8195 -0,9166 -1,1296 -1,4380 -1,8200 -2,2630 -2,7552 -3,2530 -3,6596 -3,8610 -3,7828 -3,4086 -2,7800 -2,0026 -1,2283 -0,6051 -0,2390 -0,1711 -0,3679 -0,7425 -1,1932 -1,6178 -1,9229 -2,0527 -2,0186 -1,8977 -1,7911 -1,7622 -1,7932 -1,8007 -1,7036 -1,4866 -1,2123 -0,9729 -0,8229 -0,7504 -0,6948 -0,5738 -0,3140 0,1119 0,6594 1,2148 1,6266 1,7610 1,5724 1,1491 0,6819 0,3554 0,2479 0,3120 0,4313 0,4988 0,4674 0,3425 0,1346 -0,1587 -0,5140 -0,8516 -1,0701 -1,1119 -0,9801 -0,7065 -0,3232 0,1395 0,6429 1,1351 1,5531 1,8313 1,9257 1,8430 1,6453 1,4118 1,1840 0,9569 0,7208 0,4892 0,2783 0,0728 -0,1773 -0,5145 -0,9255 -1,3241 -1,5852 -1,6198 -1,4315 -1,0977 -0,6999 -0,2840 0,1242 0,4975 0,8114 1,0579 1,2443 1,3712 1,4090 1,3098 1,0563 0,6900 0,2954 -0,0403 -0,2683 -0,3964 -0,4633 -0,4882 -0,4434 -0,2753 0,0440 0,4744 0,9078 1,2176 1,3228 1,2080 0,8905
F7    1,3154 1,5048 1,8026 2,1174 2,2984 2,2203 1,8638 1,3188 0,7095 0,1262 -0,3815 -0,7755 -1,0185 -1,0840 -0,9523 -0,5990 -0,0198 0,7182 1,4650 2,0438 2,3214 2,2456 1,8505 1,2467 0,5884 0,0192 -0,3816 -0,6233 -0,7865 -0,9706 -1,2284 -1,5336 -1,8011 -1,9384 -1,8949 -1,6797 -1,3414 -0,9448 -0,5634 -0,2691 -0,1158 -0,1253 -0,2835 -0,5441 -0,8326 -1,0632 -1,1734 -1,1435 -0,9845 -0,7230 -0,4038 -0,0972 0,1115 0,1644 0,0734 -0,0934 -0,2663 -0,3990 -0,4459 -0,3470 -0,0548 0,4310 1,0477 1,6772 2,1926 2,5230 2,6746 2,7012 2,6681 2,6306 2,6151 2,6070 2,5614 2,4339 2,2083 1,9030 1,5678 1,2774 1,1100 1,1150 1,2857 1,5494 1,7889 1,8930 1,8045 1,5306 1,1198 0,6410 0,1757 -0,1941 -0,4084 -0,4576 -0,3968 -0,3195 -0,2895 -0,2988 -0,2996 -0,2689 -0,2327 -0,2300 -0,2565 -0,2521 -0,1581 0,0198 0,2098 0,3200 0,2839 0,0811 -0,2631 -0,6925 -1,1359 -1,5262 -1,8212 -2,0158 -2,1301 -2,1926 -2,2387 -2,3126 -2,4572 -2,6902 -2,9727 -3,1966 -3,2227 -2,9514 -2,3693 -1,5384 -0,5563 0,4559 1,3404 1,9279 2,1029 1,8546 1,2851 0,5777 -0,0619 -0,4623 -0,5294 -0,2721 0,2104 0,7980 1,4175 2,0438 2,6455 3,1479 3,4607 3,5444 3,4443 3,2551 3,0690 2,9548 2,9482 3,0337 3,1568 3,2683 3,3500 3,4023 3,4298 3,4398 3,4434 3,4578 3,5108 3,6353 3,8563 4,1944 4,6679 5,2600 5,8826 6,3922 6,6529 6,5919 6,2208 5,6190 4,8967 4,1586 3,4849 2,9295 2,5250 2,2841 2,2024 2,2628 2,4379 2,6994 3,0290 3,4141 3,8250 4,1902 4,4021 4,3711 4,0897 3,6419 3,1535 2,7248 2,3825 2,0710 1,6921 1,1650 0,4674 -0,3569 -1,2246 -2,0418 -2,7077 -3,1297 -3,2746 -3,1857 -2,9290 -2,5402 -2,0374 -1,4816 -1,0065 -0,7627 -0,8159 -1,1052 -1,5014 -1,9008 -2,2655 -2,6002 -2,9056 -3,1492 -3,2738 -3,2297 -3,0014 -2,6149 -2,1362 -1,6590 -1,2695 -1,0090 -0,8637 -0,7842 -0,7143 -0,6173 -0,5032 -0,4380 -0,4999 -0,7138 -1,0305 -1,3632 -1,6407 -1,8408 -1,9811 -2,0857 -2,1695 -2,2400 -2,3013 -2,3694 -2,4809 -2,6642 -2,9140 -3,1961 -3,4536 -3,6171 -3,6335 -3,4924 -3,2201 -2,8601 -2,4537 -2,0231 -1,5646 -1,0647 -0,5275 0,0197 0,5496 1,0491 1,5109 1,9185 2,2350 2,4143 2,4367 2,3243 2,1288 1,9146 1,7419 1,6482 1,6429 1,7101 1,8141 1,9147 1,9886 2,0419 2,1028 2,2033 2,3606 2,5587 2,7342 2,7948 2,6719 2,3671 1,9474 1,4980 1,0753 0,6940 0,3478 0,0392 -0,2031 -0,3335 -0,3244 -0,1950 0,0025 0,2172 0,4144 0,5721 0,6819 0,7534 0,8166 0,9154 1,0839 1,3228 1,6008 1,8716 2,0831 2,1810 2,1211 1,8977 1,5635 1,2099 0,9290 0,7919 0,8381 1,0670 1,4356 1,8751 2,3139 2,6852 2,9282 3,0006 2,8913 2,6251 2,2699 1,9316 1,7090 1,6323 1,6422 1,6362 1,5447 1,3695 1,1650 0,9863 0,8462 0,7311 0,6529 0,6533 0,7493 0,9049 1,0679 1,2208 1,3940 1,6402 1,9800 2,3628 2,6966 2,9227 3,0542 3,1455 3,2333 3,3107 3,3550 3,3640 3,3548 3,3452 3,3458 3,3578 3,3602 3,3107 3,1835 3,0154 2,9035 2,9489 3,1944 3,6019 4,0742 4,4989 4,7892 4,9023 4,8267 4,5653 4,1403 3,6108 3,0752 2,6383 2,3648 2,2703 2,3487 2,5840 2,9329 3,3200 3,6664 3,9200 4,0609 4,0926 4,0349 3,9239 3,8073 3,7194 3,6571 3,5927 3,5075 3,4057 3,3086 3,2370 3,1835 3,0967 2,9040 2,5606 2,0964 1,6204 1,2656 1,1177 1,1930 1,4603 1,8552 2,2924 2,7034 3,0639 3,3824 3,6807 3,9807 4,2832 4,5513 4,7308 4,7951 4,7658 4,6867 4,5853 4,4633 4,3136 4,1337 3,9377 3,7752 3,7289 3,8789 4,2581 4,8227 5,4482 5,9592 6,1940 6,0821 5,6803 5,1288 4,5661 4,0798 3,7018 3,4176 3,1894 2,9930 2,8388 2,7677 2,8311 3,0643 3,4501 3,8931 4,2393 4,3474 4,1569 3,6967 3,0505 2,3273 1,6326 1,0437 0,6111 0,3715 0,3426 0,5177 0,8664 1,3359 1,8643 2,4047 2,9334 3,4297 3,8558 4,1653 4,3344 4,3773 4,3256 4,1935 3,9615 3,5971 3,0980 2,5152 1,9328 1,4232 1,0151 0,6895 0,4006 0,1129 -0,1680 -0,4079 -0,5966 -0,7791 -1,0228 -1,3550 -1,7454 -2,1401 -2,5035 -2,8358 -3,1570 -3,4575 -3,6683 -3,6972 -3,4924 -3,0642 -2,4764 -1,8369 -1,2762 -0,9078 -0,7945 -0,9279 -1,2261 -1,5725 -1,8671 -2,0431 -2,0663 -1,9440 -1,7297 -1,5069 -1,3566 -1,3139 -1,3365 -1,3252 -1,2001 -0,9743 -0,7543 -0,6639 -0,7590 -0,9967 -1,2672 -1,4469 -1,4442 -1,2243 -0,8184 -0,3196 0,1318 0,3898 0,3707 0,1105 -0,2416 -0,5107 -0,5981 -0,5199 -0,3766 -0,2930 -0,3573 -0,5910 -0,9658 -1,4302 -1,9100 -2,3081 -2,5363 -2,5568 -2,3864 -2,0657 -1,6326 -1,1211 -0,5670 -0,0039 0,5400 1,0275 1,4079 1,6316 1,6680 1,5117 1,1824 0,7275 0,2248 -0,2371 -0,5972 -0,8548 -1,0660 -1,2972 -1,5652 -1,8094 -1,9214 -1,8155 -1,4819 -0,9733 -0,3534 0,3224 0,9761 1,4980 1,7963 1,8552 1,7440 1,5665 1,3961 1,2547 1,1433 1,0709 1,0541 1,1038 1,2095 1,3326 1,4234 1,4530 1,4371 1,4322 1,5004 1,6623 1,8739 2,0485 2,1020 1,9824 1,6676
