Fp1   0,2977 0,2990 0,2928 0,2683 0,2235 0,1605 0,0758 -0,0445 -0,2107 -0,4007 -0,5538 -0,6007 -0,4994 -0,2472 0,1179 0,5145 0,8333 0,9813 0,9320 0,7342 0,4803 0,2643 0,1460 0,1348 0,2020 0,3048 0,4077 0,4917 0,5530 0,6026 0,6691 0,7846 0,9625 1,1806 1,3699 1,4262 1,2615 0,8680 0,3318 -0,2216 -0,6969 -1,0594 -1,3272 -1,5325 -1,6790 -1,7525 -1,7717 -1,7905 -1,8468 -1,9375 -2,0381 -2,1215 -2,1708 -2,1932 -2,2170 -2,2666 -2,3439 -2,4321 -2,5095 -2,5601 -2,5859 -2,6044 -2,6223 -2,6137 -2,5337 -2,3608 -2,1385 -1,9676 -1,9344 -2,0458 -2,2450 -2,4721 -2,6895 -2,8629 -2,9461 -2,9011 -2,7327 -2,4883 -2,2163 -1,9312 -1,6185 -1,2671 -0,8970 -0,5560 -0,2918 -0,1350 -0,0997 -0,1758 -0,3109 -0,4168 -0,4247 -0,3477 -0,2813 -0,3456 -0,6253 -1,1507 -1,8950 -2,7709 -3,6467 -4,3960 -4,9446 -5,2799 -5,4341 -5,4596 -5,4086 -5,3282 -5,2657 -5,2691 -5,3813 -5,6276 -5,9943 -6,4083 -6,7486 -6,9033 -6,8279 -6,5586 -6,1795 -5,7721 -5,3828 -5,0323 -4,7338 -4,4773 -4,2200 -3,9229 -3,5890 -3,2563 -2,9603 -2,7034 -2,4573 -2,1865 -1,8790 -1,5611 -1,2801 -1,0681 -0,9221 -0,8120 -0,6991 -0,5495 -0,3430 -0,0812 0,2086 0,4870 0,7228 0,8999 1,0234 1,1280 1,2635 1,4574 1,7047 1,9890 2,2946 2,5945 2,8387 2,9645 2,9260 2,7241 2,4125 2,0671 1,7430 1,4520 1,1807 0,9308 0,7346 0,6237 0,5955 0,6107 0,6100 0,5426 0,3966 0,1989 -0,0115 -0,2084 -0,3843 -0,5437 -0,7002 -0,8757 -1,0874 -1,3264 -1,5560 -1,7266 -1,7904 -1,7223 -1,5453 -1,3377 -1,2102 -1,2593 -1,5194 -1,9505 -2,4765 -3,0273 -3,5443 -3,9753 -4,2888 -4,4904 -4,6239 -4,7521 -4,9208 -5,1300 -5,3496 -5,5622 -5,7716 -5,9719 -6,1220 -6,1631 -6,0599 -5,8243 -5,5024 -5,1479 -4,8013 -4,4772 -4,1633 -3,8415 -3,5135 -3,2073 -2,9637 -2,8115 -2,7566 -2,7876 -2,8809 -3,0084 -3,1503 -3,2970 -3,4425 -3,5807 -3,7051 -3,8127 -3,9116 -4,0228 -4,1741 -4,3873 -4,6639 -4,9761 -5,2785 -5,5277 -5,6954 -5,7707 -5,7589 -5,6778 -5,5516 -5,4075 -5,2719 -5,1608 -5,0748 -5,0036 -4,9356 -4,8680 -4,8127 -4,7921 -4,8240 -4,9136 -5,0587 -5,2592 -5,5143 -5,8101 -6,1172 -6,3963 -6,6000 -6,6896 -6,6593 -6,5345 -6,3438 -6,1010 -5,8133 -5,5037 -5,2189 -5,0035 -4,8686 -4,7987 -4,7838 -4,8259 -4,9190 -5,0332 -5,1225 -5,1485 -5,1038 -5,0081 -4,8898 -4,7781 -4,6931 -4,6263 -4,5412 -4,4036 -4,2150 -4,0168 -3,8667 -3,8121 -3,8766 -4,0565 -4,3192 -4,6027 -4,8297 -4,9397 -4,9146 -4,7755 -4,5654 -4,3335 -4,1253 -3,9736 -3,8953 -3,9013 -3,9973 -4,1642 -4,3490 -4,4919 -4,5625 -4,5618 -4,4984 -4,3803 -4,2233 -4,0533 -3,8980 -3,7818 -3,7275 -3,7519 -3,8466 -3,9702 -4,0743 -4,1287 -4,1184 -4,0368 -3,8936 -3,7182 -3,5495 -3,4215 -3,3486 -3,3187 -3,3037 -3,2780 -3,2275 -3,1554 -3,0800 -3,0214 -2,9843 -2,9536 -2,9096 -2,8491 -2,7908 -2,7613 -2,7797 -2,8508 -2,9634 -3,0868 -3,1767 -3,2054 -3,1990 -3,2327 -3,3741 -3,6217 -3,9038 -4,1309 -4,2504 -4,2641 -4,2139 -4,1569 -4,1399 -4,1902 -4,3245 -4,5435 -4,8021 -5,0027 -5,0449 -4,8910 -4,5829 -4,2023 -3,8256 -3,5068 -3,2697 -3,1054 -2,9974 -2,9491 -2,9739 -3,0726 -3,2353 -3,4545 -3,7264 -4,0357 -4,3424 -4,5979 -4,7781 -4,8975 -4,9881 -5,0697 -5,1362 -5,1685 -5,1639 -5,1499 -5,1655 -5,2240 -5,3008 -5,3561 -5,3646 -5,3294 -5,2788 -5,2467 -5,2476 -5,2663 -5,2725 -5,2433 -5,1729 -5,0709 -4,9542 -4,8339 -4,7066 -4,5613 -4,3933 -4,2089 -4,0231 -3,8532 -3,7097 -3,5899 -3,4844 -3,3847 -3,2860 -3,1865 -3,0920 -3,0282 -3,0462 -3,1976 -3,4906 -3,8721 -4,2620 -4,5945 -4,8367 -4,9966 -5,1181 -5,2453 -5,3751 -5,4500 -5,4034 -5,2100 -4,8940 -4,5011 -4,0725 -3,6478 -3,2777 -3,0192 -2,9066 -2,9258 -3,0281 -3,1671 -3,3095 -3,4250 -3,4896 -3,4996 -3,4731 -3,4328 -3,3911 -3,3563 -3,3401 -3,3454 -3,3581 -3,3551 -3,3131 -3,2163 -3,0654 -2,8773 -2,6803 -2,5181 -2,4496 -2,5238 -2,7428 -3,0513 -3,3608 -3,5940 -3,7230 -3,7721 -3,7906 -3,8242 -3,9018 -4,0345 -4,2133 -4,4016 -4,5437 -4,6016 -4,5838 -4,5349 -4,5020 -4,5149 -4,5854 -4,7057 -4,8422 -4,9482 -4,9995 -5,0215 -5,0720 -5,1982 -5,4173 -5,7225 -6,0826 -6,4374 -6,7228 -6,9117 -7,0229 -7,0837 -7,1023 -7,0828 -7,0385 -6,9776 -6,8913 -6,7634 -6,5863 -6,3725 -6,1533 -5,9566 -5,7932 -5,6670 -5,5837 -5,5431 -5,5388 -5,5646 -5,6096 -5,6510 -5,6569 -5,6041 -5,4949 -5,3536 -5,2015 -5,0455 -4,8929 -4,7684 -4,7044 -4,7150 -4,7822 -4,8692 -4,9476 -5,0056 -5,0334 -5,0145 -4,9377 -4,8037 -4,6194 -4,4016 -4,1915 -4,0479 -4,0174 -4,1152 -4,3241 -4,5981 -4,8778 -5,1186 -5,3114 -5,4772 -5,6394 -5,7949 -5,9212 -6,0047 -6,0525 -6,0900 -6,1513 -6,2479 -6,3467 -6,3901 -6,3364 -6,1791 -5,9393 -5,6566 -5,3941 -5,2308 -5,2296 -5,4062 -5,7246 -6,1202 -6,5272 -6,8850 -7,1406 -7,2687 -7,2857 -7,2353 -7,1526 -7,0408 -6,8864 -6,6903 -6,4751 -6,2672 -6,0742 -5,8793 -5,6613 -5,4188 -5,1732 -4,9510 -4,7714 -4,6530 -4,6206 -4,6956 -4,8806 -5,1537 -5,4776 -5,8190 -6,1615 -6,4976 -6,8109 -7,0745 -7,2591 -7,3397 -7,3071 -7,1772 -6,9830 -6,7603 -6,5426 -6,3557
Fz    0,5733 0,7785 0,9185 0,9816 0,9762 0,9198 0,8302 0,7172 0,5874 0,4627 0,3835 0,3857 0,4801 0,6493 0,8496 1,0116 1,0526 0,9151 0,6095 0,2152 -0,1600 -0,4255 -0,5387 -0,5133 -0,4010 -0,2613 -0,1386 -0,0504 0,0132 0,0819 0,1902 0,3558 0,5660 0,7749 0,9087 0,8883 0,6688 0,2736 -0,2117 -0,6854 -1,0765 -1,3622 -1,5574 -1,6878 -1,7621 -1,7735 -1,7282 -1,6506 -1,5620 -1,4727 -1,3896 -1,3204 -1,2780 -1,2840 -1,3598 -1,5097 -1,7145 -1,9390 -2,1402 -2,2793 -2,3421 -2,3455 -2,3101 -2,2320 -2,0891 -1,8733 -1,6188 -1,3992 -1,2831 -1,2901 -1,3971 -1,5701 -1,7742 -1,9634 -2,0787 -2,0691 -1,9208 -1,6628 -1,3427 -0,9989 -0,6551 -0,3368 -0,0856 0,0561 0,0779 0,0087 -0,1085 -0,2394 -0,3525 -0,4109 -0,3981 -0,3523 -0,3606 -0,5150 -0,8725 -1,4425 -2,1892 -3,0334 -3,8651 -4,5817 -5,1325 -5,5298 -5,8252 -6,0783 -6,3313 -6,5981 -6,8758 -7,1690 -7,5015 -7,9000 -8,3614 -8,8265 -9,1950 -9,3787 -9,3423 -9,1047 -8,7183 -8,2433 -7,7279 -7,2072 -6,7085 -6,2419 -5,7987 -5,3758 -4,9906 -4,6621 -4,3827 -4,1143 -3,8110 -3,4454 -3,0260 -2,5949 -2,2058 -1,8889 -1,6305 -1,3867 -1,1143 -0,7911 -0,4184 -0,0183 0,3690 0,7015 0,9564 1,1357 1,2624 1,3753 1,5180 1,7222 1,9995 2,3451 2,7407 3,1479 3,5014 3,7233 3,7630 3,6314 3,3950 3,1341 2,9005 2,7018 2,5156 2,3238 2,1280 1,9360 1,7475 1,5564 1,3514 1,1183 0,8518 0,5632 0,2717 -0,0089 -0,2724 -0,5147 -0,7305 -0,9137 -1,0567 -1,1503 -1,1822 -1,1377 -1,0058 -0,7941 -0,5450 -0,3380 -0,2670 -0,4018 -0,7550 -1,2779 -1,8914 -2,5237 -3,1197 -3,6330 -4,0321 -4,3142 -4,5070 -4,6562 -4,8011 -4,9543 -5,1141 -5,2908 -5,5014 -5,7386 -5,9545 -6,0821 -6,0762 -5,9349 -5,6882 -5,3771 -5,0388 -4,6978 -4,3608 -4,0248 -3,6923 -3,3856 -3,1416 -2,9881 -2,9266 -2,9322 -2,9618 -2,9756 -2,9611 -2,9331 -2,9146 -2,9257 -2,9829 -3,0974 -3,2704 -3,4915 -3,7465 -4,0277 -4,3316 -4,6479 -4,9594 -5,2503 -5,5017 -5,6870 -5,7825 -5,7789 -5,6819 -5,5119 -5,3012 -5,0836 -4,8856 -4,7227 -4,5947 -4,4865 -4,3848 -4,2958 -4,2401 -4,2339 -4,2834 -4,3973 -4,5910 -4,8644 -5,1815 -5,4765 -5,6786 -5,7388 -5,6459 -5,4228 -5,1112 -4,7590 -4,4092 -4,0931 -3,8316 -3,6336 -3,4917 -3,3885 -3,3104 -3,2547 -3,2212 -3,2013 -3,1728 -3,1112 -3,0101 -2,8872 -2,7709 -2,6824 -2,6212 -2,5612 -2,4680 -2,3244 -2,1418 -1,9535 -1,7992 -1,7079 -1,6824 -1,6998 -1,7271 -1,7304 -1,6822 -1,5776 -1,4439 -1,3256 -1,2569 -1,2469 -1,2876 -1,3648 -1,4644 -1,5773 -1,7006 -1,8250 -1,9287 -1,9885 -1,9922 -1,9339 -1,8059 -1,6074 -1,3550 -1,0839 -0,8403 -0,6714 -0,6153 -0,6912 -0,8862 -1,1523 -1,4317 -1,6825 -1,8766 -1,9902 -2,0105 -1,9494 -1,8439 -1,7398 -1,6655 -1,6161 -1,5642 -1,4861 -1,3796 -1,2625 -1,1601 -1,0907 -1,0574 -1,0506 -1,0610 -1,0944 -1,1672 -1,2825 -1,4183 -1,5429 -1,6348 -1,6852 -1,6933 -1,6736 -1,6653 -1,7185 -1,8613 -2,0767 -2,3108 -2,5078 -2,6471 -2,7503 -2,8587 -3,0034 -3,1865 -3,3861 -3,5776 -3,7410 -3,8454 -3,8408 -3,6859 -3,3863 -3,0014 -2,6111 -2,2782 -2,0344 -1,8789 -1,7855 -1,7296 -1,7131 -1,7499 -1,8397 -1,9686 -2,1256 -2,3097 -2,5194 -2,7362 -2,9263 -3,0644 -3,1523 -3,2137 -3,2755 -3,3534 -3,4520 -3,5724 -3,7167 -3,8863 -4,0762 -4,2742 -4,4685 -4,6548 -4,8375 -5,0258 -5,2228 -5,4071 -5,5278 -5,5302 -5,3880 -5,1144 -4,7519 -4,3547 -3,9685 -3,6189 -3,3166 -3,0631 -2,8504 -2,6687 -2,5160 -2,3949 -2,3044 -2,2446 -2,2232 -2,2507 -2,3270 -2,4392 -2,5751 -2,7399 -2,9503 -3,2084 -3,4861 -3,7414 -3,9399 -4,0688 -4,1474 -4,2221 -4,3312 -4,4667 -4,5733 -4,5908 -4,4966 -4,3126 -4,0774 -3,8174 -3,5452 -3,2831 -3,0744 -2,9591 -2,9412 -2,9914 -3,0747 -3,1657 -3,2483 -3,3175 -3,3787 -3,4432 -3,5159 -3,5874 -3,6431 -3,6773 -3,6937 -3,6958 -3,6833 -3,6510 -3,5908 -3,4947 -3,3612 -3,2029 -3,0528 -2,9568 -2,9499 -3,0351 -3,1840 -3,3544 -3,5114 -3,6420 -3,7519 -3,8545 -3,9647 -4,0984 -4,2693 -4,4791 -4,7107 -4,9345 -5,1273 -5,2875 -5,4336 -5,5858 -5,7489 -5,9115 -6,0569 -6,1698 -6,2424 -6,2888 -6,3539 -6,4899 -6,7177 -7,0168 -7,3443 -7,6489 -7,8799 -8,0042 -8,0259 -7,9848 -7,9311 -7,8978 -7,8962 -7,9208 -7,9505 -7,9530 -7,8988 -7,7729 -7,5822 -7,3573 -7,1412 -6,9689 -6,8546 -6,7885 -6,7458 -6,7047 -6,6618 -6,6296 -6,6209 -6,6348 -6,6560 -6,6619 -6,6304 -6,5452 -6,4003 -6,2038 -5,9801 -5,7674 -5,6035 -5,5082 -5,4786 -5,5005 -5,5570 -5,6215 -5,6560 -5,6257 -5,5174 -5,3472 -5,1573 -5,0063 -4,9525 -5,0313 -5,2416 -5,5484 -5,8944 -6,2175 -6,4716 -6,6466 -6,7700 -6,8807 -6,9938 -7,0945 -7,1598 -7,1783 -7,1589 -7,1293 -7,1162 -7,1206 -7,1174 -7,0767 -6,9820 -6,8392 -6,6791 -6,5530 -6,5146 -6,5924 -6,7746 -7,0216 -7,2964 -7,5827 -7,8711 -8,1411 -8,3635 -8,5148 -8,5849 -8,5734 -8,4835 -8,3256 -8,1276 -7,9345 -7,7927 -7,7307 -7,7455 -7,8102 -7,8958 -7,9846 -8,0662 -8,1299 -8,1699 -8,1948 -8,2265 -8,2890 -8,3937 -8,5326 -8,6861 -8,8383 -8,9840 -9,1244 -9,2561 -9,3607 -9,4053 -9,3611 -9,2209 -9,0009 -8,7380 -8,4777 -8,2545
F3    0,6600 0,7794 0,8375 0,8292 0,7703 0,6898 0,6144 0,5520 0,4946 0,4450 0,4291 0,4777 0,6043 0,7979 1,0222 1,2137 1,2933 1,2021 0,9430 0,5820 0,2093 -0,0985 -0,3000 -0,3944 -0,4088 -0,3765 -0,3220 -0,2543 -0,1708 -0,0626 0,0825 0,2708 0,4915 0,7081 0,8572 0,8644 0,6809 0,3183 -0,1486 -0,6230 -1,0352 -1,3610 -1,6088 -1,7909 -1,9002 -1,9217 -1,8672 -1,7779 -1,6888 -1,6090 -1,5339 -1,4601 -1,3945 -1,3585 -1,3808 -1,4799 -1,6519 -1,8696 -2,0898 -2,2671 -2,3765 -2,4196 -2,4011 -2,3021 -2,0887 -1,7488 -1,3278 -0,9231 -0,6299 -0,4905 -0,4990 -0,6318 -0,8561 -1,1225 -1,3648 -1,5198 -1,5556 -1,4826 -1,3323 -1,1292 -0,8830 -0,6086 -0,3472 -0,1541 -0,0607 -0,0595 -0,1241 -0,2310 -0,3541 -0,4556 -0,5090 -0,5341 -0,5972 -0,7745 -1,1163 -1,6368 -2,3125 -3,0725 -3,8079 -4,4181 -4,8562 -5,1365 -5,3101 -5,4354 -5,5535 -5,6825 -5,8321 -6,0218 -6,2832 -6,6450 -7,1037 -7,5967 -8,0158 -8,2643 -8,3023 -8,1481 -7,8532 -7,4695 -7,0291 -6,5539 -6,0688 -5,5872 -5,1023 -4,6138 -4,1499 -3,7495 -3,4262 -3,1531 -2,8793 -2,5609 -2,1873 -1,7887 -1,4144 -1,0943 -0,8185 -0,5492 -0,2467 0,1143 0,5405 1,0157 1,4991 1,9383 2,2925 2,5434 2,6982 2,7911 2,8698 2,9720 3,1155 3,3039 3,5275 3,7556 3,9349 4,0071 3,9392 3,7478 3,4948 3,2522 3,0640 2,9311 2,8267 2,7310 2,6452 2,5714 2,4968 2,4019 2,2710 2,0964 1,8867 1,6672 1,4634 1,2853 1,1258 0,9723 0,8158 0,6552 0,4986 0,3664 0,2860 0,2836 0,3771 0,5660 0,8151 1,0495 1,1763 1,1236 0,8728 0,4616 -0,0468 -0,5952 -1,1351 -1,6210 -2,0195 -2,3264 -2,5694 -2,7929 -3,0307 -3,2840 -3,5363 -3,7851 -4,0397 -4,2880 -4,4782 -4,5440 -4,4477 -4,2024 -3,8591 -3,4788 -3,1106 -2,7812 -2,4924 -2,2306 -1,9860 -1,7706 -1,6137 -1,5358 -1,5328 -1,5799 -1,6405 -1,6789 -1,6769 -1,6367 -1,5695 -1,4914 -1,4230 -1,3863 -1,3982 -1,4642 -1,5817 -1,7484 -1,9605 -2,2035 -2,4559 -2,6988 -2,9148 -3,0811 -3,1775 -3,1977 -3,1484 -3,0453 -2,9067 -2,7463 -2,5739 -2,3983 -2,2246 -2,0517 -1,8843 -1,7430 -1,6542 -1,6298 -1,6668 -1,7642 -1,9273 -2,1488 -2,3951 -2,6127 -2,7435 -2,7454 -2,6093 -2,3567 -2,0250 -1,6531 -1,2781 -0,9356 -0,6584 -0,4621 -0,3334 -0,2443 -0,1799 -0,1441 -0,1433 -0,1685 -0,1893 -0,1690 -0,0885 0,0470 0,2177 0,3969 0,5646 0,7231 0,8933 1,0902 1,3028 1,4970 1,6336 1,6864 1,6555 1,5674 1,4630 1,3868 1,3735 1,4302 1,5306 1,6299 1,6897 1,6930 1,6427 1,5523 1,4375 1,3080 1,1677 1,0295 0,9232 0,8790 0,9086 1,0098 1,1778 1,4021 1,6578 1,9076 2,1076 2,2135 2,1901 2,0234 1,7350 1,3813 1,0285 0,7274 0,5117 0,4017 0,3985 0,4826 0,6210 0,7773 0,9258 1,0633 1,2004 1,3445 1,4888 1,6152 1,7002 1,7241 1,6833 1,5977 1,4982 1,4013 1,3022 1,1955 1,0896 1,0000 0,9381 0,9147 0,9443 1,0295 1,1393 1,2125 1,1979 1,0924 0,9408 0,7986 0,6932 0,6153 0,5355 0,4263 0,2765 0,0910 -0,1238 -0,3607 -0,5873 -0,7338 -0,7272 -0,5423 -0,2180 0,1712 0,5528 0,8776 1,1253 1,2995 1,4064 1,4374 1,3808 1,2437 1,0506 0,8273 0,5911 0,3569 0,1485 -0,0065 -0,0989 -0,1474 -0,1848 -0,2372 -0,3143 -0,4137 -0,5354 -0,6877 -0,8790 -1,1034 -1,3385 -1,5573 -1,7411 -1,8866 -2,0066 -2,1158 -2,2080 -2,2476 -2,1905 -2,0134 -1,7276 -1,3724 -1,0002 -0,6566 -0,3661 -0,1329 0,0493 0,1911 0,3045 0,3996 0,4857 0,5703 0,6518 0,7183 0,7577 0,7689 0,7602 0,7332 0,6712 0,5484 0,3572 0,1213 -0,1212 -0,3396 -0,5210 -0,6788 -0,8496 -1,0627 -1,3027 -1,5077 -1,6099 -1,5795 -1,4342 -1,2150 -0,9578 -0,6898 -0,4423 -0,2577 -0,1705 -0,1812 -0,2571 -0,3596 -0,4593 -0,5378 -0,5903 -0,6255 -0,6582 -0,6964 -0,7349 -0,7648 -0,7825 -0,7867 -0,7743 -0,7416 -0,6826 -0,5862 -0,4423 -0,2520 -0,0357 0,1655 0,2974 0,3147 0,2064 0,0022 -0,2428 -0,4746 -0,6649 -0,8160 -0,9454 -1,0752 -1,2289 -1,4263 -1,6688 -1,9327 -2,1795 -2,3806 -2,5339 -2,6573 -2,7697 -2,8794 -2,9871 -3,0876 -3,1645 -3,1952 -3,1783 -3,1537 -3,1801 -3,2931 -3,4918 -3,7500 -4,0216 -4,2451 -4,3685 -4,3816 -4,3207 -4,2365 -4,1638 -4,1220 -4,1196 -4,1469 -4,1759 -4,1731 -4,1164 -4,0074 -3,8739 -3,7529 -3,6683 -3,6226 -3,6006 -3,5797 -3,5451 -3,4986 -3,4525 -3,4176 -3,3944 -3,3728 -3,3388 -3,2785 -3,1755 -3,0135 -2,7907 -2,5330 -2,2877 -2,0985 -1,9807 -1,9205 -1,8956 -1,8890 -1,8818 -1,8471 -1,7613 -1,6194 -1,4373 -1,2472 -1,0941 -1,0276 -1,0828 -1,2652 -1,5474 -1,8740 -2,1782 -2,4115 -2,5705 -2,6951 -2,8320 -2,9935 -3,1556 -3,2893 -3,3843 -3,4568 -3,5409 -3,6600 -3,7991 -3,9121 -3,9542 -3,9035 -3,7609 -3,5493 -3,3176 -3,1303 -3,0373 -3,0509 -3,1490 -3,3026 -3,4955 -3,7158 -3,9410 -4,1413 -4,2942 -4,3900 -4,4278 -4,4086 -4,3375 -4,2339 -4,1299 -4,0593 -4,0405 -4,0644 -4,1015 -4,1234 -4,1180 -4,0882 -4,0460 -4,0105 -4,0062 -4,0553 -4,1667 -4,3338 -4,5396 -4,7669 -5,0065 -5,2550 -5,5063 -5,7444 -5,9390 -6,0476 -6,0366 -5,9024 -5,6714 -5,3869 -5,0958 -4,8357
