Fp1   -1,6513 -0,9057 -0,3038 0,0777 0,2203 0,1790 0,0682 0,0072 0,0543 0,1783 0,2911 0,3124 0,2118 0,0110 -0,2270 -0,4142 -0,4702 -0,3570 -0,0897 0,2771 0,6602 0,9494 1,0368 0,8778 0,5168 0,0465 -0,4450 -0,8860 -1,2127 -1,3761 -1,3549 -1,1590 -0,8225 -0,3871 0,1076 0,6105 1,0508 1,3544 1,4634 1,3512 1,0406 0,6081 0,1568 -0,2241 -0,4797 -0,5838 -0,5312 -0,3314 0,0078 0,4851 1,0799 1,7226 2,3145 2,7814 3,0956 3,2538 3,2609 3,1453 2,9724 2,8254 2,7648 2,7994 2,8974 3,0280 3,1955 3,4329 3,7641 4,1726 4,6032 4,9744 5,1920 5,1766 4,8946 4,3752 3,7098 3,0307 2,4594 2,0601 1,8310 1,7335 1,7298 1,8053 1,9592 2,1800 2,4392 2,7127 3,0053 3,3480 3,7661 4,2452 4,7255 5,1274 5,3823 5,4551 5,3543 5,1242 4,8246 4,5115 4,2220 3,9749 3,7835 3,6569 3,5875 3,5552 3,5410 3,5297 3,5072 3,4587 3,3569 3,1557 2,8168 2,3509 1,8299 1,3585 1,0327 0,9100 0,9934 1,2398 1,5894 1,9747 2,3007 2,4501 2,3358 1,9485 1,3525 0,6484 -0,0516 -0,6318 -0,9903 -1,0626 -0,8341 -0,3411 0,3416 1,1322 1,9784 2,8679 3,8112 4,8096 5,8252 6,7820 7,5897 8,1622 8,4338 8,3867 8,0808 7,6662 7,3512 7,3220 7,6612 8,3252 9,1753 10,0298 10,7176 11,1254 11,2272 11,0773 10,7664 10,3846 10,0126 9,7089 9,4859 9,3169 9,1842 9,1197 9,1857 9,4215 9,8097 10,2856 10,7633 11,1506 11,3601 11,3428 11,1235 10,7905 10,4361 10,1043 9,7808 9,4152 8,9628 8,4266 7,8611 7,3265 6,8330 6,3326 5,7647 5,1055 4,3829 3,6677 3,0463 2,5800 2,2815 2,1354 2,1357 2,2966 2,6307 3,1260 3,7281 4,3362 4,8341 5,1381 5,2155 5,0675 4,7142 4,2005 3,6023 3,0107 2,5046 2,1385 1,9479 1,9478 2,1178 2,3932 2,6867 2,9287 3,1017 3,2396 3,3849 3,5452 3,6853 3,7343 3,5944 3,1753 2,4445 1,4468 0,2904 -0,8664 -1,8383 -2,4710 -2,6960 -2,5321 -2,0510 -1,3476 -0,5189 0,3475 1,1713 1,8788 2,4150 2,7517 2,8815 2,8127 2,5638 2,1591 1,6393 1,0724 0,5418 0,1234 -0,1278 -0,1908 -0,0978 0,0659 0,2002 0,2376 0,1607 -0,0074 -0,2163 -0,4085 -0,5451 -0,6188 -0,6466 -0,6514 -0,6398 -0,6012 -0,5365 -0,4753 -0,4470 -0,4440 -0,4285 -0,3759 -0,3028 -0,2553 -0,2801 -0,3920 -0,5469 -0,6565 -0,6523 -0,5369 -0,3733 -0,2371 -0,1756 -0,2014 -0,3186 -0,5421 -0,8704 -1,2413 -1,5430 -1,6880 -1,6747 -1,5780 -1,4863 -1,4483 -1,4631 -1,5079 -1,5719 -1,6670 -1,8082 -1,9901 -2,1864 -2,3670 -2,5112 -2,6148 -2,6925 -2,7702 -2,8685 -2,9906 -3,1222 -3,2397 -3,3176 -3,3470 -3,3538 -3,3941 -3,5203 -3,7400 -4,0006 -4,2082 -4,2580 -4,0629 -3,5910 -2,8948 -2,0997 -1,3497 -0,7438 -0,3130 -0,0517 0,0393 -0,0552 -0,3351 -0,7553 -1,2274 -1,6527 -1,9529 -2,0796 -2,0064 -1,7171 -1,2140 -0,5471 0,1820 0,8592 1,3950 1,7343 1,8638 1,8242 1,6974 1,5751 1,5373 1,6397 1,9003 2,2858 2,7096 3,0446 3,1680 3,0302 2,6836 2,2520 1,8727 1,6352 1,5408 1,5111 1,4460 1,2883 1,0509 0,7997 0,6132 0,5512 0,6434 0,8754 1,1715 1,4097 1,4699 1,2770 0,8184 0,1482 -0,6164 -1,3206 -1,8304 -2,0906 -2,1268 -1,9997 -1,7677 -1,4770 -1,1556 -0,8061 -0,4160 0,0123 0,4438 0,8223 1,1031 1,2786 1,3690 1,3920 1,3462 1,2299 1,0711 0,9301 0,8602 0,8706 0,9338 1,0146 1,0822 1,1122 1,0938 1,0391 0,9856 0,9839 1,0661 1,2230 1,4213 1,6372 1,8740 2,1487 2,4582 2,7627 3,0112 3,1728 3,2351 3,1874 3,0308 2,8057 2,5895 2,4551 2,4386 2,5363 2,7163 2,9399 3,1807 3,4248 3,6513 3,8118 3,8374 3,6845 3,3750 2,9821 2,5796 2,2123 1,9075 1,6958 1,6072 1,6525 1,8093 2,0252 2,2329 2,3687 2,3894 2,2864 2,0846 1,8169 1,5027 1,1583 0,8237 0,5705 0,4751 0,5761 0,8499 1,2263 1,6231 1,9758 2,2468 2,4169 2,4813 2,4607 2,4045 2,3729 2,4182 2,5653 2,7877 3,0004 3,0890 2,9618 2,5997 2,0745 1,5157 1,0451 0,7342 0,6017 0,6223 0,7342 0,8581 0,9146 0,8383 0,6052 0,2539 -0,1296 -0,4558 -0,6673 -0,7551 -0,7602 -0,7536 -0,7959 -0,9125 -1,1023 -1,3573 -1,6684 -2,0305 -2,4515 -2,9518 -3,5367 -4,1575 -4,7037 -5,0467 -5,1093 -4,9112 -4,5576 -4,1854 -3,9051 -3,7690 -3,7729 -3,8740 -4,0106 -4,1148 -4,1198 -3,9699 -3,6399 -3,1501 -2,5565 -1,9301 -1,3444 -0,8673 -0,5403 -0,3575 -0,2689 -0,2086 -0,1211 0,0292 0,2694 0,6366 1,1694 1,8676 2,6671 3,4659 4,1724 4,7387 5,1556 5,4196 5,5168 5,4393 5,2117 4,9072 4,6364 4,5034 4,5559 4,7650 5,0525 5,3419 5,5836 5,7436 5,7938 5,7129 5,4919 5,1373 4,6712 4,1393 3,6247 3,2358 3,0577 3,1160 3,3807 3,7881 4,2529 4,6739 4,9498 5,0044 4,8077 4,3847 3,8067 3,1661 2,5520 2,0308 1,6260 1,3152 1,0626 0,8504 0,6671 0,4851 0,2692 0,0075 -0,2723 -0,5193 -0,6985 -0,8196 -0,9364 -1,1191 -1,4204 -1,8571 -2,4090 -3,0258 -3,6409 -4,1942 -4,6509 -5,0070 -5,2787 -5,4858 -5,6432 -5,7607 -5,8414 -5,8883 -5,9152 -5,9446 -5,9955 -6,0830 -6,2261 -6,4434
Fz    -2,4530 -2,4260 -2,3288 -2,1662 -1,9754 -1,7991 -1,6398 -1,4516 -1,1836 -0,8243 -0,4071 0,0192 0,4163 0,7571 1,0195 1,1881 1,2579 1,2328 1,1275 0,9745 0,8121 0,6495 0,4599 0,2150 -0,0850 -0,4175 -0,7532 -1,0563 -1,2905 -1,4319 -1,4657 -1,3820 -1,1896 -0,9161 -0,5904 -0,2411 0,0948 0,3765 0,5754 0,6887 0,7413 0,7785 0,8525 1,0083 1,2767 1,6659 2,1473 2,6520 3,0920 3,3948 3,5268 3,4951 3,3386 3,1168 2,8981 2,7448 2,6997 2,7757 2,9520 3,1828 3,4171 3,6199 3,7837 3,9258 4,0751 4,2511 4,4432 4,6111 4,7097 4,7226 4,6730 4,6096 4,5818 4,6271 4,7728 5,0372 5,4167 5,8696 6,3173 6,6698 6,8663 6,9045 6,8357 6,7229 6,5980 6,4562 6,2906 6,1286 6,0307 6,0511 6,1963 6,4230 6,6751 6,9239 7,1732 7,4334 7,6996 7,9521 8,1673 8,3302 8,4389 8,4961 8,4996 8,4479 8,3468 8,1984 7,9916 7,7114 7,3503 6,9110 6,4093 5,8754 5,3497 4,8742 4,4836 4,1981 4,0143 3,9043 3,8336 3,7734 3,6967 3,5788 3,4203 3,2600 3,1509 3,1238 3,1760 3,2815 3,4061 3,5304 3,6657 3,8431 4,0872 4,4094 4,8223 5,3500 6,0219 6,8558 7,8417 8,9343 10,0596 11,1312 12,0767 12,8588 13,4767 13,9530 14,3266 14,6429 14,9333 15,1957 15,3943 15,4836 15,4429 15,2984 15,1260 15,0317 15,1056 15,3686 15,7573 16,1621 16,4834 16,6723 16,7387 16,7300 16,6946 16,6502 16,5758 16,4291 16,1764 15,8098 15,3454 14,8220 14,3003 13,8462 13,5032 13,2707 13,0962 12,8869 12,5489 12,0332 11,3558 10,5805 9,7753 8,9756 8,1863 7,4131 6,6923 6,0930 5,6845 5,4893 5,4661 5,5411 5,6526 5,7672 5,8689 5,9480 5,9957 6,0051 5,9790 5,9367 5,9102 5,9273 5,9996 6,1243 6,2890 6,4698 6,6269 6,7145 6,7053 6,6040 6,4299 6,1913 5,8844 5,5084 5,0801 4,6381 4,2289 3,8873 3,6346 3,4766 3,3952 3,3589 3,3488 3,3661 3,4147 3,4885 3,5653 3,6026 3,5516 3,3909 3,1455 2,8742 2,6454 2,5158 2,5126 2,6289 2,8326 3,0805 3,3266 3,5252 3,6255 3,5801 3,3702 3,0202 2,5885 2,1555 1,8102 1,6249 1,6287 1,8045 2,1116 2,5021 2,9251 3,3300 3,6685 3,8938 3,9636 3,8482 3,5414 3,0674 2,4835 1,8699 1,3121 0,8814 0,6301 0,5941 0,7803 1,1447 1,5909 1,9941 2,2339 2,2330 1,9877 1,5626 1,0515 0,5443 0,1111 -0,2062 -0,3978 -0,4808 -0,4903 -0,4728 -0,4648 -0,4625 -0,4194 -0,2917 -0,0917 0,1064 0,2105 0,1618 -0,0420 -0,3562 -0,7119 -1,0385 -1,2810 -1,4147 -1,4492 -1,4189 -1,3671 -1,3339 -1,3426 -1,3902 -1,4540 -1,5138 -1,5650 -1,6092 -1,6410 -1,6588 -1,6855 -1,7628 -1,9153 -2,1181 -2,2998 -2,3762 -2,2823 -1,9918 -1,5311 -0,9754 -0,4207 0,0506 0,3863 0,5566 0,5470 0,3660 0,0540 -0,3223 -0,6898 -0,9951 -1,2187 -1,3666 -1,4468 -1,4522 -1,3563 -1,1240 -0,7287 -0,1700 0,5094 1,2159 1,8212 2,2058 2,3039 2,1227 1,7328 1,2422 0,7651 0,3924 0,1723 0,1051 0,1488 0,2433 0,3484 0,4618 0,6043 0,7899 0,9977 1,1674 1,2269 1,1347 0,9060 0,6021 0,2866 -0,0118 -0,3013 -0,6030 -0,9296 -1,2805 -1,6470 -2,0188 -2,3869 -2,7391 -3,0528 -3,2920 -3,4210 -3,4285 -3,3399 -3,1990 -3,0359 -2,8582 -2,6685 -2,4825 -2,3272 -2,2208 -2,1627 -2,1500 -2,1925 -2,2951 -2,4314 -2,5507 -2,6085 -2,5764 -2,4260 -2,1203 -1,6360 -1,0044 -0,3218 0,2914 0,7424 0,9901 1,0419 0,9393 0,7402 0,4978 0,2458 0,0026 -0,2176 -0,4010 -0,5396 -0,6354 -0,6988 -0,7501 -0,8186 -0,9274 -1,0790 -1,2598 -1,4522 -1,6368 -1,7876 -1,8719 -1,8564 -1,7149 -1,4395 -1,0479 -0,5780 -0,0800 0,3876 0,7640 0,9955 1,0494 0,9273 0,6652 0,3136 -0,0837 -0,4863 -0,8458 -1,1109 -1,2473 -1,2547 -1,1702 -1,0553 -0,9715 -0,9548 -0,9984 -1,0508 -1,0458 -0,9479 -0,7789 -0,5997 -0,4667 -0,4009 -0,3923 -0,4311 -0,5258 -0,6898 -0,9167 -1,1761 -1,4234 -1,6136 -1,7102 -1,6881 -1,5383 -1,2720 -0,9151 -0,4993 -0,0585 0,3717 0,7554 1,0527 1,2207 1,2292 1,0778 0,7946 0,4202 -0,0071 -0,4621 -0,9355 -1,4261 -1,9283 -2,4212 -2,8626 -3,1958 -3,3725 -3,3730 -3,2094 -2,9245 -2,5856 -2,2636 -2,0088 -1,8469 -1,7890 -1,8377 -1,9886 -2,2332 -2,5625 -2,9655 -3,4194 -3,8806 -4,2848 -4,5674 -4,6962 -4,6899 -4,6018 -4,4888 -4,3893 -4,3210 -4,2846 -4,2683 -4,2646 -4,2870 -4,3592 -4,4840 -4,6292 -4,7411 -4,7625 -4,6452 -4,3631 -3,9200 -3,3438 -2,6757 -1,9591 -1,2248 -0,4891 0,2378 0,9454 1,6256 2,2738 2,8785 3,4078 3,8127 4,0468 4,0891 3,9547 3,6909 3,3614 3,0282 2,7473 2,5725 2,5421 2,6533 2,8525 3,0575 3,2016 3,2750 3,3259 3,4156 3,5801 3,8230 4,1218 4,4321 4,6929 4,8472 4,8679 4,7589 4,5370 4,2318 3,8948 3,5832 3,3264 3,1172 2,9303 2,7399 2,5335 2,3187 2,1145 1,9306 1,7584 1,5816 1,3877 1,1691 0,9242 0,6572 0,3696 0,0502 -0,3204 -0,7522 -1,2251 -1,6891 -2,0967 -2,4363 -2,7370 -3,0470 -3,4076 -3,8330 -4,3031 -4,7698 -5,1832 -5,5239 -5,8134 -6,0953 -6,4044 -6,7528 -7,1420 -7,5738 -8,0400 -8,5093 -8,9366 -9,2858 -9,5453 -9,7204 -9,8107 -9,7986
F3    -2,2625 -2,1879 -2,1097 -2,0337 -1,9768 -1,9603 -1,9709 -1,9510 -1,8449 -1,6432 -1,3748 -1,0648 -0,7144 -0,3170 0,1102 0,5140 0,8256 0,9948 1,0193 0,9538 0,8733 0,8077 0,7195 0,5443 0,2422 -0,1777 -0,6589 -1,1153 -1,4578 -1,6227 -1,5841 -1,3541 -0,9815 -0,5363 -0,0758 0,3709 0,7853 1,1369 1,3903 1,5276 1,5628 1,5419 1,5281 1,5768 1,7162 1,9445 2,2290 2,5100 2,7225 2,8289 2,8358 2,7840 2,7232 2,6881 2,6973 2,7657 2,9092 3,1359 3,4318 3,7572 4,0606 4,2998 4,4575 4,5455 4,5901 4,6063 4,5816 4,4866 4,3082 4,0771 3,8659 3,7573 3,8055 4,0187 4,3673 4,8070 5,2932 5,7801 6,2177 6,5591 6,7753 6,8666 6,8633 6,8091 6,7331 6,6234 6,4374 6,1571 5,8276 5,5312 5,3294 5,2367 5,2446 5,3542 5,5715 5,8834 6,2513 6,6202 6,9300 7,1315 7,2047 7,1617 7,0337 6,8657 6,7087 6,5905 6,4892 6,3422 6,0903 5,7185 5,2574 4,7593 4,2789 3,8648 3,5445 3,3092 3,1158 2,9149 2,6831 2,4318 2,1911 1,9961 1,8809 1,8673 1,9522 2,1120 2,3156 2,5289 2,7206 2,8854 3,0525 3,2595 3,5179 3,8116 4,1239 4,4626 4,8687 5,4025 6,1079 6,9831 7,9831 9,0368 10,0595 10,9659 11,6870 12,1899 12,4939 12,6612 12,7628 12,8477 12,9268 12,9792 12,9836 12,9550 12,9445 13,0049 13,1606 13,3984 13,6729 13,9239 14,1028 14,1938 14,2171 14,2132 14,2192 14,2449 14,2632 14,2217 14,0731 13,8012 13,4291 13,0146 12,6369 12,3667 12,2310 12,1969 12,1759 12,0498 11,7200 11,1540 10,3970 9,5477 8,7126 7,9573 7,2873 6,6786 6,1287 5,6808 5,3992 5,3187 5,4137 5,6177 5,8651 6,1061 6,2965 6,3973 6,3877 6,2763 6,1010 5,9167 5,7776 5,7187 5,7467 5,8466 5,9924 6,1485 6,2694 6,3139 6,2671 6,1442 5,9708 5,7624 5,5165 5,2187 4,8650 4,4780 4,0981 3,7652 3,5113 3,3467 3,2463 3,1703 3,1067 3,0827 3,1317 3,2632 3,4585 3,6816 3,8927 4,0616 4,1742 4,2355 4,2637 4,2785 4,2914 4,3046 4,3096 4,2844 4,2059 4,0630 3,8478 3,5448 3,1374 2,6197 2,0073 1,3563 0,7705 0,3746 0,2606 0,4507 0,9029 1,5416 2,2835 3,0503 3,7680 4,3555 4,7258 4,8081 4,5750 4,0540 3,3229 2,4978 1,7113 1,0812 0,6897 0,5780 0,7405 1,1178 1,6045 2,0731 2,4041 2,5211 2,4149 2,1377 1,7768 1,4226 1,1384 0,9467 0,8420 0,8118 0,8439 0,9250 1,0468 1,2147 1,4414 1,7171 1,9811 2,1283 2,0603 1,7402 1,2096 0,5650 -0,0802 -0,6270 -1,0083 -1,2014 -1,2302 -1,1518 -1,0350 -0,9389 -0,8946 -0,9005 -0,9367 -0,9833 -1,0225 -1,0304 -0,9807 -0,8666 -0,7229 -0,6182 -0,6143 -0,7247 -0,8994 -1,0444 -1,0661 -0,9163 -0,6179 -0,2517 0,0872 0,3304 0,4487 0,4391 0,3105 0,0812 -0,2126 -0,5112 -0,7493 -0,8928 -0,9585 -0,9907 -1,0111 -0,9889 -0,8540 -0,5374 -0,0003 0,7492 1,6459 2,5668 3,3525 3,8489 3,9577 3,6741 3,0923 2,3722 1,6842 1,1571 0,8475 0,7345 0,7384 0,7671 0,7725 0,7741 0,8345 1,0078 1,2945 1,6390 1,9627 2,1974 2,3037 2,2761 2,1294 1,8806 1,5423 1,1243 0,6354 0,0919 -0,4745 -1,0197 -1,4995 -1,8744 -2,1078 -2,1654 -2,0247 -1,6960 -1,2371 -0,7358 -0,2688 0,1273 0,4509 0,7065 0,8808 0,9541 0,9260 0,8132 0,6272 0,3747 0,0772 -0,2296 -0,5119 -0,7353 -0,8475 -0,7790 -0,4755 0,0520 0,7115 1,3742 1,9427 2,3818 2,7028 2,9258 3,0549 3,0768 2,9752 2,7463 2,4153 2,0438 1,7085 1,4676 1,3450 1,3303 1,3867 1,4668 1,5344 1,5745 1,5876 1,5765 1,5431 1,4934 1,4434 1,4215 1,4597 1,5789 1,7802 2,0511 2,3708 2,7034 2,9874 3,1481 3,1418 2,9849 2,7322 2,4374 2,1446 1,8978 1,7389 1,6899 1,7345 1,8164 1,8672 1,8461 1,7623 1,6770 1,6839 1,8628 2,2291 2,7190 3,2235 3,6477 3,9546 4,1526 4,2494 4,2348 4,1071 3,8914 3,6213 3,3134 2,9682 2,5964 2,2393 1,9609 1,8190 1,8373 1,9950 2,2453 2,5440 2,8525 3,1231 3,3021 3,3523 3,2663 3,0596 2,7560 2,3753 1,9268 1,4092 0,8218 0,1802 -0,4702 -1,0591 -1,5154 -1,7946 -1,8884 -1,8155 -1,6097 -1,3198 -1,0070 -0,7263 -0,5147 -0,3941 -0,3748 -0,4562 -0,6305 -0,8920 -1,2372 -1,6477 -2,0723 -2,4317 -2,6511 -2,7005 -2,6087 -2,4458 -2,2887 -2,1865 -2,1502 -2,1711 -2,2438 -2,3822 -2,6182 -2,9700 -3,4059 -3,8453 -4,1977 -4,3961 -4,4062 -4,2225 -3,8617 -3,3556 -2,7465 -2,0754 -1,3645 -0,6148 0,1767 1,0010 1,8378 2,6653 3,4569 4,1671 4,7314 5,0915 5,2277 5,1685 4,9763 4,7270 4,4928 4,3272 4,2566 4,2776 4,3571 4,4412 4,4825 4,4793 4,4932 4,6123 4,8881 5,3080 5,8173 6,3555 6,8723 7,3216 7,6571 7,8418 7,8480 7,6486 7,2364 6,6614 6,0251 5,4270 4,9270 4,5482 4,2909 4,1467 4,1026 4,1301 4,1796 4,1912 4,1067 3,8778 3,4764 2,9148 2,2565 1,5934 0,9953 0,4792 0,0215 -0,3996 -0,7798 -1,1047 -1,3745 -1,6065 -1,8319 -2,0891 -2,4050 -2,7776 -3,1753 -3,5596 -3,9158 -4,2612 -4,6323 -5,0586 -5,5367 -6,0287 -6,4847 -6,8633 -7,1379 -7,2941 -7,3339 -7,2870 -7,1997 -7,0936 -6,9471
F7    -1,5798 -1,1392 -0,8110 -0,6304 -0,5928 -0,6586 -0,7648 -0,8446 -0,8555 -0,7962 -0,6995 -0,6045 -0,5320 -0,4755 -0,4086 -0,3028 -0,1479 0,0419 0,2395 0,4230 0,5784 0,6818 0,6959 0,5970 0,3965 0,1291 -0,1648 -0,4422 -0,6567 -0,7682 -0,7534 -0,6125 -0,3712 -0,0678 0,2660 0,6079 0,9305 1,1937 1,3516 1,3689 1,2412 1,0056 0,7306 0,4904 0,3386 0,2950 0,3438 0,4473 0,5732 0,7134 0,8764 1,0651 1,2687 1,4697 1,6513 1,7966 1,8919 1,9375 1,9500 1,9528 1,9605 1,9715 1,9788 1,9915 2,0381 2,1446 2,3088 2,4969 2,6655 2,7832 2,8362 2,8216 2,7425 2,6070 2,4322 2,2464 2,0765 1,9346 1,8255 1,7594 1,7500 1,8048 1,9184 2,0706 2,2316 2,3759 2,5002 2,6251 2,7765 2,9611 3,1528 3,3022 3,3606 3,3064 3,1560 2,9517 2,7387 2,5522 2,4157 2,3445 2,3462 2,4113 2,5051 2,5835 2,6180 2,6030 2,5489 2,4706 2,3726 2,2414 2,0582 1,8228 1,5646 1,3305 1,1616 1,0777 1,0714 1,1159 1,1826 1,2463 1,2715 1,2103 1,0273 0,7258 0,3467 -0,0537 -0,4210 -0,7101 -0,8899 -0,9464 -0,8796 -0,7027 -0,4393 -0,1097 0,2845 0,7592 1,3300 1,9929 2,7121 3,4249 4,0564 4,5369 4,8174 4,8852 4,7728 4,5593 4,3576 4,2786 4,3866 4,6779 5,0868 5,5110 5,8477 6,0306 6,0522 5,9602 5,8295 5,7330 5,7233 5,8187 5,9979 6,2169 6,4400 6,6575 6,8792 7,1139 7,3562 7,5847 7,7693 7,8778 7,8829 7,7724 7,5607 7,2872 6,9955 6,7099 6,4285 6,1273 5,7756 5,3627 4,9144 4,4778 4,0846 3,7326 3,3975 3,0557 2,6981 2,3369 2,0020 1,7229 1,5130 1,3762 1,3239 1,3723 1,5206 1,7412 1,9894 2,2171 2,3842 2,4693 2,4713 2,4007 2,2737 2,1135 1,9476 1,7970 1,6696 1,5654 1,4912 1,4630 1,4886 1,5496 1,6047 1,6132 1,5621 1,4760 1,3960 1,3468 1,3224 1,2877 1,1886 0,9751 0,6263 0,1559 -0,3952 -0,9621 -1,4625 -1,8253 -2,0152 -2,0299 -1,8823 -1,5907 -1,1810 -0,6929 -0,1836 0,2837 0,6605 0,9251 1,0780 1,1306 1,0885 0,9419 0,6783 0,3060 -0,1365 -0,5836 -0,9556 -1,1835 -1,2380 -1,1413 -0,9510 -0,7283 -0,5159 -0,3349 -0,1941 -0,1007 -0,0655 -0,0981 -0,1970 -0,3467 -0,5210 -0,6875 -0,8195 -0,9095 -0,9649 -0,9899 -0,9784 -0,9265 -0,8489 -0,7843 -0,7810 -0,8647 -1,0141 -1,1738 -1,2968 -1,3739 -1,4260 -1,4765 -1,5307 -1,5750 -1,5973 -1,6072 -1,6269 -1,6603 -1,6843 -1,6741 -1,6340 -1,6001 -1,6140 -1,6917 -1,8153 -1,9529 -2,0860 -2,2180 -2,3593 -2,5093 -2,6505 -2,7565 -2,8055 -2,7937 -2,7380 -2,6641 -2,5891 -2,5156 -2,4383 -2,3520 -2,2571 -2,1646 -2,0985 -2,0925 -2,1702 -2,3189 -2,4806 -2,5732 -2,5246 -2,2965 -1,9010 -1,4044 -0,9099 -0,5151 -0,2739 -0,1875 -0,2300 -0,3818 -0,6367 -0,9767 -1,3512 -1,6857 -1,9138 -1,9998 -1,9361 -1,7248 -1,3701 -0,8869 -0,3144 0,2840 0,8366 1,2765 1,5465 1,6107 1,4717 1,1737 0,7915 0,4158 0,1354 0,0133 0,0648 0,2481 0,4738 0,6446 0,7125 0,7019 0,6784 0,7005 0,7881 0,9156 1,0266 1,0645 1,0028 0,8583 0,6793 0,5227 0,4340 0,4322 0,4964 0,5649 0,5610 0,4271 0,1444 -0,2648 -0,7469 -1,2307 -1,6405 -1,9162 -2,0361 -2,0192 -1,9038 -1,7246 -1,5057 -1,2621 -1,0000 -0,7202 -0,4315 -0,1623 0,0467 0,1678 0,2057 0,1841 0,1176 0,0036 -0,1596 -0,3507 -0,5211 -0,6192 -0,6237 -0,5489 -0,4224 -0,2659 -0,0937 0,0800 0,2385 0,3682 0,4644 0,5264 0,5529 0,5477 0,5314 0,5404 0,6109 0,7536 0,9434 1,1361 1,2927 1,3871 1,4050 1,3485 1,2445 1,1365 1,0609 1,0282 1,0290 1,0543 1,1116 1,2210 1,3968 1,6261 1,8583 2,0208 2,0579 1,9609 1,7636 1,5162 1,2662 1,0551 0,9191 0,8827 0,9458 1,0796 1,2383 1,3786 1,4659 1,4747 1,3981 1,2526 1,0640 0,8512 0,6294 0,4254 0,2830 0,2463 0,3324 0,5188 0,7544 0,9852 1,1728 1,2983 1,3566 1,3551 1,3141 1,2613 1,2249 1,2312 1,2963 1,4104 1,5299 1,5899 1,5311 1,3269 0,9996 0,6084 0,2138 -0,1469 -0,4577 -0,7155 -0,9293 -1,1201 -1,3133 -1,5280 -1,7659 -2,0026 -2,1936 -2,2959 -2,2855 -2,1635 -1,9593 -1,7288 -1,5366 -1,4338 -1,4462 -1,5720 -1,7890 -2,0699 -2,4002 -2,7821 -3,2185 -3,6840 -4,1099 -4,4061 -4,5075 -4,4114 -4,1777 -3,8949 -3,6364 -3,4381 -3,3062 -3,2390 -3,2396 -3,3080 -3,4246 -3,5474 -3,6271 -3,6243 -3,5197 -3,3195 -3,0566 -2,7757 -2,5089 -2,2608 -2,0158 -1,7549 -1,4679 -1,1585 -0,8380 -0,5081 -0,1533 0,2403 0,6614 1,0741 1,4423 1,7529 2,0175 2,2508 2,4505 2,5981 2,6781 2,7004 2,7051 2,7400 2,8283 2,9533 3,0739 3,1579 3,2001 3,2139 3,2139 3,2050 3,1773 3,1098 2,9791 2,7736 2,5134 2,2548 2,0631 1,9802 2,0178 2,1646 2,3878 2,6328 2,8342 2,9360 2,9102 2,7606 2,5124 2,2022 1,8705 1,5470 1,2343 0,9126 0,5704 0,2259 -0,0881 -0,3548 -0,5848 -0,7993 -1,0068 -1,1948 -1,3423 -1,4424 -1,5166 -1,6108 -1,7766 -2,0469 -2,4182 -2,8476 -3,2714 -3,6389 -3,9327 -4,1661 -4,3650 -4,5501 -4,7293 -4,9011 -5,0599 -5,2017 -5,3270 -5,4343 -5,5155 -5,5617 -5,5702 -5,5462
