Fp1   -1,3623 -1,7432 -2,0130 -2,1837 -2,2476 -2,2076 -2,1090 -2,0299 -2,0364 -2,1341 -2,2525 -2,2665 -2,0384 -1,4750 -0,5773 0,5539 1,7591 2,8626 3,6973 4,1384 4,1396 3,7465 3,0810 2,3040 1,5695 0,9969 0,6673 0,6153 0,8171 1,1942 1,6358 2,0296 2,2895 2,3584 2,1922 1,7634 1,0910 0,2609 -0,5867 -1,3006 -1,7722 -1,9772 -1,9781 -1,8739 -1,7375 -1,5971 -1,4483 -1,2591 -0,9807 -0,5755 -0,0432 0,5668 1,1577 1,6037 1,7938 1,6871 1,3391 0,8702 0,4059 0,0381 -0,1778 -0,2127 -0,0575 0,2730 0,7342 1,2573 1,7600 2,1564 2,3802 2,4055 2,2442 1,9352 1,5465 1,1882 1,0029 1,0959 1,4486 1,9135 2,3110 2,5354 2,5895 2,5523 2,5225 2,5698 2,7087 2,9033 3,0902 3,2031 3,1880 3,0074 2,6433 2,1160 1,5119 0,9727 0,6151 0,4464 0,3673 0,2467 0,0009 -0,3521 -0,6901 -0,8527 -0,7329 -0,3181 0,3253 1,0897 1,8516 2,4785 2,8375 2,8340 2,4590 1,7906 0,9506 0,0557 -0,8146 -1,6307 -2,3923 -3,0795 -3,6237 -3,9360 -3,9555 -3,6622 -3,0634 -2,1813 -1,0481 0,2866 1,7456 3,2276 4,6238 5,8443 6,8476 7,6511 8,3028 8,8319 9,2230 9,4294 9,4033 9,1192 8,5898 7,8854 7,1527 6,5894 6,3570 6,4920 6,8936 7,3900 7,8311 8,1508 8,3792 8,6123 8,9502 9,4333 10,0184 10,5935 11,0061 11,1094 10,8216 10,1558 9,2034 8,0961 6,9846 6,0288 5,3732 5,1160 5,2735 5,7532 6,3909 7,0450 7,6431 8,1413 8,4743 8,5602 8,3307 7,7512 6,8459 5,7220 4,5524 3,5208 2,7585 2,3015 2,1005 2,0846 2,2167 2,4957 2,9268 3,4967 4,1498 4,7788 5,2605 5,5125 5,5235 5,3441 5,0500 4,7019 4,3343 3,9682 3,6206 3,2957 2,9829 2,6787 2,4137 2,2390 2,1721 2,1698 2,1608 2,0935 1,9496 1,7350 1,4684 1,1663 0,8394 0,5156 0,2638 0,1788 0,3224 0,6768 1,1601 1,6884 2,2330 2,8283 3,5260 4,3264 5,1509 5,8796 6,4152 6,7172 6,7906 6,6623 6,3720 5,9772 5,5607 5,2263 5,0701 5,1331 5,3692 5,6642 5,8984 6,0100 6,0147 5,9758 5,9508 5,9454 5,9007 5,7345 5,4200 5,0296 4,6864 4,4592 4,3097 4,1435 3,9034 3,6097 3,3311 3,1424 3,1083 3,2678 3,6098 4,0782 4,6071 5,1421 5,6374 6,0460 6,3180 6,4056 6,2674 5,8803 5,2588 4,4576 3,5444 2,5764 1,6131 0,7370 0,0486 -0,3555 -0,4074 -0,0874 0,5682 1,4684 2,4803 3,4583 4,2785 4,8593 5,1662 5,2082 5,0279 4,6950 4,3010 3,9320 3,6253 3,3602 3,1010 2,8441 2,6351 2,5482 2,6407 2,9151 3,3164 3,7633 4,1829 4,5223 4,7456 4,8277 4,7483 4,4989 4,1021 3,6276 3,1839 2,8810 2,7762 2,8476 3,0286 3,2610 3,5110 3,7596 4,0034 4,2566 4,5428 4,8909 5,3308 5,8746 6,4958 7,1174 7,6088 7,8067 7,5766 6,8848 5,8359 4,6446 3,5540 2,7487 2,3075 2,2195 2,4419 2,9457 3,7198 4,7414 5,9302 7,1123 8,0456 8,5059 8,3732 7,6688 6,5382 5,2072 3,9243 2,8944 2,2321 1,9693 2,0993 2,6053 3,4555 4,5826 5,8708 7,1561 8,2357 8,8961 8,9696 8,4017 7,2887 5,8661 4,4412 3,2847 2,5415 2,2252 2,2729 2,5910 3,0671 3,5686 3,9506 4,0994 4,0100 3,8174 3,7126 3,8115 4,0987 4,4686 4,8075 5,0600 5,2437 5,4081 5,5745 5,7116 5,7620 5,6809 5,4427 5,0245 4,4126 3,6446 2,8475 2,2184 1,9378 2,0782 2,5797 3,3079 4,1306 4,9531 5,7119 6,3673 6,8992 7,2919 7,5184 7,5375 7,3024 6,7867 6,0180 5,0817 4,0926 3,1654 2,3987 1,8495 1,4944 1,2295 0,9413 0,5885 0,2237 -0,0420 -0,0990 0,0972 0,4986 0,9966 1,4817 1,8896 2,2137 2,4912 2,7627 3,0350 3,2693 3,3917 3,3140 2,9674 2,3375 1,4950 0,6104 -0,0839 -0,4022 -0,3111 0,0681 0,5626 1,0576 1,5306 2,0121 2,5270 3,0570 3,5389 3,8841 4,0061 3,8646 3,5082 3,0573 2,6242 2,2461 1,8843 1,4844 1,0411 0,6048 0,2384 -0,0206 -0,1627 -0,1931 -0,1290 -0,0008 0,1462 0,2493 0,2399 0,0799 -0,2007 -0,4993 -0,6846 -0,6616 -0,4063 0,0412 0,5941 1,1197 1,4582 1,4903 1,2026 0,6805 0,0426 -0,6122 -1,2133 -1,7091 -2,0664 -2,2679 -2,2940 -2,1179 -1,7427 -1,2466 -0,7891 -0,5682 -0,7488 -1,3879 -2,3970 -3,5731 -4,6771 -5,5157 -5,9933 -6,1228 -5,9947 -5,7148 -5,3480 -4,9035 -4,3672 -3,7535 -3,1254 -2,5573 -2,0855 -1,7009 -1,3840 -1,1213 -0,8879 -0,6374 -0,3189 0,0990 0,6110 1,1751 1,7312 2,2348 2,6755 3,0538 3,3453 3,5156 3,5667 3,5438 3,4991 3,4715 3,4886 3,5501 3,6048 3,5787 3,4387 3,2134 2,9531 2,6821 2,3733 1,9523 1,3362 0,4944 -0,5162 -1,5737 -2,5455 -3,3304 -3,8701 -4,1467 -4,1809 -4,0276 -3,7610 -3,4565 -3,1799 -2,9821 -2,8910 -2,9123 -3,0410 -3,2690 -3,5745 -3,9116 -4,2182 -4,4408 -4,5569 -4,5777 -4,5378 -4,4785 -4,4230 -4,3621 -4,2763 -4,1665 -4,0435 -3,8930 -3,6811 -3,4118 -3,1625 -3,0452 -3,1335 -3,4232 -3,8470 -4,3251 -4,8144 -5,3272 -5,9084 -6,5822 -7,3053 -7,9726 -8,4619 -8,6726 -8,5526 -8,1192 -7,4579 -6,6818 -5,8840 -5,1284 -4,4724 -3,9738 -3,6616 -3,5073 -3,4355 -3,3708 -3,2794 -3,1730 -3,0777 -2,9971 -2,9002
Fz    -1,0603 -1,5460 -2,0236 -2,4546 -2,8039 -3,0516 -3,2007 -3,2704 -3,2799 -3,2351 -3,1236 -2,9182 -2,5901 -2,1281 -1,5520 -0,9096 -0,2610 0,3376 0,8420 1,2248 1,4767 1,6060 1,6348 1,5931 1,5090 1,4044 1,2965 1,1980 1,1161 1,0536 1,0122 0,9933 0,9964 1,0141 1,0285 1,0235 0,9984 0,9701 0,9611 0,9849 1,0407 1,1177 1,2006 1,2733 1,3245 1,3522 1,3662 1,3910 1,4609 1,6064 1,8424 2,1615 2,5337 2,9120 3,2471 3,5049 3,6733 3,7540 3,7543 3,6854 3,5630 3,4050 3,2283 3,0437 2,8537 2,6530 2,4363 2,2069 1,9797 1,7747 1,6086 1,4915 1,4290 1,4286 1,5014 1,6487 1,8461 2,0452 2,1979 2,2787 2,2911 2,2575 2,2030 2,1451 2,0937 2,0534 2,0233 1,9951 1,9511 1,8700 1,7383 1,5613 1,3657 1,1877 1,0485 0,9373 0,8216 0,6740 0,4914 0,3024 0,1622 0,1280 0,2297 0,4581 0,7719 1,1119 1,4158 1,6280 1,7062 1,6309 1,4130 1,0912 0,7173 0,3380 -0,0190 -0,3448 -0,6364 -0,8808 -1,0477 -1,0951 -0,9804 -0,6723 -0,1606 0,5423 1,4089 2,3984 3,4527 4,4966 5,4514 6,2571 6,8887 7,3548 7,6777 7,8734 7,9477 7,9027 7,7412 7,4674 7,0871 6,6137 6,0793 5,5324 5,0224 4,5838 4,2323 3,9669 3,7779 3,6580 3,6084 3,6391 3,7617 3,9772 4,2681 4,5996 4,9244 5,1960 5,3860 5,4933 5,5355 5,5363 5,5188 5,5021 5,4980 5,5074 5,5151 5,4900 5,4028 5,2504 5,0599 4,8641 4,6753 4,4817 4,2593 3,9856 3,6545 3,2869 2,9290 2,6377 2,4605 2,4151 2,4832 2,6242 2,7909 2,9347 3,0094 2,9815 2,8363 2,5743 2,2103 1,7749 1,3123 0,8709 0,4891 0,1841 -0,0479 -0,2236 -0,3671 -0,5045 -0,6548 -0,8205 -0,9825 -1,1088 -1,1778 -1,1941 -1,1811 -1,1606 -1,1413 -1,1173 -1,0716 -0,9880 -0,8649 -0,7161 -0,5609 -0,4145 -0,2845 -0,1689 -0,0534 0,0912 0,3066 0,6331 1,0872 1,6447 2,2460 2,8217 3,3166 3,7020 3,9751 4,1525 4,2589 4,3159 4,3359 4,3226 4,2727 4,1745 4,0106 3,7680 3,4501 3,0829 2,7097 2,3768 2,1175 1,9407 1,8297 1,7555 1,7009 1,6749 1,7040 1,8051 1,9666 2,1543 2,3310 2,4712 2,5644 2,6152 2,6450 2,6840 2,7551 2,8652 3,0077 3,1655 3,3110 3,4105 3,4323 3,3557 3,1766 2,9045 2,5547 2,1405 1,6743 1,1728 0,6622 0,1766 -0,2478 -0,5786 -0,7914 -0,8762 -0,8408 -0,7105 -0,5217 -0,3122 -0,1117 0,0630 0,2064 0,3198 0,4060 0,4676 0,5109 0,5495 0,6001 0,6758 0,7848 0,9368 1,1466 1,4295 1,7904 2,2135 2,6562 3,0585 3,3653 3,5440 3,5892 3,5188 3,3631 3,1529 2,9124 2,6608 2,4169 2,2053 2,0532 1,9797 1,9907 2,0822 2,2424 2,4533 2,6983 2,9668 3,2551 3,5626 3,8899 4,2360 4,5964 4,9611 5,3092 5,6076 5,8240 5,9473 5,9971 6,0146 6,0430 6,1104 6,2220 6,3684 6,5431 6,7507 6,9962 7,2676 7,5283 7,7232 7,7976 7,7172 7,4770 7,0998 6,6277 6,1140 5,6170 5,1854 4,8416 4,5809 4,3893 4,2577 4,1829 4,1648 4,2005 4,2802 4,3825 4,4757 4,5284 4,5254 4,4766 4,4164 4,3920 4,4437 4,5850 4,7996 5,0542 5,3110 5,5326 5,6834 5,7328 5,6627 5,4827 5,2412 5,0105 4,8501 4,7806 4,7849 4,8303 4,8918 4,9609 5,0366 5,1098 5,1591 5,1649 5,1221 5,0388 4,9275 4,8005 4,6754 4,5822 4,5556 4,6127 4,7328 4,8654 4,9571 4,9766 4,9221 4,8156 4,6938 4,5943 4,5367 4,5100 4,4772 4,3940 4,2284 3,9753 3,6573 3,3107 2,9726 2,6754 2,4400 2,2602 2,1019 1,9261 1,7129 1,4689 1,2212 1,0085 0,8644 0,8019 0,8112 0,8694 0,9534 1,0475 1,1467 1,2497 1,3478 1,4193 1,4355 1,3723 1,2200 0,9890 0,7118 0,4378 0,2196 0,0929 0,0621 0,1001 0,1679 0,2395 0,3127 0,4016 0,5245 0,6916 0,8956 1,1041 1,2626 1,3186 1,2511 1,0751 0,8186 0,5010 0,1340 -0,2676 -0,6792 -1,0701 -1,4098 -1,6740 -1,8482 -1,9254 -1,9021 -1,7777 -1,5624 -1,2841 -0,9842 -0,7016 -0,4599 -0,2658 -0,1150 -0,0014 0,0759 0,1145 0,1131 0,0675 -0,0344 -0,2045 -0,4381 -0,7104 -0,9849 -1,2256 -1,4033 -1,4957 -1,4870 -1,3751 -1,1765 -0,9268 -0,6780 -0,4956 -0,4491 -0,5974 -0,9707 -1,5567 -2,2983 -3,1091 -3,8976 -4,5874 -5,1288 -5,5027 -5,7162 -5,7882 -5,7314 -5,5463 -5,2295 -4,7894 -4,2572 -3,6808 -3,1039 -2,5510 -2,0351 -1,5666 -1,1475 -0,7644 -0,3990 -0,0485 0,2659 0,5126 0,6680 0,7292 0,7174 0,6700 0,6230 0,5997 0,6109 0,6554 0,7191 0,7827 0,8287 0,8384 0,7851 0,6463 0,4232 0,1398 -0,1774 -0,5180 -0,8912 -1,3195 -1,8258 -2,4227 -3,1064 -3,8567 -4,6418 -5,4210 -6,1474 -6,7778 -7,2877 -7,6781 -7,9696 -8,1889 -8,3580 -8,4885 -8,5816 -8,6320 -8,6344 -8,5889 -8,4998 -8,3686 -8,1895 -7,9524 -7,6493 -7,2799 -6,8551 -6,4007 -5,9498 -5,5313 -5,1670 -4,8730 -4,6546 -4,4995 -4,3859 -4,3068 -4,2841 -4,3585 -4,5614 -4,8960 -5,3376 -5,8494 -6,4011 -6,9775 -7,5712 -8,1683 -8,7381 -9,2378 -9,6305 -9,8984 -10,0440 -10,0826 -10,0322 -9,9071 -9,7206 -9,4944 -9,2641 -9,0708 -8,9403 -8,8711 -8,8413 -8,8225 -8,7894 -8,7264 -8,6277 -8,4901 -8,3047
F3    -0,1418 -0,5895 -0,9769 -1,2829 -1,4883 -1,5873 -1,6009 -1,5747 -1,5562 -1,5700 -1,6045 -1,6159 -1,5464 -1,3554 -1,0423 -0,6434 -0,2101 0,2064 0,5625 0,8287 0,9963 1,0770 1,0954 1,0753 1,0277 0,9506 0,8405 0,7036 0,5552 0,4144 0,3040 0,2481 0,2614 0,3358 0,4389 0,5310 0,5864 0,6026 0,5939 0,5814 0,5791 0,5841 0,5776 0,5441 0,4906 0,4425 0,4278 0,4725 0,6047 0,8461 1,1989 1,6402 2,1270 2,6061 3,0277 3,3596 3,5893 3,7157 3,7423 3,6737 3,5192 3,2944 3,0201 2,7200 2,4156 2,1180 1,8313 1,5659 1,3455 1,1978 1,1401 1,1691 1,2586 1,3709 1,4763 1,5641 1,6293 1,6575 1,6293 1,5404 1,4129 1,2896 1,2189 1,2359 1,3510 1,5510 1,8031 2,0559 2,2468 2,3213 2,2560 2,0666 1,7997 1,5127 1,2530 1,0437 0,8825 0,7501 0,6237 0,4941 0,3747 0,2886 0,2497 0,2577 0,3036 0,3783 0,4712 0,5611 0,6144 0,6000 0,5090 0,3609 0,1928 0,0433 -0,0633 -0,1230 -0,1409 -0,1162 -0,0363 0,1163 0,3544 0,6845 1,1099 1,6329 2,2498 2,9391 3,6554 4,3395 4,9384 5,4224 5,7897 6,0585 6,2508 6,3809 6,4555 6,4776 6,4479 6,3592 6,1915 5,9202 5,5407 5,0838 4,6067 4,1712 3,8240 3,5860 3,4570 3,4319 3,5096 3,6899 3,9667 4,3217 4,7241 5,1356 5,5142 5,8197 6,0281 6,1438 6,1940 6,2158 6,2518 6,3413 6,5008 6,7107 6,9158 7,0392 7,0171 6,8388 6,5539 6,2334 5,9235 5,6309 5,3359 5,0112 4,6410 4,2327 3,8106 3,4100 3,0733 2,8376 2,7148 2,6883 2,7261 2,7936 2,8610 2,9082 2,9210 2,8836 2,7815 2,6136 2,4007 2,1802 1,9809 1,8012 1,6194 1,4219 1,2079 0,9747 0,7132 0,4219 0,1202 -0,1536 -0,3627 -0,4882 -0,5294 -0,4946 -0,3964 -0,2514 -0,0787 0,0986 0,2568 0,3824 0,4826 0,5808 0,6993 0,8429 0,9986 1,1511 1,3031 1,4822 1,7280 2,0663 2,4894 2,9554 3,4044 3,7827 4,0613 4,2394 4,3350 4,3719 4,3748 4,3663 4,3613 4,3574 4,3326 4,2583 4,1191 3,9267 3,7157 3,5230 3,3685 3,2456 3,1300 3,0049 2,8827 2,8049 2,8144 2,9175 3,0722 3,2154 3,3007 3,3182 3,2903 3,2536 3,2396 3,2661 3,3371 3,4494 3,5994 3,7837 3,9929 4,2019 4,3655 4,4327 4,3678 4,1579 3,8077 3,3324 2,7544 2,1031 1,4240 0,7856 0,2684 -0,0606 -0,1696 -0,0656 0,2168 0,6235 1,0828 1,5158 1,8597 2,0869 2,2050 2,2409 2,2226 2,1697 2,0986 2,0261 1,9698 1,9448 1,9656 2,0527 2,2303 2,5093 2,8705 3,2653 3,6291 3,9019 4,0502 4,0788 4,0187 3,9052 3,7640 3,6098 3,4486 3,2810 3,1083 2,9389 2,7881 2,6712 2,6000 2,5830 2,6200 2,6992 2,8083 2,9465 3,1240 3,3535 3,6384 3,9644 4,3051 4,6376 4,9472 5,2210 5,4494 5,6343 5,7886 5,9261 6,0563 6,1825 6,3039 6,4234 6,5598 6,7452 7,0031 7,3231 7,6533 7,9145 8,0311 7,9604 7,7029 7,2951 6,7930 6,2616 5,7706 5,3834 5,1344 5,0181 5,0002 5,0344 5,0756 5,0945 5,0882 5,0747 5,0698 5,0681 5,0439 4,9692 4,8320 4,6487 4,4645 4,3337 4,2949 4,3615 4,5258 4,7642 5,0377 5,2959 5,4865 5,5719 5,5485 5,4547 5,3505 5,2829 5,2658 5,2810 5,2934 5,2780 5,2397 5,2074 5,2070 5,2442 5,3058 5,3715 5,4177 5,4174 5,3496 5,2158 5,0477 4,8968 4,8052 4,7811 4,8007 4,8316 4,8494 4,8387 4,7917 4,7138 4,6250 4,5473 4,4840 4,4104 4,2822 4,0625 3,7470 3,3691 2,9824 2,6396 2,3783 2,2084 2,1036 2,0103 1,8795 1,6970 1,4899 1,3087 1,2003 1,1838 1,2428 1,3382 1,4289 1,4897 1,5153 1,5131 1,4940 1,4643 1,4221 1,3561 1,2496 1,0897 0,8759 0,6226 0,3608 0,1314 -0,0328 -0,1263 -0,1686 -0,1800 -0,1586 -0,0784 0,0905 0,3586 0,7066 1,0889 1,4443 1,7093 1,8377 1,8195 1,6782 1,4430 1,1269 0,7340 0,2807 -0,1962 -0,6511 -1,0462 -1,3585 -1,5745 -1,6804 -1,6625 -1,5200 -1,2754 -0,9772 -0,6877 -0,4617 -0,3274 -0,2790 -0,2878 -0,3250 -0,3790 -0,4502 -0,5406 -0,6540 -0,8007 -0,9854 -1,1933 -1,3962 -1,5726 -1,7152 -1,8218 -1,8845 -1,8928 -1,8395 -1,7228 -1,5486 -1,3417 -1,1531 -1,0554 -1,1235 -1,4111 -1,9311 -2,6472 -3,4816 -4,3360 -5,1149 -5,7455 -6,1899 -6,4463 -6,5363 -6,4856 -6,3069 -5,9962 -5,5476 -4,9746 -4,3117 -3,5976 -2,8675 -2,1598 -1,5135 -0,9526 -0,4804 -0,0886 0,2270 0,4596 0,6001 0,6503 0,6279 0,5604 0,4714 0,3728 0,2720 0,1818 0,1155 0,0774 0,0676 0,0872 0,1326 0,1874 0,2285 0,2383 0,2034 0,1044 -0,0856 -0,3924 -0,8312 -1,3962 -2,0538 -2,7510 -3,4378 -4,0869 -4,6934 -5,2623 -5,7983 -6,3013 -6,7664 -7,1831 -7,5376 -7,8227 -8,0443 -8,2121 -8,3252 -8,3695 -8,3282 -8,1943 -7,9724 -7,6751 -7,3209 -6,9326 -6,5303 -6,1263 -5,7272 -5,3349 -4,9499 -4,5842 -4,2684 -4,0366 -3,9063 -3,8791 -3,9543 -4,1365 -4,4318 -4,8363 -5,3298 -5,8833 -6,4773 -7,1103 -7,7871 -8,4972 -9,2030 -9,8447 -10,3575 -10,6893 -10,8137 -10,7398 -10,5133 -10,1970 -9,8452 -9,4924 -9,1603 -8,8718 -8,6547 -8,5284 -8,4877 -8,5030 -8,5372 -8,5646 -8,5785 -8,5800 -8,5569 -8,4750
F7    0,6468 0,2000 -0,2674 -0,7450 -1,2106 -1,6311 -1,9706 -2,1946 -2,2707 -2,1724 -1,8894 -1,4386 -0,8611 -0,2118 0,4508 1,0689 1,5898 1,9732 2,1982 2,2660 2,2000 2,0380 1,8201 1,5748 1,3145 1,0405 0,7538 0,4613 0,1747 -0,0920 -0,3217 -0,4958 -0,6003 -0,6387 -0,6364 -0,6245 -0,6179 -0,6067 -0,5638 -0,4644 -0,3086 -0,1286 0,0277 0,1249 0,1588 0,1523 0,1363 0,1380 0,1787 0,2745 0,4335 0,6552 0,9263 1,2151 1,4766 1,6693 1,7668 1,7547 1,6288 1,3997 1,0974 0,7658 0,4493 0,1763 -0,0530 -0,2608 -0,4667 -0,6658 -0,8269 -0,9094 -0,8835 -0,7406 -0,4906 -0,1528 0,2494 0,6838 1,1052 1,4609 1,7076 1,8254 1,8175 1,7032 1,5149 1,2953 1,0896 0,9354 0,8528 0,8342 0,8435 0,8335 0,7727 0,6663 0,5583 0,5113 0,5668 0,7111 0,8787 0,9890 0,9828 0,8450 0,6113 0,3516 0,1381 0,0216 0,0264 0,1537 0,3795 0,6506 0,8879 1,0105 0,9679 0,7595 0,4284 0,0361 -0,3666 -0,7533 -1,1103 -1,4142 -1,6233 -1,6889 -1,5732 -1,2622 -0,7764 -0,1654 0,5131 1,2113 1,8908 2,5188 3,0735 3,5526 3,9711 4,3490 4,6958 5,0049 5,2595 5,4393 5,5216 5,4882 5,3353 5,0822 4,7745 4,4773 4,2536 4,1433 4,1562 4,2749 4,4655 4,6943 4,9392 5,1944 5,4671 5,7672 6,0919 6,4148 6,6875 6,8573 6,8903 6,7836 6,5620 6,2678 5,9516 5,6617 5,4328 5,2817 5,2083 5,1956 5,2159 5,2477 5,2855 5,3305 5,3757 5,4009 5,3786 5,2870 5,1253 4,9210 4,7167 4,5476 4,4271 4,3444 4,2687 4,1614 3,9909 3,7420 3,4222 3,0645 2,7136 2,4071 2,1666 2,0011 1,9106 1,8858 1,9085 1,9571 2,0166 2,0815 2,1437 2,1819 2,1708 2,1001 1,9823 1,8406 1,6924 1,5430 1,3905 1,2301 1,0587 0,8824 0,7197 0,5937 0,5212 0,5104 0,5646 0,6822 0,8528 1,0566 1,2719 1,4856 1,6978 1,9177 2,1577 2,4253 2,7138 2,9990 3,2491 3,4386 3,5580 3,6133 3,6197 3,5991 3,5824 3,6050 3,6908 3,8379 4,0170 4,1828 4,2931 4,3233 4,2713 4,1530 3,9909 3,8017 3,5928 3,3704 3,1527 2,9723 2,8625 2,8378 2,8888 2,9965 3,1421 3,3048 3,4606 3,5880 3,6770 3,7313 3,7643 3,7887 3,8079 3,8146 3,7996 3,7571 3,6847 3,5802 3,4367 3,2423 2,9914 2,6929 2,3646 2,0251 1,6963 1,4074 1,1885 1,0598 1,0253 1,0709 1,1679 1,2774 1,3645 1,4137 1,4345 1,4513 1,4884 1,5604 1,6650 1,7834 1,8878 1,9515 1,9587 1,9127 1,8384 1,7724 1,7469 1,7820 1,8865 2,0608 2,2953 2,5695 2,8554 3,1182 3,3182 3,4168 3,3888 3,2328 2,9729 2,6514 2,3162 2,0075 1,7454 1,5293 1,3557 1,2328 1,1723 1,1798 1,2552 1,3987 1,6108 1,8887 2,2169 2,5652 2,9017 3,2046 3,4580 3,6450 3,7532 3,7837 3,7491 3,6647 3,5453 3,4118 3,2918 3,2138 3,2039 3,2886 3,4885 3,8017 4,1876 4,5693 4,8615 5,0039 4,9782 4,7997 4,5029 4,1352 3,7558 3,4222 3,1657 2,9859 2,8685 2,7995 2,7666 2,7617 2,7864 2,8484 2,9475 3,0685 3,1873 3,2792 3,3255 3,3228 3,2868 3,2435 3,2128 3,1998 3,1985 3,1984 3,1879 3,1546 3,0858 2,9765 2,8467 2,7462 2,7312 2,8267 3,0107 3,2273 3,4147 3,5336 3,5813 3,5819 3,5648 3,5480 3,5337 3,5111 3,4576 3,3444 3,1526 2,8936 2,6168 2,3929 2,2808 2,2996 2,4256 2,6114 2,8034 2,9515 3,0186 2,9918 2,8872 2,7370 2,5685 2,3901 2,1922 1,9579 1,6774 1,3580 1,0251 0,7182 0,4813 0,3470 0,3199 0,3746 0,4746 0,5947 0,7270 0,8748 1,0436 1,2286 1,4072 1,5430 1,5980 1,5448 1,3750 1,1054 0,7785 0,4501 0,1698 -0,0355 -0,1632 -0,2211 -0,2117 -0,1306 0,0241 0,2409 0,4903 0,7305 0,9216 1,0402 1,0856 1,0750 1,0347 0,9941 0,9777 0,9963 1,0414 1,0884 1,1111 1,1001 1,0629 1,0063 0,9251 0,8111 0,6688 0,5201 0,3950 0,3166 0,2891 0,2941 0,3005 0,2827 0,2307 0,1481 0,0458 -0,0610 -0,1537 -0,2121 -0,2204 -0,1745 -0,0863 0,0217 0,1279 0,2168 0,2698 0,2604 0,1669 -0,0124 -0,2607 -0,5555 -0,8772 -1,2088 -1,5316 -1,8212 -2,0538 -2,2143 -2,3043 -2,3438 -2,3660 -2,4082 -2,5023 -2,6658 -2,8954 -3,1656 -3,4357 -3,6648 -3,8263 -3,9168 -3,9584 -3,9883 -4,0383 -4,1178 -4,2093 -4,2756 -4,2760 -4,1796 -3,9690 -3,6409 -3,2110 -2,7157 -2,2013 -1,7030 -1,2304 -0,7741 -0,3268 0,1018 0,4860 0,7989 1,0291 1,1908 1,3167 1,4380 1,5688 1,7052 1,8340 1,9404 2,0114 2,0341 1,9913 1,8623 1,6389 1,3426 1,0163 0,6969 0,3960 0,1018 -0,2082 -0,5528 -0,9393 -1,3638 -1,8132 -2,2674 -2,7014 -3,0905 -3,4165 -3,6735 -3,8701 -4,0238 -4,1506 -4,2569 -4,3417 -4,4000 -4,4244 -4,4097 -4,3566 -4,2715 -4,1643 -4,0471 -3,9352 -3,8459 -3,7899 -3,7643 -3,7542 -3,7419 -3,7145 -3,6721 -3,6280 -3,5960 -3,5811 -3,5862 -3,6249 -3,7193 -3,8822 -4,1034 -4,3569 -4,6175 -4,8732 -5,1305 -5,4096 -5,7297 -6,0926 -6,4773 -6,8444 -7,1494 -7,3562 -7,4497 -7,4398 -7,3552 -7,2290 -7,0840 -6,9292 -6,7636 -6,5823 -6,3808 -6,1565 -5,9099 -5,6438 -5,3624 -5,0706 -4,7759 -4,4868 -4,2085
