Fp1   -1,0772 -1,2045 -1,3344 -1,5087 -1,7211 -1,9216 -2,0497 -2,0649 -1,9530 -1,7300 -1,4506 -1,1923 -1,0159 -0,9222 -0,8392 -0,6748 -0,3939 -0,0367 0,3210 0,6173 0,8323 0,9744 1,0565 1,1127 1,2052 1,3679 1,5647 1,7307 1,8394 1,9168 2,0006 2,0921 2,1449 2,0882 1,8556 1,4186 0,8170 0,1549 -0,4466 -0,8961 -1,1384 -1,1475 -0,9442 -0,6093 -0,2498 0,0544 0,2672 0,3794 0,3926 0,3186 0,1891 0,0599 -0,0216 -0,0616 -0,1081 -0,1927 -0,2969 -0,3592 -0,3022 -0,0655 0,3509 0,8533 1,2885 1,5399 1,5890 1,4945 1,3360 1,1715 1,0279 0,9280 0,9104 0,9918 1,1284 1,2513 1,3239 1,3533 1,3702 1,4001 1,4352 1,4421 1,4024 1,3317 1,2549 1,1858 1,1423 1,1536 1,2281 1,3340 1,4306 1,5070 1,5632 1,5737 1,5015 1,3438 1,1453 0,9657 0,8351 0,7359 0,6344 0,5269 0,4420 0,4044 0,4123 0,4470 0,5107 0,6391 0,8591 1,1339 1,3677 1,4650 1,3852 1,1472 0,8078 0,4507 0,1658 0,0115 0,0110 0,1730 0,4863 0,9047 1,3568 1,7524 1,9991 2,0700 2,0412 2,0187 2,0481 2,1160 2,1980 2,2770 2,3336 2,3499 2,3265 2,2919 2,2920 2,3582 2,4739 2,5786 2,6144 2,5720 2,4889 2,4011 2,2995 2,1327 1,8616 1,5238 1,2263 1,0570 1,0196 1,0697 1,1707 1,2916 1,3884 1,4221 1,3931 1,3457 1,3329 1,3780 1,4721 1,5870 1,6826 1,7169 1,6669 1,5472 1,4076 1,3125 1,3189 1,4665 1,7757 2,2375 2,7993 3,3754 3,8771 4,2319 4,3932 4,3553 4,1605 3,8777 3,5684 3,2784 3,0525 2,9177 2,8460 2,7656 2,6215 2,4169 2,1984 2,0047 1,8294 1,6228 1,3349 0,9617 0,5462 0,1466 -0,1938 -0,4613 -0,6686 -0,8435 -1,0082 -1,1436 -1,1779 -1,0421 -0,7528 -0,4195 -0,1693 -0,0727 -0,1255 -0,2719 -0,4552 -0,6643 -0,9347 -1,3147 -1,8246 -2,4210 -2,9989 -3,4440 -3,6751 -3,6372 -3,2892 -2,6415 -1,8082 -0,9795 -0,3149 0,1419 0,4514 0,7003 0,9384 1,1691 1,3743 1,5413 1,6611 1,7052 1,6236 1,3863 1,0281 0,6436 0,3363 0,1622 0,1023 0,0835 0,0242 -0,1264 -0,3648 -0,6440 -0,9171 -1,1600 -1,3511 -1,4517 -1,4286 -1,2948 -1,1103 -0,9558 -0,9196 -1,0743 -1,4240 -1,8720 -2,2490 -2,3986 -2,2773 -1,9849 -1,6904 -1,5228 -1,5098 -1,5942 -1,7043 -1,8140 -1,9440 -2,1176 -2,3219 -2,5122 -2,6484 -2,7163 -2,7212 -2,6730 -2,5602 -2,3413 -1,9806 -1,4911 -0,9272 -0,3513 0,1697 0,5635 0,7877 0,8520 0,7885 0,6265 0,4105 0,2092 0,0787 0,0249 0,0150 0,0123 -0,0009 -0,0197 -0,0302 -0,0285 -0,0290 -0,0620 -0,1618 -0,3400 -0,5661 -0,7838 -0,9438 -1,0119 -0,9729 -0,8594 -0,7445 -0,6728 -0,6146 -0,4992 -0,2880 -0,0117 0,2608 0,4691 0,5695 0,5403 0,4000 0,2065 0,0352 -0,0373 0,0376 0,2342 0,4618 0,6391 0,7354 0,7497 0,7004 0,6350 0,6100 0,6513 0,7428 0,8542 0,9659 1,0720 1,1815 1,3081 1,4292 1,4596 1,2882 0,8498 0,1711 -0,6396 -1,4391 -2,0918 -2,4879 -2,5578 -2,3075 -1,8424 -1,3300 -0,9215 -0,7035 -0,6920 -0,8430 -1,0715 -1,2799 -1,3897 -1,3736 -1,2680 -1,1402 -1,0311 -0,9360 -0,8434 -0,7747 -0,7652 -0,8271 -0,9452 -1,0862 -1,2003 -1,2318 -1,1449 -0,9504 -0,7101 -0,5059 -0,4026 -0,4240 -0,5256 -0,5860 -0,4631 -0,1022 0,4005 0,8451 1,0489 0,9425 0,5843 0,1104 -0,3316 -0,6294 -0,7273 -0,6333 -0,4268 -0,2415 -0,2002 -0,3568 -0,6969 -1,1694 -1,7096 -2,2474 -2,7164 -3,0601 -3,2231 -3,1439 -2,7906 -2,2185 -1,5612 -0,9444 -0,4287 -0,0303 0,2338 0,3363 0,2742 0,1057 -0,0602 -0,1318 -0,0963 -0,0024 0,1060 0,2175 0,3208 0,3749 0,3352 0,2058 0,0425 -0,1003 -0,2114 -0,3044 -0,3702 -0,3742 -0,2908 -0,1190 0,1246 0,3992 0,6391 0,7849 0,8088 0,7099 0,5002 0,1920 -0,2011 -0,6471 -1,0938 -1,4886 -1,7884 -1,9659 -2,0283 -2,0135 -1,9542 -1,8585 -1,7202 -1,5486 -1,3970 -1,3447 -1,4429 -1,6853 -2,0070 -2,3002 -2,4600 -2,4411 -2,2618 -1,9423 -1,4542 -0,7821 -0,0312 0,5932 0,9354 0,9906 0,8702 0,6979 0,5398 0,4039 0,2757 0,1448 0,0146 -0,0972 -0,1655 -0,1675 -0,0926 0,0461 0,2064 0,3402 0,4246 0,4582 0,4388 0,3652 0,2514 0,1152 -0,0355 -0,1926 -0,3431 -0,4723 -0,5443 -0,5003 -0,3007 0,0284 0,3817 0,6190 0,6559 0,5166 0,3001 0,1090 -0,0045 -0,0478 -0,0496 -0,0145 0,0843 0,2727 0,5519 0,9084 1,3218 1,7426 2,0830 2,2588 2,2442 2,0813 1,8356 1,5511 1,2506 0,9581 0,6996 0,4987 0,3668 0,2799 0,1859 0,0668 -0,0319 -0,0534 0,0156 0,1514 0,3264 0,5210 0,7170 0,8930 1,0315 1,1308 1,2149 1,3134 1,4173 1,4690 1,4137 1,2411 0,9657 0,5877 0,0991 -0,4723 -1,0339 -1,4574 -1,6586 -1,6605 -1,5667 -1,4729 -1,4083 -1,3414 -1,2240 -1,0415 -0,8219 -0,5988 -0,3918 -0,2200 -0,1020 -0,0437 -0,0465 -0,1209 -0,2657 -0,4370 -0,5640 -0,5971 -0,5362 -0,4236 -0,3105 -0,2201 -0,1483 -0,1043 -0,1410 -0,3246 -0,6793 -1,1689 -1,7181 -2,2454 -2,6849 -2,9776 -3,0603 -2,8964 -2,5317 -2,0930 -1,7015 -1,3904 -1,1067 -0,7698 -0,3366 0,1617 0,6458 1,0495 1,3521 1,5647 1,7071 1,7948 1,8343 1,8311 1,8063 1,8048 1,8826
Fz    -1,0208 -1,0011 -0,9757 -0,9485 -0,9314 -0,9368 -0,9646 -0,9932 -0,9849 -0,9031 -0,7267 -0,4623 -0,1499 0,1475 0,3725 0,5008 0,5433 0,5296 0,4922 0,4593 0,4519 0,4804 0,5434 0,6293 0,7208 0,7975 0,8469 0,8758 0,9046 0,9429 0,9723 0,9546 0,8568 0,6663 0,3864 0,0334 -0,3536 -0,7114 -0,9742 -1,0977 -1,0655 -0,8865 -0,5969 -0,2522 0,0906 0,3830 0,5846 0,6680 0,6263 0,4760 0,2553 0,0153 -0,1981 -0,3588 -0,4621 -0,5110 -0,5040 -0,4369 -0,3138 -0,1524 0,0203 0,1754 0,2897 0,3539 0,3762 0,3803 0,3948 0,4384 0,5074 0,5787 0,6261 0,6380 0,6249 0,6116 0,6206 0,6591 0,7172 0,7807 0,8455 0,9210 1,0213 1,1522 1,3056 1,4646 1,6065 1,7061 1,7467 1,7350 1,6964 1,6498 1,5935 1,5143 1,4073 1,2845 1,1666 1,0624 0,9573 0,8255 0,6491 0,4261 0,1677 -0,1095 -0,3867 -0,6380 -0,8298 -0,9367 -0,9551 -0,8946 -0,7633 -0,5753 -0,3676 -0,1937 -0,0918 -0,0564 -0,0469 -0,0244 0,0265 0,1053 0,2068 0,3245 0,4530 0,5895 0,7334 0,8819 1,0281 1,1657 1,2961 1,4291 1,5777 1,7509 1,9495 2,1636 2,3684 2,5295 2,6243 2,6572 2,6529 2,6409 2,6501 2,7116 2,8451 3,0381 3,2542 3,4623 3,6460 3,7935 3,8888 3,9209 3,8966 3,8372 3,7615 3,6795 3,6004 3,5372 3,5013 3,4970 3,5248 3,5854 3,6727 3,7681 3,8537 3,9284 3,9994 4,0605 4,0858 4,0496 3,9517 3,8211 3,7007 3,6357 3,6676 3,8207 4,0826 4,4016 4,7084 4,9437 5,0790 5,1151 5,0610 4,9178 4,6813 4,3530 3,9517 3,5205 3,1167 2,7934 2,5831 2,4857 2,4648 2,4678 2,4580 2,4308 2,3987 2,3671 2,3215 2,2361 2,0966 1,9168 1,7348 1,5941 1,5225 1,5207 1,5660 1,6267 1,6708 1,6663 1,5887 1,4307 1,2049 0,9391 0,6690 0,4226 0,2078 0,0203 -0,1397 -0,2646 -0,3449 -0,3720 -0,3375 -0,2359 -0,0700 0,1473 0,3933 0,6364 0,8471 1,0108 1,1252 1,1891 1,2023 1,1761 1,1362 1,1060 1,0922 1,0953 1,1214 1,1695 1,2099 1,1852 1,0401 0,7578 0,3769 -0,0233 -0,3600 -0,5844 -0,6967 -0,7319 -0,7256 -0,6903 -0,6251 -0,5416 -0,4709 -0,4470 -0,4901 -0,6022 -0,7650 -0,9440 -1,1034 -1,2240 -1,3108 -1,3874 -1,4791 -1,5884 -1,6846 -1,7278 -1,6985 -1,6017 -1,4549 -1,2833 -1,1155 -0,9791 -0,8990 -0,8865 -0,9279 -0,9950 -1,0724 -1,1636 -1,2685 -1,3660 -1,4247 -1,4282 -1,3884 -1,3310 -1,2709 -1,2048 -1,1225 -1,0161 -0,8840 -0,7353 -0,5926 -0,4813 -0,4139 -0,3906 -0,4094 -0,4647 -0,5394 -0,6108 -0,6671 -0,7150 -0,7661 -0,8198 -0,8652 -0,8987 -0,9321 -0,9754 -1,0223 -1,0597 -1,0821 -1,0956 -1,1082 -1,1200 -1,1218 -1,1039 -1,0650 -1,0053 -0,9140 -0,7710 -0,5603 -0,2780 0,0617 0,4232 0,7576 1,0141 1,1501 1,1450 1,0102 0,7864 0,5308 0,2986 0,1245 0,0171 -0,0316 -0,0377 -0,0245 -0,0174 -0,0348 -0,0903 -0,2020 -0,3871 -0,6415 -0,9335 -1,2213 -1,4717 -1,6611 -1,7787 -1,8322 -1,8363 -1,7911 -1,6797 -1,4888 -1,2247 -0,9149 -0,6008 -0,3254 -0,1188 0,0080 0,0543 0,0231 -0,0735 -0,2040 -0,3208 -0,3797 -0,3634 -0,2902 -0,2009 -0,1377 -0,1269 -0,1694 -0,2437 -0,3186 -0,3665 -0,3775 -0,3674 -0,3681 -0,4049 -0,4807 -0,5733 -0,6443 -0,6566 -0,5966 -0,4819 -0,3454 -0,2091 -0,0733 0,0693 0,2116 0,3289 0,3956 0,4010 0,3563 0,2911 0,2369 0,2063 0,1866 0,1530 0,0835 -0,0363 -0,2096 -0,4229 -0,6500 -0,8659 -1,0542 -1,2046 -1,3086 -1,3589 -1,3531 -1,2949 -1,1920 -1,0515 -0,8759 -0,6643 -0,4226 -0,1688 0,0767 0,3015 0,5025 0,6851 0,8624 1,0412 1,2047 1,3171 1,3478 1,2869 1,1430 0,9367 0,6986 0,4659 0,2748 0,1541 0,1176 0,1582 0,2498 0,3555 0,4394 0,4795 0,4706 0,4206 0,3422 0,2427 0,1207 -0,0250 -0,1849 -0,3389 -0,4678 -0,5657 -0,6458 -0,7310 -0,8350 -0,9481 -1,0436 -1,0960 -1,0901 -1,0221 -0,9023 -0,7511 -0,5929 -0,4532 -0,3549 -0,3070 -0,2961 -0,2965 -0,2880 -0,2636 -0,2212 -0,1538 -0,0512 0,0870 0,2472 0,4063 0,5352 0,6084 0,6191 0,5819 0,5244 0,4748 0,4500 0,4463 0,4466 0,4325 0,3865 0,2966 0,1670 0,0200 -0,1173 -0,2250 -0,2970 -0,3409 -0,3740 -0,4161 -0,4775 -0,5548 -0,6379 -0,7217 -0,8096 -0,9047 -1,0007 -1,0790 -1,1085 -1,0538 -0,8987 -0,6601 -0,3749 -0,0752 0,2251 0,5292 0,8455 1,1728 1,4951 1,7889 2,0292 2,1914 2,2551 2,2139 2,0841 1,9068 1,7334 1,6017 1,5191 1,4613 1,3831 1,2432 1,0358 0,7988 0,5944 0,4795 0,4799 0,5750 0,7061 0,8044 0,8174 0,7251 0,5482 0,3387 0,1535 0,0274 -0,0359 -0,0527 -0,0397 -0,0053 0,0434 0,0896 0,1071 0,0751 -0,0063 -0,1106 -0,1950 -0,2296 -0,2160 -0,1783 -0,1379 -0,1020 -0,0695 -0,0339 0,0185 0,0999 0,2041 0,2971 0,3241 0,2386 0,0357 -0,2428 -0,5363 -0,8013 -1,0283 -1,2297 -1,4154 -1,5859 -1,7339 -1,8406 -1,8838 -1,8612 -1,8007 -1,7469 -1,7403 -1,8045 -1,9415 -2,1323 -2,3401 -2,5225 -2,6439 -2,6856 -2,6497 -2,5607 -2,4537 -2,3492 -2,2405 -2,1110 -1,9529 -1,7712 -1,5791 -1,3913 -1,2138 -1,0422 -0,8684 -0,6926 -0,5309 -0,4088 -0,3408 -0,3202 -0,3280 -0,3448
F3    -0,8533 -0,8674 -0,8826 -0,8925 -0,8962 -0,9032 -0,9234 -0,9515 -0,9639 -0,9300 -0,8310 -0,6699 -0,4734 -0,2872 -0,1565 -0,1006 -0,1068 -0,1446 -0,1791 -0,1791 -0,1242 -0,0108 0,1504 0,3432 0,5530 0,7655 0,9679 1,1537 1,3211 1,4638 1,5617 1,5832 1,4968 1,2836 0,9424 0,4990 0,0141 -0,4263 -0,7452 -0,9026 -0,8956 -0,7456 -0,4923 -0,1876 0,1164 0,3743 0,5473 0,6099 0,5588 0,4160 0,2231 0,0264 -0,1416 -0,2713 -0,3667 -0,4248 -0,4229 -0,3283 -0,1234 0,1774 0,5249 0,8498 1,0907 1,2205 1,2535 1,2320 1,2057 1,2117 1,2596 1,3314 1,3989 1,4409 1,4484 1,4230 1,3702 1,2913 1,1852 1,0597 0,9354 0,8372 0,7868 0,7990 0,8785 1,0196 1,2025 1,3916 1,5497 1,6581 1,7171 1,7279 1,6851 1,5867 1,4465 1,2962 1,1734 1,0957 1,0487 1,0023 0,9343 0,8372 0,7125 0,5652 0,4020 0,2344 0,0797 -0,0487 -0,1502 -0,2258 -0,2627 -0,2442 -0,1781 -0,1020 -0,0528 -0,0360 -0,0277 -0,0077 0,0250 0,0666 0,1230 0,2057 0,3249 0,4864 0,6897 0,9250 1,1731 1,4113 1,6246 1,8095 1,9707 2,1149 2,2488 2,3758 2,4895 2,5741 2,6172 2,6214 2,6067 2,6026 2,6411 2,7514 2,9400 3,1725 3,3868 3,5270 3,5677 3,5185 3,4151 3,3047 3,2314 3,2204 3,2698 3,3554 3,4478 3,5292 3,5990 3,6685 3,7503 3,8520 3,9734 4,1036 4,2283 4,3410 4,4367 4,4993 4,5075 4,4561 4,3698 4,2917 4,2593 4,2933 4,4020 4,5832 4,8156 5,0573 5,2585 5,3772 5,3927 5,3083 5,1388 4,8959 4,5877 4,2252 3,8319 3,4496 3,1260 2,8935 2,7557 2,6851 2,6307 2,5408 2,3884 2,1833 1,9583 1,7446 1,5514 1,3677 1,1836 1,0090 0,8700 0,7932 0,7903 0,8483 0,9323 1,0003 1,0179 0,9642 0,8362 0,6494 0,4269 0,1868 -0,0586 -0,3003 -0,5328 -0,7490 -0,9358 -1,0788 -1,1699 -1,2033 -1,1681 -1,0510 -0,8467 -0,5663 -0,2363 0,1087 0,4380 0,7343 0,9871 1,1830 1,3084 1,3598 1,3476 1,2838 1,1745 1,0291 0,8715 0,7265 0,5963 0,4533 0,2599 -0,0004 -0,3067 -0,6101 -0,8608 -1,0347 -1,1391 -1,1967 -1,2244 -1,2218 -1,1809 -1,1075 -1,0271 -0,9729 -0,9721 -1,0380 -1,1644 -1,3270 -1,4945 -1,6421 -1,7603 -1,8575 -1,9486 -2,0346 -2,0923 -2,0917 -2,0191 -1,8823 -1,7024 -1,5060 -1,3178 -1,1603 -1,0587 -1,0310 -1,0693 -1,1463 -1,2410 -1,3479 -1,4593 -1,5522 -1,5975 -1,5817 -1,5189 -1,4388 -1,3598 -1,2780 -1,1781 -1,0472 -0,8837 -0,7034 -0,5382 -0,4181 -0,3525 -0,3332 -0,3518 -0,4075 -0,5021 -0,6330 -0,7945 -0,9795 -1,1769 -1,3680 -1,5301 -1,6510 -1,7370 -1,7980 -1,8295 -1,8200 -1,7685 -1,6905 -1,6126 -1,5575 -1,5301 -1,5196 -1,5099 -1,4841 -1,4210 -1,2982 -1,0978 -0,8122 -0,4526 -0,0551 0,3272 0,6340 0,8095 0,8226 0,6844 0,4464 0,1834 -0,0337 -0,1678 -0,2228 -0,2247 -0,2019 -0,1800 -0,1817 -0,2199 -0,2987 -0,4229 -0,5986 -0,8223 -1,0737 -1,3295 -1,5756 -1,8041 -2,0098 -2,1935 -2,3518 -2,4633 -2,4960 -2,4319 -2,2803 -2,0717 -1,8443 -1,6311 -1,4507 -1,3093 -1,2120 -1,1683 -1,1839 -1,2449 -1,3145 -1,3525 -1,3429 -1,3049 -1,2772 -1,2918 -1,3534 -1,4383 -1,5075 -1,5241 -1,4666 -1,3384 -1,1700 -1,0049 -0,8774 -0,7995 -0,7585 -0,7236 -0,6614 -0,5569 -0,4250 -0,2999 -0,2090 -0,1521 -0,1130 -0,0867 -0,0885 -0,1352 -0,2240 -0,3293 -0,4147 -0,4542 -0,4487 -0,4225 -0,4077 -0,4310 -0,5071 -0,6368 -0,8070 -0,9981 -1,1940 -1,3835 -1,5578 -1,7066 -1,8183 -1,8838 -1,9011 -1,8712 -1,7912 -1,6555 -1,4655 -1,2421 -1,0237 -0,8426 -0,7005 -0,5690 -0,4079 -0,1875 0,0868 0,3634 0,5677 0,6468 0,5902 0,4192 0,1669 -0,1302 -0,4369 -0,7225 -0,9612 -1,1345 -1,2362 -1,2742 -1,2703 -1,2537 -1,2520 -1,2853 -1,3612 -1,4760 -1,6215 -1,7914 -1,9812 -2,1831 -2,3820 -2,5586 -2,6994 -2,8041 -2,8821 -2,9412 -2,9735 -2,9582 -2,8818 -2,7476 -2,5701 -2,3714 -2,1798 -2,0220 -1,9163 -1,8690 -1,8741 -1,9122 -1,9541 -1,9742 -1,9583 -1,9010 -1,7992 -1,6526 -1,4700 -1,2703 -1,0802 -0,9314 -0,8511 -0,8465 -0,9034 -0,9985 -1,1127 -1,2372 -1,3702 -1,5074 -1,6385 -1,7574 -1,8669 -1,9676 -2,0495 -2,0960 -2,0947 -2,0500 -1,9861 -1,9330 -1,9075 -1,9074 -1,9206 -1,9381 -1,9628 -2,0093 -2,0919 -2,2100 -2,3427 -2,4521 -2,4971 -2,4562 -2,3391 -2,1723 -1,9762 -1,7528 -1,4909 -1,1840 -0,8439 -0,4976 -0,1780 0,0824 0,2539 0,3156 0,2637 0,1159 -0,0888 -0,3010 -0,4794 -0,6059 -0,6895 -0,7581 -0,8404 -0,9448 -1,0515 -1,1232 -1,1223 -1,0322 -0,8744 -0,7044 -0,5837 -0,5508 -0,6067 -0,7186 -0,8387 -0,9251 -0,9587 -0,9494 -0,9272 -0,9182 -0,9259 -0,9352 -0,9388 -0,9540 -1,0093 -1,1171 -1,2618 -1,4122 -1,5412 -1,6360 -1,6941 -1,7154 -1,7018 -1,6603 -1,6005 -1,5265 -1,4390 -1,3456 -1,2702 -1,2568 -1,3513 -1,5678 -1,8749 -2,2146 -2,5312 -2,7904 -2,9802 -3,1031 -3,1723 -3,2069 -3,2209 -3,2202 -3,2129 -3,2159 -3,2530 -3,3490 -3,5161 -3,7417 -3,9926 -4,2307 -4,4206 -4,5315 -4,5463 -4,4726 -4,3421 -4,1919 -4,0397 -3,8789 -3,6964 -3,4863 -3,2518 -3,0050 -2,7656 -2,5511 -2,3666 -2,2024 -2,0433 -1,8872 -1,7480 -1,6367 -1,5504 -1,4837 -1,4385
F7    -1,2271 -1,2397 -1,2261 -1,2161 -1,2307 -1,2766 -1,3453 -1,4140 -1,4483 -1,4162 -1,3051 -1,1270 -0,9101 -0,6821 -0,4534 -0,2189 0,0247 0,2696 0,5023 0,7106 0,8861 1,0228 1,1174 1,1797 1,2334 1,2930 1,3498 1,3902 1,4175 1,4485 1,4907 1,5215 1,4920 1,3486 1,0579 0,6280 0,1180 -0,3774 -0,7692 -1,0082 -1,0826 -0,9974 -0,7745 -0,4649 -0,1380 0,1483 0,3585 0,4715 0,4780 0,3900 0,2470 0,1074 0,0225 0,0064 0,0364 0,0848 0,1442 0,2282 0,3556 0,5346 0,7505 0,9608 1,1102 1,1636 1,1256 1,0366 0,9507 0,9096 0,9303 1,0120 1,1420 1,2905 1,4126 1,4704 1,4534 1,3810 1,2899 1,2135 1,1634 1,1323 1,1149 1,1183 1,1525 1,2205 1,3196 1,4444 1,5823 1,7131 1,8187 1,8871 1,9016 1,8367 1,6768 1,4401 1,1797 0,9557 0,8019 0,7139 0,6652 0,6344 0,6108 0,5827 0,5329 0,4519 0,3547 0,2800 0,2602 0,2972 0,3638 0,4202 0,4277 0,3587 0,2088 0,0053 -0,2036 -0,3737 -0,4690 -0,4509 -0,2922 0,0001 0,3856 0,8023 1,1800 1,4702 1,6703 1,8095 1,9198 2,0265 2,1493 2,2919 2,4337 2,5417 2,5921 2,5836 2,5392 2,4937 2,4704 2,4736 2,5050 2,5742 2,6812 2,7958 2,8667 2,8496 2,7320 2,5459 2,3535 2,2095 2,1382 2,1425 2,2142 2,3302 2,4553 2,5586 2,6343 2,7064 2,8102 2,9673 3,1736 3,4004 3,6070 3,7587 3,8384 3,8458 3,7918 3,6990 3,6041 3,5527 3,5875 3,7326 3,9828 4,3032 4,6368 4,9203 5,1055 5,1757 5,1484 5,0602 4,9405 4,8003 4,6390 4,4510 4,2284 3,9700 3,6916 3,4271 3,2132 3,0627 2,9472 2,8118 2,6145 2,3540 2,0610 1,7730 1,5163 1,3026 1,1334 1,0038 0,9092 0,8592 0,8796 0,9817 1,1331 1,2649 1,3084 1,2275 1,0311 0,7603 0,4587 0,1477 -0,1756 -0,5267 -0,9185 -1,3400 -1,7460 -2,0739 -2,2694 -2,2966 -2,1378 -1,8076 -1,3659 -0,8976 -0,4726 -0,1251 0,1416 0,3404 0,4860 0,5861 0,6418 0,6527 0,6206 0,5417 0,4017 0,1944 -0,0530 -0,2870 -0,4646 -0,5848 -0,6849 -0,8046 -0,9539 -1,1148 -1,2592 -1,3680 -1,4465 -1,5164 -1,5855 -1,6277 -1,6073 -1,5223 -1,4136 -1,3392 -1,3512 -1,4796 -1,7115 -1,9826 -2,2007 -2,2924 -2,2439 -2,1068 -1,9653 -1,8839 -1,8712 -1,8920 -1,9099 -1,9112 -1,9004 -1,8835 -1,8534 -1,7951 -1,7045 -1,5924 -1,4726 -1,3549 -1,2437 -1,1375 -1,0340 -0,9324 -0,8290 -0,7180 -0,6081 -0,5291 -0,5056 -0,5306 -0,5696 -0,5822 -0,5369 -0,4219 -0,2577 -0,0916 0,0272 0,0687 0,0260 -0,0861 -0,2353 -0,3867 -0,5204 -0,6406 -0,7668 -0,9127 -1,0725 -1,2303 -1,3751 -1,4966 -1,5846 -1,6446 -1,6977 -1,7502 -1,7738 -1,7255 -1,5866 -1,3794 -1,1458 -0,9200 -0,7221 -0,5598 -0,4232 -0,2882 -0,1304 0,0664 0,3050 0,5586 0,7710 0,8885 0,8892 0,7882 0,6305 0,4755 0,3666 0,3110 0,2889 0,2774 0,2597 0,2233 0,1648 0,0856 -0,0282 -0,2109 -0,4930 -0,8785 -1,3405 -1,8280 -2,2757 -2,6232 -2,8304 -2,8773 -2,7654 -2,5301 -2,2364 -1,9550 -1,7399 -1,6194 -1,5932 -1,6372 -1,7158 -1,7942 -1,8502 -1,8808 -1,8932 -1,8841 -1,8354 -1,7362 -1,6041 -1,4760 -1,3880 -1,3636 -1,4052 -1,4853 -1,5530 -1,5608 -1,4979 -1,3996 -1,3255 -1,3253 -1,4106 -1,5397 -1,6250 -1,5733 -1,3429 -0,9788 -0,5938 -0,3051 -0,1741 -0,1924 -0,3107 -0,4737 -0,6340 -0,7498 -0,7883 -0,7447 -0,6572 -0,5890 -0,5931 -0,6928 -0,8876 -1,1650 -1,5028 -1,8630 -2,1920 -2,4287 -2,5188 -2,4397 -2,2226 -1,9379 -1,6534 -1,4059 -1,2069 -1,0578 -0,9542 -0,8778 -0,7980 -0,6857 -0,5345 -0,3698 -0,2320 -0,1438 -0,0980 -0,0783 -0,0858 -0,1350 -0,2280 -0,3458 -0,4693 -0,5965 -0,7301 -0,8512 -0,9210 -0,9088 -0,8101 -0,6460 -0,4620 -0,3187 -0,2620 -0,3052 -0,4401 -0,6518 -0,9229 -1,2351 -1,5673 -1,8956 -2,1976 -2,4531 -2,6430 -2,7598 -2,8146 -2,8252 -2,7989 -2,7291 -2,6118 -2,4653 -2,3270 -2,2311 -2,1951 -2,2160 -2,2687 -2,3198 -2,3470 -2,3384 -2,2710 -2,1050 -1,8268 -1,4947 -1,2158 -1,0656 -1,0418 -1,0861 -1,1357 -1,1599 -1,1629 -1,1647 -1,1775 -1,1958 -1,2001 -1,1691 -1,0901 -0,9639 -0,8103 -0,6696 -0,5882 -0,5944 -0,6877 -0,8497 -1,0511 -1,2567 -1,4393 -1,5892 -1,7078 -1,7998 -1,8676 -1,9047 -1,8963 -1,8358 -1,7370 -1,6383 -1,5921 -1,6313 -1,7380 -1,8493 -1,8960 -1,8449 -1,7150 -1,5544 -1,4022 -1,2651 -1,1262 -0,9668 -0,7768 -0,5532 -0,3091 -0,0830 0,0754 0,1359 0,1013 -0,0052 -0,1565 -0,3269 -0,4967 -0,6585 -0,8177 -0,9875 -1,1816 -1,4015 -1,6207 -1,7893 -1,8684 -1,8575 -1,7847 -1,6781 -1,5555 -1,4338 -1,3274 -1,2343 -1,1348 -1,0072 -0,8470 -0,6752 -0,5278 -0,4323 -0,3953 -0,4198 -0,5254 -0,7322 -1,0259 -1,3422 -1,5924 -1,7161 -1,7201 -1,6624 -1,5986 -1,5431 -1,4747 -1,3664 -1,2161 -1,0518 -0,9107 -0,8261 -0,8308 -0,9492 -1,1771 -1,4782 -1,8062 -2,1201 -2,3862 -2,5785 -2,6846 -2,7127 -2,6896 -2,6428 -2,5860 -2,5286 -2,4944 -2,5264 -2,6630 -2,9079 -3,2229 -3,5490 -3,8329 -4,0409 -4,1495 -4,1355 -3,9916 -3,7539 -3,4953 -3,2750 -3,0994 -2,9336 -2,7377 -2,4913 -2,2059 -1,9165 -1,6529 -1,4204 -1,2053 -0,9969 -0,8049 -0,6556 -0,5660 -0,5251 -0,5012 -0,4651
