Fp1   2,8071 1,7775 0,4704 -0,8939 -2,1256 -3,0601 -3,5570 -3,5560 -3,1284 -2,4446 -1,6706 -0,8863 -0,0752 0,8337 1,8857 3,0142 4,0246 4,6774 4,8230 4,4863 3,8328 3,0593 2,3128 1,6691 1,1210 0,5940 0,0503 -0,4264 -0,7036 -0,7244 -0,5247 -0,1915 0,1608 0,4102 0,4636 0,2903 -0,0681 -0,5126 -0,9258 -1,2375 -1,4501 -1,5931 -1,6797 -1,7114 -1,6946 -1,6478 -1,6007 -1,5777 -1,5705 -1,5267 -1,3691 -1,0434 -0,5613 -0,0109 0,4623 0,7071 0,6462 0,3290 -0,1004 -0,5144 -0,8885 -1,2500 -1,5537 -1,6712 -1,5281 -1,2048 -0,8631 -0,6094 -0,4586 -0,3785 -0,3231 -0,2524 -0,1797 -0,2040 -0,4638 -1,0329 -1,8204 -2,5613 -2,9514 -2,8164 -2,1801 -1,2344 -0,2421 0,5733 1,0761 1,2227 1,0744 0,7969 0,6039 0,6490 0,9304 1,2928 1,5185 1,4320 0,9515 0,1105 -0,9232 -1,8775 -2,4885 -2,6163 -2,2831 -1,6386 -0,8881 -0,1967 0,3633 0,7713 1,0121 1,0855 1,0037 0,7628 0,3566 -0,1939 -0,8521 -1,5890 -2,3796 -3,1842 -3,9512 -4,6687 -5,4007 -6,2121 -7,0648 -7,8207 -8,3292 -8,5056 -8,3689 -8,0157 -7,5315 -6,9381 -6,2445 -5,4962 -4,7390 -3,9873 -3,2726 -2,6846 -2,3280 -2,2410 -2,3806 -2,6926 -3,1430 -3,6703 -4,1736 -4,5755 -4,8578 -5,0252 -5,0720 -4,9771 -4,7023 -4,2169 -3,5446 -2,7626 -1,9523 -1,1892 -0,5705 -0,2021 -0,1352 -0,3237 -0,6373 -0,9246 -1,0756 -1,0395 -0,8244 -0,4981 -0,1463 0,1944 0,5312 0,8392 1,0428 1,0895 1,0013 0,8479 0,6908 0,5636 0,5083 0,5861 0,8048 1,0491 1,1053 0,7617 -0,0840 -1,3682 -2,8745 -4,3040 -5,3806 -5,9477 -5,9961 -5,6025 -4,8417 -3,7642 -2,4653 -1,1410 -0,0273 0,7054 0,9968 0,8826 0,4438 -0,2435 -1,1082 -2,0522 -2,9444 -3,6508 -4,0802 -4,2167 -4,1080 -3,8286 -3,4512 -3,0252 -2,5663 -2,0712 -1,5382 -0,9856 -0,4570 0,0016 0,3603 0,5782 0,5628 0,1861 -0,6304 -1,8349 -3,2430 -4,6056 -5,6761 -6,2635 -6,2963 -5,8572 -5,1301 -4,3181 -3,6206 -3,2136 -3,1660 -3,3891 -3,6995 -3,9232 -3,9554 -3,7654 -3,3865 -2,9264 -2,5501 -2,3980 -2,5140 -2,8280 -3,1576 -3,2754 -3,0592 -2,5850 -2,0742 -1,7735 -1,8467 -2,3012 -2,9873 -3,6841 -4,2116 -4,5188 -4,6962 -4,8759 -5,1052 -5,3294 -5,4693 -5,4729 -5,3092 -4,9539 -4,3976 -3,6767 -2,8909 -2,1683 -1,6164 -1,3084 -1,2879 -1,5426 -1,9620 -2,3654 -2,6263 -2,7744 -2,9489 -3,2514 -3,6478 -3,9901 -4,1381 -4,0781 -3,9286 -3,8340 -3,8518 -3,9191 -3,9164 -3,7705 -3,5184 -3,2957 -3,2528 -3,4437 -3,7809 -4,1186 -4,3595 -4,4651 -4,4184 -4,2289 -3,9465 -3,6322 -3,3171 -3,0045 -2,7029 -2,4364 -2,2162 -2,0159 -1,7755 -1,4345 -0,9853 -0,5048 -0,1320 -0,0031 -0,1902 -0,6839 -1,4047 -2,2239 -3,0103 -3,6662 -4,1193 -4,3183 -4,2716 -4,0711 -3,8393 -3,6383 -3,4406 -3,1982 -2,9188 -2,6431 -2,3746 -2,0854 -1,7925 -1,5837 -1,5510 -1,7128 -1,9954 -2,2607 -2,3484 -2,1361 -1,6005 -0,8197 0,0864 1,0030 1,8298 2,4792 2,8770 2,9726 2,7553 2,2469 1,4802 0,4924 -0,6668 -1,9058 -3,0570 -3,9099 -4,3150 -4,2613 -3,8514 -3,2114 -2,4269 -1,5568 -0,6767 0,1128 0,7255 1,1398 1,3916 1,4944 1,3933 1,0378 0,4726 -0,1960 -0,9092 -1,6795 -2,4888 -3,1880 -3,5198 -3,2632 -2,3796 -1,0443 0,4382 1,7529 2,6580 3,0283 2,8815 2,3857 1,8130 1,4184 1,3147 1,4414 1,6433 1,7865 1,8289 1,8137 1,7993 1,7819 1,6971 1,5103 1,2827 1,1202 1,0530 0,9874 0,7977 0,4580 0,0762 -0,1826 -0,2079 -0,0059 0,3461 0,7751 1,2196 1,6001 1,8302 1,8600 1,7189 1,5202 1,4012 1,4339 1,5890 1,7653 1,8356 1,6934 1,2979 0,6913 -0,0142 -0,6591 -1,0641 -1,0745 -0,6289 0,1858 1,1656 2,0829 2,7743 3,1992 3,4415 3,6359 3,8734 4,1556 4,4149 4,5638 4,5326 4,2747 3,7538 2,9548 1,9141 0,7120 -0,5601 -1,7933 -2,8319 -3,4835 -3,5772 -3,0264 -1,8551 -0,2126 1,6087 3,2350 4,3708 4,9271 5,0067 4,7984 4,4779 4,1345 3,7550 3,2986 2,7814 2,2715 1,8373 1,5286 1,3963 1,5140 1,9488 2,6798 3,5574 4,3577 4,8703 4,9536 4,5712 3,8249 2,9610 2,2856 1,9839 1,9956 2,0834 2,0145 1,6906 1,1717 0,6294 0,2549 0,1432 0,2336 0,3827 0,4833 0,4899 0,3738 0,1080 -0,3144 -0,8787 -1,5599 -2,3018 -2,9918 -3,4891 -3,6931 -3,5997 -3,2976 -2,9083 -2,5174 -2,1512 -1,8084 -1,4972 -1,2373 -1,0346 -0,8551 -0,6282 -0,3099 0,0534 0,3635 0,5687 0,6935 0,7912 0,9023 1,0521 1,2765 1,6528 2,2656 3,1105 4,0543 4,9004 5,4886 5,7819 5,8800 5,9213 5,9739 6,0214 6,0045 5,8561 5,5297 5,0134 4,3354 3,5648 2,7846 2,0678 1,4818 1,0775 0,8686 0,8596 1,0878 1,5961 2,3561 3,2434 4,1008 4,8259 5,4050 5,8787 6,2781 6,5736 6,6609 6,4039 5,7230 4,6533 3,3100 1,8302 0,3701 -0,9033 -1,8669 -2,4622 -2,6681 -2,4905 -1,9636 -1,1599 -0,2164 0,6743 1,3210 1,5753 1,3480 0,6575 -0,3138 -1,2612 -1,9057 -2,1131 -1,8971 -1,3451 -0,5614 0,3251 1,1396 1,6994 1,8814 1,6520 1,0591 0,1867 -0,8958 -2,1254 -3,3973 -4,5542 -5,4366 -5,9498 -6,0870 -5,8993 -5,4563 -4,8362 -4,1286 -3,4072 -2,7059 -2,0347 -1,4082 -0,8619 -0,4471
Fz    0,3814 0,1097 -0,2007 -0,5497 -0,9098 -1,2159 -1,3703 -1,2886 -0,9651 -0,4882 0,0150 0,4445 0,7583 0,9712 1,1384 1,3277 1,5847 1,9091 2,2589 2,5770 2,8123 2,9278 2,9014 2,7256 2,4035 1,9528 1,4283 0,9260 0,5412 0,3152 0,2212 0,1815 0,0953 -0,1268 -0,5280 -1,0755 -1,6577 -2,1254 -2,3646 -2,3564 -2,1746 -1,9255 -1,6878 -1,4980 -1,3704 -1,3130 -1,3237 -1,3852 -1,4681 -1,5390 -1,5674 -1,5294 -1,4165 -1,2525 -1,0948 -1,0083 -1,0301 -1,1467 -1,2983 -1,4058 -1,4073 -1,2801 -1,0428 -0,7416 -0,4323 -0,1664 0,0183 0,1053 0,1022 0,0382 -0,0519 -0,1469 -0,2432 -0,3487 -0,4769 -0,6342 -0,8020 -0,9353 -0,9870 -0,9284 -0,7577 -0,5012 -0,2041 0,0848 0,3185 0,4611 0,5088 0,4964 0,4788 0,5053 0,5999 0,7577 0,9501 1,1339 1,2656 1,3168 1,2874 1,2045 1,1065 1,0214 0,9596 0,9172 0,8826 0,8468 0,8096 0,7708 0,7179 0,6251 0,4640 0,2198 -0,0905 -0,4141 -0,6875 -0,8732 -0,9686 -0,9872 -0,9369 -0,8102 -0,6001 -0,3320 -0,0789 0,0677 0,0460 -0,1507 -0,4802 -0,8691 -1,2273 -1,4730 -1,5691 -1,5438 -1,4689 -1,4202 -1,4476 -1,5585 -1,7165 -1,8596 -1,9381 -1,9407 -1,8822 -1,7760 -1,6280 -1,4478 -1,2575 -1,0881 -0,9717 -0,9323 -0,9752 -1,0753 -1,1851 -1,2543 -1,2415 -1,1166 -0,8700 -0,5168 -0,0844 0,4068 0,9536 1,5642 2,2329 2,9247 3,5906 4,1895 4,6956 5,0929 5,3676 5,5053 5,5035 5,3809 5,1630 4,8729 4,5401 4,2003 3,8867 3,6217 3,4116 3,2531 3,1518 3,1284 3,1997 3,3526 3,5413 3,7079 3,7975 3,7659 3,5941 3,3004 2,9366 2,5759 2,2976 2,1623 2,1928 2,3636 2,6113 2,8649 3,0667 3,1713 3,1519 3,0143 2,7971 2,5612 2,3719 2,2709 2,2515 2,2571 2,2072 2,0443 1,7637 1,4102 1,0547 0,7631 0,5649 0,4523 0,4071 0,4202 0,4842 0,5795 0,6763 0,7467 0,7634 0,7005 0,5503 0,3392 0,1122 -0,0977 -0,2804 -0,4365 -0,5666 -0,6670 -0,7275 -0,7408 -0,7170 -0,6794 -0,6460 -0,6239 -0,6228 -0,6621 -0,7533 -0,8806 -1,0087 -1,1040 -1,1405 -1,1071 -1,0282 -0,9632 -0,9656 -1,0455 -1,1694 -1,2865 -1,3561 -1,3620 -1,3086 -1,2151 -1,1116 -1,0293 -0,9918 -1,0131 -1,0918 -1,2047 -1,3153 -1,3906 -1,4103 -1,3751 -1,3154 -1,2790 -1,3012 -1,3916 -1,5465 -1,7611 -2,0251 -2,3226 -2,6407 -2,9696 -3,2915 -3,5804 -3,8158 -3,9924 -4,1208 -4,2151 -4,2740 -4,2763 -4,1919 -3,9972 -3,6953 -3,3298 -2,9689 -2,6698 -2,4561 -2,3145 -2,2041 -2,0836 -1,9391 -1,7891 -1,6683 -1,6035 -1,5959 -1,6177 -1,6218 -1,5584 -1,3953 -1,1396 -0,8459 -0,5921 -0,4355 -0,3906 -0,4372 -0,5358 -0,6372 -0,6928 -0,6724 -0,5754 -0,4231 -0,2423 -0,0654 0,0649 0,1004 0,0021 -0,2439 -0,6160 -1,0617 -1,5166 -1,9207 -2,2292 -2,4186 -2,4850 -2,4409 -2,3051 -2,0900 -1,8002 -1,4390 -1,0094 -0,5129 0,0422 0,6225 1,1664 1,6059 1,8975 2,0365 2,0482 1,9688 1,8308 1,6568 1,4605 1,2519 1,0382 0,8201 0,5895 0,3392 0,0758 -0,1781 -0,3967 -0,5666 -0,7000 -0,8402 -1,0353 -1,2922 -1,5616 -1,7678 -1,8523 -1,8005 -1,6406 -1,4169 -1,1628 -0,8923 -0,6005 -0,2717 0,1006 0,4986 0,8931 1,2662 1,6113 1,9144 2,1405 2,2442 2,2005 2,0257 1,7649 1,4677 1,1769 0,9323 0,7762 0,7469 0,8571 1,0829 1,3763 1,6869 1,9808 2,2495 2,4951 2,7034 2,8425 2,8918 2,8619 2,7735 2,6226 2,3856 2,0604 1,6943 1,3638 1,1296 1,0139 1,0075 1,0785 1,1779 1,2561 1,2781 1,2302 1,1213 0,9806 0,8473 0,7607 0,7434 0,7814 0,8218 0,7999 0,6790 0,4812 0,2856 0,1854 0,2372 0,4357 0,7286 1,0521 1,3641 1,6579 1,9536 2,2695 2,5964 2,8990 3,1386 3,2979 3,3818 3,3959 3,3348 3,1974 3,0007 2,7676 2,5095 2,2280 1,9293 1,6273 1,3359 1,0705 0,8468 0,6675 0,5200 0,3960 0,3116 0,3056 0,4188 0,6717 1,0485 1,4896 1,9105 2,2448 2,4760 2,6255 2,7231 2,7955 2,8688 2,9605 3,0642 3,1472 3,1620 3,0690 2,8646 2,5927 2,3289 2,1478 2,0928 2,1607 2,3067 2,4611 2,5453 2,4975 2,3049 2,0137 1,7086 1,4768 1,3747 1,4049 1,5172 1,6347 1,6868 1,6245 1,4254 1,0992 0,6878 0,2564 -0,1091 -0,3156 -0,3067 -0,1035 0,2033 0,4989 0,6882 0,7196 0,5892 0,3345 0,0219 -0,2766 -0,5095 -0,6559 -0,7155 -0,6943 -0,5973 -0,4278 -0,1908 0,0977 0,4125 0,7370 1,0727 1,4254 1,7889 2,1480 2,4942 2,8349 3,1934 3,6008 4,0797 4,6197 5,1646 5,6363 5,9868 6,2221 6,3776 6,4831 6,5532 6,5966 6,6299 6,6755 6,7419 6,8165 6,8824 6,9311 6,9629 6,9825 6,9895 6,9698 6,8972 6,7447 6,4960 6,1530 5,7452 5,3338 4,9995 4,8169 4,8300 5,0424 5,4258 5,9298 6,4783 6,9737 7,3230 7,4619 7,3575 7,0058 6,4338 5,6956 4,8596 3,9951 3,1703 2,4541 1,9049 1,5465 1,3573 1,2885 1,2952 1,3491 1,4291 1,5135 1,5850 1,6378 1,6717 1,6808 1,6472 1,5486 1,3768 1,1513 0,9171 0,7310 0,6454 0,6873 0,8429 1,0589 1,2546 1,3413 1,2535 0,9750 0,5362 -0,0085 -0,5965 -1,1606 -1,6414 -2,0052 -2,2399 -2,3422 -2,3181 -2,1900 -1,9983 -1,7925
F3    -0,8833 -0,9444 -0,9559 -0,9262 -0,8757 -0,8154 -0,7230 -0,5607 -0,3118 0,0138 0,4061 0,8638 1,3598 1,8200 2,1691 2,3981 2,5582 2,6808 2,7299 2,6460 2,4143 2,0773 1,6953 1,3058 0,9232 0,5689 0,2878 0,1294 0,1115 0,1934 0,2889 0,3158 0,2326 0,0370 -0,2477 -0,5801 -0,9041 -1,1512 -1,2707 -1,2844 -1,2949 -1,4145 -1,6748 -1,9989 -2,2469 -2,2966 -2,1252 -1,8324 -1,5559 -1,3520 -1,1785 -0,9838 -0,7822 -0,6346 -0,5770 -0,5871 -0,6231 -0,6741 -0,7567 -0,8755 -1,0026 -1,0946 -1,1198 -1,0628 -0,9195 -0,7031 -0,4368 -0,1275 0,2268 0,5899 0,8681 0,9553 0,7935 0,3987 -0,1504 -0,7468 -1,2903 -1,6999 -1,9190 -1,9320 -1,7762 -1,5138 -1,1860 -0,7983 -0,3429 0,1683 0,6821 1,1039 1,3410 1,3732 1,2871 1,2354 1,3474 1,6666 2,1491 2,6948 3,1763 3,4665 3,4770 3,1921 2,6626 1,9717 1,2201 0,5321 0,0359 -0,1913 -0,1668 0,0048 0,1805 0,2338 0,1047 -0,1834 -0,5519 -0,9022 -1,1296 -1,1476 -0,9308 -0,5258 -0,0191 0,4822 0,8542 0,9884 0,8392 0,4453 -0,0851 -0,6111 -1,0150 -1,2577 -1,3859 -1,4837 -1,6166 -1,8081 -2,0397 -2,2495 -2,3387 -2,2290 -1,9370 -1,5704 -1,2407 -0,9915 -0,8076 -0,6769 -0,6258 -0,6937 -0,8839 -1,1442 -1,3863 -1,5230 -1,5067 -1,3578 -1,1528 -0,9646 -0,8026 -0,6081 -0,2974 0,1871 0,8567 1,6952 2,6634 3,6530 4,4793 4,9767 5,0968 4,9071 4,5419 4,1678 3,9279 3,8588 3,8759 3,8664 3,7876 3,6715 3,5599 3,4565 3,3423 3,2185 3,1206 3,0960 3,1659 3,2854 3,3448 3,2442 2,9754 2,6312 2,3451 2,2034 2,1899 2,2166 2,2132 2,1847 2,1932 2,2873 2,4467 2,5992 2,6753 2,6377 2,4813 2,2315 1,9461 1,7134 1,6194 1,6810 1,8239 1,9521 2,0054 1,9341 1,6865 1,2637 0,7605 0,3232 0,0603 -0,0142 0,0369 0,1323 0,2178 0,2805 0,3332 0,3710 0,3395 0,1656 -0,1820 -0,6788 -1,2622 -1,8461 -2,3462 -2,6993 -2,8497 -2,7441 -2,3716 -1,7906 -1,1017 -0,4039 0,2253 0,7347 1,1057 1,3487 1,4730 1,4639 1,2857 0,8935 0,2570 -0,6033 -1,6030 -2,6149 -3,4945 -4,0959 -4,3014 -4,0705 -3,4653 -2,6253 -1,7208 -0,9072 -0,2917 0,0831 0,2356 0,2207 0,0792 -0,1929 -0,6020 -1,0884 -1,5325 -1,8400 -1,9989 -2,0442 -2,0018 -1,8884 -1,7393 -1,6135 -1,5767 -1,6694 -1,8757 -2,1247 -2,3421 -2,5176 -2,7209 -3,0331 -3,4648 -3,9500 -4,3926 -4,7006 -4,7923 -4,6017 -4,1053 -3,3477 -2,4261 -1,4474 -0,5061 0,3174 0,9653 1,4105 1,6428 1,6504 1,4293 1,0074 0,4494 -0,1624 -0,7493 -1,2344 -1,5395 -1,6146 -1,4844 -1,2505 -1,0421 -0,9560 -1,0146 -1,1513 -1,2456 -1,1969 -0,9839 -0,6702 -0,3626 -0,1533 -0,0786 -0,1057 -0,1680 -0,2181 -0,2432 -0,2476 -0,2520 -0,2996 -0,4347 -0,6851 -1,0659 -1,5593 -2,0920 -2,5644 -2,8963 -3,0341 -2,9317 -2,5464 -1,8587 -0,9007 0,2271 1,3599 2,3060 2,9197 3,1551 3,0601 2,7386 2,3141 1,8849 1,4869 1,0990 0,6781 0,1896 -0,3765 -0,9891 -1,5627 -1,9770 -2,1436 -2,0610 -1,7973 -1,4498 -1,1308 -0,9325 -0,8597 -0,8160 -0,6813 -0,4144 -0,0828 0,2098 0,4134 0,5514 0,6753 0,8221 0,9979 1,1810 1,3464 1,4905 1,6172 1,6997 1,6895 1,5771 1,4229 1,3077 1,2574 1,2248 1,1275 0,8994 0,5416 0,1548 -0,0903 -0,0463 0,3307 0,9759 1,7648 2,5547 3,2011 3,5795 3,6266 3,3590 2,8424 2,1555 1,3958 0,7062 0,2548 0,1429 0,3265 0,6507 0,9580 1,1575 1,2251 1,1884 1,1224 1,1213 1,2457 1,4907 1,8027 2,1082 2,3150 2,3185 2,0406 1,4745 0,7038 -0,1055 -0,7407 -1,0155 -0,8608 -0,3544 0,3394 1,0492 1,6500 2,0925 2,4022 2,6488 2,8991 3,1770 3,4595 3,7050 3,8802 3,9689 3,9592 3,8285 3,5535 3,1375 2,6172 2,0480 1,4928 1,0208 0,6949 0,5478 0,5662 0,6841 0,8002 0,8252 0,7219 0,5094 0,2525 0,0447 -0,0352 0,0307 0,2114 0,4862 0,8721 1,3973 2,0652 2,8219 3,5455 4,0933 4,3842 4,4275 4,2764 3,9637 3,4889 2,8597 2,1298 1,4061 0,8276 0,5197 0,5571 0,9551 1,6494 2,4617 3,1384 3,4721 3,3972 3,0049 2,4977 2,0849 1,8627 1,7781 1,7073 1,5576 1,3034 0,9513 0,5035 -0,0216 -0,5450 -0,9351 -1,0733 -0,9105 -0,4826 0,1047 0,7109 1,1955 1,4395 1,3765 1,0234 0,4628 -0,2041 -0,8845 -1,4828 -1,8794 -1,9611 -1,6887 -1,1206 -0,3740 0,4324 1,2155 1,9355 2,5853 3,1660 3,6621 4,0292 4,1988 4,1062 3,7544 3,2594 2,8095 2,5698 2,6248 2,9844 3,6109 4,4356 5,3666 6,2951 7,1099 7,7304 8,1355 8,3501 8,4172 8,3886 8,3173 8,2262 8,0841 7,8311 7,4399 6,9318 6,3318 5,6438 4,8856 4,1226 3,4597 3,0186 2,9094 3,1751 3,7392 4,4341 5,1024 5,6729 6,1620 6,6245 7,0925 7,5342 7,8488 7,8968 7,5549 6,7634 5,5476 4,0243 2,3812 0,8199 -0,5057 -1,5130 -2,1793 -2,5188 -2,5510 -2,2702 -1,6547 -0,7364 0,3322 1,3101 1,9860 2,2694 2,1894 1,8381 1,3274 0,7757 0,3053 0,0208 -0,0311 0,1300 0,4518 0,8673 1,2782 1,5527 1,5683 1,2633 0,6520 -0,1962 -1,1790 -2,1706 -3,0248 -3,6050 -3,8450 -3,7739 -3,4759 -3,0509 -2,6078 -2,2451
F7    1,0612 0,2588 -0,4725 -0,9773 -1,1825 -1,0971 -0,7795 -0,3169 0,1786 0,5931 0,8589 0,9826 1,0278 1,0718 1,1701 1,3403 1,5604 1,7737 1,9136 1,9393 1,8492 1,6682 1,4316 1,1716 0,8993 0,6020 0,2751 -0,0506 -0,3182 -0,4659 -0,4488 -0,2812 -0,0638 0,0580 -0,0204 -0,3056 -0,7083 -1,0883 -1,3192 -1,3538 -1,2445 -1,0920 -0,9754 -0,9304 -0,9678 -1,0854 -1,2631 -1,4640 -1,6462 -1,7665 -1,7824 -1,6705 -1,4501 -1,1852 -0,9670 -0,8799 -0,9553 -1,1349 -1,2915 -1,3110 -1,1679 -0,9178 -0,6372 -0,3850 -0,2068 -0,1368 -0,1823 -0,3273 -0,5477 -0,8023 -1,0280 -1,1757 -1,2423 -1,2677 -1,3200 -1,4678 -1,7196 -1,9881 -2,1389 -2,0716 -1,7594 -1,2517 -0,6585 -0,1184 0,2436 0,3676 0,2905 0,1254 0,0034 0,0129 0,1646 0,4053 0,6646 0,8854 1,0272 1,0633 0,9890 0,8257 0,6054 0,3552 0,0986 -0,1365 -0,3219 -0,4333 -0,4502 -0,3617 -0,1800 0,0440 0,2222 0,2703 0,1754 0,0206 -0,0802 -0,0757 -0,0044 0,0498 0,0168 -0,1341 -0,4029 -0,7740 -1,2229 -1,7127 -2,1840 -2,5642 -2,8058 -2,9039 -2,8706 -2,7079 -2,4180 -2,0275 -1,5804 -1,1170 -0,6721 -0,2876 -0,0164 0,0868 -0,0206 -0,3608 -0,9192 -1,6232 -2,3535 -2,9924 -3,4692 -3,7684 -3,9086 -3,9169 -3,8114 -3,5966 -3,2705 -2,8362 -2,3025 -1,6864 -1,0327 -0,4230 0,0544 0,3561 0,5214 0,6676 0,9216 1,3314 1,8391 2,3397 2,7546 3,0504 3,2206 3,2757 3,2454 3,1668 3,0663 2,9615 2,8815 2,8742 2,9943 3,2632 3,6227 3,9442 4,0913 3,9718 3,5604 2,8984 2,0739 1,2012 0,4003 -0,2311 -0,6277 -0,7441 -0,5592 -0,1065 0,5122 1,1573 1,7067 2,0849 2,2589 2,2321 2,0354 1,7074 1,2807 0,7817 0,2466 -0,2630 -0,6776 -0,9567 -1,0901 -1,0709 -0,8938 -0,5771 -0,1692 0,2674 0,6774 1,0216 1,2743 1,4244 1,4826 1,4729 1,4027 1,2491 0,9929 0,6505 0,2563 -0,1633 -0,5823 -0,9672 -1,2962 -1,5641 -1,7606 -1,8660 -1,8861 -1,8638 -1,8317 -1,7780 -1,6742 -1,5033 -1,2501 -0,8956 -0,4480 0,0162 0,3592 0,4560 0,2825 -0,0611 -0,4028 -0,5965 -0,6051 -0,5043 -0,4098 -0,4071 -0,5256 -0,7412 -1,0000 -1,2511 -1,4614 -1,6215 -1,7503 -1,8650 -1,9414 -1,9217 -1,7651 -1,4880 -1,1591 -0,8508 -0,5846 -0,3269 -0,0418 0,2588 0,5101 0,6204 0,5106 0,1569 -0,3869 -1,0168 -1,6355 -2,1839 -2,6244 -2,9177 -3,0276 -2,9323 -2,6372 -2,1957 -1,7023 -1,2537 -0,9195 -0,7288 -0,6624 -0,6729 -0,7214 -0,7926 -0,8854 -1,0032 -1,1472 -1,3107 -1,4670 -1,5564 -1,5007 -1,2527 -0,8335 -0,3219 0,1901 0,6292 0,9453 1,1090 1,1162 0,9947 0,8003 0,5916 0,3908 0,1683 -0,1246 -0,5114 -0,9713 -1,4445 -1,8403 -2,0691 -2,1013 -1,9842 -1,7852 -1,5348 -1,2379 -0,9170 -0,6218 -0,4037 -0,2998 -0,3383 -0,5384 -0,8891 -1,3393 -1,8223 -2,2920 -2,7239 -3,0714 -3,2359 -3,1003 -2,5992 -1,7671 -0,7369 0,2997 1,1594 1,7440 2,0769 2,2630 2,4039 2,5326 2,6044 2,5318 2,2349 1,6878 0,9448 0,1241 -0,6448 -1,2592 -1,6444 -1,7545 -1,5931 -1,2227 -0,7391 -0,2314 0,2355 0,6184 0,8879 1,0175 0,9895 0,8155 0,5395 0,2213 -0,0659 -0,2418 -0,2645 -0,1776 -0,0830 -0,0566 -0,0928 -0,1248 -0,0832 0,0636 0,3076 0,6087 0,8908 1,0512 1,0064 0,7534 0,3979 0,1127 0,0438 0,2381 0,6354 1,1127 1,5475 1,8615 2,0184 2,0055 1,8301 1,5292 1,1722 0,8491 0,6384 0,5625 0,5792 0,6271 0,6710 0,6986 0,6998 0,6596 0,5637 0,4179 0,2623 0,1493 0,1060 0,1287 0,2066 0,3405 0,5363 0,7775 1,0086 1,1512 1,1419 0,9658 0,6711 0,3546 0,1146 0,0072 0,0363 0,1704 0,3719 0,6193 0,9076 1,2379 1,6088 2,0072 2,3931 2,7060 2,9040 2,9893 2,9913 2,9396 2,8461 2,6825 2,3743 1,8336 1,0198 -0,0049 -1,0797 -2,0069 -2,6107 -2,7781 -2,4915 -1,8345 -0,9678 -0,0827 0,6570 1,1507 1,3656 1,3273 1,1030 0,7801 0,4547 0,2235 0,1465 0,2148 0,3799 0,6055 0,8696 1,1448 1,3976 1,6045 1,7710 1,9335 2,1333 2,3847 2,6577 2,8817 2,9759 2,8992 2,6740 2,3601 2,0179 1,6868 1,3822 1,1088 0,8783 0,7036 0,5836 0,5096 0,4883 0,5429 0,6884 0,9173 1,2000 1,4819 1,6838 1,7222 1,5331 1,0832 0,3876 -0,4628 -1,3038 -1,9475 -2,2559 -2,2002 -1,8655 -1,3875 -0,8815 -0,4242 -0,0721 0,1383 0,2069 0,1748 0,1143 0,1040 0,1947 0,3854 0,6306 0,8736 1,0826 1,2631 1,4449 1,6668 1,9655 2,3644 2,8620 3,4212 3,9607 4,3708 4,5658 4,5516 4,4395 4,3600 4,3585 4,3792 4,3332 4,1740 3,9233 3,6446 3,4044 3,2505 3,2097 3,2902 3,4754 3,7144 3,9359 4,0836 4,1324 4,0797 3,9427 3,7641 3,5939 3,4671 3,4056 3,4243 3,5179 3,6577 3,8090 3,9367 3,9907 3,9064 3,6338 3,1739 2,5864 1,9529 1,3404 0,8072 0,4116 0,1910 0,1484 0,2572 0,4553 0,6490 0,7505 0,7085 0,5068 0,1638 -0,2584 -0,6647 -0,9608 -1,0808 -1,0025 -0,7541 -0,3996 -0,0114 0,3442 0,6118 0,7512 0,7385 0,5601 0,2181 -0,2548 -0,8043 -1,3883 -1,9877 -2,5884 -3,1672 -3,6840 -4,0640 -4,1918 -3,9665 -3,3857 -2,5650 -1,6790 -0,8878 -0,3030 0,0057 0,0070
