Fp1   -0,0808 0,3796 0,8010 1,1484 1,4001 1,5538 1,6215 1,6080 1,5003 1,2843 0,9633 0,5609 0,1079 -0,3733 -0,8616 -1,3045 -1,6211 -1,7597 -1,7369 -1,6076 -1,4101 -1,1533 -0,8566 -0,5768 -0,3713 -0,2432 -0,1439 -0,0235 0,1288 0,2852 0,4050 0,4624 0,4705 0,4804 0,5397 0,6548 0,7959 0,9214 0,9932 0,9759 0,8374 0,5656 0,1855 -0,2437 -0,6498 -0,9799 -1,2191 -1,3781 -1,4792 -1,5570 -1,6582 -1,8225 -2,0441 -2,2508 -2,3449 -2,2753 -2,0645 -1,7697 -1,4340 -1,0781 -0,7255 -0,4197 -0,2145 -0,1432 -0,1982 -0,3369 -0,5003 -0,6276 -0,6656 -0,5829 -0,3867 -0,1322 0,0860 0,1673 0,0555 -0,2363 -0,6549 -1,1455 -1,6613 -2,1685 -2,6608 -3,1491 -3,6319 -4,0885 -4,4967 -4,8442 -5,1283 -5,3430 -5,4764 -5,5276 -5,5050 -5,4005 -5,1851 -4,8420 -4,4015 -3,9394 -3,5366 -3,2336 -3,0118 -2,8073 -2,5486 -2,1990 -1,7685 -1,2946 -0,8375 -0,4778 -0,2842 -0,2706 -0,3924 -0,5863 -0,8103 -1,0552 -1,3330 -1,6614 -2,0461 -2,4717 -2,9114 -3,3458 -3,7761 -4,2316 -4,7564 -5,3634 -6,0024 -6,5805 -7,0054 -7,2042 -7,1342 -6,8056 -6,2827 -5,6505 -4,9866 -4,3595 -3,8212 -3,3888 -3,0418 -2,7289 -2,3769 -1,9261 -1,3842 -0,8293 -0,3344 0,1017 0,5437 1,0629 1,6870 2,3802 3,0747 3,7397 4,4077 5,1281 5,9137 6,7299 7,5157 8,2198 8,8263 9,3407 9,7544 10,0422 10,1906 10,2113 10,1284 9,9593 9,7153 9,4197 9,1091 8,8131 8,5345 8,2505 7,9348 7,5683 7,1305 6,5992 5,9677 5,2534 4,4918 3,7325 3,0293 2,4237 1,9386 1,5779 1,3214 1,1280 0,9564 0,7901 0,6473 0,5628 0,5534 0,5934 0,6227 0,5841 0,4586 0,2703 0,0576 -0,1603 -0,3907 -0,6503 -0,9519 -1,3005 -1,6939 -2,1224 -2,5713 -3,0295 -3,4945 -3,9644 -4,4124 -4,7671 -4,9398 -4,8899 -4,6648 -4,3795 -4,1555 -4,0606 -4,0845 -4,1627 -4,2213 -4,1957 -4,0284 -3,6847 -3,1836 -2,5927 -1,9903 -1,4469 -1,0207 -0,7249 -0,5119 -0,3161 -0,0980 0,1650 0,4962 0,9010 1,3442 1,7614 2,0973 2,3395 2,5272 2,7232 2,9710 3,2757 3,6024 3,8819 4,0515 4,1047 4,0866 4,0423 3,9770 3,8645 3,6777 3,4088 3,0770 2,7224 2,3852 2,0900 1,8536 1,6927 1,6129 1,6017 1,6364 1,6879 1,7230 1,7142 1,6437 1,4984 1,2804 1,0281 0,8138 0,7085 0,7550 0,9696 1,3418 1,8184 2,3069 2,7137 2,9927 3,1585 3,2656 3,3856 3,5839 3,8901 4,2852 4,7102 5,0805 5,3133 5,3746 5,2972 5,1394 4,9347 4,6843 4,3778 4,0173 3,6386 3,3089 3,0864 2,9711 2,9069 2,8394 2,7673 2,7180 2,6900 2,6466 2,5606 2,4435 2,3249 2,2166 2,1047 1,9686 1,8041 1,6304 1,4791 1,3787 1,3490 1,3954 1,4981 1,6182 1,7279 1,8160 1,8642 1,8531 1,7925 1,7125 1,6215 1,4977 1,3174 1,0774 0,7939 0,4923 0,2024 -0,0415 -0,2084 -0,2884 -0,2952 -0,2474 -0,1512 -0,0032 0,1930 0,4256 0,6964 1,0209 1,3993 1,8001 2,1718 2,4649 2,6432 2,6835 2,5737 2,3206 1,9683 1,6024 1,3192 1,1781 1,1783 1,2648 1,3500 1,3472 1,2074 0,9419 0,6161 0,3162 0,1148 0,0542 0,1391 0,3325 0,5733 0,8044 0,9834 1,0839 1,0963 1,0284 0,9051 0,7679 0,6594 0,5975 0,5685 0,5467 0,5071 0,4282 0,3022 0,1350 -0,0882 -0,4243 -0,9311 -1,5987 -2,3388 -3,0366 -3,5995 -3,9655 -4,0950 -3,9868 -3,6846 -3,2358 -2,6568 -1,9519 -1,1503 -0,3160 0,4676 1,1238 1,6038 1,8910 1,9968 1,9580 1,8311 1,6779 1,5409 1,4216 1,2783 1,0477 0,6736 0,1356 -0,5308 -1,2464 -1,9224 -2,4740 -2,8218 -2,9156 -2,7656 -2,4500 -2,0890 -1,7888 -1,5904 -1,4663 -1,3595 -1,2239 -1,0503 -0,8719 -0,7495 -0,7433 -0,8883 -1,1853 -1,6079 -2,1140 -2,6456 -3,1408 -3,5615 -3,8958 -4,1322 -4,2506 -4,2328 -4,0759 -3,8086 -3,4896 -3,1812 -2,9286 -2,7561 -2,6601 -2,6030 -2,5217 -2,3511 -2,0486 -1,6031 -1,0286 -0,3624 0,3202 0,9145 1,3471 1,6250 1,8043 1,9193 1,9661 1,9345 1,8222 1,6285 1,3660 1,0777 0,8214 0,6397 0,5543 0,5703 0,6693 0,8086 0,9319 0,9753 0,8805 0,6247 0,2386 -0,2001 -0,6015 -0,9163 -1,1715 -1,4518 -1,8334 -2,3245 -2,8741 -3,4317 -3,9752 -4,4903 -4,9621 -5,3938 -5,8068 -6,1986 -6,5084 -6,6422 -6,5354 -6,1893 -5,6683 -5,0710 -4,4948 -4,0033 -3,6072 -3,2825 -3,0125 -2,7882 -2,5781 -2,3398 -2,0638 -1,7774 -1,5035 -1,2337 -0,9468 -0,6322 -0,2876 0,0935 0,5208 1,0006 1,5282 2,0821 2,6374 3,1849 3,7313 4,2846 4,8384 5,3634 5,8228 6,1991 6,4933 6,6937 6,7618 6,6686 6,4338 6,1135 5,7526 5,3747 5,0109 4,7119 4,5250 4,4556 4,4498 4,4311 4,3620 4,2634 4,1791 4,1271 4,0728 3,9516 3,7180 3,3714 2,9518 2,5260 2,1560 1,8670 1,6520 1,4897 1,3474 1,1978 1,0591 1,0061 1,1168 1,4081 1,8266 2,2955 2,7659 3,2161 3,6176 3,9222 4,0833 4,0720 3,8771 3,5075 3,0057 2,4506 1,9303 1,5011 1,1561 0,8261 0,4271 -0,0703 -0,6129 -1,1045 -1,4776 -1,7354 -1,9542 -2,2487 -2,7062 -3,3416 -4,1058 -4,9103 -5,6415 -6,1792 -6,4302 -6,3698 -6,0576 -5,6053 -5,1225 -4,6867 -4,3463 -4,1287 -4,0295 -4,0023 -3,9795 -3,9149 -3,8037 -3,6545
Fz    1,0552 1,4411 1,7524 1,9819 2,1217 2,1717 2,1397 2,0278 1,8215 1,5002 1,0607 0,5280 -0,0582 -0,6635 -1,2571 -1,7878 -2,1846 -2,3962 -2,4213 -2,2904 -2,0316 -1,6640 -1,2237 -0,7730 -0,3669 -0,0163 0,3048 0,6208 0,9289 1,2020 1,4001 1,4886 1,4668 1,3754 1,2676 1,1756 1,0991 1,0125 0,8785 0,6597 0,3309 -0,1040 -0,6088 -1,1307 -1,6166 -2,0244 -2,3328 -2,5382 -2,6462 -2,6767 -2,6764 -2,7102 -2,8216 -2,9950 -3,1642 -3,2555 -3,2197 -3,0417 -2,7398 -2,3647 -1,9936 -1,7151 -1,6066 -1,7099 -2,0168 -2,4749 -3,0015 -3,5019 -3,8927 -4,1256 -4,2012 -4,1716 -4,1284 -4,1706 -4,3538 -4,6602 -5,0178 -5,3444 -5,5747 -5,6755 -5,6567 -5,5618 -5,4375 -5,3115 -5,1887 -5,0601 -4,9146 -4,7409 -4,5298 -4,2853 -4,0207 -3,7355 -3,4056 -3,0085 -2,5543 -2,0875 -1,6615 -1,3140 -1,0525 -0,8511 -0,6679 -0,4791 -0,2873 -0,1039 0,0544 0,1581 0,1781 0,1079 -0,0348 -0,2307 -0,4805 -0,8050 -1,2275 -1,7561 -2,3734 -3,0408 -3,7191 -4,3891 -5,0602 -5,7692 -6,5605 -7,4414 -8,3527 -9,1888 -9,8443 -10,2430 -10,3495 -10,1762 -9,7763 -9,2214 -8,5822 -7,9177 -7,2677 -6,6468 -6,0417 -5,4091 -4,6815 -3,8048 -2,7890 -1,7131 -0,6681 0,3045 1,2210 2,1215 3,0325 3,9467 4,8393 5,7098 6,5977 7,5511 8,5868 9,6796 10,7764 11,8260 12,8058 13,7176 14,5571 15,3003 15,9173 16,3857 16,6871 16,7963 16,6878 16,3614 15,8544 15,2258 14,5297 13,8014 13,0574 12,2984 11,5102 10,6745 9,7815 8,8315 7,8363 6,8243 5,8366 4,9160 4,0999 3,4198 2,8929 2,5135 2,2560 2,0914 2,0020 1,9779 2,0068 2,0698 2,1430 2,1999 2,2196 2,1891 2,0956 1,9200 1,6461 1,2747 0,8265 0,3358 -0,1574 -0,6135 -1,0038 -1,3240 -1,5996 -1,8756 -2,1835 -2,5092 -2,7998 -3,0106 -3,1434 -3,2442 -3,3681 -3,5381 -3,7320 -3,9072 -4,0302 -4,0802 -4,0348 -3,8711 -3,5821 -3,1828 -2,7032 -2,1889 -1,6956 -1,2617 -0,8906 -0,5684 -0,2814 0,0000 0,3301 0,7606 1,3028 1,9264 2,5891 3,2633 3,9444 4,6411 5,3552 6,0679 6,7340 7,2895 7,6856 7,9224 8,0419 8,0873 8,0713 7,9816 7,8102 7,5743 7,3174 7,0917 6,9297 6,8295 6,7677 6,7197 6,6656 6,5935 6,5011 6,3892 6,2509 6,0699 5,8270 5,5085 5,1195 4,7015 4,3334 4,1066 4,0923 4,3277 4,8060 5,4668 6,2079 6,9205 7,5250 7,9869 8,3156 8,5585 8,7802 9,0266 9,3000 9,5563 9,7221 9,7281 9,5469 9,2009 8,7343 8,1899 7,6054 7,0138 6,4453 5,9412 5,5556 5,3242 5,2267 5,1941 5,1616 5,1133 5,0712 5,0553 5,0698 5,1176 5,2056 5,3309 5,4731 5,6049 5,7066 5,7739 5,8204 5,8711 5,9476 6,0563 6,1816 6,2794 6,2951 6,2087 6,0495 5,8653 5,7003 5,5953 5,5735 5,6151 5,6592 5,6364 5,4984 5,2259 4,8324 4,3667 3,9040 3,5187 3,2577 3,1355 3,1442 3,2624 3,4633 3,7210 4,0174 4,3449 4,6978 5,0581 5,3985 5,6966 5,9337 6,0813 6,0969 5,9392 5,5929 5,0939 4,5306 4,0119 3,6233 3,3973 3,3041 3,2637 3,1884 3,0314 2,8064 2,5677 2,3794 2,2935 2,3392 2,5123 2,7691 3,0396 3,2576 3,3810 3,3967 3,3154 3,1645 2,9850 2,8294 2,7450 2,7417 2,7763 2,7815 2,7050 2,5254 2,2506 1,9051 1,4988 1,0113 0,4194 -0,2601 -0,9628 -1,6047 -2,1136 -2,4377 -2,5435 -2,4262 -2,1144 -1,6485 -1,0619 -0,3865 0,3403 1,0790 1,7900 2,4340 2,9820 3,4265 3,7813 4,0688 4,3040 4,4850 4,5890 4,5753 4,4021 4,0486 3,5263 2,8787 2,1765 1,4969 0,8952 0,4022 0,0376 -0,1934 -0,3076 -0,3426 -0,3481 -0,3689 -0,4215 -0,4886 -0,5357 -0,5406 -0,5170 -0,5138 -0,5869 -0,7706 -1,0644 -1,4359 -1,8381 -2,2272 -2,5693 -2,8463 -3,0618 -3,2300 -3,3531 -3,4149 -3,3892 -3,2551 -3,0167 -2,7143 -2,4062 -2,1420 -1,9492 -1,8289 -1,7519 -1,6591 -1,4768 -1,1432 -0,6352 0,0241 0,7741 1,5244 2,1756 2,6647 2,9967 3,2175 3,3632 3,4483 3,4828 3,4676 3,3851 3,2180 2,9748 2,6851 2,3784 2,0798 1,8169 1,6144 1,4789 1,3903 1,3041 1,1715 0,9660 0,6949 0,3950 0,1121 -0,1351 -0,3811 -0,6991 -1,1560 -1,7716 -2,5213 -3,3688 -4,2805 -5,2106 -6,0978 -6,8877 -7,5471 -8,0486 -8,3491 -8,3972 -8,1608 -7,6481 -6,9106 -6,0315 -5,1036 -4,2054 -3,3868 -2,6744 -2,0883 -1,6392 -1,3144 -1,0844 -0,9242 -0,8153 -0,7306 -0,6323 -0,4891 -0,2830 0,0037 0,3956 0,9137 1,5629 2,3277 3,1752 4,0717 4,9996 5,9578 6,9475 7,9539 8,9330 9,8215 10,5600 11,1010 11,4034 11,4381 11,2125 10,7840 10,2323 9,6218 8,9983 8,4071 7,8958 7,4986 7,2114 6,9880 6,7792 6,5747 6,3946 6,2537 6,1390 6,0092 5,8168 5,5422 5,2048 4,8463 4,5128 4,2407 4,0456 3,9232 3,8586 3,8285 3,8085 3,7912 3,7937 3,8382 3,9298 4,0550 4,1987 4,3612 4,5558 4,7847 5,0190 5,2042 5,2812 5,2047 4,9551 4,5510 4,0511 3,5319 3,0528 2,6310 2,2408 1,8382 1,3988 0,9449 0,5360 0,2308 0,0480 -0,0489 -0,1350 -0,2815 -0,5268 -0,8788 -1,3203 -1,8083 -2,2805 -2,6762 -2,9610 -3,1369 -3,2324 -3,2803 -3,3040 -3,3219 -3,3510 -3,3886 -3,3902 -3,2817 -3,0057 -2,5542 -1,9503
F3    1,4657 2,0759 2,5276 2,8167 2,9508 2,9472 2,8254 2,5898 2,2269 1,7281 1,1173 0,4498 -0,2216 -0,8730 -1,4895 -2,0212 -2,3887 -2,5466 -2,5187 -2,3604 -2,1060 -1,7666 -1,3688 -0,9660 -0,6008 -0,2740 0,0377 0,3454 0,6362 0,8817 1,0463 1,1008 1,0480 0,9315 0,8000 0,6712 0,5390 0,3967 0,2393 0,0475 -0,2096 -0,5424 -0,9215 -1,2889 -1,5814 -1,7555 -1,8047 -1,7498 -1,6224 -1,4644 -1,3339 -1,2896 -1,3481 -1,4520 -1,5029 -1,4333 -1,2395 -0,9585 -0,6343 -0,3111 -0,0428 0,1084 0,0920 -0,1032 -0,4387 -0,8458 -1,2531 -1,6056 -1,8715 -2,0397 -2,1135 -2,1175 -2,1057 -2,1462 -2,2744 -2,4653 -2,6624 -2,8230 -2,9276 -2,9738 -2,9820 -2,9902 -3,0277 -3,0997 -3,1926 -3,2899 -3,3824 -3,4630 -3,5210 -3,5538 -3,5592 -3,5050 -3,3272 -2,9770 -2,4688 -1,8844 -1,3291 -0,8761 -0,5348 -0,2574 0,0186 0,3198 0,6269 0,9003 1,0880 1,1276 0,9802 0,6639 0,2421 -0,2151 -0,6618 -1,0843 -1,4979 -1,9331 -2,4085 -2,9130 -3,4215 -3,9210 -4,4248 -4,9780 -5,6389 -6,4242 -7,2693 -8,0529 -8,6529 -8,9785 -8,9850 -8,6891 -8,1595 -7,4808 -6,7334 -5,9933 -5,3140 -4,7041 -4,1299 -3,5349 -2,8585 -2,0667 -1,1881 -0,3057 0,5067 1,2380 1,9331 2,6537 3,4423 4,3025 5,2119 6,1628 7,1743 8,2606 9,4017 10,5436 11,6134 12,5460 13,3140 13,9255 14,3936 14,7266 14,9433 15,0745 15,1417 15,1398 15,0460 14,8467 14,5476 14,1633 13,7007 13,1552 12,5221 11,8008 10,9862 10,0766 9,0931 8,0788 7,0829 6,1549 5,3395 4,6636 4,1287 3,7112 3,3655 3,0348 2,6724 2,2668 1,8478 1,4663 1,1638 0,9475 0,7871 0,6396 0,4812 0,3144 0,1442 -0,0402 -0,2547 -0,5050 -0,7859 -1,0856 -1,3869 -1,6696 -1,9219 -2,1513 -2,3832 -2,6431 -2,9267 -3,1777 -3,3162 -3,3006 -3,1619 -2,9843 -2,8577 -2,8306 -2,8884 -2,9739 -3,0245 -2,9881 -2,8188 -2,4881 -2,0091 -1,4348 -0,8337 -0,2816 0,1471 0,4187 0,5605 0,6293 0,6775 0,7598 0,9375 1,2490 1,6813 2,1802 2,6873 3,1710 3,6362 4,1106 4,6185 5,1586 5,6882 6,1300 6,4198 6,5570 6,5997 6,6080 6,5941 6,5269 6,3757 6,1429 5,8702 5,6198 5,4407 5,3430 5,3031 5,2859 5,2570 5,1893 5,0654 4,8723 4,5998 4,2479 3,8262 3,3474 2,8347 2,3440 1,9662 1,7952 1,8899 2,2623 2,8741 3,6369 4,4321 5,1539 5,7473 6,2125 6,5812 6,8963 7,1983 7,5019 7,7854 8,0054 8,1169 8,0912 7,9364 7,6989 7,4315 7,1631 6,8951 6,6123 6,3033 5,9837 5,6995 5,4948 5,3688 5,2720 5,1571 5,0315 4,9413 4,9097 4,9152 4,9267 4,9311 4,9241 4,8966 4,8427 4,7697 4,6944 4,6360 4,6107 4,6275 4,6848 4,7628 4,8168 4,7987 4,6991 4,5551 4,4123 4,3001 4,2431 4,2593 4,3320 4,4010 4,3923 4,2569 3,9925 3,6406 3,2657 2,9298 2,6733 2,5089 2,4293 2,4248 2,4933 2,6303 2,8152 3,0225 3,2481 3,5079 3,8065 4,1210 4,4177 4,6693 4,8499 4,9228 4,8401 4,5666 4,1196 3,5857 3,0876 2,7304 2,5660 2,5764 2,6762 2,7510 2,7181 2,5666 2,3553 2,1721 2,0883 2,1371 2,3097 2,5612 2,8312 3,0684 3,2430 3,3462 3,3857 3,3798 3,3579 3,3563 3,3988 3,4689 3,5092 3,4558 3,2687 2,9371 2,4783 1,9230 1,2809 0,5298 -0,3440 -1,2973 -2,2333 -3,0452 -3,6516 -3,9991 -4,0567 -3,8332 -3,3856 -2,7836 -2,0773 -1,3016 -0,4896 0,3258 1,1167 1,8627 2,5475 3,1528 3,6624 4,0694 4,3716 4,5610 4,6179 4,5149 4,2282 3,7532 3,1079 2,3321 1,4887 0,6540 -0,0992 -0,7033 -1,0968 -1,2478 -1,1780 -0,9626 -0,7074 -0,5075 -0,4079 -0,3943 -0,4201 -0,4422 -0,4455 -0,4517 -0,5111 -0,6793 -0,9826 -1,3952 -1,8536 -2,2902 -2,6534 -2,9136 -3,0666 -3,1196 -3,0695 -2,9015 -2,6030 -2,1833 -1,6948 -1,2228 -0,8440 -0,5969 -0,4810 -0,4648 -0,4879 -0,4683 -0,3244 -0,0064 0,4788 1,0693 1,6700 2,1737 2,4892 2,5877 2,5223 2,3804 2,2146 2,0379 1,8593 1,6907 1,5315 1,3783 1,2429 1,1419 1,0786 1,0477 1,0477 1,0732 1,1034 1,1021 1,0206 0,8123 0,4595 -0,0107 -0,5286 -1,0057 -1,3883 -1,6993 -2,0221 -2,4397 -2,9809 -3,6220 -4,3288 -5,0693 -5,7888 -6,4150 -6,9004 -7,2435 -7,4549 -7,5120 -7,3637 -6,9752 -6,3597 -5,5745 -4,6989 -3,8104 -2,9655 -2,1937 -1,5169 -0,9702 -0,5798 -0,3239 -0,1404 0,0235 0,1872 0,3545 0,5313 0,7187 0,9095 1,1035 1,3237 1,6124 2,0132 2,5449 3,1833 3,8768 4,5805 5,2727 5,9459 6,5900 7,1822 7,6950 8,1125 8,4288 8,6278 8,6814 8,5814 8,3644 8,0854 7,7739 7,4311 7,0628 6,6987 6,3792 6,1197 5,8920 5,6604 5,4355 5,2739 5,2249 5,2812 5,3732 5,4107 5,3359 5,1398 4,8497 4,5137 4,1754 3,8516 3,5411 3,2436 2,9573 2,6810 2,4394 2,2861 2,2615 2,3570 2,5277 2,7357 2,9777 3,2621 3,5627 3,8081 3,9155 3,8238 3,5033 2,9600 2,2497 1,4783 0,7687 0,2123 -0,1666 -0,4137 -0,6068 -0,7984 -0,9825 -1,1111 -1,1423 -1,0799 -0,9864 -0,9583 -1,0708 -1,3415 -1,7384 -2,1974 -2,6366 -2,9751 -3,1558 -3,1704 -3,0696 -2,9397 -2,8569 -2,8587 -2,9521 -3,1339 -3,3863 -3,6583 -3,8747 -3,9791 -3,9569 -3,8057
F7    0,5452 1,2263 1,8889 2,4944 2,9885 3,3210 3,4699 3,4277 3,1847 2,7500 2,1750 1,5373 0,8994 0,2830 -0,3120 -0,8538 -1,2755 -1,5455 -1,7089 -1,8327 -1,9266 -1,9386 -1,8309 -1,6357 -1,4205 -1,2250 -1,0566 -0,9226 -0,8431 -0,8368 -0,9077 -1,0344 -1,1530 -1,1703 -1,0298 -0,7589 -0,4378 -0,1429 0,0742 0,1788 0,1535 0,0144 -0,1874 -0,3855 -0,5192 -0,5534 -0,4913 -0,3648 -0,2166 -0,0941 -0,0440 -0,0953 -0,2208 -0,3191 -0,2738 -0,0486 0,2860 0,6208 0,8939 1,1083 1,2912 1,4539 1,5826 1,6555 1,6607 1,6030 1,5076 1,4169 1,3819 1,4473 1,6315 1,9026 2,1647 2,2851 2,1661 1,7911 1,1974 0,4368 -0,4230 -1,3032 -2,1498 -2,9466 -3,6876 -4,3578 -4,9449 -5,4522 -5,8963 -6,2827 -6,5963 -6,8241 -6,9583 -6,9694 -6,8104 -6,4674 -5,9993 -5,5206 -5,1404 -4,9034 -4,7678 -4,6225 -4,3405 -3,8501 -3,1664 -2,3712 -1,5953 -1,0011 -0,7222 -0,7897 -1,1203 -1,5723 -2,0160 -2,3718 -2,6208 -2,7946 -2,9411 -3,0934 -3,2678 -3,4699 -3,7072 -4,0118 -4,4343 -4,9845 -5,5929 -6,1485 -6,5539 -6,7375 -6,6634 -6,3648 -5,9335 -5,4527 -4,9650 -4,5036 -4,1102 -3,8178 -3,6338 -3,5338 -3,4601 -3,3596 -3,2450 -3,1869 -3,2136 -3,2457 -3,1471 -2,8173 -2,2486 -1,5325 -0,7942 -0,0928 0,6071 1,3709 2,2260 3,1420 4,0455 4,8609 5,5534 6,1182 6,5358 6,7701 6,8041 6,6593 6,3841 6,0366 5,6795 5,3791 5,1896 5,1271 5,1514 5,1835 5,1539 5,0270 4,7792 4,3872 3,8524 3,2169 2,5512 1,9324 1,4193 1,0327 0,7615 0,5779 0,4438 0,3171 0,1685 -0,0007 -0,1567 -0,2558 -0,2835 -0,2811 -0,3353 -0,5319 -0,9037 -1,4102 -1,9712 -2,5243 -3,0491 -3,5518 -4,0444 -4,5358 -5,0283 -5,5125 -5,9673 -6,3738 -6,7291 -7,0412 -7,2961 -7,4306 -7,3622 -7,0586 -6,5750 -6,0275 -5,5355 -5,1697 -4,9307 -4,7713 -4,6350 -4,4724 -4,2429 -3,9345 -3,5847 -3,2539 -2,9781 -2,7719 -2,6485 -2,5910 -2,5356 -2,4199 -2,2237 -1,9443 -1,5718 -1,1113 -0,6101 -0,1439 0,2204 0,4555 0,5866 0,6731 0,7721 0,9129 1,0739 1,1757 1,1413 0,9711 0,7403 0,5269 0,3494 0,1674 -0,0754 -0,4094 -0,8187 -1,2509 -1,6514 -1,9817 -2,2074 -2,2984 -2,2633 -2,1606 -2,0637 -2,0253 -2,0591 -2,1354 -2,2070 -2,2475 -2,2540 -2,2167 -2,1088 -1,9154 -1,6516 -1,3387 -0,9887 -0,6285 -0,3116 -0,0840 0,0607 0,1824 0,3551 0,6421 1,0825 1,6687 2,3368 2,9801 3,4730 3,7186 3,7141 3,5618 3,3937 3,2821 3,2197 3,1551 3,0412 2,8805 2,7312 2,6564 2,6598 2,6759 2,6380 2,5451 2,4378 2,3204 2,1443 1,8697 1,5173 1,1489 0,8107 0,5104 0,2399 -0,0038 -0,2197 -0,4088 -0,5706 -0,6919 -0,7465 -0,7170 -0,6051 -0,4109 -0,1435 0,1378 0,3442 0,4354 0,4353 0,3741 0,2543 0,0738 -0,1516 -0,3945 -0,6354 -0,8694 -1,0949 -1,3008 -1,4715 -1,5936 -1,6514 -1,6279 -1,5213 -1,3642 -1,2060 -1,0642 -0,9074 -0,6912 -0,3970 -0,0354 0,3651 0,7662 1,1195 1,3668 1,4549 1,3758 1,1907 0,9993 0,8796 0,8579 0,9103 0,9696 0,9472 0,7813 0,4770 0,1070 -0,2295 -0,4474 -0,4871 -0,3219 0,0223 0,4701 0,9271 1,3078 1,5537 1,6394 1,5728 1,3973 1,1838 1,0021 0,8887 0,8408 0,8304 0,8125 0,7391 0,5904 0,3750 0,0733 -0,3966 -1,1128 -2,0482 -3,0612 -3,9801 -4,6816 -5,1029 -5,2250 -5,0853 -4,7720 -4,3530 -3,8280 -3,1667 -2,3706 -1,4979 -0,6499 0,0637 0,5598 0,7959 0,7761 0,5591 0,2539 -0,0154 -0,1612 -0,1666 -0,0897 -0,0410 -0,1407 -0,4606 -0,9810 -1,6067 -2,2201 -2,7039 -2,9486 -2,8889 -2,5462 -2,0320 -1,5064 -1,1051 -0,8770 -0,7793 -0,7293 -0,6584 -0,5385 -0,3884 -0,2712 -0,2795 -0,5017 -0,9793 -1,6827 -2,5143 -3,3333 -4,0055 -4,4567 -4,6727 -4,6624 -4,4425 -4,0426 -3,5140 -2,9413 -2,4228 -2,0258 -1,7672 -1,6255 -1,5536 -1,4910 -1,3836 -1,2016 -0,9422 -0,6207 -0,2557 0,1274 0,4725 0,7013 0,7816 0,7709 0,7540 0,7499 0,7160 0,6151 0,4317 0,1500 -0,2330 -0,6706 -1,0739 -1,3553 -1,4527 -1,3429 -1,0620 -0,6984 -0,3570 -0,1408 -0,1340 -0,3640 -0,7797 -1,2676 -1,7015 -2,0139 -2,2434 -2,5055 -2,8973 -3,4091 -3,9352 -4,3691 -4,6628 -4,8129 -4,8458 -4,8265 -4,8393 -4,9195 -5,0078 -4,9888 -4,7770 -4,3694 -3,8430 -3,3157 -2,8938 -2,6269 -2,4890 -2,4159 -2,3688 -2,3339 -2,2803 -2,1730 -2,0194 -1,8615 -1,7211 -1,5783 -1,4115 -1,2307 -1,0548 -0,8760 -0,6587 -0,3661 0,0025 0,3956 0,7483 1,0311 1,2523 1,4329 1,5884 1,7212 1,8356 1,9628 2,1438 2,3698 2,5619 2,6348 2,5706 2,4107 2,1957 1,9489 1,7080 1,5454 1,5391 1,7118 1,9951 2,2774 2,5006 2,6950 2,9208 3,1891 3,4388 3,5828 3,5648 3,3736 3,0436 2,6504 2,2662 1,9086 1,5528 1,1740 0,7568 0,3067 -0,1073 -0,3523 -0,3196 -0,0229 0,4014 0,7967 1,0911 1,2984 1,4420 1,5101 1,4751 1,3146 1,0041 0,5190 -0,1287 -0,8635 -1,5695 -2,1498 -2,5834 -2,9349 -3,2917 -3,6772 -4,0259 -4,2447 -4,2943 -4,2258 -4,1710 -4,2905 -4,6866 -5,3539 -6,2064 -7,1183 -7,9421 -8,5239 -8,7397 -8,5492 -8,0191 -7,2857 -6,4935 -5,7606 -5,1718 -4,7739 -4,5608 -4,4709 -4,4254 -4,3887 -4,3836 -4,4358
