Fp1   -2,6246 -2,2409 -1,8613 -1,5006 -1,1343 -0,7372 -0,3148 0,1122 0,5370 0,9736 1,4442 1,9605 2,4977 2,9758 3,2926 3,3995 3,3388 3,1946 3,0155 2,7929 2,4906 2,0724 1,5145 0,8222 0,0483 -0,7181 -1,3936 -1,9332 -2,3196 -2,5288 -2,5360 -2,3678 -2,1090 -1,8406 -1,5923 -1,3587 -1,1382 -0,9485 -0,8051 -0,6900 -0,5680 -0,4254 -0,2721 -0,1287 -0,0227 0,0246 0,0079 -0,0654 -0,1575 -0,1826 -0,0426 0,3033 0,7935 1,2782 1,5985 1,6709 1,5017 1,1482 0,6810 0,1694 -0,3007 -0,6129 -0,6533 -0,3608 0,2349 1,0065 1,7856 2,4442 2,9200 3,1864 3,2264 3,0342 2,6337 2,0887 1,4815 0,8759 0,3198 -0,1178 -0,3555 -0,3715 -0,2523 -0,1482 -0,1793 -0,3768 -0,6864 -0,9966 -1,1695 -1,0999 -0,7824 -0,3144 0,1711 0,5691 0,8377 1,0032 1,1278 1,2560 1,3826 1,4647 1,4674 1,4018 1,3226 1,2823 1,2957 1,3464 1,4087 1,4597 1,4768 1,4284 1,2792 1,0148 0,6479 0,2133 -0,2387 -0,6657 -1,0531 -1,3974 -1,6941 -1,9593 -2,2363 -2,5644 -2,9535 -3,3838 -3,8087 -4,1646 -4,4065 -4,5401 -4,6134 -4,6696 -4,7082 -4,6976 -4,6233 -4,5018 -4,3500 -4,1730 -3,9860 -3,8094 -3,6389 -3,4511 -3,2395 -3,0182 -2,7840 -2,4823 -2,0160 -1,3066 -0,3646 0,7125 1,8071 2,8358 3,7523 4,5335 5,1790 5,7052 6,1204 6,4113 6,5575 6,5490 6,3898 6,0924 5,6776 5,1943 4,7320 4,3948 4,2509 4,3036 4,4975 4,7375 4,9196 4,9632 4,8305 4,5424 4,1795 3,8360 3,5659 3,3772 3,2645 3,2349 3,3023 3,4715 3,7309 4,0478 4,3664 4,6229 4,7686 4,7874 4,6960 4,5269 4,3139 4,0891 3,8744 3,6744 3,4820 3,2988 3,1483 3,0601 3,0341 3,0355 3,0337 3,0315 3,0422 3,0554 3,0355 2,9444 2,7614 2,4928 2,1663 1,8182 1,4813 1,1830 0,9507 0,8071 0,7508 0,7477 0,7547 0,7509 0,7409 0,7328 0,7292 0,7328 0,7413 0,7353 0,6809 0,5485 0,3288 0,0324 -0,3178 -0,6749 -0,9622 -1,1026 -1,0541 -0,8096 -0,3697 0,2658 1,0671 1,9496 2,7939 3,4894 3,9626 4,1924 4,2133 4,0936 3,8950 3,6475 3,3616 3,0525 2,7370 2,4189 2,0891 1,7429 1,3952 1,0724 0,8020 0,6179 0,5467 0,5796 0,6784 0,8052 0,9397 1,0765 1,2042 1,2945 1,3268 1,3147 1,2988 1,3244 1,4163 1,5641 1,7414 1,9318 2,1142 2,2477 2,3047 2,3016 2,2765 2,2531 2,2359 2,2206 2,1991 2,1628 2,1092 2,0331 1,9117 1,7138 1,4352 1,1203 0,8355 0,6195 0,4659 0,3450 0,2275 0,0982 -0,0311 -0,1236 -0,1430 -0,0838 0,0259 0,1486 0,2550 0,3261 0,3649 0,4016 0,4603 0,5224 0,5376 0,4614 0,2855 0,0475 -0,1890 -0,3673 -0,4526 -0,4334 -0,3309 -0,1994 -0,0956 -0,0517 -0,0762 -0,1505 -0,2193 -0,2086 -0,0746 0,1661 0,4661 0,7938 1,1339 1,4690 1,7706 1,9941 2,0862 2,0190 1,8241 1,5875 1,4021 1,3254 1,3737 1,5341 1,7637 1,9968 2,1834 2,3257 2,4642 2,6282 2,8092 2,9667 3,0468 3,0122 2,8612 2,6085 2,2492 1,7644 1,1703 0,5415 -0,0246 -0,4523 -0,7110 -0,8275 -0,8760 -0,9298 -1,0110 -1,0884 -1,1220 -1,1042 -1,0515 -0,9664 -0,8282 -0,6172 -0,3264 0,0458 0,4798 0,9172 1,2809 1,5162 1,6113 1,5886 1,4832 1,3221 1,1229 0,9170 0,7555 0,6662 0,6165 0,5403 0,3933 0,1838 -0,0289 -0,1578 -0,1198 0,1348 0,5976 1,1952 1,8140 2,3343 2,6611 2,7505 2,6155 2,3091 1,9112 1,5144 1,1745 0,8691 0,5268 0,0986 -0,4013 -0,9097 -1,3593 -1,7168 -1,9909 -2,2171 -2,4258 -2,6087 -2,7247 -2,7418 -2,6687 -2,5556 -2,4654 -2,4343 -2,4609 -2,5234 -2,5888 -2,6102 -2,5423 -2,3733 -2,1373 -1,8993 -1,7216 -1,6301 -1,5963 -1,5603 -1,4818 -1,3675 -1,2427 -1,1188 -0,9994 -0,8965 -0,8263 -0,7961 -0,7932 -0,7841 -0,7257 -0,5871 -0,3668 -0,0817 0,2608 0,6612 1,1051 1,5616 1,9971 2,3915 2,7502 3,0870 3,3868 3,6040 3,7000 3,6618 3,4859 3,1656 2,7019 2,1220 1,4850 0,8686 0,3421 -0,0578 -0,3260 -0,4717 -0,5131 -0,4848 -0,4374 -0,4269 -0,4934 -0,6335 -0,7973 -0,9278 -0,9981 -1,0137 -0,9962 -0,9716 -0,9565 -0,9418 -0,8962 -0,7961 -0,6478 -0,4898 -0,3723 -0,3194 -0,3122 -0,3209 -0,3338 -0,3538 -0,3844 -0,4292 -0,5006 -0,6157 -0,7747 -0,9577 -1,1436 -1,3135 -1,4413 -1,4969 -1,4641 -1,3621 -1,2551 -1,2304 -1,3562 -1,6504 -2,0728 -2,5401 -2,9515 -3,2104 -3,2405 -3,0070 -2,5344 -1,8936 -1,1600 -0,3818 0,4269 1,2746 2,1733 3,1274 4,1244 5,1150 6,0094 6,7161 7,1922 7,4616 7,6007 7,7025 7,8291 7,9816 8,1106 8,1502 8,0414 7,7451 7,2612 6,6373 5,9370 5,1919 4,4004 3,5714 2,7520 2,0165 1,4428 1,0846 0,9403 0,9482 1,0141 1,0415 0,9555 0,7278 0,3867 0,0051 -0,3343 -0,5859 -0,7627 -0,9081 -1,0389 -1,1210 -1,1004 -0,9490 -0,6845 -0,3638 -0,0555 0,1978 0,4017 0,6022 0,8555 1,1920 1,5922 1,9839 2,2706 2,3761 2,2728 1,9841 1,5790 1,1567 0,8092 0,5746 0,4205 0,2779 0,0967 -0,1192 -0,3179 -0,4415 -0,4633 -0,3919 -0,2583 -0,0971 0,0733 0,2546 0,4550 0,6745 0,8869 1,0323 1,0449 0,8932 0,5887 0,1653 -0,3451 -0,9149 -1,5034 -2,0521 -2,4988 -2,7881
Fz    -2,0091 -1,8261 -1,6238 -1,4522 -1,3251 -1,2213 -1,1048 -0,9370 -0,6830 -0,3222 0,1435 0,6937 1,2936 1,8888 2,4071 2,7825 2,9815 3,0021 2,8584 2,5732 2,1783 1,7036 1,1655 0,5819 -0,0065 -0,5478 -1,0159 -1,4288 -1,8168 -2,1731 -2,4480 -2,5926 -2,5957 -2,4796 -2,2755 -2,0088 -1,6991 -1,3629 -1,0083 -0,6261 -0,2000 0,2731 0,7735 1,2562 1,6541 1,9017 1,9634 1,8431 1,5879 1,2834 1,0237 0,8669 0,8107 0,7996 0,7685 0,6913 0,5930 0,5262 0,5392 0,6536 0,8658 1,1543 1,4784 1,7853 2,0219 2,1439 2,1317 2,0021 1,7915 1,5251 1,2057 0,8273 0,3971 -0,0527 -0,4749 -0,8355 -1,1248 -1,3386 -1,4653 -1,5022 -1,4744 -1,4244 -1,3837 -1,3548 -1,3157 -1,2313 -1,0682 -0,8182 -0,5137 -0,2084 0,0595 0,2851 0,4909 0,7108 0,9642 1,2346 1,4730 1,6282 1,6857 1,6850 1,6954 1,7650 1,8892 2,0221 2,1101 2,1174 2,0305 1,8498 1,5827 1,2413 0,8366 0,3806 -0,1024 -0,5806 -1,0315 -1,4430 -1,8140 -2,1613 -2,5149 -2,8991 -3,3194 -3,7647 -4,2138 -4,6405 -5,0231 -5,3515 -5,6259 -5,8442 -5,9929 -6,0584 -6,0445 -5,9639 -5,8108 -5,5620 -5,2088 -4,7706 -4,2744 -3,7445 -3,2136 -2,7254 -2,3132 -1,9744 -1,6641 -1,3218 -0,9132 -0,4393 0,0919 0,6889 1,3659 2,1217 2,9371 3,7819 4,6153 5,3869 6,0470 6,5558 6,8916 7,0570 7,0784 7,0045 6,8992 6,8210 6,7966 6,8138 6,8341 6,8112 6,7118 6,5284 6,2716 5,9625 5,6430 5,3730 5,1977 5,1167 5,0877 5,0585 4,9949 4,8942 4,7845 4,7020 4,6666 4,6743 4,7009 4,7125 4,6774 4,5720 4,3861 4,1253 3,8023 3,4266 3,0068 2,5610 2,1196 1,7150 1,3637 1,0662 0,8270 0,6606 0,5710 0,5368 0,5256 0,5212 0,5409 0,6258 0,8086 1,0891 1,4329 1,7875 2,1012 2,3341 2,4574 2,4535 2,3213 2,0801 1,7625 1,4038 1,0401 0,7114 0,4521 0,2746 0,1665 0,1047 0,0754 0,0806 0,1237 0,1958 0,2746 0,3276 0,3196 0,2299 0,0727 -0,1009 -0,2310 -0,2819 -0,2508 -0,1492 0,0170 0,2554 0,5846 1,0209 1,5516 2,1167 2,6203 2,9654 3,0873 2,9748 2,6762 2,2853 1,9071 1,6134 1,4205 1,2973 1,1890 1,0461 0,8553 0,6517 0,5028 0,4783 0,6223 0,9459 1,4376 2,0683 2,7894 3,5389 4,2458 4,8319 5,2361 5,4436 5,4747 5,3587 5,1316 4,8443 4,5491 4,2826 4,0618 3,8872 3,7475 3,6261 3,5090 3,3822 3,2225 3,0036 2,7196 2,3959 2,0654 1,7375 1,3982 1,0373 0,6667 0,3184 0,0314 -0,1625 -0,2515 -0,2500 -0,1979 -0,1488 -0,1514 -0,2298 -0,3663 -0,5036 -0,5764 -0,5473 -0,4140 -0,1918 0,1077 0,4863 0,9456 1,4627 1,9826 2,4300 2,7216 2,7868 2,5993 2,1941 1,6519 1,0726 0,5549 0,1785 -0,0099 0,0040 0,2127 0,5916 1,0926 1,6515 2,2050 2,6983 3,0836 3,3268 3,4195 3,3807 3,2453 3,0594 2,8822 2,7740 2,7687 2,8640 3,0418 3,2891 3,5928 3,9215 4,2240 4,4399 4,5139 4,4163 4,1560 3,7615 3,2517 2,6298 1,9104 1,1368 0,3699 -0,3299 -0,9176 -1,3795 -1,7346 -2,0110 -2,2169 -2,3378 -2,3597 -2,2896 -2,1481 -1,9483 -1,6913 -1,3813 -1,0336 -0,6677 -0,3056 0,0269 0,3100 0,5426 0,7428 0,9359 1,1316 1,3045 1,4035 1,3944 1,2873 1,1128 0,8901 0,6295 0,3504 0,0808 -0,1522 -0,3219 -0,3907 -0,3105 -0,0502 0,3770 0,9162 1,4947 2,0440 2,5091 2,8457 3,0145 2,9923 2,7880 2,4322 1,9526 1,3617 0,6628 -0,1393 -1,0216 -1,9352 -2,8142 -3,5975 -4,2456 -4,7366 -5,0490 -5,1638 -5,0807 -4,8246 -4,4419 -3,9896 -3,5215 -3,0867 -2,7342 -2,5049 -2,4136 -2,4477 -2,5840 -2,7989 -3,0664 -3,3528 -3,6110 -3,7801 -3,8005 -3,6413 -3,3111 -2,8387 -2,2551 -1,5967 -0,9147 -0,2708 0,2789 0,6982 0,9768 1,1278 1,1785 1,1597 1,1092 1,0795 1,1252 1,2789 1,5407 1,8804 2,2515 2,6131 2,9370 3,2014 3,3922 3,5144 3,5837 3,5997 3,5287 3,3141 2,9072 2,3043 1,5630 0,7844 0,0737 -0,4907 -0,8678 -1,0556 -1,0899 -1,0293 -0,9333 -0,8435 -0,7751 -0,7203 -0,6646 -0,6000 -0,5223 -0,4267 -0,3119 -0,1804 -0,0340 0,1232 0,2754 0,3959 0,4551 0,4288 0,3175 0,1574 -0,0038 -0,1380 -0,2428 -0,3271 -0,3968 -0,4488 -0,4717 -0,4482 -0,3650 -0,2219 -0,0303 0,1948 0,4358 0,6692 0,8590 0,9523 0,8944 0,6635 0,2944 -0,1321 -0,5239 -0,8128 -0,9681 -0,9875 -0,8828 -0,6722 -0,3751 -0,0043 0,4396 0,9698 1,6082 2,3727 3,2651 4,2592 5,2869 6,2418 7,0207 7,5721 7,9137 8,1124 8,2427 8,3416 8,3879 8,3267 8,1200 7,7756 7,3408 6,8797 6,4478 6,0653 5,7015 5,2956 4,8036 4,2258 3,5994 2,9760 2,3989 1,8866 1,4354 1,0301 0,6496 0,2798 -0,0641 -0,3317 -0,4567 -0,3888 -0,1223 0,2962 0,7877 1,2766 1,7118 2,0593 2,2922 2,3924 2,3545 2,1891 1,9327 1,6519 1,4266 1,3170 1,3367 1,4474 1,5766 1,6490 1,6170 1,4727 1,2434 0,9817 0,7499 0,5906 0,5014 0,4367 0,3425 0,1916 -0,0062 -0,2192 -0,4180 -0,5871 -0,7212 -0,8185 -0,8784 -0,8956 -0,8628 -0,7783 -0,6490 -0,4955 -0,3561 -0,2751 -0,2856 -0,4007 -0,6119 -0,8946 -1,2114 -1,5170 -1,7717 -1,9554 -2,0646
F3    -1,2778 -1,1566 -1,0592 -0,9947 -0,9414 -0,8689 -0,7702 -0,6435 -0,4545 -0,1462 0,3121 0,8925 1,5157 2,0756 2,4700 2,6411 2,6004 2,4051 2,1105 1,7544 1,3664 0,9612 0,5301 0,0625 -0,4174 -0,8527 -1,2018 -1,4713 -1,6885 -1,8540 -1,9431 -1,9508 -1,9096 -1,8578 -1,7967 -1,6788 -1,4484 -1,0984 -0,6803 -0,2604 0,1176 0,4390 0,7096 0,9395 1,1243 1,2419 1,2638 1,1716 0,9795 0,7388 0,5097 0,3318 0,2114 0,1200 0,0199 -0,1015 -0,2190 -0,2846 -0,2600 -0,1456 0,0294 0,2346 0,4546 0,6909 0,9417 1,1777 1,3593 1,4733 1,5289 1,5244 1,4380 1,2524 0,9797 0,6573 0,3227 -0,0083 -0,3339 -0,6343 -0,8632 -0,9787 -0,9758 -0,8896 -0,7751 -0,6847 -0,6488 -0,6614 -0,6808 -0,6585 -0,5683 -0,4073 -0,1815 0,0996 0,4262 0,7882 1,1685 1,5387 1,8605 2,0972 2,2339 2,2907 2,3122 2,3374 2,3739 2,3953 2,3596 2,2425 2,0568 1,8294 1,5710 1,2747 0,9273 0,5227 0,0728 -0,3983 -0,8661 -1,2973 -1,6526 -1,9133 -2,0972 -2,2398 -2,3694 -2,5022 -2,6463 -2,8068 -2,9926 -3,2184 -3,4950 -3,8145 -4,1448 -4,4412 -4,6680 -4,8057 -4,8416 -4,7652 -4,5752 -4,2783 -3,8869 -3,4262 -2,9436 -2,4961 -2,1220 -1,8124 -1,5066 -1,1321 -0,6621 -0,1256 0,4388 1,0196 1,6244 2,2563 2,9090 3,5705 4,2239 4,8470 5,4154 5,9076 6,3144 6,6409 6,8964 7,0861 7,2121 7,2718 7,2546 7,1493 6,9568 6,6898 6,3693 6,0241 5,6879 5,3954 5,1793 5,0557 5,0089 4,9926 4,9546 4,8702 4,7551 4,6505 4,5994 4,6270 4,7326 4,8913 5,0612 5,1973 5,2605 5,2196 5,0591 4,7902 4,4417 4,0383 3,5927 3,1164 2,6285 2,1508 1,7004 1,2940 0,9546 0,7044 0,5502 0,4823 0,4876 0,5605 0,7050 0,9282 1,2297 1,5956 1,9975 2,3943 2,7399 2,9923 3,1157 3,0821 2,8798 2,5239 2,0555 1,5299 1,0083 0,5561 0,2329 0,0712 0,0632 0,1657 0,3223 0,4867 0,6305 0,7344 0,7768 0,7354 0,6037 0,4056 0,1998 0,0646 0,0578 0,1827 0,4008 0,6676 0,9540 1,2522 1,5790 1,9686 2,4460 2,9985 3,5683 4,0685 4,4081 4,5194 4,3852 4,0454 3,5737 3,0408 2,4988 1,9839 1,5188 1,1142 0,7808 0,5437 0,4471 0,5426 0,8674 1,4285 2,1996 3,1155 4,0732 4,9553 5,6563 6,0977 6,2467 6,1335 5,8316 5,4216 4,9813 4,5854 4,2853 4,0913 3,9838 3,9325 3,9091 3,8993 3,9080 3,9403 3,9747 3,9652 3,8726 3,6963 3,4719 3,2360 2,9987 2,7478 2,4688 2,1620 1,8494 1,5663 1,3482 1,2179 1,1699 1,1644 1,1443 1,0692 0,9476 0,8379 0,8037 0,8703 1,0203 1,2219 1,4614 1,7529 2,1172 2,5472 2,9947 3,3837 3,6283 3,6530 3,4244 2,9693 2,3658 1,7230 1,1607 0,7810 0,6422 0,7547 1,0928 1,6002 2,1973 2,8033 3,3573 3,8132 4,1275 4,2683 4,2380 4,0774 3,8466 3,6047 3,4045 3,2828 3,2432 3,2563 3,2895 3,3325 3,3927 3,4783 3,5914 3,7276 3,8748 4,0160 4,1311 4,1861 4,1245 3,8863 3,4491 2,8513 2,1765 1,5234 0,9692 0,5357 0,1873 -0,1273 -0,4262 -0,6842 -0,8624 -0,9391 -0,9128 -0,7918 -0,5922 -0,3418 -0,0687 0,2131 0,5011 0,7935 1,0896 1,3916 1,6996 2,0083 2,3034 2,5531 2,7113 2,7447 2,6541 2,4618 2,1890 1,8504 1,4614 1,0456 0,6366 0,2790 0,0320 -0,0415 0,0909 0,4062 0,8392 1,3153 1,7754 2,1810 2,5022 2,7086 2,7794 2,7191 2,5427 2,2491 1,8253 1,2731 0,6168 -0,1053 -0,8466 -1,5566 -2,1939 -2,7397 -3,1863 -3,5108 -3,6700 -3,6283 -3,3912 -3,0082 -2,5482 -2,0759 -1,6494 -1,3283 -1,1678 -1,1957 -1,4049 -1,7646 -2,2277 -2,7262 -3,1743 -3,4813 -3,5672 -3,3873 -2,9593 -2,3582 -1,6726 -0,9689 -0,2964 0,2989 0,7826 1,1455 1,3994 1,5587 1,6286 1,6081 1,4996 1,3213 1,1203 0,9629 0,9061 0,9757 1,1634 1,4445 1,8021 2,2275 2,6995 3,1789 3,6197 3,9737 4,1898 4,2185 4,0222 3,5872 2,9367 2,1390 1,2945 0,5085 -0,1304 -0,5630 -0,7697 -0,7686 -0,6030 -0,3346 -0,0385 0,2140 0,3733 0,4200 0,3651 0,2456 0,1103 0,0007 -0,0571 -0,0465 0,0449 0,2183 0,4537 0,7035 0,9056 1,0153 1,0249 0,9490 0,8072 0,6208 0,4157 0,2192 0,0482 -0,0920 -0,1959 -0,2519 -0,2506 -0,1897 -0,0737 0,0901 0,2854 0,4708 0,5735 0,5177 0,2745 -0,1120 -0,5410 -0,8999 -1,1094 -1,1447 -1,0221 -0,7767 -0,4478 -0,0693 0,3406 0,7831 1,2754 1,8459 2,5183 3,2926 4,1393 5,0050 5,8226 6,5331 7,1147 7,5913 8,0141 8,4235 8,8128 9,1183 9,2572 9,1855 8,9220 8,5194 8,0222 7,4491 6,8055 6,1004 5,3525 4,5920 3,8606 3,2023 2,6441 2,1831 1,7929 1,4434 1,1155 0,8041 0,5211 0,2998 0,1880 0,2246 0,4139 0,7186 1,0776 1,4329 1,7507 2,0241 2,2544 2,4283 2,5240 2,5362 2,4865 2,4097 2,3381 2,2993 2,3164 2,3986 2,5314 2,6779 2,7937 2,8435 2,8034 2,6535 2,3822 2,0000 1,5452 1,0686 0,6088 0,1873 -0,1746 -0,4494 -0,6163 -0,6741 -0,6360 -0,5184 -0,3394 -0,1198 0,1230 0,3770 0,6283 0,8567 1,0298 1,1023 1,0307 0,7946 0,4090 -0,0782 -0,6013 -1,0924 -1,4861 -1,7270 -1,7920 -1,7040
F7    -0,9343 -0,7096 -0,5475 -0,4985 -0,5421 -0,6260 -0,6793 -0,6232 -0,4141 -0,0733 0,3448 0,8097 1,3156 1,8262 2,2578 2,5418 2,6763 2,6925 2,5923 2,3381 1,8914 1,2529 0,4744 -0,3545 -1,1333 -1,7790 -2,2425 -2,5108 -2,5971 -2,5135 -2,2586 -1,8603 -1,4055 -0,9936 -0,6799 -0,4779 -0,3797 -0,3506 -0,3156 -0,1816 0,0971 0,4698 0,8129 1,0106 1,0147 0,8449 0,5576 0,2233 -0,0815 -0,2814 -0,3193 -0,1869 0,0496 0,2705 0,3647 0,2884 0,0809 -0,1762 -0,4186 -0,6224 -0,7800 -0,8649 -0,8260 -0,6165 -0,2369 0,2480 0,7476 1,2032 1,5962 1,9182 2,1470 2,2524 2,2262 2,0955 1,9021 1,6746 1,4360 1,2332 1,1277 1,1371 1,2000 1,2110 1,0905 0,8244 0,4590 0,0825 -0,1928 -0,2752 -0,1504 0,1094 0,3913 0,6007 0,7103 0,7736 0,8744 1,0568 1,3042 1,5693 1,8109 2,0127 2,1765 2,3060 2,4088 2,4963 2,5671 2,6034 2,5812 2,4760 2,2756 1,9945 1,6621 1,3053 0,9522 0,6353 0,3781 0,1865 0,0520 -0,0489 -0,1562 -0,3144 -0,5551 -0,8910 -1,3084 -1,7606 -2,1857 -2,5402 -2,8201 -3,0481 -3,2369 -3,3752 -3,4499 -3,4661 -3,4416 -3,3983 -3,3639 -3,3557 -3,3605 -3,3493 -3,3052 -3,2194 -3,0703 -2,8211 -2,4370 -1,9087 -1,2632 -0,5457 0,2148 1,0100 1,8229 2,6093 3,3194 3,9226 4,4018 4,7362 4,9023 4,8943 4,7341 4,4558 4,0927 3,6920 3,3313 3,0967 3,0364 3,1422 3,3632 3,6253 3,8566 4,0089 4,0573 4,0023 3,8749 3,7174 3,5626 3,4407 3,3825 3,3970 3,4566 3,5220 3,5747 3,6146 3,6378 3,6296 3,5705 3,4466 3,2593 3,0300 2,7952 2,5981 2,4747 2,4346 2,4564 2,5017 2,5357 2,5441 2,5286 2,4936 2,4518 2,4338 2,4703 2,5642 2,6802 2,7620 2,7608 2,6512 2,4323 2,1214 1,7477 1,3511 0,9800 0,6789 0,4713 0,3529 0,3063 0,3200 0,3852 0,4800 0,5707 0,6293 0,6430 0,6084 0,5248 0,3995 0,2493 0,0811 -0,1217 -0,3784 -0,6830 -0,9979 -1,2618 -1,4059 -1,3752 -1,1380 -0,6899 -0,0670 0,6479 1,3461 1,9269 2,3252 2,5248 2,5478 2,4248 2,1738 1,8066 1,3460 0,8383 0,3567 -0,0170 -0,2326 -0,2972 -0,2607 -0,1837 -0,1128 -0,0734 -0,0762 -0,1206 -0,1929 -0,2698 -0,3273 -0,3522 -0,3418 -0,2878 -0,1705 0,0244 0,2885 0,5864 0,8657 1,0887 1,2461 1,3334 1,3330 1,2384 1,0790 0,9092 0,7832 0,7411 0,7997 0,9436 1,1264 1,2876 1,3747 1,3526 1,2118 0,9808 0,7185 0,4767 0,2747 0,1128 -0,0080 -0,0872 -0,1312 -0,1435 -0,1214 -0,0697 -0,0159 -0,0018 -0,0534 -0,1614 -0,2958 -0,4283 -0,5350 -0,6006 -0,6275 -0,6336 -0,6417 -0,6735 -0,7366 -0,8148 -0,8804 -0,9141 -0,9172 -0,9142 -0,9352 -0,9846 -1,0355 -1,0581 -1,0380 -0,9632 -0,8121 -0,5737 -0,2711 0,0578 0,3934 0,7251 1,0224 1,2349 1,3157 1,2438 1,0427 0,7800 0,5363 0,3728 0,3232 0,3978 0,5853 0,8442 1,1026 1,2971 1,4225 1,5265 1,6552 1,8128 1,9585 2,0284 1,9762 1,7994 1,5217 1,1586 0,7143 0,2067 -0,3159 -0,7828 -1,1322 -1,3430 -1,4447 -1,4965 -1,5469 -1,6068 -1,6556 -1,6649 -1,6156 -1,5022 -1,3286 -1,1013 -0,8305 -0,5349 -0,2427 0,0064 0,1663 0,2080 0,1471 0,0424 -0,0434 -0,0867 -0,1047 -0,1275 -0,1731 -0,2383 -0,3048 -0,3553 -0,3851 -0,3964 -0,3866 -0,3440 -0,2518 -0,0929 0,1447 0,4563 0,8151 1,1780 1,4926 1,7039 1,7717 1,6860 1,4658 1,1526 0,7994 0,4458 0,1083 -0,2031 -0,4782 -0,7226 -0,9616 -1,2173 -1,4885 -1,7526 -1,9832 -2,1600 -2,2682 -2,3080 -2,2995 -2,2740 -2,2644 -2,2960 -2,3695 -2,4603 -2,5417 -2,5957 -2,6001 -2,5276 -2,3686 -2,1445 -1,8973 -1,6733 -1,5088 -1,4174 -1,3929 -1,4302 -1,5360 -1,7093 -1,9213 -2,1232 -2,2704 -2,3422 -2,3447 -2,2862 -2,1519 -1,9172 -1,5874 -1,2044 -0,8084 -0,4086 -0,0007 0,4029 0,7728 1,0788 1,3011 1,4372 1,4965 1,4871 1,4202 1,3264 1,2420 1,1684 1,0630 0,8822 0,6266 0,3421 0,0889 -0,0929 -0,2018 -0,2642 -0,3080 -0,3524 -0,4169 -0,5293 -0,7192 -0,9988 -1,3365 -1,6518 -1,8516 -1,8813 -1,7503 -1,5209 -1,2753 -1,0757 -0,9413 -0,8585 -0,8108 -0,7948 -0,8205 -0,9012 -1,0314 -1,1756 -1,2888 -1,3404 -1,3250 -1,2663 -1,2107 -1,2125 -1,3115 -1,5129 -1,7924 -2,1197 -2,4667 -2,7960 -3,0574 -3,2094 -3,2529 -3,2427 -3,2596 -3,3615 -3,5534 -3,7952 -4,0314 -4,2122 -4,2981 -4,2564 -4,0610 -3,7017 -3,1916 -2,5642 -1,8630 -1,1288 -0,3926 0,3235 1,0067 1,6531 2,2524 2,7782 3,2035 3,5173 3,7313 3,8830 4,0255 4,1968 4,3906 4,5584 4,6387 4,5857 4,3808 4,0406 3,6176 3,1674 2,7040 2,2024 1,6450 1,0542 0,4889 0,0214 -0,2898 -0,4242 -0,4074 -0,3017 -0,1910 -0,1580 -0,2513 -0,4602 -0,7159 -0,9308 -1,0555 -1,1020 -1,1172 -1,1328 -1,1401 -1,1082 -1,0167 -0,8695 -0,6924 -0,5197 -0,3715 -0,2426 -0,1094 0,0539 0,2587 0,4901 0,7040 0,8427 0,8663 0,7722 0,5898 0,3721 0,1832 0,0671 0,0165 -0,0234 -0,1091 -0,2572 -0,4412 -0,6169 -0,7528 -0,8441 -0,9024 -0,9393 -0,9607 -0,9637 -0,9426 -0,9017 -0,8564 -0,8284 -0,8509 -0,9607 -1,1711 -1,4615 -1,7987 -2,1601 -2,5305 -2,8838 -3,1840 -3,4027 -3,5285
