Fp1   -0,8476 -0,4986 -0,1020 0,3069 0,6786 0,9656 1,1388 1,2020 1,1977 1,1911 1,2343 1,3438 1,5043 1,6827 1,8331 1,8994 1,8297 1,5992 1,2234 0,7543 0,2693 -0,1512 -0,4586 -0,6512 -0,7532 -0,7879 -0,7632 -0,6729 -0,5118 -0,2954 -0,0711 0,0933 0,1391 0,0404 -0,1867 -0,4873 -0,7886 -1,0352 -1,2151 -1,3533 -1,4732 -1,5639 -1,5858 -1,5042 -1,3150 -1,0484 -0,7625 -0,5245 -0,3818 -0,3367 -0,3453 -0,3458 -0,2995 -0,2172 -0,1520 -0,1655 -0,2845 -0,4755 -0,6636 -0,7756 -0,7692 -0,6375 -0,4067 -0,1353 0,0965 0,2180 0,2013 0,0723 -0,1081 -0,2751 -0,3914 -0,4595 -0,5008 -0,5204 -0,5022 -0,4376 -0,3539 -0,3095 -0,3538 -0,4863 -0,6521 -0,7686 -0,7627 -0,6084 -0,3474 -0,0697 0,1342 0,2136 0,1601 -0,0090 -0,2559 -0,5188 -0,7329 -0,8672 -0,9320 -0,9535 -0,9534 -0,9481 -0,9541 -0,9880 -1,0586 -1,1639 -1,3021 -1,4795 -1,7013 -1,9565 -2,2187 -2,4515 -2,6084 -2,6345 -2,4823 -2,1372 -1,6420 -1,0862 -0,5581 -0,1090 0,2406 0,4771 0,5786 0,5205 0,2998 -0,0380 -0,4043 -0,7058 -0,8727 -0,8564 -0,6274 -0,1811 0,4552 1,2197 2,0167 2,7309 3,2649 3,5790 3,6964 3,6786 3,5992 3,5180 3,4571 3,4066 3,3652 3,3674 3,4582 3,6451 3,8728 4,0500 4,1182 4,1009 4,0846 4,1569 4,3571 4,6671 5,0242 5,3359 5,5098 5,4982 5,3203 5,0446 4,7516 4,5058 4,3465 4,2949 4,3594 4,5290 4,7759 5,0750 5,4158 5,7864 6,1566 6,4878 6,7578 6,9693 7,1376 7,2675 7,3298 7,2654 7,0296 6,6308 6,1209 5,5597 4,9978 4,4824 4,0581 3,7399 3,4914 3,2508 2,9821 2,6794 2,3410 1,9731 1,6079 1,2892 1,0411 0,8647 0,7558 0,7048 0,6795 0,6213 0,4680 0,1897 -0,1924 -0,6219 -1,0410 -1,4109 -1,7060 -1,9126 -2,0474 -2,1700 -2,3684 -2,7221 -3,2475 -3,8731 -4,4883 -5,0223 -5,4705 -5,8568 -6,1861 -6,4295 -6,5409 -6,4892 -6,2804 -5,9583 -5,5943 -5,2671 -5,0306 -4,8955 -4,8464 -4,8738 -4,9883 -5,2033 -5,5105 -5,8809 -6,2758 -6,6483 -6,9531 -7,1642 -7,2737 -7,2754 -7,1615 -6,9389 -6,6385 -6,3081 -5,9946 -5,7209 -5,4721 -5,2138 -4,9192 -4,5888 -4,2625 -4,0051 -3,8669 -3,8669 -4,0076 -4,2799 -4,6454 -5,0222 -5,3071 -5,4329 -5,4174 -5,3526 -5,3352 -5,3993 -5,5117 -5,6212 -5,6993 -5,7421 -5,7521 -5,7222 -5,6359 -5,4792 -5,2538 -4,9850 -4,7241 -4,5319 -4,4522 -4,4930 -4,6253 -4,7995 -4,9676 -5,0958 -5,1644 -5,1671 -5,1152 -5,0343 -4,9522 -4,8881 -4,8563 -4,8784 -4,9865 -5,2006 -5,5013 -5,8331 -6,1336 -6,3562 -6,4776 -6,4932 -6,4040 -6,2083 -5,9079 -5,5232 -5,1017 -4,7177 -4,4659 -4,4360 -4,6665 -5,1149 -5,6764 -6,2347 -6,6984 -6,9976 -7,0755 -6,9115 -6,5556 -6,1241 -5,7455 -5,4999 -5,3993 -5,4014 -5,4278 -5,3942 -5,2625 -5,0761 -4,9278 -4,8810 -4,9251 -4,9983 -5,0340 -4,9885 -4,8593 -4,6994 -4,5881 -4,5607 -4,5777 -4,5743 -4,5206 -4,4282 -4,3319 -4,2802 -4,3222 -4,4772 -4,7160 -4,9761 -5,1954 -5,3272 -5,3381 -5,2144 -4,9827 -4,7093 -4,4604 -4,2682 -4,1352 -4,0409 -3,9402 -3,7883 -3,5713 -3,3044 -3,0104 -2,7113 -2,4288 -2,1831 -1,9944 -1,8915 -1,9017 -2,0166 -2,1714 -2,2720 -2,2574 -2,1446 -2,0152 -1,9550 -2,0069 -2,1704 -2,4218 -2,7223 -3,0177 -3,2497 -3,3785 -3,3990 -3,3413 -3,2563 -3,1912 -3,1755 -3,2183 -3,3040 -3,4051 -3,5088 -3,6202 -3,7346 -3,8149 -3,8098 -3,6953 -3,4937 -3,2550 -3,0273 -2,8399 -2,7033 -2,6199 -2,5961 -2,6354 -2,7137 -2,7683 -2,7358 -2,6174 -2,4935 -2,4589 -2,5499 -2,7378 -2,9709 -3,2015 -3,3777 -3,4458 -3,3737 -3,1672 -2,8563 -2,4705 -2,0378 -1,6108 -1,2719 -1,0898 -1,0710 -1,1600 -1,2797 -1,3678 -1,3932 -1,3639 -1,3202 -1,3043 -1,3380 -1,4329 -1,6032 -1,8590 -2,1967 -2,5994 -3,0306 -3,4250 -3,6903 -3,7364 -3,5200 -3,0716 -2,4865 -1,8887 -1,3840 -1,0246 -0,8088 -0,7077 -0,6900 -0,7303 -0,8064 -0,8986 -0,9920 -1,0707 -1,1108 -1,0807 -0,9554 -0,7362 -0,4585 -0,1772 0,0600 0,2333 0,3458 0,4000 0,3910 0,3207 0,2065 0,0745 -0,0515 -0,1588 -0,2475 -0,3297 -0,4218 -0,5334 -0,6595 -0,7810 -0,8768 -0,9508 -1,0447 -1,2186 -1,5127 -1,9196 -2,3747 -2,7745 -3,0208 -3,0733 -2,9782 -2,8417 -2,7640 -2,7898 -2,9061 -3,0617 -3,1906 -3,2419 -3,2016 -3,0860 -2,9128 -2,6795 -2,3737 -2,0086 -1,6438 -1,3641 -1,2373 -1,2847 -1,4700 -1,7073 -1,8944 -1,9591 -1,8816 -1,6806 -1,3911 -1,0477 -0,6772 -0,3074 0,0224 0,2758 0,4410 0,5317 0,5681 0,5615 0,5169 0,4495 0,3933 0,3799 0,4085 0,4488 0,4770 0,5007 0,5432 0,6141 0,7059 0,8047 0,8967 0,9679 1,0033 0,9953 0,9620 0,9440 0,9701 1,0319 1,1029 1,1745 1,2680 1,4258 1,6924 2,0796 2,5345 2,9535 3,2321 3,3023 3,1481 2,8054 2,3379 1,8075 1,2611 0,7321 0,2470 -0,1709 -0,4990 -0,7168 -0,8084 -0,7677 -0,6076 -0,3590 -0,0511 0,2935 0,6309 0,8783 0,9476 0,8047 0,4836 0,0527 -0,4136 -0,8453 -1,1862 -1,4084 -1,5285 -1,6016 -1,6701 -1,7171 -1,6903 -1,5666 -1,3762 -1,1648 -0,9548 -0,7496 -0,5574 -0,3917 -0,2544 -0,1319 -0,0124 0,0977 0,1731 0,1839 0,1097 -0,0623 -0,3435 -0,7185 -1,1088 -1,3827 -1,4156 -1,1523 -0,6401
Fz    0,0367 0,1564 0,3484 0,5836 0,8323 1,0741 1,2934 1,4709 1,5933 1,6672 1,7128 1,7418 1,7526 1,7439 1,7298 1,7343 1,7688 1,8165 1,8369 1,7764 1,5894 1,2682 0,8538 0,4147 0,0168 -0,2952 -0,5037 -0,6100 -0,6235 -0,5589 -0,4444 -0,3274 -0,2653 -0,3080 -0,4860 -0,7990 -1,2072 -1,6400 -2,0291 -2,3348 -2,5396 -2,6240 -2,5655 -2,3630 -2,0557 -1,7116 -1,3961 -1,1521 -1,0044 -0,9686 -1,0462 -1,2207 -1,4658 -1,7533 -2,0535 -2,3340 -2,5579 -2,6834 -2,6712 -2,4998 -2,1726 -1,7207 -1,2061 -0,7203 -0,3666 -0,2231 -0,3046 -0,5538 -0,8705 -1,1631 -1,3930 -1,5811 -1,7704 -1,9748 -2,1585 -2,2562 -2,2114 -2,0070 -1,6689 -1,2482 -0,7973 -0,3515 0,0733 0,4614 0,7753 0,9614 0,9805 0,8353 0,5670 0,2353 -0,0992 -0,3852 -0,5904 -0,7123 -0,7781 -0,8283 -0,8974 -1,0045 -1,1521 -1,3296 -1,5223 -1,7235 -1,9342 -2,1515 -2,3685 -2,5873 -2,8250 -3,0934 -3,3768 -3,6297 -3,7948 -3,8248 -3,7037 -3,4572 -3,1454 -2,8368 -2,5838 -2,4128 -2,3262 -2,3090 -2,3353 -2,3751 -2,4036 -2,4087 -2,3861 -2,3269 -2,2103 -2,0063 -1,6894 -1,2513 -0,7039 -0,0807 0,5680 1,1876 1,7326 2,1781 2,5243 2,7904 3,0048 3,1951 3,3792 3,5541 3,6946 3,7646 3,7316 3,5776 3,3095 2,9632 2,5997 2,2900 2,0996 2,0755 2,2320 2,5407 2,9396 3,3638 3,7697 4,1391 4,4723 4,7820 5,0871 5,4016 5,7264 6,0549 6,3820 6,7018 6,9990 7,2455 7,4062 7,4564 7,3961 7,2485 7,0495 6,8421 6,6728 6,5835 6,5982 6,7078 6,8646 7,0005 7,0595 7,0244 6,9154 6,7598 6,5601 6,2980 5,9623 5,5638 5,1286 4,6862 4,2575 3,8452 3,4320 2,9946 2,5308 2,0795 1,7107 1,4859 1,4251 1,5056 1,6811 1,9016 2,1260 2,3274 2,4898 2,6022 2,6535 2,6295 2,5089 2,2666 1,8894 1,3974 0,8447 0,2955 -0,1969 -0,5945 -0,8725 -1,0266 -1,0769 -1,0555 -0,9831 -0,8555 -0,6540 -0,3703 -0,0228 0,3455 0,6810 0,9335 1,0656 1,0570 0,9051 0,6225 0,2404 -0,1827 -0,5704 -0,8591 -1,0219 -1,0650 -1,0140 -0,9054 -0,7794 -0,6699 -0,5989 -0,5744 -0,5876 -0,6142 -0,6272 -0,6159 -0,5960 -0,5935 -0,6249 -0,6995 -0,8304 -1,0317 -1,3073 -1,6417 -1,9961 -2,3162 -2,5527 -2,6845 -2,7264 -2,7096 -2,6580 -2,5882 -2,5328 -2,5419 -2,6481 -2,8381 -3,0584 -3,2403 -3,3277 -3,3008 -3,1777 -3,0026 -2,8382 -2,7526 -2,7901 -2,9462 -3,1677 -3,3718 -3,4736 -3,4119 -3,1685 -2,7730 -2,2949 -1,8194 -1,4176 -1,1311 -0,9721 -0,9270 -0,9646 -1,0434 -1,1137 -1,1263 -1,0557 -0,9138 -0,7325 -0,5362 -0,3317 -0,1216 0,0791 0,2387 0,3233 0,3256 0,2756 0,2203 0,1968 0,2224 0,3021 0,4383 0,6342 0,8863 1,1746 1,4673 1,7399 1,9905 2,2343 2,4854 2,7426 2,9771 3,1295 3,1307 2,9454 2,6031 2,1911 1,8143 1,5565 1,4593 1,5147 1,6757 1,8852 2,1038 2,3154 2,5132 2,6811 2,7941 2,8304 2,7714 2,5991 2,3121 1,9456 1,5646 1,2406 1,0314 0,9685 1,0446 1,2122 1,4045 1,5684 1,6821 1,7461 1,7695 1,7666 1,7551 1,7483 1,7474 1,7368 1,6901 1,5907 1,4495 1,2948 1,1470 1,0177 0,9295 0,9201 1,0171 1,2115 1,4604 1,7143 1,9415 2,1321 2,2823 2,3808 2,4130 2,3787 2,2998 2,2063 2,1165 2,0297 1,9350 1,8255 1,7056 1,5881 1,4890 1,4211 1,3902 1,3984 1,4492 1,5485 1,7006 1,8976 2,1123 2,3057 2,4433 2,5125 2,5288 2,5228 2,5150 2,5054 2,4885 2,4712 2,4703 2,4955 2,5345 2,5532 2,5133 2,3902 2,1798 1,9032 1,6078 1,3461 1,1475 1,0126 0,9311 0,8943 0,8900 0,8942 0,8763 0,8114 0,6927 0,5401 0,3989 0,3223 0,3450 0,4641 0,6403 0,8229 0,9739 1,0715 1,1065 1,0808 1,0019 0,8773 0,7169 0,5386 0,3707 0,2445 0,1709 0,1293 0,0826 -0,0021 -0,1414 -0,3300 -0,5406 -0,7326 -0,8682 -0,9242 -0,8920 -0,7742 -0,5866 -0,3610 -0,1376 0,0538 0,2050 0,3230 0,4162 0,4911 0,5544 0,6051 0,6283 0,6062 0,5369 0,4401 0,3424 0,2549 0,1683 0,0659 -0,0604 -0,2043 -0,3445 -0,4523 -0,5125 -0,5403 -0,5757 -0,6616 -0,8250 -1,0670 -1,3613 -1,6604 -1,9168 -2,1092 -2,2577 -2,4167 -2,6506 -3,0086 -3,5087 -4,1277 -4,7998 -5,4305 -5,9144 -6,1553 -6,0942 -5,7428 -5,1898 -4,5645 -3,9805 -3,5005 -3,1420 -2,9007 -2,7596 -2,6805 -2,6091 -2,4972 -2,3260 -2,1129 -1,8939 -1,6942 -1,5169 -1,3550 -1,2042 -1,0600 -0,9076 -0,7187 -0,4622 -0,1219 0,2853 0,7106 1,1060 1,4575 1,7782 2,0791 2,3519 2,5712 2,7102 2,7536 2,7028 2,5736 2,3929 2,1872 1,9753 1,7760 1,6228 1,5643 1,6425 1,8743 2,2522 2,7504 3,3235 3,9051 4,4219 4,8152 5,0598 5,1693 5,1801 5,1227 5,0005 4,7939 4,4835 4,0762 3,6145 3,1667 2,8024 2,5650 2,4556 2,4428 2,4892 2,5701 2,6745 2,8005 2,9505 3,1220 3,2999 3,4546 3,5454 3,5288 3,3750 3,0871 2,7004 2,2574 1,7847 1,2932 0,7967 0,3242 -0,0877 -0,4089 -0,6168 -0,6912 -0,6198 -0,4128 -0,1078 0,2428 0,5879 0,8856 1,1093 1,2484 1,3001 1,2592 1,1142 0,8496 0,4581 -0,0377 -0,5710 -1,0470 -1,3887 -1,5699 -1,6044 -1,5129 -1,3092 -1,0109 -0,6587
F3    -1,5042 -1,4243 -1,1153 -0,6458 -0,1035 0,4395 0,9509 1,4339 1,9088 2,3965 2,8948 3,3507 3,6634 3,7319 3,5152 3,0588 2,4836 1,9382 1,5159 1,1881 0,8245 0,2984 -0,3994 -1,1283 -1,6633 -1,8090 -1,4927 -0,7859 0,1428 1,0834 1,8267 2,2181 2,2094 1,8570 1,2622 0,5072 -0,3678 -1,3357 -2,3294 -3,2214 -3,8632 -4,1507 -4,0659 -3,6804 -3,1259 -2,5419 -2,0220 -1,5974 -1,2709 -1,0557 -0,9753 -1,0289 -1,1694 -1,3305 -1,4785 -1,6293 -1,8067 -1,9966 -2,1462 -2,1971 -2,1122 -1,8923 -1,5812 -1,2473 -0,9491 -0,7186 -0,5779 -0,5687 -0,7501 -1,1575 -1,7650 -2,4865 -3,2029 -3,7853 -4,1047 -4,0555 -3,5995 -2,8009 -1,8240 -0,8818 -0,1460 0,3166 0,5325 0,5592 0,4384 0,1941 -0,1449 -0,5373 -0,9459 -1,3568 -1,7740 -2,1898 -2,5550 -2,7887 -2,8238 -2,6401 -2,2602 -1,7313 -1,1195 -0,5243 -0,0814 0,0824 -0,0800 -0,5179 -1,1433 -1,9003 -2,7605 -3,6616 -4,4855 -5,1123 -5,4765 -5,5700 -5,4201 -5,0829 -4,6262 -4,0818 -3,4175 -2,5797 -1,5821 -0,5568 0,2885 0,7762 0,8329 0,4862 -0,1687 -0,9894 -1,8037 -2,4421 -2,7790 -2,7539 -2,3656 -1,6663 -0,7531 0,2599 1,2664 2,1729 2,9087 3,4452 3,8054 4,0459 4,2236 4,3622 4,4336 4,3707 4,1116 3,6441 3,0137 2,3036 1,6218 1,0898 0,8111 0,8356 1,1483 1,6837 2,3475 3,0452 3,7118 4,3099 4,7993 5,1309 5,2798 5,2608 5,1029 4,8381 4,5318 4,2936 4,2371 4,4288 4,8647 5,4773 6,1497 6,7386 7,1192 7,2346 7,1128 6,8454 6,5470 6,2994 6,1063 5,9015 5,6105 5,2023 4,6963 4,1391 3,5791 3,0531 2,5870 2,1993 1,9159 1,7860 1,8632 2,1571 2,5995 3,0469 3,3265 3,3225 3,0305 2,5291 1,9211 1,3029 0,7496 0,3141 0,0362 -0,0668 -0,0382 0,0058 -0,0668 -0,3170 -0,7046 -1,1391 -1,5411 -1,8636 -2,0882 -2,2174 -2,2611 -2,2329 -2,1608 -2,0883 -2,0586 -2,0958 -2,1871 -2,2799 -2,3123 -2,2528 -2,1078 -1,8933 -1,6133 -1,2756 -0,9266 -0,6524 -0,5375 -0,6238 -0,8978 -1,2976 -1,7327 -2,1179 -2,4011 -2,5664 -2,6209 -2,5815 -2,4584 -2,2468 -1,9421 -1,5671 -1,1851 -0,8849 -0,7420 -0,7884 -1,0068 -1,3310 -1,6563 -1,8837 -1,9849 -2,0186 -2,0697 -2,1861 -2,3683 -2,5796 -2,7526 -2,8122 -2,7095 -2,4349 -2,0116 -1,4991 -1,0006 -0,6417 -0,5166 -0,6579 -1,0490 -1,6360 -2,3262 -3,0004 -3,5446 -3,8936 -4,0605 -4,1119 -4,1003 -4,0213 -3,8394 -3,5500 -3,2049 -2,8734 -2,5850 -2,3164 -2,0313 -1,7270 -1,4365 -1,2012 -1,0531 -1,0147 -1,0938 -1,2699 -1,4856 -1,6630 -1,7451 -1,7288 -1,6604 -1,6009 -1,5916 -1,6342 -1,6918 -1,7178 -1,6879 -1,6005 -1,4674 -1,3242 -1,2331 -1,2519 -1,3914 -1,5974 -1,7697 -1,8098 -1,6656 -1,3361 -0,8454 -0,2334 0,4387 1,0966 1,6754 2,1204 2,3655 2,3337 1,9807 1,3374 0,5045 -0,3923 -1,2273 -1,8718 -2,2105 -2,1812 -1,7960 -1,1305 -0,3025 0,5479 1,2816 1,7902 2,0219 1,9822 1,7124 1,2764 0,7632 0,2762 -0,0998 -0,3221 -0,3862 -0,3157 -0,1466 0,0856 0,3359 0,5344 0,6071 0,5265 0,3368 0,1231 -0,0479 -0,1664 -0,2694 -0,4009 -0,5825 -0,8073 -1,0380 -1,2013 -1,1988 -0,9469 -0,4242 0,3034 1,0995 1,8056 2,3029 2,5576 2,6251 2,5932 2,5082 2,3562 2,1124 1,7874 1,4238 1,0612 0,7146 0,3825 0,0625 -0,2553 -0,5985 -0,9890 -1,3976 -1,7242 -1,8306 -1,6076 -1,0319 -0,1846 0,7657 1,6100 2,1770 2,4032 2,3404 2,1039 1,8160 1,5671 1,3964 1,2962 1,2330 1,1687 1,0900 1,0351 1,0734 1,2342 1,4567 1,6135 1,5959 1,3781 1,0025 0,5229 -0,0168 -0,5560 -0,9998 -1,2469 -1,2332 -0,9575 -0,4964 0,0041 0,3863 0,5682 0,5867 0,5538 0,5579 0,5975 0,5980 0,4825 0,2385 -0,0620 -0,3096 -0,4347 -0,4416 -0,3861 -0,3392 -0,3537 -0,4407 -0,5760 -0,7243 -0,8518 -0,9386 -0,9922 -1,0335 -1,0710 -1,1038 -1,1369 -1,1808 -1,2423 -1,3101 -1,3361 -1,2361 -0,9294 -0,3928 0,3063 1,0210 1,5856 1,9014 1,9798 1,9014 1,7311 1,4774 1,1287 0,7140 0,3051 -0,0493 -0,3695 -0,6974 -1,0149 -1,2376 -1,2858 -1,1487 -0,8791 -0,5427 -0,1933 0,1126 0,3059 0,3190 0,1170 -0,2735 -0,7838 -1,3628 -2,0040 -2,7081 -3,4357 -4,1129 -4,6878 -5,1663 -5,5902 -5,9837 -6,3067 -6,4444 -6,2520 -5,6338 -4,6078 -3,3186 -1,9955 -0,8770 -0,1389 0,1445 0,0078 -0,4216 -0,9795 -1,5413 -2,0625 -2,5481 -2,9757 -3,2509 -3,2506 -2,9156 -2,3031 -1,5485 -0,7872 -0,1080 0,4572 0,9357 1,3893 1,8594 2,3330 2,7580 3,0733 3,2271 3,1891 2,9634 2,5955 2,1568 1,7134 1,3019 0,9336 0,6126 0,3434 0,1414 0,0491 0,1268 0,4176 0,9211 1,5983 2,3831 3,1808 3,8753 4,3663 4,6032 4,5842 4,3421 3,9359 3,4348 2,8982 2,3710 1,8881 1,4757 1,1525 0,9329 0,8286 0,8393 0,9467 1,1218 1,3416 1,5917 1,8526 2,0974 2,3128 2,5038 2,6632 2,7491 2,7028 2,4851 2,1033 1,6188 1,1209 0,6752 0,2940 -0,0476 -0,3806 -0,7178 -1,0350 -1,2818 -1,4188 -1,4449 -1,3949 -1,3107 -1,2079 -1,0668 -0,8626 -0,6060 -0,3458 -0,1365 -0,0131 0,0131 -0,0511 -0,1908 -0,3920 -0,6422 -0,9188 -1,1731 -1,3383 -1,3661 -1,2568 -1,0544 -0,8258 -0,6370 -0,5366
F7    -1,9579 -1,4732 -0,7780 0,0017 0,7315 1,3168 1,7205 1,9581 2,0858 2,1766 2,2799 2,3982 2,4954 2,5181 2,4171 2,1713 1,7959 1,3291 0,8213 0,3319 -0,0760 -0,3513 -0,4778 -0,4824 -0,4154 -0,3199 -0,2175 -0,1125 -0,0065 0,0878 0,1413 0,1208 0,0089 -0,1930 -0,4752 -0,8249 -1,2174 -1,6141 -1,9780 -2,2811 -2,4903 -2,5606 -2,4559 -2,1754 -1,7583 -1,2703 -0,7834 -0,3549 -0,0179 0,2110 0,3256 0,3343 0,2579 0,1131 -0,1033 -0,4087 -0,8031 -1,2410 -1,6372 -1,9030 -1,9790 -1,8497 -1,5434 -1,1258 -0,6930 -0,3525 -0,1859 -0,2178 -0,4105 -0,6901 -0,9886 -1,2700 -1,5180 -1,7126 -1,8336 -1,8860 -1,9077 -1,9485 -2,0390 -2,1719 -2,3037 -2,3683 -2,3031 -2,0808 -1,7303 -1,3287 -0,9650 -0,6991 -0,5486 -0,5058 -0,5535 -0,6571 -0,7642 -0,8365 -0,8771 -0,9176 -0,9803 -1,0615 -1,1479 -1,2353 -1,3321 -1,4553 -1,6263 -1,8630 -2,1703 -2,5380 -2,9505 -3,3850 -3,7943 -4,1006 -4,2131 -4,0690 -3,6784 -3,1302 -2,5414 -1,9981 -1,5377 -1,1714 -0,9116 -0,7804 -0,7933 -0,9328 -1,1431 -1,3569 -1,5196 -1,5805 -1,4761 -1,1479 -0,5832 0,1612 0,9685 1,6965 2,2303 2,5271 2,6148 2,5630 2,4554 2,3618 2,3062 2,2674 2,2227 2,1829 2,1880 2,2841 2,4970 2,8058 3,1459 3,4466 3,6668 3,8035 3,8868 3,9694 4,0968 4,2623 4,4015 4,4404 4,3447 4,1282 3,8360 3,5259 3,2596 3,0913 3,0485 3,1264 3,3126 3,6160 4,0587 4,6320 5,2664 5,8597 6,3275 6,6358 6,8049 6,8873 6,9319 6,9549 6,9382 6,8446 6,6360 6,2891 5,8121 5,2514 4,6778 4,1521 3,7056 3,3526 3,0993 2,9236 2,7693 2,5872 2,3744 2,1651 1,9971 1,8892 1,8390 1,8366 1,8707 1,9167 1,9316 1,8740 1,7243 1,4863 1,1823 0,8457 0,5092 0,1844 -0,1493 -0,5285 -0,9829 -1,5249 -2,1302 -2,7213 -3,2000 -3,5090 -3,6565 -3,6895 -3,6555 -3,5807 -3,4656 -3,3006 -3,0907 -2,8644 -2,6568 -2,4865 -2,3448 -2,2068 -2,0616 -1,9418 -1,9229 -2,0814 -2,4455 -2,9805 -3,6076 -4,2285 -4,7491 -5,1047 -5,2758 -5,2862 -5,1871 -5,0290 -4,8368 -4,6128 -4,3561 -4,0637 -3,7261 -3,3425 -2,9307 -2,5194 -2,1443 -1,8423 -1,6344 -1,5221 -1,4995 -1,5638 -1,7163 -1,9460 -2,2098 -2,4436 -2,6047 -2,7024 -2,7784 -2,8584 -2,9321 -2,9737 -2,9726 -2,9441 -2,9122 -2,8818 -2,8275 -2,7077 -2,5026 -2,2464 -2,0219 -1,9174 -1,9810 -2,1900 -2,4524 -2,6571 -2,7387 -2,7032 -2,5973 -2,4581 -2,2889 -2,0688 -1,7869 -1,4759 -1,2116 -1,0734 -1,1087 -1,3238 -1,6950 -2,1814 -2,7263 -3,2565 -3,6907 -3,9592 -4,0263 -3,9024 -3,6309 -3,2656 -2,8652 -2,5071 -2,2824 -2,2548 -2,4227 -2,7268 -3,0882 -3,4396 -3,7307 -3,9166 -3,9546 -3,8250 -3,5634 -3,2649 -3,0385 -2,9522 -3,0130 -3,1732 -3,3439 -3,4376 -3,4310 -3,3835 -3,3790 -3,4507 -3,5640 -3,6534 -3,6521 -3,5044 -3,1885 -2,7458 -2,2732 -1,8709 -1,5910 -1,4322 -1,3723 -1,3971 -1,5083 -1,7196 -2,0439 -2,4685 -2,9412 -3,3891 -3,7520 -3,9949 -4,0965 -4,0408 -3,8336 -3,5248 -3,1984 -2,9370 -2,7849 -2,7206 -2,6581 -2,5002 -2,2036 -1,8029 -1,3898 -1,0708 -0,9223 -0,9604 -1,1488 -1,4376 -1,7817 -2,1195 -2,3537 -2,3839 -2,1742 -1,7896 -1,3658 -1,0376 -0,8829 -0,9093 -1,0708 -1,2929 -1,4997 -1,6370 -1,6873 -1,6679 -1,6204 -1,5912 -1,6105 -1,6865 -1,8147 -1,9811 -2,1672 -2,3623 -2,5616 -2,7465 -2,8718 -2,8802 -2,7352 -2,4482 -2,0828 -1,7256 -1,4406 -1,2468 -1,1342 -1,0939 -1,1275 -1,2279 -1,3602 -1,4755 -1,5460 -1,5762 -1,5832 -1,5773 -1,5660 -1,5692 -1,6153 -1,7169 -1,8480 -1,9520 -1,9751 -1,8963 -1,7248 -1,4812 -1,1966 -0,9182 -0,6949 -0,5510 -0,4809 -0,4662 -0,4875 -0,5227 -0,5532 -0,5849 -0,6526 -0,8011 -1,0640 -1,4473 -1,9173 -2,4112 -2,8582 -3,1894 -3,3388 -3,2542 -2,9192 -2,3768 -1,7307 -1,1136 -0,6409 -0,3700 -0,2848 -0,3200 -0,4079 -0,5101 -0,6166 -0,7301 -0,8525 -0,9731 -1,0616 -1,0676 -0,9370 -0,6407 -0,1998 0,3191 0,8345 1,2799 1,6068 1,7716 1,7377 1,4990 1,1003 0,6329 0,2008 -0,1210 -0,3047 -0,3609 -0,3266 -0,2560 -0,2042 -0,2084 -0,2782 -0,4039 -0,5784 -0,8166 -1,1473 -1,5745 -2,0471 -2,4647 -2,7121 -2,7094 -2,4651 -2,0979 -1,7924 -1,7051 -1,8913 -2,2951 -2,7852 -3,2081 -3,4451 -3,4504 -3,2439 -2,8751 -2,3923 -1,8408 -1,2793 -0,7833 -0,4259 -0,2522 -0,2646 -0,4226 -0,6569 -0,8994 -1,1120 -1,2889 -1,4337 -1,5462 -1,6240 -1,6567 -1,6186 -1,4793 -1,2190 -0,8400 -0,3763 0,1100 0,5615 0,9584 1,3115 1,6192 1,8446 1,9360 1,8673 1,6636 1,3942 1,1314 0,9108 0,7291 0,5689 0,4199 0,2903 0,2109 0,2256 0,3682 0,6400 1,0057 1,4063 1,7825 2,0955 2,3400 2,5473 2,7720 3,0521 3,3622 3,6149 3,7139 3,6055 3,2942 2,8331 2,2992 1,7632 1,2712 0,8481 0,5041 0,2373 0,0428 -0,0783 -0,1236 -0,0992 -0,0234 0,0931 0,2725 0,5510 0,9177 1,2803 1,5073 1,5119 1,2974 0,9346 0,5140 0,1115 -0,2271 -0,4833 -0,6564 -0,7585 -0,8077 -0,8184 -0,8069 -0,7988 -0,8070 -0,8058 -0,7530 -0,6437 -0,5206 -0,4354 -0,4098 -0,4293 -0,4604 -0,4715 -0,4523 -0,4247 -0,4312 -0,5079 -0,6727 -0,9211 -1,2070 -1,4372 -1,5161 -1,4002 -1,1159
