Fp1   1,8459 1,8381 1,7261 1,6107 1,5889 1,6653 1,7638 1,7857 1,6443 1,2951 0,7942 0,3257 0,1156 0,2998 0,8642 1,6622 2,4683 3,0632 3,3134 3,1889 2,7315 2,0291 1,1940 0,3310 -0,4729 -1,1500 -1,6732 -2,0565 -2,3134 -2,4223 -2,3505 -2,1217 -1,8294 -1,5635 -1,3526 -1,1824 -1,0371 -0,9211 -0,8553 -0,8493 -0,8906 -0,9669 -1,0733 -1,2005 -1,3482 -1,5356 -1,7573 -1,9583 -2,0925 -2,1706 -2,2208 -2,2285 -2,1339 -1,8892 -1,5244 -1,1669 -0,9779 -1,0359 -1,2866 -1,6037 -1,8668 -1,9895 -1,9320 -1,7100 -1,3934 -1,0970 -0,9289 -0,9051 -0,9444 -0,9770 -1,0169 -1,1212 -1,3366 -1,6943 -2,1916 -2,7499 -3,2188 -3,4454 -3,3541 -2,9728 -2,3982 -1,7565 -1,1905 -0,8265 -0,7173 -0,8297 -1,1070 -1,5419 -2,1750 -3,0114 -3,9454 -4,7869 -5,3644 -5,6043 -5,5372 -5,2586 -4,8869 -4,5217 -4,2145 -3,9714 -3,7635 -3,5388 -3,2585 -2,9323 -2,6075 -2,3298 -2,1189 -1,9752 -1,9000 -1,9181 -2,0941 -2,4955 -3,1202 -3,8657 -4,5458 -4,9478 -4,9523 -4,6284 -4,1815 -3,7897 -3,4891 -3,2152 -2,9251 -2,6479 -2,4393 -2,3203 -2,2602 -2,2096 -2,1509 -2,1113 -2,1240 -2,1993 -2,3421 -2,5782 -2,9493 -3,4790 -4,1389 -4,8587 -5,5784 -6,2634 -6,8541 -7,2444 -7,3344 -7,1006 -6,6202 -6,0302 -5,4531 -4,9697 -4,6393 -4,4962 -4,5228 -4,6412 -4,7236 -4,6359 -4,3047 -3,7551 -3,0970 -2,4701 -1,9798 -1,6742 -1,5516 -1,5587 -1,6156 -1,6739 -1,7240 -1,7368 -1,6372 -1,3688 -0,9714 -0,5630 -0,2404 -0,0180 0,1397 0,2606 0,3565 0,4289 0,4528 0,3784 0,1716 -0,1338 -0,4253 -0,5817 -0,5624 -0,4254 -0,2807 -0,2220 -0,2733 -0,4031 -0,5804 -0,7658 -0,8698 -0,7969 -0,5257 -0,1115 0,3531 0,7707 1,0933 1,3605 1,6562 2,0241 2,4295 2,8003 3,0992 3,3530 3,6076 3,8538 4,0070 3,9678 3,6969 3,2442 2,7299 2,2787 1,9408 1,6914 1,5144 1,4493 1,5479 1,8133 2,1956 2,6280 3,0425 3,3581 3,4969 3,4324 3,1963 2,8286 2,3384 1,7247 1,0235 0,3289 -0,2252 -0,5183 -0,5090 -0,2539 0,1197 0,4543 0,6224 0,5820 0,3718 0,0669 -0,2573 -0,5482 -0,7957 -1,0333 -1,3222 -1,7312 -2,3077 -3,0340 -3,8139 -4,5076 -4,9712 -5,0998 -4,8826 -4,4138 -3,8358 -3,2712 -2,8020 -2,4762 -2,2957 -2,2111 -2,1538 -2,0646 -1,9030 -1,6657 -1,4039 -1,2019 -1,1241 -1,1791 -1,3401 -1,5917 -1,9476 -2,4266 -3,0158 -3,6410 -4,1720 -4,4755 -4,4905 -4,2761 -3,9798 -3,7321 -3,5682 -3,4528 -3,3389 -3,1767 -2,9323 -2,6510 -2,4472 -2,3904 -2,4273 -2,4242 -2,2595 -1,8794 -1,3133 -0,6808 -0,1593 0,1090 0,0872 -0,1772 -0,5967 -1,0536 -1,4184 -1,5995 -1,5631 -1,3062 -0,8476 -0,2411 0,4264 1,0516 1,5464 1,8849 2,1179 2,3174 2,5113 2,6694 2,7348 2,6727 2,5176 2,3781 2,3849 2,6114 3,0299 3,5343 4,0011 4,3552 4,5994 4,7656 4,8315 4,7056 4,3101 3,6688 2,9166 2,2478 1,8419 1,7932 2,0727 2,5528 3,0860 3,5649 3,9227 4,1204 4,1589 4,0861 3,9628 3,8195 3,6551 3,4654 3,2629 3,0725 2,9060 2,7502 2,5987 2,4865 2,4639 2,5369 2,6539 2,7390 2,7314 2,6318 2,5177 2,4858 2,5862 2,8066 3,0880 3,3741 3,6736 4,0506 4,5320 5,0442 5,4502 5,6328 5,5395 5,1886 4,6526 4,0240 3,4024 2,8891 2,5268 2,2415 1,8984 1,4467 1,0039 0,7788 0,9181 1,4457 2,3007 3,3562 4,4179 5,2797 5,8206 6,0455 6,0264 5,8233 5,4752 5,0353 4,5706 4,1232 3,6882 3,2418 2,7891 2,3861 2,1068 1,9770 1,9553 1,9776 1,9925 1,9672 1,9000 1,8219 1,7736 1,7851 1,8729 2,0495 2,3290 2,7044 3,1016 3,3680 3,3474 2,9821 2,3403 1,5552 0,7485 -0,0002 -0,6221 -1,0211 -1,1084 -0,8799 -0,4326 0,0937 0,5910 1,0270 1,4142 1,7468 1,9996 2,1736 2,2996 2,3908 2,4098 2,2960 2,0164 1,5904 1,0835 0,5913 0,2029 -0,0471 -0,1896 -0,2777 -0,3344 -0,3329 -0,2219 0,0189 0,3454 0,6769 0,9494 1,1183 1,1230 0,9165 0,5519 0,1783 -0,0841 -0,2445 -0,3935 -0,5758 -0,7526 -0,8907 -1,0304 -1,2225 -1,4404 -1,6014 -1,6559 -1,6259 -1,5637 -1,5018 -1,4493 -1,4108 -1,3920 -1,4029 -1,4690 -1,6304 -1,9057 -2,2528 -2,5913 -2,8689 -3,0876 -3,2728 -3,4459 -3,6385 -3,9092 -4,3137 -4,8463 -5,4003 -5,7920 -5,8623 -5,5803 -5,0493 -4,4299 -3,8822 -3,5579 -3,5757 -3,9496 -4,5463 -5,1534 -5,6153 -5,9035 -6,0605 -6,1098 -6,0581 -5,9505 -5,8533 -5,7939 -5,7719 -5,7987 -5,8808 -5,9931 -6,0898 -6,1243 -6,0589 -5,8857 -5,6558 -5,4744 -5,4369 -5,5545 -5,7398 -5,8535 -5,7690 -5,4353 -4,8962 -4,2238 -3,4683 -2,7076 -2,0786 -1,6862 -1,5206 -1,5306 -1,7327 -2,1813 -2,8555 -3,6272 -4,3288 -4,8215 -5,0056 -4,8254 -4,3253 -3,6873 -3,1521 -2,8829 -2,9052 -3,1388 -3,4544 -3,7316 -3,9184 -4,0425 -4,1514 -4,2442 -4,2670 -4,1747 -4,0040 -3,8915 -4,0009 -4,3958 -4,9684 -5,5179 -5,8902 -6,0258 -5,9259 -5,6242 -5,1778 -4,6659 -4,1860 -3,8217 -3,5993 -3,4900 -3,4558 -3,4788 -3,5446 -3,6133 -3,6215 -3,5270 -3,3690 -3,2733 -3,3603 -3,6483 -4,0661 -4,5232 -4,9433 -5,2790 -5,5333 -5,7483 -5,9611 -6,1682 -6,3103 -6,2816 -5,9806 -5,3821 -4,5732 -3,7208 -3,0073 -2,5747 -2,4801 -2,6821 -3,0629
Fz    2,7117 2,7467 2,7145 2,6435 2,5693 2,4879 2,3635 2,1650 1,8869 1,5537 1,2261 1,0009 0,9720 1,1764 1,5773 2,0770 2,5368 2,8144 2,8146 2,5133 1,9516 1,2164 0,4118 -0,3705 -1,0576 -1,5965 -1,9703 -2,1985 -2,3058 -2,3012 -2,1966 -2,0377 -1,8915 -1,7989 -1,7535 -1,7258 -1,6942 -1,6584 -1,6333 -1,6272 -1,6338 -1,6434 -1,6492 -1,6480 -1,6442 -1,6467 -1,6487 -1,6295 -1,5919 -1,5784 -1,6344 -1,7653 -1,9358 -2,1053 -2,2592 -2,4128 -2,5819 -2,7433 -2,8380 -2,8183 -2,6754 -2,4292 -2,1124 -1,7601 -1,4089 -1,1073 -0,9047 -0,8124 -0,7947 -0,8116 -0,8586 -0,9588 -1,1306 -1,3693 -1,6461 -1,9098 -2,0969 -2,1530 -2,0582 -1,8294 -1,5053 -1,1397 -0,8074 -0,5815 -0,4922 -0,5261 -0,6731 -0,9599 -1,4275 -2,0690 -2,7911 -3,4429 -3,8849 -4,0483 -3,9572 -3,7066 -3,4126 -3,1627 -2,9951 -2,9046 -2,8543 -2,7951 -2,7051 -2,6116 -2,5686 -2,6086 -2,7249 -2,8933 -3,0933 -3,3158 -3,5708 -3,8768 -4,2307 -4,5851 -4,8414 -4,8863 -4,6757 -4,2884 -3,8782 -3,5644 -3,3614 -3,2105 -3,0621 -2,9108 -2,7738 -2,6665 -2,5915 -2,5346 -2,4811 -2,4435 -2,4593 -2,5610 -2,7582 -3,0442 -3,4114 -3,8548 -4,3580 -4,8911 -5,4266 -5,9439 -6,4085 -6,7606 -6,9274 -6,8576 -6,5562 -6,0823 -5,5125 -4,9200 -4,3775 -3,9509 -3,6768 -3,5383 -3,4596 -3,3408 -3,1106 -2,7550 -2,3186 -1,8830 -1,5229 -1,2713 -1,1087 -0,9732 -0,8014 -0,5756 -0,3167 -0,0290 0,3160 0,7324 1,1793 1,5867 1,9120 2,1606 2,3582 2,5220 2,6555 2,7503 2,7886 2,7572 2,6629 2,5411 2,4489 2,4272 2,4580 2,4686 2,3813 2,1656 1,8646 1,5656 1,3396 1,2251 1,2509 1,4271 1,7205 2,0659 2,3925 2,6509 2,8448 3,0354 3,2972 3,6558 4,0590 4,4114 4,6485 4,7856 4,8905 5,0030 5,0914 5,0912 4,9733 4,7646 4,5192 4,2781 4,0451 3,8018 3,5516 3,3406 3,2291 3,2475 3,3777 3,5640 3,7330 3,8166 3,7791 3,6317 3,4132 3,1451 2,8121 2,3892 1,8828 1,3428 0,8436 0,4576 0,2302 0,1607 0,1963 0,2497 0,2444 0,1561 0,0111 -0,1472 -0,2861 -0,3921 -0,4792 -0,5952 -0,8087 -1,1776 -1,7166 -2,3797 -3,0725 -3,6844 -4,1186 -4,3165 -4,2789 -4,0601 -3,7423 -3,4123 -3,1489 -3,0021 -2,9621 -2,9616 -2,9303 -2,8429 -2,7137 -2,5664 -2,4269 -2,3281 -2,2952 -2,3306 -2,4243 -2,5737 -2,7914 -3,0950 -3,4722 -3,8560 -4,1467 -4,2661 -4,1963 -3,9871 -3,7260 -3,4874 -3,3031 -3,1733 -3,0840 -3,0046 -2,9079 -2,8111 -2,7694 -2,8152 -2,9153 -2,9863 -2,9436 -2,7386 -2,3778 -1,9335 -1,5244 -1,2553 -1,1741 -1,2874 -1,5748 -1,9692 -2,3584 -2,6353 -2,7359 -2,6323 -2,3260 -1,8567 -1,2991 -0,7436 -0,2677 0,0931 0,3476 0,5234 0,6422 0,7134 0,7323 0,6901 0,6018 0,5155 0,4813 0,5096 0,5607 0,5679 0,4784 0,2950 0,0830 -0,0859 -0,2006 -0,3161 -0,4978 -0,7636 -1,0671 -1,3152 -1,4061 -1,2784 -0,9399 -0,4530 0,1029 0,6503 1,1109 1,4170 1,5439 1,5265 1,4281 1,2901 1,1165 0,9022 0,6649 0,4407 0,2523 0,0966 -0,0326 -0,1219 -0,1476 -0,1073 -0,0315 0,0333 0,0511 0,0233 -0,0026 0,0370 0,1850 0,4441 0,7704 1,1012 1,4113 1,7326 2,1070 2,5226 2,9046 3,1599 3,2234 3,0830 2,7751 2,3535 1,8686 1,3686 0,8823 0,4021 -0,0884 -0,5628 -0,9329 -1,0861 -0,9523 -0,5355 0,1078 0,8876 1,6777 2,3309 2,7321 2,8397 2,6757 2,2926 1,7609 1,1661 0,5872 0,0699 -0,3831 -0,7979 -1,1973 -1,5737 -1,8940 -2,1321 -2,2887 -2,3833 -2,4379 -2,4647 -2,4600 -2,4193 -2,3561 -2,2936 -2,2456 -2,2140 -2,1945 -2,1796 -2,1706 -2,1904 -2,2705 -2,4233 -2,6353 -2,8789 -3,1249 -3,3508 -3,5237 -3,5766 -3,4453 -3,1379 -2,7430 -2,3721 -2,0983 -1,9326 -1,8527 -1,8475 -1,9186 -2,0488 -2,1955 -2,3194 -2,4190 -2,5310 -2,6958 -2,9211 -3,1756 -3,4107 -3,5940 -3,7277 -3,8363 -3,9351 -4,0063 -3,9994 -3,8674 -3,6129 -3,2934 -2,9861 -2,7562 -2,6572 -2,7412 -3,0307 -3,4687 -3,9278 -4,2891 -4,5108 -4,6178 -4,6414 -4,5923 -4,4890 -4,3750 -4,2854 -4,2177 -4,1538 -4,0946 -4,0628 -4,0847 -4,1719 -4,3198 -4,5146 -4,7377 -4,9723 -5,2140 -5,4747 -5,7656 -6,0768 -6,3848 -6,6778 -6,9610 -7,2413 -7,5203 -7,8035 -8,1054 -8,4364 -8,7729 -9,0383 -9,1322 -9,0018 -8,6812 -8,2617 -7,8403 -7,4976 -7,2973 -7,2826 -7,4559 -7,7635 -8,1158 -8,4391 -8,7042 -8,9030 -9,0072 -8,9786 -8,8153 -8,5584 -8,2560 -7,9528 -7,7013 -7,5532 -7,5388 -7,6527 -7,8517 -8,0690 -8,2426 -8,3507 -8,4231 -8,5079 -8,6199 -8,7182 -8,7272 -8,5811 -8,2680 -7,8301 -7,3155 -6,7509 -6,1805 -5,6932 -5,3686 -5,2170 -5,2050 -5,3114 -5,5290 -5,8305 -6,1599 -6,4512 -6,6401 -6,6689 -6,5143 -6,2275 -5,9346 -5,7714 -5,8105 -6,0444 -6,4171 -6,8589 -7,3012 -7,6856 -7,9674 -8,1127 -8,0960 -7,9116 -7,5898 -7,2018 -6,8444 -6,6087 -6,5370 -6,5969 -6,7116 -6,8166 -6,8732 -6,8492 -6,7175 -6,4738 -6,1469 -5,7989 -5,5064 -5,3304 -5,2976 -5,4034 -5,6189 -5,8909 -6,1444 -6,3078 -6,3543 -6,3253 -6,3034 -6,3467 -6,4539 -6,5955 -6,7531 -6,9187 -7,0907 -7,2820 -7,5092 -7,7665 -8,0161 -8,2012 -8,2623 -8,1527 -7,8573 -7,4080 -6,8787 -6,3739 -6,0063 -5,8534 -5,9195 -6,1336
F3    2,0446 2,0398 1,9577 1,8423 1,7499 1,6844 1,6002 1,4470 1,1968 0,8567 0,4897 0,2153 0,1517 0,3459 0,7610 1,2997 1,8243 2,1912 2,2977 2,1051 1,6361 0,9670 0,2081 -0,5310 -1,1597 -1,6159 -1,8871 -2,0079 -2,0204 -1,9424 -1,7854 -1,5917 -1,4239 -1,3138 -1,2435 -1,1779 -1,0988 -1,0139 -0,9465 -0,9066 -0,8792 -0,8452 -0,7983 -0,7425 -0,6928 -0,6694 -0,6699 -0,6641 -0,6421 -0,6424 -0,7111 -0,8514 -1,0226 -1,1823 -1,3236 -1,4792 -1,6838 -1,9246 -2,1372 -2,2543 -2,2422 -2,1013 -1,8540 -1,5362 -1,1969 -0,9060 -0,7331 -0,6940 -0,7395 -0,8149 -0,9100 -1,0451 -1,2351 -1,4795 -1,7635 -2,0454 -2,2504 -2,2977 -2,1461 -1,8145 -1,3629 -0,8715 -0,4347 -0,1383 -0,0176 -0,0552 -0,2297 -0,5531 -1,0538 -1,7188 -2,4536 -3,1067 -3,5402 -3,6914 -3,5903 -3,3344 -3,0404 -2,7929 -2,6198 -2,5032 -2,3982 -2,2524 -2,0419 -1,7963 -1,5783 -1,4375 -1,3842 -1,4026 -1,4741 -1,5964 -1,7904 -2,0821 -2,4697 -2,9031 -3,2740 -3,4466 -3,3481 -3,0379 -2,6664 -2,3600 -2,1434 -1,9707 -1,8073 -1,6616 -1,5567 -1,4989 -1,4698 -1,4392 -1,3950 -1,3627 -1,3855 -1,4884 -1,6684 -1,9125 -2,2144 -2,5698 -2,9603 -3,3565 -3,7415 -4,1120 -4,4473 -4,6915 -4,7706 -4,6330 -4,2874 -3,7970 -3,2367 -2,6719 -2,1694 -1,7930 -1,5764 -1,4980 -1,4791 -1,4217 -1,2596 -0,9838 -0,6408 -0,3069 -0,0437 0,1313 0,2454 0,3535 0,5005 0,6838 0,8707 1,0619 1,3074 1,6457 2,0481 2,4421 2,7773 3,0527 3,2858 3,4806 3,6322 3,7359 3,7796 3,7458 3,6299 3,4617 3,3041 3,2102 3,1763 3,1444 3,0453 2,8476 2,5892 2,3537 2,2068 2,1797 2,2917 2,5388 2,8692 3,2044 3,4734 3,6368 3,7178 3,8031 3,9871 4,3028 4,6995 5,0855 5,4001 5,6545 5,9013 6,1596 6,3778 6,4772 6,4228 6,2436 6,0030 5,7531 5,5038 5,2362 4,9553 4,7158 4,5888 4,6090 4,7566 4,9757 5,1946 5,3402 5,3611 5,2493 5,0322 4,7319 4,3383 3,8266 3,2015 2,5206 1,8818 1,3879 1,1039 1,0283 1,0919 1,1839 1,2069 1,1269 0,9744 0,8038 0,6586 0,5551 0,4758 0,3729 0,1868 -0,1323 -0,6016 -1,1852 -1,7993 -2,3411 -2,7150 -2,8588 -2,7728 -2,5210 -2,1995 -1,9004 -1,6910 -1,5972 -1,5904 -1,5986 -1,5539 -1,4270 -1,2201 -0,9495 -0,6475 -0,3658 -0,1536 -0,0296 0,0113 -0,0275 -0,1589 -0,3997 -0,7391 -1,1157 -1,4363 -1,6187 -1,6294 -1,4980 -1,2982 -1,0971 -0,9166 -0,7451 -0,5646 -0,3545 -0,1081 0,1282 0,2687 0,2637 0,1510 0,0342 0,0231 0,1871 0,5299 0,9733 1,3762 1,6078 1,6069 1,3769 0,9661 0,4730 0,0302 -0,2519 -0,3179 -0,1542 0,2194 0,7434 1,3265 1,8699 2,2985 2,5886 2,7658 2,8690 2,9184 2,9113 2,8284 2,6557 2,4211 2,2004 2,0725 2,0653 2,1423 2,2325 2,2717 2,2438 2,1912 2,1643 2,1554 2,0940 1,9112 1,6038 1,2455 0,9559 0,8480 0,9770 1,3172 1,7864 2,2941 2,7656 3,1350 3,3508 3,4050 3,3476 3,2508 3,1546 3,0541 2,9312 2,7861 2,6351 2,4850 2,3252 2,1546 2,0062 1,9278 1,9344 1,9894 2,0308 2,0073 1,9144 1,8031 1,7442 1,7870 1,9395 2,1633 2,4033 2,6452 2,9292 3,2936 3,7148 4,1094 4,3840 4,4784 4,3835 4,1340 3,7747 3,3455 2,8889 2,4310 1,9557 1,4314 0,8796 0,4078 0,1620 0,2385 0,6453 1,3279 2,1878 3,0796 3,8355 4,3290 4,5225 4,4517 4,1766 3,7614 3,2814 2,8116 2,3928 2,0164 1,6466 1,2633 0,8881 0,5664 0,3229 0,1436 -0,0028 -0,1427 -0,2850 -0,4129 -0,4965 -0,5186 -0,4803 -0,3898 -0,2597 -0,1071 0,0451 0,1597 0,1813 0,0617 -0,2064 -0,5842 -1,0107 -1,4313 -1,8129 -2,1234 -2,3036 -2,2978 -2,1153 -1,8382 -1,5702 -1,3813 -1,2811 -1,2476 -1,2741 -1,3666 -1,5072 -1,6472 -1,7440 -1,7990 -1,8588 -1,9736 -2,1547 -2,3698 -2,5665 -2,7046 -2,7797 -2,8172 -2,8423 -2,8520 -2,8092 -2,6709 -2,4326 -2,1458 -1,8896 -1,7302 -1,7114 -1,8716 -2,2227 -2,6980 -3,1606 -3,4913 -3,6643 -3,7290 -3,7345 -3,6937 -3,6162 -3,5356 -3,4783 -3,4304 -3,3619 -3,2681 -3,1761 -3,1200 -3,1211 -3,1863 -3,3109 -3,4821 -3,6852 -3,9145 -4,1750 -4,4671 -4,7714 -5,0590 -5,3163 -5,5504 -5,7742 -5,9990 -6,2429 -6,5329 -6,8854 -7,2744 -7,6117 -7,7756 -7,6863 -7,3605 -6,8935 -6,4026 -5,9932 -5,7507 -5,7291 -5,9238 -6,2573 -6,6150 -6,9136 -7,1368 -7,3035 -7,4115 -7,4388 -7,3863 -7,2801 -7,1426 -6,9962 -6,8838 -6,8526 -6,9242 -7,0859 -7,2958 -7,4983 -7,6496 -7,7436 -7,8147 -7,9037 -8,0120 -8,0888 -8,0570 -7,8545 -7,4723 -6,9576 -6,3661 -5,7304 -5,0949 -4,5481 -4,1713 -3,9753 -3,9250 -4,0029 -4,2072 -4,5039 -4,8181 -5,0671 -5,1849 -5,1214 -4,8569 -4,4438 -4,0151 -3,7210 -3,6464 -3,7886 -4,0911 -4,4839 -4,9019 -5,2940 -5,6256 -5,8697 -5,9978 -5,9887 -5,8498 -5,6360 -5,4423 -5,3648 -5,4440 -5,6306 -5,8265 -5,9579 -5,9951 -5,9275 -5,7530 -5,4863 -5,1650 -4,8460 -4,5885 -4,4296 -4,3763 -4,4155 -4,5240 -4,6642 -4,7830 -4,8303 -4,7921 -4,7140 -4,6842 -4,7673 -4,9569 -5,2037 -5,4642 -5,7107 -5,9299 -6,1311 -6,3315 -6,5295 -6,6984 -6,7956 -6,7721 -6,5888 -6,2421 -5,7768 -5,2723 -4,8236 -4,5231 -4,4259 -4,5181 -4,7196
F7    0,9451 1,0787 1,1447 1,1606 1,1564 1,1309 1,0555 0,9061 0,6802 0,4016 0,1309 -0,0338 0,0019 0,2680 0,7091 1,2114 1,6433 1,8978 1,9261 1,7395 1,3875 0,9390 0,4654 0,0232 -0,3511 -0,6413 -0,8571 -1,0259 -1,1618 -1,2503 -1,2722 -1,2408 -1,1956 -1,1592 -1,1227 -1,0698 -0,9987 -0,9239 -0,8643 -0,8241 -0,7907 -0,7534 -0,7130 -0,6755 -0,6481 -0,6319 -0,6043 -0,5289 -0,4005 -0,2643 -0,1779 -0,1667 -0,2194 -0,3143 -0,4444 -0,6267 -0,8779 -1,1752 -1,4519 -1,6383 -1,6943 -1,6142 -1,4263 -1,1827 -0,9382 -0,7406 -0,6225 -0,5839 -0,5941 -0,6243 -0,6700 -0,7454 -0,8673 -1,0412 -1,2536 -1,4673 -1,6270 -1,6761 -1,5785 -1,3311 -0,9626 -0,5315 -0,1242 0,1714 0,3090 0,2928 0,1371 -0,1728 -0,6695 -1,3497 -2,1332 -2,8770 -3,4331 -3,7099 -3,7051 -3,4937 -3,1833 -2,8646 -2,5869 -2,3608 -2,1648 -1,9594 -1,7225 -1,4750 -1,2665 -1,1387 -1,1073 -1,1694 -1,3125 -1,5196 -1,7798 -2,0890 -2,4339 -2,7737 -3,0317 -3,1155 -2,9845 -2,7008 -2,3960 -2,1738 -2,0461 -1,9604 -1,8732 -1,7800 -1,6940 -1,6236 -1,5683 -1,5196 -1,4710 -1,4295 -1,4116 -1,4318 -1,5007 -1,6278 -1,8249 -2,1019 -2,4520 -2,8452 -3,2428 -3,6060 -3,8862 -4,0262 -3,9751 -3,7055 -3,2343 -2,6247 -1,9634 -1,3391 -0,8349 -0,5139 -0,3959 -0,4397 -0,5459 -0,5998 -0,5321 -0,3444 -0,0932 0,1490 0,3320 0,4461 0,5179 0,5951 0,7120 0,8528 0,9614 1,0022 1,0022 1,0214 1,0919 1,2064 1,3530 1,5342 1,7479 1,9712 2,1722 2,3223 2,3976 2,3868 2,2990 2,1672 2,0437 1,9730 1,9578 1,9582 1,9235 1,8266 1,6865 1,5539 1,4705 1,4582 1,5340 1,6973 1,9110 2,1170 2,2608 2,3112 2,2894 2,2747 2,3567 2,5718 2,8825 3,2130 3,5071 3,7582 3,9882 4,2028 4,3726 4,4616 4,4604 4,3881 4,2720 4,1265 3,9402 3,6947 3,4104 3,1597 3,0197 3,0145 3,1062 3,2291 3,3208 3,3322 3,2370 3,0447 2,7912 2,5050 2,1865 1,8193 1,3981 0,9498 0,5380 0,2485 0,1478 0,2378 0,4446 0,6510 0,7576 0,7308 0,6022 0,4298 0,2604 0,1107 -0,0344 -0,2084 -0,4473 -0,7774 -1,2035 -1,6941 -2,1817 -2,5821 -2,8128 -2,8166 -2,5884 -2,1801 -1,6774 -1,1738 -0,7537 -0,4730 -0,3277 -0,2544 -0,1822 -0,0806 0,0441 0,1747 0,2904 0,3628 0,3706 0,3125 0,1995 0,0393 -0,1727 -0,4460 -0,7647 -1,0684 -1,2781 -1,3435 -1,2666 -1,0919 -0,8754 -0,6500 -0,4108 -0,1358 0,1822 0,5304 0,8748 1,1490 1,2741 1,2177 1,0317 0,8308 0,7337 0,8172 1,0946 1,5050 1,9288 2,2469 2,3905 2,3391 2,1083 1,7603 1,3962 1,1118 0,9686 0,9991 1,2084 1,5655 2,0053 2,4478 2,8271 3,1169 3,3259 3,4666 3,5391 3,5394 3,4662 3,3262 3,1532 3,0118 2,9621 3,0163 3,1314 3,2397 3,2921 3,2893 3,2780 3,2982 3,3320 3,3109 3,1741 2,9163 2,5956 2,3097 2,1557 2,1883 2,3993 2,7294 3,0982 3,4314 3,6743 3,7993 3,8155 3,7651 3,6953 3,6221 3,5275 3,3912 3,2206 3,0416 2,8649 2,6786 2,4811 2,3034 2,1922 2,1701 2,2168 2,2826 2,3182 2,3088 2,2840 2,2898 2,3541 2,4723 2,6087 2,7265 2,8345 2,9904 3,2458 3,5900 3,9509 4,2366 4,3739 4,3299 4,1111 3,7410 3,2524 2,6963 2,1274 1,5725 1,0377 0,5518 0,1885 0,0374 0,1501 0,5224 1,1143 1,8546 2,6278 3,2944 3,7494 3,9631 3,9658 3,8073 3,5396 3,2194 2,8969 2,5954 2,3088 2,0223 1,7399 1,4943 1,3226 1,2318 1,1956 1,1797 1,1579 1,1171 1,0648 1,0247 1,0205 1,0661 1,1643 1,3021 1,4529 1,5902 1,6899 1,7189 1,6417 1,4439 1,1432 0,7796 0,3983 0,0369 -0,2627 -0,4375 -0,4363 -0,2766 -0,0433 0,1692 0,3129 0,3965 0,4423 0,4421 0,3720 0,2377 0,0857 -0,0293 -0,0885 -0,1194 -0,1652 -0,2490 -0,3641 -0,4848 -0,5849 -0,6529 -0,6916 -0,7049 -0,6847 -0,6072 -0,4507 -0,2261 0,0163 0,2169 0,3394 0,3672 0,2801 0,0676 -0,2307 -0,5301 -0,7622 -0,9223 -1,0493 -1,1660 -1,2559 -1,2978 -1,2965 -1,2601 -1,1754 -1,0299 -0,8443 -0,6681 -0,5440 -0,4833 -0,4751 -0,5107 -0,5897 -0,7131 -0,8812 -1,0957 -1,3529 -1,6295 -1,8898 -2,1116 -2,2998 -2,4743 -2,6553 -2,8592 -3,0980 -3,3718 -3,6535 -3,8725 -3,9326 -3,7729 -3,4179 -2,9636 -2,5227 -2,1884 -2,0305 -2,0885 -2,3472 -2,7237 -3,1022 -3,3979 -3,5937 -3,7164 -3,7835 -3,7890 -3,7341 -3,6387 -3,5244 -3,4115 -3,3267 -3,2970 -3,3404 -3,4588 -3,6277 -3,8014 -3,9346 -4,0081 -4,0394 -4,0659 -4,1049 -4,1276 -4,0690 -3,8701 -3,5274 -3,0988 -2,6482 -2,2052 -1,7931 -1,4629 -1,2619 -1,1908 -1,2240 -1,3521 -1,5689 -1,8341 -2,0777 -2,2353 -2,2626 -2,1264 -1,8183 -1,3939 -0,9724 -0,6752 -0,5625 -0,6274 -0,8313 -1,1338 -1,4982 -1,8822 -2,2296 -2,4745 -2,5651 -2,4929 -2,3023 -2,0728 -1,8926 -1,8325 -1,9183 -2,1172 -2,3628 -2,5969 -2,7813 -2,8880 -2,8992 -2,8137 -2,6513 -2,4514 -2,2583 -2,1016 -1,9909 -1,9277 -1,9145 -1,9418 -1,9758 -1,9765 -1,9362 -1,8985 -1,9308 -2,0672 -2,2831 -2,5269 -2,7585 -2,9533 -3,0992 -3,2013 -3,2751 -3,3300 -3,3603 -3,3408 -3,2338 -3,0110 -2,6782 -2,2820 -1,8923 -1,5850 -1,4309 -1,4745 -1,7045 -2,0437
