Fp1   -0,2143 0,1540 0,5215 0,8503 1,0833 1,1593 1,0376 0,7195 0,2632 -0,2240 -0,6313 -0,8943 -1,0075 -0,9974 -0,8979 -0,7484 -0,5873 -0,4269 -0,2463 -0,0244 0,2231 0,4443 0,5755 0,5712 0,4282 0,1946 -0,0379 -0,1587 -0,0823 0,1950 0,5704 0,8830 1,0098 0,9258 0,6913 0,3956 0,1013 -0,1651 -0,3812 -0,5089 -0,5149 -0,4125 -0,2804 -0,2275 -0,3144 -0,5009 -0,6772 -0,7452 -0,6626 -0,4278 -0,0549 0,4284 0,9744 1,5159 1,9665 2,2320 2,2538 2,0517 1,7262 1,4063 1,1819 1,0795 1,0836 1,1644 1,2962 1,4623 1,6448 1,8222 1,9923 2,1854 2,4324 2,7164 2,9690 3,1149 3,1107 2,9449 2,6375 2,2514 1,8840 1,6276 1,5280 1,5673 1,6849 1,8086 1,8744 1,8571 1,7892 1,7206 1,6595 1,5792 1,4694 1,3460 1,2149 1,0556 0,8528 0,6291 0,4290 0,2812 0,1860 0,1193 0,0368 -0,1120 -0,3632 -0,7228 -1,1575 -1,6136 -2,0651 -2,5335 -3,0351 -3,5244 -3,9280 -4,2360 -4,5218 -4,8685 -5,3156 -5,8673 -6,5049 -7,1906 -7,8786 -8,5300 -9,1079 -9,5567 -9,8101 -9,8372 -9,6668 -9,3528 -8,9342 -8,4449 -7,9430 -7,5027 -7,1715 -6,9381 -6,7415 -6,5184 -6,2463 -5,9395 -5,6159 -5,2835 -4,9604 -4,6815 -4,4702 -4,3159 -4,1964 -4,1068 -4,0464 -3,9736 -3,7871 -3,3786 -2,7283 -1,9399 -1,1690 -0,5184 -0,0092 0,3675 0,6038 0,6998 0,7081 0,7208 0,8155 1,0176 1,2988 1,5975 1,8526 2,0313 2,1332 2,1774 2,1957 2,2303 2,3185 2,4749 2,6910 2,9373 3,1610 3,3095 3,3617 3,3291 3,2471 3,1806 3,2099 3,3783 3,6497 3,9232 4,0972 4,1266 4,0304 3,8654 3,7015 3,5955 3,5635 3,5840 3,6230 3,6446 3,6163 3,5308 3,4105 3,2710 3,0937 2,8538 2,5659 2,2796 2,0313 1,8242 1,6558 1,5426 1,5123 1,5830 1,7577 2,0288 2,3808 2,7840 3,1824 3,5041 3,6958 3,7416 3,6514 3,4433 3,1426 2,7941 2,4666 2,2374 2,1689 2,2872 2,5696 2,9499 3,3492 3,7125 4,0220 4,2815 4,4914 4,6422 4,7323 4,7758 4,7831 4,7487 4,6701 4,5615 4,4369 4,2900 4,1032 3,8633 3,5669 3,2329 2,9128 2,6616 2,4991 2,4228 2,4425 2,5594 2,7226 2,8498 2,8895 2,8433 2,7483 2,6625 2,6548 2,7782 3,0262 3,3169 3,5393 3,6198 3,5420 3,3268 3,0279 2,7275 2,4911 2,3273 2,2072 2,1109 2,0415 2,0194 2,0898 2,3032 2,6558 3,0572 3,3729 3,4856 3,3390 2,9614 2,4563 1,9684 1,6379 1,5392 1,6550 1,9290 2,3294 2,8436 3,4237 3,9658 4,3594 4,5465 4,5283 4,3427 4,0534 3,7346 3,4436 3,2069 3,0460 3,0029 3,1203 3,3978 3,7766 4,1585 4,4383 4,5401 4,4435 4,1867 3,8530 3,5471 3,3571 3,3197 3,4265 3,6607 4,0151 4,4796 5,0266 5,6022 6,1239 6,4998 6,6643 6,6101 6,3925 6,1035 5,8390 5,6688 5,6101 5,6266 5,6655 5,6983 5,7298 5,7791 5,8546 5,9469 6,0407 6,1297 6,2194 6,3203 6,4441 6,6054 6,8174 7,0794 7,3765 7,6908 7,9966 8,2459 8,3849 8,3843 8,2482 8,0083 7,7194 7,4468 7,2435 7,1365 7,1268 7,1852 7,2599 7,3217 7,3938 7,5157 7,6842 7,8572 8,0108 8,1583 8,3102 8,4340 8,4547 8,2956 7,9426 7,4717 7,0074 6,6675 6,5255 6,5770 6,7374 6,9017 7,0147 7,0918 7,1812 7,3029 7,4219 7,4817 7,4540 7,3618 7,2708 7,2452 7,2844 7,3034 7,1874 6,8813 6,4381 5,9850 5,6341 5,4161 5,2973 5,2359 5,2065 5,1924 5,1801 5,1699 5,1764 5,1998 5,2020 5,1288 4,9491 4,6627 4,2788 3,8066 3,2810 2,7813 2,4081 2,2480 2,3523 2,7152 3,2641 3,8830 4,4501 4,8675 5,0893 5,1366 5,0772 4,9886 4,9301 4,9355 5,0198 5,1814 5,3887 5,5703 5,6461 5,5806 5,4008 5,1662 4,9328 4,7361 4,5955 4,5292 4,5533 4,6495 4,7385 4,7036 4,4609 4,0228 3,5062 3,0822 2,8871 2,9489 3,1904 3,5008 3,7912 3,9986 4,0907 4,0937 4,0902 4,1609 4,3259 4,5391 4,7280 4,8402 4,8646 4,8124 4,6863 4,4855 4,2358 3,9947 3,8152 3,7077 3,6493 3,6220 3,6260 3,6535 3,6503 3,5291 3,2450 2,8471 2,4437 2,1281 1,9366 1,8536 1,8433 1,8745 1,9171 1,9325 1,8965 1,8295 1,7836 1,7971 1,8595 1,9038 1,8442 1,6342 1,2799 0,7994 0,2087 -0,4373 -1,0269 -1,4478 -1,6520 -1,6644 -1,5447 -1,3511 -1,1316 -0,9160 -0,7095 -0,5199 -0,3878 -0,3625 -0,4487 -0,5942 -0,7309 -0,8120 -0,8129 -0,7269 -0,5825 -0,4488 -0,3966 -0,4492 -0,5754 -0,7114 -0,7808 -0,7255 -0,5406 -0,2750 0,0004 0,2424 0,4643 0,7052 0,9679 1,1970 1,3132 1,2624 1,0511 0,7453 0,4250 0,1431 -0,0682 -0,1813 -0,1838 -0,0991 0,0181 0,1176 0,1827 0,2358 0,3237 0,4690 0,6261 0,7190 0,7207 0,6612 0,5773 0,4942 0,4357 0,4078 0,3778 0,2972 0,1383 -0,1052 -0,4268 -0,7906 -1,1259 -1,3645 -1,4781 -1,4785 -1,3996 -1,2812 -1,1439 -0,9804 -0,7799 -0,5453 -0,2823 0,0031 0,2824 0,5006 0,6042 0,5661 0,3902 0,1104 -0,2183 -0,5456 -0,8541 -1,1537 -1,4551 -1,7557 -2,0324 -2,2430 -2,3587 -2,3971 -2,3963 -2,3651 -2,2828 -2,1429 -1,9743 -1,8150 -1,6881 -1,6190 -1,6534 -1,8215 -2,0877 -2,3594 -2,5409 -2,5770 -2,4737 -2,2901
Fz    0,9203 1,0881 1,1968 1,2182 1,1400 0,9701 0,7359 0,4735 0,2189 0,0059 -0,1419 -0,2224 -0,2527 -0,2539 -0,2393 -0,2113 -0,1658 -0,0957 0,0054 0,1353 0,2758 0,3935 0,4492 0,4180 0,3046 0,1440 -0,0113 -0,1103 -0,1213 -0,0564 0,0198 0,0208 -0,1018 -0,3239 -0,5701 -0,7651 -0,8728 -0,8987 -0,8661 -0,7932 -0,6891 -0,5699 -0,4684 -0,4143 -0,4032 -0,3894 -0,3196 -0,1712 0,0468 0,3180 0,6255 0,9453 1,2474 1,5000 1,6684 1,7241 1,6652 1,5282 1,3771 1,2720 1,2393 1,2684 1,3341 1,4189 1,5159 1,6214 1,7325 1,8485 1,9736 2,1152 2,2776 2,4494 2,5935 2,6542 2,5807 2,3531 1,9977 1,5798 1,1805 0,8700 0,6845 0,6163 0,6201 0,6325 0,6002 0,5084 0,3816 0,2505 0,1270 0,0122 -0,0869 -0,1664 -0,2487 -0,3783 -0,5862 -0,8595 -1,1460 -1,3836 -1,5311 -1,5882 -1,5935 -1,6049 -1,6742 -1,8267 -2,0568 -2,3439 -2,6744 -3,0433 -3,4342 -3,8120 -4,1505 -4,4663 -4,8116 -5,2351 -5,7557 -6,3664 -7,0441 -7,7547 -8,4590 -9,1189 -9,6974 -10,1586 -10,4824 -10,6767 -10,7709 -10,7935 -10,7536 -10,6492 -10,4886 -10,2950 -10,0912 -9,8855 -9,6751 -9,4593 -9,2426 -9,0233 -8,7879 -8,5214 -8,2244 -7,9134 -7,6052 -7,3036 -7,0017 -6,6934 -6,3727 -6,0208 -5,6051 -5,0979 -4,5002 -3,8519 -3,2161 -2,6495 -2,1852 -1,8365 -1,6016 -1,4570 -1,3529 -1,2263 -1,0224 -0,7144 -0,3135 0,1367 0,5822 0,9825 1,3211 1,5990 1,8265 2,0237 2,2197 2,4454 2,7202 3,0312 3,3247 3,5308 3,5970 3,5062 3,2883 3,0210 2,7982 2,6763 2,6468 2,6583 2,6557 2,6034 2,4889 2,3278 2,1650 2,0506 2,0049 2,0087 2,0199 1,9972 1,9196 1,7985 1,6685 1,5614 1,4858 1,4381 1,4275 1,4703 1,5560 1,6391 1,6741 1,6517 1,5964 1,5422 1,5213 1,5651 1,6972 1,9138 2,1765 2,4274 2,6141 2,7079 2,7132 2,6570 2,5677 2,4692 2,3889 2,3589 2,4037 2,5284 2,7171 2,9420 3,1774 3,4113 3,6440 3,8774 4,1037 4,3094 4,4890 4,6434 4,7669 4,8497 4,8988 4,9440 5,0110 5,0946 5,1588 5,1595 5,0651 4,8736 4,6151 4,3311 4,0495 3,7889 3,5784 3,4471 3,3981 3,4092 3,4555 3,5208 3,5964 3,6806 3,7707 3,8526 3,9004 3,8914 3,8235 3,7223 3,6254 3,5600 3,5375 3,5579 3,6065 3,6523 3,6654 3,6369 3,5847 3,5434 3,5543 3,6472 3,8184 4,0273 4,2180 4,3416 4,3689 4,2992 4,1613 4,0084 3,9022 3,8832 3,9511 4,0855 4,2763 4,5242 4,8152 5,1119 5,3779 5,6016 5,7891 5,9462 6,0759 6,1769 6,2362 6,2332 6,1648 6,0620 5,9715 5,9288 5,9456 6,0090 6,0825 6,1163 6,0720 5,9425 5,7576 5,5753 5,4540 5,4203 5,4668 5,5807 5,7602 6,0029 6,2881 6,5772 6,8234 6,9810 7,0198 6,9432 6,7918 6,6270 6,5097 6,4794 6,5360 6,6390 6,7346 6,7911 6,8144 6,8332 6,8703 6,9231 6,9705 6,9984 7,0113 7,0218 7,0417 7,0893 7,1980 7,4034 7,7220 8,1382 8,6041 9,0552 9,4364 9,7136 9,8641 9,8772 9,7688 9,5852 9,3788 9,1850 9,0200 8,8919 8,8063 8,7666 8,7742 8,8271 8,9149 9,0207 9,1367 9,2658 9,3982 9,4939 9,4992 9,3796 9,1441 8,8434 8,5454 8,3101 8,1751 8,1418 8,1742 8,2242 8,2625 8,2902 8,3268 8,3863 8,4652 8,5527 8,6424 8,7310 8,8162 8,8926 8,9404 8,9211 8,7965 8,5617 8,2618 7,9726 7,7518 7,6044 7,4921 7,3660 7,1949 6,9802 6,7489 6,5359 6,3675 6,2455 6,1437 6,0311 5,8940 5,7326 5,5449 5,3265 5,0910 4,8769 4,7290 4,6800 4,7456 4,9202 5,1735 5,4562 5,7135 5,9026 6,0128 6,0654 6,0927 6,1227 6,1767 6,2685 6,4011 6,5686 6,7546 6,9262 7,0420 7,0779 7,0376 6,9405 6,8140 6,6888 6,5857 6,5069 6,4432 6,3790 6,2916 6,1543 5,9536 5,7103 5,4810 5,3280 5,2793 5,3115 5,3695 5,4070 5,4060 5,3652 5,2914 5,2099 5,1635 5,1881 5,2902 5,4467 5,6198 5,7764 5,8972 5,9730 5,9988 5,9738 5,9056 5,8084 5,6941 5,5635 5,4141 5,2564 5,1137 5,0015 4,9077 4,7987 4,6535 4,4846 4,3225 4,1894 4,0922 4,0283 3,9937 3,9835 3,9850 3,9771 3,9473 3,9028 3,8615 3,8312 3,7962 3,7171 3,5571 3,3143 3,0232 2,7186 2,4132 2,1171 1,8547 1,6447 1,4737 1,3116 1,1467 0,9896 0,8464 0,7099 0,5746 0,4410 0,3085 0,1747 0,0446 -0,0612 -0,1082 -0,0618 0,0875 0,3080 0,5365 0,7056 0,7694 0,7167 0,5718 0,3939 0,2666 0,2640 0,4165 0,7032 1,0685 1,4517 1,8117 2,1288 2,3928 2,5941 2,7216 2,7675 2,7360 2,6494 2,5434 2,4590 2,4360 2,5001 2,6501 2,8600 3,0958 3,3307 3,5490 3,7473 3,9352 4,1161 4,2619 4,3248 4,2808 4,1436 3,9414 3,7002 3,4466 3,2065 2,9936 2,8080 2,6392 2,4669 2,2738 2,0679 1,8803 1,7412 1,6671 1,6656 1,7349 1,8582 2,0118 2,1810 2,3612 2,5523 2,7539 2,9588 3,1489 3,3012 3,3976 3,4235 3,3638 3,2099 2,9739 2,6930 2,4103 2,1501 1,9077 1,6650 1,4158 1,1767 0,9749 0,8326 0,7656 0,7836 0,8827 1,0356 1,1957 1,3218 1,4017 1,4386 1,4229 1,3371 1,1881 1,0184 0,8865 0,8404 0,8948 1,0191
F3    0,3965 0,5300 0,6069 0,6263 0,5836 0,4739 0,3023 0,0919 -0,1151 -0,2722 -0,3554 -0,3755 -0,3605 -0,3301 -0,2871 -0,2243 -0,1384 -0,0352 0,0765 0,1904 0,3013 0,3970 0,4535 0,4515 0,3986 0,3343 0,3131 0,3830 0,5619 0,8075 1,0098 1,0394 0,8303 0,4270 -0,0420 -0,4407 -0,6915 -0,7908 -0,7815 -0,7120 -0,6166 -0,5256 -0,4766 -0,4980 -0,5776 -0,6582 -0,6855 -0,6478 -0,5544 -0,3939 -0,1429 0,1940 0,5724 0,9262 1,1878 1,3079 1,2801 1,1497 0,9938 0,8823 0,8447 0,8656 0,9135 0,9721 1,0444 1,1348 1,2375 1,3398 1,4300 1,5023 1,5536 1,5811 1,5797 1,5350 1,4152 1,1853 0,8420 0,4317 0,0329 -0,2748 -0,4392 -0,4586 -0,3835 -0,2914 -0,2435 -0,2514 -0,2913 -0,3514 -0,4458 -0,5756 -0,7031 -0,7872 -0,8364 -0,9126 -1,0805 -1,3534 -1,6845 -1,9967 -2,2206 -2,3229 -2,3182 -2,2584 -2,2055 -2,2026 -2,2661 -2,4041 -2,6320 -2,9608 -3,3692 -3,8013 -4,2084 -4,5937 -5,0066 -5,4974 -6,0852 -6,7528 -7,4551 -8,1367 -8,7579 -9,3041 -9,7677 -10,1278 -10,3594 -10,4555 -10,4297 -10,3035 -10,0920 -9,8101 -9,4921 -9,1948 -8,9695 -8,8282 -8,7378 -8,6491 -8,5268 -8,3577 -8,1379 -7,8663 -7,5537 -7,2324 -6,9439 -6,7097 -6,5214 -6,3526 -6,1705 -5,9321 -5,5856 -5,0924 -4,4613 -3,7642 -3,1078 -2,5779 -2,2033 -1,9557 -1,7781 -1,6168 -1,4337 -1,2042 -0,9195 -0,5982 -0,2874 -0,0365 0,1358 0,2488 0,3328 0,4014 0,4572 0,5169 0,6106 0,7598 0,9658 1,2076 1,4441 1,6265 1,7118 1,6743 1,5277 1,3416 1,2124 1,1969 1,2786 1,3990 1,5066 1,5729 1,5892 1,5702 1,5602 1,6057 1,7090 1,8215 1,8816 1,8503 1,7237 1,5318 1,3220 1,1286 0,9561 0,8030 0,6967 0,6815 0,7630 0,8914 1,0031 1,0635 1,0705 1,0416 1,0114 1,0317 1,1525 1,3833 1,6743 1,9375 2,0907 2,1023 2,0113 1,8946 1,8115 1,7829 1,8094 1,8865 2,0048 2,1510 2,3157 2,4906 2,6630 2,8195 2,9533 3,0679 3,1761 3,2985 3,4570 3,6572 3,8709 4,0512 4,1701 4,2352 4,2684 4,2805 4,2645 4,2006 4,0672 3,8626 3,6203 3,3873 3,1845 3,0102 2,8776 2,8107 2,8005 2,8044 2,7903 2,7623 2,7504 2,7844 2,8689 2,9788 3,0750 3,1229 3,1070 3,0402 2,9566 2,8920 2,8732 2,9117 2,9905 3,0626 3,0792 3,0226 2,9158 2,8109 2,7678 2,8256 2,9769 3,1741 3,3580 3,4740 3,4748 3,3332 3,0627 2,7283 2,4269 2,2365 2,1812 2,2514 2,4413 2,7497 3,1520 3,5843 3,9641 4,2300 4,3633 4,3890 4,3605 4,3297 4,3143 4,2925 4,2421 4,1807 4,1566 4,2065 4,3308 4,4958 4,6458 4,7212 4,6858 4,5435 4,3334 4,1114 3,9260 3,7974 3,7262 3,7289 3,8471 4,1151 4,5260 5,0302 5,5505 5,9994 6,2975 6,3985 6,3053 6,0665 5,7622 5,4810 5,2874 5,1979 5,1858 5,2091 5,2401 5,2778 5,3380 5,4294 5,5403 5,6537 5,7614 5,8596 5,9404 6,0050 6,0851 6,2374 6,5106 6,9159 7,4137 7,9301 8,3927 8,7504 8,9616 8,9865 8,8099 8,4670 8,0354 7,5983 7,2177 6,9296 6,7501 6,6806 6,7126 6,8341 7,0252 7,2529 7,4840 7,6979 7,8748 7,9782 7,9611 7,7896 7,4694 7,0552 6,6314 6,2890 6,1006 6,0847 6,1909 6,3371 6,4651 6,5665 6,6684 6,7962 6,9449 7,0895 7,2078 7,2877 7,3249 7,3215 7,2808 7,2028 7,0858 6,9303 6,7466 6,5623 6,4065 6,2794 6,1472 5,9723 5,7460 5,4917 5,2402 5,0137 4,8293 4,6959 4,6090 4,5569 4,5238 4,4791 4,3787 4,1906 3,9307 3,6668 3,4828 3,4442 3,5849 3,8936 4,3085 4,7383 5,0947 5,3212 5,4118 5,4041 5,3482 5,2821 5,2297 5,2051 5,2125 5,2514 5,3201 5,4055 5,4832 5,5359 5,5605 5,5570 5,5282 5,4891 5,4595 5,4467 5,4352 5,3978 5,3095 5,1488 4,9038 4,5973 4,2943 4,0666 3,9472 3,9171 3,9333 3,9663 4,0096 4,0594 4,1056 4,1454 4,1912 4,2610 4,3689 4,5121 4,6564 4,7435 4,7273 4,6016 4,3983 4,1701 3,9696 3,8282 3,7485 3,7130 3,7019 3,7050 3,7220 3,7486 3,7543 3,6879 3,5219 3,2882 3,0569 2,8859 2,7951 2,7766 2,8101 2,8656 2,9032 2,8854 2,7983 2,6580 2,4958 2,3388 2,1931 2,0318 1,8131 1,5259 1,2046 0,8930 0,6105 0,3647 0,1699 0,0307 -0,0782 -0,1912 -0,3166 -0,4367 -0,5383 -0,6253 -0,7060 -0,7816 -0,8505 -0,9163 -0,9841 -1,0450 -1,0633 -0,9901 -0,8042 -0,5397 -0,2689 -0,0625 0,0377 0,0264 -0,0710 -0,2086 -0,3334 -0,4045 -0,4009 -0,3183 -0,1689 0,0257 0,2505 0,5016 0,7743 1,0519 1,2988 1,4654 1,5157 1,4583 1,3431 1,2304 1,1646 1,1595 1,1990 1,2537 1,3031 1,3461 1,3940 1,4678 1,6014 1,8103 2,0427 2,1930 2,1777 1,9832 1,6530 1,2552 0,8603 0,5232 0,2719 0,1116 0,0239 -0,0417 -0,1479 -0,3180 -0,5133 -0,6640 -0,7120 -0,6289 -0,4206 -0,1275 0,1945 0,5017 0,7710 0,9934 1,1672 1,2908 1,3597 1,3782 1,3632 1,3265 1,2580 1,1367 0,9569 0,7412 0,5254 0,3302 0,1451 -0,0576 -0,2955 -0,5648 -0,8428 -1,0886 -1,2512 -1,2967 -1,2267 -1,0762 -0,8967 -0,7310 -0,5950 -0,4906 -0,4324 -0,4445 -0,5243 -0,6235 -0,6682 -0,5967 -0,3983 -0,1280
F7    -1,0048 -1,1067 -1,0838 -0,9336 -0,6831 -0,4052 -0,1821 -0,0661 -0,0738 -0,1867 -0,3523 -0,5041 -0,5896 -0,5853 -0,4862 -0,2909 -0,0088 0,3214 0,6361 0,8765 1,0181 1,0761 1,0830 1,0518 0,9545 0,7431 0,3937 -0,0612 -0,5279 -0,8841 -1,0329 -0,9327 -0,6002 -0,1078 0,4202 0,8400 1,0499 1,0287 0,8309 0,5570 0,3030 0,1148 -0,0051 -0,0648 -0,0819 -0,0897 -0,1121 -0,1320 -0,1059 -0,0175 0,0908 0,1472 0,1086 -0,0061 -0,1257 -0,1752 -0,1226 0,0165 0,2185 0,4821 0,8140 1,1933 1,5631 1,8606 2,0406 2,0759 1,9711 1,7773 1,5575 1,3379 1,1199 0,9298 0,8196 0,8137 0,8768 0,9556 1,0283 1,0948 1,1466 1,1652 1,1258 1,0046 0,8020 0,5580 0,3343 0,1788 0,1046 0,1016 0,1590 0,2591 0,3601 0,4135 0,4081 0,3951 0,4554 0,6271 0,8652 1,0708 1,1455 1,0330 0,7402 0,3283 -0,1269 -0,5702 -0,9740 -1,3307 -1,6433 -1,9266 -2,2157 -2,5437 -2,9035 -3,2497 -3,5495 -3,8209 -4,1144 -4,4663 -4,8856 -5,3679 -5,8890 -6,3851 -6,7840 -7,0654 -7,2646 -7,4143 -7,5061 -7,5019 -7,3643 -7,0873 -6,7079 -6,2783 -5,8294 -5,3787 -4,9622 -4,6319 -4,4240 -4,3431 -4,3679 -4,4623 -4,5837 -4,6781 -4,6732 -4,4988 -4,1288 -3,5992 -2,9846 -2,3647 -1,8120 -1,3761 -1,0480 -0,7531 -0,4082 0,0124 0,4672 0,8838 1,1871 1,3102 1,2142 0,9169 0,5093 0,1286 -0,0971 -0,0991 0,1156 0,5042 1,0473 1,7314 2,4738 3,1115 3,4932 3,5658 3,3733 3,0035 2,5468 2,0770 1,6394 1,2540 0,9374 0,7108 0,5772 0,5047 0,4565 0,4329 0,4738 0,6192 0,8591 1,1152 1,2815 1,2865 1,1243 0,8558 0,5916 0,4543 0,5296 0,8408 1,3586 2,0073 2,6609 3,1671 3,4101 3,3623 3,0758 2,6341 2,1188 1,6151 1,2236 1,0276 1,0277 1,1301 1,2208 1,2474 1,2362 1,2528 1,3485 1,5274 1,7498 1,9566 2,0862 2,0860 1,9244 1,6073 1,2092 0,8762 0,7486 0,8609 1,1318 1,4568 1,7916 2,1384 2,4676 2,6900 2,7297 2,5859 2,3046 1,9338 1,5288 1,1625 0,9037 0,7889 0,8184 0,9663 1,1841 1,4039 1,5511 1,5808 1,5037 1,3651 1,2090 1,0723 0,9892 0,9818 1,0431 1,1307 1,1928 1,2042 1,1742 1,1302 1,0961 1,0665 1,0051 0,8894 0,7463 0,6215 0,5355 0,4843 0,4492 0,3855 0,2338 -0,0285 -0,3517 -0,6419 -0,8240 -0,8767 -0,8204 -0,6927 -0,5267 -0,3322 -0,1005 0,1686 0,4521 0,7186 0,9480 1,1345 1,2809 1,3971 1,4940 1,5712 1,6143 1,6099 1,5747 1,5594 1,6028 1,6922 1,7820 1,8346 1,8394 1,7992 1,7049 1,5293 1,2527 0,8997 0,5440 0,2661 0,1059 0,0594 0,1027 0,2071 0,3581 0,5673 0,8534 1,2131 1,6124 1,9874 2,2582 2,3655 2,3016 2,1131 1,8845 1,7091 1,6537 1,7360 1,9235 2,1468 2,3292 2,4226 2,4245 2,3703 2,3119 2,2820 2,2659 2,2288 2,1668 2,1207 2,1488 2,2891 2,5268 2,7888 2,9810 3,0523 3,0226 2,9460 2,8621 2,7870 2,7254 2,6828 2,6804 2,7565 2,9521 3,3007 3,8120 4,4420 5,0840 5,6036 5,8916 5,9107 5,7017 5,3320 4,8483 4,2943 3,7397 3,2635 2,9195 2,7208 2,6469 2,6685 2,7750 2,9758 3,2708 3,6188 3,9342 4,1207 4,1211 3,9418 3,6376 3,2855 2,9669 2,7520 2,6864 2,7795 3,0001 3,2962 3,6155 3,9020 4,0996 4,1751 4,1320 3,9972 3,7880 3,5051 3,1724 2,8633 2,6573 2,5839 2,6147 2,6819 2,7015 2,6116 2,4161 2,1873 2,0037 1,8850 1,7914 1,6654 1,4728 1,2427 1,0767 1,0795 1,2683 1,5559 1,8157 1,9558 1,9436 1,7910 1,5496 1,3145 1,1875 1,2097 1,3436 1,5184 1,6751 1,7887 1,8702 1,9497 2,0554 2,2028 2,3937 2,6140 2,8302 3,0018 3,1040 3,1432 3,1518 3,1501 3,1122 2,9947 2,7974 2,5807 2,4236 2,3667 2,3765 2,3604 2,2339 1,9864 1,6896 1,4436 1,3083 1,2709 1,2659 1,2186 1,0918 0,9084 0,7191 0,5552 0,4296 0,3718 0,4370 0,6704 1,0615 1,5327 1,9762 2,3138 2,5270 2,6428 2,7069 2,7541 2,7929 2,8137 2,8003 2,7235 2,5421 2,2232 1,7667 1,2077 0,5981 -0,0112 -0,5626 -0,9810 -1,2007 -1,2167 -1,0996 -0,9472 -0,8162 -0,7012 -0,5691 -0,3977 -0,1857 0,0460 0,2401 0,3046 0,1679 -0,1618 -0,6064 -1,0730 -1,4844 -1,7881 -1,9710 -2,0579 -2,0879 -2,1007 -2,1310 -2,1927 -2,2709 -2,3413 -2,3893 -2,4057 -2,3863 -2,3448 -2,3134 -2,3215 -2,3659 -2,4008 -2,3758 -2,2875 -2,1781 -2,0827 -1,9933 -1,8753 -1,6985 -1,4451 -1,1278 -0,8015 -0,5258 -0,3184 -0,1643 -0,0568 -0,0126 -0,0592 -0,2149 -0,4692 -0,7741 -1,0575 -1,2507 -1,3142 -1,2507 -1,1004 -0,9176 -0,7495 -0,6362 -0,6181 -0,7251 -0,9512 -1,2391 -1,4964 -1,6402 -1,6258 -1,4436 -1,1202 -0,7302 -0,3789 -0,1538 -0,0920 -0,1851 -0,3993 -0,6808 -0,9520 -1,1248 -1,1471 -1,0589 -0,9813 -1,0215 -1,1888 -1,4097 -1,5976 -1,6940 -1,6751 -1,5490 -1,3483 -1,1217 -0,9234 -0,8039 -0,7964 -0,8946 -1,0411 -1,1588 -1,2131 -1,2386 -1,2926 -1,3865 -1,4684 -1,4677 -1,3480 -1,1208 -0,8264 -0,5219 -0,2823 -0,1757 -0,2148 -0,3493 -0,5152 -0,6808 -0,8398 -0,9772 -1,0572 -1,0467 -0,9580 -0,8721 -0,9051 -1,1314 -1,5290 -1,9970 -2,4255
