Fp1   2,1048 1,9323 1,5771 1,0151 0,2862 -0,5019 -1,1989 -1,6521 -1,7513 -1,4705 -0,8762 -0,0897 0,7555 1,5354 2,1591 2,5906 2,8560 3,0291 3,1914 3,3913 3,6342 3,8935 4,1246 4,2810 4,3289 4,2498 4,0270 3,6258 2,9955 2,1003 0,9553 -0,3587 -1,7101 -2,9504 -3,9518 -4,6393 -5,0120 -5,1404 -5,1234 -5,0272 -4,8553 -4,5632 -4,0968 -3,4423 -2,6596 -1,8607 -1,1493 -0,5769 -0,1451 0,1631 0,3549 0,4228 0,3595 0,1748 -0,1038 -0,4428 -0,8108 -1,1812 -1,5234 -1,7945 -1,9470 -1,9527 -1,8281 -1,6396 -1,4759 -1,4072 -1,4528 -1,5664 -1,6498 -1,6055 -1,3982 -1,0744 -0,7359 -0,4930 -0,4196 -0,5299 -0,7859 -1,1218 -1,4666 -1,7683 -2,0149 -2,2229 -2,4013 -2,5507 -2,6929 -2,8633 -3,0599 -3,2127 -3,2169 -3,0008 -2,5774 -2,0461 -1,5423 -1,1635 -0,9232 -0,7662 -0,6276 -0,4880 -0,3816 -0,3483 -0,3780 -0,4050 -0,3560 -0,2087 -0,0205 0,0950 0,0351 -0,2336 -0,6780 -1,2322 -1,8097 -2,3025 -2,6122 -2,6968 -2,5880 -2,3736 -2,1658 -2,0653 -2,1311 -2,3715 -2,7491 -3,1869 -3,5698 -3,7647 -3,6678 -3,2583 -2,6269 -1,9622 -1,4803 -1,3182 -1,4696 -1,8098 -2,1727 -2,4103 -2,4135 -2,1186 -1,5237 -0,7028 0,2076 1,0588 1,7503 2,2595 2,6342 2,9625 3,3309 3,7764 4,2507 4,6211 4,7370 4,5334 4,0922 3,6052 3,2712 3,2113 3,4480 3,9189 4,4928 5,0072 5,3380 5,4522 5,3928 5,2229 5,0035 4,8171 4,7732 4,9637 5,4010 5,9928 6,5815 7,0193 7,2227 7,1846 6,9588 6,6348 6,3165 6,0983 6,0291 6,0835 6,1746 6,1946 6,0572 5,7258 5,2179 4,5884 3,9103 3,2641 2,7271 2,3388 2,0600 1,7803 1,3823 0,8107 0,0972 -0,6682 -1,3872 -1,9911 -2,4505 -2,7622 -2,9382 -3,0146 -3,0610 -3,1616 -3,3740 -3,7021 -4,1055 -4,5239 -4,8870 -5,1088 -5,0932 -4,7714 -4,1533 -3,3375 -2,4673 -1,6748 -1,0496 -0,6293 -0,4043 -0,3342 -0,3751 -0,4986 -0,6846 -0,8942 -1,0487 -1,0514 -0,8479 -0,4695 -0,0181 0,3963 0,7125 0,9249 1,0520 1,1121 1,1272 1,1203 1,0846 0,9629 0,6803 0,2002 -0,4560 -1,2263 -2,0294 -2,7755 -3,3818 -3,7915 -3,9906 -4,0135 -3,9279 -3,7985 -3,6596 -3,5171 -3,3706 -3,2318 -3,1214 -3,0481 -2,9947 -2,9227 -2,7885 -2,5619 -2,2385 -1,8373 -1,3882 -0,9159 -0,4353 0,0262 0,4101 0,6621 0,7836 0,8323 0,8835 1,0039 1,2440 1,6209 2,0948 2,5702 2,9310 3,0865 3,0014 2,6891 2,1789 1,5063 0,7427 0,0159 -0,5336 -0,8339 -0,9238 -0,9231 -0,9697 -1,1579 -1,4923 -1,8784 -2,1681 -2,2375 -2,0431 -1,6270 -1,0918 -0,5754 -0,2240 -0,1483 -0,3854 -0,8915 -1,5660 -2,2869 -2,9421 -3,4502 -3,7534 -3,7985 -3,5450 -2,9953 -2,2061 -1,2705 -0,2874 0,6611 1,5213 2,2622 2,8670 3,3357 3,6969 4,0060 4,3178 4,6556 4,9990 5,2878 5,4439 5,4158 5,2085 4,8636 4,4204 3,9015 3,3212 2,7028 2,0961 1,5741 1,2044 1,0275 1,0492 1,2350 1,5264 1,8728 2,2450 2,6180 2,9516 3,1940 3,2980 3,2365 3,0143 2,6606 2,1964 1,6176 0,9235 0,1710 -0,5072 -0,9475 -1,0410 -0,7907 -0,2918 0,3384 1,0119 1,6730 2,2841 2,8172 3,2460 3,5343 3,6368 3,5234 3,2073 2,7563 2,2890 1,9584 1,9131 2,2292 2,8485 3,5775 4,1627 4,3983 4,1999 3,6124 2,7713 1,8475 0,9988 0,3414 -0,0605 -0,2066 -0,1671 -0,0588 0,0087 -0,0293 -0,1927 -0,4675 -0,8097 -1,1455 -1,3826 -1,4366 -1,2673 -0,8926 -0,3658 0,2586 0,9322 1,6017 2,2046 2,6748 2,9515 2,9973 2,8178 2,4614 1,9937 1,4754 0,9555 0,4751 0,0699 -0,2250 -0,3699 -0,3260 -0,0838 0,3089 0,7568 1,1625 1,4600 1,6229 1,6614 1,6095 1,5102 1,4067 1,3378 1,3269 1,3687 1,4379 1,5298 1,6803 1,9249 2,2382 2,5290 2,7039 2,7445 2,7225 2,7426 2,8631 3,0623 3,2666 3,4075 3,4663 3,4829 3,5210 3,6149 3,7330 3,7896 3,7037 3,4519 3,0724 2,6392 2,2426 1,9745 1,8991 2,0230 2,2933 2,6286 2,9621 3,2609 3,5124 3,7067 3,8275 3,8503 3,7638 3,6050 3,4482 3,3467 3,2980 3,2604 3,1844 3,0455 2,8798 2,7873 2,8889 3,2642 3,9019 4,6856 5,4360 5,9804 6,2064 6,0800 5,6382 4,9649 4,1595 3,3164 2,5187 1,8364 1,3103 0,9423 0,7184 0,6394 0,7169 0,9476 1,3086 1,7717 2,3065 2,8679 3,3929 3,8159 4,0984 4,2551 4,3376 4,3847 4,4064 4,4309 4,5328 4,7763 5,1463 5,5562 5,9039 6,1063 6,1070 5,8916 5,5105 5,0812 4,7502 4,6275 4,7425 5,0428 5,4174 5,7446 5,9666 6,1330 6,3585 6,7367 7,2776 7,8904 8,4112 8,6662 8,5424 8,0257 7,1965 6,1973 5,1900 4,3132 3,6505 3,2226 3,0042 2,9472 2,9925 3,0719 3,1230 3,1166 3,0730 3,0471 3,0905 3,2197 3,4078 3,5925 3,6945 3,6498 3,4375 3,0873 2,6678 2,2587 1,9212 1,6933 1,6035 1,6525 1,7786 1,8661 1,8002 1,5172 1,0262 0,4005 -0,2576 -0,8598 -1,3606 -1,7616 -2,0922 -2,3750 -2,6111 -2,7960 -2,9315 -3,0227 -3,0816 -3,1356 -3,2221 -3,3695 -3,5717 -3,7752 -3,9000 -3,8743 -3,6451 -3,1782 -2,4840 -1,6525 -0,8334 -0,1619 0,2886 0,4983 0,4923 0,3456 0,1611 0,0202 -0,0507 -0,0734 -0,0889 -0,1182 -0,1326 -0,0713 0,1000
Fz    0,8241 0,7354 0,5819 0,3364 -0,0051 -0,4120 -0,8202 -1,1471 -1,3180 -1,2948 -1,0861 -0,7328 -0,2902 0,1816 0,6266 1,0053 1,3002 1,5146 1,6661 1,7783 1,8725 1,9601 2,0415 2,1119 2,1690 2,2132 2,2385 2,2240 2,1381 1,9559 1,6747 1,3152 0,9079 0,4808 0,0537 -0,3628 -0,7689 -1,1696 -1,5623 -1,9281 -2,2369 -2,4574 -2,5673 -2,5652 -2,4781 -2,3515 -2,2264 -2,1232 -2,0403 -1,9633 -1,8792 -1,7855 -1,6890 -1,6009 -1,5315 -1,4854 -1,4595 -1,4470 -1,4392 -1,4242 -1,3900 -1,3296 -1,2426 -1,1336 -1,0094 -0,8756 -0,7355 -0,5885 -0,4301 -0,2588 -0,0855 0,0644 0,1581 0,1686 0,0837 -0,0919 -0,3403 -0,6348 -0,9416 -1,2279 -1,4750 -1,6780 -1,8334 -1,9394 -2,0067 -2,0544 -2,0919 -2,1076 -2,0779 -1,9849 -1,8307 -1,6367 -1,4315 -1,2404 -1,0783 -0,9475 -0,8407 -0,7478 -0,6606 -0,5703 -0,4621 -0,3187 -0,1335 0,0804 0,2923 0,4699 0,5963 0,6759 0,7260 0,7656 0,8111 0,8747 0,9598 1,0566 1,1419 1,1853 1,1579 1,0430 0,8424 0,5748 0,2653 -0,0596 -0,3669 -0,6155 -0,7701 -0,8196 -0,7856 -0,7124 -0,6446 -0,6025 -0,5782 -0,5508 -0,4997 -0,4059 -0,2511 -0,0210 0,2866 0,6531 1,0399 1,4055 1,7261 2,0022 2,2549 2,5186 2,8294 3,2090 3,6491 4,1106 4,5420 4,9078 5,2046 5,4550 5,6900 5,9343 6,1991 6,4780 6,7447 6,9627 7,1047 7,1638 7,1455 7,0563 6,9088 6,7344 6,5805 6,4920 6,4935 6,5840 6,7455 6,9528 7,1800 7,4051 7,6155 7,8077 7,9824 8,1422 8,2850 8,3934 8,4321 8,3579 8,1384 7,7666 7,2613 6,6575 5,9998 5,3400 4,7268 4,1882 3,7196 3,2920 2,8737 2,4505 2,0360 1,6638 1,3685 1,1650 1,0419 0,9701 0,9170 0,8577 0,7765 0,6651 0,5237 0,3597 0,1798 -0,0188 -0,2461 -0,5044 -0,7738 -1,0148 -1,1866 -1,2654 -1,2475 -1,1440 -0,9746 -0,7600 -0,5169 -0,2534 0,0317 0,3451 0,6951 1,0905 1,5411 2,0529 2,6161 3,1945 3,7309 4,1680 4,4693 4,6217 4,6271 4,4996 4,2707 3,9866 3,6910 3,4100 3,1513 2,9149 2,7009 2,5097 2,3420 2,2026 2,1052 2,0693 2,1126 2,2399 2,4358 2,6670 2,8911 3,0640 3,1469 3,1171 2,9795 2,7671 2,5267 2,3023 2,1262 2,0168 1,9770 1,9970 2,0632 2,1702 2,3231 2,5239 2,7573 2,9983 3,2297 3,4455 3,6432 3,8228 3,9913 4,1602 4,3320 4,4914 4,6087 4,6534 4,6081 4,4725 4,2607 4,0004 3,7320 3,5012 3,3415 3,2586 3,2268 3,2028 3,1428 3,0176 2,8192 2,5606 2,2666 1,9613 1,6579 1,3583 1,0599 0,7611 0,4638 0,1747 -0,0923 -0,3177 -0,4816 -0,5688 -0,5689 -0,4762 -0,2875 0,0002 0,3857 0,8569 1,3885 1,9450 2,4833 2,9600 3,3464 3,6401 3,8648 4,0624 4,2780 4,5402 4,8468 5,1694 5,4688 5,7096 5,8639 5,9149 5,8621 5,7205 5,5145 5,2709 5,0142 4,7642 4,5387 4,3545 4,2263 4,1621 4,1559 4,1849 4,2179 4,2299 4,2082 4,1461 4,0317 3,8511 3,6042 3,3132 3,0163 2,7530 2,5459 2,3892 2,2553 2,1190 1,9778 1,8546 1,7834 1,7901 1,8841 2,0629 2,3191 2,6390 2,9986 3,3673 3,7140 4,0131 4,2492 4,4199 4,5346 4,6112 4,6721 4,7379 4,8223 4,9263 5,0320 5,1023 5,0954 4,9840 4,7627 4,4437 4,0506 3,6157 3,1759 2,7686 2,4263 2,1685 1,9973 1,9034 1,8768 1,9126 2,0050 2,1373 2,2817 2,4124 2,5210 2,6174 2,7175 2,8310 2,9598 3,1019 3,2504 3,3891 3,4931 3,5398 3,5200 3,4426 3,3306 3,2094 3,0937 2,9836 2,8700 2,7473 2,6208 2,5029 2,4044 2,3317 2,2902 2,2820 2,3043 2,3504 2,4106 2,4744 2,5362 2,5952 2,6522 2,7124 2,7923 2,9165 3,1013 3,3450 3,6330 3,9438 4,2498 4,5144 4,6967 4,7685 4,7326 4,6238 4,4902 4,3737 4,3012 4,2868 4,3382 4,4586 4,6426 4,8718 5,1141 5,3299 5,4800 5,5389 5,5054 5,4034 5,2723 5,1519 5,0661 5,0160 4,9864 4,9585 4,9239 4,8950 4,9016 4,9758 5,1356 5,3749 5,6638 5,9611 6,2351 6,4703 6,6585 6,7926 6,8689 6,8880 6,8514 6,7650 6,6488 6,5409 6,4877 6,5211 6,6371 6,7964 6,9450 7,0382 7,0548 6,9982 6,8863 6,7416 6,5865 6,4432 6,3315 6,2621 6,2324 6,2340 6,2634 6,3225 6,4131 6,5383 6,7076 6,9338 7,2197 7,5466 7,8762 8,1618 8,3626 8,4516 8,4168 8,2646 8,0296 7,7719 7,5510 7,4031 7,3418 7,3658 7,4546 7,5639 7,6414 7,6532 7,5990 7,5063 7,4133 7,3522 7,3392 7,3705 7,4278 7,4967 7,5816 7,7022 7,8748 8,0929 8,3176 8,4856 8,5298 8,4073 8,1164 7,6965 7,2138 6,7396 6,3320 6,0275 5,8403 5,7651 5,7823 5,8597 5,9547 6,0244 6,0435 6,0175 5,9792 5,9658 5,9942 6,0488 6,0872 6,0588 5,9266 5,6864 5,3703 5,0344 4,7349 4,5078 4,3654 4,3026 4,2974 4,3094 4,2893 4,1984 4,0211 3,7665 3,4629 3,1468 2,8467 2,5700 2,3017 2,0161 1,6924 1,3240 0,9147 0,4744 0,0177 -0,4377 -0,8740 -1,2742 -1,6201 -1,8882 -2,0496 -2,0747 -1,9431 -1,6511 -1,2159 -0,6789 -0,1042 0,4356 0,8795 1,1866 1,3324 1,3093 1,1362 0,8619 0,5529 0,2722 0,0642 -0,0464 -0,0450 0,0795 0,3253 0,6664
F3    1,5836 1,6038 1,4888 1,2189 0,8026 0,2889 -0,2332 -0,6550 -0,8833 -0,8771 -0,6595 -0,2979 0,1247 0,5317 0,8675 1,1090 1,2687 1,3837 1,4956 1,6290 1,7809 1,9242 2,0253 2,0663 2,0569 2,0223 1,9787 1,9161 1,7995 1,5899 1,2719 0,8615 0,3925 -0,0991 -0,5811 -1,0288 -1,4297 -1,7824 -2,0889 -2,3484 -2,5562 -2,7004 -2,7620 -2,7289 -2,6140 -2,4550 -2,2908 -2,1405 -2,0018 -1,8685 -1,7470 -1,6561 -1,6156 -1,6358 -1,7084 -1,8040 -1,8847 -1,9222 -1,9012 -1,8125 -1,6514 -1,4221 -1,1433 -0,8481 -0,5782 -0,3750 -0,2649 -0,2455 -0,2858 -0,3424 -0,3810 -0,3898 -0,3814 -0,3869 -0,4416 -0,5686 -0,7654 -1,0023 -1,2355 -1,4314 -1,5847 -1,7118 -1,8303 -1,9495 -2,0763 -2,2147 -2,3563 -2,4772 -2,5493 -2,5590 -2,5170 -2,4501 -2,3839 -2,3316 -2,2909 -2,2450 -2,1749 -2,0770 -1,9633 -1,8406 -1,6985 -1,5180 -1,2910 -1,0333 -0,7830 -0,5844 -0,4667 -0,4333 -0,4672 -0,5450 -0,6473 -0,7587 -0,8676 -0,9679 -1,0584 -1,1419 -1,2275 -1,3297 -1,4580 -1,6120 -1,7869 -1,9741 -2,1491 -2,2679 -2,2836 -2,1690 -1,9311 -1,6145 -1,2873 -1,0152 -0,8392 -0,7715 -0,7990 -0,8860 -0,9799 -1,0209 -0,9573 -0,7661 -0,4629 -0,0906 0,3037 0,6859 1,0436 1,3884 1,7460 2,1382 2,5618 2,9821 3,3540 3,6558 3,9063 4,1523 4,4387 4,7843 5,1804 5,6002 6,0046 6,3464 6,5843 6,6993 6,6979 6,6039 6,4570 6,3129 6,2310 6,2485 6,3612 6,5301 6,7086 6,8643 6,9858 7,0807 7,1698 7,2769 7,4236 7,6244 7,8733 8,1319 8,3323 8,3979 8,2723 7,9398 7,4213 6,7562 5,9914 5,1826 4,3904 3,6625 3,0176 2,4459 1,9277 1,4564 1,0489 0,7362 0,5424 0,4669 0,4809 0,5401 0,6016 0,6329 0,6117 0,5254 0,3757 0,1774 -0,0484 -0,2834 -0,5126 -0,7210 -0,8900 -0,9982 -1,0333 -1,0059 -0,9437 -0,8695 -0,7861 -0,6802 -0,5324 -0,3245 -0,0414 0,3235 0,7618 1,2513 1,7695 2,3013 2,8319 3,3343 3,7654 4,0784 4,2384 4,2266 4,0448 3,7199 3,3006 2,8397 2,3732 1,9145 1,4700 1,0556 0,6931 0,3978 0,1769 0,0346 -0,0225 0,0164 0,1629 0,4157 0,7470 1,1049 1,4299 1,6747 1,8148 1,8487 1,7915 1,6684 1,5076 1,3351 1,1763 1,0561 0,9966 1,0138 1,1146 1,2942 1,5365 1,8120 2,0797 2,3042 2,4739 2,5987 2,6958 2,7860 2,8923 3,0272 3,1785 3,3162 3,4089 3,4328 3,3756 3,2355 3,0173 2,7318 2,4025 2,0695 1,7792 1,5637 1,4280 1,3552 1,3215 1,3030 1,2791 1,2362 1,1685 1,0739 0,9458 0,7747 0,5581 0,3039 0,0221 -0,2797 -0,5878 -0,8770 -1,1175 -1,2828 -1,3560 -1,3313 -1,2087 -0,9831 -0,6417 -0,1723 0,4229 1,1136 1,8384 2,5203 3,0951 3,5326 3,8393 4,0511 4,2175 4,3807 4,5580 4,7379 4,8932 4,9988 5,0433 5,0296 4,9665 4,8570 4,6946 4,4719 4,1919 3,8747 3,5602 3,2993 3,1334 3,0773 3,1137 3,2004 3,2879 3,3380 3,3316 3,2634 3,1334 2,9473 2,7240 2,4986 2,3117 2,1905 2,1335 2,1064 2,0585 1,9557 1,8014 1,6318 1,4921 1,4161 1,4231 1,5264 1,7362 2,0509 2,4458 2,8748 3,2830 3,6216 3,8561 3,9730 3,9868 3,9392 3,8838 3,8655 3,9100 4,0221 4,1804 4,3335 4,4136 4,3665 4,1688 3,8255 3,3659 2,8451 2,3345 1,8971 1,5645 1,3304 1,1653 1,0405 0,9432 0,8795 0,8645 0,9068 1,0003 1,1286 1,2790 1,4473 1,6310 1,8204 2,0003 2,1562 2,2747 2,3411 2,3465 2,2929 2,1908 2,0547 1,8992 1,7340 1,5630 1,3881 1,2169 1,0650 0,9499 0,8836 0,8734 0,9279 1,0539 1,2448 1,4753 1,7060 1,8946 2,0105 2,0485 2,0286 1,9802 1,9294 1,8996 1,9167 2,0038 2,1689 2,4011 2,6762 2,9609 3,2129 3,3846 3,4422 3,3889 3,2690 3,1470 3,0773 3,0857 3,1712 3,3195 3,5156 3,7504 4,0149 4,2857 4,5193 4,6670 4,6977 4,6123 4,4393 4,2197 3,9915 3,7799 3,5943 3,4328 3,2935 3,1891 3,1528 3,2245 3,4276 3,7542 4,1627 4,5868 4,9596 5,2400 5,4193 5,5092 5,5274 5,4888 5,4038 5,2802 5,1304 4,9750 4,8420 4,7641 4,7669 4,8504 4,9850 5,1274 5,2399 5,2995 5,2981 5,2389 5,1309 4,9844 4,8128 4,6398 4,4952 4,4007 4,3639 4,3851 4,4626 4,5948 4,7818 5,0273 5,3353 5,7029 6,1165 6,5505 6,9692 7,3350 7,6170 7,7916 7,8447 7,7828 7,6344 7,4326 7,2042 6,9750 6,7724 6,6145 6,5007 6,4166 6,3494 6,3014 6,2874 6,3215 6,4096 6,5517 6,7397 6,9543 7,1728 7,3828 7,5871 7,7944 8,0017 8,1828 8,2909 8,2771 8,1123 7,7975 7,3616 6,8544 6,3365 5,8641 5,4757 5,1891 5,0059 4,9146 4,8905 4,9003 4,9110 4,9034 4,8835 4,8770 4,9091 4,9834 5,0745 5,1389 5,1341 5,0373 4,8530 4,6110 4,3550 4,1222 3,9281 3,7706 3,6466 3,5554 3,4883 3,4247 3,3405 3,2193 3,0641 2,9002 2,7643 2,6791 2,6310 2,5688 2,4276 2,1592 1,7487 1,2084 0,5679 -0,1283 -0,8273 -1,4789 -2,0419 -2,4836 -2,7757 -2,8946 -2,8286 -2,5822 -2,1735 -1,6328 -1,0140 -0,4032 0,1018 0,4297 0,5482 0,4520 0,1623 -0,2642 -0,7436 -1,1935 -1,5558 -1,8034 -1,9334 -1,9503 -1,8487 -1,6151 -1,2457
F7    0,7439 0,5119 0,2395 -0,0514 -0,3326 -0,5690 -0,7235 -0,7619 -0,6598 -0,4170 -0,0659 0,3409 0,7463 1,1002 1,3682 1,5380 1,6171 1,6276 1,6013 1,5726 1,5683 1,6001 1,6636 1,7444 1,8253 1,8894 1,9171 1,8846 1,7686 1,5591 1,2698 0,9338 0,5846 0,2410 -0,0963 -0,4412 -0,8145 -1,2288 -1,6732 -2,1121 -2,4995 -2,7897 -2,9432 -2,9385 -2,7873 -2,5320 -2,2253 -1,9073 -1,5956 -1,2915 -0,9904 -0,6888 -0,3870 -0,0917 0,1849 0,4271 0,6177 0,7410 0,7899 0,7714 0,7056 0,6177 0,5257 0,4342 0,3410 0,2483 0,1682 0,1172 0,1053 0,1245 0,1463 0,1325 0,0521 -0,1076 -0,3374 -0,6064 -0,8708 -1,0885 -1,2323 -1,2953 -1,2895 -1,2398 -1,1757 -1,1265 -1,1203 -1,1769 -1,2933 -1,4387 -1,5662 -1,6349 -1,6273 -1,5486 -1,4158 -1,2487 -1,0672 -0,8894 -0,7299 -0,6017 -0,5132 -0,4616 -0,4325 -0,4049 -0,3612 -0,3013 -0,2520 -0,2562 -0,3462 -0,5277 -0,7814 -1,0720 -1,3604 -1,6135 -1,8107 -1,9462 -2,0286 -2,0755 -2,1049 -2,1241 -2,1309 -2,1289 -2,1376 -2,1790 -2,2512 -2,3211 -2,3418 -2,2804 -2,1369 -1,9463 -1,7573 -1,6025 -1,4851 -1,3888 -1,2903 -1,1629 -0,9816 -0,7298 -0,4058 -0,0269 0,3742 0,7633 1,1195 1,4407 1,7387 2,0329 2,3451 2,6914 3,0708 3,4613 3,8306 4,1524 4,4163 4,6254 4,7883 4,9122 5,0065 5,0881 5,1742 5,2724 5,3793 5,4867 5,5793 5,6320 5,6223 5,5500 5,4399 5,3275 5,2416 5,1978 5,2015 5,2515 5,3394 5,4517 5,5746 5,6983 5,8171 5,9259 6,0139 6,0615 6,0430 5,9325 5,7114 5,3795 4,9597 4,4920 4,0209 3,5850 3,2094 2,8984 2,6343 2,3865 2,1318 1,8680 1,6167 1,4131 1,2853 1,2348 1,2336 1,2402 1,2212 1,1625 1,0652 0,9341 0,7720 0,5812 0,3689 0,1496 -0,0610 -0,2510 -0,4116 -0,5319 -0,6007 -0,6114 -0,5658 -0,4743 -0,3527 -0,2184 -0,0882 0,0277 0,1321 0,2382 0,3599 0,5047 0,6735 0,8653 1,0797 1,3127 1,5497 1,7665 1,9362 2,0362 2,0542 1,9934 1,8719 1,7121 1,5251 1,3066 1,0522 0,7735 0,4978 0,2553 0,0712 -0,0369 -0,0581 0,0093 0,1572 0,3679 0,6161 0,8728 1,1081 1,2949 1,4123 1,4496 1,4115 1,3223 1,2155 1,1174 1,0421 0,9990 0,9957 1,0348 1,1108 1,2156 1,3428 1,4817 1,6147 1,7301 1,8355 1,9499 2,0869 2,2472 2,4210 2,5891 2,7227 2,7925 2,7862 2,7176 2,6183 2,5206 2,4427 2,3854 2,3380 2,2882 2,2248 2,1352 2,0051 1,8234 1,5897 1,3177 1,0344 0,7708 0,5493 0,3770 0,2475 0,1461 0,0562 -0,0359 -0,1396 -0,2573 -0,3789 -0,4823 -0,5434 -0,5502 -0,5050 -0,4148 -0,2798 -0,0922 0,1559 0,4631 0,8138 1,1803 1,5292 1,8291 2,0574 2,2066 2,2862 2,3198 2,3347 2,3515 2,3796 2,4198 2,4675 2,5159 2,5567 2,5827 2,5897 2,5751 2,5361 2,4693 2,3704 2,2363 2,0722 1,8941 1,7206 1,5629 1,4215 1,2925 1,1797 1,0995 1,0707 1,0949 1,1460 1,1797 1,1586 1,0706 0,9285 0,7574 0,5796 0,4079 0,2509 0,1240 0,0540 0,0707 0,1929 0,4198 0,7328 1,1039 1,5041 1,9064 2,2874 2,6269 2,9062 3,1071 3,2156 3,2277 3,1494 2,9955 2,7868 2,5471 2,3020 2,0733 1,8704 1,6859 1,5015 1,2987 1,0629 0,7873 0,4790 0,1637 -0,1218 -0,3445 -0,4849 -0,5413 -0,5279 -0,4704 -0,3998 -0,3429 -0,3133 -0,3086 -0,3154 -0,3134 -0,2782 -0,1894 -0,0420 0,1504 0,3645 0,5783 0,7767 0,9512 1,1009 1,2311 1,3491 1,4596 1,5611 1,6430 1,6875 1,6754 1,5932 1,4395 1,2288 0,9898 0,7581 0,5664 0,4352 0,3695 0,3622 0,3991 0,4595 0,5200 0,5644 0,5896 0,6024 0,6162 0,6513 0,7294 0,8622 1,0427 1,2480 1,4517 1,6330 1,7759 1,8677 1,9024 1,8889 1,8520 1,8260 1,8404 1,9068 2,0153 2,1405 2,2517 2,3246 2,3452 2,3045 2,1940 2,0084 1,7541 1,4557 1,1537 0,8945 0,7186 0,6517 0,7023 0,8579 1,0841 1,3346 1,5690 1,7637 1,9115 2,0174 2,0938 2,1573 2,2282 2,3276 2,4647 2,6213 2,7578 2,8375 2,8495 2,8134 2,7709 2,7699 2,8437 2,9932 3,1830 3,3518 3,4356 3,3947 3,2309 2,9838 2,7078 2,4469 2,2217 2,0336 1,8772 1,7532 1,6693 1,6341 1,6580 1,7542 1,9255 2,1487 2,3799 2,5733 2,6957 2,7356 2,7090 2,6572 2,6313 2,6753 2,8103 3,0260 3,2916 3,5808 3,8856 4,2042 4,5268 4,8373 5,1209 5,3633 5,5471 5,6561 5,6865 5,6510 5,5717 5,4685 5,3583 5,2605 5,1949 5,1750 5,2078 5,2970 5,4382 5,6142 5,7969 5,9532 6,0481 6,0492 5,9347 5,7024 5,3740 4,9943 4,6217 4,3114 4,0952 3,9747 3,9315 3,9415 3,9814 4,0259 4,0487 4,0314 3,9691 3,8661 3,7276 3,5582 3,3632 3,1471 2,9146 2,6743 2,4396 2,2245 2,0409 1,8968 1,7961 1,7394 1,7253 1,7426 1,7636 1,7479 1,6533 1,4470 1,1171 0,6821 0,1862 -0,3206 -0,8034 -1,2483 -1,6550 -2,0242 -2,3482 -2,6111 -2,7957 -2,8918 -2,9048 -2,8576 -2,7850 -2,7199 -2,6799 -2,6642 -2,6577 -2,6378 -2,5787 -2,4615 -2,2866 -2,0785 -1,8708 -1,6822 -1,5143 -1,3711 -1,2661 -1,2106 -1,2032 -1,2300 -1,2735 -1,3186 -1,3516 -1,3538 -1,3007 -1,1736 -0,9741
