Fp1   0,6919 0,6574 0,6052 0,5310 0,4548 0,3975 0,3710 0,3842 0,4407 0,5350 0,6514 0,7639 0,8470 0,8965 0,9297 0,9555 0,9510 0,8844 0,7596 0,6240 0,5321 0,5126 0,5616 0,6507 0,7496 0,8453 0,9337 1,0001 1,0185 0,9671 0,8421 0,6591 0,4433 0,2124 -0,0330 -0,2974 -0,5710 -0,8358 -1,0910 -1,3557 -1,6451 -1,9443 -2,2043 -2,3645 -2,3825 -2,2496 -1,9941 -1,6809 -1,3965 -1,2144 -1,1641 -1,2243 -1,3397 -1,4434 -1,4796 -1,4207 -1,2699 -1,0497 -0,7910 -0,5312 -0,3259 -0,2451 -0,3322 -0,5655 -0,8659 -1,1352 -1,2978 -1,3287 -1,2505 -1,1112 -0,9669 -0,8738 -0,8729 -0,9694 -1,1281 -1,2932 -1,4176 -1,4807 -1,4893 -1,4659 -1,4283 -1,3778 -1,3096 -1,2293 -1,1484 -1,0657 -0,9636 -0,8256 -0,6579 -0,5020 -0,4300 -0,5138 -0,7796 -1,1827 -1,6317 -2,0464 -2,3935 -2,6820 -2,9387 -3,1892 -3,4534 -3,7467 -4,0702 -4,4009 -4,7068 -4,9689 -5,1829 -5,3494 -5,4715 -5,5499 -5,5730 -5,5206 -5,3807 -5,1640 -4,9009 -4,6213 -4,3356 -4,0366 -3,7136 -3,3616 -2,9881 -2,6114 -2,2479 -1,9036 -1,5756 -1,2498 -0,9008 -0,5114 -0,0880 0,3535 0,8026 1,2422 1,6347 1,9334 2,1068 2,1584 2,1308 2,0862 2,0797 2,1480 2,3024 2,5233 2,7752 3,0312 3,2792 3,5148 3,7387 3,9429 4,0917 4,1397 4,0763 3,9430 3,8134 3,7611 3,8263 3,9946 4,2065 4,3840 4,4564 4,3857 4,1827 3,8979 3,5938 3,3194 3,0954 2,9213 2,7929 2,7050 2,6403 2,5643 2,4441 2,2727 2,0764 1,8946 1,7518 1,6451 1,5440 1,3998 1,1714 0,8612 0,5273 0,2533 0,0915 0,0357 0,0549 0,1385 0,2856 0,4619 0,5920 0,6007 0,4569 0,1842 -0,1553 -0,4868 -0,7479 -0,9021 -0,9356 -0,8511 -0,6641 -0,4026 -0,1105 0,1616 0,3719 0,4917 0,5064 0,4233 0,2692 0,0820 -0,0939 -0,2184 -0,2743 -0,2738 -0,2467 -0,2247 -0,2292 -0,2676 -0,3385 -0,4361 -0,5472 -0,6531 -0,7469 -0,8451 -0,9787 -1,1631 -1,3745 -1,5618 -1,6800 -1,7113 -1,6623 -1,5526 -1,4173 -1,3090 -1,2775 -1,3415 -1,4808 -1,6603 -1,8592 -2,0692 -2,2708 -2,4295 -2,5125 -2,5074 -2,4360 -2,3580 -2,3486 -2,4537 -2,6625 -2,9325 -3,2278 -3,5273 -3,8121 -4,0636 -4,2685 -4,4185 -4,5091 -4,5386 -4,5085 -4,4301 -4,3274 -4,2247 -4,1385 -4,0863 -4,0910 -4,1645 -4,2912 -4,4286 -4,5184 -4,5040 -4,3576 -4,1009 -3,7963 -3,5171 -3,3181 -3,2179 -3,1983 -3,2190 -3,2392 -3,2357 -3,2070 -3,1574 -3,0801 -2,9524 -2,7468 -2,4593 -2,1348 -1,8472 -1,6497 -1,5535 -1,5443 -1,5999 -1,6898 -1,7727 -1,8079 -1,7850 -1,7358 -1,7069 -1,7203 -1,7599 -1,7875 -1,7710 -1,7017 -1,5925 -1,4640 -1,3332 -1,2098 -1,0979 -1,0008 -0,9250 -0,8838 -0,9079 -1,0483 -1,3489 -1,8014 -2,3293 -2,8250 -3,2086 -3,4588 -3,5943 -3,6341 -3,5801 -3,4333 -3,2122 -2,9537 -2,7044 -2,5040 -2,3677 -2,2835 -2,2238 -2,1606 -2,0791 -1,9873 -1,9119 -1,8754 -1,8724 -1,8717 -1,8443 -1,7883 -1,7299 -1,7020 -1,7209 -1,7760 -1,8299 -1,8353 -1,7704 -1,6527 -1,5145 -1,3732 -1,2245 -1,0499 -0,8280 -0,5619 -0,2992 -0,1073 -0,0271 -0,0514 -0,1299 -0,1896 -0,1642 -0,0191 0,2347 0,5383 0,8068 0,9681 0,9956 0,9078 0,7394 0,5144 0,2478 -0,0311 -0,2676 -0,4082 -0,4339 -0,3627 -0,2335 -0,0991 -0,0233 -0,0661 -0,2566 -0,5683 -0,9190 -1,2125 -1,3936 -1,4658 -1,4652 -1,4285 -1,3767 -1,3152 -1,2489 -1,1862 -1,1221 -1,0331 -0,9062 -0,7605 -0,6292 -0,5393 -0,5182 -0,5985 -0,7972 -1,0926 -1,4288 -1,7468 -2,0083 -2,1897 -2,2681 -2,2340 -2,1096 -1,9390 -1,7624 -1,6009 -1,4580 -1,3319 -1,2258 -1,1440 -1,0816 -1,0296 -0,9929 -0,9910 -1,0412 -1,1515 -1,3217 -1,5377 -1,7749 -2,0199 -2,2722 -2,5179 -2,7188 -2,8351 -2,8519 -2,7834 -2,6485 -2,4475 -2,1687 -1,8164 -1,4282 -1,0688 -0,8054 -0,6794 -0,6951 -0,8282 -1,0422 -1,2994 -1,5690 -1,8361 -2,1057 -2,3855 -2,6549 -2,8640 -2,9656 -2,9435 -2,8130 -2,6132 -2,4038 -2,2510 -2,2012 -2,2650 -2,4230 -2,6375 -2,8596 -3,0347 -3,1193 -3,1016 -3,0078 -2,8881 -2,7889 -2,7332 -2,7203 -2,7402 -2,7904 -2,8754 -2,9889 -3,1041 -3,1846 -3,2060 -3,1715 -3,1071 -3,0403 -2,9807 -2,9220 -2,8565 -2,7906 -2,7468 -2,7432 -2,7820 -2,8655 -3,0037 -3,2021 -3,4599 -3,7718 -4,1192 -4,4685 -4,7875 -5,0545 -5,2573 -5,3995 -5,5062 -5,6083 -5,7207 -5,8427 -5,9685 -6,0864 -6,1780 -6,2342 -6,2642 -6,2812 -6,2876 -6,2724 -6,2180 -6,1163 -5,9816 -5,8405 -5,7097 -5,5871 -5,4563 -5,2984 -5,1064 -4,8904 -4,6604 -4,4135 -4,1418 -3,8523 -3,5746 -3,3544 -3,2387 -3,2534 -3,3791 -3,5414 -3,6373 -3,5954 -3,4169 -3,1628 -2,9117 -2,7175 -2,5879 -2,4976 -2,4230 -2,3621 -2,3252 -2,3173 -2,3307 -2,3506 -2,3611 -2,3461 -2,2953 -2,2064 -2,0834 -1,9378 -1,7922 -1,6818 -1,6544 -1,7634 -2,0431 -2,4841 -3,0369 -3,6323 -4,1970 -4,6653 -4,9966 -5,1904 -5,2877 -5,3522 -5,4361 -5,5505 -5,6682 -5,7572 -5,8015 -5,7971 -5,7488 -5,6744 -5,6002 -5,5429 -5,4924 -5,4211 -5,3141 -5,1883 -5,0832 -5,0313 -5,0382 -5,0892 -5,1721 -5,2880 -5,4396 -5,6141 -5,7840 -5,9230 -6,0139 -6,0487 -6,0352 -5,9998 -5,9792 -6,0129 -6,1333 -6,3503 -6,6379 -6,9328 -7,1558 -7,2479 -7,1962 -7,0314 -6,8018 -6,5494
Fz    1,0984 1,1687 1,2166 1,2254 1,1900 1,1145 1,0132 0,9143 0,8526 0,8543 0,9234 1,0368 1,1539 1,2388 1,2728 1,2447 1,1390 0,9484 0,7001 0,4534 0,2690 0,1868 0,2180 0,3442 0,5249 0,7112 0,8570 0,9306 0,9219 0,8375 0,6905 0,4994 0,2859 0,0625 -0,1773 -0,4472 -0,7468 -1,0595 -1,3707 -1,6750 -1,9690 -2,2392 -2,4607 -2,6030 -2,6407 -2,5618 -2,3775 -2,1319 -1,8971 -1,7411 -1,6896 -1,7174 -1,7722 -1,8021 -1,7711 -1,6653 -1,4939 -1,2813 -1,0579 -0,8577 -0,7205 -0,6868 -0,7788 -0,9875 -1,2744 -1,5836 -1,8612 -2,0732 -2,2082 -2,2690 -2,2691 -2,2333 -2,1895 -2,1519 -2,1167 -2,0791 -2,0470 -2,0368 -2,0620 -2,1263 -2,2214 -2,3299 -2,4347 -2,5252 -2,5951 -2,6349 -2,6331 -2,5877 -2,5188 -2,4720 -2,5040 -2,6560 -2,9299 -3,2841 -3,6520 -3,9791 -4,2485 -4,4739 -4,6770 -4,8722 -5,0659 -5,2631 -5,4705 -5,6928 -5,9324 -6,1943 -6,4840 -6,7974 -7,1204 -7,4362 -7,7250 -7,9608 -8,1202 -8,1938 -8,1813 -8,0791 -7,8793 -7,5820 -7,2010 -6,7570 -6,2734 -5,7769 -5,2914 -4,8314 -4,3980 -3,9722 -3,5193 -3,0165 -2,4697 -1,9021 -1,3359 -0,7924 -0,2961 0,1254 0,4484 0,6727 0,8316 0,9713 1,1223 1,2937 1,4829 1,6853 1,9007 2,1362 2,3985 2,6827 2,9745 3,2561 3,5044 3,6941 3,8167 3,8933 3,9654 4,0705 4,2212 4,3977 4,5594 4,6642 4,6875 4,6294 4,5058 4,3383 4,1561 3,9911 3,8578 3,7438 3,6234 3,4748 3,2832 3,0391 2,7451 2,4234 2,1115 1,8476 1,6517 1,5157 1,4049 1,2710 1,0772 0,8237 0,5531 0,3260 0,1850 0,1377 0,1676 0,2559 0,3862 0,5333 0,6569 0,7102 0,6608 0,5115 0,3036 0,0995 -0,0413 -0,0876 -0,0486 0,0418 0,1569 0,2886 0,4363 0,5945 0,7472 0,8666 0,9243 0,9133 0,8541 0,7771 0,7043 0,6484 0,6129 0,5877 0,5510 0,4820 0,3713 0,2228 0,0509 -0,1238 -0,2780 -0,3920 -0,4618 -0,5107 -0,5813 -0,7057 -0,8785 -1,0630 -1,2161 -1,3042 -1,3072 -1,2236 -1,0773 -0,9182 -0,8074 -0,7922 -0,8832 -1,0522 -1,2555 -1,4509 -1,5970 -1,6572 -1,6180 -1,4978 -1,3360 -1,1786 -1,0739 -1,0590 -1,1409 -1,2993 -1,5114 -1,7620 -2,0371 -2,3204 -2,5927 -2,8295 -3,0081 -3,1217 -3,1857 -3,2303 -3,2834 -3,3558 -3,4460 -3,5541 -3,6815 -3,8133 -3,9113 -3,9270 -3,8233 -3,5879 -3,2377 -2,8186 -2,3925 -2,0153 -1,7191 -1,5118 -1,3847 -1,3192 -1,2943 -1,2950 -1,3110 -1,3268 -1,3151 -1,2408 -1,0753 -0,8180 -0,5104 -0,2182 0,0042 0,1319 0,1617 0,1019 -0,0260 -0,1822 -0,3181 -0,4007 -0,4254 -0,4061 -0,3583 -0,2926 -0,2154 -0,1381 -0,0815 -0,0605 -0,0673 -0,0738 -0,0476 0,0320 0,1660 0,3321 0,4867 0,5755 0,5489 0,3813 0,0911 -0,2583 -0,5889 -0,8490 -1,0322 -1,1619 -1,2601 -1,3342 -1,3864 -1,4238 -1,4518 -1,4657 -1,4530 -1,3979 -1,2851 -1,1030 -0,8525 -0,5559 -0,2577 -0,0091 0,1596 0,2548 0,3055 0,3358 0,3500 0,3376 0,2866 0,1955 0,0791 -0,0303 -0,0954 -0,0965 -0,0389 0,0646 0,2092 0,3957 0,6206 0,8719 1,1261 1,3484 1,5106 1,6078 1,6579 1,6923 1,7452 1,8392 1,9781 2,1490 2,3242 2,4609 2,5157 2,4679 2,3318 2,1450 1,9429 1,7470 1,5742 1,4492 1,3934 1,4048 1,4533 1,4941 1,4837 1,3877 1,1851 0,8790 0,5040 0,1248 -0,1832 -0,3694 -0,4299 -0,3948 -0,3038 -0,1916 -0,0859 -0,0098 0,0210 0,0098 -0,0218 -0,0530 -0,0746 -0,0828 -0,0765 -0,0687 -0,0903 -0,1735 -0,3326 -0,5597 -0,8325 -1,1201 -1,3783 -1,5525 -1,6007 -1,5191 -1,3468 -1,1477 -0,9857 -0,9022 -0,8989 -0,9425 -0,9848 -0,9853 -0,9285 -0,8343 -0,7522 -0,7403 -0,8417 -1,0686 -1,3947 -1,7672 -2,1329 -2,4541 -2,7024 -2,8548 -2,8988 -2,8406 -2,7060 -2,5273 -2,3222 -2,0898 -1,8272 -1,5494 -1,2934 -1,1000 -0,9947 -0,9811 -1,0452 -1,1611 -1,3004 -1,4429 -1,5799 -1,7104 -1,8310 -1,9283 -1,9861 -2,0041 -2,0042 -2,0147 -2,0515 -2,1161 -2,2073 -2,3281 -2,4812 -2,6650 -2,8728 -3,0901 -3,2910 -3,4454 -3,5347 -3,5597 -3,5348 -3,4781 -3,4086 -3,3458 -3,3087 -3,3110 -3,3516 -3,4110 -3,4628 -3,4880 -3,4842 -3,4681 -3,4681 -3,5080 -3,5962 -3,7279 -3,8875 -4,0553 -4,2182 -4,3725 -4,5194 -4,6667 -4,8284 -5,0188 -5,2527 -5,5404 -5,8722 -6,2114 -6,5109 -6,7327 -6,8591 -6,8989 -6,8842 -6,8535 -6,8350 -6,8467 -6,8966 -6,9768 -7,0676 -7,1535 -7,2257 -7,2708 -7,2704 -7,2151 -7,1153 -6,9955 -6,8775 -6,7678 -6,6570 -6,5312 -6,3772 -6,1800 -5,9288 -5,6281 -5,2978 -4,9620 -4,6410 -4,3528 -4,1178 -3,9564 -3,8808 -3,8877 -3,9502 -4,0140 -4,0171 -3,9300 -3,7769 -3,6138 -3,4912 -3,4301 -3,4188 -3,4286 -3,4371 -3,4411 -3,4513 -3,4739 -3,4968 -3,4975 -3,4658 -3,4141 -3,3670 -3,3416 -3,3361 -3,3391 -3,3502 -3,3901 -3,4936 -3,6956 -4,0128 -4,4294 -4,9002 -5,3701 -5,7962 -6,1596 -6,4627 -6,7188 -6,9472 -7,1632 -7,3634 -7,5195 -7,5978 -7,5878 -7,5096 -7,4003 -7,2996 -7,2411 -7,2460 -7,3196 -7,4443 -7,5772 -7,6699 -7,6956 -7,6570 -7,5739 -7,4712 -7,3809 -7,3406 -7,3797 -7,5022 -7,6882 -7,9063 -8,1251 -8,3219 -8,4912 -8,6468 -8,8142 -9,0175 -9,2701 -9,5692 -9,8950 -10,2131 -10,4779 -10,6435 -10,6845 -10,6108 -10,4619 -10,2851 -10,1184
F3    1,3681 1,4743 1,5332 1,5289 1,4704 1,3755 1,2656 1,1702 1,1187 1,1261 1,1861 1,2734 1,3547 1,4042 1,4068 1,3436 1,1869 0,9240 0,5905 0,2656 0,0316 -0,0596 0,0002 0,1763 0,4105 0,6423 0,8191 0,9054 0,8905 0,7837 0,6041 0,3749 0,1194 -0,1507 -0,4373 -0,7423 -1,0528 -1,3477 -1,6168 -1,8647 -2,0979 -2,3108 -2,4831 -2,5876 -2,6015 -2,5159 -2,3456 -2,1345 -1,9456 -1,8303 -1,8023 -1,8361 -1,8880 -1,9157 -1,8919 -1,8128 -1,6965 -1,5658 -1,4326 -1,3014 -1,1907 -1,1409 -1,1908 -1,3494 -1,5898 -1,8618 -2,1127 -2,3076 -2,4332 -2,4909 -2,4913 -2,4549 -2,4064 -2,3616 -2,3200 -2,2754 -2,2316 -2,2039 -2,2094 -2,2563 -2,3375 -2,4322 -2,5194 -2,5899 -2,6437 -2,6755 -2,6728 -2,6296 -2,5616 -2,5092 -2,5236 -2,6412 -2,8618 -3,1465 -3,4381 -3,6955 -3,9111 -4,1002 -4,2811 -4,4643 -4,6537 -4,8552 -5,0763 -5,3156 -5,5616 -5,8063 -6,0531 -6,3092 -6,5768 -6,8463 -7,0942 -7,2916 -7,4209 -7,4807 -7,4762 -7,4040 -7,2475 -6,9911 -6,6321 -6,1838 -5,6733 -5,1386 -4,6148 -4,1208 -3,6566 -3,2082 -2,7566 -2,2895 -1,8036 -1,2989 -0,7791 -0,2606 0,2227 0,6277 0,9247 1,1231 1,2655 1,3919 1,5165 1,6417 1,7785 1,9426 2,1427 2,3792 2,6449 2,9239 3,2010 3,4654 3,6996 3,8777 3,9878 4,0498 4,1042 4,1844 4,2981 4,4279 4,5412 4,5983 4,5618 4,4116 4,1532 3,8199 3,4677 3,1574 2,9274 2,7856 2,7227 2,7216 2,7516 2,7669 2,7276 2,6248 2,4790 2,3170 2,1528 1,9841 1,7952 1,5612 1,2668 0,9298 0,6065 0,3652 0,2434 0,2289 0,2856 0,3877 0,5188 0,6478 0,7222 0,6922 0,5405 0,2935 0,0082 -0,2500 -0,4283 -0,5063 -0,4994 -0,4363 -0,3338 -0,1941 -0,0206 0,1689 0,3419 0,4578 0,4828 0,4090 0,2594 0,0761 -0,0946 -0,2116 -0,2535 -0,2305 -0,1793 -0,1452 -0,1630 -0,2439 -0,3720 -0,5147 -0,6383 -0,7242 -0,7799 -0,8373 -0,9357 -1,0950 -1,2996 -1,5081 -1,6778 -1,7810 -1,8043 -1,7439 -1,6108 -1,4427 -1,2976 -1,2216 -1,2215 -1,2734 -1,3539 -1,4463 -1,5254 -1,5568 -1,5148 -1,3960 -1,2221 -1,0381 -0,9038 -0,8691 -0,9478 -1,1240 -1,3777 -1,6939 -2,0535 -2,4285 -2,7831 -3,0779 -3,2825 -3,3893 -3,4134 -3,3786 -3,3017 -3,1886 -3,0498 -2,9108 -2,7984 -2,7164 -2,6415 -2,5429 -2,4002 -2,2057 -1,9605 -1,6759 -1,3751 -1,0878 -0,8424 -0,6598 -0,5474 -0,4937 -0,4762 -0,4775 -0,4914 -0,5085 -0,5030 -0,4360 -0,2721 -0,0051 0,3229 0,6380 0,8751 1,0004 1,0054 0,8993 0,7140 0,5049 0,3292 0,2153 0,1546 0,1245 0,1139 0,1240 0,1565 0,2032 0,2461 0,2721 0,2862 0,3098 0,3669 0,4720 0,6216 0,7929 0,9480 1,0428 1,0353 0,8999 0,6475 0,3305 0,0202 -0,2305 -0,4101 -0,5414 -0,6524 -0,7575 -0,8613 -0,9660 -1,0689 -1,1598 -1,2226 -1,2356 -1,1751 -1,0255 -0,7909 -0,5000 -0,2006 0,0574 0,2451 0,3676 0,4494 0,5092 0,5483 0,5558 0,5212 0,4424 0,3297 0,2086 0,1140 0,0705 0,0825 0,1474 0,2689 0,4523 0,6953 0,9866 1,2995 1,5883 1,8071 1,9353 1,9847 1,9946 2,0191 2,1055 2,2757 2,5202 2,7982 3,0488 3,2139 3,2639 3,2067 3,0719 2,8841 2,6535 2,3932 2,1367 1,9266 1,7852 1,7037 1,6520 1,5949 1,5015 1,3505 1,1348 0,8722 0,6104 0,4115 0,3158 0,3229 0,4042 0,5246 0,6576 0,7880 0,9033 0,9934 1,0672 1,1510 1,2598 1,3797 1,4840 1,5485 1,5461 1,4450 1,2272 0,9062 0,5228 0,1239 -0,2504 -0,5620 -0,7735 -0,8643 -0,8468 -0,7591 -0,6462 -0,5456 -0,4767 -0,4369 -0,4087 -0,3689 -0,2968 -0,1862 -0,0575 0,0479 0,0917 0,0550 -0,0598 -0,2302 -0,4250 -0,6231 -0,8180 -0,9996 -1,1441 -1,2229 -1,2198 -1,1438 -1,0207 -0,8701 -0,6945 -0,4950 -0,2922 -0,1297 -0,0532 -0,0881 -0,2304 -0,4523 -0,7118 -0,9646 -1,1762 -1,3312 -1,4351 -1,5008 -1,5330 -1,5280 -1,4840 -1,4071 -1,3110 -1,2160 -1,1497 -1,1410 -1,2097 -1,3582 -1,5716 -1,8249 -2,0867 -2,3206 -2,4943 -2,5898 -2,6076 -2,5624 -2,4753 -2,3687 -2,2636 -2,1809 -2,1402 -2,1495 -2,1933 -2,2405 -2,2621 -2,2461 -2,2038 -2,1664 -2,1682 -2,2291 -2,3500 -2,5161 -2,7063 -2,9024 -3,0901 -3,2588 -3,4092 -3,5550 -3,7160 -3,9130 -4,1597 -4,4457 -4,7337 -4,9796 -5,1510 -5,2363 -5,2498 -5,2285 -5,2146 -5,2353 -5,2980 -5,3937 -5,4975 -5,5754 -5,6050 -5,5858 -5,5283 -5,4424 -5,3367 -5,2204 -5,1030 -4,9919 -4,8882 -4,7834 -4,6622 -4,5076 -4,3047 -4,0508 -3,7612 -3,4594 -3,1665 -2,8981 -2,6676 -2,4870 -2,3688 -2,3270 -2,3720 -2,4918 -2,6381 -2,7425 -2,7629 -2,7093 -2,6275 -2,5635 -2,5389 -2,5462 -2,5616 -2,5657 -2,5542 -2,5351 -2,5189 -2,5061 -2,4872 -2,4521 -2,3987 -2,3337 -2,2660 -2,2011 -2,1435 -2,1044 -2,1083 -2,1906 -2,3880 -2,7190 -3,1681 -3,6896 -4,2228 -4,7111 -5,1179 -5,4286 -5,6453 -5,7858 -5,8770 -5,9358 -5,9513 -5,8955 -5,7558 -5,5499 -5,3151 -5,0964 -4,9377 -4,8710 -4,9040 -5,0115 -5,1393 -5,2313 -5,2617 -5,2435 -5,2088 -5,1875 -5,2020 -5,2709 -5,4044 -5,5957 -5,8206 -6,0480 -6,2509 -6,4157 -6,5471 -6,6652 -6,7929 -6,9461 -7,1326 -7,3523 -7,5934 -7,8286 -8,0183 -8,1241 -8,1302 -8,0548 -7,9396 -7,8262 -7,7384
F7    -0,1951 -0,0881 0,0384 0,1718 0,3340 0,5422 0,7822 1,0167 1,2073 1,3315 1,3845 1,3665 1,2848 1,1755 1,0970 1,0820 1,1015 1,0903 1,0117 0,8871 0,7677 0,6947 0,6788 0,7026 0,7458 0,8035 0,8707 0,9243 0,9301 0,8603 0,7056 0,4821 0,2234 -0,0414 -0,3049 -0,5720 -0,8379 -1,0934 -1,3498 -1,6392 -1,9798 -2,3422 -2,6483 -2,8062 -2,7536 -2,4790 -2,0274 -1,4949 -0,9998 -0,6416 -0,4705 -0,4796 -0,6129 -0,7867 -0,9214 -0,9683 -0,9145 -0,7774 -0,5947 -0,4117 -0,2797 -0,2542 -0,3643 -0,5821 -0,8287 -1,0084 -1,0523 -0,9513 -0,7499 -0,5110 -0,2932 -0,1497 -0,1260 -0,2419 -0,4706 -0,7449 -0,9894 -1,1505 -1,2111 -1,1875 -1,1018 -0,9606 -0,7748 -0,5877 -0,4590 -0,4164 -0,4362 -0,4641 -0,4470 -0,3626 -0,2425 -0,1625 -0,1852 -0,3049 -0,4538 -0,5676 -0,6371 -0,7032 -0,8187 -1,0238 -1,3478 -1,8073 -2,3821 -3,0093 -3,6206 -4,1762 -4,6568 -5,0498 -5,3501 -5,5469 -5,6073 -5,4930 -5,1974 -4,7638 -4,2733 -3,8130 -3,4433 -3,1813 -3,0103 -2,8996 -2,8204 -2,7468 -2,6532 -2,5149 -2,3092 -2,0147 -1,6200 -1,1408 -0,6215 -0,1076 0,3765 0,8095 1,1515 1,3632 1,4335 1,3804 1,2407 1,0669 0,9247 0,8812 0,9690 1,1618 1,4044 1,6601 1,9197 2,1860 2,4622 2,7264 2,9088 2,9296 2,7686 2,4898 2,2135 2,0686 2,1317 2,3794 2,7020 2,9627 3,0486 2,9108 2,5929 2,2122 1,8885 1,6802 1,5824 1,5650 1,5989 1,6552 1,6973 1,6828 1,5757 1,3712 1,1091 0,8462 0,6189 0,4336 0,2760 0,1193 -0,0677 -0,2959 -0,5304 -0,7030 -0,7676 -0,7355 -0,6326 -0,4505 -0,1800 0,1209 0,3289 0,3362 0,1269 -0,2239 -0,6079 -0,9371 -1,1636 -1,2654 -1,2266 -1,0400 -0,7180 -0,3002 0,1427 0,5279 0,7930 0,9074 0,8663 0,6803 0,3658 -0,0478 -0,5025 -0,9311 -1,2932 -1,5757 -1,7710 -1,8718 -1,8771 -1,7990 -1,6691 -1,5299 -1,4103 -1,3193 -1,2593 -1,2406 -1,2785 -1,3702 -1,4789 -1,5560 -1,5762 -1,5480 -1,4971 -1,4470 -1,4204 -1,4450 -1,5357 -1,6720 -1,8051 -1,9006 -1,9723 -2,0602 -2,1817 -2,3130 -2,4033 -2,4083 -2,3311 -2,2346 -2,2017 -2,2717 -2,4229 -2,6160 -2,8322 -3,0648 -3,2945 -3,4869 -3,6144 -3,6751 -3,6889 -3,6719 -3,6188 -3,5180 -3,3757 -3,2093 -3,0260 -2,8346 -2,6663 -2,5602 -2,5314 -2,5566 -2,5800 -2,5355 -2,3885 -2,1653 -1,9301 -1,7414 -1,6296 -1,5922 -1,6028 -1,6331 -1,6695 -1,7146 -1,7745 -1,8391 -1,8703 -1,8155 -1,6363 -1,3421 -1,0069 -0,7384 -0,6142 -0,6491 -0,8085 -1,0321 -1,2477 -1,3848 -1,3942 -1,2758 -1,0857 -0,9009 -0,7684 -0,6832 -0,6018 -0,4711 -0,2571 0,0397 0,3869 0,7331 1,0195 1,1936 1,2288 1,1347 0,9423 0,6638 0,2690 -0,2795 -0,9665 -1,7018 -2,3572 -2,8330 -3,1041 -3,2074 -3,1860 -3,0525 -2,8029 -2,4451 -2,0092 -1,5475 -1,1262 -0,8068 -0,6226 -0,5676 -0,6056 -0,6948 -0,8087 -0,9365 -1,0643 -1,1585 -1,1725 -1,0756 -0,8798 -0,6413 -0,4321 -0,3070 -0,2831 -0,3293 -0,3791 -0,3786 -0,3184 -0,2195 -0,1046 0,0149 0,1477 0,3197 0,5419 0,7761 0,9534 1,0236 0,9867 0,8957 0,8318 0,8642 1,0148 1,2465 1,4751 1,6087 1,5886 1,4105 1,1152 0,7536 0,3554 -0,0633 -0,4635 -0,7722 -0,9209 -0,8854 -0,6829 -0,3521 0,0463 0,4214 0,6683 0,7123 0,5507 0,2579 -0,0599 -0,3268 -0,5219 -0,6606 -0,7664 -0,8524 -0,9178 -0,9611 -0,9858 -0,9809 -0,9129 -0,7598 -0,5430 -0,3087 -0,0948 0,0685 0,1495 0,1286 0,0176 -0,1410 -0,3006 -0,4360 -0,5359 -0,5821 -0,5611 -0,4907 -0,4136 -0,3626 -0,3359 -0,3048 -0,2436 -0,1534 -0,0556 0,0307 0,0966 0,1317 0,1241 0,0661 -0,0510 -0,2392 -0,4962 -0,8011 -1,1363 -1,4914 -1,8385 -2,1228 -2,2891 -2,3153 -2,2171 -2,0197 -1,7305 -1,3480 -0,8890 -0,4005 0,0482 0,3864 0,5701 0,6002 0,5087 0,3334 0,1081 -0,1381 -0,3936 -0,6729 -0,9917 -1,3246 -1,5982 -1,7323 -1,6839 -1,4594 -1,1096 -0,7216 -0,3934 -0,1961 -0,1547 -0,2577 -0,4731 -0,7480 -1,0075 -1,1808 -1,2431 -1,2310 -1,2167 -1,2600 -1,3773 -1,5403 -1,7002 -1,8241 -1,9141 -1,9839 -2,0302 -2,0327 -1,9747 -1,8606 -1,7177 -1,5812 -1,4728 -1,3954 -1,3487 -1,3503 -1,4281 -1,5846 -1,7878 -2,0047 -2,2272 -2,4640 -2,7268 -3,0191 -3,3248 -3,6145 -3,8630 -4,0521 -4,1667 -4,2072 -4,2000 -4,1823 -4,1781 -4,1965 -4,2417 -4,3095 -4,3848 -4,4561 -4,5261 -4,6020 -4,6783 -4,7320 -4,7307 -4,6530 -4,5050 -4,3127 -4,0969 -3,8570 -3,5771 -3,2504 -2,9011 -2,5728 -2,2932 -2,0599 -1,8582 -1,6832 -1,5478 -1,4807 -1,5130 -1,6513 -1,8566 -2,0448 -2,1177 -2,0159 -1,7472 -1,3723 -0,9696 -0,6007 -0,2848 -0,0098 0,2257 0,3914 0,4482 0,3806 0,2062 -0,0379 -0,3044 -0,5423 -0,7079 -0,7758 -0,7439 -0,6381 -0,5063 -0,4038 -0,3856 -0,5030 -0,7847 -1,2176 -1,7566 -2,3445 -2,9156 -3,4015 -3,7543 -3,9676 -4,0756 -4,1318 -4,1796 -4,2300 -4,2668 -4,2767 -4,2634 -4,2326 -4,1803 -4,1044 -4,0128 -3,9022 -3,7411 -3,4943 -3,1646 -2,8078 -2,5110 -2,3486 -2,3413 -2,4563 -2,6433 -2,8663 -3,1042 -3,3293 -3,5053 -3,6154 -3,6737 -3,7115 -3,7600 -3,8388 -3,9514 -4,0979 -4,2848 -4,5167 -4,7773 -5,0191 -5,1791 -5,2103 -5,1026 -4,8807 -4,5821 -4,2355
