Fp1   1,5131 1,3805 1,2449 1,0909 0,8939 0,6435 0,3494 0,0338 -0,2744 -0,5455 -0,7534 -0,8733 -0,8812 -0,7671 -0,5567 -0,3099 -0,0828 0,1124 0,2997 0,4942 0,6814 0,8368 0,9463 1,0091 1,0337 1,0282 0,9917 0,9173 0,7985 0,6337 0,4317 0,2126 0,0023 -0,1763 -0,3085 -0,3896 -0,4265 -0,4356 -0,4366 -0,4471 -0,4802 -0,5393 -0,6207 -0,7224 -0,8442 -0,9846 -1,1449 -1,3287 -1,5295 -1,7207 -1,8607 -1,9086 -1,8444 -1,6882 -1,4971 -1,3391 -1,2663 -1,3013 -1,4268 -1,5858 -1,7057 -1,7388 -1,6848 -1,5830 -1,4835 -1,4201 -1,4027 -1,4233 -1,4597 -1,4832 -1,4752 -1,4355 -1,3704 -1,2849 -1,1863 -1,0883 -1,0053 -0,9435 -0,8984 -0,8604 -0,8219 -0,7860 -0,7767 -0,8346 -0,9995 -1,2929 -1,7082 -2,2081 -2,7315 -3,2073 -3,5756 -3,8063 -3,9112 -3,9357 -3,9329 -3,9403 -3,9690 -3,9983 -3,9867 -3,9110 -3,7998 -3,7224 -3,7495 -3,9272 -4,2701 -4,7625 -5,3623 -6,0021 -6,5954 -7,0555 -7,3205 -7,3745 -7,2543 -7,0323 -6,7795 -6,5338 -6,2911 -6,0198 -5,6729 -5,1908 -4,5158 -3,6179 -2,5104 -1,2479 0,0852 1,3955 2,6110 3,6989 4,6663 5,5467 6,3732 7,1480 7,8376 8,4025 8,8307 9,1396 9,3618 9,5331 9,6822 9,8207 9,9347 9,9868 9,9313 9,7366 9,4073 8,9912 8,5645 8,2118 8,0114 8,0187 8,2439 8,6420 9,1210 9,5698 9,8953 10,0430 9,9953 9,7675 9,4125 9,0111 8,6375 8,3280 8,0813 7,8783 7,6943 7,5041 7,2927 7,0683 6,8566 6,6767 6,5300 6,4082 6,2971 6,1669 5,9710 5,6617 5,2234 4,7009 4,1908 3,7919 3,5626 3,5168 3,6289 3,8309 4,0240 4,1099 4,0184 3,7220 3,2450 2,6646 2,0892 1,6166 1,2982 1,1329 1,0849 1,1097 1,1776 1,2788 1,4077 1,5531 1,7017 1,8434 1,9707 2,0811 2,1816 2,2903 2,4222 2,5734 2,7270 2,8732 3,0209 3,1935 3,4112 3,6666 3,9177 4,1103 4,2105 4,2249 4,1951 4,1647 4,1535 4,1629 4,1882 4,2079 4,1724 4,0277 3,7478 3,3416 2,8475 2,3298 1,8692 1,5459 1,4142 1,4754 1,6734 1,9148 2,1030 2,1768 2,1329 2,0174 1,8920 1,8025 1,7606 1,7446 1,7149 1,6350 1,4866 1,2723 1,0108 0,7304 0,4662 0,2557 0,1288 0,1003 0,1689 0,3147 0,4975 0,6709 0,8055 0,8971 0,9602 1,0209 1,1065 1,2309 1,3875 1,5508 1,6852 1,7564 1,7445 1,6487 1,4792 1,2396 0,9179 0,5002 -0,0007 -0,5403 -1,0677 -1,5364 -1,9047 -2,1493 -2,2777 -2,3181 -2,2988 -2,2379 -2,1463 -2,0267 -1,8701 -1,6672 -1,4274 -1,1804 -0,9603 -0,7991 -0,7235 -0,7388 -0,8174 -0,9191 -1,0202 -1,1102 -1,1686 -1,1620 -1,0633 -0,8684 -0,5981 -0,2934 -0,0120 0,1872 0,2708 0,2536 0,2038 0,2170 0,3675 0,6682 1,0636 1,4549 1,7394 1,8443 1,7469 1,4789 1,1120 0,7331 0,4205 0,2210 0,1400 0,1516 0,2181 0,3032 0,3797 0,4335 0,4637 0,4762 0,4728 0,4486 0,3952 0,2991 0,1426 -0,0826 -0,3630 -0,6711 -0,9799 -1,2624 -1,4858 -1,6174 -1,6332 -1,5224 -1,2952 -0,9885 -0,6529 -0,3316 -0,0527 0,1644 0,3079 0,3806 0,4003 0,3880 0,3565 0,3033 0,2134 0,0823 -0,0586 -0,1466 -0,1260 0,0101 0,2062 0,3686 0,4170 0,3324 0,1616 -0,0275 -0,1919 -0,3241 -0,4435 -0,5871 -0,7904 -1,0661 -1,3990 -1,7545 -2,0870 -2,3483 -2,4955 -2,4947 -2,3321 -2,0318 -1,6540 -1,2633 -0,8984 -0,5745 -0,3009 -0,0872 0,0671 0,1780 0,2643 0,3317 0,3729 0,3785 0,3472 0,2888 0,2203 0,1619 0,1309 0,1330 0,1587 0,1896 0,2115 0,2262 0,2493 0,3008 0,3958 0,5384 0,7152 0,8997 1,0703 1,2229 1,3531 1,4306 1,4052 1,2402 0,9333 0,5142 0,0325 -0,4543 -0,8922 -1,2359 -1,4544 -1,5458 -1,5424 -1,4934 -1,4411 -1,4086 -1,3917 -1,3625 -1,2872 -1,1466 -0,9530 -0,7513 -0,5999 -0,5489 -0,6258 -0,8185 -1,0679 -1,2835 -1,3757 -1,2879 -1,0225 -0,6531 -0,3030 -0,0863 -0,0520 -0,1721 -0,3647 -0,5282 -0,5818 -0,4981 -0,3093 -0,0830 0,1115 0,2309 0,2703 0,2549 0,2130 0,1485 0,0378 -0,1546 -0,4545 -0,8607 -1,3416 -1,8467 -2,3220 -2,7220 -3,0198 -3,2128 -3,3216 -3,3794 -3,4187 -3,4654 -3,5452 -3,6954 -3,9551 -4,3337 -4,7900 -5,2541 -5,6704 -6,0196 -6,3139 -6,5844 -6,8685 -7,1963 -7,5735 -7,9690 -8,3190 -8,5490 -8,6098 -8,5020 -8,2679 -7,9606 -7,6222 -7,2727 -6,9038 -6,4838 -5,9780 -5,3664 -4,6528 -3,8619 -3,0286 -2,1912 -1,3918 -0,6680 -0,0412 0,4864 0,9375 1,3657 1,8308 2,3498 2,8762 3,3283 3,6300 3,7364 3,6477 3,4044 3,0650 2,6845 2,3107 1,9871 1,7454 1,5909 1,4956 1,4077 1,2716 1,0573 0,7790 0,4869 0,2366 0,0604 -0,0425 -0,1011 -0,1591 -0,2563 -0,4104 -0,6101 -0,8298 -1,0576 -1,3037 -1,5847 -1,9079 -2,2668 -2,6392 -2,9903 -3,2892 -3,5237 -3,7037 -3,8583 -4,0248 -4,2258 -4,4579 -4,7039 -4,9519 -5,1987 -5,4406 -5,6649 -5,8515 -5,9848 -6,0650 -6,1036 -6,1134 -6,1110 -6,1245 -6,1891 -6,3275 -6,5298 -6,7509 -6,9277 -7,0045 -6,9507 -6,7687 -6,5027 -6,2350 -6,0537 -6,0056 -6,0700 -6,1772 -6,2536 -6,2583 -6,1952 -6,1015 -6,0257 -6,0056 -6,0484 -6,1267 -6,1910 -6,1862 -6,0672 -5,8138 -5,4424 -5,0106 -4,6004 -4,2851 -4,1082 -4,0808 -4,1879 -4,4001 -4,6921
Fz    2,1385 2,0139 1,8742 1,7279 1,5844 1,4499 1,3215 1,1853 1,0232 0,8213 0,5774 0,3052 0,0327 -0,2087 -0,3955 -0,5179 -0,5774 -0,5820 -0,5408 -0,4655 -0,3718 -0,2731 -0,1769 -0,0860 0,0007 0,0871 0,1737 0,2528 0,3126 0,3441 0,3464 0,3316 0,3214 0,3343 0,3745 0,4309 0,4786 0,4814 0,4012 0,2113 -0,0938 -0,4951 -0,9545 -1,4210 -1,8392 -2,1635 -2,3735 -2,4749 -2,4885 -2,4385 -2,3445 -2,2165 -2,0552 -1,8588 -1,6292 -1,3770 -1,1223 -0,8910 -0,7055 -0,5765 -0,5010 -0,4678 -0,4668 -0,4915 -0,5329 -0,5749 -0,6024 -0,6134 -0,6177 -0,6239 -0,6362 -0,6569 -0,6826 -0,7017 -0,7003 -0,6724 -0,6244 -0,5688 -0,5146 -0,4655 -0,4227 -0,3852 -0,3540 -0,3422 -0,3759 -0,4774 -0,6484 -0,8699 -1,1156 -1,3642 -1,5996 -1,8041 -1,9597 -2,0545 -2,0860 -2,0626 -2,0097 -1,9645 -1,9562 -1,9953 -2,0810 -2,2072 -2,3591 -2,5139 -2,6496 -2,7557 -2,8386 -2,9216 -3,0367 -3,2089 -3,4380 -3,6946 -3,9352 -4,1215 -4,2296 -4,2476 -4,1715 -4,0009 -3,7337 -3,3669 -2,8993 -2,3319 -1,6669 -0,9090 -0,0663 0,8488 1,8172 2,8154 3,8215 4,8192 5,7947 6,7337 7,6228 8,4498 9,2027 9,8653 10,4150 10,8216 11,0522 11,0843 10,9189 10,5848 10,1364 9,6446 9,1790 8,7856 8,4761 8,2374 8,0542 7,9208 7,8385 7,8092 7,8342 7,9113 8,0276 8,1540 8,2482 8,2676 8,1902 8,0209 7,7838 7,5106 7,2344 6,9819 6,7663 6,5829 6,4152 6,2478 6,0773 5,9128 5,7684 5,6546 5,5736 5,5219 5,4951 5,4852 5,4808 5,4791 5,4924 5,5363 5,6175 5,7355 5,8823 6,0352 6,1568 6,2106 6,1759 6,0521 5,8545 5,6070 5,3381 5,0785 4,8601 4,7143 4,6662 4,7267 4,8880 5,1265 5,4082 5,6978 5,9674 6,2018 6,4016 6,5785 6,7433 6,8977 7,0307 7,1230 7,1611 7,1505 7,1143 7,0813 7,0709 7,0829 7,1003 7,1030 7,0804 7,0364 6,9838 6,9328 6,8857 6,8478 6,8370 6,8731 6,9553 7,0514 7,1068 7,0681 6,9146 6,6704 6,3897 6,1370 5,9697 5,9212 5,9932 6,1599 6,3812 6,6133 6,8143 6,9476 6,9904 6,9433 6,8281 6,6723 6,4939 6,2941 6,0624 5,7877 5,4679 5,1125 4,7426 4,3911 4,0976 3,8963 3,8047 3,8164 3,8983 4,0020 4,0849 4,1258 4,1266 4,1072 4,0930 4,1015 4,1314 4,1633 4,1687 4,1236 4,0150 3,8409 3,6083 3,3355 3,0580 2,8254 2,6824 2,6460 2,6963 2,7902 2,8836 2,9445 2,9558 2,9136 2,8260 2,7112 2,5940 2,5006 2,4518 2,4514 2,4824 2,5201 2,5532 2,5880 2,6393 2,7226 2,8481 3,0129 3,1974 3,3690 3,4925 3,5414 3,5087 3,4097 3,2765 3,1463 3,0477 2,9961 2,9961 3,0499 3,1647 3,3514 3,6139 3,9386 4,2935 4,6336 4,9110 5,0881 5,1482 5,1006 4,9777 4,8231 4,6775 4,5727 4,5325 4,5743 4,7077 4,9278 5,2068 5,4962 5,7446 5,9146 5,9866 5,9603 5,8554 5,7027 5,5252 5,3288 5,1113 4,8761 4,6417 4,4420 4,3168 4,2974 4,3960 4,6039 4,8943 5,2281 5,5628 5,8649 6,1132 6,2901 6,3804 6,3797 6,3005 6,1665 5,9998 5,8105 5,5984 5,3608 5,0991 4,8260 4,5701 4,3679 4,2467 4,2105 4,2436 4,3224 4,4233 4,5199 4,5806 4,5734 4,4779 4,2977 4,0652 3,8318 3,6463 3,5372 3,5069 3,5380 3,6058 3,6863 3,7603 3,8141 3,8451 3,8649 3,8952 3,9544 4,0438 4,1457 4,2357 4,2968 4,3256 4,3321 4,3349 4,3529 4,3975 4,4690 4,5568 4,6433 4,7124 4,7579 4,7863 4,8156 4,8739 4,9937 5,1987 5,4928 5,8590 6,2606 6,6420 6,9453 7,1355 7,2079 7,1710 7,0318 6,7986 6,4898 6,1286 5,7322 5,3132 4,8886 4,4818 4,1173 3,8154 3,5879 3,4360 3,3537 3,3309 3,3539 3,4082 3,4829 3,5726 3,6743 3,7794 3,8687 3,9176 3,9040 3,8096 3,6217 3,3442 3,0055 2,6538 2,3479 2,1412 2,0606 2,0996 2,2324 2,4349 2,6931 2,9988 3,3448 3,7222 4,1172 4,5137 4,8987 5,2636 5,5992 5,8902 6,1151 6,2476 6,2612 6,1396 5,8872 5,5279 5,0954 4,6252 4,1541 3,7166 3,3352 3,0184 2,7662 2,5764 2,4473 2,3788 2,3740 2,4345 2,5462 2,6714 2,7602 2,7738 2,6992 2,5450 2,3280 2,0641 1,7710 1,4710 1,1842 0,9218 0,6843 0,4648 0,2536 0,0415 -0,1750 -0,3877 -0,5760 -0,7109 -0,7637 -0,7155 -0,5602 -0,2981 0,0715 0,5533 1,1522 1,8646 2,6704 3,5329 4,4074 5,2465 6,0011 6,6315 7,1244 7,4971 7,7817 8,0078 8,1922 8,3369 8,4340 8,4775 8,4680 8,4099 8,3110 8,1854 8,0563 7,9528 7,9007 7,9112 7,9736 8,0554 8,1130 8,1099 8,0303 7,8824 7,6963 7,5131 7,3669 7,2689 7,2042 7,1465 7,0745 6,9773 6,8513 6,6993 6,5308 6,3575 6,1910 6,0487 5,9530 5,9188 5,9375 5,9718 5,9657 5,8681 5,6614 5,3727 5,0605 4,7836 4,5737 4,4300 4,3342 4,2707 4,2323 4,2156 4,2147 4,2179 4,2067 4,1570 4,0468 3,8670 3,6284 3,3595 3,0953 2,8654 2,6882 2,5717 2,5180 2,5221 2,5683 2,6305 2,6852 2,7201 2,7323 2,7234 2,6992 2,6732 2,6664 2,6987 2,7782 2,8936 3,0135 3,1025 3,1410 3,1326 3,0975 3,0585 3,0322 3,0279 3,0487 3,0910 3,1435 3,1906 3,2133
F3    1,6817 1,5707 1,4852 1,4099 1,3209 1,2081 1,0829 0,9655 0,8683 0,7875 0,7038 0,5920 0,4322 0,2130 -0,0692 -0,4054 -0,7654 -1,0930 -1,3204 -1,3961 -1,3049 -1,0673 -0,7295 -0,3494 0,0257 0,3741 0,6919 0,9716 1,1892 1,3150 1,3352 1,2625 1,1252 0,9495 0,7513 0,5376 0,3086 0,0592 -0,2160 -0,5179 -0,8397 -1,1655 -1,4707 -1,7256 -1,9004 -1,9739 -1,9451 -1,8333 -1,6655 -1,4640 -1,2462 -1,0286 -0,8269 -0,6552 -0,5253 -0,4493 -0,4406 -0,5051 -0,6262 -0,7553 -0,8253 -0,7821 -0,6168 -0,3743 -0,1321 0,0407 0,1087 0,0704 -0,0534 -0,2302 -0,4215 -0,5847 -0,6762 -0,6664 -0,5611 -0,4024 -0,2442 -0,1218 -0,0404 0,0140 0,0581 0,1000 0,1330 0,1338 0,0701 -0,0843 -0,3334 -0,6559 -1,0149 -1,3664 -1,6629 -1,8609 -1,9363 -1,8967 -1,7769 -1,6219 -1,4720 -1,3543 -1,2802 -1,2567 -1,2972 -1,4127 -1,5927 -1,8056 -2,0129 -2,1824 -2,3006 -2,3757 -2,4303 -2,4872 -2,5563 -2,6322 -2,7060 -2,7779 -2,8599 -2,9622 -3,0801 -3,1907 -3,2603 -3,2524 -3,1351 -2,8857 -2,4895 -1,9375 -1,2272 -0,3634 0,6410 1,7693 3,0034 4,3131 5,6421 6,9083 8,0235 8,9209 9,5713 9,9808 10,1769 10,1925 10,0545 9,7812 9,3875 8,8900 8,3152 7,7097 7,1425 6,6909 6,4140 6,3395 6,4661 6,7665 7,1888 7,6609 8,1034 8,4502 8,6620 8,7203 8,6129 8,3380 7,9218 7,4259 6,9277 6,4904 6,1467 5,9000 5,7347 5,6237 5,5343 5,4367 5,3130 5,1595 4,9873 4,8203 4,6880 4,6123 4,5965 4,6195 4,6451 4,6488 4,6353 4,6260 4,6396 4,6880 4,7758 4,8906 4,9949 5,0327 4,9499 4,7233 4,3823 4,0045 3,6836 3,4900 3,4497 3,5502 3,7596 4,0386 4,3479 4,6539 4,9300 5,1562 5,3165 5,3994 5,4049 5,3501 5,2641 5,1807 5,1287 5,1163 5,1257 5,1279 5,1023 5,0468 4,9773 4,9176 4,8878 4,8997 4,9571 5,0562 5,1848 5,3191 5,4254 5,4803 5,4910 5,4851 5,4787 5,4572 5,3811 5,2095 4,9287 4,5625 4,1598 3,7769 3,4606 3,2374 3,1139 3,0882 3,1557 3,3041 3,5034 3,7070 3,8668 3,9562 3,9802 3,9630 3,9253 3,8680 3,7744 3,6235 3,4012 3,1077 2,7627 2,4042 2,0752 1,8097 1,6246 1,5166 1,4622 1,4286 1,3883 1,3259 1,2452 1,1799 1,1845 1,3015 1,5352 1,8512 2,1935 2,4991 2,7059 2,7575 2,6126 2,2589 1,7284 1,0990 0,4750 -0,0492 -0,4219 -0,6368 -0,7183 -0,7048 -0,6380 -0,5514 -0,4575 -0,3482 -0,2125 -0,0539 0,1109 0,2597 0,3691 0,4235 0,4265 0,3993 0,3706 0,3701 0,4216 0,5318 0,6814 0,8348 0,9582 1,0312 1,0493 1,0228 0,9751 0,9314 0,9003 0,8675 0,8127 0,7388 0,6857 0,7158 0,8765 1,1679 1,5362 1,8957 2,1627 2,2802 2,2267 2,0187 1,7099 1,3796 1,1105 0,9641 0,9661 1,1071 1,3514 1,6435 1,9156 2,1035 2,1689 2,1099 1,9524 1,7381 1,5134 1,3165 1,1664 1,0635 0,9995 0,9638 0,9435 0,9240 0,8943 0,8546 0,8193 0,8125 0,8562 0,9607 1,1257 1,3458 1,6077 1,8791 2,1052 2,2214 2,1818 1,9852 1,6776 1,3292 1,0063 0,7548 0,5931 0,5139 0,4976 0,5254 0,5806 0,6418 0,6864 0,7028 0,6930 0,6593 0,5904 0,4638 0,2628 -0,0077 -0,3133 -0,5938 -0,7868 -0,8593 -0,8248 -0,7281 -0,6066 -0,4653 -0,2913 -0,0862 0,1242 0,3057 0,4362 0,5109 0,5364 0,5265 0,5071 0,5105 0,5591 0,6540 0,7805 0,9211 1,0649 1,2063 1,3368 1,4446 1,5247 1,5874 1,6560 1,7567 1,9112 2,1317 2,4144 2,7337 3,0486 3,3170 3,5103 3,6186 3,6489 3,6137 3,5207 3,3726 3,1780 2,9564 2,7262 2,4904 2,2399 1,9692 1,6896 1,4270 1,2075 1,0375 0,8990 0,7658 0,6267 0,4956 0,4065 0,3990 0,5035 0,7290 1,0512 1,4045 1,6968 1,8414 1,7842 1,5178 1,0859 0,5759 0,0993 -0,2358 -0,3535 -0,2371 0,0608 0,4416 0,8074 1,0999 1,3101 1,4624 1,5892 1,7148 1,8576 2,0387 2,2776 2,5744 2,8943 3,1706 3,3266 3,3078 3,1091 2,7744 2,3688 1,9472 1,5435 1,1755 0,8513 0,5749 0,3506 0,1837 0,0758 0,0217 0,0114 0,0334 0,0734 0,1064 0,0979 0,0210 -0,1270 -0,3268 -0,5572 -0,8137 -1,1070 -1,4448 -1,8149 -2,1872 -2,5298 -2,8177 -3,0333 -3,1683 -3,2272 -3,2282 -3,1948 -3,1453 -3,0831 -2,9950 -2,8599 -2,6624 -2,3946 -2,0500 -1,6233 -1,1190 -0,5557 0,0361 0,6237 1,1828 1,7004 2,1743 2,6135 3,0412 3,4870 3,9657 4,4612 4,9296 5,3104 5,5437 5,5938 5,4637 5,1913 4,8347 4,4624 4,1436 3,9290 3,8335 3,8358 3,8894 3,9391 3,9394 3,8726 3,7518 3,6134 3,5041 3,4629 3,4974 3,5740 3,6374 3,6446 3,5821 3,4559 3,2739 3,0418 2,7702 2,4793 2,1966 1,9546 1,7848 1,7038 1,6988 1,7298 1,7431 1,6935 1,5674 1,3902 1,2096 1,0702 0,9949 0,9787 0,9961 1,0156 1,0086 0,9526 0,8381 0,6718 0,4665 0,2262 -0,0535 -0,3693 -0,6949 -0,9832 -1,1814 -1,2471 -1,1626 -0,9461 -0,6506 -0,3477 -0,1066 0,0281 0,0513 -0,0092 -0,1192 -0,2584 -0,4180 -0,5843 -0,7283 -0,8149 -0,8217 -0,7484 -0,6109 -0,4303 -0,2236 0,0008 0,2395 0,4852 0,7232 0,9366 1,1105 1,2333 1,2961 1,2893 1,1942
F7    1,3782 1,2962 1,2298 1,1643 1,0765 0,9466 0,7660 0,5435 0,3079 0,0996 -0,0449 -0,1042 -0,0773 0,0125 0,1225 0,2088 0,2465 0,2398 0,2122 0,1855 0,1699 0,1729 0,2038 0,2667 0,3545 0,4483 0,5213 0,5472 0,5101 0,4114 0,2715 0,1224 -0,0070 -0,1033 -0,1709 -0,2207 -0,2610 -0,3003 -0,3533 -0,4368 -0,5594 -0,7163 -0,8921 -1,0656 -1,2167 -1,3348 -1,4243 -1,5010 -1,5803 -1,6661 -1,7442 -1,7865 -1,7677 -1,6836 -1,5562 -1,4233 -1,3204 -1,2652 -1,2531 -1,2581 -1,2417 -1,1768 -1,0749 -0,9831 -0,9507 -0,9980 -1,1167 -1,2860 -1,4801 -1,6691 -1,8261 -1,9332 -1,9802 -1,9619 -1,8817 -1,7540 -1,6006 -1,4473 -1,3195 -1,2339 -1,1904 -1,1716 -1,1628 -1,1765 -1,2534 -1,4343 -1,7312 -2,1161 -2,5270 -2,8870 -3,1269 -3,2053 -3,1193 -2,9023 -2,6080 -2,2919 -1,9985 -1,7487 -1,5371 -1,3517 -1,1983 -1,1003 -1,0835 -1,1669 -1,3562 -1,6406 -1,9969 -2,3982 -2,8195 -3,2357 -3,6166 -3,9276 -4,1431 -4,2663 -4,3338 -4,3903 -4,4516 -4,4910 -4,4530 -4,2785 -3,9278 -3,3955 -2,7110 -1,9292 -1,1110 -0,3057 0,4561 1,1682 1,8489 2,5252 3,2045 3,8593 4,4405 4,9038 5,2251 5,4046 5,4711 5,4789 5,4906 5,5530 5,6750 5,8216 5,9364 5,9783 5,9402 5,8473 5,7414 5,6656 5,6561 5,7390 5,9224 6,1874 6,4857 6,7515 6,9244 6,9642 6,8518 6,5920 6,2219 5,8035 5,3983 5,0465 4,7649 4,5586 4,4306 4,3801 4,3980 4,4670 4,5617 4,6534 4,7203 4,7535 4,7520 4,7141 4,6296 4,4742 4,2210 3,8700 3,4683 3,0954 2,8269 2,7066 2,7334 2,8609 3,0172 3,1370 3,1863 3,1639 3,0899 2,9945 2,9069 2,8415 2,7933 2,7512 2,7132 2,6884 2,6880 2,7173 2,7724 2,8432 2,9223 3,0119 3,1246 3,2745 3,4626 3,6686 3,8566 3,9903 4,0528 4,0550 4,0248 3,9879 3,9551 3,9170 3,8485 3,7235 3,5352 3,3072 3,0836 2,9024 2,7778 2,7076 2,6915 2,7314 2,8144 2,9015 2,9346 2,8620 2,6718 2,4050 2,1358 1,9384 1,8591 1,8980 2,0074 2,1151 2,1565 2,0946 1,9215 1,6552 1,3373 1,0271 0,7839 0,6449 0,6126 0,6606 0,7504 0,8408 0,8924 0,8788 0,8029 0,6975 0,6042 0,5527 0,5514 0,5861 0,6273 0,6475 0,6351 0,5926 0,5294 0,4613 0,4104 0,3965 0,4240 0,4803 0,5457 0,6049 0,6507 0,6780 0,6768 0,6342 0,5470 0,4290 0,3034 0,1840 0,0663 -0,0611 -0,2061 -0,3825 -0,6152 -0,9206 -1,2845 -1,6593 -1,9824 -2,1965 -2,2595 -2,1514 -1,8838 -1,4979 -1,0480 -0,5891 -0,1712 0,1660 0,3989 0,5199 0,5343 0,4607 0,3323 0,1862 0,0470 -0,0817 -0,2112 -0,3534 -0,5085 -0,6612 -0,7900 -0,8719 -0,8768 -0,7685 -0,5281 -0,1782 0,2171 0,5735 0,8152 0,8983 0,8207 0,6214 0,3671 0,1299 -0,0359 -0,1064 -0,0894 -0,0166 0,0690 0,1232 0,1122 0,0244 -0,1185 -0,2715 -0,3959 -0,4797 -0,5345 -0,5832 -0,6472 -0,7383 -0,8578 -1,0036 -1,1722 -1,3491 -1,4997 -1,5788 -1,5521 -1,4158 -1,2021 -0,9638 -0,7450 -0,5592 -0,3961 -0,2471 -0,1219 -0,0406 -0,0143 -0,0357 -0,0903 -0,1744 -0,2970 -0,4593 -0,6377 -0,7907 -0,8856 -0,9225 -0,9356 -0,9714 -1,0607 -1,2021 -1,3664 -1,5172 -1,6298 -1,6949 -1,7164 -1,7152 -1,7282 -1,7942 -1,9363 -2,1530 -2,4170 -2,6815 -2,8930 -3,0066 -3,0015 -2,8875 -2,6969 -2,4618 -2,1987 -1,9150 -1,6247 -1,3537 -1,1291 -0,9693 -0,8803 -0,8513 -0,8537 -0,8546 -0,8353 -0,7956 -0,7458 -0,6941 -0,6389 -0,5728 -0,4911 -0,3984 -0,3059 -0,2221 -0,1484 -0,0807 -0,0144 0,0490 0,1013 0,1341 0,1482 0,1498 0,1371 0,0958 0,0134 -0,1081 -0,2567 -0,4209 -0,5895 -0,7440 -0,8552 -0,8885 -0,8206 -0,6642 -0,4743 -0,3216 -0,2558 -0,2891 -0,3964 -0,5279 -0,6317 -0,6790 -0,6769 -0,6576 -0,6520 -0,6719 -0,7157 -0,7771 -0,8406 -0,8746 -0,8377 -0,7000 -0,4644 -0,1745 0,0981 0,2800 0,3271 0,2473 0,0980 -0,0464 -0,1330 -0,1499 -0,1198 -0,0773 -0,0451 -0,0231 0,0068 0,0671 0,1676 0,2977 0,4318 0,5367 0,5773 0,5273 0,3815 0,1583 -0,1088 -0,3835 -0,6340 -0,8410 -1,0070 -1,1515 -1,2928 -1,4361 -1,5785 -1,7209 -1,8705 -2,0337 -2,2064 -2,3730 -2,5182 -2,6393 -2,7469 -2,8599 -3,0023 -3,2032 -3,4876 -3,8560 -4,2725 -4,6800 -5,0277 -5,2851 -5,4361 -5,4707 -5,3874 -5,2035 -4,9513 -4,6589 -4,3334 -3,9647 -3,5442 -3,0780 -2,5886 -2,1106 -1,6793 -1,3154 -1,0206 -0,7792 -0,5591 -0,3166 -0,0160 0,3451 0,7308 1,0851 1,3549 1,5087 1,5479 1,5034 1,4154 1,3194 1,2441 1,2153 1,2509 1,3480 1,4756 1,5827 1,6149 1,5324 1,3243 1,0164 0,6671 0,3520 0,1364 0,0491 0,0699 0,1388 0,1880 0,1752 0,0968 -0,0203 -0,1361 -0,2180 -0,2555 -0,2619 -0,2637 -0,2805 -0,3139 -0,3565 -0,4131 -0,5106 -0,6797 -0,9266 -1,2279 -1,5487 -1,8618 -2,1570 -2,4376 -2,7080 -2,9589 -3,1638 -3,2896 -3,3152 -3,2453 -3,1148 -2,9787 -2,8955 -2,9076 -3,0251 -3,2211 -3,4395 -3,6090 -3,6624 -3,5636 -3,3328 -3,0471 -2,8088 -2,6973 -2,7359 -2,8936 -3,1093 -3,3153 -3,4561 -3,5021 -3,4579 -3,3576 -3,2429 -3,1407 -3,0517 -2,9522 -2,8066 -2,5870 -2,2900 -1,9431 -1,6006 -1,3264 -1,1714 -1,1563 -1,2700 -1,4796 -1,7440
