Fp1   1,2354 1,1295 0,9437 0,6726 0,3569 0,0568 -0,1785 -0,3213 -0,3577 -0,2840 -0,1138 0,1198 0,3673 0,5730 0,6926 0,7115 0,6490 0,5493 0,4644 0,4313 0,4558 0,5131 0,5674 0,5961 0,6004 0,5947 0,5917 0,6014 0,6377 0,7088 0,7963 0,8447 0,7774 0,5362 0,1218 -0,3916 -0,8845 -1,2408 -1,3892 -1,3244 -1,1068 -0,8474 -0,6732 -0,6731 -0,8521 -1,1332 -1,4043 -1,5757 -1,6115 -1,5334 -1,4041 -1,2986 -1,2674 -1,3063 -1,3540 -1,3303 -1,1835 -0,9063 -0,5194 -0,0573 0,4258 0,8532 1,1425 1,2330 1,1140 0,8397 0,5086 0,2074 -0,0319 -0,2145 -0,3442 -0,4232 -0,4739 -0,5310 -0,6170 -0,7361 -0,8814 -1,0326 -1,1504 -1,1907 -1,1406 -1,0445 -0,9893 -1,0530 -1,2641 -1,6058 -2,0439 -2,5394 -3,0451 -3,5110 -3,8944 -4,1626 -4,2954 -4,2880 -4,1519 -3,9131 -3,6120 -3,3018 -3,0393 -2,8705 -2,8129 -2,8435 -2,9069 -2,9428 -2,9169 -2,8337 -2,7244 -2,6293 -2,5908 -2,6456 -2,8128 -3,0891 -3,4517 -3,8604 -4,2589 -4,5734 -4,7136 -4,5922 -4,1662 -3,4746 -2,6402 -1,8259 -1,1680 -0,7239 -0,4623 -0,2917 -0,0990 0,2166 0,7177 1,4176 2,2800 3,2230 4,1319 4,8956 5,4480 5,7836 5,9452 6,0001 6,0111 6,0136 6,0118 5,9986 5,9779 5,9717 6,0082 6,1031 6,2482 6,4094 6,5351 6,5768 6,5110 6,3419 6,0906 5,7873 5,4718 5,1843 4,9543 4,8061 4,7671 4,8551 5,0535 5,3042 5,5275 5,6569 5,6744 5,6235 5,5853 5,6334 5,8053 6,0989 6,4740 6,8514 7,1276 7,2119 7,0652 6,7196 6,2719 5,8424 5,5217 5,3441 5,3003 5,3554 5,4597 5,5721 5,6919 5,8623 6,1344 6,5176 6,9582 7,3622 7,6388 7,7298 7,6163 7,3163 6,8892 6,4313 6,0479 5,8158 5,7583 5,8407 5,9850 6,0999 6,1124 5,9892 5,7367 5,3870 4,9866 4,5953 4,2841 4,1180 4,1209 4,2531 4,4312 4,5786 4,6632 4,7039 4,7498 4,8457 5,0071 5,2194 5,4447 5,6274 5,7096 5,6526 5,4548 5,1522 4,8098 4,5064 4,3106 4,2532 4,3094 4,4058 4,4576 4,4121 4,2702 4,0794 3,9095 3,8225 3,8401 3,9266 4,0034 3,9878 3,8323 3,5381 3,1459 2,7198 2,3275 2,0212 1,8293 1,7509 1,7512 1,7779 1,7910 1,7855 1,7878 1,8276 1,9051 1,9905 2,0599 2,1253 2,2184 2,3498 2,4902 2,5829 2,5706 2,4220 2,1554 1,8396 1,5638 1,3907 1,3257 1,3269 1,3445 1,3492 1,3391 1,3406 1,4077 1,5965 1,9229 2,3417 2,7660 3,1034 3,2844 3,2793 3,0985 2,7813 2,3873 1,9818 1,6117 1,2885 0,9972 0,7199 0,4567 0,2284 0,0633 -0,0211 -0,0232 0,0466 0,1680 0,3062 0,4122 0,4313 0,3215 0,0784 -0,2525 -0,5922 -0,8702 -1,0661 -1,2084 -1,3375 -1,4778 -1,6398 -1,8272 -2,0263 -2,1957 -2,2787 -2,2336 -2,0588 -1,7969 -1,5162 -1,2776 -1,1107 -1,0172 -0,9912 -1,0278 -1,1114 -1,2039 -1,2571 -1,2438 -1,1734 -1,0844 -1,0266 -1,0358 -1,1065 -1,1926 -1,2410 -1,2180 -1,1082 -0,9090 -0,6398 -0,3526 -0,1185 0,0126 0,0448 0,0288 0,0227 0,0602 0,1491 0,2770 0,4081 0,4868 0,4603 0,3058 0,0417 -0,2798 -0,5855 -0,7947 -0,8388 -0,6847 -0,3583 0,0515 0,4265 0,6755 0,7769 0,7819 0,7777 0,8349 0,9766 1,1769 1,3744 1,4915 1,4648 1,2752 0,9595 0,5923 0,2531 0,0095 -0,0893 -0,0261 0,1748 0,4507 0,7149 0,8885 0,9333 0,8579 0,6995 0,5036 0,3041 0,1119 -0,0759 -0,2584 -0,4231 -0,5447 -0,5895 -0,5310 -0,3604 -0,0831 0,2898 0,7355 1,2056 1,6269 1,9229 2,0453 1,9926 1,8042 1,5447 1,2942 1,1325 1,1030 1,1810 1,2837 1,3197 1,2419 1,0712 0,8785 0,7446 0,7280 0,8578 1,1315 1,5046 1,8904 2,1890 2,3322 2,3158 2,1989 2,0729 2,0216 2,0896 2,2701 2,5163 2,7575 2,9169 2,9375 2,8031 2,5401 2,2056 1,8658 1,5758 1,3730 1,2775 1,2841 1,3627 1,4792 1,6175 1,7869 2,0111 2,2993 2,6266 2,9466 3,2113 3,3815 3,4418 3,4134 3,3334 3,2252 3,1042 3,0074 3,0039 3,1700 3,5472 4,1119 4,7715 5,3924 5,8503 6,0740 6,0581 5,8515 5,5328 5,1815 4,8516 4,5570 4,2664 3,9116 3,4160 2,7408 1,9160 1,0319 0,1943 -0,5271 -1,1226 -1,6322 -2,1091 -2,5761 -3,0058 -3,3338 -3,4875 -3,4116 -3,0864 -2,5347 -1,8112 -0,9846 -0,1237 0,7108 1,4788 2,1686 2,7967 3,4023 4,0281 4,6869 5,3403 5,9094 6,3160 6,5274 6,5774 6,5510 6,5405 6,5994 6,7202 6,8471 6,9101 6,8590 6,6781 6,3810 5,9983 5,5734 5,1635 4,8336 4,6322 4,5734 4,6423 4,8014 4,9916 5,1399 5,1798 5,0768 4,8493 4,5686 4,3255 4,1823 4,1460 4,1782 4,2194 4,2121 4,1187 3,9373 3,7087 3,5061 3,4029 3,4259 3,5282 3,6144 3,6017 3,4599 3,2134 2,9261 2,6857 2,5770 2,6342 2,8045 2,9745 3,0485 3,0089 2,9063 2,7989 2,7057 2,6035 2,4518 2,2220 1,9232 1,6038 1,3223 1,1121 0,9752 0,9034 0,8978 0,9700 1,1266 1,3520 1,6110 1,8666 2,0920 2,2700 2,3940 2,4806 2,5723 2,7181 2,9497 3,2735 3,6764 4,1342 4,6117 5,0608 5,4268 5,6677 5,7762 5,7889 5,7693 5,7702 5,8086 5,8673 5,9136 5,9170 5,8623 5,7565 5,6312 5,5325 5,5044 5,5818 5,7880 6,1185
Fz    1,4247 1,3609 1,2454 1,0629 0,8372 0,6201 0,4606 0,3810 0,3782 0,4377 0,5411 0,6681 0,7981 0,9175 1,0204 1,1025 1,1577 1,1855 1,1976 1,2093 1,2234 1,2238 1,1872 1,1015 0,9735 0,8203 0,6540 0,4786 0,2988 0,1196 -0,0607 -0,2522 -0,4692 -0,7205 -0,9984 -1,2768 -1,5212 -1,6996 -1,7900 -1,7872 -1,7066 -1,5819 -1,4560 -1,3680 -1,3425 -1,3855 -1,4860 -1,6178 -1,7428 -1,8244 -1,8450 -1,8099 -1,7381 -1,6485 -1,5497 -1,4368 -1,2946 -1,1117 -0,8970 -0,6869 -0,5358 -0,4953 -0,5964 -0,8360 -1,1738 -1,5453 -1,8845 -2,1481 -2,3247 -2,4232 -2,4559 -2,4407 -2,4083 -2,3933 -2,4178 -2,4828 -2,5701 -2,6536 -2,7134 -2,7461 -2,7688 -2,8141 -2,9147 -3,0838 -3,3061 -3,5494 -3,7856 -4,0036 -4,2085 -4,4133 -4,6283 -4,8541 -5,0832 -5,3038 -5,4985 -5,6408 -5,7020 -5,6657 -5,5394 -5,3554 -5,1607 -4,9986 -4,8924 -4,8404 -4,8300 -4,8552 -4,9203 -5,0282 -5,1735 -5,3451 -5,5304 -5,7205 -5,9121 -6,0997 -6,2637 -6,3654 -6,3557 -6,1944 -5,8684 -5,3958 -4,8173 -4,1820 -3,5331 -2,8991 -2,2893 -1,6941 -1,0894 -0,4512 0,2285 0,9370 1,6468 2,3186 2,9122 3,4058 3,8083 4,1481 4,4514 4,7271 4,9656 5,1493 5,2656 5,3138 5,3012 5,2367 5,1343 5,0198 4,9264 4,8791 4,8853 4,9341 5,0019 5,0570 5,0725 5,0422 4,9836 4,9238 4,8861 4,8883 4,9455 5,0690 5,2567 5,4867 5,7232 5,9280 6,0711 6,1375 6,1281 6,0531 5,9239 5,7490 5,5358 5,2935 5,0340 4,7718 4,5230 4,3024 4,1273 4,0213 4,0065 4,0928 4,2761 4,5397 4,8508 5,1637 5,4353 5,6457 5,8052 5,9407 6,0724 6,2008 6,3131 6,3975 6,4485 6,4641 6,4392 6,3693 6,2620 6,1394 6,0266 5,9347 5,8540 5,7624 5,6402 5,4809 5,2935 5,0948 4,9000 4,7192 4,5617 4,4378 4,3499 4,2846 4,2180 4,1321 4,0265 3,9178 3,8345 3,8085 3,8606 3,9901 4,1741 4,3742 4,5478 4,6619 4,7048 4,6886 4,6425 4,6016 4,5942 4,6298 4,6928 4,7511 4,7752 4,7495 4,6724 4,5600 4,4452 4,3601 4,3120 4,2781 4,2194 4,0982 3,8943 3,6129 3,2812 2,9384 2,6248 2,3689 2,1836 2,0724 2,0322 2,0509 2,1063 2,1739 2,2354 2,2805 2,3024 2,2958 2,2596 2,2009 2,1376 2,0901 2,0648 2,0452 2,0047 1,9282 1,8243 1,7223 1,6554 1,6405 1,6679 1,7093 1,7370 1,7364 1,7104 1,6791 1,6730 1,7152 1,8081 1,9359 2,0731 2,1908 2,2630 2,2713 2,2091 2,0882 1,9400 1,8023 1,6990 1,6255 1,5502 1,4328 1,2447 0,9821 0,6666 0,3360 0,0300 -0,2244 -0,4241 -0,5897 -0,7542 -0,9508 -1,2043 -1,5216 -1,8844 -2,2504 -2,5661 -2,7872 -2,8912 -2,8816 -2,7860 -2,6491 -2,5194 -2,4331 -2,4059 -2,4334 -2,4982 -2,5809 -2,6685 -2,7535 -2,8261 -2,8734 -2,8910 -2,8885 -2,8774 -2,8557 -2,8069 -2,7128 -2,5669 -2,3806 -2,1809 -2,0015 -1,8673 -1,7783 -1,7117 -1,6449 -1,5706 -1,4906 -1,4032 -1,3057 -1,2078 -1,1322 -1,0987 -1,1048 -1,1277 -1,1432 -1,1383 -1,1122 -1,0764 -1,0529 -1,0625 -1,1107 -1,1879 -1,2805 -1,3769 -1,4634 -1,5250 -1,5507 -1,5342 -1,4737 -1,3744 -1,2482 -1,1096 -0,9676 -0,8226 -0,6693 -0,5046 -0,3317 -0,1609 -0,0126 0,0817 0,0891 -0,0097 -0,2069 -0,4694 -0,7574 -1,0400 -1,2925 -1,4916 -1,6206 -1,6777 -1,6779 -1,6475 -1,6124 -1,5918 -1,5963 -1,6267 -1,6732 -1,7204 -1,7545 -1,7688 -1,7642 -1,7452 -1,7105 -1,6509 -1,5516 -1,4005 -1,1992 -0,9673 -0,7371 -0,5404 -0,3985 -0,3153 -0,2777 -0,2609 -0,2344 -0,1665 -0,0358 0,1516 0,3564 0,5182 0,5827 0,5292 0,3820 0,1976 0,0390 -0,0462 -0,0367 0,0630 0,2279 0,4190 0,5919 0,7119 0,7708 0,7855 0,7807 0,7750 0,7797 0,8023 0,8480 0,9161 0,9921 1,0456 1,0373 0,9383 0,7457 0,4834 0,1957 -0,0644 -0,2517 -0,3397 -0,3180 -0,1845 0,0521 0,3670 0,7257 1,0969 1,4595 1,8033 2,1244 2,4159 2,6659 2,8666 3,0217 3,1485 3,2737 3,4269 3,6281 3,8766 4,1482 4,4058 4,6127 4,7384 4,7612 4,6753 4,4948 4,2507 3,9796 3,7076 3,4368 3,1443 2,7927 2,3453 1,7802 1,0964 0,3133 -0,5304 -1,3794 -2,1735 -2,8671 -3,4421 -3,9042 -4,2688 -4,5496 -4,7486 -4,8461 -4,8034 -4,5866 -4,1957 -3,6693 -3,0618 -2,4152 -1,7468 -1,0550 -0,3296 0,4418 1,2711 2,1601 3,0908 4,0255 4,9118 5,6900 6,3102 6,7524 7,0295 7,1702 7,1999 7,1371 7,0001 6,8085 6,5787 6,3184 6,0283 5,7133 5,3928 5,0995 4,8669 4,7144 4,6423 4,6356 4,6701 4,7215 4,7714 4,8054 4,8144 4,8014 4,7840 4,7880 4,8328 4,9181 5,0235 5,1205 5,1848 5,2028 5,1764 5,1239 5,0742 5,0520 5,0584 5,0677 5,0433 4,9573 4,7975 4,5688 4,2950 4,0158 3,7725 3,5840 3,4368 3,3011 3,1546 2,9934 2,8242 2,6467 2,4463 2,2075 1,9289 1,6242 1,3167 1,0321 0,7906 0,6032 0,4778 0,4234 0,4468 0,5453 0,7009 0,8812 1,0549 1,2066 1,3343 1,4368 1,5081 1,5433 1,5481 1,5399 1,5430 1,5813 1,6729 1,8270 2,0454 2,3235 2,6461 2,9856 3,3112 3,6017 3,8503 4,0620 4,2471 4,4136 4,5602 4,6775 4,7538 4,7857 4,7867 4,7843 4,8067 4,8707 4,9799 5,1274
F3    1,2847 1,2584 1,2180 1,1463 1,0522 0,9545 0,8634 0,7829 0,7177 0,6712 0,6400 0,6149 0,5899 0,5714 0,5767 0,6140 0,6678 0,7184 0,7657 0,8243 0,8992 0,9776 1,0359 1,0511 1,0187 0,9579 0,8903 0,8207 0,7368 0,6194 0,4480 0,2023 -0,1297 -0,5327 -0,9556 -1,3351 -1,6286 -1,8211 -1,9121 -1,9104 -1,8390 -1,7333 -1,6301 -1,5562 -1,5186 -1,5068 -1,5097 -1,5265 -1,5564 -1,5884 -1,6088 -1,6137 -1,6051 -1,5756 -1,5012 -1,3508 -1,1048 -0,7678 -0,3730 0,0153 0,3138 0,4508 0,3940 0,1561 -0,2133 -0,6359 -1,0202 -1,2945 -1,4393 -1,4884 -1,5019 -1,5362 -1,6212 -1,7523 -1,9076 -2,0693 -2,2291 -2,3829 -2,5230 -2,6393 -2,7308 -2,8116 -2,8997 -3,0012 -3,1080 -3,2086 -3,2960 -3,3701 -3,4398 -3,5220 -3,6386 -3,8137 -4,0701 -4,4154 -4,8234 -5,2318 -5,5647 -5,7580 -5,7769 -5,6269 -5,3553 -5,0318 -4,7123 -4,4143 -4,1362 -3,8982 -3,7474 -3,7285 -3,8611 -4,1298 -4,4799 -4,8338 -5,1221 -5,3043 -5,3677 -5,3129 -5,1417 -4,8598 -4,4868 -4,0558 -3,6021 -3,1547 -2,7316 -2,3325 -1,9296 -1,4742 -0,9254 -0,2816 0,4206 1,1395 1,8489 2,5324 3,1766 3,7726 4,3162 4,8032 5,2255 5,5694 5,8123 5,9295 5,9101 5,7660 5,5298 5,2519 4,9937 4,8123 4,7433 4,7858 4,8998 5,0232 5,0984 5,0920 5,0074 4,8842 4,7787 4,7348 4,7667 4,8643 5,0133 5,2108 5,4574 5,7360 6,0032 6,2019 6,2887 6,2571 6,1364 5,9732 5,8124 5,6766 5,5571 5,4287 5,2740 5,0926 4,8955 4,6997 4,5326 4,4304 4,4184 4,4973 4,6550 4,8801 5,1546 5,4389 5,6837 5,8617 5,9813 6,0648 6,1197 6,1359 6,1087 6,0527 5,9907 5,9347 5,8769 5,7982 5,6867 5,5489 5,4066 5,2830 5,1880 5,1124 5,0380 4,9556 4,8698 4,7860 4,6998 4,5992 4,4762 4,3376 4,1989 4,0684 3,9442 3,8295 3,7398 3,6924 3,6947 3,7452 3,8391 3,9669 4,1105 4,2453 4,3447 4,3896 4,3765 4,3189 4,2460 4,1959 4,1985 4,2580 4,3476 4,4216 4,4391 4,3801 4,2456 4,0560 3,8553 3,6974 3,6102 3,5676 3,5061 3,3732 3,1623 2,9066 2,6507 2,4330 2,2763 2,1818 2,1389 2,1463 2,2089 2,3144 2,4257 2,4945 2,4783 2,3548 2,1351 1,8686 1,6277 1,4797 1,4642 1,5844 1,8059 2,0583 2,2560 2,3389 2,3057 2,2135 2,1377 2,1196 2,1440 2,1606 2,1219 2,0072 1,8320 1,6459 1,5143 1,4906 1,5964 1,8185 2,1152 2,4247 2,6755 2,8070 2,7973 2,6750 2,5000 2,3293 2,1922 2,0838 1,9746 1,8250 1,6039 1,3069 0,9601 0,6048 0,2815 0,0220 -0,1622 -0,2898 -0,4061 -0,5667 -0,8185 -1,1824 -1,6393 -2,1288 -2,5665 -2,8734 -3,0057 -2,9652 -2,7911 -2,5448 -2,2927 -2,0911 -1,9806 -1,9864 -2,1088 -2,3116 -2,5348 -2,7300 -2,8764 -2,9638 -2,9796 -2,9194 -2,7920 -2,6128 -2,4023 -2,1904 -2,0074 -1,8673 -1,7675 -1,7051 -1,6780 -1,6717 -1,6605 -1,6262 -1,5657 -1,4831 -1,3847 -1,2801 -1,1833 -1,1097 -1,0674 -1,0466 -1,0207 -0,9664 -0,8876 -0,8223 -0,8172 -0,8912 -1,0276 -1,1885 -1,3309 -1,4233 -1,4547 -1,4291 -1,3565 -1,2462 -1,1055 -0,9513 -0,8155 -0,7268 -0,6900 -0,6833 -0,6694 -0,6070 -0,4640 -0,2362 0,0421 0,3054 0,4836 0,5272 0,4258 0,2184 -0,0267 -0,2553 -0,4484 -0,6089 -0,7502 -0,8883 -1,0311 -1,1727 -1,3004 -1,3999 -1,4576 -1,4674 -1,4388 -1,3935 -1,3470 -1,2957 -1,2246 -1,1263 -1,0105 -0,8946 -0,7903 -0,6958 -0,6028 -0,5083 -0,4175 -0,3387 -0,2818 -0,2563 -0,2635 -0,2886 -0,3015 -0,2618 -0,1338 0,0896 0,3706 0,6395 0,8258 0,8867 0,8237 0,6822 0,5300 0,4249 0,3940 0,4330 0,5189 0,6230 0,7112 0,7429 0,6904 0,5658 0,4149 0,2887 0,2232 0,2314 0,3030 0,4195 0,5694 0,7382 0,8936 0,9925 1,0058 0,9300 0,7791 0,5764 0,3533 0,1450 -0,0119 -0,0777 -0,0185 0,1768 0,4863 0,8606 1,2354 1,5511 1,7777 1,9198 1,9925 2,0023 1,9585 1,8976 1,8871 1,9992 2,2665 2,6566 3,0959 3,5156 3,8734 4,1409 4,2921 4,3094 4,1937 3,9629 3,6498 3,2984 2,9506 2,6224 2,2945 1,9317 1,5110 1,0306 0,4939 -0,1014 -0,7482 -1,4137 -2,0525 -2,6338 -3,1464 -3,5806 -3,9197 -4,1517 -4,2756 -4,2924 -4,1969 -3,9838 -3,6615 -3,2553 -2,7919 -2,2784 -1,7013 -1,0442 -0,3041 0,5111 1,3919 2,3284 3,2961 4,2418 5,0895 5,7664 6,2338 6,5069 6,6454 6,7111 6,7323 6,7058 6,6201 6,4717 6,2667 6,0119 5,7153 5,3977 5,0907 4,8203 4,6018 4,4456 4,3544 4,3163 4,3103 4,3235 4,3534 4,3941 4,4347 4,4730 4,5216 4,5954 4,6908 4,7802 4,8331 4,8399 4,8120 4,7616 4,6870 4,5825 4,4595 4,3446 4,2561 4,1919 4,1411 4,0989 4,0650 4,0315 3,9829 3,9140 3,8381 3,7672 3,6887 3,5726 3,3970 3,1627 2,8922 2,6071 2,3104 2,0016 1,6972 1,4255 1,2134 1,0791 1,0268 1,0428 1,1024 1,1849 1,2827 1,3965 1,5224 1,6419 1,7291 1,7673 1,7585 1,7196 1,6770 1,6660 1,7222 1,8639 2,0815 2,3444 2,6151 2,8630 3,0734 3,2468 3,3902 3,5126 3,6307 3,7668 3,9331 4,1214 4,3136 4,4978 4,6701 4,8265 4,9563 5,0438 5,0803 5,0790 5,0749 5,1077 5,1980 5,3347
F7    0,2450 0,3021 0,3091 0,3018 0,3206 0,3856 0,4770 0,5417 0,5285 0,4219 0,2531 0,0842 -0,0214 -0,0213 0,1008 0,3355 0,6401 0,9373 1,1402 1,1922 1,0901 0,8782 0,6258 0,4046 0,2749 0,2755 0,4053 0,6132 0,8183 0,9448 0,9518 0,8448 0,6638 0,4546 0,2517 0,0808 -0,0390 -0,1108 -0,1704 -0,2689 -0,4414 -0,6923 -1,0081 -1,3730 -1,7630 -2,1312 -2,4161 -2,5719 -2,5875 -2,4785 -2,2736 -2,0086 -1,7152 -1,4104 -1,1064 -0,8216 -0,5672 -0,3326 -0,0961 0,1534 0,4065 0,6413 0,8358 0,9674 1,0039 0,9104 0,6761 0,3298 -0,0699 -0,4487 -0,7329 -0,8794 -0,9032 -0,8724 -0,8745 -0,9750 -1,1892 -1,4798 -1,7793 -2,0285 -2,2062 -2,3296 -2,4283 -2,5180 -2,6002 -2,6791 -2,7727 -2,9078 -3,1113 -3,4002 -3,7638 -4,1484 -4,4798 -4,7096 -4,8269 -4,8240 -4,6878 -4,4313 -4,1101 -3,7980 -3,5550 -3,4095 -3,3504 -3,3319 -3,3045 -3,2520 -3,1972 -3,1757 -3,2125 -3,3068 -3,4310 -3,5518 -3,6547 -3,7504 -3,8582 -3,9750 -4,0520 -4,0113 -3,7947 -3,3937 -2,8409 -2,1869 -1,4860 -0,7916 -0,1501 0,4091 0,8791 1,2682 1,5905 1,8650 2,1199 2,3873 2,6913 3,0482 3,4700 3,9535 4,4706 4,9771 5,4313 5,8025 6,0754 6,2529 6,3493 6,3749 6,3325 6,2282 6,0755 5,8881 5,6775 5,4591 5,2464 5,0324 4,7877 4,4902 4,1568 3,8409 3,6027 3,4840 3,5023 3,6518 3,9133 4,2664 4,6895 5,1432 5,5657 5,8930 6,0851 6,1360 6,0634 5,8939 5,6579 5,3905 5,1225 4,8662 4,6117 4,3388 4,0381 3,7261 3,4449 3,2492 3,1929 3,3147 3,6157 4,0405 4,4857 4,8416 5,0451 5,1108 5,1124 5,1246 5,1776 5,2566 5,3329 5,3908 5,4297 5,4499 5,4453 5,4081 5,3299 5,1978 4,9945 4,7092 4,3488 3,9386 3,5085 3,0800 2,6728 2,3187 2,0633 1,9472 1,9845 2,1558 2,4182 2,7224 3,0222 3,2697 3,4186 3,4521 3,4085 3,3670 3,3982 3,5224 3,7120 3,9212 4,1077 4,2434 4,3143 4,3127 4,2379 4,1063 3,9427 3,7600 3,5529 3,3072 3,0125 2,6775 2,3378 2,0429 1,8301 1,7023 1,6243 1,5499 1,4579 1,3605 1,2781 1,2144 1,1551 1,0820 0,9890 0,8874 0,7964 0,7270 0,6791 0,6578 0,6874 0,7925 0,9633 1,1547 1,3201 1,4421 1,5365 1,6312 1,7394 1,8477 1,9177 1,8987 1,7602 1,5226 1,2523 1,0255 0,8931 0,8669 0,9254 1,0325 1,1587 1,2942 1,4453 1,6196 1,8097 1,9921 2,1444 2,2619 2,3596 2,4541 2,5352 2,5600 2,4815 2,2883 2,0169 1,7283 1,4694 1,2490 1,0398 0,8054 0,5351 0,2590 0,0329 -0,1037 -0,1641 -0,2069 -0,2939 -0,4571 -0,6858 -0,9299 -1,1290 -1,2500 -1,2992 -1,3044 -1,2955 -1,2951 -1,3182 -1,3703 -1,4475 -1,5466 -1,6739 -1,8294 -1,9892 -2,1139 -2,1711 -2,1453 -2,0392 -1,8722 -1,6758 -1,4829 -1,3156 -1,1831 -1,0887 -1,0378 -1,0418 -1,1077 -1,2166 -1,3245 -1,3940 -1,4123 -1,3773 -1,2867 -1,1478 -0,9869 -0,8456 -0,7646 -0,7635 -0,8343 -0,9508 -1,0821 -1,2046 -1,3042 -1,3679 -1,3835 -1,3534 -1,3012 -1,2588 -1,2457 -1,2600 -1,2847 -1,2958 -1,2641 -1,1642 -0,9883 -0,7516 -0,4899 -0,2441 -0,0387 0,1198 0,2344 0,3242 0,4250 0,5636 0,7319 0,8917 1,0005 1,0332 0,9890 0,8808 0,7259 0,5501 0,3864 0,2611 0,1788 0,1264 0,0931 0,0814 0,0945 0,1249 0,1575 0,1699 0,1349 0,0351 -0,1219 -0,3031 -0,4629 -0,5637 -0,5941 -0,5673 -0,5003 -0,3984 -0,2548 -0,0669 0,1461 0,3431 0,4851 0,5574 0,5666 0,5213 0,4198 0,2602 0,0617 -0,1232 -0,2258 -0,2028 -0,0651 0,1301 0,3133 0,4374 0,5005 0,5374 0,5844 0,6559 0,7543 0,8792 1,0163 1,1314 1,1828 1,1410 1,0064 0,8121 0,6095 0,4494 0,3668 0,3723 0,4573 0,5990 0,7576 0,8844 0,9482 0,9501 0,9071 0,8270 0,7017 0,5256 0,3170 0,1204 -0,0060 -0,0079 0,1438 0,4342 0,8065 1,1828 1,4927 1,7004 1,8119 1,8540 1,8468 1,7932 1,6891 1,5485 1,4179 1,3585 1,4124 1,5913 1,8915 2,3062 2,8138 3,3571 3,8485 4,2008 4,3559 4,2966 4,0409 3,6253 3,0929 2,4955 1,8969 1,3565 0,8999 0,5009 0,0977 -0,3602 -0,8723 -1,3875 -1,8411 -2,1918 -2,4409 -2,6266 -2,7942 -2,9619 -3,1047 -3,1643 -3,0777 -2,8103 -2,3747 -1,8191 -1,2030 -0,5784 0,0278 0,6257 1,2502 1,9320 2,6752 3,4541 4,2255 4,9375 5,5291 5,9479 6,1831 6,2717 6,2687 6,2160 6,1316 6,0152 5,8674 5,7036 5,5431 5,3915 5,2463 5,1044 4,9589 4,8066 4,6623 4,5612 4,5408 4,6134 4,7526 4,9048 5,0125 5,0344 4,9562 4,7958 4,5964 4,3987 4,2134 4,0278 3,8311 3,6277 3,4352 3,2775 3,1746 3,1376 3,1635 3,2267 3,2851 3,3133 3,3199 3,3172 3,2865 3,1874 3,0015 2,7571 2,4981 2,2379 1,9636 1,6821 1,4379 1,2795 1,2102 1,1776 1,1074 0,9477 0,6948 0,3929 0,1097 -0,1000 -0,2108 -0,2085 -0,0749 0,1969 0,5754 0,9878 1,3507 1,6142 1,7825 1,8896 1,9624 2,0138 2,0614 2,1315 2,2412 2,3857 2,5480 2,7155 2,8836 3,0502 3,2124 3,3638 3,4899 3,5707 3,5919 3,5577 3,4899 3,4152 3,3630 3,3714 3,4761 3,6781 3,9281 4,1526 4,2988 4,3570 4,3545 4,3387 4,3600
