Fp1   1,6160 1,4268 1,1111 0,7519 0,4393 0,2389 0,1635 0,1802 0,2283 0,2385 0,1653 0,0112 -0,1812 -0,3634 -0,5164 -0,6566 -0,8019 -0,9441 -1,0656 -1,1697 -1,2794 -1,4054 -1,5212 -1,5740 -1,5256 -1,3807 -1,1827 -0,9906 -0,8520 -0,7802 -0,7463 -0,6902 -0,5553 -0,3281 -0,0419 0,2619 0,5677 0,8811 1,1972 1,4761 1,6561 1,6993 1,6258 1,4876 1,3117 1,0833 0,7785 0,3994 -0,0186 -0,4253 -0,7753 -1,0316 -1,1667 -1,1763 -1,0930 -0,9826 -0,9294 -1,0174 -1,2988 -1,7628 -2,3320 -2,8912 -3,3273 -3,5654 -3,5862 -3,4178 -3,1178 -2,7608 -2,4208 -2,1606 -2,0276 -2,0272 -2,1035 -2,1769 -2,2000 -2,1721 -2,1180 -2,0575 -1,9951 -1,9331 -1,8658 -1,7659 -1,6120 -1,4243 -1,2551 -1,1526 -1,1304 -1,1591 -1,1959 -1,2252 -1,2601 -1,3130 -1,3742 -1,4276 -1,4778 -1,5464 -1,6401 -1,7354 -1,7929 -1,7799 -1,6904 -1,5389 -1,3388 -1,1044 -0,8653 -0,6591 -0,5110 -0,4175 -0,3505 -0,2877 -0,2300 -0,1749 -0,0958 0,0398 0,2525 0,5484 0,9086 1,2799 1,5945 1,8056 1,9062 1,9202 1,8851 1,8360 1,7968 1,7747 1,7662 1,7646 1,7616 1,7476 1,7134 1,6459 1,5264 1,3364 1,0652 0,7076 0,2628 -0,2541 -0,8015 -1,3174 -1,7408 -2,0320 -2,1774 -2,1848 -2,0853 -1,9321 -1,7840 -1,6820 -1,6413 -1,6624 -1,7427 -1,8679 -2,0065 -2,1358 -2,2751 -2,4721 -2,7534 -3,0912 -3,4080 -3,6108 -3,6302 -3,4466 -3,0956 -2,6465 -2,1785 -1,7739 -1,5157 -1,4674 -1,6458 -2,0023 -2,4292 -2,8075 -3,0653 -3,1876 -3,1758 -3,0202 -2,7216 -2,3221 -1,8969 -1,5186 -1,2384 -1,0863 -1,0695 -1,1657 -1,3281 -1,5179 -1,7359 -2,0066 -2,3335 -2,6813 -2,9876 -3,1826 -3,2168 -3,0866 -2,8419 -2,5703 -2,3607 -2,2610 -2,2598 -2,3084 -2,3634 -2,4121 -2,4663 -2,5320 -2,5847 -2,5842 -2,5134 -2,3949 -2,2770 -2,2092 -2,2164 -2,2804 -2,3375 -2,2999 -2,0981 -1,7264 -1,2520 -0,7659 -0,3344 0,0060 0,2404 0,3807 0,4577 0,4951 0,5024 0,4892 0,4638 0,4155 0,3130 0,1339 -0,1023 -0,3365 -0,5067 -0,5828 -0,5798 -0,5520 -0,5630 -0,6488 -0,8110 -1,0343 -1,2883 -1,5201 -1,6724 -1,7169 -1,6718 -1,5930 -1,5391 -1,5372 -1,5817 -1,6519 -1,7181 -1,7445 -1,7039 -1,5820 -1,3630 -1,0315 -0,6054 -0,1602 0,2047 0,4351 0,5491 0,5946 0,6012 0,5689 0,4793 0,3187 0,0961 -0,1579 -0,3912 -0,5364 -0,5495 -0,4505 -0,3087 -0,1845 -0,0977 -0,0431 -0,0049 0,0446 0,1251 0,2241 0,3142 0,3883 0,4608 0,5338 0,5788 0,5588 0,4618 0,3133 0,1592 0,0384 -0,0302 -0,0422 -0,0072 0,0434 0,0584 -0,0101 -0,1754 -0,4059 -0,6522 -0,8781 -1,0614 -1,1796 -1,2090 -1,1380 -0,9788 -0,7696 -0,5624 -0,3981 -0,2907 -0,2362 -0,2264 -0,2441 -0,2564 -0,2309 -0,1512 -0,0203 0,1348 0,2639 0,3226 0,3067 0,2502 0,1972 0,1834 0,2319 0,3455 0,4943 0,6192 0,6620 0,5916 0,4108 0,1565 -0,1016 -0,2827 -0,3323 -0,2442 -0,0564 0,1651 0,3533 0,4680 0,5016 0,4612 0,3572 0,2033 0,0238 -0,1401 -0,2445 -0,2733 -0,2474 -0,2048 -0,1851 -0,2299 -0,3741 -0,6227 -0,9416 -1,2781 -1,5764 -1,7788 -1,8351 -1,7266 -1,4796 -1,1553 -0,8254 -0,5565 -0,4052 -0,4071 -0,5557 -0,7922 -1,0376 -1,2394 -1,3910 -1,5128 -1,6171 -1,6844 -1,6808 -1,5955 -1,4469 -1,2603 -1,0662 -0,9100 -0,8226 -0,7795 -0,7216 -0,6206 -0,5029 -0,4125 -0,3732 -0,3907 -0,4619 -0,5686 -0,6722 -0,7278 -0,7173 -0,6761 -0,6768 -0,7762 -0,9721 -1,1904 -1,3178 -1,2713 -1,0470 -0,6985 -0,2829 0,1482 0,5192 0,7331 0,7288 0,5219 0,1783 -0,2357 -0,6709 -1,0879 -1,4473 -1,7043 -1,8306 -1,8511 -1,8395 -1,8635 -1,9453 -2,0736 -2,2277 -2,3749 -2,4673 -2,4568 -2,3086 -2,0121 -1,6015 -1,1598 -0,7870 -0,5657 -0,5482 -0,7410 -1,0808 -1,4451 -1,7064 -1,7841 -1,6671 -1,4062 -1,0870 -0,7928 -0,5750 -0,4580 -0,4642 -0,6130 -0,8954 -1,2703 -1,6828 -2,0808 -2,4221 -2,6803 -2,8532 -2,9558 -2,9972 -2,9703 -2,8702 -2,7169 -2,5654 -2,4906 -2,5436 -2,7141 -2,9359 -3,1284 -3,2334 -3,2266 -3,1050 -2,8770 -2,5699 -2,2390 -1,9639 -1,8250 -1,8652 -2,0627 -2,3509 -2,6589 -2,9208 -3,0792 -3,1145 -3,0654 -3,0026 -2,9790 -3,0070 -3,0646 -3,1142 -3,1332 -3,1406 -3,1855 -3,2953 -3,4423 -3,5629 -3,6113 -3,5923 -3,5482 -3,5206 -3,5217 -3,5334 -3,5262 -3,4806 -3,4068 -3,3495 -3,3446 -3,3633 -3,3233 -3,1493 -2,8086 -2,3147 -1,7239 -1,1276 -0,6299 -0,3144 -0,2230 -0,3493 -0,6348 -0,9791 -1,2774 -1,4635 -1,5294 -1,5161 -1,4895 -1,5075 -1,5984 -1,7626 -1,9858 -2,2532 -2,5572 -2,8810 -3,1790 -3,3909 -3,4723 -3,4114 -3,2317 -2,9946 -2,7878 -2,6825 -2,6788 -2,6966 -2,6362 -2,4527 -2,1786 -1,8869 -1,6410 -1,4640 -1,3341 -1,2143 -1,0924 -0,9863 -0,9131 -0,8783 -0,8993 -1,0095 -1,2318 -1,5595 -1,9535 -2,3467 -2,6530 -2,7868 -2,7029 -2,4362 -2,0948 -1,8010 -1,6229 -1,5518 -1,5364 -1,5242 -1,4619 -1,2846 -0,9421 -0,4424 0,1406 0,7000 1,1304 1,3523 1,3408 1,1518 0,9063 0,7233 0,6527 0,6604 0,6699 0,6219 0,5205 0,4258 0,3983 0,4499 0,5369 0,5933 0,5792 0,4982 0,3794 0,2571 0,1567 0,0874 0,0506 0,0442 0,0424 -0,0173 -0,1981 -0,5020 -0,8561 -1,1580 -1,3294 -1,3443
Fz    1,8409 1,7637 1,5401 1,2315 0,9161 0,6641 0,5045 0,4151 0,3422 0,2361 0,0777 -0,1221 -0,3413 -0,5631 -0,7811 -0,9950 -1,1949 -1,3551 -1,4503 -1,4800 -1,4698 -1,4468 -1,4177 -1,3730 -1,3024 -1,2019 -1,0735 -0,9220 -0,7486 -0,5524 -0,3401 -0,1226 0,0920 0,2898 0,4465 0,5523 0,6381 0,7568 0,9369 1,1539 1,3390 1,4228 1,3826 1,2358 1,0000 0,6810 0,2926 -0,1272 -0,5227 -0,8485 -1,0966 -1,2922 -1,4661 -1,6295 -1,7729 -1,8840 -1,9650 -2,0368 -2,1286 -2,2607 -2,4310 -2,6103 -2,7464 -2,7865 -2,7096 -2,5382 -2,3271 -2,1442 -2,0474 -2,0674 -2,1970 -2,3831 -2,5446 -2,6266 -2,6288 -2,5803 -2,5095 -2,4325 -2,3523 -2,2702 -2,1904 -2,1084 -2,0114 -1,8924 -1,7582 -1,6230 -1,4925 -1,3539 -1,1934 -1,0254 -0,8931 -0,8449 -0,9149 -1,1126 -1,4205 -1,8001 -2,1957 -2,5378 -2,7593 -2,8250 -2,7570 -2,6174 -2,4607 -2,3129 -2,1906 -2,1157 -2,1059 -2,1592 -2,2600 -2,4028 -2,5936 -2,8263 -3,0735 -3,2963 -3,4612 -3,5563 -3,5955 -3,6029 -3,5941 -3,5742 -3,5422 -3,4934 -3,4178 -3,3034 -3,1366 -2,9069 -2,6131 -2,2677 -1,8942 -1,5210 -1,1798 -0,9059 -0,7257 -0,6395 -0,6269 -0,6762 -0,7967 -0,9978 -1,2668 -1,5721 -1,8745 -2,1307 -2,2999 -2,3639 -2,3410 -2,2724 -2,1912 -2,1075 -2,0222 -1,9492 -1,9142 -1,9310 -1,9814 -2,0281 -2,0484 -2,0504 -2,0598 -2,0989 -2,1713 -2,2537 -2,3008 -2,2653 -2,1258 -1,8996 -1,6333 -1,3893 -1,2307 -1,2041 -1,3205 -1,5445 -1,8050 -2,0365 -2,2150 -2,3446 -2,4241 -2,4382 -2,3809 -2,2756 -2,1599 -2,0562 -1,9727 -1,9283 -1,9541 -2,0656 -2,2474 -2,4778 -2,7569 -3,0942 -3,4842 -3,9007 -4,3006 -4,6348 -4,8742 -5,0269 -5,1243 -5,1942 -5,2472 -5,2830 -5,3010 -5,3089 -5,3315 -5,4016 -5,5338 -5,6972 -5,8185 -5,8283 -5,7107 -5,5094 -5,2930 -5,1190 -5,0151 -4,9720 -4,9466 -4,8862 -4,7588 -4,5659 -4,3295 -4,0691 -3,7982 -3,5337 -3,2968 -3,1007 -2,9419 -2,8085 -2,6961 -2,6158 -2,5888 -2,6395 -2,7844 -3,0141 -3,2810 -3,5168 -3,6633 -3,6854 -3,5768 -3,3680 -3,1110 -2,8417 -2,5705 -2,3115 -2,0964 -1,9563 -1,9040 -1,9342 -2,0301 -2,1699 -2,3320 -2,4968 -2,6463 -2,7591 -2,8078 -2,7678 -2,6280 -2,3863 -2,0444 -1,6152 -1,1286 -0,6293 -0,1694 0,2076 0,4834 0,6619 0,7530 0,7592 0,6693 0,4669 0,1495 -0,2583 -0,7057 -1,1316 -1,4929 -1,7820 -2,0161 -2,2049 -2,3370 -2,4010 -2,4022 -2,3513 -2,2564 -2,1332 -2,0087 -1,9005 -1,7956 -1,6649 -1,5034 -1,3435 -1,2348 -1,2144 -1,2853 -1,4167 -1,5637 -1,6910 -1,7888 -1,8757 -1,9825 -2,1253 -2,2915 -2,4525 -2,5870 -2,6905 -2,7642 -2,7984 -2,7746 -2,6790 -2,5091 -2,2793 -2,0252 -1,7927 -1,6175 -1,5122 -1,4650 -1,4487 -1,4367 -1,4132 -1,3675 -1,2835 -1,1495 -0,9791 -0,8043 -0,6483 -0,5140 -0,3930 -0,2763 -0,1522 -0,0024 0,1852 0,3982 0,5975 0,7302 0,7446 0,6170 0,3761 0,0887 -0,1811 -0,3927 -0,5299 -0,5981 -0,6136 -0,5872 -0,5224 -0,4269 -0,3175 -0,2123 -0,1205 -0,0387 0,0419 0,1299 0,2374 0,3700 0,5049 0,5955 0,6085 0,5436 0,4183 0,2563 0,0974 -0,0008 0,0147 0,1637 0,4233 0,7412 1,0508 1,2833 1,3819 1,3186 1,1098 0,8121 0,4877 0,1701 -0,1395 -0,4568 -0,7935 -1,1349 -1,4365 -1,6416 -1,7080 -1,6291 -1,4408 -1,2026 -0,9574 -0,7123 -0,4616 -0,2203 -0,0241 0,1010 0,1561 0,1601 0,1338 0,0931 0,0492 0,0122 -0,0103 -0,0228 -0,0455 -0,1020 -0,1963 -0,2917 -0,3249 -0,2530 -0,0862 0,1283 0,3445 0,5369 0,6863 0,7619 0,7306 0,5846 0,3511 0,0784 -0,1831 -0,3939 -0,5310 -0,5870 -0,5749 -0,5319 -0,5013 -0,5096 -0,5606 -0,6414 -0,7258 -0,7778 -0,7637 -0,6720 -0,5225 -0,3616 -0,2477 -0,2266 -0,3070 -0,4648 -0,6678 -0,8864 -1,0888 -1,2381 -1,3004 -1,2561 -1,1079 -0,8838 -0,6348 -0,4177 -0,2750 -0,2379 -0,3340 -0,5738 -0,9356 -1,3728 -1,8317 -2,2634 -2,6257 -2,8873 -3,0354 -3,0727 -3,0065 -2,8471 -2,6149 -2,3463 -2,0986 -1,9406 -1,9168 -2,0131 -2,1630 -2,2936 -2,3677 -2,3809 -2,3274 -2,1836 -1,9341 -1,6116 -1,3050 -1,1227 -1,1314 -1,3193 -1,6184 -1,9524 -2,2523 -2,4596 -2,5495 -2,5466 -2,4968 -2,4349 -2,3812 -2,3527 -2,3597 -2,3982 -2,4586 -2,5362 -2,6281 -2,7286 -2,8310 -2,9253 -2,9969 -3,0300 -3,0160 -2,9602 -2,8831 -2,8089 -2,7511 -2,7173 -2,7249 -2,7896 -2,8955 -2,9943 -3,0326 -2,9704 -2,7950 -2,5378 -2,2707 -2,0672 -1,9558 -1,9178 -1,9259 -1,9668 -2,0362 -2,1308 -2,2435 -2,3588 -2,4600 -2,5479 -2,6436 -2,7633 -2,8961 -3,0105 -3,0760 -3,0767 -3,0122 -2,8940 -2,7390 -2,5607 -2,3638 -2,1483 -1,9283 -1,7474 -1,6583 -1,6780 -1,7719 -1,8885 -1,9939 -2,0785 -2,1541 -2,2451 -2,3629 -2,4900 -2,5983 -2,6760 -2,7305 -2,7703 -2,7967 -2,8115 -2,8194 -2,8345 -2,8897 -3,0246 -3,2510 -3,5316 -3,7873 -3,9376 -3,9469 -3,8405 -3,6859 -3,5582 -3,5037 -3,5205 -3,5724 -3,6170 -3,6157 -3,5339 -3,3531 -3,0840 -2,7704 -2,4864 -2,3085 -2,2702 -2,3403 -2,4535 -2,5643 -2,6731 -2,8114 -3,0104 -3,2714 -3,5534 -3,7958 -3,9566 -4,0258 -4,0152 -3,9481 -3,8503 -3,7401 -3,6254 -3,5122 -3,4127 -3,3379 -3,2798 -3,2262 -3,2024 -3,2794 -3,5124 -3,8700 -4,2404 -4,5025 -4,5839 -4,4744
F3    1,4108 1,4248 1,3124 1,1183 0,9072 0,7364 0,6251 0,5491 0,4594 0,3086 0,0747 -0,2289 -0,5642 -0,8886 -1,1752 -1,4199 -1,6207 -1,7568 -1,8053 -1,7743 -1,6977 -1,6009 -1,4838 -1,3354 -1,1558 -0,9583 -0,7592 -0,5691 -0,3900 -0,2177 -0,0460 0,1322 0,3213 0,5064 0,6468 0,7117 0,7247 0,7538 0,8559 1,0329 1,2249 1,3528 1,3754 1,2944 1,1179 0,8466 0,4903 0,0855 -0,3089 -0,6438 -0,9081 -1,1196 -1,2991 -1,4588 -1,6029 -1,7312 -1,8421 -1,9346 -2,0127 -2,0897 -2,1797 -2,2786 -2,3550 -2,3682 -2,3009 -2,1666 -2,0025 -1,8640 -1,8033 -1,8429 -1,9717 -2,1526 -2,3361 -2,4885 -2,5976 -2,6515 -2,6413 -2,5824 -2,5103 -2,4555 -2,4256 -2,4052 -2,3727 -2,3158 -2,2357 -2,1407 -2,0246 -1,8564 -1,6127 -1,3218 -1,0622 -0,9263 -0,9859 -1,2668 -1,7350 -2,3070 -2,8749 -3,3306 -3,5885 -3,6162 -3,4532 -3,1850 -2,8870 -2,5955 -2,3263 -2,0982 -1,9319 -1,8379 -1,8168 -1,8738 -2,0175 -2,2383 -2,5053 -2,7798 -3,0273 -3,2284 -3,3807 -3,4889 -3,5604 -3,6072 -3,6397 -3,6595 -3,6592 -3,6250 -3,5331 -3,3521 -3,0640 -2,6826 -2,2527 -1,8324 -1,4752 -1,2197 -1,0808 -1,0405 -1,0637 -1,1377 -1,2824 -1,5153 -1,8248 -2,1808 -2,5477 -2,8781 -3,1147 -3,2130 -3,1692 -3,0272 -2,8537 -2,6999 -2,5887 -2,5325 -2,5429 -2,6160 -2,7189 -2,7980 -2,8092 -2,7475 -2,6503 -2,5701 -2,5395 -2,5537 -2,5758 -2,5604 -2,4819 -2,3454 -2,1821 -2,0369 -1,9535 -1,9624 -2,0720 -2,2568 -2,4577 -2,6203 -2,7372 -2,8323 -2,9179 -2,9803 -2,9976 -2,9615 -2,8774 -2,7529 -2,5991 -2,4427 -2,3216 -2,2614 -2,2668 -2,3452 -2,5218 -2,8137 -3,2029 -3,6403 -4,0622 -4,4087 -4,6516 -4,8077 -4,9171 -5,0096 -5,0905 -5,1606 -5,2377 -5,3517 -5,5216 -5,7433 -5,9923 -6,2208 -6,3547 -6,3336 -6,1617 -5,9074 -5,6600 -5,4882 -5,4184 -5,4299 -5,4700 -5,4924 -5,4835 -5,4501 -5,3930 -5,3018 -5,1687 -5,0001 -4,8120 -4,6156 -4,4120 -4,2012 -3,9953 -3,8232 -3,7235 -3,7305 -3,8563 -4,0692 -4,2922 -4,4440 -4,4826 -4,3999 -4,2047 -3,9341 -3,6513 -3,4071 -3,2195 -3,0941 -3,0420 -3,0696 -3,1659 -3,3033 -3,4481 -3,5724 -3,6571 -3,6907 -3,6700 -3,5995 -3,4864 -3,3347 -3,1369 -2,8736 -2,5338 -2,1315 -1,6941 -1,2478 -0,8236 -0,4576 -0,1736 0,0289 0,1660 0,2537 0,2963 0,2860 0,2090 0,0543 -0,1756 -0,4616 -0,7762 -1,0979 -1,4106 -1,6878 -1,8910 -1,9927 -1,9950 -1,9224 -1,8016 -1,6548 -1,5092 -1,3864 -1,2722 -1,1280 -0,9413 -0,7467 -0,6025 -0,5573 -0,6230 -0,7701 -0,9525 -1,1359 -1,3118 -1,4944 -1,7057 -1,9525 -2,2155 -2,4641 -2,6815 -2,8708 -3,0379 -3,1694 -3,2383 -3,2251 -3,1248 -2,9426 -2,7032 -2,4526 -2,2394 -2,0932 -2,0150 -1,9834 -1,9706 -1,9555 -1,9252 -1,8696 -1,7889 -1,7037 -1,6393 -1,6008 -1,5716 -1,5309 -1,4654 -1,3637 -1,2096 -0,9932 -0,7290 -0,4591 -0,2423 -0,1374 -0,1768 -0,3411 -0,5703 -0,8032 -1,0001 -1,1430 -1,2294 -1,2643 -1,2550 -1,2118 -1,1451 -1,0600 -0,9552 -0,8318 -0,6999 -0,5761 -0,4720 -0,3799 -0,2807 -0,1758 -0,0933 -0,0551 -0,0578 -0,0881 -0,1376 -0,1934 -0,2263 -0,2013 -0,0982 0,0826 0,3257 0,5979 0,8492 1,0318 1,1202 1,1143 1,0272 0,8664 0,6253 0,2962 -0,1132 -0,5753 -1,0404 -1,4453 -1,7316 -1,8664 -1,8593 -1,7612 -1,6324 -1,5012 -1,3537 -1,1635 -0,9313 -0,6900 -0,4723 -0,2910 -0,1518 -0,0678 -0,0561 -0,1248 -0,2596 -0,4196 -0,5567 -0,6446 -0,6882 -0,7002 -0,6742 -0,5905 -0,4472 -0,2737 -0,1073 0,0357 0,1630 0,2803 0,3670 0,3800 0,2857 0,0823 -0,2003 -0,5132 -0,8036 -1,0268 -1,1559 -1,1961 -1,1852 -1,1666 -1,1628 -1,1816 -1,2273 -1,2936 -1,3518 -1,3602 -1,2873 -1,1367 -0,9589 -0,8317 -0,8111 -0,8960 -1,0426 -1,2084 -1,3726 -1,5236 -1,6422 -1,7009 -1,6775 -1,5699 -1,4054 -1,2353 -1,1037 -1,0263 -1,0105 -1,0774 -1,2447 -1,4995 -1,8045 -2,1206 -2,4181 -2,6751 -2,8766 -3,0133 -3,0781 -3,0663 -2,9814 -2,8376 -2,6625 -2,5034 -2,4246 -2,4758 -2,6554 -2,9057 -3,1502 -3,3366 -3,4419 -3,4443 -3,3096 -3,0200 -2,6164 -2,2044 -1,9103 -1,8186 -1,9351 -2,2012 -2,5351 -2,8603 -3,1236 -3,3145 -3,4578 -3,5716 -3,6466 -3,6698 -3,6484 -3,6069 -3,5688 -3,5491 -3,5601 -3,6151 -3,7226 -3,8772 -4,0560 -4,2266 -4,3545 -4,4043 -4,3512 -4,1989 -3,9786 -3,7305 -3,4982 -3,3336 -3,2810 -3,3432 -3,4789 -3,6213 -3,6904 -3,6177 -3,3933 -3,0801 -2,7651 -2,4988 -2,2891 -2,1391 -2,0637 -2,0797 -2,1953 -2,4023 -2,6703 -2,9598 -3,2441 -3,5111 -3,7447 -3,9110 -3,9717 -3,9119 -3,7529 -3,5400 -3,3182 -3,1078 -2,9038 -2,6945 -2,4756 -2,2579 -2,0720 -1,9539 -1,9165 -1,9433 -2,0090 -2,0941 -2,1886 -2,3015 -2,4572 -2,6617 -2,8825 -3,0668 -3,1771 -3,2125 -3,2003 -3,1753 -3,1656 -3,1806 -3,2177 -3,2857 -3,4073 -3,5949 -3,8261 -4,0415 -4,1730 -4,1843 -4,0875 -3,9369 -3,8114 -3,7839 -3,8812 -4,0725 -4,2923 -4,4644 -4,5202 -4,4259 -4,1934 -3,8691 -3,5211 -3,2203 -3,0099 -2,8895 -2,8330 -2,8255 -2,8782 -3,0132 -3,2454 -3,5660 -3,9297 -4,2706 -4,5335 -4,6871 -4,7179 -4,6291 -4,4431 -4,1972 -3,9396 -3,7271 -3,6158 -3,6368 -3,7757 -3,9967 -4,2956 -4,7021 -5,2140 -5,7459 -6,1671 -6,3811 -6,3534 -6,0916
