Fp1   0,7444 2,5562 4,2689 5,6156 6,4602 6,8077 6,7310 6,2849 5,4766 4,3101 2,8548 1,2458 -0,3863 -1,9272 -3,2060 -3,9659 -3,9512 -3,0668 -1,5133 0,2396 1,6775 2,4894 2,6352 2,2528 1,5514 0,7400 -0,0346 -0,7541 -1,5395 -2,5359 -3,7367 -4,9128 -5,7290 -5,9586 -5,5990 -4,7890 -3,6602 -2,3195 -0,9303 0,2638 1,0144 1,1880 0,8548 0,2406 -0,4446 -1,1004 -1,6493 -1,9358 -1,7772 -1,0805 0,0965 1,5398 2,9296 3,9643 4,4804 4,4571 3,9227 2,9200 1,5954 0,2819 -0,5741 -0,6356 0,1260 1,4057 2,7083 3,5804 3,8281 3,5786 3,1344 2,7605 2,5603 2,4895 2,4620 2,4319 2,3819 2,2761 2,0781 1,8164 1,5900 1,4938 1,5388 1,6197 1,5578 1,2056 0,5413 -0,3036 -1,1093 -1,6859 -1,9321 -1,7940 -1,2173 -0,1857 1,1998 2,7044 4,0550 5,0589 5,6142 5,6391 5,0671 3,9333 2,4430 0,9255 -0,3096 -1,0927 -1,3914 -1,2206 -0,5939 0,4327 1,7229 3,0982 4,3908 5,4416 6,0746 6,1106 5,4437 4,1218 2,3696 0,5399 -1,0236 -2,1741 -3,0385 -3,8688 -4,8143 -5,8331 -6,7442 -7,3189 -7,3822 -6,8948 -5,9633 -4,7752 -3,5151 -2,3248 -1,3167 -0,5803 -0,1624 -0,0628 -0,2570 -0,7251 -1,4643 -2,4598 -3,6328 -4,8410 -5,9426 -6,8495 -7,5473 -8,0885 -8,5401 -8,8899 -8,9937 -8,6751 -7,9293 -6,9908 -6,1638 -5,6220 -5,3632 -5,2512 -5,0712 -4,6433 -3,9439 -3,1222 -2,4147 -2,0375 -2,0958 -2,5216 -3,0756 -3,4463 -3,3891 -2,8153 -1,8134 -0,6098 0,5356 1,4523 2,1113 2,5562 2,7958 2,7900 2,5245 2,0519 1,4665 0,8881 0,4556 0,2803 0,3956 0,7783 1,3973 2,1851 2,9786 3,5785 3,9001 4,0475 4,2380 4,6305 5,1799 5,6375 5,6900 5,1165 3,8810 2,1568 0,3023 -1,2203 -1,9883 -1,7675 -0,5934 1,2402 3,2964 5,1618 6,5567 7,3471 7,5238 7,1977 6,5609 5,7733 4,8524 3,6837 2,1841 0,4891 -1,0454 -2,0610 -2,4209 -2,2615 -1,8966 -1,6545 -1,7210 -2,0932 -2,6828 -3,4217 -4,2367 -4,9842 -5,4849 -5,6332 -5,4507 -5,0241 -4,4080 -3,5881 -2,5230 -1,2556 -0,0064 0,9089 1,2906 1,1556 0,6446 -0,0966 -0,9182 -1,6179 -1,9830 -1,9214 -1,5390 -1,0748 -0,7640 -0,7425 -1,0116 -1,4753 -2,0307 -2,6099 -3,1310 -3,4550 -3,4444 -3,0758 -2,4794 -1,8829 -1,5421 -1,6651 -2,3039 -3,2962 -4,3495 -5,1987 -5,7142 -5,9349 -6,0432 -6,2774 -6,8083 -7,6429 -8,6302 -9,5552 -10,1966 -10,3232 -9,7437 -8,4359 -6,6455 -4,8256 -3,4089 -2,5890 -2,3054 -2,4021 -2,7492 -3,2477 -3,8301 -4,4828 -5,2208 -6,0703 -7,1101 -8,4807 -10,2692 -12,3439 -14,3213 -15,7518 -16,3630 -16,1542 -15,3105 -14,0436 -12,4844 -10,6924 -8,7287 -6,7186 -4,8840 -3,5284 -2,9555 -3,3310 -4,5859 -6,4383 -8,4790 -10,2593 -11,3952 -11,6862 -11,1994 -10,2411 -9,2156 -8,4646 -8,1645 -8,3117 -8,7951 -9,5061 -10,4124 -11,5311 -12,8290 -14,1568 -15,2577 -15,8553 -15,8100 -15,2035 -14,2544 -13,1902 -12,1929 -11,3863 -10,8404 -10,5779 -10,5390 -10,5737 -10,5500 -10,4627 -10,4083 -10,4690 -10,6186 -10,7149 -10,5694 -10,0413 -9,1407 -8,0847 -7,2206 -6,8517 -7,1099 -7,9329 -9,1194 -10,4106 -11,5463 -12,3037 -12,5454 -12,2443 -11,4488 -10,2381 -8,7477 -7,2205 -5,9384 -5,0647 -4,6041 -4,5237 -4,8543 -5,6580 -6,9392 -8,5911 -10,3776 -11,9722 -13,1102 -13,7380 -14,0054 -14,1296 -14,2391 -14,3081 -14,2381 -14,0044 -13,7172 -13,5328 -13,5085 -13,5271 -13,3295 -12,6652 -11,5018 -10,0997 -8,8558 -8,0855 -7,9137 -8,3031 -9,1556 -10,3704 -11,8209 -13,3268 -14,6957 -15,8287 -16,8020 -17,8001 -18,9370 -20,1338 -21,1427 -21,6804 -21,5862 -20,9035 -19,8438 -18,6767 -17,6180 -16,7593 -16,0311 -15,2328 -14,1900 -12,9594 -11,8697 -11,3258 -11,5506 -12,4756 -13,7967 -15,1130 -16,0725 -16,4737 -16,3165 -15,8009 -15,2416 -14,9271 -15,0254 -15,5617 -16,4138 -17,3106 -17,8907 -17,8526 -17,1251 -15,9120 -14,5522 -13,3276 -12,3872 -11,8007 -11,6226 -11,8766 -12,5020 -13,3550 -14,2712 -15,1146 -15,7777 -16,1793 -16,2596 -15,9578 -15,2391 -14,1659 -12,8877 -11,5391 -10,1759 -8,8252 -7,5735 -6,5594 -5,8744 -5,5186 -5,4680 -5,7409 -6,3926 -7,4700 -8,9538 -10,7004 -12,4367 -13,8490 -14,7005 -14,8699 -14,3467 -13,2453 -11,7696 -10,1163 -8,4495 -6,9713 -5,9191 -5,4411 -5,5296 -6,0785 -6,9086 -7,7494 -8,3199 -8,4762 -8,2758 -7,9147 -7,5929 -7,4240 -7,4424 -7,6290 -7,8920 -8,0688 -8,0038 -7,6486 -7,0914 -6,4988 -6,0362 -5,8414 -6,0147 -6,5712 -7,4331 -8,5082 -9,7262 -10,9974 -12,2000 -13,2087 -13,9159 -14,2584 -14,2715 -14,1142 -13,9878 -13,9829 -14,0013 -13,7990 -13,0900 -11,7011 -9,7323 -7,5728 -5,7099 -4,4983 -4,0723 -4,3774 -5,2103 -6,2626 -7,2193 -7,8826 -8,2400 -8,4155 -8,5384 -8,6518 -8,7224 -8,6954 -8,5131 -8,1092 -7,4308 -6,5039 -5,4922 -4,6562 -4,2001 -4,1618 -4,4437 -4,8959 -5,3823 -5,8356 -6,2675 -6,7271 -7,2554 -7,8585 -8,4897 -9,0359 -9,3418 -9,3138 -9,0044 -8,5557 -8,0717 -7,5792 -7,0909 -6,6451 -6,2622 -5,8938 -5,4301 -4,7496 -3,7906 -2,6108 -1,4055 -0,4735 -0,1062 -0,4212 -1,2610 -2,2482 -2,9419 -2,9942 -2,2649 -0,8856 0,7774 2,2725 3,2430 3,5271 3,1457 2,2444 1,0411 -0,2561 -1,5207 -2,6964 -3,7671 -4,7639 -5,7342 -6,6781 -7,5621 -8,3901 -9,1976 -9,9615 -10,5548 -10,8004 -10,5349 -9,6345 -8,0671 -5,9743 -3,6969 -1,6956 -0,3956 -0,0235
Fz    0,2492 0,9938 1,6820 2,2745 2,7579 3,1325 3,3866 3,4925 3,4255 3,1861 2,8013 2,3077 1,7406 1,1475 0,5965 0,1539 -0,1416 -0,2824 -0,2882 -0,2021 -0,0746 0,0579 0,1760 0,2681 0,3356 0,3930 0,4402 0,4442 0,3601 0,1663 -0,1194 -0,4509 -0,7824 -1,0976 -1,4153 -1,7648 -2,1580 -2,5844 -3,0149 -3,3950 -3,6498 -3,7102 -3,5305 -3,1013 -2,4666 -1,7203 -0,9670 -0,2759 0,3365 0,8872 1,3884 1,8162 2,1162 2,2506 2,2420 2,1636 2,0925 2,0828 2,1703 2,3823 2,7316 3,1949 3,7064 4,1844 4,5561 4,7703 4,8123 4,7053 4,4806 4,1535 3,7377 3,2706 2,8113 2,4151 2,1156 1,9206 1,8205 1,8062 1,8812 2,0587 2,3447 2,7145 3,1076 3,4551 3,7100 3,8535 3,8868 3,8250 3,7023 3,5861 3,5616 3,6861 3,9513 4,2892 4,6124 4,8591 4,9993 5,0024 4,8234 4,4335 3,8583 3,1818 2,5049 1,8990 1,3940 0,9928 0,6819 0,4415 0,2571 0,1264 0,0567 0,0518 0,0984 0,1683 0,2346 0,2852 0,3249 0,3763 0,4698 0,6169 0,7965 0,9793 1,1512 1,3012 1,4120 1,4693 1,4663 1,3994 1,2657 1,0678 0,8143 0,5115 0,1660 -0,1975 -0,5330 -0,8014 -0,9965 -1,1416 -1,2644 -1,3721 -1,4442 -1,4502 -1,3765 -1,2353 -1,0496 -0,8332 -0,5824 -0,2796 0,1004 0,5750 1,1345 1,7373 2,3315 2,8788 3,3617 3,7753 4,1133 4,3600 4,5053 4,5727 4,6164 4,6853 4,7906 4,9125 5,0352 5,1678 5,3264 5,5070 5,6830 5,8293 5,9500 6,0866 6,2907 6,5812 6,9249 7,2611 7,5410 7,7436 7,8692 7,9379 7,9963 8,1047 8,3081 8,6239 9,0485 9,5567 10,0972 10,6046 11,0176 11,2831 11,3572 11,2164 10,8681 10,3472 9,7034 8,9894 8,2607 7,5755 6,9912 6,5564 6,2916 6,1771 6,1629 6,1951 6,2401 6,2894 6,3401 6,3761 6,3681 6,2847 6,1037 5,8215 5,4473 4,9897 4,4629 3,9106 3,4028 2,9957 2,7031 2,5012 2,3388 2,1403 1,8302 1,3774 0,8139 0,2090 -0,3645 -0,8530 -1,2302 -1,4938 -1,6565 -1,7394 -1,7631 -1,7368 -1,6584 -1,5330 -1,3884 -1,2601 -1,1637 -1,0855 -0,9946 -0,8637 -0,6762 -0,4173 -0,0701 0,3732 0,8974 1,4613 2,0039 2,4599 2,7800 2,9381 2,9260 2,7531 2,4516 2,0733 1,6754 1,2994 0,9601 0,6547 0,3771 0,1214 -0,1179 -0,3402 -0,5372 -0,6972 -0,8072 -0,8543 -0,8382 -0,7832 -0,7302 -0,7193 -0,7792 -0,9207 -1,1300 -1,3637 -1,5530 -1,6295 -1,5620 -1,3656 -1,0718 -0,7114 -0,3269 0,0235 0,2883 0,4385 0,4596 0,3546 0,1648 -0,0435 -0,2331 -0,4298 -0,6925 -1,0512 -1,4767 -1,9088 -2,3001 -2,6272 -2,8750 -3,0252 -3,0575 -2,9612 -2,7452 -2,4435 -2,1100 -1,8056 -1,5851 -1,4810 -1,4904 -1,5854 -1,7297 -1,8834 -2,0084 -2,0859 -2,1330 -2,1996 -2,3475 -2,6268 -3,0542 -3,6034 -4,2171 -4,8336 -5,4086 -5,9117 -6,3120 -6,5794 -6,6944 -6,6606 -6,5112 -6,2859 -5,9948 -5,6280 -5,1945 -4,7315 -4,2860 -3,8949 -3,5659 -3,2721 -2,9764 -2,6610 -2,3329 -2,0109 -1,7100 -1,4364 -1,1927 -0,9906 -0,8610 -0,8513 -1,0008 -1,3165 -1,7699 -2,3140 -2,8950 -3,4553 -3,9355 -4,2846 -4,4694 -4,4715 -4,2807 -3,9023 -3,3727 -2,7631 -2,1606 -1,6399 -1,2482 -1,0058 -0,9093 -0,9363 -1,0533 -1,2282 -1,4294 -1,6205 -1,7738 -1,8830 -1,9547 -2,0007 -2,0347 -2,0723 -2,1318 -2,2270 -2,3582 -2,5058 -2,6383 -2,7228 -2,7263 -2,6234 -2,4179 -2,1521 -1,8952 -1,7241 -1,6920 -1,8056 -2,0426 -2,3830 -2,8098 -3,2967 -3,8105 -4,3276 -4,8473 -5,3826 -5,9278 -6,4362 -6,8327 -7,0574 -7,1102 -7,0596 -7,0045 -7,0159 -7,0948 -7,1657 -7,1131 -6,8471 -6,3602 -5,7354 -5,0968 -4,5427 -4,1146 -3,8102 -3,6050 -3,4693 -3,3805 -3,3249 -3,2935 -3,2784 -3,2776 -3,2990 -3,3566 -3,4627 -3,6181 -3,8029 -3,9851 -4,1420 -4,2727 -4,3879 -4,4996 -4,6208 -4,7600 -4,9096 -5,0517 -5,1723 -5,2642 -5,3233 -5,3496 -5,3496 -5,3370 -5,3277 -5,3215 -5,2796 -5,1399 -4,8637 -4,4564 -3,9495 -3,3837 -2,8045 -2,2617 -1,8006 -1,4436 -1,1740 -0,9435 -0,7045 -0,4505 -0,2264 -0,0926 -0,0759 -0,1503 -0,2634 -0,3712 -0,4429 -0,4559 -0,4061 -0,3111 -0,1962 -0,0868 -0,0193 -0,0344 -0,1431 -0,3141 -0,5060 -0,6998 -0,9029 -1,1382 -1,4259 -1,7667 -2,1432 -2,5276 -2,8838 -3,1685 -3,3439 -3,3912 -3,3110 -3,1176 -2,8460 -2,5556 -2,3124 -2,1711 -2,1742 -2,3450 -2,6643 -3,0738 -3,5179 -3,9766 -4,4599 -4,9822 -5,5401 -6,1011 -6,6011 -6,9601 -7,1197 -7,0796 -6,8962 -6,6461 -6,3821 -6,1081 -5,7924 -5,4122 -4,9830 -4,5471 -4,1444 -3,7960 -3,5039 -3,2578 -3,0443 -2,8466 -2,6423 -2,4145 -2,1654 -1,9146 -1,6884 -1,5149 -1,4199 -1,4228 -1,5352 -1,7567 -2,0644 -2,4194 -2,7901 -3,1614 -3,5231 -3,8611 -4,1515 -4,3616 -4,4612 -4,4333 -4,2731 -3,9812 -3,5559 -2,9919 -2,2938 -1,4929 -0,6642 0,0785 0,6287 0,9357 1,0107 0,9054 0,6942 0,4596 0,2703 0,1585 0,1140 0,0927 0,0372 -0,0949 -0,3187 -0,6333 -1,0341 -1,5041 -2,0060 -2,4970 -2,9482 -3,3426 -3,6673 -3,9234 -4,1356 -4,3394 -4,5631 -4,8265 -5,1401 -5,4880 -5,8238 -6,0958 -6,2661 -6,3192 -6,2739 -6,1789 -6,0818 -6,0112 -5,9916 -6,0539 -6,2146 -6,4530 -6,7170 -6,9477 -7,1019 -7,1677 -7,1607 -7,1013 -7,0004 -6,8661 -6,7157
F3    0,4943 0,9225 1,2627 1,5459 1,7901 1,9976 2,1645 2,2907 2,3770 2,4220 2,4271 2,3918 2,3030 2,1458 1,9122 1,5957 1,1963 0,7350 0,2581 -0,1669 -0,4654 -0,5915 -0,5654 -0,4693 -0,3852 -0,3458 -0,3499 -0,3974 -0,4944 -0,6415 -0,8267 -1,0252 -1,2123 -1,3864 -1,5777 -1,8250 -2,1458 -2,5224 -2,9014 -3,1930 -3,2883 -3,1045 -2,6272 -1,9254 -1,1284 -0,3657 0,2862 0,8044 1,1847 1,4200 1,5136 1,4933 1,4056 1,3017 1,2296 1,2288 1,3226 1,5204 1,8233 2,2159 2,6498 3,0410 3,3041 3,4007 3,3557 3,2281 3,0735 2,9262 2,7916 2,6462 2,4603 2,2236 1,9512 1,6713 1,4144 1,2004 1,0288 0,8915 0,7942 0,7675 0,8656 1,1328 1,5604 2,0926 2,6673 3,2293 3,7153 4,0464 4,1525 4,0248 3,7402 3,4231 3,1855 3,0952 3,1672 3,3659 3,6132 3,8056 3,8481 3,6932 3,3588 2,9187 2,4661 2,0653 1,7200 1,3805 0,9891 0,5302 0,0421 -0,4141 -0,7815 -1,0153 -1,0906 -1,0135 -0,8154 -0,5388 -0,2304 0,0634 0,3025 0,4586 0,5308 0,5648 0,6314 0,7732 0,9887 1,2522 1,5241 1,7495 1,8600 1,7779 1,4384 0,8326 0,0357 -0,8158 -1,5847 -2,1879 -2,6095 -2,8748 -3,0161 -3,0505 -2,9739 -2,7731 -2,4522 -2,0461 -1,6051 -1,1566 -0,6888 -0,1745 0,3937 0,9835 1,5259 1,9471 2,2077 2,3113 2,2843 2,1625 1,9848 1,7783 1,5633 1,3803 1,2896 1,3393 1,5364 1,8468 2,2231 2,6302 3,0443 3,4407 3,7946 4,0928 4,3422 4,5683 4,8025 5,0577 5,3112 5,5264 5,6966 5,8502 6,0119 6,1894 6,3980 6,6629 6,9960 7,3981 7,8844 8,4778 9,1582 9,8254 10,3264 10,5214 10,3318 9,7651 8,9189 7,9500 7,0198 6,2394 5,6439 5,2100 4,8999 4,6870 4,5493 4,4606 4,4045 4,3830 4,3990 4,4381 4,4716 4,4748 4,4380 4,3609 4,2464 4,1035 3,9424 3,7571 3,5258 3,2417 2,9258 2,6037 2,2825 1,9540 1,6018 1,2026 0,7364 0,2057 -0,3599 -0,9206 -1,4453 -1,9151 -2,3142 -2,6230 -2,8276 -2,9297 -2,9361 -2,8460 -2,6587 -2,3986 -2,1193 -1,8806 -1,7230 -1,6489 -1,6188 -1,5757 -1,4765 -1,2976 -1,0296 -0,6704 -0,2157 0,3319 0,9410 1,5488 2,0778 2,4520 2,6155 2,5574 2,3209 1,9843 1,6309 1,3188 1,0520 0,7826 0,4481 0,0117 -0,5193 -1,0900 -1,6166 -2,0271 -2,2891 -2,3982 -2,3579 -2,1858 -1,9234 -1,6242 -1,3373 -1,1029 -0,9466 -0,8661 -0,8198 -0,7388 -0,5637 -0,2727 0,1179 0,5553 0,9544 1,2248 1,3098 1,2003 0,9140 0,4818 -0,0411 -0,5726 -1,0338 -1,3836 -1,6297 -1,8099 -1,9609 -2,1057 -2,2553 -2,4029 -2,5277 -2,6134 -2,6516 -2,6277 -2,5230 -2,3366 -2,1000 -1,8727 -1,7180 -1,6563 -1,6436 -1,6145 -1,5342 -1,4031 -1,2351 -1,0445 -0,8449 -0,6638 -0,5601 -0,6167 -0,8963 -1,4019 -2,0844 -2,8688 -3,6582 -4,3379 -4,8116 -5,0457 -5,0695 -4,9432 -4,7368 -4,5120 -4,2957 -4,0790 -3,8505 -3,6216 -3,4199 -3,2660 -3,1436 -2,9949 -2,7572 -2,4032 -1,9525 -1,4693 -1,0400 -0,7330 -0,5722 -0,5429 -0,6133 -0,7500 -0,9232 -1,1056 -1,2709 -1,3942 -1,4529 -1,4234 -1,2904 -1,0730 -0,8326 -0,6459 -0,5612 -0,5716 -0,6204 -0,6392 -0,5856 -0,4530 -0,2625 -0,0492 0,1514 0,3157 0,4380 0,5226 0,5734 0,5866 0,5427 0,4131 0,1853 -0,1259 -0,4902 -0,8733 -1,2396 -1,5501 -1,7598 -1,8281 -1,7447 -1,5453 -1,2954 -1,0638 -0,9076 -0,8628 -0,9410 -1,1342 -1,4133 -1,7286 -2,0356 -2,3206 -2,5874 -2,8337 -3,0478 -3,2202 -3,3553 -3,4816 -3,6489 -3,8991 -4,2329 -4,6092 -4,9784 -5,3056 -5,5672 -5,7409 -5,8019 -5,7235 -5,4839 -5,0846 -4,5681 -4,0066 -3,4630 -2,9700 -2,5481 -2,2173 -1,9872 -1,8560 -1,8211 -1,8784 -2,0037 -2,1402 -2,2200 -2,2042 -2,1022 -1,9634 -1,8488 -1,7971 -1,8231 -1,9383 -2,1512 -2,4505 -2,8071 -3,1845 -3,5377 -3,8153 -3,9800 -4,0238 -3,9597 -3,8142 -3,6335 -3,4739 -3,3709 -3,3252 -3,3061 -3,2559 -3,1103 -2,8374 -2,4639 -2,0721 -1,7654 -1,6081 -1,5884 -1,6394 -1,6868 -1,6726 -1,5536 -1,3029 -0,9230 -0,4531 0,0438 0,5015 0,8565 1,0470 1,0323 0,8212 0,4671 0,0356 -0,4148 -0,8361 -1,1981 -1,4928 -1,7232 -1,8862 -1,9712 -1,9800 -1,9363 -1,8734 -1,8250 -1,8292 -1,9240 -2,1241 -2,3944 -2,6525 -2,8175 -2,8601 -2,8057 -2,6957 -2,5571 -2,4024 -2,2468 -2,1246 -2,0910 -2,2034 -2,4901 -2,9305 -3,4644 -4,0209 -4,5413 -4,9926 -5,3710 -5,6946 -5,9913 -6,2765 -6,5230 -6,6752 -6,7100 -6,6625 -6,5884 -6,5186 -6,4397 -6,3038 -6,0642 -5,7079 -5,2553 -4,7380 -4,1850 -3,6255 -3,0919 -2,6210 -2,2466 -1,9905 -1,8606 -1,8483 -1,9220 -2,0382 -2,1707 -2,3214 -2,5080 -2,7591 -3,1122 -3,5896 -4,1747 -4,8153 -5,4362 -5,9520 -6,2947 -6,4387 -6,4079 -6,2588 -6,0459 -5,7885 -5,4615 -5,0165 -4,4278 -3,7265 -2,9917 -2,3270 -1,8383 -1,5994 -1,6259 -1,8760 -2,2598 -2,6577 -2,9673 -3,1564 -3,2594 -3,3211 -3,3564 -3,3528 -3,2869 -3,1412 -2,9252 -2,6857 -2,4943 -2,4224 -2,5220 -2,8250 -3,3401 -4,0301 -4,8024 -5,5502 -6,2032 -6,7373 -7,1585 -7,4839 -7,7203 -7,8587 -7,8892 -7,8138 -7,6471 -7,4332 -7,2564 -7,2024 -7,2954 -7,4879 -7,7043 -7,8804 -7,9840 -8,0220 -8,0256 -8,0268 -8,0511 -8,1134 -8,2100 -8,3193 -8,4119 -8,4598
F7    -0,0503 0,3295 0,7332 1,0984 1,3893 1,6008 1,7390 1,8052 1,7919 1,6915 1,5055 1,2358 0,8788 0,4524 0,0211 -0,3232 -0,5024 -0,4865 -0,3082 -0,0536 0,1771 0,3106 0,3107 0,1720 -0,0766 -0,3769 -0,6683 -0,9113 -1,0892 -1,2010 -1,2497 -1,2331 -1,1465 -0,9966 -0,8073 -0,6048 -0,4038 -0,2124 -0,0484 0,0589 0,0787 -0,0059 -0,1837 -0,4183 -0,6671 -0,8833 -0,9976 -0,9201 -0,5810 0,0269 0,8331 1,7021 2,4731 3,0224 3,3111 3,3817 3,3141 3,1816 3,0350 2,9166 2,8739 2,9347 3,0719 3,2039 3,2302 3,0758 2,7286 2,2466 1,7228 1,2425 0,8700 0,6551 0,6344 0,8195 1,1797 1,6383 2,1003 2,4971 2,8070 3,0400 3,2114 3,3160 3,3187 3,1795 2,8951 2,5159 2,1213 1,7768 1,5195 1,3784 1,3816 1,5330 1,7947 2,1042 2,4083 2,6805 2,9071 3,0644 3,1239 3,0764 2,9388 2,7393 2,5015 2,2456 2,0040 1,8264 1,7636 1,8411 2,0435 2,3150 2,5762 2,7497 2,7821 2,6522 2,3710 1,9737 1,5039 0,9993 0,4899 -0,0040 -0,4666 -0,8663 -1,1518 -1,2834 -1,2629 -1,1331 -0,9625 -0,8172 -0,7294 -0,6837 -0,6348 -0,5464 -0,4120 -0,2443 -0,0591 0,1208 0,2602 0,3312 0,3414 0,3380 0,3776 0,4835 0,6228 0,7272 0,7396 0,6488 0,4927 0,3366 0,2439 0,2440 0,3138 0,3982 0,4575 0,4936 0,5309 0,5841 0,6436 0,6763 0,6501 0,5748 0,5057 0,4975 0,5622 0,6766 0,8208 0,9983 1,2253 1,5079 1,8397 2,2158 2,6455 3,1520 3,7545 4,4327 5,1062 5,6657 6,0366 6,2114 6,2272 6,1336 5,9876 5,8513 5,7754 5,7864 5,8878 6,0537 6,2243 6,3272 6,3086 6,1500 5,8727 5,5290 5,1749 4,8445 4,5395 4,2387 3,9194 3,5786 3,2514 3,0110 2,9351 3,0638 3,3819 3,8276 4,3158 4,7671 5,1239 5,3474 5,4173 5,3369 5,1348 4,8523 4,5174 4,1261 3,6619 3,1401 2,6182 2,1609 1,8077 1,5684 1,4198 1,2961 1,1062 0,7850 0,3297 -0,2066 -0,7416 -1,1970 -1,5304 -1,7459 -1,8745 -1,9426 -1,9553 -1,9040 -1,7854 -1,6237 -1,4696 -1,3589 -1,2714 -1,1401 -0,9058 -0,5698 -0,1924 0,1581 0,4481 0,6768 0,8534 0,9808 1,0533 1,0643 1,0136 0,9058 0,7469 0,5512 0,3501 0,1867 0,0956 0,0851 0,1347 0,2073 0,2572 0,2396 0,1311 -0,0577 -0,2960 -0,5566 -0,8158 -1,0398 -1,1955 -1,2801 -1,3230 -1,3532 -1,3721 -1,3586 -1,2845 -1,1220 -0,8501 -0,4701 -0,0241 0,4169 0,7945 1,0896 1,3070 1,4467 1,4998 1,4557 1,2968 1,0074 0,6070 0,1492 -0,3325 -0,8567 -1,4589 -2,1229 -2,7563 -3,2412 -3,5119 -3,5850 -3,5302 -3,4167 -3,2759 -3,0986 -2,8604 -2,5551 -2,2103 -1,8748 -1,5900 -1,3647 -1,1810 -1,0274 -0,9145 -0,8595 -0,8684 -0,9325 -1,0388 -1,1878 -1,3986 -1,6890 -2,0484 -2,4384 -2,8229 -3,1891 -3,5388 -3,8681 -4,1635 -4,4176 -4,6332 -4,8133 -4,9651 -5,0960 -5,1887 -5,2074 -5,1366 -4,9939 -4,8008 -4,5611 -4,2657 -3,9141 -3,5328 -3,1667 -2,8484 -2,5786 -2,3317 -2,0807 -1,8210 -1,5730 -1,3680 -1,2335 -1,1841 -1,2172 -1,3111 -1,4279 -1,5265 -1,5774 -1,5661 -1,4861 -1,3294 -1,0774 -0,7030 -0,1934 0,4216 1,0632 1,6342 2,0633 2,3130 2,3582 2,1831 1,8080 1,2999 0,7421 0,2048 -0,2587 -0,6191 -0,8740 -1,0392 -1,1482 -1,2517 -1,3943 -1,5820 -1,7762 -1,9224 -1,9873 -1,9792 -1,9351 -1,8817 -1,8148 -1,7193 -1,5996 -1,4893 -1,4375 -1,4756 -1,5919 -1,7471 -1,9082 -2,0626 -2,2058 -2,3295 -2,4320 -2,5394 -2,6987 -2,9341 -3,2119 -3,4583 -3,6153 -3,6848 -3,7266 -3,8156 -3,9917 -4,2350 -4,4732 -4,6118 -4,5735 -4,3395 -3,9668 -3,5573 -3,1964 -2,9159 -2,6954 -2,4894 -2,2657 -2,0289 -1,8098 -1,6449 -1,5705 -1,6207 -1,8130 -2,1353 -2,5468 -2,9864 -3,3789 -3,6490 -3,7360 -3,6075 -3,2721 -2,7864 -2,2447 -1,7510 -1,3881 -1,2011 -1,1971 -1,3445 -1,5751 -1,8010 -1,9472 -1,9808 -1,9169 -1,7896 -1,6114 -1,3726 -1,0754 -0,7482 -0,4310 -0,1613 0,0333 0,1351 0,1404 0,0716 -0,0206 -0,0811 -0,0810 -0,0307 0,0264 0,0416 0,0004 -0,0616 -0,0909 -0,0576 0,0377 0,1738 0,3134 0,4174 0,4658 0,4614 0,4094 0,3067 0,1564 -0,0271 -0,2294 -0,4339 -0,6109 -0,7255 -0,7499 -0,6700 -0,4914 -0,2390 0,0546 0,3570 0,6337 0,8486 0,9779 1,0166 0,9616 0,8000 0,5261 0,1609 -0,2605 -0,7079 -1,1543 -1,5780 -1,9803 -2,3851 -2,8123 -3,2493 -3,6463 -3,9403 -4,0858 -4,0684 -3,9035 -3,6324 -3,3080 -2,9719 -2,6361 -2,2765 -1,8543 -1,3534 -0,7984 -0,2427 0,2480 0,6118 0,8179 0,8890 0,8884 0,8761 0,8752 0,8666 0,8118 0,6853 0,4892 0,2486 -0,0012 -0,2310 -0,4341 -0,6231 -0,8035 -0,9661 -1,1073 -1,2387 -1,3710 -1,5007 -1,6116 -1,6855 -1,7066 -1,6540 -1,5104 -1,2878 -1,0374 -0,8219 -0,6757 -0,5828 -0,4973 -0,3812 -0,2181 -0,0163 0,1826 0,3174 0,3482 0,2789 0,1430 -0,0141 -0,1435 -0,2120 -0,2223 -0,2096 -0,2174 -0,2790 -0,4069 -0,5845 -0,7631 -0,8786 -0,8830 -0,7708 -0,5831 -0,3895 -0,2566 -0,2225 -0,2996 -0,4919 -0,7975 -1,1953 -1,6506 -2,1346 -2,6216 -3,0749 -3,4600 -3,7667 -4,0085 -4,2143 -4,4178 -4,6350 -4,8373 -4,9552 -4,9186 -4,6936 -4,2950 -3,7796 -3,2334 -2,7587 -2,4546 -2,3825 -2,5336
