Fp1   0,1559 0,9566 1,8193 2,7145 3,5735 4,3166 4,8718 5,1925 5,2801 5,1917 5,0093 4,7901 4,5434 4,2515 3,9077 3,5284 3,1285 2,6946 2,1879 1,5714 0,8389 0,0355 -0,7464 -1,4032 -1,8761 -2,1857 -2,4129 -2,6388 -2,8981 -3,1843 -3,4808 -3,7735 -4,0391 -4,2308 -4,2813 -4,1288 -3,7468 -3,1676 -2,4938 -1,8642 -1,3886 -1,1127 -1,0323 -1,1229 -1,3545 -1,6877 -2,0720 -2,4525 -2,7755 -3,0084 -3,1631 -3,2790 -3,3791 -3,4515 -3,4598 -3,3585 -3,1120 -2,7195 -2,2244 -1,6973 -1,2129 -0,8340 -0,5991 -0,5131 -0,5438 -0,6314 -0,7171 -0,7696 -0,7890 -0,7914 -0,8003 -0,8487 -0,9684 -1,1751 -1,4681 -1,8266 -2,1941 -2,4928 -2,6727 -2,7433 -2,7685 -2,8313 -2,9953 -3,2761 -3,6280 -3,9613 -4,1832 -4,2325 -4,0967 -3,8153 -3,4605 -3,0995 -2,7688 -2,4781 -2,2346 -2,0583 -1,9597 -1,9107 -1,8623 -1,7918 -1,7167 -1,6699 -1,6798 -1,7670 -1,9396 -2,1837 -2,4691 -2,7738 -3,0972 -3,4419 -3,7928 -4,1122 -4,3528 -4,4813 -4,5017 -4,4624 -4,4310 -4,4463 -4,4895 -4,4991 -4,4157 -4,2238 -3,9523 -3,6406 -3,3122 -2,9710 -2,6100 -2,2339 -1,8761 -1,5867 -1,3988 -1,2969 -1,2166 -1,0807 -0,8398 -0,4810 -0,0158 0,5415 1,1902 1,9286 2,7216 3,5104 4,2624 4,9829 5,6794 6,3365 6,9241 7,4241 7,8498 8,2248 8,5426 8,7713 8,8933 8,9263 8,9223 8,9557 9,0885 9,3280 9,6150 9,8490 9,9300 9,8036 9,4903 9,0671 8,6127 8,1739 7,7753 7,4366 7,1616 6,9165 6,6409 6,2796 5,8089 5,2530 4,6864 4,1964 3,8222 3,5373 3,2842 3,0106 2,6828 2,2930 1,8557 1,3887 0,9099 0,4568 0,0889 -0,1417 -0,2188 -0,1714 -0,0698 0,0076 0,0238 0,0014 0,0012 0,0886 0,3023 0,6394 1,0688 1,5525 2,0522 2,5262 2,9383 3,2845 3,5998 3,9268 4,2705 4,5847 4,8003 4,8710 4,8012 4,6383 4,4362 4,2263 4,0196 3,8302 3,6913 3,6423 3,6970 3,8267 3,9760 4,1031 4,2084 4,3174 4,4457 4,5785 4,6727 4,6784 4,5637 4,3184 3,9456 3,4562 2,8747 2,2532 1,6694 1,1901 0,8327 0,5735 0,3915 0,2894 0,2671 0,3013 0,3804 0,5290 0,7618 1,0367 1,2839 1,4753 1,6492 1,8683 2,1683 2,5562 3,0330 3,5933 4,2128 4,8534 5,4783 6,0608 6,5801 7,0128 7,3319 7,5219 7,5898 7,5547 7,4297 7,2216 6,9527 6,6791 6,4711 6,3546 6,2706 6,1133 5,8130 5,3752 4,8491 4,2868 3,7417 3,2885 3,0240 3,0287 3,3198 3,8328 4,4475 5,0458 5,5543 5,9451 6,2139 6,3658 6,4079 6,3445 6,1792 5,9246 5,6167 5,3256 5,1443 5,1365 5,2856 5,5024 5,6853 5,7709 5,7403 5,5963 5,3491 5,0174 4,6287 4,2114 3,7911 3,3904 3,0229 2,6863 2,3799 2,1209 1,9228 1,7739 1,6538 1,5534 1,4639 1,3690 1,2532 1,1005 0,8863 0,5869 0,2056 -0,2111 -0,5921 -0,8830 -1,0676 -1,1668 -1,2269 -1,2946 -1,3821 -1,4516 -1,4385 -1,2931 -1,0071 -0,6184 -0,1859 0,2540 0,7036 1,1827 1,7033 2,2603 2,8243 3,3373 3,7218 3,9047 3,8542 3,6057 3,2506 2,8940 2,6162 2,4572 2,4145 2,4500 2,5222 2,6231 2,7711 2,9713 3,1910 3,3659 3,4267 3,3338 3,0977 2,7678 2,4036 2,0531 1,7472 1,5020 1,3199 1,1882 1,0835 0,9930 0,9277 0,9111 0,9668 1,1194 1,3866 1,7633 2,2111 2,6645 3,0532 3,3271 3,4740 3,5184 3,5003 3,4530 3,3942 3,3210 3,2114 3,0439 2,8282 2,6075 2,4290 2,3252 2,3143 2,3844 2,4827 2,5411 2,5136 2,3795 2,1191 1,7160 1,1945 0,6342 0,1322 -0,2374 -0,4338 -0,4498 -0,3116 -0,0631 0,2564 0,6144 0,9694 1,2704 1,4761 1,5636 1,5280 1,3973 1,2401 1,1302 1,0955 1,1081 1,1130 1,0622 0,9374 0,7471 0,5046 0,2208 -0,0786 -0,3528 -0,5768 -0,7637 -0,9515 -1,1661 -1,3976 -1,6049 -1,7385 -1,7666 -1,6933 -1,5554 -1,3962 -1,2371 -1,0787 -0,9295 -0,8180 -0,7754 -0,8216 -0,9656 -1,1977 -1,4766 -1,7373 -1,9129 -1,9514 -1,8255 -1,5412 -1,1493 -0,7370 -0,3933 -0,1734 -0,0800 -0,0679 -0,0805 -0,0892 -0,0984 -0,1131 -0,1072 -0,0264 0,1773 0,5140 0,9577 1,4721 2,0210 2,5574 3,0260 3,3868 3,6086 3,6428 3,4414 3,0055 2,3919 1,6757 0,9196 0,1804 -0,4722 -0,9670 -1,2710 -1,4039 -1,4075 -1,3124 -1,1415 -0,9307 -0,7301 -0,5949 -0,5782 -0,7198 -1,0201 -1,4241 -1,8432 -2,2033 -2,4765 -2,6792 -2,8544 -3,0481 -3,2807 -3,5382 -3,7920 -4,0245 -4,2390 -4,4467 -4,6326 -4,7413 -4,7087 -4,5115 -4,1742 -3,7274 -3,1800 -2,5377 -1,8266 -1,0885 -0,3641 0,3207 0,9649 1,5838 2,1766 2,7141 3,1667 3,5199 3,7596 3,8727 3,8748 3,8134 3,7331 3,6506 3,5610 3,4632 3,3775 3,3416 3,3944 3,5618 3,8513 4,2550 4,7535 5,3066 5,8406 6,2615 6,4973 6,5268 6,3654 6,0394 5,5796 5,0284 4,4463 3,9146 3,5190 3,3150 3,2934 3,3727 3,4407 3,4216 3,2988 3,0835 2,7925 2,4601 2,1364 1,8578 1,6333 1,4651 1,3643 1,3322 1,3363 1,3256 1,2668 1,1521 0,9777 0,7337 0,4198 0,0594 -0,3191 -0,7039 -1,0821 -1,4088 -1,6256 -1,7156 -1,7250 -1,7162 -1,7210 -1,7538 -1,8425 -2,0206 -2,2932 -2,6178 -2,9111 -3,0763 -3,0374 -2,7691 -2,3093 -1,7437 -1,1716 -0,6745 -0,2985
Fz    2,7018 3,6124 4,6011 5,6196 6,5978 7,4570 8,1198 8,5303 8,6767 8,5903 8,3158 7,8832 7,3059 6,6005 5,7983 4,9371 4,0433 3,1210 2,1593 1,1452 0,0758 -1,0249 -2,0995 -3,0769 -3,9140 -4,6190 -5,2311 -5,7761 -6,2430 -6,5998 -6,8218 -6,9036 -6,8510 -6,6623 -6,3156 -5,7778 -5,0358 -4,1327 -3,1812 -2,3266 -1,6843 -1,3084 -1,2043 -1,3504 -1,7038 -2,1988 -2,7575 -3,3007 -3,7500 -4,0414 -4,1468 -4,0737 -3,8462 -3,4899 -3,0228 -2,4507 -1,7784 -1,0335 -0,2789 0,4024 0,9325 1,2548 1,3405 1,1946 0,8594 0,4069 -0,0827 -0,5421 -0,9287 -1,2259 -1,4407 -1,6019 -1,7453 -1,8952 -2,0600 -2,2275 -2,3522 -2,3726 -2,2569 -2,0323 -1,7763 -1,5805 -1,5132 -1,5940 -1,7873 -2,0177 -2,2050 -2,2886 -2,2380 -2,0600 -1,7937 -1,4875 -1,1769 -0,8811 -0,6151 -0,3974 -0,2398 -0,1336 -0,0620 -0,0258 -0,0454 -0,1348 -0,2871 -0,4826 -0,6970 -0,8995 -1,0610 -1,1740 -1,2596 -1,3531 -1,4845 -1,6638 -1,8786 -2,1051 -2,3237 -2,5298 -2,7275 -2,9107 -3,0514 -3,1049 -3,0288 -2,8074 -2,4606 -2,0291 -1,5571 -1,0815 -0,6260 -0,2093 0,1417 0,4005 0,5650 0,6696 0,7732 0,9342 1,1917 1,5638 2,0521 2,6508 3,3583 4,1726 5,0666 5,9870 6,8873 7,7494 8,5713 9,3538 10,0990 10,8135 11,5057 12,1689 12,7694 13,2720 13,6751 14,0159 14,3499 14,7278 15,1659 15,6231 16,0097 16,2226 16,1816 15,8535 15,2651 14,4950 13,6439 12,8051 12,0508 11,4283 10,9484 10,5769 10,2517 9,9191 9,5593 9,1913 8,8643 8,6329 8,5213 8,5053 8,5304 8,5389 8,4870 8,3476 8,1052 7,7530 7,3060 6,8135 6,3419 5,9379 5,6120 5,3434 5,0926 4,8274 4,5517 4,3015 4,1188 4,0339 4,0583 4,1808 4,3715 4,5914 4,7971 4,9452 5,0076 4,9925 4,9461 4,9238 4,9519 5,0119 5,0553 5,0347 4,9289 4,7428 4,4897 4,1814 3,8355 3,4880 3,1933 3,0085 2,9762 3,1150 3,4142 3,8421 4,3651 4,9574 5,5907 6,2195 6,7842 7,2303 7,5245 7,6521 7,6109 7,4116 7,0836 6,6850 6,2982 5,9987 5,8177 5,7402 5,7362 5,7847 5,8665 5,9555 6,0375 6,1263 6,2413 6,3770 6,5067 6,6141 6,7146 6,8435 7,0307 7,2938 7,6450 8,0874 8,6086 9,1880 9,8093 10,4570 11,1007 11,6874 12,1558 12,4587 12,5773 12,5208 12,3145 11,9910 11,5949 11,1869 10,8248 10,5240 10,2379 9,8870 9,4155 8,8223 8,1472 7,4465 6,7859 6,2433 5,9013 5,8234 6,0230 6,4476 6,9939 7,5519 8,0434 8,4308 8,7058 8,8764 8,9567 8,9577 8,8855 8,7520 8,5907 8,4625 8,4407 8,5741 8,8506 9,1971 9,5210 9,7533 9,8613 9,8364 9,6834 9,4186 9,0698 8,6716 8,2577 7,8523 7,4592 7,0631 6,6549 6,2542 5,8954 5,5991 5,3687 5,1996 5,0778 4,9760 4,8607 4,6959 4,4462 4,0886 3,6262 3,0893 2,5206 1,9561 1,4200 0,9314 0,5066 0,1608 -0,0835 -0,1916 -0,1316 0,1069 0,5089 1,0387 1,6510 2,3127 3,0120 3,7439 4,4885 5,2047 5,8379 6,3340 6,6526 6,7772 6,7280 6,5624 6,3509 6,1482 5,9870 5,8866 5,8529 5,8741 5,9310 6,0140 6,1230 6,2497 6,3627 6,4060 6,3180 6,0686 5,6805 5,2117 4,7193 4,2381 3,7833 3,3602 2,9684 2,6001 2,2414 1,8871 1,5528 1,2758 1,1115 1,1224 1,3503 1,7899 2,3873 3,0626 3,7401 4,3657 4,9119 5,3722 5,7463 6,0310 6,2203 6,3023 6,2621 6,1027 5,8631 5,6052 5,3799 5,2121 5,1106 5,0728 5,0823 5,1162 5,1537 5,1693 5,1241 4,9803 4,7329 4,4197 4,0931 3,7897 3,5218 3,2839 3,0642 2,8589 2,6790 2,5401 2,4422 2,3670 2,2936 2,2117 2,1280 2,0701 2,0739 2,1522 2,2773 2,3940 2,4472 2,4062 2,2722 2,0612 1,7797 1,4285 1,0252 0,6111 0,2295 -0,0995 -0,3847 -0,6406 -0,8611 -1,0148 -1,0613 -0,9746 -0,7618 -0,4585 -0,1035 0,2822 0,6867 1,0867 1,4451 1,7257 1,8995 1,9423 1,8418 1,6107 1,2867 0,9249 0,5877 0,3323 0,1947 0,1741 0,2303 0,3016 0,3336 0,3048 0,2290 0,1315 0,0260 -0,0843 -0,1892 -0,2580 -0,2449 -0,1107 0,1588 0,5558 1,0641 1,6596 2,2977 2,9176 3,4630 3,8854 4,1319 4,1558 3,9470 3,5391 2,9884 2,3542 1,7022 1,1132 0,6699 0,4246 0,3868 0,5416 0,8665 1,3261 1,8665 2,4221 2,9276 3,3214 3,5499 3,5858 3,4474 3,1886 2,8644 2,5063 2,1242 1,7185 1,2903 0,8514 0,4247 0,0350 -0,3027 -0,5886 -0,8336 -1,0439 -1,2133 -1,3305 -1,3903 -1,3905 -1,3201 -1,1606 -0,9052 -0,5725 -0,1975 0,1859 0,5579 0,9216 1,2977 1,7013 2,1276 2,5665 3,0158 3,4724 3,9276 4,3778 4,8276 5,2809 5,7364 6,1900 6,6431 7,1114 7,6220 8,2009 8,8589 9,5867 10,3577 11,1374 11,8815 12,5262 12,9955 13,2357 13,2372 13,0203 12,6105 12,0360 11,3358 10,5604 9,7696 9,0286 8,3929 7,8838 7,4732 7,1052 6,7359 6,3484 5,9403 5,5195 5,1139 4,7627 4,4942 4,3173 4,2322 4,2363 4,3097 4,4038 4,4620 4,4493 4,3541 4,1723 3,9083 3,5839 3,2311 2,8665 2,4846 2,0876 1,7115 1,4141 1,2341 1,1684 1,1861 1,2541 1,3402 1,4021 1,3978 1,3138 1,1822 1,0703 1,0502 1,1656 1,4131 1,7444 2,0902 2,3911 2,6151 2,7635
F3    2,5308 3,2604 4,0800 4,9629 5,8427 6,6285 7,2283 7,5772 7,6609 7,5179 7,2088 6,7798 6,2526 5,6399 4,9647 4,2609 3,5521 2,8306 2,0596 1,1933 0,2070 -0,8718 -1,9500 -2,8998 -3,6282 -4,1328 -4,4886 -4,7774 -5,0327 -5,2456 -5,4008 -5,4932 -5,5151 -5,4377 -5,2102 -4,7847 -4,1524 -3,3735 -2,5777 -1,9144 -1,4858 -1,3271 -1,4244 -1,7338 -2,1897 -2,7119 -3,2143 -3,6125 -3,8303 -3,8225 -3,6022 -3,2262 -2,7517 -2,2166 -1,6432 -1,0420 -0,4203 0,2027 0,7885 1,2915 1,6719 1,8976 1,9440 1,8046 1,5047 1,1006 0,6588 0,2324 -0,1456 -0,4525 -0,6736 -0,8102 -0,8801 -0,9140 -0,9515 -1,0165 -1,0863 -1,1083 -1,0580 -0,9703 -0,9169 -0,9578 -1,1107 -1,3488 -1,6065 -1,7976 -1,8527 -1,7497 -1,5199 -1,2311 -0,9571 -0,7459 -0,6069 -0,5211 -0,4664 -0,4386 -0,4456 -0,4856 -0,5509 -0,6505 -0,8053 -1,0218 -1,2846 -1,5684 -1,8463 -2,0923 -2,2913 -2,4516 -2,6037 -2,7766 -2,9751 -3,1714 -3,3143 -3,3535 -3,2745 -3,1208 -2,9720 -2,8828 -2,8419 -2,7836 -2,6331 -2,3473 -1,9241 -1,3869 -0,7725 -0,1223 0,5284 1,1475 1,6924 2,1153 2,3935 2,5563 2,6793 2,8432 3,0929 3,4330 3,8504 4,3400 4,9121 5,5693 6,2729 6,9571 7,5863 8,1782 8,7710 9,3847 10,0116 10,6353 11,2489 11,8427 12,3815 12,8246 13,1665 13,4442 13,7179 14,0529 14,4938 15,0295 15,5819 16,0298 16,2537 16,1803 15,8072 15,1900 14,4041 13,5233 12,6236 11,7816 11,0475 10,4191 9,8559 9,3133 8,7666 8,2283 7,7542 7,4092 7,2121 7,1248 7,0878 7,0464 6,9555 6,7881 6,5390 6,2109 5,8121 5,3733 4,9498 4,5972 4,3452 4,1836 4,0632 3,9269 3,7541 3,5665 3,4010 3,2920 3,2692 3,3512 3,5400 3,8191 4,1518 4,4859 4,7761 5,0159 5,2412 5,4940 5,7803 6,0656 6,2990 6,4376 6,4642 6,3900 6,2381 6,0254 5,7645 5,4798 5,2212 5,0503 5,0070 5,0895 5,2640 5,4956 5,7736 6,1050 6,4861 6,8833 7,2391 7,4980 7,6297 7,6273 7,4947 7,2394 6,8791 6,4582 6,0472 5,7053 5,4422 5,2279 5,0408 4,8927 4,8027 4,7686 4,7927 4,9089 5,1441 5,4667 5,7989 6,0818 6,3151 6,5357 6,7775 7,0603 7,3970 7,7905 8,2276 8,6830 9,1287 9,5420 9,9063 10,2055 10,4170 10,5197 10,5087 10,3994 10,2134 9,9688 9,6954 9,4508 9,2958 9,2366 9,2005 9,0829 8,8203 8,4177 7,9214 7,3823 6,8483 6,3803 6,0592 5,9643 6,1307 6,5196 7,0280 7,5379 7,9695 8,2991 8,5435 8,7338 8,8895 9,0049 9,0556 9,0218 8,9125 8,7772 8,6910 8,7106 8,8341 9,0033 9,1439 9,1995 9,1375 8,9416 8,6108 8,1641 7,6366 7,0708 6,5144 6,0136 5,5904 5,2310 4,9129 4,6379 4,4205 4,2603 4,1465 4,0724 4,0285 3,9977 3,9647 3,9086 3,7892 3,5618 3,2106 2,7579 2,2377 1,6731 1,0817 0,4890 -0,0734 -0,5713 -0,9593 -1,1736 -1,1514 -0,8647 -0,3389 0,3511 1,1103 1,8682 2,6034 3,3268 4,0481 4,7542 5,4053 5,9453 6,3230 6,5147 6,5391 6,4531 6,3258 6,2076 6,1206 6,0708 6,0509 6,0378 6,0071 5,9561 5,8994 5,8451 5,7782 5,6601 5,4445 5,1080 4,6740 4,2015 3,7483 3,3481 3,0130 2,7464 2,5490 2,4129 2,3110 2,2119 2,1068 2,0207 2,0043 2,1139 2,3847 2,8134 3,3591 3,9540 4,5224 5,0015 5,3593 5,5961 5,7251 5,7576 5,7025 5,5666 5,3551 5,0834 4,7944 4,5549 4,4252 4,4396 4,6006 4,8696 5,1689 5,4156 5,5522 5,5456 5,3681 5,0059 4,4938 3,9218 3,3899 2,9605 2,6509 2,4465 2,3138 2,2191 2,1461 2,0891 2,0325 1,9497 1,8196 1,6316 1,3868 1,1200 0,9074 0,8211 0,8758 1,0213 1,1785 1,2852 1,3219 1,2987 1,2233 1,0938 0,9224 0,7449 0,5968 0,4818 0,3701 0,2284 0,0488 -0,1421 -0,2943 -0,3558 -0,2969 -0,1212 0,1455 0,4749 0,8383 1,1950 1,4954 1,7007 1,7902 1,7569 1,6081 1,3661 1,0610 0,7294 0,4176 0,1762 0,0422 0,0136 0,0456 0,0754 0,0569 -0,0128 -0,0911 -0,1250 -0,0917 -0,0057 0,1090 0,2529 0,4526 0,7249 1,0509 1,3946 1,7394 2,0862 2,4260 2,7347 2,9892 3,1609 3,1985 3,0505 2,7126 2,2332 1,6779 1,1024 0,5590 0,1120 -0,1758 -0,2800 -0,2295 -0,0756 0,1457 0,4141 0,7089 1,0068 1,2824 1,5047 1,6414 1,6826 1,6574 1,6185 1,6054 1,6223 1,6399 1,6091 1,4855 1,2567 0,9477 0,5983 0,2355 -0,1374 -0,5247 -0,9076 -1,2350 -1,4520 -1,5379 -1,5041 -1,3594 -1,0982 -0,7277 -0,2874 0,1678 0,5997 1,0055 1,4189 1,8817 2,3996 2,9366 3,4538 3,9303 4,3483 4,6941 4,9817 5,2494 5,5222 5,7907 6,0294 6,2307 6,4207 6,6435 6,9384 7,3277 7,8140 8,3869 9,0282 9,7018 10,3418 10,8622 11,1932 11,3057 11,2032 10,9002 10,4165 9,7803 9,0396 8,2722 7,5703 7,0017 6,5751 6,2398 5,9250 5,5897 5,2336 4,8690 4,5065 4,1678 3,8853 3,6766 3,5342 3,4480 3,4208 3,4482 3,4985 3,5327 3,5361 3,5100 3,4453 3,3207 3,1265 2,8759 2,5838 2,2479 1,8685 1,4796 1,1397 0,8838 0,7006 0,5647 0,4695 0,4152 0,3838 0,3471 0,2957 0,2538 0,2724 0,4128 0,7228 1,2081 1,8174 2,4648 3,0675 3,5688 3,9405
F7    0,5787 1,2826 2,0076 2,7095 3,3023 3,7047 3,8653 3,7748 3,4815 3,0954 2,7486 2,5260 2,4278 2,3977 2,3834 2,3648 2,3274 2,2263 1,9930 1,5724 0,9574 0,2121 -0,5307 -1,1160 -1,4471 -1,5406 -1,5042 -1,4569 -1,4680 -1,5630 -1,7579 -2,0585 -2,4310 -2,7865 -3,0084 -3,0036 -2,7428 -2,2767 -1,7339 -1,2677 -0,9767 -0,8802 -0,9546 -1,1716 -1,5041 -1,9089 -2,3223 -2,6732 -2,8958 -2,9586 -2,8983 -2,8042 -2,7542 -2,7721 -2,8246 -2,8414 -2,7491 -2,5058 -2,1138 -1,6115 -1,0662 -0,5638 -0,1827 0,0363 0,1033 0,0689 -0,0069 -0,0827 -0,1360 -0,1494 -0,1154 -0,0540 -0,0152 -0,0684 -0,2888 -0,7131 -1,2846 -1,8689 -2,3400 -2,6513 -2,8418 -2,9908 -3,1656 -3,3906 -3,6401 -3,8528 -3,9589 -3,9080 -3,6961 -3,3751 -3,0211 -2,6911 -2,4115 -2,1931 -2,0541 -2,0264 -2,1191 -2,2757 -2,4038 -2,4517 -2,4354 -2,4052 -2,4197 -2,5375 -2,8021 -3,2145 -3,7286 -4,2847 -4,8413 -5,3683 -5,8277 -6,1658 -6,3220 -6,2564 -5,9875 -5,6065 -5,2363 -4,9555 -4,7561 -4,5719 -4,3460 -4,0740 -3,7881 -3,5150 -3,2563 -2,9875 -2,6708 -2,2891 -1,8757 -1,5023 -1,2240 -1,0265 -0,8297 -0,5556 -0,1834 0,2594 0,7384 1,2425 1,7930 2,4120 3,0714 3,7092 4,3015 4,8800 5,4711 6,0502 6,5545 6,9369 7,2091 7,4133 7,5562 7,6061 7,5449 7,3932 7,2083 7,0775 7,0875 7,2757 7,6072 7,9909 8,3155 8,4983 8,5230 8,4198 8,2108 7,8968 7,4953 7,0602 6,6438 6,2469 5,8199 5,3011 4,6520 3,8888 3,0923 2,3590 1,7280 1,1718 0,6489 0,1344 -0,3846 -0,9073 -1,4158 -1,8932 -2,3293 -2,6909 -2,9078 -2,9104 -2,6787 -2,2649 -1,7835 -1,3610 -1,0662 -0,8861 -0,7500 -0,5644 -0,2496 0,2309 0,8698 1,6357 2,4797 3,3304 4,1115 4,7856 5,3674 5,8822 6,3201 6,6353 6,7761 6,7145 6,4690 6,1069 5,7076 5,3208 4,9592 4,6238 4,3299 4,1031 3,9456 3,8142 3,6423 3,4007 3,1320 2,9114 2,7822 2,7291 2,6909 2,5943 2,3924 2,0764 1,6605 1,1646 0,6146 0,0573 -0,4378 -0,8175 -1,0884 -1,2994 -1,4766 -1,5982 -1,6463 -1,6490 -1,6296 -1,5538 -1,3826 -1,1461 -0,9158 -0,7134 -0,4801 -0,1387 0,3362 0,9238 1,5962 2,3210 3,0476 3,7190 4,2968 4,7705 5,1488 5,4381 5,6287 5,7046 5,6589 5,4961 5,2288 4,8865 4,5353 4,2807 4,2176 4,3477 4,5549 4,6789 4,6159 4,3459 3,8942 3,3008 2,6305 1,9929 1,5325 1,3810 1,5915 2,1000 2,7528 3,3917 3,9246 4,3284 4,6142 4,8042 4,9152 4,9449 4,8794 4,7162 4,4835 4,2495 4,1067 4,1113 4,2278 4,3545 4,3982 4,3210 4,1326 3,8554 3,5040 3,0948 2,6548 2,2133 1,7981 1,4414 1,1673 0,9705 0,8316 0,7413 0,6826 0,6141 0,5032 0,3544 0,1921 0,0442 -0,0550 -0,0804 -0,0464 -0,0043 -0,0001 -0,0352 -0,0790 -0,1100 -0,1350 -0,1837 -0,3002 -0,5145 -0,7994 -1,0600 -1,1808 -1,0902 -0,7905 -0,3561 0,1029 0,5038 0,8334 1,1353 1,4755 1,9089 2,4442 3,0205 3,5222 3,8260 3,8620 3,6557 3,3188 2,9872 2,7543 2,6495 2,6480 2,6917 2,7351 2,7903 2,9117 3,1382 3,4544 3,7930 4,0664 4,2046 4,1772 3,9915 3,6785 3,2804 2,8484 2,4399 2,1030 1,8530 1,6676 1,5205 1,4173 1,3926 1,4839 1,7128 2,0745 2,5363 3,0390 3,5050 3,8525 4,0162 3,9723 3,7472 3,3983 2,9907 2,5845 2,2155 1,8815 1,5614 1,2549 0,9952 0,8245 0,7805 0,8936 1,1573 1,5049 1,8391 2,0811 2,1819 2,0989 1,7991 1,3062 0,7190 0,1607 -0,2781 -0,5498 -0,6452 -0,5940 -0,4469 -0,2388 0,0173 0,2996 0,5656 0,7752 0,9031 0,9357 0,8893 0,8296 0,8343 0,9310 1,0796 1,2069 1,2487 1,1744 0,9807 0,6701 0,2556 -0,2066 -0,6205 -0,9114 -1,0784 -1,1827 -1,2891 -1,4235 -1,5686 -1,6814 -1,7210 -1,6805 -1,5925 -1,4977 -1,4066 -1,3033 -1,1900 -1,1054 -1,0939 -1,1742 -1,3319 -1,5186 -1,6627 -1,7023 -1,6100 -1,3849 -1,0320 -0,5658 -0,0383 0,4622 0,8509 1,0820 1,1642 1,1527 1,1082 1,0521 0,9702 0,8593 0,7631 0,7556 0,8902 1,1629 1,5291 1,9485 2,3960 2,8357 3,2190 3,5109 3,6777 3,6499 3,3529 2,7827 2,0207 1,1716 0,3049 -0,5383 -1,3086 -1,9500 -2,4446 -2,8281 -3,1464 -3,4153 -3,6339 -3,8098 -3,9563 -4,0861 -4,2208 -4,3929 -4,6187 -4,8642 -5,0518 -5,1061 -4,9939 -4,7354 -4,3974 -4,0700 -3,8207 -3,6688 -3,6023 -3,6041 -3,6670 -3,7826 -3,9071 -3,9521 -3,8318 -3,5292 -3,1008 -2,6135 -2,0938 -1,5413 -0,9582 -0,3552 0,2535 0,8581 1,4622 2,0728 2,6700 3,2087 3,6539 3,9815 4,1478 4,1078 3,8752 3,5291 3,1531 2,7848 2,4221 2,0616 1,7209 1,4327 1,2290 1,1324 1,1536 1,2993 1,5794 1,9909 2,4860 2,9680 3,3318 3,5159 3,5156 3,3616 3,0971 2,7638 2,4021 2,0700 1,8463 1,7974 1,9255 2,1449 2,3302 2,4075 2,3845 2,2903 2,1291 1,9032 1,6395 1,3691 1,1094 0,8801 0,7163 0,6407 0,6290 0,6254 0,5866 0,4898 0,3084 0,0092 -0,4120 -0,9068 -1,4094 -1,8872 -2,3289 -2,6976 -2,9362 -3,0345 -3,0611 -3,1013 -3,1862 -3,3080 -3,4749 -3,7149 -4,0343 -4,3869 -4,6794 -4,8042 -4,6835 -4,3049 -3,7278 -3,0546 -2,3866 -1,7971 -1,3214
