Fp1   0,1493 0,2292 0,2985 0,3703 0,4503 0,5353 0,6215 0,7119 0,8101 0,9116 1,0070 1,0906 1,1665 1,2440 1,3282 1,4121 1,4758 1,4967 1,4653 1,3914 1,2915 1,1753 1,0418 0,8821 0,6865 0,4551 0,1998 -0,0592 -0,2965 -0,4858 -0,6090 -0,6647 -0,6699 -0,6530 -0,6397 -0,6432 -0,6683 -0,7211 -0,8092 -0,9358 -1,0950 -1,2719 -1,4489 -1,6114 -1,7456 -1,8346 -1,8647 -1,8321 -1,7409 -1,5969 -1,4061 -1,1772 -0,9212 -0,6507 -0,3799 -0,1262 0,0873 0,2360 0,3101 0,3270 0,3197 0,3094 0,2917 0,2456 0,1535 0,0140 -0,1552 -0,3244 -0,4625 -0,5514 -0,5972 -0,6277 -0,6755 -0,7606 -0,8822 -1,0180 -1,1299 -1,1797 -1,1477 -1,0383 -0,8677 -0,6495 -0,3916 -0,1029 0,1995 0,4923 0,7576 0,9923 1,2008 1,3796 1,5122 1,5808 1,5790 1,5154 1,4118 1,3028 1,2310 1,2350 1,3409 1,5563 1,8662 2,2343 2,6149 2,9653 3,2571 3,4805 3,6381 3,7381 3,7934 3,8188 3,8206 3,7914 3,7155 3,5800 3,3792 3,1128 2,7864 2,4209 2,0629 1,7758 1,6151 1,6078 1,7569 2,0544 2,4911 3,0601 3,7558 4,5641 5,4540 6,3853 7,3224 8,2379 9,1074 9,9095 10,6343 11,2843 11,8644 12,3729 12,8078 13,1793 13,5110 13,8267 14,1289 14,3883 14,5534 14,5745 14,4246 14,1068 13,6503 13,0969 12,4875 11,8515 11,2007 10,5282 9,8161 9,0505 8,2376 7,4090 6,6108 5,8872 5,2717 4,7860 4,4394 4,2266 4,1306 4,1294 4,2038 4,3405 4,5336 4,7822 5,0849 5,4314 5,7974 6,1477 6,4522 6,7009 6,9034 7,0780 7,2427 7,4117 7,5950 7,8008 8,0340 8,2919 8,5622 8,8275 9,0681 9,2615 9,3839 9,4169 9,3527 9,1914 8,9417 8,6269 8,2786 7,9164 7,5390 7,1377 6,7135 6,2793 5,8437 5,3985 4,9222 4,3943 3,8085 3,1802 2,5440 1,9397 1,3926 0,8992 0,4341 -0,0261 -0,4806 -0,8981 -1,2264 -1,4142 -1,4329 -1,2897 -1,0213 -0,6753 -0,2992 0,0599 0,3603 0,5796 0,7210 0,8054 0,8601 0,9126 0,9889 1,1051 1,2568 1,4184 1,5532 1,6261 1,6155 1,5223 1,3714 1,2036 1,0620 0,9782 0,9671 1,0284 1,1542 1,3344 1,5601 1,8216 2,1050 2,3910 2,6595 2,8914 3,0693 3,1801 3,2195 3,1973 3,1362 3,0597 2,9751 2,8695 2,7174 2,4947 2,1937 1,8316 1,4455 1,0780 0,7643 0,5310 0,3993 0,3814 0,4716 0,6443 0,8624 1,0900 1,3002 1,4751 1,6048 1,6872 1,7280 1,7388 1,7329 1,7225 1,7136 1,6992 1,6594 1,5782 1,4629 1,3496 1,2891 1,3214 1,4566 1,6755 1,9491 2,2543 2,5749 2,8949 3,1969 3,4681 3,7061 3,9209 4,1278 4,3360 4,5403 4,7270 4,8779 4,9702 4,9816 4,9048 4,7559 4,5660 4,3671 4,1835 4,0265 3,8898 3,7536 3,6002 3,4299 3,2604 3,1131 3,0000 2,9149 2,8301 2,7086 2,5273 2,2846 1,9927 1,6675 1,3241 0,9758 0,6332 0,3016 -0,0158 -0,3119 -0,5750 -0,7907 -0,9429 -1,0209 -1,0246 -0,9662 -0,8662 -0,7470 -0,6227 -0,4980 -0,3766 -0,2687 -0,1893 -0,1511 -0,1609 -0,2180 -0,3137 -0,4326 -0,5575 -0,6720 -0,7601 -0,8054 -0,7916 -0,7055 -0,5461 -0,3320 -0,0974 0,1258 0,3214 0,4892 0,6387 0,7827 0,9355 1,1111 1,3175 1,5447 1,7640 1,9396 2,0412 2,0476 1,9482 1,7477 1,4687 1,1460 0,8121 0,4827 0,1560 -0,1741 -0,5068 -0,8345 -1,1498 -1,4487 -1,7300 -1,9988 -2,2652 -2,5362 -2,8029 -3,0375 -3,2088 -3,3079 -3,3537 -3,3724 -3,3837 -3,4057 -3,4555 -3,5394 -3,6466 -3,7529 -3,8283 -3,8531 -3,8318 -3,7906 -3,7597 -3,7556 -3,7708 -3,7773 -3,7455 -3,6625 -3,5372 -3,3930 -3,2579 -3,1544 -3,0943 -3,0809 -3,1160 -3,1966 -3,3090 -3,4349 -3,5630 -3,6898 -3,8134 -3,9301 -4,0400 -4,1540 -4,2888 -4,4531 -4,6392 -4,8265 -4,9929 -5,1229 -5,2119 -5,2609 -5,2656 -5,2158 -5,1091 -4,9650 -4,8192 -4,7055 -4,6440 -4,6410 -4,6931 -4,7915 -4,9240 -5,0726 -5,2110 -5,3070 -5,3337 -5,2823 -5,1667 -5,0179 -4,8772 -4,7886 -4,7873 -4,8822 -5,0470 -5,2347 -5,4017 -5,5216 -5,5847 -5,5919 -5,5507 -5,4744 -5,3818 -5,2944 -5,2341 -5,2180 -5,2460 -5,2954 -5,3306 -5,3187 -5,2412 -5,0997 -4,9147 -4,7135 -4,5189 -4,3456 -4,2015 -4,0885 -4,0025 -3,9408 -3,9154 -3,9582 -4,1100 -4,4012 -4,8384 -5,4069 -6,0835 -6,8428 -7,6520 -8,4634 -9,2170 -9,8580 -10,3519 -10,6828 -10,8387 -10,8095 -10,5939 -10,2022 -9,6544 -8,9785 -8,2038 -7,3486 -6,4165 -5,4104 -4,3485 -3,2648 -2,1956 -1,1689 -0,2020 0,6940 1,5112 2,2421 2,8784 3,4095 3,8238 4,1105 4,2632 4,2876 4,2077 4,0583 3,8647 3,6331 3,3602 3,0434 2,6809 2,2692 1,8017 1,2747 0,6929 0,0668 -0,5913 -1,2661 -1,9376 -2,5863 -3,1986 -3,7644 -4,2743 -4,7230 -5,1123 -5,4481 -5,7356 -5,9761 -6,1659 -6,2997 -6,3760 -6,3988 -6,3755 -6,3134 -6,2204 -6,1064 -5,9801 -5,8462 -5,7091 -5,5813 -5,4857 -5,4414 -5,4442 -5,4692 -5,4924 -5,5112 -5,5456 -5,6264 -5,7779 -6,0052 -6,2901 -6,6010 -6,9060 -7,1824 -7,4192 -7,6182 -7,7899 -7,9504 -8,1242 -8,3457 -8,6492 -9,0542 -9,5578 -10,1345 -10,7457 -11,3524 -11,9252 -12,4490 -12,9214 -13,3470 -13,7298 -14,0712 -14,3664 -14,6011 -14,7549 -14,8145 -14,7849 -14,6861 -14,5437 -14,3808 -14,2089 -14,0221 -13,8026 -13,5324 -13,1989
Fz    0,2229 0,1507 0,1066 0,1011 0,1402 0,2235 0,3490 0,5167 0,7204 0,9421 1,1586 1,3547 1,5280 1,6784 1,7942 1,8527 1,8318 1,7235 1,5432 1,3260 1,1106 0,9239 0,7731 0,6472 0,5287 0,4063 0,2730 0,1239 -0,0365 -0,1914 -0,3212 -0,4172 -0,4823 -0,5221 -0,5444 -0,5659 -0,6126 -0,7083 -0,8649 -1,0817 -1,3402 -1,6017 -1,8237 -1,9777 -2,0489 -2,0346 -1,9481 -1,8125 -1,6477 -1,4673 -1,2829 -1,1050 -0,9382 -0,7819 -0,6365 -0,5068 -0,4024 -0,3365 -0,3226 -0,3650 -0,4536 -0,5659 -0,6755 -0,7616 -0,8144 -0,8387 -0,8541 -0,8853 -0,9450 -1,0307 -1,1372 -1,2634 -1,4102 -1,5779 -1,7613 -1,9441 -2,0994 -2,2005 -2,2286 -2,1719 -2,0230 -1,7815 -1,4561 -1,0639 -0,6276 -0,1749 0,2675 0,6830 1,0687 1,4245 1,7365 1,9775 2,1250 2,1773 2,1558 2,1000 2,0604 2,0878 2,2161 2,4471 2,7465 3,0586 3,3283 3,5205 3,6307 3,6784 3,6890 3,6790 3,6532 3,6132 3,5632 3,5060 3,4376 3,3442 3,2021 2,9884 2,7022 2,3780 2,0757 1,8536 1,7475 1,7724 1,9370 2,2518 2,7244 3,3553 4,1367 5,0454 6,0417 7,0819 8,1358 9,1889 10,2292 11,2395 12,2022 13,1076 13,9528 14,7324 15,4349 16,0503 16,5782 17,0239 17,3832 17,6328 17,7407 17,6862 17,4687 17,1026 16,6082 16,0042 15,3049 14,5242 13,6816 12,8051 11,9240 11,0634 10,2482 9,5076 8,8673 8,3400 7,9257 7,6195 7,4158 7,3054 7,2747 7,3137 7,4248 7,6213 7,9168 8,3148 8,8019 9,3503 9,9248 10,4914 11,0282 11,5327 12,0105 12,4613 12,8761 13,2423 13,5510 13,8059 14,0271 14,2413 14,4644 14,6915 14,9017 15,0711 15,1811 15,2228 15,1947 15,0961 14,9245 14,6796 14,3597 13,9531 13,4431 12,8287 12,1366 11,4099 10,6798 9,9500 9,2069 8,4363 7,6303 6,7918 5,9416 5,1164 4,3490 3,6464 2,9913 2,3659 1,7755 1,2511 0,8331 0,5568 0,4430 0,4879 0,6618 0,9220 1,2289 1,5485 1,8532 2,1313 2,3949 2,6712 2,9872 3,3601 3,7946 4,2796 4,7851 5,2645 5,6644 5,9426 6,0795 6,0739 5,9403 5,7116 5,4350 5,1592 4,9237 4,7558 4,6721 4,6799 4,7761 4,9500 5,1904 5,4867 5,8236 6,1768 6,5148 6,8037 7,0133 7,1274 7,1499 7,0966 6,9814 6,8146 6,6072 6,3729 6,1232 5,8619 5,5895 5,3127 5,0487 4,8226 4,6605 4,5812 4,5886 4,6699 4,8014 4,9619 5,1444 5,3534 5,5921 5,8521 6,1113 6,3420 6,5242 6,6532 6,7346 6,7755 6,7777 6,7430 6,6835 6,6289 6,6204 6,6929 6,8572 7,0973 7,3917 7,7294 8,1045 8,5022 8,8999 9,2785 9,6320 9,9682 10,2982 10,6234 10,9313 11,2073 11,4451 11,6455 11,8109 11,9475 12,0673 12,1802 12,2832 12,3616 12,3984 12,3831 12,3194 12,2256 12,1310 12,0671 12,0578 12,1098 12,2093 12,3258 12,4240 12,4748 12,4586 12,3673 12,2094 12,0056 11,7742 11,5195 11,2343 10,9089 10,5400 10,1321 9,7006 9,2730 8,8817 8,5534 8,3011 8,1203 7,9944 7,9116 7,8732 7,8810 7,9249 7,9855 8,0466 8,1028 8,1551 8,2060 8,2572 8,3094 8,3643 8,4265 8,5050 8,6147 8,7718 8,9859 9,2532 9,5576 9,8798 10,2056 10,5256 10,8287 11,0990 11,3183 11,4789 11,5906 11,6726 11,7370 11,7809 11,7902 11,7471 11,6351 11,4413 11,1621 10,8091 10,4048 9,9718 9,5280 9,0894 8,6720 8,2899 7,9480 7,6400 7,3562 7,0848 6,8080 6,5069 6,1820 5,8630 5,5883 5,3739 5,2105 5,0832 4,9843 4,9064 4,8372 4,7649 4,6782 4,5663 4,4294 4,2820 4,1440 4,0333 3,9629 3,9392 3,9625 4,0327 4,1477 4,2989 4,4720 4,6569 4,8502 5,0432 5,2133 5,3253 5,3403 5,2333 5,0099 4,7022 4,3563 4,0205 3,7317 3,5030 3,3196 3,1498 2,9669 2,7669 2,5629 2,3688 2,1915 2,0368 1,9157 1,8459 1,8471 1,9327 2,0990 2,3198 2,5552 2,7652 2,9175 2,9922 2,9884 2,9248 2,8333 2,7524 2,7161 2,7428 2,8278 2,9436 3,0499 3,1074 3,0871 2,9776 2,7889 2,5511 2,3047 2,0859 1,9160 1,8060 1,7626 1,7835 1,8551 1,9565 2,0637 2,1544 2,2155 2,2454 2,2522 2,2520 2,2635 2,2990 2,3607 2,4436 2,5412 2,6512 2,7729 2,8989 3,0146 3,1075 3,1759 3,2232 3,2413 3,2003 3,0595 2,7901 2,3869 1,8655 1,2551 0,5907 -0,0930 -0,7616 -1,3846 -1,9453 -2,4423 -2,8753 -3,2309 -3,4808 -3,5911 -3,5309 -3,2798 -2,8356 -2,2146 -1,4414 -0,5391 0,4704 1,5605 2,6999 3,8573 5,0073 6,1327 7,2183 8,2400 9,1644 9,9584 10,6007 11,0896 11,4349 11,6393 11,6953 11,5999 11,3651 11,0132 10,5685 10,0591 9,5189 8,9816 8,4675 7,9797 7,5124 7,0583 6,6094 6,1566 5,6905 5,2042 4,6977 4,1813 3,6748 3,1991 2,7678 2,3876 2,0630 1,7982 1,5965 1,4591 1,3839 1,3656 1,3963 1,4680 1,5717 1,6910 1,8029 1,8897 1,9498 1,9937 2,0274 2,0396 2,0118 1,9441 1,8609 1,7887 1,7307 1,6617 1,5428 1,3405 1,0377 0,6391 0,1737 -0,3115 -0,7704 -1,1767 -1,5321 -1,8595 -2,1853 -2,5290 -2,9080 -3,3432 -3,8573 -4,4653 -5,1638 -5,9241 -6,6952 -7,4128 -8,0162 -8,4698 -8,7717 -8,9451 -9,0259 -9,0526 -9,0529 -9,0369 -9,0048 -8,9587 -8,9032 -8,8412 -8,7711 -8,6826 -8,5547 -8,3626 -8,0894 -7,7322
F3    0,3881 0,4305 0,4801 0,5325 0,5816 0,6214 0,6554 0,6982 0,7659 0,8648 0,9889 1,1244 1,2539 1,3587 1,4214 1,4294 1,3792 1,2782 1,1406 0,9787 0,7967 0,5935 0,3664 0,1147 -0,1537 -0,4203 -0,6647 -0,8736 -1,0377 -1,1459 -1,1882 -1,1625 -1,0748 -0,9370 -0,7675 -0,5940 -0,4499 -0,3649 -0,3576 -0,4312 -0,5681 -0,7299 -0,8730 -0,9685 -1,0074 -0,9963 -0,9516 -0,8932 -0,8375 -0,7940 -0,7637 -0,7413 -0,7167 -0,6790 -0,6236 -0,5567 -0,4936 -0,4517 -0,4410 -0,4554 -0,4773 -0,4901 -0,4880 -0,4763 -0,4655 -0,4673 -0,4950 -0,5590 -0,6595 -0,7888 -0,9420 -1,1219 -1,3325 -1,5691 -1,8158 -2,0470 -2,2296 -2,3266 -2,3066 -2,1542 -1,8726 -1,4776 -0,9935 -0,4513 0,1110 0,6529 1,1416 1,5610 1,9113 2,1974 2,4158 2,5546 2,6041 2,5687 2,4713 2,3516 2,2567 2,2279 2,2896 2,4446 2,6738 2,9437 3,2162 3,4585 3,6532 3,8027 3,9231 4,0290 4,1260 4,2121 4,2790 4,3094 4,2800 4,1683 3,9596 3,6536 3,2715 2,8572 2,4689 2,1656 1,9944 1,9857 2,1575 2,5196 3,0707 3,7976 4,6791 5,6858 6,7791 7,9179 9,0697 10,2114 11,3215 12,3763 13,3541 14,2409 15,0299 15,7182 16,3053 16,7983 17,2121 17,5605 17,8412 18,0312 18,0964 18,0115 17,7714 17,3890 16,8834 16,2717 15,5697 14,7986 13,9845 13,1502 12,3065 11,4554 10,6061 9,7842 9,0225 8,3477 7,7770 7,3206 6,9835 6,7637 6,6532 6,6442 6,7333 6,9175 7,1898 7,5389 7,9493 8,4000 8,8658 9,3217 9,7531 10,1597 10,5484 10,9223 11,2765 11,6010 11,8879 12,1396 12,3707 12,6008 12,8411 13,0866 13,3185 13,5130 13,6502 13,7197 13,7212 13,6558 13,5226 13,3234 13,0620 12,7347 12,3307 11,8462 11,2985 10,7207 10,1399 9,5606 8,9679 8,3411 7,6637 6,9341 6,1724 5,4147 4,6911 4,0078 3,3534 2,7209 2,1233 1,5918 1,1644 0,8755 0,7464 0,7737 0,9282 1,1668 1,4485 1,7390 2,0119 2,2548 2,4748 2,6932 2,9323 3,2093 3,5337 3,9014 4,2909 4,6650 4,9810 5,2030 5,3086 5,2919 5,1688 4,9769 4,7671 4,5884 4,4758 4,4445 4,4946 4,6183 4,8010 5,0216 5,2584 5,4982 5,7369 5,9726 6,1979 6,3987 6,5596 6,6730 6,7417 6,7702 6,7575 6,6979 6,5881 6,4295 6,2263 5,9828 5,7047 5,4036 5,1012 4,8283 4,6211 4,5122 4,5186 4,6355 4,8418 5,1126 5,4313 5,7893 6,1770 6,5763 6,9605 7,3008 7,5742 7,7710 7,8936 7,9490 7,9450 7,8939 7,8184 7,7510 7,7294 7,7852 7,9305 8,1552 8,4381 8,7580 9,0971 9,4387 9,7664 10,0697 10,3478 10,6094 10,8661 11,1236 11,3779 11,6216 11,8477 12,0462 12,2029 12,3086 12,3667 12,3887 12,3844 12,3589 12,3122 12,2407 12,1434 12,0296 11,9210 11,8440 11,8171 11,8407 11,8958 11,9495 11,9662 11,9179 11,7888 11,5775 11,2983 10,9767 10,6360 10,2874 9,9298 9,5586 9,1724 8,7745 8,3765 7,9968 7,6549 7,3657 7,1400 6,9798 6,8782 6,8268 6,8222 6,8610 6,9318 7,0149 7,0897 7,1428 7,1698 7,1751 7,1685 7,1636 7,1776 7,2300 7,3375 7,5078 7,7383 8,0168 8,3230 8,6320 8,9238 9,1901 9,4302 9,6426 9,8229 9,9662 10,0727 10,1504 10,2094 10,2532 10,2745 10,2585 10,1877 10,0449 9,8154 9,4943 9,0937 8,6376 8,1507 7,6539 7,1653 6,7008 6,2705 5,8758 5,5092 5,1603 4,8206 4,4826 4,1427 3,8089 3,5032 3,2483 3,0506 2,8993 2,7791 2,6777 2,5808 2,4725 2,3431 2,1923 2,0281 1,8660 1,7243 1,6159 1,5435 1,5019 1,4845 1,4920 1,5365 1,6324 1,7829 1,9745 2,1843 2,3864 2,5540 2,6630 2,6929 2,6288 2,4697 2,2348 1,9587 1,6807 1,4349 1,2389 1,0910 0,9734 0,8597 0,7271 0,5697 0,3987 0,2299 0,0756 -0,0554 -0,1552 -0,2147 -0,2218 -0,1651 -0,0441 0,1231 0,3041 0,4637 0,5709 0,6063 0,5678 0,4718 0,3483 0,2345 0,1645 0,1595 0,2190 0,3218 0,4364 0,5317 0,5806 0,5661 0,4867 0,3599 0,2191 0,0973 0,0115 -0,0390 -0,0635 -0,0715 -0,0693 -0,0621 -0,0609 -0,0810 -0,1314 -0,2088 -0,2996 -0,3822 -0,4330 -0,4352 -0,3812 -0,2704 -0,1066 0,1014 0,3371 0,5745 0,7834 0,9419 1,0442 1,0958 1,0960 1,0278 0,8636 0,5831 0,1849 -0,3139 -0,8859 -1,5019 -2,1346 -2,7569 -3,3428 -3,8732 -4,3368 -4,7208 -5,0016 -5,1516 -5,1486 -4,9787 -4,6356 -4,1253 -3,4675 -2,6862 -1,8018 -0,8334 0,1971 1,2644 2,3440 3,4159 4,4645 5,4733 6,4185 7,2705 8,0004 8,5857 9,0132 9,2774 9,3745 9,3049 9,0815 8,7329 8,2932 7,7938 7,2644 6,7328 6,2193 5,7273 5,2451 4,7576 4,2543 3,7286 3,1771 2,6033 2,0180 1,4367 0,8783 0,3642 -0,0868 -0,4647 -0,7685 -0,9998 -1,1608 -1,2559 -1,2958 -1,2976 -1,2793 -1,2546 -1,2326 -1,2188 -1,2192 -1,2420 -1,2921 -1,3641 -1,4406 -1,5025 -1,5449 -1,5748 -1,5937 -1,5934 -1,5728 -1,5519 -1,5679 -1,6592 -1,8510 -2,1488 -2,5352 -2,9746 -3,4237 -3,8464 -4,2222 -4,5488 -4,8394 -5,1154 -5,4007 -5,7211 -6,1002 -6,5511 -7,0708 -7,6392 -8,2222 -8,7797 -9,2731 -9,6738 -9,9730 -10,1840 -10,3320 -10,4402 -10,5226 -10,5815 -10,6079 -10,5897 -10,5219 -10,4105 -10,2698 -10,1170 -9,9621 -9,8008 -9,6175 -9,3940 -9,1192
F7    0,6166 0,5886 0,5852 0,6254 0,7146 0,8407 0,9809 1,1171 1,2401 1,3439 1,4195 1,4565 1,4512 1,4130 1,3622 1,3195 1,2966 1,2931 1,2947 1,2746 1,2031 1,0645 0,8629 0,6144 0,3382 0,0545 -0,2172 -0,4585 -0,6533 -0,7900 -0,8644 -0,8825 -0,8606 -0,8175 -0,7665 -0,7167 -0,6826 -0,6860 -0,7469 -0,8755 -1,0656 -1,2908 -1,5116 -1,6944 -1,8217 -1,8875 -1,8907 -1,8352 -1,7362 -1,6196 -1,5143 -1,4383 -1,3889 -1,3446 -1,2822 -1,1939 -1,0909 -0,9946 -0,9211 -0,8697 -0,8256 -0,7745 -0,7131 -0,6485 -0,5942 -0,5638 -0,5666 -0,6065 -0,6849 -0,8003 -0,9490 -1,1242 -1,3149 -1,5063 -1,6843 -1,8382 -1,9578 -2,0310 -2,0473 -2,0044 -1,9090 -1,7692 -1,5905 -1,3789 -1,1447 -0,9012 -0,6599 -0,4292 -0,2174 -0,0370 0,0980 0,1789 0,2056 0,1856 0,1365 0,0871 0,0726 0,1207 0,2436 0,4383 0,6908 0,9787 1,2747 1,5517 1,7913 1,9940 2,1780 2,3623 2,5530 2,7435 2,9184 3,0565 3,1340 3,1299 3,0343 2,8544 2,6138 2,3455 2,0842 1,8631 1,7141 1,6680 1,7510 1,9783 2,3497 2,8535 3,4739 4,1951 4,9980 5,8561 6,7387 7,6174 8,4670 9,2633 9,9843 10,6131 11,1404 11,5687 11,9135 12,1981 12,4391 12,6334 12,7600 12,7945 12,7214 12,5392 12,2635 11,9212 11,5364 11,1224 10,6869 10,2395 9,7873 9,3255 8,8392 8,3138 7,7462 7,1522 6,5632 6,0141 5,5319 5,1333 4,8262 4,6100 4,4720 4,3915 4,3478 4,3281 4,3348 4,3864 4,5095 4,7234 5,0262 5,3912 5,7787 6,1504 6,4766 6,7398 6,9357 7,0717 7,1612 7,2207 7,2655 7,3030 7,3328 7,3494 7,3473 7,3245 7,2823 7,2221 7,1416 7,0320 6,8825 6,6891 6,4526 6,1704 5,8359 5,4453 5,0037 4,5253 4,0247 3,5092 2,9785 2,4266 1,8479 1,2495 0,6531 0,0801 -0,4642 -0,9898 -1,5044 -1,9987 -2,4471 -2,8184 -3,0881 -3,2448 -3,2915 -3,2467 -3,1421 -3,0138 -2,8908 -2,7881 -2,7060 -2,6334 -2,5493 -2,4291 -2,2548 -2,0224 -1,7447 -1,4486 -1,1657 -0,9217 -0,7298 -0,5922 -0,5035 -0,4519 -0,4180 -0,3809 -0,3271 -0,2497 -0,1427 -0,0009 0,1808 0,4084 0,6828 0,9918 1,3105 1,6132 1,8841 2,1163 2,3041 2,4406 2,5253 2,5671 2,5807 2,5783 2,5657 2,5424 2,5062 2,4545 2,3838 2,2885 2,1625 2,0060 1,8311 1,6561 1,4962 1,3580 1,2432 1,1545 1,0998 1,0921 1,1428 1,2527 1,4089 1,5916 1,7843 1,9768 2,1601 2,3237 2,4554 2,5433 2,5804 2,5715 2,5339 2,4939 2,4788 2,5052 2,5747 2,6810 2,8158 2,9701 3,1366 3,3127 3,4987 3,6952 3,9011 4,1145 4,3357 4,5651 4,7949 5,0055 5,1678 5,2501 5,2295 5,0999 4,8770 4,5936 4,2864 3,9852 3,7098 3,4699 3,2685 3,1058 2,9807 2,8921 2,8352 2,7930 2,7350 2,6281 2,4526 2,2106 1,9230 1,6163 1,3094 1,0060 0,6982 0,3777 0,0476 -0,2771 -0,5790 -0,8469 -1,0784 -1,2795 -1,4611 -1,6328 -1,7941 -1,9329 -2,0333 -2,0866 -2,0964 -2,0749 -2,0403 -2,0161 -2,0260 -2,0875 -2,2078 -2,3804 -2,5863 -2,7973 -2,9758 -3,0778 -3,0662 -2,9259 -2,6646 -2,3062 -1,8913 -1,4763 -1,1142 -0,8311 -0,6207 -0,4576 -0,3142 -0,1718 -0,0256 0,1141 0,2242 0,2778 0,2555 0,1552 -0,0057 -0,2014 -0,4101 -0,6158 -0,8062 -0,9773 -1,1390 -1,3133 -1,5223 -1,7775 -2,0742 -2,3961 -2,7230 -3,0355 -3,3186 -3,5689 -3,7926 -3,9993 -4,1962 -4,3842 -4,5572 -4,7057 -4,8192 -4,8932 -4,9361 -4,9678 -5,0085 -5,0678 -5,1404 -5,2117 -5,2691 -5,3097 -5,3407 -5,3745 -5,4184 -5,4682 -5,5080 -5,5182 -5,4849 -5,4064 -5,2938 -5,1704 -5,0639 -4,9966 -4,9827 -5,0285 -5,1281 -5,2599 -5,3917 -5,4930 -5,5458 -5,5494 -5,5164 -5,4648 -5,4135 -5,3744 -5,3478 -5,3285 -5,3189 -5,3328 -5,3834 -5,4709 -5,5820 -5,6974 -5,8006 -5,8852 -5,9563 -6,0221 -6,0851 -6,1405 -6,1796 -6,1919 -6,1687 -6,1116 -6,0372 -5,9687 -5,9229 -5,9046 -5,9121 -5,9411 -5,9830 -6,0261 -6,0618 -6,0917 -6,1245 -6,1685 -6,2273 -6,3004 -6,3821 -6,4620 -6,5274 -6,5671 -6,5764 -6,5619 -6,5348 -6,5004 -6,4556 -6,3914 -6,2943 -6,1535 -5,9691 -5,7522 -5,5181 -5,2851 -5,0730 -4,9013 -4,7871 -4,7448 -4,7821 -4,8958 -5,0720 -5,2930 -5,5462 -5,8265 -6,1344 -6,4737 -6,8478 -7,2590 -7,7078 -8,1851 -8,6669 -9,1223 -9,5270 -9,8650 -10,1214 -10,2788 -10,3228 -10,2449 -10,0373 -9,6919 -9,2075 -8,5920 -7,8566 -7,0111 -6,0730 -5,0745 -4,0562 -3,0535 -2,0890 -1,1755 -0,3242 0,4529 1,1430 1,7310 2,1985 2,5278 2,7078 2,7394 2,6381 2,4340 2,1630 1,8550 1,5258 1,1790 0,8088 0,4038 -0,0477 -0,5503 -1,0958 -1,6647 -2,2343 -2,7862 -3,3060 -3,7805 -4,2009 -4,5682 -4,8922 -5,1828 -5,4451 -5,6792 -5,8802 -6,0412 -6,1582 -6,2360 -6,2909 -6,3458 -6,4177 -6,5080 -6,6032 -6,6851 -6,7380 -6,7526 -6,7298 -6,6827 -6,6300 -6,5881 -6,5679 -6,5751 -6,6131 -6,6864 -6,7968 -6,9392 -7,1033 -7,2826 -7,4780 -7,6934 -7,9286 -8,1790 -8,4382 -8,6949 -8,9335 -9,1440 -9,3301 -9,5086 -9,7003 -9,9224 -10,1869 -10,5011 -10,8635 -11,2619 -11,6796 -12,1053 -12,5330 -12,9538 -13,3544 -13,7215 -14,0433 -14,3059 -14,4936 -14,5930 -14,5989 -14,5186 -14,3714 -14,1832 -13,9785 -13,7736 -13,5722 -13,3652 -13,1365 -12,8718
