Fp1   2,8701 2,2931 1,7978 1,4976 1,4265 1,5415 1,7594 1,9864 2,1361 2,1492 2,0099 1,7419 1,3877 0,9915 0,5940 0,2289 -0,0805 -0,3193 -0,4754 -0,5380 -0,5069 -0,4076 -0,2970 -0,2509 -0,3300 -0,5374 -0,8055 -1,0314 -1,1320 -1,0727 -0,8666 -0,5613 -0,2180 0,1035 0,3381 0,4118 0,2781 -0,0374 -0,4412 -0,8181 -1,0795 -1,1999 -1,2334 -1,2837 -1,4325 -1,6894 -1,9916 -2,2399 -2,3519 -2,3139 -2,1920 -2,0863 -2,0682 -2,1550 -2,3269 -2,5535 -2,8058 -3,0549 -3,2728 -3,4341 -3,5087 -3,4617 -3,2750 -2,9756 -2,6360 -2,3398 -2,1543 -2,1239 -2,2521 -2,4826 -2,7185 -2,8764 -2,9249 -2,8790 -2,7780 -2,6796 -2,6539 -2,7522 -2,9625 -3,1976 -3,3473 -3,3552 -3,2447 -3,0805 -2,9314 -2,8664 -2,9370 -3,1397 -3,4191 -3,7168 -4,0057 -4,2824 -4,5372 -4,7346 -4,8291 -4,7960 -4,6379 -4,3774 -4,0539 -3,7188 -3,4285 -3,2489 -3,2503 -3,4600 -3,8206 -4,2245 -4,5875 -4,8709 -5,0464 -5,0751 -4,9221 -4,5689 -4,0102 -3,2522 -2,3197 -1,2647 -0,1559 0,9573 2,0652 3,1648 4,2155 5,1491 5,9235 6,5389 6,9989 7,2848 7,3709 7,2482 6,9349 6,4639 5,8600 5,1443 4,3637 3,5911 2,8828 2,2468 1,6541 1,0721 0,4941 -0,0514 -0,5174 -0,8667 -1,0889 -1,2125 -1,2970 -1,3883 -1,4756 -1,4947 -1,3705 -1,0669 -0,6098 -0,0708 0,4610 0,9022 1,1989 1,3403 1,3410 1,2175 0,9991 0,7446 0,5171 0,3423 0,2042 0,0724 -0,0814 -0,2738 -0,4995 -0,7451 -1,0083 -1,2811 -1,5307 -1,7216 -1,8398 -1,8911 -1,8930 -1,8658 -1,8267 -1,7931 -1,7812 -1,7934 -1,8170 -1,8372 -1,8573 -1,9076 -2,0225 -2,2055 -2,4255 -2,6440 -2,8465 -3,0493 -3,2834 -3,5762 -3,9282 -4,2907 -4,5824 -4,7365 -4,7380 -4,6261 -4,4568 -4,2536 -3,9926 -3,6291 -3,1409 -2,5580 -1,9622 -1,4518 -1,0927 -0,8982 -0,8472 -0,9091 -1,0502 -1,2333 -1,4190 -1,5723 -1,6668 -1,6846 -1,6221 -1,4997 -1,3576 -1,2403 -1,1835 -1,2073 -1,3191 -1,5270 -1,8417 -2,2646 -2,7925 -3,4176 -4,0945 -4,7268 -5,2205 -5,5487 -5,7527 -5,8899 -5,9914 -6,0596 -6,0870 -6,0755 -6,0342 -5,9615 -5,8409 -5,6592 -5,4220 -5,1474 -4,8545 -4,5584 -4,2608 -3,9394 -3,5658 -3,1482 -2,7469 -2,4311 -2,2219 -2,0870 -1,9733 -1,8309 -1,6221 -1,3409 -1,0303 -0,7623 -0,5850 -0,4866 -0,4073 -0,2849 -0,0978 0,1242 0,3293 0,4809 0,5619 0,5467 0,3937 0,0792 -0,3689 -0,8825 -1,3950 -1,8691 -2,2980 -2,6889 -3,0400 -3,3295 -3,5248 -3,5962 -3,5298 -3,3462 -3,1165 -2,9388 -2,8827 -2,9471 -3,0551 -3,0918 -2,9795 -2,7372 -2,4598 -2,2533 -2,1923 -2,3019 -2,5516 -2,8672 -3,1552 -3,3358 -3,3733 -3,2890 -3,1436 -3,0010 -2,8993 -2,8434 -2,8131 -2,7755 -2,6992 -2,5714 -2,4036 -2,2200 -2,0407 -1,8730 -1,7168 -1,5643 -1,3952 -1,1908 -0,9495 -0,6828 -0,4113 -0,1648 0,0268 0,1455 0,1923 0,1797 0,1149 -0,0086 -0,2012 -0,4578 -0,7529 -1,0597 -1,3637 -1,6566 -1,9363 -2,2164 -2,5212 -2,8585 -3,1954 -3,4725 -3,6447 -3,7006 -3,6604 -3,5701 -3,4851 -3,4439 -3,4514 -3,4825 -3,4902 -3,4262 -3,2832 -3,1127 -2,9762 -2,8894 -2,8320 -2,7953 -2,7983 -2,8589 -2,9644 -3,0771 -3,1620 -3,2018 -3,1925 -3,1326 -3,0209 -2,8676 -2,7000 -2,5458 -2,4039 -2,2319 -1,9715 -1,5983 -1,1519 -0,7207 -0,3936 -0,2190 -0,2057 -0,3582 -0,6933 -1,2104 -1,8599 -2,5538 -3,2038 -3,7582 -4,2110 -4,5834 -4,9021 -5,1839 -5,4256 -5,6135 -5,7615 -5,9273 -6,1580 -6,4244 -6,6286 -6,6728 -6,5227 -6,2203 -5,8569 -5,5374 -5,3491 -5,3298 -5,4500 -5,6270 -5,7698 -5,8288 -5,8081 -5,7255 -5,5667 -5,2895 -4,8724 -4,3548 -3,8250 -3,3755 -3,0615 -2,8894 -2,8432 -2,9210 -3,1313 -3,4641 -3,8794 -4,3149 -4,6996 -4,9738 -5,1109 -5,1289 -5,0778 -5,0125 -4,9767 -4,9982 -5,0795 -5,1972 -5,3167 -5,4090 -5,4553 -5,4441 -5,3638 -5,1856 -4,8599 -4,3601 -3,7411 -3,1262 -2,6251 -2,2815 -2,0931 -2,0524 -2,1604 -2,4146 -2,7886 -3,2217 -3,6330 -3,9446 -4,1047 -4,1121 -4,0070 -3,8241 -3,5705 -3,2516 -2,8932 -2,5360 -2,2267 -2,0159 -1,9465 -2,0360 -2,2731 -2,6316 -3,0816 -3,5871 -4,1044 -4,5991 -5,0657 -5,5285 -6,0268 -6,5944 -7,2321 -7,8916 -8,4973 -8,9944 -9,3774 -9,6830 -9,9634 -10,2477 -10,5168 -10,7129 -10,7640 -10,6017 -10,1784 -9,4888 -8,5802 -7,5358 -6,4357 -5,3143 -4,1534 -2,9186 -1,6093 -0,2770 0,9994 2,1535 3,1474 3,9625 4,5839 4,9948 5,1863 5,1671 4,9644 4,6164 4,1662 3,6511 3,0884 2,4841 1,8673 1,3029 0,8552 0,5399 0,3082 0,0709 -0,2491 -0,6687 -1,1428 -1,6038 -2,0012 -2,3176 -2,5654 -2,7741 -2,9774 -3,1976 -3,4251 -3,6219 -3,7564 -3,8317 -3,8873 -3,9804 -4,1678 -4,4928 -4,9773 -5,6176 -6,3850 -7,2257 -8,0640 -8,8272 -9,4898 -10,0956 -10,7261 -11,4487 -12,2815 -13,1770 -14,0440 -14,8029 -15,4117 -15,8418 -16,0566 -16,0254 -15,7479 -15,2607 -14,6210 -13,8864 -13,1122 -12,3532 -11,6428 -10,9748 -10,3175 -9,6450 -8,9468 -8,2234 -7,4927 -6,7987 -6,2060 -5,7770 -5,5503 -5,5333 -5,7039 -6,0224 -6,4499 -6,9562 -7,5175 -8,1140 -8,7297 -9,3493 -9,9519 -10,5043 -10,9656 -11,3034 -11,5097 -11,5963 -11,5755 -11,4475 -11,2005 -10,8206 -10,3000 -9,6382 -8,8465 -7,9540 -7,0098 -6,0839 -5,2542 -4,5763 -4,0623 -3,6938 -3,4481 -3,3103
Fz    2,0632 1,7647 1,5133 1,3749 1,3631 1,4448 1,5676 1,6806 1,7432 1,7305 1,6345 1,4621 1,2334 0,9819 0,7482 0,5645 0,4415 0,3703 0,3346 0,3202 0,3153 0,3090 0,2864 0,2222 0,0846 -0,1381 -0,4115 -0,6662 -0,8379 -0,8955 -0,8424 -0,7101 -0,5464 -0,4000 -0,3144 -0,3284 -0,4612 -0,6922 -0,9626 -1,1996 -1,3445 -1,3811 -1,3544 -1,3473 -1,4249 -1,5935 -1,8003 -1,9625 -2,0111 -1,9285 -1,7528 -1,5519 -1,3914 -1,3131 -1,3298 -1,4341 -1,6088 -1,8279 -2,0534 -2,2353 -2,3194 -2,2663 -2,0728 -1,7800 -1,4581 -1,1782 -0,9975 -0,9591 -1,0803 -1,3369 -1,6692 -2,0088 -2,3025 -2,5210 -2,6584 -2,7362 -2,8015 -2,9042 -3,0647 -3,2593 -3,4361 -3,5505 -3,5870 -3,5540 -3,4734 -3,3803 -3,3137 -3,2947 -3,3171 -3,3597 -3,4028 -3,4352 -3,4460 -3,4146 -3,3190 -3,1552 -2,9436 -2,7185 -2,5138 -2,3505 -2,2383 -2,1887 -2,2175 -2,3204 -2,4584 -2,5854 -2,6820 -2,7527 -2,8016 -2,8246 -2,8148 -2,7629 -2,6557 -2,4795 -2,2245 -1,8948 -1,5137 -1,1060 -0,6804 -0,2384 0,2031 0,6176 0,9949 1,3435 1,6636 1,9348 2,1276 2,2179 2,1995 2,0836 1,8847 1,6152 1,2996 0,9738 0,6630 0,3691 0,0808 -0,2122 -0,5113 -0,8045 -1,0664 -1,2645 -1,3741 -1,3986 -1,3721 -1,3328 -1,2937 -1,2386 -1,1369 -0,9698 -0,7493 -0,5119 -0,2986 -0,1446 -0,0738 -0,0932 -0,1964 -0,3695 -0,5823 -0,7850 -0,9320 -1,0083 -1,0288 -1,0169 -0,9955 -0,9859 -1,0056 -1,0720 -1,2027 -1,4024 -1,6492 -1,9066 -2,1452 -2,3544 -2,5384 -2,7014 -2,8332 -2,9133 -2,9268 -2,8739 -2,7698 -2,6431 -2,5335 -2,4823 -2,5114 -2,6097 -2,7411 -2,8705 -2,9905 -3,1271 -3,3132 -3,5586 -3,8370 -4,0951 -4,2765 -4,3437 -4,2886 -4,1348 -3,9235 -3,6892 -3,4444 -3,1812 -2,8880 -2,5727 -2,2770 -2,0655 -1,9905 -2,0629 -2,2532 -2,5155 -2,8047 -3,0808 -3,3065 -3,4524 -3,5027 -3,4549 -3,3184 -3,1184 -2,8947 -2,6886 -2,5323 -2,4446 -2,4342 -2,5117 -2,6935 -2,9906 -3,4041 -3,9195 -4,4888 -5,0332 -5,4852 -5,8252 -6,0764 -6,2691 -6,4163 -6,5156 -6,5647 -6,5758 -6,5696 -6,5530 -6,5105 -6,4236 -6,2906 -6,1282 -5,9587 -5,7963 -5,6398 -5,4755 -5,2943 -5,1108 -4,9631 -4,8851 -4,8771 -4,9035 -4,9128 -4,8583 -4,7126 -4,4798 -4,2042 -3,9505 -3,7603 -3,6207 -3,4778 -3,2893 -3,0688 -2,8792 -2,7809 -2,7869 -2,8657 -2,9816 -3,1236 -3,2975 -3,5050 -3,7383 -3,9918 -4,2668 -4,5650 -4,8792 -5,1856 -5,4437 -5,6071 -5,6403 -5,5381 -5,3429 -5,1418 -5,0318 -5,0725 -5,2586 -5,5206 -5,7545 -5,8816 -5,8983 -5,8654 -5,8609 -5,9450 -6,1429 -6,4364 -6,7711 -7,0736 -7,2738 -7,3307 -7,2491 -7,0707 -6,8479 -6,6243 -6,4284 -6,2727 -6,1574 -6,0694 -5,9889 -5,9004 -5,7966 -5,6714 -5,5192 -5,3411 -5,1416 -4,9187 -4,6676 -4,3906 -4,0962 -3,7958 -3,5049 -3,2408 -3,0160 -2,8322 -2,6840 -2,5727 -2,5154 -2,5403 -2,6724 -2,9234 -3,2902 -3,7516 -4,2660 -4,7874 -5,2896 -5,7693 -6,2248 -6,6298 -6,9373 -7,1096 -7,1416 -7,0600 -6,9093 -6,7360 -6,5729 -6,4333 -6,3112 -6,1845 -6,0222 -5,8049 -5,5461 -5,2856 -5,0611 -4,8952 -4,8043 -4,8047 -4,9041 -5,0881 -5,3214 -5,5642 -5,7829 -5,9506 -6,0443 -6,0514 -5,9815 -5,8665 -5,7425 -5,6258 -5,5037 -5,3470 -5,1385 -4,8951 -4,6575 -4,4591 -4,3057 -4,1901 -4,1221 -4,1346 -4,2554 -4,4814 -4,7872 -5,1501 -5,5568 -5,9948 -6,4437 -6,8754 -7,2576 -7,5607 -7,7721 -7,9127 -8,0313 -8,1672 -8,3125 -8,4159 -8,4237 -8,3237 -8,1564 -7,9903 -7,8865 -7,8798 -7,9740 -8,1385 -8,3132 -8,4290 -8,4400 -8,3382 -8,1386 -7,8559 -7,5026 -7,1003 -6,6838 -6,2963 -5,9820 -5,7784 -5,7037 -5,7494 -5,8899 -6,0915 -6,3130 -6,5088 -6,6393 -6,6812 -6,6334 -6,5163 -6,3689 -6,2383 -6,1570 -6,1339 -6,1654 -6,2408 -6,3383 -6,4334 -6,5095 -6,5587 -6,5737 -6,5375 -6,4166 -6,1732 -5,8016 -5,3579 -4,9416 -4,6362 -4,4692 -4,4254 -4,4827 -4,6299 -4,8612 -5,1613 -5,4923 -5,7931 -5,9952 -6,0492 -5,9471 -5,7179 -5,4001 -5,0304 -4,6583 -4,3453 -4,1376 -4,0461 -4,0592 -4,1615 -4,3376 -4,5742 -4,8655 -5,2078 -5,5837 -5,9623 -6,3212 -6,6656 -7,0205 -7,4119 -7,8529 -8,3355 -8,8272 -9,2836 -9,6726 -9,9849 -10,2303 -10,4314 -10,6126 -10,7816 -10,9199 -10,9915 -10,9658 -10,8343 -10,6087 -10,3064 -9,9408 -9,5179 -9,0297 -8,4565 -7,7874 -7,0384 -6,2548 -5,4937 -4,8006 -4,1943 -3,6711 -3,2241 -2,8571 -2,5805 -2,3967 -2,2993 -2,2834 -2,3483 -2,4918 -2,7084 -2,9834 -3,2796 -3,5422 -3,7279 -3,8302 -3,8795 -3,9226 -3,9933 -4,0940 -4,2020 -4,2953 -4,3696 -4,4370 -4,5175 -4,6338 -4,8047 -5,0314 -5,2865 -5,5223 -5,6981 -5,8072 -5,8816 -5,9736 -6,1305 -6,3800 -6,7259 -7,1535 -7,6409 -8,1675 -8,7176 -9,2833 -9,8712 -10,5057 -11,2120 -11,9939 -12,8226 -13,6389 -14,3687 -14,9501 -15,3519 -15,5698 -15,6084 -15,4736 -15,1803 -14,7614 -14,2643 -13,7331 -13,1961 -12,6661 -12,1414 -11,6088 -11,0561 -10,4857 -9,9098 -9,3399 -8,7888 -8,2803 -7,8464 -7,5144 -7,2966 -7,1900 -7,1778 -7,2374 -7,3546 -7,5298 -7,7741 -8,1011 -8,5150 -9,0018 -9,5303 -10,0567 -10,5322 -10,9168 -11,1948 -11,3704 -11,4498 -11,4330 -11,3155 -11,0906 -10,7528 -10,3048 -9,7651 -9,1681 -8,5585 -7,9867 -7,4983 -7,1141 -6,8203 -6,5851 -6,3864 -6,2235
F3    1,6110 1,3159 1,0333 0,8239 0,7204 0,7149 0,7698 0,8428 0,9093 0,9663 1,0161 1,0495 1,0502 1,0151 0,9581 0,8926 0,8170 0,7205 0,5986 0,4601 0,3176 0,1806 0,0541 -0,0673 -0,2054 -0,3809 -0,5842 -0,7721 -0,8948 -0,9240 -0,8647 -0,7528 -0,6340 -0,5361 -0,4658 -0,4303 -0,4455 -0,5182 -0,6298 -0,7391 -0,7989 -0,7877 -0,7356 -0,7082 -0,7557 -0,8792 -1,0316 -1,1402 -1,1412 -1,0143 -0,7948 -0,5587 -0,3878 -0,3323 -0,3938 -0,5416 -0,7357 -0,9356 -1,1045 -1,2142 -1,2456 -1,1914 -1,0648 -0,8994 -0,7359 -0,6077 -0,5370 -0,5367 -0,6076 -0,7341 -0,8913 -1,0544 -1,2021 -1,3181 -1,3958 -1,4480 -1,5114 -1,6296 -1,8239 -2,0775 -2,3450 -2,5781 -2,7445 -2,8328 -2,8520 -2,8258 -2,7775 -2,7180 -2,6486 -2,5700 -2,4837 -2,3948 -2,3084 -2,2156 -2,0918 -1,9196 -1,7114 -1,5055 -1,3399 -1,2301 -1,1693 -1,1481 -1,1653 -1,2134 -1,2617 -1,2725 -1,2289 -1,1370 -1,0061 -0,8392 -0,6343 -0,3881 -0,1027 0,2119 0,5420 0,8713 1,1841 1,4831 1,7931 2,1323 2,4875 2,8277 3,1345 3,4084 3,6525 3,8587 4,0019 4,0454 3,9607 3,7427 3,4059 2,9805 2,5175 2,0823 1,7253 1,4587 1,2596 1,0882 0,9091 0,7115 0,5174 0,3682 0,2984 0,3125 0,3821 0,4688 0,5498 0,6285 0,7293 0,8778 1,0789 1,3133 1,5476 1,7458 1,8794 1,9336 1,9048 1,7970 1,6361 1,4799 1,3929 1,4046 1,4973 1,6263 1,7391 1,7888 1,7499 1,6223 1,4190 1,1623 0,8871 0,6317 0,4185 0,2476 0,1033 -0,0292 -0,1536 -0,2637 -0,3514 -0,4099 -0,4342 -0,4278 -0,4113 -0,4178 -0,4718 -0,5716 -0,6947 -0,8184 -0,9419 -1,0907 -1,2990 -1,5863 -1,9424 -2,3290 -2,6953 -2,9898 -3,1707 -3,2247 -3,1751 -3,0674 -2,9414 -2,8096 -2,6603 -2,4846 -2,2989 -2,1377 -2,0288 -1,9811 -1,9919 -2,0554 -2,1597 -2,2822 -2,3905 -2,4526 -2,4471 -2,3657 -2,2154 -2,0223 -1,8226 -1,6443 -1,5042 -1,4193 -1,4142 -1,5165 -1,7386 -2,0645 -2,4590 -2,8781 -3,2697 -3,5866 -3,8145 -3,9787 -4,1222 -4,2725 -4,4233 -4,5429 -4,6006 -4,5922 -4,5359 -4,4484 -4,3310 -4,1797 -3,9988 -3,8042 -3,6179 -3,4579 -3,3281 -3,2149 -3,1020 -2,9917 -2,9073 -2,8725 -2,8893 -2,9317 -2,9494 -2,8856 -2,7071 -2,4296 -2,1175 -1,8480 -1,6607 -1,5295 -1,3912 -1,2054 -0,9903 -0,8077 -0,7135 -0,7226 -0,8164 -0,9749 -1,1878 -1,4386 -1,6971 -1,9331 -2,1327 -2,2973 -2,4375 -2,5658 -2,6870 -2,7888 -2,8450 -2,8292 -2,7375 -2,6058 -2,5018 -2,4917 -2,6015 -2,8020 -3,0266 -3,2082 -3,3175 -3,3773 -3,4422 -3,5671 -3,7836 -4,0795 -4,3977 -4,6652 -4,8267 -4,8579 -4,7658 -4,5872 -4,3753 -4,1794 -4,0279 -3,9261 -3,8645 -3,8291 -3,8037 -3,7698 -3,7160 -3,6418 -3,5470 -3,4262 -3,2789 -3,1138 -2,9383 -2,7549 -2,5666 -2,3749 -2,1723 -1,9467 -1,6950 -1,4276 -1,1639 -0,9307 -0,7661 -0,7134 -0,8042 -1,0426 -1,4085 -1,8746 -2,4123 -2,9845 -3,5510 -4,0869 -4,5885 -5,0540 -5,4639 -5,7861 -6,0001 -6,1106 -6,1414 -6,1245 -6,0890 -6,0513 -6,0089 -5,9425 -5,8237 -5,6266 -5,3485 -5,0275 -4,7291 -4,5087 -4,3882 -4,3643 -4,4232 -4,5423 -4,6837 -4,8044 -4,8784 -4,9038 -4,8844 -4,8139 -4,6842 -4,5087 -4,3274 -4,1819 -4,0860 -4,0166 -3,9336 -3,8131 -3,6665 -3,5260 -3,4129 -3,3258 -3,2574 -3,2217 -3,2573 -3,3984 -3,6483 -3,9809 -4,3619 -4,7609 -5,1494 -5,5009 -5,7909 -5,9958 -6,0994 -6,1083 -6,0650 -6,0370 -6,0724 -6,1630 -6,2526 -6,2820 -6,2307 -6,1240 -6,0126 -5,9489 -5,9717 -6,0924 -6,2830 -6,4814 -6,6227 -6,6727 -6,6307 -6,5003 -6,2749 -5,9575 -5,5828 -5,2125 -4,9114 -4,7287 -4,6902 -4,7906 -4,9908 -5,2342 -5,4681 -5,6513 -5,7526 -5,7562 -5,6675 -5,5126 -5,3315 -5,1689 -5,0583 -5,0048 -4,9896 -4,9900 -4,9885 -4,9730 -4,9449 -4,9192 -4,9101 -4,9121 -4,8927 -4,8014 -4,5922 -4,2548 -3,8336 -3,4094 -3,0514 -2,7858 -2,6085 -2,5148 -2,5137 -2,6156 -2,8127 -3,0662 -3,3125 -3,4849 -3,5384 -3,4693 -3,3110 -3,1048 -2,8838 -2,6851 -2,5569 -2,5312 -2,6002 -2,7312 -2,9006 -3,1069 -3,3629 -3,6798 -4,0492 -4,4326 -4,7800 -5,0661 -5,3040 -5,5238 -5,7506 -6,0021 -6,2875 -6,5990 -6,9097 -7,1881 -7,4173 -7,6024 -7,7655 -7,9291 -8,0990 -8,2547 -8,3556 -8,3607 -8,2512 -8,0321 -7,7188 -7,3284 -6,8745 -6,3551 -5,7540 -5,0668 -4,3221 -3,5781 -2,8975 -2,3189 -1,8450 -1,4546 -1,1261 -0,8516 -0,6326 -0,4656 -0,3383 -0,2369 -0,1531 -0,0864 -0,0472 -0,0527 -0,1121 -0,2200 -0,3678 -0,5539 -0,7862 -1,0737 -1,4078 -1,7508 -2,0506 -2,2680 -2,3918 -2,4372 -2,4381 -2,4375 -2,4758 -2,5752 -2,7298 -2,9091 -3,0788 -3,2214 -3,3424 -3,4660 -3,6255 -3,8497 -4,1500 -4,5173 -4,9316 -5,3711 -5,8174 -6,2591 -6,6985 -7,1579 -7,6713 -8,2629 -8,9246 -9,6066 -10,2325 -10,7322 -11,0666 -11,2278 -11,2242 -11,0709 -10,7935 -10,4347 -10,0489 -9,6781 -9,3285 -8,9711 -8,5675 -8,0982 -7,5771 -7,0452 -6,5432 -6,0889 -5,6795 -5,3127 -4,9980 -4,7514 -4,5892 -4,5227 -4,5510 -4,6608 -4,8377 -5,0752 -5,3819 -5,7786 -6,2767 -6,8546 -7,4586 -8,0210 -8,4790 -8,7957 -8,9778 -9,0662 -9,1013 -9,0979 -9,0465 -8,9254 -8,7136 -8,4015 -7,9974 -7,5283 -7,0363 -6,5721 -6,1817 -5,8858 -5,6671 -5,4888 -5,3253 -5,1731
