Fp1   0,7601 0,6581 0,5876 0,5102 0,3876 0,1881 -0,1022 -0,4654 -0,8504 -1,1923 -1,4382 -1,5627 -1,5688 -1,4789 -1,3251 -1,1346 -0,9133 -0,6500 -0,3438 -0,0157 0,3095 0,6097 0,8544 1,0068 1,0436 0,9774 0,8617 0,7603 0,6985 0,6482 0,5629 0,4182 0,2210 -0,0031 -0,2169 -0,3703 -0,4131 -0,3275 -0,1429 0,0804 0,2789 0,4069 0,4449 0,4015 0,3097 0,2100 0,1295 0,0793 0,0594 0,0508 0,0180 -0,0628 -0,1759 -0,2780 -0,3384 -0,3602 -0,3713 -0,4057 -0,4891 -0,6300 -0,8115 -0,9917 -1,1222 -1,1700 -1,1260 -0,9999 -0,8078 -0,5628 -0,2781 0,0207 0,2951 0,5060 0,6253 0,6468 0,5877 0,4685 0,2961 0,0798 -0,1459 -0,3290 -0,4281 -0,4320 -0,3577 -0,2317 -0,0701 0,1237 0,3539 0,6286 0,9488 1,2953 1,6217 1,8634 1,9600 1,8764 1,6140 1,2114 0,7270 0,2103 -0,3092 -0,8107 -1,2723 -1,6760 -2,0265 -2,3536 -2,6889 -3,0400 -3,3951 -3,7453 -4,0836 -4,3819 -4,5877 -4,6563 -4,5870 -4,4277 -4,2532 -4,1381 -4,1244 -4,1969 -4,2983 -4,3632 -4,3394 -4,2067 -3,9926 -3,7487 -3,5064 -3,2628 -3,0035 -2,7217 -2,4118 -2,0534 -1,6126 -1,0723 -0,4607 0,1557 0,7055 1,1430 1,4682 1,7285 1,9845 2,2624 2,5443 2,7946 2,9922 3,1469 3,2867 3,4295 3,5607 3,6387 3,6281 3,5334 3,3998 3,2779 3,1871 3,1020 2,9687 2,7420 2,4207 2,0560 1,7214 1,4711 1,3177 1,2430 1,2258 1,2530 1,3014 1,3285 1,2984 1,2064 1,0713 0,9181 0,7730 0,6579 0,5828 0,5465 0,5481 0,5888 0,6667 0,7756 0,9093 1,0647 1,2391 1,4162 1,5535 1,5962 1,5086 1,2858 0,9535 0,5648 0,1848 -0,1332 -0,3578 -0,4788 -0,5104 -0,4952 -0,4934 -0,5559 -0,7004 -0,9053 -1,1221 -1,3038 -1,4403 -1,5731 -1,7731 -2,1012 -2,5853 -3,2164 -3,9504 -4,7090 -5,3896 -5,8977 -6,1887 -6,2855 -6,2441 -6,0995 -5,8560 -5,5257 -5,1587 -4,8314 -4,6043 -4,4889 -4,4448 -4,3990 -4,2779 -4,0457 -3,7251 -3,3775 -3,0556 -2,7755 -2,5235 -2,2795 -2,0333 -1,7805 -1,5112 -1,2166 -0,9004 -0,5741 -0,2550 0,0179 0,1796 0,1817 0,0481 -0,1325 -0,2801 -0,3743 -0,4461 -0,5359 -0,6520 -0,7709 -0,8744 -0,9708 -1,0775 -1,1905 -1,2778 -1,3018 -1,2514 -1,1583 -1,0788 -1,0496 -1,0604 -1,0762 -1,0803 -1,0920 -1,1461 -1,2629 -1,4300 -1,6015 -1,7227 -1,7650 -1,7358 -1,6593 -1,5538 -1,4234 -1,2617 -1,0667 -0,8615 -0,6900 -0,5851 -0,5483 -0,5622 -0,6090 -0,6739 -0,7443 -0,8150 -0,8895 -0,9713 -1,0490 -1,0934 -1,0777 -1,0045 -0,9064 -0,8193 -0,7632 -0,7364 -0,7194 -0,6999 -0,6929 -0,7191 -0,7754 -0,8446 -0,9237 -1,0254 -1,1621 -1,3386 -1,5579 -1,8151 -2,0833 -2,3154 -2,4706 -2,5383 -2,5392 -2,5047 -2,4569 -2,3961 -2,2980 -2,1379 -1,9272 -1,7187 -1,5719 -1,5135 -1,5270 -1,5684 -1,5876 -1,5464 -1,4348 -1,2804 -1,1395 -1,0670 -1,0872 -1,1929 -1,3538 -1,5256 -1,6643 -1,7364 -1,7232 -1,6273 -1,4752 -1,3070 -1,1638 -1,0777 -1,0579 -1,0873 -1,1461 -1,2326 -1,3441 -1,4565 -1,5414 -1,5939 -1,6291 -1,6608 -1,6936 -1,7320 -1,7853 -1,8550 -1,9148 -1,9180 -1,8394 -1,7004 -1,5515 -1,4296 -1,3284 -1,2080 -1,0309 -0,7913 -0,5196 -0,2689 -0,0838 0,0249 0,0775 0,0984 0,0950 0,0554 -0,0457 -0,2438 -0,5641 -0,9873 -1,4399 -1,8225 -2,0571 -2,1248 -2,0640 -1,9318 -1,7739 -1,6323 -1,5484 -1,5372 -1,5711 -1,5966 -1,5660 -1,4695 -1,3501 -1,2784 -1,3084 -1,4579 -1,7130 -2,0324 -2,3547 -2,6171 -2,7833 -2,8565 -2,8666 -2,8494 -2,8304 -2,8160 -2,8026 -2,7892 -2,7694 -2,7131 -2,5774 -2,3421 -2,0357 -1,7249 -1,4779 -1,3351 -1,3035 -1,3583 -1,4491 -1,5257 -1,5687 -1,5942 -1,6365 -1,7294 -1,8887 -2,0993 -2,3242 -2,5333 -2,7169 -2,8734 -3,0007 -3,0990 -3,1669 -3,2010 -3,2105 -3,2262 -3,2899 -3,4238 -3,5997 -3,7391 -3,7591 -3,6225 -3,3492 -2,9896 -2,5925 -2,1951 -1,8401 -1,5889 -1,4988 -1,5829 -1,7925 -2,0438 -2,2666 -2,4364 -2,5767 -2,7313 -2,9268 -3,1557 -3,3913 -3,6080 -3,7884 -3,9192 -3,9935 -4,0177 -4,0023 -3,9428 -3,8237 -3,6507 -3,4730 -3,3668 -3,3952 -3,5803 -3,9033 -4,3156 -4,7557 -5,1808 -5,5861 -5,9857 -6,3803 -6,7456 -7,0389 -7,2165 -7,2556 -7,1755 -7,0422 -6,9433 -6,9345 -7,0044 -7,0951 -7,1524 -7,1571 -7,1274 -7,0886 -7,0320 -6,9150 -6,7097 -6,4385 -6,1559 -5,8973 -5,6501 -5,3744 -5,0441 -4,6676 -4,2841 -3,9394 -3,6556 -3,4259 -3,2352 -3,0744 -2,9332 -2,7868 -2,6025 -2,3588 -2,0533 -1,6963 -1,3133 -0,9407 -0,5996 -0,2847 0,0152 0,3012 0,5696 0,8163 1,0297 1,1861 1,2632 1,2585 1,1899 1,0816 0,9540 0,8212 0,6866 0,5399 0,3620 0,1347 -0,1503 -0,4837 -0,8348 -1,1634 -1,4493 -1,7096 -1,9813 -2,2933 -2,6560 -3,0621 -3,4938 -3,9271 -4,3268 -4,6489 -4,8547 -4,9186 -4,8310 -4,6068 -4,3002 -3,9989 -3,7834 -3,6853 -3,6877 -3,7631 -3,9038 -4,1185 -4,4060 -4,7392 -5,0726 -5,3581 -5,5536 -5,6329 -5,5987 -5,4839 -5,3315 -5,1709 -5,0097 -4,8465 -4,6876 -4,5494 -4,4571 -4,4376 -4,5031 -4,6429 -4,8296 -5,0293 -5,2143 -5,3707 -5,4904 -5,5644 -5,5919 -5,5890 -5,5710 -5,5341 -5,4671 -5,3698 -5,2446 -5,0737 -4,8198 -4,4587 -4,0082 -3,5235 -3,0701 -2,6983 -2,4315 -2,2696 -2,2047 -2,2356
Fz    0,7675 0,6297 0,4670 0,2649 0,0177 -0,2762 -0,6173 -0,9990 -1,3995 -1,7824 -2,1045 -2,3267 -2,4215 -2,3787 -2,2106 -1,9477 -1,6212 -1,2565 -0,8814 -0,5211 -0,1859 0,1210 0,3860 0,5873 0,7122 0,7726 0,8033 0,8347 0,8630 0,8527 0,7650 0,5854 0,3385 0,0820 -0,1161 -0,1994 -0,1372 0,0655 0,3664 0,6962 0,9831 1,1825 1,2873 1,3145 1,2916 1,2518 1,2263 1,2361 1,2844 1,3467 1,3748 1,3258 1,1928 1,0033 0,7880 0,5602 0,3176 0,0519 -0,2426 -0,5588 -0,8640 -1,1009 -1,2152 -1,1868 -1,0372 -0,8134 -0,5614 -0,3051 -0,0464 0,2155 0,4684 0,6912 0,8627 0,9689 1,0067 0,9761 0,8714 0,6942 0,4679 0,2291 0,0117 -0,1550 -0,2492 -0,2635 -0,2051 -0,0863 0,0837 0,3014 0,5621 0,8542 1,1526 1,4164 1,5971 1,6515 1,5507 1,2891 0,8850 0,3672 -0,2346 -0,8860 -1,5447 -2,1672 -2,7215 -3,1981 -3,6079 -3,9705 -4,3096 -4,6516 -5,0145 -5,3925 -5,7528 -6,0474 -6,2373 -6,3147 -6,3032 -6,2377 -6,1419 -6,0178 -5,8565 -5,6505 -5,3944 -5,0862 -4,7343 -4,3546 -3,9616 -3,5711 -3,2051 -2,8822 -2,5965 -2,3094 -1,9635 -1,5136 -0,9521 -0,3111 0,3518 0,9720 1,4975 1,9044 2,1981 2,4062 2,5704 2,7325 2,9207 3,1472 3,4107 3,6957 3,9759 4,2234 4,4169 4,5470 4,6168 4,6344 4,6009 4,5058 4,3341 4,0775 3,7453 3,3696 2,9949 2,6575 2,3733 2,1463 1,9843 1,8957 1,8711 1,8796 1,8880 1,8780 1,8462 1,7961 1,7332 1,6700 1,6313 1,6469 1,7312 1,8725 2,0440 2,2247 2,4080 2,5943 2,7773 2,9357 3,0383 3,0605 2,9955 2,8503 2,6339 2,3572 2,0377 1,6983 1,3601 1,0363 0,7313 0,4400 0,1491 -0,1517 -0,4586 -0,7535 -1,0153 -1,2342 -1,4264 -1,6352 -1,9117 -2,2867 -2,7601 -3,3102 -3,9057 -4,5056 -5,0560 -5,5037 -5,8211 -6,0216 -6,1407 -6,1994 -6,1941 -6,1188 -5,9919 -5,8635 -5,7917 -5,8056 -5,8823 -5,9506 -5,9255 -5,7573 -5,4587 -5,0887 -4,7152 -4,3844 -4,1080 -3,8733 -3,6604 -3,4486 -3,2174 -2,9581 -2,6784 -2,3893 -2,0975 -1,8190 -1,5867 -1,4266 -1,3238 -1,2284 -1,0959 -0,9188 -0,7241 -0,5490 -0,4163 -0,3334 -0,3044 -0,3277 -0,3832 -0,4318 -0,4294 -0,3492 -0,2003 -0,0286 0,1056 0,1617 0,1409 0,0741 -0,0092 -0,0976 -0,1852 -0,2568 -0,2917 -0,2785 -0,2284 -0,1759 -0,1621 -0,2099 -0,3082 -0,4138 -0,4700 -0,4343 -0,3022 -0,1091 0,0949 0,2729 0,4073 0,4901 0,5170 0,4917 0,4329 0,3700 0,3272 0,3125 0,3241 0,3553 0,3914 0,4136 0,4109 0,3822 0,3308 0,2641 0,1895 0,1053 0,0070 -0,0993 -0,2044 -0,3111 -0,4314 -0,5759 -0,7510 -0,9581 -1,1900 -1,4290 -1,6527 -1,8474 -2,0173 -2,1770 -2,3369 -2,4940 -2,6285 -2,7078 -2,7027 -2,6061 -2,4395 -2,2424 -2,0523 -1,8901 -1,7589 -1,6479 -1,5361 -1,4009 -1,2347 -1,0538 -0,8850 -0,7486 -0,6589 -0,6271 -0,6559 -0,7352 -0,8397 -0,9311 -0,9790 -0,9829 -0,9657 -0,9515 -0,9507 -0,9570 -0,9528 -0,9229 -0,8662 -0,7935 -0,7168 -0,6463 -0,5973 -0,5873 -0,6206 -0,6809 -0,7436 -0,7967 -0,8449 -0,8909 -0,9213 -0,9169 -0,8698 -0,7860 -0,6739 -0,5350 -0,3665 -0,1694 0,0470 0,2580 0,4222 0,4990 0,4719 0,3491 0,1481 -0,1144 -0,4192 -0,7448 -1,0707 -1,3780 -1,6430 -1,8380 -1,9420 -1,9563 -1,9122 -1,8551 -1,8171 -1,8097 -1,8412 -1,9262 -2,0674 -2,2353 -2,3768 -2,4478 -2,4381 -2,3750 -2,3086 -2,2877 -2,3398 -2,4632 -2,6297 -2,7924 -2,9029 -2,9366 -2,9018 -2,8259 -2,7452 -2,6988 -2,7120 -2,7809 -2,8705 -2,9245 -2,8814 -2,7000 -2,3873 -2,0029 -1,6303 -1,3339 -1,1369 -1,0297 -0,9866 -0,9734 -0,9535 -0,9100 -0,8611 -0,8462 -0,8955 -1,0098 -1,1604 -1,3095 -1,4383 -1,5553 -1,6801 -1,8320 -2,0279 -2,2790 -2,5874 -2,9460 -3,3363 -3,7269 -4,0753 -4,3356 -4,4701 -4,4591 -4,3040 -4,0230 -3,6494 -3,2282 -2,8055 -2,4222 -2,1210 -1,9455 -1,9184 -2,0262 -2,2286 -2,4823 -2,7588 -3,0466 -3,3359 -3,6011 -3,8060 -3,9296 -3,9810 -3,9829 -3,9493 -3,8827 -3,7920 -3,6983 -3,6155 -3,5335 -3,4324 -3,3102 -3,1939 -3,1292 -3,1675 -3,3497 -3,6862 -4,1532 -4,7122 -5,3270 -5,9645 -6,5888 -7,1595 -7,6379 -8,0015 -8,2517 -8,4128 -8,5310 -8,6612 -8,8369 -9,0507 -9,2691 -9,4628 -9,6205 -9,7411 -9,8114 -9,7898 -9,6255 -9,3003 -8,8469 -8,3276 -7,7967 -7,2789 -6,7794 -6,3067 -5,8805 -5,5258 -5,2598 -5,0782 -4,9534 -4,8511 -4,7449 -4,6141 -4,4379 -4,1994 -3,8926 -3,5162 -3,0703 -2,5664 -2,0336 -1,5076 -1,0162 -0,5731 -0,1778 0,1729 0,4727 0,7008 0,8329 0,8666 0,8383 0,8053 0,8076 0,8477 0,8994 0,9282 0,9043 0,8076 0,6301 0,3787 0,0748 -0,2602 -0,6201 -1,0229 -1,4991 -2,0658 -2,7048 -3,3635 -3,9725 -4,4733 -4,8398 -5,0783 -5,2106 -5,2577 -5,2327 -5,1403 -4,9868 -4,7945 -4,6027 -4,4456 -4,3349 -4,2706 -4,2613 -4,3256 -4,4853 -4,7572 -5,1401 -5,6013 -6,0798 -6,5056 -6,8258 -7,0223 -7,1101 -7,1162 -7,0615 -6,9625 -6,8438 -6,7421 -6,6987 -6,7507 -6,9217 -7,2090 -7,5794 -7,9759 -8,3317 -8,5940 -8,7441 -8,7921 -8,7590 -8,6707 -8,5571 -8,4357 -8,3003 -8,1335 -7,9289 -7,6917 -7,4199 -7,0997 -6,7244 -6,3108 -5,8966 -5,5288 -5,2470 -5,0642 -4,9685 -4,9446 -4,9895
F3    0,6913 0,5220 0,3490 0,1600 -0,0480 -0,2727 -0,5091 -0,7465 -0,9662 -1,1464 -1,2700 -1,3295 -1,3229 -1,2496 -1,1176 -0,9454 -0,7489 -0,5367 -0,3199 -0,1107 0,0894 0,2833 0,4618 0,6025 0,6845 0,7050 0,6878 0,6671 0,6550 0,6306 0,5628 0,4371 0,2654 0,0787 -0,0837 -0,1819 -0,1874 -0,0996 0,0476 0,2027 0,3247 0,3997 0,4370 0,4525 0,4595 0,4657 0,4719 0,4762 0,4740 0,4479 0,3672 0,2114 -0,0075 -0,2532 -0,4970 -0,7351 -0,9796 -1,2419 -1,5267 -1,8282 -2,1182 -2,3445 -2,4561 -2,4318 -2,2867 -2,0598 -1,7935 -1,5137 -1,2265 -0,9339 -0,6494 -0,3968 -0,2016 -0,0833 -0,0472 -0,0887 -0,1996 -0,3602 -0,5331 -0,6774 -0,7690 -0,8066 -0,8031 -0,7704 -0,7069 -0,5987 -0,4313 -0,2010 0,0842 0,4083 0,7427 1,0408 1,2490 1,3227 1,2320 0,9671 0,5396 -0,0230 -0,6813 -1,3834 -2,0685 -2,6817 -3,1954 -3,6202 -3,9894 -4,3319 -4,6623 -4,9910 -5,3242 -5,6525 -5,9469 -6,1712 -6,3006 -6,3349 -6,3006 -6,2347 -6,1597 -6,0718 -5,9552 -5,7985 -5,5957 -5,3450 -5,0563 -4,7488 -4,4353 -4,1173 -3,7953 -3,4731 -3,1451 -2,7812 -2,3333 -1,7650 -1,0785 -0,3168 0,4521 1,1541 1,7332 2,1707 2,4802 2,6918 2,8421 2,9671 3,0917 3,2292 3,3822 3,5413 3,6864 3,7943 3,8483 3,8493 3,8161 3,7707 3,7180 3,6396 3,5038 3,2854 2,9881 2,6505 2,3243 2,0462 1,8286 1,6734 1,5884 1,5792 1,6250 1,6773 1,6913 1,6536 1,5780 1,4874 1,4013 1,3323 1,2890 1,2806 1,3144 1,3861 1,4784 1,5743 1,6691 1,7681 1,8733 1,9727 2,0385 2,0406 1,9645 1,8121 1,5940 1,3282 1,0375 0,7460 0,4764 0,2482 0,0680 -0,0814 -0,2375 -0,4354 -0,6846 -0,9631 -1,2297 -1,4481 -1,6141 -1,7608 -1,9375 -2,1840 -2,5187 -2,9417 -3,4377 -3,9723 -4,4918 -4,9392 -5,2804 -5,5181 -5,6719 -5,7442 -5,7163 -5,5830 -5,3836 -5,1941 -5,0844 -5,0766 -5,1353 -5,1856 -5,1498 -4,9896 -4,7262 -4,4192 -4,1247 -3,8661 -3,6333 -3,4014 -3,1474 -2,8568 -2,5274 -2,1745 -1,8235 -1,4903 -1,1797 -0,9070 -0,7083 -0,6084 -0,5829 -0,5690 -0,5182 -0,4289 -0,3357 -0,2770 -0,2654 -0,2877 -0,3297 -0,3876 -0,4553 -0,5100 -0,5171 -0,4527 -0,3237 -0,1688 -0,0391 0,0318 0,0479 0,0399 0,0352 0,0406 0,0517 0,0665 0,0925 0,1438 0,2269 0,3262 0,4114 0,4569 0,4566 0,4301 0,4155 0,4483 0,5375 0,6620 0,7909 0,9032 0,9914 1,0569 1,1066 1,1503 1,1941 1,2363 1,2684 1,2837 1,2842 1,2740 1,2453 1,1834 1,0820 0,9444 0,7797 0,6060 0,4440 0,3034 0,1838 0,0834 -0,0032 -0,0891 -0,1842 -0,2868 -0,3907 -0,5002 -0,6285 -0,7778 -0,9318 -1,0764 -1,2172 -1,3686 -1,5296 -1,6752 -1,7640 -1,7510 -1,6100 -1,3522 -1,0244 -0,6886 -0,3972 -0,1769 -0,0251 0,0817 0,1739 0,2722 0,3764 0,4641 0,5100 0,5069 0,4630 0,3919 0,3074 0,2218 0,1502 0,1148 0,1300 0,1870 0,2595 0,3230 0,3674 0,3982 0,4282 0,4588 0,4732 0,4555 0,4127 0,3676 0,3345 0,3130 0,3027 0,3101 0,3379 0,3743 0,4009 0,4135 0,4276 0,4604 0,5152 0,5834 0,6594 0,7502 0,8672 1,0138 1,1795 1,3419 1,4699 1,5357 1,5291 1,4585 1,3394 1,1862 1,0097 0,8130 0,5890 0,3308 0,0497 -0,2175 -0,4202 -0,5204 -0,5190 -0,4552 -0,3770 -0,3192 -0,3084 -0,3653 -0,4859 -0,6296 -0,7381 -0,7689 -0,7187 -0,6268 -0,5540 -0,5529 -0,6483 -0,8312 -1,0637 -1,2907 -1,4616 -1,5540 -1,5777 -1,5538 -1,5042 -1,4531 -1,4205 -1,4114 -1,4140 -1,3999 -1,3260 -1,1505 -0,8619 -0,4967 -0,1256 0,1832 0,3904 0,4876 0,4920 0,4440 0,3938 0,3722 0,3757 0,3777 0,3503 0,2827 0,1902 0,0956 0,0003 -0,1210 -0,2951 -0,5312 -0,8175 -1,1243 -1,4154 -1,6674 -1,8807 -2,0710 -2,2489 -2,4043 -2,5077 -2,5275 -2,4454 -2,2596 -1,9824 -1,6358 -1,2483 -0,8607 -0,5332 -0,3310 -0,2932 -0,4160 -0,6617 -0,9795 -1,3264 -1,6783 -2,0230 -2,3415 -2,6012 -2,7746 -2,8584 -2,8695 -2,8247 -2,7319 -2,6030 -2,4596 -2,3163 -2,1675 -2,0020 -1,8302 -1,6921 -1,6429 -1,7321 -1,9844 -2,3871 -2,8954 -3,4575 -4,0346 -4,6012 -5,1354 -5,6091 -5,9919 -6,2671 -6,4418 -6,5430 -6,6118 -6,6926 -6,8065 -6,9341 -7,0349 -7,0808 -7,0715 -7,0253 -6,9548 -6,8422 -6,6473 -6,3506 -5,9830 -5,6071 -5,2681 -4,9638 -4,6628 -4,3412 -3,9983 -3,6535 -3,3313 -3,0413 -2,7756 -2,5250 -2,2893 -2,0662 -1,8392 -1,5823 -1,2728 -0,8964 -0,4497 0,0499 0,5629 1,0451 1,4649 1,8100 2,0872 2,3117 2,4921 2,6226 2,6887 2,6861 2,6368 2,5801 2,5490 2,5561 2,5921 2,6302 2,6336 2,5687 2,4188 2,1897 1,9033 1,5854 1,2523 0,8988 0,5007 0,0346 -0,5014 -1,0792 -1,6488 -2,1610 -2,5871 -2,9185 -3,1530 -3,2859 -3,3094 -3,2171 -3,0158 -2,7414 -2,4573 -2,2256 -2,0770 -2,0138 -2,0334 -2,1367 -2,3236 -2,5888 -2,9171 -3,2770 -3,6223 -3,9061 -4,0999 -4,2061 -4,2498 -4,2546 -4,2274 -4,1677 -4,0863 -4,0136 -3,9919 -4,0635 -4,2543 -4,5554 -4,9236 -5,3003 -5,6307 -5,8806 -6,0439 -6,1311 -6,1576 -6,1458 -6,1227 -6,0994 -6,0563 -5,9592 -5,7870 -5,5376 -5,2115 -4,8036 -4,3174 -3,7824 -3,2484 -2,7674 -2,3797 -2,1054 -1,9470 -1,9005 -1,9658
F7    0,9411 0,9118 0,8834 0,8385 0,7414 0,5467 0,2226 -0,2211 -0,7256 -1,2085 -1,5986 -1,8562 -1,9740 -1,9664 -1,8569 -1,6636 -1,3889 -1,0277 -0,5948 -0,1313 0,3233 0,7448 1,1066 1,3694 1,4991 1,5005 1,4291 1,3490 1,2755 1,1711 0,9953 0,7450 0,4482 0,1380 -0,1555 -0,3906 -0,5144 -0,4921 -0,3360 -0,1069 0,1100 0,2394 0,2482 0,1547 0,0117 -0,1303 -0,2501 -0,3509 -0,4465 -0,5571 -0,6999 -0,8668 -1,0120 -1,0798 -1,0489 -0,9406 -0,7955 -0,6588 -0,5744 -0,5690 -0,6366 -0,7376 -0,8212 -0,8534 -0,8303 -0,7648 -0,6648 -0,5291 -0,3607 -0,1777 -0,0122 0,0994 0,1324 0,0931 0,0172 -0,0668 -0,1616 -0,2749 -0,3816 -0,4307 -0,3855 -0,2459 -0,0342 0,2259 0,5119 0,7990 1,0709 1,3308 1,5887 1,8416 2,0614 2,1957 2,1881 2,0046 1,6521 1,1855 0,6868 0,2190 -0,1972 -0,5680 -0,9026 -1,2130 -1,5296 -1,9003 -2,3602 -2,9024 -3,4800 -4,0316 -4,4920 -4,7810 -4,8144 -4,5568 -4,0655 -3,4776 -2,9604 -2,6613 -2,6552 -2,9069 -3,2987 -3,6962 -3,9963 -4,1527 -4,1823 -4,1295 -4,0207 -3,8574 -3,6431 -3,3943 -3,1223 -2,8159 -2,4531 -2,0313 -1,5835 -1,1655 -0,8272 -0,5878 -0,4197 -0,2510 -0,0109 0,3135 0,6678 0,9763 1,2006 1,3639 1,5214 1,7054 1,8864 1,9855 1,9371 1,7478 1,4956 1,2761 1,1462 1,0944 1,0504 0,9360 0,7242 0,4539 0,1951 0,0080 -0,0777 -0,0661 0,0220 0,1673 0,3438 0,5119 0,6419 0,7331 0,7991 0,8502 0,8950 0,9349 0,9531 0,9250 0,8419 0,7192 0,5852 0,4680 0,3932 0,3884 0,4784 0,6626 0,8904 1,0753 1,1371 1,0312 0,7614 0,3826 -0,0248 -0,3933 -0,6788 -0,8508 -0,8957 -0,8340 -0,7235 -0,6360 -0,6261 -0,7126 -0,8727 -1,0561 -1,2262 -1,3931 -1,6057 -1,9164 -2,3527 -2,9010 -3,5060 -4,0861 -4,5563 -4,8561 -4,9794 -4,9772 -4,9116 -4,8095 -4,6732 -4,5279 -4,4371 -4,4708 -4,6559 -4,9505 -5,2562 -5,4560 -5,4584 -5,2311 -4,8107 -4,2798 -3,7250 -3,2088 -2,7665 -2,4159 -2,1651 -1,9970 -1,8536 -1,6633 -1,3902 -1,0500 -0,6998 -0,4299 -0,3472 -0,5155 -0,8911 -1,3439 -1,7539 -2,0735 -2,3117 -2,4855 -2,5869 -2,5967 -2,5296 -2,4453 -2,4083 -2,4407 -2,5127 -2,5739 -2,6028 -2,6316 -2,7203 -2,8968 -3,1309 -3,3654 -3,5614 -3,7139 -3,8437 -3,9813 -4,1424 -4,3051 -4,4167 -4,4313 -4,3334 -4,1314 -3,8446 -3,4955 -3,1067 -2,7085 -2,3553 -2,1141 -2,0243 -2,0783 -2,2441 -2,4854 -2,7618 -3,0285 -3,2490 -3,4089 -3,5121 -3,5599 -3,5328 -3,4049 -3,1823 -2,9114 -2,6478 -2,4219 -2,2262 -2,0328 -1,8433 -1,7177 -1,7270 -1,8896 -2,1770 -2,5567 -3,0082 -3,5034 -3,9979 -4,4546 -4,8547 -5,1769 -5,3835 -5,4380 -5,3365 -5,1186 -4,8487 -4,5809 -4,3287 -4,0611 -3,7449 -3,4023 -3,1168 -2,9792 -3,0236 -3,2091 -3,4498 -3,6512 -3,7366 -3,6761 -3,5120 -3,3442 -3,2705 -3,3352 -3,5215 -3,7670 -3,9864 -4,1031 -4,0724 -3,8865 -3,5730 -3,1867 -2,7981 -2,4865 -2,3259 -2,3502 -2,5339 -2,8190 -3,1466 -3,4496 -3,6497 -3,6941 -3,5901 -3,3993 -3,2064 -3,0930 -3,1152 -3,2831 -3,5507 -3,8218 -3,9902 -4,0085 -3,9203 -3,8200 -3,7761 -3,7784 -3,7493 -3,6047 -3,3126 -2,9056 -2,4597 -2,0527 -1,7283 -1,4971 -1,3608 -1,3271 -1,4047 -1,5983 -1,9139 -2,3546 -2,8960 -3,4650 -3,9520 -4,2615 -4,3712 -4,3384 -4,2461 -4,1527 -4,0889 -4,0643 -4,0576 -4,0244 -3,9244 -3,7410 -3,4981 -3,2597 -3,0953 -3,0411 -3,0969 -3,2424 -3,4450 -3,6606 -3,8403 -3,9530 -4,0055 -4,0283 -4,0405 -4,0306 -3,9651 -3,8272 -3,6520 -3,5018 -3,4096 -3,3662 -3,3496 -3,3481 -3,3627 -3,3966 -3,4465 -3,5050 -3,5577 -3,5784 -3,5518 -3,5015 -3,4800 -3,5330 -3,6798 -3,9123 -4,1950 -4,4747 -4,7105 -4,8938 -5,0364 -5,1568 -5,2714 -5,3765 -5,4451 -5,4574 -5,4273 -5,3993 -5,4123 -5,4501 -5,4289 -5,2535 -4,8961 -4,4171 -3,9135 -3,4558 -3,0717 -2,7790 -2,6123 -2,6066 -2,7577 -3,0077 -3,2733 -3,4943 -3,6630 -3,8196 -4,0232 -4,3191 -4,7168 -5,1816 -5,6465 -6,0397 -6,3133 -6,4597 -6,5069 -6,4857 -6,4000 -6,2392 -6,0180 -5,7993 -5,6740 -5,7117 -5,9187 -6,2362 -6,5773 -6,8698 -7,0877 -7,2579 -7,4261 -7,6175 -7,8264 -8,0241 -8,1697 -8,2335 -8,2309 -8,2326 -8,3251 -8,5425 -8,8385 -9,1273 -9,3399 -9,4551 -9,5022 -9,5251 -9,5277 -9,4652 -9,2961 -9,0298 -8,7214 -8,4223 -8,1417 -7,8590 -7,5578 -7,2416 -6,9313 -6,6478 -6,3887 -6,1297 -5,8534 -5,5662 -5,2871 -5,0237 -4,7659 -4,5006 -4,2177 -3,9045 -3,5590 -3,1955 -2,8158 -2,4015 -1,9541 -1,5185 -1,1521 -0,8837 -0,7118 -0,6287 -0,6312 -0,7166 -0,8806 -1,1126 -1,3842 -1,6513 -1,8773 -2,0551 -2,2086 -2,3784 -2,6063 -2,9161 -3,2913 -3,6767 -4,0212 -4,3205 -4,6127 -4,9404 -5,3212 -5,7429 -6,1740 -6,5736 -6,8977 -7,1127 -7,2050 -7,1747 -7,0226 -6,7543 -6,3990 -6,0185 -5,6816 -5,4283 -5,2658 -5,1975 -5,2439 -5,4274 -5,7354 -6,1086 -6,4679 -6,7485 -6,9131 -6,9523 -6,8848 -6,7557 -6,6201 -6,5166 -6,4518 -6,4096 -6,3717 -6,3314 -6,2980 -6,2898 -6,3205 -6,3906 -6,4867 -6,5917 -6,6978 -6,8038 -6,8989 -6,9546 -6,9410 -6,8499 -6,6969 -6,5076 -6,3155 -6,1574 -6,0503 -5,9681 -5,8469 -5,6289 -5,3031 -4,9102 -4,5171 -4,1889 -3,9656 -3,8497 -3,8163 -3,8425
