Fp1   2,4699 2,3259 2,0735 1,7233 1,3468 1,0570 0,9665 1,1136 1,4273 1,7813 2,0655 2,2044 2,1573 1,9564 1,7282 1,6040 1,5979 1,6126 1,5709 1,5018 1,4904 1,5875 1,7856 2,0486 2,3346 2,5890 2,7384 2,7088 2,4567 1,9969 1,4133 0,8189 0,2842 -0,1782 -0,5825 -0,9694 -1,4111 -1,9767 -2,6883 -3,5032 -4,3216 -5,0178 -5,4768 -5,6226 -5,4572 -5,0753 -4,6117 -4,1766 -3,8387 -3,6294 -3,5507 -3,5811 -3,6628 -3,6951 -3,5797 -3,2871 -2,8668 -2,4112 -2,0176 -1,7337 -1,5265 -1,3254 -1,0678 -0,6999 -0,2141 0,2788 0,5638 0,4588 -0,0361 -0,7264 -1,3750 -1,8658 -2,2262 -2,5101 -2,6674 -2,5680 -2,1561 -1,5244 -0,8295 -0,1836 0,3513 0,7116 0,8260 0,6395 0,1399 -0,6026 -1,4353 -2,1999 -2,8118 -3,2648 -3,5753 -3,7482 -3,7912 -3,7335 -3,6292 -3,5454 -3,5186 -3,5188 -3,4772 -3,3516 -3,1676 -2,9990 -2,9166 -2,9579 -3,1279 -3,3917 -3,6658 -3,8670 -4,0005 -4,1824 -4,5699 -5,2746 -6,3045 -7,5268 -8,6784 -9,4736 -9,7355 -9,4346 -8,6563 -7,5669 -6,3586 -5,1791 -4,1255 -3,2847 -2,7434 -2,5616 -2,7253 -3,1283 -3,6505 -4,2506 -4,9490 -5,7415 -6,5299 -7,1211 -7,3260 -7,0803 -6,4738 -5,6983 -4,9676 -4,4478 -4,2271 -4,3141 -4,6397 -5,0700 -5,4416 -5,6035 -5,4580 -4,9863 -4,2586 -3,4218 -2,6398 -2,0136 -1,5600 -1,2615 -1,1146 -1,1312 -1,3099 -1,6161 -1,9873 -2,3575 -2,6734 -2,8934 -2,9904 -2,9608 -2,8188 -2,5647 -2,1635 -1,5924 -0,9052 -0,2288 0,3030 0,6243 0,7544 0,7464 0,6576 0,5578 0,4919 0,4226 0,2474 -0,1143 -0,6491 -1,2465 -1,7548 -2,0571 -2,1249 -2,0083 -1,7805 -1,5257 -1,3781 -1,4982 -1,9450 -2,5959 -3,2177 -3,5983 -3,6267 -3,3005 -2,6900 -1,8976 -1,0271 -0,1698 0,5719 1,0578 1,1442 0,7715 0,0231 -0,9024 -1,7701 -2,3911 -2,6955 -2,7497 -2,6803 -2,5717 -2,4403 -2,3107 -2,2787 -2,4635 -2,9123 -3,5656 -4,2990 -4,9868 -5,5316 -5,8514 -5,8782 -5,6104 -5,1447 -4,6197 -4,1490 -3,8048 -3,6195 -3,5932 -3,7045 -3,9137 -4,1761 -4,4529 -4,7016 -4,8900 -5,0336 -5,1917 -5,4160 -5,7084 -6,0167 -6,2619 -6,3833 -6,3727 -6,2660 -6,1014 -5,8906 -5,6378 -5,3813 -5,1921 -5,1284 -5,1981 -5,3423 -5,4543 -5,4322 -5,2095 -4,7654 -4,1415 -3,4276 -2,7268 -2,1450 -1,7812 -1,6925 -1,8494 -2,1548 -2,5470 -3,0367 -3,6071 -4,1405 -4,4843 -4,5392 -4,2741 -3,7378 -3,0882 -2,5427 -2,2627 -2,2876 -2,5557 -2,9845 -3,5562 -4,3313 -5,3710 -6,6281 -7,9010 -8,9078 -9,4273 -9,4118 -9,0140 -8,5089 -8,1472 -8,0320 -8,0895 -8,1465 -8,0499 -7,7443 -7,2666 -6,6740 -5,9734 -5,1197 -4,0931 -2,9889 -2,0146 -1,3782 -1,1707 -1,3346 -1,7240 -2,1919 -2,6306 -2,9818 -3,2377 -3,3999 -3,4210 -3,2142 -2,7389 -2,0679 -1,3786 -0,8800 -0,7287 -0,9748 -1,5533 -2,3145 -3,0980 -3,8042 -4,3882 -4,8115 -5,0496 -5,1289 -5,1071 -5,0291 -4,9047 -4,7011 -4,3732 -3,9097 -3,3248 -2,6394 -1,9197 -1,3067 -0,9527 -0,9274 -1,1870 -1,5970 -1,9752 -2,1691 -2,1249 -1,8810 -1,5079 -1,0709 -0,6366 -0,3020 -0,1903 -0,3796 -0,8244 -1,3540 -1,7483 -1,8354 -1,5534 -0,9479 -0,1443 0,6654 1,2614 1,4898 1,3292 0,8766 0,3145 -0,1154 -0,1975 0,1493 0,8442 1,6967 2,4834 3,0274 3,2527 3,1945 2,9591 2,6481 2,3160 2,0003 1,7645 1,6830 1,7863 2,0402 2,3904 2,8132 3,3031 3,8167 4,2616 4,5550 4,6661 4,6093 4,4444 4,2742 4,1669 4,0767 3,8915 3,5389 3,0082 2,3225 1,5201 0,6374 -0,2810 -1,1609 -1,9169 -2,4836 -2,8024 -2,8103 -2,4979 -1,9464 -1,2599 -0,5064 0,2289 0,7968 1,0599 1,0076 0,7711 0,5440 0,4905 0,6781 1,0466 1,4451 1,7093 1,7147 1,4076 0,8346 0,1197 -0,6260 -1,3613 -2,0794 -2,7558 -3,3543 -3,8667 -4,2975 -4,5993 -4,6847 -4,5245 -4,1919 -3,8145 -3,5173 -3,3784 -3,3853 -3,4243 -3,3376 -3,0110 -2,4433 -1,7431 -1,0273 -0,3367 0,3177 0,8869 1,3076 1,5380 1,5527 1,3506 0,9607 0,4164 -0,2515 -0,9909 -1,7258 -2,3892 -2,9501 -3,3991 -3,7311 -3,9572 -4,0915 -4,1194 -4,0193 -3,7918 -3,4449 -2,9848 -2,4312 -1,8346 -1,2724 -0,7977 -0,3796 0,0798 0,6651 1,3704 2,0578 2,4837 2,4208 1,7828 0,6427 -0,8243 -2,3976 -3,8802 -5,1643 -6,2260 -7,0758 -7,7419 -8,2729 -8,7185 -9,0974 -9,3891 -9,5624 -9,6021 -9,5161 -9,3400 -9,1287 -8,9387 -8,8262 -8,8411 -8,9955 -9,2385 -9,4736 -9,6163 -9,6452 -9,6027 -9,5464 -9,5043 -9,4712 -9,4139 -9,2812 -9,0406 -8,6854 -8,1964 -7,5416 -6,7285 -5,8451 -5,0554 -4,5349 -4,3668 -4,4885 -4,7377 -4,9518 -5,0381 -4,9891 -4,8668 -4,7677 -4,7800 -4,9619 -5,3320 -5,8543 -6,4260 -6,8956 -7,1119 -6,9841 -6,5217 -5,8324 -5,0867 -4,4659 -4,1086 -4,0724 -4,3258 -4,7782 -5,3198 -5,8306 -6,1847 -6,2957 -6,1581 -5,8332 -5,4120 -4,9954 -4,6761 -4,5212 -4,5784 -4,8830 -5,4391 -6,1872 -7,0040 -7,7505 -8,3334 -8,7479 -9,0681 -9,3812 -9,7166 -10,0219 -10,1928 -10,1422 -9,8659 -9,4427 -8,9743 -8,5322 -8,1598 -7,9145 -7,8901 -8,1767 -8,7768 -9,5462 -10,2378 -10,6432 -10,7024 -10,4861 -10,0981 -9,6159 -9,1049 -8,6243 -8,2128 -7,9058 -7,7490 -7,7661 -7,9336 -8,1942 -8,4814 -8,7444 -8,9753 -9,2003 -9,4220 -9,5907 -9,6537 -9,6148 -9,5440
Fz    1,0831 0,8895 0,6356 0,3482 0,0573 -0,2044 -0,3933 -0,4677 -0,4117 -0,2427 -0,0032 0,2465 0,4338 0,5040 0,4748 0,4347 0,4576 0,5408 0,6364 0,7054 0,7251 0,6835 0,5931 0,4942 0,4312 0,4280 0,4772 0,5506 0,6201 0,6642 0,6668 0,6239 0,5472 0,4508 0,3348 0,1802 -0,0395 -0,3317 -0,6646 -0,9804 -1,2254 -1,3659 -1,3942 -1,3375 -1,2509 -1,1839 -1,1496 -1,1286 -1,0973 -1,0461 -0,9720 -0,8647 -0,7034 -0,4644 -0,1424 0,2352 0,6241 0,9882 1,3055 1,5720 1,7973 1,9848 2,1256 2,2182 2,2692 2,2739 2,2182 2,1022 1,9526 1,8135 1,7251 1,6982 1,7094 1,7436 1,8381 2,0529 2,4042 2,8502 3,3310 3,8010 4,2236 4,5564 4,7543 4,7842 4,6488 4,4051 4,1395 3,9133 3,7295 3,5497 3,3401 3,0965 2,8390 2,5997 2,4130 2,2953 2,2304 2,1872 2,1490 2,1068 2,0281 1,8580 1,5544 1,1153 0,5740 -0,0198 -0,6177 -1,1836 -1,7017 -2,1904 -2,7010 -3,2815 -3,9324 -4,5994 -5,2003 -5,6614 -5,9358 -6,0055 -5,8925 -5,6619 -5,3810 -5,0685 -4,7038 -4,2738 -3,7998 -3,3343 -2,9376 -2,6557 -2,5157 -2,5169 -2,6189 -2,7559 -2,8575 -2,8553 -2,7039 -2,4071 -2,0095 -1,5697 -1,1433 -0,7707 -0,4712 -0,2417 -0,0549 0,1332 0,3639 0,6668 1,0528 1,5056 1,9862 2,4417 2,8137 3,0616 3,1806 3,1886 3,1115 2,9886 2,8806 2,8550 2,9607 3,2130 3,5994 4,0887 4,6347 5,1926 5,7362 6,2513 6,7249 7,1475 7,5093 7,7895 7,9581 7,9991 7,9228 7,7502 7,5022 7,2096 6,9083 6,6178 6,3345 6,0549 5,7956 5,5910 5,4796 5,4884 5,6101 5,8028 6,0212 6,2277 6,3671 6,3726 6,2162 5,9308 5,5774 5,2130 4,8857 4,6381 4,5020 4,4855 4,5648 4,6879 4,7916 4,8207 4,7363 4,5285 4,2274 3,8856 3,5390 3,1930 2,8426 2,4918 2,1563 1,8695 1,6805 1,6126 1,6320 1,6822 1,7315 1,7789 1,8320 1,8935 1,9620 2,0429 2,1550 2,3146 2,5044 2,6672 2,7290 2,6341 2,3736 1,9862 1,5354 1,0859 0,6803 0,3331 0,0518 -0,1573 -0,3052 -0,4215 -0,5396 -0,6866 -0,8819 -1,1346 -1,4407 -1,7798 -2,1163 -2,4133 -2,6495 -2,8211 -2,9327 -2,9866 -2,9734 -2,8719 -2,6614 -2,3430 -1,9485 -1,5215 -1,0969 -0,7049 -0,3770 -0,1384 0,0033 0,0606 0,0621 0,0444 0,0338 0,0208 -0,0312 -0,1350 -0,2503 -0,3230 -0,3390 -0,3236 -0,3032 -0,2897 -0,2837 -0,2785 -0,2681 -0,2534 -0,2344 -0,2069 -0,1753 -0,1604 -0,1886 -0,2760 -0,4144 -0,5647 -0,6731 -0,7063 -0,6706 -0,6000 -0,5290 -0,4595 -0,3495 -0,1425 0,1895 0,6330 1,1514 1,7070 2,2720 2,8217 3,3140 3,6866 3,8879 3,9154 3,8292 3,7205 3,6594 3,6679 3,7252 3,7905 3,8297 3,8330 3,8133 3,7896 3,7655 3,7235 3,6441 3,5258 3,3893 3,2687 3,1927 3,1584 3,1248 3,0430 2,8976 2,7175 2,5548 2,4543 2,4251 2,4366 2,4521 2,4597 2,4745 2,5320 2,6743 2,9202 3,2352 3,5405 3,7636 3,8792 3,9059 3,8816 3,8428 3,8093 3,7843 3,7768 3,8111 3,8992 4,0157 4,1073 4,1193 4,0223 3,8333 3,6176 3,4572 3,4064 3,4715 3,6227 3,8177 4,0222 4,2207 4,4098 4,5918 4,7898 5,0591 5,4561 5,9834 6,5720 7,1146 7,5109 7,6978 7,6605 7,4392 7,1148 6,7679 6,4442 6,1624 5,9407 5,7981 5,7376 5,7466 5,8113 5,9150 6,0282 6,1176 6,1701 6,1990 6,2263 6,2657 6,3189 6,3775 6,4147 6,3818 6,2373 5,9778 5,6298 5,2235 4,7787 4,3053 3,8120 3,3080 2,8018 2,3145 1,8924 1,5960 1,4686 1,5135 1,7009 1,9922 2,3487 2,7203 3,0503 3,2952 3,4399 3,4963 3,4866 3,4206 3,2937 3,1014 2,8434 2,5157 2,1195 1,6872 1,2836 0,9701 0,7735 0,6864 0,6797 0,7074 0,7081 0,6272 0,4575 0,2442 0,0390 -0,1327 -0,2582 -0,3163 -0,2828 -0,1495 0,0730 0,3741 0,7594 1,2325 1,7573 2,2631 2,6915 3,0064 3,1751 3,1812 3,0476 2,8202 2,5461 2,2719 2,0428 1,8911 1,8355 1,8838 2,0200 2,2022 2,3901 2,5592 2,6849 2,7420 2,7256 2,6530 2,5518 2,4519 2,3682 2,2919 2,2113 2,1325 2,0718 2,0411 2,0459 2,0901 2,1724 2,2720 2,3411 2,3223 2,1818 1,9177 1,5456 1,0922 0,5964 0,0991 -0,3637 -0,7603 -1,0706 -1,3084 -1,5307 -1,8020 -2,1438 -2,5241 -2,8891 -3,1978 -3,4390 -3,6197 -3,7468 -3,8251 -3,8630 -3,8727 -3,8596 -3,8095 -3,7012 -3,5343 -3,3290 -3,0983 -2,8405 -2,5584 -2,2594 -1,9408 -1,5945 -1,2174 -0,7978 -0,3087 0,2673 0,9064 1,5438 2,1054 2,5406 2,8319 2,9906 3,0468 3,0373 2,9944 2,9346 2,8538 2,7406 2,5997 2,4476 2,2881 2,1089 1,9074 1,7107 1,5657 1,5069 1,5319 1,6035 1,6738 1,6954 1,6164 1,3958 1,0422 0,6282 0,2670 0,0582 0,0344 0,1541 0,3377 0,5006 0,5739 0,5224 0,3492 0,0759 -0,2744 -0,6652 -1,0341 -1,3115 -1,4475 -1,4265 -1,2854 -1,1131 -0,9960 -0,9627 -0,9863 -1,0236 -1,0485 -1,0670 -1,1066 -1,1928 -1,3287 -1,4956 -1,6724 -1,8531 -2,0426 -2,2368 -2,4082 -2,5178 -2,5494 -2,5271 -2,4921 -2,4633 -2,4258 -2,3607 -2,2699 -2,1713 -2,0909 -2,0574 -2,0942 -2,2136 -2,4090 -2,6493 -2,8844 -3,0646 -3,1609 -3,1746 -3,1326 -3,0743 -3,0370 -3,0465
F3    1,6911 1,4506 1,1341 0,7697 0,3907 0,0369 -0,2433 -0,4066 -0,4368 -0,3454 -0,1594 0,0718 0,2672 0,3546 0,3441 0,3290 0,3883 0,5176 0,6622 0,7773 0,8401 0,8414 0,7936 0,7358 0,7139 0,7458 0,8086 0,8617 0,8752 0,8328 0,7301 0,5894 0,4593 0,3778 0,3322 0,2548 0,0646 -0,2681 -0,6916 -1,1137 -1,4612 -1,6943 -1,7943 -1,7685 -1,6669 -1,5673 -1,5294 -1,5638 -1,6370 -1,6949 -1,6913 -1,6073 -1,4393 -1,1730 -0,7994 -0,3560 0,0793 0,4372 0,6853 0,8380 0,9454 1,0442 1,1365 1,2266 1,3266 1,4085 1,3967 1,2295 0,9239 0,5792 0,3076 0,1597 0,1178 0,1589 0,3048 0,5833 0,9554 1,3214 1,6066 1,8194 2,0128 2,2131 2,3992 2,5174 2,5209 2,4260 2,3149 2,2572 2,2425 2,2014 2,0749 1,8462 1,5347 1,1944 0,9004 0,7101 0,6368 0,6594 0,7459 0,8563 0,9290 0,8907 0,6972 0,3574 -0,0831 -0,5648 -1,0264 -1,4249 -1,7628 -2,0937 -2,5003 -3,0506 -3,7485 -4,5146 -5,2188 -5,7509 -6,0610 -6,1456 -6,0314 -5,7800 -5,4644 -5,1200 -4,7440 -4,3301 -3,8890 -3,4580 -3,0857 -2,7952 -2,5860 -2,4588 -2,4100 -2,4155 -2,4277 -2,3795 -2,2147 -1,9238 -1,5398 -1,1152 -0,7035 -0,3396 -0,0355 0,2080 0,4009 0,5684 0,7436 0,9654 1,2726 1,6846 2,1875 2,7294 3,2273 3,6036 3,8206 3,8744 3,7700 3,5290 3,2180 2,9408 2,7852 2,7860 2,9379 3,2202 3,5962 4,0159 4,4344 4,8285 5,2011 5,5658 5,9170 6,2191 6,4257 6,5147 6,4973 6,3906 6,2021 5,9463 5,6432 5,2972 4,8976 4,4504 4,0000 3,6169 3,3678 3,2937 3,3945 3,6334 3,9640 4,3283 4,6298 4,7598 4,6747 4,4245 4,1008 3,7821 3,5182 3,3358 3,2428 3,2321 3,2882 3,3839 3,4708 3,4903 3,4003 3,1955 2,9174 2,6346 2,3946 2,1910 1,9841 1,7417 1,4595 1,1742 0,9525 0,8318 0,7783 0,7283 0,6488 0,5467 0,4420 0,3480 0,2735 0,2372 0,2742 0,4095 0,6228 0,8479 1,0015 1,0140 0,8572 0,5509 0,1483 -0,2813 -0,6784 -1,0128 -1,2726 -1,4527 -1,5668 -1,6506 -1,7420 -1,8658 -2,0363 -2,2627 -2,5443 -2,8623 -3,1781 -3,4447 -3,6290 -3,7248 -3,7489 -3,7285 -3,6762 -3,5704 -3,3738 -3,0766 -2,7100 -2,3117 -1,9007 -1,4913 -1,1104 -0,7933 -0,5725 -0,4701 -0,4813 -0,5576 -0,6385 -0,7125 -0,8157 -0,9628 -1,1147 -1,2155 -1,2413 -1,2042 -1,1312 -1,0536 -1,0000 -0,9829 -0,9959 -1,0169 -1,0131 -0,9570 -0,8507 -0,7299 -0,6413 -0,6120 -0,6314 -0,6541 -0,6341 -0,5703 -0,5170 -0,5496 -0,7094 -0,9556 -1,1731 -1,2416 -1,1006 -0,7598 -0,2725 0,2987 0,9051 1,5091 2,0551 2,4636 2,6683 2,6632 2,5197 2,3505 2,2461 2,2384 2,3050 2,3965 2,4745 2,5358 2,6043 2,7041 2,8340 2,9618 3,0458 3,0606 3,0091 2,9225 2,8423 2,7855 2,7235 2,6092 2,4283 2,2137 2,0218 1,9004 1,8635 1,8918 1,9660 2,0890 2,2788 2,5561 2,9299 3,3720 3,8000 4,1054 4,2124 4,1117 3,8504 3,5098 3,1759 2,9038 2,7096 2,5986 2,5799 2,6428 2,7365 2,7886 2,7411 2,5773 2,3344 2,0969 1,9592 1,9723 2,1238 2,3636 2,6376 2,9087 3,1607 3,3859 3,5685 3,6995 3,8122 3,9731 4,2290 4,5708 4,9401 5,2567 5,4450 5,4576 5,3003 5,0346 4,7376 4,4558 4,2090 4,0196 3,9125 3,8959 3,9655 4,1160 4,3295 4,5620 4,7596 4,8924 4,9643 4,9875 4,9570 4,8645 4,7258 4,5679 4,3916 4,1761 3,9143 3,6193 3,3074 2,9831 2,6403 2,2766 1,9007 1,5229 1,1554 0,8312 0,6070 0,5326 0,6174 0,8396 1,1706 1,5693 1,9632 2,2721 2,4586 2,5463 2,5876 2,6170 2,6320 2,6110 2,5363 2,3943 2,1670 1,8506 1,4876 1,1557 0,9151 0,7803 0,7344 0,7456 0,7626 0,7130 0,5400 0,2566 -0,0596 -0,3349 -0,5424 -0,6841 -0,7577 -0,7512 -0,6600 -0,4968 -0,2751 0,0123 0,3754 0,7800 1,1515 1,4294 1,5870 1,6106 1,5045 1,3015 1,0449 0,7734 0,5323 0,3704 0,3103 0,3411 0,4398 0,5789 0,7235 0,8489 0,9510 1,0254 1,0583 1,0449 0,9980 0,9409 0,8920 0,8464 0,7792 0,6765 0,5527 0,4425 0,3815 0,3882 0,4557 0,5521 0,6209 0,5900 0,4051 0,0679 -0,3742 -0,8688 -1,3755 -1,8604 -2,2994 -2,6802 -2,9966 -3,2479 -3,4540 -3,6633 -3,9256 -4,2454 -4,5741 -4,8501 -5,0402 -5,1461 -5,1803 -5,1482 -5,0554 -4,9188 -4,7605 -4,5903 -4,3957 -4,1595 -3,8924 -3,6360 -3,4220 -3,2467 -3,0895 -2,9254 -2,7210 -2,4475 -2,0965 -1,6690 -1,1613 -0,5779 0,0481 0,6569 1,1856 1,5912 1,8625 2,0203 2,1011 2,1354 2,1340 2,0911 1,9978 1,8578 1,6913 1,5183 1,3363 1,1276 0,8913 0,6623 0,4941 0,4215 0,4401 0,5167 0,6108 0,6764 0,6586 0,5123 0,2322 -0,1329 -0,4873 -0,7219 -0,7680 -0,6201 -0,3209 0,0530 0,4049 0,6521 0,7530 0,6984 0,4945 0,1748 -0,1829 -0,4785 -0,6325 -0,6141 -0,4591 -0,2677 -0,1511 -0,1666 -0,3005 -0,4960 -0,6951 -0,8731 -1,0447 -1,2388 -1,4651 -1,7051 -1,9376 -2,1632 -2,3987 -2,6471 -2,8771 -3,0302 -3,0601 -2,9674 -2,7932 -2,5773 -2,3328 -2,0640 -1,7898 -1,5448 -1,3725 -1,3145 -1,3960 -1,6168 -1,9474 -2,3285 -2,6880 -2,9643 -3,1266 -3,1754 -3,1303 -3,0226 -2,8989 -2,8154
F7    0,9325 0,9206 0,7989 0,5651 0,2608 -0,0354 -0,2463 -0,3369 -0,3118 -0,1873 0,0226 0,2992 0,6066 0,8940 1,1187 1,2706 1,3658 1,4186 1,4283 1,3891 1,2932 1,1344 0,9283 0,7187 0,5484 0,4295 0,3472 0,2877 0,2617 0,2967 0,4001 0,5296 0,6122 0,5941 0,4741 0,2978 0,1153 -0,0646 -0,2762 -0,5560 -0,9111 -1,3182 -1,7325 -2,1031 -2,3893 -2,5630 -2,6070 -2,5216 -2,3295 -2,0707 -1,7897 -1,5176 -1,2552 -0,9781 -0,6632 -0,3161 0,0237 0,2964 0,4422 0,4194 0,2221 -0,1074 -0,4986 -0,8864 -1,2154 -1,4272 -1,4689 -1,3300 -1,0713 -0,8000 -0,6006 -0,4949 -0,4603 -0,4649 -0,4815 -0,4846 -0,4351 -0,2857 -0,0237 0,2989 0,5928 0,7833 0,8398 0,7755 0,6235 0,4049 0,1267 -0,1902 -0,5009 -0,7571 -0,9246 -0,9869 -0,9478 -0,8350 -0,6974 -0,5910 -0,5597 -0,6166 -0,7459 -0,9251 -1,1310 -1,3281 -1,4744 -1,5568 -1,6121 -1,7011 -1,8633 -2,1039 -2,4069 -2,7513 -3,1286 -3,5480 -4,0192 -4,5286 -5,0266 -5,4401 -5,7111 -5,8203 -5,7765 -5,5984 -5,3104 -4,9398 -4,5116 -4,0615 -3,6354 -3,2598 -2,9328 -2,6497 -2,4122 -2,2156 -2,0472 -1,8970 -1,7584 -1,6201 -1,4652 -1,2757 -1,0351 -0,7359 -0,3942 -0,0542 0,2444 0,5053 0,7623 1,0373 1,3346 1,6529 1,9743 2,2555 2,4475 2,5310 2,5244 2,4556 2,3379 2,1839 2,0317 1,9295 1,8949 1,9164 1,9827 2,0913 2,2413 2,4277 2,6378 2,8596 3,0916 3,3369 3,5916 3,8304 4,0008 4,0490 3,9579 3,7585 3,5094 3,2613 3,0328 2,8223 2,6389 2,5086 2,4521 2,4622 2,5017 2,5279 2,5219 2,4903 2,4520 2,4285 2,4351 2,4764 2,5480 2,6378 2,7299 2,8144 2,8937 2,9767 3,0603 3,1151 3,0998 2,9904 2,7931 2,5364 2,2616 2,0108 1,8109 1,6663 1,5584 1,4621 1,3696 1,2878 1,2185 1,1584 1,1067 1,0617 1,0186 0,9797 0,9580 0,9622 0,9848 1,0026 0,9821 0,8905 0,7146 0,4735 0,2055 -0,0583 -0,3036 -0,5246 -0,7144 -0,8605 -0,9511 -0,9853 -0,9737 -0,9398 -0,9165 -0,9356 -1,0196 -1,1762 -1,3903 -1,6358 -1,8986 -2,1812 -2,4894 -2,8189 -3,1528 -3,4662 -3,7357 -3,9472 -4,0971 -4,1849 -4,2075 -4,1630 -4,0589 -3,9137 -3,7482 -3,5741 -3,3972 -3,2301 -3,0890 -2,9738 -2,8641 -2,7352 -2,5686 -2,3605 -2,1340 -1,9396 -1,8296 -1,8264 -1,9133 -2,0482 -2,1838 -2,2827 -2,3281 -2,3315 -2,3289 -2,3605 -2,4492 -2,5962 -2,7842 -2,9763 -3,1312 -3,2300 -3,2792 -3,2887 -3,2560 -3,1709 -3,0342 -2,8785 -2,7563 -2,6946 -2,6717 -2,6456 -2,5938 -2,5167 -2,4212 -2,3119 -2,1918 -2,0653 -1,9409 -1,8318 -1,7483 -1,6880 -1,6367 -1,5782 -1,4976 -1,3780 -1,2180 -1,0462 -0,8933 -0,7611 -0,6335 -0,5032 -0,3786 -0,2726 -0,1908 -0,1274 -0,0785 -0,0595 -0,0962 -0,1958 -0,3384 -0,4990 -0,6578 -0,7909 -0,8676 -0,8663 -0,7900 -0,6704 -0,5520 -0,4653 -0,4131 -0,3767 -0,3300 -0,2554 -0,1541 -0,0411 0,0718 0,1861 0,3137 0,4581 0,5962 0,6917 0,7280 0,7188 0,6925 0,6808 0,7095 0,7847 0,8911 0,9994 1,0638 1,0268 0,8535 0,5664 0,2402 -0,0358 -0,1978 -0,2306 -0,1673 -0,0675 0,0134 0,0495 0,0458 0,0221 0,0047 0,0271 0,1167 0,2680 0,4403 0,5888 0,6962 0,7793 0,8741 1,0064 1,1714 1,3414 1,4816 1,5488 1,5033 1,3418 1,1136 0,8961 0,7554 0,7218 0,7903 0,9370 1,1285 1,3264 1,4955 1,6153 1,6838 1,7068 1,6852 1,6226 1,5413 1,4735 1,4303 1,3853 1,2955 1,1342 0,9039 0,6280 0,3399 0,0804 -0,1064 -0,1956 -0,2005 -0,1625 -0,1272 -0,1231 -0,1569 -0,2208 -0,2886 -0,3087 -0,2318 -0,0499 0,2052 0,4852 0,7289 0,8694 0,8691 0,7433 0,5343 0,2686 -0,0443 -0,3739 -0,6598 -0,8498 -0,9305 -0,9226 -0,8647 -0,7961 -0,7454 -0,7291 -0,7569 -0,8339 -0,9608 -1,1322 -1,3308 -1,5265 -1,6884 -1,7978 -1,8422 -1,8054 -1,6791 -1,4836 -1,2675 -1,0863 -0,9835 -0,9823 -1,0832 -1,2638 -1,4788 -1,6711 -1,7855 -1,7860 -1,6795 -1,5176 -1,3618 -1,2487 -1,1860 -1,1626 -1,1656 -1,2005 -1,2911 -1,4460 -1,6333 -1,7927 -1,8709 -1,8483 -1,7446 -1,6075 -1,4944 -1,4540 -1,5099 -1,6515 -1,8353 -1,9976 -2,0821 -2,0676 -1,9771 -1,8663 -1,8071 -1,8608 -2,0441 -2,3249 -2,6555 -3,0040 -3,3613 -3,7333 -4,1257 -4,5236 -4,8893 -5,1874 -5,4041 -5,5350 -5,5732 -5,5210 -5,3988 -5,2349 -5,0557 -4,8849 -4,7397 -4,6214 -4,5146 -4,4053 -4,2970 -4,1996 -4,1042 -3,9799 -3,7929 -3,5313 -3,2172 -2,8934 -2,5917 -2,3100 -2,0135 -1,6536 -1,2031 -0,6835 -0,1546 0,3206 0,6944 0,9361 1,0408 1,0391 0,9823 0,9044 0,7995 0,6457 0,4443 0,2173 -0,0180 -0,2474 -0,4428 -0,5729 -0,6259 -0,6156 -0,5803 -0,5785 -0,6661 -0,8599 -1,1314 -1,4306 -1,7022 -1,8898 -1,9505 -1,8758 -1,6960 -1,4576 -1,2035 -0,9729 -0,8032 -0,7175 -0,7142 -0,7746 -0,8755 -1,0000 -1,1358 -1,2654 -1,3660 -1,4231 -1,4371 -1,4180 -1,3783 -1,3343 -1,3086 -1,3255 -1,4040 -1,5480 -1,7440 -1,9751 -2,2293 -2,4895 -2,7282 -2,9200 -3,0580 -3,1504 -3,2033 -3,2135 -3,1734 -3,0809 -2,9428 -2,7706 -2,5745 -2,3618 -2,1359 -1,8970 -1,6589 -1,4632 -1,3613 -1,3863 -1,5475 -1,8281 -2,1747 -2,5121 -2,7809 -2,9592 -3,0617 -3,1290 -3,2067 -3,3221
