Fp1   2,0778 1,7551 1,3016 0,7930 0,3241 -0,0342 -0,2636 -0,3888 -0,4375 -0,4138 -0,3108 -0,1481 0,0123 0,0953 0,0613 -0,0729 -0,2526 -0,4175 -0,5263 -0,5611 -0,5148 -0,3899 -0,2118 -0,0348 0,0817 0,1074 0,0361 -0,1499 -0,4832 -0,9649 -1,5225 -2,0243 -2,3365 -2,3817 -2,1680 -1,7733 -1,2904 -0,7729 -0,2304 0,3369 0,9117 1,4504 1,8749 2,0943 2,0616 1,8160 1,4595 1,0926 0,7796 0,5534 0,4161 0,3459 0,3288 0,3693 0,4639 0,5829 0,6870 0,7491 0,7559 0,7055 0,6149 0,5150 0,4359 0,4038 0,4351 0,5242 0,6451 0,7596 0,8273 0,8297 0,7863 0,7353 0,7028 0,6948 0,7027 0,7004 0,6411 0,4672 0,1410 -0,3242 -0,8596 -1,3661 -1,7524 -1,9698 -2,0209 -1,9446 -1,8085 -1,6939 -1,6565 -1,6984 -1,7738 -1,8123 -1,7554 -1,5986 -1,3945 -1,2098 -1,0857 -1,0311 -1,0427 -1,1198 -1,2568 -1,4277 -1,5929 -1,7275 -1,8399 -1,9632 -2,1364 -2,4007 -2,7920 -3,3023 -3,8486 -4,3150 -4,6366 -4,8339 -4,9681 -5,0861 -5,2141 -5,3733 -5,5707 -5,7859 -5,9823 -6,1242 -6,1756 -6,0986 -5,8788 -5,5532 -5,1873 -4,8218 -4,4538 -4,0705 -3,6880 -3,3573 -3,1474 -3,1113 -3,2544 -3,5283 -3,8469 -4,1130 -4,2477 -4,2002 -3,9369 -3,4415 -2,7485 -1,9680 -1,2494 -0,7092 -0,3841 -0,2266 -0,1449 -0,0628 0,0492 0,1901 0,3647 0,5964 0,9070 1,2955 1,7484 2,2629 2,8428 3,4593 4,0366 4,4933 4,7891 4,9312 4,9502 4,8691 4,6953 4,4388 4,1300 3,8221 3,5744 3,4195 3,3498 3,3406 3,3776 3,4523 3,5388 3,5903 3,5609 3,4377 3,2571 3,0770 2,9230 2,7703 2,5777 2,3223 2,0076 1,6654 1,3505 1,1182 1,0037 1,0219 1,1703 1,4180 1,6866 1,8622 1,8550 1,6598 1,3671 1,1232 1,0641 1,2433 1,5894 1,9435 2,1617 2,1946 2,0879 1,9284 1,7886 1,7037 1,6818 1,7213 1,8154 1,9516 2,1183 2,2967 2,4355 2,4562 2,3096 2,0285 1,7047 1,4230 1,2342 1,1655 1,2235 1,3907 1,6265 1,8834 2,1264 2,3352 2,4985 2,6224 2,7279 2,8310 2,9231 2,9703 2,9363 2,8176 2,6384 2,4191 2,1796 1,9633 1,8241 1,7903 1,8440 1,9267 1,9754 1,9800 2,0029 2,1220 2,3650 2,7072 3,0973 3,4709 3,7723 3,9798 4,1032 4,1648 4,1862 4,1646 4,0574 3,8139 3,4199 2,9154 2,4009 2,0232 1,9064 2,0660 2,3982 2,7524 3,0133 3,1377 3,1398 3,0556 2,9215 2,7767 2,6686 2,6268 2,6315 2,6374 2,6177 2,5679 2,4933 2,4065 2,3202 2,2375 2,1632 2,1208 2,1556 2,3165 2,6221 3,0332 3,4611 3,8104 4,0251 4,1031 4,0726 3,9681 3,8290 3,6972 3,6027 3,5589 3,5656 3,6012 3,6256 3,6052 3,5228 3,3696 3,1557 2,9214 2,7214 2,6139 2,6531 2,8446 3,1098 3,3298 3,4271 3,3942 3,2690 3,1072 2,9533 2,8176 2,6772 2,5005 2,2788 2,0379 1,8183 1,6591 1,5898 1,6065 1,6603 1,6971 1,7142 1,7609 1,8865 2,0937 2,3445 2,6018 2,8519 3,0865 3,2824 3,4061 3,4345 3,3613 3,1864 2,9112 2,5555 2,1738 1,8444 1,6363 1,5743 1,6137 1,6499 1,5742 1,3383 0,9750 0,5575 0,1458 -0,2239 -0,5193 -0,7013 -0,7334 -0,6041 -0,3411 -0,0023 0,3437 0,6317 0,8083 0,8453 0,7596 0,6172 0,5026 0,4773 0,5554 0,6921 0,8011 0,8172 0,7420 0,6205 0,4961 0,3893 0,2958 0,2015 0,0953 -0,0363 -0,2105 -0,4269 -0,6429 -0,7871 -0,8161 -0,7553 -0,6673 -0,5908 -0,5181 -0,4116 -0,2365 0,0116 0,2998 0,5682 0,7457 0,7736 0,6308 0,3390 -0,0583 -0,5187 -1,0118 -1,5209 -2,0208 -2,4576 -2,7746 -2,9569 -3,0311 -3,0141 -2,8951 -2,6774 -2,4043 -2,1336 -1,9022 -1,7074 -1,5243 -1,3508 -1,2236 -1,1862 -1,2465 -1,3620 -1,4700 -1,5375 -1,5791 -1,6293 -1,7083 -1,8124 -1,9256 -2,0411 -2,1721 -2,3324 -2,5065 -2,6444 -2,6775 -2,5511 -2,2588 -1,8537 -1,4312 -1,0869 -0,8645 -0,7462 -0,6952 -0,6872 -0,7126 -0,7731 -0,8690 -0,9814 -1,0822 -1,1538 -1,1978 -1,2242 -1,2313 -1,2037 -1,1344 -1,0410 -0,9536 -0,8865 -0,8278 -0,7610 -0,6922 -0,6500 -0,6689 -0,7782 -0,9851 -1,2490 -1,4913 -1,6533 -1,7374 -1,7819 -1,8230 -1,9003 -2,0681 -2,3684 -2,8043 -3,3438 -3,9309 -4,4937 -4,9700 -5,3468 -5,6741 -6,0284 -6,4503 -6,9165 -7,3603 -7,7153 -7,9469 -8,0574 -8,0656 -7,9854 -7,8295 -7,6286 -7,4306 -7,2831 -7,2159 -7,2327 -7,3106 -7,4204 -7,5465 -7,6732 -7,7622 -7,7669 -7,6658 -7,4787 -7,2506 -7,0208 -6,8013 -6,5764 -6,3214 -6,0225 -5,6877 -5,3477 -5,0424 -4,7896 -4,5585 -4,2786 -3,8957 -3,4257 -2,9439 -2,5264 -2,2130 -2,0039 -1,8679 -1,7693 -1,7082 -1,7192 -1,8180 -1,9642 -2,0810 -2,1098 -2,0556 -1,9770 -1,9252 -1,9097 -1,9173 -1,9293 -1,9153 -1,8269 -1,6111 -1,2435 -0,7601 -0,2592 0,1395 0,3513 0,3499 0,1548 -0,1968 -0,6745 -1,2533 -1,8845 -2,4835 -2,9602 -3,2605 -3,3855 -3,3889 -3,3609 -3,3780 -3,4424 -3,4838 -3,4292 -3,2596 -3,0100 -2,7437 -2,5251 -2,3925 -2,3408 -2,3337 -2,3362 -2,3366 -2,3392 -2,3586 -2,4239 -2,5646 -2,7887 -3,0815 -3,4185 -3,7728 -4,1121 -4,3943 -4,5759 -4,6373 -4,5940 -4,4805 -4,3310 -4,1729 -4,0212 -3,8703 -3,7079 -3,5414 -3,3978 -3,2970 -3,2472 -3,2546 -3,3151 -3,4041 -3,4834 -3,5182
Fz    1,9483 1,6525 1,3323 1,0348 0,7989 0,6291 0,4978 0,3755 0,2587 0,1679 0,1172 0,0861 0,0238 -0,1188 -0,3590 -0,6752 -1,0210 -1,3473 -1,6163 -1,8016 -1,8851 -1,8604 -1,7428 -1,5711 -1,3911 -1,2332 -1,1092 -1,0266 -0,9922 -0,9997 -1,0264 -1,0454 -1,0357 -0,9810 -0,8702 -0,7018 -0,4814 -0,2124 0,1049 0,4661 0,8612 1,2711 1,6588 1,9734 2,1707 2,2315 2,1652 1,9988 1,7677 1,5125 1,2697 1,0640 0,9120 0,8237 0,7917 0,7861 0,7692 0,7147 0,6134 0,4711 0,3095 0,1658 0,0860 0,1072 0,2278 0,4000 0,5565 0,6404 0,6246 0,5305 0,4255 0,3778 0,4050 0,4714 0,5301 0,5519 0,5189 0,4106 0,2118 -0,0683 -0,3942 -0,7177 -0,9946 -1,1961 -1,3167 -1,3747 -1,4054 -1,4473 -1,5239 -1,6268 -1,7144 -1,7340 -1,6598 -1,5163 -1,3623 -1,2507 -1,2021 -1,2100 -1,2637 -1,3611 -1,5026 -1,6800 -1,8713 -2,0449 -2,1753 -2,2605 -2,3234 -2,3970 -2,5046 -2,6456 -2,7957 -2,9209 -3,0026 -3,0552 -3,1165 -3,2205 -3,3804 -3,5876 -3,8185 -4,0482 -4,2631 -4,4595 -4,6297 -4,7539 -4,8142 -4,8166 -4,7924 -4,7766 -4,7899 -4,8385 -4,9180 -5,0209 -5,1498 -5,3208 -5,5467 -5,8162 -6,0935 -6,3361 -6,5075 -6,5745 -6,4994 -6,2494 -5,8216 -5,2635 -4,6642 -4,1184 -3,6893 -3,3886 -3,1826 -3,0168 -2,8336 -2,5753 -2,1918 -1,6664 -1,0364 -0,3825 0,2129 0,7107 1,1269 1,5047 1,8696 2,2097 2,4922 2,6882 2,7836 2,7834 2,7188 2,6423 2,6029 2,6308 2,7385 2,9199 3,1509 3,3991 3,6354 3,8316 3,9566 3,9848 3,9090 3,7462 3,5325 3,3046 3,0785 2,8460 2,5927 2,3132 2,0172 1,7316 1,5009 1,3755 1,3848 1,5139 1,7039 1,8720 1,9336 1,8279 1,5453 1,1352 0,6928 0,3301 0,1355 0,1377 0,2958 0,5323 0,7821 1,0125 1,2074 1,3508 1,4304 1,4520 1,4366 1,4042 1,3680 1,3365 1,3143 1,2933 1,2477 1,1437 0,9663 0,7397 0,5171 0,3488 0,2607 0,2562 0,3238 0,4358 0,5476 0,6165 0,6321 0,6204 0,6184 0,6483 0,7096 0,7821 0,8372 0,8514 0,8205 0,7634 0,7066 0,6643 0,6384 0,6272 0,6242 0,6180 0,5999 0,5656 0,5129 0,4506 0,4038 0,3980 0,4459 0,5498 0,7056 0,9012 1,1188 1,3400 1,5447 1,7135 1,8352 1,9013 1,8957 1,8037 1,6299 1,3990 1,1456 0,9072 0,7180 0,5951 0,5287 0,4940 0,4765 0,4822 0,5223 0,5942 0,6823 0,7715 0,8584 0,9421 1,0072 1,0344 1,0306 1,0316 1,0677 1,1382 1,2150 1,2607 1,2460 1,1702 1,0744 1,0251 1,0747 1,2324 1,4682 1,7369 2,0005 2,2304 2,4006 2,4932 2,5110 2,4689 2,3739 2,2273 2,0471 1,8677 1,7178 1,6070 1,5246 1,4478 1,3619 1,2697 1,1806 1,1079 1,0744 1,0928 1,1404 1,1680 1,1322 1,0110 0,8025 0,5285 0,2347 -0,0279 -0,2306 -0,3752 -0,4751 -0,5352 -0,5499 -0,5124 -0,4235 -0,3023 -0,1822 -0,0850 0,0005 0,1029 0,2361 0,3849 0,5127 0,5817 0,5709 0,4879 0,3646 0,2378 0,1270 0,0299 -0,0683 -0,1800 -0,3027 -0,4156 -0,4912 -0,5120 -0,4782 -0,4077 -0,3265 -0,2592 -0,2234 -0,2247 -0,2599 -0,3278 -0,4312 -0,5658 -0,7110 -0,8323 -0,8932 -0,8700 -0,7606 -0,5911 -0,4206 -0,3226 -0,3435 -0,4657 -0,6103 -0,6834 -0,6294 -0,4600 -0,2483 -0,0885 -0,0403 -0,1026 -0,2302 -0,3667 -0,4690 -0,5239 -0,5453 -0,5591 -0,5908 -0,6628 -0,7891 -0,9615 -1,1448 -1,2966 -1,3960 -1,4500 -1,4738 -1,4657 -1,3978 -1,2376 -0,9819 -0,6690 -0,3621 -0,1263 -0,0110 -0,0426 -0,2206 -0,5181 -0,8878 -1,2820 -1,6710 -2,0388 -2,3662 -2,6319 -2,8260 -2,9502 -3,0055 -2,9909 -2,9183 -2,8211 -2,7430 -2,7143 -2,7330 -2,7718 -2,8049 -2,8255 -2,8418 -2,8609 -2,8768 -2,8729 -2,8344 -2,7576 -2,6479 -2,5171 -2,3841 -2,2731 -2,2095 -2,2115 -2,2806 -2,3977 -2,5247 -2,6156 -2,6389 -2,5904 -2,4832 -2,3351 -2,1694 -2,0135 -1,8891 -1,8033 -1,7421 -1,6801 -1,6015 -1,5061 -1,4038 -1,3119 -1,2497 -1,2289 -1,2495 -1,3046 -1,3853 -1,4868 -1,6079 -1,7420 -1,8705 -1,9641 -1,9977 -1,9656 -1,8842 -1,7800 -1,6768 -1,5884 -1,5203 -1,4765 -1,4684 -1,5093 -1,5968 -1,7096 -1,8328 -1,9769 -2,1667 -2,4173 -2,7252 -3,0709 -3,4275 -3,7726 -4,0983 -4,4135 -4,7302 -5,0467 -5,3495 -5,6296 -5,8869 -6,1224 -6,3316 -6,4992 -6,6022 -6,6325 -6,6158 -6,5987 -6,6249 -6,7239 -6,9048 -7,1430 -7,3867 -7,5903 -7,7384 -7,8378 -7,8985 -7,9246 -7,9164 -7,8784 -7,8243 -7,7600 -7,6622 -7,4852 -7,1944 -6,7968 -6,3441 -5,9061 -5,5272 -5,1966 -4,8642 -4,4924 -4,0948 -3,7222 -3,4229 -3,2219 -3,1217 -3,1029 -3,1340 -3,1922 -3,2656 -3,3336 -3,3590 -3,3070 -3,1639 -2,9411 -2,6632 -2,3517 -2,0226 -1,6982 -1,4067 -1,1609 -0,9451 -0,7233 -0,4650 -0,1714 0,1150 0,3260 0,4015 0,3170 0,0883 -0,2408 -0,6211 -1,0130 -1,3871 -1,7190 -1,9913 -2,1988 -2,3477 -2,4530 -2,5346 -2,6080 -2,6706 -2,7042 -2,6964 -2,6553 -2,6034 -2,5670 -2,5728 -2,6352 -2,7452 -2,8759 -3,0001 -3,1005 -3,1684 -3,2054 -3,2276 -3,2663 -3,3588 -3,5341 -3,7972 -4,1173 -4,4338 -4,6806 -4,8184 -4,8535 -4,8265 -4,7795 -4,7320 -4,6808 -4,6117 -4,5141 -4,3896 -4,2467 -4,0980 -3,9682 -3,8938 -3,8996 -3,9753 -4,0847 -4,1984 -4,3094
F3    1,8544 1,5354 1,1546 0,7817 0,4836 0,2843 0,1641 0,0977 0,0851 0,1381 0,2446 0,3516 0,3823 0,2765 0,0244 -0,3338 -0,7335 -1,1133 -1,4274 -1,6443 -1,7375 -1,6911 -1,5230 -1,2915 -1,0661 -0,8874 -0,7659 -0,7079 -0,7219 -0,7958 -0,8856 -0,9412 -0,9362 -0,8742 -0,7794 -0,6800 -0,5888 -0,4874 -0,3354 -0,0930 0,2625 0,7220 1,2309 1,6980 2,0308 2,1725 2,1209 1,9233 1,6511 1,3713 1,1287 0,9458 0,8305 0,7799 0,7786 0,8003 0,8138 0,7872 0,6887 0,4960 0,2176 -0,0895 -0,3330 -0,4367 -0,3933 -0,2615 -0,1180 -0,0169 0,0297 0,0575 0,1287 0,2721 0,4382 0,5269 0,4727 0,2952 0,0662 -0,1568 -0,3578 -0,5425 -0,7148 -0,8740 -1,0220 -1,1617 -1,2919 -1,4129 -1,5374 -1,6878 -1,8719 -2,0585 -2,1790 -2,1631 -1,9914 -1,7214 -1,4526 -1,2564 -1,1437 -1,0905 -1,0813 -1,1270 -1,2544 -1,4845 -1,8102 -2,1847 -2,5357 -2,8044 -2,9752 -3,0722 -3,1320 -3,1757 -3,2019 -3,1970 -3,1587 -3,1159 -3,1249 -3,2389 -3,4742 -3,7930 -4,1174 -4,3760 -4,5468 -4,6519 -4,7159 -4,7379 -4,7047 -4,6245 -4,5323 -4,4608 -4,4208 -4,4064 -4,4098 -4,4335 -4,4954 -4,6182 -4,8096 -5,0520 -5,3075 -5,5302 -5,6751 -5,6956 -5,5398 -5,1644 -4,5736 -3,8447 -3,1044 -2,4720 -2,0151 -1,7384 -1,6012 -1,5448 -1,5016 -1,3898 -1,1238 -0,6580 -0,0290 0,6533 1,2687 1,7517 2,1114 2,3991 2,6533 2,8733 3,0279 3,0790 3,0066 2,8279 2,5996 2,3953 2,2715 2,2531 2,3363 2,4932 2,6848 2,8860 3,0901 3,2817 3,4197 3,4568 3,3747 3,1982 2,9785 2,7544 2,5254 2,2654 1,9552 1,5947 1,1992 0,8070 0,4891 0,3288 0,3734 0,6023 0,9375 1,2703 1,4852 1,4934 1,2756 0,8975 0,4828 0,1611 0,0191 0,0699 0,2550 0,4847 0,6909 0,8443 0,9413 0,9873 0,9902 0,9639 0,9308 0,9217 0,9672 1,0791 1,2352 1,3803 1,4401 1,3503 1,0948 0,7225 0,3225 -0,0196 -0,2432 -0,3119 -0,2182 0,0020 0,2674 0,4884 0,6159 0,6565 0,6521 0,6540 0,6979 0,7843 0,8820 0,9595 1,0181 1,0866 1,1824 1,2900 1,3794 1,4250 1,4031 1,2978 1,1193 0,9012 0,6797 0,4882 0,3612 0,3250 0,3898 0,5536 0,7984 1,0900 1,3924 1,6766 1,9133 2,0753 2,1552 2,1634 2,1077 1,9839 1,7831 1,5064 1,1798 0,8566 0,5935 0,4189 0,3269 0,2993 0,3267 0,4136 0,5622 0,7513 0,9358 1,0735 1,1588 1,2235 1,2988 1,3936 1,5080 1,6415 1,7793 1,8830 1,9055 1,8150 1,6102 1,3262 1,0378 0,8398 0,8030 0,9442 1,2309 1,6090 2,0208 2,4007 2,6784 2,8119 2,8144 2,7328 2,6030 2,4359 2,2379 2,0295 1,8454 1,7219 1,6777 1,7056 1,7861 1,8969 2,0082 2,0959 2,1620 2,2194 2,2559 2,2353 2,1229 1,8968 1,5503 1,1088 0,6405 0,2281 -0,0793 -0,2832 -0,4054 -0,4575 -0,4389 -0,3494 -0,1973 -0,0123 0,1524 0,2569 0,3161 0,3879 0,5222 0,7274 0,9685 1,1821 1,3043 1,3088 1,2250 1,1042 0,9755 0,8380 0,6834 0,5143 0,3473 0,2068 0,1119 0,0655 0,0534 0,0585 0,0745 0,1003 0,1293 0,1510 0,1536 0,1175 0,0224 -0,1293 -0,2985 -0,4231 -0,4553 -0,3865 -0,2397 -0,0541 0,1178 0,2097 0,1637 -0,0213 -0,2636 -0,4437 -0,4835 -0,3902 -0,2433 -0,1405 -0,1369 -0,2214 -0,3397 -0,4300 -0,4549 -0,4191 -0,3602 -0,3179 -0,3167 -0,3728 -0,4985 -0,6818 -0,8742 -1,0225 -1,1157 -1,1856 -1,2584 -1,3088 -1,2636 -1,0611 -0,7087 -0,2840 0,1093 0,3833 0,4843 0,3991 0,1587 -0,1698 -0,5150 -0,8343 -1,1204 -1,3787 -1,6070 -1,8051 -1,9902 -2,1864 -2,3923 -2,5684 -2,6605 -2,6407 -2,5323 -2,3958 -2,2846 -2,2176 -2,1894 -2,1944 -2,2363 -2,3160 -2,4108 -2,4732 -2,4580 -2,3453 -2,1456 -1,8992 -1,6710 -1,5285 -1,5126 -1,6198 -1,8086 -2,0251 -2,2262 -2,3803 -2,4624 -2,4520 -2,3343 -2,1169 -1,8483 -1,6060 -1,4567 -1,4229 -1,4747 -1,5491 -1,5862 -1,5521 -1,4447 -1,2921 -1,1345 -0,9965 -0,8790 -0,7737 -0,6815 -0,6224 -0,6288 -0,7235 -0,8957 -1,0959 -1,2580 -1,3386 -1,3397 -1,2967 -1,2494 -1,2142 -1,1782 -1,1243 -1,0597 -1,0165 -1,0291 -1,1186 -1,2918 -1,5410 -1,8419 -2,1681 -2,5079 -2,8647 -3,2478 -3,6665 -4,1222 -4,6027 -5,0796 -5,5098 -5,8535 -6,0971 -6,2511 -6,3362 -6,3756 -6,3826 -6,3532 -6,2874 -6,2143 -6,1810 -6,2254 -6,3620 -6,5722 -6,8011 -6,9832 -7,0876 -7,1318 -7,1519 -7,1668 -7,1713 -7,1511 -7,1017 -7,0328 -6,9467 -6,8119 -6,5747 -6,2031 -5,7174 -5,1868 -4,6968 -4,3016 -3,9857 -3,6776 -3,3193 -2,9256 -2,5672 -2,3053 -2,1588 -2,1153 -2,1465 -2,2224 -2,3285 -2,4627 -2,6067 -2,7175 -2,7518 -2,6912 -2,5451 -2,3351 -2,0817 -1,8094 -1,5579 -1,3688 -1,2548 -1,1895 -1,1214 -0,9969 -0,7869 -0,5094 -0,2285 -0,0281 0,0197 -0,1180 -0,4232 -0,8445 -1,3275 -1,8259 -2,2934 -2,6846 -2,9714 -3,1589 -3,2865 -3,4079 -3,5532 -3,6980 -3,7778 -3,7464 -3,6160 -3,4407 -3,2825 -3,1930 -3,1942 -3,2631 -3,3460 -3,3959 -3,3956 -3,3528 -3,2927 -3,2597 -3,3081 -3,4798 -3,7929 -4,2340 -4,7437 -5,2175 -5,5455 -5,6683 -5,6058 -5,4383 -5,2582 -5,1249 -5,0380 -4,9438 -4,7847 -4,5487 -4,2671 -3,9804 -3,7260 -3,5453 -3,4685 -3,4861 -3,5573 -3,6492 -3,7538
F7    0,1214 0,0358 0,0280 0,0638 0,1115 0,1387 0,1091 -0,0139 -0,2450 -0,5487 -0,8391 -1,0195 -1,0287 -0,8603 -0,5502 -0,1521 0,2735 0,6614 0,9526 1,1145 1,1495 1,0780 0,9182 0,6893 0,4195 0,1368 -0,1368 -0,3691 -0,5144 -0,5553 -0,5491 -0,6028 -0,7846 -1,0534 -1,2716 -1,2939 -1,0602 -0,6224 -0,1017 0,3754 0,7089 0,8301 0,7268 0,4845 0,2687 0,2254 0,3801 0,6223 0,7870 0,7617 0,5381 0,1868 -0,1957 -0,5289 -0,7751 -0,9446 -1,0705 -1,1649 -1,1784 -1,0080 -0,5893 0,0131 0,6273 1,0774 1,2715 1,2359 1,0837 0,9228 0,7833 0,6422 0,4924 0,3693 0,3310 0,4318 0,6906 1,0449 1,3393 1,3895 1,0901 0,4812 -0,2774 -1,0006 -1,5584 -1,9047 -2,0628 -2,0771 -1,9697 -1,7665 -1,5488 -1,4213 -1,4221 -1,4897 -1,5263 -1,4810 -1,3617 -1,1993 -1,0358 -0,9280 -0,9252 -1,0248 -1,1511 -1,1944 -1,0915 -0,8682 -0,6059 -0,3922 -0,2987 -0,3583 -0,5576 -0,8658 -1,2587 -1,7055 -2,1613 -2,5832 -2,9376 -3,1939 -3,3385 -3,3965 -3,4150 -3,4173 -3,3969 -3,3536 -3,3147 -3,3224 -3,4100 -3,5699 -3,7362 -3,8220 -3,7822 -3,6274 -3,3911 -3,1040 -2,7985 -2,5183 -2,2965 -2,1218 -1,9442 -1,7335 -1,5265 -1,4100 -1,4572 -1,6776 -2,0009 -2,3014 -2,4569 -2,4060 -2,1602 -1,7670 -1,2589 -0,6310 0,1351 1,0200 1,9389 2,7663 3,3884 3,7417 3,8228 3,6826 3,4244 3,1884 3,0972 3,1964 3,4561 3,8080 4,1567 4,3998 4,4888 4,4614 4,3945 4,3389 4,3109 4,3201 4,3685 4,4149 4,3661 4,1263 3,6663 3,0525 2,4107 1,8544 1,4350 1,1512 0,9880 0,9313 0,9623 1,0649 1,2359 1,4744 1,7554 2,0179 2,1902 2,2313 2,1420 1,9379 1,6438 1,3308 1,1168 1,0906 1,2387 1,4534 1,6041 1,6064 1,4532 1,2016 0,9255 0,6792 0,4870 0,3500 0,2670 0,2374 0,2303 0,1801 0,0325 -0,2195 -0,5356 -0,8445 -1,0740 -1,1849 -1,1813 -1,0863 -0,9086 -0,6456 -0,3242 -0,0077 0,2490 0,4207 0,4866 0,4292 0,2782 0,1197 0,0299 0,0160 0,0383 0,0674 0,0990 0,1333 0,1597 0,1605 0,1273 0,0659 -0,0205 -0,1328 -0,2411 -0,2655 -0,1150 0,2420 0,7448 1,2686 1,6825 1,8993 1,8958 1,7030 1,3971 1,0787 0,8216 0,6406 0,5298 0,5086 0,5984 0,7615 0,8931 0,9012 0,7968 0,6864 0,6691 0,7608 0,9132 1,0661 1,1747 1,2253 1,2325 1,2056 1,1402 1,0522 0,9961 1,0306 1,1647 1,3354 1,4305 1,3515 1,0845 0,7184 0,3865 0,1951 0,1978 0,3905 0,7062 1,0428 1,3224 1,5262 1,6684 1,7442 1,7170 1,5686 1,3601 1,2300 1,3105 1,6302 2,1036 2,6084 3,0505 3,3660 3,5089 3,4566 3,2182 2,8248 2,3055 1,6849 1,0175 0,3969 -0,0959 -0,4335 -0,6186 -0,6482 -0,5223 -0,2725 0,0477 0,4093 0,8210 1,2829 1,7309 2,0495 2,1651 2,1082 1,9650 1,8040 1,6593 1,5491 1,4830 1,4543 1,4389 1,4050 1,3245 1,1849 1,0045 0,8386 0,7616 0,8232 1,0026 1,2102 1,3578 1,4377 1,5200 1,6662 1,8645 2,0531 2,1829 2,2467 2,2590 2,2236 2,1250 1,9390 1,6458 1,2489 0,7992 0,3868 0,1032 0,0217 0,1896 0,5960 1,1440 1,6745 2,0393 2,1776 2,1236 1,9363 1,6378 1,2252 0,7305 0,2623 -0,0244 -0,0226 0,2526 0,6779 1,1051 1,4353 1,6244 1,6461 1,4759 1,1257 0,6768 0,2419 -0,1105 -0,3773 -0,5721 -0,6894 -0,7238 -0,6875 -0,5909 -0,4257 -0,1791 0,1329 0,4483 0,6878 0,8058 0,8013 0,6855 0,4706 0,1947 -0,0762 -0,2786 -0,3847 -0,4157 -0,4178 -0,4166 -0,4051 -0,3793 -0,3583 -0,3612 -0,3759 -0,3653 -0,3074 -0,2291 -0,1942 -0,2683 -0,4876 -0,8239 -1,1759 -1,4282 -1,5213 -1,4566 -1,2626 -0,9846 -0,6958 -0,4934 -0,4754 -0,7096 -1,2018 -1,8723 -2,5565 -3,0503 -3,2001 -2,9773 -2,4865 -1,9113 -1,4166 -1,0607 -0,8044 -0,6072 -0,4905 -0,5017 -0,6343 -0,8090 -0,9386 -0,9914 -0,9839 -0,9310 -0,8205 -0,6297 -0,3623 -0,0663 0,1922 0,3719 0,4616 0,4515 0,3193 0,0530 -0,3165 -0,7111 -1,0349 -1,2093 -1,2006 -1,0377 -0,8022 -0,5812 -0,4165 -0,2960 -0,1950 -0,1198 -0,1118 -0,2230 -0,4905 -0,9006 -1,3665 -1,7793 -2,1018 -2,3920 -2,7274 -3,1335 -3,5881 -4,0514 -4,4648 -4,7451 -4,8211 -4,6900 -4,4295 -4,1612 -4,0097 -4,0666 -4,3586 -4,8355 -5,3932 -5,9184 -6,3277 -6,5779 -6,6527 -6,5541 -6,3104 -5,9856 -5,6589 -5,3760 -5,1346 -4,9292 -4,7891 -4,7550 -4,8191 -4,9017 -4,9054 -4,8035 -4,6605 -4,5585 -4,5196 -4,5068 -4,4678 -4,3590 -4,1562 -3,8630 -3,5055 -3,1080 -2,6729 -2,1842 -1,6279 -1,0141 -0,3878 0,1900 0,6786 1,0645 1,3441 1,5192 1,5988 1,5804 1,4327 1,1190 0,6441 0,0725 -0,4975 -0,9696 -1,2686 -1,3468 -1,1940 -0,8492 -0,4031 0,0221 0,3108 0,3950 0,2703 -0,0209 -0,4155 -0,8401 -1,2091 -1,4413 -1,4968 -1,4075 -1,2734 -1,2052 -1,2521 -1,3801 -1,5017 -1,5282 -1,4385 -1,3105 -1,2577 -1,3501 -1,6068 -2,0115 -2,4993 -2,9640 -3,3216 -3,5723 -3,7871 -4,0325 -4,3168 -4,6017 -4,8335 -4,9517 -4,8932 -4,6207 -4,1551 -3,5797 -3,0181 -2,5950 -2,3950 -2,4286 -2,6268 -2,8691 -3,0419 -3,0892 -3,0279 -2,9320 -2,8956 -2,9743 -3,1449 -3,3403 -3,5343 -3,7646 -4,0601 -4,3708 -4,5999 -4,6995 -4,7103
