"Participant_ID","Participant_number","Pseudolanguage_version","Codeswitching_average","L1_Proficiency_Score","L2_Proficiency_Score","Multilingual_Language_Diversity_Score","total_correct.x","listLength","total_correct.y","omissions","intrusions","repetitions","incongruent","congruent","difference_reaction_time","p_or_r","e1_H","e1_X","e2_H","e2_X","e3_H","e3_X","e4_H","e4_X","e5_H","e5_X","e1_L","e1_R","e1_T","e2_L","e2_R","e2_T","e3_L","e3_R","e3_T","e4_L","e4_R","e4_T","e5_L","e5_R","e5_T","eNA_NA","eNA_L","e1_TL","e2_TL","e3_TL","e4_TL","e5_TL"
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,3,7,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,4,8,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,4,8,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,3,7,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,5,5,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,6,2,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,6,2,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,5,5,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,8,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,8,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,NA,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,7,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"P",379.299999952316,399.599999904633,348.400000095367,422.299999952316,345,419.5,338,393.700000047684,355.149999976158,489.099999904633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-379.299999952316,-348.400000095367,-345,-338,-355.149999976158
"crar9",10,"Mini-Norwegian",0,"0.96","0.68","1.53",22,NA,0,2,559,NA,1006.5983333389,854.644444430316,-151.95388890858,"R",332.799999952316,373.75,338.099999904633,620.200000047684,315.100000143051,635.900000095367,311.200000047684,606.200000047684,338,588,386.099999904633,362.349999904633,388,368.899999856949,370.75,378.900000095367,381.100000023842,360.500000119209,387.050000071526,363.799999952316,392.099999904633,385.300000071526,377,361.5,409.299999952316,0,0,53.2999999523163,30.7999999523163,65.9999998807907,52.5999999046326,39
